Charge / Procedure Number,CPT / HCPCS Code,Billing Description,CDM Price
1314253,,ELBOW ORTHOTIC,245.00
1314254,,NEOPRENE THUMB SUPPORTS,26.00
1314255,,OT DRESSING STICK,92.00
1314256,,OT LEG LIFTER,92.00
1314257,,OT WALKER BAG,92.00
1314258,,OT BUILT UP HANDELED UTENSIL,92.00
1314259,,BOTTLE/JAR OPENER,37.00
1314260,,FINGER EXTENSION ORTHOTIC,107.00
1314261,,"ROLZ, SCAR TOLL",124.00
1314262,,Abdominal Binder S-XL,52.00
1314263,,"Brace,Foot drop, S-L, R/L",334.00
1314264,,"Brace,Foot, Planter Facitis",223.00
1314315,97750,PT Physical Perform Test Charges,152.00
1314316,97035,PT Ultrasound Charges,174.00
1314318,97033,PT Iontophoresis Charges,106.00
1314321,,Sensory Nerve Studies,276.00
1314323,96116,Test Neurobehavioral Charges,"1,353.00"
1314324,97032,"Electrical Stimulation, Attended Charges",124.00
1314358,,OT HEMI ARM ORTHOTIC,51.00
1314359,,OT WHEELCHAIR GLOVES,40.00
1314361,,PREFORMED RESTING HAND ORTHOTIC,274.00
1314362,,THERAPUTTY,8.00
1314366,,"Ankle brace,Sweedo S-XL",170.00
1314369,,Gait Belt,49.00
1314392,,"Compression, Stockings, BTK 18-30 mg",303.00
1314477,,"Compression, Stockings, BTThigh 18-30 mg",46.00
1314478,,"Hinged Knee OTC, S-XL PT",169.00
1314479,,Hip Kits PT,164.00
1314480,,"Inserts, OTC PT",107.00
1314481,,"Knee, Sleeve Neomax, Large Open Knee PT",66.00
1314484,,"Shoe, Postop Danco, Women PT",39.00
1314485,,"Strap, Tennis Elbow. X-XL PT",131.00
1314514,,"Compression, Stockings, BTThigh 30-40 mg",44.00
1314515,,Ice Grippers PT,106.00
1314516,,"Inserts, Custom Shoe, Per Size PT",268.00
1314517,,"Maternity Supports, S-2XL PT",193.00
1314518,,"Orthotics, AFO, S-XL, R/L PT","1,251.00"
1314520,,Posey Soft Splint PT,83.00
1314521,,"Shower Chair, Back PT",549.00
1314522,,"Sling, Arm, S-L PT",28.00
1314523,,"Thera Putty,Hand Exerciser PT",106.00
1314570,,Back Rolls Physical Therapy,142.00
1314572,,Shower Chair PT,197.00
1314573,,"Thera Band, Exerciser Band PT",106.00
1314574,,"Tub Transfer Bench, PT",199.00
1314608,,OT HANDLE MUG,37.00
1314609,,JOINT JACK FINGER ORTHOTIC,367.00
1314610,,KNUCKLE BENDER FINGER ORTHOTIC,367.00
1314614,,"Brace, Bledsoe","1,287.00"
1314615,,"Brace,ACL, Post Op R/L","1,166.00"
1314616,,"Brace,Wrist S-XL,R/L",62.00
1314624,,"Diabetic Shoes, Extra Depth",211.00
1314625,,"Doughnut,Inflatable (Seat Pad)",28.00
1314626,,"Raised Toliet Seat, Standard",179.00
1314674,,SPO2  Study Type,464.50
1314685,,OT RESTING HAND ORTHOTIC,76.00
1314699,,Gelatin Cap T-E Voice Pros,40.00
1314700,,Trach/Larynx Tube Cuffed,406.00
1314701,,Trach/Larynx Tube SS,373.00
1314702,,Trach Stent/Stud/Button,471.00
1314703,,Trach Mask,57.00
1314704,,Trach Tube Collar/Holder,29.00
1314726,,Nerve Conduction; F- Wave,890.00
1314727,,H-Reflex; Gastroc Muscle,199.00
1314733,97535,ADL Charges,243.00
1315769,90670,00005-1971-02 - pneumococcal 13-valent vaccine Inj Susp 0.5 mL - 00005-1971-02,"1,984.30"
1315770,,00486-1111-01 - potassium acid phosphate 500 mg Tab - 00486-1111-01,2.80
1315771,,00409-1966-07 - sodium chloride bacteriostatic 0.9% Inj Sol 30 mL - 00409-1966-07,6.40
1315772,,00517-3405-25 - sodium phosphate 3 mmol/mL Inj Sol 5 mL- 00517-3405-25,47.15
1317769,,00338-0004-02 - sterile water Irr Sol 250 mL - 00338-0004-02,22.15
1317770,,"00603-1787-47 - Vitamin A, D and C with Iron and Fluoride 0.25 mg/mL Oral Liq 50 mL - 00603-1787-47",5.30
1317771,,00713-0293-32 - zinc oxide Top 20% Oint 56.7 gm - 00713-0293-32,17.55
1319770,,00395-0247-92 - benzoin Top Tincture 60 mL - 00395-0247-92,63.25
1319771,,54162-0100-02 - benzoin Top Tincture 60 mL - 54162-0100-02,26.65
1319772,,00378-1458-01 - estradiol 2 mg Tab - 00378-1458-01,2.75
1323769,,00395-1237-91 - ipratropium 0.02% Inh Sol 2.5 mL - 00378-6989-64,22.95
1325769,,54629-0400-01 - vitamin E 400 intl units Cap-Gel - 54629-0400-01,0.35
1327769,,63323-0269-20 - propofol 10 mg/mL IV Emul 20 mL - 63323-0269-20,81.75
1333771,,00781-1034-01 - trifluoperazine 5 mg Tab - 00781-1034-01,8.15
1333776,,45802-0363-35 - tretinoin Top 0.025% Gel 15 gm - 45802-0363-35,12.00
1333777,,62991-2067-01 - tetracaine powder 25 gm - 62991-2067-01,10.00
1333779,,50242-0038-61 - tenecteplase 50 mg Kit - 50242-0038-61,"23,103.40"
1333780,,50419-0488-58 - sorafenib 200 mg Tab - 50419-0488-58,760.10
1337788,,00395-0303-96 - boric acid powder 170 gm -00395-0303-96,38.40
1337789,,12496-1283-02 - buprenorphine-naloxone 2 mg-0.5 mg Tab - 12496-1283-02,32.35
1337791,,12496-1306-02 - buprenorphine-naloxone 8 mg-2 mg Tab - 12496-1306-02,58.00
1337792,,51079-0141-20 - chlordiazepoxide 25 mg UD Cap - 51079-0141-20,3.35
1337843,,55513-0028-01 - darbepoetin 200 mcg/0.4 mL Inj Syringe - 55513-0028-01,"5,572.80"
1337846,,55513-0111-01 - darbepoetin 300 mcg/0.6 mL Inj Syringe - 55513-0111-01,"8,359.20"
1337851,,00024-4142-60 - dronedarone 400 mg Tab - 00024-4142-60,60.20
1337852,,"00168-0205-43 - emollients, Top Gel 3 gm - 00168-0205-43",0.35
1337855,,00078-0567-51 - everolimus 10 mg Tab - 00078-0567-51,"1,869.90"
1337856,,50383-0627-50 - ferrous sulfate 15 mg (elemental)/mL Oral Liq 50 mL - 50383-0627-50,0.90
1337858,,50458-0253-03 - haloperidol decanoate 50 mg/mL Inj Sol 1 mL - 50458-0253-03,561.40
1337863,,00395-1237-91 - ipecac oral soln 30 mL - 00395-1237-91,22.95
1337867,,00006-0032-20 - ivermectine 3 mg Tab - 00006-0032-20,27.95
1337868,,00131-2478-35 - lacosamide 100 mg Tab - 00131-2478-35,62.55
1337869,,00131-2477-35 - lacosamide 50 mg Tab - 00131-2477-35,40.00
1337871,,63323-0492-02 - lidocaine 1% PF Inj Sol 2 mL - 63323-0492-02,85.00
1337872,,63323-0202-02 - lidocaine 2% Inj Sol 2 mL - 63323-0202-02,86.10
1337873,,51079-0981-20 - lisinopril 5 mg UD Tab - 51079-0981-20,4.60
1337874,,49348-0018-63 - magnesium sulfate USP crystals 4 pounds - 49348-0018-63,0.10
1337875,,65757-0300-01 - naltrexone 380 mg/mL 1 mL ER Inj - 65757-0300-01,"4,575.60"
1337876,,"42865-0101-02 - pancrelipase 10,000 units-34,000 units-55,000 units DR Cap - 42865-0101-02",10.95
1337877,,"42865-0102-02 - pancrelipase 15,000 units-51,000 units-82,000 units DR Cap - 42865-0102-02p",15.80
1337878,,"39822-0205-01 - pancrelipase 5000 units-17,000 units-27,000 units DR Cap - 39822-0205-01",4.35
1337880,,00603-5165-21 - phenobarbital 16.2 mg Tab - 00603-5165-21,2.70
1339769,,00884-6297-30 - phosphorated carbohydrate oral Soln 118 mL - 00904-0049-20,26.00
1339770,,63739-0128-10 - hydrochlorothiazide 25 mg UD Tab - 63739-0128-10,0.65
1341769,16030,"Dressings and/or debridement of partial-thickness burns, initial or subsequent; large (eg, more than",471.00
1341770,,Excision Nail & Nail Matrix partal or complete with amputation of tuft of distal phalanx,"1,586.00"
1341771,10060,Incision of soft tissue absecess; superficial,"1,355.00"
1341772,20100,Exploration of penetrating wound (separate procedure); neck,"6,291.00"
1341773,20103,Exploration penetrating wound; extremity,"2,448.00"
1341774,21480,Closed treatment of temporomandibular dislocation; initial or subsequent,321.00
1341775,23545,Closed treatment of acromioclavicular dislocation; with manipulation,"1,468.00"
1341776,23655,"Closed treatment of shoulder dislocation, with manipulation; requiring anesthesia","1,911.00"
1343769,24535,"Closed treatment of supracondylar or transcondylar humeral fracture, with or without intercondylar e","3,740.00"
1343770,24600,Treatment of closed elbow dislocation; without anesthesia,603.00
1343771,24605,Treatment of closed elbow dislocation; requiring anesthesia,"4,676.00"
1343772,46614,"Anoscopy; with control of bleeding (eg, injection, bipolar cautery, unipolar cautery, laser, heater","2,433.00"
1343773,27257,"Treatment of spontaneous hip dislocation (developmental, including congenital or pathological), by a","2,325.00"
1343774,27370,Injection procedure for knee arthrography,323.00
1343775,27560,Closed treatment of patellar dislocation; without anesthesia,535.00
1343776,27788,Closed treatment of distal fibular fracture (lateral malleolus); with manipulation,"1,614.00"
1343777,27810,"Closed treatment of bimalleolar ankle fracture (eg, lateral and medial malleoli, or lateral and post","1,957.00"
1343778,,00536-1810-59 - bismuth subsalicylate 262 mg/15 mL Sus 240 mL,0.10
1343779,27818,Closed treatment of trimalleolar ankle fracture; with manipulation,"2,327.00"
1343780,27840,Closed treatment of ankle dislocation; without anesthesia,473.00
1343781,28660,Closed treatment of interphalangeal joint dislocation; without anesthesia,603.00
1343782,29700,"Removal or bivalving; gauntlet, boot or body cast",355.00
1343783,29705,Removal or bivalving; full arm or full leg cast,355.00
1343784,29740,Wedging of cast (except clubfoot casts),355.00
1343785,30903,"Control nasal hemorrhage, anterior, complex (extensive cautery and/or packing) any method",485.00
1343786,31500,"Intubation, endotracheal, emergency procedure",925.00
1343787,31525,"Laryngoscopy direct, with or without tracheoscopy; diagnostic, except newborn","2,041.00"
1343788,36415,Collection of venous blood by venipuncture,49.00
1343789,40830,"Closure of laceration, vestibule of mouth, 2.5 cm or less",792.00
1343790,42000,"Drainage of abscess of palate, uvula",792.00
1343793,,"Peritoneocentesis, abdominal paracentesis, or peritoneal lavage (diagnostic or therapeutic); initial","1,398.00"
1343794,55100,Drainage of scrotal wall abscess,"1,988.00"
1343795,62273,"Injection, epidural, of blood or clot patch","4,702.00"
1343796,64400,"Injection, anesthetic agent; trigeminal nerve, any division or branch",843.00
1343797,,"Gastric intubation, and aspiration or lavage for treatment (eg, for ingested poisons)","1,412.00"
1343798,97602,"Removal of devitalized tissue from wound(s), non-selective debridement, without anesthesia (eg, wet-",408.00
1343803,26350,"Repair or advancement, flexor tendon, not in zone 2 digital flexor tendon sheath (eg, no man's land)","7,173.00"
1343804,31530,"Laryngoscopy, direct, operative, with foreign body removal","7,440.00"
1343805,,48878-0620-03 - chlorhexidine Top 0.12% Liq 118 mL - 48878-0620-03,2.55
1345773,,00395-1949-88 - clove Top Oil 3.5 mL - 00395-1949-88,7.80
1345776,,49158-0502-10 - enalapril 10 mg Tab - 49158-0502-10,5.40
1345778,,"00000-1448-70 - spacer, tube - 00000-1448-70",7.50
1349771,,63807-0605-12 - heparin flush 100 units/mL Inj Soln 5 mL - 63807-0605-12,98.80
1351769,,00000-1305-00 - salicylic acid powder 500 gm - 00000-1305-00,0.45
1353771,,"00000-7023-88 - mask for chamber spacer, small - 00000-7023-88",43.30
1355775,,"08373-0800-10 - spacer, chamber - 08373-0800-10",101.00
1355776,32160,"Thoracotomy, major; with cardiac massage","10,108.00"
1355777,36011,"Selective catheter placement, venous system; first order branch (eg, renal vein, jugular vein)","3,581.00"
1355780,36406,"Venipuncture, younger than age 3 years, necessitating physician's skill, not to be used for routine",485.00
1355781,36410,"Venipuncture, age 3 years or older, necessitating physician's skill (separate procedure), for diagno",25.00
1355782,36556,Insertion of non-tunneled centrally inserted central venous catheter; age 5 years or older,"1,911.00"
1355783,36584,"Replacement, complete, of a peripherally inserted central venous catheter (PICC), without subcutaneo","4,065.00"
1355784,37617,"Ligation, major artery (eg, post-traumatic, rupture); abdomen","7,007.00"
1355785,40650,"Repair lip, full thickness; vermilion only","1,234.00"
1355786,43752,"Naso- or oro-gastric tube placement, requiring physician's skill and fluoroscopic guidance (includes",865.00
1355788,51102,Aspiration of bladder; with insertion of suprapubic catheter,"4,384.00"
1355789,76857,"Ultrasound, pelvic (nonobstetric), real time with image documentation; limited or follow-up (eg, for",769.00
1355790,,"Ultrasound, extremity, nonvascular, real time with image documentation",741.00
1355792,77001,"Fluoroscopic guidance for central venous access device placement, replacement (catheter only or comp","1,006.00"
1355793,77002,"Fluoroscopic guidance for needle placement (eg, biopsy, aspiration, injection, localization device)","1,125.00"
1355795,89220,"Sputum, obtaining specimen, aerosol induced technique (separate procedure)",168.00
1355796,94375,Respiratory flow volume loop,462.00
1355799,97602,"Removal of devitalized tissue from wound(s), non-selective debridement, without anesthesia (eg, wet-",408.00
1355801,31605,"Tracheostomy, emergency procedure; cricothyroid membrane","1,998.00"
1355802,33010,Pericardiocentesis; initial,"2,605.00"
1355803,92953,Temporary transcutaneous pacing,775.00
1355804,92950,"Cardiopulmonary resuscitation (eg, in cardiac arrest)","1,506.00"
1355805,26010,Drainage of finger abscess; simple,879.00
1355807,12005,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extrem",730.00
1355808,12006,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk, and /or extr",856.00
1355809,12007,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extrem",430.00
1355810,12014,"Simple repair of superficial wounds of face,ears,eyelids,nose,lips and/or mucous membranes; 5.1-7.5c",430.00
1355811,12015,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6","2,114.00"
1355812,12016,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6",730.00
1355813,12020,Treatment of superficial wound dehiscence; simple closure,"9,887.00"
1355814,12021,Treatment of superficial wound dehiscence; with packing,700.00
1355815,12042,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet);","1,284.00"
1355816,12044,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet);",883.00
1355817,12035,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet);","2,101.00"
1355820,12037,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet);","4,026.00"
1355821,12031,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm",856.00
1355822,12034,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm",471.00
1355824,12057,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30cm","3,981.00"
1355825,13121,"Repair, complex, scalp, arms, and/or legs; 2.6 cm to 7.5 cm","12,873.00"
1355826,13122,"Repair, complex, scalp, arms, and/or legs; each additional 5 cm or less (List separately in addition","1,593.00"
1355827,,51552-0106-05 - lidocaine powder 100 gm - 51552-0106-05,7.50
1355828,13131,"Repair, complex, forehead,cheeks,chin,mouth,neck,axillae,genitalia, hands and/or feet; 1.1 cm to 2.5","2,776.00"
1355834,,50383-0627-50 - ferrous sulfate (as elemental iron) 15 mg/mL Liq,0.90
1357769,13152,"Repair, complex, eyelids, nose, ears and/or lips; 2.6 cm to 7.5 cm","5,944.00"
1357775,,00000-0627-50 - ferrous sulfate (as elemental iron) 15 mg Liquid,0.90
1357777,,51552-0194-04 - iodine-potassium iodine Oral Soln 5% 118 mL - 51552-0194-04,34.75
1359773,,00472-1202-06 - acetaminophen 325 mg Sup,4.20
1363769,,00472-1202-01 - acetaminophen 325 mg Supp,4.20
1363770,,00472-1201-06 - acetaminophen 120 mg Sup,4.20
1363772,,00472-1201-01 - acetaminophen 120 mg Supp,4.20
1365769,,68209-0623-02 - albumin human 5% Sol,630.50
1367769,,13533-0700-01 - alpha 1-proteinase inhibitor human Pow,35.50
1367771,,50242-0085-25 - alteplase 100 mg Powder-Inj,"27,376.90"
1367772,,50242-0041-63 - alteplase 2 mg Pow,567.30
1369769,,00574-7050-50 - bisacodyl 10 mg Sup,0.85
1369770,,00574-7050-12 - bisacodyl 10 mg Sup,1.15
1369771,,63739-0059-10 - clindamycin 150 mg Cap,3.45
1369772,,00093-0834-01 - clonazepam 2 mg Tab,5.95
1369773,,68084-0300-21 - dantrolene 25 mg Cap,5.95
1369774,,63739-0080-10 - diltiazem 60 mg Tab,1.45
1369776,,63739-0089-10 - docusate sodium 100 mg Cap,0.60
1369777,,60429-0072-01 - enalapril 5 mg Tab,1.60
1369778,,66582-0315-54 - ezetimibe-simvastatin 10 mg-80 mg Tab,62.20
1371769,13132,"Wound repair, complex, forehead,cheeks,chin,mouth,neck, axillae,genitalia, hands and/or feet; 2.6 -","6,482.00"
1373769,,42043-0180-03 - anastrozole 1 mg Tab,67.50
1373770,,51079-0620-06 - azathioprine 50 mg Tab,11.75
1373771,,51079-0620-01 - azathioprine 50 mg Tab,6.60
1373772,,63323-0401-20 - aztreonam 1 g Pow,379.30
1373773,,00603-2406-21 - baclofen 10 mg Tab,12.40
1373774,,00085-0566-01 - betamethasone 6 mg/mL Susp-Inj,89.30
1373775,,63323-0137-20 - bleomycin 30 units Pow,736.20
1373776,,"63323-0462-30 - bupivacaine-epinephrine 0.5%-1:200,000 preservative-free Sol",91.80
1373777,,00591-3331-19 - buPROPion 150 mg/24 hours Tab,26.10
1375769,,51079-0985-01 - busPIRone 5 mg Tab,3.90
1375770,,00781-6320-79 - calcitonin 200 intl units/inh Spr,503.80
1375771,,00121-0766-16 - calcium carbonate 1250 mg/5 mL Sus,0.65
1375772,,00603-0649-88 - capsaicin topical 0.075% Cre,134.80
1375773,,00781-3208-95 - ceftriaxone 1 g Pow,438.70
1375774,,25021-0108-99 - ceftriaxone 10 g Pow,324.70
1375775,,00781-3206-85 - ceftriaxone 250 mg Pow,165.20
1375776,,00409-7338-01 - ceftriaxone 500 mg Pow,35.50
1375777,,00574-0120-08 - charcoal-sorbitol 50 g Sus,115.30
1375778,,00172-5312-70 - ciprofloxacin 500 mg Tab,29.95
1375779,,65862-0074-24 - citalopram 10 mg/5 mL Sol,499.40
1375780,,00781-1962-60 - clarithromycin 500 mg Tab,30.10
1375781,,00046-0872-01 - conjugated estrogens topical 0.625 mg/g Cre,229.70
1375782,,00078-0110-22 - cycloSPORINE 100 mg/mL Sol,73.70
1375783,,00078-0248-61 - cycloSPORINE 100 mg Cap,46.60
1375784,,00501-3400-02 - zinc oxide topical 40% Oin,16.10
1375785,,25021-0204-05 - vinorelbine 10 mg/mL Sol,771.50
1375786,,00703-4402-11 - vinCRIStine 1 mg/mL Sol,181.70
1375787,,00904-2920-61 - verapamil 80 mg Tab,2.85
1377769,,00168-0111-09 - bacitracin topical zinc 500 units/g Oin,1.20
1377770,,55390-0091-10 - vinBLAStine 10 mg Pow,167.90
1393769,,59762-3728-01 - clindamycin topical 1% Sol,116.50
1397779,,10631-0106-08 - coal tar topical 2.5 % Oil,123.20
1397837,,00245-0071-11 - potassium citrate 10 mEq Tab,13.80
1399769,,13310-0119-01 - colchicine 0.6 mg Tab,29.10
1399770,,66479-0023-56 - aminocaproic acid 1.25 g/5 mL Syr,8.45
1401769,,00517-9120-25 - aminocaproic acid 250 mg/mL Sol,39.25
1401770,,00409-2687-15 - ampicillin-sulbactam 10 g-5 g Pow,306.90
1403769,,62584-0330-11 - chlorproMAZINE 25 mg Tab,1.25
1403770,,00904-5785-61 - fluoxetine 20 mg Cap,12.45
1403771,,50111-0647-01 - fluoxetine 10 mg Cap,13.00
1403772,,51079-0734-20 - haloperidol 1 mg Tab,2.50
1403773,,68084-0269-01 - hydroxychloroquine 200 mg Tab,3.00
1405769,,16252-0526-90 - pravastatin 10 mg Tab,15.90
1405770,,50111-0467-01 - propranolol 10 mg Tab,2.05
1405771,,50111-0468-01 - propranolol 20 mg Tab,2.55
1405772,,00469-0657-73 - tacrolimus 5 mg Cap,179.20
1405773,,00904-6156-61 - tamsulosin 0.4 mg Cap,21.05
1405774,,67405-0543-03 - terbinafine 250 mg Tab,63.95
1405775,,14362-0111-03 - tetanus-diphtheria toxoids (Td) 2 units-2 units/0.5 mL Sus,210.80
1405776,,00172-2416-10 - tetracycline 250 mg Cap,0.45
1405777,,00172-2416-00 - tetracycline 250 mg Cap,0.35
1405778,,23360-0014-02 - tobramycin 40 mg/mL Sol,38.35
1405779,,00472-0117-20 - tretinoin topical 0.025% Cre,542.20
1405780,,00008-4990-01 - tigecycline 50 mg Powder-Inj,607.80
1405781,,00093-9633-16 - valproic acid 250 mg/5 mL Syr,79.90
1405782,,00143-9582-30 - sertraline 25 mg Tab,13.35
1405783,,00049-4910-30 - sertraline 100 mg Tab,60.70
1405784,,00904-5894-30 - simethicone 40 mg/0.6 mL Liq,17.50
1405785,,50419-0488-58 - sorafenib 200 mg Tab,760.10
1405786,,72140-0014-96 - salicylic acid topical 40% Pad,5.10
1405787,,00904-6111-61 - paroxetine 30 mg Tab,13.65
1405788,,67253-0200-11 - penicillin V potassium 250 mg Tab,1.15
1405789,,64125-0901-01 - phenobarbital 30 mg Tab,0.20
1405790,,00472-5002-08 - phenytoin 125 mg/5 mL Sus,2.85
1405792,,00093-0811-05 - nortriptyline 25 mg Cap,7.20
1405793,,59011-0410-20 - oxycodone 10 mg Tab,20.60
1405794,,00008-0844-02 - pantoprazole 40 mg Gra,82.90
1411769,,60429-0902-30 - clobetasol topical 0.05 % Cream,16.00
1415769,,81370-0036-40 - colloidal oatmeal topical 1 - Powder-Top,2.70
1417769,,63323-0128-20 - dacarbazine 200 mg Pow,148.00
1417770,,24208-0342-05 - desmopressin 10 mcg/inh Spr,"1,046.70"
1417771,,63323-0516-10 - dexamethasone 10 mg/mL Sol,85.00
1419769,,00173-0242-55 - digoxin 125 mcg (0.125 mg) Tab,3.85
1419770,,00258-3689-90 - diltiazem 240 mg/24 hours Cap,8.90
1419771,,00258-3688-90 - diltiazem 180 mg/24 hours Cap,6.30
1419772,,00378-6090-01 - diltiazem 90 mg/12 hours Cap,18.15
1419773,,00006-3519-36 - dorzolamide ophthalmic 2% Sol,429.60
1419774,,00603-2212-32 - amitriptyline 10 mg Tab,1.55
1419775,,00172-5312-70 - ciprofloxacin 500 mg Tab,29.95
1421769,,00395-0247-92 - benzoin topical Tincture,63.25
1425770,,00338-0049-11 - LVP solution Sodium Chloride 0.9% Sol,38.45
1425771,,00338-0017-18 - LVP solution Dextrose 5% in Water Sol,39.50
1433773,,00338-0003-47 - sterile water - Sol,47.85
1433774,,00338-0289-47 - glycine irrigation 1.5% Sol,81.45
1433775,,00338-0023-04 - parenteral nutrition solution Dextrose 10% in Water Sol,87.00
1435769,,00338-0117-03 - LVP solution Lactated Ringers Injection Sol,59.20
1435771,,55390-0281-10 - DAUNOrubicin 20 mg Pow,699.40
1435772,,00591-3974-06 - deferoxamine 500 mg Powder-Inj,186.90
1437769,,"61924-0001-86 - emollients, topical 1 - Ointment",55.10
1437770,,10019-0250-37 - atropine 0.4 mg/mL Soln-Inj,36.80
1437771,,00024-4142-60 - dronedarone 400 mg Tab,60.20
1437772,,53489-0120-05 - doxycycline hyclate 100 mg Tab,30.75
1437773,,43199-0015-60 - ergocalciferol 8000 intl units/mL Sol,425.90
1437774,,17478-0070-35 - erythromycin ophthalmic 0.5% Oin,93.30
1443945,,29336-0610-24 - imiquimod topical 5% Cre,184.50
1445769,,00088-2219-05 - insulin glargine 100 units/mL Sol,425.00
1453365,,00555-0066-02 - isoniazid 100 mg Tab,0.75
1455769,,00000-0009-01 - isoniazid 50 mg / 5 mL Soln-Oral,275.50
1455787,91065,Breath Hydrogen Test,329.00
1455788,91034,Esophageal Reflux Study,"2,472.00"
1455821,,00006-0032-20 - ivermectin 3 mg Tab,27.95
1455824,,00904-5929-61 - labetalol 200 mg Tab,3.85
1455841,,00131-2478-35 - lacosamide 100 mg Tab,62.55
1455846,,00131-2477-35 - lacosamide 50 mg Tab,40.00
1455864,,00074-6624-19 - levothyroxine 100 mcg (0.1 mg) Tab,5.95
1455865,,00074-7069-19 - levothyroxine 150 mcg (0.15 mg) Tab,5.95
1455866,,00074-7070-19 - levothyroxine 175 mcg (0.175 mg) Tab,5.80
1455867,,00781-5189-01 - levothyroxine 200 mcg (0.2 mg) Tab,2.45
1455869,,00172-3757-60 - lisinopril 2.5 mg Tab,3.20
1455870,,51079-0983-20 - lisinopril 20 mg Tab,5.10
1455874,,00172-3761-60 - lisinopril 40 mg Tab,7.70
1455883,,51079-0983-01 - lisinopril 20 mg Tab,5.10
1455886,,66582-0414-31 - ezetimibe 10 mg Tab,62.80
1459769,,00378-9121-16 - fentanyl 25 mcg/hr Fil,72.10
1459770,,00378-3151-77 - finasteride 5 mg Tab,15.60
1459771,,51079-0520-01 - finasteride 5 mg Tab,15.65
1459772,,00187-3554-10 - flucytosine 250 mg Cap,371.20
1459773,,00187-3555-10 - flucytosine 500 mg Cap,642.70
1459774,,10019-0037-30 - fentanyl 50 mcg/mL Sol,11.10
1459775,,64854-0031-01 - fluoride topical 1.1% Gel,95.00
1459776,,00378-0412-01 - fluvoxamine 50 mg Tab,12.90
1459777,,63739-0376-10 - gabapentin 400 mg Cap,10.00
1459778,,00781-1452-10 - glipiZIDE 5 mg Tab,1.60
1461769,,49158-0502-10 - enalapril 10 mg Tab,5.40
1461770,,00093-0670-05 - gemfibrozil 600 mg Tab,11.60
1461771,,00955-0790-05 - hydroxychloroquine 200 mg Tab,5.90
1461772,,54738-0913-01 - imipramine 25 mg Tab,3.60
1461773,,60793-0116-01 - liothyronine 25 mcg Tab,15.15
1461774,,00378-2777-01 - lorazepam 2 mg Tab,6.45
1461775,,00143-1292-05 - methocarbamol 750 mg Tab,2.35
1461776,,50458-0586-01 - methylphenidate 36 mg/24 hr Tab,63.45
1465769,,66593-3126-02 - vancomycin 250 mg Cap,305.00
1465770,,66593-3126-17 - vancomycin 250 mg Cap,254.80
1467796,,66593-3126-18 - vancomycin 125 mg Cap,145.50
1467818,64510,"INJ, ANES AGENT, STELLATE GANGLION","3,571.00"
1467825,,00093-7146-56 - azithromycin 250 mg Tab,38.95
1467826,,THORACENTESIS W/TUBE (SEP PROC),"3,099.00"
1467904,64476,INJ ANES PARA LUMB/SAC ADDL LEVEL,740.00
1467905,,00904-0260-13 - multivitamin Vitamin B Complex with C Tab,0.25
1467906,,INJ ANES PARA CERV/THOR ADDL LEVEL,"1,182.00"
1467913,,61314-0227-05 - timolol ophthalmic 0.5% Sol,85.00
1467921,,61314-0226-05 - timolol ophthalmic 0.25% Sol,75.00
1467932,,00121-0747-10 - sucralfate 1 g/10 mL Sus,50.30
1467935,,58914-0170-14 - sucralfate 1 g/10 mL Sus,2.50
1467952,,51079-0623-81 - mafenide topical 85 mg/g Cre,326.00
1467955,,00904-7914-61 - ibuprofen 200 mg Tab,0.35
1467961,31629,BRONCHOSCOPY W/TRANSBRONCH ASP,"6,702.00"
1467962,31628,BRONCHOSCOPY W/TRANSBRONCH BIOPSY,"4,026.00"
1467965,,"00338-0519-02 - fat emulsion, intravenous 20% Emu",20.00
1467987,,00378-7002-10 - paroxetine 20 mg Tab,13.70
1467994,,00071-1012-68 - pregabalin 25 mg Cap,40.95
1468051,,OR LEVEL 5 13.25HR-13.50HR,"162,250.00"
1468130,46600,ANOSCOPY,246.00
1468134,31622,BRONCHOSCOPY,"4,691.00"
1468136,31635,BRONCHOSCOPY W/REMOVE FB,"4,821.00"
1468137,45378,COLONOSCOPY,"3,882.00"
1468140,43235,EGD,"3,873.00"
1473769,,00603-1310-58 - hydrOXYzine hydrochloride 10 mg/5 mL Syr,199.80
1477842,,00000-1310-05 - hydrOXYzine 10 mg / 5 mL Soln-Oral,2.15
1477843,,65580-0644-71 - metolazone 5 mg Tab,7.55
