DRG #,DRG Description,Average Charge for each Inpatient  Admission
791,PREMATURITY W MAJOR PROBLEMS,"$9,995.15"
792,PREMATURITY W/O MAJOR PROBLEMS,"$9,519.98"
793,FULL TERM NEONATE W MAJOR PROBLEMS,"$10,808.86"
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"$6,166.39"
795,NORMAL NEWBORN,"$4,358.57"
803,OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W CC,"$52,558.17"
805,VAGINAL DELIVERY W/O STERILIZATION/D&C W MCC,"$7,922.32"
806,VAGINAL DELIVERY W/O STERILIZATION/D&C W CC,"$10,577.25"
807,VAGINAL DELIVERY W/O STERILIZATION/D&C W/O CC/MCC,"$8,896.45"
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,"$46,299.01"
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,"$34,407.11"
810,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W/O CC/MCC,"$26,079.97"
811,RED BLOOD CELL DISORDERS W MCC,"$24,238.56"
812,RED BLOOD CELL DISORDERS W/O MCC,"$23,621.47"
813,COAGULATION DISORDERS,"$30,256.59"
815,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC,"$20,966.24"
829,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER PROCEDURE W CC/MCC,"$90,629.96"
832,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W CC,"$22,462.46"
833,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W/O CC/MCC,"$11,033.93"
835,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,"$55,333.66"
840,LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,"$32,640.22"
841,LYMPHOMA & NON-ACUTE LEUKEMIA W CC,"$8,441.66"
842,LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,"$44,626.55"
843,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,"$38,644.60"
847,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,"$60,361.12"
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"$117,762.17"
854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"$97,375.61"
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,"$90,913.93"
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,"$63,987.83"
862,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,"$29,324.80"
863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,"$29,258.44"
864,FEVER AND INFLAMMATORY CONDITIONS,"$19,801.47"
865,VIRAL ILLNESS W MCC,"$35,306.59"
866,VIRAL ILLNESS W/O MCC,"$28,268.12"
868,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC,"$14,400.94"
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"$140,970.65"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"$52,727.06"
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"$31,827.28"
884,ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,"$24,097.82"
885,PSYCHOSES,"$50,655.41"
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"$59,743.28"
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"$20,951.89"
905,SKIN GRAFTS FOR INJURIES W/O CC/MCC,"$15,372.10"
906,HAND PROCEDURES FOR INJURIES,"$36,888.45"
907,OTHER O.R. PROCEDURES FOR INJURIES W MCC,"$170,295.20"
908,OTHER O.R. PROCEDURES FOR INJURIES W CC,"$46,707.35"
914,TRAUMATIC INJURY W/O MCC,"$19,797.33"
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"$62,372.36"
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"$18,454.35"
919,COMPLICATIONS OF TREATMENT W MCC,"$46,152.77"
920,COMPLICATIONS OF TREATMENT W CC,"$31,528.35"
921,COMPLICATIONS OF TREATMENT W/O CC/MCC,"$20,406.35"
922,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W MCC","$20,095.24"
923,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC","$23,092.05"
928,FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W CC/MCC,"$31,044.25"
939,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W MCC,"$130,253.63"
940,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC,"$54,372.60"
948,SIGNS & SYMPTOMS W/O MCC,"$15,540.38"
956,"LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA","$88,723.24"
959,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,"$167,375.26"
965,OTHER MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,"$19,843.79"
974,HIV W MAJOR RELATED CONDITION W MCC,"$48,014.90"
977,HIV W OR W/O OTHER RELATED CONDITION,"$107,637.15"
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$86,642.13"
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$89,793.44"
983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"$40,083.79"
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$87,301.78"
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$104,279.80"
989,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"$16,651.69"
998,PRINCIPAL DIAGNOSIS INVALID AS DISCHARGE DIAGNOSIS,"$9,803.83"
