CHG #,CHARGE DESCRIPTION,,REV,,CPT,,PRICE,
 1704415,BROSELOW INTUBATION PURPLE,,272,,,,134.00,
 1704416,BROSELOW INTUBATION YELLOW,,272,,,,134.00,
 1704417,BROSELOW INTUBATION WHITE,,272,,,,134.00,
 1704418,BROSELOW INTUBATION BLUE,,272,,,,134.00,
 1704419,BROSELOW INTUBATION ORANGE,,272,,,,134.00,
 1704420,BROSELOW INTUBATION GREEN,,272,,,,134.00,
 1704430,RAPID RHINO BILATERAL RR552,,272,,,,150.30,
 1704481,EZ-IO STABILIZER,,272,,,,80.00,
 1704576,RAPID RHINO 530,,272,,,,138.40,
 1704596,TROCAR THORACIC STRAIGHT CATH 12FR,,272,,,,29.70,
 1711070,PLASTIC REPAIR SET,,272,,,,42.59,
 2500002,"PEN NEEDLES, 100/BOX",,272,,,,3.30,
 2500018,SHAMROCK TUBING HOME HEALTH,,272,,,,8.11,
 2500023,CANNULA INTERLINK LEVER LOCK,,272,,,,19.92,
 2500127,EXTENSION SET SPECILTY 105  20 DROP,,272,,,,26.40,
 2500242,CLAVE MALE LUER LOCKING,,272,,,,14.50,
 2500243,CLAVE PIGGYBACK CONNECTOR,,272,,,,32.46,
 2500244,CLAVE MULTIDOSE VIAL ACCESS SPIKE,,272,,,,19.92,
 2500245,CLAVE STERILE CAP FOR DISTAL END OF IV T,,272,,,,6.29,
 2500246,CLAVE EXT SET NON DEHP,,272,,,,21.46,
 2500255,IV CATHETER 22GX1  INSYTE,,272,,,,10.92,
 2500256,IV CATHETER 20Gx1.16  INSYTE,,272,,,,8.84,
 2500260,IV SET SECONDARY NO PUMP,,272,,,,12.87,
 2500263,CLAVE CONNECTOR  EXTENSION SET,,272,,,,14.72,
 2500264,CLAVE CONNECTOR BI FUSE EXTENSION BMP,,272,,,,31.93,
 2500328,SURFLO IV CATHETER 18gx2 1/2,,272,,,,11.02,
 2500329,IV CATH INTIMA SYS W/Y ADAPT 20gx1 PINK,,272,,,,25.31,
 2500330,IV CATH INTIMA SYS W/Y ADAPT 24GX3/4 YEL,,272,,,,25.31,
 2500331,IV CATH INTIMA SYS W/Y ADAPT 18GX1 GREEN,,272,,,,25.31,
 2500332,IV CATH INTIMA SYS W/Y ADAPT 22GX3/4 BLU,,272,,,,25.31,
 2500333,LATEX FREE MICROBORE EXTENSION SET W/ T,,272,,,,30.63,
 2500334,CATHETER ROB-NEL 10 FRENCH,,272,,,,7.14,
 2500344,IV START PACK,,272,,,,24.30,
 2500372,IV SET PCA PUMP,,272,,,,29.69,
 2500376,SALINE 0.9% STERILE 4oz.CUP (TRACH CARE),,272,,,,4.78,
 2500421,EXTENSION TUBING 32  W/ TWO INJ SITES,,272,,,,9.30,
 2500430,VENI GARD,,272,,,,7.49,
 2500435,IV CATHETER 24X5/8 PROTECTIVE PLUS,,272,,,,23.98,
 2500440,EXTENSION SET 34  SURGERY ONLY,,272,,,,15.89,
 2500454,IV SET PRIMARY PLUM PUMP,,272,,,,26.25,
 2500542,PORT A CATH 22GA x 3/4  GRIPPER NEEDLE,,272,,,,25.05,
 2500543,PORT A CATH 20GA x 1 1/4  GRIPPER NEEDLE,,272,,,,27.80,
 2500544,PORT A CATH 19GA x 3/4  GRIPPER NEEDLE,,272,,,,42.95,
 2500573,IV SET PRIMARY W/FILTER BLUE PUMP,,272,,,,48.57,
 2500574,IV SET PRIMARY BLUE PUMP,,272,,,,47.42,
 2500576,IV SET PRIMARY W/FILTER PLUM PUMP,,272,,,,63.27,
 2500578,Y TYPE BLOOD TUBING SET 79,,272,,,,21.52,
 2500579,IV SET SECONDARY BLUE PUMP,,272,,,,7.80,
 2500581,IV SET PRIMARY W/FILTER NO PUMP,,272,,,,30.65,
 2500582,IV SET NITRO BLUE PUMP,,272,,,,26.99,
 2500669,PERITONEAL DIALYSIS ADMIN SET,,272,,,,131.04,
 2500895,INTRAN PLUS CATHETER AND AMNIONFUSION SM,,272,,,,316.56,
 2500900,IV SET SECONDARY PLUM PUMP,,272,,,,10.89,
 2500912,IV SET PRIMARY NO PUMP,,272,,,,34.35,
 2500956,SURFLO CATH IV 20X1,,272,,,,13.12,
 2500957,SURFLO IV CATH 16X1 1/4,,272,,,,12.67,
 2500958,SURFLO IV CATH 20X1 1/4,,272,,,,12.83,
 2500959,SURFLO IV CATH 24X3/4,,272,,,,12.72,
 2500960,SURFLO IV CATH 22X1,,272,,,,12.85,
 2500961,SURFLO IV CATH 18X1 1/4,,272,,,,12.45,
 2501025,LATEX FREE EXTENSION TUBING,,272,,,,18.88,
 2501049,CADD EXTENSION SET,,272,,,,22.82,
 2501082,STERILE WATER 1000 ML POUR BOTTLE,,272,,,,10.26,
 2501289,TEGADERM IV 3.5x4.25,,272,,,,10.39,
 2501426,IV CATH AUTOGUARD 22GA x 1,,272,,,,16.38,
 2501458,IV CATH AUTOGUARD 20GA X 1.16,,272,,,,16.38,
 2501459,IV CATH AUTOGUARD 18GA X 1.16,,272,,,,16.38,
 2501501,IV CATH AUTOGUARD 24GA x .75,,272,,,,16.01,
 2501548,IV CATH AUTOGUARD 16GA x 1.16,,272,,,,16.10,
 2501551,IV CONTRAST HI-PRESSURE TUBING 48,,272,,,,34.42,
 2501552,IV CONTRAST HI-PRESSURE TUBING 30,,272,,,,29.38,
 2501613,SHAMROCK VACUTAINER 21G 3/4 HOME HEALTH,,272,,,,8.22,
 2501653,CATHETER CLC2000 CONNECTOR,,272,,,,24.50,
 2501701,IV CATHETER 20X1 PROTECTIVE PLUS,,272,,,,19.30,
 2501702,IV CATHETER 18X1 1/4 PROTECTIVE PLUS,,272,,,,19.30,
 2501703,IV CATHETER 22X1 PROTECTIVE PLUS,,272,,,,19.30,
 2501704,IV CATHETER 24X.75 W/Y ADAPTER,,272,,,,24.46,
 2501705,IV CATHETER 22X.75 W/Y ADAPTER,,272,,,,24.46,
 2501706,IV CATHETER 20X1 W/Y ADAPTER PINK,,272,,,,24.46,
 2501724,CENTRAL VEIN CATH SET 16GX12F,,272,,,,86.63,
 2501725,PERCUTANEOUS SHEETH INTRO KIT 6 FR,,272,,,,137.07,
 2501874,IV CATHETER PLUG LOCKING,,272,,,,5.41,
 2501875,Y-TYPE BLOOD PLUMSET DUAL CLAVE PORTS,,272,,,,48.65,
 2501917,BLOOD FILTER IN LINE IV SET,,272,,,,22.05,
 2504058,SODIUM CHLORIDE 3000cc IRRIGATION,,272,,,,27.18,
 2504184,PORT A CATH 20GA X 3/4  GRIPPER NEEDLE,,272,,,,56.85,
 2504218,COMBINED SPINAL/EPIDURAL ANES. TRAY,,272,,,,87.60,
 2504219,PENCAN SPINAL NEEDLE TRAY,,272,,,,85.20,
 2504333,GLYCINE IRRIGATION 3000ml,,272,,,,30.80,
 2504388,IV CATH DIFFUSICS NEXIA 22GA,,272,,,,31.15,
 2504389,IV CATH DIFFUSICS NEXIA 24GA,,272,,,,31.80,
 2504504,PORT A CATH 22GA x 1  GRIPPER NEEDLE,,272,,,,27.75,
 2504529,PORT-CATH GRIPPER 22G X 5/8,,272,,,,26.00,
 2504607,SODIUM CHLORIDE 9% 100ML POUR BOTTLE,,272,,,,4.30,
 3000002,ISOLATION PER DAY,,272,,,,47.84,
 3000011,EAR & ULCER SYRINGE GREEN,,272,,,,2.60,
 3000058,GLOVE NITRILE EXAM SMALL LATEX FREE,,272,,,,7.95,
 3000060,PROTEXIS GLOVE SZ 6,,272,,,,13.50,
 3000061,SENSI-TOUCH SURGICAL GLOVE 6 1/2,,272,,,,3.12,
 3000073,SUTURE REMOVAL TRAY DISPOSABLE,,272,,,,11.25,
 3000074,STAPLE REMOVER SKIN,,272,,,,8.74,
 3000075,BURETROL SET 60 DROPS/ml,,272,,,,31.98,
 3000082,INJECTION SITE MALE LUER LOCK ADAPTER,,272,,,,23.30,
 3000092,SUCTION COAULATOR,,272,,,,52.62,
 3000131,KERLIX SUPER SPONGES 6X6 AMD,,272,,,,5.10,
 3000133,TELFA AMD 4 X 8,,272,,,,14.23,
 3000134,TELFA PAD 3x8,,272,,,,2.50,
 3000135,GAUZE SPONGES NON-STERILE 8X4,,272,,,,3.12,
 3000137,GAUZE SPONGE 3X3 STERILE,,272,,,,2.60,
 3000138,GAUZE SPONGE 2X2 STERILE,,272,,,,2.50,
 3000150,BIOCLUSIVE TRANSPARENT DRESSING 2X3,,272,,,,3.64,
 3000152,CONFORM GAUZE 6,,272,,,,5.00,
 3000153,CONFORM GAUZE 4,,272,,,,2.50,
 3000154,CONFORM GAUZE 3,,272,,,,2.60,
 3000156,FOAM DRESSING 4X4,,272,,,,42.28,
 3000158,DRESSING STERILE 8X7 1/2,,272,,,,11.23,
 3000159,VASELINE PETROLATIUM GAUZE 1/2 X 72,,272,,,,10.40,
 3000160,EYE PAD 1 5/8x2 5/8,,272,,,,2.60,
 3000163,SYRINGE 20ML SLIP TIP,,272,,,,3.33,
 3000166,LATEX FREE PLUER VAC,,272,,,,299.31,
 3000167,SOF-KLING CONFORMING BANDAGE 3 X 75,,272,,,,4.99,
 3000170,TELFA PAD 2X3 NON ADHERENT,,272,,,,2.60,
 3000172,XEROFORM VASELINE GAUZE DRESSING 5X9,,272,,,,4.30,
 3000175,CONFORM GAUZE 2,,272,,,,2.50,
 3000176,ADAPTIC DRESSING SINGLE 3x8,,272,,,,9.64,
 3000177,ADAPTIC NON-ADH DRESSING 3x8 3 PK0,,272,,,,14.70,
 3000179,ADAPTIC NON-ADH DRESSING 3x16 SINGLE,,272,,,,8.50,
 3000180,GAUZE SPONGE 4X4 STERILE,,272,,,,2.60,
 3000181,ABD PAD ABDOMINAL STRL 8x10,,272,,,,2.50,
 3000202,GAUZE FLUFFS 36x36 2 PLY STRL 1'S,,272,,,,12.17,
 3000205,WOUND DRESSING EPI-LOCK 4X4,,272,,,,8.53,
 3000223,ENEMA SET,,272,,,,10.40,
 3000224,ENEMA FLEET WITH MINERAL OIL ORANGE,,272,,,,22.05,
 3000225,ENEMA FLEET LATEX FREE 4.5oz GREEN,,272,,,,5.30,
 3000228,ENEMA BAG FLIP TOP,,272,,,,10.40,
 3000233,DIAMETER TUBULAR FOAM LARGE 1  DIA 2X3,,272,,,,17.13,
 3000234,DIAMETER TUBULAR FOAM MEDIUM 3/4  DIA 2X,,272,,,,10.95,
 3000236,MITRAFLES WOUND DRESSING 4 x4,,272,,,,16.38,
 3000237,OWENS SILK DRESSING 3,,272,,,,19.64,
 3000255,INSYTE 22GX1,,272,,,,8.08,
 3000258,COBAN 6,,272,,,,15.93,
 3000278,URINE METER,,272,,,,30.70,
 3000289,STOMACH TUBE K10 SIZE 16FR,,272,,,,6.76,
 3000290,STOMACH TUBE SIZE 14X50  LONG,,272,,,,6.76,
 3000295,SALEM SUMP TUBE 18 FR,,272,,,,12.17,
 3000296,SALEM SUMP TUBE 16 FR,,272,,,,12.17,
 3000297,SALEM SUMP TUBE 12 FR,,272,,,,27.20,
 3000298,SUCTION CONNECTING TUBING 10FT,,272,,,,7.49,
 3000299,SUCTION CONNECTING TUBING 6FT,,272,,,,7.49,
 3000305,SUCTION KIT AIRLIFE TRI-FLOW,,272,,,,7.90,
 3000306,SYRINGE CONTROL 10cc,,272,,,,7.01,
 3000310,SUCTION CATHETER DELEE 10FR W/MUCUS TRAP,,272,,,,11.51,
 3000312,SODIUM CHORIDE IRRIGATION 1000ml(IVS),,272,,,,25.92,
 3000313,SYRINGE 5ML LUER LOCK,,272,,,,1.46,
 3000326,NOVEX THREE-WAY STOPCOCK,,272,,,,4.60,
 3000336,SYRINGE 30CC SLIP TIP,,272,,,,3.74,
 3000337,SYRINGE 60ML LUER LOCK,,272,,,,3.20,
 3000338,SYRINGE 60ML 2OZ CATHETER TIP,,272,,,,2.50,
 3000358,STOMACH TUBE SIZE 16 FR,,272,,,,6.76,
 3000370,LEVIN TUBE 14 FR,,272,,,,11.04,
 3000371,LEVIN TUBE 16 FR,,272,,,,11.04,
 3000392,BARD CATH INSERTION TRAY,,272,,,,18.88,
 3000405,CATH-SECURE MULTI-PURPOSE TUBE HOLDER 2,,272,,,,12.96,
 3000408,CATHETER PLUG AND DRAINAGE TUBE PROTECTO,,272,,,,3.64,
 3000409,LEVIN TUBE 12 FR,,272,,,,11.04,
 3000412,LEVIN TUBE 18 FR,,272,,,,11.04,
 3000420,FEEDING TUBE 8FR,,272,,,,11.14,
 3000427,FOLEY CATHETER 3/WAY 20FR 30CC,,272,,,,26.47,
 3000436,SYRINGE 60ML SLIP TIP,,272,,,,8.53,
 3000460,KERLIX LARGE ROLL 6PLY AMD,,272,,,,6.30,
 3000469,ACTICOAT 4X4 BURN DRESSING W/SILVER,,272,,,,44.51,
 3000474,ACTICOAT 4X5 ABSORBENT DRESSING W/SILVER,,272,,,,57.82,
 3000486,SENSI-TOUCH SURGICAL GLOVE 7 1/2,,272,,,,3.64,
 3000487,ACE WRAP STERILE 6  VELCRO,,272,,,,8.70,
 3000488,COBAN 3,,272,,,,12.69,
 3000506,TRAY BARDEX IC FOLEY 16FR STR IRRIG TRAY,,272,,,,45.85,
 3000517,SALEM SUMP TUBE 10 FR,,272,,,,12.17,
 3000525,CATH COUDE 14FR,,272,,,,45.66,
 3000526,CATH COUDE 16FR,,272,,,,29.94,
 3000529,DERMAGRAN WET DRESSING ZINC-SALINE 8X4 1,,272,,,,22.79,
 3000536,FREEDOM CATH MALE EXTERNAL CATHETER,,272,,,,10.30,
 3000538,CATH COUDE 18FR,,272,,,,89.44,
 3000540,POLY WIC 3X3 DEEP CAVITY WOUND FILLER,,272,,,,28.20,
 3000548,CONTINUOUS BLADDER IRRIGATION SET,,272,,,,24.71,
 3000551,PICC LINE KIT 3FR,,272,,,,149.73,
 3000555,PERCUTANEOUS INTRODUCER KIT 6.5 FR,,272,,,,190.32,
 3000565,DRESSING 2X2 8 PLY,,272,,,,2.60,
 3000567,FOAM DRESSING 5X5,,272,,,,27.66,
 3000568,HYPAFIX DRESSING 2 X10,,272,,,,28.55,
 3000570,CHLORAPREP ONESTEP 10.5ml,,272,,,,27.37,
 3000635,ENDO CATCH SPECIMEN POUCH 10 MM,,272,,,,190.00,
 3000636,SUTURE MONOCRYL 4-0 PS-2,,272,,,,27.02,
 3000638,BLUNT TIP ETHICON TROCAR W/SLEEVE MURPHY,,272,,,,215.01,
 3000648,PICC LINE KIT 4FR,,272,,,,149.73,
 3000660,FOLEY CATHETER 2/WAY 16FR 5CC,,272,,,,21.12,
 3000662,URINARY LEG BAG HOLISTER 900ml,,272,,,,54.20,
 3000663,URINARY LEG BAG BARD,,272,,,,19.28,
 3000685,GAUZE SPONGE 2X2 XRAY DETECT STERILE,,272,,,,16.85,
 3000696,SUCTION CATHETER 16FR T-VAC,,272,,,,2.91,
 3000697,SUCTION CATHETER 14FR T-VAC,,272,,,,2.91,
 3000698,SUPRAPUBIC 14FR PIGTAIL CATHETER BONANNO,,272,,,,134.37,
 3000702,DIGI TROL SUCT CATH W/WHISTLE TIP 10FRX2,,272,,,,2.91,
 3000703,DIGI TROL SUCT CATH W/WHISTLE TIP 18FRX2,,272,,,,10.95,
 3000704,SUCTION CATHETER 8FR T-VAC,,272,,,,2.91,
 3000706,FOLEY CATHETER 3/WAY 18FR 30CC,,272,,,,49.71,
 3000707,FOLEY CATHETER 2/WAY 26FR 5CC,,272,,,,49.71,
 3000709,FOLEY CATHETER 2/WAY 22FR 5CC,,272,,,,49.71,
 3000710,FOLEY CATHETER 3/WAY 26FR 30CC,,272,,,,49.71,
 3000711,FOLEY CATHETER 2/WAY 18FR 5CC,,272,,,,49.71,
 3000713,FOLEY CATHETER 2/WAY 20FR 5CC,,272,,,,49.71,
 3000714,FOLEY CATHETER 2/WAY 24FR 5CC,,272,,,,49.71,
 3000715,FOLEY CATHETER 3/WAY 24FR 30CC,,272,,,,49.71,
 3000718,SUCTION CATHETER 18FR T-VAC,,272,,,,2.91,
 3000721,FOLEY CATHETER 3/WAY 16FR 30CC LF,,272,,,,26.18,
 3000722,SUCTION CATHETER 14FR SAFE-T-VAC,,272,,,,2.91,
 3000726,OR CHOLANGIOGRAM CATH 4.5FR x 18  TIP 6,,272,,,,95.68,
 3000727,TRI-FLO 10FR,,272,,,,29.64,
 3000728,16FR 5CC RIBBED BALLOON SILICONE COATED,,272,,,,49.71,
 3000729,20FR 5CC RIBBED BALLOON LUD COATED,,272,,,,49.71,
 3000745,SUCTION CATH MINITRAY 14FR,,272,,,,5.41,
 3000746,REPLOGLE SUCTION CATHETER,,272,,,,42.74,
 3000747,SUCTION CATHETER 10FR T-VAC,,272,,,,4.16,
 3000748,SUCTION CATHETER 12FR T-VAC,,272,,,,10.19,
 3000802,DUOTHERM PHARMASEAL PAD,,272,,,,54.50,
 3000810,PORT A CATH 19G x 1   GRIPPER NEEDLE,,272,,,,27.72,
 3000817,FOLEY INSERTION TRAY 30CC,,272,,,,12.96,
 3000818,ADHESIVE GAUZE SURGICAL DRESSING 4X6,,272,,,,5.82,
 3000845,SYRINGE 20ML LUER LOCK,,272,,,,2.60,
 3000853,URINE DRAINAGE BAG LATEX FREE BARD,,272,,,,23.45,
 3000897,GLOVE SINGLE STRL LARGE,,272,,,,3.33,
 3000898,GLOVE SINGLE STRL UNISIZE,,272,,,,2.60,
 3000904,SUCTION RESEVOIR 100CC,,272,,,,56.32,
 3000911,STERI-STRIP 1/8 X 3,,272,,,,7.18,
 3000913,URETHRAL CATH TRAY,,272,,,,20.47,
 3000916,UROLOGICAL CATHETER 24 FR,,272,,,,57.46,
 3000932,HYDROGEL DRESSING,,272,,,,20.97,
 3000933,TEGAGEL 4X4 DRESSING,,272,,,,30.39,
 3000939,SYRINGE 12ML LUER LOCK,,272,,,,2.60,
 3000964,TEGADERM TRANSPARENT DRESSING 2 38 X 2,,272,,,,2.60,
 3000965,TEGADERM TRANSPARENT DRESSING 4X4 3/4,,272,,,,6.50,
 3000966,TEGADERM TRANSPARNET DRESSING 6X8,,272,,,,12.69,
 3000971,INSYTE IV CATH 18g 1.16,,272,,,,8.32,
 3000992,VASELINE PETROLEUM GAUZE 3X9,,272,,,,5.30,
 3000995,HOLLISTER 64MM 2 1/2  FLANGE,,272,,,,2.60,
 3000996,HOLLISTER 64MM 2 1/2  POUCH,,272,,,,2.60,
 3001006,INTUBATION STYLETTE 5.0mm TO 7.0mm,,272,,,,22.13,
 3001014,FOLEY CATH LATEX-FREE 18FR 2/WAY 30CC,,272,,,,78.99,
 3001020,BARRIER SKIN OINTMENT,,272,,,,28.44,
 3001021,SKIN BARRIER PASTE,,272,,,,50.96,
 3001024,STERI-STRIP 1/2 X 4,,272,,,,8.90,
 3001029,SENSI-TOUCH SURGICAL GLOVE 7,,272,,,,3.12,
 3001030,SENSI-TOUCH SURGICAL GLOVE SIZE 8,,272,,,,3.12,
 3001041,STERI-STRIP 1 x 5,,272,,,,17.97,
 3001042,STERI-STRIP 1/4 X 4,,272,,,,8.90,
 3001046,ADAPTIC NON-ADHERING DRESSING 3X3,,272,,,,3.40,
 3001048,FOLEY CATHETER 2/WAY 12FR 10CC LF,,272,,,,11.00,
 3001051,"MRSA KIT,STERILE",,272,,,,93.34,
 3001054,CATHETER KIT FEMALE,,272,,,,16.19,
 3001058,DISSECTING CANNULA L-HUCK,,272,,,,86.01,
 3001081,SODIUM CHLORIDE 9% 250ML POUR BOTTLE,,272,,,,11.43,
 3001085,SURE CLENS,,272,,,,24.46,
 3001093,SALEM SUMP ANTI-REFLUX VALVE,,272,,,,28.08,
 3001096,COMPRESSION SOCK,,272,,,,154.84,
 3001103,TEGADERM 8X12,,272,,,,22.71,
 3001105,POLYMEM SILVER 4.25 X 4.25 WOUND DRESSIN,,272,,,,33.35,
 3001130,ACE WRAP ELASTIC BANDAGE 4IN,,272,,,,7.90,
 3001134,CATHETER 24FR STRAIGHT 2WAY,,272,,,,25.99,
 3001162,ADHESIVE GAUZE SURGICAL DRESSING 4X8,,272,,,,8.11,
 3001169,TOOTHETTE PLUS SUCTION KIT,,272,,,,1.79,
 3001173,NEEDLE WHITACRE 22G X 3.5,,272,,,,28.32,
 3001176,ADHESIVE GAUZE SURGICAL DRESSING 8X6,,272,,,,8.11,
 3001214,SYRINGE 30CC LUER LOCK,,272,,,,3.74,
 3001217,INSYTE NEEDLE 20Gx1.16,,272,,,,8.32,
 3001218,SENSI-TOUCH SURGICAL GLOVE SIZE 8 1/2,,272,,,,3.85,
 3001221,FOLEY CATHETER 2/WAY 10FR 3CC PED0,,272,,,,45.29,
 3001222,FOLEY CATHETER 2/WAY 8FR 3CC PED,,272,,,,39.55,
 3001224,FOLEY CATHETER 2/WAY 14FR 5CC,,272,,,,23.73,
 3001286,CENTRAL LINE DRESSING KIT,,272,,,,26.11,
 3001344,INFANT AIR CUSHION RESUSCIATATION MASK,,272,,,,47.16,
 3001388,SUCTION CATHETER 6 FR,,272,,,,9.20,
 3001389,SUCTION CATH 8FR,,272,,,,10.76,
 3001403,BURN SHEET STERILE,,272,,,,27.77,
 3001447,MEPILEX BORDER 3x3 MOLNLYCKE,,272,,,,21.72,
 3001455,GAUZE SPONGE 8x4 STERILE,,272,,,,2.50,
 3001464,MEPILEX 4x4,,272,,,,27.08,
 3001467,MEPILEX BORDER 6x6,,272,,,,27.90,
 3001468,STATLOCK PICC PLUS,,272,,,,26.88,
 3001473,MEPILEX TRANSFER 6X8,,272,,,,38.22,
 3001479,MICRODON DRESSING 3 1/2X4,,272,,,,6.14,
 3001485,CHLORAPREP 3ml. ONE STEP,,272,,,,10.19,
 3001486,PACKING STRIP 2  IODOFORM,,272,,,,27.14,
 3001487,PACKING STRIP 1  IODOFORM,,272,,,,16.32,
 3001488,PACKING STRIP 1/2  IODOFORM,,272,,,,17.82,
 3001489,PACKING STRIP 1/4  IODOFORM,,272,,,,14.94,
 3001490,PACKING STRIP 2  PLAIN,,272,,,,27.14,
 3001491,PACKING STRIP 1  PLAIN,,272,,,,16.11,
 3001492,PACKING STRIP 1/2  PLAIN,,272,,,,14.22,
 3001493,PACKING STRIP 1/4  PLAIN,,272,,,,14.22,
 3001494,OWENS NON-ADHERENT SURGICAL DRESSING,,272,,,,23.37,
 3001502,CHLORAPREP 26ml. w/TINT,,272,,,,27.80,
 3001510,FOAM DRESSING 3x3,,272,,,,21.72,
 3001511,CURASORB CALCIUM AGINATE DRESSING 4x4,,272,,,,26.57,
 3001517,EYE PAD 2 1/8 x 2 5/8,,272,,,,2.60,
 3001518,FEEDING TUBE 12FR,,272,,,,59.23,
 3001519,FEEDING TUBE 14FR,,272,,,,8.11,
 3001520,PUMP SET 1000ml KANGAROO,,272,,,,28.27,
 3001525,FOLEY CATH LATEX-FREE 22FR 2/WAY 5CC,,272,,,,25.33,
 3001540,RED ROBIN CATH 10FR,,272,,,,3.74,
 3001541,RED ROBIN CATH 8FR,,272,,,,3.85,
 3001542,RED ROBIN CATH 12FR,,272,,,,3.85,
 3001543,RED ROBIN CATH 14FR,,272,,,,3.85,
 3001544,RED ROBIN CATH 16FR,,272,,,,3.85,
 3001545,RED ROBIN CATH 22FR,,272,,,,3.85,
 3001555,STOMAHESIVE SKIN BARRIER FLANGE,,272,,,,30.89,
 3001556,POUCH DRAINABLE ILEOSTOMY,,272,,,,28.70,
 3001565,ILEOSTOMY POUCH & WAFER KIT,,272,,,,153.71,
 3001578,ILEOSTOMY WAFER 1 3/4,,272,,,,18.22,
 3001582,ILEOSTOMY DRAINABLE POUCH,,272,,,,16.89,
 3001590,IV CATHETER NEEDLE 14Gx2 1/4,,272,,,,10.86,
 3001592,BARRIER SPRAY FILM,,272,,,,41.76,
 3001594,HISTO FREEZER 30 MIXED APPLICATOR,,272,,,,280.32,
 3001597,MITRAFLEX WOUND DRESSING 4 X 4,,272,,,,17.97,
 3001598,MITRAFLEX WOUND DRESSING 2 X 2,,272,,,,17.97,
 3001607,SYRINGE 10CC W/21X1 SAFETY NEEDLE,,272,,,,9.55,
 3001609,FOLEY CATHETER 2/WAY 30FR 5CC,,272,,,,49.71,
 3001618,FOLEY CATHETER 2/WAY 28FR 5CC,,272,,,,49.71,
 3001619,IMPREGNATED WINGED SPONGES FOIL PK,,272,,,,27.59,
 3001622,FOLEY CATH LATEX-FREE 20FR 2/WAY 5cc,,272,,,,24.61,
 3001623,FOLEY CATH LATEX-FREE 18FR 2/WAY 5CC,,272,,,,26.47,
 3001624,FOLEY CATH LATEX-FREE 16FR 2/WAY 30CC,,272,,,,11.00,
 3001625,FOLEY CATH LATEX-FREE 22FR 2/WAY 30CC,,272,,,,27.58,
 3001648,TEGADERM 4X10,,272,,,,14.23,
 3001654,AQUACELL HYDROFIBER 2X2 DRESSING,,272,,,,32.08,
 3001656,SILVASORB DRESSING AMD 2.5cm / silvasorb,,272,,,,27.85,
 3001710,UROLOGICAL CATHETER 28 FR,,272,,,,57.46,
 3001711,UROLOGICAL CATHETER 38 FR,,272,,,,57.46,
 3001742,WATER STRL 1000ml IRRIGATION FLEX CONTAI,,272,,,,26.72,
 3001749,SALINE WOUND WASH 3oz,,272,,,,25.04,
 3001750,SALINE WOUND WASH 7oz,,272,,,,24.47,
 3001751,SPONGE BUCKETS 4X4,,272,,,,6.30,
 3001767,NUMBY STUFF ELECTRODE,,272,,,,98.64,
 3001780,GEL WOUND DRESSING CURAFIL,,272,,,,31.25,
 3001783,STERILE WATER 250 ML POUR BOTTLE,,272,,,,11.43,
 3001784,TEGASORB HYDROCOLLOID SACRAL DRESSING,,272,,,,42.38,
 3001785,NO STING BARRIER SPRAY,,272,,,,35.95,
 3001802,CO2 DETECTOR EASY CAP,,272,,,,52.21,
 3001827,LARYNGEAL MASK SIZE 3,,272,,,,30.85,
 3001828,LARYNGEAL MASK SIZE 4,,272,,,,53.10,
 3001829,LARYNGEAL MASK SIZE 5,,272,,,,42.75,
 3001830,BURN JEL 1/8oz PACKET,,272,,,,41.55,
 3001842,CT SYRINGES FOR IV CONTRAST,,272,,,,23.22,
 3001847,FOGARTY CATH 6FR,,272,,,,188.32,
 3001848,FOGARTY CATH 5FR,,272,,,,188.32,
 3001854,CENTRAL LINE 3 LUMEN,,272,,,,139.77,
 3001856,DRAIN SILICONE ROUND HUBLESS,,272,,,,123.59,
 3001857,MEDIPORE PAD 3 1/2x4,,272,,,,6.14,
 3001869,DRAIN VALVE CHEST HEIMLICH,,272,,,,77.58,
 3001873,FRAZIER SUCTION TOOL W/ VENT 8FR,,272,,,,28.25,
 3001880,NEEDLE SET INFUSION WINGED CORE RESISTAN,,272,,,,27.45,
 3001881,TEGADERM HYDROCOLLOID  4x4 3/4,,272,,,,21.44,
 3001884,FOAM DRESSING 6x6,,272,,,,28.39,
 3001885,SPONGE DRAIN AMD 4X4,,272,,,,2.60,
 3001888,NUTRITION FEEDING BAG EASY ENTERAL,,272,,,,30.47,
 3001889,CATHETER PACING TEMPORARY ELECTRODE 5FR,,272,,,,268.05,
 3001890,CATHETER PACING TEMPORARY ELECTRODE 6FR,,272,,,,244.36,
 3001908,DRESSING WOUND THIN HYDROCOLLOID,,272,,,,17.32,
 3001912,CATHETER UMBILICAL POLYURETHANE 5FR x 15,,272,,,,79.04,
 3001913,CATHETER UMBILICAL TRAY 3.5FR x 5FR,,272,,,,67.96,
 3001914,SYRINGE ESOPHAGEL INTUBATION DETECTOR,,272,,,,29.05,
 3001923,SPONGE IV AMD 2X2,,272,,,,2.60,
 3001964,BANDAGE ESMARK 4  x 9,,272,,,,21.63,
 3001970,TEMP SENSOR TYMPANIC TRU-LINK - ADULT,,272,,,,32.24,
 3001975,DRAPE LOWER EXTREMITY 88x131,,272,,,,34.70,
 3001976,DRAPE UNIVERSAL EXTREMITY,,272,,,,34.95,
 3001977,PRESSURE IV INFUSOR 500 cc DISPOSABLE,,272,,,,85.49,
