Hospital Name:  AHMC GARFIELD MEDICAL CENTER,,,,
OSHPD Facility No: 106190315,,,,
"Effective Date of Charges: June 1, 2018",,,,
,,,,
,,,,
CDM,CHARGE DESCRIPTION , PRICE ,,
1640857,MESH PLATE,$713.00,,
1640964,CATH MULTI ACCESS T,$123.00,,
1641010,GW ST/BC,$945.00,,
1641013,GW ST/FT,$685.00,,
1641014,GW ST/NC,$265.00,,
1641015,GW ST/SD,$298.00,,
1641025,APPL SCLP CLP,$872.00,,
1641026,BSK SEQURA,$1915.00,,
1641028,BX FRCP FB24,$451.00,,
1641029,CLMP CORD  UMBIL,$37.00,,
1641134,TRY INTUBATON HP,$210.00,,
1641142,TRY PREP E-Z,$24.00,,
1641143,TRY PREP OB  H/P,$160.00,,
1641144,TRY REMV SUT,$26.00,,
1641145,TRY SUT MIN H/P,$238.29,,
1641146,TRU TB CHST H/P,$1232.10,,
1641147,TRY TB CHST H/P,$584.00,,
1641148,TRY  THORACENTES,$367.00,,
1641149,TRY THORACENTES,$1167.00,,
1641150,TRY THORCTMY H/P,$806.00,,
1641151,TRY TRACHSTMY HP,$876.00,,
1641152,TRY TRANSF XCHA,$1181.00,,
1641153,TRY TRIP/LUMEN,$177.00,,
1641154,TRY TUBOPLASTY,$252.00,,
1641155,TRY UROLOGIST,$344.00,,
1641156,TRY WOUND FACE,$287.00,,
1641157,ULTRATOME,$2088.00,,
1641158,MISC-TRY,$0.00,,
1641159,C/S EQUIP/SUPPLIES,$0.00,,
1641160,EQ AUTOSYR INFU ST,$557.00,,
1641161,BG AUTOTRANS,$712.80,,
1641162,BG PRESS INFU,$388.80,,
1641163,BLNKT AIR WARM,$240.65,,
1641164,CRTRDG DILY RENAL,$783.00,,
1641165,EQ CELLSAVER,$0.01,,
1641166,CUFF BLOOD,$124.00,,
1641167,CUFFS DISP BLOOD,$263.00,,
1641168,CUP VACUUM EXTR,$789.00,,
1641169,DIALYS CATH RENL,$455.96,,
1641170,EQ DIALYS RENAL,$0.01,,
1641171,ELCTRD PD,$32.00,,
1641172,EQ AIRBED D,$1613.00,,
1641173,EQ ANAL CO2,$329.00,,
1641174,EQ BD ACUCARE,$668.00,,
1641175,EQ BD ACCUCARE D,$735.00,,
1641176,EQ BD ACCUCARE SU,$735.00,,
1641177,EQ BD AIR FLD SU,$1952.00,,
1641178,EQ BD CLINITRON D,$762.00,,
1641179,EQ BD CLINITRON SU,$1028.00,,
1641180,EQ BD FLXICRE D,$854.00,,
1641181,EQ BD FLXICRE SU,$1119.00,,
1641182,EQ BD MC3 D,$873.00,,
1641183,EQ BD MC3 SU,$1059.00,,
1641184,EQ BD RESTCUE,$762.00,,
1641185,EQ COMMODE D,$24.00,,
1641186,EQ CPM MACHINE,$441.00,,
1641187,EQ CPM S/U,$762.00,,
1641188,EQ CRADL WO HT D,$762.00,,
1641189,EQ CRANIOTME USE,$1662.00,,
1641190,EQ CRT CRD ARES,$0.01,,
1641191,EQ CRT ISOLATION,$441.00,,
1641192,EQ CRUTCH,$0.01,,
1641193,EQ CT BI-POLAR,$0.01,,
1641194,EQ DEFIBRILLATOR,$0.01,,
1641195,EQ DOPL ULTRSND,$0.01,,
1641196,EQ DRILL ANSPACH,$0.01,,
1641197,EQ ER BP MNTR,$468.00,,
1641198,EQ ER CARD MNTR,$414.00,,
1641199,EQ EYE ASP/CRYO,$886.00,,
1641200,EQ EYE ASP/EMULS,$0.01,,
1641201,EQ EYE ASP/OCUTM,$0.01,,
1641202,EQ FLOSWITCH,$0.01,,
1641203,EQ GOMCO SU,$886.00,,
1641204,EQ HEADLGT FIBRP,$0.01,,
1641205,EQ HYPOTHRM D,$441.00,,
1641206,EQ EQ HYPOTHRM SU,$0.01,,
1641207,EQ INSRT C-WIRE,$0.01,,
1641208,EQ ISOLATION D,$0.01,,
1641224,EQ MNTR FTL SU,$0.01,,
1641232,EQ PUMP BRST,$0.01,,
1641233,EQ PMP EXTRM D,$334.00,,
1641235,EQ PMP FEED D,$177.00,,
1641240,EQ PMP IV D,$24.00,,
1641241,EQ PMP IV DUAL,$24.00,,
1641290,PACU PULSE OXIMTR,$0.01,,
1641328,HR IN RENTAL FEE,$0.00,,
1641353,SPLNT SHLDR HERT,$496.00,,
1641369,EYE CORNEA,$1747.00,,
1641370,EYE IOL (PRESBYOPIA),$1386.00,,
1641375,"EYE, IOL (PRESBYOPIA)",$1358.00,,
1641380,CATH VENTR,$1043.00,,
1641381,CLIP ANEURP,$2825.00,,
1641382, GRFT CV FABR 4,$951.00,,
1641383, GRFT CV,$905.00,,
1641384,GRFT GRTX,$1645.00,,
1641386,GRFT MESH MARLX,$927.00,,
1641387,GRFT MESH PROLN,$1667.00,,
1641389,GRFT PATCH DACRON,$1281.00,,
1641391,IMP GRFT VALSALVA,$11275.00,,
1641398,HOLTR VENTRL RS,$618.00,,
1641399,OH MITRAL/TRICUSPID RING,$20900.00,,
1641403,"PACEMAKER, SINGLE CHAMBER RATE RESP",$31093.98,,
1641404,"PACEMAKER, DUAL CHAMBER RATE-RESP",$44431.46,,
1641405,"INTRODUCERS/SHEALTH, FIXED, NON-P(ALL)S",$1370.00,,
1641408,"LEAD, NEUROSTIMLATOR",$8500.00,,
1641409,"LEAD, PMKS, TRANSVENOUS VDD",$4953.60,,
1641414,SHNT CATH PERT,$3932.00,,
1641415,SHNT CATH VENT,$784.00,,
1641416,SHNT CONN NEURO,$8752.00,,
1641421,DRP C-ARM,$67.00,,
1641422,DRP CAMERA,$373.00,,
1641423,DRP DISP,$391.00,,
1641424,DRP EAR 1 BLUE,$263.00,,
1641425,DRP EYE,$245.00,,
1641426,DRP GOWN AS,$50.00,,
1641427,DRP GOWN H/P,$252.00,,
1641428,DRP IOBAN,$690.00,,
1641429,DRP ISO IOBAN,$427.00,,
1641430,DRP LAP,$292.00,,
1641432,DRP LAP TRANS,$255.00,,
1641433,DRP LAP 2X5,$303.00,,
1641434,DRP LAP 3X12,$231.00,,
1641435,DRP LIMB ISL AS,$779.00,,
1641436,DRP MAYO COVER,$41.00,,
1641437,DRP MICRO,$231.00,,
1641438,DRP PD PREP,$149.00,,
1641439,DRP SHEET,$261.00,,
1641440,DRP SHEET CRAN,$131.00,,
1641441,DRP SHEET EXTR,$262.00,,
1641442,DRP SHEET LG,$107.00,,
1641443,DRP SHEET LIMB,$67.00,,
1641444,DRP SHEET SPLT,$304.00,,
1641446,DRP SLEEVE S,$693.00,,
1641447,DRP STRI AP/LG,$288.00,,
1641448,DRP STRI AP/SS,$93.00,,
1641450,DRP STRI INCLG,$149.00,,
1641451,DRP STRI INCSM,$174.00,,
1641453,DRP STRI POUCH,$896.00,,
1641454,DRP STRI TOWLG,$80.00,,
1641455,DRP STRI URO,$263.00,,
1641456,DRP STRI X-LG,$174.00,,
1641457,DRP SURG,$276.00,,
1641458,DRP THYROID,$60.00,,
1641459,DRP TOWEL FEN,$32.00,,
1641460,DRP XRAY CASET,$46.00,,
1641461,DRP XRAYINTEN,$334.00,,
1641462,OHS CUSTOM PK,$2178.00,,
1641463,PK ANGIOGRAM,$1152.00,,
1641464,PK ARTHROSCOPY,$413.00,,
1641468,PK CARD CATH,$961.00,,
1641469,PK CYSTO,$67.00,,
1641470,PK EYE,$1902.00,,
1641471,PK EYE I/A   PRT,$145.00,,
1641473,PK LAPAROS,$50.00,,
1641474,PK LITHOT,$539.00,,
1641475,PK MAJOR,$308.00,,
1641476,PK MINOR,$278.00,,
1641477,PK OB,$889.00,,
1641478,PK OB CEASARA,$1083.00,,
1641479,PK OB/GYN,$388.00,,
1641481,PK PERI/GYN,$63.00,,
1641483,PK PERNL WARM,$75.00,,
1641484,PK VASCULAR,$420.00,,
1641486,.CT DUAL SYRINGE,$234.00,,
1641487,GELPORT LAPAROSCOPIC SYSTEM,$2993.40,,
1641488,LIGASURE IMPACT,$87.00,,
1641489,ON Q PUMP,$76.00,,
1641490,ECHELON RELOAD,$855.00,,
1641491,ECHELON STAPLING DEVICE,$1567.00,,
1641492,BENDING PLIERS,$636.00,,
1641493,TRANSPHENOIDAL TRAY,$1906.00,,
1641494,DURAFORM PATCH GRAFT,$1755.00,,
1641495,BAKRI POSTPARTUM BALLOON,$1194.00,,
1641496,MEMORY BOX,$363.00,,
1641497,THORACOPORT,$504.00,,
1641498,ENDO GIA HANDPIECE,$2130.00,,
1641499,ENDO GIA ROTICULATOR,$2482.00,,
1641500,DBX MIX CEMENT,$18150.00,,
1641501,GEL CUSHION 22 X 18,$884.00,,
1641502,AEROSOL MASK,$11.00,,
1641503,AEROSOL DRAIN BAG,$17.00,,
1641504,AEROSOL TRACH COLLAR,$33.00,,
1641505,BIPAP MASK,$783.00,,
1641506,BIPAP CIRCUIT,$352.00,,
1641507,BIPAP BACTERIAL FILTER,$29.00,,
1641508,HHN TX AERO/MASK,$11.00,,
1641509,HHN TX HEART NEB,$247.00,,
1641510,IPPB MASK,$44.00,,
1641511,IPPB BACTERIAL FILTER,$29.00,,
1641512,O2 NASAL CAN.EXTSN,$38.00,,
1641513,O2 SIMPLE MASK,$17.00,,
1641514,O2 VENTURI-MASK,$57.00,,
1641515,O2 NON-REB MASK,$42.00,,
1641516,VOL.VENT.H2O COLMN/CNCHA,$363.00,,
1641517,VOL.VENT.HME,$88.00,,
1641518,VOL.VENT.MAINLINE FILTER,$52.00,,
1641519,VOL.VENT.H2O TRAP,$46.00,,
1641520,VOL.VENT.CIRCUIT,$65.00,,
1641521,SUT SURGICAL STEEL WIRES,$563.00,,
1641522,SUT UROLOGY,$60.00,,
1641523,SUT CV-VALVE,$552.00,,
1641524,SUT CARDIAC,$1204.00,,
1641525,SUT FREE NEEDLE,$89.00,,
1641526,SUT PLASTIC,$98.00,,
1641527,SUT ENT,$89.00,,
1641528,SUT CARDIO VASCULAR,$436.00,,
1641529,SUT GENERAL,$122.00,,
1641530,SUT OPHTHALMIC,$92.00,,
1641531,SUT NEUROLOGY,$45.00,,
1641532,SUT SKIN CLOSURES,$56.00,,
1641533,SUT BOWEL,$88.00,,
1650000,TRACH SPEAKING VALVE,$262.00,,
1650001,CATH TRANS ATHERC,$5359.00,,
1650002,CATH HEMODIALYSIS,$7494.00,,
1650003,"IMP INFUSION PUMP, NONPROGAM TEMPORARY",$390.00,,
1650004,"IMP PORT, INDWELLING (IMPLANTABLE)",$1846.00,,
1650005,IMP INTERSPINOUS,$28484.00,,
1650006,"TRAY, BONE PREP",$1536.30,,
1650007,NEPTUNE MANIFOLD,$519.30,,
1650008,DUPACO PRONE VIEW,$269.10,,
1650009,TISSUE STABILIZER OCTOPUS,$8937.00,,
1650010,ST MICROBE ANESTHESIA,$272.00,,
1650011,CARDIO BLATE LP DEVICE,$26806.00,,
1650012,CARDIO BLATE XL PEN,$10029.00,,
1650013,KIT MANIFOLD,$519.30,,
1650014,FLOSEAL,$1725.06,,
1650015,PACING CABLE,$502.20,,
1650016,INSERT STEALTH (OFF PUMP),$208.00,,
1650017,DRAPE,$133.00,,
1650018,MULTI PERFUSION SET,$432.90,,
1650019,BIOMEDICUS-VENOUS FEMORAL,$2856.00,,
1650020,BLOWMISTER,$621.00,,
1650021,SHUNT INTRALUMINAL,$1277.00,,
1650022,OCCLUDER INTRALUMINAL,$2501.00,,
1650023,TAPE RETRACT O,$432.90,,
1650024,MAGNA MODEL 3000,$37103.00,,
1650025,ARGLAES,$899.10,,
1650026,CARGDIOPLEGIA RETROGRADE,$1160.00,,
1650027,CARDPA PUMP (FOR VAVLE),$913.00,,
1650028,MAXOSORB,$208.00,,
1650029,DRESSING COVERLET,$56.00,,
1650030,IMP BAND COSGROVE ANNULPLASTY,$9955.00,,
1650031,IMP FLEX IMPLANT TUBE BRACHYTHERAPY,$487.00,,
1650032,SET ACL INSTRUMENTATION,$2245.00,,
1650033,SCREW BIO INTERFERENCE,$1496.00,,
1650034,"EQ, TUNA",$7852.00,,
1650035,"EQ, LASER HOLMIUM",$0.01,,
1650036,"EQ,ERBE",$0.01,,
1650037,"EQ, ESWL (RENTAL)",$0.01,,
1650038,"EQ, ULTRASCAN (CRANIO)",$0.01,,
1650039,"IMP PROSTH, PENILE NON-INFLAT",$35182.00,,
1650040,"IMP PROSTH, PENILE, INFLATABLE",$35182.00,,
1650041,"IMP STNT, BILARY",$973.00,,
1650042,ALARIS TUBING,$1724.00,,
1650043,"BLAKE, DRAIN",$1551.60,,
1650044,HYDRATOME,$2280.00,,
1650045,"DEVICE, LOCKING",$1012.50,,
1650046,"DRSG, MEROGEL",$780.00,,
1650047,"IRRIGATOR, SIMPULSE",$1849.50,,
1650048,SITE RITE,$960.30,,
1650049,"KT, WILSONFRAME",$0.01,,
1650050,"DRAPE, URINE",$4152.00,,
1650051,"KT, AMS (PENILE) ACCESSORY",$62275.00,,
1650052,RESERVOIR,$9000.00,,
1650053,"KT, NONSTACKING (PENILE)",$1028.00,,
1650054,SCROTAL (PENILE) RSTRACTION SYS,$1824.00,,
1650055,"IMP PROSTH, ENDO UROLUME",$25381.00,,
1650056,CATH MEASURING,$1028.00,,
1650057,"DEVICE, BONE BX (KYPHX)",$1173.00,,
1650058,"BONE, CLEMENT (KYPHO MIXER)",$1491.00,,
1650059,"KIT, FRACTURE (KYPHO)",$24277.00,,
1650060,IMP BREAST/TISSUE EXPAN,$24450.00,,
1650061,"PERICARD, SUTION TUBE",$104.00,,
1650062,"KIT, TISSEASL",$1747.00,,
1650063,SEALANT COSEAL,$4642.00,,
1650064,Y ADAPTOR,$206.00,,
1650065,CARDIAC SUMP,$232.20,,
1650066,FLOSEAL W/THROMBYCIN,$786.00,,
1650067,SPINE (PEEKCAGE),$48945.00,,
1650068,SPINE SCREW SET,$1967.00,,
1650069,IMP SPINE LUCENT VBR,$22990.00,,
1650070,IMP SPINE SCREW,$4961.00,,
1650071,"SPINE, PREBENT",$2105.00,,
1650072,STNT COLONIC,$13725.00,,
1650073,HAKIM VENTRICULAR CATH,$21221.00,,
1650074,HAKIM PROGRAMABLE VALUE,$17170.00,,
1650075,RICKHAM RESERVOIR,$1176.00,,
1650076,ACCU-FLOWW CONNECTOR,$999.00,,
1650077,SLING SYSTEM,$8520.00,,
1650078,"IMP PISTON, SMART - EAR STAPES",$2357.00,,
1650079,OH CARDIOBLATE LP DEVICE,$21629.00,,
1650080,OH CONNECTOR,$553.00,,
1650081,HARMONIC SCALPEL,$728.13,,
1650082,INTRACEED,$1929.00,,
1650083,OCTOBASE,$0.01,,
1650084,COBLATOR,$1629.90,,
1650085,KTP LASER,$0.01,,
1650086,BUGBEE,$721.00,,
1650087,RESOLUTION CLIP,$1313.00,,
1650088,"NEEDLE, SCHLEROTHERAPY",$1609.00,,
1650089,"LITHOTRIPTOR, MECHANICAL",$0.01,,
1650090,ROTH NET,$1448.10,,
1650091,KYPHON WEDGE TIP,$1539.00,,
1650092,EVICEL 5ML,$3654.00,,
1650093,EVICEL 2ML,$1707.00,,
1650094,EVICEL 1 ML,$923.00,,
1650095,IMP LIGAMENT PATELLA,$15125.00,,
1650096,"CATH, DECATHLON",$2130.00,,
1650097,"IMP CLAMP, CRAINAL FLAT",$2319.00,,
1650098,IMP SPACER ACF,$10000.00,,
1650099,"IMP PLATE, VECTRA ONE",$9596.00,,
1650100,IMP BONE PUTTY,$9000.00,,
1650101,IMP PROCEED MESH 6x8,$5077.00,,
1650102,EPIFILM,$656.00,,
1650103,LINVATEC DRILL,$239.00,,
1650104,PPH HEMORRHOIDS,$1635.00,,
1650105,ARTHROWAND / ARTHROCARE,$728.00,,
1650106,MULTIPLE BAND LIGATOR,$1795.00,,
1650107,NOVASURE ABLATION,$6878.00,,
1650108,SUTURABLE DURAGEN,$2756.00,,
1650109,SEALING,$164.00,,
1650110,SEPRAFILM,$747.00,,
1650111,LONESTAR,$212.00,,
1650112,MAZE,$4357.00,,
1650113,ABC HANDPIECE,$1953.90,,
1650114,IMP HIP END CAP,$2040.00,,
1650115,IMP BI- VENTICULAR ICD,$130680.00,,
1650116,IMP PROCEED MESH 10x13,$12700.00,,
1650117,"IMP STNT, ESOPHAGEAL",$15459.00,,
1650118,IMP BONEGRAFT INFUSION KIT,$31763.00,,
1650119,"IMP LEAD, AICD (BI-VENTICULAR)",$25008.15,,
1650120,"IMP STNT, BIFURCATED GRAFT",$47645.00,,
1650121,ILIAC LIMB,$22537.00,,
1650122,AORTIC CUFFS,$14520.00,,
1650123,"STNT, CATHETER BALLOON GRAFT",$2693.00,,
1650124,"ORTHOTIC, SPIN/LUM BACK BRACE",$825.00,,
1650125,"ORTHOTIC, (KO) KNEE BRACE",$2640.00,,
1650126,"ORTHOTIC,(TLSO) SPIN/LUMB BACK BRACE",$2800.00,,
1650127,IMP CARDIAC EVENT RECORDER,$25300.00,,
1650128,"EQUIP, CUSA (SUSA)",$0.01,,
1650129,IMP COLLAGEN,$16075.00,,
1650130,TUTOPLAST FASCIA LATA,$6831.00,,
1650131,ENDOSCOPIC VEIN SYSTEM,$5146.20,,
1650132,IMP ALLOGRAFT TISSUE,$3072.00,,
1650133,CANCELLOUS CHIPS,$2300.00,,
1650134,ANTERIOR SYNTHETIC SUPPORT SYSTEM,$8938.00,,
1650135,URETH SUPPORT SYSTEM,$6023.00,,
1650136,.CL INTRAVASCULAR U/S (IVUS),$1486.00,,
1650139,CABLE WITH CRIMP,$2574.00,,
1650140,"IMP LEAD, CORONARY VENOUS",$17000.00,,
1650141,IMP CERVICAL COMPRESSIVE MINI FRAME,$18123.00,,
1650142,IMP CORMATRIX PERICARDIAL CLOSURE,$5363.00,,
1650143,IMP INSERT ANTEGRADE,$2585.00,,
1650144,ORTH LOCKING RING,$853.00,,
1650145,IMP CRANIAL MESH,$15042.00,,
1650146,IMP FISTULA PLUG,$2723.00,,
1650147,IMP ARTICULAR HEMICAP,$11550.00,,
1650150,IMP NEUROGEN WRAP 7MM,$8721.00,,
1650151,IMP DELIVERY NEEDLE,$2125.00,,
1650152,IMP NORIAN BONE FILLER,$8223.00,,
1650155,AMS-800 RES. REGULATION BALLOON,$11395.00,,
1650157,AMS-800 CUFF WITH IZ,$23320.00,,
1650159,AMS-800 CONTROL PUMP WITH IZ,$23850.00,,
1650161,AQUAMANTYS MACHINE RENTAL,$0.01,,
1650163,VIT IM-INTER FUSE,$13500.00,,
1650165,PIONEER BAC FUSE,$54900.00,,
1650167,"LEAD, PACEMAKER OTH THAN TRANS VDD SINGL",$4195.36,,
1650169,OPEN HEART PERFUSSION KIT,$3390.00,,
1650171,"PROSTHESIS,BREAST(IMPLANTABLE",$34500.00,,
1650813,IMP URETH SUPPORT SYSTEM,$6023.00,,
1650814,IMP CHEST WALL MESH,$14449.00,,
1650815,IMP APEX TIBIA PIN,$1276.00,,
1650816,IMP TIBIA COUPLING,$6754.00,,
1650817,IMP TIBIA HOLE CLAMP,$7156.00,,
1650818,IMP TIBIA POST,$1337.00,,
1650819,IMP TIBIA RODS,$2068.00,,
1650820,IMP MINI BEAD KIT,$7300.00,,
1650821,IMP CRS BONE CEMENT 10cc,$16207.00,,
1650846,PACU OXYGEN,$0.00,,
1650854,CABLE SLEEVE SET,$1469.70,,
1650855,EQ RENTAL STEM CELL HARVEST,$3939.00,,
1650860,SKIN SHAVER,$215.00,,
1650861,TURBINATE BLADE,$997.00,,
1650862,"SHOE, PLATE TITANIUM FOOT",$564.00,,
1650865,"NEEDLE, SCORPION",$1433.00,,
1650866,IMP INTEGRA MATRIX WOUND DRESSING,$11158.00,,
1650868,"IMP HARVEST, DERMA CARRIER SKIN GRAFT",$2874.00,,
1650869,"IMP SCREW, DISTAL RADIUS FIXATOR",$15367.00,,
1650870,IMP LINEAR ST CONTACT LEAD KIT,$12100.00,,
1650871,IMP PRECISION PULSE GENERATOR KIT,$82214.00,,
1650872,IMP SCS CHARGING SYSTEM,$13327.00,,
1650873,IMP PATIENT PROGRAM KIT,$4475.00,,
1650874,DERMA CARRIER SKIN GRAFT,$2743.00,,
1650876,EQ ISOLATOR SYNERGY CLAMP,$0.01,,
1650877,EQ VATS,$0.01,,
1650878,DUET 45 STAPLER,$3971.00,,
1650879,DUET 60 STAPLER,$4164.00,,
1650881,IMP ELEVATE ANTERIOR AND APICAL SYSTEM,$10973.00,,
1650882,ISOCOOL FORCEP TIP,$2466.00,,
1650883,ENDOCLOSE,$734.00,,
1650884,EQ DEBRIDER,$0.01,,
1650885,EQ RADIO FREQUENCY,$0.01,,
1650886,EQ STEREOTACTIC MACHINE,$7800.00,,
1650887,EQ MIZUMO KELLY SET,$0.01,,
1650888,TRU-CUT BLADE,$1040.00,,
1650889,MAQUET OFF PUMP,$5114.70,,
1650890,EQ RENTAL MINIMAL INVASIVE OHS,$1414.00,,
1650891,IMP CORONARY SINUS CATHETER,$11413.00,,
1650892,IMP ENDO VENT CATHETER,$7810.00,,
1650893,EQ RENTAL NAVIGATION SYSTEM,$0.01,,
1650894,IMP GRAFT JACKET,$68885.00,,
1650895,IMP HIP PLATE,$8701.00,,
1650896,IMP CONTOURED REAMER,$6635.00,,
1650897,IMP PRES REG BALLOON,$18062.00,,
1650898,IMP CONTROL PUMP,$39391.00,,
1650899,IMP CUFF,$39391.00,,
1650900,KIT ACCESSORY,$2470.00,,
1650901,TRY PARACENTHESIS,$1167.00,,
1650902,SUTURE CARTRIDGE,$1250.00,,
1650903,SUTURE CONNECTOR,$1192.00,,
1650904,IMP SPEED SCREW,$2530.00,,
1650905,IMP TENOFIX TENDON REPAIR TRAY,$2530.00,,
1650906,EQ ATRICURE ABLATION PROBE,$0.01,,
1650907,EQ ATRICURE ABLATION ISOLATER,$0.01,,
1650908,EQ SOLO GRIP HAND PIECE SYSTEM,$33784.00,,
1650909,IMP ESSURE KIT,$5638.00,,
1650910,"IMP, DISTAFLO GRAFT",$10142.00,,
1650911,EQ (rental) NEURO MICROSCOPE,$6458.00,,
1650913,IMP CRANIAL MALLEABLE MESH,$30000.00,,
1650915,IMP SPINAL CROSSLINK,$6300.00,,
1650917,"IMP, FLUENCY COVER STENT",$12800.00,,
1650919,"IMP, GORE COVER STENT 10 CM",$15250.00,,
1650921,"IMP, CROSSER T.O. CATHETER",$11524.00,,
1650923,MICRO SHEATH SUPPORT CATHETER,$1707.00,,
1650925,SNARE RETRIEVER,$2811.00,,
1650927,TREROTOLA 5 FR BASKET,$2490.00,,
1650929,TREROTOLA MOTOR DRIVE,$639.00,,
1650931,"IMP, CLEANER THROMBECTOMY DEVICE",$3625.00,,
1650933,QUICK CROSS SUPPORT CATHETER,$4384.00,,
1650935, LOCKING PIGTAIL,$508.00,,
1650937, PACEMAKER CABLE,$342.00,,
1650939,PORTA CATH KIT,$1980.00,,
1650941,SHEATH 45 CM,$447.00,,
1650943,SHEATH 65 CM,$487.00,,
1650945,SHEATH  90 CM,$604.00,,
1650947,"IMP, LONG BALLOON >4CM",$2255.00,,
1650949,NESTER EMBOLIZATION COIL,$524.00,,
1650951,TIPS KIT,$2814.00,,
1650953,LIVER BIOPSY SET,$2163.00,,
1650955,GI SUTURE ANCHOR SET,$482.00,,
1650957,GUIDE LINER,$2074.00,,
1650959,GASTROSTOMY SET,$1281.00,,
1650961,HIGH PRESSURE BALLOON,$1150.00,,
1650963,TIGHT ROPE REPAIR KIT,$3049.00,,
1650965,MENISCA CINCH,$1497.00,,
1650967,IMP CONDUCT MATRIX,$9560.00,,
1650969,IMP ARTEGRAFT COLLAGEN GRAFT,$5295.00,,
1650971,STONE BREAKER,$1418.00,,
1650973,"IMP, ACTIFUSE ABX 10CC/0.5 CC",$12600.00,,
1650975,"IMP, ALLOGRAFT TISSUE MEDIUM SQ CM",$15750.00,,
1650977,"IMP, ILLIUM TRICORTICAL WEDGE MM",$12600.00,,
1650979,"IMP, RIB GRAFT MM",$7875.00,,
1650981,FIBRIN SEALANT PATCH,$3124.00,,
1650983,"IMP, PDS FLEXIBLE PLATE",$1495.00,,
1650985,VASC COID SYSTEM 15MM X 30CM,$6682.00,,
1650987,VASC COID SYSTEM 20MM X 30CM,$6682.00,,
1650989,VASC COID SYSTEM 5MM X 10CM,$1739.00,,
1650991,VASC COID SYSTEM 6MM X 10CM,$1739.00,,
1650993,VASC COID SYSTEM 8MM X 14CM,$1888.00,,
1650995,VASC COID SYSTEM 10MM X 14CM,$1888.00,,
1650997,VASC COID SYSTEM 15MM X 14CM,$1888.00,,
1650999,"IMP, VASCULAR PLUG",$4000.00,,
1651001,PHANTOM LIGHT CABLE,$4371.00,,
1651003,HEART STRING,$2835.00,,
1651005,ESSURE STERILIZATION SUPPLIES,$315.00,,
1651007,SILVER ANTIMICROBIAL DRESSING,$252.00,,
1651009,COMFORT BATH BATHING SYSTEM ALL,$10.00,,
1651011,SECURESTRAP 5MM,$2567.00,,
1651013,PLATELET GEL KIT,$2318.26,,
1651015,CENTRIFUGE SEPARATER MACHINE,$322.00,,
1651017,ASPIRA CANTHESIS CATHETER,$4000.00,,
1651019,"IMP, PRIME DE STENT",$10125.00,,
1651021,TORNUS T DEVICE,$4174.00,,
1651023,EXTRACTION CATHETER,$2625.00,,
1651025,MICROCATHETER (PROGREAT),$1628.00,,
1651027,QUADRASPHERES,$10238.00,,
1651029,EMBOSPERES,$1381.00,,
1651031,FILTER WIRE,$8369.00,,
1651033,ROTOBLADER,$6489.00,,
1651035, CL EP INTRODUCER SHEATH,$4125.00,,
1651037,CL EP DIAGNOSTIC CATHETER,$650.00,,
1651039,CL CHATH EP DIAG/ABLAT. 3D/VECT,$54125.00,,
1651041,CL CARTO3 CABLES,$10485.00,,
1651043,CL EP CABLE,$2925.00,,
1651045,CL 3D ULTRASOUND CATH,$62500.00,,
1651047,CL STEERABLE INTRODUCER,$23750.00,,
1651049,"IMP, MTF FLEX HD MESH",$67980.00,,
1651051,"IMP, PIONEER RE-ENTRY CATHETER",$15975.00,,
1651053,"IMP, SE STENT 150MM",$11250.00,,
1651055,"IMP, SE STENT 80MM",$8500.00,,
1651057,"CL 2,3,4MM BALLOON 150MML",$2775.00,,
1651059,DESTINATION SHEATH 45CM,$452.00,,
1651061,DESTINATION SHEATH 65CM,$487.00,,
1651063,SUTURE GUIDE,$134.00,,
1651065,HEART STRING,$2977.00,,
1651067,VEIN CANNULA,$166.00,,
1651069,PRO GEL KIT,$18700.00,,
1651071,QUICK STAPLE,$6780.00,,
1651073,PROPATEN  VASCULAR GRAFT,$15492.00,,
1651075,OH TRICUSPID VALVE,$18700.00,,
1651077,"IMP, MECHANICAL VALVE (AORTIC & MITRAL",$31350.00,,
1651079,APPLIED GELPOINT PATH TRANS ACCESS,$4332.00,,
1651081,CERVICAL RETRACTOR,$2625.00,,
1651083,"IMP, RESTORELLE MESH",$5425.00,,
1651085,"IMP, VITOSS BA2X",$13050.00,,
1651087,CPD BLOOD KIT,$54.00,,
1651089,CUSTOM ANKLE FOOT ORTHOSIS 1,$4840.00,,
1651091,CUSTOM ANKLE FOOT ORTHOSIS II,$12400.00,,
1651093,CUSTOM ANKLE FOOT ORTHOSIS III,$23500.00,,
1651095,CUSTOM BACK BRACE TLSO I,$5500.00,,
1651097,CUSTOM BACK BRACE TLSO II,$13000.00,,
1651099,CUSTOM BADY JACK I,$7000.00,,
1651101,CUSTOM BADY JACK II,$15000.00,,
1651103,CUSTOM LOS I,$2000.00,,
1651105,CUSTOM LOS II,$5000.00,,
1651107,ASPIRA PLEURAL KIT,$9370.00,,
1651109,SYNTHES WASHER,$166.00,,
1651111,"IMP, STERNUM WIRE PLATE",$1750.00,,
1651113,"IMP, ATRI CLIP DEVICE",$6250.00,,
1651115,ANKLE DISTRACTOR LOANER,$950.00,,
1651117,SMALL JOINT KIT,$625.00,,
1651119,SMALL SUTURE KIT,$1525.00,,
1651121,MINI PUSHLOCK KIT,$865.00,,
1651123,ANKLE ARTHROSCOPY TRAY,$1530.00,,
