Standard Charge Description,Charge Description Master,Charge as of 1.1.19
ULTRASOUND OF FETAL HEART BLOOD FLOW,40850215,"1,016.00"
ULTRASOUND OF FETAL UMBILICAL ARTERY FLOW RATE,40850213,450.00
ULTRASOUND OF FETUS,40850212,604.00
ULTRASOUND OF HEAD AND NECK,41271539,767.80
"ULTRASOUND OF HIPS WITH MANIPULATION, INFANT",41271513,421.50
"ULTRASOUND OF HIPS, INFANT",41317689,224.75
ULTRASOUND OF ONE BREAST,31730090,436.15
ULTRASOUND OF ONE BREAST,31739780,436.15
ULTRASOUND OF PELVIS,41271527,730.70
ULTRASOUND OF PELVIS,41271509,730.70
"ULTRASOUND OF PREGNANT UTERUS, 1 OR MORE FETUS(ES)",40790105,204.75
ULTRASOUND OF RECTUM,41311313,682.30
ULTRASOUND OF SCROTUM,41271536,665.45
ULTRASOUND OF SPINAL CANAL,41316800,556.85
ULTRASOUND OF TRANSPLANTED KIDNEY,41271535,627.20
ULTRASOUND OF UTERUS,41317103,"1,129.60"
ULTRASOUND PELVIS THROUGH VAGINA,41271529,691.05
"ULTRASOUND RE-EVALUATION OF PREGNANT UTERUS, PER FETUS",40850209,362.00
ULTRASOUND SCAN OF VEINS OF BOTH ARMS OR LEGS INCLUDING ASSESSMENT OF COMPRESSION AND FUNCTIONAL MANEUVERS,41271540,"1,274.30"
ULTRASOUND SCAN OF VEINS OF ONE ARM OR LEG OR LIMITED INCLUDING ASSESSMENT OF COMPRESSION AND FUNCTIONAL MANEUVERS,41271542,891.85
ULTRASOUND SCAN OF VENA CAVA OR GROIN GRAFT OR VESSEL BLOOD FLOW,41271502,662.55
ULTRASOUND SCANNING OF BLOOD FLOW (OUTSIDE OF BRAIN) ON ONE SIDE OF HEAD AND NECK OR LIMITED,41311302,880.20
ULTRASOUND SCANNING OF BLOOD FLOW (OUTSIDE THE BRAIN) ON BOTH SIDES OF HEAD AND NECK,41271510,"1,320.40"
ULTRASOUND SCANNING OF HEAD AND NECK VESSEL BLOOD FLOW (INSIDE THE BRAIN),41311304,445.90
ULTRASOUND STUDY OF ARTERIES AND ARTERIAL GRAFTS OF BOTH ARMS,41271506,794.20
ULTRASOUND STUDY OF ARTERIES AND ARTERIAL GRAFTS OF BOTH LEGS,41310398,344.00
ULTRASOUND STUDY OF ARTERIES AND ARTERIAL GRAFTS OF ONE ARM OR LIMITED,41271507,453.85
ULTRASOUND STUDY OF ARTERIES AND ARTERIAL GRAFTS OF ONE ARM OR LIMITED,41311322,453.85
ULTRASOUND STUDY OF ARTERIES AND ARTERIAL GRAFTS OF ONE LEG OR LIMITED,41271543,602.90
ULTRASOUND STUDY OF ARTERIES OF BOTH ARMS AND LEGS,41271503,453.85
ULTRASOUND STUDY OF ARTERIES OF BOTH ARMS AND LEGS,41271504,603.80
VAGINAL ULTRASOUND OF PREGNANT UTERUS,40850210,692.00
VENA CAVA FILTER,41319439,"5,025.35"
VISIPAQUE 320 PER ML,41470597,2.30
XCT-OMNIPAQUE 350 PER ML,41270528,6.00
X-RAY LOWER AND SACRAL SPINE INCLUDING BENDING VIEWS 2 OR 3 VIEWS,41268039,402.50
X-RAY LOWER AND SACRAL SPINE INCLUDING BENDING VIEWS MINIMUM 6 VIEWS,41268037,669.00
"X-RAY OF ABDOMEN, 1 VIEW",41268000,282.70
"X-RAY OF ABDOMEN, 2 VIEWS",41269096,412.00
"X-RAY OF ABDOMEN, MINIMUM OF 3 VIEWS",41314010,277.05
"X-RAY OF ANKLE, 2 VIEWS",41268005,150.40
"X-RAY OF ANKLE, MINIMUM OF 3 VIEWS",41269068,306.65
X-RAY OF ARM IN INFANT MINIMUM OF 2 VIEWS,41313093,226.80
X-RAY OF BONES,41312357,242.60
"X-RAY OF BONES OF FACE, LESS THAN 3 VIEWS",41310140,270.95
"X-RAY OF BONES OF FACE, MINIMUM OF 3 VIEWS",41268019,407.50
"X-RAY OF BONES OF NOSE, MINIMUM OF 3 VIEWS",41268044,287.95
X-RAY OF BOTH COLLAR BONES,41312303,306.60
"X-RAY OF BOTH HIPS WITH PELVIS, 2 VIEWS",41313542,254.00
"X-RAY OF BOTH HIPS WITH PELVIS, 3-4 VIEWS",41540527,214.00
"X-RAY OF BOTH HIPS WITH PELVIS, MINIMUM OF 5 VIEWS",41268030,456.55
"X-RAY OF BOTH KNEES, STANDING, FRONT TO BACK VIEW",41269105,153.05
"X-RAY OF BOTH SIDES OF THE RIBS INCLUDING THE CHEST, MINIMUM OF 4 VIEWS",41268050,607.20
"X-RAY OF BOTH SIDES OF THE RIBS, 3 VIEWS",41312311,577.20
"X-RAY OF BREAST BONE, MINIMUM OF 2 VIEWS",41268062,288.70
"X-RAY OF CHEST, 1 VIEW",41268008,208.60
"X-RAY OF CHEST, 2 VIEWS",41268011,284.10
"X-RAY OF CHEST, 3 VIEWS",41312329,402.10
"X-RAY OF CHEST, MINIMUM OF 4 VIEWS",41268009,502.65
X-RAY OF COLLAR BONE,41313000,261.70
"X-RAY OF ELBOW, 2 VIEWS",41269071,203.85
"X-RAY OF ELBOW, MINIMUM OF 3 VIEWS",41268016,269.65
X-RAY OF ESOPHAGUS,41312339,460.70
"X-RAY OF EYE BONES, MINIMUM OF 4 VIEWS",41268047,365.35
"X-RAY OF FEMUR, MINIMUM 2 VIEWS",41269073,300.15
"X-RAY OF FINGERS, MINIMUM OF 2 VIEWS",41268002,283.50
"X-RAY OF FOOT, 2 VIEWS",41269076,169.65
"X-RAY OF FOOT, MINIMUM OF 3 VIEWS",41269077,287.10
"X-RAY OF FOREARM, 2 VIEWS",41268024,267.45
"X-RAY OF HAND, 2 VIEWS",41269080,221.10
"X-RAY OF HAND, MINIMUM OF 3 VIEWS",41269081,283.50
"X-RAY OF HEEL, MINIMUM OF 2 VIEWS",41268027,243.00
"X-RAY OF HIP WITH PELVIS, 1 VIEW",41311334,610.10
"X-RAY OF HIP WITH PELVIS, 2-3 VIEWS",41268029,341.40
X-RAY OF JAW JOINT ON ONE SIDE OF THE FACE,41312322,237.25
X-RAY OF JAW JOINTS ON BOTH SIDES OF THE FACE,41310332,265.00
"X-RAY OF KNEE, 1 OR 2 VIEWS",41268033,218.60
"X-RAY OF KNEE, 3 VIEWS",41269101,166.00
"X-RAY OF KNEE, 4 OR MORE VIEWS",41268034,322.95
X-RAY OF LARGE BOWEL WITH CONTRAST,41314270,660.65
X-RAY OF LARGE BOWEL WITH CONTRAST,41314271,824.85
X-RAY OF LEG IN INFANT MINIMUM OF 2 VIEWS,41313592,251.85
"X-RAY OF LOWER AND SACRAL SPINE, 2 OR 3 VIEWS",41268038,291.75
"X-RAY OF LOWER AND SACRAL SPINE, MINIMUM OF 4 VIEWS",41268040,549.60
"X-RAY OF LOWER LEG, 2 VIEWS",41268036,326.90
"X-RAY OF MANDIBLE, MINIMUM OF 4 VIEWS",41268042,360.95
"X-RAY OF MASTOID, MINIMUM OF 3 VIEWS PER SIDE",41430186,114.45
"X-RAY OF MIDDLE AND LOWER SPINE, 2 VIEWS",41269106,135.30
"X-RAY OF MIDDLE SPINE, 3 VIEWS",41312318,332.55
"X-RAY OF MIDDLE SPINE, 3 VIEWS",41268014,404.25
"X-RAY OF PARANASAL SINUS, COMPLETE, MINIMUM OF 3 VIEWS",41268057,486.00
"X-RAY OF PARANASAL SINUS, LESS THAN 3 VIEWS",41312317,53.65
"X-RAY OF PELVIS, 1 OR 2 VIEWS",41268048,272.20
"X-RAY OF PELVIS, MINIMUM OF 2 VIEWS",41268013,296.65
"X-RAY OF PELVIS, MINIMUM OF 3 VIEWS",41268049,649.75
"X-RAY OF RIBS OF ONE SIDE OF BODY, 2 VIEWS",41268073,345.65
"X-RAY OF RIBS ON ONE SIDE OF BODY INCLUDING THE CHEST, MINIMUM OF 3 VIEWS",41269089,384.70
"X-RAY OF SACROILIAC JOINTS, 3 OR MORE VIEWS",41268052,257.30
"X-RAY OF SACROILIAC JOINTS, LESS THAN 3 VIEWS",41312370,214.00
X-RAY OF SHOULDER BLADE,41313010,268.85
"X-RAY OF SHOULDER, 1 VIEW",41312313,201.50
"X-RAY OF SHOULDER, MINIMUM OF 2 VIEWS",41268055,296.40
"X-RAY OF SKULL, COMPLETE, MINIMUM OF 4 VIEWS",41268060,446.15
"X-RAY OF SKULL, LESS THAN 4 VIEWS",41310250,273.35
X-RAY OF SMALL INTESTINE,41314250,518.30
"X-RAY OF SPINE OF NECK, 2 OR 3 VIEWS",41268075,300.60
"X-RAY OF SPINE, 1 VIEW",41312012,194.45
"X-RAY OF SPINE, 1 VIEW",41310749,130.00
"X-RAY OF SPINE, 2 OR 3 VIEWS",41269097,411.00
"X-RAY OF TOES, MINIMUM OF 2 VIEWS",41269093,230.10
"X-RAY OF UPPER ARM, MINIMUM OF 2 VIEWS",41268031,271.80
X-RAY OF UPPER DIGESTIVE TRACT,41314240,473.35
X-RAY OF UPPER DIGESTIVE TRACT WITH CONTRAST,41312326,710.95
X-RAY OF UPPER DIGESTIVE TRACT WITH CONTRAST FOLLOWED BY X-RAY OF SMALL BOWEL AT LATER POINT,41312008,"1,142.20"
"X-RAY OF UPPER DIGESTIVE TRACT, KIDNEYS, URINARY DUCTS (URETERS), AND BLADDER",41431142,473.35
"X-RAY OF UPPER SPINE, 4 OR 5 VIEWS",41268077,507.10
"X-RAY OF UPPER SPINE, 6 OR MORE VIEWS",41268076,540.00
"X-RAY OF WRIST, 2 VIEWS",41268065,173.35
"X-RAY OF WRIST, MINIMUM OF 3 VIEWS",41268066,276.95
"X-RAY SURVEY OF BONES, INFANT",41312358,257.25
X-RAY SURVEY OF FOREARM OR WRIST BONE DENSITY,41312355,885.60
"X-RAY UPPER GI SERIES, WITH SMALL BOWEL FILMS",41317107,991.75
