Charge Number,Description,Charge
1517883,CC HEP LCK FLSH 100 UNITS/ML 5ML (CC),15
1515406,CC HERCEPTIN {TRASTUZUMAB} 150MG (CC),2644
1515334,CC HYCAMTIN {TOPOTECAN} 4MG (CC),389
1517782,CC IFOSFAMIDE 3 GRAM (CC),188
1517889,CC INFED {IRON DEXTRAN} 100MG/2ML (CC),122
1516073,CC KADCYLA 100MG VIAL (CC),5142
1519044,CC KADCYLA 160MG VIAL (CC),8107
1516234,CC KEYTRUDA{PEMBROLIZUMAB} 100MG VL (CC),4977.5
1520009,CC KRYSTEXXA  8MG/ML (CC),33449
1517890,CC LASIX {FUROSEMIDE} INJ 20MG/2ML (CC),35
1515549,CC LEUKERAN 2MG TABLET (CC),43
1517892,CC MAGNESIUM SULFATE 50% INJ1GM/2ML (CC),41
1517781,CC MESNA 1 GRAM/10ML (CC),120
1515391,CC MITOMYCIN 20MG VIAL (CC),195
1521390,CC MOGAMULIZUMAB 20MG/5ML (CC),6822
1519715,CC NEUPOGEN 300MCG/ML VIAL,550
1516001,CC NIPENT 10MG (CC),3970
1518326,CC OBINUTUZUMAB 1000MG/40ML (CC),9805.86
1520741,CC OLARATUMAB 500MG/50ML,4333.5
1517909,CC ONDANSETRON {ZOFRAN} INJ 4MG/2ML (CC),87
1519783,CC ONIVYDE 43MG/10ML VL #CC,3048
1518907,CC ORENCIA 250MG (CC),2793
1517910,CC PNU-IMUNE 23 {PNEUMOCOCCL} 0.5ML(CC),102
1517895,CC predniSONE TAB 20MG (CC),12
1516237,CC PREVNAR 13 PFS (CC),374
1515423,CC PROCRIT INJ 1000 UNITS DOS (CC),40
1515447,CC RASBURICASE 1.5MG INJ {ELITEK} (CC),1020
1517896,CC RECLAST 5MG/100ML (CC),2185
1518950,CC REMICADE {inFLIXimab} INJ 100MG,882
1520454,CC ROMIDEPSIN 10MG (CC),5757
1521142,CC Simponi ARIA (GOLIMUMAB) 50MG/4ML,3120
1515325,CC SOD CHL 0.9% NON DEHP 250ML (CC),0
1515403,CC SOD CHL 0.9%1000ML NON DEHP (CC),0
1517944,CC SOD CHLOR 0.9% 1000ML (CC),0
1517941,CC SOD CHLORIDE 0.9% 100ML (CC),0
1517942,CC SOD CHLORIDE 0.9% 250ML (CC),0
1517943,CC SOD CHLORIDE 0.9% 500ML (CC),0
1515402,CC SOD CHLORIDE 0.9% 500ML NON DEHP (CC),0
1517939,CC SOD CHLORIDE 0.9% 50ML (CC),0
1517938,CC SODIUM CHL 0.9%/KCL 40MEQ 1000ML (CC),104
1517899,CC soluCORTEF 100MG/2ML(CC),47
1517900,CC soluMEDROL {methylPRED} 40MG/1ML (CC),36
1518856,CC TECENTRIQ (ATEZOLIZUMAB) 1200MG,15516
1513259,CC THIOTEPA INJ 15MG (CC),138
1517088,CC TRISENOX 1MG/ML 10ML AMP (CC),930
1515433,CC VELCADE 3.5MG INJ (CC),2885
1517901,CC VENOFER {IRON SUCROSE} 100MG/5ML (CC),148
1515486,CC VINBLASTINE 1MG/ML 10ML VIAL (CC),77.52
1515346,CC VINCRISTINE 2MG/2ML INJ (CC),19.5
1511470,CC VINCRISTINE SULFATE INJ 2MG/2ML (CC),128
1515407,CC VINORELBINE 10MG/1ML (CC),63
1515445,CC YERVOY 200MG/40ML (CC),36540
1515446,CC YERVOY 50MG (CC),9135
1515473,CC ZALTRAP {ZIV-AFLIBERCEPT} 100MG (CC),1024.8
1515472,CC ZALTRAP {ZIV-AFLIBERCEPT} 200MG (CC),2049.6
1515425,CC ZOMETA 4MG/100ML PREMIX (CC),1300
3903943,C-CARDIOVERSION,784
3904295,C-CATH LAB PROCEDURE,0
5005416,CC-C/S URINE,55
5005162,CC-CBC WITH DIFF,40
5005234,CC-CHEM 14 (COMPREHENSIVE PANEL),46
3903904,C-CORONARY CATH (W/O LHC),6817.13
3904192,C-CORONARY CATH GRAFTS PROCEDURE,6817.13
3903944,C-CPR (DEPARTMENTAL),556
5092370,CD4 CD8 PROFILE 505271,236
5094043,CDT A/B (CLOS DIFF TOXIN A/B),122
5005587,CDT A/B (CLOS DIFF TOXIN A/B) MMCN,114
5094044,CEA,184
5084312,CEA BODY FLUID 142331,127
5005507,CEA MMCN,184
70170706,CEEA 25MM,245.2
70170707,CEEA 28MM,643.75
70170708,CEEA 31MM,643.75
1512957,CEFTIN {CEFUROXIME} TAB 250MG (S),18
1513680,CEFTIN SUSP 125MG/5ML 100ML (S),100
1515714,CEFTIN SUSP 250MG/5ML 50ML (S),155
1500265,CEFTIN TAB (CEFUROXIME)  250MG (N),18
1500026,CEFTIN TAB (CEFUROXIME) 500MG (N),25
1500027,CEFZIL SUSPENSION 250MG/5ML  (N),79
1514221,CeleBREX (CELECOXIB) CAP 100MG (N),16
1500391,CeleBREX (CELECOXIB) CAP 400MG (N),23.5
1514220,CeleBREX {CELECOXIB} CAP 200MG,17
1500651,CeleBREX {CELECOXIB} CAP 50MG (N),16
1510632,CELESTONE {BETAMETH} INJ  6MG/1ML DOSE,40
1514271,CeleXA {CITALOPRAM} TAB 20MG,14
1514205,CeleXA {CITALOPRAM} TAB 40MG,15
5094099,CELIAC PANEL 165126,113
5088045,CELL COUNT/DIFF BODY FLUID,68
5081041,CELL COUNT/DIFF CSF,78
70130939,CELL SAVER PROCEDURE,2600
1514946,CELLCEPT (MYCOPHENOLATE) CAP:250MG,19
1515482,CELLCEPT {MYCOPHENOLATE 500MG} TAB (S),39
1500681,CELLCEPT {MYCOPHENOLATE} INJ 500MG,150
70173610,CELON PROSLEEP PLUS WB990211,688.88
70173669,CEMENT BONE ANTIBIOTIC 6197-9-010,618.75
70172364,CEMENT COBALT W/ANTIBIOTIC,1100
70171514,CEMENT HIP PREP KIT,665.62
70173283,CEMENT MIXER BIOMET 417200,530
70171520,CEMENT MIXING BOWL,27.5
70171518,CEMENT PALACOS R,361.25
70171517,CEMENT SIMPLEX BONE,361.25
70172661,CEMENT SPACER,285
70171513,CEMENT VORTEX MIXING SYS,352.5
70185140,Centered Alto Partial,945.75
400425,CENTRAL LINE INSERTION AGE 5 OR OLDER,1939
70173549,CENTRAL VENOUS CATH PLACEMENT,1939
1513737,CENTRUM LIQUID VITAMINS:15ML (S),7
1500028,CENTRUM SILVER TAB (VITAMIN SENIOR) (N),8
1512606,CEPACOL LOZENGE 1 EA,1
1519253,CEREBYX 1000MG/NS100ML,188
1513929,ceReBYX{FOSPHENYTOIN} INJ 100MG VIAL 2ML,56
1514268,ceReBYX{FOSPHENYTOIN}INJ 500MG VIAL 10ML,148
5084068,CERULOPLASMIN 001560,84
3370014,CERVICAL SPINE (CROSS TABLE LAT),196
3370851,CERVICAL SPINE 2 OR 3 VIEWS,353
3370852,CERVICAL SPINE 4 OR 5 VIEWS,376
3370013,CERVICAL SPINE 6 OR MORE VIEWS,390
1513759,CERVIDIL {DINOPROSTONE} VAG INSERT:10MG,629
3903916,C-FLUORO PACEMAKER INSERTION,0
3904326,C-GRAFT REVASCULARIZATION W/DES,14935.42
2043278,CHAIR PAD (ALARM SYSTEM),100
300367,CHANGE GASTROSTOMY TUBE,164
1101178,CHANGE GASTROSTOMY TUBE,164
431538,CHANGE GASTROSTOMY TUBE,164
1514572,CHARCOAL/AQUEOUS 25GM/120ML (S),48
1510181,CHARCOAL/SORBITOL {ACTIDOSE}  50GM/240ML,74
5080026,CHARGE FOR URINALYSIS W/0 MICRO,26
5093093,CHARGE FOR URINALYSIS WITH MICRO,36
5080160,CHEM 10 (RENAL PROFILE),43
5080157,CHEM 14 (COMPREHENSIVE PANEL),46
5080011,CHEM 4 (LYTES),44
5080156,CHEM 8 (BASIC PANEL WITH TOTAL CALCIUM),42
400467,CHEMICAL CAUTERIZATION GRANULATION TISSU,365
7007021,CHEMICAL CAUTERIZATION OF GRANULATION TI,330.79
6006027,CHEMO INFUSION >8HRS W/PUMP,468.5
300317,"CHEMO INFUSION, EACH ADDITIONAL HOUR",159
6006026,"CHEMO INFUSION, EACH ADDITIONAL HOUR",159
6006028,"CHEMO INFUSION, EACH ADDTL SEQ INFUSION",159
300316,"CHEMO INFUSION, INITIAL, UP TO 1 HOUR",496
6006025,"CHEMO INFUSION, INITIAL, UP TO 1 HOUR",496
6006024,"CHEMO IV PUSH INJ, EACH NEW SUBSTANCE",317
6006023,CHEMO IV PUSH INJECTION INITIAL,317
3370017,CHEST 1 VIEW,223
3370878,CHEST 1 VIEW PORTABLE,223
3370332,CHEST DECUBITUS,242
3370015,CHEST PA AND LAT,321
70170742,CHEST TUBE 24FR TROCAR,244.3
70170744,CHEST TUBE 32FR TROCAR,327.5
2040213,CHEST TUBE INSERTION TRAY,369.5
70172852,CHEST TUBE TROCAR,96
3370306,CHEST W/APICAL LORDOTIC,394
3303513,CHEST WITH OBLS 3 VIEWS,381
3303461,CHEST XRAY POST PROCEDURE/IMPLANT,0
5005256,CHLAM TRACH/NGONORRHOEAE/TRICH VAG183160,75
5094045,CHLAMYDIA AB IGG 096180,107
5050138,CHLAMYDIA AB IGM 096149,126
5081113,CHLAMYDIA DNA PROBE 188078,198
5081106,CHLAMYDIA ENDOCERVICAL,59
5050248,CHLAMYDIA URINE  188078,150
5050296,CHLAMYDIA/GC AMPL 183194,62
5050137,CHLAMYDIA/GC AMPLIFICATION  183194,72
2502933,CHLORAPREP 10.5ML,41
70173511,CHLORAPREP ONE STEP 3ML APPLICATOR,18.9
48759,CHLORAPREP W/ TINT 26ML-BLUE MDF260825,36.2
1511417,CHLORASEPTIC LOZENGE 1 EACH,2
1511593,CHLORASEPTIC SPRAY 177ML,22
1500431,CHLORHEXIDINE SOLUTION 4% 237ML,25
5084008,CHLORIDE BLOOD,42
1510412,CHLOR-TRIMETON TAB 4MG,8
70172853,CHOLANGIOGRAM OPERA,163
5084009,CHOLESTEROL,35
5005508,CHOLESTEROL MMCN,35
1512397,CHROMAGEN (FE FUMARATE-C-B) CAP (S),13
5092469,CHROMIUM PLASMA 071522,149
5050312,CHROMOGRANIN A 140848,222
5092174,CHROMOSOME ANALY KARYOTYPE W/BAN 511035,895
1515188,CHRONULAC{LACTULOSE} 300ML ENEMA (S),114
1512670,CHRONULAC{LACTULOSE}SY  20GM/30ML,15
1500694,CICLOPIROX NAIL LACQUER: 6.6ML (N),90
1514041,CILOXAN 0.3%(CIPROFLOXACIN)OPT SOL:2.5ML,52
3903935,C-IMPLANT EVENT RECORDER,8145
3903912,C-INJECTION AORTA,195
3903913,C-INJECTION CORONARIES,0
3903907,C-INJECTION IMA,0
3903911,C-INJECTION LEFT VENTRICLE /ATRIUM,0
3903908,C-INJECTION VBG,0
3903928,C-INSERT LEAD SINGLE PACEMAKER/ICD,7955
3903922,C-INSERT/REPLACE TEMP PACING CATHETER,7955
3903968,C-INSERT/REPOSITION ICD DUAL,39091
3903967,C-INSERT/REPOSITION ICD SINGLE,39091
33033236,C-INSERTION OF IABP CATHETER,582
1500031,CIPRO  200MG/100ML D5W IVPB (N),100
1500266,CIPRO (CIPROFLOXACIN) TAB 250MG (N),15
1512903,CIPRO (CIPROFLOXACIN) TAB:250MG (S),15
1513300,CIPRO {CIPROFLOX} 400MG/200ML D5W IVPB,181
1512904,CIPRO {CIPROFLOXACIN} TAB 500MG,17
1500030,CIPRO HC OTIC SUSPENSION (N),190
1515152,CIPRODEX OTIC SUSP 7.5ML,220
2502940,CIRCUIT ANESTHESIA PED 90CM,27.87
2030458,CIRCUMCISION,48
61561505,CIRCUMCISION INFANT,815
1513719,CITRACAL {CALCIUM CITRATE} TAB (S),6
1521359,CITRACAL MAXIMUM+D3 ORAL TAB 600MG/500IU,10
5084117,CITRATE 24HR URINE 016865,71
1500378,CITRUCEL {METHYLCELLULOSE} CAPLET 500MG,11
3904012,C-IVUS PROCEDURE INITIAL VESSEL,1812.5
5050473,CKMB,60
1510173,CLAFORAN (CEFOTAXIME)  1GM IVPB,74
1513596,CLARITIN {LORATADINE 10MG} TAB,17
1515194,CLARITIN {LORATADINE} LIQ 5MG/5ML 5ML UD,6
1513675,CLARITIN-D {LORATADINE-PSEU} 12HR TAB,15
3370829,CLAVICLE BILATERAL,298
3370020,CLAVICLE LEFT,271
3370021,CLAVICLE RIGHT,271
70172614,CLEANER BOVIE,12
2058572,CLEANERS TIP ELECTRO-SURGICAL 100 CS,4
63364,CLEANSER WOUND THERAPY  VASHE 8.5OZ,74.76
70173597,CLEAR IT CLOTH PS001,15.5
70170256,CLEARFIELD ANTI-FOG STERILE CLOTH,26
3904193,C-LEFT & RIGHT HEART CATH GRAFT PROCEDUR,6817.13
3904194,C-LEFT HEART CATH GRAFT PROCEDURE,6817.13
3903905,C-LEFT HEART CATH PROCEDURE,6817.13
39039139,C-LEFT VENTRICULAR PACING ELECTRODE PROC,9783
3904195,C-LEFT VENTRICULOGRAPHY PROCEDURE,6817.13
1500133,CLEOCIN (CLINDAMYCIN) 900MG/50ML IVPB(N),82
1513093,CLEOCIN {CLINDAMYCIN 300MG} CAP (S),15
1511466,CLEOCIN {CLINDAMYCIN} CAP 150MG,14
1513849,CLEOCIN 2% VAGINAL CREAM 40GM (N),195
1500661,CLEOCIN 600MG/50ML PREMIX,168
1515128,CLEOCIN INJ 300MG/2ML VIAL (S),17
1510431,CLEOCIN INJ 600MG/4ML VIAL,168
1515277,CLEOCIN INJ 900MG/6ML VIAL (S),63
1514056,CLEOCIN IV 300MG/NS 50ML (S),68
1514054,CLEOCIN IV 900MG/NS 50ML (S),107
1515007,CLEOCIN IV{CLINDAMYCIN}600MG/NS 50ML (S),92
1513734,CLEOCIN PED SUSP  75MG/5ML 100ML (N),56
1500033,CLIMARA PATCH  0.05MG/DAY,29
1500267,CLIMARA PATCH (ESTRADIOL) 0.1MG/DAY,33
1500664,CLINIMIX 4.25/10SOLN 1000ML (N),222
70173570,CLIP APPLIER EPIZ 10MM CA090,187.5
70173571,CLIP APPLIER UNIV 5MM CA500,262.5
70172376,CLIP FILSHIE,150.26
61561509,CLIP FILSHIE,202.5
70174286,CLIP RESOLUTION 360 M00521231,547.5
70171616,CLIPPER BLADE,7.88
5005267,CLOBAZAM ONFI 790500,190
1513114,CLOBEX 0.05% CREAM 15GM,62
5084201,CLONAZEPAM (KLONOPIN) 071712,136
431676,CLOSED DISTAL PHALAGEAL W/O MANIPUL,114
431540,CLOSED NASAL FRACTURE,837
2030479,CLOSURE DELUXE WOUND X-RAY,17
5081107,CLOTEST H PYLORI,85
5005588,CLOTEST H PYLORI MMCN,85
5050132,CLOZAPINE 706440,180
1514652,CLOZARIL (CLOZAPINE) TAB:100MG,18
431667,CLSD HUMERAL SHAFT W/O MANIPULATION,151
400458,CLSD REDUC FRACTUR/DISLOC OF HUMERL NECK,434
400460,CLSD REDUCTION METACARPAL FRACTURE,434
400443,CLSD TMT ELBOW DISLOCATION W/ANES,2598
400435,CLSD TMT ELBOW DISLOCATION W/O ANES,263
400439,CLSD TMT FRACTURE ANKLE BIMALL W/MANIPU,263
400438,CLSD TMT FRACTURE ANKLE TRIMALL W/MANIPU,891
400437,CLSD TMT FRACTURE DISTAL RADIUS/ULNA,891
400451,CLSD TMT FRACTURE OF DISTAL TIBIA,2089
400455,CLSD TMT FX TOE OTHR THAN GRT TOE W/MANI,434
400444,CLSD TMT GREAT TOE FX W/MANIPULA,334
400508,CLSD TMT METATARSAL FRACTURE W/MANIPULAT,537
431673,CLSD TMT RAD & ULN SHAFT WITH MANIP,151
431666,CLSD TMT SHLDR DIS W/FX GRTR/TU MAN,891
400434,CLSD TMT SHLDR DIS W/O FX W/MAN W/ANES,2706
400464,CLSED RED DISLOCATION ANKLE,535
400463,CLSED RED ULNAR FX PROXIMAL END W/MANIPU,535
400461,CLSED TMT DISLOCATN HIP TRAUM  W/O ANES,535
5092369,CMV - IGM 096727,137
5092554,CMV DNA PCR,42
5050535,CMV QUAL PCR 138693,250
5092553,"CMV, DNA PCR  139149",390
70172224,COAPTITE 1ML INJECTABLE IMPLANT,750
70172225,COAPTITE SIDEKICK NEEDLE,114
5005096,COBALT URINE 071514,96
5050464,"COBALT, PLASMA",190
70171555,COBAN 1IN NONSTERILE,29.5
70171556,COBAN 4IN NONSTERILE,29.5
70171559,COBAN 4IN STERILE,29.5
70171558,COBAN 4IN STERILE LATEX FRE,29.5
70171560,COBAN 6IN STERILE,9.5
70170926,COBLATOR REFLEX 55,475
1500034,COCAINE TOPICAL SOLN 4%: 4ML (N),288
5092251,COCCIDIOIDES AB  164301,128
3370022,COCCYX,212
2030450,CODE BLUE (S),323.25
1515280,COENZYME Q-10 50MG (S),15
2503005,COFLEX 50913149,17.35
1510442,COGENTIN {BENZTROPINE 1MG} TAB,12
1510444,COGENTIN {BENZTROPINE} INJ 2MG/2ML,25
1514443,COLACE {DOCUSATE SODIUM} CAP 100MG,0
1510446,COLACE {DOCUSATE} LIQ 100MG/10ML,28
1510450,COLCHICINE TAB 0.6MG,10
5091004,COLD AGGLUTINATION,100
5005589,COLD AGGLUTINATION MMCN,100
1514000,COLESTID {COLESTIPOL} TAB 1GM (S),10
70180067,COLLAGEN COATED  FIBERTAPE,375
2051763,COLLAR CERVICAL-HIGH,97.75
2051761,COLLAR CERVICAL-LOW SMALL,88.5
2055839,COLLAR PHILADELPHIA LG  5 1/4  ORT12500L,150
2050744,COLLAR PHILADELPHIA MED 4 1/4  ORT244102,150
2051796,COLLAR PHILADELPHIA SMALL 4 1/4,125
70172662,COLLECTION FLUID CONTAINER,86
70170261,COLLECTION SET D&C - SYNEVAC,19.5
1130319,COLONOSCOPY,1162
1101290,COLONOSCOPY W/CONTROL BLEED ANY METHOD,2341
1101283,COLONOSCOPY W/EMR,2341
1131724,COLONOSCOPY WITH BIOPSY,1180
70170703,COLOSTOMY ILEOSTOMY KIT,54.5
1500035,COLYTE SOLN(POLYETH GLYCOL-EL 3350) (N),65
1515229,COMBIGAN OPHTHALMIC DROPS 5ML,203
1514018,COMBIVENT INHALER 4 GRAM,350
5005450,COMBO 2 DRUG,228
5005451,COMBO 3 DRUG,342
5005452,COMBO 4 DRUG,456
5005453,COMBO 5 DRUG,570
5005454,COMBO 6 DRUG,684
5005455,COMBO 7 DRUG,798
5050475,COMP (COMPREHEN METABOLIC PROFILE)- MMCN,46
70173779,COMP LK SCR 3.5HEX 4.75X15 ST,270
70173778,COMP LK SCR 3.5HEX 4.75X20 ST,270
70173781,comp reverse 25mm baseplate ha  adaptr,2568
70173782,COMP REVERSE TRAY CO 44MM,2312
1510461,COMPAZINE {PROCHLORPERAZINE 10MG} TAB,14
1510704,COMPAZINE{PROCHLORPERAZINE} INJ 10MG/2ML,41
5092040,COMPLEMENT C1Q 016824,118
5094055,COMPLEMENT C2 161414,149
5094056,COMPLEMENT C3 006452,118
5092041,COMPLEMENT C4 001834,122
5084139,COMPLEMENT TOTAL (CH50)  001941,176
431545,COMPLEX EYE EAR NOSE 2.6-7.5CM,260
431547,COMPLEX FACE GENITALIA 1.1-2.5CM,260
431548,COMPLEX FACE GENITALIA 2.6-7.5CM,260
431686,COMPLEX FACE GENITALIA EA 5CM OR LE,260
431549,COMPLEX SCALP ARM LEG 2.6-7.5CM,910
431685,COMPLEX SCALP ARM LEG EA 5CM OR LES,260
431550,COMPLEX TRUNK 1.1CM TO 2.5CM,260
431551,COMPLEX TRUNK 2.6CM TO 7.5CM,260
431684,COMPLEX TRUNK EACH ADDL 5CM OR LESS,260
431552,COMPLEX-EYELIDS NOSE 1.1-2.5CC,260
431553,COMPLX SCALP ARM LEG 1.1CM-2.5CM,260
70174180,COMPR STSTEM SHOULDER MINI LENGTH 113629,6628
70173726,COMPRESSION SCREW,138.6
70172359,COMPUTER NAVIGATION SYSTEM TOTAL JOINTS,1250
1514685,COMTAN {ENTACAPONE 200MG} TAB,14
70185254,CONCAVE REAMER - 018,926
5092458,CONCENTRATION OVA PARASITES,32
70170659,CONMED SPATULA 27CM,166
70170660,CONMED SPATULA 32CM,59.5
70170661,CONMED SPATULA 44CM,122.2
70170657,CONMED SUCTION IRRIGATOR 60-6010-003,142.5
56482,CONNECTOR 5 IN 1 100/BX,1.7
2052015,CONNECTORS   # 415122 200/CS,4
9909906,CONSULT / PATIENT REQUEST,0
9909921,CONSULT FOR ADVANCED DIRECTIVE,0
9909910,CONSULT FOR ASSISTED LIVING,0
9909904,CONSULT FOR EQUIPMENT,0
9909903,CONSULT FOR HOME HEALTH,0
9909908,CONSULT FOR MH / DRUG / ALCOHOL,0
9909909,CONSULT FOR NEGLECT / ABUSE,0
9909902,CONSULT FOR NHP,0
9909905,CONSULT FOR O2,0
9909925,CONSULT FOR POST D/C CONCERNS,0
9909917,CONSULT FOR RECENT ADMIT <30 DAYS,0
9909907,CONSULT FOR REHAB,0
4704700,CON'T AEROSOL SUPPLY - H/C,70
54617,CONT SPECI/ 4OZ STER. 1MIN DYND30331,1.02
2030997,CONTAINER SPECIMEN,17
51507,CONTAINER SPECIMEN URINE/SCREW CAP,0
5570729,CONTINUING PHYSICS,407
4704720,CONTINUOUS NEBULIZER SUPPLY,73
33033240,CONTRAST 300/320 PER 50cc,20
33033243,CONTRAST HYPAQUE 30/60 PER 50cc,3
33033241,CONTRAST OMNI 240 PER 10 ml,15
70185256,CONVEX REAMER -018,926
5082004,COOMBS DIRECT,75.29
5094057,COPPER SERUM 001586,96
5094058,COPPER URINE 003343,96
5084069,COPPER URINE 24HR 003343,96
5095241,CORD BLOOD WORKUP,0
1515202,CORDARONE 450MG/D5W 250ML 17ML/HR (S),713
1500546,CORDARONE IV {AMIODARONE} 150MG/100MLD5W,71.67
1513805,CORDARONE IV {AMIODARONE} 150MG/3ML,215
1513168,CORDARONE TAB {AMIODARONE} 200MG,12
1500482,COREG (CARVEDILOL) TAB: 1.56MG (N),12
1515027,COREG {CARVEDILOL 12.5MG} TAB,12
1514131,COREG {CARVEDILOL 25MG} TAB,12
1514158,COREG {CARVEDILOL 3.125MG},12
1515028,COREG {CARVEDILOL 6.25MG} TAB,12
1500547,CORGARD (NADOLOL) TAB:20MG (N),12
1510479,CORGARD {NADOLOL 40MG} TAB,12
70172308,CORKSCREW 6.5 MM FT III ANCHOR,537.5
1518511,CORLANOR(IVABRADINE) ORAL TABLET 5MG,34
70171951,CORNEAL SHIELD 8.5 VISTEC,15.75
431554,CORNEAL W/O SLIT LAMP,183
431555,CORNEAL W/SLIT LAMP,183
1512367,CORTEF {HYDROCORTISONE 10MG} TAB,12
1510492,CORTICAINE CREAM 0.5% 28GM (S),29
5092042,CORTISOL 2 SPECIMENS,85
5005510,CORTISOL 2 SPECIMENS MMCN,85
5005268,CORTISOL RANDOM,85
5005509,CORTISOL RANDOM MMCN,85
5094061,CORTISOL-AM,85
5005634,CORTISOL-AM MMCN,85
5094062,CORTISOL-PM,85
5005635,CORTISOL-PM MMCN,85
5092363,CORTISOL-URINE 24HR 004432,82
1510713,CORTISPORIN OPHTH SOLN 7.5ML,74
1512475,CORTISPORIN OTIC SUSP 10ML,113
1512989,CORTROSYN {COSYNTROPIN} INJ 0.25MG,380
1518628,CORVERT {IBUTILIDE} 1MG/10ML IV,825
1514256,COSOPT OPHTH (DORZOLAMIDE/TIMOLOL) 10ML,108
70171960,COTTON SWAB LARGE (LASER),4.2
70171312,COTTON TIP APPLICATOR,0.17
70170941,COTTONOIDS 1/2IN x 1/2IN (CODMAN),20.25
70170939,COTTONOIDS 1/2IN x 6IN (AMER SURG),10.13
1515217,COUMADIN (WARFARIN) TAB 6MG (S),12
1500038,COUMADIN (WARFARIN) TAB:1.5MG (N),10
1515233,COUMADIN {WARFARIN 0.5MG} TAB,12
1500475,COUMADIN {WARFARIN 1.25MG} TAB,10
1512577,COUMADIN {WARFARIN 10MG} TAB,14
1513711,COUMADIN {WARFARIN 1MG} TAB,12
1510581,COUMADIN {WARFARIN 2.5MG} TAB,10
1512250,COUMADIN {WARFARIN 2MG},8
1500554,COUMADIN {WARFARIN 3.75MG} TAB,13
1515216,COUMADIN {WARFARIN 3MG} TAB,12
1515035,COUMADIN {WARFARIN 4MG},12
1510717,COUMADIN {WARFARIN 5MG} TAB,10
1512579,COUMADIN {WARFARIN 7.5MG} TAB,13
70174445,"Countersink, 3.5 Headless",365.62
2056154,COVER MAYO 80/CS,7
70170390,COVER MAYO STAND,3.98
70173193,COVER PROBE TOTAL VEIN,28.13
70172506,COVER SURGI TIP INTRAOPERATIVE,517
5092084,COXSACKIE VIRUS GROUP A,56
5094066,COXSACKIE VIRUS GROUP B  096263,128
5092365,COXSACKIE VIRUS-A10/B3,56
5092366,COXSACKIE VIRUS-A16/B4,56
5092364,COXSACKIE VIRUS-A4/B2,56
5092367,COXSACKIE VIRUS-B5,35
5092368,COXSACKIE VIRUS-B6 096263,41
1500369,COZAAR (LOSARTAN) TAB: 100MG (N),17
1500367,COZAAR (LOSARTAN) TAB:25MG (N),14
1500368,COZAAR (LOSARTAN) TAB:50MG (N),15
1514936,COZAAR {LOSARTAN 100MG} TAB (S),16
1513768,COZAAR {LOSARTAN 25MG} TAB (S),14
1513769,COZAAR {LOSARTAN 50MG} TAB (S),15
4765119,CPAP,234
4765006,CPAP EQUIPMENT CHECK=>,0
5092214,C-PEPTIDE 010108,122
3903921,C-PERMANENT ATRIAL/VENTRICLR PCMKR PROCE,17826
3903920,C-PERMANENT VENTRICULAR PCMKR PROCEDURE,16331
5080040,CPK ISOENZYMES 002154,107
5005210,CPK WITH MB,37
5080008,CPK-MB MMCS,60
5084011,CPK-TOTAL,37
5050519,CPK-TOTAL - MMCN,37
5050200,CPK-TOTAL (ADDITIONAL),37
5050214,CPK-TOTAL (OUTPATIENT),37
6506545,CPM,133
3904011,C-PRESSURE WIRE PROCEDURE DOPPLER ADDIT,1687.5
3904010,C-PRESSURE WIRE PROCEDURE DOPPLER SINGLE,1687.5
4765017,CPT EXTERNAL INITIAL,56
4765164,CPT EXTERNAL SUBSEQUENT,56
3304524,C-PVI PROCEDURE,0
84184100,CQM ASSESS REHAB,0
1515145,CRASH CART PEDIATR TRAY (3C CLOSET) (S),0
1515143,CRASH CART TRAY 1 {3C CLOSET} (S),0
1515144,CRASH CART TRAY 2 {3C CLOSET} (S),0
5005607,CREATINE 24 HR URINE,25
5005202,CREATININE 24HR URINE,30
5080009,CREATININE CLEARANCE,122
5094067,CREATININE SERUM OR PLASMA,30
5092205,CREATININE URINE,30
5092352,CREATININE-OTHER SOURCE,17
3903936,C-REMOVAL OF EVENT RECORDER,1084
3903932,C-REMOVAL OF PERM PACEMAKER GENERATOR,2698
3903934,C-REMOVAL OF TRANSVENOUS DUAL LEAD,2698
3903933,C-REMOVAL OF TRANSVENOUS SINGLE LEAD,2698
3904263,C-REMOVE/REPLACE GENERATOR ONLY DUAL LEA,14470
3904264,C-REMOVE/REPLACE GENERATOR ONLY MULTI LE,14470
3904266,C-REMOVE/REPLACE ICD GENERATOR ONLY SING,46020
1518081,"CREON {LIPASE,AMYLA,PROT} CAP 12000UNITS",14
1513487,"CREON {LIPASE,AMYLA,PROT} CAP 6000UNITS",14
3903927,C-REPOSITN PREVIUSLY IMPLNTED LEAD PACEM,2698
3904331,C-REVASC ACUTE TOTL OCCL DURING MI,11429
3904330,C-REVASC ACUTE TOTL OCCL DURING MI W/DES,14935.42
3903937,C-REVISION/RELOCATION SKIN POCKET PACEMK,2209
3903906,C-RIGHT AND LEFT HEART CATH PROCEDURE,6817.13
3903901,C-RIGHT HEART CATH PROCEDURE,6817.13
3904196,C-RIGHT HEART CORONARIES GRAFT PROCEDURE,6817.13
3904197,C-RIGHT HEART CORONARIES PROCEDURE,6817.13
431558,CRITICAL CARE 1ST HOUR (PER DAY),599
431683,CRITICAL CARE 1ST HOUR/DAY WITH MOD,599
1510149,CROFAB 1GM {ANTIVENIN CROTALIDAE POLY},5750
