Hospital Service, Price ,,,,,,,,
PARATHYROID PLANAR IMAGING," $1,076.00 ",,,,,,,,
PARATHYROID PLANAR WSPECT&CT    ," $1,846.00 ",,,,,,,,
PATENCY CAPSULE                 ," $3,562.00 ",,,,,,,,
PATHOLOGIST OFFICE VISIT, $223.00 ,,,,,,,,
PED PULM STRESS SIMPLE          ," $1,846.00 ",,,,,,,,
PEDICLE SCREW STIM              , $386.00 ,,,,,,,,
PEG TUBE INSERTION              ," $1,019.00 ",,,,,,,,
PELV. W/&W/O CONTR," $4,970.00 ",,,,,,,,
PELVIS & HIPS INFANT RT 2 VIEW, $730.00 ,,,,,,,,
"PELVIS COMPLETE, MIN 3 VIEWS", $656.00 ,,,,,,,,
PELVIS MRA W & WO CONTR," $7,674.00 ",,,,,,,,
PELVIS W/ CONTRAST," $4,146.00 ",,,,,,,,
PELVIS W/O CONTR                ," $3,606.00 ",,,,,,,,
"PELVIS, 1-2 VIEWS", $518.00 ,,,,,,,,
PERC  ASPIRATION SPINAL CORD C," $8,139.00 ",,,,,,,,
PERC ACCESS & CLSR FEM ART, $509.00 ,,,,,,,,
PERC BX OR EXC LN; SUPERFICIAL," $2,023.00 ",,,,,,,,
PERC BX OR EXC LN; SUPERFICIAL  ," $4,862.00 ",,,,,,,,
PERC BX OR EXC LN; SUPERFICIAL  ," $2,023.00 ",,,,,,,,
PERC FIX SC/TC HUMEROUS         ," $9,751.00 ",,,,,,,,
PERC NDL CORE BRST BX WO GUID," $2,008.00 ",,,,,,,,
PERC NEEDLE BX OF SPINAL CORD," $6,886.00 ",,,,,,,,
PERC RF ABLATE 1+ RENAL TUMOR," $16,708.00 ",,,,,,,,
PERC TRANS HEP DRAIN W/ CONT," $3,810.00 ",,,,,,,,
PERC TRANSCATH RETRIEVAL FB," $9,855.00 ",,,,,,,,
PERC TRANSEPATIC PORTOGRAPHY    ," $3,770.00 ",,,,,,,,
PERC TRANSHEP PORTOGRAP W PRES," $3,770.00 ",,,,,,,,
PERCU NEPHROSTOMY," $3,257.00 ",,,,,,,,
PERCUTANEOUS CHOLECYSTOSTOMY," $6,733.00 ",,,,,,,,
PERCUTANEOUS ENTEROCLYSIS TUBE, $393.00 ,,,,,,,,
PERI DIAL W/ TRANS BALL ANGIO," $40,511.00 ",,,,,,,,
PERI DIAL W/ TRNSCATH OF STENT," $1,748.00 ",,,,,,,,
PERICARDIOCENTESIS INIT," $3,196.00 ",,,,,,,,
PERICARDIOCENTESIS SUB," $1,061.00 ",,,,,,,,
PERICARDIOCENTESIS; INITIAL     ," $3,196.00 ",,,,,,,,
PERICARDIOTOMY," $2,714.00 ",,,,,,,,
PERIO SCALING / ROOT PLANING    , $204.00 ,,,,,,,,
PERIO SCAL-PLANNING (PER QUAD)  , $204.00 ,,,,,,,,
PERIO THERAPEUTIC AGENT         , $174.00 ,,,,,,,,
PERIOD SCAL/PLANE 1-3 PER QUAD  , $102.00 ,,,,,,,,
PERIODIC HEALTH EVAL 1 TO 4     , $253.00 ,,,,,,,,
PERIODIC HEALTH EVAL 12 TO 17   , $253.00 ,,,,,,,,
PERIODIC HEALTH EVAL 18 39      , $253.00 ,,,,,,,,
PERIODIC HEALTH EVAL 40-64      , $253.00 ,,,,,,,,
PERIODIC HEALTH EVAL 5 TO 11    , $253.00 ,,,,,,,,
PERIODIC HEALTH EVAL 65+        , $253.00 ,,,,,,,,
PERIODONTAL MAINT PROCEDURES    , $171.00 ,,,,,,,,
Peritoneal Dialysis, $315.00 ,,,,,,,,
PERITONEAL LAVAGE               ," $2,222.00 ",,,,,,,,
PERQ DEVICE BREAST 1ST IMAG," $1,965.00 ",,,,,,,,
PERQ DEVICE BREAST EA IMAG, $902.00 ,,,,,,,,
PERQ PLMT BILE DUCT STENT       ," $5,603.00 ",,,,,,,,
PERSANTINE CARDIAC PLANAR-NUC," $3,401.00 ",,,,,,,,
PERTECHNETATE PER MCI           , $3.00 ,,,,,,,,
PET C 11 PER STUDY DOSE         ," $15,000.00 ",,,,,,,,
PET F 18 NAF PER STUDY DOSE UP  , $309.00 ,,,,,,,,
PET IMAGE FULL BODY             ," $5,296.00 ",,,,,,,,
PET IMAGE FULL BODY PS          ," $5,296.00 ",,,,,,,,
PET IMAGE LTD AREA              ," $5,296.00 ",,,,,,,,
PET IMAGE LTD AREA PS           ," $5,296.00 ",,,,,,,,
PET IMAGE SKULL THIGH           ," $5,296.00 ",,,,,,,,
PET IMAGE SKULL THIGH PS        ," $5,296.00 ",,,,,,,,
PET IMAGE W CT FULL BODY PS     ," $5,773.00 ",,,,,,,,
PET IMAGE W CT SKULL THIGH PS   ," $5,296.00 ",,,,,,,,
PET IMAGE W CT SKULL THIGH PS   ," $5,773.00 ",,,,,,,,
PET IMAGE W/CT FULL BODY        ," $5,773.00 ",,,,,,,,
PET IMAGE W/CT SKULL THIGH      ," $5,296.00 ",,,,,,,,
PET IMAGE W/CT SKULL THIGH      ," $5,773.00 ",,,,,,,,
PFM ABUTMENT CROWN              ," $1,152.00 ",,,,,,,,
PFM PONTIC CROWN                , $849.00 ,,,,,,,,
P-GALACTOGRAM MULTIPLE, $655.00 ,,,,,,,,
P-GALACTOGRAM SINGLEDUCT, $715.00 ,,,,,,,,
PHARMACOLOGIC MGMT W/PSYTX, $396.00 ,,,,,,,,
PHARMACOLOGIC MGMT W/PSYTX      , $396.00 ,,,,,,,,
PHARYNX/CERV ESOPHAGUS          , $849.00 ,,,,,,,,
PHLEBOTOMY THERAPEUTIC          , $440.00 ,,,,,,,,
"PHOTOPHERESIS, EXTRACORPOREAL   "," $17,354.00 ",,,,,,,,
PHYS PERFORMANCE TEST 15 MIN, $225.00 ,,,,,,,,
PHYSICIAN TIME REQUIRED TO STA, $424.00 ,,,,,,,,
PHYSIO STUDY OF UE LE ART MULT  , $768.00 ,,,,,,,,
PILLCAM ESO THRU ILEUM          ," $5,175.00 ",,,,,,,,
PILLCAM ESOPHAGUS ONLY          ," $2,272.00 ",,,,,,,,
PIN RETENTION (EXCLUSIVE OF RE  , $96.00 ,,,,,,,,
PLACE CLIP DURING BIOPSY        , $250.00 ,,,,,,,,
PLACE DEVICE/MARKER NON PRO," $4,662.00 ",,,,,,,,
PLACE DUOD/JEJ TUBE PERC," $3,946.00 ",,,,,,,,
PLACE ENDORECTAL APP            ," $2,864.00 ",,,,,,,,
PLACE GASTROSTOMY TUBE PERC," $5,353.00 ",,,,,,,,
PLACE URET STENT PERC RSI," $9,383.00 ",,,,,,,,
"PLASMA, FRESH FROZEN PR 955", $601.00 ,,,,,,,,
PLASTIC SURGERY EA ADD 1/2 HR   , $681.00 ,,,,,,,,
PLASTIC SURGERY FEE 1 1/2 HR    ," $3,393.00 ",,,,,,,,
PLATELET DEPLETE OF HARVEST     ," $1,637.00 ",,,,,,,,
PLEURAL DRAINAGE W CATH IMAGE," $2,564.00 ",,,,,,,,
PLMT BILIARY DRG CATH EXT       ," $3,810.00 ",,,,,,,,
PLMT BILIARY DRG CATH INT/EXT   ," $3,810.00 ",,,,,,,,
PLMT NEPHROSTOMY CATHETER       ," $3,257.00 ",,,,,,,,
PLMT NEPHROURETERAL CATHETER    ," $3,760.00 ",,,,,,,,
PLMT URETERAL STENT EXISTING    ," $9,383.00 ",,,,,,,,
PLMT URETERAL STENT NEW," $9,383.00 ",,,,,,,,
PLMT URETERAL STENT PRQ," $9,383.00 ",,,,,,,,
PLMT URETERAL STENT W/PCN       ," $9,383.00 ",,,,,,,,
PM DEVICE EVAL IN PERSON        , $195.00 ,,,,,,,,
PM DEVICE PROGR EVAL DUAL       , $179.00 ,,,,,,,,
PM DEVICE PROGR EVAL MULTI      , $179.00 ,,,,,,,,
PM DEVICE PROGR EVAL SNGL       , $179.00 ,,,,,,,,
PNEUMONPERITONEUM," $1,015.00 ",,,,,,,,
POLYSOM < 6 Years Ped," $7,747.00 ",,,,,,,,
POLYSOM <6 YRS 4> PARAMTRS      ," $7,747.00 ",,,,,,,,
POLYSOM <6 YRS CPAP/BILVL       ," $7,747.00 ",,,,,,,,
POLYSOM 6/> YRS 4/> PARAM," $7,148.00 ",,,,,,,,
POLYSOM<6 YRS 4> PARAMTRS," $7,747.00 ",,,,,,,,
POLYSOM<6 YRS CPAP/BILVL," $7,747.00 ",,,,,,,,
POLYSOMNOGRAM                   ," $7,148.00 ",,,,,,,,
PORC FUSED TO NP PER PONTIC     , $771.00 ,,,,,,,,
PORCELAIN LABIAL VENEER         ," $1,011.00 ",,,,,,,,
PORT FILMS DISTINCT SERVICE     ," $1,036.00 ",,,,,,,,
PORTAL 1ST ORD," $7,814.00 ",,,,,,,,
PORTOGRAPHY W/ PRESSURE," $7,657.00 ",,,,,,,,
PORTOGRAPHY W/ PRESSURE         ," $7,657.00 ",,,,,,,,
POSITIONING/ASSIST TECH, $367.00 ,,,,,,,,
POSITIONING/ASSIST TECH         , $367.00 ,,,,,,,,
POST AND CORE - CAST            , $312.00 ,,,,,,,,
POST AND CORE - PREFAB          , $312.00 ,,,,,,,,
PostMast Bioimped Spectroscopy, $545.00 ,,,,,,,,
PREFAB STAINLESS STEEL CROWN    , $171.00 ,,,,,,,,
PREFABRICATED ABUTMENT          , $357.00 ,,,,,,,,
PREFORM POST                    , $312.00 ,,,,,,,,
"PREG UTERUS > 1ST TRIM, EA ADD"," $1,288.00 ",,,,,,,,
"PREG UTERUS > 1ST TRIM, EA ADD  "," $1,288.00 ",,,,,,,,
PreOP Bioimped Spectroscopy, $545.00 ,,,,,,,,
PREV COUNSELING 30 MIN          , $332.00 ,,,,,,,,
PREV COUNSELING 60 MIN          , $585.00 ,,,,,,,,
PREV HLTH MON / COUNSEL 30 MIN  , $332.00 ,,,,,,,,
PREV HLTH MON / COUNSEL 60 MIN  , $585.00 ,,,,,,,,
PREV HLTH MONTR/COUNSEL 15 MIN, $255.00 ,,,,,,,,
PREV HLTH MONTR/COUNSEL 45 MIN, $435.00 ,,,,,,,,
PREV MON/ COUNSEL GROUP 30 MIN  , $150.00 ,,,,,,,,
PREV MON/ COUNSEL GROUP 60 MIN  , $258.00 ,,,,,,,,
PREVENTIVE COUNSELING GRP; 30   , $150.00 ,,,,,,,,
PREVENTIVE COUNSELING GRP; 60   , $258.00 ,,,,,,,,
PREVENTIVE COUNSELING INDIV; 3, $332.00 ,,,,,,,,
PREVENTIVE COUNSELING INDIV; 6, $585.00 ,,,,,,,,
PRGRMG EVAL IMPLANTABLE DFB     , $179.00 ,,,,,,,,
PRIM ART MECH TROMBECT ADD-ON," $14,456.00 ",,,,,,,,
PRIM ART M-THRMBC 1ST VSL," $20,512.00 ",,,,,,,,
PROCEDURE TIME IN L &D          ," $5,705.00 ",,,,,,,,
PROCEDURE TIME IN OR            ," $6,218.00 ",,,,,,,,
PROLONG PHY ATT ADDL .5HR > 1, $482.00 ,,,,,,,,
PROPHLAXIS - ADULT              , $141.00 ,,,,,,,,
PROPHLAXIS - CHILD              , $117.00 ,,,,,,,,
PROPHYLAXIS (ADULT)             , $141.00 ,,,,,,,,
PROPHYLAXIS (CHILD)             , $117.00 ,,,,,,,,
PROSTATE NEEDLE PUNCH BX," $3,152.00 ",,,,,,,,
PROSTATE NEEDLE PUNCH BX        ," $3,152.00 ",,,,,,,,
PROSTHETIC CHECKOUT, $234.00 ,,,,,,,,
PROSTHETIC TRAINING 15 MIN      , $230.00 ,,,,,,,,
PROVISION SPLNT INTRACORONAL    , $238.00 ,,,,,,,,
PROVISIONAL CROWN               , $215.00 ,,,,,,,,
PROVISIONAL SPLINT              , $238.00 ,,,,,,,,
PROVISIONAL SPLINT EXTRACORO    , $310.00 ,,,,,,,,
PROVISIONAL SPLINT INTRACORONA  , $238.00 ,,,,,,,,
PSEUDOANEURYSM INJECTION, $816.00 ,,,,,,,,
PSY TX W PT 60 MIN              , $412.00 ,,,,,,,,
PSYCH DIAG EVAL W MED - REHAB, $564.00 ,,,,,,,,
PSYCH DIAG EVAL W MED SRVS      , $564.00 ,,,,,,,,
PSYCH DIAG EVALW/MEDSER-TH/SED, $564.00 ,,,,,,,,
PSYCH DIAGNOSTIC EVAL - REHAB, $564.00 ,,,,,,,,
PSYCH DIAGNOSTIC EVALUATION     , $564.00 ,,,,,,,,
PSYCH DIAGNOSTIC EVALU-TH/SED, $564.00 ,,,,,,,,
PSYCH MED VST EST 10 MIN-REHAB, $223.00 ,,,,,,,,
PSYCH MED VST EST 15 MIN-REHAB, $223.00 ,,,,,,,,
PSYCH MED VST EST 25 MIN-REHAB, $223.00 ,,,,,,,,
PSYCH MED VST EST 40 MIN-REHAB, $223.00 ,,,,,,,,
PSYCH MED VST NEW 20 MIN-REHAB, $223.00 ,,,,,,,,
PSYCH MED VST NEW 30 MIN-REHAB, $223.00 ,,,,,,,,
PSYCH MED VST NEW 45 MIN-REHAB, $223.00 ,,,,,,,,
PSYCH MED VST NEW 60 MIN-REHAB, $223.00 ,,,,,,,,
PSYCHO TESTING BY PSYCH/PHYS, $816.00 ,,,,,,,,
PSYCHO TESTING BY PSYCH/PHYS    , $816.00 ,,,,,,,,
PSYCHOLOGICAL TESTING           , $816.00 ,,,,,,,,
PSYCHOTHERAPY FAM & CLIENT-TH, $870.00 ,,,,,,,,
PSYCHOTHERAPY FAM GROUP-TH/SED, $188.00 ,,,,,,,,
PSYCHOTHERAPY FAMILY & CLIENT, $870.00 ,,,,,,,,
PSYCHOTHERAPY FAMILY & CLIENT, $828.00 ,,,,,,,,
PSYCHOTHERAPY FAMILY & CLIENT   , $870.00 ,,,,,,,,
PSYCHOTHERAPY FAMILY GROUP, $188.00 ,,,,,,,,
PSYCHOTHERAPY FAMILY GROUP-SED, $188.00 ,,,,,,,,
PSYCHOTHERAPY GROUP 1 HOUR      , $282.00 ,,,,,,,,
PSYCHOTHERAPY GROUP 1 HR, $269.00 ,,,,,,,,
PSYCHOTHRP FAMILY & CLIENT-SED, $870.00 ,,,,,,,,
PSYCHOTHRPY GROUP 1 HR-TH/SED, $282.00 ,,,,,,,,
PSYCHOTROPIC MED ADMIN, $149.00 ,,,,,,,,
PSYCHTHRPY FAM & CLIENT-TH/SED, $870.00 ,,,,,,,,
PSYTX COMPLEX INTERACTIVE, $124.00 ,,,,,,,,
PSYTX COMPLEX INTERACTIVE       , $124.00 ,,,,,,,,
PSYTX CRIS EA ADDL 30 MIN-SED, $545.00 ,,,,,,,,
PSYTX CRIS INITIAL 60 MIN- SED, $817.00 ,,,,,,,,
PSYTX CRISIS EA ADDL 30 MIN, $545.00 ,,,,,,,,
PSYTX CRISIS INITIAL 60 MIN, $817.00 ,,,,,,,,
PSYTX PT & FAM 30 MIN-TH/SED, $259.00 ,,,,,,,,
PSYTX PT & FAM 45 MIN-TH/SED, $332.00 ,,,,,,,,
PSYTX PT & FAM W E&M 30 MIN     , $194.00 ,,,,,,,,
PSYTX PT & FAMILY 30 MIN-TH, $259.00 ,,,,,,,,
PSYTX PT & FAMILY 30 MINUTES    , $259.00 ,,,,,,,,
PSYTX PT & FAMILY 45 MIN-TH, $332.00 ,,,,,,,,
PSYTX PT & FAMILY 45 MINUTES    , $332.00 ,,,,,,,,
PSYTX PT& FAM W E&M 45 MIN, $235.00 ,,,,,,,,
PSYTX PT&/FAM W/E&M 30 MIN      , $194.00 ,,,,,,,,
PSYTX PT&/FAMILY 30 MINUTES, $247.00 ,,,,,,,,
PSYTX PT&/FAMILY 45 MINUTES     , $332.00 ,,,,,,,,
PSYTX W PT 60 MIN               , $412.00 ,,,,,,,,
PT APPLY LONG ARM SPLINT        , $646.00 ,,,,,,,,
PT APPLY LONG LEG SPLINT        , $925.00 ,,,,,,,,
PT AQUATIC THERAPY W/THER-EX, $112.00 ,,,,,,,,
PT COMA STIMULATION 15 MINS     , $230.00 ,,,,,,,,
PT ELECTRICAL STIM UNATTENDED, $728.00 ,,,,,,,,
PT ELECTRICAL STIM UNATTENDED   , $728.00 ,,,,,,,,
PT EVAL HIGH COMPLEX 45 MIN, $477.00 ,,,,,,,,
PT EVAL HIGH COMPLEX 45 MIN     , $477.00 ,,,,,,,,
PT EVAL LOW COMPLEX 20 MIN, $258.00 ,,,,,,,,
PT EVAL LOW COMPLEX 20 MIN      , $258.00 ,,,,,,,,
PT EVAL MOD COMPLEX 30, $318.00 ,,,,,,,,
PT GROUP THERAPEUTIC PROCEDURE  , $141.00 ,,,,,,,,
PT HAND MUSCLE MANUAL TEST, $227.00 ,,,,,,,,
PT HOT OR COLD PACKS            , $172.00 ,,,,,,,,
PT MECHANICAL TRACTION, $112.00 ,,,,,,,,
PT MMT EXTREMITY TRUNK          , $200.00 ,,,,,,,,
PT PARAFFIN BATH, $144.00 ,,,,,,,,
PT RE-EVALUATION                , $219.00 ,,,,,,,,
PT ROM MEASUR EXTREMITY/SPINE, $211.00 ,,,,,,,,
PT ULTRASOUND EACH 15 MIN       , $133.00 ,,,,,,,,
PT UNLISTED THERAPEUTIC PROC, $83.00 ,,,,,,,,
PT VASOPNEUMATIC DEVICES        , $162.00 ,,,,,,,,
PT WHIRLPOOL THERAPY, $141.00 ,,,,,,,,
PTA 1ST VEIN                    ," $20,044.00 ",,,,,,,,
PTA ADDL ART                    , $729.00 ,,,,,,,,
PTA ADDL VEIN                   , $569.00 ,,,,,,,,
PTA CENTRAL DIALYSIS SEG        , $639.00 ,,,,,,,,
PTA EXCEPT LOWER EXT            ," $20,044.00 ",,,,,,,,
PTA RENAL                       ," $8,577.00 ",,,,,,,,
PT-CANALITH REPOSITION PROC, $113.00 ,,,,,,,,
PULM FUNCT TEST OSCILLOMETRY    , $302.00 ,,,,,,,,
PULM FUNCT TST PLETHYSMOGRAP    , $302.00 ,,,,,,,,
PULM FUNCTION TEST BY GAS, $302.00 ,,,,,,,,
PULP CAP - DIRECT               , $84.00 ,,,,,,,,
PULP CAP - INDIRECT             , $75.00 ,,,,,,,,
PULP VITALITY TEST              , $84.00 ,,,,,,,,
PULPAL THERAPY - RESORB PRIM A  , $215.00 ,,,,,,,,
PULPAL THERAPY - RESORB PRIM P  , $334.00 ,,,,,,,,
PULPOTOMY                       , $198.00 ,,,,,,,,
PULSE OX MULTIPLE, $350.00 ,,,,,,,,
PULSE OX SGL                    , $306.00 ,,,,,,,,
PUNCT ASP - ABSC HEMAT CYST     , $691.00 ,,,,,,,,
PUNCT ASP BRST CYST - EA ADDTL, $422.00 ,,,,,,,,
PUNCT ASP BRST CYST-INTIAL, $562.00 ,,,,,,,,
PUNCT ASP HYDROCELE TUNICA VAG  ," $1,177.00 ",,,,,,,,
PUNCTURE ASPIR OF ABSCESS - 18, $314.00 ,,,,,,,,
PUNCTURE SHUNT OR RSVR FOR ASP  ," $2,303.00 ",,,,,,,,
PURE TONE AUDIO-AIR & BONE      , $714.00 ,,,,,,,,
"PURE TONE AUDIOMETRY, AIR", $351.00 ,,,,,,,,
RA TRACER ID OF SENTINL NODE," $1,364.00 ",,,,,,,,
RA US CAROTID ARTERY(IES)DOPPL  ," $2,413.00 ",,,,,,,,
RA US TRANSCRANIAL DOPPLER INT  ," $2,668.00 ",,,,,,,,
RAD TREAT 3 AREAS 6-10 MEV      ," $1,793.00 ",,,,,,,,
RAD TREATMENT PLANNING W," $1,768.00 ",,,,,,,,
RAD TREATMENT PLANNING WO," $2,109.00 ",,,,,,,,
RAD TREATMT DELIV INTER 11-19," $1,404.00 ",,,,,,,,
"RAD TX DELIVERY >1 MEV, SIMPLE  "," $1,042.00 ",,,,,,,,
RAD TX DELIVERY >1MEV  INTMDT   ," $1,404.00 ",,,,,,,,
RADIATION BASIC DOSIMETRY," $2,128.00 ",,,,,,,,
RADIATION BRACHY PLAN US PROST  ," $1,531.00 ",,,,,,,,
RADIATION CT SIMULATE EXT'L RT," $4,488.00 ",,,,,,,,
"RADIATION DEVICES, COMPLEX"," $4,481.00 ",,,,,,,,
"RADIATION DEVICES, SIMPLE"," $1,906.00 ",,,,,,,,
RADIATION IMRT DELIVERYCOMPLEX," $4,479.00 ",,,,,,,,
RADIATION IMRT TREAT PLAN," $10,027.00 ",,,,,,,,
RADIATION INSTERSTIT INTERMED   ," $5,748.00 ",,,,,,,,
RADIATION PHYSICS CONSULT TC," $1,572.00 ",,,,,,,,
RADIATION PORT FILMS            ," $1,036.00 ",,,,,,,,
RADIATION PORT FILMS ADDL       ," $1,036.00 ",,,,,,,,
RADIATION SIMULATION COMPLEX," $9,891.00 ",,,,,,,,
RADIATION SIMULATION INTERMED," $7,094.00 ",,,,,,,,
RADIATION SIMULATION SIMPLE," $5,275.00 ",,,,,,,,
RADIATION SPEC PHYSICS CONSULT  ," $2,444.00 ",,,,,,,,
RADIATION SPEC TREAT PROCEDURE," $3,581.00 ",,,,,,,,
RADIATION SPECIAL DOSIMETRY," $1,416.00 ",,,,,,,,
RADIATION SRS DELIVERY          ," $53,870.00 ",,,,,,,,
RADIATION STEREO WITH, $525.00 ,,,,,,,,
RADIATION STEREO WITHOUT, $394.00 ,,,,,,,,
RADIATION TREAT PLAN SPECIAL    ," $3,959.00 ",,,,,,,,
RADIATION US GUIDE SIMULATION   ," $3,770.00 ",,,,,,,,
RADIOLOGICAL EXAM SRG SPEC, $544.00 ,,,,,,,,
RADIOPH RX BY IV ADMIN          ," $2,364.00 ",,,,,,,,
RADIOPHARMACEUTICAL THERAPY     ," $3,005.00 ",,,,,,,,
RADITX DELIVERY  >1 COMP ADDTL  ," $1,793.00 ",,,,,,,,
RADITX DELIVERY >1 MeV INTERMD," $1,404.00 ",,,,,,,,
RBC DEPLETION OF HARVEST        ," $1,637.00 ",,,,,,,,
RBC DEPLETION-OUTSIDE LAB       ," $28,916.00 ",,,,,,,,
RCONSTRUCT MIDFACE GRAFT        ," $8,270.00 ",,,,,,,,
Receive/Deliver/Dispose Xofigo, $172.00 ,,,,,,,,
RECEMENT CROWN                  , $126.00 ,,,,,,,,
RECOVERY PER MINUTE CHARGE      , $31.00 ,,,,,,,,
Recovery Rm -Major 1st 60 min, $681.00 ,,,,,,,,
Recovery Rm -Major addl 30 min, $243.00 ,,,,,,,,
Recovery Rm -Minor 1st 60 min, $618.00 ,,,,,,,,
Recovery Rm -Minor addl 30 min, $250.00 ,,,,,,,,
REFILL/MAINT PORTABLE PUMP, $769.00 ,,,,,,,,
RELINE CD - MAND CHAIRSIDE      , $366.00 ,,,,,,,,
RELINE CD - MAND LAB            , $465.00 ,,,,,,,,
RELINE RPD - LAB                , $432.00 ,,,,,,,,
REM ENDOVAS VENA CAVA FILTER," $12,395.00 ",,,,,,,,
REM FB CONEAL W SLIT LAMP       ," $1,098.00 ",,,,,,,,
REM FB CONJUNCTIVA; EMBEDDED    , $798.00 ,,,,,,,,
REM FB CONJUNCTIVA; SUPERFICIA  , $780.00 ,,,,,,,,
REM FB EXT EYE CORNEAL WO LAMP  , $962.00 ,,,,,,,,
REM FB INTRANASAL; OFFICE       , $910.00 ,,,,,,,,
REM FB-EXT AUDIT CANAL WO ANES  ," $1,086.00 ",,,,,,,,
REM OBSTRUCT JTUBE," $1,199.00 ",,,,,,,,
REM OBSTRUCTIN FROM CVD," $1,221.00 ",,,,,,,,
REM REACT-PROD FB               ," $1,552.00 ",,,,,,,,
REM TUNNELED CVAD W PORT/PUMP," $3,499.00 ",,,,,,,,
REMOV FB FT SUBQ                ," $2,863.00 ",,,,,,,,
REMOV FB MUSCL/TENDON SIMPL     ," $2,196.00 ",,,,,,,,
REMOV IMPLNT SUPERF (SEP PRO)   ," $1,693.00 ",,,,,,,,
REMOV SKIN TAGS TO/INCL 15 LES  , $424.00 ,,,,,,,,
REMOVAL BILIARY DRG CATH," $3,810.00 ",,,,,,,,
REMOVAL CERCLAGE SUTURE         ," $11,758.00 ",,,,,,,,
REMOVAL FB EYELID - 698, $571.00 ,,,,,,,,
REMOVAL FOREIGN BODY            , $595.00 ,,,,,,,,
REMOVAL FOREIGN BODY FLRSCOPE   ," $2,134.00 ",,,,,,,,
REMOVAL NAIL PLATE              , $524.00 ,,,,,,,,
REMOVAL OF ANAL TAGS," $5,992.00 ",,,,,,,,
REMOVAL OF BREAST LESION 1+," $8,925.00 ",,,,,,,,
REMOVAL OF LESION PR 253," $2,986.00 ",,,,,,,,
REMOVAL OF NAIL BED             ," $1,843.00 ",,,,,,,,
REMOVAL OF PLASMA- OUTSIDE LAB  ," $5,107.00 ",,,,,,,,
REMOVAL OF RBCS-OUTSIDE LAB     ," $28,916.00 ",,,,,,,,
REMOVE APPL THERAPY             , $336.00 ,,,,,,,,
REMOVE DRUG IMPLANT             , $382.00 ,,,,,,,,
REMOVE EMBEDDED FB EYELID       , $504.00 ,,,,,,,,
REMOVE EXOSTOSIS MAXILLA        ," $13,813.00 ",,,,,,,,
REMOVE FECAL IMPACTION OR FB    ," $1,738.00 ",,,,,,,,
REMOVE FOREIGN BODY PHARYNX     ," $2,543.00 ",,,,,,,,
REMOVE FULL ARM OR LEG CAST     , $427.00 ,,,,,,,,
REMOVE HEPATIC SHUNT (TIPS)," $5,610.00 ",,,,,,,,
REMOVE IMPACTED EAR WAX UNI     , $438.00 ,,,,,,,,
REMOVE IMPACTED EAR WAX UNI     , $255.00 ,,,,,,,,
REMOVE INTRVAS FOREIGN BODY     ," $18,213.00 ",,,,,,,,
REMOVE IUD                      , $521.00 ,,,,,,,,
REMOVE RENAL TUBE W/FLOURO," $2,848.00 ",,,,,,,,
REMOVE TNL CV CATH," $2,165.00 ",,,,,,,,
REMOVE TUNNELED IP CATH," $5,398.00 ",,,,,,,,
REMOVE URETER STENT PERCUT," $6,924.00 ",,,,,,,,
RENAL BIL (W OR W/O FLUSH)," $14,951.00 ",,,,,,,,
RENAL BIOPSY PERQ," $2,721.00 ",,,,,,,,
RENAL CYST STY, $754.00 ,,,,,,,,
RENAL UNI (W OR W/O FLUSH)," $10,419.00 ",,,,,,,,
REP ANEUR FAL ANEUR/OD AO W GR," $16,308.00 ",,,,,,,,
REP COMPLX FORHD/AX/FT 1.1-2.5  ," $4,030.00 ",,,,,,,,
REP COMPLX FORHD/AX/FT 2.6-7.5  ," $7,826.00 ",,,,,,,,
REP COMPLX FORHD/AX/FT EA ADD   ," $1,839.00 ",,,,,,,,
REP COMPLXSCLP/EXTRM 2.6-7.5    ," $5,295.00 ",,,,,,,,
REP COMPLXSCLP/EXTRM EA ADDL 5  ," $2,133.00 ",,,,,,,,
REP DISLODG G-J TUBE (COM)," $3,302.00 ",,,,,,,,
REP LACER CONJ DIR CL           ," $9,361.00 ",,,,,,,,
REP THORACIC ABDOMINAL ANEURYS," $17,870.00 ",,,,,,,,
REPAIR ACHILLES TENDON          ," $9,603.00 ",,,,,,,,
REPAIR BLD VESSEL LESION        ," $7,632.00 ",,,,,,,,
REPAIR BLD VESSEL LESION        ," $16,350.00 ",,,,,,,,
REPAIR BLOOD VES EXTREMITY," $10,224.00 ",,,,,,,,
REPAIR BLOOD VESSEL - 93," $7,967.00 ",,,,,,,,
REPAIR BROKEN COMPLETE DENTURE  , $234.00 ,,,,,,,,
REPAIR CD   TEETH               , $141.00 ,,,,,,,,
REPAIR CVA DEVICE W PORT/PUMP   ," $1,985.00 ",,,,,,,,
REPAIR FINGER TENDON            ," $4,189.00 ",,,,,,,,
REPAIR FINGER/HAND TENDO        ," $11,945.00 ",,,,,,,,
REPAIR FOOT TENDON              ," $3,775.00 ",,,,,,,,
REPAIR HAND JOINT               ," $4,401.00 ",,,,,,,,
REPAIR MOUTH >2.6 CM            ," $3,103.00 ",,,,,,,,
REPAIR PALATE LACERATION UP 2C  ," $1,586.00 ",,,,,,,,
REPAIR PARTIAL DENTURE BASE MX  , $156.00 ,,,,,,,,
REPAIR RPD - CLASP              , $237.00 ,,,,,,,,
REPAIR SUPERFICIAL WOUND        , $657.00 ,,,,,,,,
