Hospital Name:  Mercy St Marys SF,,,,,
OSHPD Facility No: 10630965,,,,,
"Effective Date of Charges: July 1, 2018",,,,,
,,,,,
"CDM
Number",Billing Description (25 char), Price ,Zero Price Inicator,,
4276648,HEPAT A VACC 1440U 1ML IN, 163.06 ,,,
4276663,FLU VACC FLUZON 3V>3YR IM, 73.73 ,,,
4276664,CYTARABINE 1GM PWDR SDV  , 111.00 ,,,
4276665,CYTARABINE 2GM PWDR SDV  , 135.00 ,,,
4276754,FOSAPREPITANT 150MG SDVJG, 624.64 ,,,
4276755,DESVENLAFAXINE ER 100MG  , 68.57 ,,,
4276756,ARGATR 250MG/2.5ML ESRDJG," 3,152.42 ",,,
4276757,ARGAT 250MG/2.5MLNOESRDJG," 3,152.42 ",,,
4276758,LIOTHYRONINE 10MCG/ML INJ, 924.00 ,,,
4290101,PIPERAC/TAZO 4.5GM/1DL PB, 180.00 ,,,
4290410,LEUCOVORIN CA 200MG SDV  , 156.00 ,,,
4290411,LEUCOVORIN CA 350MG SDV  , 228.00 ,,,
4290558,TELAVANCIN 250MG INJ     , 909.86 ,,,
4290607,DIATRIZAT NA 50% 50ML INJ, 80.33 ,,,
4290905,CEFEPIME 2GM PWD INJ     , 180.00 ,,,
4290954,PEGFILGRA ONPRO 6MG INJJG," 4,447.54 ",,,
4291050,INDIGO CAR 8MG/ML 5ML INJ, 84.60 ,,,
4291101,CABAZITAX 60MG/1.5MLSDVJG," 22,027.28 ",,,
4291134,IOHEXOL 300MG/ML 50ML INJ, 345.00 ,,,
4291209,IOTHALAM MEG 43% 50ML INJ, 82.92 ,,,
4291456,DIATRIZ MEG/NA 52-8 50ML , 72.53 ,,,
4291613,GLATIRAMER 20MG/1ML SYR  , 105.85 ,,,
4291614,BENDAMUST 180MG/2MLSDVJG ," 8,049.60 ",,,
4291615,BENDAMUST 45MG/0.5MLSDVJG," 2,012.40 ",,,
4291616,BRENTUXIM 50MG PWD SDVJG ," 10,920.00 ",,,
4291617,TRANEXAMIC 1GM/10ML INJ  , 82.39 ,,,
4291621,FOSPHENYT500MG/10ML SDVJG, 156.72 ,,,
4291654,RISPERID LA 25MG/2MLINJJG, 565.20 ,,,
4291704,INS ASPART 1000U/10ML INJ, 177.40 ,,,
4291738,INSULN ASPART100/1 PEN3ML, 88.90 ,,,
4291746,GENTAMICIN 20MG/5ML PEDIV, 27.00 ,,,
4291761,INS DETEM 300U/3ML PEN   , 83.98 ,,,
4291779,INS ASP PRO 70-30 3ML PEN, 88.32 ,,,
4291795,NACL 0.9% 3ML FLUSH PEDIV, 46.65 ,,,
4291796,HYDROMORPH 20MG/100ML PCA, 180.00 ,,,
4291811,LACOSAMIDE 200MG/20ML SDV, 95.40 ,,,
4291845,LEVOTHYROXINE 100MCG INJ , 140.80 ,,,
4291852,IMIPENEM/CILAST 250MG INJ, 38.96 ,,,
4291951,DOPAMINE 40MG/ML 10ML INJ, 20.00 ,,,
4291952,NIVOLUMAB 40MG/4ML SDVJG ," 1,474.64 ",,,
4291953,NIVOLUM 100MG/10ML SDVJG ," 3,688.12 ",,,
4298006,BUPIVAC/EPI 0.5% 30ML INJ, 22.00 ,,,
4298014,KETOROLAC 30MG/ML 1ML INJ, 22.00 ,,,
4298022,LIDOCAINE 0.5% 50ML INJ  , 22.00 ,,,
4298030,LIDOCAINE MPF 1% 5ML INJ , 22.00 ,,,
4298048,LIDOCAINE 1% 20ML INJ    , 22.00 ,,,
4298055,METHYLPRED ACE40MG/1MLINJ, 22.00 ,,,
4298063,NACL 0.9% 10ML INJ       , 12.97 ,,,
4298064,CEFEPIME 2GM/NS 100ML PMX, 180.00 ,,,
4298071,TRIAMCIN ACE 40MG/ML 1ML , 22.00 ,,,
4298089,TRIAMCIN ACE 40MG/ML 5ML , 47.59 ,,,
4298097,BUPIVAC/EPI PF 0.25% 30ML, 22.00 ,,,
4298121,ONABOTULINTOXINA 100UVLJG, 564.73 ,,,
4298139,BETAMETH P/AC 6MG/1ML INJ, 39.13 ,,,
4298147,LIDOCAINE MPF 2% 5ML INJ , 5.00 ,,,
4298154,IG FLEBOGAMM10GM/1DL IVJG," 1,325.00 ",,,
4298155,ROMIPLOST 250MCG PWDSDVJG," 2,997.76 ",,,
4298156,ROMIPLOST 500MCG PWDSDVJG," 5,985.52 ",,,
4298162,OLANZAPINE 10MG LYOPH SDV, 55.00 ,,,
4298188,TERIPARAT 250MCG 2.4MLPEN," 3,140.72 ",,,
4298189,NACL 3% 4ML NEB          , 5.00 ,,,
4298190,NATALIZUM 300MG/15MLSDVJG," 2,476.00 ",,,
4298191,PERTUZUM 420MG/14ML IVJG ," 9,781.58 ",,,
4298192,FLU VACC 4VAL 0.5ML3YR+IM, 38.60 ,,,
4298193,ZOLEDRONIC AC 4MG/1DL PB , 190.00 ,,,
4298194,FLU VACC FLUVIRIN>=3YR IM, 37.40 ,,,
4298195,FLU VAC FLUBLOK RECOMB IM, 84.00 ,,,
4298196,FLU VACC FLUZON 3V>3YR IM, 38.98 ,,,
4298197,PACLITAXEL /1MG-5MLMDV   , 355.20 ,,,
4298198,PACLITAX 100MG/16.7ML SDV," 1,214.02 ",,,
4298199,PACLITAXEL /1MG MDV INJ  ," 1,180.86 ",,,
4298200,PACLITAX 100MG/16.7ML SDV," 2,422.40 ",,,
4298201,MORPHINE 15MG/ML 20ML INJ, 124.12 ,,,
4298202,MORPHINE 5MG/ML 30ML INJ , 172.12 ,,,
4298203,ADENOSINE THERA 6MG INJ  , 205.97 ,,,
4298204,PERAMIVIR200MG/20ML SDVJG, 780.00 ,,,
4298205,TESTOST CYP 200MG/ML 1ML , 55.06 ,,,
4298206,TESTOST CYP 200MG/ML 10ML, 142.04 ,,,
4298210,TIGECYCLINE50MG PWD SDVJG, 292.38 ,,,
4298211,LEVOTHYROXINE 200MCG INJ , 450.68 ,,,
4298212,ROPIVACAIN 0.5%100MG/20ML, 31.14 ,,,
4298213,IPILIMUM 200MG/40ML SDVJG," 31,491.29 ",,,
4298214,MORPHINE PF 100MG/1DL PCA, 260.52 ,,,
4298215,FENTANYL PF 1MG/250ML PB , 207.86 ,,,
4298216,IOHEXOL 300MG/ML 30ML INJ, 112.18 ,,,
4298217,OCTAFLUOROPROPAN MICRO/ML, 346.96 ,,,
4298218,SILTUXIMAB 400MG SDVJG   ," 8,236.70 ",,,
4298219,LEVALBUTER 1.25MG/3ML NEB, 14.42 ,,,
4298220,TEMOZOLOMIDE 180MG CAP   , 390.04 ,,,
4298222,CYCLOPHOSPHAM 1GM SDVJG  ," 1,465.00 ",,,
4298223,CETUXIM 200MG/100ML SDVJG," 1,569.88 ",,,
4298224,LEVETIRACET 1.5GM/1DL PB , 180.00 ,,,
4298225,CEFOTETAN 2GM 50ML PB    , 180.00 ,,,
4298226,IRINOTECAN 100MG/5ML SDV , 148.24 ,,,
4298227,ANTINEOPLASTIC N/C INJ   , 0.02 ,,,
4298228,ROPIVAC 0.2% 200MG/1DL PB, 180.00 ,,,
4298230,RAMUCIR PF500MG/50MLSDVJG," 7,680.04 ",,,
4298231,RAMUCIR PF100MG/10MLSDVJG," 1,596.00 ",,,
4298232,FLU VACC SPL V PF>=3YR IM, 42.28 ,,,
4298233,FLU VACC TRIVAL PF6-35MOS, 35.72 ,,,
4298235,PNEUMOCOC VACC 13 VALENT , 301.80 ,,,
4298236,CARDIOPL DEL NIDO 1L INJ , 180.00 ,,,
4298237,AMIODARONE 50MG/ML 18ML  , 24.96 ,,,
4298238,CEFTOLOZA/TAZO 1.5GMSDVJG, 176.00 ,,,
4298239,CEFTAZ/AVIB 2-0.5GM SDVJG, 548.60 ,,,
4298240,POLIDOCANOL 0.5% 2ML AMP , 936.00 ,,,
4298241,LEVETIRACET 1.5GM/1DL PB , 180.00 ,,,
4298242,MEROPENEM 500MG/50ML IVPB, 180.00 ,,,
4298243,MEROPENEM 1GM/50ML IVPB  , 180.00 ,,,
4298244,FE CARBOX 750MG/15MLSDVJG," 1,454.58 ",,,
4298245,IDARUCIZUM 2.5GM/50ML SDV," 3,500.00 ",,,
4298246,METHYLNALTR 12MG/0.6MLSYR, 250.00 ,,,
4298247,INDOCYANINE GREEN 25MG IN, 65.00 ,,,
4298248,TALIM100MILPFU/ML1MLINJTB," 8,810.00 ",,,
4298249,VANC 1.25GM/D5W 250ML VIA, 180.00 ,,,
4298250,VANCOMYCIN 750MG INJ     , 180.00 ,,,
4298251,MEPOLIZUM 100MG INJ SDVTB," 6,000.00 ",,,
4298252,DULAGLUT 0.75MG/0.5ML INJ, 291.63 ,,,
4298253,IFOSFAMIDE 3GM INJ       , 318.00 ,,,
4298254,DARATUMUM 100MG/5ML SDVTB, 742.46 ,,,
4298255,DARATUMUM400MG/20ML SDVTB," 2,788.00 ",,,
4298256,MINOCYCLINE 100MG INJJG  , 180.00 ,,,
4298257,SILTUXIMAB 100MG SDVJG   ," 1,775.98 ",,,
4298258,FACTOR 7A RT REC 2MGINJJG," 6,880.00 ",,,
4298259,VANCO 750MG/D5W 150ML PMX, 180.00 ,,,
4298260,FOMEPIZOLE 1GM/ML 1.5MLJG," 2,150.00 ",,,
4298261,VEDOLIZUM 300MG/20MLSDVJG," 7,407.94 ",,,
4298262,SUGAMMADEX100MG/ML2MLINJ ," 2,290.00 ",,,
4298263,SUGAMMADEX100MG/ML5MLINJ ," 4,186.00 ",,,
4298264,CEFAZOLIN 2GM/100ML PB   , 180.00 ,,,
4298265,NA BICARB 150MEQ 1000M PB, 180.00 ,,,
4298266,FLUCONAZOLE 100MG/50ML IN, 180.00 ,,,
4298267,VANCO 2GM/NS 500ML VIA   , 180.00 ,,,
4298268,MEDROXYPROG 150MG/ML 1ML , 135.32 ,,,
4298269,VANCO 1GM/NS 200ML PMX   , 180.00 ,,,
4298270,BUMETAN 0.25MG(2.5MG)MDV , 18.00 ,,,
4298271,ALEMTUZUMAB 1MG INJ JG   , -   ,3,,
4298272,ALEMTUZUMAB 1MG INJ JW JG, -   ,3,,
4298273,BIVALIRUDIN 1MG INJ      , -   ,3,,
4298274,BIVALIRUDIN 1MG INJ JW   , -   ,3,,
4298275,DALBAVANCIN 5MG INJJG    , -   ,3,,
4298276,DALBAVANCIN 5MG INJ JWJG , -   ,3,,
4298277,FOSCARNET NA 1000MG INJ  , -   ,3,,
4298278,FOSCARNET 1000MG INJ JW  , -   ,3,,
4298279,MEPOLIZUMAB 1MG INJTB    , -   ,3,,
4298280,MEPOLIZUMAB 1MG INJ JWTB , -   ,3,,
4298281,MILRINONE LACTATE 5MG INJ, -   ,3,,
4298282,MILRINONE LACT 5MG INJ JW, -   ,3,,
4298283,MINOCYCLINE HCL 1MG INJJG, -   ,3,,
4298284,MINOCYCL HCL1MG INJ JWJG , -   ,3,,
4298285,NESIRITIDE 0.1MG INJJG   , -   ,3,,
4298286,NESIRITIDE 0.1MG INJ JWJG, -   ,3,,
4298287,ORITAVANCIN 10MG INJJG   , -   ,3,,
4298288,ORITAVANCIN 10MG INJ JWJG, -   ,3,,
4298289,PERAMIVIR 1MG INJJG      , -   ,3,,
4298290,PERAMIVIR 1MG INJ JWJG   , -   ,3,,
4298291,BRENTUXIMAB VED 1MG INJJG, -   ,3,,
4298292,BRENTUXIM VED 1MGINJ JWJG, -   ,3,,
4298293,CARBAZITAXEL 1MG INJJG   , -   ,3,,
4298294,CARBAZITAXEL 1MG INJ JWJG, -   ,3,,
4298295,CYTARABINE LIP 10MG INJJG, -   ,3,,
4298296,CYTARAB LIPO10MGINJ JWJG , -   ,3,,
4298297,DARATUMUMAB 10MG INJTB   , -   ,3,,
4298298,DARATUMUMAB 10MG INJ JWTB, -   ,3,,
4298299,DAUNORUBIC 10MG INJJG    , -   ,3,,
4298300,DAUNORUBIC 10MG INJ JWJG , -   ,3,,
4298301,INTER ALFA-2BREC1MU INJJG, -   ,3,,
4298302,INTER ALFA-2BRE1MUINJJWJG, -   ,3,,
4298305,TALIMOGENE LAH 1MU INJTB , -   ,3,,
4298306,TALIMOG LAH 1MU INJ JWTB , -   ,3,,
4298307,TEMSIROLIM 1MG INJJG     , -   ,3,,
4298308,TEMSIROLIMUS 1MG INJ JWJG, -   ,3,,
4298309,TOPOTECAN 0.1MG INJ      , -   ,3,,
4298310,TOPOTECAN 0.1MG INJ JW   , -   ,3,,
4298311,ZIV-AFLIBERCEPT 1MG INJJG, -   ,3,,
4298312,ZIV-AFLIBERCE 1MGINJ JWJG, -   ,3,,
4298313,TRASTUZUMAB 150MG SDVJG  ," 1,711.40 ",,,
4298314,DURVALUM 120MG/2.4MLSDVTB," 2,003.80 ",,,
4298315,DURVALUM 500MG/10ML SDVTB," 8,349.14 ",,,
4298316,MITOMYCIN 20MG SDVJG     ," 1,653.14 ",,,
4298317,INS NPH REG 70/30 PEN 3ML, 236.22 ,,,
4298318,FLU VACC QUAD PF 0.5MLPFS, 42.28 ,,,
4298319,PALIPERIDO ER 234MG SYRJG," 4,579.08 ",,,
4298320,PALIPERID PAL ER1MG INJJG, -   ,3,,
4298321,PALIPER PAL ER1MGINJ JWJG, -   ,3,,
4298322,MEPERIDINE 25MG/0.5ML INJ, 20.00 ,,,
4298323,ARGATROB 1MGNONESRD INJJG, -   ,3,,
4298324,ARGATROB 1MGNESRDINJ JWJG, -   ,3,,
4298325,ARGATROBAN ESRD 1MG INJJG, -   ,3,,
4298326,ARGATROB ESRD 1MG INJJWJG, -   ,3,,
4298327,DURVALUMAB 10MG INJTB    , -   ,3,,
4298328,DURVALUMAB 10MG INJ JWTB , -   ,3,,
4298329,FOSAPREPITANT 1MG INJJG  , -   ,3,,
4298330,FOSAPREPITANT 1MG INJJWJG, -   ,3,,
4298331,FOSPHENYT PE 50MG INJJG  , -   ,3,,
4298332,FOSPHENYT PE50MG INJJWJG , -   ,3,,
4298333,TRASTUZUMAB 10MG INJJG   , -   ,3,,
4298334,TRASTUZUMAB 10MG INJ JWJG, -   ,3,,
4298335,BENDAMUST 100MG PWDSDVJG ," 5,943.60 ",,,
4298336,OLARATUM 500MG/50ML SDVTB," 5,838.00 ",,,
4298337,OLARATUMAB 10MG INJTB    , -   ,3,,
4298338,OLARATUMAB 10MG INJ JWTB , -   ,3,,
4298339,OLARATUM 190MG/19ML SDVTB," 2,255.64 ",,,
4298340,FLUOROURACIL 500MG(5G)MDV, 162.00 ,,,
4298341,FACT 9 COMPLEX/1IU 1KVLJG," 2,300.00 ",,,
4298342,FACT 9 COMPL/1IU 500UVLJG," 2,300.00 ",,,
4298343,ARIPIPRAZ ER 300MG PFSJG ," 3,724.00 ",,,
4298344,ARIPIPRAZOLE 1MG ER INJJG, -   ,3,,
4298345,ARIPIPRAZ 1MG ERINJ JWJG , -   ,3,,
4298346,FACTOR 9COMP/1IU1500UVLJG," 2,300.00 ",,,
4300000,CA GLUCONATE 1GM/100ML PB, 180.00 ,,,
4300257,APAP/CODEINE 300/30MG TAB, 33.72 ,,,
4300604,SMZ-TMP 800/160MG TAB    , 28.50 ,,,
4301405,ALBUM H 25% 50ML INFUSJG , -   ,3,,
4301406,ALBUM H 5% 250ML INFUSJG , -   ,3,,
4301407,FAC VIIA RE PER 1MCGINJJG, -   ,3,,
4301408,ALBUM H 25%50MLINFUS JWJG, -   ,3,,
4301409,FACT VIIA RE1MCG INJ JWJG, -   ,3,,
4301410,ALBUM H 5%250MLINFUS JWJG, -   ,3,,
4320156,CYANIDE ANTIDOTE KIT     , 619.23 ,,,
4321055,RXFE O/P PRESCRIPT CLINIC, -   ,1,,
4321105,RXFE O/P PRESCRIPT HOSPIT, -   ,1,,
4321551,VANCOMYCIN 5GM INJ       , 100.00 ,,,
4329959,NO CHARGE DRUG/NON DRUG  , -   ,2,,
4340055,ACETIC ACID 0.25% 1000ML , 74.51 ,,,
4340204,NA HYPOCHLOR 0.1% 1L SOL , 111.65 ,,,
4341202,NEOMYCIN/POLY B GU 1ML   , 78.67 ,,,
4341301,BACIT/POLY 500KU/500MGIRR, 546.90 ,,,
4341400,WATER STERILE 1000ML INJ , 50.00 ,,,
4341806,STERILE TALC 4GM PWD     , 402.11 ,,,
4360053,ALBUMIN 25% 100ML INJJG  ," 1,614.00 ",,,
4360103,ALBUMIN 25% 50ML INJJG   , 370.00 ,,,
4360152,ALBUMIN 5% 250ML INJJG   , 370.00 ,,,
4360202,ALBUMIN 5% 500ML INJJG   ," 2,107.33 ",,,
4360285,ARGININE 10% 300ML INJ   , 166.03 ,,,
4360301,CARD PLEG COR 16MEQ/1LSOL, 759.98 ,,,
4360327,ACD FORMULA-A 500ML INJ  , 171.70 ,,,
4360350,D10% 0.45 NS 1000ML INJ  , 166.03 ,,,
4360400,D10% 0.9 NACL 1000ML INJ , 166.03 ,,,
4360509,D5% RINGERS 1000ML INJ   , 166.03 ,,,
4360558,D5% + KCL 10MEQ 1L INJ   , 180.30 ,,,
4360608,D5% + KCL 20MEQ 1L INJ   , 180.30 ,,,
4360657,D5% + KCL 30MEQ 1L INJ   , 180.30 ,,,
4360707,D5% + KCL 40MEQ 1L INJ   , 180.30 ,,,
4360756,D5% 0.2 NACL 1000ML INJ  , 166.03 ,,,
4360806,D5% 0.2 NACL 500ML INJ   , 166.03 ,,,
4360855,D5% 0.2 NACL+KCL10 1LINJ , 180.30 ,,,
4360905,D5% 0.2 NACL+KCL20 1LINJ , 180.30 ,,,
4360954,D5% 0.2 NACL+KCL30 1LINJ , 180.30 ,,,
4361002,D5% 0.2 NACL+KCL40 1LINJ , 180.30 ,,,
4361051,D5% 0.45 NACL 1000ML INJ , 166.03 ,,,
4361150,D5% 0.45 NACL 500ML INJ  , 166.03 ,,,
4361259,D5% 0.45 NACL+KCL10 1LINJ, 180.30 ,,,
4361309,D5% 0.45 NACL+KCL20 1LINJ, 180.30 ,,,
4361358,D5% 0.45 NACL+KCL30 1LINJ, 180.30 ,,,
4361408,D5% 0.45 NACL+KCL40 1LINJ, 180.30 ,,,
4361440,D5% 0.9 NS+KCL40MEQ 1L IV, 180.30 ,,,
4361457,D5% 0.9 NACL 1000ML INJ  , 166.03 ,,,
4361465,D5% 0.9 NS+KCL20MEQ 1L IV, 180.30 ,,,
4361556,D5% 0.9 NACL 500ML INJ   , 166.03 ,,,
4361606,D5% LR 1000ML INJ        , 166.03 ,,,
4361705,D5% LR 500ML INJ         , 166.03 ,,,
4361903,D10%W 1000ML INJ         , 166.03 ,,,
4362000,D10%W 500ML INJ          , 124.39 ,,,
4362059,D20% 500ML INJ           , 166.05 ,,,
4362109,D25% 10ML INJ            , 97.04 ,,,
4362158,D30% 500ML INJ           , 166.13 ,,,
4362208,D40% 500ML INJ           , 166.13 ,,,
4362455,D5% 100ML INJ            , 166.03 ,,,
4362505,D5% 1000ML INJ           , 166.03 ,,,
4362554,D5% 150ML INJ            , 166.03 ,,,
4362604,D5% 250ML INJ            , 166.03 ,,,
4362653,D5% 50ML INJ             , 166.03 ,,,
4362752,D5% 500ML GLASS INJ      , 166.03 ,,,
4362802,D50% 500ML INJ           , 166.13 ,,,
4362901,D70% 500ML INJ           , 166.13 ,,,
4363008,DEXTRAN 40 10%/D5 5DL INJ, 380.84 ,,,
4363057,DEXTRAN 40 10%/NS 5DL INJ, 380.84 ,,,
4363206,DOPAMINE 200MG/250ML PB  , 343.40 ,,,
4363255,DOPAMINE 400MG/250ML PB  , 343.41 ,,,
4363271,D5% W ELECTROL 148 1000ML, 166.03 ,,,
4363313,FACT 8(HUMATE-P)/1IUINJJG, 434.30 ,,,
4363354,FAT EMULSION 10% 250ML IN, 305.32 ,,,
4363404,FAT EMULSION 10% 500ML IN, 564.07 ,,,
4363552,FAT EMULSION 20% 200ML IN, 230.03 ,,,
4363602,FAT EMULSION 20% 250ML IN, 437.12 ,,,
4363651,FAT EMULSION 20% 500ML IN, 714.48 ,,,
4363800,HEP 25KU/NS 0.45%250MLPMX, 390.29 ,,,
4363859,HETASTARCH 6% 500ML NS IV, 370.00 ,,,
4363909,LACTATED RINGERS 500MLINJ, 166.03 ,,,
4363958,LACTATED RINGERS 1L INJ  , 166.03 ,,,
4364105,LACTATED RINGERS 250MLINJ, 166.03 ,,,
4364204,LIDO 0.4% 1GM/250ML PB   , 321.22 ,,,
4364303,LIDO 0.4% 2GM/500ML PB   , 321.22 ,,,
4364360,MILRINONE 20MG/100ML PB  , 636.49 ,,,
4364451,NACL 0.45% 500ML INJ     , 166.03 ,,,
4364501,NACL 0.45% 1000ML INJ    , 166.05 ,,,
4364527,NACL 0.45%+KCL 20MEQ1LINJ, 180.30 ,,,
4364659,NACL 0.9% 1000ML INJ     , 166.03 ,,,
4364709,NACL 0.9%+KCL 20MEQ 1LINJ, 180.30 ,,,
4364717,NACL 0.9%+KCL 40MEQ 1LINJ, 180.30 ,,,
4364758,NACL 0.9% 100ML INJ      , 166.03 ,,,
4364808,NACL 0.9% 150ML INJ      , 166.03 ,,,
4364857,NACL 0.9% 250ML INJ      , 166.03 ,,,
4364956,NACL 0.9% 500ML INJ      , 166.03 ,,,
4365052,NACL 0.9% 50ML PB        , 166.03 ,,,
4365151,NACL 0.9% 10ML INJ       , 67.43 ,,,
4365193,HEPARIN 1KU/NS 500ML PMX , 180.59 ,,,
4365201,HEPARIN 2KU/NS 1L PMX    , 273.24 ,,,
4365250,NACL 3% 500ML INJ        , 91.03 ,,,
4365359,NTG 25MG/250ML PB        , 289.42 ,,,
4365375,NICARDIP 20MG/NS 200MLIV , 439.83 ,,,
4365458,PLASMA PRO FRACT 5% 250ML, 370.00 ,,,
4365557,CARD PLEG COR 16MEQ/1LSOL, 405.21 ,,,
4365656,LACTATED RINGERS 1L INJ  , 166.03 ,,,
4365706,WATER STERILE 1000ML INJ , 119.36 ,,,
4365755,WATER STERILE 250ML INJ  , 119.36 ,,,
4365805,WATER STERILE 500ML INJ  , 119.36 ,,,
4365953,AMINO ACID 8.5% 500ML INJ, 129.56 ,,,
4366001,AMINO ACIDS 10% 500ML INJ, 171.02 ,,,
4366050,TROMETHAM 18GM/500ML INJ ," 1,014.61 ",,,
4366100,TPN 1000ML IV            , 855.50 ,,,
4366127,LIPIODOL 4.8GM I/10ML INJ," 1,594.00 ",,,
4366159,KCL 10MEQ/100ML PB       , 180.30 ,,,
4366241,KCL 20MEQ/100ML PB       , 180.30 ,,,
4366258,KCL 20MEQ/50ML PB        , 180.30 ,,,
4366324,FACTOR 8VWF/1IU 250U VLJG, 395.00 ,,,
4366332,FACT 8 RECOM 1IU(250)VLJG, 520.00 ,,,
4366333,DEXMEDETOM 0.2MG/50ML PB , 91.64 ,,,
4366334,VANCO 750MG/NS 150ML PMX , 180.00 ,,,
4390020,AMIODARONE 150MG/100ML PB, 180.00 ,,,
4390021,DILTIAZEM 125MG/125ML PB , 180.00 ,,,
4390022,CALCITR 0.25MCG/0.25MLSOL, 28.33 ,,,
4390023,VANCO 1.75GM/NS 500ML PMX, 180.00 ,,,
4400000,NA HYPOCHLOR 0.125% 473ML, 41.32 ,,,
4400001,NA HYPOCHLOR 0.25% 473ML , 41.32 ,,,
4400002,ROSUVASTATIN 5MG TAB     , 14.70 ,,,
4400003,ROSUVASTATIN 10MG TAB    , 14.70 ,,,
4400004,ROSUVASTATIN 20MG TAB    , 14.70 ,,,
4400005,ROSUVASTATIN 40MG TAB    , 14.70 ,,,
4400006,ROTIGOTINE 1MG/24HR PATCH, 30.00 ,,,
4400007,ROTIGOTINE 2MG/24HR PATCH, 30.00 ,,,
4400008,ROTIGOTINE 3MG/24HR PATCH, 30.00 ,,,
4400009,ROTIGOTINE 4MG/24HR PATCH, 45.95 ,,,
4400010,ROTIGOTINE 6MG/24HR PATCH, 45.95 ,,,
4400011,ROTIGOTINE 8MG/24HR PATCH, 45.95 ,,,
4400012,DICLOFENAC 1% 100GM GEL  , 108.80 ,,,
4400013,MYCOPHENOLATE 200MG/1MLLQ, 12.01 ,,,
4400014,BUPRENORP 20MCG WKLY PTCH, 381.59 ,,,
4400015,PHENAZOPYRIDINE 200MG TAB, 5.00 ,,,
4400016,OXYCODONE IR 2.5MG TAB   , 20.00 ,,,
4400017,OPIUM TINCT 2MG/0.2ML PO , 20.00 ,,,
4400018,TETRAHYD/ZN 0.05% 15MLOPS, 21.62 ,,,
4400019,LIDOCAINE 3.5% 1ML OP GEL, 53.12 ,,,
4400020,AZITHROMYCIN 500MG TAB   , 32.12 ,,,
4400021,SIROLIMUS 1MG TAB        , 53.24 ,,,
4400022,CARBAMAZEPINE 200/10MLLIQ, 15.00 ,,,
4400023,LEVOCARNITIN 500MG/5MLSOL, 20.00 ,,,
4400025,CARBIDOP/LEVO 25/100M ODT, 5.00 ,,,
4400026,FOLIC ACID 0.5MG TAB     , 5.00 ,,,
4400027,QUETIAPINE FUM 12.5MG TAB, 5.00 ,,,
4400028,VALGANCICLOV 50MG/1ML SUS, 32.22 ,,,
4400029,DONEPEZIL 10MG TAB       , 5.00 ,,,
4400030,LEVOCARNITINE 1GM/5ML INJ, 89.48 ,,,
4400031,ACYCLOVIR 50MG/ML20ML INJ, 30.60 ,,,
4400032,ISOSORBIDE MON 10MG TAB  , 5.00 ,,,
4400033,NIMODIPINE 60MG/20ML LIQ , 134.60 ,,,
4400034,LINACLOTIDE 145 MCG CAP  , 31.00 ,,,
4400035,TRANEX ACID 1GM/20ML TOP , 50.00 ,,,
4400036,DOCOSANOL 10% 2GM TOP    , 38.10 ,,,
4400037,BECLOMET 40MCG 10.6GM MDI, 433.00 ,,,
4400040,ALBUTEROL 2MG/5ML 120ML  , 56.91 ,,,
4400041,AMPHET/DEXTROAMPHET 5MG  , 21.00 ,,,
4400042,AMPHET/DEXTROAMP ER 5MG  , 23.00 ,,,
4400043,ABA/DOL/LAM600/50/300MGTB, 175.00 ,,,
4400058,THEOPHYLLINE TR 100MG(24H, 5.00 ,,,
4400059,LEVOCARNITINE 330MG TAB  , 5.00 ,,,
4400065,NEBIVOLOL 2.5MG TAB      , 5.59 ,,,
4400073,OLMESARTAN 10MG TAB      , 7.73 ,,,
4400081,SOLIFENACIN 2.5MG TAB    , 13.80 ,,,
4400099,RASAGILINE 1MG TAB       , 28.44 ,,,
4400108,DOLUTEGRAVIR 50MG TAB    , 95.03 ,,,
4400109,LOSARTAN 12.5MG TAB      , 5.00 ,,,
4400255,AMOXICILLIN 125/5ML SUS  , 53.86 ,,,
4400263,PHENOL 1.4% 20ML SPRY    , 14.76 ,,,
4400271,CYCLOBENZAPRINE 5MG TAB  , 5.00 ,,,
4400289,THEOPH 80MG/15ML 15ML SYR, 13.05 ,,,
4400305,AMOX/CLAV 250/5 75ML SUSP, 62.18 ,,,
4400347,AMOXICILLIN 250MG/5 80ML , 45.72 ,,,
4400354,AMOXICILLIN 250/5 100ML  , 67.39 ,,,
4400362,AMOX/CLAV 500/125MG TAB  , 77.32 ,,,
4400404,AMOXICILLIN 250/5 150ML  , 77.30 ,,,
4400412,AMOXICILLIN 250/5 5ML SUS, 79.37 ,,,
4400453,AMPICILLIN 125/5 100ML SU, 62.18 ,,,
4400461,CEPHALEXIN 500MG CAP     , 74.18 ,,,
4400503,AMPICILLIN 250/5 200ML SU, 125.87 ,,,
4400529,AMOX/CLAV 400/5 100ML SUS, 265.30 ,,,
4400537,AMOXICILLIN 400/5 75ML SU, 176.00 ,,,
4400545,AMOX/CLAV 200/5 100ML SUS, 137.78 ,,,
4400552,AMPICILLIN 125/5 200ML SU, 96.82 ,,,
4400560,AMOX/CLAV 200-28.5/5 75ML, 96.32 ,,,
4400578,COMPLERA 200-300-25MG TB , 155.92 ,,,
4400651,ACETAMIN 100MG/ML 15ML SU, 5.00 ,,,
4400669,GLIMEPIRIDE 0.5MG TAB    , 5.00 ,,,
4400701,ACETAMIN 160MG/5ML 120ML , 20.00 ,,,
4400750,APAP/COD 120-12MG/5ML LIQ, 57.00 ,,,
