Standard Charge Description,Charge Description Master,Charge as of 1.1.19
CLOSED TREATMENT OF BROKEN GREAT TOE WITH MANIPULATION,31773505,270.30
CLOSED TREATMENT OF BROKEN HAND OR FINGER,31773370,270.30
CLOSED TREATMENT OF BROKEN HAND OR FINGER WITH MANIPULATION,31773375,"1,128.00"
CLOSED TREATMENT OF BROKEN NASAL BONE,31773225,"1,626.00"
CLOSED TREATMENT OF BROKEN NASAL BONE WITH STABILIZATION,31773230,"1,837.00"
CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,31773310,"1,128.00"
CLOSED TREATMENT OF BROKEN SHIN BONE,31773440,270.30
CLOSED TREATMENT OF BROKEN SHIN BONE WITH MANIPULATION,31773445,"1,954.00"
CLOSED TREATMENT OF BROKEN THIGH BONE WITH MANIPULATION,31773431,"1,954.00"
CLOSED TREATMENT OF BROKEN THUMB WITH MANIPULATION,31773345,"1,128.00"
CLOSED TREATMENT OF BROKEN TOE WITH MANIPULATION,31773515,449.00
CLOSED TREATMENT OF BROKEN UPPER ARM BONE WITH MANIPULATION,31773265,"1,954.00"
CLOSED TREATMENT OF COLLAR BONE BROKEN WITH MANIPULATION,31773252,"1,954.00"
CLOSED TREATMENT OF COLLAR BONE FRACTURE,31773245,270.30
CLOSED TREATMENT OF DISLOCATED FINGER JOINT WITH MANIPULATION,31773390,270.30
CLOSED TREATMENT OF DISLOCATED FOOT BONE,31773520,270.30
"CLOSED TREATMENT OF DISLOCATED FOREARM BONE OF ELBOW, CHILD",31773282,406.40
CLOSED TREATMENT OF DISLOCATED HAND BONE WITH MANIPULATION,31773350,270.30
CLOSED TREATMENT OF DISLOCATED HAND JOINT WITH MANIPULATION,31773355,270.30
CLOSED TREATMENT OF DISLOCATED HIP PROSTHESIS,31773264,274.64
CLOSED TREATMENT OF DISLOCATED HIP PROSTHESIS UNDER ANESTHESIA,31773444,"2,084.88"
CLOSED TREATMENT OF DISLOCATED WRIST WITH MANIPULATION,31773315,270.30
CLOSED TREATMENT OF DISLOCATION OF KNEE CAP,31773425,270.30
CLOSED TREATMENT OF DISLOCATION OF TOE JOINT,31773525,270.30
CLOSED TREATMENT OF FRACTURE HAND BONE,31773330,270.95
CLOSED TREATMENT OF FRACTURE OF BONE OF HAND WITH MANIPULATION,31773335,270.30
CLOSED TREATMENT OF FRACTURE OF FOOT WITH MANIPULATION,31773495,270.30
CLOSED TREATMENT OF HIP SOCKET FRACTURES,31773395,270.30
CLOSED TREATMENT OF JAW TEMPOROMANDIBULAR JOINT (TMJ) DISLOCATION,31773253,327.50
CLOSED TREATMENT OF KNEE CAP FRACTURE,31773415,270.30
CLOSED TREATMENT OF KNEE DISLOCATION,31773420,270.30
CLOSED TREATMENT OF KNEE JOINT DISLOCATION,31773460,270.30
CLOSED TREATMENT OF SHOULDER DISLOCATION AND BROKEN OF UPPER ARM BONE WITH MANIPULATION,31773259,"1,128.00"
CLOSED TREATMENT OF SHOULDER DISLOCATION WITH MANIPULATION,31773258,270.95
CLOSED TREATMENT OF SHOULDER DISLOCATION WITH MANIPULATION UNDER ANESTHESIA,31773261,"2,145.37"
CLOSED TREATMENT OF THUMB DISLOCATION WITH MANIPULATION,31773340,270.30
CLOSED TREATMENT OF UPPER THIGH BONE FRACTURE,31773400,270.30
"CLOSURE DEVICE, VASCULAR (IMPLANTABLE/INSERTABLE)",41470968,666.25
"CLOSURE DEVICE, VASCULAR (IMPLANTABLE/INSERTABLE),DEV CLSR 17CM XTRA LONG TBG APL C",34301298,144.63
"CLOSURE DEVICE, VASCULAR (IMPLANTABLE/INSERTABLE),DEVICE CLOSURE SEALANT",34302802,"1,885.00"
CNN COR ART OSTIAL DLP BSKT TIP 1,40751226,61.75
CNN PERF 125IN 15FR COR SINS ADLT,34301237,20.80
COAGULATION TIME MEASUREMENT,41470073,19.60
COLLECTION OF BLOOD SPECIMEN FROM A COMPLETELY IMPLANTABLE VENOUS ACCESS DEVICE,31773634,88.00
COLLECTION OF BLOOD SPECIMEN FROM CENTRAL OR PERIPHERAL VENOUS CATHETER,31773869,88.00
COMBAT GAUZE,31770071,157.30
COMPLEX CONTROL OF NOSE BLEED,31773815,192.85
CONCEPT CAUTERY,31770018,37.15
"CONNECTIVE TISSUE, HUMAN (INCLUDES FASCIA LATA),REPLIFORM TISSUE MATRIX 2X12CM",34303920,"2,891.46"
"CONNECTIVE TISSUE, NON-HUMAN (INCLUDES SYNTHETIC),DURAMATRIX-2",34303610,871.00
"CONNECTIVE TISSUE, NON-HUMAN (INCLUDES SYNTHETIC),IMPLANT BIOMAT MEDPOR",34303021,"3,198.00"
"CONNECTIVE TISSUE, NON-HUMAN (INCLUDES SYNTHETIC),SLING MESH PELVIC",40752208,"7,085.00"
"CONNECTIVE TISSUE, NON-HUMAN (INCLUDES SYNTHETIC),TISSUE GRAFT DERMAL 24",34303117,"21,326.76"
"CONNECTIVE TISSUE, NON-HUMAN (INCLUDES SYNTHETIC),TISSUE SYNTHETIC-18",34302932,"5,051.80"
CONNECTOR COBE PERFUSION,34302768,20.48
CONTINOUS AEROSOL,41331400,233.65
CONTINOUS FLUSH DEVICE 3CC,41470949,7.91
CONTRAST DEFINITY PER ML,41440016,212.00
CONTRAST INJECTIONS FOR X-RAY IMAGING PROCEDURE TO EVALUATE CENTRAL VENOUS ACCESS DEVICE,41314745,480.65
"CONTRAST INJECTIONS FOR X-RAY IMAGING THROUGH EXISTING TUBE IN STOMACH, SMALL BOWEL OR LARGE BOWEL, ACCESSED THROUGH THE SKIN",41310302,195.32
CONTROL OF NASAL BLEEDING USING AN ENDOSCOPE,31773619,"2,402.45"
CONTROL OF NOSE BLEED AND INSERTION OF PACKING,31773811,192.85
CONTROL OF NOSEBLEED AND INSERTION OF PACKING,31773820,192.85
CONVERSION OF NEPHROSTOMY CATHETER TO NEPHROURETERAL CATHETER ACCESSED THROUGH THE SKIN USING IMAGING GUIDANCE WITH STUDY OF KIDNEY AND URETER AND RADIOLOGICAL SUPERVISION AND INTERPRETATION,41310192,"1,416.00"
"CONVERSION OF STOMACH TUBE TO SMALL BOWEL TUBE USING FLUOROSCOPIC GUIDANCE WITH CONTRAST, ACCESSED THROUGH THE SKIN",41310678,"1,364.00"
CONVERSION TO TWO CHAMBER PACEMAKER SYSTEM,41471025,"8,841.00"
CO-PILOT,41470959,171.50
CORD ACT CAUT UN,34301261,237.25
CORD ESURG BP DISP,34301262,15.83
CORONARY CATHETERS,41460551,61.60
"CRITICAL CARE DELIVERY CRITICALLY ILL OR INJURED PATIENT, FIRST 30-74 MINUTES",31772512,"1,352.00"
C-SECTION,40790550,"3,265.00"
CVR CLP RADOPQ FBRC 95 X 150MM,34301274,7.48
DCNTR FLD DSPNSR FLTR VENT STRL L,34301283,2.11
DECLOTTING INFUSION OF IMPLANTED CENTRAL VENOUS ACCESS DEVICE OR CATHETER,31773635,357.40
DEEP BIOPSY OF BONE USING NEEDLE OR TROCAR,41315182,"1,696.00"
DEFIB ELECTRODES,31770202,67.90
DEL-BIRTHING ROOM,40790507,"2,229.55"
DELIVERY - INDUCTION,40790502,"3,032.25"
DELIVERY-MISC,40790509,"2,215.65"
DELIVERY-MULTIPLE,40790504,"3,032.25"
DELIVERY-PREMATURE,40790506,"3,032.25"
DEL-RECVRY RM,40790560,662.00
DEMONSTRATION AND/OR EVALUATION OF MANUAL MANEUVERS TO CHEST WALL TO ASSIST MOVEMENT OF LUNG SECRETIONS,41330062,141.00
DERMABOND PEN,31779701,116.50
DERMABOND TOPICAL ADHESIVE,40790564,71.40
DESTRUCTION OF 1 OR MORE BONE GROWTHS ACCESSED THROUGH THE SKIN,41317184,"4,682.00"
"DESTRUCTION OF 1 OR MORE GROWTHS IN LIVER, ACCESSED THROUGH THE SKIN",41318357,"5,304.00"
"DESTRUCTION OF 1 OR MORE GROWTHS IN ONE KIDNEY, ACCESSED THROUGH THE SKIN",41310283,"9,130.00"
DESTRUCTION OF 2-14 SKIN GROWTHS,41400220,573.00
"DESTRUCTION OF GROWTHS IN ONE KIDNEY, ACCESSED THROUGH THE SKIN",41311081,"14,549.00"
DESTRUCTION OF PERIPHERAL NERVE OR BRANCH,40360050,"1,404.00"
DESTRUCTION OF SKIN GROWTH,41400215,573.00
DESTRUCTION OF SOFT TISSUE OF NASAL PASSAGES,31773813,"1,276.50"
DESTRUCTION OF UP TO 14 SKIN GROWTHS,41400760,142.00
DESTRUCTION OF UPPER OR MIDDLE SPINAL FACET JOINT NERVES USING IMAGING GUIDANCE,41310667,"2,046.00"
DETERMINATION OF LUNG VOLUMES USING GAS DILUTION OR WASHOUT,41380030,225.55
DEV BONE FILL KPHX SZ 3,34301286,650.00
DEV BX 20CM 16GA MNPTY 22MM COAX,34301288,113.75
DEV BX 45IN 14GA TRCT SFT TIS CTE,34301292,87.75
DEV CNCPTV ESSURE IU NONICSL MICR,34301300,"5,037.50"
DEV SUT 2-0 ES-9 7IN BRAID SUT AS,34301317,129.19
DEV SUT 516MM 38CM HNDL PSHBTN GR,34301318,"1,535.63"
DEV VAC XTRT CUP DLV SYS TRAC FRC,34301321,79.63
DEVICE CTO TRUEPATH,34303831,"6,012.50"
DEVICE NEURO CHECK IO-FLEX,34303467,"4,533.75"
DIABETES EDUC-INTERMEDIATE,41958001,90.00
"DIAGNOSTIC ASPIRATION OF SPINAL DISC OR TISSUE, ACCESSED THROUGH THE SKIN",41310611,800.00
DIAGNOSTIC BONE MARROW ASPIRATION,41317075,"1,126.00"
DIAGNOSTIC EXAMINATION OF THE ANUS USING AN ENDOSCOPE,31773116,113.00
DIAGNOSTIC EXAMINATION OF VOICE BOX USING AN ENDOSCOPE,31773621,132.00
DIAGNOSTIC TESTING IN A PULMONARY FUNCTION LAB,41390026,208.00
DILATOR NIM-SPINE DISPOSABLE L,34303621,"2,437.50"
DISC CERVICAL ARTIFICIAL -5200,34303982,"16,900.00"
DISP ABDOMINAL RETRACTOR,40790752,392.45
DISP INTRAUTERINE CATH,40791000,142.70
"DISP RETRACTOR, ALEXIS",40790755,202.00
DISPOSABLE VACUUM,40790407,36.25
DISSECTOR GLIDEPATH -1800,34305169,"5,850.00"
DRAINAGE OF ABSCESS OR BLOOD COLLECTION AT LOWER LEG OR ANKLE,31773435,"2,561.00"
"DRAINAGE OF ABSCESS, CYST, OR BLOOD ACCUMULATION OF DENTAL BONE",31773665,326.70
DRAINAGE OF BREAST ABSCESS,31773002,"2,560.65"
DRAINAGE OF FINGER ABSCESS,31773326,"1,834.35"
DRAINAGE OF FLUID FROM ABDOMINAL CAVITY,31772027,"1,095.35"
DRAINAGE OF FLUID FROM ABDOMINAL CAVITY USING IMAGING GUIDANCE,41310478,"1,325.25"
DRAINAGE OF FLUID-FILLED SAC (BURSA) OF FOOT,41400308,"3,367.00"
DRAINAGE OF MULTIPLE ABSCESS,31773000,332.80
DRAINAGE OF RECTAL ABSCESS,31773001,"2,841.30"
DRAINAGE OF TAILBONE CYST,31773006,"1,834.35"
DRAINAGE OF TONSIL ABSCESS,31773670,326.70
DRAINAGE OF WOUND INFECTION AFTER SURGERY,31773186,"1,942.00"
DRAPE PACK,41470705,317.20
DRAPE X-RAY UNIVERSAL,41470940,14.14
DRESSING CHANGE AND/OR REMOVAL OF BURN TISSUE (5% TO 10% TOTAL BODY SURFACE),31773172,353.00
DRESSING CHANGE AND/OR REMOVAL OF BURN TISSUE (GREATER THAN 10% TOTAL BODY SURFACE),31773175,260.00
DRESSING CHANGE AND/OR REMOVAL OF BURN TISSUE (LESS THAN 5% TOTAL BODY SURFACE),31773165,573.00
DRN INCS 3/32IN SIL 5IN END PERF,34301347,48.36
DRN WND TUBE FLAT CLS SCT HBLS RL,34301366,21.74
DRN WND W TROC 025IN END PRFR STR,34301367,55.51
DRSG BRN ABS NADH ML LR 15X9IN ST,34301370,10.40
DRSG CRTY 3X3IN NADH KNTD WND OIL,34301371,0.07
DRSG PETRO 8X1IN NADH BCTRST PTCH,34301382,1.53
DRSG THK15CM XL 60X30CM OPEN PORE,34301391,344.76
DRSG WND ADH ILND STRL TELFA 40 X,34301399,2.63
DRUG INFUSION DURING CARDIAC CATHETERIZATION,41460635,500.00
DRUG INFUSION OR EXERCISE FOR HEART STIMULATION DURING DIAGNOSTIC STUDY,41470169,500.00
DRUG SCLEROSING AGENT POWDER,34302844,390.00
DSG OPSITE -40,34303685,130.00
DURMABOND,41479067,102.60
DVC TORQUE GUIDEWIRE SEADRAGON,34303399,14.63
E/R SUTURE SET,31770060,91.90
"EBUS, GUILDE SHEATH KIT",41380105,422.00
EBUS-FNA NDL W/VAC SYR 19G,41380103,"1,092.00"
EDGE BRONCH PROCEDURE KIT DISP,41380022,"3,558.75"
"ELECTRICAL STIMULATION (UNATTENDED), TO ONE OR MORE AREAS FOR INDICATION(S) OTHER THAN WOUND CARE, AS PART OF A THERAPY PLAN OF CARE",41210101,93.65
ELECTRODE COAGULATING,34302751,268.13
ELECTRODES SPIRAL,40790553,36.95
EMBOLIZATION PROTECTIVE SYSTEM,41471123,"5,687.50"
"EMERGENCY DEPARTMENT VISIT, LOW TO MODERATELY SEVERE PROBLEM",31770501,188.00
"EMERGENCY DEPARTMENT VISIT, MODERATELY SEVERE PROBLEM",31770502,306.00
"EMERGENCY DEPARTMENT VISIT, PROBLEM OF HIGH SEVERITY",31772508,953.00
"EMERGENCY DEPARTMENT VISIT, PROBLEM WITH SIGNIFICANT THREAT TO LIFE OR FUNCTION",31772509,"1,145.00"
"EMERGENCY DEPARTMENT VISIT, SELF LIMITED OR MINOR PROBLEM",31770500,144.00
EMERGENT INSERTION OF BREATHING TUBE INTO WINDPIPE CARTILAGE USING AN ENDOSCOPE,31772014,"1,267.91"
EMERGENT SURGICAL OPENING OF WINDPIPE FOR INSERTION OF BREATHING TUBE,31773620,"1,273.55"
EMERGENT SURGICAL OPENING OF WINDPIPE THROUGH NECK FOR INSERTION OF BREATHING TUBE,31772026,"1,276.50"
ENDO-TRACHEAL TUBE,41330077,40.80
"ENDOTRACHEAL TUBES, ALL SZ",31770032,24.50
ENEMA KIT-DISP,31770098,4.50
ENVELOPE ICD AIGIS,41470643,"2,908.75"
EPIDURAL ANESTHESIA FIRST HOUR,40360208,655.00
EPIDURAL TRAY,40790750,80.90
EPIDURAL WITH GENERAL ANESTHESIA FIRST HOUR,40360209,"1,050.00"
ER OXYGEN THERAPY,31771269,65.10
ER VENT INITIATION SUPPLIES,41330202,296.95
ERASER HEMO WET FIELD TPR 23GA,34301429,104.00
ER-OXYGEN,41330200,65.10
"ESTABLISHED PATIENT OFFICE OR OTHER OUTPATIENT VISIT, TYPICALLY 10 MINUTES",41400836,48.50
"ESTABLISHED PATIENT OFFICE OR OTHER OUTPATIENT VISIT, TYPICALLY 15 MINUTES",41400837,71.45
"ESTABLISHED PATIENT OFFICE OR OTHER OUTPATIENT VISIT, TYPICALLY 5 MINUTES",41400211,53.00
"ESTABLISHED PATIENT OFFICE OR OTHER OUTPATIENT, VISIT TYPICALLY 25 MINUTES",41400838,118.40
EVALUATION AND INSERTION OF CATHETERS FOR CREATION OF COMPLETE HEART BLOCK,41471353,"15,460.00"
"EVALUATION AND INSERTION OF CATHETERS FOR RECORDING, PACING, AND ATTEMPTED INDUCTION OF ABNORMAL HEART RHYTHM",41471354,"15,460.00"
"EVALUATION AND INSERTION OF CATHETERS FOR RECORDING, PACING, AND TREATMENT OF ABNORMAL HEART RHYTHM",41471356,"15,460.00"
"EVALUATION AND PROGRAMMING ADJUSTMENT OF DEFIBRILLATOR WITH ANALYSIS, REVIEW AND REPORT",41470070,80.00
EVALUATION OF HEART FUNCTION USING TILT TABLE,41483838,599.35
"EVALUATION OF OCCUPATIONAL THERAPY ESTABLISHED PLAN OF CARE, TYPICALLY 60 MINUTES",41210355,201.00
"EVALUATION OF OCCUPATIONAL THERAPY, TYPICALLY 30 MINUTES",41210353,153.00
"EVALUATION OF OCCUPATIONAL THERAPY, TYPICALLY 45 MINUTES",41210354,177.00
"EVALUATION OF PHYSICAL THERAPY, TYPICALLY 20 MINUTES",41210350,153.00
"EVALUATION OF PHYSICAL THERAPY, TYPICALLY 30 MINUTES",41210351,177.00
"EVALUATION OF PHYSICAL THERAPY, TYPICALLY 45 MINUTES",41210352,201.00
EVALUATION OF SINGLE OR DUAL CHAMBER PACING CARDIOVERTER-DEFIBRILLATOR AND GENERATOR AT TIME OF IMPLANTATION OR REPLACEMENT,41471026,"1,070.30"
EVALUATION OF SINGLE OR DUAL CHAMBER PACING CARDIOVERTER-DEFIBRILLATOR AT TIME OF IMPLANTATION OR REPLACEMENT,41470726,826.05
EVALUATION OF SINGLE OR DUAL CHAMBER PACING CARDIOVERTER-DEFIBRILLATOR WITH PROGRAMMING OR REPROGRAMMING,40760224,947.10
EVALUATION OF SPEECH FLUENCY,41190205,312.00
EVALUATION OF SPEECH SOUND PRODUCTION,41190208,315.00
EVALUATION OF SPEECH SOUND PRODUCTION WITH EVALUATION OF LANGUAGE COMPREHENSION AND EXPRESSION,41190211,491.00
EVALUATION OF SWALLOWING FUNCTION,41190158,205.10
"EVALUATION, TESTING, AND PROGRAMMING ADJUSTMENT OF SINGLE, DUAL, OR MULTIPLE LEAD PACEMAKER SYSTEM BEFORE OR AFTER SURGERY, PROCEDURE, OR TEST WITH QUALIFIED HEALTH CARE PROFESSIONAL ANALYSIS, REVIEW, AND REPORT",41470066,80.00
"EVENT RECORDER, CARDIAC (IMPLANTABLE)",41470058,"16,233.75"
EXCHANGE OF ABDOMINAL CAVITY DRAINAGE CATHETER USING IMAGING GUIDANCE,41314352,"2,168.00"
"EXCISION OF BLOOD CLOT AND/OR INFUSION TO DISSOLVE BLOOD CLOT AND BALLOON DILATION OF DIALYSIS SEGMENT, ACCESSED THROUGH THE SKIN, WITH IMAGING INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION",41319529,"31,173.00"
EXERCISE OR DRUG-INDUCED HEART AND BLOOD VESSEL STRESS TEST WITH EKG TRACING AND MONITORING,41252024,704.80
EXERCISE TEST FOR SPASM OF LUNG AIRWAYS,41390425,285.45
EXT TEMP PACEMAKER,31770200,196.80
EXTENSION SET WITH T 16431,41470900,23.20
"EXTERNAL REF PATCH,6FR,HYPER",41470610,"1,625.00"
EXTERNAL SHOCK TO HEART TO REGULATE HEART BEAT,31772001,624.30
"EYE SHIELD, FOX",31770117,9.05
FEMORAL DRAPE,41470589,39.45
FEMSTOP,41470773,195.35
FETAL CONTRACTION STRESS TEST,40790525,334.90
FETAL NON-STRESS TEST,40790522,334.90
FIRST DEGREE BURN TREATMENT,31773162,142.00
"FLUID COLLECTION DRAINAGE BY CATHETER USING IMAGING GUIDANCE, ACCESSED THROUGH THE SKIN",41310265,"1,808.00"
FLUOROSCOPIC AND VIDEO RECORDED MOTION EVALUATION OF SWALLOWING FUNCTION,41193008,256.75
"FOAM DRESSING, WOUND COVER, STERILE, PAD SIZE MORE THAN 16 SQ. IN. BUT LESS THAN OR EQUAL TO 48 SQ. IN., WITHOUT ADHESIVE BORDER, EACH DRESSING",41400529,4.29
"FOAM DRESSING, WOUND COVER, STERILE, PAD SIZE MORE THAN 48 SQ. IN., WITHOUT ADHESIVE BORDER, EACH DRESSING",41400528,27.59
FOLEY CATH TRAY,41470590,25.30
FORCEP BAYONET BIPOLAR,34303643,"2,676.83"
FORCEP BIOPSY SUPERTRAX,41380015,245.40
FORCEP BX STD FEN 20MM,34301467,942.50
FORCEPS BIPOLAR COAPTATION,34302773,35.75
FORCEPS BX W NEEDLE,40480034,131.92
"GASTROSTOMY TUBE, MIC",31770212,114.35
GENERAL ANESTHESIA FIRST HOUR,40360011,975.00
"GENERATOR, NEUROSTIMULATOR (IMPLANTABLE), NON-RECHARGEABLE,NEUROSTIM PULSE GEN -26100",34305117,"84,825.00"
"GENERATOR, NEUROSTIMULATOR (IMPLANTABLE), WITH RECHARGEABLE BATTERY AND CHARGING SYSTEM,ANS IPG 16 CHANNEL RECHARGE 3788",34303267,"45,483.75"
"GENERATOR, NEUROSTIMULATOR (IMPLANTABLE), WITH RECHARGEABLE BATTERY AND CHARGING SYSTEM,ANS MINI CHARGING SYSTEM 3721",34303268,"3,246.75"
GLIDE OPTHALMIC IMPLANT,34300206,4.68
GLIDING MATTRESS FULL,40790408,260.00
GOWN AND TOWEL DISP,41470919,8.05
GRAFT BONE BMP LG,34300208,"18,100.00"
GRAFT BONE BMP MED,34300209,"16,403.00"
GRAFT BONE CANC 30CC,34300213,"1,489.31"
GRAFT BONE CANCELLOUS -610,34303720,"1,976.00"
GRAFT BONE CORT SEG LG 8X72CC,34300221,"2,044.25"
GRAFT BONE DBM 10CC PUTTY,34300223,"4,443.00"
GRAFT BONE GRAFTON STRIP 1 X 10CM,34300230,"3,677.96"
GRAFT BONE LORDOTIC -650,34303656,"2,112.50"
GRAFT BONE SPACER PARALLEL LGAP,34300233,"2,437.50"
GRAFT BONE STRIP 1X10 CM,34303640,"2,033.62"
GRAFT CV STENT -16000,34303796,"49,710.38"
GRAFT FILTER RIA,34303682,956.74
GRAFT STENT END EXT -420,34303702,"1,365.00"
GRAFT STENT VALIANT -16750,34305082,"54,437.00"
GRAFT TISS PATCH DURA PRECLUDE 4X,34300321,845.00
"GRAFT, VASCULAR,FELT CV THK165MM 6X6IN PTFE",34301444,396.50
"GRAFT, VASCULAR,GRAFT CV EXTR ATR CTR HEL SUPP VS",34300241,"1,382.55"
"GRAFT, VASCULAR,GRAFT CV EXTR DIALYSIS STR BARD",34300248,507.00
"GRAFT, VASCULAR,GRAFT GORE TAG TGT ANY",34303191,"39,243.75"
"GRAFT, VASCULAR,GRAFT SAPHENOUS CRYOLIFE>80CM",34303387,"28,925.00"
"GRAFT, VASCULAR,PTCH CV 25X12CM PRGRD BVN PRICRD",34302051,"2,642.25"
GROUP PSYCHOTHERAPY PHP,41908004,206.05
GRSP ENDO 5MM,34300327,557.93
GUIDE LIGHT MAXCESS,34303453,"1,212.25"
GUIDE WIRE,41380022,"3,558.75"
"GUIDE WIRE,DILATOR SET URETHRAL -220",34303969,717.08
"GUIDE WIRE,GUIDEWIRE .014",34303400,422.50
"GUIDE WIRE,GUIDEWIRE CV FIXED CORE",34300344,45.50
"GUIDE WIRE,GUIDEWIRE ORTHO- 70",34303991,227.50
"GUIDE WIRE,GUIDEWIRE ORTHO NITINOL",34300357,136.50
"GUIDE WIRE,GUIDEWIRE ORTHO SINGLE TROCAR TIP",34300358,47.78
"GUIDE WIRE,KIT GUIDEWIRE HEMODIALYSIS",34303009,"1,394.93"
GUIDEPIN ORTHO TRIGEN,34302888,383.47
GYRUS MICROELECTRODE 007261-901,34303356,"1,075.50"
HALF SHEET STERILE DISP,41470915,6.55
HAND CONTROLLER-DISP,41470953,39.38
HANDLE DISTAL IO-FLEX,34303468,"1,121.25"
HEATED WIRE CIRCUIT,41331678,47.80
HEMOSTATIC ABSORBL POWDR-ARISTA,41470496,511.90
HEMOSTATIS PATCH,41485003,108.00
HEX WRENCH PACEMAKER,34303457,146.25
HEXAGEN WOUND DRESSING,40790150,115.00
HIFI VENT CIRCUIT,41331676,917.45
HIGH RISK INTENSIVE CARE,40790006,"2,175.00"
HME,41331670,10.55
HYDRATION INFUSION INTO A VEIN,31773171,57.90
HYDRATION INFUSION INTO A VEIN 31 MINUTES TO 1 HOUR,31773170,318.95
IABP CATHETER,41470537,"2,955.40"
ICU-STEPDOWN,31633001,"2,175.00"
"I-IMMOBILIZER KNEE UNIV 20""",41786036,54.93
I-KIT CATH CV TRPL LUMEN 7FRX20,41786041,301.80
"ILIAC AND/OR FEMORAL ARTERY ANGIOGRAPHY, NON-SELECTIVE, BILATERAL OR IPSILATERAL TO CATHETER INSERTION, PERFORMED AT THE SAME TIME AS CARDIAC CATHETERIZATION AND/OR CORONARY ANGIOGRAPHY, INCLUDES POSITIONING OR PLACEMENT OF THE CATHETER IN THE DISTAL AORTA OR IPSILATERAL FEMORAL OR ILIAC ARTERY, INJECTION OF DYE, PRODUCTION OF PERMANENT IMAGES, AND RADIOLOGIC SUPERVISION AND INTERPRETATION (LIST SEPARATELY IN ADDITION TO PRIMARY PROCEDURE)",41470860,"1,230.70"
IMMOBILIZER SHOULDER MEDIUM,41781101,98.25
IMMOBILIZER SHOULDER-15,34300378,48.75
IMOB CST J SPLNT PLSTR RL SPCLST,40751493,613.44
IMPL BREAST -1100,34305093,"3,575.00"
IMPLANT CRANIAL PEEK -14430,34305158,"46,897.50"
IMPLANT EAR TUBE VENT-20,34300400,65.00
"IMPLANTABLE ACCESS CATHETER, (E.G., VENOUS, ARTERIAL, EPIDURAL SUBARACHNOID, OR PERITONEAL, ETC.) EXTERNAL ACCESS,CATH DIALYSIS PERITON-50",34302664,162.50
INCENTIVE SPIROMETER,41330080,93.35
INCISION AND DRAINAGE OF ABSCESS IN SCROTAL SAC OF TESTICLE,31773125,"2,561.00"
INCISION AND DRAINAGE OF EXTERNAL EAR ABSCESS OR BLOOD ACCUMULATION,31773153,479.00
INCISION AND DRAINAGE OF FEMALE GENITAL GLAND ABSCESS,31773132,374.10
INCISION AND DRAINAGE OF FEMALE GENITALS ABSCESS,31773436,374.10
"INCISION OF ABSCESS, CYST, OR BLOOD ACCUMULATION IN MOUTH",31773660,479.00
INCISION OF ENGORGED EXTERNAL HEMORRHOID,31773102,550.80
INEVITABLE MISCARRIAGE <22 WKS,40790545,"2,229.55"
INFANT RESUS BAG,40790500,64.05
INFANT SCREENING W/ABR,31810510,180.00
INFUSION INTO A VEIN FOR THERAPY PREVENTION OR DIAGNOSIS ADDITIONAL SEQUENTIAL INFUSION UP TO 1 HOUR,31773182,57.90
"INFUSION INTO A VEIN FOR THERAPY, PREVENTION, OR DIAGNOSIS",31771278,86.85
"INFUSION INTO A VEIN FOR THERAPY, PREVENTION, OR DIAGNOSIS UP TO 1 HOUR",31771277,318.95
"INFUSION INTO A VEIN FOR THERAPY, PREVENTION, OR DIAGNOSIS, CONCURRENT WITH ANOTHER INFUSION",31773181,57.90
INFUSION OF DRUG INTO A VEIN TO DISSOLVE BLOOD CLOT OBSTRUCTING BLOOD FLOW TO BRAIN,31773655,357.40
INFUSION OF DRUG INTO VEIN TO DISSOLVE CORONARY BLOOD CLOT,31773201,357.40
"INFUSION PUMP, PROGRAMMABLE (IMPLANTABLE),CATH PAIN MANAGEMENT",34302683,812.50
INITIAL DIABETES ASSESS AND EDUC,41958009,35.00
INITIATION AND MANAGEMENT OF CONTINUED PRESSURED RESPIRATORY ASSISTANCE BY MASK OR BREATHING TUBE,41331650,232.95
"INJECTABLE BULKING AGENT, SYNTHETIC IMPLANT, URINARY TRACT, 1 ML SYRINGE, INCLUDES SHIPPING AND NECESSARY SUPPLIES,IMPL MACROPLASTIQUE 2.5ML",34305163,198.00
"INJECTION BENEATH THE SKIN OR INTO MUSCLE FOR THERAPY, DIAGNOSIS, OR PREVENTION",31771203,89.20
INJECTION FOR X-RAY IMAGING OF BREAST DUCT,31730099,370.60
INJECTION FOR X-RAY IMAGING OF PULMONARY (LUNG) ARTERY FROM HEART,41460638,500.00
INJECTION FOR X-RAY IMAGING OF RIGHT UPPER OR LOWER HEART,41460636,500.00
INJECTION FOR X-RAY IMAGING PROCEDURE ON VEINS OF ARM OR LEG,41315810,548.90
INJECTION OF ABNORMAL MUSCLE DRAINAGE TRACT FOR X-RAY STUDY,41315179,128.45
INJECTION OF AGENT TO DESTROY ABDOMINAL SYMPATHETIC NERVE BUNDLE,41316987,"2,131.67"
"INJECTION OF ANESTHETIC AGENT, FACIAL NERVE",31773134,357.05
"INJECTION OF ANESTHETIC AGENT, OTHER PERIPHERAL NERVE OR BRANCH",31773135,541.00
