Procedure Code,Procedure Description,Price
760802127,HCV RIBA REFLEX BILL,$724.75 
760802128,HLA-B27 ANTIGEN,$215.40 
760802130,HLA-ABC TISSUE TYPING,"$1,527.15 "
760802131,PLATELET ALLOANTIBODY,"$1,103.70 "
760802132,TRYPTASE,$728.50 
760802163,AEROBIC ORGANISM ID,$92.40 
760802174,CULTURE FUNGUS BLOOD,$141.85 
760802176,CULTURE MYCOPLASMA,$129.95 
760802177,CULTURE CHLAMYDIA  ANY,$448.05 
760802178,CULTURE BLOOD,$465.00 
760802179,AFB BLOOD CULTURE,$423.35 
760802180,MICRO ID DEFINITIVE,$164.45 
760802187,FUNGUS SUSCEPTIBILITY,$309.90 
760802188,MICROTITER (13 DRUGS),$126.20 
760802189,SUSCEPT-ANTIMICROBIAL,$419.95 
760802190,SENSITIVITY MAC DIL EA ANTIBIO,$143.85 
760802191,SENSITIVITY AGAR DIFF EA ANTIB,$49.40 
760802192,SERUM KILLING LEVEL,$507.55 
760802200,STAIN MICROSPORIDUM,$121.45 
760802203,VIRUS ISOLATE; TISSUE CULT INOC,$480.80 
760802207,SMEAR CHLAMYDIA,$315.35 
760802214,H PYLORI STOOL,$132.00 
760802215,H PYLORI ENZYME TEST,$203.75 
760802216,HEPATITIS B SURFACE AG EIA,$165.45 
760802217,HBSAG CONFIRMATION,$165.45 
760802218,HEPATITIS B E ANTIGEN,$448.05 
760802219,HISTOPLASMA ANTIGEN,$661.15 
760802222,ROTAVIRUS DIRECT ANTIGEN,$37.20 
760802225,IA BY EIA - MULTI STEP,$300.45 
760802228,CHYLMD TRACH DNA AMP PROBE,$161.10 
760802229,CYTOMEGALOVIRUS BY PCR,$748.80 
760802230,CYTOMEGALOVIRUS QUANT PCR,$748.80 
760802231,ENTEROVIRUS BY PCR,$923.10 
760802232,HEPATITIS C RNA  QUANTITATIVE,"$1,145.40 "
760802233,HEPATITIS C VIRUS CONFIRMATION,$965.05 
760802234,HERPES SIMPLEX VIRUS BY PCR,$632.40 
760802235,HIV 1 RNA BY PCR,"$1,567.05 "
760802236,N. GONORRHOEA DNA AMP PROB,$161.10 
760802237,BORDETELLA PERTUSSIS PCR,$530.90 
760802238,ENTEROVIRUS PCR,$968.10 
760802239,HUMAN PARVOVIRUS BY PCR,$603.30 
760802240,PERTUSSIS BY PCR,$312.00 
760802241,VARICELLA ZOSTER BY PCR,$579.95 
760802242,CHLAMYDIA & GC BY APTIMA,$262.60 
760802243,HERPES PCR,"$1,151.55 "
760802255,ANTI-NEUTROPHILIC CYTOPLASMIC,$294.35 
760802256,FLOW CYTOMETRY-FIRST MARKER,$294.35 
760802257,LYMPHOCYTES T&B,$294.35 
760802258,PI-LINKED ANTIGEN,$294.35 
760802259,PNH PROFILE/CD55,$294.35 
760802260,PNH PROFILE/CD59,$294.35 
760802261,T CELLS TOTAL COUNT,$294.35 
760802263,CULTURE TISSUE SKIN,$887.40 
760802266,CHROMOSOME ANALYSIS,"$1,280.55 "
760802269,ADDITIONAL BANDING-FISH,$742.35 
760802270,BCR/ABL BY FISH,$940.15 
760802271,DNA PROBE FISH,$817.05 
760802272,FISH 22Q11,$549.40 
760802273,FISH FOR TRISOMY 21,$575.00 
760802275,TRISOMY SCREEN BY FISH,$867.70 
760802278,CHROM ANALY ADDL KARYOT EA STUDY,$193.55 
760802307,NASAL SMEAR FOR EOSINOPHILS,$24.25 
760802584,S PNEUMONIAE ANTIBODY IGG 14,$44.45 
760802585,S PNEUMONIAE ANIBODY IGG 3,$44.45 
760802586,S PNEUMONIAE ANTIBODY IGG 4,$44.45 
760802631,NOROVIRUS 1&2 BY PCR,"$1,872.60 "
760802632,GIEMSA STAIN & CONCENTRATION,$703.50 
760802633,VAP CHOLESTEROL,$349.55 
760802634,ANTI NEURONAL ANTIBODY HU IMMU,"$1,096.95 "
760802635,ANNA TITER,$295.70 
760802643,HIGH RES CHROMOSOME ANALYSIS,"$1,726.05 "
760802649,AB;LYME'S (WB) IGG CONFIRM,$266.90 
760802650,AB;LYME'S (WB) IGM CONFIRM,$116.00 
760802651,"NEUTROPHIL CYTOPLASMIC AB, IGG",$310.70 
760802652,MYELOPEROXIDASE AB REFLEX,$111.50 
760802653,SERINE PROTEASE 3 REFLEX,$95.30 
760802723,MYCOBACTERIA T AMPLIF NA PROBE,$653.20 
760802735,"PNEUMOCOCCAL, IGG",$44.45 
760802736,EHRLICHIA CHAFFEENSIS G/M,$46.80 
760802738,PORPHOBILINOGEN DEA RBC,$140.70 
760802742,MYELOPEROXIDASE MPO,$164.50 
760802743,ONCOPROTEIN DCP,$324.80 
760802745,INFECT AGENT ENZYM ACT NO VIR,$36.95 
760802908,RIBONUCLEIC PROTEIN,$283.65 
760802909,RPR CONFIRMATION,$113.00 
760802910,SIROLIMUS,$305.10 
760802911,AB FUNGUS NES,$767.10 
760802934,ORG ID BY IMMUNOFLUORESCENCE,$127.80 
760802937,HOMOGENIZ TISSUE FOR CULTURE,$582.70 
760803038,HYDROXYPROGESTERONE 17,$142.10 
760803039,"ENDOMYSIAL AB,IGA TITER",$310.45 
760803049,ANA TITER,$295.70 
760803050,"CHOLESTEROL,FLUID",$33.70 
760803051,CORYNEBACTERIUM DIPHTERIA,$289.65 
760803052,REDUCING SUBSTANCE STOOL,$19.70 
760803053,"PHENOPHTHALEIN,FECES",$98.90 
760803054,HEP C GENOTYPING BY SEQUENCIN,$825.50 
760803055,LIVER KIDNEY MICROSOMAL ANTIBO,$435.75 
760803056,MYCOPLASMA PNEUMONIAE BY PCR,$247.65 
760803057,MBC,$126.20 
760803058,"CONCENTRATION,HCV",$168.75 
760803072,INFLUENZA A H1N1,"$1,699.95 "
760803155,"LEGIONELLA, AMPLIF NA PROBE","$1,415.10 "
760803156,"CHLAMYDIA P, AMPLIF NA PROBE","$1,198.85 "
760803198,PROCALCITONIN,$901.25 
760803199,CELL FUNCTION ASSAY W/STIM,$820.30 
760803201,HLA X-MATCH NON-CYTOTOXIC,$273.95 
760803202,HLA X-MATCH ADDL SAMPLE,$91.20 
760803204,DNA/RNA SEQUENCING,$369.85 
760803228,AB; LCMIGG,$280.10 
760803229,AB; LCMIGM,$113.90 
760803232,EXHALED BREATH CONDENSATE,$120.65 
760803236,"MEAT FIBERS, FECES",$54.15 
760803253,AB; HIV-1 DIAGNOSTIC,$38.55 
760803261,"GBM AB,IGG (MAFD)",$46.55 
760803301,"OSMOTIC FRAGILITY, RBC; UNINCUBATED",$372.40 
760803318,"RPR REFLEX TO TITER, FTA & TPPA",$30.05 
760803319,RPR TITER BILL,$111.80 
760803320,"T.PALLIDUM AB,IGG (FTA-ABS)",$66.85 
760803394,URINE CANNABINOID CONFIRMATION,$223.35 
760803417,TREPONEMA PALLIDUM AB BY TP-PA,$77.95 
760803418,"MARIJUANA CONFIRMATION,BILL ONLY",$508.15 
760803421,"DSDNA AB,IGG TITER BY IFA",$98.00 
760803429,AB ID; PLATELET IG ASSAY (G/M),$151.35 
760803435,TISSUE CX NON NEOPLASTIC DIS LYMPHO,$340.75 
760803436,CHROM ANALY; ADDTL HI RESOLN,$290.10 
760803438,QUAL ORGANIC ACIDS EA SPECIM,$514.95 
760803445,H1N1 BY PCR,$855.10 
760803453,ACYLCARNITINES; QUAL,$85.90 
760803797,"QUANTITATION OF DRUG, NES",$206.10 
760803800,CANNABINOID CONFIRMATION,$151.80 
760803801,IMMUNOGLOBULIN; EACH (A/D/G/M),$23.55 
760803803,IMMUNOASSAY NONANTIBODY,$443.75 
760803804,IMMUNOASSAY QUANT NOS NONAB,$134.45 
760803810,"PLATELET AGGREGATION, EACH AGENT",$102.15 
760803812,CARDIOLIPIN AB; EA IG CLASS (A/G/M),$133.45 
760803813,COMPLEMENT ANTIGEN; EACH COMPONENT,$52.40 
760803816,FLUORESCENT AB; SCRN EA AB,$797.95 
760803817,FLUORESCENT AB; TITER EA AB,$216.30 
760803828,"ANTIBODY; HERPES SIMPLEX VIRUS, NON-SPEC",$44.45 
760803843,"INFECTIOUS ANTIGEN BY EIA, MULTI-STEP, EACH",$738.70 
760803845,"INFECTIOUS AGENT; NOS,AMPLIF PROBE, EA ORG",$446.65 
760803848,CHROMOSOME ANALYSIS; 15-20 CELLS,"$1,020.45 "
760803858,"IMMUNODIFFUSION; GEL QUAL, EA AB/AG",$133.30 
760803860,"ANTIBODY; WEST NILE VIRUS, IGM",$64.15 
760803861,"ANTIBODY; WEST NILE VIRUS, IGG",$64.15 
760803862,PAP THIN LAYER AUTO PREP & SCREEN,$204.35 
760803890,LIDOCAINE LEVEL-RL,$231.85 
760803894,TOPIRAMATE LEVEL-RL,$156.80 
760803897,ACYLCARNITINE PROFILE-RL,$251.00 
760803898,AMINO ACIDS 2-5 QN EACH SPECIMEN-RL,$251.00 
760803900,BIOTINIDASE LEVEL-RL,$251.00 
760803911,GALACTOSE 1 PHOSPH URIDYL TRANSFERASE RL,$313.45 
760803916,LACTATE DEHYDROGENASE,$38.30 
760803929,ALKALINE PHOSPHATASE SERUM,$60.30 
760803930,ASSAY OF PREGNENOLONE-RL,$118.00 
760803931,TOTAL PROTEIN; URINE,$213.30 
760803932,TOTAL PROTEIN; OTHER BODY FLUID,$72.40 
760803934,PYRUVIC ACID TEST-RL,$92.05 
760803935,ASSAY NONENDOCRINE RECEPTOR,$175.95 
760803937,THYROXINE T4 NEONATAL-RL,$96.15 
760803944,HEXAGONAL PHOSPHOLIPID; PLTLT,$243.60 
760803945,REPTILASE TIME-RL,$92.95 
760803946,"SICKLING OF RBC, REDUCTION-RL",$112.45 
760803947,PTT SUBSTITUTION PLASMA FRACTIONS EA-RL,$64.20 
760803950,ANTISTREPTOLYSIN-RL,$33.30 
760803953,INHIBIN A ANTIBODY SCREEN-RL,$128.55 
760803955,ISLET CELL ANTIBODY-RL,$85.80 
760803956,"CD19, RL",$564.40 
760803959,ACTIVATED T IMMUNE STATUS  RL,$722.90 
760803960,CD56 (NK CELLS) TOTAL COUNT RL,$181.50 
760803961,TOTAL T CELL COUNT,$86.80 
760803963,"TOTAL T CELL COUNT, RL",$126.60 
760803964,T CELLS CD4 COUNT,$74.10 
760803968,"TB TEST, CELL IMMUN MEASURE RL",$368.10 
760803970,BLASTOMYCES ANTIBODY CF-RL,$44.45 
760803973,"ENCEPHALITIS, CALIFORNIA- RL",$122.70 
760803974,"ENCEPHALITIS, EASTERN- RL",$122.70 
760803975,"ENCEPHALITIS, ST. LOUIS- RL",$122.70 
760803976,"ENCEPHALITIS, WESTERN- RL",$122.70 
760803979,HEPATITIS B CORE ANTIBODY TOTAL-RL,$52.20 
760803983,ANTIBODY RUBELLA IN TORCH-RL,$42.65 
760803984,RUBELLA ANTIBODY IGM SCREEN-RL,$56.75 
760803992,"BORRELIA BURGDORFERI, AMP PROB TECH-RL",$519.75 
760803994,HEPATITIS B DNA QUANT - RL,$252.40 
760803995,HEP C AMPLIF NA PROBE - RL,$965.05 
760803996,HEP C RNA QUALITATIVE-RL,$965.05 
760803998,EBV QUANT PCR - RL,$604.35 
760803999,S PNEUMO IA W DIRECT OBSERVATION-RL,$230.15 
760804000,HIV 1  GENOTYPE ANALYSIS NUC ACID-RL,"$1,567.05 "
760804064,PNEUMOCYSTIS C AG BY IF,$235.50 
760804153,PROSTATIC ACID PHOSPHATASE,$44.40 
760804216,INFECTIOUS AG AB (EIA) HIV-1/HIV-2 CONVENTIONAL SCREENING,$278.40 
760804236,IA INFECTIOUS AGENT AB QUAN NOS,$44.45 
760804238,NEPHELOMETRY EA ANALYTE NES,$55.60 
760804265,GLUTAMIC ACID,$163.30 
760804271,VITAMIN NOS,$311.35 
760804272,VITAMIN K,$175.70 
760804495,HEAVY METAL QUAN,$77.95 
760804516,LAMELLAR BODY DENSITY,$96.50 
760804705,LIPOPROTEIN BLD HR FRACTION,$122.40 
760804799,SELENIUM,$324.80 
760804814,HYDROXYPREGNENOLONE 17,$112.40 
760804815,PROTEIN WB; IM ID FOR BANDS,$270.55 
760804839,OCCULT BLD FHG QUAL 1-3,$94.90 
760805316,"F5 GENE ANALYSIS, LEIDEN VARIANT",$282.15 
760805391,FTL CGEN ABNOR FOUR ANALYTES,"$1,068.90 "
760805409,GENOTYPE DNA HEPATITIS B VIRUS,"$1,118.25 "
760805439,SPECTROPHOTOMETRY ANALYTE NES,$40.35 
760805552,F2 GENE ANALYSIS,$224.00 
760805553,HFE GENE ANALYSIS/HEMOCHROMOTOSIS,$762.40 
760805572,CYTOGEN MICRARRAY COPY NMBR,"$6,762.80 "
760805574,PML/RARALPHA COM BREAKPOINTS,"$1,567.05 "
760805575,MTHFR GENE,$380.70 
760805576,JAK2 GENE,"$1,218.15 "
760805581,HLA I TYPING 1 ALLELE HR,$716.30 
760805584,BCR/ABL1 GENE MAJOR BP,"$1,151.15 "
760805585,CFTR GENE COM VARIANTS,"$2,439.00 "
760805593,HLA II TYPING 1 LOC HR,"$1,589.35 "
760805627,BCR/ALB1 GENE MINOR BP,"$1,151.15 "
760805651,PROTEIN WESTERN BLOT,$584.05 
760805677,ACETYLCHOL BLOCK AB,$457.85 
760805721,ASPERGILLUS AG EIA,$358.00 
760805723,TRG GENE REARRANGEMENT ANAL,"$1,412.35 "
760805730,HIV-1 AG W/HIV-1 & HIV-2 AB; SINGLE DIAGNOSTIC,$107.25 
760805731,AB; HIV-2 DIAGNOSTIC,$199.45 
760805831,DRUG SCREEN QUANT CAFFEINE,$100.80 
760805832,DRUG SCREEN QUANT CLOZAPINE,$132.00 
760805833,DRUG SCREEN QUANT GABAPENTIN,$94.35 
760805834,DRUG SCREEN QUAN LAMOTRIGINE,$94.35 
760805835,DRUG SCRN QUAN LEVETIRACETAM,$94.35 
760805836,DRUG SCRN QUANT OXCARBAZEPIN,$94.35 
760805839,QUALITATIVE MULTIALLERGEN SCREEN,$49.40 
760805949,ROCKY MTN SPOTTED FEVER IGG,$57.95 
760805950,SULFONYLUREA HYPOGLY UR,$499.00 
760805982,IMMUNE COMPLEX ASSAY - C1Q,$66.85 
760805986,DRUG SCRN QUAN MYCOPHENOLATE,$102.20 
760805994,IMMUNOASSAY NONANTIBODY - CELSCM,$218.00 
760805995,"IMMUNOASSAY NONANTIBODY - HSTNAB, CENTG, RPPAB, SMAB",$295.70 
760806119,COLUMN CHROMATOGRAPHY/MASS SPECT (SS/MP) QN  EA SPECIMEN,$278.00 
760806144,HEP C SCREEN HIGH RISK/OTHER,$321.15 
760806177,RUSSELL VIPER VENOM TIME; UNDILUTED,$176.30 
760806180,"VALPROIC ACID, FREE",$114.50 
760806191,AMPHETAMINES 3 OR 4,$365.60 
760806198,ANTIDEPRESSANTS CLASS 1 OR 2; QUAL,$199.75 
760806241,DRUG/SUBSTANCE NOS 1-3; QUAL,$365.60 
760806272,IADNA-DNA/RNA PROBE TQ 12-25; QUAL,"$1,179.95 "
760806342,ANTIDEPRESSANT NOT SPECIFIED; NON CHROMO,$140.15 
760806412,CHLORINATED HC SCREEN,$497.00 
760806461,CONCENTRATION FOR INFECT AGNT,$24.40 
760806542,IMMUNOFLUOR PER SPEC AB ADDITIONAL,$55.80 
760806548,ANTIDEPRESSANT TRICYCLIC AND OTHER CYCLICALS; 1 OR 2,$137.50 
760806549,BARBITURATES,$366.30 
760806550,BENZODIAZEPINES;  13 OR MORE,$493.15 
760806551,"CANNABINOIDS, NATURAL",$158.35 
760806552,BENZODIAZEPINES; 1-12,$425.80 
760806553,COCAINE,$414.90 
760806554,DRUG SCREEN QUANT ALCOHOLS,$469.35 
760806555,BUPRENORPHINE; 1-12,$306.05 
760806556,METHADONE,$290.70 
760806557,ASSAY OF NICOTINE,$444.60 
760806559,PROPOXYPHENE,$487.25 
760806560,ANTIPSYCHOTICS NOS 1-3,$425.80 
760806562,"DEFINITIVE DRUG OR SUBSTANCE, QUAL OR QUAN; NOS",$282.15 
760806564,ANTIDEPRESSANT TRICYCLIC AND OTHER CYCLICALS; 6 OR MORE,$137.50 
760806567,"DIURETIC SCREEN, URINE",$282.15 
760806575,AMPHETAMINES; 1 OR 2,$223.35 
760806576,"METHYLENEDIOXYAMPHETAMINES - MDA, MDEA, MDMA",$140.15 
760806577,"OPIATES, 1 OR MORE",$137.50 
760806578,OXYCODONE,$137.50 
760806580,"ANALGESICS, NON-OPIOD; 1 OR 2",$356.10 
760806772,"DRUG SCREEN PRESMPTV,ANY NO. INSTR ASSIST DIR OPT",$222.05 
760806773,"DRUG SCREEN PRESMPTV,ANY NO. BY INSTR CHEM ANAL",$687.15 
760806911,REFLEX METHYLENEDIOXYAMPHETAMINES URINE,$365.60 
760807070,"ANTIEPILEPTICS, NOS  1-3",$140.15 
760807104,UNLISTED MISCELLANEOUS PATHOLOGY TEST,$48.40 
760807762,"QUANTITATION OF THERAPEUTIC DRUG, NOT ELSEWHERE SPECIFIED",$223.65 
760807769,NUERO CSF PRION PRTN QUAL,$42.60 
760400000,FNA W/O IMAGE GUIDANCE,$628.40 
760400062,IRON QUANT ANALYSIS TISSUE,$377.20 
760400063,ESTROGEN RECEPTOR ASSAY,$333.70 
760400064,PROGESTERONE RECEPTOR ASSAY,$333.70 
760402022,ABSOLUTE CD4/ CD8 COUNT,$179.20 
760402023,CD4  ABSOLUTE COUNT,$74.10 
760402193,SMEAR PRIMARY SOURCE,$127.55 
760402199,SPECIAL STAIN TZANK SMEAR,$322.15 
760402245,CYTOPATH FLUIDS NONGYN SMEARS,$322.15 
760402246,FLUID CYTOLOGY FILTER/INTERP,$612.50 
760402247,CYTOPATH CELL ENHANCE TECH,$300.45 
760402248,CERV/VAG THIN PREP CYTO SCREEN,$195.95 
760402249,CYTO SMR SCREEN & INTERPRET,$126.90 
760402250,TOUCH PREP,$175.55 
760402251,CERV/VAG CYTO SCREEN BETHESDA,$194.60 
760402252,FINE NEEDLE ASPIRATION EVAL,$294.35 
760402253,EVAL OF FNA; INTERP & REPORT,$334.00 
760402254,DNA ANALYSIS,$415.50 
760402256,FLOW CYTOMETRY-EA CELL MARKER,$255.45 
760402262,FLOW CYTOMETRY EA ADDL MARKER.,$282.15 
760402264,CULTURE BONE MARROW,$842.10 
760402265,CHROMOSOME ANALYSIS 15-20 CELLS,"$2,350.10 "
760402267,CYTOGENETICS ON TISSUE,"$2,616.95 "
760402268,CHROMOSOME ANALYSIS TISSUE,"$2,824.95 "
760402269,ADDITIONAL BANDING-FISH,$176.25 
760402271,DNA PROBE FISH,$817.05 
760402274,MOLECULAR CYTO DNA PROBE EA,$867.70 
760402276,CHROMOSOME IN- SITU 3-5 CELLS,$479.60 
760402277,CHROMOSOME IN- SITU 100-300 CEL,$436.10 
760402278,CHROMO ANAL EA ADD KARYOTYPE EA STUDY,$158.00 
760402279,SURG PATH LEVEL-I GROSS EXAM ONLY,$119.10 
760402280,LEVEL II SURG PATH GROSS/MICRO,$206.75 
760402281,SURG PATH LEVEL-III GROSS & MICRO,$341.75 
760402282,SURG PATH LEVEL-IV GROSS & MICRO,$438.90 
760402283,SURG PATH LEVEL-V GROSS & MICRO,$633.10 
760402284,SURG PATH LEVEL-VI GROSS & MICRO,$892.00 
760402285,DECALCIFICATION PROCEDURE,$101.80 
760402286,"SPECIAL STAINS; GROUP 1, EACH",$100.15 
760402287,"SPECIAL STAINS; GROUP 2, EACH",$213.20 
760402289,ENZYME HISTOCHEMICAL STAIN,$718.30 
760402290,PATH CONSULT SENDOUT,$621.95 
760402291,SLIDE REVIEW COMPREHENSIVE,$114.40 
760402292,TISSUE 1ST FROZEN SECTION EXAM,$292.65 
760402293,TISSUE ADDL FROZEN SECT EXAM,$119.10 
760402294,TOUCH PREP SURG CONSULT 1ST SITE,$718.30 
760402295,TOUCH PREP-SURG CONSULT-ADDITI,$221.00 
760402296,IMMUNO; PER SPEC INIT SGLE AB,$401.90 
760402297,IMMUNOFLUORESCENCE PER SPEC AB 1ST STAIN,$915.25 
760402298,ELECTRON MICROSCOPY,"$1,625.90 "
760402299,MORPHOMETRIC ANALYSIS TUMOR,$473.75 
760402300,IMMUNO EA SGLE AB COMPUTER,$697.05 
760402301,TISSUE ISH SNGL PROBE PER SPEC,$291.35 
760402302,MORPH ISH SNGL PER SPEC/MAN,$290.00 
760402304,CRYSTAL ID,$233.65 
760402723,MYCOBACTERIA T AMPLIF NA PROBE,$312.00 
760402727,TISSUE CULTRE SOLID TUMOR,$867.70 
760402729,"CHROMOSOME ANALYSIS, 5 CELLS",$754.70 
760402730,FISH INTERPHASE 25-99 CELLS,$382.80 
760402731,SLIDE REV/CON RPT COMPREHSIV,$292.65 
760402732,TUMOR IMM MAN PER SPEC/EA AB,$475.80 
760402780,ANALYSIS 20-25 CELLS,$911.85 
760402977,PATH CONSULT INTRA OP,$214.55 
760403005,BONE MARROW ASPIRATE/INTERP,$718.30 
760403006,"CHROMOSOME ANALYSIS,ADD CELL",$68.25 
760403266,HISTOCHEMICAL STAIN ADD-ON,$186.80 
760403367,CYTP URNE 3-5 PROBES EA SPEC,$292.35 
760403368,CYTP URINE 3-5 PROBES CMPTR,$292.35 
760403369,CYTP C/V AUTO THIN LYR ADDL,$57.20 
760403370,XM ARCHIVE TISSUE MOLEC ANAL,$57.20 
760403371,UNLISTED IN VIVO LAB SERVICE,$32.70 
760403434,TISSUE CULTURE; AMNIOTIC FLUID,$445.15 
760403435,TISSUE CULTURE; LYMPHOCYTE,$256.35 
760403436,CHROM ANALY; ADDTL HI RESOLN,$208.30 
760403862,PAP THIN LAYER AUTO PREP & SCREEN,$204.35 
760404029,MORPH ISH SNGL/PER SPEC COMP,$745.85 
760404521,CANDIDA NA AMPLIFIED PROBE,$309.90 
760405365,APC GENE FULL SEQUENCE,"$2,137.50 "
760405366,APC GENE KNOWN FAM VARIANTS,$373.25 
760405367,APC GENE DUP/DEL VARIANTS,"$1,090.95 "
760405368,EGFR GENE COM VARIANTS,$526.30 
760405369,GJB2 GENE FULL SEQUENCE,$373.25 
760405376,GJB2 GENE KNOWN FAM VARIANTS,$373.25 
760405377,GJB6 GENE COM VARIANTS,$373.25 
760405378,PTEN GENE FULL SEQUENCE,"$1,411.90 "
760405379,PTEN GENE KNOWN FAM VARIANT,$373.25 
760405380,PTEN GENE DUP/DEL VARIANT,$373.25 
760405381,PMP22 GENE ANALYSIS DUP/DEL,$891.50 
760405382,PMP22 GENE FULL SEQUENCE,$942.55 
760405383,PMP22 GENE KNOWN FAM VARIANT,$373.25 
760405384,UNLISTED MOLECULAR PATH PROC,$363.40 
760405394,GALECTIN 3,$80.55 
760405395,CELL ENUMERATION ID,$787.85 
760405396,ANTIBODY; JOHN CUNNINGHAM VIRUS,$90.05 
760405397,HLA CLASS III ANTIBODY QUAL,$247.20 
760405398,HLA CLASS I/II ANTIBODY QUAL,$185.40 
760405399,HLA CLASS I PHENOTYPE QUAL,$500.50 
760405400,HLA CLASS II PHENOTYPE QUAL,$428.70 
760405401,HLA CLASS I IG DEFIN QUAL,$786.20 
760405402,HLA CLASS II IG DEFIN QUAL,$715.05 
760405403,HLA CLASS I SEMIQUANT PANEL,"$2,216.20 "
760405404,HLA CLASS II SEMIQUANT PANEL,"$2,001.70 "
760405405,IA RESP VIRUS 3-5 TARGETS,$544.10 
760405406,IA RESP VIRUS 6-11 TARGETS,$825.00 
760405407,IA RESP VIRUS 12-25 TARGETS,"$1,526.75 "
760405408,GENOTYPE CYTOMEGALOVIRUS,$825.50 
760405409,GENOTYPE DNA HEPATITIS B VIRUS,$825.50 
760405553,HFE GENE ANALYSIS/HEMOCHROMOTOSIS,$373.25 
760405571,MOLECULAR PATHOLOGY PROC LEVEL 2,$312.05 
760405574,PML/RARALPHA COM BREAKPOINTS,$664.75 
760405576,JAK2 GENE,$440.95 
760405584,BCR/ABL1 GENE MAJOR BP,"$1,151.15 "
760405586,CFTR GENE DUP/DELET VARIANTS,"$1,179.90 "
760405587,CFTR GENE DUP/DELET SEQUENCE,"$6,370.00 "
760405627,BCR/ALB1 GENE MINOR BP,"$1,151.15 "
760405628,BRAF GENE,$421.35 
760405629,FLT3 GENE,$373.25 
760405630,CYTOGEN M ARRAY COPY NO&SNP,"$3,609.05 "
760405631,GBA GENE,"$1,334.55 "
760405632,IKBKAP GENE,"$1,334.55 "
760405633,IGH GENE REARRANGE AMP METH,$634.85 
760405634,KRAS GENE,$464.45 
760405635,MLH1 GENE FULL SEQ,"$1,518.95 "
760405636,MLH1 GENE KNOWN VARIANTS,$608.85 
760405637,MLH1 GENE DUP/DELETE VARIANT,$448.20 
760405638,MSH2 GENE FULL SEQ,$467.50 
760405639,MSH2 GENE KNOWN VARIANTS,$456.75 
760405640,MSH2 GENE DUP/DELETE VARIANT,$373.25 
760405641,MSH6 GENE FULL SEQ,$786.15 
760405642,MSH6 GENE KNOWN VARIANTS,$379.00 
760405643,MICROSATELLITE INSTABILITY,$928.50 
760405644,NPM1 GENE,$588.00 
760405645,MOLECULAR PATHOLOGY PROC LEVEL 3,$184.15 
760405646,MOLECULAR PATHOLOGY PROC LEVEL 4,$497.20 
760405647,MOLECULAR PATHOLOGY PROC LEVEL 5,$530.75 
760405648,MOLECULAR PATHOLOGY PROC LEVEL 6,$913.95 
760405681,CFTR GENE KNOWN FAM VARIANTS,$168.20 
760405682,CFTR GENE INTRON POLYT,$206.65 
760405683,CYP2C19 GENE COM VARIANTS,$685.85 
760405684,IGH VARI REGIONAL MUTATION,$944.40 
760405685,MSH6 GENE DUP/DELETE VARIANT,$687.55 
760405686,MOLECULAR PATHOLOGY PROC LEVEL 1,$128.90 
760405723,TRG GENE REARRANGEMENT ANAL,$646.15 
760405753,IGK REARRANGE ABN CLONAL POP,$478.90 
760405754,IGH GENE REARRANG DIR PROBE,$209.95 
760406277,IMMUNOHISTO AB SLIDE; PER SPEC; SINGLE STAIN,$128.55 
760406282,M/PHMTRC ANALYS ISH QUANT/SEMIQ COMPUTER-ASSIST EACH ADDTL SINGLE PROBE,$403.70 
760406542,IMMUNOFLUOR PER SPEC AB ADDITIONAL,$55.80 
760600067,TRANSFUSION REACTION WORK-UP,$227.75 
760600187,PROCESS AUTOLOGOUS WB OUTSIDE,$904.20 
760600188,POOLED CYROPRECIPITATE PRODUCT,"$2,015.25 "
760600288,THERAPEUTIC APHERESIS WBC,"$6,884.25 "
760600289,THERAPEUTIC APHERESIS RBC,"$6,884.25 "
760600290,THERAPEUTIC APHERESIS PLATELET,"$6,884.25 "
760601766,HGB; FETAL QUAL,$159.50 
760601964,ANTIBODY ID; LEUKOCYTE AB,"$1,880.20 "
760601975,COLD AGGLUTININS SCREEN,$161.40 
760602129,HLA MATCHING,$976.85 
760602133,RBC AB SCRN EA TECHNIQUE,$374.90 
760602134,ANTIBODY ELUTION RBC EACH,$658.20 
760602135,ANTIBODY ID EACH PANEL,$374.90 
760602136,COLD AB ID RBC AB EA.SERUM PAN,$374.90 
760602137,DIRECT COOMBS C3D COMPONENT,$353.10 
760602138,INDIRECT COOMBS CORD,$216.85 
760602139,COOMBS TEST INDIRECT TITER,$451.10 
760602140,AUTOLOGOUS PHLEBOTOMY,"$1,368.80 "
760602141,LEUKO AUTO PHLEBOTOMY,"$1,480.05 "
760602143,"BLOOD TYPING, SEROLOGIC; ABO",$128.65 
760602144,BLOOD TYPING; SEROLOGIC; RH D,$95.65 
760602145,BLD TYP SER RBC AN NOT ABO/RHD,$294.35 
760602146,COMPATIBILITY TEST SPIN EA UNIT,$263.35 
760602147,COMP TEST EA UNIT AHG TECH,$316.05 
760602150,FROZEN BLOOD THAW,$360.70 
760602151,IRRADIATION BLOOD COMP EA UNIT,$171.55 
760602152,POOLING PLATELETS OTHER,$168.65 
760602153,ANTIBODY ABSORPTION EACH,"$1,504.15 "
760602154,SPLIT BLD PRODUCT EA UNIT,$288.10 
760602310,PHLEBOTOMY THERAPEUTIC,$396.55 
