HC REM/REPL PM PULSE GEN DUAL LED," 4,136.50 ",
HC REM/RPL PM PULSE GEN MULT LEAD," 3,977.35 ",
HC INSERT PACING ICD GEN DUAL LED," 3,977.35 ",
HC INSERT PACING ICD GEN MTPL LED," 4,136.50 ",
HC REM/REPL ICD PULSE GEN;SGL LED," 6,145.75 ",
HC REM/REPL PACE ICD GEN DUAL LED," 4,136.50 ",
HC REM/REPL PACE ICD GEN MULT LED," 4,136.50 ",
HC INTRO NEEDLE OR INTRACATH VEIN, 411.70 ,
HC SEL CATH ART ABD/PEL 1 ORDER, 863.25 ,
HC BLOOD TRANSFUSION, 815.85 ,
HC INTRVL INSR INTRAVASCULAR VENA," 9,024.00 ",
HC INTRVL REM INTRV VENA CAVA FIL," 9,024.00 ",
HC INTRVL PERITONEOCENTESIS IMAGI," 1,903.85 ",
HC US DUPL SCAN ART INFLOW/OTF CM, 589.90 ,
HC US DUPL SCAN ART INFLOW/OTF LM, 536.35 ,
HC OBS CHARGE PER HR, 165.75 ,
HC OBS CHARGE PER HR, 346.25 ,
HC OBS CHARGE PER HR, 561.25 ,
HC OBS CHARGE PER HR, 892.00 ,
HC OBS CHARGE PER HR, 923.25 ,
HC OBS CHARGE PER 30 MIN, 130.25 ,
HC CVVH INITIAL," 2,249.75 ",
HC HEMOFILTRATION MAINT NURSE/HR, 125.45 ,
HC CCPD HOME SUPPORT DAILY, 63.90 ,
HC CCPD FUNCTION CHECK," 1,953.50 ",
HC CONTINUOUS AMBU PERITONEAL DIA, 230.20 ,
HC CAPD TRAINING ONLY, 418.25 ,
HC HEMODIALYSIS ACUTE," 2,815.85 ",
HC HEMODIALYSIS CHRONIC," 2,789.05 ",
HC CCPD ACUTE, 562.65 ,
HC CCPD CHRONIC, 562.65 ,
HC CCPD WITH TRAINING," 2,274.60 ",
HC RENAL DIALYSIS HOME SUPP/DAY, -   ,
HC EPOGEN 10000/ML MDV 2ML HOME, 17.10 ,
HC CCPD TRAINING ONLY," 1,797.70 ",
HC MANUAL DIALYNATE PD," 1,558.60 ",
HC KT/V READING, -   ,
HC HEART ACQUISITION," 86,362.50 ",
HC KIDNEY ACQUISITION," 91,115.70 ",
HC KIDNEY DONOR ACQUISITION LDR," 50,958.75 ",
HC PSYCHOTHERAPY SRVC-EACH 15 MIN, 52.95 ,
HC BREAST MILK PREP FEE PER DAY, 63.80 ,
HC BREAST MILK FORTIFICATION DAY, 21.90 ,
HC POLYSOMNOGRAM 6YRS & >," 4,266.70 ",
HC POLYSOMNOGRAM/DISCON 6 YRS & >," 1,108.35 ",
HC SLEEP STUDY PAP 6 YRS & >," 4,145.95 ",
HC POLYSOMNOGRAM < 6 YRS," 4,102.60 ",
HC SLEEP STUDY PAP < 6 YRS," 4,145.95 ",
HC ACTIGRAPHY TESTING W INTRP/RPT, 139.65 ,
HC MUL SLEP LAT MAINT WAKEFULNESS," 2,225.75 ",
HC SLEEP STUDY ATTENDED," 2,969.60 ",
HC MEDICAL NUTRITION (CON)THERAPY, 41.40 ,
HC MED NUTRITION THER REASSESMENT, 37.20 ,
HC PACEMAKER SINGLE LEAD PROGRAM, 200.90 ,
HC PACEMAKER DUAL LEAD PROGRAMMNG, 208.00 ,
HC PACEMAKER MULTI-LEAD PROGRAMNG, 227.10 ,
HC ICD SINGLE LEAD PROGRAMMING, 200.90 ,
HC ICD DUAL LEAD PROGRAMMING, 200.90 ,
HC ICD MULTIPLE LEAD PROGRAMMING, 253.00 ,
HC ILR SYSTEM PROGRAMMING, 155.05 ,
HC DUPLEX SCAN EXTRACRAN ART BIL, 545.65 ,
HC DUPLEX SCAN EXTRACRAN ART UNL, 524.60 ,
HC TRANS DOPP INTRACRAN ART COMP, 769.05 ,
HC TRANS DOPP INTRACRAN ART LTD, 524.60 ,
HC DUPLEX LWR EXT ART COMP BIL, 545.65 ,
HC DUPLEX LWR EXT ART UNIL/LMT, 552.30 ,
HC DUPLEX UPR EXT ART COMP BIL, 545.65 ,
HC DUPLEX UPR EXT ART UNIL/LTD, 524.60 ,
HC EXTREMITY VEINS DUP BILATERAL, 575.75 ,
HC DUPLEX EXTREMITY VEINS UNI, 534.95 ,
HC US DUPL SCAN ART INFLOW/OTF LM, 536.40 ,
HC US DUPL SCAN AORTA CAVA COMPLX, 553.60 ,
HC EMG W/WO PARA 1 EXT, 275.00 ,
HC EMG W/WO PARA 2 EXT, 425.00 ,
HC EMG CRANIAL MUSC UNI, 425.00 ,
HC EMG CRANIAL MUSC BIL, 450.00 ,
HC EMG W/NERVE COND EA EXTRM;LMTD, 105.85 ,
HC EMG W/NERVE COND EA EXT;COMPLT, 120.00 ,
HC NERVE COND STUDY; 1-2 STUDIES, 67.55 ,
HC NERVE COND STUDY; 3-4 STUDIES, 73.50 ,
HC NERVE COND STUDY; 5-6 STUDIES, 98.35 ,
HC NERVE COND STUDY; 7-8 STUDIES, 131.60 ,
HC NERVE COND STUDY; 9-10 STUDIES, 164.60 ,
HC NERVE COND STUDY;13/> STUDIES, 181.60 ,
HC SER UPPER LIMBS, 395.55 ,
HC SER LOWER LIMBS, 327.15 ,
HC MOTOR EVOKED STUDY;UPPER LIMBS, 387.00 ,
HC MOTOR EVOKED STUDY;LOWER LIMBS, 387.00 ,
HC VISUAL EVOKED RESPONSE, 484.10 ,
HC SEP UPPER AND LOWER LIMBS, 486.20 ,
HC MEP UPPER AND LOWER LIMBS, 671.25 ,
HC INTRAOPERATIVE SER PER 15 MIN, 102.30 ,
HC DRESSING TRAY, 18.35 ,
"HC SLING, ARM", 7.75 ,
HC DRESSING ACTICOAT, 27.05 ,
HC DRESSING MEPILEX LITE, 10.30 ,
HC ADJUSTABLE WEDGE SHOE, 38.40 ,
HC CAST SHOE, 22.60 ,
HC BOOT WALKER CONTOUR, 165.35 ,
HC CL-SILSOFT APHAKIC EACH, 338.96 ,
HC DRESSING FOAM MEPILEX, 7.55 ,
HC DRESSING SURGILAST SZ10, 82.80 ,
HC HELMET PROTECTIVE SOFT PREFAB, 460.75 ,
HC HELMET PROTECTIVE HARD PREFAB, 460.75 ,
HC HELMET PROTECTIVE SOFT CUSTOM," 1,496.50 ",
HC HELMET PROTECTIVE HARD CUSTOM," 1,496.50 ",
HC JAW MOTION REHAB SYSTEM, 794.35 ,
HC CERVICAL FOAM COLLAR FLEXIBL, 79.95 ,
HC CERVICAL SEMI-RIGID ADJUSTAB, 196.65 ,
HC CERV SEMI-RIG ADJ MOLDED CHN, 292.55 ,
HC CERVICAL COLLAR-PHILADELPHIA, 339.00 ,
HC CERV COL FOAM 2 PIECE W THOR, 660.65 ,
HC CER POST COL OCC/MAN SUP ADJ, 989.60 ,
HC CERV COL SUPP ADJ BAR & THOR," 1,432.00 ",
HC TLSO FLEX PREFAB SACROCOC-T9, 896.70 ,
HC TLSO FLEX PREFAB," 2,249.55 ",
HC TLSO 4MOD SACRO-SCAP PRE," 2,881.70 ",
HC TLSO RIGID FRAME PRE SOFT AP," 1,029.30 ",
HC TLSO HYPEREXTENSION TYPE," 1,070.10 ",
HC BODY JACKET W/ INTERFACE," 2,796.15 ",
HC TLSO BODY JACKET BIVAL & LINE," 3,457.65 ",
HC TLSO 2 PIECE RIGID SHELL," 1,737.10 ",
HC LO SAG STAYS/PANELS PRE-FAB, 226.85 ,
HC LO SAGITT RIGID PANEL PRE-FAB," 1,062.70 ",
HC LO FLEX W/O RIGID STAYS PRE, 244.20 ,
HC LSO POST RIGID PANEL PRE, 418.70 ,
HC LSO SAG-CORO RIGID FRAME PRE," 2,321.90 ",
HC LSO SAG-CORONAL PANEL PREFAB," 2,747.85 ",
HC LSO SAG-CORONAL PANEL CUSTOM," 2,557.00 ",
HC LSO S/C SHELL/PANEL CUSTOM," 2,366.60 ",
HC CTLSO A-P-L CONTROL W/ INTER," 3,985.95 ",
HC HALO WITH JACKET VEST," 4,938.00 ",
HC ADD TO HALO PROCEDURE MRI COM," 2,614.05 ",
HC HALO REPL LINER/INTERFACE, 557.35 ,
HC TLSO BOSTON CUSTOM FITTED," 3,249.05 ",
HC TLSO SCOLIOSIS PROCEDURE," 3,471.85 ",
HC HALO RING ONLY," 2,009.30 ",
HC PALVIC HARNESS, 322.25 ,
HC HO ABDUCTION STATIC PLASTIC, 548.75 ,
HC COMBO BILAT LS HFO/W ABD/ROT," 3,748.70 ",
HC KNEE BRACE HINGED, 112.80 ,
HC REACTION KNEE BRACE, 135.55 ,
HC KO ELASTIC W/PADS & JOINTS, 346.15 ,
HC KO ELASTIC SLEEVE, 198.45 ,
HC KNEE IMMOBILIZER, 77.30 ,
HC BRACE POST OP KNEE T-SCOPE, 523.70 ,
HC KO W/ADJ JT ROT CNTRL MOLDED," 3,009.10 ",
HC KO W/ ADJ FLEX/EXT ROTAT CUS," 1,970.40 ",
HC KO W ADJ FLEX/EXT ROTAT MOLD," 2,433.35 ",
HC KO SUPRACONDYLAR SOCKET MOLD," 2,300.70 ",
HC STABILIZING ANKLE SUPPORT, 91.70 ,
HC ANKLE LIGAMENT SUPPORT, 325.50 ,
HC AFO SUPRAMALLEOLAR CUSTOM FAB," 1,454.50 ",
HC AFO CUSTOM FITTED PLASTIC, 758.50 ,
HC AFO RIG ANT TIB PREFAB TCF/=," 2,018.40 ",
HC AFO SUPRA MALLEOLAR," 1,217.50 ",
HC AFO FLOOR REACTION TYPE," 1,947.30 ",
HC AFO SPIRAL MOLDED TO PT PLAS," 1,572.35 ",
HC AFO SPIRAL PREFABRICATED," 1,899.45 ",
HC AFO W/ANKLE JOINT PREFAB," 1,211.65 ",
HC AFO SINGLE UPRIGHT, 922.55 ,
HC KAFO PLASTIC W/DBL UPRIGHT," 3,515.20 ",
HC ALE RESIST / ASSIST JOINT EA, 181.90 ,
HC ALE DOUBLE ACTION JOINT, 236.50 ,
HC REINFORCED SOLID STIRRUP, 497.55 ,
HC ALE VALGUS/VARUS STRAP, 161.55 ,
HC LACER MOLDED TO PATIENT MODE," 1,000.65 ",
HC ALE PRE/TIBIAL SHELL," 1,332.50 ",
HC ALE TORSION ANKLE JT & STIRRU, 362.25 ,
HC OFFSET KNEE JOINT EACH, 296.25 ,
HC SUSPENSION SLEEVE LOWER EXT, 317.20 ,
HC ALE DROP LOCK EA, 253.95 ,
HC ALE CAM LOCK JOINT, 353.45 ,
HC ALE DIAL LOCK KNEE JOINT EA, 370.70 ,
HC KNEE JNT RATCHET LOCK EA JNT, 370.70 ,
HC TH/WGHT BEAR NAR M-L BRIM MO," 2,564.30 ",
HC THIGH/WGHT BEAR HIGH ROLL CU, 690.65 ,
HC ALE HIP JOINT F-EX-ABD CONT E, 855.10 ,
HC ALE PELVIC BAND-BELT BILAT, 925.60 ,
HC PLATING CHROME/NICKEL PR BAR, 297.55 ,
HC ALE CARBON GRAPHITE LAM/BRACE, 337.95 ,
HC ALE EXT/BAR LINEAL GROWTH ADJ, 219.40 ,
HC ORTHO SIDEBAR DISCONNECT, 336.95 ,
HC ALE NON-CORROSIVE FINISH, 183.15 ,
HC ALE DROP LOCK RETAINER EACH, 95.40 ,
HC ALE KNEE CONTROL PAD EACH, 265.00 ,
HC KNEE CONTROL CONDYLAR PAD, 235.25 ,
HC FOOT REM INSERT UCB TYPE, 450.35 ,
HC FOOT INSERT REMOVABLE, 143.90 ,
HC FOOT ABD ROTATION BAR & SHOES, 378.90 ,
HC FOOT ABD ROTATION BAR, 211.90 ,
HC TULIGEL HEAVY DUTY HEEL CUP, 46.20 ,
HC SHOES ORTHO, 348.40 ,
HC POST OP SHOE, 11.15 ,
HC TRANS SHOE SOLID STIRRUP EXI, 230.50 ,
HC CLAVICLE STRAP, 53.70 ,
HC FOREARM/ARM CUFFS FREE MOTIO," 1,562.00 ",
HC EO FLEX/EXT ASSIST," 2,284.40 ",
HC EO ADJ POSITION," 2,514.25 ",
HC HINGED ELBOW BRACE, 217.70 ,
HC RIGID EO WO JOINTS, 284.85 ,
HC WHFO NO JOINT PREFABRICATED, 588.40 ,
HC WHFO DYNAMIC FLEXOR HINGE," 2,690.65 ",
HC WHO W/NONTORSION JOINT, 903.30 ,
HC WHFO GAUNTLET CUSTOM, 929.75 ,
HC SUPPORT WRIST, 50.50 ,
HC WHFO RESTING HAND FITTED, 330.05 ,
HC HUMERAL FX BRACE, 304.25 ,
HC AIRCAST ANKLE ORTHO, 77.60 ,
HC WALKER BOOT, 165.00 ,
HC STATIC AFO, 433.95 ,
HC ALE BK TOTAL CONTACT, 986.70 ,
HC BK/AK LOCKING MECHANISM," 1,472.75 ",
HC SOCKET INSERT W LOCK MECH," 1,642.00 ",
HC INTL CUSTM CONG/LATYP INSERT," 2,555.05 ",
HC INITIAL CUSTOM SOCKET INSERT," 2,555.05 ",
HC MULTI-AXIAL ANKLE/FT PROSTH," 4,383.05 ",
HC ALE FLEX-WALK SYSTEM," 5,753.10 ",
HC MULTI-AXIAL ROTATION UNIT," 1,499.20 ",
HC PART HAND ROBIN-AIDS NO FING," 2,877.35 ",
HC SHEATH BELOW KNEE, 50.60 ,
HC BK WOOL SOCK, 66.80 ,
HC AK WOOL SOCK, 73.35 ,
HC BK SHRINKER, 141.75 ,
HC FITTING SOCK, 26.05 ,
HC PROS SOCK SINGLE PLY AK, 33.85 ,
HC CLINIC VISIT, 43.95 ,
HC ALTEPLASE CVC, 387.90 ,
HC BLOOD COLLECTION ARTERIAL, 182.25 ,
HC BLOOD COLLECTION CVC, 192.00 ,
HC BLOOD COLLECTION ONLY VENOUS, 182.25 ,
HC CVC DRESSING CHANGE, 84.50 ,
HC CVC REPAIR, 280.30 ,
HC CVL/PIC LINE START RESTART, 114.35 ,
HC INSERTION PICC < 5 YEARS AGE," 2,131.60 ",
HC INSERTION PICC >5 YEARS AGE," 2,131.60 ",
HC IV START/RESTART, 100.80 ,
HC PIV DRESSING CHANGE, 71.50 ,
HC PORT ACCESS, 120.60 ,
HC PORT DEACCESS, 90.30 ,
HC THYROID IMAGING; ONLY," 1,098.45 ",
HC THYRD CARC MATA IMAG WHOLE BDY," 1,206.80 ",
HC LYMPHATICS/LYMPH NODES IMAGING," 1,016.50 ",
HC NM LIVER IMAGING (SEPCT), 689.45 ,
HC LIVER/SPLEEN IMAGING;STATIC, 717.05 ,
HC HEPATOBILIARY SYSTEM IMAGING," 1,699.60 ",
HC HEPATOBILIARY SYS IMAGE W/DRUG," 1,699.60 ",
HC NM SALIVARY GLAND IMAGING," 1,003.90 ",
HC ESOPHAGEAL MOTILITY, 854.50 ,
HC GE REFLUX STUDY, 939.10 ,
HC CT ORBIT W&W/O CONATRAST," 2,798.75 ",
HC CT T-SPINE W&W/O CONTR," 2,610.90 ",
HC CT L-SPINE W&W/O CONTR," 2,610.75 ",
HC CT PELVIS W&W/O CONTR," 2,321.90 ",
HC CT UP EXTREMITY W&W/O CON," 2,035.35 ",
HC CT LIMITED FOLLOWUP, 459.25 ,
HC GASTRIC EMPTYING STUDY," 1,920.95 ",
HC ACUTE GI BLOOD LOSS IMAGING," 1,159.50 ",
HC INTESTINE IMAGINING," 1,156.35 ",
HC BONE &/OR JOINT IMAG;LIM AREA, 789.85 ,
HC BONE/JOINT IMAGING:WHOLE BODY," 1,699.60 ",
HC BONE/JOINT IMAG 3 PHASE," 1,004.75 ",
HC BONE/JOINT IMAGING;SPECT," 1,314.40 ",
HC MYOCARD PERF IMAGINING; SPECT," 1,512.50 ",
HC MYOCARD PERF SPECT;MULTIPLE ST," 3,562.75 ",
HC CARDIAC BLD POOL GATED EQUIL," 1,226.60 ",
HC PUL VENT IMAG (AEROSOL/GAS), 994.90 ,
HC PULM PERFUSION IMAG PARTICULAT," 1,126.15 ",
HC PULM VENTILATION·· PERF IMAG," 1,462.65 ",
HC BRAIN IMAGING LMTD W/VASC FLW, 795.85 ,
HC BRAIN IMAG LMTD;SPECT," 1,400.65 ",
HC CEREBRSPNL FLD FLW;CISTERNOGRA," 1,078.15 ",
HC CEREBROSN FLD FLOW;SHUNT EVAL, 718.05 ,
HC CS FLUID LEAKAGE DETECT/LOCALI, 991.65 ,
HC KIDNEY IMAGING;STATIC ONLY, 973.95 ,
HC KIDNEY IMAG;W/FUNC SDY/RNLGRM," 1,174.40 ",
HC KIDNEY FNCT STY NON-IMAG RADIO," 1,424.55 ",
HC URETERAL REFLUX STUDY," 1,137.75 ",
HC TUMOR LOCA WHOLE BODY SING DAY," 1,230.95 ",
HC TUMOR LOCALIZATION SPECT," 1,456.75 ",
HC TUMOR LOCALIZATION WHOLE BODY," 1,183.55 ",
HC NM INDIUM WBC WHOLE BODY," 1,692.10 ",
HC DEV EVAL/TESTING/FIRST HR, 267.85 ,
HC DEV EVAL/TESTING/FIRST HR/OT, 267.85 ,
HC DEV EVAL/TESTING/EA ADDL 30, 89.30 ,
HC DEV EVAL/TESTING/EA ADDL 30/OT, 89.30 ,
HC TISS CULT NEO; SOLID TUMOR-LYMPH NODE, 302.00 ,
HC CHROM ANALY; 20-25 CELLS-LYMPH NODE, 163.60 ,
HC GJB2 GENE ANAL; FULL GENE SEQ-XOMEXSLICE, 105.00 ,
HC MP LEV 7-XOMEDXSLICE, 840.00 ,
"HC COMPLEMENT; ANTIGEN, EA COMP-C1Q", 71.94 ,
HC IMA NON-INF AGENT-TIMA (AHUS & TTP) COAG PROFILE, 108.88 ,
HC COAG FUNCT ACT NOS-TMA (AHUS & TTP) COAG PROFILE, 235.90 ,
HC COMPLEMENT; ANTIGEN-TMA (AHUS & TTP) COAG PROFILE, 112.51 ,
HC MONONUC CELL ANTIGEN-TMA (AHUS & TTP) COAG PROFILE, 285.50 ,
"HC QUANT THERP DRUG, NES", 102.66 ,
HC CHLAMYDIA PNEUMONIAE PCR, 114.85 ,
"HC BCR/ABL1, MINOR (P190), QUANT PCR", 325.00 ,
HC PROCLEAR SPHERE 6 PK, 112.05 ,
"HC INTRVL BALLOON DILAT,URETERAL STRICTURE W IMG GUIDE"," 1,531.45 ",
HC INTRVL PLMT URTRL STNT PERC RE-EXIST NEPHR TRACT," 1,531.45 ",
HC INTRVL MECH REMV PERICATH OBSTR CV DEV VIA VEN ACCESS," 2,234.20 ",
"HC ADDITION TO TLSO (LOW PROF), LATERAL THORACIC", 403.30 ,
"HC ADDITION TO TLSO (LOW PROF), ANTERIOR THORACIC", 390.25 ,
"HC ADDITION TO TLSO (LOW PROF), MILWAUKEE TYPE SU", 769.55 ,
"HC ADDITION TO TLSO (LOW PROF), LUMBAR DEROTATION", 129.20 ,
"HC ADDITION TO TLSO (LOW PROF), ANTERIOR ASIS PAD", 110.10 ,
"HC ADDITION TO TLSO (LOW PROF), ANTERIOR ThORACIC 2", 126.15 ,
"HC ADDITION TO TLSO (LOW PROF), ABDOMINAL PAD", 106.60 ,
"HC ADDITION TO TLSO (LOW PROF), RIB GUSSET (ELAST)", 116.80 ,
"HC ADDITION TO TLSO (LOW PROF), LATERAL TROCHANTE", 121.15 ,
"HC SPINE, ENTIRE T-L W/SKULL,CRV&SAC 4 OR 5 VIEWS", 222.04 ,
HC IMF PER SPEC INIT-C4D, 218.75 ,
HC GEN SEQ ANALYSIS HEMATOLYMPHOID NEO 5-50 GENE," 4,437.50 ",
HC MP LEV 5-MMA SEQ DEL/DUP PANEL, 285.79 ,
HC MP LEV 6-MMA SEQ DEL/DUP PANEL, 312.94 ,
HC MP LEV 7-MMA SEQ DEL/DUP PANEL, 967.39 ,
HC UNLIST MP-MMA SEQ DEL/DUP PANEL, 1.88 ,
HC HEREDITARY CARDIOMYOPATHY GEN SEQ ANLYS-CILIOPATHY, 919.20 ,
HC CFTR GENE ANALYSIS COMMON VARIANTS-CILIOPATHY, 962.03 ,
HC ACYLCARNITINE QUANT URINE C5-DC, 380.88 ,
HC MONONUC CELL AG QT, 63.60 ,
HC H.PYLORI BREATH TEST ANALYSIS, 100.23 ,
"HC ANTIDEPRESSANTS, TRICYCLIC/CYCLICALS; 6 OR MORE", 45.94 ,
"HC PROTECTIVE BODY SOCK, PREFAB,OTS, EA", 82.20 ,
HC DRUG SCREEN INSTRMNT CHEM ANLYZ-COMP TOX, 28.90 ,
"HC AMPHETAMINES, 5 OR MORE-COMP TOX", 11.71 ,
"HC ANALGESICS, 6 OR MORE-COMP TOX", 5.35 ,
"HC ANTIDEPRESSANTS, SEROTONERGIC-COMP TOX", 13.49 ,
"HC ANTIDEPRESSANTS, CYCLICALS-COMP TOX", 13.49 ,
"HC ANTIDEPRESSANTS, NOS-COMP TOX", 13.49 ,
"HC ANTIEPILEPTICS, NOS; 7 OR MORE-COMP TOX", 9.99 ,
"HC ANTIPSYCHOTICS, NOS; 7 OR MORE-COMP TOX", 11.74 ,
HC BENZODIAZEPINES; 1-12-COMP TOX, 14.92 ,
HC BUPRENORPHINE-COMP TOX, 14.66 ,
HC COCAINE-COMP TOX, 11.42 ,
HC FENTANYL-COMP TOX, 14.66 ,
"HC GABAPENTIN, NON-BLOOD-COMP TOX", 10.02 ,
HC KETAMINE AND NORKETAMINE-COMP TOX, 10.59 ,
HC METHADONE-COMP TOX, 14.66 ,
HC METHYLENEDIOXYAMPHETAMINES-COMP TOX, 10.59 ,
HC METHYLPHENIDATE-COMP TOX, 10.59 ,
"HC OPIATES, 1 OR MORE-COMP TOX", 19.37 ,
HC OPIOIDS AND OPIATE ANALOGS-COMP TOX, 14.66 ,
HC OXYCODONE-COMP TOX, 14.66 ,
HC PREGABALIN-COMP TOX, 10.59 ,
HC PROPOXYPHENE-COMP TOX, 10.59 ,
HC SEDATIVE HYPNOTICS (NON-BENZ)-COMP TOX, 10.59 ,
HC SKELETAL MUSCLE RELAXANTS-COMP TOX, 13.28 ,
"HC STIMULANTS, SYNTHETIC-COMP TOX", 10.59 ,
HC TAPENTADOL-COMP TOX, 14.66 ,
HC TRAMADOL-COMP TOX, 14.66 ,
"HC DRUG/SUBS DEFIN QUAL/QUANT, NOS-COMP TOX", 10.59 ,
HC PHENCYCLIDINE (PCP)-COMP TOX, 11.09 ,
"HC AB; VIRUS NES-HERPESVIRUS 6 AB, IGM BY IFA,SERUM", 159.54 ,
HC PLATELET ANTIGEN 1 GENOTYPING (HPA-1), 373.75 ,
HC PLATELET ANTIGEN 1 GENOTYPING· PANEL (HPA-1), 240.00 ,
HC PLATELET ANTIGEN 2 GENOTYPING· PANEL (HPA-2), 240.00 ,
HC PLATELET ANTIGEN 3 GENOTYPING· PANEL (HPA-3), 240.00 ,
HC PLATELET ANTIGEN 4 GENOTYPING· PANEL (HPA-4), 240.00 ,
HC PLATELET ANTIGEN 6 GENOTYPING· PANEL (HPA-6W), 240.00 ,
HC PLATELET ANTIGEN 15 GENOTYPING· PANEL (HPA-15), 240.00 ,
HC DENTAL CASE IN OR - 30 mins Tracking, -   ,
"HC ERCP, BIOPSY"," 1,940.40 ",
"HC ERCP,SPHINCTEROTOMY"," 2,437.05 ",
HC ERCP W PRESSURE MEASUREMENT SPHINCTER OF ODDI," 1,945.15 ",
HC ERCP REMOVE CALCULI ANY METHOD," 1,741.45 ",
HC ERCP DESTRUCTION/LITHOTRIPSY CALCULI ANY METHOD," 4,683.55 ",
HC ERCP STENT PLACEMENT BILIARY/PANCREATIC DUCT," 2,714.25 ",
HC ERCP REMOVE FOREIGN BODY/STENT BILIARY/PANC DUCT," 1,956.15 ",
HC ERCP BILIARY/PANC DUCT STENT/AMPULLA EA," 1,768.20 ",
HC ERCP BALLOON DILATE BILIARY/PANC DUCT/AMPULLA EA, 921.40 ,
HC ERCP BIOPSY TUMOR/POLYP/LESION ABLATION W DILATION&WIRE," 2,463.85 ",
HC CL HYDRASOFT TORIC PER 3 PK, 166.25 ,
HC CL FLEXLENS PED APHAKIC, 60.00 ,
HC CL CLARITI 1 DAY 90PK, 116.88 ,
"HC ORTHO FOOTWEAR, WMN SHOE, OXFORD, USED INT PART OF ORTHOSIS", 90.65 ,
HC PLATELET ANTIGEN 5 GENOTYPING· PANEL (HPA-5), 240.00 ,
HC MP LEV 7-ALAGILLE-SYN-1 VIA JAG1 GENE SEQ W/CNV DETECT," 1,177.73 ",
HC MP LEV 8-ALAGILLE-SYN-1 VIA JAG1 GENE SEQ W/CNV DETECT," 1,456.01 ",
HC UNLIST MP-COMP NEUROMUSCULAR DISORDERS PANEL," 1,881.26 ",
HC BARBITUATES-PENTOBARBITAL, 46.88 ,
"HC COMPLIMENT;ANTIGEN, EA COMPONTENT-C1Q LEVEL", 122.83 ,
"HC COMPLIMENT;FUNCTIONAL ACTIVITY, EA COMPONTENT-AH50", 100.16 ,
HC CALCIUM TOTAL 2, 40.12 ,
HC PARATHORMONE, 233.11 ,
"HC ALLERGEN SPEC IGG:QUANT OR SEMIQUANT, EA", 22.19 ,
"HC ALLERGEN SPEC IGE RECOMBIANT/PURIFIED COMPT, EA", 6.25 ,
HC LIVINGSKIN CUSTOM SILICONE PART HAND PROSTH," 9,335.05 ",
HC INTRVL CHANGE CYSTOSTOMY TUBE SIMPLE, 259.15 ,
HC INTRVL CHANGE CYSTOSTOMY TUBE COMPLICATED, 263.85 ,
HC INTRVL INJ FOR CHOLANGIOGRAM W/IMG EXISTING ACCESS," 4,566.70 ",
"HC SPINE, ENTIRE T-L W/SKULL,CRV&SAC MIN 6 VIEWS", 167.90 ,
"HC INTRVL RPL CV CATH,COMPL, TUNL W/O PORT OR PUMP"," 2,234.20 ",
HC INTRVL REPOSITION GASTRIC TUBE," 3,837.15 ",
HC INTRVL INJ FOR CHOLANGIOGRAM W/IMG NEW ACCESS," 4,566.70 ",
"HC INTRVL INSERT PICC,W/O SUB PORT, W/IMG, RAD S&I < 5 YR"," 4,798.60 ",
"HC INTRVL INSERT PICC,W/O SUB PORT, W/IMG, RAD S&I > 5 YR"," 4,798.60 ",
"HC BLOOD CULTURE FUNGAL, ISOLATION AND ID", 31.39 ,
"HC CULTURE AFB ANY SOURCE, ISOLATION AND ID", 20.47 ,
HC MP LEV 7-SEVERE CONG NEUTROPENIA SEQ PANEL, 169.75 ,
HC MP LEV 9-SEVERE CONG NEUTROPENIA SEQ PANEL, 397.72 ,
HC UNLIST MP LEV-SEVERE CONG NEUTROPENIA SEQ PANEL, 0.02 ,
HC FLOW CYTO FIRST MARKER-CD127, 113.93 ,
HC FLOW CYTO EA ADD MARKER-CD127, 53.10 ,
HC CELLULAR FUNCTION ASSAY-CTL, 871.25 ,
HC MP LEV 5-FSHD," 1,052.50 ",
HC CHEMILUMINESCENT ASSAY-CELIAC, 53.10 ,
HC IMF PER SPEC INIT-CELIAC, 169.82 ,
HC GAMMAGLOBULIN EACH-CELIAC, 39.64 ,
HC CC MS NON DRUG NES-URINE PKU VARIANT SCREEN, 171.25 ,
HC CHROMOSOMAL MICROARRAY (CMA)," 1,312.50 ",
HC MP LEV 7-TARGETED ONCOLOGY MICROARRAY LOH," 2,351.25 ",
HC DEOXYRIBONUCLEASE ANTIBODY, 37.77 ,
HC BILE ACIDS TOTAL, 48.78 ,
"HC INTRVL HEPATIC VENOGRAPHY W HEMO EVAL, RAD S&I"," 3,216.50 ",
HC MANGANESE, 70.04 ,
HC ANTIBODY ID;PLT (DIRECT), 41.42 ,
"HC INTRVL TRANSCATHETER BIOPSY, RAD S&I"," 1,939.40 ",
HC VITAMIN K, 60.33 ,
HC CORTICOSTERONE, 64.17 ,
HC GALACTOKINASE RBC, 641.58 ,
HC ORBITS MIN 4 VW, 173.80 ,
UPP AIR W/FLUOROSCOPY, 215.10 ,
INTRVL MYELOGRAM THORACIC- S&I, 666.15 ,
HC INTRVL MYELOGRAM LUMBAR S & I, 602.80 ,
HC CT LOW EXTRMTY W&W/O CONT," 2,015.55 ",
HC IV PYELOGRAM UROGRAPHY I, 293.60 ,
HC INTRVL UROGR IV W/WO KUB, 289.30 ,
HC INTRVL VOIDING URETHROCYSTOGRA, 249.40 ,
