HC CHG MRI ANY JT LOWER EXTREM W/O & W/CONTRAST MATRL,"5,074.00",,,
HC CHG RADEX ABD ANTEROPOST&ADDL OBLQ&CONE VIEWS,335,,,
HC CHG RADEX ABDOMEN COMPL W/DCBTS&/ERC VIEWS,348,,,
HC CHG CT ABDOMEN W/O CONTRAST MATERIAL,"1,948.00",,,
HC CHG CT ABDOMEN W/CONTRAST MATERIAL,"2,675.00",,,
HC CHG CT ANGIO ABD&PLVIS CNTRST MTRL W/WO CNTRST IMG,"5,178.00",,,
HC CHG CT ANGIOGRAPHY ABDOMEN W/CONTRAST/NONCONTRAST,"4,217.00",,,
HC CHG CT ABDOMEN & PELVIS W/O CONTRAST MATERIAL,"2,085.00",,,
HC CHG CT ABDOMEN & PELVIS W/CONTRAST MATERIAL,"3,294.00",,,
HC CHG CT ABDOMEN & PELVIS W/O CONTRST 1/> BODY RE,"4,185.00",,,
HC CHG MRI ABDOMEN W/O CONTRAST MATERIAL,"3,551.00",,,
HC CHG MRI ABDOMEN W/CONTRAST MATERIAL,"4,886.00",,,
HC CHG MRI ABDOMEN W/O & W/CONTRAST MATERIAL,"5,442.00",,,
HC CHG MRA ABDOMEN W/WO CONTRAST MATERIAL,"4,395.00",,,
HC CHG RADEX ESOPHAGUS,851,,,
HC CHG SWALLOWING FUNCJ W/CINERADIOGRAPY/VIDRADIOG,859,,,
HC CHG RADEX GI TRACT UPPER W/WO DELAYED IMAGES W/KUB,"1,123.00",,,
HC CHG RADEX GI TRACT UW/SM INT W/MULT SERIAL IMAGES,"1,672.00",,,
HC CHG RADEX UPPER GI W/WO GLUCAGON/DELAY IMAGES W/KUB,"1,341.00",,,
HC CHG RADEX GI UW/WO GLUCOSE W/SM INTEST FOLLW-THRU,"1,805.00",,,
HC CHG RADEX SMALL INTESTINE W/MULTIPLE SERIAL IMAGES,"1,017.00",,,
HC CHG CT COLONOGRPHY DX IMAGE POSTPROCESS W/O CONTRAST,"4,985.00",,,
HC CHG CT COLONOGRPHY DX IMAGE POSTPROCESS W/CONTRAST,"5,814.00",,,
HC CHG CT COLONOGRAPHY SCREENING IMAGE POSTPROCESSING,"7,449.00",,,
HC CHG RADEX COLON BARIUM ENEMA W/WO KUB,"1,470.00",,,
HC CHG RADEX COLON W/SPEC HI DNS BARIUM W/WO GLUCAGON,"2,041.00",,,
HC CHG THERAPEUTIC ENEMA RDCTJ INTUSSUSCEPTION/OBSTRCJ,"1,880.00",,,
HC CHG INTRO LONG GI TUBE W/MULT FLUORO & IMAGES RS&I,241,,,
HC CHG INTRALUMINAL DILATION STRICTURES&/OBSTRCJS RS&I,343,,,
HC CHG PRQ TRANSHEPATC DILAT BILIARY DUCT STRICTRE RS&I,"1,511.00",,,
HC CHG X-RAY URINARY TRACT EXAM WITH CONTRAST MATERIAL,369,,,
HC CHG UROGRAPHY ANTEGRADE RS&I,369,,,
HC CHG UROGRAPHY ANTEGRADE RS&I,343,,,
HC CHG CYSTOGRAPHY MINIMUM 3 VIEWS RS&I,599,,,
HC CHG URETHROCYSTOGRAPHY VOIDING RS&I,810,,,
HC CHG HYSTEROSALPINGOGRAPHY RS&I,780,,,
HC CHG CARDIAC MRI MORPHOLOGY & FUNCTION W/O CONTRAST,"3,432.00",,,
HC CHG CARDIAC MRI W/O CONTRAST W/STRESS IMAGING,"4,749.00",,,
HC CHG CARDIAC MRI W/WO CONTRAST & FURTHER SEQ,"4,589.00",,,
HC CHG CARDIAC MRI W/W/O CONTRAST W/STRESS,"5,432.00",,,
HC CHG CARDIAC MRI FOR VELOCITY FLOW MAPPING,609,,,
HC CHG CTA HRT CORNRY ART/BYPASS GRFTS CONTRST 3D POST,"4,275.00",,,
HC CHG AORTOGRAPHY THORACIC SERIALOGRAPHY RS&I,"4,224.00",,,
HC CHG AORTOGRAPHY ABDOMINAL SERIALOGRAPHY RS&I,"6,988.00",,,
HC CHG AORTOGRAPHY ABDL BI ILIOFEM LOW EXTREM CATH RS&I,"4,224.00",,,
HC CHG CTA ABDL AORTA&BI ILIOFEM W/CONTRAST&POSTP,"4,147.00",,,
HC CHG ANIOGRAPHY BRACHIAL RETROGRADE RS&I,"3,929.00",,,
HC CHG ANGIOGRAPHY SPINAL SELECTIVE RS&I,"7,059.00",,,
HC CHG ANGIOGRAPHY EXTREMITY UNILATERAL RS&I,"6,200.00",,,
HC CHG ANGIOGRAPHY EXTREMITY BILATERAL RS&I,"4,224.00",,,
HC CHG ANGIOGRAPHY VISCERAL SLCTV/SUPRASLCTV RS&I,"7,643.00",,,
HC CHG ANGIOGRAPHY PELVIC SLCTV/SUPRASLCTV RS&I,"4,224.00",,,
HC CHG ANGIOGRAPHY PULMONARY UNILATERAL SLCTV RS&I,"4,224.00",,,
HC CHG ANGIOGRAPHY PULMONARY BILATERAL SLCTV RS&I,"4,224.00",,,
HC CHG ANGRPH PULMONARY NONSLCTV CATH/VEN NJX RS&I,"1,586.00",,,
HC CHG ANGRPH SLCTV EA VSL STUDIED AFTER BASIC XM RS&I,"1,440.00",,,
HC CHG VENOGRAPHY EXTREMITY UNILATERAL RS&I,"1,935.00",,,
HC CHG VENOGRAPHY EXTREMITY BILATERAL RS&I,"1,509.00",,,
HC CHG VENOGRAPHY CAVAL INFERIOR SERIALOGRAPHY RS&I,"4,224.00",,,
HC CHG VENOGRAPHY CAVAL SUPERIOR SERIALOGRAPHY RS&I,"1,509.00",,,
HC CHG VENOGRAPHY RENAL UNILATERAL SELECTIVE RS&I,"4,224.00",,,
HC CHG VENOGRAPHY VENOUS SINUS/JUGULAR CATH RS&I,"1,509.00",,,
HC CHG HEPATC VNGRPH WDG/FR W/O HEMODYN EVAL RS&I,"4,224.00",,,
HC CHG VENOUS SAMPLING THRU CATH W/WO ANGIOGRAPHY RS&,"4,224.00",,,
HC CHG TRANSCATHETER EMBOLIZATION ANY METH RS&I,"2,163.00",,,
HC CHG ANGRPH CATH F-UP STD TCAT OTHER THAN THROMBYLSIS,"1,400.00",,,
HC CHG MECHANICAL RMVL INTRALUMINAL OBSTR MATRL RS&I,719,,,
HC CHG TRANSCATHETER BIOPSY RS&I,"3,237.00",,,
HC CHG CHANGE PRQ TUBE/DRAINAGE CATH W CONTRAST RS&I,"1,045.00",,,
HC CHG RADIOLOGICAL GUIDANCE PRQ DRG W/PLMT CATH RS&I,"1,164.00",,,
HC CHG FLUOROSCOPY SPX UP TO 1 HOUR PHYS/QHP TIME,484,,,
HC CHG FLUOROSCOPY SPX >1 HOUR PHYS/QHP TIME,320,,,
HC CHG RADEX FROM NOSE RECTUM FOREIGN BODY 1 VIEW CHLD,245,,,
HC CHG RADEX ABSCESS/FISTULA/SINUS TRACT RS&I,556,,,
HC CHG RADIOLOGICAL EXAMINATION SURGICAL SPECIMEN,851,,,
HC CHG 3D RENDERING W/INTERP & POSTPROCESS SUPERVISION,550,,,
HC CHG 3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,731,,,
HC CHG CT LIMITED/LOCALIZED FOLLOW UP STUDY,"1,542.00",,,
HC CHG MRI SPECTROSCOPY,"4,422.00",,,
HC UNLIST MRI PROC PROST CAD,"1,748.00",,,
HC CHG ECHOENCEPHALOGRAPHY REAL TIME IMAGING,"1,167.00",,,
HC CHG US SOFT TISSUE HEAD & NECK REAL TIME IMGE DOCM,"1,149.00",,,
HC CHG US CHEST REAL TIME W/IMAGE DOCUMENTATION,816,,,
HC CHG US BREAST UNI REAL TIME WITH IMAGE LIMITED,464,,,
HC CHG US ABDOMINAL REAL TIME W/IMAGE DOCUMENTATION,"1,314.00",,,
HC CHG US ABDOMINAL REAL TIME W/IMAGE LIMITED,"1,008.00",,,
HC CHG US ABDOMINAL AORTA REAL TIME SCREEN STUDY AAA,296,,,
HC CHG US RETROPERITONEAL REAL TIME W/IMAGE COMPLETE,"1,237.00",,,
HC CHG US TRNSPLNT KIDNEY REAL TIME W/IMAGE DOCMTN,"1,436.00",,,
HC CHG ULTRASOUND SPINAL CANAL & CONTENTS,"1,249.00",,,
HC CHG US PREGNANT UTERUS 14 WK TRANSABDL 1/1ST GESTAT,"1,188.00",,,
HC CHG US PREG UTERUS 14 WK TRANSABDL EACH GESTATION,624,,,
HC CHG US PREG UTERUS AFTER 1ST TRIMEST 1/1ST GESTATION,"1,396.00",,,
HC CHG US FETAL NUCHAL TRANSLUCENCY 1ST GESTATION,"1,164.00",,,
HC CHG US PREGNANT UTERUS LIMITED 1/> FETUSES,851,,,
HC CHG US PREG UTERUS REAL TIME W/IMAGE DCMTN TRANSVAG,959,,,
HC CHG US TRANSVAGINAL,"1,188.00",,,
HC CHG SALINE INFUS SONOHYSTEROGRAPHY W/COLOR DOPPLER,"1,209.00",,,
HC CHG US PELVIC NONOBSTETRIC REAL-TIME IMAGE COMPLETE,"1,173.00",,,
HC CHG US PELVIC NONOBSTETRIC IMAGE DCMTN LIMITED/F/U,905,,,
HC CHG US SCROTUM & CONTENTS,"1,159.00",,,
HC CHG US EXTREMITY NON-VASC REAL-TIME IMG COMPL,"1,136.00",,,
HC CHG US EXTREMITY NON-VASC REAL-TIME IMG LMTD,320,,,
HC CHG US INFT HIPS R-T IMG DYNAMIC REQ PHYS/QHP MANJ,"1,408.00",,,
HC CHG US VASC ACCESS SITS VSL PATENCY NDL ENTRY,324,,,
HC CHG US &MNTR PARENCHYMAL TISSUE ABLATION,"1,424.00",,,
HC CHG US GUIDANCE NEEDLE PLACEMENT IMG S&I,"1,906.00",,,
HC CHG ULTRASONIC GUIDANCE INTRAOPERATIVE,597,,,
HC CHG FLUORO CENTRAL VENOUS ACCESS DEV PLACEMENT,"1,114.00",,,
HC CHG FLUOROSCOPIC GUIDANCE NEEDLE PLACEMENT ADD ON,731,,,
HC CHG FLUOROSCOPIC GUIDANCE NEEDLE PLACEMENT ADD ON,680,,,
HC CHG FLUOR NEEDLE/CATH SPINE/PARASPINAL DX/THER ADDON,609,,,
HC CHG CT GUIDANCE NEEDLE PLACEMENT,"1,183.00",,,
HC CHG CT GUIDANCE &MONITORING VISC TISS ABLATION,"1,795.00",,,
HC CHG CT GUIDANCE RADIATION THERAPY FLDS PLACEMENT,"1,152.00",,,
"HC DIG DIAG MAMMOGRAPHY,BI","1,449.00",,,
"HC SCREENING DIG MAMMO,UNILA","1,190.00",,,
HC CHG MRI BREAST UNILATERAL,"5,814.00",,,
HC CHG MRI BREAST BILATERAL,"5,799.00",,,
HC CHG DIGITAL BREAST TOMOSYNTHESIS UNILATERAL,377,,,
HC CHG DIGITAL BREAST TOMOSYNTHESIS BILATERAL,475,,,
HC CHG SCREENING DIGITAL BREAST TOMOSYNTHESIS BI,98,,,
HC CHG DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ UNI,800,,,
HC CHG DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ BI,"1,025.00",,,
"HC SCR MAMM CAD, BI",372,,,
HC CHG MANUAL APPL STRESS PFRMD PHYS/QHP JOINT FILMS,487,,,
HC CHG BONE AGE STUDIES,212,,,
HC CHG BONE LENGTH STUDIES,365,,,
HC CHG RADIOLOGIC EXAMINATION OSSEOUS SURVEY LIMITED,643,,,
HC CHG RADIOLOGIC EXAMINATION OSSEOUS SURVEY COMPL,966,,,
HC CHG JOINT SURVEY SINGLE VIEW 2 OR MORE JOINTS,383,,,
HC CHG BONE MARROW BLOOD SUPPLY,"4,104.00",,,
HC CHG THERAPEUTIC RADIOLOGY TX PLANNING SIMPLE,633,,,
HC CHG THER RAD SIMULAJ-AIDED FIELD SETTING SIMPLE,"1,566.00",,,
HC CHG THER RAD SIMULAJ-AIDED FIELD SETTING COMPLEX,"4,566.00",,,
HC CHG RESPIRATORY MOTION MANAGEMENT SIMULATION,"2,856.00",,,
HC CHG 3-D RADIOTHERAPY PLAN DOSE-VOLUME HISTOGRAMS,"3,718.00",,,
HC CHG BASIC RADIATION DOSIMETRY CALCULATION,600,,,
HC CHG NTSTY MODUL RADTHX PLN DOSE-VOL HISTOS,"15,883.00",,,
HC CHG TELETHX ISODOSE PLN CPLX W/BASIC DOSIMETRY,"1,054.00",,,
HC CHG BRACHYTX ISODOSE PLN INTERMED W/DOSIMETRY CAL,"1,167.00",,,
HC CHG SPEC TELETHX PORT PLN PARTS HEMIBDY TOT BDY,950,,,
HC CHG TX DEVICES DESIGN & CONSTRUCTION SIMPLE,644,,,
HC CHG TX DEVICES DESIGN & CONSTRUCTION COMPLEX,"1,220.00",,,
HC CHG CONTINUING MEDICAL PHYSICS CONSLTJ WK,351,,,
HC CHG MLC IMRT DESIGN & CONSTRUCTION PER IMRT PLAN,"4,209.00",,,
HC CHG SPEC MEDICAL RADJ PHYSICS CONSLTJ,994,,,
HC CHG RADIATION DELIVERY STEREOTACTIC CRANIAL LINEAR,"13,970.00",,,
HC CHG STEREOTACTIC BODY RADIATION DELIVERY,"13,270.00",,,
HC CHG INTENSITY MODULATED RADIATION TX DLVR SIMPLE,"4,304.00",,,
HC CHG INTENSITY MODULATED RADIATION TX DLVR COMPLEX,"4,491.00",,,
HC CHG GUIDANCE FOR LOC OF TARGET VOL RADIAJ TX DLVR,638,,,
HC CHG RADIATION TREATMENT DELIVERY 1 MEV >= SIMPLE,"1,650.00",,,
HC CHG RADIATION TX DELIVERY 1 MEV >= INTERMEDIATE,"2,193.00",,,
HC CHG RADIATION TREATMENT DELIVERY 1 MEV >= COMPLEX,"2,111.00",,,
HC CHG THERAPEUTIC RADIOLOGY PORT IMAGES(S),115,,,
HC CHG SPECIAL TREATMENT PROCEDURE,"1,284.00",,,
HC CHG HDR RDNCL NTRSTL/INTRCAV BRACHYTX 1 CHANNEL,"1,690.00",,,
HC CHG HDR RDNCL NTRSTL/INTRCAV BRACHYTX 2-12 CHANNEL,"3,078.00",,,
HC CHG SUPERVISION HANDLING LOADING RADIATION SOURCE,833,,,
HC CHG MYOCARDIAL IMAGING PET METABOLIC EVALUATION,"7,056.00",,,
HC CHG MYOCRD IMAGE PET PERFUS SINGLE STUDY REST/STRESS,"3,440.00",,,
HC CHG MYOCRD IMAGE PET PERFUS MULTPL STUDY REST/STRESS,"3,225.00",,,
HC CHG BRAIN IMAGING PET METABOLIC EVALUATION,"3,841.00",,,
HC CHG PET IMAGING CT ATTENUATION SKULL BASE MID-THIGH,"4,848.00",,,
HC CHG PET IMAGING FOR CT ATTENUATION WHOLE BODY,"6,060.00",,,
HC CHG COAGULATION TIME ACTIVATED,20,,,
HC CLOSURE DEVICE PLACEMENT,183,,,
HC US SCREENING SAAAVE MCR,535,,,
HC DUPLEX SCAN EXTRACRANIAL ART COMPL BI STUDY,"2,266.00",,,
HC DUP-SCAN XTR VEINS COMPLETE BILATERAL STUDY,"2,362.00",,,
HC DUP-SCAN XTR VEINS UNILATERAL/LIMITED STUDY,"1,352.00",,,
HC DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RORGN COM,"3,424.00",,,
HC DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RORGN LMT,"1,962.00",,,
HC DUP-SCAN AORTA IVC ILIAC VASCL/BPGS COMPLETE,"2,202.00",,,
HC TEST SELECT & ADMN FUNCTL BRAIN MAP PHYS/QHP,"1,518.00",,,
HC MOD SED SAME PHYS/QHP INITIAL 15 MINS <5 YRS,108,,,
HC MOD SED SAME PHYS/QHP INITIAL 15 MINS <5 YRS,100,,,
HC MOD SED SAME PHYS/QHP INITIAL 15 MINS 5/> YRS,99,,,
HC MOD SED SAME PHYS/QHP INITIAL 15 MINS 5/> YRS,92,,,
HC MOD SED SAME PHYS/QHP INITIAL 15 MINS 5/> YRS,92,,,
HC MOD SED SAME PHYS/QHP EACH ADDL 15 MINS,54,,,
HC MOD SED SAME PHYS/QHP EACH ADDL 15 MINS,50,,,
HC MOD SED SAME PHYS/QHP EACH ADDL 15 MINS,50,,,
HC OFFICE OUTPATIENT NEW 30 MINUTES,294,,,
HC OFFICE OUTPATIENT NEW 45 MINUTES,500,,,
HC OFFICE OUTPATIENT NEW 60 MINUTES,639,,,
HC OFFICE OUTPATIENT VISIT 5 MINUTES,88,,,
HC OFFICE OUTPATIENT VISIT 5 MINUTES,81,,,
HC OFFICE OUTPATIENT VISIT 10 MINUTES,103,,,
HC OFFICE OUTPATIENT VISIT 15 MINUTES,210,,,
HC OFFICE OUTPATIENT VISIT 25 MINUTES,299,,,
HC OFFICE OUTPATIENT VISIT 40 MINUTES,423,,,
HC FINE NEEDLE ASPIRATION WITH IMAGING GUIDANCE,649,,,
HC PUNCTURE ASPIRATION ABCESS HEMATOMA BULLA/CYST,667,,,
HC NJX CSTOGRAPY/VOIDING URETHROCSTOGRAPY,301,,,
HC CATH & SALINE/CONTRAST SONOHYSTER/HYSTEROSALPI,407,,,
HC CHG FLUOROSCOPY SPX UP TO 1 HOUR PHYS/QHP TIME,484,,,
HC CHG 3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,680,,,
HC CHG US VASC ACCESS SITS VSL PATENCY NDL ENTRY,301,,,
HC CHG US GUIDANCE NEEDLE PLACEMENT IMG S&I,"1,773.00",,,
HC CHG FLUORO CENTRAL VENOUS ACCESS DEV PLACEMENT,"1,114.00",,,
HC CHG URINE PREGNANCY TEST VISUAL COLOR CMPRSN METHS,28,,,
HC CHG CREATININE BLOOD,25,,,
HC THERAPEUTIC INJECTION IV PUSH EACH NEW DRUG,99,,,
HC MOD SED SAME PHYS/QHP INITIAL 15 MINS <5 YRS,100,,,
HC MOD SED SAME PHYS/QHP INITIAL 15 MINS 5/> YRS,92,,,
HC MOD SED SAME PHYS/QHP EACH ADDL 15 MINS,50,,,
HC OFFICE OUTPATIENT VISIT 5 MINUTES,81,,,
HC BX/EXC LYMPH NODE NEEDLE SUPERFICIAL,"1,107.00",,,
HC CLTX DSTL RDL FX/EPIPHYSL SEP W/MANJ WHEN PERF,"3,897.00",,,
HC CLTX DSTL PHLNGL FX FNGR/THMB W/MANJ EA,"2,070.00",,,
HC THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING,823,,,
HC THORACENTESIS NEEDLE/CATH PLEURA W/IMAGING,823,,,
HC DRG ABSC CST HMTMA FROM DENTOALVEOLAR STRUXS,"1,131.00",,,
HC I&D ABSCESS PERITONSILLAR,"1,067.00",,,
HC COLONOSCOPY FLX DX W/COLLJ SPEC WHEN PFRMD,"1,647.00",,,
HC CHG US PREGNANT UTERUS LIMITED 1/> FETUSES,851,,,
HC CHG US PREG UTERUS REAL TIME W/IMAGE DCMTN TRANSVAG,959,,,
HC ECHO TRANSTHORC R-T 2D W/WO M-MODE REC F-UP/LMTD,883,,,
HC THERAPEUTIC PROPHYLACTIC/DX INJECTION SUBQ/IM,140,,,
HC THER PROPH/DX NJX IV PUSH SINGLE/1ST SBST/DRUG,232,,,
HC DRUG SCREEN ANALGESICS NON-OPIOID 1 OR 2,231,,,
HC CHG DRUG SCREEN QUANTITATIVE ALCOHOLS,231,,,
HC COLLECTION VENOUS BLOOD VENIPUNCTURE,24,,,
HC TRANSFUSION BLOOD/BLOOD COMPONENTS,914,,,
HC THERAPEUTIC APHERESIS PLASMA PHERESIS,"1,169.00",,,
HC BLD-DRV HEMATOP PROGEN CELL HRVG TRNSPLJ AUTOL,"1,169.00",,,
"HC SUPPLIES,D&E",776,,,
HC PH PROBE 24 HR TEST,226,,,
HC TRACHEOSTOMY SPEAKING VALVE,132,,,
HC TRACH-ESOPH VOICE PROS MD IN,554,,,
HC OASIS WOUND MATRIX 1 SQ CM,67,,,
HC OASIS TRILAYER/1 SQCM,22,,,
HC ANORECTAL CATH,150,,,
HC VISCOUS SWALLOW,45,,,
HC IMPED PROBE 15 CM,200,,,
HC IMPED PROBE 18 CM,200,,,
HC EXP PHOTOPHERESIS KIT,"2,684.00",,,
HC HIP SPICA;1LEG,224,,,
HC HIP SPICA;1 1/2-2LEGS,264,,,
HC LONG LEG CAST;CYLINDER,142,,,
HC SHORT LEG CAST,142,,,
HC APPLICATION LONG LEG CAST THIGH-TOE,710,,,
HC LONG LEG SPLINT,160,,,
"HC SPLINT;ANKLE,PNEUM",225,,,
HC AFO;PNEUMATIC W/WO JOINTS,354,,,
HC SUPPORT;ANKLE STABILIZING,215,,,
HC AFO;PNEUMATIC W/WO JOINTS,548,,,
"HC SHOE;POST-OP,EA",274,,,
HC BOOT;CAST,144,,,
HC KO;POSITIONAL W/ADJ JOINT,"1,500.00",,,
HC RIGID EO WO JOINTS,56,,,
HC EO;W/ADJ JOINT,806,,,
"HC BR;HUMERAL FX,SM&LG",440,,,
HC CLAVICLE SPLINT,"1,926.00",,,
HC G COMPRESSION STOCKING,36,,,
"HC COLLAR;CERV,SEMIRIGID,ADJ",186,,,
"HC COLLAR;CERV,FLEX,NON_ADJ",24,,,
HC ACROMIO/CLAVICULAR CANVAS&WE,"2,860.00",,,
"HC WHFO;W/O JOINTS,ANY",475,,,
HC SO;F_O_8 ABD RESTRAINER,136,,,
HC WHO;WRIST EXT COCK_UP,140,,,
"HC HARNESS;PAVLIC,ANY",150,,,
HC SHOE HEEL WEDGE,40,,,
HC PROTECTOR HEEL OR ELBOW,316,,,
HC KO;IMMOBILIZER,76,,,
"HC EXP:KO;NEO/MESH,SHORT",156,,,
"HC EXP:KO;ELAS W/PAD&JT,PREF",156,,,
"HC KO;ELAS,W/PADS",148,,,
HC NEG PRES WOUND THER DRSG SET,4,,,
HC BOOT;DIABETIC CONFORMER,448,,,
HC HALO CROWN SET;ANY,"2,312.00",,,
"HC COLLAR;CERV,SEMIRIGID,ADJ",186,,,
HC QUICK PRESS MONITOR SET,290,,,
HC O/R PER 15 MIN,819,,,
"HC KIDNEY, CADAVER DONOR","41,811.00",,,
HC WAIT TIME/30 MIN,48,,,
"HC INJ, GADOBENATE DIMEGL 1 ML",20,,,
"HC LOCM;300-399MG/ML,1ML",1,,,
HC HOSPICE SEMI PRIVATE R&B,750,,,
"HC PACU;PHASE 3,EA 15 MIN",32,,,
"HC PACU;PHASE 2,EA 15 MIN",63,,,
"HC PACU;PHASE 1,EA 15 MIN",125,,,
HC OR ANESTHESIA CHG/15 MIN,242,,,
"HC PACU;CSECTION/OTH,EA HR",244,,,
HC PACU;VAGINAL DELIVERY,85,,,
HC GENERAL ANESTHESIA,435,,,
HC TAVR/TAVI PERC FEM ARTERY,"9,060.00",,,
HC PERC INS IAB,"1,949.00",,,
HC VESSEL MAP DIALY ACCESS,455,,,
HC CARDIAC CATH BASIC KIT,168,,,
"HC EXP;CATH,ANGIOPLAS,NON","1,005.00",,,
"HC EXP;CATH,ATHERECT,ROTAT",532,,,
HC EXP;CATH;GUIDING,147,,,
HC CATH;INTRAAORTIC BALLOON,532,,,
HC CATH;INTRAVASC US,532,,,
HC CATH;SWAN GANZ,110,,,
"HC DEVICE, VASC CLOSURE",619,,,
HC EXP;GUIDEWIRE,274,,,
"HC INDEFLATOR,DISP",336,,,
HC EXP;INTRODUCER/SHEATH,137,,,
HC OCCKYDER;ASD/PFO,"9,525.00",,,
HC PRES SENSOR;PRESSUREWIRE3,"1,458.00",,,
HC STENT;NON COAT W/O DEL SY,"3,413.00",,,
HC STENT;DRUG-ELUTING,"8,747.00",,,
HC SYS;EMOBLIC PROTECTION,"1,114.00",,,
HC BARD PACING WIRE,366,,,
HC DIALYSIS CATH 14.5F 27CM,506,,,
HC RETRIEVL DEVICE 3X4X175,"1,521.00",,,
"HC CATH,HEMODIA,LONGT,LVL 2","1,667.00",,,
"HC CATH,INTRA ECHOCARDIO","6,201.00",,,
"HC CATH,GUIDING LVL 2","1,667.00",,,
"HC CATH,THROMB/EMB,LVL1",843,,,
"HC CATH,TRLUM ANGPL,N-LAS,L2","1,667.00",,,
HC GUIDEWIRE LVL D,400,,,
HC PICC KIT LVL D,400,,,
"HC RETRIEVL DEVICE,INS,LVL 2","1,667.00",,,
HC PACK;BASIC IMPLANT,125,,,
"HC GUIDEWIRE,SHORT/LONG",35,,,
HC GLIDEWIRE,119,,,
"HC SHEATH;PEELAWAY,LONG",110,,,
"HC KIT,SHEATH;BIVENT LDS (GU","2,131.00",,,
"HC KIT,PACER;BI-VENT ACCESS",519,,,
"HC LEAD;PACER,ACTIVE","1,381.00",,,
"HC LEAD;PACER,CS/LV(MEDTRONI","4,963.00",,,
"HC LEAD;PACER,CS/LV","4,875.00",,,
HC RECORDER;IMPLANTABLE LOOP,"8,850.00",,,
"HC PACER;1CH,REGULAR","8,639.00",,,
"HC PACER;1CH,BULK","6,644.00",,,
"HC PACER;2CH,BULK","7,900.00",,,
"HC PACER;2 CH,REGULAR","11,073.00",,,
HC PACER;BI VENTRICULAR,"21,371.00",,,
"HC ICD,1CH GEN ONLY","34,658.00",,,
"HC ICD,2CH GEN ONLY","39,087.00",,,
"HC ICD,BI VENT GEN ONLY","52,439.00",,,
"HC LEAD,ICD,1COIL","12,845.00",,,
HC INJ;PERFLUTR LIP MIC/1ML,410,,,
HC PACK;BASIC EP STUDY,102,,,
"HC SHEATH,SHORT",26,,,
"HC SHEATH,LONG,DUO,TRIO",104,,,
HC SHEATH;GUIDING,334,,,
"HC SHEATH;GUIDING,STEERABLE","2,249.00",,,
"HC CATH,EP;NONSTEER,QUAD,ANY",239,,,
"HC CATH,EP;NONSTEER,DEC,ANY",609,,,
"HC CATH,EP;STEER,QUAD/DE,ANY",559,,,
"HC CATH,EP;STEER,DEC(LASSO)","2,249.00",,,
"HC CATH,EP;STEER,20 POLE","1,381.00",,,
"HC CATH,EP;RF ABL 4MM","1,796.00",,,
"HC CATH,EP;RF ABL 8MM","3,047.00",,,
"HC CATH,EP;R-F,CELSIUS THERM","2,881.00",,,
HC CATH;EP 3D MAPPING,"7,651.00",,,
"HC CATH;EP 3D MAPPING,THERM","6,225.00",,,
HC PATCH;EP 3D REFERENCE,583,,,
"HC CATH,EP;R-F,4MM CEL RMT","2,135.00",,,
HC CATH;EP CELS THERMCL RMT,"4,892.00",,,
"HC CATH,EP;R-F,4MM 3-D RMT","3,728.00",,,
"HC CATH;US,HI PERFORMANCE","5,167.00",,,
HC CATH;SWAN GANZ,753,,,
"HC PACK,TRANSSEPTAL ACCESSOY","1,082.00",,,
HC SET;MICROPUNCTURE,46,,,
HC CARDIODRIVE,"2,249.00",,,
HC DOBUTAMINE SDV/250MG,9,,,
HC SHEATH KIT;BIV ACCESS SJM,"1,398.00",,,
HC ISOVUE 370/150ML,1,,,
HC BW PENTARAY NAV CATHETER,"3,790.00",,,
HC CATH CRYABL  ARCTIC FRN,"10,320.00",,,
HC SHTH INTRO 65CM 15FR 12FR,"2,580.00",,,
HC TAVR HEART VALVE KIT,"75,000.00",,,
HC DIG DIAG MAMMOGRAPHY,"1,142.00",,,
HC CHG BONE &/JOINT IMAGING 3 PHASE STUDY,"3,255.00",,,
HC CHG RADEX UPPER EXTREMITY INFANT MINIMUM 2 VIEWS,263,,,
HC CT ABDOMEN WITH AND WITHOUT CONTRAST,"3,551.00",,,
HC CHG ACUTE GASTROINTESTINAL BLOOD LOSS IMAGING,"3,262.00",,,
HC CHG INTESTINE IMAGING,"3,135.00",,,
HC CHG GASTRIC EMPTYING IMAGING STUDY,"2,703.00",,,
HC CHG CARD BLOOD POOL GATED PLANAR 1 STUDY REST/STRESS,"2,180.00",,,
HC CHG HEPATOBIL SYST IMAG INC GB W/PHARMA INTERVENJ,"4,141.00",,,
HC CHG HEPATOBILIARY SYST IMAGING INCLUDING GALLBLADDER,"3,024.00",,,
HC CHG QUANT DIFFERENTIAL PULM PERFUSION W/WO IMAGING,"1,812.00",,,
HC CHG BRAIN IMAGING TOMOGRAPHIC SPECT,"3,361.00",,,
HC FUSE CT & NUC MED IMAGES,725,,,
HC CHG PULMONARY VENTILATION & PERFUSION IMAGING,"2,964.00",,,
