SERVICE DESCRIPTION,SERVICE CHARGE CODE,Gross Charge,M'caid  CPT,M'care  CPT,W'Comp  Cpt,Other  CPT
ACYLGLYCINE URINE,4301041,$406.47,82542,82542,82542,82542
ADAPTER DBLE FUSION,4006736,"$3,132.50",C1776,C1776,C1776,C1776
ADAPTER NECK TRIAL,4005692,$94.50,C1776,C1776,C1776,C1776
ADAPTER STNDRD TAPER,4006737,$700.00,C1776,C1776,C1776,C1776
ADAPTOR TAPER ECCENT,4006008,"$1,337.00",C1776,C1776,C1776,C1776
ADAPTOR TAPER SHOULD,4006073,"$1,032.50",C1776,C1776,C1776,C1776
ADDERALL 15MG,4401904,$20.00,,A9270,,
ADDERALL 20MG TAB,4400641,$20.00,,A9270,,
ADDERALL XR 30MG,4401984,$20.50,,A9270,,
ADENOCARD 6MG/2ML,4400016,$19.71,J0153,J0153,J0153,J0153
ADENOSCAN,4400017,"$1,139.00",J0152,J0152,J0152,J0152
ADENOSINE DEAMINASE,4307035,$91.00,84311,84311,84311,84311
ADENOVIRUS AG PCR,4309451,$46.81,87631,87631,87631,87631
ADENOVIRUS ANTIGEN,4309260,$65.10,87301,87301,87301,87301
ADL TRAIN/ADAP EQUIP,4660109,$157.22,97535,97535,97535,97535
ADRENOCORTICOTROPHIC,4308032,$226.80,82024,82024,82024,82024
ADSORPTION TECH ARC,4301203,$99.45,86978,86978,86978,86978
ADVAIR 100/50,4400643,$471.75,,A9270,,
ADVAIR 250/50,4400644,$668.25,,A9270,,
ADVAIR 500/50,4400645,$554.00,,A9270,,
ADVANTA2 SPEC BED,3103019,$100.00,E0186,E0186,E0186,E0186
AERO OTIC HC,4401790,$57.00,,A9270,,
AEROBIC ISOLATE EACH,4301000,$59.85,87077,87077,87077,87077
"AEROBIC ISOLATE,EA.",4301002,$55.00,87077,87077,87077,87077
AEROBID INHALER,4400647,$370.50,,A9270,,
AEROGEN ADDITIONAL,4536515,$33.00,94645,94645,94645,94645
AEROGEN DISPOSABLES,4538037,$91.10,A7027,A7027,A7027,A7027
AEROGEN EVAL,4536514,$229.00,94644,94644,94644,94644
AEROSOL TX INITIAL,4536506,$213.00,94640,94640,94640,94640
AEROSOL TX SUBSEQUEN,4536505,$234.57,94640,94640,94640,94640
AFB NAAT,4309488,$246.88,87116,87116,87116,87116
AFB SMEAR,4304002,$45.00,87206,87206,87206,87206
AFO BRACE,3103023,"$2,026.50",L1930,L1930,L1930,L1930
AFO BRACE,3303030,"$2,026.50",L1930,L1930,L1930,L1930
AGGRENOX CAP,4400649,$39.50,,A9270,,
A-GRAM HIP INJ W/O-R,4158172,$205.00,27093,27093,27093,27093
A-HYDROCORT 100MG,4400159,$11.00,J1700,J1700,J1700,J1700
A-HYDROCORT 250MG,4400160,$25.00,J1700,J1700,J1700,J1700
A-HYDROCORT 500MG,4400161,$60.00,J1700,J1700,J1700,J1700
AK-POLY-BAC OPH OINT,4401851,$102.75,,A9270,,
AKWA TEAR SOLN,4401225,$17.50,,A9270,,
ALB.UA OR OTH SOURCE,4301152,$84.00,82042,82042,82042,82042
ALBUMIN 25%  50ML,4402282,$432.00,P9046,P9046,P9046,P9046
ALBUMIN 25% (25GM),4400092,$355.00,P9047,P9047,P9047,P9047
ALBUMIN 5% (12.5GM),4400090,$90.00,P9041,P9041,P9041,P9041
"ALBUMIN, SERUM",4301113,$37.80,82040,82040,82040,82040
ALBUTEROL,4400652,$116.00,J7613,J7613,J7613,J7613
ALBUTEROL SUL 2MG,4400653,$6.00,,A9270,,
ALBUTEROL SYRUP,4401801,$6.00,,A9270,,
ALBUTEROL/IPRAT,4400163,$65.50,J7620,J7620,J7620,J7620
"ALCOHOL, BLOOD",4301119,$73.95,80307,80307,80307,80307
"ALCOHOL,URINE",4301181,$103.83,80307,80307,80307,80307
ALDOLASE,4308034,$90.30,82085,82085,82085,82085
"ALDOSTERONE, SERUM",4308035,$265.00,82088,82088,82088,82088
"ALDOSTERONE, URINE",4308036,$265.00,82088,82088,82088,82088
ALFENTANIL 1000MCG,4402283,$32.00,J3490,J3490,J3490,J3490
ALK PHOSE ISOENZYMES,4308038,$110.00,84080,84080,84080,84080
ALKALINE PHOSPHATASE,4301121,$53.55,84075,84075,84075,84075
ALLEGRA 180MG TAB,4400659,$11.75,,A9270,,
ALLEGRA 60MG TAB,4400660,$6.75,,A9270,,
"ALLERG SP IGE, QUAN",4301058,$42.00,86003,86003,86003,86003
"ALLERG SP IGG, QUAN",4301057,$22.43,86001,86001,86001,86001
ALLERGEN OTIC,4401848,$12.50,,A9270,,
"ALLERGENS-1, SPECIFI",4308055,$42.00,86003,86003,86003,86003
ALLOGRAFT,4000998,"$5,076.40",C1762,C1762,C1762,C1762
ALLOGRAFT,4001019,"$3,767.40",C1762,C1762,C1762,C1762
ALLOGRAFT,4002265,"$4,200.00",C1762,C1762,C1762,C1762
ALLOGRAFT,4005251,"$3,500.00",C1762,C1762,C1762,C1762
ALLOGRAFT,4005565,"$40,100.00",C1762,C1762,C1762,C1762
ALLOGRAFT,4005615,"$22,400.00",C1762,C1762,C1762,C1762
ALLOGRAFT,4005678,"$13,225.00",C1762,C1762,C1762,C1762
ALLOGRAFT,4006738,"$11,900.00",C1762,C1762,C1762,C1762
ALLOGRAFT -CARTILAGE,4006777,"$16,810.50",C1762,C1762,C1762,C1762
ALLOGRAFT CROUTONS,4001057,"$1,045.80",C1762,C1762,C1762,C1762
ALLOGRAFT- TRINITY,4006759,"$7,700.00",C1762,C1762,C1762,C1762
ALLOPURINOL 100MG TA,4400661,$6.00,,A9270,,
ALLOPURINOL 300MG TA,4400662,$6.00,,A9270,,
ALPHA GALACTOSIDASE,4307077,$301.00,84311,84311,84311,84311
ALPHA II MACROGLOB,4309500,$49.35,83883,83883,83883,83883
ALPHA-FETOPROTEIN SE,4308045,$155.00,82105,82105,82105,82105
ALPHAGAN-P OPHT DOL,4400663,$209.75,,A9270,,
ALPRAZOLAM 0.25MG TA,4400664,$20.00,,A9270,,
ALPRAZOLAM 0.5MG TAB,4400665,$20.00,,A9270,,
ALPRAZOLAM 1MG TABS,4408094,$20.00,,A9270,,
ALS 2,3092006,"$1,421.00",A0433,A0433,A0433,A0433
ALS EMERGENT,3092004,$830.00,A0427,A0427,A0427,A0427
ALS NON EMERGENT,3092003,$524.00,A0426,A0426,A0426,A0426
ALT,4301123,$50.40,84460,84460,84460,84460
ALTACE 2.5MG CAP,4400666,$8.00,,A9270,,
ALTACE 5MG CAPSULE,4400667,$8.50,,A9270,,
ALUMINUM HYDROXIDE,4408092,$6.00,,A9270,,
"ALUMINUM, SERUM",4308047,$109.49,82108,82108,82108,82108
"ALUMINUM, URINE",4306613,$103.00,82108,82108,82108,82108
AMANTADINE 100MG,4401578,$10.50,,A9270,,
AMARYL 1MG TAB,4400670,$6.25,,A9270,,
AMARYL 4MG TAB,4400671,$6.50,,A9270,,
AMBIEN 5MG TAB,4400672,$23.00,,A9270,,
AMBIEN CR 12.5MG,4401889,$23.00,,A9270,,
AMBIEN CR 6.25MG,4401941,$23.00,,A9270,,
AMBULANCE MILEAGE,3092001,$16.00,A0425,A0425,A0425,A0425
A-METHAPRED 1000MG,4400164,$80.00,J1040,J1040,J1040,J1040
A-METHAPRED 125MG,4400166,$86.00,J2930,J2930,J2930,J2930
A-METHAPRED 40MG,4400165,$11.00,J1030,J1030,J1030,J1030
A-METHAPRED 500MG,4400167,$48.00,J1040,J1040,J1040,J1040
AMICAR 500MG TAB,4400673,$6.75,,A9270,,
AMIDATE 20MG/10ML,4400169,$29.75,J3490,J3490,J3490,J3490
"AMIKACIN, PEAK",4308732,$61.00,80150,80150,80150,80150
"AMIKACIN, TROUGH",4308733,$15.00,80150,80150,80150,80150
AMIKIN 500MG/2ML,4400170,$20.00,J0278,J0278,J0278,J0278
AMILORIDE 5MG,4401226,$6.00,,A9270,,
AMINOPHYLLINE 500/20,4400172,$20.00,J0280,J0280,J0280,J0280
AMINOSYN 8.5%,4400542,$45.00,,A9270,,
AMIODARONE 900MG/18,4401055,$68.04,J0282,J0282,J0282,J0282
AMITIZA 24MCG CAPSUL,4401996,$28.00,,A9270,,
AMITRIPTYLINE 100MG,4400677,$6.00,,A9270,,
AMITRIPTYLINE 10MG,4400674,$6.00,,A9270,,
AMITRIPTYLINE 25MG,4400675,$6.00,,A9270,,
AMITRIPTYLINE 50MG,4400676,$6.00,,A9270,,
AMMO LACTATE LOTION,4401133,$73.00,,A9270,,
AMMONIA INHALANTS,4401523,$12.50,,A9270,,
"AMMONIA, SERUM",4301131,$100.80,82140,82140,82140,82140
AMOEBA ANTIBODIES,4309005,$183.75,87177,87177,87177,87177
AMOX/CLAVULANATE 200,4402009,$144.75,,A9270,,
AMOX-CLAVU 500MG TAB,4400704,$15.00,,A9270,,
AMOXICILLIN 125/5 SU,4401415,$18.75,,A9270,,
AMOXICILLIN 250MG,4401416,$6.00,,A9270,,
AMOXICILLIN 500MG,4401417,$6.00,,A9270,,
AMOXIL 400MG/5ML,4401990,$19.50,,A9270,,
AMPHETAMINES CONFIRM,4307049,$74.00,82541,82541,82541,82541
AMPHOTERICIN 500MG,4400021,$364.80,J0285,J0285,J0285,J0285
AMPICILLIN 125MG INJ,4401924,$20.00,J0290,J0290,J0290,J0290
AMPICILLIN 1GM INJ,4400427,$32.75,J0290,J0290,J0290,J0290
AMPICILLIN 250MG,4401412,$6.00,,A9270,,
AMPICILLIN 250MG INJ,4400426,$20.00,J0290,J0290,J0290,J0290
AMPICILLIN 2GM ADDV,4400428,$80.50,J0290,J0290,J0290,J0290
AMPICILLIN 2GM INJ,4400429,$59.00,J0290,J0290,J0290,J0290
AMPICILLIN 500MG,4401413,$6.00,,A9270,,
AMPICILLIN 500MG INJ,4401414,$20.00,J0290,J0290,J0290,J0290
AMPICILLIN SOD 1GM,4400177,$41.00,J0290,J0290,J0290,J0290
AMPICILLIN SOD 2GM,4400175,$80.00,J0290,J0290,J0290,J0290
AMPICILLIN SOD 500MG,4400178,$29.00,J0290,J0290,J0290,J0290
AMPLIFICATION OF NUC,4307162,$105.00,83901,83901,83901,83901
AMPUTATION - FINGER,4608004,"$4,049.00",26236,26236,26236,26236
AMPUTATION-FINGER,4608001,"$1,719.00",SURG,SURG,SURG,SURG
"AMYLASE, BODY FLIUD",4301519,$17.85,82150,82150,82150,82150
"AMYLASE, SERUM",4301132,$17.85,82150,82150,82150,82150
"AMYLASE, URINE, 2 HR",4301541,$17.85,82150,82150,82150,82150
ANA V40 FEMORAL HEAD,4000308,"$4,359.00",C1776,C1776,C1776,C1776
"ANAEROBIC ISOLATE,EA",4301004,$64.05,87076,87076,87076,87076
ANAEROBIC SUSCEPT,430923,$64.00,87186,87186,87186,87186
ANAL.SKELETAL MUSCLE,4309314,$340.00,88355,88355,88355,88355
ANALPRAM HC 2.5% CR,4401786,$240.25,,A9270,,
"ANALYSIS, NERVE",4309315,$136.00,88356,88356,88356,88356
"ANALYSIS, TUMOR",4309316,$190.00,88358,88358,88358,88358
ANCA SCREEN W/REFLEX,4301196,$51.85,86256,86256,86256,86256
ANCHOR -4.5 PUSHLOCK,4000182,"$1,824.20",C1713,C1713,C1713,C1713
ANCHOR BONE,4002645,$578.20,C1713,C1713,C1713,C1713
ANCHOR SUTURE,4002398,$683.20,,,,
ANCHOR SUTURE,4002419,"$1,400.00",,,,
ANCHOR SUTURE,4002719,$578.20,C1713,C1713,C1713,C1713
"ANCHOR,BIO ZIP #3910",4005799,$742.50,C1713,C1713,C1713,C1713
ANCOBON 250MG CAP,4401779,$23.25,,A9270,,
ANDRODERM PATCH,4400680,$34.00,,A9270,,
ANDROSTENEDIONE,4301176,$110.50,82157,82157,82157,82157
ANGIOTENSIN CONVERTI,4308063,$115.85,82164,82164,82164,82164
ANKLE - FIXED INSERT,4006731,"$5,862.50",C1713,C1713,C1713,C1713
ANKLE - FIXED INSERT,4006815,"$5,862.50",C1776,C1776,C1776,C1776
ANKLE - FIXED PLATE,4006733,"$19,075.00",C1713,C1713,C1713,C1713
ANKLE - IMPLANT KIT,4006678,"$16,121.00",C1776,C1776,C1776,C1776
ANKLE - IMPLANT TRAY,4006699,"$5,537.50",C1713,C1713,C1713,C1713
ANKLE - POLY INSERT,4006680,"$5,650.00",C1776,C1776,C1776,C1776
ANKLE - POLY SULCUS,4006698,"$5,640.00",C1713,C1713,C1713,C1713
ANKLE - TALAR DOME,4006679,"$17,105.00",C1776,C1776,C1776,C1776
ANKLE - TALAR DOME,4006697,"$13,650.00",C1713,C1713,C1713,C1713
ANKLE - TALAR GUIDE,4010674,$282.50,C1776,C1776,C1776,C1776
ANKLE - TALAR GUIDE,4006812,$395.50,C1776,C1776,C1776,C1776
ANKLE - TALAR STEM,4006696,"$3,885.00",C1713,C1713,C1713,C1713
ANKLE - TIBIAL CLIP,4006732,$437.50,C1713,C1713,C1713,C1713
ANKLE - TIBIAL STEM,4006694,"$2,030.00",C1713,C1713,C1713,C1713
ANKLE - TIBIAL STEM,4006695,"$1,575.00",C1713,C1713,C1713,C1713
ANKLE RECON SYSTEM,4006493,"$6,125.00",,C1776,,
ANKLE STIRRUP/STRAP,4421345,$235.98,L4350,L4350,L4350,L4350
ANKLE STIRUP STRAP,4425555,$235.98,L4350,L4350,L4350,L4350
ANKLE -TALAR IMPLANT,4006734,"$15,750.00",C1713,C1713,C1713,C1713
ANTARA 130MG CAP,4401781,$30.75,,A9270,,
"ANTI,SACCHAROMYES CV",4307557,$207.00,86671,86671,86671,86671
ANTI-ADRENAL GLAND A,4308066,$152.00,86256,86256,86256,86256
ANTIBODY ID RBC EACH,4303002,$164.85,86870,86870,86870,86870
ANTIBODY PANEL ARC,4301116,$109.75,86870,86870,86870,86870
ANTIBODY SCREEN ARC,4301115,$54.60,86850,86850,86850,86850
ANTIBODY SCRN RBC EA,4303003,$91.35,86850,86850,86850,86850
"ANTIBODY, BRUCELLA",4309460,$76.80,86622,86622,86622,86622
"ANTIBODY, RICKETTSIA",4309459,$77.49,86757,86757,86757,86757
"ANTIBODY; PROTOZOA,",4309458,$151.00,86753,86753,86753,86753
ANTI-CARDIOLIPIN IGA,4309341,$109.34,86147,86147,86147,86147
ANTI-CARDIOLIPIN IGG,4308067,$109.34,86147,86147,86147,86147
ANTI-CARDIOLIPIN IGM,4308069,$109.34,86147,86147,86147,86147
ANTI-CENTROMERE ANTI,4307502,$185.00,86235,86235,86235,86235
ANTI-CHROMATIN,4301061,$40.00,86235,86235,86235,86235
ANTI-DIURETIC HORMON,4308071,$254.00,84588,84588,84588,84588
ANTI-DNA,4308072,$155.00,86225,86225,86225,86225
ANTIFUNG SERUM FLUC,4301218,$49.00,80299,80299,80299,80299
ANTIFUNGAL SUSCEPT,4309492,$137.50,87186,87186,87186,87186
ANTI-GAD65 ANTIBODY,4307036,$147.00,83519,83519,83519,83519
ANTIGEN TYP COMM ARC,4301213,$106.05,86904,86904,86904,86904
ANTI-GLIADIN ANTIBOD,4308498,$232.00,83520,83520,83520,83520
ANTI-GLOMERULAR BASE,4308076,$116.55,78725,78725,78725,78725
ANTIGN SCR REAG SER1,4301208,$84.55,86902,86902,86902,86902
ANTI-HISTONE,4309227,$55.65,86235,86235,86235,86235
ANTI-ITCH CREAM 2%,4401594,$16.00,,A9270,,
ANTI-MYOCARDIAL ANTI,4308084,$49.35,86256,86256,86256,86256
ANTI-NEUTROPHILIC CY,4301142,$201.00,86255,86255,86255,86255
ANTI-NUCLEAR ANTIBOD,4308087,$105.00,86038,86038,86038,86038
ANTI-PARIETAL CELL A,4306119,$92.00,86256,86256,86256,86256
ANTIPHOSLIPID ANTI,4309412,$87.00,86148,86148,86148,86148
ANTIPHOSPHATIDYL,4308627,$45.00,86148,86148,86148,86148
ANTI-RNP ANTIBODY,4301190,$35.70,86235,86235,86235,86235
ANTI-SM ANTIBODY,4301191,$35.70,86235,86235,86235,86235
ANTI-SMOOTH MUSCLE A,4308093,$51.82,83516,83516,83516,83516
ANTI-SSA ANTIBODY,4301192,$35.70,86235,86235,86235,86235
ANTI-SSB ANTIBODY,4301193,$35.70,86235,86235,86235,86235
ANTI-STRD MUS AB SCN,4301060,$123.78,86255,86255,86255,86255
ANTI-STRTD MUS AB TI,4301059,$119.30,86256,86256,86256,86256
ANTI-THROMBIN III,4308098,$139.65,85300,85300,85300,85300
ANTI-THRYROID ANTIBO,4308099,$151.80,86376,86376,86376,86376
ANTI-THRYROPEROXIDAS,4307037,$151.80,86376,86376,86376,86376
ANTI-THYROGLOBIN,4308030,$68.36,86800,86800,86800,86800
ANTI-XA,4308900,$226.98,85520,85520,85520,85520
ANTIZOL 1GM/ML,4500914,"$7,399.25",J1212,J1212,J1212,J1212
ANUCORT HC 25MG SUPP,4401157,$90.50,,A9270,,
ANUSOL SUPPOSITORY,4401800,$6.00,,A9270,,
ANUSOL-HC 2.5% CR,4400683,$95.00,,A9270,,
ANZEMET 20MG/ML,4400029,$109.90,J1260,J1260,J1260,J1260
APIDRA 100U/ML,4408101,$6.00,J1815,J1815,J1815,J1815
APO LIPOPROTEIN A-1,4309499,$31.50,82172,82172,82172,82172
ARANESP 200MCG,4400025,"$11,570.00",J0881,J0881,J0881,J0881
ARAVA 10MG TAB,4400684,$187.75,,A9270,,
ARAVA 20MG TAB,4400685,$187.75,,A9270,,
AR-CENT IM RT W/US,4158240,"$1,300.00",20606,20606,20606,20606
AR-CENT IMT-LT W/US,4158290,"$1,300.00",20606,20606,20606,20606
AR-CENT INJ- MAJ-RT,4158207,$600.00,20610,20610,20610,20610
AR-CENT INJ-IMJ RT,4158208,$390.00,20605,20605,20605,20605
AR-CENT INJ-IMJ-LT,4158291,$390.00,20605,20605,20605,20605
AR-CENT INJ-MAJ -LT,4158292,$600.00,20610,20610,20610,20610
AR-CENT INJ-SML LT,4158293,$411.00,20600,20600,20600,20600
AR-CENT INJ-SML-RT,4158151,$411.00,20600,20600,20600,20600
AR-CENT MAJ W/US-RT,4158256,"$1,300.00",20611,20611,20611,20611
AR-CENTESIS SI JNT,4158220,$636.78,27279,27279,27279,27279
ARCENT-MAJ-BILATERAL,4158308,"$41,583.08",20610,20610,20610,20610
AREDIA 30MG/VIAL,4400018,"$1,166.00",J2430,J2430,J2430,J2430
ARGATROBAN PER 5MG,4402039,$128.00,J0883,J0883,J0883,J0883
AR-GRAM HIP W/O LT,4158294,$205.00,27093,27093,27093,27093
AR-GRAM INJ- LT KNEE,4158296,$205.00,27369,27369,27369,27369
AR-GRAM INJ-LT ELB,4158295,$205.00,24220,24220,24220,24220
AR-GRAM INJ-LT SHOUL,4158297,$205.00,23350,23350,23350,23350
AR-GRAM INJ-LT WRIST,4158298,$205.00,25246,25246,25246,25246
AR-GRAM INJ-RT ELBOW,4158176,$205.00,24220,24220,24220,24220
AR-GRAM INJ-RT KNEE,4158050,$205.00,27369,27369,27369,27369
AR-GRAM INJ-RT SHOUL,4158149,$205.00,23350,23350,23350,23350
AR-GRAM INJ-RT WRIST,4158051,$205.00,25246,25246,25246,25246
ARICEPT 5MG,4400686,$45.00,,A9270,,
ARIMIDEX 1MG TAB,4402061,$76.25,,A9270,,
ARIXTRA 2.5MG/0.5ML,4402020,$53.40,J1652,J1652,J1652,J1652
ARK MEDICAID NON-ER,4601304,$586.30,99284,99284,99284,99284
AR-K NON/ER LEVEL II,4601302,$220.00,99282,99282,99282,99282
ARM SLING SLDR PAD,4421091,$11.00,A4565,A4565,A4565,A4565
ARMOUR THYROID 60MG,4401466,$6.00,,A9270,,
AROMASIN 25MG,4401895,$36.00,,A9270,,
ARSENIC BLOOD,4308108,$55.00,82175,82175,82175,82175
"ARSENIC R,FX R,URINE",4308110,$194.00,82175,82175,82175,82175
"ARSENIC, BLOOD",4308106,$194.00,82175,82175,82175,82175
"ARSENIC, URINE",4308109,$113.00,82175,82175,82175,82175
ART SURF SZ C D 1,4000357,"$5,181.40",C1776,C1776,C1776,C1776
ARTERIAL PUNCTURE,4301178,$27.50,36600,36600,36600,36600
ARTERIAL PUNCTURE,4536525,$143.00,36600,36600,36600,36600
ARTERIAL PUNCTURE,4101178,$28.00,36600,36600,36600,36600
ARTHREX - TSA,4006036,"$16,800.00",C1776,C1776,C1776,C1776
ARTHREX - TSA,4006755,"$26,300.00",C1776,C1776,C1776,C1776
ARTHREX REVERSE TSA,4006796,"$26,302.50",C1776,C1776,C1776,C1776
ARTHREX-TSA REVERSE,4006818,"$33,831.00",C1776,C1776,C1776,C1776
ARTHROTEC 75,4400690,$9.75,,A9270,,
ARTI SURF SZ E F 1,4000350,"$5,181.40",C1776,C1776,C1776,C1776
ARTIC SURF SZ E F 14,4001121,"$5,516.00",C1776,C1776,C1776,C1776
ARTICU SURFACE 10MM,4005165,"$5,181.40",C1776,C1776,C1776,C1776
ARTICULAR INSERT,4000949,"$5,782.00",C1776,C1776,C1776,C1776
ARTICULAR INSERT,4002354,"$2,948.40",C1776,C1776,C1776,C1776
ARTICULAR SURF SZ EF,4001119,"$4,789.40",C1776,C1776,C1776,C1776
ARTICULAR SURFACE,4003374,"$3,593.35",D6199,D6199,D6199,D6199
ARTICULAR SZ GH 12MM,4005131,"$5,553.80",C1776,C1776,C1776,C1776
ARTIFICIAL TEARS,4400691,$11.00,,A9270,,
ASACOL 400MG TABLET,4400692,$8.75,,A9270,,
ASCORBIC ACID 500MG,4400185,$59.00,,A9270,,
ASIALO-GM1 ANTIBODIE,4307105,$45.55,83520,83520,83520,83520
ASO TITER,4307072,$63.00,86060,86060,86060,86060
ASPEN/MIAMI COLLAR,3103025,$343.15,L0172,L0172,L0172,L0172
ASPEN/MIAMI COLLAR,3303032,$343.15,L0172,L0172,L0172,L0172
ASPERGILLUS ANTIBODY,4308112,$57.00,86606,86606,86606,86606
ASPERGILLUS ANTIBODY,4301073,$35.00,86606,86606,86606,86606
ASPIRIN 300MG SUPP,4401632,$12.50,,A9270,,
ASPIRIN 325MG TAB,4400693,$6.00,,A9270,,
ASPIRIN 600MG SUPP,4401785,$12.50,,A9270,,
ASPIRIN 81MG CHEW,4400695,$6.00,,A9270,,
ASPIRIN EC 81MG,4400694,$6.00,,A9270,,
ASPIRIN RESISTANCE,4308630,$46.00,82570,82570,82570,82570
ASSIST TECH ASSESS,4660113,$94.00,97755,97755,97755,97755
AST(SGOT),4301137,$58.80,84450,84450,84450,84450
ASTELIN NASAL,4400697,$346.00,,A9270,,
ASYMM PATELLA 11MM,4000422,"$2,010.40",C1776,C1776,C1776,C1776
ATACAND 16MG TAB,4400698,$14.00,,A9270,,
ATACAND 8MG TABLET,4401602,$8.00,,A9270,,
ATENOLOL 25MG,4400699,$7.00,,A9270,,
ATENOLOL 50MG TAB,4400700,$6.00,,A9270,,
ATORVASTATIN 20MG,4402284,$6.00,,A9270,,
ATRICULAR SURF 14MM,4005148,"$5,181.40",C1776,C1776,C1776,C1776
ATROPINE 0.4MG/ML AM,4400189,$20.00,J0461,J0461,J0461,J0461
ATROPINE 1MG ABBOJEC,4400188,$.48,J0461,J0461,J0461,J0461
ATROPINE OPHTH OINT,4400701,$12.50,,A9270,,
ATROPINE OPTH SOLN,4401258,$61.50,,A9270,,
ATROVENT 0.03% NASAL,4400703,$599.50,,A9270,,
ATROVENT INHALER,4400702,"$1,597.00",,A9270,,
AUGMENT FEMORAL 2,4005791,"$4,284.00",C1776,C1776,C1776,C1776
AUGMENTATION KIT,4010386,"$3,412.50",C1713,C1713,C1713,C1713
AUGMENTIN 125/5ML,4400705,$125.25,,A9270,,
AUGMENTIN 250/5ML,4400707,$238.25,,A9270,,
AUGMENTIN 400MG/5ML,4400708,$150.00,,A9270,,
AUGMENTIN 875 TAB,4400709,$34.00,,A9270,,
AUGMENTIN ES-600,4400710,$250.00,,A9270,,
AUGMENTIN XR 1000MG,4400711,$15.00,,A9270,,
AUTO BLOOD COLLECTIO,4301209,$131.00,86890,86890,86890,86890
AUTOMATED RBC COUNT,4301076,$32.00,85041,85041,85041,85041
AVANDIA 4MG TAB,4400713,$16.00,,A9270,,
AVAPRO 150MG TAB,4400714,$17.00,,A9270,,
AVELOX 400MG/S50ML,4402110,$172.50,J2280,J2280,J2280,J2280
AVINZA 120MG CAP,4400715,$52.75,,A9270,,
AVITENE ULTRAFOAM,4402315,$209.68,,A9270,,
AVODART 0.5MG CAP,4401952,$29.25,,A9270,,
AVONEX 30MCG KIT,4400105,"$2,208.75",J1825,J1825,J1825,J1825
AXLE,4002461,"$2,849.70",C1776,C1776,C1776,C1776
AXSOS FEMUR PLATE,4005775,"$7,053.20",C1713,C1713,C1713,C1713
AYR SALINE MIST,4400717,$12.50,,A9270,,
AZACTAM 1GM VIAL,4400194,$139.25,J3490,J3490,J3490,J3490
AZATHIOPRINE 50MG TA,4401108,$9.25,,A9270,,
AZILECT 0.5MG TABLET,4408088,$111.00,,A9270,,
AZITHROMYCIN 500 MG.,4500948,$6.00,Q0144,Q0144,Q0144,Q0144
AZITHROMYCIN 500 MG.,4408110,$46.75,Q0144,Q0144,Q0144,A9270
AZMACORT INHALER,4400718,$781.75,,A9270,,
AZOPT 1% OPHTH SUSP,4401955,$167.75,,A9270,,
B & O 16A,4400720,$20.00,,A9270,,
B2 GLYCOPROTEIN EACH,4309343,$109.34,86146,86146,86146,86146
BACIIM 50 MU,4400195,$25.00,,A9270,,
BACITRACIN OINT 1GM,4402285,$6.00,,A9270,,
BACITRACIN OINT 30G,4400721,$18.00,,A9270,,
BACITRACIN OPHTH OIN,4400722,$19.00,,A9270,,
BACKBRACE- HS CUSTOM,4010627,"$3,030.00",L0640,L0640,L0640,L0640
BACLOFEN 10MG TAB,4400725,$6.00,,A9270,,
BACT AG N MENINGITIS,4307005,$194.00,87449,87449,87449,87449
BACT.AG. N.MENINGITI,4307006,$188.10,87449,87449,87449,87449
BACT.AG. N.MENINGITI,4307007,$188.10,87449,87449,87449,87449
BACT.ANTIGEN GROUP B,4307004,$194.00,87449,87449,87449,87449
BACT.ANTIGEN H.INFLU,4307002,$194.00,87449,87449,87449,87449
BACT.ANTIGEN S.PNEUM,4307003,$194.00,87449,87449,87449,87449
BACTERIAL ANTIGEN ST,4304009,$69.65,87880,87880,87880,87880
BACTROBAN CREAM,4400727,$316.75,,A9270,,
BACTROBAN NASAL,4400729,$28.00,,A9270,,
BALL TIP,4002141,$336.50,,,,
BARBITURATES CONFIRM,4307052,$42.00,82541,82541,82541,82541
BARD MESH PERFX PL M,4000917,"$1,003.80",C1781,C1781,C1781,C1781
BARD MESH PLUG LRG,4005033,"$1,114.40",C1781,C1781,C1781,C1781
"BARRIER, SKIN #16203",4429404,$16.00,A4414,A4414,A4414,A4414
BARTONELLA HENSELAE,4306828,$66.00,86611,86611,86611,86611
BASEPLATE TIBIAL,4002590,"$11,095.00",C1776,C1776,C1776,C1776
BASIC DOSIMETRY CALC,4729004,$269.50,77300,77300,77300,77300
BASIC METABOLIC PANE,4301201,$229.95,80048,80048,80048,80048
BASIC SUMMIT CEMENTE,4001023,"$5,017.60",C1713,C1713,C1713,C1713
BAYHEP B,4400013,$849.00,90371,90371,90371,90371
BAYTET 250IU,4400039,"$2,390.50",J1670,J1670,J1670,J1670
BCR/ABL 1 MAJOR BP,4309522,$244.00,81206,81206,81206,81206
BCR/ALB1,4309524,$244.00,81206,81206,81206,81206
BECONASE AQ NASAL,4401789,$498.00,,A9270,,
BEE ZEE TABLET,4400730,$7.00,,A9270,,
BELLA ALK-PHENOBARB,4400969,$6.00,,A9270,,
BENADRYL 60 / MAALOX,4401974,$11.00,,A9270,,
BENEMID,4400731,$13.00,,A9270,,
BENICAR 20MG TAB,4400732,$23.25,,A9270,,
BENTYL 20MG/2ML INJ,4400733,$351.25,J0500,J0500,J0500,J0500
BENZODIAZEPINES CONF,4307047,$45.00,82541,82541,82541,82541
