MEMORIAL SLOAN KETTERING CANCER CENTER - Pricing as of 01/01/2019,,
"Hospitals are required by law to make available information about their standard charges for the items and services they provide. These standard charges do not represent what a person will actually pay for medical care at Memorial Sloan Kettering Cancer Center. They also do not reflect or represent the actual payment the hospital will receive from insurance or from patients for those services. Therefore, referring to these standard charges to determine out-of-pocket costs is misleading.",,
,,
"We can provide you with an estimate of your out-of-pocket costs before you begin treatment, so you can make the right decision for you and your family. Services or items rendered to each patient and their cost may vary because of treatment decisions, unforeseen complications, additional tests or services ordered by a doctor, and the individual’s needs. In addition, estimates may change based on a person’s contracted insurance benefits, insurance policy exclusions, maximum benefits, pending financial assistance, or pending state/federal or other aid. ",,
,,
Please note that any information that you receive is for informational purposes only and is not an offer or representation of actual pricing for services at MSK. This information is not meant to be nor should it be considered financial or medical advice. This document also may not be altered or edited in any way once downloaded.,,
,,
Code,Description,Std-Fee
DTU000059,LEVEL VI DTU ROCKVIL,896
DTU000060,LEVEL I DTU MSK MANH,89
DTU000061,LEVEL II DTU MSK MAN,179
DTU000062,LEVEL III DTU MSK MA,359
DTU000063,LEVEL IV DTU MSK MAN,538
DTU000064,LEVEL V DTU MSK MANH,718
DTU000065,LEVEL VI DTU MSK MAN,896
GENS00000,TRACHEOSTOMY TUBE HO,4
GENS00001,TRACHEOSTOMY TUBE CU,91
GENS00003,CATHETER RUBBER ROB,1
GENS00004,CATHETER RUBBER ROB,1
GENS00005,CATHETER RED RUBBER,2
GENS00006,CATHETER HOLDER LATE,16
GENS00007,EXTERNAL MALE CATHET,9
GENS00008,CATH URISHEALTH MALE,2
GENS00009,CATH TUBING FASTNER,33
GENS00010,CATHETER TUBE HOLDER,3
GENS00011,CATH FOLEY STERILE 1,4
GENS00012,CATH FOLEY STERILE 1,4
GENS00013,CATH FOLEY COUDE RUB,21
GENS00014,CATH FOLEY COUDE RUB,23
GENS00015,CATH FOLEY COUDE RUB,23
GENS00016,URETERAL CONNECTING,33
GENS00017,TRACHEOSTOMY VENT TU,155
GENS00018,TRAY FOLEY CATHETER,5
GENS00019,TRACHEOSTOMY TUBE CU,87
GENS00020,ASPIRA 5 DRESSING KI,104
GENS00021,DRAINAGE BAG URINARY,7
GENS00022,DRAIN PLEUREVAC THOR,312
GENS00023,ASPIRA PLEURAL INSER,952
GENS00024,PLEURX DRAINAGE KIT-,1040
GENS00025,URINARY MEASURING DE,15
GENS00026,BELT SQUIBB CONVATEC,6
GENS00027,BELT SUPPORT HERNIA,109
GENS00028,BELT SUPPORT HERNIA,112
GENS00029,CONNECTOR 5 IN 1,2
GENS00030,COLOSTOMY BAG CLIPS,2
GENS00031,UROSTOMY POUCH MICRO,61
GENS00032,POUCH W/ DURHESVE SK,159
GENS00033,STOMAHESIVE POWDER,7
GENS00034,FISTULA &  WOUND MGM,165
GENS00035,CENTRAL VENOUS CATHE,458
GENS00036,CENTRAL VEN. CATH KI,415
GENS00037,CENTRAL LINE CHANGE,125
GENS00038,ADULT TAKE HOME KIT,100
GENS00039,TRACH TUBE KIT,97
GENS00040,EXT BILARY DRAIN KIT,133
GENS00041,NEPHROSTOMY CARE KIT,150
GENS00042,CVC TRAY PEDIATRIC S,416
GENS00043,PEDIATRIC TAKE HOME,188
GENS00044,ACE BANDAGE RUBBER E,1
GENS00045,ACE BANDAGE RUBBER E,1
GENS00046,PROSTATECTOMY KIT,79
GENS00047,ILEAL CONDUIT 1 3/4,82
GENS00049,SITZ BATH KIT- GEN S,4
GENS00050,ADHESIVE REMOVER WIS,4
GENS00051,"MICROPORE TAPE 1""- G",1
GENS00052,"MICROPORE TAPE 2""- G",1
GENS00053,"TAPE BLENDERM 1""X5YD",1
GENS00054,ELASTIC BARRIER STRI,14
GENS00055,ALLEVYN GENTLE BOARD,79
GENS00056,TAPE ADHESIVE WATERP,2
GENS00057,ALLEVYN GENTLE BOARD,142
GENS00058,RADIACARE GEL- GEN S,10
GENS00059,SENSI-CRE PRTCTVE BA,9
GENS00060,DRSSNG WND SOLOSITE,13
GENS00061,CLNSR WND SAF-CLENS,13
GENS00062,UROSTOMY POUCH 1 3/4,27
GENS00063,DRESSING PRIMAPORE 4,40
GENS00064,DRESSING PRIMAPORE I,18
GENS00065,KALTO STAT WND DRSSN,294
GENS00066,"DRESSING CIRCULAR 4""",36
GENS00067,BREAST PROSTHESIS 12,140
GENS00068,DRAINAGE COLLECTOR S,144
GENS00069,SURFIT 1 3/4 IRRIGAT,22
GENS00070,KARAYA PASTE HOLLIST,10
GENS00071,HYDROCOLLOID DRESSIN,66
GENS00072,DURAHESIVE WAFER-FLA,34
GENS00073,DUODERM HYDROACTIVE,46
GENS00074,RELSAL APPL ADHESIVE,262
GENS00075,DRESSING COMFEEL CLE,38
GENS00076,STOMAHESIVE WAFER-SU,32
GENS00077,STOMAHESIVE WAFER-SU,32
GENS00078,STOMAHESIVE WAFER SU,31
GENS00079,SURFIT DRAIN POUCH 1,36
GENS00080,SURFIT DRAIN POUCH 1,18
GENS00081,SURFIT DRAIN POUCH 2,18
GENS00082,SURFIT DRAIN POUCH 2,18
GENS00083,GAUZE PACKING STRIP,5
GENS00084,GAUZE PACKING STRIP,5
GENS00085,GAUZE PACKING STRIP,5
GENS00086,PACKING IODOFORM 1/4,5
GENS00087,GAUZE VASELINE STRIP,14
GENS00088,DRESSING GAUZE XEROF,71
GENS00089,"AQUAGUARD BANDAGE 7""",22
GENS00090,AQUAGUARD DRESSING 1,29
GENS00091,TEGADERM CHG DRESSIN,304
GENS00092,MICROFOAM TAPE PTCH,3
GENS00093,VENI GARD W/TRNSPNT,76
GENS00094,DRESSING TRANSPARENT,45
GENS00095,TRANSPARENT DRESSING,42
GENS00096,DRESSING ADAPTIC 3X1,3
GENS00097,TEGADERM DRESSING 4,73
GENS00098,NON ADH DRESSING TEL,1
GENS00099,NON ADH DRESS TELFA,1
GENS00100,DRESSING TEGADERM 20,41
GENS00101,ALCOHOL PREPS,3
GENS00102,TIELLE HYDROPOLMER D,111
GENS00103,NO STING BARRIER FIL,21
GENS00104,DRESSING NU GEL 3 3/,30
GENS00105,SKIN BRRIER W/FLNG M,67
GENS00106,COHESIVE WAFER BARRI,111
GENS00107,SKIN BRRIER W/FLNG L,72
GENS00108,AQUCEL AG W/HYDRFBR,120
GENS00109,AQUCEL HYDRFBR DRSSN,75
GENS00110,AQUCEL HYDRFBR DRSSI,47
GENS00111,AQUCEL HYDRFBER DRSS,74
GENS00112,AQUACEL AG W/HYDROFI,225
GENS00113,DRESSING HYDRO 2 3/4,73
GENS00114,DURAHESIVE WAFER NAT,30
GENS00115,POUCH SURFIT NATURA,21
GENS00116,DISPOZA LEG BAG MEDI,9
GENS00117,RING ADAPT. BARRIER,48
GENS00118,RING BARRIER CONVX 2,63
GENS00119,RING BARRIER CONVEX,64
GENS00120,RING BARRIER CONVEX,64
GENS00121,DRAINAGE BAG BILIARY,19
GENS00122,"POUCH 6.5"" PED ONE P",31
GENS00123,"BRRER SKN 2 3/4"" FLX",36
GENS00124,"BRRER SKN 1 3/4"" FLX",35
GENS00125,POUCH ACTIVE LIFE DR,28
GENS00126,FLEXTEND SKIN BARRIE,64
GENS00127,SURFIT UROSTOMY 2 1/,29
GENS00128,POUCH SURFIT NATURA,28
GENS00129,POUCH SURFIT NATURA,60
GENS00130,BARRIER SKIN PREMIUM,21
GENS00131,EYE PADS,8
GENS00132,"POUCH 8 1/2"" PED ONE",38
GENS00133,POUCH OSTOMY PRMR 2.,32
GENS00134,POUCH UROSTOMY W/ FL,60
GENS00135,POUCH OSTOMY DRAINAB,32
GENS00136,ADAPTER UROSTOMY DRA,33
GENS00137,BRASSIERE SURGICAL S,52
GENS00138,BRASSIERE SURGICAL M,52
GENS00139,BRASSIERE SURGICAL E,52
GENS00140,BRASSIERE SURGICAL X,52
GENS00141,BRA W/ DRAIN LOOPS S,52
GENS00142,"BRA, WITH DRAIN LOOP",52
GENS00143,GAUZE SPONGE PLAIN 2,3
GENS00144,DRESSING GAUZE SPONG,3
GENS00145,DRESSING GAUZE SPONG,6
GENS00146,GAUZE SPONGE 4X4 12P,3
GENS00147,DRESSING GAUZE SPONG,1
GENS00148,GAUZE SPONGE PLAIN 8,23
GENS00149,DRESSING GAUZE SPONG,13
GENS00150,DRESSING KERLIX STER,1
GENS00151,CHUCK LINERS,34
GENS00152,DRESSING COMBINE 7.5,5
GENS00153,DRESSING COMBINE NON,63
GENS00154,COLOSTOMY IRRIGATION,75
GENS00155,STOCK TED THIGH SMAL,39
GENS00156,STOCK TED THIGH MED,37
GENS00157,STOCK TED THIGH LARG,37
GENS00158,STOCK TED THIGH SMAL,37
GENS00159,STOCKING TED NYLON S,37
GENS00160,STOCK TED THIGH LARG,37
GENS00161,STOCK TED THIGH LARG,37
GENS00162,STOCK TED THIGH MED,37
GENS00163,NEEDLE JAMSHIDI SW7,19
GENS00164,NEEDLE BONE MRRW 11,61
GENS00165,CAP LUER LOCK MALE/F,1
GENS00166,IRRIGATION TRAYS W/B,2
GENS00167,"IRRIGATION MOUTH, NO",52
GENS00168,IRRIGATION TRAYS W/,2
GENS00169,YANKAUER SUCTION TUB,1
GENS00170,LUMBAR PUNCTURE TRAY,23
GENS00171,MEDIPORT DRES. CHANG,9
GENS00172,NON LATEX GLOVES MED,19
GENS00173,NON LATEX GLOVES SEN,6
GENS00174,GLOVE NITRILE MEDIUM,10
GENS00175,GLOVE NITRILE LARGE,10
GENS00176,SURGEON GLOVES - SIZ,1
GENS00177,SURGEON GLOVES SIZE,1
GENS00178,SURGEON GLOVES SIZE,1
GENS00179,GLOVES EXAM ESTEEM M,7
GENS00180,GLOVES EXAM ESTEEM L,7
GENS00181,GLOVES EXAM ESTEEM X,7
GENS00182,TRACHEOSTOMY BRUSH,2
GENS00183,POVIDONE IODINE SWAB,8
GENS00184,BETADYNE SOLUTION 8,1
GENS00185,CLEANSER PERINEAL SE,3
GENS00186,SPRAY DISINFECTANT C,8
GENS00187,DEODORANT LUBRICATE,25
GENS00188,CARRINGTON ODOR ELIM,4
GENS00189,ODOR ELIMINATOR DROP,4
GENS00190,SURGILUBE 3 GRAM,24
GENS00191,APPLCTR COTTON TIP 6,12
GENS00192,TOOTHETER DISP 250/B,41
GENS00193,ARM SLING SINGLE STR,8
GENS00194,ARM SLING SINGLE STR,8
GENS00195,CERVICAL COLLAR SOFT,16
GENS00196,CERVICAL COLLAR SOFT,15
GENS00197,GRAD MEASURING PLAST,1
GENS00198,RUBBING ALCOHOL 16OZ,1
GENS00199,GRAVITY FEEDING SET,4
GENS00200,FEEDING TUBE 18 F. B,21
GENS00201,FEEDING TUBE 24 F. B,20
GENS00202,FEEDING TUBE,19
GENS00203,ADAPTER PEG & LUER C,102
GENS00204,STPCOCK 3 WAY DSPO(L,13
GENS00205,STOPCOCK 3 WAY DISPO,1
GENS00206,"PANTS MESH, MEDIUM",7
GENS00207,"PANTS MESH, LARGE",2
GENS00208,BINDER ABDOMINAL #81,24
GENS00209,BINDER ABDOMINAL #81,27
GENS00210,BINDER ABDOMINAL XL,34
GENS00211,SOLUTION WATER 500ML,2
GENS00212,SOLUTION WATER 1000M,2
GENS00213,SODIUM CHLORIDE IRRI,2
GENS00214,IRRIG SODIUM CHLORID,2
GENS00215,IRRIG SODIUM CHLORID,4
GENS00216,IV CLAVE CONNECTION,1
GENS00217,ADHESIVE REMOVER SPR,17
GENS00218,ILEOSTOMY 1 3/4 KIT.,53
GENS00219,POUCH W/FLANGE 1-PIE,46
GENS00220,BELT BRAVA,5
GENS00221,POUCH 1-PIECE UROSTO,54
GNT000000,GENETIC COUNSELING E,83
GNT000001,VENIPUNCTURE - GEN,68
LAB000000,VENIPUNCTURE,68
LAB000001,BASIC MET PANEL - TO,270
LAB000002,COMPREHENSIVE METABO,356
LAB000003,HEPATIC FUNCTION PAN,270
LAB000004,ITRACONAZOLE LEVEL,177
LAB000005,AUTOMATED URINALYSIS,69
LAB000006,KIR TYPING,339
LAB000007,GASTRIC OCCULT BLOOD,56
LAB000008,25 HYDROXY VIT D,460
LAB000009,CALCIUM SERUM - TOTA,116
LAB000010,CREATININE CLEARANCE,148
LAB000011,IMMUNOGLOBULIN G,193
LAB000012,LACTIC ACID,170
LAB000013,LACTIC DEHYDROGENASE,104
LAB000014,"POTASSIUM BLD, SERUM",74
LAB000015,TOTAL PROTEIN URINE,74
LAB000016,PROTEIN ELECTROPHORE,240
LAB000017,"SODIUM BLOOD, SERUM",75
LAB000018,THYROGLOBULIN THYROI,260
LAB000019,FREE T4,240
LAB000020,THYROID STIMULATING,313
LAB000021,CBC W/ AUTOMATED DIF,123
LAB000023,APC RESISTANCE,340
LAB000024,FIBRINOGEN,135
LAB000025,PROTHROMBIN TIME,73
LAB000026,THROMBIN TIME,165
LAB000027,APTT ACTIN FS,106
LAB000028,IMMUNOFIXATION URINE,591
LAB000029,NK CELLS TOTAL COUNT,563
LAB000030,T CELLS TOTAL COUNT-,597
LAB000031,RHEUMATOID FACTOR TE,192
LAB000032,VARICELLA ZOSTER ANT,216
LAB000033,THRYOGLOBULIN ANTIBO,197
LAB000034,HLA AB SCRN TRANSPL,466
LAB000035,ANTIBODY SCREEN,112
LAB000036,BLOOD TYPE AB03,33
LAB000037,BLOOD CULTURE,350
LAB000038,URINE CULTURE,177
LAB000039,SUSCEPTIBILITY SLOW,516
LAB000040,C.PNEUMONIAE PCR,276
LAB000041,M.PNEUMONIAE PCR,276
LAB000042,RESPIRATORY VIRUS PA,3192
LAB000043,B. PERTUSSIS PCR,276
LAB000047,BODY FLUID CRYSTAL,112
LAB000048,CLOTTING FACTOR ASSA,205
LAB000049,VWF: IMMUNO ACTIVITY,651
LAB000050,VON WILLEBRAND FACTO,651
LAB000051,RIVORAXABAN,432
LAB000052,DABIGATRAN,402
LAB000053,CIRCULATING ANTICOAG,216
LAB000054,REPTILASE,171
LAB000055,PLATELET AGGREGATION,543
LAB000056,MANUAL WHITE CELL CO,86
LAB000060,CELL COUNT & DIFFERE,171
LAB000061,RETICULOCYTE COUNT,69
LAB000062,ERYTHROCYTE SEDIMENT,71
LAB000063,LEUKOCYTE ALKAL PHOS,155
LAB000064,HEINZ BODIES,110
LAB000065,PARTIAL THROMBOPLAST,106
LAB000066,FIBRIN SPLIT PRODUCT,110
LAB000067,CBC,102
LAB000068,MANUAL DIFFERENTIAL,60
LAB000069,CBC W/AUTO DIFF- DON,123
LAB000070,CBC-DONOR,102
LAB000071,CBC W/MANUAL DIFF-DO,60
LAB000072,FACTOR II,205
LAB000073,FACTOR V,280
LAB000074,FACTOR VII,283
LAB000075,FACTOR VIII,283
LAB000076,FACTOR IX,301
LAB000077,FACTOR X,283
LAB000078,FACTOR XI,283
LAB000079,FACTOR XII,305
LAB000080,FACT VIII R ANTIGEN,651
LAB000081,FACTOR XIII ANTIGEN,393
LAB000082,ANTI THROMBIN III,399
LAB000083,PROTEIN C,429
LAB000084,FUNCTIONAL PROTEIN C,429
LAB000085,PROTEIN S ACTIVITY A,476
LAB000086,"PROTEIN S ANTIGEN, T",392
LAB000087,"PROTEIN S ANTIGEN, F",482
LAB000088,D DIMER,161
LAB000089,ANTIPLASMIN,245
LAB000090,LUPUS ANTICOAGULANT,236
LAB000091,PLASMINOGEN,220
LAB000092,VW FACTOR ASSAY VIII,651
LAB000094,HEPARIN ANTI-XA ASSA,278
LAB000095,PLATELET FUNCTION SC,678
LAB000096,PT MIXING STUDIES,133
LAB000097,HEXAGONAL PHASE,218
LAB000098,MIXING STUDIES APTT,216
LAB000099,HEPARIN DEPENDENT AN,508
LAB000100,ANTI BETA 2 GPI ELIS,461
LAB000101,ANTI BETA 2 GPI ELIS,461
LAB000102,ANTI BETA 2 GPI ELIS,461
LAB000103,ANTICRDLPN ANTBDY EL,461
LAB000104,ANTICRDLPN ANTBDY EL,461
LAB000105,ANTICRDLPN ANTBDY EL,461
LAB000106,PLATELET AUTOANTIBOD,464
LAB000107,RISTOCETIN-INDUCED P,970
LAB000108,CHROMOGENIC FACTOR X,351
LAB000110,ANAEROBIC CULTURE,134
LAB000111,EPSTEIN BARR ANTIBOD,216
LAB000112,HERPES SIMPLEX ANTIB,216
LAB000113,MEASLES ANTIBODY 1,216
LAB000114,MUMPS ANTIBODY 1,216
LAB000115,TOXOPLASMA ANTIBODY,240
LAB000116,CRYPTOCOCCAL ANTIGEN,278
LAB000117,VIRUS CULTURE,412
LAB000118,CMV ANTIBODY IGG,240
LAB000119,MONOSPOT TEST 1,174
LAB000120,HEPATITIS BS ANTIGEN,162
LAB000121,HEPATITIS BS ANTIBOD,171
LAB000122,HEPATITIS BC IGM ANT,184
LAB000123,HEPATITIS BC ANTIBOD,192
LAB000124,HEPATITIS A ANTIBODY,195
LAB000125,HEPATITIS A IGM ANTI,181
LAB000126,RUBELLA,148
LAB000127,MHA-TP 1,209
LAB000129,HEPATITIS C ANTIBODY,226
LAB000130,TOXOPLASMA ANTIBODY,240
LAB000133,STOOL-RECTAL CULTURE,148
LAB000135,OVA AND PARASITE EXA,157
LAB000136,HPV DNA PCR TYPE 16,581
LAB000139,MYCOBACTERIA CULTURE,305
LAB000140,MYCOLOGY CULTURE,134
LAB000141,DERMATOPHYTE CULTURE,165
LAB000143,GRAM STAIN,107
LAB000148,"VIRAL PCR, QUANTITAT",1346
LAB000150,RPR(RAPID PLASMA REA,96
LAB000151,CMV ANTIBODY IGM,240
LAB000152,TOXOPLASMA ANTIBODY,240
LAB000153,PARASITE IDENTIFICAT,106
LAB000154,ARTHROPOD IDENTIFICA,106
LAB000155,BACTERIAL CULTURE OT,278
LAB000156,CONCENTRATION FOR IN,59
LAB000157,"HOMOGENIZATION, TISS",93
LAB000158,WET MOUNT FOR INFECT,74
LAB000159,"KOH PREP, DERMAL",74
LAB000160,TRICHROME STAIN,283
LAB000161,ACID FAST STAIN/FLUO,85
LAB000166,"SHELL VIAL,ID & STAI",310
LAB000167,VZV DETECTION BY IMM,181
LAB000168,HSV TYPE 1/2 DETECT,181
LAB000169,RSV DETECTION BY IMM,181
LAB000170,INFLUENZA A DETECTIO,181
LAB000171,INFLUENZA B DETECTIO,181
LAB000174,SPEC STAIN INCLSN BO,202
LAB000175,SUSCEPTIBILITY STUDI,133
LAB000176,SUSCEPTIBILITY STUDI,110
LAB000177,SUSCEPTIBILITY STUDI,74
LAB000179,PARA INFLU DETEC IMM,181
LAB000181,SCREENING CULTURE,106
LAB000182,"EBV PCR, QUANTITATIV",799
LAB000185,ASPERGILLUS GALACTOM,389
LAB000186,ADENOVIRS DETCTN BY,181
LAB000187,CRYPTOCOCCUS ANTIGEN,170
LAB000188,RPR TITER MIC,71
LAB000189,"TISS.CULTR,ADDT STUD",285
LAB000190,DONOR-CMV ANTBDY IGG,240
LAB000191,DONOR-EPSTEIN BARR A,216
LAB000192,DONOR- TOXOPLASMA AN,240
LAB000193,DONOR-CMV ANTBDY IGM,240
LAB000194,DONOR- TOXOPLASMA AN,240
LAB000195,DONOR- MHA- TP,209
LAB000198,LYME DISEASE ANTIBOD,216
LAB000205,ENDOTOXIN TEST,148
LAB000207,CMV PCR QUANTITATIVE,1140
LAB000208,"RESPIRATORY POOL, DF",181
LAB000209,"C. DIFFICILE DNA, PC",555
LAB000210,GALACTOMANNAN-BAL,389
LAB000211,S. PNEUMONIA ANTIGEN,181
LAB000212,L. PNEUMOPHILA ANTIG,181
LAB000213,PNEUMOCYSTIS DETECTI,282
LAB000214,"HEPATITIS C PCR, QUA",448
LAB000215,"HEPATITIS B PCR, QUA",448
LAB000216,GIARDIA AG,138
LAB000217,CRYPTOSPORIDIUM AG,138
LAB000218,VRE PCR,555
LAB000222,CAMPYLOBACTER DNA,524
LAB000223,CRYPTOSPORIDIUM DNA,524
LAB000224,E. COLI 0157 DNA,524
LAB000225,GIARDIA DNA,524
LAB000226,NOROVIRUS DNA,524
LAB000228,SHIGA TOXIN E. COLI,524
LAB000231,FLU A PCR,791
LAB000232,FLU B PCR,791
LAB000233,PROSTATE CIPRO SCREE,100
LAB000235,HSV REAL TIME PCR,508
LAB000236,CMV REAL TIME PCR,508
LAB000237,PNEUMOCYSTIS REAL TI,508
LAB000238,M. TUBERCULOSIS PCR,724
LAB000240,MDRO CULTURE,91
LAB000241,HIV AG/AB,329
LAB000242,HIV 1,162
LAB000243,HIV 2,162
LAB000244,PNA FISH BLOOD CULTU,422
LAB000245,HSV 1 PCR,450
LAB000246,HSV 2 PCR,450
LAB000247,VZV PCR,477
LAB000248,LUMINEX GI PCR PANEL,5098
LAB000249,CRYPTOCOCCAL ANTIGEN,130
LAB000250,CRYPTOCOCCAL ANTIGEN,130
LAB000251,ID BY SEQUENCING,1412
LAB000252,ESCHERICHIA COLI K1,455
LAB000253,HAEMOPHILUS INFLUENZ,455
LAB000254,LISTERIA MONOCYTOGEN,455
LAB000255,NEISSERIA MENINGITID,455
LAB000256,S. AGALACTIAE (CSF),455
LAB000257,S. PNEUMONIAE (CSF),455
LAB000258,CMV (CSF),455
LAB000259,ENTEROVIRUS (CSF),455
LAB000260,HERPESVIRUS 6 (HHV-6,455
LAB000261,"H,SIMPLEX VIRUS 1 (H",429
LAB000262,H.SIMPLEX VIRUS 2 (H,429
LAB000263,HUMAN PARECHOVIRUS (,455
LAB000264,VARICELLA VIRUS (VZV,455
LAB000265,C. NEOFORMANS/GATTII,455
LAB000266,OCCULT BLOOD-STOOL T,56
LAB000267,URINEOSINOPHILS,107
LAB000268,HEMOSIDERIN,74
LAB000269,BODY FLUID SPECIFIC,42
LAB000270,AUTOMATED URINALYSIS,42
LAB000271,OCCULT BL DIGITAL SP,56
LAB000273,CHLORIDE (CL) BLOOD,74
LAB000274,CARBON DIOXIDE CONTE,76
LAB000275,8-PLEX CYTOKINES,205
LAB000276,10-PLEX ANGIOGENESIS,205
LAB000277,PROTEIN TOT SERUM BL,74
LAB000278,"ALBUMIN SERUM, BLOOD",96
LAB000279,"ALBUMIN, FLUID",91
LAB000281,IONIZED CALCIUM,416
LAB000282,LIPID PANEL,345
LAB000285,CRYOGLOBULIN,102
LAB000286,COMPLEMENT C3,207
LAB000287,COMPLEMENT C4,207
LAB000288,IMMUNOGLOBULIN A,193
LAB000289,IMMUNOGLOBULIN M,193
LAB000291,TRANSFERRIN,278
LAB000292,HAPTOGLOBIN,278
LAB000293,FERRITIN,278
LAB000294,C-REACTIVE PROT HI S,260
LAB000295,B2 MICROGLOBULIN,258
LAB000297,B2 MICROGLOBULIN CSF,258
LAB000298,IMMUNOFIXATION,544
LAB000300,"TESTOSTERONE, TOTAL",335
LAB000301,TOTAL COMPLEMENT (CH,322
LAB000302,PHOSPHATASE ALKALINE,116
LAB000303,PHOSPHORUS SERUM,81
LAB000304,UREA NITROGEN SERUM,74
LAB000305,CREATININE SERUM,96
LAB000306,CHOLESTEROL,147
LAB000307,TRIGLYCERIDES,146
LAB000308,IRON SERUM,218
LAB000309,IRON BINDING CAPACIT,181
LAB000310,GLUTAMYL TRANSPEPTID,155
LAB000311,AST,116
LAB000312,CREATINE PHOSPHOKINA,155
LAB000313,URIC ACID BLOOD,104
LAB000314,GLYCOSYLATED HEMOGLO,181
LAB000315,LIPASE SERUM,155
LAB000316,SERUM VISCOSITY,183
LAB000317,PHOSPHATASE ACID,155
LAB000318,"TOTAL PROTEIN, SPINA",74
LAB000319,GLUCOSE FLUID,74
LAB000320,LIPASE FLUID,155
LAB000321,PHOSPHORUS FLUID,81
LAB000322,UREA NITROGEN FLUID,74
LAB000323,CREATININE FLUID,96
LAB000324,CALCIUM (CA) FLUID T,116
LAB000325,METHOTREXATE,236
LAB000326,METHOTREXATE CSF,236
LAB000327,"CREATININE, WHOLE BL",96
LAB000328,AMYLASE BLOOD,155
LAB000329,AMYLASE FLUID,155
LAB000330,THYROID MICROSOMAL A,230
LAB000332,ALPHA FETOPROTEIN (A,279
LAB000333,HCG QUANTITATIVE,315
LAB000334,CARCINOEMBRYONIC ANT,315
LAB000335,CORTISOL TOTAL,259
LAB000336,FOLATE,240
LAB000337,FOLLICLE STIMULATING,313
LAB000338,GROWTH HORMONE,264
LAB000339,INSULIN TOTAL,181
LAB000340,LUTEINIZING HORMONE,313
LAB000341,PROLACTIN,305
LAB000342,THYROXIN (T4),232
LAB000343,VITAMIN B12,240
LAB000344,CARCINOEMBRYONIC AG,315
LAB000345,ALPHA FETOPROTEIN (A,279
LAB000346,SERUM T-3 TRIIODOTHY,260
LAB000347,"FREE T3, BLOOD",267
LAB000348,CA ANTIGEN (CA-125),330
LAB000349,MAGNESIUM BLOOD,116
LAB000350,LITHIUM BLOOD,106
LAB000354,TOTAL PROTEIN FLUID,74
LAB000355,PROTEIN ELECTROPHORE,240
LAB000356,LDH ISOENZYMES CSF,313
LAB000357,LDH ISOENZYMES,313
LAB000358,MANGANESE URINE,391
LAB000360,ZINC URINE,179
LAB000363,AMMONIA PLASMA,230
LAB000364,SODIUM (NA) URINE,116
LAB000365,POTASSIUM (K) URINE,116
LAB000366,CHLORIDE (CL) URINE,116
LAB000367,CREATININE URINE,96
LAB000368,CALCIUM (CA) URINE,157
LAB000369,UREA URINE,139
LAB000370,URIC ACID URINE,155
LAB000371,ELECTROPHORESIS URIN,240
LAB000372,HCG QUALITATIVE URIN,252
LAB000373,MAGNESIUM URINE CHE,116
LAB000374,PHOSPHORUS URINE,116
LAB000379,GLUCOSE BLOOD,74
LAB000380,BLOOD GASES,305
LAB000381,PH VENOUS BLOOD,134
LAB000382,PH PLEURAL FL,74
LAB000383,"PULMONARY BLOOD GAS,",305
LAB000384,"PULMONARY BLOOD GAS,",305
LAB000387,OSMOLALITY SERUM,104
LAB000388,OSMOLALITY URINE,108
LAB000389,"DIGOXIN, TOTAL",259
LAB000391,DILANTIN,209
LAB000392,PHENOBARBITAL (LUMIN,207
LAB000394,ALANINE AMINOTRANSFE,110
LAB000395,PARATHYROID HORMONE,654
LAB000396,CYCLOSPORIN,345
LAB000398,CANCER ANTIGEN 19-9,330
LAB000399,HCG QUALITATIVE SERU,240
LAB000401,"N-TELOPEPTIDES, SERU",296
LAB000404,BRAIN NATRIURETIC PR,418
LAB000405,"SODIUM, FLUID",76
LAB000410,C-PEPTIDE,330
LAB000411,"ESTRAD (ESTRADIOL),",363
LAB000412,TESTOSTERONE LC-MS/M,335
LAB000413,"BUSULFAN, BLOOD",266
LAB000416,PSA; COMPLEXED; FREE,292
LAB000417,CELL ENUMERATION & I,1960
LAB000418,BASIC MET PANEL - CA,255
LAB000420,MESOTHELIN,304
LAB000421,"TACROLIMUS, BLOOD",272
LAB000422,"SIROLIMUS, BLOOD CHE",279
LAB000424,VORICONAZOLE,430
LAB000425,POSACONAZOLE,461
LAB000426,IMMUNO SUBTRACTION,429
LAB000427,PROCALCITONIN,862
LAB000428,RESEARCH SAMPLE PROC,65
LAB000429,ELECTROLYTES,216
LAB000430,"VALPROIC ACID, TOTAL",214
LAB000431,"MICROALBUMIN, URINE",136
LAB000432,BILIRUBIN TOTAL,96
LAB000433,BILIRUBIN CONJUGATE,96
LAB000434,"CARBOXYHEMOGLOBIN, Q",161
LAB000435,IGG SUBTYPES 1,147
LAB000436,IGG SUBTYPES 2,147
LAB000437,IGG SUBTYPES 3,147
LAB000438,IGG SUBTYPES 4,147
LAB000439,GLUCOSE CHECK VIA ME,38
LAB000440,GLUCOSE TOLERANCE TE,233
LAB000441,"GTT, BEYOND 3 SPECIM",74
LAB000442,"METHEMOGLOBIN, QUANT",116
LAB000444,"FREE LIGHT CHAINS, S",180
LAB000445,BONE ALKALINE PHOSPH,235
LAB000446,"PSA, TOTAL",315
LAB000447,SEX HORMONE BINDING,345
LAB000448,TROPONIN I,315
LAB000449,"N-TELOPEPTIDES, URIN",296
LAB000451,"SICKLE CELL, QUALITA",88
