CODE,DESCRIPTION,CHARGE AMOUNT
7014004,BODY FLUID SENSITIVITY,38.00
5533872,BONE BRIDGE DRILL BIT,520.00
5700745,BONE CEMENT GUN STRYKER,0.00
5515606,BONE CEMENT P/PKS STRYKER,292.00
5534011,BONE CEMENT PLUG M/L/XL,339.00
7041205,BONE MARROW - SMEAR 85097,742.00
7039605,BONE MARROW ASP 85095,"1,947.00"
3700242,BONE MARROW ASPIRATION,748.00
3600269,BONE MARROW ASPIRATION,748.00
3500261,BONE MARROW ASPIRATION,748.00
3400256,BONE MARROW ASPIRATION,748.00
3300241,BONE MARROW ASPIRATION,748.00
3600251,BONE MARROW BIOPSY,748.00
5300264,"BONE MARROW, ASPIRATION",748.00
5300256,"BONE MARROW, BIOPSY",748.00
3500253,"BONE MARROW, BIOPSY",748.00
3400249,"BONE MARROW, BIOPSY",748.00
3300233,"BONE MARROW, BIOPSY",748.00
3700234,"BONE MARROW, BIOPSY",748.00
5504501,BONE WAX,25.00
5507504,"BONE, WIRE OR PIN",223.00
6820138,BOTOX 100UNITS/VIAL (THERAPENT,"1,177.00"
5010707,"BOTTLE, CLEANSING 8 OZ.",9.00
3904802,"BOVIE, PAD/CORD",211.00
5520804,"BOVIE, PAD/CORD",271.00
6404854,"BREAST BX, STEREOTACTIC GUI/WO","1,675.00"
6404267,"BREAST BX,NEEDLE CORE,WO IMAGI",983.00
6404365,"BREAST BX,STEREOTACTIC G,ADD L",680.00
6404256,"BREAST BX,STEREOTACTIC GUIDE/W","2,120.00"
7000352,BREATH TEST COLLECTION,34.00
6900138,BREATH/RETRAINING EA 15 MINS,55.00
6803043,BRETYLIUM 10 ML,74.00
6800619,BREVIBLOC 100 MG,71.00
6900146,BRONCHIAL HYGIENE EA 15 M,55.00
7053879,"BRUCELLA AB, IGG",101.00
7053861,"BRUCELLA AB, IGM",101.00
5013065,"BRUSH, HAIR",16.00
6814768,BSS EYE SOLUTION,9.00
5534540,"BSS, ADD'L",31.00
7100357,BUCKS BOOT,70.00
6819742,BUMETANIDE 2.5 MG/10 ML VIAL,52.00
6803050,BUMEX 1 MG/4 ML,31.00
6804777,BUMEX 1.0MG TABLET,4.00
6817050,BUPIVACAINE 0.5% 50ML,24.00
6815305,BUPIVACAINE 0.75%VIAL PER 30ML,22.00
6801724,BUPRENEX 0.3 MG,64.00
6801726,BUPRENORPHINE 8 MG SUBLING TAB,53.00
5332946,BURETROL,37.00
3801503,BURETROL,37.00
6813265,BUROW'S SOLUTION,10.00
6804785,BUSPAR 5MG,5.00
6817720,BUSPIRONE 15MG TABLET,15.00
6804793,BUTISOL SODIUM 30 MG,5.00
6803787,BUTISOL SODIUM 50 MG,5.00
9421033,BUTTONHOOK,16.00
9300302,BUTTRESS SUPPORT,132.00
6805231,BYSTOLIC 5MG TAB,31.00
7004303,C DIFF ANTIGEN,141.00
7050701,C-PEPTIDE,141.00
7010150,C-REACTIVE PROTEIN (CARDIAC),55.00
3903903,C-SECTION 1/4 HOUR,493.00
3900909,C-SECTION PACK,259.00
7059835,C. DIFFICLE ANTIBODIES,223.00
6907604,C.R. PHASE I,0.00
6907703,C.R. PHASE II,122.00
7059587,C1 ESTERASE FUNCTIONAL,72.00
7059603,C2 COMPLEMENT,108.00
7030406,CA 125,125.00
7030604,CA 15-3,97.00
7030802,CA 19-9,117.00
7000698,CA27.29,157.00
7058308,CABO,28.00
7059793,CADMIUM,127.00
7004229,CADMIUM,97.00
6810345,CALADRYL LOT 2 1/2 OZ,18.00
6817027,CALCIONATE SYRUP,16.00
6801732,CALCITONIN-SALMON,91.00
6819148,CALCITRIOL 0.25MCG CAP,10.00
7027808,CALCIUM,25.00
6804801,CALCIUM 250/VIT D 125,4.00
6804819,CALCIUM 600/VIT.D 125MG,4.00
6803068,CALCIUM CHLORIDE 1GM SYR,40.00
6800627,CALCIUM GLUCONATE 4.65 MEQ,28.00
7001258,CALCIUM URINE 24 HR,37.00
9421041,CAMPO WRIST SUPPORT,43.00
7030208,CAMPY TEST,79.00
6801740,CANDIDA SKIN TEST,39.00
7001464,CANNABINOIDS,60.00
7004310,CANNABINOIDS,60.00
6902100,CANNULA,21.00
6790257,"CANNULLA, LEVERLO",9.00
6790133,"CANNULLA, SYRINGE",8.00
5012273,"CAP, WATERLESS SHAMPOO",18.00
6906521,CAPMOGRAPHY PT FLOWSENSOR,82.00
6804827,CAPOTEN 12.5MG,5.00
6804835,CAPOTEN 25MG,5.00
6804843,CAPOTEN 50 MG.,7.00
6804850,CAPOZIDE 25/15,5.00
6804868,CAPOZIDE 50/25,7.00
6810352,CAPSAICIN (ZOSTRIX),62.00
6810360,CARA-KLENZ 6 OZ,34.00
6804884,CARAFATE 1 GM,5.00
6801765,CARBOCAINE 1% INJ,34.00
6801757,CARBOCAINE 1.5% INJ,47.00
6801773,CARBOCAINE 2% INJ,36.00
6904809,CARBON MONOXIDE DIFFUSING,166.00
7059918,"CARBON MONOXIDE, BLOOD",53.00
6900203,CARBOXY HGB,195.00
6804900,CARDENE 20 GM,4.00
6804892,CARDENE SR 30,4.00
3701042,CARDIOVERSION,515.00
3500125,CARDIOVERSION 5TH FLOOR,562.00
5801600,CARDIOVERSION(ELECTRICAL),562.00
5800602,CARDIOVERSION-TTP,272.00
6805766,CARDIZEM  30 MG,4.00
6803076,CARDIZEM 25 MG INJ,68.00
6804918,CARDIZEM CD 120,6.00
6804926,CARDIZEM CD 180,7.00
6804934,CARDIZEM CD 240,8.00
6804942,CARDIZEM CD 300,10.00
6814180,CARDIZEM SR 120MG CAP SA,6.00
6804959,CARDIZEM SR 60,5.00
6804967,CARDIZEM SR 90 MG,6.00
6804983,CARDURA 1 MG,5.00
6804991,CARDURA 4 MG,6.00
6412151,CARM - KUB,191.00
7060338,"CAROTENE, BETA",40.00
6810378,CARRINGTON GEL,77.00
6810386,CARRINGTON MB CREAM,27.00
6803803,CASCARA FLUIDEXT 5 ML,5.00
5821653,CAST ARM SUPPLIES,103.00
5821679,CAST LEG SUPPLIES,178.00
7100753,CAST PADDING,8.00
5509401,"CAST, ARM",180.00
5509609,"CAST, BODY SPICA",206.00
5510102,"CAST, LEG",211.00
5010913,"CAST, REMOVAL",37.00
5520903,"CAST, SHOE INSERT",103.00
7004252,"CAT SCRATCH FEVER,IGG-2",89.00
7004245,"CAT SCRATCH FEVER,IGG-I",89.00
7004278,"CAT SCRATCH FEVER,IGM-2",89.00
7004260,"CAT SCRATCH FEVER,IGM-I",89.00
6805006,CATAPRES 0.1 MG,4.00
6805014,CATAPRES 0.2 MG,4.00
6810394,CATAPRES TTS-1,41.00
6810402,CATAPRES TTS-2,68.00
6810410,CATAPRES TTS-3,77.00
7007453,CATECHOL/FRACT.RANDON URN,106.00
7059496,"CATECHOLAMINES, 24 HR.UA",108.00
7058753,"CATECHOLAMINES, FRACTIONAT. UR",155.00
7007446,"CATECHOLAMINES,FRACT.PLASMA",106.00
7034606,CATH TIP SENSITIVITY,38.00
5507603,"CATH, 2W/3W",63.00
5011085,"CATH, ARTERIAL",62.00
5521802,"CATH, CHOLANGIOGRAPHY",165.00
5011093,"CATH, EXTERNAL",18.00
5516703,"CATH, FILIFORM DISP",143.00
5522305,"CATH, FOGERTY",195.00
5011002,"CATH, FOLEY (ALL)",62.00
5505904,"CATH, INDWELLING KIT",318.00
6790307,"CATH, INSYTE",22.00
5521901,"CATH, MALLECOT",42.00
5011028,"CATH, ROB ALL PURPOSE",24.00
5507306,"CATH, STAMEY PERC",84.00
5023908,"CATH, SWAN-GANZ",324.00
5011069,"CATH, TRAY W UNIT",70.00
6790190,"CATH, TWIN 18-20",28.00
6790208,"CATH, TWIN 20-22",27.00
5508403,"CATH, UP J OCCUSION BAL",305.00
5526405,"CATH, URETERAL",55.00
5526108,"CATH, VAS. ACC.","1,416.00"
5821815,CATHETER TRAY WITH FOLEY,79.00
6302538,"CATHETER, ABCESS DRAINAGE",165.00
5010536,"CATHETER, FOLEY COUDE",39.00
5517206,"CATHETER, WORD",60.00
6817613,CATHFLO 2MG VIAL,193.00
5502109,CAUTERY OPHTALMIC,91.00
5020607,"CAUTERY, DISPOSABLE",42.00
7010267,CBC CHG,25.00
5534037,CBC II/DRAIN/BLD TR,327.00
7002504,CBC W/DIFF,36.00
7000870,CD4,201.00
7010507,CEA,97.00
6805022,CECLOR 125/5 75ML,71.00
6805030,CECLOR 250 MG,9.00
6805048,CECLOR 250/5 75 ML,120.00
6803084,CEFAZOLIN 0.5 GM,15.00
6803092,CEFAZOLIN 1 GM   *AV,56.00
6819866,CEFAZOLIN 1GM IN DEXTROSE 50ML,44.00
6811731,CEFAZOLIN 1GM VIAL,33.00
6819916,CEFAZOLIN 2GM IN DEXTOSE 50ML,44.00
6818546,CEFDINIR 300 MG CAP (OMNICEF),33.00
6803100,CEFTAZIDIME 1 GM AV,74.00
6801781,CEFTAZIDIME 2 GM  *AV,199.00
6805063,CEFTIN 250 MG,13.00
6805055,CEFTIN SUSPENSION,77.00
6801799,CEFTRIAXONE 1 GM  *AV,139.00
6800643,CEFTRIAXONE 2 GM   *AV,290.00
6801807,CEFTRIAXONE 250 MG,59.00
6819528,CEFTRIAXONE 2GM VIAL,182.00
6816664,CEFTRIAXONE 500MG,75.00
6814719,CELEBREX 100MG CAPSULE,9.00
6801805,CELESTONE SOLU 6 MG-1 ML,43.00
6818371,CELEXA 10MG TABLET,7.00
6816060,CELEXA 20 MG,16.00
7002405,CELL COUNT,56.00
5800321,CENTRA LINE INSERTION,"1,162.00"
7001050,CENTROMERE ABS,233.00
6805071,CEPASTAT 3'S,4.00
6805089,CEPHALEXIN 250 MG,6.00
6805097,CEPHALEXIN 250MG/ML,25.00
6805105,CEPHALEXIN 500 MG,13.00
7000714,CERALOPLASMIN,50.00
6813760,CEREBYX 50MG/ML PE,36.00
6813778,CEREBYX 50MG/ML PE,109.00
6801096,CERUMENEX 8 ML,60.00
6814222,CERVIDIL 10MG VAGINAL INSRT,433.00
6810428,CETACAINE SPRAY,166.00
6810436,CETAPHIL LOTION 1 PT,41.00
6820203,CHANGE TO PO AFTER 48 HOURS,0.00
6805113,CHARCOAL SUSPENSION,38.00
9400646,CHECK-OUT ORTHOTIC USE,49.00
9400466,CHECK-OUT ORTHOTIC USE,49.00
6900302,CHEST P.T. INITIAL,93.00
6909600,CHEST P.T. TX,59.00
5800325,CHEST TUBE INSERTION,"1,288.00"
3500220,CHEST TUBE INSERTION,622.00
3600228,CHEST TUBE INSERTION,622.00
3400215,CHEST TUBE INSERTION,622.00
3300209,CHEST TUBE INSERTION,622.00
3700192,CHEST TUBE INSERTION,622.00
5504956,CHILD ARM BOARD,21.00
7043201,CHLAMYDIA BY DNA PROBE,90.00
7004104,CHLAMYDIA CULTURE,105.00
7044803,CHLAMYDIA IGG,53.00
7004468,"CHLAMYDIA, IGM",56.00
7004591,"CHLAMYDIA, NAAT",148.00
6811939,CHLOR-TRIMETON 4MG TABLET,5.00
6810865,CHLORAL HYD. SUP 325MG,9.00
6805121,CHLORAL HYDRATE ELIX 5,4.00
6815815,CHLORAPHED,5.00
6805147,CHLORASEPTIC SP 6 OZ,8.00
6805154,CHLORDIAZEPOXIDE 10MG,4.00
6805162,CHLORDIAZEPOXIDE 25MG,4.00
6805170,CHLORDIAZEPOXIDE 5MG,4.00
6818884,CHLORHEXIDINE GLUCONATE 15ML U,5.00
7028202,CHLORIDE (S),25.00
7017106,CHLORIDE (U),25.00
7015803,CHLORIDE C S F,25.00
6803118,CHLOROMYCETIN 1G INJ,42.00
6812085,CHLORPROMAZINE 10MG TABLET,6.00
7028301,CHOLESTEROL TOTAL,26.00
7059157,"CHOLINESTERASE, RBC",56.00
6805196,CHROMAGEN,4.00
7004195,CHROMIUM,99.00
7050941,CHROMOGRANIN A,157.00
7049208,CHROMOSOME ANALYSIS,936.00
7025291,CHROMOSOMES LEUK/LYMPH,269.00
6813182,CILOXAN 0.3% EYE DROPS,39.00
6805204,CIPRO 250 MG,12.00
6805212,CIPRO 500 MG,14.00
6811921,CIPRO 750MG TABLET,17.00
6811764,CIPRO I.V. 10MG/ML VIAL,72.00
6811772,CIPRO I.V. 400MG/40 ML VIAL,114.00
6800650,CIPRO IV 200 MG,65.00
6800668,CIPRO IV 400 MG,119.00
6815773,CIPRO SUSP 250MG/5ML,195.00
3801701,CIRCUMCISION,246.00
7010341,"CITRIC ACID, SERUM",197.00
7001936,"CITRIC ACID, URINE",258.00
6812174,CITRUCEL PACKET S/F,4.00
7100367,CITY S'BORO FITNESS FOR DUTY,49.00
9400867,CITY S'BORO FITNESS FOR DUTY,49.00
7017502,CK MB FRACTION,78.00
6820229,CLAFORAN 1GM VIAL,18.00
6805238,CLARITAN 10 MG,9.00
6812226,CLARITIN-D 120MG/5MG TAB SA,8.00
9300021,CLAVICLE STRAP,40.00
5533740,"CLEANING BRUSH, DISP",28.00
5012646,"CLEANSER, PERINEAL",13.00
6805246,CLEOCIN 150 MG UD,5.00
6813208,CLEOCIN 2% VAGINAL CREAM,93.00
6818405,CLEOCIN ORAL SUSPENSION 75MG/5,184.00
6817845,CLINDAMYCIN 150MG/ML VIAL,14.00
6801823,CLINDAMYCIN 300 MG,43.00
6818983,CLINDAMYCIN 300MG/50ML BAG,44.00
6801831,CLINDAMYCIN 600 MG,144.00
6819031,CLINDAMYCIN 600MG/50ML BAG,51.00
6800676,CLINDAMYCIN 900 MG,191.00
6825971,CLINDAMYCIN 900MG/50ML BAG,52.00
9500332,CLINICAL EVALUATION SWALL,174.00
9500323,CLINICAL EVALUATION SWALL,174.00
6818678,CLINIMIX 4.25/10% W/E L 2000ML,340.00
6818629,CLINIMIX 5/15% W/E L 2000ML,350.00
6819668,CLINIMIX E 4.25/25% 1000ML,44.00
6805253,CLINORIL 200MG TAB,5.00
6819890,CLORAZEPATE 7.5MG TAB,19.00
7010234,CLOSTRIDIUM DIFF. CULTURE,41.00
7004302,CLOSTRIDIUM DIFFICILE TOXIN,83.00
6805279,CLOXACILLIN 250 MG CAP,4.00
7028640,CLOZARIL,100.00
9200171,CM ALS LEVEL 2,628.00
9200106,CM ALS LVL I EMERGENCY,435.00
9200163,CM ALS LVL I NONEMERGENCY,276.00
9200155,CM BLS EMERGENCY,366.00
9200122,CM BLS NON EMERGENCY,230.00
9200221,CM LVL 3 EMERGENCY,402.00
9200213,CM LVL 3 NONEMERGENCY,252.00
9200239,CM NON-COVERED MILEAGE,13.00
9200189,CM PREMIUM MILEAGE,13.00
9200197,CM SPECIALTY CARE TRANSPORT,742.00
7025138,CML FISH,553.00
7001803,CMP,54.00
7010192,"CMV AB, IGM",109.00
7013808,CMV ANTIBODY TITER,118.00
7010366,"CMV, QUANT. BY PCR",465.00
6909717,CO-OXIMETRY,51.00
7028509,CO2,25.00
5504725,COAPTITE,748.00
5504717,COAPTITE NEEDLE,129.00
7004584,COBALT,99.00
7100415,COBAN,13.00
9421058,COBAN,16.00
5504246,"COBAN BANDAGE, STERILE",27.00
5534284,COBLATOR WAND,565.00
7004377,COCAINE,60.00
7001480,COCAINE,63.00
6813117,COCAINE 4% SOLUTION,32.00
7053853,COCCIDIOIDES AB,189.00
6901102,CODE 10,444.00
6909816,CODE ASSIST,0.00
7026934,CODEINE & MORPHINE (OB),57.00
6801518,CODEINE PO4 30 MG,14.00
6801849,COGENTIN 2MG/2ML,32.00
9500224,COGNITIVE SKILLS DEVELOP,60.00
9500242,COGNITIVE SKILLS DEVELOP,60.00
9400383,COGNITIVE SKILLS DEVELOPMENT,60.00
9400252,COGNITIVE SKILLS DEVELOPMENT,60.00
6805881,COLACE 50 MG CAP,4.00
6805295,COLACE LIQ 30 ML,26.00
6805303,COLCHICINE TAB 0.6 MG,4.00
7003403,COLD AGGLUTININS,79.00
5500665,COLLAGRAFT BONE GRAFT,"2,452.00"
9300104,COLLAR (CERVICAL),24.00
5011200,"COLLAR, ICE DISP.",17.00
5020953,COLLECTION BAG,24.00
5011309,"COLLECTOR, URINE",16.00
5800420,COLLES ALUM. SPLINT,44.00
5533583,COLORADO NEEDLE,149.00
5508205,"COLOSTOMY, POST-OP KIT",195.00
6801104,COLY-MYCIN S OTTIC 5 ML,57.00
7000825,COM AG TYPED 1-3 UNITS,77.00
7000526,COM AG TYPED 11-25 UNITS,206.00
7000624,COM AG TYPED 51-75 UNITS,563.00
7000684,COM AG TYPED 76-100 UNITS,657.00
6802383,COMBIVENT INHALER,89.00
6302543,COMBO ABD & PELVIS WC,0.00
6302831,COMBO ABD & PELVIS WO & W CONT,0.00
6302056,COMBO ABD & PELVIS WOC,0.00
6403291,COMBO ESWL CHARGES,0.00
6602283,COMBO RT & LT LOWER EXTREM.JTS,0.00
7000308,COMMON AG TYPES 26-50,323.00
7000307,COMMON AG TYPES 4-10,125.00
7060346,COMMON ANTIGEN TYPES,142.00
3901303,COMMON SUTURE PER PK,26.00
9400458,COMMUNITY RE-ENTRY TRAINING,81.00
5504600,COMP HIP LAG.SCREW/PLATE,"1,639.00"
6805311,COMPAZINE 15 MG,4.00
6810873,COMPAZINE SUPPOS 25 MG,11.00
6810881,COMPAZINE SUPPOS 5 MG,9.00
7059629,COMPLEMENT C1Q,82.00
7010002,COMPLEMENT C3,85.00
7011208,COMPLEMENT C4,85.00
7003595,COMPLETE CBC,25.00
5800552,COMPLEX SUTURE ASS>16 MIN,440.00
6908982,COMPLIANCE STUDY,72.00
5704606,COMPRESSION SLEEVES,208.00
5505243,COMPUTER ASSIST NAV. PROC.,"1,468.00"
6908560,CONCHA COLUMN,48.00
6908552,CONCHA WATER,15.00
5010442,"CONDITIONER, 2-1 SKIN",12.00
5821814,CONDUM CATHETER,9.00
5012174,"CONNECTOR, 5-N-1",8.00
5010954,"CONNECTOR, SWABABLE IV",21.00
5300238,CONSCIOUS SED/EACH ADD'L 15M,49.00
5300462,CONSCIOUS SEDATION 5YR & BELOW,119.00
5300296,CONSCIOUS SEDATION 5YR & OLDER,119.00
5821064,CONSCIOUS SEDATION ADD'L 15MIN,49.00
5821058,CONSCIOUS SEDATION OLDER 5YR,119.00
5821059,CONSCIOUS SEDATION YOUNGER 5YR,119.00
5514676,CONTINUOUS FEMORAL BLOCK,"1,803.00"
7107204,CONTRAST BATH/15 MIN,65.00
7107240,CONTRAST BATH/15 MIN,65.00
9400490,CONTRAST BATHS,65.00
5534573,"CONTRAST, XRAY",40.00
6819809,CONTROLLED MED PATIENT OWN,0.00
5099999,CONVERSION DEFAULT,0.00
6908933,"COOL AEROSOL """"DAILY""""",93.00
6906606,COOL AEROSOL TRMT,93.00
7005219,COPPER URINE,63.00
7059140,"COPPER, SERUM",93.00
6908578,COR. TUBING,7.00
7058605,CORD BLOOD DIRECT COOMBS,24.00
7056807,CORD BLOOD RPR,27.00
6805329,CORDARONE 200 MG,12.00
6815369,CORDARONE 50MG/ML,78.00
6810444,CORDRAN LOTION 15 ML,116.00
6806533,COREG 25 MG,10.00
6806483,COREG 3.125 MG,6.00
6805675,COREG 6.25 MG,6.00
6805337,CORGARD 40 MG.,6.00
6805352,CORTEF 10 MG,4.00
6809933,CORTENEMA 60 ML,20.00
7017304,CORTISOL (U),93.00
7035702,"CORTISOL, SERUM",93.00
6801179,CORTISPORIN 00 3.3 G,50.00
6801161,CORTISPORIN OPHTH 5 ML,77.00
6801070,CORTISPORIN OTIC SOLUT,76.00
6810451,CORTISPORIN TOPICAL OI,116.00
6817662,CORTROSYN 0.25 MG INJECTION,280.00
6803308,CORTROSYN 0.25MG,76.00
6820039,CORVERT(IBUTILIDE)1mg/10ml INJ,964.00
6805360,CORZIDE 40/5 TAB,6.00
5821816,COUDE CATHETER,84.00
6805378,COUMADIN 1 MG,4.00
6805386,COUMADIN 10.0 MG,5.00
6805394,COUMADIN 2 MG UD,4.00
6805402,COUMADIN 2.5 MG,4.00
6816730,COUMADIN 3 MG,8.00
6805410,COUMADIN 5.0 MG,4.00
6805428,COUMADIN 7.5 MG UD,5.00
5500509,COUNTER NEEDLE,21.00
7058936,COXIELLA ANTIBODY,54.00
7058944,COXIELLA ANTIBODY-A,54.00
7058951,COXIELLA ANTIBODY-B,54.00
7058969,COXIELLA ANTIBODY-C,54.00
7058977,COXIELLA ANTIBODY-D,54.00
7058985,COXIELLA ANTIBODY-E,54.00
6815963,COZAAR 50 MG,11.00
7020506,CPK,31.00
7102678,CPM PAD KIT,106.00
5821509,CPR,370.00
6900229,CR INTRO/ORIENT/ED,0.00
5010491,"CREAM, PROTECTIVE OINTMENT",16.00
5016308,"CREAM, SHAVE",9.00
5012266,"CREAM,HYDRAGUARD PHYTOPPLEX",14.00
7028707,CREATININE (S),26.00
7013501,CREATININE CLEARAN,43.00
7012602,CREATININE(U),49.00
7059090,"CREATININE, RANDOM UA",37.00
6817449,CRESTOR 10 MG,22.00
6819262,CRESTOR 10MG TABLET,34.00
6819312,CRESTOR 20MG TABLET,34.00
7058209,CRH,31.00
5821517,CRITICAL CARE 1ST HR,789.00
5810502,CRITICAL CARE ADD'NAL 30 MIN,920.00
6814263,CRIXIVAN 400MG CAPSULE,8.00
6816433,CROFAB 1 GM,"4,336.00"
7000672,CROSSMATCH,83.00
7022700,CRP,51.00
5800633,CRUTCH,117.00
5011606,CRUTCH,133.00
7100560,"CRUTCH, INSTRUCTION",43.00
7100506,"CRUTCH, INSTRUCTION",43.00
7104227,CRUTCHES,101.00
9300013,CRUTCHES,44.00
6300259,CRYO NEEDLE KIT,"7,604.00"
7001183,CRYOGLOBULIN,27.00
7005200,CRYOPRECIPITATE,85.00
7000524,CRYPTOCOCCAL AG,65.00
7015854,CRYPTOSPORDIUM EIA,47.00
7030000,CRYSTAL EXAM,46.00
6304901,CT ABCES DR/OV/ABD.AP/NP,"1,527.00"
6302608,CT ABCESS DRAIN S&I,884.00
6302468,CT ABD & PELVIS WITH CONTRAST,"2,275.00"
6302689,CT ABD & PELVIS WO & W CONTRAS,"2,897.00"
6302965,CT ABD & PELVIS WO CONTRAST,"1,294.00"
6300362,CT ABD LIM W/O CON,763.00
6310890,CT ABD LMTED W/WO CONTRAST,757.00
6303606,CT ABD PARACEN/PERIT/NP,567.00
6302103,CT ABD W/CONTRAST,"1,505.00"
6302004,CT ABD W/O CONTRAST,"1,165.00"
6302202,CT ABD W/WO CONTRAST,"1,610.00"
6302707,CT ADD'L REC VIEWS,312.00
6300354,CT ANGIO ABDOMEN,"1,750.00"
6310833,CT ANGIO AORTO-ILIOFEM,"1,522.00"
6300339,CT ANGIO CHEST,"1,599.00"
6300313,CT ANGIO HEAD,"1,750.00"
6300321,CT ANGIO NECK,"1,522.00"
6300347,CT ANGIO PELVIS,"1,522.00"
6304802,CT BIOPSEY/LIVER/PERC/NP,872.00
6304505,CT BIOPSY/ABDOMEN/NP,872.00
6301006,CT C-SPINE,"1,561.00"
6300438,CT C-SPINE W/CONTRAST,"1,662.00"
6302856,CT CHEST & ABDOMEN W/CONTRAST,0.00
6302956,CT CHEST & ABDOMEN WO CONTRAST,0.00
6304597,"CT CHEST,ABD,& PELVIS W/CONTRA",0.00
6304925,"CT CHEST,ABD,& PELVIS WO CONTR",0.00
6305205,CT CYST DR/INJ/RENAL/NP,872.00
6305106,CT CYST DR/OVA/ABD AP/NP,"3,021.00"
6302400,CT CYST DRAINAGE S&I,797.00
6301105,CT D-SPINE,"1,201.00"
6310916,CT D-SPINE PARTIAL,529.00
6300446,CT D-SPINE W/CONTRAST,"1,324.00"
6303200,CT FACIAL (INCLUDES MID),949.00
6300222,CT FACIAL W-W/O CONTRAST,"1,142.00"
6300214,CT FACIAL W/CONTRAST,"1,252.00"
6300297,CT GUIDE & SURG/PROC.PER 1/4HR,453.00
6302972,CT HEAD & FACIAL BONES WO CONT,0.00
6302597,CT HEAD & FACIAL BONES WO CONT,0.00
6302381,CT HEAD & SINUSES WO CONTRAST,0.00
6302395,CT HEAD & SINUSES WO CONTRAST,0.00
6300404,CT HEAD W/CONTRAST,"1,060.00"
6300305,CT HEAD W/O CONTRAST,938.00
6300602,CT HEAD W/WO CONTRAST,"1,389.00"
6300503,CT HEAD/PARTIAL,469.00
6300271,CT KIDNEYS & URETERS,"1,394.00"
6301204,CT L-SPINE,"1,495.00"
6310908,CT L-SPINE PARTIAL,529.00
6300420,CT L-SPINE W/CONTRAST,"1,324.00"
6303002,CT LIMITED/FOLLOW-UP,411.00
6310866,CT LOCM 300-399 MG/ML,7.00
6310874,"CT LOCM 350-399 MG/ML IODINE,1",4.00
6310825,CT LOWER EXT LT W CON,733.00
6301923,CT LOWER EXT LT W/WO CON,883.00
6304323,CT LOWER EXT LT WO CON,768.00
6310817,CT LOWER EXT RT W CON,733.00
6301915,CT LOWER EXT RT W/WO CON,883.00
6304315,CT LOWER EXT RT WO CON,768.00
6304528,CT LUMBAR SPINE WO/W CON,"1,842.00"
6304810,CT LUNG BIOPSEY NP,"1,250.00"
6303903,CT MINI SINUSES,399.00
6300255,CT MULTIPLANAR RECONST.,0.00
6309547,"CT NECK,CHEST, & ABDOMEN WO/CO",0.00
6303562,"CT NECK,CHEST,& ABD W/CONTRAST",0.00
6302509,CT NEEDLE BIOPSY GUIDANCE,339.00
6302806,CT ORBITS,"1,147.00"
6310858,CT ORBITS W/CONTRAST,"1,054.00"
6300370,CT PELVIS LIM W/O CON,469.00
6303408,CT PELVIS W/CONTRAST,"1,142.00"
6304232,CT PELVIS W/O CONTRAST,876.00
6303597,CT PELVIS WO & W CONTRAST,"1,098.00"
6302905,CT PITUITARY W-W/O CONTRAST,"1,060.00"
6304224,CT PITUITARY W/O CONTRAST,868.00
6304208,CT POST FOSSA W/O CONTRAST,727.00
6303507,CT POSTERIOR FOSSA W-W/O CON,"1,230.00"
6302410,CT SINUS W/O & W/CONTRAST,"1,142.00"
6300206,CT SINUS W/O CONTRAST,"1,249.00"
6304269,CT ST NECK & CHEST W/CONTRAST,0.00
6304283,CT ST NECK & CHEST W/CONTRAST,0.00
6303567,CT ST NECK & CHEST WO CONTRAST,0.00
6303582,CT ST NECK & CHEST WO CONTRAST,0.00
6304524,"CT ST NECK,CHEST,ABD,PELVIS W/",0.00
6304827,"CT ST NECK,CHEST,ABD,PELVIS WO",0.00
6300230,CT ST TIS. NECK W-W/O CON,"1,142.00"
6304216,CT ST TISSUE NECK W/CON,"1,438.00"
6303101,CT ST TISSUE NECK W/O CON,949.00
6303804,CT TEMPORAL BONE W/O CONTRAST,"1,389.00"
6302576,CT TEMPORAL BONES WO/W CONTRAS,"2,107.00"
6304531,CT THORACIC SPINE WO/W CON,"1,841.00"
6300800,CT THORAX W/CONTRAST,"1,277.00"
6300701,CT THORAX W/O CONTRAST,938.00
6310841,CT THORAX W/WO CON,"1,399.00"
6300909,CT THORAX/PARTIAL,804.00
6300257,CT TISSUE ABLATION MONITORING,571.00
6304000,CT TMJ'S,908.00
6301527,CT UPPER EXT LT W CON,692.00
6301626,CT UPPER EXT LT W/WO CON,883.00
6301428,CT UPPER EXT LT WO CON,"1,142.00"
6301519,CT UPPER EXT RT W CON,692.00
6301618,CT UPPER EXT RT W/WO CON,883.00
6301410,CT UPPER EXT RT WO CON,"1,142.00"
6302559,CT-L SPINE RECONTR/ FROM C/A/P,545.00
6304587,CT-MYELOGRAM CERVICAL,"2,254.00"
6304858,CT-MYELOGRAM-LUMBAR,"2,254.00"
6304689,CT-MYELOGRAM-THORACIC,"2,207.00"
6302635,CT-T SPINE RECONTR/ FROM C/A/P,545.00
6303563,CTA ABDOMEN AND PELVIS,"1,201.00"
6816557,CUBICIN 500MG,387.00
6905831,CUFF PRESSURE MANOMETER,82.00
7039407,CULTURE SENSITIVITY,30.00
7008105,"CULTURE, GENERAL",41.00
5500367,"CUP, BIPOLAR ORTHO",0.00
5012166,"CUP, SPEC. STERILE",9.00
5010368,"CUP, URINE TRI",9.00
