Facility,Description,Unit Price,
Cooper University Hospital,HEPATITIS B CORE IGM, $198.00 ,
Cooper University Hospital,HEPATITIS B CORE IGM AB  QUEST, $84.00 ,
Cooper University Hospital,HEPATITIS B DNA BATTERY," $1,066.00 ",
Cooper University Hospital,HEPATITIS B SURF AB - QUEST, $80.00 ,
Cooper University Hospital,HEPATITIS B SURF AG - QUEST, $76.00 ,
Cooper University Hospital,HEPATITIS B SURFACE ANTIBODY, $155.00 ,
Cooper University Hospital,HEPATITIS B SURFACE ANTIGEN, $210.00 ,
Cooper University Hospital,HEPATITIS B VACCINE 1ML ADULT, $185.00 ,
Cooper University Hospital,HEPATITIS BE ANTIBODY, $825.00 ,
Cooper University Hospital,HEPATITIS BE ANTIGEN, $168.00 ,
Cooper University Hospital,HEPATITIS C AB, $54.00 ,
Cooper University Hospital,HEPATITIS C ANTIBODY, $356.00 ,
Cooper University Hospital,HEPATITIS C VIRAL LOAD BDNA, $961.00 ,
Cooper University Hospital,"HEPATITIS D ANTIBODY,TOTAL", $62.00 ,
Cooper University Hospital,HEPATITIS D VIRUS IGM AB, $326.00 ,
Cooper University Hospital,HEPATITIS PANEL ACUTE, $307.00 ,
Cooper University Hospital,HEPATOBILIARY IMAGE," $1,666.00 ",
Cooper University Hospital,HEPATOBILIARY IMAGE WITH DRUG," $1,666.00 ",
Cooper University Hospital,HEPLISAV B VACCINE 0.5ML, $508.00 ,
Cooper University Hospital,"HER2 FISH,MULTIPLEX PROBE", $734.00 ,
Cooper University Hospital,"HER2 IHC, GASTRIC TUMOR", $285.00 ,
Cooper University Hospital,HEROIN CONFIRM, $116.00 ,
Cooper University Hospital,HEROIN/METABOLITES SCREEN, $192.00 ,
Cooper University Hospital,HERPES 1 ANTIGEN BY PCR*," $1,213.00 ",
Cooper University Hospital,HERPES 2 ANTIGEN BY PCR*," $1,213.00 ",
Cooper University Hospital,HERPES ANTIGEN DFA, $257.00 ,
Cooper University Hospital,HERPES SIMPLEX 1&2, $628.00 ,
Cooper University Hospital,HERPES SIMPLEX VIRUS AMP PROBE, $67.00 ,
Cooper University Hospital,HERPES SIMPLEX VIRUS CULTURE, $111.00 ,
Cooper University Hospital,"HERPES SIMPLEX VIRUS,AMP PROBE", $657.00 ,
Cooper University Hospital,HERPES VIRAL CULTURE, $375.00 ,
Cooper University Hospital,HERPES VIRUS 6 DNA PCR, $644.00 ,
Cooper University Hospital,HERPES VIRUS 6 PCR QT," $1,032.00 ",
Cooper University Hospital,HESX1 GENE SEQUENCING," $6,615.00 ",
Cooper University Hospital,HETEROPHILE ANTIBODY, $110.00 ,
Cooper University Hospital,HEXAGONAL PHOSPHOLIPID, $105.00 ,
Cooper University Hospital,HEXOKINASE (MAYO), $902.00 ,
Cooper University Hospital,HFE GENE ANALYSIS, $363.00 ,
Cooper University Hospital,HGB A1C, $37.00 ,
Cooper University Hospital,HGB A2 AND F (MAYO), $902.00 ,
Cooper University Hospital,HGB ELECTRPHORRESIS (MAYO), $643.00 ,
Cooper University Hospital,HIP BIL MIN 2 VIEW INC AP PELV," $1,529.00 ",
Cooper University Hospital,HIP OPERATIVE PROCEDURE, $498.00 ,
Cooper University Hospital,HIP UNILAT COMP MIN 2 VIEWS, $249.00 ,
Cooper University Hospital,HIP UNILATERAL 1 VIEW, $226.00 ,
Cooper University Hospital,HIP UNILATERAL W/PELVIS 1VIEW, $315.00 ,
Cooper University Hospital,HIP UNILATERAL W/PELVIS 2-3VIEWS,,
Cooper University Hospital,HIP UNILATERAL W/PELVIS 4VIEWS, $476.00 ,
Cooper University Hospital,HIPS & PELVIS PEDS MIN 2 VIEWS, $767.00 ,
Cooper University Hospital,HIPS BILATERAL W/PELVIS 2VIEWS, $454.00 ,
Cooper University Hospital,HIPS BILATERAL W/PELVIS 3/4VIE, $523.00 ,
Cooper University Hospital,HIPS BILATERAL W/PELVIS 5VIEWS, $907.00 ,
Cooper University Hospital,HISTAMINE, $367.00 ,
Cooper University Hospital,HISTO - DECALS, $167.00 ,
Cooper University Hospital,HISTO - FROZEN SEC EACH ADDITI, $275.00 ,
Cooper University Hospital,HISTO - FROZENS, $355.00 ,
Cooper University Hospital,HISTO - IMMUNOCYTOCHEMISTRY, $557.00 ,
Cooper University Hospital,HISTO - STAINS - I, $306.00 ,
Cooper University Hospital,HISTO - STAINS II, $548.00 ,
Cooper University Hospital,HISTO OR CYTO CHEM ENZYME UPMC," $1,616.00 ",
Cooper University Hospital,HISTOCHEM STAIN FRZN SECT UPMC, $586.00 ,
Cooper University Hospital,HISTOLOGY SURGICAL LEVEL I, $184.00 ,
Cooper University Hospital,HISTOLOGY SURGICAL LEVEL II, $380.00 ,
Cooper University Hospital,HISTOLOGY SURGICAL LEVEL III, $266.00 ,
Cooper University Hospital,HISTOLOGY SURGICAL LEVEL IV, $378.00 ,
Cooper University Hospital,HISTOLOGY SURGICAL LEVEL V," $1,480.00 ",
Cooper University Hospital,HISTOLOGY SURGICAL LEVEL VI," $1,339.00 ",
Cooper University Hospital,HISTOPLASMA ANTIBODY, $259.00 ,
Cooper University Hospital,"HISTOPLASMA ANTIGEN, URINE", $533.00 ,
Cooper University Hospital,HIT (PF4) AB SCREEN, $467.00 ,
Cooper University Hospital,HIV 1 AB, $31.00 ,
Cooper University Hospital,"HIV 1 AB, MULTISPOT", $72.00 ,
Cooper University Hospital,HIV 1 ANTIBODY, $122.00 ,
Cooper University Hospital,HIV 1 INTEGRASE GENOTYPE, $420.00 ,
Cooper University Hospital,HIV 1 P24 AG, $58.00 ,
Cooper University Hospital,HIV 1&2 RAPID TEST, $458.00 ,
Cooper University Hospital,HIV 2 AB, $35.00 ,
Cooper University Hospital,"HIV 2 AB,MULTISPOT", $72.00 ,
Cooper University Hospital,HIV ANTIBODY, $458.00 ,
Cooper University Hospital,HIV RNA VIRAL LOAD QUANT BDNA," $1,823.00 ",
Cooper University Hospital,HIV WESTERN BLOT, $279.00 ,
Cooper University Hospital,"HIV1 AG W/HIV1,HIV2 AB", $84.00 ,
Cooper University Hospital,"HIV1 DNA GENOTYPE,OTHER REGION"," $3,832.00 ",
Cooper University Hospital,HIV-1 DNA PCR," $1,661.00 ",
Cooper University Hospital,HIV1 GENOTYPE ANAL DNA," $1,490.00 ",
Cooper University Hospital,"HIV1 RNA, QL, TMA", $596.00 ,
Cooper University Hospital,HIV-1 VIRAL LOAD QUANT PCR, $311.00 ,
Cooper University Hospital,"HIV1&HIV2,SINGLE RESULT", $45.00 ,
Cooper University Hospital,HIV-2 QL PCR, $866.00 ,
Cooper University Hospital,HLA B27, $433.00 ,
Cooper University Hospital,HLA B51 AG, $626.00 ,
Cooper University Hospital,HLA B7501 TYPING, $913.00 ,
Cooper University Hospital,HLA CLASS 1 ABC DNA TYPING, $965.00 ,
Cooper University Hospital,"HLA CLASS I LOW RES, 1 AG", $676.00 ,
Cooper University Hospital,"HLA CLASSII,HIGH RES,ONE LOCUS", $404.00 ,
Cooper University Hospital,HLA CYTOTOXIC AB - ARC PROC," $1,029.00 ",
Cooper University Hospital,HLA DRB1 CLASS II DNA TYPING, $399.00 ,
Cooper University Hospital,HLA TYPING - ARC PROC, $457.00 ,
Cooper University Hospital,HLA-DR TYPING - ARC PROC," $2,275.00 ",
Cooper University Hospital,HLA-DR/DQ LOW RESOLUTION," $1,249.00 ",
Cooper University Hospital,HLA-DR4, $607.00 ,
Cooper University Hospital,"HLAII TYPE,HIGH RES ONE ALLELE", $221.00 ,
Cooper University Hospital,"HLAII TYPE,LOW RES ONE ANTIGEN", $221.00 ,
Cooper University Hospital,HOLTER MONITOR," $1,380.00 ",
Cooper University Hospital,HOMOCYSTEINE, $144.00 ,
Cooper University Hospital,"HOMOGENIZATION,TISSUE", $57.00 ,
Cooper University Hospital,"HOMOVANILLIC ACID, URINE 24HR", $324.00 ,
Cooper University Hospital,HPA-1 GENOTYPING (NYBC), $221.00 ,
Cooper University Hospital,HPA-15 GENOTYPING (NYBC), $221.00 ,
Cooper University Hospital,HPA-2 GENOTYPING (NYBC), $221.00 ,
Cooper University Hospital,HPA-3 GENOTYPING (NYBC), $221.00 ,
Cooper University Hospital,HPA-4 GENOTYPING (NYBC), $221.00 ,
Cooper University Hospital,HPA-5 GENOTYPING (NYBC), $221.00 ,
Cooper University Hospital,HPA-6 GENOTYPING (NYBC), $221.00 ,
Cooper University Hospital,HPA-9 GENOTYPING (NYBC), $221.00 ,
Cooper University Hospital,HPV AMPLIFIED PROBE LOW RISK, $534.00 ,
Cooper University Hospital,"HPV GENOTYPES 16, 18", $115.00 ,
Cooper University Hospital,HPV HIGH RISK BY PCR, $272.00 ,
Cooper University Hospital,HPV TYPING  HIGH RISK, $593.00 ,
Cooper University Hospital,HSV 1 IGM AB, $102.00 ,
Cooper University Hospital,HSV 1&2 PCR QT, $397.00 ,
Cooper University Hospital,HSV 2 IGG ANTIBODY, $63.00 ,
Cooper University Hospital,HSV 2 IGM AB, $146.00 ,
Cooper University Hospital,HU ANTIBODY, $424.00 ,
Cooper University Hospital,HUMAN ERYTHROCYTE AG GENE ANA," $1,434.00 ",
Cooper University Hospital,HUMAN METAPNEUMOVIRUS BY PCR, $132.00 ,
Cooper University Hospital,"HUMAN PAPILLOMA VIRUS VAC,QUAD", $635.00 ,
Cooper University Hospital,"HUMAN PAPILLOMA VIRUS VAX,9VAL", $840.00 ,
Cooper University Hospital,HUMAN PLACENTAL LACTOGEN, $499.00 ,
Cooper University Hospital,HUMAN PLT ANTIGEN 1 GENOTYPE, $508.00 ,
Cooper University Hospital,HUMAN PLT ANTIGEN 2 GENOTYPE, $508.00 ,
Cooper University Hospital,HUMAN PLT ANTIGEN 3 GENOTYPE, $508.00 ,
Cooper University Hospital,HUMAN PLT ANTIGEN 4 GENOTYPE, $508.00 ,
Cooper University Hospital,HUMAN PLT ANTIGEN 5 GENOTYPE, $508.00 ,
Cooper University Hospital,HUNTINGTON DISEASEMUTATION AN," $1,108.00 ",
Cooper University Hospital,HYDRALAZINE 20MG/ML 1ML VIAL, $36.00 ,
Cooper University Hospital,"HYDROCODONE METABOLITE,URINE", $557.00 ,
Cooper University Hospital,HYDROCORTISONE 250MG/2ML INJ, $19.00 ,
Cooper University Hospital,HYDROMORPHONE 2MG INJ, $41.00 ,
Cooper University Hospital,"HYDROXYINDOLEACETIC ACID,5", $49.00 ,
Cooper University Hospital,"HYDROXYPROLONE,PLASMA", $320.00 ,
Cooper University Hospital,HYDROXYZINE 100MG/2ML INJ, $11.00 ,
Cooper University Hospital,HYDROXYZINE HCL 25MG TAB, $3.00 ,
Cooper University Hospital,HYSTEROSALPINGIOGRAM *," $1,375.00 ",
Cooper University Hospital,HYSTEROSCOPY BX ENDOMETRIUM&/POLYPC W/WO D&C," $8,945.00 ",
Cooper University Hospital,HYSTEROSCOPY DIAGNOSTIC SEPARATE PROCEDURE," $8,945.00 ",
Cooper University Hospital,I & D ABSCESS SIMPLE/SINGLE, $501.00 ,
Cooper University Hospital,I&D ABSCESS PERITONSILLAR," $1,168.00 ",
Cooper University Hospital,I&D BARTHOLIN GLAND ABSCESS, $578.00 ,
Cooper University Hospital,I&D DEEP ABSC BURSA/HEMATOMA THIGH/KNEE REGION," $10,956.00 ",
Cooper University Hospital,"I&D EPID,TESTIS,AND/OR SCROTAL"," $8,017.00 ",
Cooper University Hospital,I&D HEMA SEROMA FLUID COLLEC," $3,776.00 ",
Cooper University Hospital,I&D PENIS DEEP," $6,353.00 ",
Cooper University Hospital,I&D PERIANAL ABSCESS SUPERFICIAL," $2,865.00 ",
Cooper University Hospital,I&D PERIRECTAL ABSCESS," $7,782.00 ",
Cooper University Hospital,I&D VULVA OR PERINEAL ABSCESS, $912.00 ,
Cooper University Hospital,I131 UPTAKE, $830.00 ,
Cooper University Hospital,IABP CATHETER," $4,008.00 ",
Cooper University Hospital,IABP INSERTION," $8,140.00 ",
Cooper University Hospital,IABP REMOVAL, $160.00 ,
Cooper University Hospital,IBUPROFEN 400MG TAB, $7.00 ,
Cooper University Hospital,ICD ADJUST PRE/POST SC/DC/BV, $587.00 ,
Cooper University Hospital,ICD ANAL DC W/PROG, $646.00 ,
Cooper University Hospital,ICD ANAL SC W/PROG, $646.00 ,
Cooper University Hospital,ICD ANALY BIV W/REPROGRAM, $646.00 ,
Cooper University Hospital,ICD ANALYSIS ONLY (IN PERSON), $416.00 ,
Cooper University Hospital,ICD EP EVAL-IMPLANT," $35,948.00 ",
Cooper University Hospital,ICD EP EVAL-NIPS," $35,948.00 ",
Cooper University Hospital,ID KIT (ANAEROBE), $187.00 ,
Cooper University Hospital,"ID,HAEM QUAD", $193.00 ,
Cooper University Hospital,"ID,KIT (AEROBE)", $193.00 ,
Cooper University Hospital,IDH 1 OR IDH 2 VARIANTS, $873.00 ,
Cooper University Hospital,IGE, $212.00 ,
Cooper University Hospital,IGF BINDING PROTEIN 3, $142.00 ,
Cooper University Hospital,IGG AGGLUTININ*, $145.00 ,
Cooper University Hospital,IGH @ GENE REARRANGEMENT," $1,307.00 ",
Cooper University Hospital,IGH @ MUTATION ANALYSIS, $970.00 ,
Cooper University Hospital,IGK @ GENE REARRANGEMENT," $1,307.00 ",
Cooper University Hospital,IHC SENDOUT CPT 88342, $296.00 ,
Cooper University Hospital,IKBKAP (FAM DYS) GENE ANALYSIS, $882.00 ,
Cooper University Hospital,IL28B VARIANT, $486.00 ,
Cooper University Hospital,"ILEO,THRU STOMA W/WO COLLECTIO"," $2,944.00 ",
Cooper University Hospital,ILEOSCOPY STOMA W/BX SINGLE/MULTIPLE," $3,504.00 ",
Cooper University Hospital,IMAGE FLUID COLLXN DRAINAG CATH TRANSREC/VAGINAL," $6,483.00 ",
Cooper University Hospital,IMAGE LIVER/SPLEEN W VASC FLOW," $1,858.00 ",
Cooper University Hospital,IMIPRAMINE, $280.00 ,
Cooper University Hospital,IMMUNE ADMIN ORAL/NASAL, $140.00 ,
Cooper University Hospital,IMMUNE CELL FUNCTION," $1,001.00 ",
Cooper University Hospital,IMMUNE COMPLEX C1Q, $92.00 ,
Cooper University Hospital,IMMUNOASSAY INFECT AGENT EA AN, $118.00 ,
Cooper University Hospital,IMMUNOASSAY NOS, $308.00 ,
Cooper University Hospital,IMMUNOASSAY QUANT*, $107.00 ,
Cooper University Hospital,IMMUNOFIX ELECTROPHORESIS OTHR, $246.00 ,
Cooper University Hospital,IMMUNOFIXELECTROPHORESIS SERUM, $246.00 ,
Cooper University Hospital,IMMUNOFLUORESCENCE-COLUMBIA, $439.00 ,
Cooper University Hospital,IMMUNOFLUORESCENT, $257.00 ,
Cooper University Hospital,IMMUNOFLUROESCENCE EA ADDTL, $257.00 ,
Cooper University Hospital,IMMUNOFLUROESCENCE EA ADDTL COLU, $399.00 ,
Cooper University Hospital,IMMUNOGLOBULIN A *, $168.00 ,
Cooper University Hospital,IMMUNOGLOBULIN G *, $168.00 ,
Cooper University Hospital,IMMUNOGLOBULIN M *, $168.00 ,
Cooper University Hospital,IMMUNOGLOBULINS EACH, $110.00 ,
Cooper University Hospital,"IMMUNOGLOBULINS G,A,M EACH", $168.00 ,
Cooper University Hospital,"IMMUNOHISCHEM,EA ADDTL AB STAI", $660.00 ,
Cooper University Hospital,"IMMUNOHISTOCHEM,EA MULTIPLEX A"," $1,019.00 ",
Cooper University Hospital,IMMUNOHISTOCHEMISTRY - UPMC, $494.00 ,
Cooper University Hospital,IMMUNOHISTOCHEMISTRY EA ADD AB, $545.00 ,
Cooper University Hospital,IMPACT GLUTAMINE, $100.00 ,
Cooper University Hospital,IMPACT TOOTH REMOV PART BONY," $3,641.00 ",
Cooper University Hospital,IMPEDANCE, $237.00 ,
Cooper University Hospital,IMPEDANCE & ACOUSTIC REFLEXTST, $499.00 ,
Cooper University Hospital,IMPELLA CATHETER CAD 2.5," $121,643.00 ",
Cooper University Hospital,IMPLANT + EXPLANT ICD DC GEN," $83,923.00 ",
Cooper University Hospital,IMPLANT + EXPLANT ICD MC GEN," $83,923.00 ",
Cooper University Hospital,IMPLANT + EXPLANT PPG DC GEN," $36,965.00 ",
Cooper University Hospital,IMPLANT + EXPLANT PPG MC GEN," $36,965.00 ",
Cooper University Hospital,IMPLANT + EXPLANT PPG SC GEN," $33,255.00 ",
Cooper University Hospital,IMPLANT DC ICD (NO LEADS)," $98,733.00 ",
Cooper University Hospital,IMPLANT LOOP RECORDER," $26,501.00 ",
Cooper University Hospital,IMPLANT SPINAL CANAL CATH," $18,211.00 ",
Cooper University Hospital,IMPLANTABLE LOOP RECORDER SJM," $21,872.00 ",
Cooper University Hospital,IMPLANTABLE TISSUE MARKER GOLD CERV, $123.00 ,
Cooper University Hospital,IMRT TREATMENT PLAN," $7,027.00 ",
Cooper University Hospital,IMRT TREATMENT PLAN RP," $8,081.00 ",
Cooper University Hospital,IMRT W/GUIDANCE COMPLEX," $3,773.00 ",
Cooper University Hospital,IMRT W/GUIDANCE SIMPLE," $3,773.00 ",
Cooper University Hospital,IN SITU HYBRID EA ADDTL PROBE, $284.00 ,
Cooper University Hospital,IN SITU HYBRIDIZATION EACH PRO, $323.00 ,
Cooper University Hospital,INCISION & DRAINAGE PILONIDAL CYST COMPLICATED," $2,313.00 ",
Cooper University Hospital,INCISION & DRAINAGE PILONIDAL CYST SIMPLE," $2,313.00 ",
Cooper University Hospital,INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE," $1,231.00 ",
Cooper University Hospital,INCISION DRAINAGE POSTOP WOUND," $6,347.00 ",
Cooper University Hospital,INCISION PROCEDURE EYELIDS," $7,299.00 ",
Cooper University Hospital,INCISION THROMBOSED HEMORRHOID EXTERNAL," $1,031.00 ",
Cooper University Hospital,INCISIONAL BIOPSY EYELID SKIN & LID MARGIN," $1,262.00 ",
Cooper University Hospital,INDEFLATOR PRIORITY PAK 20/20, $275.00 ,
Cooper University Hospital,INDUCT ARRYTHMIA ELECTRIC PACE," $4,588.00 ",
Cooper University Hospital,INF AGENT DRUG SUSC PHENOTYPE," $1,368.00 ",
Cooper University Hospital,INF AGENT RNA/DNA AMP PROBEA, $439.00 ,
Cooper University Hospital,INF AGENT RNA/DNA INFLU MULT+2, $278.00 ,
Cooper University Hospital,INF AGENT RNA/DNA INFLUENZA >2, $70.00 ,
Cooper University Hospital,INFECT AGENT RNA/DNA QT, $263.00 ,
Cooper University Hospital,INFLIXIMAB ANTIBODY, $750.00 ,
Cooper University Hospital,INFLIXIMAB LEVEL, $750.00 ,
Cooper University Hospital,"INFLUENZA A AG, DFA", $51.00 ,
Cooper University Hospital,INFLUENZA A OR B, $278.00 ,
Cooper University Hospital,INFLUENZA A SUBTYPE H3 BY PCR, $70.00 ,
Cooper University Hospital,INFLUENZA ANTIBODY, $217.00 ,
Cooper University Hospital,"INFLUENZA B AG, DFA", $51.00 ,
Cooper University Hospital,INFLUENZA VIRUS VACCINE 0.5ML, $79.00 ,
Cooper University Hospital,"INFLUENZA VIRUS VACCINE, QUAD(IIV4) 0.5ML", $78.00 ,
Cooper University Hospital,INFUSE NON-THROMBO," $6,795.00 ",
Cooper University Hospital,INFUSION/INSTILL RADIOELEMENT, $798.00 ,
Cooper University Hospital,INGEVITY LEAD 45CM MRI PFRET," $2,073.00 ",
Cooper University Hospital,INGEVITY LEAD 52CM MRI PFRET," $2,073.00 ",
Cooper University Hospital,INGEVITY LEAD 59CM MRI PFRET," $2,073.00 ",
Cooper University Hospital,INHAL THERP/SPUTUM INDUCT INITIAL, $599.00 ,
Cooper University Hospital,INHALATION CHALLENGE W/AGENT," $1,427.00 ",
Cooper University Hospital,INHALATION THERAPY 1ST HOUR, $327.00 ,
Cooper University Hospital,INHALATION THERAPY EACH ADD HR, $373.00 ,
Cooper University Hospital,INHIBIN A, $152.00 ,
Cooper University Hospital,INHIBIN B, $521.00 ,
Cooper University Hospital,INITIAL MGT VENO ARTERIAL ECMO," $1,803.00 ",
Cooper University Hospital,INITIAL MGT VENO VENOUS ECMO/E," $1,631.00 ",
Cooper University Hospital,INJ ANES AGENT BRACH/PLEXUS SI," $4,263.00 ",
Cooper University Hospital,INJ ANES AGNT NERVE/BRANCH," $1,517.00 ",
Cooper University Hospital,"INJ ANES AGT,SCIATIC NERVE SIN"," $2,792.00 ",
Cooper University Hospital,INJ BLOCK AXILLARY NERVE," $2,760.00 ",
Cooper University Hospital,INJ CHOLANG TRANSHEPATIC," $11,291.00 ",
Cooper University Hospital,INJ EA ADDL VACCINE SINGLE/COM, $39.00 ,
Cooper University Hospital,INJ EPIDURAL BLOOD CLOT/PATCH," $2,969.00 ",
Cooper University Hospital,INJ EPIDURAL/LUMBAR/SACRAL-CAU," $3,100.00 ",
Cooper University Hospital,INJ FACET JNT CERV/THOR 1STLVL," $2,879.00 ",
Cooper University Hospital,INJ FACET JNT CERV/THOR 2NDLVL," $1,070.00 ",
Cooper University Hospital,INJ FACET JNT CERV/THX 3RD/EA+," $1,070.00 ",
Cooper University Hospital,INJ FACET JNT LUMB/SACR 1STLVL," $2,879.00 ",
Cooper University Hospital,INJ FACET JNT LUMB/SACR 2NDLVL," $1,070.00 ",
Cooper University Hospital,INJ FACET JNT LUMB/SACR 3RD+EA," $1,070.00 ",
Cooper University Hospital,INJ FOR ANTEGRD NEPHR EXT," $2,722.00 ",
Cooper University Hospital,INJ FOR ANTEGRD NEPHROSTG," $2,104.00 ",
Cooper University Hospital,INJ FOR CHOLANGIOGRAM," $3,267.00 ",
Cooper University Hospital,INJ FOR EVAL PERITON-VEN," $3,562.00 ",
Cooper University Hospital,INJ FOR URETEROGRAPHY, $299.00 ,
Cooper University Hospital,INJ PERC TREAT EXTREM PS, $805.00 ,
Cooper University Hospital,INJ SUPERIOR HYPOGASTRIC PLEXU, $854.00 ,
Cooper University Hospital,INJ SYMPATHETIC LUMBAR/THORACI," $2,966.00 ",
Cooper University Hospital,"INJ,ANES AGNT CELIAC PLEX W/WO"," $3,666.00 ",
Cooper University Hospital,INJECT  SENTINEL NODE, $843.00 ,
Cooper University Hospital,INJECT ANESTH AGENT;TRIGEMINAL, $806.00 ,
Cooper University Hospital,INJECT CONTRAST PERITONE, $763.00 ,
Cooper University Hospital,INJECT CYSTO OR VOID URETHRO, $564.00 ,
Cooper University Hospital,INJECT FOR MAMMARY DUCTOGRAM, $561.00 ,
Cooper University Hospital,INJECT FOR RETRO URETHROCYSTO, $302.00 ,
Cooper University Hospital,INJECT NERVE BLOCK CERV PLEXUS," $3,726.00 ",
Cooper University Hospital,INJECT NERVE BLOCK FACIAL NRVE," $1,017.00 ",
Cooper University Hospital,INJECT NERVE BLOCK FEMORAL NER, $819.00 ,
Cooper University Hospital,INJECT NERVE BLOCK ILIOINGUINA," $1,549.00 ",
Cooper University Hospital,INJECT NERVE BLOCK PUDENDAL," $2,966.00 ",
Cooper University Hospital,INJECT NERVE BLOCK SUPRASCAPUL," $1,620.00 ",
Cooper University Hospital,INJECT PROC ELBOW ARTHRO*, $194.00 ,
Cooper University Hospital,INJECT PROC HIP ARTHRO*, $173.00 ,
Cooper University Hospital,INJECT PROC KNEE ARTHRO*, $206.00 ,
Cooper University Hospital,INJECT PROC MYELO LUMBAR PUNC," $5,552.00 ",
Cooper University Hospital,INJECT PROC SHOULDER ARTHRO *, $710.00 ,
Cooper University Hospital,INJECT PROC VENOGRAPHY," $2,701.00 ",
Cooper University Hospital,INJECT PROC WRIST ARTHRO*, $132.00 ,
Cooper University Hospital,INJECT SAC IL JNT ANES/S," $3,072.00 ",
Cooper University Hospital,INJECT SINGLE EPID CERV/THX," $3,260.00 ",
Cooper University Hospital,"INJECT,SINGLE TENDON ORIG/INSE", $931.00 ,
Cooper University Hospital,INJECTION FOR MAMMARY DUCTOGRA, $477.00 ,
Cooper University Hospital,INJECTION INTRA-ARTERIAL, $215.00 ,
Cooper University Hospital,INJECTION INTRALESIONAL >7 LESIONS, $796.00 ,
Cooper University Hospital,INJECTION INTRALESIONAL UP TO & INCLUD 7 LESIONS, $796.00 ,
Cooper University Hospital,INJECTION PX DISCOGRAPHY EACH LEVEL LUMBAR," $1,372.00 ",
Cooper University Hospital,INJECTION PX DISCOGRPHY EA LVL CERVICAL/THORACIC," $1,614.00 ",
Cooper University Hospital,INJECTION SINUS TRACT," $2,694.00 ",
Cooper University Hospital,INJECTION SUBQ OR INTRAMUSCULA, $212.00 ,
Cooper University Hospital,INPPL1 GENE ANALYSIS, $882.00 ,
Cooper University Hospital,INSERT BIV LEAD TO BIV DEVICE," $50,125.00 ",
Cooper University Hospital,INSERT BIV LEAD WITH BIV DEVIC," $56,732.00 ",
Cooper University Hospital,"INSERT BLADDER CATH, STRAIGHT", $496.00 ,
Cooper University Hospital,"INSERT BLADDER CATH,COMPLEX", $893.00 ,
Cooper University Hospital,INSERT CATH PLEURA W/IMAGE," $2,559.00 ",
Cooper University Hospital,INSERT CATH PLEURA W/O IMAGE," $2,058.00 ",
Cooper University Hospital,INSERT CATHETER ARTERY," $2,217.00 ",
Cooper University Hospital,INSERT CERVICAL DILATOR, $500.00 ,
Cooper University Hospital,INSERT CVAD W PORT >5YRS," $8,388.00 ",
Cooper University Hospital,INSERT CVP 2CATHS 2 SITES," $10,596.00 ",
Cooper University Hospital,INSERT DRAIN/INJ RENAL," $7,201.00 ",
Cooper University Hospital,INSERT DRUG IMPLANT DEVICE, $247.00 ,
Cooper University Hospital,INSERT DUODENOSTOMY TUBE IN," $5,534.00 ",
Cooper University Hospital,INSERT ELECTRODE INTO DC ICD O," $18,283.00 ",
Cooper University Hospital,INSERT ELECTRODE INTO SC ICD O," $8,538.00 ",
Cooper University Hospital,INSERT HEPATIC SHUNT," $5,590.00 ",
Cooper University Hospital,INSERT ICD SC OR DC WITH LEADS," $119,666.00 ",
Cooper University Hospital,INSERT INTRAPERITONEAL CANNULA," $11,148.00 ",
Cooper University Hospital,INSERT INTRAUTERINE DEVICE, $461.00 ,
Cooper University Hospital,INSERT IVC FILTER PERCUTANEOUS," $14,394.00 ",
Cooper University Hospital,INSERT NON-TUNNELED CVC <5YRS," $3,810.00 ",
Cooper University Hospital,INSERT NON-TUNNELED CVC >5YRS," $3,751.00 ",
Cooper University Hospital,INSERT OF INDWELL CATH/LMBR/SAC W/O IMG," $3,168.00 ",
Cooper University Hospital,INSERT OF TANDEMS & OVOIDS," $4,814.00 ",
Cooper University Hospital,INSERT OF TANDEMS & OVOIDS RP," $4,091.00 ",
Cooper University Hospital,INSERT PACER DC GENERATOR ONLY," $39,469.00 ",
Cooper University Hospital,INSERT PACER GEN +A & V ELECTR," $40,293.00 ",
Cooper University Hospital,INSERT PACER GEN +A ELECTRODE," $52,113.00 ",
Cooper University Hospital,INSERT PACER GEN +V ELECTRODE," $32,948.00 ",
Cooper University Hospital,INSERT PACER MC GENERATOR ONLY," $36,965.00 ",
Cooper University Hospital,INSERT PERC DRAIN/STENT," $10,831.00 ",
Cooper University Hospital,INSERT PERIPH(PICC) WO PUMP <5," $3,687.00 ",
Cooper University Hospital,INSERT PERIPH(PICC) WO PUMP >5," $3,827.00 ",
Cooper University Hospital,INSERT PLEURAL CATHETER," $12,240.00 ",
Cooper University Hospital,INSERT TEMP INDWELLING CATH, $540.00 ,
Cooper University Hospital,INSERT VAD ART ASST DEV PERCUT," $7,370.00 ",
Cooper University Hospital,INSERT VAGINAL RADIATION APPAR," $1,159.00 ",
Cooper University Hospital,INSERT VAGINAL RADIATION APPAR RP," $2,449.00 ",
Cooper University Hospital,INSERT/PLACE CATH SWAN GANZ," $3,661.00 ",
Cooper University Hospital,INSERT/RPLC SPINE NEUROSTIM PU," $130,073.00 ",
Cooper University Hospital,INSERTION OF SPINAL CORD STIM," $19,799.00 ",
Cooper University Hospital,INSERTION SUPRAPUBIC CATHETER," $6,420.00 ",
