Description,2019 Price
DRILL BIT-3.1 X 204MM AXSOS,348.00
DRILL BIT-3.2MM CMP FT CALIBRATED,488.00
DRILL BIT-3.2MM X 145MM,54.00
DRILL BIT-3.2MM X 145MM,467.00
DRILL BIT-3.2MM X 315MM,665.00
DRILL BIT-3.5 X 230MM ,600.00
DRILL BIT-3.5MM,198.00
DRILL BIT-3.5MM X 110MM,54.00
DRILL BIT-3.5MM X 122MM AO FITTING,304.00
DRILL BIT-3.5MM X 125MM,380.00
DRILL BIT-3.5MM/110MM QUICK COUPLING,53.00
DRILL BIT-4.0MM,313.00
DRILL BIT-4.0MM CANNULATED,488.00
DRILL BIT-4.0MM CANNULATED COUNTERSINK,375.00
DRILL BIT-4.0MM CANNULATED W/AO COUPLING,"1,044.00"
DRILL BIT-4.2 X 130MM AO,600.00
DRILL BIT-4.2 X 340MM AO,600.00
DRILL BIT-4.3MM X 315MM,689.00
DRILL BIT-4.5/6.5MM FIT,579.00
DRILL BIT-4.5MM,168.00
DRILL BIT-4.5MM,198.00
DRILL BIT-4.5MM X 145MM,53.00
DRILL BIT-5.0 X 230MM AO,600.00
DRILL BIT-5.5MM,198.00
DRILL BIT-AO 2.0MM X 135MM SCALED,563.00
DRILL BIT-AO 2.6MM X 135MM SCALED,563.00
DRILL BIT-ASNIS III CANNULATED 4.9MM AO,"1,449.00"
DRILL BIT-ASNIS III CANNULATED 5.6MM LG AO,"1,449.00"
DRILL BIT-CANNULATED 2.5MM,438.00
DRILL BIT-CANNULATED 3.0MM,438.00
DRILL BIT-CANNULATED 4.3MM,438.00
DRILL BIT-ISO 1.6MM,595.00
DRILL BIT-LOCKING SHORT 3.1 X 216MM,519.00
DRILL BIT-MEDIUM LOCKING 4.3 X 296MM,589.00
DRILL BIT-MINI QUICK COUPLING 1.1MM,155.00
DRILL BIT-MINI QUICK COUPLING 1.5MM,155.00
DRILL BIT-MINI QUICK COUPLING 1.8MM,155.00
DRILL BIT-MINI QUICK COUPLING 2.0MM,155.00
DRILL BIT-NON LOCKING SHORT 2.5 X 216MM,867.00
DRILL BIT-Q-C 2.0 X 100,189.00
DRILL BIT-Q-C 2.5 X 110,189.00
DRILL BIT-Q-C 2.7 X 100,189.00
DRILL BIT-Q-C 3.5 X 110,189.00
DRILL BIT-SHORT NON-LOCKING 3.2 X 216MM,542.00
DRILL BIT-STRYKER J-LATCH 1.5MM,155.00
"DRILL BIT-TWIST DRILL 2.8MM X 7/64""",28.00
"DRILL BIT-TWIST DRILL 4.8MM X 3/16""",28.00
DRILL CANN MINI-ACUTRACK 1.5MM ATM-078,543.00
DRILL CANN MINI-ACUTRACK LONG ATM-099,670.00
DRILL COUNTERSINK ARTHREX 4.5MM/6.7MM AR-8945CS,550.00
DRILL COUNTERSINK ARTHREX BI-CORT 6.5X70MM AR-1367,553.00
DRILL COUNTERSINK CANN 3.0/4MM,678.00
DRILL COUNTERSINK TRILLIANT CAN 2.0/2.4MM 210-24-002,563.00
DRILL COUNTERSINK TRILLIANT CAN 3.0/4.0MM 210-40-002,563.00
DRILL EXTENDER TIP 180MM 423842,"1,138.00"
DRILL FOR FIBERTAK 1.70MM,263.00
DRILL GUIDE 2.0/2.3MM CENTRIC/EXCENTRIC,933.00
DRILL GUIDE 2.3MM OVERDRILL AND K-WIRE 56-01260,"1,145.00"
DRILL GUIDE 2.7MM DCP 322.21,881.00
DRILL GUIDE ARTHREX 1.6MM/4.0MM AR-8955G,"1,000.00"
DRILL GUIDE ARTHREX 4.0MM/6.7MM AR-8967G,"1,000.00"
DRILL GUIDE ARTHREX 4.5MM AR-4164G,"1,000.00"
DRILL GUIDE DEPTH GAUGE FOR 2.0MM & 2.4MM SCR 319.006,"1,276.00"
DRILL GUIDE FIXED ANGLE 2.3/2.7MM 56-01255,"1,425.00"
DRILL GUIDE FOR 3.2MM 4.0MM SCREWS 324.176,327.00
DRILL GUIDE LC-DCP 3.5MM,"1,287.00"
DRILL GUIDE LOCKING KLS LONG THRDLK TS SCRS FOR 2.0/2.3MM,410.00
DRILL GUIDE LOCKING KLS LONG THRDLK TS SCRS FOR 2.7MM,363.00
DRILL GUIDE LOCKING KLS SHORT THRDLK TS SCRS FOR 2.0/2.3MM,410.00
DRILL GUIDE LOCKING KLS SHORT THRDLK TS SCRS FOR 2.7MM,363.00
DRILL GUIDE LONG FOR 1.5 MM TRANSBUCCAL TROCAR SYS,280.00
DRILL GUIDE LONG FOR 2.0/2.3MM TRANSBUCCAL TROCAR SYS,280.00
DRILL GUIDE LONG FOR 2.7MM THRDLK TRANSBUCCAL TROCAR SYS,280.00
DRILL GUIDE LONG FOR 2.7MM TRANSBUCCAL TROCAR SYS,384.00
DRILL GUIDE POLYAXIAL 2.3/2.7MM 56-01250,"1,170.00"
DRILL GUIDE SHORT UNIV TRANSBUCCAL TROCAR SYS,280.00
DRILL GUIDE SYN THRD 2.8MM 312.648,234.00
DRILL GUIDE SYN THRD 3.2MM 312.445,318.00
DRILL GUIDE SYN THRD 4.3MM 312.449,318.00
DRILL GUIDE SYN THREADED DEPTH GAUGE 2.0MM,"1,166.00"
DRILL GUIDE THREADED 1.8MM SHORT 323.035,241.00
DRILL GUIDE TROCAR LKS 38MM 2.0/2.7MM SYS,191.00
DRILL GUIDE UNIVERSAL  2.4MM,830.00
DRILL KIT ANCHOR BOLT 2.4MM ADTECH DDK2-2.4-30X,"2,430.00"
"DRILL PARAGON 28 2.9X140MM CAN 3/16"" SQ CON P99-110-2914",560.00
"DRILL PARAGON 28 3.5X160MM CAN 3/16"" SQ CON P99-110-3516",583.00
"DRILL PARAGON 28 4.6X220MM CAN 3/16"" SQ CON P99-110-4622",734.00
DRILL PILOT LONG 4.0MM 71631110,195.00
DRILL PIN HEADLESS TROCAR,792.00
DRILL POINT GUIDE TOCAR 3.2X09MM,59.00
DRILL POINT STRK 4.2X340MM 1806-4260S,600.00
DRILL QC 2.0MM 71173501,131.00
DRILL SHORT 4.0MM 71631117,281.00
DRILL STEP ARTHREX FOR 3.0MM KNOTLESS SUTURE TAK AR-1938D,263.00
DRILL STEP ARTHREX PUSHLOCK 3.5MM AR-1912,238.00
DRILL STERILE 6.4MM 71631035,485.00
DRILL STRK 1.6X19MMX8MM 90DEG,262.00
DRILL STRK 1.6X29MMX18MM 90DEG,262.00
DRILL STRK 1.6X85MMX26MM,318.00
DRILL STRK 1.9X19MMX8MM 90DEG,281.00
DRILL STRK 1.9X29MMX18MM 90DEG,281.00
DRILL STRK 1.9X85MMX26MM,302.00
DRILL STRK 2.0X102MM W/50MM AO SHAFT 45-27010,315.00
DRILL STRK 2.0X62MMX13MM,368.00
DRILL STRK 20MM SCREWS 1.9X58MM,377.00
DRILL STRK ASNIS MICRO CAN 2.0X1.7MM AO COUPLING 45-20005S,540.00
DRILL STRK UNIV 2.0MM CENTRIC,859.00
DRILL STRK UNIV 2.0MM ECCENTRIC,860.00
DRILL STRK UNIV 2.3MM CENTRIC,860.00
DRILL STRK UNIV 2.3MM ECCENTRIC,860.00
DRILL TAP 3.5X147MM CANC 311.39,929.00
DRILL TAP 4.0MM CANC,246.00
DRILL TAP ACUM POLARUS 3.5X5MM,143.00
DRILL TARGET DEVICE RADIOLUCENT 3815-2-100,690.00
DRILL TIP GUIDE PIN 2.4MM,115.00
DRILL TIP PIN PASSING,304.00
DRILL TORNIER 2.7MM AFPDR,193.00
DRILL TRANSFIX SET ARTHREX AR-1978S,380.00
DRILL TRIMED FOR 2.4MM SCREW DRILL-1.6,550.00
DRILL TWIST 1.0X20MM 76MM AO,263.00
DRILL TWIST 1.0X3.5MM STOP,245.00
DRILL TWIST 1.2X10MM 66MM AO,263.00
DRILL TWIST 1.6X10MM 66MM AO,263.00
DRILL TWIST 1.6X25MM 81MM AO,263.00
DRILL TWIST 1.9X35MM 91MM AO,263.00
"DRILL TWIST 10G 7.75"" IVAS STERILE 0306-810-000",260.00
"DRILL TWIST 11G 7.75"" IVAS STERILE 0306-811-000",260.00
DRILL TWIST 2.1X10MM 66MM AO,263.00
DRILL TWIST 2.35X10MM 66MM AO,263.00
DRILL TWIST KLS 1.1X50MM 5MM STOP W/NOTCH 25-452-05-91,312.00
DRILL TWIST KLS 1.1X50MM W/NOTCH 25-452-00-91,312.00
DRILL TWIST KLS 1.5X115MM W/NOTCH 25-469-11-07,283.00
DRILL TWIST KLS 1.5X20MM 7MM STOP DENTAL LATCH 50-924-07-07,323.00
DRILL TWIST KLS 1.5X34MM NO STOP DENTAL LATCH 50-924-00-07,323.00
DRILL TWIST KLS 1.5X50MM 5MM STOP W/NOTCH 25-449-05-91,294.00
DRILL TWIST KLS 1.5X50MM 7MM STOP W/NOTCH 25-449-07-91,312.00
DRILL TWIST KLS 1.5X50MM 9MM STOP W/NOTCH 25-449-09-91,312.00
DRILL TWIST KLS 1.5X50MM W/NOTCH 25-449-16-91,312.00
DRILL TWIST KLS 1.9X115MM W/NOTCH LEVEL I SYS 50-519-15-07,312.00
DRILL TWIST KLS 1.9X70MM W/NOTCH 25-460-19-07,312.00
DRILL TWIST KLS 2.2X105MM W/NOTCH 50-022-03-07,312.00
DRILL TWIST KLS 2.2X70MM W/NOTCH 50-022-01-07,312.00
DRILL TWIST KLS MORRISON 1.5X100MM W/NOTCH 25-472-75-07,352.00
DRILL TWIST LORENZ 1.5X50MM STOP,213.00
DRILL TWIST LORENZ 1.5X70MM STOP,213.00
DRILL TWIST LORENZ 7MM STOP,175.00
DRILL TWIST SNR 3.5MM 7111-0045,130.00
DRILL TWIST STRK 0.9X46MM 4MM STOP 6009504,275.00
DRILL TWIST STRK 1.0 X22MM AO END 60-10322,340.00
DRILL TWIST STRK 1.0 X22MM STRK END 60-10122,340.00
DRILL TWIST STRK 1.0X22MM DENTAL END 60-10422,340.00
DRILL TWIST STRK 1.0X50MM 6MM STOP 6010506,282.00
DRILL TWIST STRK 1.0X54MM 12MM STOP 6010512,282.00
DRILL TWIST STRK 1.35X50MM 5MM STOP 6016035,290.00
DRILL TWIST STRK 1.35X50MM 6MM STOP 6013506,291.00
DRILL TWIST STRK 1.3X54MM 12MM STOP 6013512,291.00
DRILL TWIST STRK 1.3X79MM 12MM STOP 6014008,291.00
DRILL TWIST STRK 1.4 X27MM AO END 60-14326,423.00
DRILL TWIST STRK 1.4 X27MM DENTAL END 60-14426,423.00
DRILL TWIST STRK 1.4 X27MM STRK END 60-14126,423.00
DRILL TWIST STRK 1.4X54MM 8MM STOP 6014008,323.00
DRILL TWIST STRK 1.6MM XLG 9216820,"1,310.00"
DRILL TWIST STRK 1.6X07MM 6016007,299.00
DRILL TWIST STRK 1.6X35MM,383.00
DRILL TWIST STRK 1.6X35MM 6016035,343.00
DRILL TWIST STRK 1.6X58MMX26MM,318.00
DRILL TWIST STRK 1.6X7MM STOP,322.00
DRILL TWIST STRK 1.9 X108MM STRK END 60-19140,330.00
DRILL TWIST STRK 1.9 X27MM AO END 60-19326,330.00
DRILL TWIST STRK 1.9 X27MM DENTAL END 60-19426,330.00
DRILL TWIST STRK 1.9 X27MM STRYKER END 60-19126,330.00
DRILL TWIST STRK 1.9MM XLONG 9219820,"1,243.00"
DRILL TWIST STRK 1.9MMX35MM,428.00
DRILL TWIST STRK 1.9X35MM 6019035,384.00
DRILL TWIST STRK 2.0 X100MM STRYKER END 60-20185,330.00
DRILL TWIST STRK 2.5 X26MM LAG FOR 2.3MM SCR AO END,330.00
DRILL TWIST STRK 2.5 X26MM LAG FOR 2.3MM SCR DENTAL END,330.00
DRILL TWIST STRK 2.5 X26MM LAG FOR 2.3MM SCR STRK END,330.00
"DRILL TWIST W/STOP 4.5MMX5"" DISP 8733",100.00
DRILL WRIGHT INBONE CALCANEAL 9X2.4MM,625.00
DRILL ZIM 2.7MM STD CANNULATED 00-2360-020-27,449.00
DRILL ZIM 2.7MM STD QUICK CONNECT 00-2360-205-27,319.00
DRILL/GUIDE-FIBERTAK 1.60MM,438.00
DRILL-2.0MM STANDARD,540.00
DRILL-2.7MM STANDARD,333.00
DRILL-3.0 X 300MM AO SMALL-GAMMA SYSTEM,555.00
DRILL-4.2 X 180MM AO,600.00
DRILL-4.2 X 300MM AO SMALL-GAMMA SYSTEM,285.00
DRILL-AO STERILE,334.00
DRILL-CANNULATED 3.5MM,438.00
DRILL-CANNULATED FOR AC REPAIR,983.00
DRILL-FLIPCUTTER II SHORT 10MM,"1,163.00"
DRIVE SHAFT ARTHREX QUICKFIX 3.00MM AR-8931D,563.00
DRIVER ARTHREX 3.5MM HEX CAN AR-8967D,500.00
DRIVER ARTHREX SOLID 3.5MM HEX AR-8955D,250.00
DRIVER ARTHREX T10 HEXALOBE AR-8944DH,300.00
DRIVER INST COMPOSITE AR-1966CD-1,"1,250.00"
DRIVER PEG HANDINN 2.0MM FAST FRD20,128.00
DRIVER SNR UNIVERSAL META-NAIL COMPRESSION 71654528,103.00
DRIVER STEM LONG 2.0/2.4MM,300.00
DRIVER STEM LONG 3.0/4MM,423.00
DRONABINOL CAP 2.5 MG,$22.63
DRONABINOL CAP 2.5 MG,$21.49
DRONABINOL CAP 5 MG,$23.55
DRONABINOL CAP 5 MG,$22.37
DRONABINOL SOLN 5 MG/ML,$74.94
DRONEDARONE HCL TAB 400 MG (BASE EQUIVALENT),$25.23
DROSPIRENONE-ETHINYL ESTRADIOL TAB 3-0.02 MG,$23.49
DROSPIRENONE-ETHINYL ESTRADIOL TAB 3-0.03 MG,$9.47
DROXIDOPA CAP 100 MG,$110.68
DROXIDOPA CAP 200 MG,$110.68
DROXIDOPA CAP 300 MG,$110.68
DRSG ABTHERA NEGATIVE PRESSURE WOUND 370605,922.00
"DRSG ACTICOAT 4X8"" 66021771",71.00
"DRSG ACTICOAT 7 4X5""",42.00
"DRSG ACTICOAT 8X16"" 20301",110.00
"DRSG AQUACEL AG 3.5X12"" HYDROFIBER 420670",91.00
"DRSG AQUACEL AG 3.5X13.75"" HYDROFIBER 412012",91.00
"DRSG AQUACEL AG 3.5X4"" HYDROFIBER 412009",54.00
"DRSG AQUACEL AG 3.5X6.0"" HYDROFIBER 412010",65.00
"DRSG AQUACEL AG 3.5X9.75"" HYDROFIBER 412011",82.00
"DRSG AQUACEL AG 8X12"" 403711",70.00
"DRSG AQUACEL AG EXTRA 8X12"" 420679",70.00
DRSG ARTHREX PROWICK SHLDR POSTOP & COLD THERAPY,150.00
DRSG COE-PAK PERIDONTAL,244.00
DRSG D-STAT DRY HEMOSTATIC THROMBIN 3000,123.00
"DRSG GAUZE HEMOSTATIC QUICKCLOT 4X4"" 459",46.00
DRSG GLASSCOCK ADULT,34.00
DRSG GLASSCOCK PED,35.00
"DRSG HELISTAT 3X4""",376.00
"DRSG INTERDRY AG TEXTILE 10""X12' ROLL 7910",117.00
DRSG JAWBRA 93,51.00
DRSG JAWBRA 95,51.00
"DRSG JUMPSTART ANTIMICROBIAL 1.5X8"" ABS-4005",48.00
"DRSG JUMPSTART ANTIMICROBIAL 4X4"" ABS-4004",63.00
DRSG KIT PREVENA DUO PEEL/PLACE SYSTEM 13CM PRE1121US,"1,812.00"
DRSG KIT PREVENA NEG PRESSURE WND 125 THERAPY PRE4001US.S,"1,706.00"
DRSG KIT PREVENA PEEL/PLACE SYSTEM 13CM PRE1101US,"1,299.00"
"DRSG MEPILEX AG 4X8"" 287200",38.00
"DRSG MEPILEX AG 8X8"" 287400",64.00
"DRSG MEPILEX LITE 8X20"" 284599",42.00
"DRSG MEPILEX SOFT SILICONE 8X20"" 294592",40.00
"DRSG MEPILEX TRANSFER 8X20"" 294599",40.00
"DRSG MEPITEL ONE 6/8""X10"" 289700",47.00
DRSG NASAL SPONGE 80X25X4MM GS-802504,83.00
DRSG NASAL STENT MEROPACK BIORESORB 1520001,289.00
DRSG NASOPORE FIRM 4CM 5400-020-004,307.00
DRSG NASOPORE FRAG FIRM 8CM 8400-020-008,457.00
DRSG NASOPORE FRAG STANDARD 8CM 5400-010-008,445.00
DRSG PREVENA NEGATIVE PRESSURE WOUND PRE1001US.S,"1,299.00"
DRSG PREVENA NEGATIVE PRESSURE WOUND PRE2001US.S,"1,562.00"
"DRSG QUICKCLOT TRAUMA PAD 12X12"" 460",192.00
"DRSG QUICKCLOT TRAUMA PAD 8X8"" 4010",441.00
"DRSG SILVERLON 2X10"" ANTIMICROBIAL WPD-210",96.00
DRSG WOUND VAC FOAM LG WHITE,33.00
DRSG WOUND VAC FOAM SM WHITE M6275033/10,26.00
DRSG WOUND VAC GRANUFOAM BRIDGE XG M8275044/5.S,144.00
DRSG WOUND VAC GRANUFOAM LG BLACK 26X15CM M8275053/5,144.00
DRSG WOUND VAC GRANUFOAM LG SILVER M8275099/5,203.00
DRSG WOUND VAC GRANUFOAM MED SILVER M8275096/5,170.00
DRSG WOUND VAC GRANUFOAM SENSATRAC 60X30CM XLG,270.00
DRSG WOUND VAC GRANUFOAM SILVER SM,139.00
DRSG WOUND VAC GRANUFOAM SM BLACK M8275051/5,95.00
DRSG WOUND VAC INSTILL PAD,49.00
DRSG WOUND VAC SENSATRAC ABDOMINAL,843.00
DRSG WOUND VAC SENSATRAC PAD AND DRAPE SM,120.00
DRSG WOUND VAC SIMPLACE MED 17.5X14.7X3.3CM M8275045/5.S,126.00
DRSG WOUND VAC SPONGE MED BLACK M8275052/5,120.00
DRSG WOUND VAC SPONGE SM BLACK,90.00
"DRSG-AQUACEL AG SURGICAL 3.5""",104.00
DRSG-DUODERM 6X6,18.00
DRSG-DUODERM XTRA THIN 2 X 4,5.00
DRSG-KERLIX SPONGE MED #1167,26.00
DRSG-NASAL/SINUS STENT-MEROGEL,228.00
DRSG-VAC LARGE FOR INFOVAC,149.00
DRSG-VAC MEDIUM FOR INFOVAC,123.00
DRSG-VAC MEDIUM SIMPLACE FOR VAC ATS UNIT,132.00
DRSG-VAC SMALL FOR INFOVAC,98.00
DUAL RADIUS HUMERAL HEAD 40MM/12MM REUNION SHOULDER,"2,888.00"
DUAL RADIUS HUMERAL HEAD 40MM/15MM REUNION SHOULDER,"2,888.00"
DULAGLUTIDE SOLN PEN-INJECTOR 0.75 MG/0.5ML,$770.36
DULAGLUTIDE SOLN PEN-INJECTOR 1.5 MG/0.5ML,$770.36
DULOXETINE HCL ENTERIC COATED PELLETS CAP 20 MG (BASE EQ),$4.00
DULOXETINE HCL ENTERIC COATED PELLETS CAP 30 MG (BASE EQ),$4.00
DULOXETINE HCL ENTERIC COATED PELLETS CAP 60 MG (BASE EQ),$4.00
DUPILUMAB SUBCUTANEOUS SOLN PREFILLED SYRINGE 300 MG/2ML,"$6,185.55"
DUPLOTIP APPLICATOR 320,139.00
DURASPHERE BULKING AGENT,470.00
DURVALUMAB SOLN FOR IV INFUSION 120 MG/2.4ML (50 MG/ML),"$3,549.78"
DURVALUMAB SOLN FOR IV INFUSION 500 MG/10ML (50 MG/ML),"$14,790.72"
DUTASTERIDE CAP 0.5 MG,$30.78
DUTASTERIDE CAP 0.5 MG,$4.00
DUTASTERIDE CAP 0.5 MG,$5.60
D-XYLOSE POWDER,$34.56
D-XYLOSE POWDER,$91.20
EAR ASPIRATOR/COLLECTOR JUHN TYM-TAP,50.00
EAR COCHLEAR CONTOUR ADVANCE DEPTH GAUGE Z179994,875.00
EAR IMP ANGULAR CLIP 2.25MM,918.00
EAR IMP ANGULAR CLIP 3.25MM,"1,035.00"
EAR IMP BAILEY/PAPPAS CUP PISTON 4.25X0.6MM,286.00
EAR IMP BAILEY/PAPPAS CUP PISTON 4.5X0.6MM,286.00
EAR IMP BAILEY/PAPPAS CUP PISTON 4X0.6MM,198.00
EAR IMP BIG EASY PISTON 4.00X0.5MM,548.00
EAR IMP BIG EASY PISTON 4.25X0.5MM,568.00
EAR IMP BIG EASY PISTON 4.50X0.5MM,568.00
EAR IMP BIG EASY PISTON 4.75X0.5MM,568.00
EAR IMP BIG EASY PISTON LEFT 4.50X0.5MM,604.00
EAR IMP BIG EASY PISTON LEFT 4.75X0.5MM,548.00
EAR IMP BIG EASY PISTON LEFT 5.00X0.5MM,548.00
EAR IMP BIG EASY PISTON RIGHT 4.50X0.5MM,540.00
EAR IMP BIG EASY PISTON RIGHT 4.75X0.5MM,626.00
EAR IMP BIG EASY PISTON RIGHT 5.00X0.5MM,548.00
EAR IMP BOJRAB UNIVERSAL HYDROX 3.5MM HEAD,924.00
EAR IMP BOJRAB UNIVERSAL HYDROX 3.5MM HEAD,"1,233.00"
EAR IMP BOJRAB UNIVERSAL HYDROX 3.5MM HEAD OFFSET,924.00
EAR IMP CAUSSE NOTCHED OFFSET PART W/MAL LINK,"1,310.00"
EAR IMP CAUSSE PISTON LOOP,192.00
EAR IMP CAUSSE PISTON LOOP LARGE,198.00
EAR IMP CLIP PARTIAL FLEXIBAL 1.75MM 1002350,"1,170.00"
EAR IMP CLIP PARTIAL FLEXIBAL 2.00MM 1002351,"1,170.00"
EAR IMP CLIP PARTIAL FLEXIBAL 2.25MM 1002352,"1,170.00"
EAR IMP CLIP PARTIAL FLEXIBAL 2.50MM 1002353,"1,093.00"
EAR IMP CLIP PARTIAL FLEXIBAL 2.75MM 1002354,"1,335.00"
EAR IMP CLIP PARTIAL FLEXIBAL 3.00MM 1002355,"1,170.00"
EAR IMP CLIP PARTIAL FLEXIBAL 3.25MM 1002356,"1,170.00"
EAR IMP CLIP PARTIAL FLEXIBAL 3.50MM 1002357,"1,170.00"
EAR IMP COCHLEAR CONCERT MI1000 COMPRESSED WITH SOUND PROC,"50,250.00"
EAR IMP COCHLEAR CONCERT MI1000 MED WITH SOUND PROCESSOR,"50,250.00"
EAR IMP COCHLEAR CONCERT MI1000 STD WITH SOUND PROCESSOR,"50,250.00"
EAR IMP COCHLEAR FREEDOM W/ADV ELEC,"45,575.00"
EAR IMP COCHLEAR HI RES INTERNAL CLARION,"30,983.00"
EAR IMP COCHLEAR HI-RES 90K ADV 1J CI-1500-01,"62,972.00"
EAR IMP COCHLEAR HI-RES 90K CI-1400-1,"55,275.00"
EAR IMP COCHLEAR HI-RES 90K W/HELIX ELEC CI-1400-02H,"55,275.00"
EAR IMP COCHLEAR MAGNET NUCLEUS CI500 STERILE Z179608,375.00
EAR IMP COCHLEAR MAGNET STERILE Z50101,238.00
EAR IMP COCHLEAR MED-EL CONCERT FLEX 24 06274,"37,063.00"
EAR IMP COCHLEAR MED-EL CONCERT FLEX 28 08363,"37,063.00"
EAR IMP COCHLEAR MED-EL CONCERT FLEX PIN 24 06273,"49,000.00"
EAR IMP COCHLEAR MED-EL CONCERT FLEX PIN 28 08362,"49,000.00"
EAR IMP COCHLEAR MED-EL CONCERT PIN COMPRESSED 06269,"49,000.00"
EAR IMP COCHLEAR MED-EL CONCERT PIN MED 06271,"49,000.00"
EAR IMP COCHLEAR MED-EL CONCERT PIN STD 06267,"49,000.00"
EAR IMP COCHLEAR MID-SCALA HIRES HIFOCUS CI-1600-04,"62,813.00"
EAR IMP COCHLEAR MID-SCALA INTERNAL ELEC CI-1500-04,"62,972.00"
EAR IMP COCHLEAR NUCLEUS- 5 WITH SOUND PROCESSOR,"68,828.00"
EAR IMP COCHLEAR NUCLEUS ABI 24 Z43004,"65,250.00"
EAR IMP COCHLEAR NUCLEUS CI522 W/SLIM STR ELEC Z382660,"48,935.00"
EAR IMP COCHLEAR NUCLEUS FREEDOM STR ARRAY W/SOUND PROC,"45,575.00"
EAR IMP COCHLEAR NUCLEUS SLIM STR ELECTRODE CI422,"45,575.00"
EAR IMP COCHLEAR NUCLEUS Z43007,"45,875.00"
EAR IMP COCHLEAR NUCLEUS-3,"45,875.00"
EAR IMP COCHLEAR SONATA COMPRESSED W/ SOUND PROCESSOR,"50,250.00"
EAR IMP COCHLEAR SONATA MED WITH SOUND PROCESSOR,"50,250.00"
EAR IMP COCHLEAR SONATA STD WITH SOUND PROCESSOR,"50,250.00"
EAR IMP COCHLEAR STD NUCLEUS DEPTH GAUGE Z600006,875.00
EAR IMP COCHLEAR STIMULATOR AB-7000,"51,977.00"
EAR IMP CONNECTOR OMEGA 1004930,525.00
EAR IMP DORNHOFFER FOOTPLATE SHOE 0.8MM TI 636-080,317.00
EAR IMP GOLDENBERG CAP 1.5MM,779.00
EAR IMP INCUDO-STAPE APPLEBAUM 2.0MM SM 140956,833.00
EAR IMP INCUDO-STAPE APPLEBAUM 2.5MM LG 140957,833.00
EAR IMP INCUS APPLEBAUM 2.25MM 140971,842.00
EAR IMP INCUS APPLEBAUM 2.5MM 140972,842.00
EAR IMP INCUS APPLEBAUM 3.0MM 140973,842.00
EAR IMP INCUS APPLEBAUM 3.5MM 140974,842.00
EAR IMP INCUS FLEX HYDROX NECROSIS LG,"1,265.00"
EAR IMP INCUS FLEX HYDROX NECROSIS MED 0580,"1,303.00"
EAR IMP INCUS KARTUSH 2.75MM 140853,748.00
EAR IMP INCUS KARTUSH 4.00MM 140854,748.00
EAR IMP INCUS KARTUSH 5.00MM 140855,762.00
EAR IMP INCUS NECROSIS SM 0579,"1,303.00"
EAR IMP INCUS-STAPES GOLDENBERG 0.8MM,842.00
EAR IMP JAHN VENT TUBE,400.00
EAR IMP KRAUS K-HELIX  CROWN 756-300,"1,060.00"
EAR IMP LIPPY PISTON CUP 4X0.6MM,450.00
EAR IMP LIPPY PISTON CUP 5X0.6MM,450.00
EAR IMP MALLEUS CRADLE HYDROX W/MAL LINK,"1,328.00"
EAR IMP MCGEE PISTON 4.2X0.6MM 140165,185.00
EAR IMP MCGEE PISTON 4.5X0.6MM 140166,185.00
EAR IMP MCGEE PISTON 4.5X0.8MM,181.00
EAR IMP MCGEE PISTON 4.75X0.6MM 140167,173.00
EAR IMP MCGEE PISTON 4.75X0.8MM 140147,181.00
EAR IMP MCGEE PISTON 4X0.6MM 140164,185.00
EAR IMP MCGEE PISTON 4X0.8MM,181.00
EAR IMP MCGEE PISTON 5X0.6MM,185.00
EAR IMP MCGEE PISTON INCUS ATTACH 3.75X0.6MM,214.00
EAR IMP MCGEE PISTON INCUS ATTACH 4.00X0.6MM,198.00
EAR IMP MCGEE PISTON INCUS ATTACH 4.00X0.6MM,214.00
EAR IMP MCGEE PISTON INCUS ATTACH 4.25X0.6MM,198.00
EAR IMP MCGEE PISTON INCUS ATTACH 4.75X0.6MM,198.00
EAR IMP MCGEE PISTON MOD LOOP 3.5X0.5MM,188.00
EAR IMP MCGEE PISTON MOD LOOP 4.00X0.5MM,188.00
EAR IMP MCGEE PISTON MOD LOOP 4.25X0.5MM,188.00
EAR IMP MCGEE PISTON MOD LOOP 4.5X0.5MM,188.00
EAR IMP MCGEE PISTON MOD LOOP 4.75X0.5MM,188.00
EAR IMP MORETZ CAM HEAD TOTAL,922.00
EAR IMP MORETZ FOOTPLATE SHOE,234.00
EAR IMP MORETZ MALLEUS STRUT PORP ANG,448.00
EAR IMP MORETZ MALLEUS STRUT PORP STR,448.00
EAR IMP MORETZ MALLEUS STRUT TOTAL,612.00
EAR IMP MORETZ STRUT & SHOE 7MMX7MMX0.6MM SS,612.00
EAR IMP NOTCHED OFFSET PART HYDROX 4MM  HEAD,786.00
EAR IMP NOTCHED OFFSET PART HYDROX W/MAL LINK,"1,000.00"
EAR IMP OSS CENTERED ALTO PROSTHESIS PARTIAL TI 655,865.00
EAR IMP OSS CENTERED ALTO PROSTHESIS TOTAL TI 605,865.00
EAR IMP OWENS ASSURE ALTO PARTIAL TI 652,902.00
EAR IMP OWENS ASSURE ALTO TOTAL TI SILICONE 602R,902.00
EAR IMP PISTON 4.00X0.4MM PLATINUM 141814,359.00
EAR IMP PISTON 4.0X0.6MM PLATINUM,359.00
EAR IMP PISTON 4.25X0.4MM PLATINUM 141815,359.00
EAR IMP PISTON 4.50X0.4MM PLATINUM 141816,351.00
EAR IMP PISTON 4.50X0.6MM PLATINUM,359.00
