Northeast Alabama Regional Medical Center,,
553,BONE DISEASES & ARTHROPATHIES W MCC,"40,411.15"
554,BONE DISEASES & ARTHROPATHIES W/O MCC,"21,966.09"
555,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC,"31,996.60"
556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,"32,995.16"
557,"TENDONITIS, MYOSITIS & BURSITIS W MCC","38,711.32"
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","31,819.85"
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC","77,278.97"
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC","74,015.98"
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC","22,374.71"
562,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MCC","36,348.89"
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","29,412.76"
564,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC,"81,609.14"
565,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,"45,811.55"
566,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,"10,252.62"
570,SKIN DEBRIDEMENT W MCC,"144,087.33"
571,SKIN DEBRIDEMENT W CC,"70,705.64"
572,SKIN DEBRIDEMENT W/O CC/MCC,"49,851.30"
578,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,"35,384.97"
579,"OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC","131,645.24"
580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","50,489.44"
581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC","45,807.30"
582,MASTECTOMY FOR MALIGNANCY W CC/MCC,"35,670.46"
583,MASTECTOMY FOR MALIGNANCY W/O CC/MCC,"41,247.23"
584,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W CC/MCC","24,044.53"
585,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W/O CC/MCC","42,425.35"
592,SKIN ULCERS W MCC,"35,423.55"
593,SKIN ULCERS W CC,"25,758.65"
594,SKIN ULCERS W/O CC/MCC,"20,608.28"
596,MAJOR SKIN DISORDERS W/O MCC,"27,820.07"
597,MALIGNANT BREAST DISORDERS W MCC,"58,211.12"
598,MALIGNANT BREAST DISORDERS W CC,"24,879.19"
600,NON-MALIGNANT BREAST DISORDERS W CC/MCC,"56,205.98"
601,NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,"20,109.97"
602,CELLULITIS W MCC,"47,676.54"
603,CELLULITIS W/O MCC,"29,638.96"
604,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC","40,631.26"
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","26,961.63"
606,MINOR SKIN DISORDERS W MCC,"56,918.83"
607,MINOR SKIN DISORDERS W/O MCC,"22,686.19"
614,ADRENAL & PITUITARY PROCEDURES W CC/MCC,"562,121.94"
615,ADRENAL & PITUITARY PROCEDURES W/O CC/MCC,"66,853.08"
616,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W MCC","79,218.52"
617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","56,180.63"
619,O.R. PROCEDURES FOR OBESITY W MCC,
620,O.R. PROCEDURES FOR OBESITY W CC,
621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,"56,362.83"
622,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W MCC","193,399.44"
623,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC","56,091.11"
625,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W MCC","136,364.92"
626,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC","67,357.63"
627,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W/O CC/MCC","44,195.98"
628,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC","225,131.60"
629,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC","70,728.11"
630,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W/O CC/MCC","33,017.62"
637,DIABETES W MCC,"64,625.23"
638,DIABETES W CC,"31,785.76"
639,DIABETES W/O CC/MCC,"29,246.38"
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","53,094.68"
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","23,959.98"
642,INBORN AND OTHER DISORDERS OF METABOLISM,"32,639.14"
643,ENDOCRINE DISORDERS W MCC,"68,192.92"
644,ENDOCRINE DISORDERS W CC,"53,419.44"
645,ENDOCRINE DISORDERS W/O CC/MCC,"21,480.22"
653,MAJOR BLADDER PROCEDURES W MCC,"253,709.11"
654,MAJOR BLADDER PROCEDURES W CC,"132,874.01"
656,KIDNEY & URETER PROCEDURES FOR NEOPLASM W MCC,"119,173.42"
657,KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,"76,773.57"
658,KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,"62,922.46"
659,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC,"102,466.96"
660,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,"53,950.36"
661,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,"44,996.60"
663,MINOR BLADDER PROCEDURES W CC,"65,154.68"
666,PROSTATECTOMY W CC,"57,329.37"
668,TRANSURETHRAL PROCEDURES W MCC,"72,137.30"
669,TRANSURETHRAL PROCEDURES W CC,"49,594.19"
670,TRANSURETHRAL PROCEDURES W/O CC/MCC,"37,660.74"
673,OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,"125,707.53"
674,OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,"102,129.20"
682,RENAL FAILURE W MCC,"52,624.51"
683,RENAL FAILURE W CC,"33,209.60"
684,RENAL FAILURE W/O CC/MCC,"24,886.15"
686,KIDNEY & URINARY TRACT NEOPLASMS W MCC,"50,433.94"
687,KIDNEY & URINARY TRACT NEOPLASMS W CC,"71,647.99"
689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"41,092.64"
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"29,391.38"
691,URINARY STONES W ESW LITHOTRIPSY W CC/MCC,"77,269.43"
692,URINARY STONES W ESW LITHOTRIPSY W/O CC/MCC,"36,063.79"
693,URINARY STONES W/O ESW LITHOTRIPSY W MCC,"55,906.42"
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"39,373.20"
695,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W MCC,"42,460.24"
696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,"22,804.44"
697,URETHRAL STRICTURE,"46,627.74"
698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"52,763.07"
699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"41,757.69"
700,OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,"5,927.57"
707,MAJOR MALE PELVIC PROCEDURES W CC/MCC,"99,053.86"
708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,"66,605.44"
710,PENIS PROCEDURES W/O CC/MCC,"140,604.87"
711,TESTES PROCEDURES W CC/MCC,"131,965.55"
712,TESTES PROCEDURES W/O CC/MCC,"22,098.96"
713,TRANSURETHRAL PROSTATECTOMY W CC/MCC,"43,753.54"
714,TRANSURETHRAL PROSTATECTOMY W/O CC/MCC,"33,308.39"
715,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC FOR MALIGNANCY W CC/MCC,"287,628.20"
718,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W/O CC/MCC,"26,990.64"
722,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM W MCC","33,070.49"
723,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM W CC","61,413.31"
724,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM W/O CC/MCC",0.00
725,BENIGN PROSTATIC HYPERTROPHY W MCC,"122,299.61"
726,BENIGN PROSTATIC HYPERTROPHY W/O MCC,"28,508.64"
727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC,"83,244.65"
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"34,720.13"
730,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W/O CC/MCC,"16,361.65"
740,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC","47,554.21"
741,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W/O CC/MCC","53,213.94"
742,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,"57,341.96"
743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"38,928.83"
745,"D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W/O CC/MCC","41,793.17"
746,"VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC","84,161.53"
747,"VAGINA, CERVIX & VULVA PROCEDURES W/O CC/MCC","35,034.62"
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,"73,268.35"
749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC,"36,514.24"
750,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"50,279.53"
755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC","64,318.32"
758,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W CC","34,337.58"
759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC","16,326.71"
760,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC,"14,380.88"
761,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC,"16,870.26"
765,CESAREAN SECTION W CC/MCC,"29,050.47"
766,CESAREAN SECTION W/O CC/MCC,"25,848.04"
767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,"31,939.96"
768,VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL &/OR D&C,"19,771.87"
769,POSTPARTUM & POST ABORTION DIAGNOSES W O.R. PROCEDURE,"49,339.49"
770,"ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY","22,778.71"
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"19,391.01"
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"18,390.91"
776,POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,"21,453.20"
777,ECTOPIC PREGNANCY,"35,395.68"
778,THREATENED ABORTION,"9,436.45"
779,ABORTION W/O D&C,"12,391.34"
780,FALSE LABOR,"3,205.32"
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"14,926.78"
782,OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS,"15,512.91"
783,CESAREAN SECTION W STERILIZATION W MCC,"63,264.60"
784,CESAREAN SECTION W STERILIZATION W CC,"25,452.04"
785,CESAREAN SECTION W STERILIZATION W/O CC/MCC,"25,326.93"
786,CESAREAN SECTION W/O STERILIZATION W MCC,"57,292.21"
787,CESAREAN SECTION W/O STERILIZATION W CC,"27,093.30"
788,CESAREAN SECTION W/O STERILIZATION W/O CC/MCC,"25,408.24"
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","4,416.51"
790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE","14,068.76"
791,PREMATURITY W MAJOR PROBLEMS,"32,891.17"
792,PREMATURITY W/O MAJOR PROBLEMS,"7,458.23"
793,FULL TERM NEONATE W MAJOR PROBLEMS,"12,151.73"
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"1,708.02"
795,NORMAL NEWBORN,437.54
799,SPLENECTOMY W MCC,"123,873.09"
800,SPLENECTOMY W CC,"89,905.64"
801,SPLENECTOMY W/O CC/MCC,"60,295.91"
805,VAGINAL DELIVERY W/O STERILIZATION/D&C W MCC,"21,768.62"
806,VAGINAL DELIVERY W/O STERILIZATION/D&C W CC,"18,048.26"
807,VAGINAL DELIVERY W/O STERILIZATION/D&C W/O CC/MCC,"17,952.26"
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,"125,777.94"
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,"57,352.28"
811,RED BLOOD CELL DISORDERS W MCC,"48,198.68"
812,RED BLOOD CELL DISORDERS W/O MCC,"38,630.21"
813,COAGULATION DISORDERS,"54,930.52"
814,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W MCC,"45,583.59"
815,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC,"45,293.88"
816,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W/O CC/MCC,"27,554.54"
817,OTHER ANTEPARTUM DIAGNOSES W O.R. PROCEDURE W MCC,"49,452.90"
818,OTHER ANTEPARTUM DIAGNOSES W O.R. PROCEDURE W CC,"8,203.43"
820,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC,"417,772.17"
821,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W CC,"245,795.38"
823,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W MCC,"254,918.51"
824,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W CC,"116,292.04"
827,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC,"266,657.10"
829,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER  PROCEDU,"316,284.47"
831,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W MCC,"10,218.61"
832,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W CC,"23,700.75"
833,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W/O CC/MCC,"9,996.62"
834,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,"105,674.44"
835,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,"94,613.80"
836,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,
840,LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,"115,573.64"
841,LYMPHOMA & NON-ACUTE LEUKEMIA W CC,"111,932.80"
842,LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,"40,400.00"
843,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,"54,820.53"
844,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,"150,036.33"
845,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,"15,769.20"
846,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,"90,872.67"
847,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,"68,237.35"
849,RADIOTHERAPY,"13,979.87"
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"222,413.10"
854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"83,664.86"
855,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W/O CC/MCC,"88,149.60"
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,"189,858.14"
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,"88,073.18"
858,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W/O CC/MCC,"60,396.80"
862,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,"51,525.82"
863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,"42,346.56"
864,FEVER,"21,351.20"
865,VIRAL ILLNESS W MCC,"46,535.73"
866,VIRAL ILLNESS W/O MCC,"21,548.20"
867,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W MCC,"233,526.06"
868,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC,"55,249.78"
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS,"203,306.54"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"67,960.76"
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"42,305.11"
880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,"16,584.63"
881,DEPRESSIVE NEUROSES,"14,459.26"
882,NEUROSES EXCEPT DEPRESSIVE,"15,501.22"
883,DISORDERS OF PERSONALITY & IMPULSE CONTROL,"15,062.67"
884,ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY,"47,170.85"
885,PSYCHOSES,"21,676.47"
886,BEHAVIORAL & DEVELOPMENTAL DISORDERS,"19,699.56"
894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA","8,979.56"
895,ALCOHOL/DRUG ABUSE OR DEPENDENCE W REHABILITATION THERAPY,"14,493.86"
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"24,440.42"
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"15,516.37"
901,WOUND DEBRIDEMENTS FOR INJURIES W MCC,"217,200.43"
902,WOUND DEBRIDEMENTS FOR INJURIES W CC,"64,820.04"
905,SKIN GRAFTS FOR INJURIES W/O CC/MCC,"140,747.24"
906,HAND PROCEDURES FOR INJURIES,"24,130.91"
907,OTHER O.R. PROCEDURES FOR INJURIES W MCC,"148,674.98"
908,OTHER O.R. PROCEDURES FOR INJURIES W CC,"78,204.68"
909,OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC,"38,332.32"
913,TRAUMATIC INJURY W MCC,"124,751.44"
914,TRAUMATIC INJURY W/O MCC,"18,007.46"
915,ALLERGIC REACTIONS W MCC,"49,293.78"
916,ALLERGIC REACTIONS W/O MCC,"27,397.01"
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"52,356.85"
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"19,583.76"
919,COMPLICATIONS OF TREATMENT W MCC,"55,640.34"
920,COMPLICATIONS OF TREATMENT W CC,"27,173.00"
921,COMPLICATIONS OF TREATMENT W/O CC/MCC,"8,168.76"
922,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W MCC","38,822.85"
923,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC","25,070.24"
941,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC,"45,073.59"
947,SIGNS & SYMPTOMS W MCC,"54,555.14"
948,SIGNS & SYMPTOMS W/O MCC,"40,862.97"
949,AFTERCARE W CC/MCC,"15,904.75"
950,AFTERCARE W/O CC/MCC,"34,037.78"
951,OTHER FACTORS INFLUENCING HEALTH STATUS,"14,461.04"
956,,"120,122.51"
957,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W MCC,"149,154.81"
959,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,"131,280.10"
964,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,"40,248.66"
969,HIV W EXTENSIVE O.R. PROCEDURE W MCC,"1,250,377.62"
974,HIV W MAJOR RELATED CONDITION W MCC,"96,456.38"
975,HIV W MAJOR RELATED CONDITION W CC,"31,942.10"
976,HIV W MAJOR RELATED CONDITION W/O CC/MCC,"54,031.55"
977,HIV W OR W/O OTHER RELATED CONDITION,"30,379.31"
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"239,631.41"
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"66,854.37"
983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"46,320.33"
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"138,846.84"
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"82,466.85"
989,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"39,346.41"
998,PRINCIPAL DIAGNOSIS INVALID AS DISCHARGE DIAGNOSIS,"6,535.90"
