DRG Code,BAPTIST MEDICAL CENTER,MISSION TRAIL BAPTIST HOSPITAL,NORTH CENTRAL BAPTIST HOSPITAL,NORTHEAST BAPTIST HOSPITAL,SAINT LUKE'S HOSPITAL
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC"," $65,196 "," $68,052 "," $58,525 "," $60,163 "," $59,555 "
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC"," $61,578 "," $65,863 "," $45,285 "," $52,387 "," $78,456 "
"283 - ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC"," $61,675 "," $61,271 "," $24,400 "," $35,913 "," $44,271 "
"284 - ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC"," $79,286 ", $- , $- , $- , $- 
"285 - ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC", $- , $- , $- , $- , $- 
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC"," $105,650 "," $106,896 "," $115,632 "," $85,858 "," $107,085 "
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC"," $79,860 "," $82,546 "," $67,929 "," $84,378 "," $68,201 "
288 - ACUTE & SUBACUTE ENDOCARDITIS W MCC, $- , $- , $- , $- , $- 
289 - ACUTE & SUBACUTE ENDOCARDITIS W CC," $59,606 ", $- ," $56,896 ", $- , $- 
290 - ACUTE & SUBACUTE ENDOCARDITIS W/O CC/MCC, $- , $- , $- , $- , $- 
291 - HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYG," $61,152 "," $52,786 "," $66,796 "," $62,243 "," $48,951 "
292 - HEART FAILURE & SHOCK W CC," $46,689 "," $37,213 "," $37,258 "," $50,477 "," $32,663 "
293 - HEART FAILURE & SHOCK W/O CC/MCC," $35,795 "," $31,370 "," $24,409 "," $35,784 "," $37,640 "
294 - DEEP VEIN THROMBOPHLEBITIS W CC/MCC," $57,513 ", $- , $- , $- , $- 
295 - DEEP VEIN THROMBOPHLEBITIS W/O CC/MCC, $- , $- , $- , $- , $- 
"296 - CARDIAC ARREST, UNEXPLAINED W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRAN"," $49,266 "," $47,209 "," $6,303 "," $58,081 "," $8,705 "
"297 - CARDIAC ARREST, UNEXPLAINED W CC"," $46,581 ", $- ," $25,577 ", $- , $- 
"298 - CARDIAC ARREST, UNEXPLAINED W/O CC/MCC", $- , $- , $- ," $7,520 ", $- 
299 - PERIPHERAL VASCULAR DISORDERS W MCC," $39,249 "," $43,300 "," $68,137 "," $50,848 "," $58,124 "
300 - PERIPHERAL VASCULAR DISORDERS W CC," $53,729 "," $32,241 "," $24,919 "," $44,851 "," $35,025 "
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC," $29,366 "," $16,889 "," $21,705 "," $14,760 "," $11,699 "
302 - ATHEROSCLEROSIS W MCC," $37,608 ", $- ," $26,748 "," $23,876 "," $25,073 "
303 - ATHEROSCLEROSIS W/O MCC," $35,192 "," $39,007 "," $60,220 "," $29,374 "," $32,439 "
304 - HYPERTENSION W MCC," $50,839 "," $59,732 "," $75,963 "," $46,462 "," $31,791 "
305 - HYPERTENSION W/O MCC," $39,293 "," $31,079 "," $48,376 "," $40,722 "," $31,458 "
306 - CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC," $60,586 "," $305,316 "," $52,265 ", $- ," $32,656 "
307 - CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC," $41,040 "," $32,109 "," $22,226 "," $23,738 ", $- 
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC," $58,960 "," $50,618 "," $49,490 "," $55,956 "," $34,105 "
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC," $33,784 "," $37,082 "," $34,647 "," $32,692 "," $39,032 "
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC," $29,229 "," $37,960 "," $22,493 "," $26,177 "," $23,214 "
311 - ANGINA PECTORIS," $42,847 "," $31,743 "," $29,648 "," $34,835 "," $16,649 "
312 - SYNCOPE & COLLAPSE," $34,246 "," $44,824 "," $38,913 "," $36,003 "," $25,888 "
313 - CHEST PAIN," $28,188 "," $40,166 "," $41,409 "," $31,691 "," $36,358 "
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC," $95,391 "," $73,119 "," $64,939 "," $72,896 "," $86,727 "
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC," $28,786 "," $36,559 "," $48,419 "," $47,026 "," $35,890 "
316 - OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC," $40,540 "," $18,224 "," $36,556 "," $31,745 "," $44,334 "
"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC"," $121,774 "," $201,779 "," $216,051 "," $252,002 "," $187,059 "
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC"," $161,981 "," $219,738 "," $115,520 "," $126,915 "," $138,316 "
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC"," $90,155 "," $112,693 "," $81,834 "," $104,838 "," $122,494 "
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC," $232,194 "," $203,553 "," $198,052 "," $224,498 "," $198,567 "
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC," $149,786 "," $164,619 "," $130,928 "," $149,497 "," $128,552 "
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC," $123,186 "," $133,920 "," $104,933 "," $103,101 "," $104,057 "
332 - RECTAL RESECTION W MCC, $- , $- , $- , $- , $- 
333 - RECTAL RESECTION W CC, $- , $- ," $102,004 ", $- ," $131,246 "
334 - RECTAL RESECTION W/O CC/MCC," $97,662 "," $58,708 "," $113,611 ", $- ," $101,275 "
335 - PERITONEAL ADHESIOLYSIS W MCC," $187,044 "," $272,710 "," $126,393 "," $190,517 "," $475,065 "
336 - PERITONEAL ADHESIOLYSIS W CC," $132,342 "," $112,958 "," $105,367 "," $150,843 "," $131,498 "
337 - PERITONEAL ADHESIOLYSIS W/O CC/MCC," $85,217 "," $98,220 "," $60,666 "," $78,010 "," $106,066 "
338 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC," $51,466 ", $- , $- ," $189,831 ", $- 
339 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC," $89,733 "," $87,095 "," $97,955 "," $82,153 "," $86,729 "
340 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC," $81,836 "," $92,003 "," $66,825 "," $79,359 "," $52,346 "
341 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC, $- , $- ," $45,820 "," $125,873 ", $- 
342 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC," $63,917 "," $70,452 "," $103,492 "," $97,173 "," $79,487 "
343 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC," $54,208 "," $64,944 "," $56,290 "," $60,639 "," $49,664 "
344 - MINOR SMALL & LARGE BOWEL PROCEDURES W MCC," $58,400 "," $476,478 "," $98,170 "," $111,961 ", $- 
345 - MINOR SMALL & LARGE BOWEL PROCEDURES W CC," $106,629 "," $185,692 "," $79,391 "," $47,867 "," $30,834 "
346 - MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC," $37,369 ", $- ," $47,143 "," $46,132 "," $28,819 "
347 - ANAL & STOMAL PROCEDURES W MCC," $183,481 "," $167,294 ", $- , $- , $- 
348 - ANAL & STOMAL PROCEDURES W CC," $75,187 "," $192,722 ", $- ," $69,492 "," $57,073 "
349 - ANAL & STOMAL PROCEDURES W/O CC/MCC," $47,935 "," $102,694 "," $53,076 "," $60,961 "," $7,421 "
350 - INGUINAL & FEMORAL HERNIA PROCEDURES W MCC, $- , $- , $- , $- ," $287,887 "
351 - INGUINAL & FEMORAL HERNIA PROCEDURES W CC," $138,051 "," $106,925 "," $75,659 "," $73,352 "," $88,207 "
352 - INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC," $64,076 "," $69,332 "," $48,066 "," $65,969 "," $69,167 "
353 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC," $96,417 "," $130,698 "," $137,052 "," $165,734 "," $148,726 "
354 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC," $123,089 "," $117,372 "," $90,284 "," $134,374 "," $120,811 "
355 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC," $94,428 "," $71,280 "," $65,219 "," $99,690 "," $79,708 "
356 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC," $172,000 "," $168,552 "," $84,630 "," $176,736 "," $54,597 "
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC," $133,801 ", $- ," $47,388 "," $96,632 "," $91,670 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC," $65,936 "," $65,850 "," $57,780 "," $72,775 "," $51,060 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC," $55,683 "," $106,770 "," $99,785 ", $- , $- 
369 - MAJOR ESOPHAGEAL DISORDERS W CC," $41,634 "," $57,889 "," $57,440 "," $58,220 "," $60,428 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC, $- , $- ," $29,861 ", $- , $- 
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC," $69,443 "," $73,268 "," $80,882 "," $122,168 "," $57,698 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC," $63,281 "," $70,263 "," $35,811 "," $56,908 "," $49,410 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC," $48,456 "," $66,360 "," $41,574 "," $29,140 "," $44,561 "
374 - DIGESTIVE MALIGNANCY W MCC," $67,055 "," $65,355 "," $176,079 "," $31,412 "," $120,951 "
375 - DIGESTIVE MALIGNANCY W CC," $85,271 "," $55,538 "," $71,189 "," $68,748 "," $44,067 "
376 - DIGESTIVE MALIGNANCY W/O CC/MCC," $5,365 "," $55,952 "," $125,323 ", $- ," $43,619 "
377 - G.I. HEMORRHAGE W MCC," $78,581 "," $65,316 "," $88,721 "," $89,077 "," $70,890 "
378 - G.I. HEMORRHAGE W CC," $55,337 "," $52,749 "," $63,290 "," $57,233 "," $56,929 "
379 - G.I. HEMORRHAGE W/O CC/MCC," $42,604 "," $42,106 "," $40,518 "," $35,167 "," $41,039 "
380 - COMPLICATED PEPTIC ULCER W MCC," $67,280 "," $61,889 "," $176,444 "," $88,079 "," $111,663 "
381 - COMPLICATED PEPTIC ULCER W CC," $45,241 "," $41,331 "," $30,491 "," $66,538 "," $55,302 "
382 - COMPLICATED PEPTIC ULCER W/O CC/MCC," $75,801 "," $61,119 ", $- ," $18,599 "," $39,408 "
383 - UNCOMPLICATED PEPTIC ULCER W MCC, $- ," $115,235 ", $- ," $239,786 ", $- 
384 - UNCOMPLICATED PEPTIC ULCER W/O MCC, $- ," $47,660 "," $72,758 "," $30,485 "," $34,024 "
385 - INFLAMMATORY BOWEL DISEASE W MCC, $- ," $40,584 "," $86,515 "," $37,757 "," $56,771 "
386 - INFLAMMATORY BOWEL DISEASE W CC," $58,765 "," $47,550 "," $42,554 "," $46,375 "," $29,203 "
387 - INFLAMMATORY BOWEL DISEASE W/O CC/MCC," $19,270 "," $36,500 "," $34,587 "," $20,047 "," $21,813 "
388 - G.I. OBSTRUCTION W MCC," $55,895 "," $89,738 "," $87,957 "," $42,558 "," $71,145 "
389 - G.I. OBSTRUCTION W CC," $47,971 "," $53,242 "," $35,265 "," $44,296 "," $40,727 "
390 - G.I. OBSTRUCTION W/O CC/MCC," $32,513 "," $35,388 "," $29,361 "," $29,037 "," $26,594 "
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC"," $70,810 "," $72,751 "," $56,293 "," $71,764 "," $71,407 "
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC"," $42,784 "," $41,450 "," $29,529 "," $45,102 "," $33,095 "
393 - OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC," $132,197 "," $41,488 "," $65,877 "," $91,093 "," $64,234 "
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC," $44,081 "," $42,625 "," $45,079 "," $40,860 "," $41,728 "
395 - OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC," $39,791 "," $46,142 "," $41,969 "," $42,020 "," $26,834 "
"405 - PANCREAS, LIVER & SHUNT PROCEDURES W MCC", $- , $- , $- ," $230,772 "," $87,895 "
"406 - PANCREAS, LIVER & SHUNT PROCEDURES W CC"," $146,615 "," $155,149 ", $- ," $130,922 "," $148,133 "
"407 - PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC"," $26,659 ", $- ," $3,638 "," $116,386 ", $- 
408 - BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC," $69,443 ", $- , $- ," $297,746 ", $- 
409 - BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC, $- ," $92,969 ", $- ," $156,050 ", $- 
410 - BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC," $99,258 "," $70,497 ", $- , $- , $- 
411 - CHOLECYSTECTOMY W C.D.E. W MCC, $- , $- , $- , $- , $- 
412 - CHOLECYSTECTOMY W C.D.E. W CC, $- , $- , $- ," $182,730 ", $- 
413 - CHOLECYSTECTOMY W C.D.E. W/O CC/MCC," $94,078 "," $130,588 "," $46,621 ", $- , $- 
414 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC," $118,685 ", $- ," $172,864 "," $211,557 ", $- 
415 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC," $126,990 ", $- , $- , $- ," $76,336 "
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC," $99,522 "," $63,673 ", $- , $- , $- 
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC," $148,127 "," $107,507 "," $111,112 "," $119,337 "," $120,521 "
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC," $92,567 "," $89,876 "," $83,171 "," $99,887 "," $86,054 "
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC," $80,406 "," $77,500 "," $62,648 "," $73,171 "," $72,261 "
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC," $99,933 "," $173,291 ", $- , $- , $- 
421 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC, $- , $- , $- ," $54,420 ", $- 
422 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W/O CC/MCC, $- , $- , $- , $- , $- 
423 - OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC, $- , $- , $- ," $214,899 "," $270,215 "
424 - OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC, $- , $- , $- , $- , $- 
425 - OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W/O CC/MCC, $- , $- , $- , $- , $- 
432 - CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC," $57,219 "," $71,708 "," $55,965 "," $69,671 "," $71,985 "
433 - CIRRHOSIS & ALCOHOLIC HEPATITIS W CC," $42,193 "," $45,367 "," $61,846 "," $56,822 "," $37,047 "
434 - CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC," $29,378 "," $55,984 ", $- , $- ," $27,435 "
435 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC," $115,846 "," $60,881 "," $38,143 "," $120,963 "," $70,858 "
436 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC," $54,275 "," $23,152 "," $52,145 "," $46,958 "," $51,147 "
437 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC," $2,039 ", $- , $- , $- , $- 
438 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC," $54,368 "," $187,117 "," $92,221 "," $124,456 "," $107,664 "
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC," $47,067 "," $52,152 "," $42,925 "," $60,400 "," $43,495 "
440 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC," $38,169 "," $35,487 "," $40,958 "," $45,027 "," $28,819 "
"441 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC"," $52,508 "," $73,353 "," $82,083 "," $74,902 "," $65,453 "
"442 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC"," $43,352 "," $37,470 "," $13,693 "," $53,890 "," $41,562 "
"443 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC"," $37,881 "," $36,437 "," $33,672 "," $48,891 "," $31,818 "
444 - DISORDERS OF THE BILIARY TRACT W MCC," $96,660 "," $71,148 "," $78,538 "," $136,555 "," $72,397 "
445 - DISORDERS OF THE BILIARY TRACT W CC," $70,848 "," $68,681 "," $68,107 "," $60,003 "," $59,081 "
446 - DISORDERS OF THE BILIARY TRACT W/O CC/MCC," $50,433 "," $33,340 "," $55,289 "," $45,459 "," $51,534 "
453 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC, $- , $- ," $679,534 ", $- , $- 
454 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC, $- , $- ," $496,284 ", $- ," $609,503 "
455 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC, $- ," $222,529 "," $309,606 ", $- ," $373,978 "
456 - SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC, $- , $- , $- , $- , $- 
457 - SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC, $- , $- ," $356,688 ", $- ," $230,793 "
458 - SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC, $- , $- ," $277,676 ", $- , $- 
459 - SPINAL FUSION EXCEPT CERVICAL W MCC," $103,319 ", $- ," $324,296 "," $456,972 ", $- 
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC," $160,184 "," $222,390 "," $239,025 "," $351,432 "," $149,568 "
461 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W MCC, $- , $- , $- , $- , $- 
462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC," $176,274 ", $- ," $227,818 "," $142,665 ", $- 
"463 - WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC"," $288,174 "," $106,342 "," $247,195 "," $138,677 "," $266,314 "
"464 - WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC"," $163,574 "," $62,725 "," $114,280 "," $94,718 "," $88,723 "
"465 - WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC"," $96,581 "," $123,197 "," $72,139 "," $115,589 "," $86,835 "
466 - REVISION OF HIP OR KNEE REPLACEMENT W MCC," $235,588 "," $111,783 "," $175,176 ", $- ," $290,068 "
467 - REVISION OF HIP OR KNEE REPLACEMENT W CC," $270,422 "," $136,046 "," $186,115 "," $162,882 "," $265,694 "
468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC," $184,270 "," $151,561 "," $135,698 "," $224,923 "," $212,994 "
469 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMIT," $193,342 "," $163,591 "," $158,415 "," $128,672 "," $194,212 "
470 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMIT," $122,125 "," $133,372 "," $131,031 "," $96,996 "," $117,703 "
471 - CERVICAL SPINAL FUSION W MCC," $173,548 ", $- ," $261,265 ", $- ," $206,310 "
472 - CERVICAL SPINAL FUSION W CC," $171,731 "," $102,555 "," $173,359 "," $136,599 "," $178,703 "
473 - CERVICAL SPINAL FUSION W/O CC/MCC," $95,658 "," $161,606 "," $142,506 "," $70,643 "," $119,395 "
474 - AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC," $156,316 "," $148,466 "," $132,141 "," $292,696 ", $- 
475 - AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC," $76,387 "," $95,565 "," $133,906 "," $120,590 "," $112,551 "
476 - AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W/O CC/MCC," $50,179 "," $90,843 "," $67,130 ", $- , $- 
477 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC," $110,559 "," $89,477 ", $- ," $100,156 "," $107,940 "
478 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC," $126,325 ", $- ," $74,702 "," $85,186 "," $97,063 "
479 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC," $72,165 ", $- ," $72,892 ", $- ," $99,289 "
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC," $169,560 "," $127,463 "," $117,025 "," $152,532 "," $167,623 "
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC," $107,080 "," $116,443 "," $102,201 "," $120,376 "," $101,205 "
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC," $94,614 "," $87,019 "," $81,572 "," $85,884 "," $82,756 "
483 - MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES," $149,502 "," $136,139 "," $146,521 "," $133,735 "," $130,964 "
485 - KNEE PROCEDURES W PDX OF INFECTION W MCC, $- ," $160,569 "," $84,261 "," $114,043 "," $177,342 "
486 - KNEE PROCEDURES W PDX OF INFECTION W CC, $- ," $68,570 "," $108,780 "," $158,555 "," $166,568 "
487 - KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC," $55,507 "," $95,766 ", $- , $- , $- 
488 - KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC," $64,044 ", $- ," $135,610 ", $- , $- 
489 - KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC," $81,362 "," $91,537 "," $75,631 "," $58,752 ", $- 
"492 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC"," $181,532 "," $107,809 "," $116,336 ", $- , $- 
"493 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC"," $131,617 "," $122,194 "," $121,624 "," $118,572 "," $101,025 "
"494 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC"," $111,718 "," $99,303 "," $93,250 "," $97,301 "," $117,683 "
495 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W MCC, $- , $- , $- ," $61,487 ", $- 
496 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC," $132,936 ", $- ," $81,255 "," $54,615 "," $147,131 "
497 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC," $70,538 ", $- , $- , $- , $- 
498 - LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W CC/MCC," $231,907 ", $- , $- ," $137,216 ", $- 
499 - LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W/O CC/MCC, $- , $- , $- , $- , $- 
500 - SOFT TISSUE PROCEDURES W MCC," $180,452 ", $- ," $97,614 ", $- , $- 
501 - SOFT TISSUE PROCEDURES W CC," $119,376 "," $91,120 "," $76,019 "," $74,726 "," $62,319 "
502 - SOFT TISSUE PROCEDURES W/O CC/MCC," $92,256 ", $- ," $90,603 "," $48,459 "," $118,837 "
503 - FOOT PROCEDURES W MCC, $- , $- ," $120,522 "," $154,929 ", $- 
504 - FOOT PROCEDURES W CC," $81,564 "," $20,514 "," $79,020 "," $60,686 "," $91,639 "
505 - FOOT PROCEDURES W/O CC/MCC, $- , $- ," $94,082 "," $68,547 ", $- 
506 - MAJOR THUMB OR JOINT PROCEDURES, $- , $- ," $51,219 ", $- , $- 
507 - MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W CC/MCC," $134,124 "," $44,816 ", $- , $- , $- 
508 - MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W/O CC/MCC, $- , $- , $- , $- , $- 
509 - ARTHROSCOPY, $- , $- , $- , $- , $- 
"510 - SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W MCC"," $139,019 ", $- ," $110,591 ", $- ," $151,539 "
"511 - SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC"," $88,001 "," $62,101 "," $98,372 ", $- ," $102,071 "
"512 - SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC"," $117,262 "," $78,604 "," $72,233 "," $82,716 "," $67,614 "
"513 - HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC"," $75,179 "," $137,450 "," $81,177 "," $135,348 ", $- 
"514 - HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC"," $53,077 ", $- ," $37,269 "," $101,798 ", $- 
515 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC," $220,862 "," $112,433 "," $130,596 "," $57,627 "," $152,826 "
516 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC," $101,623 "," $88,857 "," $130,561 "," $118,041 "," $111,223 "
517 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC," $75,618 "," $98,162 "," $82,027 "," $57,600 "," $95,405 "
518 - BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM," $67,436 "," $374,889 "," $125,028 ", $- ," $168,226 "
519 - BACK & NECK PROC EXC SPINAL FUSION W CC," $54,977 ", $- ," $128,507 ", $- ," $146,012 "
520 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC," $115,381 "," $66,460 "," $99,662 ", $- ," $82,839 "
533 - FRACTURES OF FEMUR W MCC, $- , $- , $- , $- ," $29,248 "
534 - FRACTURES OF FEMUR W/O MCC," $45,905 "," $69,948 "," $36,377 "," $37,277 "," $20,545 "
535 - FRACTURES OF HIP & PELVIS W MCC," $45,226 "," $78,960 "," $57,663 "," $41,919 "," $33,473 "
536 - FRACTURES OF HIP & PELVIS W/O MCC," $25,069 "," $40,858 "," $31,333 "," $38,898 "," $34,096 "
"537 - SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W CC/MCC", $- , $- ," $52,903 ", $- , $- 
"538 - SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W/O CC/MCC", $- , $- ," $16,268 ", $- , $- 
539 - OSTEOMYELITIS W MCC," $42,245 ", $- ," $80,197 ", $- , $- 
540 - OSTEOMYELITIS W CC," $62,172 ", $- , $- , $- ," $154,834 "
541 - OSTEOMYELITIS W/O CC/MCC," $35,067 ", $- , $- , $- ," $14,296 "
542 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC," $56,387 "," $56,851 ", $- ," $179,265 "," $119,624 "
