Location,Charge Code,Description,Fee,Charge Quantity - Pharmacy
HEALTH ALLIANCE/CLINTON,27200030,GUIDE DRILL THREADED 2.8MM,825.44,
HEALTH ALLIANCE/CLINTON,27200030,KIT MIXING ADVANCED BONE CEMENT MEDIUM,824.67,
HEALTH ALLIANCE/CLINTON,27200030,DRILL  MATCHHEAD 3MM X 14CM,824.38,
HEALTH ALLIANCE/CLINTON,27200030,TAP QUICK CONNECT 3.5MM PERI-LOC,824.23,
HEALTH ALLIANCE/CLINTON,27200030,TAP QUICK CONNECT 2.7MM PERI-LOC,824.23,
HEALTH ALLIANCE/CLINTON,27200030,TAP CANCELLOUS QUICK CONNECT 4.0MM PERI-LOC,824.23,
HEALTH ALLIANCE/CLINTON,27200030,KIT CATHETER DUAL LUMEN ACUTE DIALYSIS CURVED 11.5CMX19.5CM MAHURKAR,823.73,
HEALTH ALLIANCE/CLINTON,27200030,CATHETER HICKMEN DIALYSIS DUAL LUMEN 13.5FR X 40CM,823.68,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT AO QUICK CONNECT 3.5MMX125MM SPS,822.71,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT 3.1MMX204MM AXSOS,822.71,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST CALIBRATED AO FITTING 4.3MMX262MM OMEGA 3,822.71,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT USE PMM 170137 2MM FAST DVR,822.36,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT DISPOSABLE 2MM,822.36,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT DISPOSABLE 2.8MM,822.36,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT CALIBRATED 2.5MMX100MM ALPS,821.65,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST STRYKER END STAINLESS STEEL 1.9MM VARIAX,819.63,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST STRYKER END FOR 6MM SCREW STAINLESS STEEL 1.35MMX50MM,819.54,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST STRYKER END FOR 12MM SCREW STAINLESS STEEL 1.4MMX54MM,819.54,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST FOR 6MM SCREW STRYKER SHAFT END STAINLESS STEEL 1.3MMX79MM,819.54,
HEALTH ALLIANCE/CLINTON,27200030,SUTURE USE PMM 178322 FIBERTAPE TAPERED TO FIBERWIRE NUMBER 2 BLUE 36IN,819.00,
HEALTH ALLIANCE/CLINTON,27200030,SUTURE FIBERSNARE 12IN GREEN NUMBER 2 FIBERWIRE 26IN STIFFENED CLOSED LOOP,819.00,
HEALTH ALLIANCE/CLINTON,27200030,TUBE TRACHEOSTOMY CUFFED MID-RANGE FIXED NECK FLANGE XLENGTH 6MM BIVONA,819.00,
HEALTH ALLIANCE/CLINTON,27200030,TUBE TRACHEOSTOMY CUFFED MID-RANGE FIXED NECK FLANGE XLENGTH 9MM BIVONA,819.00,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT ACORN 14CM 6MM,819.00,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT MATCH 9CM 3MM,819.00,
HEALTH ALLIANCE/CLINTON,27200030,PROBE REFLUX MONITORING 6 IMPEDENCE 1PH CHANNEL 6.9FR X 18CM,819.00,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBING OPEN IRRIGATED METRIQ,819.00,
HEALTH ALLIANCE/CLINTON,27200030,NET RETRIEVAL SPECIALTY NON-STERILE MINI 2CMX4.5CM NET 1.8MMX160CM ROTH NET,819.00,
HEALTH ALLIANCE/CLINTON,27200030,CATHETER PH/IMPEDANCE ZINS 8R DISPOSABLE 6FR VERSAFLEX-Z,819.00,
HEALTH ALLIANCE/CLINTON,27200030,FORCEP INTERNAL LIMITING MEMBRANE DISPOSABLE 23GA GRIESHABER,819.00,
HEALTH ALLIANCE/CLINTON,27200030,FORCEP TIP ADVANCED DSP ILM 25GA GRIESHABER,819.00,
HEALTH ALLIANCE/CLINTON,27200030,KIT SYRINGE VPLUS STERILE VERTECEM,819.00,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT QUICK RELEASE 1.1 MMX3.5IN SURGIBIT,819.00,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT QUICK RELEASE 2.0MMX3.5IN SURGIBIT,819.00,
HEALTH ALLIANCE/CLINTON,27200030,NET RETRIEVAL FOREIGN BODY FOOD BOLUS 4CMX5.5CM NET 2.5MMX160CM ROTH NET PLATINUM,818.40,
HEALTH ALLIANCE/CLINTON,27200030,SET GUIBOR C-LINE INTUBATION,817.77,
HEALTH ALLIANCE/CLINTON,27200030,DRESSING GRAUNFOAM POLYURETHANE EXTRA LARGE 60CMX30CMX1.5CM VAC,817.66,
HEALTH ALLIANCE/CLINTON,27200030,LINEAR STAPLER,816.73,
HEALTH ALLIANCE/CLINTON,27200030,LINEAR USE PMM 199547 STAPLER 90MM DISCONTINUED,816.73,
HEALTH ALLIANCE/CLINTON,27200030,CATHETER BRUSH  DOUBLE LUMEN DISPOSABLE 8FR 2.1MMX200CM,816.50,
HEALTH ALLIANCE/CLINTON,27200030,CABLE UMBLICAL COAXIAL SINGLE USE STERILE 183CM,815.10,
HEALTH ALLIANCE/CLINTON,27200030,PIN TRANSFIXING THREAD 50MM STAINLESS STEEL 4MM/5MMX200MM APEX,814.97,
HEALTH ALLIANCE/CLINTON,27200030,PIN TRANSFIXING STAINLESS STEEL 5MMX50MM THREAD 4MMX250MM APEX,814.97,
HEALTH ALLIANCE/CLINTON,27200030,PIN TRANSFIX 35MM THREAD 4MM X 250MM,814.97,
HEALTH ALLIANCE/CLINTON,27200030,PACK USE PMM 183003 FEM POP MEMORIAL CUSTOM,814.71,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT AO STERILE 4.2MM X 130MM,814.63,
HEALTH ALLIANCE/CLINTON,27200030,PACK LITH LAP,814.44,
HEALTH ALLIANCE/CLINTON,27200030,CYLINDER DRILL 9CM 5MM,814.32,
HEALTH ALLIANCE/CLINTON,27200030,BURR CYLINDER 9CM 7.5MM,814.32,
HEALTH ALLIANCE/CLINTON,27200030,PROGEL USE PMM 196985 EXTENDED SPAY TIP 11IN,814.00,
HEALTH ALLIANCE/CLINTON,27200030,TIP APPLICATOR SPRAY EXTENTED 29CM FOR PLEURAL AIR LEAK SEALANT KIT PROGEL,814.00,
HEALTH ALLIANCE/CLINTON,27200030,TOWER MIXING CEMENT SMARTMIX,813.74,
HEALTH ALLIANCE/CLINTON,27200030,BURR BALL DIAM COURSE 7CM 2MM,813.70,
HEALTH ALLIANCE/CLINTON,27200030,BURR BALL DIAM COARSE 7CM X 4MM,813.70,
HEALTH ALLIANCE/CLINTON,27200030,BURR BALL COURSE 7CM X 3MM,813.70,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT 3 FLUTED QUICK COUPLING 2.7MMX125MM,813.12,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST OVER SCOPE SOLID S COUPLE 2.9MMX70MM,813.12,
HEALTH ALLIANCE/CLINTON,27200030,FORCEP MICRO-HOLDING INTRAOCULAR LENS STERILE DISPOSABLE 23G,812.53,
HEALTH ALLIANCE/CLINTON,27200030,POST ANGLED 30 DEGREES HOFFMANN II MRI,812.42,
HEALTH ALLIANCE/CLINTON,27200030,PACK MAJOR VAGINAL PACK,811.45,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 18FR 1.5CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 18FR 1.7CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 18FR 2.0CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 18FR 2.3CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 18FR 2.5CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 14FR 4.5CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 18FR 2.7CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 12FR 1.5CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 14FR 0.8CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 14FR 1.0CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 14FR 1.2CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 14FR 1.5CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 14FR 1.7CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 14FR 2.0CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 16FR 1.2CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 16FR 1.5CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 16FR 1.7CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 16FR 2.0CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 20FR 3.5CM MIC-KEY,811.43,
HEALTH ALLIANCE/CLINTON,27200030,DRILL TWIST 1.2MMX25MM,810.83,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST AO QUICK COUPLING 2MMX40MMX91MM APTUS,810.83,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT 2.1MM X 10MM L57MM,810.83,
HEALTH ALLIANCE/CLINTON,27200030,DRILL TWIST 2.6MM X 10MM L61MM,810.83,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST 1.2MM X 25MM X L87MM JLATCH FOR FIXATION SCREW,810.83,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT 2.0MM X 40MM,810.83,
HEALTH ALLIANCE/CLINTON,27200030,DRILL TWIST STRYKER J LATCH 1.6MM X 10MM X 72MM,810.83,
HEALTH ALLIANCE/CLINTON,27200030,DRILL TWIST AO COUPLING 1.6MMX10MMX66MM,810.83,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST DENTAL END STAINLESS STEEL 1.9MM VARIAX,810.58,
HEALTH ALLIANCE/CLINTON,27200030,SLEEVE INSERT DRILL 4.5MM/3.2MM,810.03,
HEALTH ALLIANCE/CLINTON,27200030,COMPOSITE TIP REFILL LOW VISCOSITY A3.5 TPH SPECTRA,809.86,
HEALTH ALLIANCE/CLINTON,27200030,DRILL PEG TALAR ANTERIOR 4MM INBONE II,809.60,
HEALTH ALLIANCE/CLINTON,27200030,PIK ILLUMINATED MEMBRANE VITREORETINAL SURGERY 25GA,809.60,
HEALTH ALLIANCE/CLINTON,27200030,OVER DRILL WITH AO QUICK CONNECT 2.7MM,808.81,
HEALTH ALLIANCE/CLINTON,27200030,DRILL SHORT WITH AO QUICK CONNECT DISPOSABLE 2.0MM,808.81,
HEALTH ALLIANCE/CLINTON,27200030,DRILL LONG WITH AO QUICK CONNECT 1.5MM,808.81,
HEALTH ALLIANCE/CLINTON,27200030,OVERDRILL FOR 2.0MM SCREWS WITH AO QUICK CONNECT,808.81,
HEALTH ALLIANCE/CLINTON,27200030,OVER DRILL WITHAO QUICK CONNECT 2.4MM,808.81,
HEALTH ALLIANCE/CLINTON,27200030,DRILL SHORT WITH AO QC 1.8MM EVOS,808.81,
HEALTH ALLIANCE/CLINTON,27200030,TOOL BALL FLUTED 3MMX10CM MIDAS REX LEGEND,808.70,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT DISPOSABLE SHORT 4MM,808.54,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT 4MMXSHORT S3,808.54,
HEALTH ALLIANCE/CLINTON,27200030,BURR BALL COURSE LONG 1MM X 7CM,808.39,
HEALTH ALLIANCE/CLINTON,27200030,BURR BALL COURSE LONG 2MM X 7CM,808.39,
HEALTH ALLIANCE/CLINTON,27200030,BURR DIAMOND BALL LONG 3MM,808.39,
HEALTH ALLIANCE/CLINTON,27200030,BURR BALL DIAMOND 7CM X 5MM,808.39,
HEALTH ALLIANCE/CLINTON,27200030,BURR DIAMOND LEGEND 1.5MM X 7CM,808.39,
HEALTH ALLIANCE/CLINTON,27200030,BURR DIAMOND 5MM X 7CM,808.39,
HEALTH ALLIANCE/CLINTON,27200030,BURR DIAMOND 3MM X 7CM,808.39,
HEALTH ALLIANCE/CLINTON,27200030,BURR DIAMOND 4MM X 7CM,808.39,
HEALTH ALLIANCE/CLINTON,27200030,BURR BALL DIAMOND 7CMX4.0MM LEGEND,808.39,
HEALTH ALLIANCE/CLINTON,27200030,BURR BALL DIAMOND 7CMX6.0MM LEGEND,808.39,
HEALTH ALLIANCE/CLINTON,27200030,PACK SHOULDER MEMORIAL CUSTOM,808.08,
HEALTH ALLIANCE/CLINTON,27200030,COUNTERSINK SCREW WITH DENTAL END 1.7MM PROFYLE,807.69,
HEALTH ALLIANCE/CLINTON,27200030,DRILL FLUTED BALL LONG 7CM X 6MM,807.30,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE TRACHEOSTOMY ADULT 7.0MM BIVONA FOME-CUF,806.29,
HEALTH ALLIANCE/CLINTON,27200030,DRILL TWIST AO 1.0MM,806.08,
HEALTH ALLIANCE/CLINTON,27200030,ELECTRODE ELECTROSURGICAL CUTTING LOOP PEDIATRIC DISPOSABLE STERILE 11.5FR,805.99,
HEALTH ALLIANCE/CLINTON,27200030,SURGICEL SNOW NON-WOVEN ABSORBABLE HEMOSTAT 2MM X 4MM,805.41,
HEALTH ALLIANCE/CLINTON,27200030,BLADE INTRA-ORAL 11.5MM X 7.0MM,804.96,
HEALTH ALLIANCE/CLINTON,27200030,DEVICE EXPRESS BONE BIOPSY,804.80,
HEALTH ALLIANCE/CLINTON,27200030,TAP QUICK COUPLING FOR 3.5 CORTEX AND SHAFT SCREWS GOLD 110MM,804.80,
HEALTH ALLIANCE/CLINTON,27200030,TAP QUICK COUPLING FOR 2.7MM CORTEX SCREWS 100MM,804.80,
HEALTH ALLIANCE/CLINTON,27200030,TAP FOR 4.0 CANCELLOUS SCREWS 110MM,804.80,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST AO SHAFT END STAINLESS STEEL 1MMX22MM,804.67,
HEALTH ALLIANCE/CLINTON,27200030,SHEATH ACCESS URETERAL 11/13FR 28CM NAVIGATOR BX5,803.34,
HEALTH ALLIANCE/CLINTON,27200030,PACK  PODIATRY FOOT & ANKLE CDS CUSTOM,803.26,
HEALTH ALLIANCE/CLINTON,27200030,DISSECTOR THOMASSIN DOUBLE ENDED CURVED TIP 18CM,803.09,
HEALTH ALLIANCE/CLINTON,27200030,DRILL ACORN 9CM 6MM,803.09,
HEALTH ALLIANCE/CLINTON,27200030,TOOL DISSECTING MATCH HEAD 2.5,803.09,
HEALTH ALLIANCE/CLINTON,27200030,SPONGE HEMOSTATIC ABSORBABLE CELLULOSE STERILE 2INX4IN SURGICEL,802.81,
HEALTH ALLIANCE/CLINTON,27200030,PACK HIP FX,802.03,
HEALTH ALLIANCE/CLINTON,27200030,PIN GUIDE CANNULATED SCREW THREADED TIP TROCAR POINT STAINLESS STEEL STERILE 2MMX9IN,801.37,
HEALTH ALLIANCE/CLINTON,27200030,NEEDLE ASPIRATING PRE MARKED 21GA 1.8MMX130MMX2.0MM SUPERTRAX,800.98,
HEALTH ALLIANCE/CLINTON,27200030,NEEDLE ASPIRATING PRE MARKED 19GA 1.8MMX130MMX2.0MM SUPERTRAX,800.98,
HEALTH ALLIANCE/CLINTON,27200030,OCCLUDER COLPO-PNEUMO SILICONE DISPOSABLE STERILE,800.94,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT 2.0MMX120MM DARCO,800.80,
HEALTH ALLIANCE/CLINTON,27200030,CATHETER BALLOON DILATATION GRADUATED COTTON 0.035IN 10FR,800.80,
HEALTH ALLIANCE/CLINTON,27200030,CLAMP BULLDOG DELICATE STRIGHT JAW 3CM 2 1/2IN,799.97,
HEALTH ALLIANCE/CLINTON,27200030,ELECTRODE GROUND SUBDERMAL PAIRED 2-CHANNEL STERILE SINGLE USE 12MM,799.92,
HEALTH ALLIANCE/CLINTON,27200030,ELECTRODE COAGULATING INFANT 9FR,799.64,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 24FR 2.5CM MIC-KEY,799.03,
HEALTH ALLIANCE/CLINTON,27200030,HOLDER NEEDLE AMPLATZ TYPE WITH SILICONE INSERT,798.33,
HEALTH ALLIANCE/CLINTON,27200030,PROBE LAPAROSCOPIC DISPOSABLE WITH 10FT CORD 28CM 5MM ABC,798.17,
HEALTH ALLIANCE/CLINTON,27200030,PACK PBDS HIP FRACTURE TABLE USE PMM 183025,796.77,
HEALTH ALLIANCE/CLINTON,27200030,GUIDEWIRE 3.2MM THREADED TIP,793.94,
HEALTH ALLIANCE/CLINTON,27200030,STAPLER LINEAR 30MM 2.5,793.20,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT CALIBRATED 3.2MM,792.79,
HEALTH ALLIANCE/CLINTON,27200030,PACK EAR UM-LF,792.18,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT CANNULATED DISPOSABLE 2.7MMX149MM WAVE,792.00,
HEALTH ALLIANCE/CLINTON,27200030,GUIDEWIRE WITH TROCAR TIP 0.062IN,792.00,
HEALTH ALLIANCE/CLINTON,27200030,KIT PIN-PLUG,792.00,
HEALTH ALLIANCE/CLINTON,27200030,LUBRICANT VIPERSLIDE 100ML,792.00,
HEALTH ALLIANCE/CLINTON,27200030,NET RETRIEVAL SPECIALTY ENTERPSCOPIC 3CMX6CM NET 2.5MMX350CM ROTH NET,792.00,
HEALTH ALLIANCE/CLINTON,27200030,SCREW CERVICAL ANTERIOR SELF-DRILLING 4MMX13MM ATLANTIS,792.00,
HEALTH ALLIANCE/CLINTON,27200030,SCREW HEX HEADED 3.5MMX38MM IASSIST,792.00,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT 2.0MMX130MM,791.82,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT 2.7MMX130MM,791.82,
HEALTH ALLIANCE/CLINTON,27200030,TAP FOR 3.5MM CANCELLOUS SCREWS 50MM CALIBRATION,791.62,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST FOR 6MM SCREW STRYKER SHAFT END STAINLESS STEEL 1MMX50MM,791.56,
HEALTH ALLIANCE/CLINTON,27200030,KIT CATHETERIZATION CENTERAL VENOUS MULTI LUMEN 7FR 6IN,791.51,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST FOR 12MM SCREW STRYKER SHAFT END STAINLESS STEEL 1.05MMX54MM,791.47,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST STRYKER END FOR 5MM SCREW STAINLESS STEEL 1.6MMX50MM,791.47,
HEALTH ALLIANCE/CLINTON,27200030,PACK GENERAL MAJOR UM-LF,791.38,
HEALTH ALLIANCE/CLINTON,27200030,HINGE LOW PROFILE STAINLESS STEEL FEMALE ILIZAROV,788.81,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT 3.2MMX300MM ASNIS III,788.50,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST STRYKER END FOR STAINLESS STEEL 1.8MMX58MM,788.22,
HEALTH ALLIANCE/CLINTON,27200030,NEEDLE ASPIRATION EBUS 21GA,787.88,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE GASTROSTOMY BUTTON BALLOON LOW PROFILE 18FR 1.2CM MIC-KEY,787.80,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT QUICK RELEASE 2.0MM SURGIBIT,787.80,
HEALTH ALLIANCE/CLINTON,27200030,PICK ENDOSCOPIC STERILE 45 DEGREE 1.5MMX13CM POWER PICK,787.80,
HEALTH ALLIANCE/CLINTON,27200030,BLADE SHAVER ARTHROSCOPIC TORPEDO 4.0MMX13CM,787.80,
HEALTH ALLIANCE/CLINTON,27200030,KIT MEASURING DEVICE MALE WITH 5 SIZES STERILE,787.80,
HEALTH ALLIANCE/CLINTON,27200030,FORCEP VASECTOMY NO SCAPEL WITH SHARP POINT CURVED JAW 5IN,787.80,
HEALTH ALLIANCE/CLINTON,27200030,SCISSOR BIPOLAR JAW INSERT,787.34,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT 4.5MM POLYAX,787.16,
HEALTH ALLIANCE/CLINTON,27200030,PACK THYROID,787.02,
HEALTH ALLIANCE/CLINTON,27200030,PACK USE PMM 183016 CAROTID MEMORIAL CUSTOM,786.98,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST STRYKER SHAFT END STAINLESS STEEL 1MMX22MM,785.75,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST STRYKER SHAFT END STAINLESS STEEL 1.9MMX27MM,785.75,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST DENTAL SHAFT END STAINLESS STEEL 1.9MMX27MM,785.75,
HEALTH ALLIANCE/CLINTON,27200030,DRILL TWIST DENTAL END STAINLESS STEEL 1.4MMX27MM,785.75,
HEALTH ALLIANCE/CLINTON,27200030,PACK CYSTO CUSTOM,785.49,
HEALTH ALLIANCE/CLINTON,27200030,DRESSING BARRIER ANTIMICROBIAL FLEX 3 4INX48IN ACTICOAT,785.15,
HEALTH ALLIANCE/CLINTON,27200030,CATHETER CENTRAL VENOUS CHRONIC DOUBLE LUMEN 13.5FR,783.98,
HEALTH ALLIANCE/CLINTON,27200030,PIN GUIDE STAINLESS STEEL 2MM 4FUSION EASY CLIP,783.90,
HEALTH ALLIANCE/CLINTON,27200030,SLEEVE INSERT DRILL 3.5MM/2.5MM,783.90,
HEALTH ALLIANCE/CLINTON,27200030,RETRACTOR IRIS FLEXIBLE DISPOSABLE STERILE,783.82,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT TWIST DENTAL END FOR 2.0MM/2.3MMX20MM SCREW STAINLESS STEEL 1.6MMX58MM,783.67,
HEALTH ALLIANCE/CLINTON,27200030,SCLAPEL STRICTURE SICKLE SHAPE,783.59,
HEALTH ALLIANCE/CLINTON,27200030,SCALPEL ERLANGEN STRICTURE ENDOSCOPIC INFANT,783.59,
HEALTH ALLIANCE/CLINTON,27200030,SCALPEL STRICTURE ENDOSCOPIC SICKLE INFANT,783.59,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT 2.0MM FLEXIBLE FRAGMENT FIXATION F3,783.20,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT SHORT SHAFT STERILE 2.9MM JUGGERKNOT,783.20,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT SOLID 4.5MM,783.20,
HEALTH ALLIANCE/CLINTON,27200030,PERICARDIOCENTESIS LOCK SET 8.3FR X 40CM WITH SIX SIDEPORTS 18GA NEEDLE X 7CM AND 12CM,782.89,
HEALTH ALLIANCE/CLINTON,27200030,PACK MAJOR UNIVERSAL MEMORIAL CUSTOM,782.76,
HEALTH ALLIANCE/CLINTON,27200030,STAPLER RELOADABLE LINEAR 60MM PROXIMATE,782.50,
HEALTH ALLIANCE/CLINTON,27200030,NEEDLE TROCAR TIP STANDARD,781.44,
HEALTH ALLIANCE/CLINTON,27200030,VISCOELASTIC SYSTEM OPHTHALMIC STERILE 0.5ML VISCOAT 0.55ML PROVISC 1.05ML DUOVISC,780.74,
HEALTH ALLIANCE/CLINTON,27200030,KIT TUBE TRACHEOSTOMY ADULT 8.0MM BIVONA FOME-CUF,780.03,
HEALTH ALLIANCE/CLINTON,27200030,BLADE ARTHROSCOPIC HIP STRAIGHT 13MMX28CM ENDURANCE,780.00,
HEALTH ALLIANCE/CLINTON,27200030,KIT BIOPSY STERILE 10G,780.00,
HEALTH ALLIANCE/CLINTON,27200030,BLADE SAW 9MM,780.00,
HEALTH ALLIANCE/CLINTON,27200030,BLADE SAW OSCILLATING 9MM,780.00,
HEALTH ALLIANCE/CLINTON,27200030,GUIDEWIRE BALL TIP SMOOTH STAINLESS STEEL 70CM,780.00,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT CANNULATED 3.5MMX60MM GEN II,780.00,
HEALTH ALLIANCE/CLINTON,27200030,CAP LOCKING SYSTEM ELLIPSE,780.00,
HEALTH ALLIANCE/CLINTON,27200030,SLEEVE TRACTION VELCRO STAR,780.00,
HEALTH ALLIANCE/CLINTON,27200030,ELECTRODE CORKSCREW 1.2MM X 48IN,780.00,
HEALTH ALLIANCE/CLINTON,27200030,KIT PROCEDURE DISPOSABLE CROSSFIX II,780.00,
HEALTH ALLIANCE/CLINTON,27200030,SET TUBING COOL POINT,780.00,
HEALTH ALLIANCE/CLINTON,27200030,STYLET GUIDING FOR SEEG ELECTRODE,780.00,
HEALTH ALLIANCE/CLINTON,27200030,STENT NASOLACRIMAL DUCT INTUBATION SELF-THREADING WIDE SILICONE PVP 0.64MM MONOKA,780.00,
HEALTH ALLIANCE/CLINTON,27200030,KIT ENTRY LAPAROSCOPIC SYSTEM SMALL 2.5CM-6CM ALEXIS,780.00,
HEALTH ALLIANCE/CLINTON,27200030,KIT ENTRY LAPAROSCOPIC SYSTEM MEDIUM 5CM-9CM ALEXIS,780.00,
HEALTH ALLIANCE/CLINTON,27200030,POUCH RETRIEVAL SYSTEM 12MM/15MM INZII,780.00,
HEALTH ALLIANCE/CLINTON,27200030,TAP PICASSO II 6.5MM,780.00,
HEALTH ALLIANCE/CLINTON,27200030,KIT PEG SAFETY PULL WITH XYLOCAINE AMPULE STERILE 24FR,778.23,
HEALTH ALLIANCE/CLINTON,27200030,KIT PERCUTANEOUS ENDOSCOPIC GASTROSTOMY PEG PULL SAFETY STERILE 20FR ENDOVIVE,778.23,
HEALTH ALLIANCE/CLINTON,27200030,KIT PERCUTANEOUS ENDOSCOPIC GASTROSTOMY PEG PUSH SAFETY WITH XYLOCAINE AMPULE STERILE 20FR ENDOVIVE,778.23,
HEALTH ALLIANCE/CLINTON,27200030,KIT PERCUTANEOUS ENDOSCOPIC GASTROSTOMY SAFETY PUSH 24FR ENDOVIVE,778.23,
HEALTH ALLIANCE/CLINTON,27200030,SCREW SCHANZ BLUNTED TROCAR POINT 5.0MMX200MM,776.16,
HEALTH ALLIANCE/CLINTON,27200030,DRILL BIT SNAP 4MM,776.16,
