Bayhealth Medical Center ,,,
Kent General Hospital,,,
,,,
Charge Code,Charge Description,Charge,**Charge is variable and based on type of drug / supply and variabe cost
30000308,HC IMMUNOASSAY TUMOR CA 19-9, $281.00 ,
30000309,HC IMMUNOASSAY TUMOR CA 125, $118.00 ,
30000310,HC HUMAN EPIDIDYMIS PROTEIN 4, $437.00 ,
30000311,HC IMMUNOASSAY TUMOR OTHER QUANTITATIVE, $324.00 ,
30000312,HC IMMUNOASSAY INFECTIOUS AGENT QUANTITATIVE, $73.00 ,
30000313,HC IMMUNE COMPLEX ASSAY, $274.00 ,
30000314,HC IMMUNOFIXATION E-PHORESIS SERUM, $320.00 ,
30000315,HC INHIBIN A, $155.00 ,
30000316,HC INSULIN ANTIBODIES, $300.00 ,
30000317,HC INTRINSIC FACTOR ANTIBODY, $252.00 ,
30000318,HC ISLET CELL ANTIBODY, $221.00 ,
30000319,HC LYMPHOCYTE TRANSFORMATION, $400.00 ,
30000320,HC B CELLS TOTAL COUNT, $161.00 ,
30000321,HC NK CELLS TOTAL COUNT, $161.00 ,
30000322,HC T CELLS TOTAL COUNT, $161.00 ,
30000323,HC T CELL ABSOLUTE COUNT/RATIO, $504.00 ,
30000324,HC T CELL ABSOLUTE COUNT, $319.00 ,
30000325,HC MICROSOMAL ANTIBODY EACH, $196.00 ,
30000326,HC PARTICLE AGGLUTINATION ANTIBODY SCREEN, $244.00 ,
30000327,HC RHEUMATOID FACTOR TEST QUAL, $104.00 ,
30000328,HC RHEUMATOID FACTOR TEST QUAL, $55.50 ,
30000329,HC TB TEST CELL IMMUN MEASURE, $412.00 ,
30000330,HC SYPHILIS TEST NON-TREPONEMAL ANTIBODY QUALITATIVE, $68.00 ,
30000331,HC ADENOVIRUS ANTIBODY, $231.00 ,
30000332,HC BACTERIUM ANTIBODY, $109.00 ,
30000333,HC BARTONELLA ANTIBODY, $182.00 ,
30000334,HC BORDETELLA ANTIBODY, $61.00 ,
30000335,HC LYME DISEASE ANTIBODY CONFIRMATORY TEST, $147.00 ,
30000336,HC LYME DISEASE ANTIBODY, $119.00 ,
30000337,HC CANDIDA ANTIBODY, $169.00 ,
30000338,HC CHLAMYDIA ANTIBODY, $92.00 ,
30000339,HC CHLAMYDIA IGM ANTIBODY, $92.00 ,
30000340,HC COCCIDIOIDES ANTIBODY, $96.00 ,
30000341,HC Q FEVER ANTIBODY, $148.00 ,
30000342,HC CMV ANTIBODY, $221.00 ,
30000343,HC CMV ANTIBODY IGM, $221.00 ,
30000344,HC DIPHTHERIA ANTIBODY, $270.00 ,
30000345,HC ENCEPHALITIS CALIFORNIA ANTIBODY, $23.00 ,
30000346,HC ENCEPHALITIS EAST EQUINE ANTIBODY, $159.00 ,
30000347,HC ENCEPHALITIS ST LOUIS ANTIBODY, $23.00 ,
30000348,HC ENCEPHALITIS WEST EQUINE ANTIBODY, $23.00 ,
30000349,HC ECHOVIRUS ANTIBODY, $52.00 ,
30000350,HC EPSTEIN-BARR ANTIBODY, $329.00 ,
30000351,HC EPSTEIN-BARR NUCLEAR ANTIGEN, $88.00 ,
30000352,HC EPSTEIN-BARR CAPSID VCA, $88.00 ,
30000353,HC ERHLICHIA ANTIBODY, $198.00 ,
30000354,HC FUNGUS NES ANTIBODY, $244.00 ,
30000355,HC HELICOBACTER PYLORI ANTIBODY, $95.00 ,
30000356,HC HELMINTH ANTIBODY, $313.00 ,
30000357,HC HAEMOPHILUS INFLUENZA ANTIBODY, $185.00 ,
30000358,HC HEPATITIS DELTA AGENT ANTIBODY, $208.00 ,
30000359,HC HERPES SIMPLEX NES ANTBDY, $385.00 ,
30000360,HC HERPES SIMPLEX TYPE 1 TEST, $185.00 ,
30000361,HC HERPES SIMPLEX TYPE 2 TEST, $185.00 ,
30000362,HC HISTOPLASMA ANTIBODY, $250.00 ,
30000363,HC HIV-1ANTIBODY, $87.00 ,
30000364,HC HIV-2 ANTIBODY, $130.00 ,
30000365,HC HIV-1/HIV-2 1 RESULT ANTBDY, $132.00 ,
30000366,HC HEPATITIS B CORE TOTAL ANTIBODY, $229.00 ,
30000367,HC HEPATITIS B CORE IGM ANTIBODY, $163.50 ,
30000368,HC HEP B SURFACE ANTIBODY, $163.00 ,
30000369,HC HEPATITIS BE ANTIBODY, $169.00 ,
30000370,HC HEPATITIS A IGM ANTIBODY, $96.00 ,
30000371,HC INFLUENZA VIRUS ANTIBODY, $23.00 ,
30000372,HC LEGIONELLA ANTIBODY, $155.00 ,
30000373,HC LEPTOSPIRA ANTIBODIES, $192.00 ,
30000374,HC LYMPH CHORIOMENINGITIS ANTIBODY, $146.00 ,
30000375,HC MUMPS ANTIBODY, $231.00 ,
30000376,HC MYCOPLASMA ANTIBODY, $192.00 ,
30000377,HC PARVOVIRUS ANTIBODY, $155.00 ,
30000378,HC PROTOZOA ANTIBODY NOS, $126.00 ,
30000379,HC RICKETTSIA ANTIBODY, $108.00 ,
30000380,HC RUBELLA ANTIBODY, $170.00 ,
30000381,HC RUBEOLA ANTIBODY, $229.00 ,
30000382,HC TETANUS ANTIBODY, $221.00 ,
30000383,HC TOXOPLASMA ANTIBODY, $221.00 ,
30000384,HC TOXOPLASMA ANTIBODY IGM, $139.00 ,
30000385,HC TREPONEMA PALLIDUM, $139.50 ,
30000386,HC VARICELLA-ZOSTER ANTIBODY, $233.00 ,
30000387,HC WEST NILE VIRUS AB IGM, $126.00 ,
30000388,HC WEST NILE VIRUS ANTIBODY, $126.00 ,
30000389,HC VIRUS ANTIBODY NOS, $269.00 ,
30000390,HC THYROGLOBULIN ANTIBODY, $196.00 ,
30000391,HC HEPATITIS C ANTIBODY, $157.00 ,
30000392,HC CYTOTOXIC ANTIBODY SCREENING, $809.00 ,
30000393,"HC HLA TYPING A B OR C, MULTIPLE", $529.00 ,
30000394,HC RBC ANTIBODY SCREEN, $103.00 ,
30000395,HC RBC ANTIBODY ELUTION, $140.00 ,
30000396,HC RBC ANTIBODY IDENTIFICATION, $226.00 ,
30000397,HC COOMBS TEST DIRECT, $115.00 ,
30000398,HC COOMBS TEST INDIRECT QUAL, $44.00 ,
30000399,HC COOMBS TEST INDIRECT TITER, $147.00 ,
30000400,HC BBD AUTOLOGOUS BLOOD PROCESS DONOR, $438.00 ,
30000401,HC BLOOD TYPING SEROLOGIC ABO, $80.00 ,
30000402,HC BLOOD TYPING RH (D), $80.00 ,
30000403,HC BLOOD TYPE ANTIGEN DONOR EA, $111.00 ,
30000404,HC BLOOD TYPING RBC ANTIGENS, $108.00 ,
30000405,HC BLOOD TYPING RH PHENOTYPE, $116.00 ,
30000406,HC COMPATIBILITY TEST SPIN, $102.00 ,
30000407,HC COMPATIBILITY TEST INCUBATE, $108.00 ,
30000408,HC COMPATIBILITY TEST ANTIGLOB, $177.00 ,
30000409,HC COMPATIBILITY TEST ELECTRIC, $177.00 ,
30000410,HC BLOOD PRODUCT/IRRADIATION, $70.00 ,
30000411,HC RBC PRETX INCUBATJ W/CHEMICAL, $91.00 ,
30000412,HC RBC PRETX INCUBATJ W/ENZYMES, $91.00 ,
30000413,HC RBC SERUM PRETX ID DILUTION, $41.00 ,
30000414,HC RBC PRETREATMENT SERUM, $129.00 ,
30000415,HC SPLIT BLOOD OR PRODUCTS, $175.00 ,
30000416,HC TRANSFUSION PROCEDURE, $54.00 ,
30000417,HC SPECIMEN INFECT AGNT CONCNTJ, $51.00 ,
30000418,HC FECES CULTURE AEROBIC BACT, $182.00 ,
30000419,HC STOOL CULTURE AEROBIC BACTERIA EACH, $68.00 ,
30000420,HC CULTURE OTHR SPECIMN AEROBIC, $157.00 ,
30000421,HC CULTURE AEROBIC IDENTIFY, $68.50 ,
30000422,HC CULTURE SCREEN ONLY, $160.50 ,
30000423,HC FUNGUS ISOLATION CULTURE, $95.00 ,
30000424,HC BLOOD FUNGUS CULTURE, $56.00 ,
30000425,HC FUNGI IDENTIFICATION YEAST, $126.00 ,
30000426,HC FUNGI IDENTIFICATION MOLD, $73.00 ,
30000427,HC MYCOPLASMA, $276.00 ,
30000428,HC CHLAMYDIA CULTURE, $309.00 ,
30000429,HC CULTURE TYPING GLC/HPLC, $73.00 ,
30000430,HC CULTURE TYPE IMMUNOLOGIC, $172.50 ,
30000431,HC DNA/RNA AMPLIFIED PROBE, $283.00 ,
30000432,HC CULTURE TYPING ADDED METHOD, $277.00 ,
30000433,HC OVA AND PARASITES SMEARS, $74.00 ,
30000434,HC MICROBE SUSCEPTIBLE DIFFUSE, $28.00 ,
30000435,HC MICROBE SUSCEPTIBLE DISK, $70.00 ,
30000436,HC MICROBE SUSCEPTIBLE MIC, $143.00 ,
30000437,HC MICROBE SUSCEPT MACROBROTH, $76.00 ,
30000438,HC MICROBE SUSCEPT MYCOBACTERI, $39.00 ,
30000439,HC SMEAR FLUORESCENT/ACID STAI, $62.50 ,
30000440,HC SMEAR SPECIAL STAIN, $129.00 ,
30000441,HC SMEAR COMPLEX STAIN, $125.00 ,
30000442,HC VIRUS INOCULATION TISSUE, $504.00 ,
30000443,HC VIRUS INOCULATION SHELL VIA, $241.00 ,
30000444,HC GENET VIRUS ISOLATE HSV, $427.00 ,
30000445,HC ADENOVIRUS AG IF, $280.00 ,
30000446,HC CRYPTOSPORIDIUM AG IF, $90.00 ,
30000447,HC PARAINFLUENZA AG IF, $63.00 ,
30000448,HC ASPERGILLUS AG EIA, $232.00 ,
30000449,HC CLOSTRIDIUM AG EIA, $101.00 ,
30000450,HC GIARDIA AG EIA, $172.00 ,
30000451,HC HELICOBACTER PYLORI ANTIGEN STOOL, $295.00 ,
30000452,HC HEPATITIS B SURFACE AG EIA, $104.00 ,
30000453,HC HEPATITIS BE AG EIA, $182.00 ,
30000454,HC INFLUENZA A/B AG EIA, $91.00 ,
30000455,HC ROTAVIRUS AG EIA, $305.00 ,
30000456,HC SHIGA-LIKE TOXIN AG EIA, $122.00 ,
30000457,HC AG DETECT NOS EIA MULT, $218.00 ,
30000458,HC LYME DIS DNA AMP PROBE, $640.00 ,
30000459,HC CHYLMD TRACH DNA AMP PROBE, $207.50 ,
30000460,HC C DIFF AMPLIFIED PROBE, $351.00 ,
30000461,HC CYTOMEG DNA AMP PROBE, $622.00 ,
30000462,HC CYTOMEG DNA QUANT, $701.00 ,
30000463,HC ENTEROVIRUS PROBE&REVRS TRNS, $467.00 ,
30000464,HC INFLUENZA DNA AMP PROBE, $854.00 ,
30000465,HC INFLUENZA DNA AMP PROB ADDL, $209.00 ,
30000466,HC HEPATITIS B DNA QUANT, $445.00 ,
30000467,HC HEPATITIS C PROBE&RVRS TRNSC, $574.00 ,
30000468,HC HEPATITIS C REVRS TRNSCRPJ, $658.00 ,
30000469,HC HSV DNA AMP PROBE, $185.00 ,
30000470,HC HIV-1 PROBE&REVERSE TRNSCRPJ, $599.00 ,
30000471,HC HIV-1 QUANT&REVRSE TRNSCRPJ, $560.00 ,
30000472,HC M.TUBERCULO DNA AMP PROBE, $456.00 ,
30000473,HC N.GONORRHOEAE DNA AMP PROB, $185.00 ,
30000474,HC HPV HIGH-RISK TYPES, $301.00 ,
30000475,HC RESP VIRUS 3-5 TARGETS, $843.00 ,
30000476,HC DETECT AGENT NOS DNA AMP, $454.00 ,
30000477,HC DETECT AGENT NOS DNA QUANT, $651.00 ,
30000478,HC STREP A ASSAY W/OPTIC, $102.00 ,
30000479,HC GENOTYPE DNA HIV REVERSE T," $1,350.00 ",
30000480,HC GENOTYPE DNA/RNA HEP C," $1,350.00 ",
30000481,HC PHENOTYPE DNA HIV W/CULTURE," $1,445.00 ",
30000482,HC PHENOTYPE DNA HIV W/CLT ADD, $304.00 ,
30000483,HC GENOTYPE DNA HEPATITIS B," $1,130.00 ",
30000484,HC CYTOPATH FL NONGYN SMEARS, $106.00 ,
30000485,HC CYTOPATH C/V THIN LAYER, $131.00 ,
30000486,HC CYTOPATH C/V INDEX ADD-ON, $24.00 ,
30000487,HC CYTOPATH SMEAR OTHER SOURCE, $130.00 ,
30000488,HC CYTOPATH SMEAR OTHER SOURCE; PREPARATION, $152.00 ,
30000489,HC CYTOPATH SMEAR OTHER SOURCE; EXTENDED, $162.00 ,
30000490,HC CYTOPATH TBS C/V MANUAL, $84.00 ,
30000491,HC CYTP DX EVAL FNA 1ST EA SITE, $216.00 ,
30000492,HC FLOW CYTOMETRY; CELL CYCLE OR DNA ANALYSIS, $321.00 ,
30000493,HC FLOWCYTOMETRY/ TC 1 MARKER, $183.00 ,
30000494,HC FLOWCYTOMETRY/ TC ADD ON, $172.00 ,
30000495,HC FLOWCYTOMETRY/READ 2-8, $25.00 ,
30000496,HC FLOWCYTOMETRY/READ 9-15, $902.00 ,
30000497,HC FLOWCYTOMETRY/READ 16 & >, $110.00 ,
30000498,HC TISSUE CULTURE BONE MARROW, $472.00 ,
30000499,HC CHROMOSOME ANALYSIS 15-20, $483.00 ,
30000500,HC CHROMOSOME ANALYSIS 20-25, $466.00 ,
30000501,HC CYTOGENETICS DNA PROBE, $201.00 ,
30000502,HC CYTOGENETICS 25-99, $226.00 ,
30000503,HC CYTOGENETICS 100-300, $260.00 ,
30000504,HC CHROMOSOME KARYOTYPE STUDY, $95.00 ,
30000505,HC SURGICAL PATH LEVEL 4, $163.00 ,
30000506,HC DECALCIFICATION PROCEDURE, $40.00 ,
30000507,HC SPECIAL STAIN GROUP 2, $136.00 ,
30000508,HC HISTOCHEMICAL STAINS ADD-ON, $234.00 ,
30000509,HC CONSULT REFERRED SLIDES, $293.00 ,
30000510,HC CONSULT & REPORT REFERRED MATTER, $262.00 ,
30000511,HC IHC QUAL EACH ADD STAIN, $212.00 ,
30000512,HC IHC QUAL INITIAL STAIN, $228.00 ,
30000513,HC IHC QUAL EA STAIN MULTIPLEX, $358.00 ,
30000514,"HC ELECTRON MICROSCOPY, DIAGNOSTIC", $536.00 ,
30000515,HC MORPHOMETRIC ANALYSIS TUMOR, $172.00 ,
30000516,HC INSITU HYBRIDIZATION (FISH), $274.00 ,
30000517,HC MICRODISSECTION MANUAL, $595.00 ,
30000518,HC BILIRUBIN TRANSCUTANEOUS; TOTAL, $21.00 ,
30000519,HC BODY FLUID CELL COUNT, $161.00 ,
30000520,HC EXAM SYNOVIAL FLUID CRYSTALS, $116.00 ,
30000521,HC SEMEN ANALYSIS VOLUME/COUNT/MOTILITY, $270.00 ,
30000522,HC SEMEN ANALYSIS SPERM DETECTION, $171.00 ,
30000523,HC PSA SCREEN, $120.00 ,
30000524,HC DRUG SCREEN MULTI DRUG CLASS, $95.00 ,
30000525,HC CATHETERIZE FOR URINE SPEC, $249.00 ,
30000526,"HC FETAL HEMOGLOBIN, APT TEST", $70.00 ,
30000527,"HC L/S RATIO, LAMELLAR BODY DENSITY", $106.00 ,
30000528,"HC HOMOGENIZATION, TISSUE, FOR CULTURE", $35.00 ,
30000529,HC NASAL SMEAR FOR EOSINOPHILS, $71.00 ,
30000530,HC ASSAY OF THYROGLOBULIN, $299.00 ,
30000531,"HC CULTURE TYPING, FLUORESCENT", $120.00 ,
30000532,HC ASSAY OF OXALATE, $183.00 ,
30000533,"HC FATS/LIPIDS, FECES, QUALITATIVE", $158.00 ,
30000534,HC DRUG SCREEN QUANTITATIVE GABAPENTIN, $79.00 ,
30000535,HC ASSAY OF LDH ISOENZYMES, $183.00 ,
30000536,HC ASSAY RBC PROTOPORPHYRIN, $283.00 ,
30000537,HC ASSAY OF CRYOGLOBULIN, $170.00 ,
30000538,HC DRUG SCREEN QUANTITATIVE CAFFEINE, $85.00 ,
30000539,HC IMMUNFIX E-PHORSIS/URINE/CSF, $274.00 ,
30000540,"HC SUGARS SINGLE QUALITATIVE, EACH SPECIMEN", $40.00 ,
30000541,HC ASSAY 17-(17-KS)KETOSTEROIDS, $184.00 ,
30000542,HC IHC QUAL INITIAL STAIN (SENDOUT), $89.00 ,
30000543,HC IHC QUAL EACH ADD STAIN (SENDOUT), $212.00 ,
30000544,HC CONSULT & REPORT REFERRED MATTER (SENDOUT), $262.00 ,
30000545,"HC CHG ANTIBIOTIC SENS,ENZYME DETECTION,EACH", $28.00 ,
30000546,HC FECAL BLOOD SCRN IMMUNOASSAY, $88.00 ,
30000547,HC DRUG SCREENING METHYLENEDIOXYAMPHETAMINES, $256.00 ,
30000548,HC LEUKOCYTE ASSMT FECAL QUAL/SEMIQUANTITATIVE, $24.00 ,
30000549,HC ONCOLOGY COLON MRNA GENE EXPRESSION 12 GENES," $8,349.00 ",
30000550,HC OBSTETRIC PANEL W/ HIV, $320.00 ,
30100000,HC BASIC METABOLIC PANEL TOTAL CA, $79.00 ,
30100001,HC ELECTROLYTES, $55.00 ,
30100002,HC COMPREHENSIVE METABOLIC PANEL, $89.00 ,
30100003,HC LIPID PANEL, $64.00 ,
30100004,HC HEPATIC FUNCTION PANEL, $70.00 ,
30100005,HC DRUG SCREEN EACH DRUG, $140.00 ,
30100006,HC CARBAMAZEPINE TOTAL, $148.00 ,
30100007,HC DIGOXIN TOTAL, $157.00 ,
30100008,HC VALPROIC ACID TOTAL, $150.00 ,
30100009,HC ASSAY OF ETHOSUXIMIDE, $217.00 ,
30100010,HC ASSAY OF GENTAMICIN, $216.00 ,
30100011,HC LITHIUM, $144.00 ,
30100012,HC PHENOBARBITAL, $111.00 ,
30100013,"HC PHENYTOIN, TOTAL", $155.00 ,
30100014,HC THEOPHYLLINE, $193.00 ,
30100015,HC TOBRAMYCIN, $134.00 ,
30100016,HC VANCOMYCIN, $114.00 ,
30100017,HC QUANTITATIVE ASSAY DRUG, $112.00 ,
30100018,HC DRUG SCREEN QUANTALCOHOLS, $230.00 ,
30100019,HC ANALGESICS NON-OPIOID 1 OR 2, $234.00 ,
30100020,HC DRUG SCREENING BUPRENORPHINE, $145.00 ,
30100021,HC OPIATES 1 OR MORE, $126.00 ,
30100022,HC ALPHA GLOBIN COMMON MUTATION ANLS, $673.00 ,
30100023,HC UNLISTED MOLECULAR PATHOLOGY, $195.00 ,
30100024,HC TEST FOR ACETONE/KETONES, $50.00 ,
30100025,HC ADRENOCORTICOTROPIC HORMONE, $420.00 ,
30100026,HC ASSAY OF SERUM ALBUMIN, $87.50 ,
30100027,HC ASSAY OF URINE ALBUMIN, $74.00 ,
30100028,HC MICROALBUMIN QUANTITATIVE, $89.00 ,
30100029,HC ASSAY OF AMMONIA, $98.00 ,
30100030,HC ASSAY OF AMYLASE, $178.00 ,
30100031,HC ASSAY OF ANDROSTENEDIONE, $359.00 ,
30100032,HC ASSAY OF ARSENIC, $305.00 ,
30100033,HC BILIRUBIN TOTAL, $118.00 ,
30100034,HC BILIRUBIN DIRECT, $118.00 ,
30100035,HC OCCULT BLOOD FECES 1-3, $48.00 ,
30100036,HC VITAMIN D 25-HYDROXY, $371.00 ,
30100037,HC CALCIUM TOTAL, $68.00 ,
30100038,HC IONIZED CALCIUM, $164.00 ,
30100039,HC ASSAY OF CALCIUM IN URINE, $68.00 ,
30100040,HC CARBON DIOXIDE, $64.00 ,
30100041,HC CARCINOEMBRYONIC ANTIGEN, $196.50 ,
30100042,HC ASSAY THREE CATECHOLAMINES, $375.00 ,
30100043,HC CHEMILUMINESCENT ASSAY, $335.00 ,
30100044,HC ASSAY OF BLOOD CHLORIDE, $50.00 ,
30100045,HC ASSAY OF URINE CHLORIDE, $50.00 ,
30100046,HC ASSAY BLD/SERUM CHOLESTEROL, $61.00 ,
30100047,HC CORTISOL FREE, $214.00 ,
30100048,HC ASSAY OF CK (PK), $86.00 ,
30100049,HC CREATINE MB FRACTION, $125.00 ,
30100050,HC ASSAY OF CREATININE, $63.00 ,
30100051,HC ASSAY OF URINE CREATININE, $73.00 ,
30100052,HC CREATININE CLEARANCE TEST, $119.00 ,
30100053,HC ASSAY OF CRYOFIBRINOGEN, $125.00 ,
30100054,HC VITAMIN B12, $203.00 ,
30100055,HC CYSTATIN C, $111.00 ,
30100056,HC DEHYDROEPIANDROSTERONE, $450.00 ,
30100057,HC DEHYDROEPIANDROSTERONE SULFATE, $299.00 ,
30100058,"HC VITAMIN D 1,25 DIHYDROXY", $396.00 ,
30100059,HC ESTRONE, $364.00 ,
30100060,HC ASSAY OF BLOOD FATTY ACIDS, $109.00 ,
30100061,HC FERRITIN, $104.00 ,
30100062,HC ASSAY OF FOLIC ACID SERUM, $214.00 ,
30100063,HC FOLIC ACID RBC QUEST, $280.00 ,
30100064,HC ASSAY IGA/IGD/IGG/IGM EACH, $100.00 ,
30100065,HC IGG 1 2 3 OR 4 EACH, $120.00 ,
30100066,HC GASTRIN, $191.00 ,
30100067,HC GLUCAGON, $283.00 ,
30100068,HC GLUCOSE OTHER FLUID, $39.00 ,
30100069,HC ASSAY GLUCOSE BLOOD QUANT, $39.00 ,
30100070,HC GLUCOSE TEST, $40.00 ,
30100071,HC GLUCOSE TOLERANCE TEST 3 SPEC, $123.00 ,
30100072,HC GLUCOSE TOLERANCE TEST 3 SPEC ADD, $28.00 ,
30100073,HC ASSAY OF GGT, $99.00 ,
30100074,HC ASSAY OF GONADOTROPIN (FSH), $173.00 ,
30100075,HC ASSAY OF GONADOTROPIN (LH), $233.00 ,
30100076,HC GROWTH HORMONE, $160.00 ,
30100077,HC GLYCOSYLATED HEMOGLOBIN TEST, $162.00 ,
30100078,HC PLASMA HEMOGLOBIN, $185.00 ,
30100079,HC ASSAY OF PROGESTERONE 17-D, $305.00 ,
30100080,HC IMMUNOASSAY QUANT NOS NONAB, $359.00 ,
30100081,HC ASSAY OF IRON, $88.00 ,
30100082,HC LACTIC ACID, $83.00 ,
30100083,HC LACTATE (LD) (LDH) ENZYME, $48.00 ,
30100084,HC LIPASE, $180.00 ,
30100085,HC HDL CHOLESTEROL, $81.00 ,
30100086,HC MAGNESIUM, $122.00 ,
30100087,HC ASSAY OF CSF PROTEIN, $270.00 ,
30100088,HC MYOGLOBIN, $144.00 ,
30100089,HC ASSAY OF NATRIURETIC PEPTIDE, $307.50 ,
30100090,HC OLIGOCLONAL BANDS, $246.00 ,
30100091,HC OSMOLALITY; BLOOD, $59.00 ,
30100092,HC OSMOLALITY URINE, $59.00 ,
30100093,HC ASSAY PH BODY FLUID NOS, $71.00 ,
30100094,HC ASSAY ALKALINE PHOSPHATASE, $110.50 ,
30100095,HC PHOSPHORUS, $48.00 ,
30100096,HC PHOSPHORUS URINE, $48.00 ,
30100097,HC POTASSIUM, $64.00 ,
30100098,HC POTASSIUM; URINE, $64.00 ,
30100099,HC PREALBUMIN, $91.00 ,
30100100,HC PROLACTIN, $355.00 ,
30100101,HC ASSAY OF PSA TOTAL, $120.00 ,
30100102,HC PROTEIN TOTAL, $59.50 ,
30100103,HC PROTEIN BODY FLUID, $74.00 ,
30100104,HC VITAMIN B6, $420.00 ,
30100105,HC PYRUVATE BLOOD, $223.00 ,
30100106,HC SEX HORMONE BINDING GLOBULIN, $223.00 ,
30100107,HC SODIUM, $64.00 ,
30100108,HC SODIUM URINE, $64.00 ,
30100109,HC ASSAY OF SWEAT SODIUM, $50.00 ,
30100110,HC SPECIFIC GRAVITY FLUID, $65.00 ,
30100111,HC TESTOSTERONE TOTAL, $213.00 ,
30100112,HC THYROXINE TOTAL, $63.00 ,
30100113,HC THYROXINE FREE, $192.00 ,
30100114,HC ASSAY THYROID STIM HORMONE, $200.00 ,
30100115,HC THYROID STIMULATING IMMUNOGLOBULIN, $634.00 ,
30100116,HC TRANSFERASE AST, $86.00 ,
30100117,HC ALANINE AMINO (ALT) (SGPT, $86.00 ,
30100118,HC TRANSFERRIN, $128.00 ,
30100119,HC TRIGLYCERIDES, $61.00 ,
30100120,HC ASSAY OF THYROID (T3 OR T4), $91.00 ,
30100121,"HC T3, TOTAL", $215.00 ,
30100122,HC TROPONIN, $145.00 ,
30100123,HC UREA NITROGEN, $64.00 ,
30100124,HC BLOOD/URIC ACID, $65.00 ,
30100125,HC URIC ACID; URINE, $65.00 ,
30100126,HC ASSAY OF VOLATILES, $150.00 ,
30100127,HC XYLOSE ABSORPTION TEST, $223.00 ,
30100128,"HC GONADOTROPIN, CHORIONIC HCG QUANT", $256.00 ,
30100129,"HC GONADOTROPIN, CHORIONIC HCG QUALITATIVE", $173.00 ,
30100130,HC CLINICAL CHEMISTRY TEST, $174.50 ,
30100131,HC RUSSELL VIPER VENOM DILUTED, $65.00 ,
30100132,HC C-REACTIVE PROTEIN, $133.50 ,
30100133,HC FLUORESCENT ANTIBODY SCREEN, $202.00 ,
30100134,HC LEUKOCYTE HISTAMINE RELEASE, $104.00 ,
30100135,HC MICROSOMAL ANTIBODY EACH, $98.00 ,
30100136,HC HIV-1/HIV-2 1 RESULT ANTBDY, $71.00 ,
30100137,HC THYROGLOBULIN ANTIBODY, $155.50 ,
30100138,HC DNA/RNA SEQUENCING, $914.00 ,
30100139,HC MACROSCOPIC EXAM PARASITE, $123.00 ,
30100140,HC MICROBE SUSCEPTIBLE MIC, $58.00 ,
30100141,HC DETECT AGENT NOS DNA AMP, $251.00 ,
30100142,HC DETECT AGENT NOS DNA QUANT, $287.00 ,
30100143,HC GENOTYPE DNA/RNA HIV," $1,166.00 ",
30100144,HC IMMUNOFLUORESCENT STUDY; INDIRECT METHOD, $181.00 ,
30100145,HC DRUG SCREEN MULTIPLE CLASS, $571.00 ,
30100146,HC CALCULUS SPECTROSCOPY, $80.00 ,
30100147,HC IRON BINDING TEST, $198.00 ,
30100148,HC DRUG SCRN QUAN LEVETIRACETAM, $66.00 ,
30100149,HC GENERAL HEALTH PANEL, $267.00 ,
30100150,HC DRUG TEST PRSMV CHEM ANLYZR, $660.00 ,
30100151,HC DRUG TEST PRSMV QUAL INSTRMNT OPTCL OBS PER DAY, $98.00 ,
30100152,HC LIPOPROTEIN BLOOD ELECTROPHORECTIC SEP&QUAN, $65.00 ,
30100153,HC DRUG SCREENING OPIOIDS AND OPIATE ANALOGS 3 OR 4, $370.00 ,
30100154,HC DRUG SCREENING OPIOIDS & OPIATE ANALOGS 5/MORE, $370.00 ,
30100155,HC ANTIDEPRESSANTS TRICYCLIC OTHER CYCLICALS 1 OR 2, $206.00 ,
30100156,HC ANTIDEPRESSANTS TRICYCLIC OTHER CYCLICALS 3-5, $206.00 ,
30100157,HC ANTIDEPRESSANTS TRICYCLIC OTHER CYCLICALS 6/MORE, $206.00 ,
30100158,HC ASSAY OF PROSTAGLNDIN EACH, $135.00 ,
30100159,HC ASSAY OF PYRUVATE KINASE, $51.00 ,
30100160,HC BLOOD OCCULT PEROXIDASE ACTV QUAL FECES 1-3 SPEC, $18.00 ,
30100161,HC PHOSPHOLIPID NEUTRALIZATION HEXAGONAL, $86.00 ,
30100162,HC PROTEIN WESTRN BLOT I&R BLOOD/OTHER FLUID, $221.00 ,
30100163,HC GASTRIN SECRETIN STIMULATION TEST, $113.00 ,
30100164,HC DRUG SCREENING SEDATIVE HYPNOTICS, $79.00 ,
30100165,HC DRUG SCREEN QUANT AMPHETAMINES 1 OR 2, $78.00 ,
30100166,HC DRUG SCREENING BARBITURATES, $89.00 ,
30100167,"HC DRUG SCREENING CANNABINOIDS NATURAL, MARIJUANA", $136.00 ,
30100168,HC DRUG SCREENING COCAINE, $152.00 ,
30100169,HC DRUG SCREENING TRAMADOL, $131.00 ,
30100170,HC DRUG/SUBSTANCE DEFINITIVE QUAL/QUANT NOS 7/MORE, $183.00 ,
30100171,HC CYANOCOBALAMIN VIT B-12 UNSAT BINDING CAPACITY, $209.00 ,
30100172,HC ASSAY OF PHENCYCLIDINE, $93.00 ,
30100173,HC ASSAY OF TYROSINE, $209.00 ,
30100174,"HC ENZYME CELL ACTIVITY, EACH", $143.00 ,
30100175,HC ELECTROPHORETIC TEST, $216.00 ,
30100176,HC URINE SULFATE, $61.00 ,
30100177,"HC DRUG SCREEN QUANT, DIPROPYLACETIC ACID, FREE", $95.00 ,
