Description ,  Charge $   , Department 
ANTI MULLERIAN HORMONE,$153 ,Laboratory
SOLUBLE LIVER ANTIGEN (SLA) AB,$92 ,Laboratory
"INSULIN, FASTING",$64 ,Laboratory
"INSULIN, 1/2 HR",$64 ,Laboratory
"INSULIN, 1 HR",$64 ,Laboratory
"INSULIN, 2 HR",$64 ,Laboratory
"INSULIN, 3 HR",$64 ,Laboratory
"INSULIN, 1 1/2 HR",$64 ,Laboratory
"INSULIN, 2 1/2 HR",$64 ,Laboratory
INSULIN RESISTANCE SAMPLE 1,$64 ,Laboratory
INSULIN RESISTANCE SAMPLE 2,$64 ,Laboratory
"LEAD, SERUM",$68 ,Laboratory
"LEAD, HAIR",$168 ,Laboratory
"LEAD, RANDOM URINE",$68 ,Laboratory
URINE LIPASE (RANDOM),$93 ,Laboratory
LDL PATTERN,$45 ,Laboratory
GONADOTROPIN RELEASING HORMONE,$540 ,Laboratory
"MAGNESIUM, RBC",$108 ,Laboratory
24HR UA MG,$67 ,Laboratory
24 HR URINE IODINE,$172 ,Laboratory
"BILE ACIDS,FRAC,TOTAL (PREG)",$535 ,Laboratory
TRAMADOL AND METABOLITES,$98 ,Laboratory
TPMT ACTIVITY,$214 ,Laboratory
URINE N-METHYLHISTAMINE,$214 ,Laboratory
IDOINE,$214 ,Laboratory
RITALIN (URINE METHYLPHENDATE),$214 ,Laboratory
"TRAMADOL, UA PAIN MANAGEMENT",$126 ,Laboratory
MERCURY URINE,$48 ,Laboratory
24HR URINE MERCURY,$91 ,Laboratory
"MERCURY, HAIR",$168 ,Laboratory
"METANEPHRINES, PLASMA",$204 ,Laboratory
"MYOGLOBIN, SERUM",$116 ,Laboratory
PRO BNP N TERMINAL,$191 ,Laboratory
KAPPA/LAMDA LT CHAIN FREE W/R,$56 ,Laboratory
KAPPA/LAMBDA LT CHAIN W/RATIO,$120 ,Laboratory
ALPHA 2 MACROGLOBULIN,$195 ,Laboratory
"KAPPA LIGHT CHAIN, FREE UA",$56 ,Laboratory
"LAMBDA LIGHT CHAIN, FREE UA",$56 ,Laboratory
TPMT GENOTYPE,$73 ,Laboratory
THROMBOPHILIA:PT GENE NUCLEIC,$125 ,Laboratory
"FACTOR V LEIDEN MUTATION, NA",$125 ,Laboratory
TPMT ENZYMATIC DIGESTION,$73 ,Laboratory
TPMT ENZYMATIC DIGESTION #2,$73 ,Laboratory
JAK2 V617F NUCLEIC ACID PROBE,$58 ,Laboratory
TPMT NUCLEIC ACID PROBE 1,$58 ,Laboratory
TPMT NUCLEIC ACID PROBE 2,$73 ,Laboratory
TPMT NUCLEIC ACID PROBE 3,$73 ,Laboratory
TPMT NUCLEIC ACID PROBE 4,$73 ,Laboratory
FACTOR V NUCLEIC ACID AMPLFCIN,$73 ,Laboratory
JAK2 NUCLEIC ACID AMPLIFICAIN,$73 ,Laboratory
ZZ:HLA-DQB1AMPLFCN,$62 ,Laboratory
BCR-ABL CHARGE 1,$175 ,Laboratory
CYSTIC FIBROSIS RESULT,$9 ,Laboratory
TPMT NUCLEIC ACID MULTIPLEX,$73 ,Laboratory
BCR-ABL FUSION,$175 ,Laboratory
BCR-ABL CHARGE 2,$168 ,Laboratory
BCR-ABL CHARGE 3,$168 ,Laboratory
JAK2 V617F PC4 MUTATION FIRST,$135 ,Laboratory
JAK2 V617F PCR MUTATION SECOND,$135 ,Laboratory
FACTOR V LEIDEN SEPARAIN TCHNQ,$33 ,Laboratory
THROMBOPHILIA PTGEN SEP TECH,$158 ,Laboratory
THROMBOPHILIA FACT V NUCLEIC#1,$158 ,Laboratory
THROMBOPHILIA FACT V NUCLEIC#2,$158 ,Laboratory
FACTOR V LEIDEN NUCLEIC INTERP,$33 ,Laboratory
JAK2 INTERPRETATION,$135 ,Laboratory
TPMT NUCLEIC ACID INTERPRETN,$73 ,Laboratory
THROMBOPHILIA FACT V MUTATN#1,$70 ,Laboratory
THROMBOPHILIA FACTV MUTATN #2,$70 ,Laboratory
FACTOR V LEIDEN MUTATION ID,$70 ,Laboratory
"URIN ORGANIC ACID PANEL,QUANT",$664 ,Laboratory
URIN ORGANIC ACID INHALANTS,$159 ,Laboratory
FECES PH,$60 ,Laboratory
24HR UA PH,$67 ,Laboratory
"PHENCYCLIDINE, QUANT GCMS",$148 ,Laboratory
ALKALINE PHOS ISOENZYME TOTAL,$42 ,Laboratory
ALK PHOS BONE SPECIFIC,$90 ,Laboratory
24HR UA QUANT PORPHOBILINOGEN,$47 ,Laboratory
PROGESTERONE FREE,$306 ,Laboratory
24HR UA 11 BETA-PROSTGLND FX A,$351 ,Laboratory
PSA USFS,$18 ,Laboratory
PSA POST PROSTATECTOMY,$103 ,Laboratory
"TOTAL PROTEIN, PERITONEAL",$65 ,Laboratory
"TOTAL PROTEIN, CSF",$65 ,Laboratory
"TOTAL PROTEIN, PLEURAL FLUID",$65 ,Laboratory
"TOTAL PROTEIN, JOINT FLUID",$65 ,Laboratory
"TOTAL PROTEIN, BODY FLUID",$65 ,Laboratory
ELECTROPHORESIS-CSF PROTEIN,$126 ,Laboratory
PARANEOPLASTIC AB WB 1,$240 ,Laboratory
PARANEOPLASTIC AB WB 2,$240 ,Laboratory
PARANEOPLASTIC AB WB 3,$240 ,Laboratory
PARANEOPLASTIC AB WB 4,$240 ,Laboratory
PARANEOPLASTIC AB WB 5,$240 ,Laboratory
ZINC PROTOPORPHYRIN,$127 ,Laboratory
REMIN ACTIVITY POST INHIBITOR,$162 ,Laboratory
SELENIUM URINE,$98 ,Laboratory
"PHENOLPHTHALEIN, FECES",$72 ,Laboratory
"K, FECES",$80 ,Laboratory
FUNGITELL (1-3)-B-D-GLUCAN,$375 ,Laboratory
TESTOSTERONE BIOAVAILABLE,$132 ,Laboratory
"TESTOSTERONE, TOTAL, LC/MS/MS",$132 ,Laboratory
TSH USFS,$19 ,Laboratory
THYROID STIMULATING IMMUNOGLOB,$286 ,Laboratory
"TRIGLYCERIDES, PLEURAL FLUID",$32 ,Laboratory
TRIGLYCERIDES-DIRECT,$138 ,Laboratory
"TRIGLYCERIDES, LIPOPROTEINS",$32 ,Laboratory
URIC ACID OTHER,$26 ,Laboratory
NIACIN (B3),$231 ,Laboratory
VITAMIN B5,$111 ,Laboratory
URINE PHENOL TOTAL,$108 ,Laboratory
URINE INHALANTS,$159 ,Laboratory
URINE PREGNANCY,$73 ,Laboratory
SULFATIDE AB CHARGE 3,$49 ,Laboratory
TRYPSIN EXTRA,$49 ,Laboratory
OVA1,"$1,125 ",Laboratory
OSMOLALITY FECAL,$42 ,Laboratory
"HEMATOCRIT, BODY FLUID",$36 ,Laboratory
"HEMATOCRIT, BLOOD CORD",$36 ,Laboratory
FACTOR V ACTIVITY,$153 ,Laboratory
PROTEIN S ANTIGEN FREE,$52 ,Laboratory
FIBRINOGEN DEGRADATION PRODUCT,$83 ,Laboratory
KLEIHAUER,$69 ,Laboratory
HEPARIN ANTI-Xa,$316 ,Laboratory
PLATELET FUNCTION P2Y12,$159 ,Laboratory
PLATELET FUNCTION BASE,$91 ,Laboratory
PLT FUNCTION ASPIRIN RESPONSE,$98 ,Laboratory
COLLAGEN/ADP,$211 ,Laboratory
COLLAGEN/EPI,$211 ,Laboratory
LUPUS ANTICOAG DRVVT CONFRMATN,$99 ,Laboratory
LUPUS ANTICOAG HEXAGONAL PHASE,$99 ,Laboratory
PROTIME/INR RAPID COAGUCHEK,$51 ,Laboratory
SICKLE CELL SCREEN,$24 ,Laboratory
LUPUS ANTCOAG PTT,$120 ,Laboratory
CASEIN/COW MILK (Agf78)IGG,$92 ,Laboratory
ALLERGEN GLUTEN IGG,$68 ,Laboratory
WHEAT (F4) IgG,$48 ,Laboratory
ALLERGY TESTING PENICILLIN,$66 ,Laboratory
PERENNIAL RYE GRASS (G5) IGE,$25 ,Laboratory
RED TOP GRASS (G9) IGE,$25 ,Laboratory
ALLERGY TESTING SULFAMETHOXAZO,$111 ,Laboratory
MOUNTIAN CEDAR (T6) IGE,$25 ,Laboratory
ALLERGY TESTING WALNUT,$22 ,Laboratory
ENGLISH PLANTAIN (W9) IGE,$25 ,Laboratory
ALPHA GALACTOSE IgE,$120 ,Laboratory
ALLERGY TESTING SHRIMP,$22 ,Laboratory
LAMB'S QRTS (GOOSE FOORT) IGE,$25 ,Laboratory
ALLERGY TESTING CASHEW,$22 ,Laboratory
CAT DANDER,$25 ,Laboratory
ALLERGY TESTING PECAN,$22 ,Laboratory
DOG DANDER,$25 ,Laboratory
ALLERGY TESTING ALMOND,$22 ,Laboratory
ALDER,$25 ,Laboratory
ALLERGY TESTING BRAZIL NUT,$22 ,Laboratory
MOUSE URINE PROTEINS(E72),$25 ,Laboratory
ALLERGY TESTING LATEX,$22 ,Laboratory
COCKROACH (16) IGE,$25 ,Laboratory
ALLERGY TESTING  EGG WHITE,$25 ,Laboratory
ROUGH PIGWEED (W14) IGE,$25 ,Laboratory
ALLERGY TESTING  PEANUT,$25 ,Laboratory
COMMON RAGWEED (SHORT) (WI)IGE,$25 ,Laboratory
ALLERGY TESTING BARLEY IGE,$25 ,Laboratory
PENICILLIUM NOTATUM (MI) IGE,$25 ,Laboratory
ALLERGY TESTING  BUCKWHEAT IGE,$25 ,Laboratory
DERMATOPHAGOIDES PTERONYSSINUS,$25 ,Laboratory
ALLERGY TESTING COCONUT IGE,$25 ,Laboratory
ASPERGILLUS FUMIGATUS IGE,$25 ,Laboratory
ALLERGY TESTING  SESAME SEED,$25 ,Laboratory
ELM (T8) IGE,$25 ,Laboratory
ALLERGY EGG YOLK,$22 ,Laboratory
OAK IGE,$25 ,Laboratory
ALLERGY CHICKEN MEAT,$22 ,Laboratory
SHEEP SORREL (W18) IGE,$25 ,Laboratory
ALLERGY DAT (F7) IGE,$25 ,Laboratory
NETTLE (W20) IGE,$25 ,Laboratory
ALLERGY EGG WHITE (F1) IGE,$25 ,Laboratory
MAPLE (BOX ELDER) IGE,$25 ,Laboratory
ALLERGY MILK (F2) IGE,$25 ,Laboratory
BIRCH (T3) IGE,$25 ,Laboratory
ALLERGY WHEAT (F4) IGE,$25 ,Laboratory
WALNUT TREE (T10) IGE,$25 ,Laboratory
ALLERGY SOYBEAN (14) IGE,$25 ,Laboratory
GLUTEN (f79) IgE,$66 ,Laboratory
WHITE ASH (T15) IGE,$25 ,Laboratory
TIMOTHY GRASS,$25 ,Laboratory
ORGHARD GRASS (COCKSFOOT) IGE,$25 ,Laboratory
JOHNSON GRASS (G-10) IGE,$25 ,Laboratory
MYELOPEROXIDASE AB(MPO),$174 ,Laboratory
PROTEINASE 3 ANTIBODIES,$174 ,Laboratory
"ANCA SCRN, REFLX C-ANCA,P-ANCA",$174 ,Laboratory
INFLAM BOWEL DIS DIFF PANE,$389 ,Laboratory
"ANCA SCREEN, IBD",$90 ,Laboratory
C-ANCA TITER,$135 ,Laboratory
P-ANCA TITER,$135 ,Laboratory
ATYPICAL P-ANCA TITER,$135 ,Laboratory
COTTONWOOD (T14) IGE,$25 ,Laboratory
BETA 2 GLYCOPROTEIN (IgA),$143 ,Laboratory
BETA 2 GLYCOPROTEIN (IgG),$143 ,Laboratory
BETA 2 GLYCOPROTEIN (IgM),$143 ,Laboratory
ANTI-CARDIOLIPIN (IgA),$143 ,Laboratory
AMOT-CARDIOLIPIN (IgG),$143 ,Laboratory
ANTI-CARDIOLIPIN (IgM),$143 ,Laboratory
ANTI-PHOSPATIDYLSERINE (IgA),$84 ,Laboratory
ANTI-PHOSPHATIDYLSERINE (IgG),$63 ,Laboratory
ANTI-PHOSPHATIDYLSERINE (IgM),$84 ,Laboratory
"C3, COMPLEMENT",$68 ,Laboratory
"C4, COMPLEMENT",$68 ,Laboratory
"C2, COMPLEMENT",$68 ,Laboratory
COMPLEMENT C1q,$93 ,Laboratory
"C1 ESTERASE INHIBITOR,PROTEIN",$138 ,Laboratory
"DNA (DS) AB, HIGH AVIDITY",$77 ,Laboratory
SM ANTIBODY,$101 ,Laboratory
SM/RNP ANTIBODY,$101 ,Laboratory
SJOGRENS AB (SSA),$101 ,Laboratory
SJOGREN'S AB (SSB),$101 ,Laboratory
CHROMATIN AB,$101 ,Laboratory
SRP,$101 ,Laboratory
MI-2 AUTOANTIBODIES,$101 ,Laboratory
CENTROMERE B ANTIBODY,$78 ,Laboratory
MITOCHONDRIAL ANTIBODY,$45 ,Laboratory
AGNA 1,$240 ,Laboratory
ENDOMYSIAL AB IGA,$195 ,Laboratory
PARIETAL CELL AB SCREEN,$149 ,Laboratory
NEURONAL NUCLEAR (HU) AB SCRN,$243 ,Laboratory
NEURONAL NUCLEAR (HU) AB TITER,$81 ,Laboratory
NEURONAL NCLR-HU WESTERN BLOT,$162 ,Laboratory
NEUROMYELITIS OPTICA IgG AUTAB,$840 ,Laboratory
"DNA AB CRITHIDIA, IFA",$51 ,Laboratory
PARANEOPLASTIC AB 1 IFA,$450 ,Laboratory
PARANEOPLASTIC AB 2 IFA,$450 ,Laboratory
PARANEOPLASTIC AB E IFA,$450 ,Laboratory
PARANEOPLASTIC AB 4 IFA,$450 ,Laboratory
STRIATIONAL MUSCLE AB,$450 ,Laboratory
PARIETAL CELL TITER,$180 ,Laboratory
DNA AB CRITHIDIA TITER,$33 ,Laboratory
CA27.29,$117 ,Laboratory
SQUAMOUS CELL CARCINOMA AG,$178 ,Laboratory
RABIES ANTIBODY,$134 ,Laboratory
"HEPATITIS B SURFACE AB, QN",$46 ,Laboratory
H PYLORI IgG QUANT,$112 ,Laboratory
STREP PNEUMO IgG SEROTYPE 1,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 3,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 4,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 5,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 8,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 9,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 12,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 14,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 19,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 23,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 26,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 51,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 56,$46 ,Laboratory
STREP PNEUMO IgG SEROTYPE 68,$46 ,Laboratory
CRYO IMMUNOFIXATION,$126 ,Laboratory
24 HR URINE IMMUNOFIXATION,$165 ,Laboratory
"URINE IMMUNOFIXATION, RANDOM",$165 ,Laboratory
BETA 2 TRANSFERRIN,$345 ,Laboratory
LIVER KIDNEY MICROSOMAL AB,$82 ,Laboratory
THYROID PEROXIDASE AB,$82 ,Laboratory
LIVER CYTOSOL (LC-1) AUTOAB,$82 ,Laboratory
STREP PNEUMONIAE TITER,$211 ,Laboratory
STREPTOZYME SCREEN/REFLEX TITR,$56 ,Laboratory
STREP PNEUMO AG,$75 ,Laboratory
N. MENINGITIDIS GROUPS A/Y AG,$75 ,Laboratory
N. MENINGTS GRP B/ECOLI K1 AG,$75 ,Laboratory
N. MENINGITIDIS GRP C/W135 AG,$75 ,Laboratory
STREP GROUP B AG,$75 ,Laboratory
H. INFLUENZAE TYPE B AG,$75 ,Laboratory
RHEUMATOID FACTOR,$32 ,Laboratory
TB GOLD QUANTIFERON,$220 ,Laboratory
VDRL,$38 ,Laboratory
"ADENOVIRUS AB,CSF",$22 ,Laboratory
ASPERGILLUS NIGER,$83 ,Laboratory
ASPERGILLUS FUMIGATUS,$83 ,Laboratory
ASPERGILLUS FLAVUS,$83 ,Laboratory
ASPERGILLUS SP,$30 ,Laboratory
THERMOACTINOMYCES VULGARIS,$30 ,Laboratory
HYPERSEN PANEL FUNGAL CHARGE A,$30 ,Laboratory
HYPERSEN PANEL FUNGAL CHARGE B,$30 ,Laboratory
LISTERIA ANTIBODY,$221 ,Laboratory
BARTONELLA HENSELAE IgG,$60 ,Laboratory
BARTONELLA HENSELAE IgM,$60 ,Laboratory
BARTONELLA QUINTANA IgG,$60 ,Laboratory
BARTONELLA QUINTANA IgM,$60 ,Laboratory
BORDETELLA PERTUSSIS TOX IGG,$83 ,Laboratory
BORDETELLA PERTUSSIS FHA IGG,$83 ,Laboratory
PERTUSSIS TOXIN IGG,$65 ,Laboratory
PERTUSSIS TOXIN IGA,$65 ,Laboratory
FILAMENTOUS HEMAGGLUTININ IGG,$65 ,Laboratory
FILAMENTOUS HEMAGGLUTININ IGA,$65 ,Laboratory
LYME AB TOTAL EIA,$96 ,Laboratory
"BRUCELLA AB, IGM",$91 ,Laboratory
"BRUCELLA AB, IGG",$91 ,Laboratory
C ALBICANS IGG,$110 ,Laboratory
C ALBICANS IGA,$110 ,Laboratory
C ALBICANS IGM,$110 ,Laboratory
C TRACHOMATIS (L2) IgG,$30 ,Laboratory
C TRACHOMATIS (L2) IgA,$30 ,Laboratory
C TRACHOMATIS (L2) IgM,$30 ,Laboratory
C TRACHOMATIS (D-k) IgG,$30 ,Laboratory
C TRACHOMATIS (D-K) IgA,$30 ,Laboratory
C TRACHOMATIS (D-k) IgM,$30 ,Laboratory
C PNEUMONIAE IgG,$30 ,Laboratory
C PNEUMONIAE IgA,$30 ,Laboratory
C PNEUMONIAE IgM,$30 ,Laboratory
CHLAMYDIA TRACHOMATIS IGA,$14 ,Laboratory
CHLAMYDIA TRACHOMATIS IGG,$14 ,Laboratory
CHLAMYDOPHILA PSITTACI IGA,$14 ,Laboratory
CHLAMYDOPHILA PSITTACI IGG,$14 ,Laboratory
CHLAMYDOPHILA PNEUMONIAE IGA,$14 ,Laboratory
CHLAMYDOPHILA PNEUMONIAE IGG,$14 ,Laboratory
C PSITTACI IgG,$30 ,Laboratory
C PSITTACI IgA,$30 ,Laboratory
C PSITTACI IgM,$30 ,Laboratory
C PSITTACI INTERPRETATION,$30 ,Laboratory
CHLAMYDIA TRACHOMATIS 1GM,$14 ,Laboratory
CHLAMYDOPHILA PSITTACI IGM,$14 ,Laboratory
CHLAMYDOPHILA PNEUMONIAE IGM,$14 ,Laboratory
CUCCIDIODES AB COMPLEMENT FIX,$30 ,Laboratory
COCCIDIOIDES AB ELISA,$147 ,Laboratory
CMV IGG AB,$23 ,Laboratory
EASTERN EQUINE IGM CSF,$212 ,Laboratory
WESTERN EQUINE IGM CSF,$266 ,Laboratory
COXSACKIE A2 AB,$22 ,Laboratory
COXSACKIE A4 AB,$22 ,Laboratory
COXSACKIE A7 AB,$22 ,Laboratory
COXSACKIE A9 AB,$22 ,Laboratory
COXSACKIE A10 AB,$22 ,Laboratory
COXSACKIE A16 AB,$22 ,Laboratory
COXSACKIE B1 AB,$22 ,Laboratory
COXSACKIE B2 AB,$22 ,Laboratory
COXSACKIE B3 AB,$22 ,Laboratory
COXSACKIE B4 AB,$22 ,Laboratory
COXSACKIE B5 AB,$22 ,Laboratory
COXSACKIE B6 AB,$22 ,Laboratory
ECHOVIRUS 4 AB,$22 ,Laboratory
ECHOVIRUS 7 AB,$22 ,Laboratory
ECHOVIRUS 9 AB,$22 ,Laboratory
ECHOVIRUS 11 AB,$22 ,Laboratory
ECHOVIRUS 30 AB,$22 ,Laboratory
EPSTEIN-BARR NUCLEAR AG IGG,$150 ,Laboratory
EPSTEIN-BARR VCA IGM ANTIBODY,$105 ,Laboratory
EPSTEIN-BARR VCA IGG ANTIBODY,$105 ,Laboratory
ALTERNARIA ALTERNATE,$30 ,Laboratory
AUREOBASIDIUM PULLULANS,$30 ,Laboratory
MICROPOLYSPORA FAENI,$30 ,Laboratory
PENICILLIUM NOTATUM,$30 ,Laboratory
PHOMA BETAE,$30 ,Laboratory
TRICHODERMA VIRIDE,$30 ,Laboratory
S. CEREVISIAE IGA,$150 ,Laboratory
S. CEREVISIAE IGG,$150 ,Laboratory
"GIARDIA AB, IFA",$249 ,Laboratory
H PYLORI IgA,$57 ,Laboratory
H PYLORI IgM,$69 ,Laboratory
CYSTICERCOSIS CSF,$99 ,Laboratory
STRONGYLOIDES IGG AB,$84 ,Laboratory
CYSTICERCOSIS SERUM,$253 ,Laboratory
FILARIA ANTIBODY (IgG4),$135 ,Laboratory
HTLVI/II AB WESTERN BLOT,$251 ,Laboratory
HIV WESTERN BLOT (CONFIRMTN),$159 ,Laboratory
HEP D TOTAL,$54 ,Laboratory
HEP D IGM,$114 ,Laboratory
HERPES SIMPLEX IGM ANTIBODY,$184 ,Laboratory
HERPES SIMPLEX IGM AB TITER,$136 ,Laboratory
"HERPES SIMPLEX TYPE 1, IGG",$111 ,Laboratory
HSV 1 IGG INDEX CSF,$108 ,Laboratory
HSV 1 IGG INDEX CSF CHARGE 2,$22 ,Laboratory
"HERPES SIMPLEX TYPE 2, IGG",$111 ,Laboratory
HSV 2 IGG INDEX CSF,$22 ,Laboratory
HSV 2 IGG INDEX CSF CHARGE 2,$22 ,Laboratory
HISTOPLASMA YEAST PHASE AB,$36 ,Laboratory
HISTOPLASMA MYCELIAL PHASE AB,$36 ,Laboratory
"HEPATITIS B CORE, IGM",$83 ,Laboratory
HEPATITIS A IgM ANTIBODY,$63 ,Laboratory
INFLUENZA A AB CSF,$22 ,Laboratory
INFLUENZA B AB CSF,$22 ,Laboratory
JCV ANITIBODY,"$2,043 ",Laboratory
JCV INHIBITION,$876 ,Laboratory
LEGIONELLA PNEUMO SERO GRP 1,$108 ,Laboratory
LEGIONELLA PNEUMO SERO GRP 2-6,$108 ,Laboratory
"MUMPS AB IGM, IFA",$78 ,Laboratory
"MUMPS AB IGG, EIA",$78 ,Laboratory
MUMPS IGG AB CSF,$22 ,Laboratory
MUMPS AB IGG SCREEN,$40 ,Laboratory
MYCOPLASMA PNEUMONIAE IGM,$85 ,Laboratory
ISLET CELL ANTIBODY SCREEN,$141 ,Laboratory
ISLET CELL ANTIBODY TITER,$137 ,Laboratory
ENTAMOEBA HISTOLYTICA AB IgG,$281 ,Laboratory
TRYPANOSOMA CRUZI AB (CHAGAS),$162 ,Laboratory
RMSF IgG,$66 ,Laboratory
RMSF IgG,$81 ,Laboratory
RMSF IgG TITER,$120 ,Laboratory
RMSF IgM TITER,$120 ,Laboratory
RUBELLA IgM,$237 ,Laboratory
RUBELLA AB IGG SCREEN,$136 ,Laboratory
MEASLES ANTIBODY:IGM,$125 ,Laboratory
MEASLES ANTIBODY: IGG,$72 ,Laboratory
RUBEOLA IGG CSF,$22 ,Laboratory
MEASLES AB IGG SCREEN,$72 ,Laboratory
TREPONEMA PALLIDUM ANTIBODY,$129 ,Laboratory
VARICELLA-ZOSTER IgG AB,$72 ,Laboratory
VARICELLA-ZOSTER IgM AB,$72 ,Laboratory
VARICELLA ZOSTER AB CSF,$22 ,Laboratory
WEST NILE VIRUS IGM CSF,$113 ,Laboratory
HTLV-I/II AB EIA REFLEX WST BL,$182 ,Laboratory
COLORADO TICK IGG,$75 ,Laboratory
COLORADO TICK IGM,$75 ,Laboratory
"HEPATITIS C ANTIBODY,EMPLOYEE",$80 ,Laboratory
HEP C ANTIBODY (POST EXPOSURE),$80 ,Laboratory
HEPATITIS C ANTIBODY (HCV),$80 ,Laboratory
ANTIBODY #2 IDENTIFICATION,$162 ,Laboratory
ANTIBODY #3 IDENTIFICATION,$162 ,Laboratory
ANTIGEN SCREEN UNIT #1,$141 ,Laboratory
ANTIGEN SCREEN UNIT #2,$141 ,Laboratory
ANTIGEN SCREEN UNIT #3,$85 ,Laboratory
ANTIGEN SCREEN UNIT #4,$85 ,Laboratory
ANTIGEN SCREEN UNIT #5,$85 ,Laboratory
ANTIGEN SCREEN UNIT #6,$85 ,Laboratory
ANTIGEN SCREEN UNIT #7,$85 ,Laboratory
ANTIGEN SCREEN UNIT #8,$85 ,Laboratory
ANTIGEN SCREEN UNIT #9,$85 ,Laboratory
ANTIGEN SCREEN UNIT #10,$85 ,Laboratory
ANTIGEN SCREEN UNIT #11,$85 ,Laboratory
ANTIGEN SCREEN UNIT #12,$85 ,Laboratory
ANTIGEN SCREEN UNIT #14,$85 ,Laboratory
ANTIGEN SCREEN UNIT #15,$85 ,Laboratory
ANTIGEN SCREEN UNIT #16,$85 ,Laboratory
ANTIGEN SCREEN UNIT #17,$85 ,Laboratory
ANTIGEN SCREEN UNIT #18,$85 ,Laboratory
ANTIGEN SCREEN UNIT #19,$85 ,Laboratory
ANTIGEN SCREEN UNIT #20,$85 ,Laboratory
ANTIBODY SCREEN 1ST UNIT,$85 ,Laboratory
ANTIBODY SCREEN 22ND UNIT,$85 ,Laboratory
ANTIBODY SCREEN 2ND UNIT,$85 ,Laboratory
ANTIBODY SCREEN 23RD UNIT,$85 ,Laboratory
ANTIBODY SCREEN 3RD UNIT,$85 ,Laboratory
ANTIBODY SCREEN 24TH UNIT,$85 ,Laboratory
ANTIBODY SCREEN 4TH UNIT,$85 ,Laboratory
ANTIBODY SCREEN 25TH UNIT,$85 ,Laboratory
ANTIBODY SCREEN 26TH UNIT,$85 ,Laboratory
ANTIBODY SCREEN 27TH UNIT,$85 ,Laboratory
ANITBODY SCREEN 28TH UNIT,$85 ,Laboratory
ANITBODY SCREEN 29TH UNIT,$85 ,Laboratory
ANTIBODY SCREEN 30TH UNIT,$85 ,Laboratory
"ANTIBODY SCREEN, 31ST UNIT",$85 ,Laboratory
"ANTIBODY SCREEN, 32ND UNIT",$85 ,Laboratory
"ANTIBODY SCREEN, 34TH UNIT",$85 ,Laboratory
ANTIBODY SCREEN 35TH UNIT,$85 ,Laboratory
"ANTIBODY SCREEN, 11TH UNIT",$85 ,Laboratory
"ANITBODY SCREEN, 12TH UNIT",$85 ,Laboratory
"ANTIBODY SCREEN, 13TH UNIT",$85 ,Laboratory
"ANIBODY SCREEN, 14TH UNIT",$85 ,Laboratory
"ANIIBODY SCREEN, 15TH UNIT",$85 ,Laboratory
"ANTIBODY SCREEN, 16TH UNIT",$85 ,Laboratory
"ANTIBODY SCREEN, 17 UNIT",$85 ,Laboratory
"ANITBDOY SCREEN, 18TH UNIT",$85 ,Laboratory
"ANTIBODY SCREEN, 19TH UNIT",$85 ,Laboratory
"ANIIBODY SCREEN, 20TH UNIT",$85 ,Laboratory
"ANITBODY SCREEN, 21ST UNIT",$85 ,Laboratory
"ANTIGEN RBC, EACH",$54 ,Laboratory
RH PHENOTYPING,$91 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #1,$117 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #2,$117 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #3,$117 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #4,$117 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #6,$117 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #6,$117 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #7,$117 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #8,$117 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #9,$117 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #10,$117 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #11,$117 ,Laboratory
CROSS MATCH IMMEDIATE UNIT #12,$117 ,Laboratory
CROSS MATCH 37 UNIT #1,$121 ,Laboratory
CROSS MATCH 37 UNIT #2,$121 ,Laboratory
CROSS MATCH 37 UNIT #3,$121 ,Laboratory
CROSS MATCH 37 UNIT #4,$121 ,Laboratory
CROSS MATCH 37 UNIT #5,$121 ,Laboratory
CROSS MATCH 37 UNIT #6,$121 ,Laboratory
CROSS MATCH 37 UNIT #7,$121 ,Laboratory
CROSS MATCH 37 UNIT #8,$121 ,Laboratory
CROSS MATCH 37 UNIT #9,$121 ,Laboratory
CROSS MATCH 37 UNIT #10,$121 ,Laboratory
CROSS MATCH 37 UNIT #11,$121 ,Laboratory
