Department - Charge Category,Item Number - Charge ID,Description,Price
Other,574,MRI Upper Ext Non Jt W/Wo Cont,2651
Other,10420,ETOMIDATE (AMIDATE) 40 MG = 20 ML (Dosage Form = VIAL),28.1
Other,3355,HYALURONATE SODIUM (HYALGAN SYRINGE) 20 MG = 2 ML (Dosage Form = SYRING),383.2
Other,1023,NM Myocard Perf w/E/F Multiple Study,2488
Other,410,XR-TMJ  Open&Clos Mouth Bil,279
Other,10718,FERROUS SULFATE (FERROUS SULFATE (2 OZ.) ELIX) 2640 MG = 60 ML (Dosage Form = SOLUTION),2.35
Other,12899,Ultrasound Elastography add on,545
Other,10571,Sensia SR Single Pacemaker Medtronic*,3810
Other,1407,Pg Aminostat - R,229
Other,1167,Amino Acid Qnt. Plasma - R,177
Other,9107,Fiducial Loaded Needle 4 Pack,479
Other,12265,Cath Thermocool Smarttouch Bi-Dir,3888
Other,3691,ARIPIPRAZOLE (ABILIFY TAB) 5 MG = 1 TAB (Dosage Form = TAB),40
Other,11040,Chemo IV Infusion each Add'l Sequential Drug,410
Other,1876,Cyt Slds Hormone Eval,41
Other,5912,PREDNISONE (DELTASONE TAB (GEN EQUIV)) 1 MG = 1 TAB (Dosage Form = TAB),1
Other,4123,Cath Trocar 12FR,105
Other,6878,ALPRAZOLAM (XANAX TAB (GEN EQUIV)) 0.25 MG = 1 TAB (Dosage Form = TAB),2
Other,11680,Viance Crossing Catheter,4238
Other,10034,Alloderm 4x16 Thick per SQCM   92219633*,125
Other,5193,Laceration Simple,129
Other,12908,Placement Ureteral Stent New Access w Perc Neph Tube,5459
Other,9339,DONEPEZIL HCL (ARICEPT TAB) 23 MG = 1 TAB (Dosage Form = TABLET),27.3
Other,1964,Immunization Adm One Or Mix,58
Other,6128,GUAIFENESIN (ROBITUSSIN SYRUP (120 ML)) 100 MG = 5 ML (Dosage Form = SYRUP),10.15
Other,4542,Disp Supplies Anesthesia,
Other,461,Ribs Bi/W Chest Min.4 Views,478
Other,32,Avulsion Of Nail Plate,222
Other,10365,METHADONE HCL (METHADONE HCL) 10 MG = 1 ML (Dosage Form = VIAL),26.85
Other,258,Liver Biopsy,2903
Other,4853,"GELATIN SPONGE,ABSORBABLE (GELFOAM STERILE POWDER (1 GM)) 1 GM = 1 EACH (Dosage Form = POWDER)",194.05
Other,12940,INFLIXIMAB-DYYB (INFLECTRA 100MG VIAL) Dosage form = VIAL,2146.2
Other,3033,INFLIXIMAB (REMICADE/INFLIXIMAB) 100 MG = 1 VIAL (Dosage Form = VIAL),2105.3
Other,6507,Thromectomy Mech Primary,10549
Other,3379,METHACHOLINE POWDER (PROVOCHOLINE CHALLENGE TEST) 1 EACH = 1 VIAL (Dosage Form = ),168.15
Other,11855,ISRADIPINE (DYNACIRC CAP) 5 MG = 1 CAP (Dosage Form = CAP),6.25
Other,737,Small Bowel Serie,657
Other,4171,CEPHALEXIN MONOHYDRATE (KEFLEX SUSP (GEN EQUIV) 100ML) 125 MG = 5 ML (Dosage Form = SUS REC),27.9
Other,698,MRI Ankle W Contrast Right,3220
Other,5626,NIACINAMIDE (NIACINAMIDE ORAL CAP) 500 MG = 1 CAP,1
Other,4222,P-EPHED SUL/LORATADINE (CLARITIN-D 24 HOUR SR TAB) 1  TAB = 1 TAB (Dosage Form = T SR 24),7.75
Other,4329,WARFARIN SODIUM (COUMADIN TAB) 5 MG = 1 TAB (Dosage Form = TAB),2.15
Other,12142,NIVOLUMAB (OPDIVO/NIVOLUMAB) 100 MG = 10 ML (Dosage Form = VIAL),5438.7
Other,504,MRI Lumbar W/Wo Contrast,2808
Other,4357,DAPTOMYCIN (CUBICIN/DAPTOMYCIN) 500 MG = 1 VIAL (Dosage Form = VIAL),581.3
Other,12732,Arista AH 1gm,320
Other,1110,Phenytoin / Dilantin,89
Other,12310,Hips Bilateral w Pelvis 5 Views,481
Other,11923,Lens SN6AT7 *,1582
Other,5521,MYCOPHENOLATE MOFETIL HCL (CELLCEPT INJ) 500 MG = 1 VIAL (Dosage Form = VIAL),114.3
Other,12018,Myelography Lumbosacral Lumbar Inj includes S&I,4215
Other,2837,Rad Surg Sgl Ses Complete,11171
Other,1306,Haptoglobin Qt.,83
Other,995,Parathyroid Scan,1435
Other,9131,FJI 3rd and Each additional Lumbar/Sacral,655
Other,3977,Cann Aort Root 14G 20014,176
Other,10348,Protecta XT CRT Dual ICD 92270192*,23042
Other,1099,Gentamicin - Random Level,108
Other,11444,Pneumonia Vaccine Adminstration,59
Other,469,CTA Chest W/O Fol W/Con,1876
Other,3167,PENICILLIN G POTASSIUM (PENICILLIN G POT INJ) 500000 UNITS = 1 ML (Dosage Form = VIAL),31.2
Other,457,Ribs Unilateral 2 ViewRT,279
Other,12847,Lead Nevro 70cm,3839
Other,2425,NM I 131 2-10 Mci,1876
Other,8124,Foreign Body Removal Complex,531
Other,80,INJ for Shoulder Arthrogram LT,334
Other,12660,Breast Tissue Expander Artoura HP 375-500cc,3482
Other,8186,Remove Foreign Body Foot Deep,1836
Other,11050,Loop Recorder Implant ADJ,17611
Other,4006,CAPTOPRIL (CAPOTEN TAB) 25 MG = 1 TAB (Dosage Form = TAB),1.9
Other,5632,NIFEDIPINE (PROCARDIA XL 30 MG TAB SA) 30 MG = 1 TAB (Dosage Form = TAB SA),4.25
Other,265,Intro Transhep Stnt Bili Drain,5408
Other,10449,EnSnare System Elogix 30mm,1364
Other,12281,Mesh Phasix ST 10 x 15cm 92276946*,7198
Other,8414,Phlebectomy Varicose Veins >20,3448
Other,12134,Screw Cranial 1.8 x 5 HT X-DR,296
Other,4490,DIAZEPAM (VALIUM 5MG/ML ORAL CONC(GENEQ)) 150 MG = 30 ML (Dosage Form = PO CON),73.05
Other,2841,Hemodialysis Outpatient,1008
Other,9992,ACETYLCYSTEINE (ACETADOTE/ACETYLCYSTEINE) 6000 MG = 30 ML (Dosage Form = VIAL),500.85
Other,13106,SILVER NITRATE (SILVER NITRATE APPLICATOR X1) 1 APP,2.1
Other,2246,Init Cont Chemo Pump >8Hours,423
Other,5982,PROPOFOL (DIPRIVAN INJ (GEN EQUIV)) 200 MG = 20 ML (Dosage Form = VIAL),21
Other,3416,FLUOROURACIL (FLUOROURACIL INJ) 500 MG = 10 ML (Dosage Form = VIAL),10
Other,11493,Amikacin -  Trough,101
Other,3631,AMOXICILLIN TRIHYDRATE (AMOXIL) 250 MG = 1 CAP (Dosage Form = CAP),1
Other,6710,Tube Trach Shil Cuf 6,323
Other,10989,Egraft MT Valiant TA PM 200,34320
Other,3972,ACAMPROSATE (CAMPRAL TAB) 333 MG = 1 TAB (Dosage Form = TAB),2.3
Other,4283,"Colposcopy,Separ Proc W/O Bx",365
Other,12464,Hemoglobin Fractionation - R,45
Other,556,MRI Upper Non Joint W/O Contrast,2808
Other,125,Laryngo Flex Remove Fb,912
Other,1622,Bacterium Not Specified - R,63
Other,4876,METFORMIN HCL (GLUCOPHAGE TAB) 850 MG = 1 TAB (Dosage Form = TAB),3.7
Other,738,Small Bowel Enteroclysis,907
Other,8661,Pillcam Capsule M2A 70099*,1447
Other,10988,Egraft MT Valiant TA PM 150,32559
Other,208,Declot Thrombolytic Agent CVD,359
Other,9488,H Pylori Stool Antigen - R,55
Other,2467,PHENYTOIN (DILANTIN INFATAB CHEW TAB) 50 MG = 1 TAB (Dosage Form = CHWTAB),1.1
Other,5808,MESALAMINE (PENTASA CAP SR) 250 MG = 1 CAP (Dosage Form = SR CAPS),5.45
Other,8976,Atherectomy Renal Artery,
Other,12871,Ovation iX 22x45 Limb Ext.,6909
Other,5639,NIMODIPINE (NIMOTOP CAP) 30 MG = 1 CAP (Dosage Form = CAP),20.95
Other,8368,NEBIVOLOL HCL (BYSTOLIC TAB) 2.5 MG = 1 TAB (Dosage Form = TAB),5.9
Other,133,RFA Lung,4842
Other,12447,Fortify Assura DR Next Gen ICD,19744
Other,2379,E/M Visit Estab Pt Lvl 4,339
Other,5516,ETHAMBUTOL HCL (MYAMBUTOL TAB) PO 100 MG = 1 TAB DOSAGE FORM = TAB,1.8
Other,12681,Conscious Sedation each Additional 15 minutes,
Other,10265,ER IV Infusion Each Add'l Hour,218
Other,3708,Aspirate Hematoma,147
Other,3671,"ANTIVENIN, CROTALIDAE (CROFAB/CROTALIDAE ANTIVENIN) 1 VIAL = 1 VIAL (Dosage Form = VIAL)",5552.1
Other,2442,TC 99M Disofenin Per Vial,258
Other,10227,FIDAXOMICIN (DIFICID) 200 MG = 1 TAB (Dosage Form = TABLET),373
Other,11470,Spacer Capstone Peek 12x26 92262625*,10568
Other,12192,LEVETIRACETAM (KEPPRA 500MG/5ML (U/D)) 500 MG = 5 ML (Dosage Form = SOLUTION),24.9
Other,4903,Guide Mamm Probe G011F,61
Other,10915,PROPRANOLOL HCL (INDERAL SOLUTION) 480 MG = 120 ML (Dosage Form = SOLUTION),30.1
Other,9080,Aquacel AG Rope 58545*,102
Other,4173,DINOPROSTONE (CERVIDIL VAG INSERT 10 MG SUPP) 10 MG = 1 SUPP (Dosage Form = SUP VAG),694.65
Other,2836,Colon Screen Public,2461
Other,10923,TPMT Genetics Test - R,901
Other,2454,NM TC 99M Sulfur Colloid/Dose,242
Other,13032,Graft Vascular Fusion Bioline 8 x 60,2822
Other,6630,EMTRICITABINE/TENOFOVIR (TRUVADA 200/300 MG TAB) 1 TAB = 1 TAB (Dosage Form = TABLET),84.65
Other,6299,SOTRADECOL 3% 2ML AMP,80.4
Other,12348,Dermaclose,3550
Other,2738,Stent Uret Cont 6Fx24C,529
Other,9284,ASPIRIN (ASPIRIN FOR DESENS. PROTOCOL) 81 MG = 40.5 ML (Dosage Form = SOLN),15.6
Other,10872,ApoE_Genotype Analysis - R,862
Other,2920,CEFTRIAXONE SODIUM (ROCEPHIN/CEFTRIAXONE) 1000 MG = 1 VIAL (Dosage Form = VIAL),9
Other,12104,ACETAMINOPHEN WITH CODEINE (TYLENOL-COD ELIXIR (U/D)12.5ML) 30 MG = 12.5 ML (Dosage Form = SOLUTION),5.5
Other,12890,N. Meningitidis B lipid FHBP (TRUMENBA) 120MCG/0.5 ML Vaccine IM Syringe,324.75
Other,3698,Arthrocentesis,48
Other,3468,Albumin 25% - 100 ML,662
Other,12709,AVF Thrombectomy w PTA,31409
Other,2962,DEXAMETHASONE SOD PHOSPHATE (DECADRON/DEXAMETHASONE) 4 MG = 1 ML (Dosage Form = VIAL),3.25
Other,10107,Extension and Cable Pain (P) *,962
Other,3639,AMOXICILLIN TRIHYDRATE (AMOXIL 400MG/5ML SUSP (100ML)) 400 MG = 5 ML (Dosage Form = SUS REC),34.05
Other,9538,PTA Femoral/Popliteal,14992
Other,10048,Strattice Tissue 20x25 Firm (P)92247063*,106
Other,8566,Surg Path Consult Comp - Records - R,576
Other,4616,Dressing Adh Surg 5111,
Other,12965,NM Kidney Imaging Multi w/ Lasix,2902
Other,5453,ACETYLCHOLINE CHLORIDE (MIOCHOL INTRAOCULAR) 20 MG = 2 ML (Dosage Form = VIAL),308.1
Other,2035,Fees No Video,268
Other,11718,Kit Jackson Spine Table 63842*,333
Other,13018,Introducer Sheath 6fr 10cm Taper Terumo 92274477*,113
Other,10313,Multilayer Venous Compression Upper Arm and Forearm,206
Other,5450,MINERAL OIL (MINERAL OIL(STERILE LIGHT)10ML) 10 ML = 10 ML (Dosage Form = OIL),52.15
Other,3547,PIOGLITAZONE HCL (ACTOS TAB) 30 MG = 1 TAB (Dosage Form = TAB),37.15
Other,606,MRI Shoulder WWO Contrast LT,4512
Other,11980,Trevo Neuro Retriever,12073
Other,8525,Aerobic Isolate Definitive 10,122
Other,5900,PRAZOSIN HCL (MINIPRESS CAP (GEN EQUIV)) 5 MG = 1 CAP (Dosage Form = CAP),2.7
Other,1561,CRP High Sensitive,85
Other,12813,Dermabond Prineo *62404,285
Other,11703,Group B Strep (DNA),234
Other,11239,ALKALOL NASAL WASH (ALKALOL NASAL WASH (120ML)) 120 ML = 120 ML (Dosage Form = LIQUID),3.9
Other,10376,PPMR Implant w/a Single V Lead,20387
Other,11429,Influenza Vaccine Administration,64
Other,3859,"Biopsy Of Breast,Needle",93
Other,9073,Pulmonary Rehab (COPD) 1 hour,129
Other,10280,Neurostimulator Restore Ultra 92240613*,17212
Other,4914,HALOBETASOL PROPIONATE (ULTRAVATE OINT 0.05% 15GM GEN.) 1 APP = 1 APP (Dosage Form = OINT),98.75
Other,3059,SERTRALINE HCL (ZOLOFT) 50 MG = 1 TAB (Dosage Form = TAB),7.1
Other,12153,LEVETIRACETAM IN NACL (ISO-OS) (KEPPRA/LEVETIRACETA 1500MG/100) 1500 MG = 100 ML (Dosage Form = PIGGYBACK),255.5
Other,4728,ESTRADIOL (ESTRACE TAB) 0.5 MG = 1 TAB (Dosage Form = TAB),1.25
Other,1033,Pet Brain Metab Eval,8405
Other,1754,Pretreat RBC Chem Drg Each - R,175
Other,8860,Pneumocystis Smear DFA - R,111
Other,12470,COLCHICINE 0.6MG CAPSULE 1 CAP,18.45
Other,13237,POLYETHYLENE GLYCOL 3350 (MIRALAX POWDER (238GM)= 1 BOTTLE (Dosage Form = POWDER),33.05
Other,9412,Immunoassay Qt By Ria Add 1 - R,499
Other,800,Pulmonary Aniography Bilateral S&I,3730
Other,9241,Cryoablation Liver,12075
Other,4566,DIVALPROEX SODIUM (DEPAKOTE ER TAB) 500 MG = 1 TAB (Dosage Form = ER TAB),12.7
Other,1422,Protein UR 24 Hr.,25
Other,4609,Drain Stoma 2 3/4 3824,45
Other,8725,Fungi Id Each Yeast 3,58
Other,6924,OLANZAPINE (ZYPREXA) 10 MG = 1 TAB (Dosage Form = TAB),62
Other,13021,Guide Wire Straight .038 x 150 J&J 18523*,30
Other,1385,"Oligoclonal Immuno, CSF/SR - R",245
Other,4004,CAPSAICIN (ZOSTRIX 0.025% CR (60GM)) 1 APP = 1 APP (Dosage Form = CREAM),26.6
Other,2223,"EEG, Nonintracranial Surgery",782
Other,720,XR Abdomen 2 View,279
Other,534,Arthrogram ShoulderRT,731
Other,9248,BUN Qt Preterm,27
Other,11532,Screws Peek External Hex 92246941*,966
Other,1173,Angio Converting Enz.-Serum - R,39
Other,9119,Low Compression Microspheres Beads,5350
Other,4556,Disp Supplies Urology,
Other,6642,Tube Feed 10F Dual Port,95
Other,9323,TLSO Brace Prefab w/ Sternal Kit & Fit,2372
Other,10693,Mesh Supra 92259944*,414
Other,6041,Radiotrans Pad Ped.,140
Other,8499,DORIPENEM (DORIBAX/DORIPENEM) 500 MG = 1 VIAL (Dosage Form = VIAL),149.5
Other,2552,"Cath,Infus Tracker 18",1124
Other,4880,"CARBAMIDE PEROXIDE (GLY-OXIDE LIQUID (15 ML))	1 APP = 1 APP DOSAGE FORM = SOLN",14.55
Other,2862,US Duplex Hemodialysis ArmRT,355
Other,2859,Post-Op Rehab = 6 Visits,2431
Other,12466,Locus One Antigen Equivalent each - R,266
Other,2407,Prev Med Couns Indiv 30 Min,93
Other,9858,TAPENTADOL HYDROCHLORIDE (NUCYNTA) 100 MG = 1 TAB (Dosage Form = TABLET),11.3
Other,6254,SITAGLIPTIN PHOSPHATE (JANUVIA TAB) 50 MG = 1 TAB (Dosage Form = TAB),19
Other,5757,Pacing Swan Supply,1502
Other,5847,PIPERONYL BUTOXIDE/PYRETHRINS (RID SHAMPOO (GEN. QUIV.) 120ML) 1 APP = 1 APP (Dosage Form = SHAMPO),15.95
Other,8546,Enzyme Detection  4,20
Other,3535,ACETAMINOPHEN CHEW TAB (TYLENOL CHEW TAB) 80 MG = 1 TAB (Dosage Form = CHWTAB),1
Other,5218,Lavacuator 28FR,105
Other,350,Injection Intercostal Nerve Single,724
Other,1279,Glucagon - R,34
Other,595,MRI Shoulder W/Contrast Left,3124
Other,10359,Unify Quadra CRTD BiV*,29023
Other,6930,CETIRIZINE HCL (ZYRTEC TAB) 5 MG = 1 TAB (Dosage Form = TAB),5.85
Other,549,Hand Min 3 ViewsRT,277
Other,3348,SODIUM CHLORIDE 3% (SODIUM CHLORIDE 3% INJ) 500 ML = 500 ML (Dosage Form = INJ),24.2
Other,9365,Lymphedema Therapeutic Exercise - OT,67
Other,4205,CIPROFLOXACIN HCL (CILOXAN 0.3% OPTH DROPS (5ML)) 1 DROPS = 1 DROPS (Dosage Form = DROPS),288.7
Other,1288,Glucose Tolerance 1 Hour,31
Other,5244,LEVETIRACETAM (KEPPRA/LEVETIRACETAM) 500 MG = 5 ML (Dosage Form = VIAL),117
Other,1849,Histoplasma Ant Urine - R,210
Other,8738,Dilution multiantimicrobial (MIC) 7,222
Other,4840,FUROSEMIDE (LASIX TAB) 80 MG = 1 TAB (Dosage Form = TAB),1.35
Other,380,Botox Laryngeal w EMG,725
Other,4973,HYDROMORPHONE HCL (DILAUDID (GEN EQ) INJ) 1 MG = 1 ML (Dosage Form = SYRING),3.25
Other,5456,POLYETHYLENE GLYCOL 3350 (MIRALAX POWDER PKT (17GM)) 17 GM = 1 EACH (Dosage Form = PACKET),4.8
Other,9710,Sonostar Pack (P) 92265875*,2265
Other,6204,Set Dilator Endovascular,661
Other,1153,Aldolase - R,64
Other,4875,METFORMIN HCL (GLUCOPHAGE XR 500 MG SR TAB) 500 MG = 1 TAB (Dosage Form = TAB SR),2.15
Other,10171,"Cobalt, Plasma - R",119
Other,11085,Harmonic Scalpel HAR23 92115302*,1407
Other,12924,Tryton Side Branch Stent,2822
Other,1702,Rh Only,83
Other,9691,Port Powerport 63966*,1254
Other,3461,Leuko Poor Bld Processing Each,333
Other,3490,Isovue 200 Ml,4
Other,10709,Tubing CUSA 91954065*,1191
Other,6599,TRIAMCINOLONE ACETONIDE (ARISTOCORT 0.025% OINT 80GM(G)) 1 APP = 1 APP (Dosage Form = OINT),15
Other,8552,FORMOTEROL FUMARATE (FORADIL 12 CAP PACKAGE) 12 MCG = 1 CAP (Dosage Form = CAP),118.9
Other,12693,Physical Therapy Evaluation Moderate Complexity,142
Other,7860,In Situ Hybrid Manual Probe 1 - R,631
Other,12699,Occupational Therapy Re-Evaluation w Established Plan of Care,86
Other,12039,Myosure Device XL 92276256*,3881
Other,1095,Cyclosporine A (By Fpia) - R,60
Other,6595,Room Priv Gyn,
Other,2266,"Bath Contrast, 15 Mins",72
Other,2451,NM TC99M Mebrofenin/Vial,340
Other,10653,Super D Delivery Bundle 92272045*,426
Other,10393,Loop Recorder Implant,17611
Other,2352,Post OP Exam,339
Other,10636,Needle EUS Flexible 19ga 92272008*,1740
Other,12869,Osteocool Bone Access Kit 10G,1187
Other,10140,Avaulta Solo Anterior/Posterior (P) 92253277*,3126
Other,3088,FUROSEMIDE (LASIX INJ) 100 MG = 10 ML (Dosage Form = VIAL),12.5
Other,5445,MAGNESIUM HYDROXIDE (MILK OF MAGNESIA (30ML) U/D) 2400 MG = 30 ML (Dosage Form = SUSP),1.3
Other,9133,BISMUTH SUBSALICYLATE (PEPTO-BISMOL SUSP 30ML) 524 MG = 30 ML (Dosage Form = SUSP),5.4
Other,3212,SOD FERRIC GLUC COMPLX/SUCROSE (FERRLECIT/SOD FERRIC GLUC COMP) 62.5 MG = 5 ML (Dosage Form = INJ),134.2
Other,9702,Hero 1001 Venous Outflow Component (P) 92242775*,3923
Other,6079,ROPINIROLE HCL (REQUIP TAB) 0.25 MG = 1 TAB (Dosage Form = TAB),3.05
Other,6015,FLUOXETINE HCL (PROZAC WEEKLY 90 MG CAP) 90 MG = 1 CAP (Dosage Form = CAPSULE),61.95
Other,12797,BC Filmarray 6,54
Other,12657,"SENNOSIDES A&B,CALCIUM (SENOKOT SYRUP (5ML)) 8.8 MG = 5 ML (Dosage Form = SYRUP)",4.35
Other,9363,ERCC1 Analysis - R,464
Other,11828,Dyngen Mini VR DF4,23272
Other,2013,Scrn Pure Tone Air Only,85
Other,2637,Guidewire Transend 300,1476
Other,9064,PHENYLEPHRINE HCL (NEOSYNEPHRINE(PHENYLEPH)-GENEQ) 50 MG = 5 ML (Dosage Form = VIAL),48.7
Other,8727,Mold Identification 5,43
Other,6849,VORICONAZOLE (VFEND TAB) 200 MG = 1 TAB (Dosage Form = TAB),114.95
Other,8654,MIN.OIL/PET HY-PHL/CHOLESTYRAM (MAGIC BUTT PASTE) 1 APP = 1 APP (Dosage Form = CREAM),84.2
Other,6518,TIMOLOL MALEATE (TIMOPTIC 0.25% OPTH DROPS(5ML)) 1 DROPS = 1 DROPS (Dosage Form = DROPS),54
Other,10378,"Repair Pacer /ICD Lead, Single",6106
Other,465,MRI Chest Recall,2651
Other,241,Non-Coronary US Addl Vessel,2309
Other,6626,Trocar Tristar 12Mm,472
Other,11006,Egraft MT EndII CL L156-199*,11352
Other,6858,Washer/Tap/Nut,
Other,5270,"LIDOCAINE HCL/EPINEPHRINE (LIDO. 0.5%-EPI 1:200,000(50ML)) 50 ML = 1 VIAL (Dosage Form = VIAL)",16.6
Other,12202,Valve Aortic Onxane 19-29 92276572*,13917
Other,2755,"Sheath,Up And Over",366
Other,6697,Tube Trach Cuff 3.0,
Other,12371,Indigo SEP8 Aspiration,3269
Other,274,Extract Biliary Stone,4390
Other,353,Inj Paracervical Nerve,1313
Other,2866,TETRACAINE HCL 1% 2 ML IF 20mg = 2 ML (Dosage Form = INJ),186.75
Other,9465,Immunoassay Qt By Ria Add 3 - R,499
Other,11616,OBINUTUZUMAB (GAZYVA/OBINUTUZUMAB) 1000 MG = 40 ML (Dosage Form = VIAL),12024.75
Other,2513,"Cath,Balloon Angion All Sizes",1451
Other,11008,Thyroplasty Device 92253764*,1542
Other,21,Rem Benign Trunk Les.1.1-2.0Cm,1234
Other,10881,Percutaneous Transluminal Revascularization of Bypass Graft,19783
Other,12424,HIV 1/2 and P24 Antigen,104
Other,316,Inj.For Hysterosalpingogram,355
Other,11792,Medtronic Centerpiece 13 x 19mm,15297
Other,10269,LORAZEPAM 20 MG/10 ML INJ,27.95
Other,12666,Microblator 30 Degree,1196
Other,5687,NYSTATIN (MYCOSTATIN TOP OINT 15GM (G)) 1 APP = 1 APP (Dosage Form = OINT),8.45
Other,8680,Flunitrazepam (Rohypnol) - R,280
Other,6376,SUMATRIPTAN SUCCINATE (IMITREX TAB) 50 MG = 1 TAB (Dosage Form = TAB),61.15
Other,4771,"Fastners,T Brown Mueller",409
Other,12055,Epifix 2x4 Per sqcm,622
Other,5985,PROPRANOLOL HCL (INDERAL TAB (GEN EQUIV)) 60 MG = 1 TAB (Dosage Form = TAB),1
Other,180,Cath Place In Artery A,579
Other,2958,METHYLPREDNISOLONE ACETATE (DEPO-MEDROL INJ (1ML)) 40 MG = 1 ML (Dosage Form = VIAL),19.1
Other,664,MRI Lower Non Joint W/Cont,2808
Other,12774,BUDESONIDE 0.5MG/2ML AMP NEB INH SOLN (PULMICORT) (Dosage Form = AMPUL-NEB),34.85
Other,13180,NALTREXONE MICROSPHERES (VIVITROL 380 MG KIT) Dose Form = IM,0
Other,5698,SODIUM CHLORIDE (OCEAN NASAL SPRAY (GEN EQ)45ML) 1 SPRAY = 1 SPRAY (Dosage Form = SPRAY),8.45
Other,11073,Mometasone furoate (Asmanex) #30 twisthaler 220 mcg,272.45
Other,11557,NAFCILLIN 2GM/100ML NS (NAFCILLIN  2GM/NS100ML MB) 2 GM = 100 ML (Dosage Form = MINIBAG),101.8
Other,12852,Tibial Insert Journey NP,3031
Other,10043,Alloderm 2x4 Thick per SQCM 92237114*,246
Other,8646,"Biofeedback Training Peri, Anal, Urethral OT",316
Other,896,US Guidance Vascular Access,396
Other,8180,Drain External Ear Lesion Complex,3147
Other,1358,Myoglobin Serum,85
Other,12640,FG Watchman LAA Closure Device 24mm,19076
Other,10803,Tissue Pouch 92265669*,293
Other,4447,TRAZODONE HCL (DESYREL TAB) 150 MG = 1 TAB (Dosage Form = TAB),3
Other,12035,DALBAVANCIN HCL (DALVANCE) 500MG VIAL,3379.35
Other,1278,"Gastrin, Serum - R",119
Other,8362,TED Thigh XL Reg 58792,105
Other,1441,Sodium (Urine),32
Other,5807,PENTAMIDINE ISETHIONATE (PENTAM 300/PENTAMIDINE) 300 MG = 1 VIAL (Dosage Form = VIAL),291.8
Other,11694,Sheath Renal Amplatz 30 x 20 92274697*,359
Other,5887,"Pouch Ost 2 3/4"" 3804",134
Other,641,Lower Ext Infant 2 ViewLT,477
Other,4594,Percutaneous Abcess Drain (Site),132
Other,3903,METHOHEXITAL SODIUM (BREVITAL SODIUM) 500 MG = 1 VIAL (Dosage Form = VIAL),163.35
Other,2278,E/M Visit New Lvl 3,118
Other,3160,PAMIDRONATE DISODIUM (AREDIA/PAMIDRONATE) 90 MG = 1 VIAL (Dosage Form = VIAL),134.25
Other,2424,NM I 131 150-199 MCI,19800
Other,5971,FLUPHENAZINE HCL (PROLIXIN TAB (GEN EQUIV)) 1 MG = 1 TAB (Dosage Form = TAB),1.95
Other,6551,TORSEMIDE (DEMADEX) 20 MG = 1 TAB (Dosage Form = TAB),2.6
Other,64,"Inject Trigger Points, =/> 3",527
Other,1475,Uric Acid (Urine),31
Other,440,MRI Brain W/O Contrast,2808
Other,4882,GLYBURIDE (DIABETA TAB (GEN EQUIV)) 5 MG = 1 TAB (Dosage Form = TAB),2.1
Other,2135,US Extr Venous Uni/LTD Study,1367
Other,1212,Cholesterol-Total,29
Other,4582,DOXAZOSIN MESYLATE (CARDURA TAB (GEN EQ.)) 4 MG = 1 TAB (Dosage Form = TAB),3.2
Other,393,Decompress Specify Nerve,2417
Other,8351,Laser Sheath Extraction Kit,5495
Other,3929,Burn Care Initial,88
Other,10416,Physio II Mitral Annuloplasty Ring 92271208*,7808
Other,1869,S. PneumoniaeURAntigen,79
Other,10665,Plates Sternalock 92272107*,1773
Other,630,Knee Comp 4 ViewsLT,279
Other,4487,DIAZEPAM (VALIUM TAB (GEN EQUIV)) 10 MG = 1 TAB (Dosage Form = TAB),1.35
Other,8181,Remove Foreign Body Ear SQ,417
Other,11194,Sub PT/OT current status,1
Other,6586,Tray Spinal 22Ga,95
Other,1785,"Culture, Anaerobic",63
Other,5000,ISOSORBIDE MONONITRATE (IMDUR SR TAB) 120 MG = 1 TAB (Dosage Form = T SR 24),6.6
Other,6700,Tube Trach Cuff 5.0,
Other,5841,"NA PHOS,M-B/NA PHOS,DI-BA (FLEET PHOSPHO-SODA (1.5 OZ)) 45 ML = 45 ML (Dosage Form = SOLN)",9.35
Other,10354,LEVOTHYROXINE SODIUM (SYNTHROID/LEVOTHYROXINE) 100 MCG = 5 ML (Dosage Form = VIAL),205.95
Other,2119,Cold Tol.Thermometry,194
Other,5514,MULTIVITAMINS (M.V.I. 12 INJ/MULTIVITAMINS) 10 ML = 10 ML (Dosage Form = COM PK),10.1
Other,5560,THIOTHIXENE (NAVANE CAP (GEN EQUIV)) 10 MG = 1 CAP (Dosage Form = CAP),2.5
Other,5155,Kit Intracranial Press/Temp,1979
Other,4647,ERYTHROMYCIN ETHYLSUCCINATE (E.E.S. 400 TAB) 400 MG = 1 TAB (Dosage Form = TAB),29.85
Other,6680,Tube Rectal 28FR,98
Other,12243,Alkaline Phos Heated,33
Other,12917,Rod Solera 5.5 x 500 TICP4 Str,1217
Other,3019,"HEPARIN SODIUM,PORCINE (HEPARIN SODIUM INJ) 1000 UNITS = 1 ML (Dosage Form = VIAL)",3.45
Other,6827,TETRAHYDROZOLINE HCL (VISINE EYE DROPS (15ML)) 1 DROPS = 1 DROPS (Dosage Form = DROPS),9.85
Other,10908,Nerve Conduction Studies; 5-6 Studies,390
Other,972,Sp. TX Proc,2448
Other,8009,ETHACRYNIC ACID (EDECRIN TAB) 25 MG = 1 TAB (Dosage Form = TAB),2.95
Other,10322,Airway Resistance,495
Other,2106,SVT Ablation,57938
Other,9804,Endograft MT Advantage Aortic Ext Cuff,5475
