PROCEDURE,DESCRIPTION,DEPARTMENT,CHG CAT,STD AMOUNT,CPT,HCPC
33175853,CATH COUDE TIEMANN 18FR,28314537331,270, $10.00 ,,
33175854,CATH COUDE TIEMANN 26FR,28314537331,270, $10.00 ,,
33175855,CATHETER EMBOLECTOMY 4FR-40CM,28314537331,270, $102.00 ,,
33175856,CATHETER EMBOLECTOMY 7FR-80CM,28314537331,272, $102.00 ,,
33175859,CATH F 2W 12FR-30CC HYDROPH,28314537331,270, $11.50 ,,
33175860,CATH F 2WAY 12FR-30CC TEF CTD,28314537331,270, $11.50 ,,
33175861,CATH F 2W 12FR-5CC HYDROPH CTD,28314537331,270, $10.00 ,,
33175862,CATH F 2WAY 12FR-5CC TEF CTD,28314537331,270, $8.00 ,,
33175863,CATH FOLEY 2WAY 12FR-5CC SILIC,28314537331,270, $8.00 ,,
33175864,CATH F 2W 14FR-30CC HYDROPH,28314537331,270, $11.50 ,,
33175865,CATH F 2WAY 14FR-30CC TEF CTD,28314537331,270, $11.50 ,,
33175866,CATH F 2W 14FR-5CC HYDROPH CTD,28314537331,270, $10.00 ,,
33175867,CATH F 2WAY 14FR-5CC SILIC CTD,28314537331,270, $25.50 ,,
33175868,CATH F 2WAY 14FR-5CC TEF CTD,28314537331,270, $10.00 ,,
33175870,CATH F 2WAY 14FR-5CC ULTRAM,28314537331,270, $8.00 ,,
33175871,CATH FOLEY 2WAY 14FR-5CC SILIC,28314537331,270, $10.00 ,,
33175872,CATH FOLEY 2WAY 14FR-5CC SILIC,28314537331,270, $29.00 ,,
33175873,CATH F 2W 16FR-30CC HYDROPH,28314537331,270, $11.50 ,,
33175874,CATH F 2WAY 16FR-30CC TEF CTD,28314537331,270, $11.50 ,,
33175875,CATH F 2WAY 16FR-30CC ULTRAM,28314537331,270, $8.00 ,,
33175876,CATH F 2WAY 16FR-30CC SILIC,28314537331,270, $14.00 ,,
33175877,CATH FOLEY 2WAY 16FR-5CC LATEX,28314537331,270, $36.50 ,,
33175878,CATH F 2W 16FR-5CC HYDROPH CTD,28314537331,270, $10.00 ,,
33175879,CATH F 2W 16FR-5CC TEFVALVE,28314537331,270, $8.00 ,,
33175880,CATH F 2WAY 16FR-5CC ULTRAM,28314537331,270, $8.00 ,,
33175881,CATH FOLEY 2WAY 16FR-5CC SILIC,28314537331,270, $10.00 ,,
33175882,CATH FOLEY 2WAY 16FR-5CC SILIC,28314537331,270, $9.50 ,,
33175883,CATH FOLEY 2WAY 18FR-30CC LTX,28314537331,270, $11.50 ,,
33175884,CATH F 2W 18FR-30CC SILIC CTD,28314537331,270, $25.50 ,,
33175885,CATH F 2WAY 18FR-30CC ULTRAM,28314537331,270, $8.00 ,,
33175886,CATH F 2WAY 18FR-30CC SILIC,28314537331,270, $14.00 ,,
33175887,CATH FOLEY 2WAY 18FR-5CC LATEX,28314537331,270, $8.00 ,,
33175888,CATH FOLEY 2WAY 18FR-5CC LATEX,28314537331,270, $36.50 ,,
33175889,CATH F 2W 18FR-5CC HYDROPH CTD,28314537331,270, $10.00 ,,
33175890,CATH F 2WAY 18FR-5CC SILIC CTD,28314537331,270, $8.00 ,,
33175891,CATH FOLEY 2WAY 18FR-5CC SILIC,28314537331,270, $10.00 ,,
33175892,CATH FOLEY 2WAY 20FR-30CC LTX,28314537331,270, $11.50 ,,
33175893,CATH F 2W 20FR-30CC HYDROPH,28314537331,270, $8.00 ,,
33175894,CATH F 2W 20FR-30CC HYDROPH,28314537331,270, $11.50 ,,
33175895,CATH FOLEY 2WAY 20FR-5CC LATEX,28314537331,270, $36.50 ,,
33175896,CATH F 2W 20FR-5CC HYDROPH CTD,28314537331,270, $10.00 ,,
33175897,CATH F 2WAY 20FR-5CC SILIC CTD,28314537331,270, $8.00 ,,
33175898,CATH F 2WAY 20FR-5CC ULTRAM,28314537331,270, $8.00 ,,
33175899,CATH FOLEY 2WAY 20FR-5CC SILIC,28314537331,270, $10.00 ,,
33175900,CATH FOLEY 2WAY 22FR 5CC SILIC,28314537331,270, $10.00 ,,
33175901,CATH FOLEY 2WAY 22FR-30CC LTX,28314537331,270, $11.50 ,,
33175902,CATH F 2W 22FR-30CC SILIC CTD,28314537331,270, $8.00 ,,
33175903,CATH F 2WAY 22FR-30CC ULTRAM,28314537331,270, $8.00 ,,
33175905,CATH F 2WAY 22FR-5CC SILIC CTD,28314537331,270, $8.00 ,,
33175906,CATH F 2WAY 22FR-5CC ULTRAM,28314537331,270, $8.00 ,,
33175907,CATH FOLEY 2WAY 24FR-30CC LTX,28314537331,270, $11.50 ,,
33175908,CATH F 2WAY 24FR-30CC ULTRAM,28314537331,270, $8.00 ,,
33175909,CATH FOLEY 2WAY 24FR-5CC LATEX,28314537331,270, $8.00 ,,
33175910,CATH F 2W 24FR-5CC HYDROPH CTD,28314537331,270, $10.00 ,,
33175911,CATH F 2WAY 24FR-5CC SILIC CTD,28314537331,270, $8.00 ,,
33175912,CATH F 2WAY 24FR-5CC TEF CTD,28314537331,270, $10.00 ,,
33175913,CATH FOLEY 2WAY 24FR-5CC SILIC,28314537331,270, $10.00 ,,
33175914,CATH FOLEY 2WAY 26FR-30CC LTX,28314537331,270, $11.50 ,,
33175915,CATH F 2W 26FR-30CC HYDROPH,28314537331,270, $11.50 ,,
33175916,CATH FOLEY 2WAY 26FR-5CC LATEX,28314537331,270, $8.00 ,,
33175917,CATH F 2W 26FR-5CC HYDROPH CTD,28314537331,270, $10.00 ,,
33175918,CATH FOLEY 2WAY 28FR-30CC LTX,28314537331,270, $11.50 ,,
33175919,CATH F 2WAY 28FR-30CC ULTRAM,28314537331,270, $8.00 ,,
33175920,CATH FOLEY 2WAY 28FR-5CC LATEX,28314537331,270, $8.00 ,,
33175921,CATH F 2W 28FR-5CC HYDROPH CTD,28314537331,270, $10.00 ,,
33175922,CATH FOLEY 2WAY 30FR-30CC LTX,28314537331,270, $11.50 ,,
33175923,CATH F 2W 30FR-30CC HYDROPH C,28314537331,270, $11.50 ,,
33175924,CATH F 2W 30FR-30CC SILIC CTD,28314537331,270, $8.00 ,,
33175925,CATH F 2WAY 30FR-30CC ULTRAM,28314537331,270, $8.00 ,,
33175926,CATH F 2W 30FR-5CC HYDROPH CTD,28314537331,270, $10.00 ,,
33175929,CATH F 3W 16FR-30CC LUBRI CTD,28314537331,270, $26.50 ,,
33175930,CATH F 3WAY 16FR-30CC TEF CTD,28314537331,270, $25.00 ,,
33175931,CATH F 3W 18FR-30CC LUBRI CTD,28314537331,270, $26.50 ,,
33175932,CATH F 3WAY 18FR-30CC TEF CTD,28314537331,270, $25.00 ,,
33175933,CATH F 3WAY 18FR-30CC ULTRAM,28314537331,270, $9.50 ,,
33175934,CATH FOLEY 3WAY 18FR-5CC LATEX,28314537331,270, $26.00 ,,
33175935,CATH F 3WAY 18FR-5CC ULTRAM,28314537331,270, $9.50 ,,
33175936,CATH FOLEY 3WAY 20FR-30CC LTX,28314537331,270, $9.50 ,,
33175937,CATH F 3W 20FR-30CC LUBRI CTD,28314537331,270, $26.50 ,,
33175938,CATH F 3WAY 20FR-30CC TEF CTD,28314537331,270, $25.00 ,,
33175939,CATH F 3W 20FR-5CC HYDROPH CTD,28314537331,270, $26.00 ,,
33175941,CATH F 3W 22FR-30CC LUBRI CTD,28314537331,270, $26.50 ,,
33175942,CATH F 3WAY 22FR-30CC ULTRAM,28314537331,270, $9.50 ,,
33175943,CATH FOLEY 3WAY 22FR-5CC LATEX,28314537331,270, $26.00 ,,
33175944,CATH F 3W 22FR-5CC HYDROPH CTD,28314537331,270, $9.50 ,,
33175945,CATH F 3W 24FR-30CC LUBRI CTD,28314537331,270, $26.50 ,,
33175946,CATH F 3WAY 24FR-30CC ULTRAM,28314537331,270, $9.50 ,,
33175947,CATH F 3W 24FR-5CC HYDROPH CTD,28314537331,270, $26.00 ,,
33175949,CATH FOLEY 3WAY 26FR-30CC LTX,28314537331,270, $25.00 ,,
33175950,CATH F 3WAY 26FR-30CC ULTRAM,28314537331,270, $9.50 ,,
33176021,CATH MALECOT 26FR,28314537331,270, $83.50 ,,
33176022,CATH MALECOT 28FR,28314537331,270, $83.50 ,,
33176023,CATH MALECOT 30FR,28314537331,270, $83.50 ,,
33176025,CATH MALECOT 34FR,28314537331,270, $83.50 ,,
33176026,CATH MALECOT 36FR,28314537331,270, $8.00 ,,
33176047,CATH SWAN GANZ,28314537331,270, $171.50 ,,
33176048,CATH SWAN GANZ  FEM S TIP 7FR,28314537331,270, $120.00 ,,
33176056,CATH URETHRAL 10FR RED LATEX,28314537331,270, $8.50 ,,
33176057,CATH URETHRAL 12FR,28314537331,270, $8.00 ,,
33176058,CATH URETHRAL 12FR RED LATEX,28314537331,270, $8.50 ,,
33176059,CATH URETHRAL 14FR,28314537331,270, $8.00 ,,
33176060,CATH URETHRAL 14FR RED LATEX,28314537331,270, $8.50 ,,
33176061,CATH URETHRAL 16FR RED LATEX,28314537331,270, $8.50 ,,
33176062,CATH URETHRAL 18FR RED LATEX,28314537331,270, $8.50 ,,
33176063,CATH URETHRAL 20FR RED LATEX,28314537331,270, $8.50 ,,
33176064,CATH URETHRAL 22FR RED LATEX,28314537331,270, $8.50 ,,
33176065,CATH URETHRAL 24FR RED LATEX,28314537331,270, $8.50 ,,
33176066,CATH URETHRAL 26FR RED LATEX,28314537331,270, $8.50 ,,
33176067,CATH URETHRAL 28FR RED LATEX,28314537331,270, $8.50 ,,
33176068,CATH URETHRAL 30FR RED LATEX,28314537331,270, $8.50 ,,
33176069,CATH URETHRAL 8FR,28314537331,270, $8.00 ,,
33176070,CATH URIN EXT LG 1 SIDED ADH,28314537331,270, $8.00 ,,
33176074,CATH URINARY EXT SELF-ADH LG,28314537331,270, $8.00 ,,
33176075,CATH URINARY EXT SELF-ADH MD,28314537331,270, $8.00 ,,
33176078,CATH URINARY EXT SELF-ADH SM,28314537331,270, $8.00 ,,
33176079,CATH URINARY EXT SELF-ADH SM,28314537331,270, $8.00 ,,
33176084,CATH UTILITY 12FR,28314537331,270, $8.00 ,,
33176085,CATH UTILITY 14FR,28314537331,270, $8.00 ,,
33176086,CATH UTILITY 16FR,28314537331,270, $8.00 ,,
33176087,CATH UTILITY 18FR,28314537331,270, $8.00 ,,
33176115,CLAMP DRAINABLE POUCH,28314537331,270, $8.00 ,,
33176116,CLAMP DRAINABLE POUCH,28314537331,270, $8.00 ,,
33176118,CLIP LIGATION MD TITANIUM,28314537331,270, $169.50 ,,
33176120,CLIP LIGATION SM TITANIUM,28314537331,270, $168.50 ,,
33176129,COLLAR CERVICAL FOAM MD,28314537331,270, $47.00 ,,
33176130,COLLAR CERVICAL FOAM SM,28314537331,270, $47.00 ,,
33176131,COLLAR CERV PHILADELPHIA LG,28314537331,270, $32.50 ,,
33176132,COLLAR CERV PHILADELPHIA MD,28314537331,270, $32.50 ,,
33176133,COLLAR CERV PHILADELPHIA SM,28314537331,270, $32.50 ,,
33176134,COLLAR CERVICAL SERPENTINE  LG,28314537331,270, $14.00 ,,
33176135,COLLAR CERVICAL SERPENTINE  MD,28314537331,270, $8.00 ,,
33176137,COLLAR CERVICAL SERPENTINE SM,28314537331,270, $8.00 ,,
33176138,COLLAR CERV SERPENTINE UNIV,28314537331,270, $21.00 ,,
33176139,COLLECTOR FECAL INCONTINENCE,28314537331,270, $17.00 ,,
33176140,COLLECTOR FECAL INCONTINENCE,28314537331,270, $11.00 ,,
33176141,COLLECTOR FECAL INCONT MED,28314537331,270, $17.00 ,,
33176142,COLLECTOR FECAL FLEXSEAL,28314537331,270, $11.00 ,,
33176143,COLLECTOR FECAL INCONTINENCE,28314537331,270, $17.00 ,,
33176171,DRSG ABDOMINAL PAD 5X9,28314537331,270, $8.00 ,,
33176172,DRSG ABDOMINAL PAD 8X7-1/2,28314537331,270, $8.00 ,,
33176180,DRSG ABSORPTION,28314537331,270, $19.50 ,,
33176184,DRSG ALGIN 1-1/2X2-1/2COMFEEL,28314537331,270, $8.00 ,,
33176191,DRSG ALGIN ROPE 16 COMFEEL,28314537331,270, $9.00 ,,
33176202,DRSG CONTOUR 24 COMFEEL PLUS,28314537331,270, $9.50 ,,
33176204,DRSG CONTOUR 42 COMFEEL PLUS,28314537331,270, $14.50 ,,
33176214,DRSG DUODERM EXTRA THIN 4X4,28314537331,270, $8.00 ,,
33176219,DRSG EXU-DRY 4X6,28314537331,270, $8.00 ,,
33176220,DRSG EXU-DRY 6X9,28314537331,270, $8.50 ,,
33176238,DRSG FOAM 4X4 NON-ADH BIATAIN,28314537331,270, $8.00 ,,
33176242,DRSG FOAM 5X5 ADH BIATAIN,28314537331,270, $10.00 ,,
33176246,DRSG FOAM 6X6 NON-ADH BIATAIN,28314537331,270, $13.50 ,,
33176248,DRSG FOAM 7X7 ADH BIATAIN,28314537331,270, $19.00 ,,
33176260,DRSG HYDROFIBER AQUACEL 5X5CM,28314537331,270, $13.00 ,,
33176274,DRSG HYDROGEL 4X4 CARI-GAUZE,28314537331,270, $8.00 ,,
33176275,DRSG HYDROGEL 4X4 CLEAR CAR,28314537331,270, $8.50 ,,
33176278,DRSG HYDROGEL 4X4 CURAFIL,28314537331,270, $8.00 ,,
33176297,DRSG MESALT RIBBON .75,28314537331,270, $8.00 ,,
33176347,DRSG TRANSP 2X2-3/4 COMFEEL,28314537331,270, $8.00 ,,
33176354,DRSG 3-1/2X5-1/2 COMFEEL PLUS,28314537331,270, $8.00 ,,
33176357,DRSG TRANSP 4X4 COMFEEL PLUS,28314537331,270, $8.00 ,,
33176380,DRSG TRANSP 6X6 COMFEEL PLUS,28314537331,270, $8.00 ,,
33176396,DRSG TRIANGLE 7X8 COMFEEL,28314537331,270, $15.00 ,,
33176401,DRSG ULCER CARE 1.5X2.5,28314537331,270, $8.00 ,,
33176402,DRSG ULCER CARE 4X4,28314537331,270, $8.00 ,,
33176403,DRSG ULCER CARE 4X4 COMFEEL +,28314537331,270, $8.00 ,,
33176404,DRSG ULCER CARE 6X6,28314537331,270, $8.00 ,,
33176405,DRSG ULCER CARE 6X6 COMFEEL,28314537331,270, $12.00 ,,
33176420,"DRSG WOUND HYDROFIBER 3/4X18""",28314537331,270, $20.00 ,,
33176425,"DRSG XEROFORM, 1 X 8, PETRO",28314537331,270, $53.31 ,,
33176444,DRSG WND PURILON .5OZ,28314537331,270, $8.50 ,,
33176447,DRSG WND TRIAD 2.5OZ,28314537331,270, $22.00 ,,
33176449,DRSG WND CARRASYN 3OZ,28314537331,270, $16.50 ,,
33176451,GEL HYDROGEL WND DRSG 8OZ SP,28314537331,270, $44.50 ,,
33176458,GEL WOUND COLL 3OZ WOUNDRES,28314537331,270, $16.00 ,,
33176465,GEL WND VISC HYD 3OZ CARRASYN,28314537331,270, $18.50 ,,
33176504,"IMMOBILIZER KNEE 20""",28314537331,270, $62.00 ,,
33176505,"IMMOBILIZER KNEE 24""",28314537331,270, $155.00 ,,
33176506,IMMOBILIZER KNEE TRI-PANE,28314537331,270, $40.50 ,,
33176507,"IMMOBILIZER KNEE UNIVERSAL 16""",28314537331,270, $29.00 ,,
33176508,"IMMOBILIZER KNEE UNIVERSAL 19""",28314537331,270, $32.50 ,,
33176510,IMMOB SHLDR SLING & SWATH UNI,28314537331,270, $18.50 ,,
33176511,IMMOBILIZER SHOULDER XL,28314537331,270, $27.00 ,,
33176512,INSPIRATORY MUSCLE TRAINER IMT,28314537331,270, $57.50 ,,
33176513,INSPIRATORY MUSCLE TRAINER,28314537331,270, $35.00 ,,
33176517,INTRODUCER NEEDLE  PICC 3FR,28314537331,270, $71.50 ,,
33176518,INTRODUCER NEEDLE 4FR MID-LINE,28314537331,270, $71.50 ,,
33176519,INTRODUCER NEEDLE 5FR-15G PICC,28314537331,270, $40.00 ,,
33176541,TRACH SUCT 10FR-16 W/SALINE,28314537331,270, $44.50 ,,
33176542,TRACH SUCT 12FR-21.3 W/SALINE,28314537331,270, $19.00 ,,
33176545,TRACH SUCT 14FR W/DBL SWVL,28314537331,270, $29.50 ,,
33176548,TRACH SUCT 14FR-12 DIRECTION,28314537331,270, $539.16 ,,
33176549,TRACH SUCT 14FR-12 W/15ML SAL,28314537331,270, $27.50 ,,
33176550,TRACH SUCT 14FR-12 W/DBL SWV,28314537331,270, $27.50 ,,
33176552,TRACH SUCT 14FR-12 W/DBL SWV,28314537331,270, $33.00 ,,
33176554,TRACH SUCT 14FR-12 W/DBL SWV,28314537331,270, $30.50 ,,
33176556,TRACH SUCT 14FR-12 W/SWVL A,28314537331,270, $20.50 ,,
33176558,"TRACH SUCT 14FR-12 W/T,SWVL,",28314537331,270, $26.50 ,,
33176560,TRACH SUCT 14FR-21.3 DIRECTIO,28314537331,270, $23.50 ,,
33176562,TRACH SUCT 14FR-21.3 W/T,28314537331,270, $21.00 ,,
33176563,TRACH SUCT 14FR-21.3 W/15ML,28314537331,270, $26.50 ,,
33176564,TRACH SUCT 14FR-21.3 W/CLEAR,28314537331,270, $23.50 ,,
33176565,TRACH SUCT 14FR-21.3 W/DBL S,28314537331,270, $26.50 ,,
33176566,TRACH SUCT 14FR-21.3 W/DBL SW,28314537331,270, $33.00 ,,
33176567,TRACH SUCT 14FR-21.3 W/SALINE,28314537331,270, $24.00 ,,
33176568,TRACH SUCT 14FR-21.3 W/SALINE,28314537331,270, $25.00 ,,
33176586,KIT PERCUTANEOUS DRAINAGE CVD,28314537331,270, $428.00 ,,
33176588,KIT PERC INTRO HOMEOST  8.5FR,28314537331,270, $128.00 ,,
33176589,KIT PERC INTRO TUOHY-BOR 8.5FR,28314537331,270, $114.50 ,,
33176590,KIT PRESSURE TRANSDUCER ADULT,28314537331,270, $86.00 ,,
33176595,KIT TRANSDUCER TRUWAVE/1W SC,28314537331,270, $21.50 ,,
33176596,KIT TRANSDUCER TRUWAVE,28314537331,270, $38.00 ,,
33176597,KIT PRS TRANSDUC W/12&48 TUBE,28314537331,270, $24.00 ,,
33176599,KIT PRS TRANSDUC W/12&48 TUBE,28314537331,270, $48.50 ,,
33176600,KIT TRANSDUCER TRUWAVE,28314537331,270, $24.00 ,,
33176601,KIT TRANSDUCER TRUWAVE,28314537331,270, $52.00 ,,
33176614,KIT TROCAR 5MM,28314537331,270, $45.50 ,,
33176620,LAVAGE FAN TIP W/SPLASH GUARD,28314537331,270, $69.50 ,,
33176621,LAVAGE HAND CONTROL DEVICE,28314537331,270, $120.00 ,,
33176622,LAVAGE SUCTION IRRIGATOR,28314537331,270, $117.00 ,,
33176635,MESH SURGIPRO,28314537331,278, $782.00 ,,
33176637,METER PEAK FLOW,28314537331,270, $24.00 ,,
33176640,MULTIBOOT REGULAR,28314537331,270, $165.50 ,,
33176647,NEB PREF'LD 1000ML WATER ONLY,28314537331,270, $8.00 ,,
33176661,"NEB VOL SM W/T ADAPT,7 TUBING",28314537331,270, $8.00 ,,
33176663,"NEB VOL SM W/T ADAPT,7 TUBIN",28314537331,270, $8.00 ,,
33176665,NDL BIOPSY 14X4-1/2 TRU-CUT,28314537331,270, $48.50 ,,
33176666,"NEEDLE BIOPSY 14X6""",28314537331,270, $48.50 ,,
33176669,NDL ILLINOIS 15G ADJ. LENGTH,28314537331,270, $32.00 ,,
33176670,NDL ILLINOIS 18G ADJ. LENGTH,28314537331,270, $33.50 ,,
33176671,NEEDLE PORT-A-CATH 20GA,28314537331,270, $13.00 ,,
33176672,NEEDLE PORT-A-CATH 22GA,28314537331,270, $13.00 ,,
33176675,NEEDLE SPINAL 18X3,28314537331,270, $8.00 ,,
33176676,NEEDLE SPINAL 18X3-1/2,28314537331,270, $8.00 ,,
33176677,NEEDLE SPINAL 22X2-1/2,28314537331,270, $8.00 ,,
33176678,NEEDLE SPINAL 22X3-1/2,28314537331,270, $8.00 ,,
33176679,NEEDLE SPINAL 22X5,28314537331,270, $10.50 ,,
33176680,NEEDLE SPINAL 25X3-1/2,28314537331,270, $8.00 ,,
33176682,NEEDLE SPNL 25X3-1/2 WHITACRE,28314537331,270, $15.00 ,,
33176683,ORTHOSIS ELBOW,28314537331,270, $364.00 ,,
33176693,PAD ELECTROSURG AD THERMOG,28314537331,270, $13.50 ,,
33176694,PAD ELECTROSUR SUREF W/10CBL,28314537331,270, $11.00 ,,
33176696,PAD ELECTROSURG W/PATI CORD,28314537331,270, $10.50 ,,
33176699,PASTE 2OZ OSTOMY,28314537331,270, $16.00 ,,
33176700,PASTE 2OZ OSTOMY,28314537331,270, $10.00 ,,
33176715,PLUG DECANNULATION CAP,28314537331,270, $8.00 ,,
33176716,PLUG DECANNULATION CAP,28314537331,270, $11.50 ,,
33176717,PLUG DECANNULATION CAP #4,28314537331,270, $15.00 ,,
33176721,PLUG DECANNULATION CAP #6,28314537331,270, $15.00 ,,
33176725,PLUG DECANNULATION CAP #8,28314537331,270, $15.00 ,,
33176726,"POUCH COLOSTOMY 2-3/4""",28314537331,270, $8.00 ,,
33176728,PCH  12 OPAQ 1-3/4 1 SIDE FL,28314537331,270, $8.00 ,,
33176729,PCH  12 OPAQ 2-3/4 1 SIDE FL,28314537331,270, $8.00 ,,
33176730,"POUCH DRNBLE 12 TRAN 1-3/4""",28314537331,270, $8.00 ,,
33176731,"POUCH DRNBLE 12 TRAN 1-3/4""",28314537331,270, $8.00 ,,
33176733,"POUCH DRNBLE 12 TRAN 2-3/4""",28314537331,270, $8.00 ,,
33176734,PCH  14 TRAN 4 1 SIDE FLOCK,28314537331,270, $8.00 ,,
33176738,"POUCH OST DRAIN 102MM 4""",28314537331,270, $8.00 ,,
33176740,PCH DRNBLE W/FILTER 2-3/4 2 PC,28314537331,270, $8.00 ,,
33176746,PCH DRNBLE W/FLNG  2-1/4 2 PC,28314537331,270, $8.00 ,,
33176748,PCH DRNBLE W/FLNG 1-1/4 2 PC,28314537331,270, $8.00 ,,
33176750,PCH DRNBLE W/FLNG 2-3/4 2 PC,28314537331,270, $8.00 ,,
33176753,PCH  W/RPLCABLE F&F 2-1/4 2 PC,28314537331,270, $8.00 ,,
33176754,PCH  W/RPLCABLE F&F 2-3/4 2 PC,28314537331,270, $8.00 ,,
33176756,PCH  W/SKIN BARRIER 12 ONE PC,28314537331,270, $8.00 ,,
33176757,PCH  W/SKIN BARR CUT-TO-FIT,28314537331,270, $8.00 ,,
33176759,"POUCH IRRIGATION SLEEVE 2-3/4""",28314537331,270, $8.00 ,,
33176760,POUCH OSTOMY ONE PIECE,28314537331,270, $17.50 ,,
33176761,PCH   1-3/4 OPAQUE 1 SIDE FL,28314537331,270, $8.50 ,,
33176762,PCH   2-1/4 OPAQUE 1 SIDE FL,28314537331,270, $8.50 ,,
33176764,PCH   2-3/4 OPAQUE 1 SIDE FL,28314537331,270, $10.00 ,,
33176769,POUCH UROSTOMY 1-3/4 OPAQUE,28314537331,270, $8.00 ,,
33176770,POUCH UROSTOMY 1-3/4 TRAN,28314537331,270, $8.00 ,,
33176772,POUCH UROSTOMY 2-1/4,28314537331,270, $8.00 ,,
33176774,PCH UROST W/ CTF SKIN BARRIER,28314537331,270, $8.00 ,,
33176777,PCH UROST W/FLNG 2-3/4 2 PC,28314537331,270, $8.00 ,,
33176782,POUCH WOUND DRAINAGE,28314537331,270, $20.50 ,,
33176783,"PCH WND DRNG W/SKIN BARRIER 3""",28314537331,270, $19.00 ,,
33176786,PCH DRNG W/SKIN BARRIER 4X8,28314537331,270, $45.00 ,,
33176788,POWDER KARAYA 2.5OZ PUFF BTL,28314537331,270, $18.50 ,,
33176791,POWDER STOMAHESIVE 1OZ,28314537331,270, $11.00 ,,
33176804,PROTECTOR HEEL/ELBOW XLG,28314537331,270, $16.50 ,,
33176818,RESUS PED W/MASK 40CM,28314537331,270, $33.00 ,,
33176821,SET CATH TRIPLE/LUMEN,28314537331,270, $76.00 ,,
33176823,SET CO-SET INJECTATE COLD,28314537331,270, $40.00 ,,
33176824,SET CO-SET INJECTATE ROOM TEMP,28314537331,270, $31.00 ,,
33176826,SET CYSTO-BLADDER IRRIGATION,28314537331,270, $11.00 ,,
33176864,SET TUR Y-TYPE IRRIGATION,28314537331,270, $21.50 ,,
33176866,SHOE CAST BOOT SM ROCKER,28314537331,270, $13.00 ,,
33176867,SHOE CAST BOOT XS ROCKER,28314537331,270, $14.00 ,,
33176870,SHOE POST-OP MEN LG,28314537331,270, $30.00 ,,
33176871,SHOE POST-OP MEN MD,28314537331,270, $30.00 ,,
33176872,SHOE POST-OP MEN SM,28314537331,270, $24.50 ,,
33176873,SHOE POST-OP WOMEN LG,28314537331,270, $30.00 ,,
33176875,SHOE POST-OP WOMEN SM,28314537331,270, $24.50 ,,
33176878,SKIN BARRIER W/FLX FLANGE 1 3/,28314537331,270, $8.00 ,,
33176879,SKIN BARRIER W/FLX FLANGE 2 1/,28314537331,270, $8.00 ,,
33176880,SKIN BARRIER W/FLX FLANGE 2 3/,28314537331,270, $8.00 ,,
33176881,"SKIN BARRIER W/FLT FLNG 1-3/4""",28314537331,270, $8.00 ,,
33176882,SKIN BARRIER W/FLT FLNG 1-3/4C,28314537331,270, $8.00 ,,
33176883,SKIN BARRIER W/FLT FLNG 2-1/4C,28314537331,270, $8.00 ,,
33176884,"SKIN BARRIER W/FLT FLNG 2-3/4""",28314537331,270, $8.00 ,,
33176890,SKIN BARRIER W/FLT FLNG 4 2PC,28314537331,270, $8.00 ,,
33176891,"SKIN BARRIER W/FLT FLNG 4""",28314537331,270, $8.00 ,,
33176893,SKIN BARRIER W/STN FLNG 2 2PC,28314537331,270, $8.00 ,,
33176905,SLEEVE SCD THIGH XSM,28314537331,270, $177.00 ,,
33176907,SLING ARM ADULT W/STRAP LG,28314537331,270, $116.50 ,,
33176908,SLING ARM ADULT W/STRAP MD,28314537331,270, $15.00 ,,
33176910,SLING ARM LG,28314537331,270, $8.50 ,,
33176911,SLING ARM LG,28314537331,270, $9.00 ,,
33176912,SLING ARM MD,28314537331,270, $9.00 ,,
33176914,SLING ARM SM,28314537331,270, $9.00 ,,
33176915,SLING ARM SM,28314537331,270, $45.00 ,,
33176917,SPACER AEROCHAMBER W/FLOSPAN,28314537331,270, $17.00 ,,
33176921,SPACER MEDICATION ACE,28314537331,270, $24.00 ,,
33176941,SPLINT ELBOW TENNIS,28314537331,270, $443.00 ,,
33176942,SPLINT FOOT DROP STOP,28314537331,270, $47.50 ,,
33176943,SPLINT FOOT DROP,28314537331,270, $290.00 ,,
33176944,SPLINT FOOT DROP,28314537331,270, $102.00 ,,
33176945,BOOT F DROP BUNNY ADJ LTX SAFE,28314537331,270, $53.50 ,,
33176958,SPLINT FUNCT POSITION LEFT LG,28314537331,270, $129.00 ,,
33176959,SPLINT FUNCT POSITION LEFT MD,28314537331,270, $134.00 ,,
33176960,SPLINT FUNCT POSITION LEFT SM,28314537331,270, $129.00 ,,
33176961,SPLINT FUNCT POSITION RIGHT LG,28314537331,270, $129.00 ,,
33176962,SPLINT FUNCT POSITION RIGHT MD,28314537331,270, $170.00 ,,
33176963,SPLINT FUNCT POSITION RIGHT SM,28314537331,270, $167.00 ,,
33176965,SPLINT HAND RT,28314537331,270, $201.00 ,,
33176966,SPLINT RESTING PAN MITT LT MD,28314537331,274, $67.00 ,,
33176967,SPLINT RESTING PAN MITT LT SM,28314537331,274, $83.50 ,,
33176968,SPLINT RESTING PAN MITT RT MD,28314537331,274, $67.00 ,,
33176969,SPLINT RESTING PAN MITT RT SM,28314537331,274, $67.00 ,,
33176977,STPLR GIA60-2.5 W/TITANI STPLS,28314537331,270," $1,032.50 ",,
33176996,STPLR SKIN 35,28314537331,270, $61.00 ,,
33176997,STPLR SKIN 35W,28314537331,270, $61.00 ,,
33176998,STPLR SKIN 35W MULTIFIRE,28314537331,270, $15.50 ,,
33177016,STOCKING ANTI-EM KNEE LG-REG,28314537331,270, $8.00 ,,
