Arrowhead Regional Medical Center,,,, Effective on 01/01/2019 ,,
27019340,309,1.4509,VAP CHOLESTEROL            GRP,$49.00 ,,
27019341,309,1.4509,VAP CHOL LIP HI RESOL    83701,$40.00 ,83701,83701
27019342,309,1.4509,VAP CHOL TRIG            84478,$9.00 ,84478,84478
27019353,309,1.4509,"VARICELLA ZOSTER ANTIGEN,DFA",$54.23 ,87290,87290
27019355,309,1.4509,"VARICELLA ZOSTER DNA,QL $59.51",$59.51 ,87798,87798
27019356,309,1.4509,"VARICELLA ZOSTER,DNA,QN,RT-PCR",$349.00 ,87799,87799
27019360,309,1.4509,VARICELLA ZOSTER PANEL $59.50,$59.50 ,,
27019361,309,1.4509,"VARI ZOSTER, IGM/TOTAL $29.75",$29.75 ,86787,86787
27019371,309,1.4509,VASOACTIV INTESTNL PEPT  84586,$55.00 ,84586,84586
27019391,309,1.4509,"VISCOSITY, SERUM  $34.50",$34.50 ,85810,85810
27019405,309,1.4509,VITAMIN B1-THIAMINE      84425,$23.62 ,84425,84425
27019406,309,1.4509,"VITAMIN B2 RIBOFLAVIN,PLAS $69",$69.00 ,84252,84252
27019408,309,1.4509,BIOTIN (Vitamin B7) $57,$57.00 ,84591,84591
27019454,309,1.4509,VITAMIN A - RETINOL      84590,$15.73 ,84590,84590
27019504,309,1.4509,VIT B6-PYRIDOXAL PHSPHTE 84207,$17.27 ,84207,84207
27019603,309,1.4509,VITAMIN C-ASCORBIC ACID  82180,$38.00 ,82180,82180
27019702,309,1.4509,"VITAMIN D, 25-HYDROXY    82306",$15.00 ,82306,82306
27019801,309,1.4509,"VITAMIN D;1,25-DIHYDROXY 82652",$19.11 ,82652,82652
27019900,309,1.4509,VIT E-TOCOPHEROL ALPHA   84446,$35.00 ,84446,84446
27019959,309,1.4509,VITAMIN K  $75.00,$75.00 ,84597,84597
27020007,309,1.4509,"VMA, URINE               84585",$19.59 ,84585,84585
27020015,309,1.4509,"VMA, RANDOM UR $15.40",$15.40 ,84585,84585
27020016,309,1.4509,"VMA, RANDOM UR CREAT $5.14",$5.14 ,82570,82570
27020053,309,1.4509,VWF COLLAGEN BINDING ASY 83520,$61.60 ,83520,83520
27020055,309,1.4509,VON WILLEBRAND FACTR ACT 85245,$60.00 ,85245,85245
27020056,309,1.4509,VON WILLEBRND FACTOR AG  85246,$25.38 ,85246,85246
27020072,305,1.4509,"VON WILLBRND,MULTI ANALY 85247",$60.00 ,85247,85247
27020080,305,1.4509,VON WILLBRND DX PNL        GRP,$223.00 ,,
27020081,309,1.4509,"VON WILLBRND DX PNL, RIA 83520",$112.78 ,83520,83520
27020082,305,1.4509,"VON WILLBRND DX PNL, PTT 85730",$9.00 ,85730,85730
27020083,309,1.4509,"YEAST MIC, 1 DRUG $54",$54.00 ,87186,87186
27020085,309,1.4509,VON WILLEBRAND COMP PANEL 2,$356.10 ,,
27020089,309,1.4509,"CULTURE, DEF ID; YEAST   87106",$200.60 ,87106,87106
27020090,309,1.4509,YEAST SUSCEPTIBILITY $231,$254.53 ,87186,87186
27020091,309,1.4509,"YEAST SUCEP,MIC,4 DRUG$102.80",$102.80 ,87186,87186
27020099,309,1.4509,MICROTITER 21(JEWISH HEALTH),$389.62 ,87186,87186
27020100,311,1.4509,>16 MARKER           88189,$21.47 ,88189,88189
27020106,309,1.4509,ZINC                     84630,$9.24 ,84630,84630
27020110,309,1.4509,"ZINC, RBC                84630",$9.24 ,84630,84630
27020150,309,1.4509,ZONISAMIDE (ZONEGRAN[R]) 80299,$49.50 ,80299,80299
27022010,310,1.4509,ACCUTYPE (R) IL28B $230.00,$230.00 ,81400,
27022030,310,1.4509,a-THAL DNA MUT ANALYSIS  81257,$230.00 ,81257,
27022040,309,1.4509,ABL KINASE DOMAIN MUT CB   GRP,$300.00 ,,
27022048,309,1.4509,ABL KINASE DOMAIN MUT IN CML,$300.00 ,81170,81170
27023005,309,1.4509,BCR/ABL1 P190 ANALYSIS $142.07,$142.07 ,81207,81207
27023006,309,1.4509,BCR/ABL1 P210 ANALYSIS $142.07,$142.07 ,81206,81206
27023007,309,1.4509,BCR/ABL1 NUC ACID PROB   83896,$32.00 ,81206,81206
27023008,309,1.4509,BCR/ABL1 AMP NA SEQ      83898,$100.00 ,81206,81206
27023010,309,1.4509,"BCR/ABL 1, QN PCR $145",$145.00 ,81206,81206
27023015,309,1.4509,BCR/ABL QN GENE REARRANGE  GRP,$216.00 ,,
27023020,309,1.4509,BCR/ABL SUBTYPE T (9;22)   GRP,$163.00 ,,
27023025,309,1.4509,"B-CELL REARRANGE, QL, CELL$175",$175.00 ,,
27023030,309,1.4509,B-CELL REARRNGE PROC FEE 99001,$40.00 ,99001,99001
27023031,309,1.4509,BETA GLOBIN MUTATION $453.70,$453.70 ,81364,81364
27024000,309,1.4509,CLARISURE CGH MICROARRAY   GRP,"$1,250.00 ",,
27024005,309,1.4509,"CITRIC ACID, RANDOM URINE  GRP",$101.00 ,,
27024006,309,1.4509,"CITRIC ACID, RANDOM UR 82507",$80.80 ,82507,82507
27024007,309,1.4509,"CITRIC ACID,RNDM UR CREA 82570",$20.20 ,82570,82570
27024008,309,1.4509,"CLARISURE,CHROM MICRO, P.NATAL","$2,400.00 ",81229,81229
27024010,306,1.4509,"C TRACHOMATIS, DNA PROBE 87490",$26.50 ,87490,87490
27024050,309,1.4509,"CMT- PARTIAL,ATHENA,DEMYEL GRP","$5,415.00 ",,
27024060,309,1.4509,CAH COMMON MUTATIONS       GRP,$380.00 ,,
27025001,309,1.4509,CYTOGENETICS 100-300 $82.32,$82.32 ,88275,88275
27025002,309,1.4509,CYTOGENETICS 100-300,$65.00 ,88275,88275
27025003,309,1.4509,CYTOGENETICS 100-300,$65.00 ,88275,88275
27025004,309,1.4509,"FISH,FOLLICULAR LYMPH,IGH/BCL2",$379.80 ,,
27025005,309,1.4509,CYTOGENETICS DNA PROBE $71.68,$71.68 ,88271,88271
27025006,309,1.4509,CYTOGENETICS 100-300,$236.43 ,88275,88275
27025007,309,1.4509,CYTOGENETICS DNA PROBE,$90.00 ,88271,88271
27025008,309,1.4509,CYTOGENETICS 100-300,$100.00 ,88275,88275
27025009,309,1.4509,"FISH, CML/ALL, BCR/ABL",$280.00 ,,
27025020,309,1.4509,C-KIT W/RFL PDGFRA $1000,"$1,000.00 ",81272,81272
27025021,309,1.4509,MSI(MICROSATELITE INSTABILITY),$375.00 ,81301,81301
27025022,306,1.4509,E.COLI 0157 STOOL CULT 87046,$31.00 ,87046,87046
27025023,309,1.4509,EGFR MUTATION ANALYSIS $530,$530.00 ,81235,81235
27025030,309,1.4509,"FISH,DIGEORGE (VCFS)       GRP",$325.00 ,,
27025031,309,1.4509,"FISH,DIGEORGE (VCFS) DNA 88271",$92.92 ,88271,88271
27025032,309,1.4509,"FISH,DIGEORGE (VCFS) ISH 88273",$139.39 ,88273,88273
27025033,971,1.4509,"FISH,DIGEORGE (VCFS) RPT 88291",$92.69 ,88291,88291
27025035,309,1.4509,"FISH,MILLER-DIEKER         GRP",$330.00 ,,
27025036,309,1.4509,"FISH,MILLER-DIEKER (DNA) 88271",$132.00 ,88271,88271
27025037,309,1.4509,"FISH,MILLER-DIEKER (ISH) 88273",$198.00 ,88273,88273
27025038,309,1.4509,"FISH,MILLER-DIEKER (RPT) 88291",$94.10 ,88291,88291
27025040,309,1.4509,"FISH, MYELOMA 13q 141 17p $854",$854.00 ,,
27025041,309,1.4509,"FISH, MYELOMA DNA PROBE $92.72",$92.72 ,88271,88271
27025042,309,1.4509,"FISH,MYELO INTER 100-300 $161.",$161.04 ,88275,88275
27025043,309,1.4509,"FISH,MULTIPLE MYELOMA GRP $518",$518.00 ,,
27025044,309,1.4509,"FISH,MULT MYELO DNA PROB $108.",$108.78 ,88271,88271
27025045,309,1.4509,"FISH, MULT MYELO INT ISH $191.",$191.66 ,88275,88275
27025046,309,1.4509,"FISH,MULTIPLE MYELOMA PR2 $750",$750.00 ,,
27025048,309,1.4509,"FISH, MYELOPROLIFE NEO (EOS)","$1,385.00 ",,
27025049,309,1.4509,"MAML2,(MEC),FISH",$602.18 ,88291,88291
27025100,309,1.4509,"FISH, WILLIAMS             GRP",$325.00 ,,
27025101,309,1.4509,"FISH,WILLIAMS; DNA PROBE $131",$131.00 ,88271,88271
27025102,309,1.4509,"FISH,WILLIAMS;CHROM ISH  88273",$194.00 ,88273,88273
27026004,309,1.4509,ECHINOCOCCUS AB (IgG) $94.17,$94.17 ,86682,86682
27026005,309,1.4509,"ELECTROLYTES, FECES        GRP",$79.00 ,,
27026006,309,1.4509,"ELECTROLYTES, NA, FECES $23",$23.00 ,84302,84302
27026007,309,1.4509,"ELECTROLYTES, K, FECES   84311",$33.00 ,84311,84311
27026008,309,1.4509,"ELECTROLYTES, CL, FECES  82438",$26.00 ,82438,82438
27026009,302,1.4509,ECHINOCOCC GRANULOSUS AB 86682,$85.00 ,86682,86682
27026010,309,1.4509,"ELECTROPHORESIS,CSF  $50",$50.00 ,,
27026013,309,1.4509,"ELECTROPHORESIS,CSF TP   84157",$12.83 ,84157,84157
27026015,309,1.4509,"ELECTROPHORESIS,CSF PROT 84166",$37.17 ,84166,84166
27026019,309,1.4509,FEBRILE ANTIBODIES PANEL,$226.55 ,,
27026020,302,1.4509,FEBRILE AGGLS & FRANCSELLA GRP,$190.50 ,,
27026021,302,1.4509,"FEBRILE AGGLUTININS, EA  86000",$21.97 ,86000,86000
27026022,309,1.4509,FEBRILE ABS; BRUCELLA    86622,$25.54 ,86622,86622
27026023,302,1.4509,FEBRILE ABS; SALMONELLA  86768,$10.31 ,86768,86768
27026024,309,1.4509,"FENTANYL SCREEN, URINE $35",$35.00 ,80354,80354
27026025,309,1.4509,"FENTANYL&NORFENTANYL, UR 80361",$40.00 ,80361,80361
27026026,309,1.4509,SALMONELLA ANTIBODY $26,$26.00 ,86768,86768
27026080,309,1.4509,FIP1L1-PDGFRA              GRP,$280.00 ,,
27026085,309,1.4509,"FOLL LYMPHMA, BC12/JH,LEUM GRP",$336.00 ,,
27027010,309,1.4509,"LUNG CANCER(NSCLC) GRP,$512.50",$512.50 ,,
27027017,309,1.4509,"LUNG CANCER MUT PNL, $1,661.73","$1,661.73 ",,
27027020,309,1.4509,"FISH, ALL EXTENDED PNL $2,864","$2,864.00 ",,
27027021,309,1.4509,"FISH, AML M3, PML/RARA GRP$270",$270.00 ,,
27027022,309,1.4509,"FISH, AML M3, DNA PROBE $67.50",$67.50 ,88271,88271
27027023,309,1.4509,"FISH, AML M3, ISH CELLS 88275",$135.00 ,88275,88275
27027025,309,1.4509,"FISH, MDS/MYELOID PANEL $1124","$1,124.00 ",,
27027026,309,1.4509,MOL CYTO; DNA PROBE EA $98.67,$98.67 ,88271,88271
27027027,309,1.4509,MOL CYTO;INTERPH 100-300 $177.,$177.35 ,88275,88275
27027028,309,1.4509,MYELODYSPLASTIC SYNDROME $973.,$973.75 ,81450,81450
27027029,309,1.4509,"FISH, MYELOMA, IGH PANEL","$1,689.28 ",,
27027031,309,1.4509,"FISH, NEONATAL,DNA PROBE 88271",$37.98 ,88271,88271
27027032,309,1.4509,"FISH, NEONATAL, INTRPHSE 88275",$77.21 ,88275,88275
27027033,971,1.4509,"FISH, NEONATAL,INT & RPT 88291",$37.88 ,88291,88291
27027034,319,1.4509,"FISH, OLIGODENGLIOMA     88365",$192.00 ,88365,88365
27027035,309,1.4509,"FISH,PRENATAL SCRN,AMN FL  GRP",$325.00 ,,
27027036,309,1.4509,"FISH,PRENATAL, DNA PROBE 88271",$41.00 ,88271,88271
27027037,309,1.4509,"FISH,PRENATAL,INTERPHASE $60",$60.00 ,88274,88274
27027038,309,1.4509,"CYTOGENETICS 25-99, $172.50",$172.50 ,88274,88274
27027039,309,1.4509,"FISH,SRY/X CENT",$325.00 ,,
27027040,309,1.4509,"FISH,B-CELL IGH 14q32      GRP",$356.40 ,,
27027041,309,1.4509,MOL CYTO:DNA PROBE EA  $105,$105.00 ,88271,88271
27027042,309,1.4509,MOL CYTO:INTERPH 100-300 $146.,$146.40 ,88275,88275
27027044,309,1.4509,CHROMO 10-30 CELLS,$115.00 ,88273,88273
27027045,309,1.4509,CYTO DNA PROBE $357.23,$357.23 ,88271,88271
27027046,309,1.4509,"FISH, MML GENE REARRANGE $330",$330.00 ,,
27027047,309,1.4509,MOL CYTO; DNA PROBE EA $90.20,$90.20 ,88271,88271
27027048,309,1.4509,MOL CYTO;INTRPHS 100-300 $149.,$149.60 ,88275,88275
27027049,309,1.4509,CYTOGENETICS DNA PROBE $170,$170.00 ,88271,88271
27027050,309,1.4509,"FISH,B-CELL CLL PANEL $725",$725.00 ,,
27027051,309,1.4509,"FISH,B-CELL CLL DNA PR $50.50",$50.50 ,88271,88271
27027052,309,1.4509,"FISH,B-CELL CLL 100-300 $94.50",$94.50 ,88275,88275
27027054,309,1.4509,"FISH, MANTLE CELL LYMPHOMA GRP",$379.80 ,,
27027055,309,1.4509,"MANTLE CELL, DNA PROBE   88271",$79.76 ,88271,88271
27027056,309,1.4509,"MANTLE CELL, ISH CELLS   88275",$220.28 ,88275,88275
27027057,309,1.4509,MYELO MOLE CTO $220,$220.00 ,88271,88271
27027058,309,1.4509,"MYELOM,100-300 CELLS $104.40",$104.40 ,88275,88275
27027059,309,1.4509,"FISH,MYELOMA,17p,14q32 GRP","$2,810.55 ",,
27027060,309,1.4509,"FISH, HES/LEUKEMIA 4q12    GRP",$518.00 ,,
27027061,309,1.4509,"FISH, HES/LEUK DNA PROBE 88271",$117.41 ,88271,88271
27027062,309,1.4509,"FISH, HES/LEUK ISH CELLS 88275",$165.76 ,88275,88275
27027063,309,1.4509,"CYTOGENETICS 100-300,$392.77",$392.77 ,88275,88275
27027064,309,1.4509,"CYTOGENETICS 100-300, $1,432","$1,432.00 ",88275,88275
27027065,309,1.4509,"FISH,MULTMYELO PRF,$1050","$1,050.00 ",,
27027066,309,1.4509,"MOLE CYTO,DNA EACH $73.50",$73.50 ,88271,88271
27027067,309,1.4509,MOLE CYTO;DNA $63,$63.00 ,88271,88271
27027068,309,1.4509,INTERPHASE 100-300 CELLS $126,$126.00 ,88275,88273
27027069,309,1.4509,"INTERPHAS, 100-300 CELLS $115.",$115.50 ,88275,88275
27027070,309,1.4509,"MOL CYTO;INTERPH 100-300,$386.",$386.70 ,88275,88275
27027072,309,1.4509,"FISH,MULT MYELO PR2 $750",$750.00 ,,
27027073,309,1.4509,MOL CYTO; DNA PROBE EA $52.50,$52.50 ,88271,88271
27027074,309,1.4509,"MOL CYTOGEN;ISH, 100-300$97.50",$97.50 ,88275,88275
27027075,309,1.4509,"MOL CYTOGEN;ISH, 100-300$90.00",$90.00 ,88275,88275
27027076,309,1.4509,CYTOGENETICS DNA $1432,"$1,432.00 ",88271,88271
27027077,309,1.4509,"CYTOGENETICS 25-99, $421.73",$421.73 ,88274,88274
27027078,309,1.4509,CYTOCHROME P450 2D6 GENOTYPE,$207.00 ,81226,81226
27027080,309,1.4509,"NSCLC, ALC 2p23,REARRANGEMENT",$460.00 ,,
27027081,309,1.4509,CYTOGENETICS 25-99 $230,$230.00 ,88274,88274
27028000,309,1.4509,HBV RESISTANCE GENOTYPE  87912,$299.00 ,87912,87912
27028900,309,1.4509,"LEAD, RANDOM URINE $29.00",$29.00 ,,
27029000,309,1.4509,"HEAVY METAL PNL, RAND URN, GRP",$128.60 ,,
27029001,309,1.4509,"HVY MTL,RAND UR, ARSENIC",$32.88 ,82175,82175
27029002,309,1.4509,"HVY MTL,RAND UR, LEAD    83655",$20.97 ,83655,83655
27029003,309,1.4509,"HVY MTL,RAND UR, MERCURY 83825",$28.18 ,83825,83825
27029004,309,1.4509,"HVY MTL,RAND UR, CREAT   82570",$8.97 ,82570,82570
27029005,309,1.4509,"ARSENIC,24-HOUR URINE $46.50",$46.50 ,82175,82175
27029006,309,1.4509,"HEAVY METALS COMP PNL,RU GRP",$227.50 ,,
27029007,309,1.4509,"LEAD, 24 HOUR URINE",$29.00 ,83655,83655
27029008,309,1.4509,"HEAVY METALS  PANEL, 24-HR UR",$120.00 ,,
27029010,309,1.4509,"HEAVY METALS PANEL, BLOOD  GRP",$72.00 ,,
27029011,309,1.4509,"HVY MTL PNL, BLD ARSENIC $48",$48.00 ,82175,82175
27029012,309,1.4509,"HVY MET PNL, BLD MERCURY 83825",$44.00 ,83825,83825
27029013,309,1.4509,"HVY MET PNL, BLD LEAD    83655",$27.54 ,83655,83655
27029014,310,1.4509,HUNTINGTON DISEASE MUT  81401,$225.00 ,81401,
27029020,309,1.4509,"URINE CREATININE,$8.03",$8.03 ,82570,82570
27029022,309,1.4509,"ASSAY OF URINE CREATININE, $5",$5.00 ,82570,82570
27029120,309,1.4509,HEREDITARY HEMOCHROMATO$196.50,$196.50 ,81256,
27029129,309,1.4509,"HIV-1 RNA,QNT PCR GILEAD 87536",$75.00 ,87536,87536
27029130,309,1.4509,"HIV-1 RNA,QNT RT PCR  87536",$75.00 ,87536,87536
27029131,309,1.4509,HIV-1/HIV-2 AB SCREEN    86703,$37.50 ,86703,86703
27029132,302,1.4509,HIV WESTERN BLOT       86689,$42.86 ,86689,86689
27029135,309,1.4509,HIT PANEL/HEP-IND THROMBO $277,$277.40 ,,
27029136,309,1.4509,HIT SEROTONIN RELEASE $260.00,$260.00 ,86022,86022
27029137,309,1.4509,HIT HEP INDUCED PLT AB $138.70,$138.70 ,86022,86022
27029138,309,1.4509,HLA-B 5701 TYPING $375,$375.00 ,81381,81381
27029139,310,1.4509,HLA-B CLASS DNA TYPING 81373,$108.30 ,81373,
27029140,309,1.4509,HLA-B 5701 TYPING   GRP,$375.00 ,,
27029144,309,1.4509,HLA-B LOW RESOLUTION,$108.30 ,81373,81373
27030000,306,1.4509,"INFLUENZA A/B CULT, RAPID  GRP",$76.50 ,,
27030001,309,1.4509,"INFLU A/B CUL, RAPID  $38.25",$38.25 ,87254,87254
27030002,309,1.4509,"VIRAL RESP,RAPID CUL W/RFX $90",$90.00 ,87254,87254
27030004,309,1.4509,HSV/VZV RAPID CULTURE  $98.50,$98.50 ,,
27030005,309,1.4509,HSV RAPID CULTURE $49.25,$49.25 ,87254,87254
27030006,309,1.4509,"V. ZOSTER RAPID CULT, $49.25",$49.25 ,87254,87254
27031000,309,1.4509,"JAK2 MUTATION, CELL-BASED  GRP",$270.00 ,,
27031005,309,1.4509,"JAK2 MUTATION, LEUMETA     GRP",$250.00 ,,
27031015,309,1.4509,JAK2 PLASMA MUT,$350.00 ,81270,81270
27031020,310,1.4509,"JAK2 MUTATION(V617F),QN 16538",$250.00 ,81270,81270
27031021,309,1.4509,CEBPA MUTATION ANALYSIS $434,$434.00 ,81403,81403
27031022,309,1.4509,EXON 12 AND 13 $325,$325.00 ,81403,81403
27031023,309,1.4509,"2-NPM EXON 12 MUT, CELL $310",$310.00 ,81310,81310
27031024,309,1.4509,"MPL W515,S505,LEUMATA $463",$463.00 ,81402,81402
27031025,309,1.4509,ACUTE MYELOID LUKEMIA PROG PNL,$744.00 ,,
27031026,309,1.4509,FLT3 & TKD,$300.00 ,,
27031027,309,1.4509,FLT3 ITD,$120.00 ,81245,81245
27031028,309,1.4509,TKD,$180.00 ,81246,81246
27031029,309,1.4509,MEDITERRANEAN FEVER GENE MUT,$500.00 ,81402,81402
27031030,309,1.4509,Cebpa gene full sequence $434,$434.00 ,81218,81218
27032000,309,1.4509,LDH ISOENZYME PANEL        GRP,$33.00 ,,
27032001,309,1.4509,LDH ISOS; LDH            83615,$9.43 ,83615,83615
27032002,309,1.4509,"LDH ISOENZYMES,SEP & QNT 83625",$23.57 ,83625,83625
27032010,309,1.4509,"LIPASE, FLUID $3.10",$3.10 ,83690,83690
27032015,309,1.4509,LGV DIFFERENTIATION        GRP,$80.50 ,,
27032016,309,1.4509,"LGV DIFF, AB; CHLAMYDIA  86631",$4.85 ,86631,86631
27032017,309,1.4509,"LGV DIFF, AB; CHLAM IgM  86632",$10.42 ,86632,86632
27034000,309,1.4509,MELANOMA MUTAT (BRAF) PNL  GRP,"$1,475.00 ",,
27034015,309,1.4509,MTHFR  $83.81,$83.81 ,,
27034025,309,1.4509,"MUMPS VIRUS AB, IGM      86735",$8.73 ,86735,86735
27034027,309,1.4509,"MUMPS VIRUS AB, IGG $13.00",$13.00 ,86735,86735
27034030,309,1.4509,"MUCOPOLYSACCHARIDES, UR    GRP",$313.30 ,,
27034031,309,1.4509,"MUCOPOLYSACCHARIDES, QN  83864",$187.89 ,83864,83864
27034033,309,1.4509,"MUCOPOLYSACCHARIDES, QNT 83864",$191.30 ,83864,83864
27034035,309,1.4509,MYOTONIC DYSTROPHY DNA     GRP,$550.00 ,,
27034040,309,1.4509,"MPL W515, S505, LEUMATA    GRP",$463.00 ,,
27034108,309,1.4509,"FLUCYTOSINE,SERUM/PLASMA",$150.00 ,80375,80375
27034109,309,1.4509,"FLUCONAZOLE,HPLC $196.95",$196.95 ,80299,80299
27035100,309,1.4509,NBN STATE-MANDATED SCRN    GRP,$101.75 ,,
27035102,309,1.4509,NBN SCRN-PKU               GRP,$33.00 ,,
27035103,309,1.4509,NBN SCRN-PHENYLALANINE   84030,$15.40 ,84030,84030
27035104,309,1.4509,NBN SCRN-TYROSINE        84510,$15.40 ,84510,84510
27035105,309,1.4509,NBN SCRN-TRANSFERASE     82776,$14.50 ,82776,82776
27035106,309,1.4509,NBN SCRN-THYR STIM HORM  84443,$14.50 ,84443,84443
27035107,309,1.4509,NBN SCRN-HB CHROMATOGRPH 83021,$14.50 ,83021,83021
27035108,309,1.4509,NBN SCRN-17 OH PROGEST   83498,$14.50 ,83498,83498
27035109,309,1.4509,NBN SCRN-MASS SPECTRMTRY 83789,$14.75 ,83789,83789
27035110,309,1.4509,NBN SCRN-SPEC COLL CARD,$1.00 ,,
27035111,309,1.4509,NBN SCRN-BIOTINIDASE     82261,$14.50 ,82261,82261
27035112,309,1.4509,NBN SCRN-IRT FOR CF      83516,$14.50 ,83516,83516
27035200,302,1.4509,NEUR SPEC ENOLASE SER    86316,$43.50 ,86316,86316
27036015,309,1.4509,"OXALIC ACID, RU GRP $34.50",$34.50 ,,
27036016,309,1.4509,"OXALATE, RANDOM UR       83945",$24.15 ,83945,83945
27036017,309,1.4509,"OXALATE, RANDOM UR CREAT 82570",$10.35 ,82570,82570
27037000,306,1.4509,O&P OVA & PARASITE         GRP,$29.00 ,,
27037001,306,1.4509,"O&P, STOOL SMR, CONC, ID 87177",$14.50 ,87177,87177
27037002,306,1.4509,"O&P, TRICHROME STAIN     87209",$14.50 ,87209,87209
27037004,309,1.4509,"OSMOLALITY,FECES $14.87",$14.87 ,84999,84999
27037005,309,1.4509,"OSMOTIC GAP, FECES GRP $26.15",$26.15 ,,
27037006,309,1.4509,"OSMO GAP, SODIUM, FECES $13.07",$13.07 ,84302,84302
27037007,309,1.4509,"OSMO GAP, K, FECES  $13.08",$13.08 ,84311,84311
27037010,309,1.4509,"PHENYLALANINE, BLOOD     84030",$81.00 ,84030,84030
27037020,309,1.4509,PML/RARA t(15;17)QNT PCR $223,$223.27 ,81315,81315
27037080,309,1.4509,QUANTIFERON TB GOLD      86480,$68.00 ,86480,86480
27037082,309,1.4509,QUANTIFERON TB(P.HEALTH) 86480,$70.00 ,86480,86480
27037090,309,1.4509,QUETIAPINE/SEROQUEL      80299,$73.00 ,80299,80299
27038000,309,1.4509,QUININE/QUINIDINE SCREEN   GRP,$88.00 ,,
27038001,309,1.4509,QUINIDINE                80194,$44.00 ,80194,80194
27038002,309,1.4509,QUININE                  84228,$44.00 ,84228,84228
27039010,302,1.4509,RABIES VACCINE RES TITER 86382,$70.00 ,86382,86382
27039030,309,1.4509,RETT: SYNDROME MUTATION    GRP,$999.00 ,,
27039038,309,1.4509,RET SEQUENCING & DELETION/DUPL,$250.33 ,,
27040000,309,1.4509,STREP PNEUMO IGG $277,$277.00 ,,
27040001,309,1.4509,STREP PNEUMO IGG  $12.04,$12.04 ,86317,86317
27040002,309,1.4509,STREP PNEUMO AG DETECT $56,$56.00 ,86403,86403
27040004,309,1.4509,"STREP PNEUMO AG, URINE   87899",$145.60 ,87899,87899
27040005,309,1.4509,"STREP PNEUMO IGG PNL 14, $105",$105.00 ,,
27040006,309,1.4509,STREP PNEUMO IGG $7.50,$7.50 ,86317,86317
27042000,309,1.4509,UEP-UR PROT ELECTROPHOR $48.50,$48.50 ,,
27042001,309,1.4509,"UEP; CREAT, OTH SRC  $9.40",$9.40 ,82570,82570
27042050,309,1.4509,"UEP; T PROTEIN, URINE $6.67",$6.67 ,84156,84156
27042051,309,1.4509,"UEP; T PROTEIN, URINE $8.46",$8.46 ,84156,84156
27042052,309,1.4509,"PROTEIN & CREA, RU, GRP $21.50",$21.50 ,,
27042100,309,1.4509,"UEP;ELECTRO, CONC, UR $32.43",$32.43 ,84166,84166
27042110,309,1.4509,"URIC ACID, FLUID         84560",$7.88 ,84560,84560
27043000,309,1.4509,HUMAN PLACENTAL LACTOGEN,$128.00 ,83632,83632
27043040,309,1.4509,INFECTIOUS AGENT BY DNA  87797,$100.00 ,87797,87797
27043041,309,1.4509,"QUETIAPINE, SR/PL $152.83",$152.83 ,80342,80342
27043042,309,1.4509,DEOXYCORISOL,$117.59 ,82634,82634
27043045,309,1.4509,CLOZAPINE,$25.75 ,80346,80346
27043047,309,1.4509,RISPERIDONE $92.00,$92.00 ,80342,80342
27043050,309,1.4509,VON HIPPEL-LINDAU DISEASE  GRP,$640.00 ,,
27043069,309,1.4509,MDMA & METABOLITE $38.37,$38.37 ,80359,80359
27043070,309,1.4509,VON HIPPEL POINT MUTATION  GRP,$260.00 ,,
27043076,309,1.4509,"LSD, URINE               80307",$49.07 ,80307,80307
27043077,309,1.4509,MDMA   $53.81,$53.81 ,80359,80359
27043078,309,1.4509,FRUCTOSAMINE             82985,$29.00 ,82985,82985
27043079,309,1.4509,"ALUMINUM, WHOLE BLD      82108",$138.00 ,82108,82108
27043080,309,1.4509,PARVOVIRUS DNA BY PCR    87797,$71.00 ,87797,87797
27043081,309,1.4509,11-DEOXYCORTISOL         82634,$80.00 ,82634,82634
27043083,309,1.4509,"THALLIUM, BLOOD  $56.50",$56.50 ,83018,83018
27043084,309,1.4509,CONGENITAL HYPERINSUL EVAL GRP,"$2,995.00 ",,
27043089,309,1.4509,DNASE-B AB               86215,$36.50 ,86215,86215
27043090,309,1.4509,GIARDIA AG  $30.12,$30.12 ,87329,87329
27043091,309,1.4509,PENTOBARBITAL TO NICHOLS 80345,$77.72 ,80345,80345
27043092,309,1.4509,ZYPREXA/OLANZAPINE TOS P/F GRP,$72.00 ,,
27043093,309,1.4509,OLANZAPINE $19.97,$19.97 ,80342,80342
27043095,309,1.4509,BACTERIAL MEN AG PANEL CSF GRP,$98.50 ,,
27043096,309,1.4509,STREPTOCOCCUS GROUP B    86403,$30.50 ,86403,86403
27043097,309,1.4509,H. INFLUENZA TYPE B $41.50,$41.50 ,86403,86403
27043098,309,1.4509,STREPTOCOCCUS PNEUMONIAE$13.60,$13.60 ,86403,86403
27043099,309,1.4509,N. MENINGITIDIS GRP A/Y  86403,$13.60 ,86403,86403
27043100,309,1.4509,N. MENINGIT GRP C/W 135  86403,$13.60 ,86403,86403
27043101,309,1.4509,N. MENINGITIDIS B/E COLI 86403,$13.60 ,86403,86403
27043102,302,1.4509,"MYCOPLASMA PNEUM IGG,IGM   GRP",$60.00 ,,
27043103,302,1.4509,"M. PNEUMONIAE AB IGM,EIA 86738",$30.00 ,86738,86738
27043104,302,1.4509,"M. PNEUMONIAE AB IGG,EIA 86738",$30.00 ,86738,86738
27043105,309,1.4509,"CHROMIUM LEVEL, SERUM  $49.50",$49.50 ,82495,82495
