HSP,MNEMONIC,BILLING DESCRIPTION,CHARGE
EMC,447010439,PLT MEDIAL/LATERAL CRVD .8MM,"$5,504.13"
EMC,447010440,WIRE GUIDE TROCAR DUAL 1.35MM,$604.75
EMC,447010441,SCREW LOW PROFILE CANN BLNT TP,"$1,363.64"
EMC,447010442,SUTURE FIBERTAPE W/ STR NDL,$737.50
EMC,447010443,INST BB-TAK THREADED,"$1,253.75"
EMC,447010444,IMP GLENOID VAULTLOCK,"$9,917.36"
EMC,447010445,APPLIER ENDO MULTI CLIP DISP,"$1,849.21"
EMC,447010446,SCISSORS CURVED DISP,$806.97
EMC,447010447,IMP PROS HUMERAL STEM,"$24,793.39"
EMC,447010448,IMP PROS HUMERAL HEAD,"$17,355.37"
EMC,447100134,CATH BALL OTW PTA 10X20X80,"$2,069.17"
EMC,447100136,CATH BALL OTW PTA 10X40X135,"$2,069.17"
EMC,447100137,CATH BALL OTW PTA 10X40X80,"$2,069.17"
EMC,447100138,CATH BALL OTW PTA 12X40X135,"$2,069.17"
EMC,447100142,CATH BALL OTW PTA 2.0X210X150,"$6,866.45"
EMC,447100143,CATH BALL OTW PTA 2.0X40X150,"$6,396.01"
EMC,447100144,CATH BALL OTW PTA 2.0X80X150,"$6,396.01"
EMC,447100149,CATH BALL OTW PTA 2.5X210X150,"$8,118.04"
EMC,447100160,CATH BALL OTW PTA 3.0X20X150,"$5,409.93"
EMC,447100161,CATH BALL OTW PTA 3.0X210X150,"$8,118.04"
EMC,447100163,CATH BALL OTW PTA 3.0X80X150,"$5,977.58"
EMC,447100165,CATH BALL OTW PTA 3.5X210X150,"$7,586.95"
EMC,447100170,CATH BALL OTW PTA 3X120X135,"$2,069.17"
EMC,447100172,CATH BALL OTW PTA 3X150X135,"$2,069.17"
EMC,447100173,CATH BALL OTW PTA 3X200X135,"$2,069.17"
EMC,447100175,CATH BALL OTW PTA 3X40X135,"$2,069.17"
EMC,447100179,CATH BALL OTW PTA 3X80X135,"$2,069.17"
EMC,447100184,CATH BALL OTW PTA 4.0X210X150,"$7,586.95"
EMC,447100185,CATH BALL OTW PTA 4.0X40X150,"$5,409.93"
EMC,447100188,CATH BALL OTW PTA 4X100X135,"$2,069.17"
EMC,447100192,CATH BALL OTW PTA 4X150X135,"$2,214.01"
EMC,447100193,CATH BALL OTW PTA 4X200X135,"$2,214.01"
EMC,447100194,CATH BALL OTW PTA 4X20X135,"$2,214.01"
EMC,447100196,CATH BALL OTW PTA 4X40X135,"$2,214.01"
EMC,447100199,CATH BALL OTW PTA 4X80X135,"$2,069.17"
EMC,447100201,CATH BALL OTW PTA 5X100X135,"$2,214.01"
EMC,447100203,CATH BALL OTW PTA 5X120X135,"$2,214.01"
EMC,447100205,CATH BALL OTW PTA 5X150X135,"$2,214.01"
EMC,447100206,CATH BALL OTW PTA 5X200X135,"$2,069.17"
EMC,447100207,CATH BALL OTW PTA 5X20X135,"$2,069.17"
EMC,447100208,CATH BALL OTW PTA 5X20X80,"$2,069.17"
EMC,447100209,CATH BALL OTW PTA 5X40X135,"$2,214.01"
EMC,447100211,CATH BALL OTW PTA 5X40X80,"$2,214.01"
EMC,447100212,CATH BALL OTW PTA 5X60X135,"$2,214.01"
EMC,447100214,CATH BALL OTW PTA 5X60X80,"$2,069.17"
EMC,447100215,CATH BALL OTW PTA 5X80X135,"$2,214.01"
EMC,447100217,CATH BALL OTW PTA 6X100X135,"$2,214.01"
EMC,447100219,CATH BALL OTW PTA 6X120X135,"$2,069.17"
EMC,447100221,CATH BALL OTW PTA 6X150X135,"$2,069.17"
EMC,447100222,CATH BALL OTW PTA 6X200X135,"$2,069.17"
EMC,447100223,CATH BALL OTW PTA 6X20X135,"$2,214.01"
EMC,447100224,CATH BALL OTW PTA 6X20X80,"$2,069.17"
EMC,447100225,CATH BALL OTW PTA 6X40X135,"$2,069.17"
EMC,447100227,CATH BALL OTW PTA 6X40X80,"$2,069.17"
EMC,447100228,CATH BALL OTW PTA 6X60X135,"$2,069.17"
EMC,447100230,CATH BALL OTW PTA 6X60X80,"$2,069.17"
EMC,447100231,CATH BALL OTW PTA 6X80X135,"$2,214.01"
EMC,447100233,CATH BALL OTW PTA 7X100X135,"$2,069.17"
EMC,447100234,CATH BALL OTW PTA 7X150X135,"$2,069.17"
EMC,447100235,CATH BALL OTW PTA 7X20X80,"$2,069.17"
EMC,447100237,CATH BALL OTW PTA 7X40X80,"$2,069.17"
EMC,447100238,CATH BALL OTW PTA 7X60X135,"$2,069.17"
EMC,447100239,CATH BALL OTW PTA 7X60X80,"$2,214.01"
EMC,447100240,CATH BALL OTW PTA 8X20X80,"$2,069.17"
EMC,447100241,CATH BALL OTW PTA 8X40X80,"$2,214.01"
EMC,447100242,CATH BALL OTW PTA 8X60X80,"$2,069.17"
EMC,447100245,CATH BALL OTW PTA 9X40X80,"$2,069.17"
EMC,447100246,CATH BALL OTW PTA 9X60X80,"$2,069.17"
EMC,447100275,CATH DS DISTAL VESL STD TIP,"$30,513.58"
EMC,447100276,CATH ES+ ES VESL STD TIP,"$28,890.00"
EMC,447100277,CATH EXL ES VESL XTRA LONG TIP,"$19,248.10"
EMC,447100278,CATH LG VESL 6CM TIP W MEC,"$33,378.69"
EMC,447100281,CATH LX-M L VESL STD TIP W MEC,"$22,243.11"
EMC,447100282,CATH MX-M M VESL STD TIP W MEC,"$29,845.05"
EMC,447100305,CATH RUNWAY GUIDE 6F IM,$685.74
EMC,447100308,CATH RUNWAY GUIDE 6F MP1 SH,$685.74
EMC,447100312,CATH SS+ S VESL EXTEND TIP,"$30,513.58"
EMC,447100321,CATH TRAILBLAZER .035X90CM,"$1,388.43"
EMC,447100352,FILTER 3MM 190/320CM,"$13,385.51"
EMC,447100353,FILTER 4MM 190/320CM,"$13,385.51"
EMC,447100354,FILTER 5MM 190/320CM,"$13,385.51"
EMC,447100355,FILTER 6MM 190/320CM,"$13,385.51"
EMC,447100356,FILTER 7MM 190/320CM,"$14,456.35"
EMC,447100359,GUIDEWIRE 14 .014/300CM,"$1,187.40"
EMC,447100360,GUIDEWIRE 18 .018/190CM,"$1,187.40"
EMC,447100361,GUIDEWIRE 18 .018/300CM,"$1,099.45"
EMC,447100387,GUIDEWIRE PT2 182/S,"$1,261.63"
EMC,447100392,KIT PERICARDIO 6F PIG CATH,"$1,558.48"
EMC,447100393,KIT PERICARDIO 6F STRT CATH,"$1,443.03"
EMC,447100395,KIT PERICARDIO 8.3F STRT CATH,"$1,855.34"
EMC,447100397,LINEAR 7.5FR 34CC IABC,"$8,752.05"
EMC,447100398,MEGA 8FR 50CC IABC,"$9,421.34"
EMC,447100421,SNARE 12-20MM,"$4,495.42"
EMC,447100422,SNARE 15MMX150CM,"$5,157.45"
EMC,447100426,SNARE 35MMX150CM,"$5,157.45"
EMC,447100462,STENT BIL GPS 6F 10X40X120,"$16,232.23"
EMC,447100463,STENT BIL GPS 6F 12X40X120,"$16,232.23"
EMC,447100464,STENT BIL GPS 6F 14X40X120,"$16,232.23"
EMC,447100465,STENT BIL GPS 6F 9X40X120,"$16,232.23"
EMC,447100469,STENT BIL MIN GPS 7/6F 6X14X80,"$16,100.71"
EMC,447100470,STENT BIL MIN GPS 7/6F 6X18X80,"$15,047.39"
EMC,447100471,STENT BIL MIN GPS 7/6F 6X21X80,"$15,047.39"
EMC,447100475,STENT BIL SES 6F  5X100 120,"$14,968.35"
EMC,447100476,STENT BIL SES 6F  5X120 120,"$15,921.76"
EMC,447100477,STENT BIL SES 6F  5X40 120,"$16,232.23"
EMC,447100478,STENT BIL SES 6F  5X60 120,"$14,497.92"
EMC,447100479,STENT BIL SES 6F  5X80 120,"$16,232.23"
EMC,447100480,STENT BIL SES 6F  6X100 120,"$16,016.13"
EMC,447100481,STENT BIL SES 6F  6X120 120,"$15,921.76"
EMC,447100482,STENT BIL SES 6F  6X150 120,"$16,875.15"
EMC,447100484,STENT BIL SES 6F  6X40 120,"$16,232.23"
EMC,447100485,STENT BIL SES 6F  6X60 120,"$16,232.23"
EMC,447100486,STENT BIL SES 6F  6X80 120,"$16,232.23"
EMC,447100487,STENT BIL SES 6F  7X100 120,"$14,968.35"
EMC,447100488,STENT BIL SES 6F  7X150 120,"$18,056.41"
EMC,447100490,STENT BIL SES 6F  7X40 120,"$17,368.49"
EMC,447100491,STENT BIL SES 6F  7X60 120,"$17,368.49"
EMC,447100492,STENT BIL SES 6F  7X80 120,"$16,232.23"
EMC,447100493,STENT BIL SES 6F  8X100 120,"$14,968.35"
EMC,447100495,STENT BIL SES 6F  8X40 120,"$16,232.23"
EMC,447100496,STENT BIL SES 6F  8X60 120,"$16,232.23"
EMC,447100497,STENT BIL SES 6F  8X80 120,"$17,368.49"
EMC,447100518,STENT BIL VISIPRO 10X57X80CM,"$14,497.92"
EMC,447100576,TRAY PARACENTESIS W 10CM CATH,$694.78
EMC,447100581,VESL CLOSE PERCLOSE PROGLIDE,"$3,683.01"
EMC,447100587,ACCUSTICK II W/.038 STR. WIRE,"$1,063.99"
EMC,447100658,CATH BALL OCCLSN EQUALIZ 33X65,"$3,510.66"
EMC,447100659,CATH BALL OTW 4X100X135,"$5,416.06"
EMC,447100662,CATH BALL OTW 4X40X135,"$5,061.74"
EMC,447100665,CATH BALL OTW 5X100X135,"$5,416.06"
EMC,447100668,CATH BALL OTW 5X40X135,"$5,061.74"
EMC,447100669,CATH BALL OTW 5X60X135,"$5,061.74"
EMC,447100681,CATH BALL OTW 7X60X135,"$5,061.74"
EMC,447100682,CATH BALL OTW 7X80X135,"$5,416.06"
EMC,447100688,CATH BALLOON CUTTING 6X2,"$8,896.22"
EMC,447100689,CATH BALLOON CUTTING 8X2,"$8,896.22"
EMC,447100695,CATH MACH1 GUIDE 6F RDC 55CM,"$1,573.33"
EMC,447100706,"CATH NEPH, FLEXIMA 10F","$1,013.77"
EMC,447100707,"CATH NEPH, FLEXIMA 12F","$1,171.51"
EMC,447100708,"CATH NEPH, FLEXIMA 8F","$1,084.73"
EMC,447100715,COIL MULTILOOP .035 9X60,"$1,257.30"
EMC,447100716,COIL PUSHER 16 COIL,"$2,265.60"
EMC,447100721,"DILATORS, FASIAL 10FX20CM",$864.87
EMC,447100722,"DILATORS, FASIAL 14FX25CM",$864.87
EMC,447100723,"DRAIN BIL, FLEXIMA W RO 10F","$1,171.51"
EMC,447100724,"DRAIN BIL, FLEXIMA W RO 12F","$1,171.51"
EMC,447100725,"DRAIN BIL, FLEXIMA W RO 6F","$1,084.73"
EMC,447100726,"DRAIN BIL, FLEXIMA W RO 8F","$1,013.77"
EMC,447100727,FLEXIMA APD LOOPED 10F,"$1,013.77"
EMC,447100728,FLEXIMA APD LOOPED 12F,"$1,171.51"
EMC,447100729,FLEXIMA APD LOOPED 14F,"$1,171.51"
EMC,447100731,FLEXIMA APD LOOPED 8F,"$1,013.77"
EMC,447100769,STENT BES SD 6X14X150,"$14,657.61"
EMC,447100772,STENT BES SD 7X19X150,"$14,657.61"
EMC,447100773,STENT FLEXIMA NEPHROURETER 10F,"$1,629.73"
EMC,447100774,STENT FLEXIMA NEPHROURETERA 8F,"$1,307.02"
EMC,447100788,WIRE AMPLATZ SUPERSTIFF 180C,$557.23
EMC,447100789,WIRE AMPLATZ SUPERSTIFF 260CM,$559.12
EMC,447100790,WIRE AMPLATZ SUPERSTIFF 75CM,$365.54
EMC,447100800,WIRE V-18 300CM,"$1,279.05"
EMC,447100931,"SHEATH, BALKIN 6 FR X 40 CM","$1,024.01"
EMC,447100932,"SHEATH, BALKIN 7 FR X 40 CM","$2,116.67"
EMC,447100936,STIFF SHAFT GLIDEWIRE,$684.60
EMC,447100937,STANDARD GLILDEWIRE,$622.15
EMC,447100939,"CATH, ASH SLIT-CATH 14 FR 24CM","$4,762.52"
EMC,447100943,SHEATH DESTINATION RENAL GUIDE,"$1,091.54"
EMC,447100944,SHEATH PINNACLE 8FR 25CM,$281.89
EMC,447100957,CATH INFUSION VALVED 5F,"$1,183.05"
EMC,447100958,CATH INFUSION VALVED 5F,"$1,802.74"
EMC,447100959,CATH INFUSION VALVED 5F,"$1,105.65"
EMC,447100960,CATH INFUSION VALVED 5F,"$1,684.80"
EMC,447100961,CATH INFUSION VALVED 5F,"$1,684.80"
EMC,447100983,SHEATH FLEXOR CHECKFLO BALKIN,$723.46
EMC,447100984,CATH INTRO CONTRALATER W/CHECK,$760.49
EMC,447100991,GUIDEWIRE GLIDE STIFF SHAFT,$729.81
EMC,447100993,SHEATH PINNACLE INTRO W/DILATO,$242.33
EMC,447100994,CATH TIGER 6FR 4.5CM,$494.55
EMC,447100995,CATH TIGER 6FR 4.0 CM,$494.55
EMC,447100997,KYPHOPAK INTRODUCER SYSTEM,$0.00
EMC,447100998,BONE CEMENT KYPHX,"$1,913.17"
EMC,447101007,PNEUMOTHORAX SET COOK,"$1,527.28"
EMC,447101015,SHEATH INTRO PEEL-AWAY,$0.00
EMC,447101020,SHEATH INTRO PEEL-AWAY,$753.43
EMC,447101025,GUIDEWIRE PERIPH EXTR SUPP,"$1,441.26"
EMC,447101033,NEFF PERCUTANEOUS ACCESS SET,"$1,109.21"
EMC,447101036,GUIDEWIRE 035X260CM,$0.00
EMC,447101037,"PACK, HEART CATH","$1,506.16"
EMC,447101038,TR BAND BRACELET  REG SIZE,$0.00
EMC,447101039,TR BAND LONG SIZE,$0.00
EMC,447101040,TRAY AVAMAX PLUS,"$6,872.93"
EMC,447101046,AVAFLEX 11G CURVED NEEDLE,"$6,425.62"
EMC,447101047,CATH SWAN GANZ 6FR,$429.08
EMC,447101050,CATH XPEEDIOR 120CM 6F .035,"$14,297.52"
EMC,447101051,CATH DVX 90CM 6F .035,"$14,414.04"
EMC,447101053,GLIDECATH 5F C2 65X21X25,$731.23
EMC,447101054,GLIDECATH 5F STR TAPER,"$1,081.02"
EMC,447101055,GLIDECATH 5F ANGLE TAPER,"$1,010.30"
EMC,447101056,GLIDECATH 5F C2 100X18X40,$731.23
EMC,447101057,GLIDECATH 5F MP 100X18X40,$616.33
EMC,447101058,GUIDEWIRE 3X014X180,"$1,907.55"
EMC,447101059,GUIDEWIRE 3 014X300,"$1,907.55"
EMC,447101060,GUIDEWIRE 4.5 014X180,"$1,907.55"
EMC,447101061,GUIDEWIRE 4.5 014X300,"$1,907.55"
EMC,447101062,GUIDEWIRE 6 014X180,"$1,907.55"
EMC,447101063,GUIDEWIRE 6 014X300,"$1,907.55"
EMC,447101064,GUIDEWIRE 12 014X180,"$2,041.08"
EMC,447101070,SHEATH PINNACLE DEST W/DILATOR,"$1,091.54"
EMC,447101071,SHEATH PINNACLE 7F 25CM,$0.00
EMC,447101072,SHEATH PINNACLE 5F 25CM,$0.00
EMC,447101073,CATH TIGER 5FR 10CM,$529.17
EMC,447101074,MICROPUNCTURE INTR SET STIFF 5,$657.69
EMC,447101075,CATH ACCUVU PIG FLSH .038 70CM,"$2,116.67"
EMC,447101077,SHEATH 6FR X 6CM,$317.50
EMC,447101078,IVC FILTERS ANGIOTECH,"$8,533.47"
EMC,447101079,CATH JACKY RADIAL 110CM 5FR,$494.55
EMC,447101080,WIREGUID PLATINUM PL 018 180CM,"$1,120.51"
EMC,447101081,GUIDEWIRE ASAHI PROWATER 300,"$1,102.14"
EMC,447101082,SHEATH DESTINATION STR 7FX45CM,"$1,091.54"
EMC,447101083,GUIDEWIRE ASAHI PROWATER 180,"$1,102.14"
EMC,447101084,CATH SWAN GANZ 7F REG TIP,$526.91
EMC,447101085,SNARE GOOSENECK 10MMX120CM,"$4,521.60"
EMC,447101086,CATH; CORONARY DIAG 5FR MPA,$377.98
EMC,447101089,WIRE GUIDES 018X40 COPE MANDRI,$385.54
EMC,447101090,DERMABOND HIGH VISCOSITY 12/BX,$0.00
EMC,447101091,RAD PAD DIALYSIS DECLOT DRAPE,$459.23
EMC,447101092,DEFIB PADS ADULT GRAY CVS,$0.00
EMC,447101093,MICROPUNCTURE SET 5F PED.,$430.54
EMC,447101094,SHEATH 7FR X 6CM,$370.42
EMC,447101099,TAPE; MINI GLOW N TELL 50/BX,$719.92
EMC,447101101,V+PAD HEMOSTASIS,$353.25
EMC,447101102,GUIDE LAUNCHER 6F EBU 3.5,$362.56
EMC,447101103,GUIDE LAUNCHER 6 EBU 3.5 W/HOL,$362.56
EMC,447101104,GUIDE LAUCHER 6F EBU 4.0,$362.56
EMC,447101105,GUIDE LAUNCHER 6F EBU 4 W/HOLE,$689.73
EMC,447101106,GUIDE LAUNCHER 6F EBU 4.5,$362.56
EMC,447101107,GUIDE LAUNCHER 7F EBU3.5,$362.56
EMC,447101108,GUIDE LAUNCHER 7F EBU 3.5 SH,$689.73
EMC,447101109,GUIDE LAUNCHER 7F EBU 4.0,$689.73
EMC,447101110,GUIDE LAUNCHER 7F EBU 4.0 SH,$689.73
EMC,447101111,GUIDE LAUNCHER 7F EBU 4.5,$689.73
EMC,447101112,GUIDE LAUNCHER 6F EBU 3.0,$362.56
EMC,447101113,GUIDE LAUNCHER 6F EBU 3.25,$362.56
EMC,447101114,GUIDE LAUNCHER 6F EBU 3.75,$362.56
EMC,447101115,GUIDE LAUNCHER 7F EBU 3.0,$689.73
EMC,447101116,GUIDE LAUNCHER 7F EBU 3.25,$689.73
EMC,447101117,GUIDE LAUNCHER 7F EBU 375,$689.73
EMC,447101121,COPILOT BLEEDBACK CONTRL VALVE,$282.60
EMC,447101122,SHEATH INTRO SET 7F 24CM,$737.81
EMC,447101124,SHEATH; ANSEL 6FR 45CM,$734.76
EMC,447101126,SHEATH INTRO SET 5F 24CM,$748.09
EMC,447101127,SHEATH INTRO SET 6F 24CM,$993.02
EMC,447101128,CATH TIGER 5FR 100CM,$494.55
EMC,447101129,SHEATH; PERCUTANEOUS CCU,$686.72
EMC,447101131,GUIDEWIRE MAGIC TORQUE 180CM,$819.12
EMC,447101132,GUIDWIRE MAGIC TORQUE 260,$876.46
EMC,447101136,SAFE SHEATH INTRODUCER 7F,$779.98
EMC,447101137,SAFESHEATH 9FR 13CM,$779.98
EMC,447101142,INFLATION DEVICE REVISION F,$906.39
EMC,447101143,PACK; PACEMAKER CVS,$884.54
EMC,447101144,CATH STR DUAL 11.5F X 20CM,$0.00
EMC,447101149,GUIDEWIRE; WHOOLEY HIGH TORQ,$777.15
EMC,447101150,SHEATH BRITE TIP 7FRX90 CORDIS,$377.98
EMC,447101151,GLIDEWIRE ANG .035 260,$618.19
EMC,447101152,STIFF SHAFT GLIDEWIRE 80CM 035,$707.57
EMC,447101153,CABLE FOR PACEMAKER 5833SL,$721.09
EMC,447101156,CATH QUINTON 11.5FX20,"$1,017.36"
EMC,447101157,GUIDEWIRE LUGE 182CM STRIGHT,"$1,160.84"
EMC,447101158,GUIDEWIRE CHOICE PT 300CM STR,"$1,084.90"
EMC,447101159,GUIDEWIRE CHOICE PT 182 STR XS,"$1,172.79"
EMC,447101160,GUIDEWIRE CHOICE PT 300 STR,"$1,084.90"
EMC,447101161,GUIDEWIRE CHOICE PT 182 STR,"$1,025.84"
EMC,447101163,GUIDEWIRE WHOLEY WIRE 035 260,"$1,596.69"
EMC,447101164,TAPE; GLOW N TELL LONG,"$1,186.21"
EMC,447101166,SHEATH; EZ BENT TIP RETRIEVAL,$972.46
EMC,447101168,GUIDEWIRE; KINETIX 185/STRAIGH,"$1,241.74"
EMC,447101171,CATH V-18 150CM 8CM POLY TIP,"$1,160.21"
EMC,447101172,GUIDEWIRE IRONMAN 014 190 STR,"$1,179.29"
EMC,447101173,GUIDEWIRE IRONMAN 014 300 STR,"$1,102.14"
EMC,447101174,GUIDEWIRE PROWATER FLEX 180CM,"$1,102.14"
EMC,447101175,GUIDEWIRE BMW HI TORQUE 190CM,"$1,102.14"
EMC,447101176,GUIDEWIRE WIGGLE 190CM,"$1,179.29"
EMC,447101177,GUIDEWIRE WHISPER 190 STR .014,"$1,102.14"
EMC,447101182,WIREGUID PLATINUM PL 018 260CM,"$1,301.66"
EMC,447101187,SHEATH 9FRX80 SUPER ARROW FLEX,"$2,240.19"
EMC,447101188,GUIDEWIR PLATINUM PLUS 014 180,"$1,560.74"
EMC,447101189,FEMOSTOP GOLD COMPRESSION,"$1,271.70"
EMC,447101190,CATH 3 LUMEN 16CM BLUE CDC,"$1,434.48"
EMC,447101191,CATH DUAL PICC LONG GW 5FX55CM,$0.00
EMC,447101193,CATH GUIDE AL .75 6F CORDIS,$637.27
EMC,447101194,EXCHANGE DEVICE; MAGNET,"$1,107.62"
EMC,447101195,STENT FLEXIMA URETERAL 8F 26CM,"$1,307.02"
EMC,447101196,STENT FLEXIMA URETERAL 8F 20CM,"$1,284.33"
EMC,447101197,STENT FLEXIMA URETERAL 8F 22CM,$949.83
EMC,447101198,STENT FLEXIMA URETERAL 8F 28CM,"$1,210.20"
EMC,447101199,STENT FLEXIMA URETERAL 10F20CM,"$1,284.33"
EMC,447101200,STENT FLEXIMA URETERAL 10F22CM,"$1,284.33"
EMC,447101201,STENT FLEXIMA URETERAL 10F26CM,"$1,284.33"
EMC,447101202,STENT FLEXIMA URETERAL 10F28CM,"$1,284.33"
EMC,447101225,CATH BALL NC QUANTUM 8/3.75,"$2,358.02"
EMC,447101226,CATH BALL NC QUANTUM 8/4.00,"$1,635.96"
EMC,447101227,CATH BALL NC QUANTUM 8/5.00,"$1,635.96"
EMC,447101228,CATH BALL NC QUANTUM 12/2.25,"$2,358.02"
EMC,447101229,CATH BALL NC QUANTUM 12/2.50,"$1,635.96"
EMC,447101230,CATH BALL NC QUANTUM 12/3.25,"$1,635.96"
EMC,447101231,CATH BALL NC QUANTUM 12/3.75,"$1,635.96"
EMC,447101232,CATH BALL NC QUANTUM 12/4.50,"$2,358.02"
EMC,447101233,CATH BALL NC QUANTUM 12/5.00,"$1,635.96"
EMC,447101234,CATH BALL NC QUANTUM 15/2.25,"$2,358.02"
EMC,447101235,CATH BALL NC QUANTUM 15/2.50,"$1,635.96"
EMC,447101236,CATH BALL NC QUANTUM 15/3.00,"$1,635.96"
EMC,447101237,CATH BALL NC QUANTUM 15/3.25,"$1,635.96"
EMC,447101238,CATH BALL NC QUANTUM 15/3.50,"$1,635.96"
EMC,447101239,CATH BALL NC QUANTUM 15/4.00,"$1,635.96"
EMC,447101240,CATH BALL NC QUANTUM 15/4.50,"$2,358.02"
EMC,447101241,CATH BALL NC QUANTUM 20/2.25,"$2,358.02"
EMC,447101242,CATH BALL NC QUANTUM 20/2.50,"$1,635.96"
EMC,447101243,CATH BALL NC QUANTUM 20/3.00,"$1,635.96"
EMC,447101244,CATH BALL NC QUANTUM 20/3.25,"$1,635.96"
EMC,447101245,CATH BALL NC QUANTUM 20/3.50,"$1,635.96"
EMC,447101246,CATH BALL NC QUANTUM 20/3.75,"$2,358.02"
EMC,447101247,CATH BALL NC QUANTUM 20/4.00,"$2,358.02"
EMC,447101248,CATH BALL NC QUANTUM 20/5.00,"$1,635.96"
EMC,447101249,CATH BALL SPRINTER 1.25X6 OTW,$884.30
EMC,447101250,CATH BALL SPRINTER 1.25X10 OTW,"$1,671.93"
EMC,447101251,CATH BALL SPRINTER 1.25X15 OTW,$884.30
EMC,447101252,CATH BALL SPRINTER 1.25X6 OTW,"$1,671.93"
EMC,447101253,CATH BALL SPRINTER 1.25X10 OTW,$884.30
EMC,447101254,CATH BALL SPRINTER 1.25X12 OTW,$884.30
EMC,447101255,CATH BALL SPRINTER 1.25X15 OTW,$884.30
EMC,447101256,CATH BALL SPRINTER 1.50X6 OTW,"$1,671.93"
EMC,447101257,CATH BALL SPRINTER 1.50X10 OTW,"$1,671.93"
EMC,447101258,CATH BALL SPRINTER 1.50X12 OTW,$884.30
EMC,447101259,CATH BALL SPRINTER 1.50X15 OTW,$884.30
EMC,447101260,CATH BALL SPRINTER 1.50X20 OTW,"$1,671.93"
EMC,447101261,CATH BALL SPRINTER 2.00X6 OTW,$884.30
EMC,447101262,CATH BALL SPRINTER 2.00X10 OTW,$884.30
EMC,447101263,CATH BALL SPRINTER 2.00X12 OTW,$884.30
EMC,447101264,CATH BALL SPRINTER 2.00X15 OTW,$884.30
EMC,447101265,CATH BALL SPRINTER 2.00X20 OTW,$884.30
EMC,447101266,CATH BALL SPRINTER 2.50X6 OTW,$884.30
EMC,447101267,CATH BALL SPRINTER 2.50X10 OTW,$884.30
EMC,447101268,CATH BALL SPRINTER 2.50X12 OTW,$884.30
EMC,447101269,CATH BALL SPRINTER 2.50X15 OTW,$884.30
EMC,447101270,CATH BALL SPRINTER 2.50X20 OTW,$884.30
EMC,447101271,CATH BALL SPRINTER 3.00X10 OTW,"$1,671.93"
EMC,447101272,CATH BALL SPRINTER 3.00X12 OTW,$884.30
EMC,447101273,CATH BALL SPRINTER 3.00X15 OTW,$884.30
EMC,447101274,CATH BALL SPRINTER 3.00X20 OTW,"$1,671.93"
EMC,447101275,CATH BALL SPRINTER 3.50X6 OTW,"$1,671.93"
EMC,447101276,CATH BALL SPRINTER 3.50X10 OTW,"$1,671.93"
EMC,447101277,CATH BALL SPRINTER 3.50X12 OTW,$884.30
EMC,447101278,CATH BALL SPRINTER 3.50X15 OTW,"$1,671.93"
EMC,447101279,CATH BALL SPRINTER 3.50X20 OTW,"$1,671.93"
EMC,447101280,CATH BALL SPRINTER 4.00X6 OTW,"$1,671.93"
EMC,447101281,CATH BALL SPRINTER 4.00X10 OTW,"$1,671.93"
EMC,447101282,CATH BALL SPRINTER 4.00X12 OTW,$884.30
EMC,447101283,CATH BALL SPRINTER 4.00X15 OTW,$884.30
EMC,447101284,CATH BALL SPRINTER 4.00X20 OTW,$884.30
EMC,447101329,VIPERWIRE ADVANCE 014 TIP,"$2,267.87"
EMC,447101336,CATH BALL NC QUANTUM 8/2.25,"$2,358.02"
EMC,447101337,CATH BALL NC QUANTUM 8/2.5,"$1,635.96"
EMC,447101338,CATH BALL NC QUANTUM 8/2.75,"$1,635.96"
EMC,447101339,CATH BALL NC QUANTUM 8/3.00,"$1,635.96"
EMC,447101340,CATH BALL NC QUANTUM 8/3.25,"$1,635.96"
EMC,447101341,CATH BALL NC QUANTUM 8/3.50,"$1,635.96"
EMC,447101342,CATH BALL NC QUANTUM 12/2.75,"$1,635.96"
EMC,447101343,CATH BALL NC QUANTUM 12/3.00,"$1,635.96"
EMC,447101344,CATH BALL NC QUANTUM 12/3.50,"$1,635.96"
EMC,447101345,CATH BALL NC QUANTUM 12/4.00,"$2,358.02"
EMC,447101346,CATH BALL NC QUANTUM 15/2.75,"$1,635.96"
EMC,447101347,CATH BALL NC QUANTUM 15/3.75,"$1,635.96"
EMC,447101348,CATH BALL NC QUANTUM 15/5.00,"$2,358.02"
EMC,447101349,CATH BALL NC QUANTUM 20/2.75,"$2,358.02"
EMC,447101350,GUIDEWIRE FIELDER XT CORONARY,"$1,907.55"
EMC,447101353,CATH; QUICKCROSS SELECT ANGLED,$0.00
EMC,447101356,GUIDEWIRE CONFIANZA 12 014X180,"$1,907.55"
EMC,447101357,GUIDEWIRE CONFIANZA 12 014X300,"$1,907.55"
EMC,447101370,GUIDEWIRE DOC EXT,$989.10
EMC,447101371,VASCULAR CLOSURE DEVICE 6F,"$2,967.30"
EMC,447101372,VASCULAR CLOSURE DEVICE 8F,"$5,934.60"
EMC,447101373,CATH; ASH SPLIT-CATH 14FR 28,"$4,450.95"
EMC,447101374,CATH; SPLIT ASH 16FR 24,"$4,450.95"
EMC,447101375,SNARE GOOSENECK 5MMX120CM,"$4,838.11"
EMC,447101376,SNARE GOOSENECK 15MMX120CM,"$4,521.60"
EMC,447101377,SNARE GOOSENECK 20MMX120CM,"$4,838.11"
EMC,447101378,SNARE GOOSENECK 25MMX120CM,"$4,521.60"
EMC,447101382,CATH; ASH SPLIT-CATH 15.5FR 32,"$3,549.14"
