MNEMONIC,DESCRIPTION, STD.CHARGE 
420100939,ENDOBUTTON STR, $699.00 
420100941,MESH VENTRALEX LG," $2,077.00 "
420100942,ZIPWIRE STR, $158.00 
420100943,ISTENT OCULAR IMPLANT," $5,764.00 "
420101233,IMP JNT INTERPHALANGEAL PRX SR," $6,387.00 "
420101234,IMP JNT INTERPHALNGL PRX SILCN," $3,171.00 "
420101308,STENT URETERAL PEDIATRIC, $477.00 
420101309,SPHERE EYE KATENA, $126.00 
420101310,MINI ARC SLING (ADJ PRICE)," $4,200.00 "
420101311,ORBITAL SPHERE BIOCERAMIC," $1,881.00 "
420101315,RING CAPSULAR TENSION ACTR11, $297.00 
420101316,GRAFT TENDON SEMITENDINOSUS," $2,793.00 "
420101317,TISSUEMEND 5X6CM," $6,259.00 "
420101318,TISSUEMEND 3X3CM," $2,895.00 "
420101319,TISSUEMEND 6X10CM," $7,368.00 "
420101728,CATH FOR BRACHYSEED ADMIN," $7,782.00 "
420104105,MESH STRATTICE 10X20," $12,451.00 "
420109234,UROLIFT SYSTEM," $2,678.00 "
420111169,MESH STRATTICE 10X10X 25CM," $14,519.00 "
420111170,AXOGUARD NERVE CONNECTOR," $2,882.00 "
420111171,AXOGUARD NERVE PROTECTOR," $4,913.00 "
420111172,AXOGUARD NRV PROTECTOR 10X40," $5,699.00 "
420111173,CARTIVA CARTILAGE IMPLANT," $8,122.00 "
420112151,IMPLANT TENDON ROD HUNTER," $2,732.00 "
420114153,ANCHOR 1.4MM 1 STRAND ICONIX 1," $1,125.00 "
420114154,ANCHOR 2.3MM 2 STRAND ICONIX 2," $1,125.00 "
420114155,ANCHOR 2.3MM 2 STRND ICONIX 25," $1,125.00 "
420115322,PALACOS G BONE CEMENT," $1,311.00 "
420121208,SYNERGY NEUROSTIM GENERATOR," $40,056.00 "
420135567,ENDOBUTTON," $2,195.00 "
420137766,MESH C-QUR 4X6 10X15," $1,331.00 "
420137767,MESH C-QUR 6X8 15X20," $2,086.00 "
420137768,MESH C-QUR 8X10 20X25," $3,039.00 "
420137769,MESH C-QUR 8X12 20X30," $3,093.00 "
420137770,MESH C-QUR 10X14 25X36," $4,060.00 "
420137772,MESH C-QUR 5X5 12.5X12.5," $1,416.00 "
420137773,MESH PROLITE 4X6 10X15, $168.00 
420137774,MESH PROLITE 6X6 15X15, $138.00 
420150071,TISSEEL SEALANT," $2,245.00 "
420150072,RADIESSE VOCAL CORD INJ 1CC," $1,812.00 "
420150073,ANAL FISTULA PLUG," $3,072.00 "
420151198,MESH SEPRAMESH 3X6," $1,793.00 "
420151199,MESH SEPRAMESH 6X8," $3,182.00 "
420153040,GRAFT TIBIAL TENDON POSTERIOR," $3,885.00 "
420153124,BARD VENTRAL HERNIA MESH," $2,016.00 "
420153125,MACROPLASTIQUE 2.5ML SYR," $1,920.00 "
420153157,STENT URET INLAY OPTI, $403.00 
420153158,URINARY SLING GRAFT," $3,168.00 "
420153159,SLING MINIARC PRO SINGLE SYS," $12,692.00 "
420153222,PALACOS G BONE CEMENT," $1,311.00 "
420153224,PALACOS R BONE CEMENT, $317.00 
420153286,MAMMOSITE APPLICATOR CATH," $8,405.00 "
420153314,LIGASURE LAP SEALER 5X30," $1,822.00 "
420200021,TRANZgRAFT 2X4CM," $1,292.00 "
420200077,"CATHETER, URETERAL OPEN-END", $579.00 
420200081,"CATHETER, URETERAL CONETIP", $376.00 
420200086,"CATHETER, URETERAL FLEXITIP", $246.00 
420200095,"CATHETER, URETERAL SPIRAL", $266.00 
420200096,CATH URETERAL OPEN END 5X70, $43.00 
420200103,"CATHETER,URETERAL WHISTLE", $229.00 
420200104,ELECTRODE 10CM RF ABL, $430.00 
420200145,BLAKE DRAIN, $376.00 
420200146,MESH PARIETEX 15X10 CM, $421.00 
420200147,MESH PARIETEX 15X15CM, $439.00 
420200148,MESH PARIETEX 37X28CM," $4,571.00 "
420200149,TIGHTROPE SYNDOSMOSIS," $2,236.00 "
420200150,BIO PUSHLOCK ANCHOR," $1,536.00 "
420200151,BONE PUTTY 1CC, $809.00 
420200152,KYPHON BONE CEMENT/MIX, $949.00 
420200153,BARD PORT ISP XPORT IMPLANT," $1,717.00 "
420200154,BARDPORT MRI SINGLE IMPLNT," $1,219.00 "
420200510,LAB - HEMOGRAM, $243.00 
420200710,BIO-INTERFERENCE SCREW," $1,577.00 "
420200712,TIBIAL TUNNEL CANNULA," $2,382.00 "
420200714,6TH FINGER KNOT PUSHER," $1,008.00 "
420200715,DIGIT WIDGET," $3,537.00 "
420200716,SUTURE LASSO W/WIRE LOOP," $1,198.00 "
420200718,FASTAK SUTURE ANCHOR," $1,766.00 "
420200722,CORKSCREW SUTURE LASSO," $1,640.00 "
420200724,CORKSCREW SUTURE ANCHOR," $2,332.00 "
420200726,BIO-CORKSCREW SUTURE ANCHOR," $2,932.00 "
420200730,STAR SLEEVE, $953.00 
420200732,FIBER WIRE, $254.00 
420200736,CAPS X-ARTHROWAND," $3,339.00 "
420200738,THE WEDGE," $2,146.00 "
420200742,MENISCUS REPAIR NEEDLE, $141.00 
420200744,MENISCECTOMY ELECTRODE, $403.00 
420200746,ROTATOR CUFF REPAIR SUT RETRIE, $517.00 
420200748,MINI QUICK ANCHOR," $2,571.00 "
420200752,SHOULDER IMMOBILIZER W/FOAM ST, $205.00 
420200754,KNEE BRACE W/HINGE, $418.00 
420200776,DIAMOND BUR," $1,086.00 "
420200778,IC GREEN STAIN, $467.00 
420200780,WALL GRAFT-STANDARD 6MM X 10MM," $1,701.00 "
420200784,FASTIN ANCHORS," $1,386.00 "
420200788,EXPRESS SEW SUTURE NEEDLE, $440.00 
420200792,BLADE/LONG MED AGGRESS W/STOP, $426.00 
420200802,NEBULIZER, $32.00 
420200812,DERMABOND, $351.00 
420200903,ARTHREX CORING REAMER, $965.00 
420200905,ARTHREX KNOT PUSHER, $371.00 
420200908,ALLODERM 1X4/102007," $1,254.00 "
420200910,ALLODERM 2X4CM/102012," $1,949.00 "
420200912,ALLODERM 3X7CM/102021," $2,239.00 "
420200913,ALLODERM REGEN MTRIX 4X16," $5,965.00 "
420200914,ARTHREX FIBERWIRE, $84.00 
420200916,ARTHREX ANCHOR CORKSCREW, $962.00 
420200918,ARTHREX CANNULA, $92.00 
420200920,ARTHREX FASTAK ANCHOR 2.8MM, $668.00 
420200922,ASH SPLIT CATH WITH CUFF," $1,974.00 "
420200924,BIO CORKSCREW," $1,174.00 "
420200926,BONE MATRIX GEL 10CC GRAFTON," $3,419.00 "
420200928,BONE PUTTY DBX 1CC/038010, $942.00 
420200930,BONE PUTTY DBX 5CC/038050," $2,490.00 "
420200934,CARTICEL TRANSPORT KIT/80001," $2,225.00 "
420200936,CATH HICKMAN DUAL LUMEN 9FR, $639.00 
420200938,CATH HICKMAN SINGLE LUMEN, $664.00 
420200940,CATH HICKMAN TRIPLE 13.5FR, $836.00 
420200942,CATH INTRODUCER PEEL APART, $204.00 
420200944,CATH TAUT/20018-M55/TAUT, $140.00 
420200946,CATH BALLOON DILATION," $1,313.00 "
420200948,CATH CAUD-ACATH RACZ 19, $305.00 
420200950,CATH COUDE, $45.00 
420200952,CATH COUNCIL, $79.00 
420200958,CATH DIALYSIS HEMOGLIDE," $1,361.00 "
420200960,CATH EMBOLECTOMY, $258.00 
420200968,CATH EPIDURAL TUN LXL RACZ, $346.00 
420200970,CATH FLEXI TIP 4FR, $43.00 
420200972,CATH GROSHONG DUAL V/C 9.5," $1,538.00 "
420200974,CATH GROSHONG PICC 8SINGLE," $1,252.00 "
420200976,CATH HEMOGLIDE PC2/5664232," $1,361.00 "
420200978,CATH PERITONEAL CURLED, $355.00 
420200980,CATH SG TD 7F, $198.00 
420200982,CATH THORACIC 28 FR, $27.00 
420200984,CATH URETERAL, $79.00 
420200988,CHOLANGIOCATH, $277.00 
420200992,CLOSURE INTRAVASCULAR CATH," $2,704.00 "
420200994,DRAIN BLAKE, $116.00 
420200996,DRAIN HEMOVAC, $70.00 
420200998,DRAIN JACKSON-PRATT, $25.00 
420201002,ENDOCLIP, $474.00 
420201004,FALOPE-RING, $189.00 
420201005,LAB - PT/INR, $116.00 
420201006,FLOSEAL," $3,579.00 "
420201008,GAIT IMPLANT," $1,237.00 "
420201010,INTRO PERC LEAD 10.5 FR/6210-S, $129.00 
420201012,INTRODUCER SHEATH, $46.00 
420201014,KIT HIP ARTHROSCOPY," $1,855.00 "
420201016,K-WIRE, $43.00 
420201018,MESH COMPOSIX 3 X 6/0113360," $1,143.00 "
420201020,MESH COMPOSIX 4 X 8/0113480," $1,652.00 "
420201022,MESH COMPOSIX 6 X 8/0113680," $2,300.00 "
420201024,MESH KUGAL COMPOSIX OVAL," $3,111.00 "
420201026,MESH KUGAL HERNIA PATCH SMALL," $1,304.00 "
420201028,MESH MARLEX 10 X 14/0122660, $546.00 
420201030,MESH MARLEX 3 X 6/0112680, $267.00 
420201032,MESH MARLEX PLUG, $693.00 
420201034,MITEK FASTIN RC/222721, $890.00 
420201036,MITEK KNOTLESS ANCHHOR/212029," $2,800.00 "
420201038,MITEK MINI ANCHOR #2-0/212033," $1,296.00 "
420201040,MITEK QUICK ANCHOR 1.3/212866," $1,301.00 "
420201042,MITEK THREADED ANCHOR, $705.00 
420201044,MORGAN-MEDI FLOW LENS/MT 100, $75.00 
420201046,NORIAN BONE VOID FILLER 3 CC," $2,461.00 "
420201048,NORIAN BONE VOID FILLER 5 CC," $2,591.00 "
420201050,NORIAN DELIVERY SYRINGE, $787.00 
420201052,OPUS M CONNECTOR/OM8007, $502.00 
420201054,OPUS MAGNUM IMPLANT/OM1500," $1,336.00 "
420201056,OPUS SUTURE CARTRIDGE/OM8071, $557.00 
420201058,OROTHO SORB PIN 40X1.3/84-1052, $186.00 
420201060,ORTHO SORB PIN 40X2MM/84-2052, $631.00 
420201062,PERMACATH TRAY 40/8817749001, $927.00 
420201064,PORT DUAL MRI 9.5/0605900," $2,048.00 "
420201066,PORT SINGLE MRI PLASTIC," $1,385.00 "
420201068,PROS EAR APPLEBAUM 14-0957," $1,819.00 "
420201070,PROS EAR APPLEBAUM/14-0956," $1,514.00 "
420201072,PROS EAR CAPCEL PART/11-12095," $1,113.00 "
420201074,PROS EAR SHEEHY/11-12362, $978.00 
420201076,PROS EAR SHEEHY/11-12363, $945.00 
420201078,PROS TUBE MILLEN THIN HEAD/056," $1,681.00 "
420201080,ROD HUNTER TENDON," $1,361.00 "
420201082,SCREW DELTA 11MM X 35MM, $915.00 
420201084,SPINECATH CATHETER," $3,364.00 "
420201086,STAR SLEEVE  AR1606, $321.00 
420201088,STONE BASKET, $909.00 
420201090,STRAIGHT SHOT, $348.00 
420201092,SUTURE CORKSCREW, $618.00 
420201094,SUTURE LASSO, $481.00 
420201096,SUTURE PASSER, $183.00 
420201098,SUTURE RETRIEVER, $140.00 
420201100,SYNTHES SCREW CORTICAL, $81.00 
420201104,SYNTHES PLATE MINI FRAG, $146.00 
420201106,SYNTHES CLOVERLEAF PLATE, $702.00 
420201108,SYNTHES PLATE LC-DCP, $535.00 
420201110,SYNTHES PLATE L-OBLIQUE, $118.00 
420201112,SYNTHES PLATE TUBULAR, $228.00 
420201114,SYNTHES SCREW CANCELLOUS 4.0, $84.00 
420201116,SYNTHES SCREW CANNULATED, $895.00 
420201118,SYNTHES PLATE T SM, $491.00 
420201120,SYNTHES WASHER, $86.00 
420201122,TRAY CHEST DRAIN SNGL, $141.00 
420201124,TRAY CVP MULTI-LUMEN 7F-3L, $276.00 
420201126,TRAY EPIDURAL CATHETER DISP, $102.00 
420201128,TRAY LUMBAR PUNCTURE, $59.00 
420201130,TRAY PERCUTANEOUS INTRA 8.5, $112.00 
420201132,TRAY PERMACATH 40CM DUAL," $1,137.00 "
420201134,TROCAR CHEST, $94.00 
420201136,TUBE BOBBIN COLLAR/145289, $98.00 
420201138,TUBE EAR ACTIVENT/10-37005, $34.00 
420201140,TUBE EAR GOUDE-T12/10-16010, $19.00 
420201142,TUBE EAR REUTER/10-27006, $24.00 
420201144,TUBE EAR T 6016/10-56016, $27.00 
420201146,URETERAL STENT, $598.00 
420201150,IOL, $718.00 
420201152,STRYKER SCREW WEDGE, $589.00 
420201154,GRAFT PTFE 4-7 MMX45CM/S47045, $619.00 
420201156,GRAFT PTFE 4-7MMX40CM/V47040L, $442.00 
420201158,GRAFT PTFE 6MMX10CM/V06010L, $155.00 
420201160,GRAFT PTFE 6MMX40CM/V06040L, $353.00 
420201162,MENISCUS ARROW, $173.00 
420201164,ZIMMER PLATE 4935, $202.00 
420201166,ZIMMER SCREW CORTICAL, $27.00 
420201168,ZIMMER SCREW CANCELLOUS, $24.00 
420201170,SYNTHES SCREW SELF CORT 4.5, $90.00 
420201172,SYNTHES SCREW MALLEOLAR, $25.00 
420201174,SYNTHES SCREW CANC 6.5, $32.00 
420201202,TRIAL LEAD 4-CHANNEL," $3,385.00 "
420201204,TRIAL LEAD 8-CHANNEL," $4,231.00 "
420201206,4 ELECTRODE LEAD," $5,518.00 "
420201208,8 ELECTRODE LEAD," $8,348.00 "
420201210,IMPLANTABLE PULSE GENERATOR," $35,467.00 "
420201212,PATIENT PROGRAMMER," $3,948.00 "
420201214,NEUROSTIMULATOR EX RECHARGER," $2,722.00 "
420201216,SINGLE 8 EXTENSION," $3,045.00 "
420201218,BIO FASTAK," $1,106.00 "
420201220,NEUROSTIM GENESIS 8," $25,533.00 "
420201222,NEUROSTIMULATOR GENESIS XP 8," $32,628.00 "
420201224,NEUROSTIM PROGRAMER GENESIS QL," $3,395.00 "
420201226,NEUROSTIM PROGRAMER GENESIS," $3,382.00 "
420201228,ALCON - IOL, $756.00 
420201229,MESH PELVICOL," $2,016.00 "
420201300,SORBAFIX TACKER 30," $2,038.00 "
420201301,SORBAFIX TACKER 15," $2,009.00 "
420201302,BULKING AGENT 1ML COAPTITE," $1,159.00 "
420201303,STENT LACRIMAL MONI CRAWFORD 3, $307.00 
420203665,LAB - BASIC METABOLIC, $299.00 
420204805,LAB - ABG, $429.00 
420207001,ACCU CHECK STRIP/LANCET, $34.00 
420209211,BRIDAL VEIL, $35.00 
420209213,ENDOCLIP," $1,963.00 "
420209215,ENDOSHEARS," $2,000.00 "
420209217,BEAVER BLADE 6400, $53.00 
420209229,"SCREW, SYNTHES SELF TAPPING", $339.00 
420209230,ARTHREX ANCHOR MINI FT 2-0MM," $1,288.00 "
420209231,ARTHREX ANCHOR MICRO FT 1.3.MM," $1,288.00 "
420210579,ESWL MOBILE," $7,447.00 "
420210587,ESWL ADDITIONAL LOCATION," $3,514.00 "
420210595,ESWL REPEAT," $7,026.00 "
420210802,SHEA DRILL COVER, $202.00 
420211061,IMPLANT URINARY SPHINCTER," $16,200.00 "
420213005,MESH PARIETEX 25X20," $3,909.00 "
420213190,"PLATE, NARROW SCP 4.5MM 5 HOLE"," $1,200.00 "
420213198,PLATE ONE-THIRD TUBULAR 5-HOLE, $582.00 
420213320,CANCELL 4.0MMX22MM (SHORT THRD, $184.00 
420213363,"SCREW, CORTICAL 1.5MM X 12MM", $180.00 
420213372,SCREW CORTICAL 2.0MM X 12 MM, $180.00 
420213375,"SCREW, CORTICAL 2.0MM X 18MM", $180.00 
420213379,"SCREW, CORTICAL 2.7 X 10MM", $174.00 
420213380,"SCREW, CORTICAL 2.7 X 12MM", $174.00 
420213381,"SCREW, CORTICAL 2.7 X 14MM", $174.00 
420213382,"SCREW, CORTICAL 2.7 X 16MM", $174.00 
420213383,"SCREW, CORTICAL 2.7 X 18MM", $174.00 
420213384,"SCREW, CORTICAL 2.7 X 20MM", $174.00 
420213389,CORT 3.5MM X 100MM FINE THREAD, $254.00 
420215001,IV SOLUTIONS (ALL), $21.00 
420215002,DEFLUX 1ML IMPLANT," $5,120.00 "
420215110,ALLODERM 1X4," $3,381.00 "
420215120,ALLODERM 2X4," $5,906.00 "
420215130,ALLODERM 3X7," $8,203.00 "
420215222,CATHETER GROSHONG 8FR," $3,273.00 "
420215224,CATHETER GROSHONG 9.5FR," $3,711.00 "
420215226,CATHETER X-PORT," $3,909.00 "
420215228,ALLOGRAFT (ACHILLES)," $5,713.00 "
420215229,ALLOGRAFT (PATELLAR)," $9,527.00 "
420215240,CATHETER CURL," $1,910.00 "
420215250,CATHETER UNIV WEDGE, $236.00 
420215320,ELECTRODE LEEP LOOP, $378.00 
420215330,ELECTRODE POWERBALL," $2,273.00 "
420215340,ELECTODE ROLLERBALL," $1,821.00 "
420215350,ENDO CATCH," $1,376.00 "
420215351,PROGENIX 5CC BONE PUTTY," $2,127.00 "
420215370,E-Z DERM," $1,585.00 "
420215390,GLIDE WIRE, $167.00 
420215400,GOODE T-TUBE, $528.00 
420215410,GRAFT STEPPED 4 TO 7 X 45," $8,412.00 "
420215420,GRAFT STRAIGHT 6 X 40," $4,937.00 "
420215480,IODOFORM PACKING, $115.00 
420215510,LASER TUBING, $132.00 
420215540,MARLEX MESH PLUG S/M/L," $2,812.00 "
420215550,MARLEX MESH PLUG XLG," $5,330.00 "
420215560,MCGHAN IMPLANT FILL KIT, $293.00 
420215580,MENISCUS ARROW," $2,101.00 "
420215610,MINI SUTURE MITEK," $3,463.00 "
420215630,MITEK SUTURE," $3,381.00 "
420215700,PROBE 10MM," $1,510.00 "
420215710,PROBE 5MM," $1,510.00 "
420215840,STENT HYDROPLUS," $2,009.00 "
420215850,STENT URETERAL," $2,238.00 "
420215900,TRU-CUT NEEDLE, $306.00 
420215970,X-SPAN, $75.00 
420217269,GRAFT HEPARIN TW 6X10," $1,346.00 "
420218080,"TOURNIQUET, DISPOSABLE STERILE", $639.00 
420219139,ACUTRAK FIXATION SCREW 6/7 ALL," $1,644.00 "
420220065,BLEDSOE BRACE BOOT," $1,011.00 "
420220068,ANKLE BRACE, $726.00 
420220081,WALKER EQUALIZER," $1,019.00 "
420220092,CATH FOLEY TRAY, $237.00 
420220096,CATH HICKMAN SINGLE LUMEN," $2,426.00 "
420220102,CATH PERITONEAL CURLED," $1,207.00 "
420220176,LR 1000 7953-09, $9.00 
420220445,SUCTION SIGMOIDOSCOPIC, $36.00 
420222016,ASC PLDS," $2,638.00 "
420225271,BIO CORKSCREW ARTHREX," $1,333.00 "
420230011,BONE WAX, $105.00 
420230018,BLOOD SET (MCGRAW), $246.00 
420230028,FLEXISPLINT INSERT FOAM, $157.00 
420230103,ATHLETIC SUSPENSORY, $137.00 
420230270,PEDI AMBU BAG, $561.00 
420233010,GUIDEWIRE SENSOR ALL, $187.00 
420233011,STENT URETERAL POLAR ALL, $686.00 
420235770,TRIAL LEAD ST JUDE PAIN STIM," $3,150.00 "
420235771,ST JUDE LEAD PAIN STIM (ALL)," $11,421.00 "
420235772,GENERATOR IPG EON MINI RECHRG," $30,748.00 "
420235773,GENERATOR IPG EON RECHRGBLE," $29,565.00 "
420235774,GENERATOR IPG EON C NONRECHRG," $28,383.00 "
420235775,GENERATOR IPG GENESIS 8 CHANNL," $25,534.00 "
420235777,PATIENT PROGRAMMER EON," $2,258.00 "
420240035,"SOLUTION, LR 3000CC", $19.00 
420246207,TRISTAPLER 60 PURPLE ENDO," $1,169.00 "
420246208,TRISTAPLER 60 TAN ENDO," $1,120.00 "
420246209,TRISTAPLER 45 PURPLE ENDO, $832.00 
420246210,TRISTAPLER 45 TAN ENDO, $796.00 
420249000,CATH LINK IMPLANTED PORT," $7,920.00 "
420250048,GUIDE WIRES, $360.00 
420250221,ARTHREX FASTAK ANCHOR 2.8MM, $668.00 
420250522,CATH BALLOON URETHRAL," $1,210.00 "
420251106,ESSURE IMPLANT," $3,892.00 "
420253148,BONE FROZEN PATELLAR TENDON," $7,132.00 "
420253149,BONE FROZEN PATLLR TNDN PREFRM," $7,616.00 "
420253158,SLING GRAFT," $3,082.00 "
420253176,IMPLANT ESSURE," $4,204.00 "
420253216,BARDPORT IMPLANTED X-PORT," $1,636.00 "
420253306,SLEEVE, $133.00 
420253308,SLEEVE, $27.00 
420253404,PAIN PUMP ON Q IMPLANT, $791.00 
420253406,ARTHREX PUSH LOCK," $1,535.00 "
420253424,ARTHREX BIO PUSH LOCK," $1,535.00 "
420253430,MESH PARIETEX 6X4, $476.00 
420253436,CATH HEMOSPLIT," $1,739.00 "
420253446,MESH 3D MAX LARGE," $1,025.00 "
420253448,GYNEMESH," $1,581.00 "
420253454,LIGASURE IMPACT INSTRMNT," $2,191.00 "
420253462,SLING MALE URINARY," $11,239.00 "
420253468,MESH ULTRAPRO SMALL, $707.00 
420253470,MESH ULTRAPRO MEDIUM, $772.00 
420253472,MESH ULTRAPRO LARGE," $1,031.00 "
420253474,LAP BAND KIT," $7,553.00 "
420253475,BONE ACHILLES TENDON," $5,307.00 "
420253523,GRAFT HEPARIN TW 60X80 RR," $2,735.00 "
420253524,PLUG FISTULA RECTO-VAG," $3,148.00 "
420253544,SLING SOLYX," $3,600.00 "
420253546,GRAFT HEPARIN TX 8X50," $4,754.00 "
420260028,"SCREW, CORTICAL", $186.00 
420260042,HEMOVAC MED-LG, $221.00 
420260045,HEMOVAC EVACUATORS, $211.00 
420260054,PIN K-WIRE PLAIN, $47.00 
420260085,PIN K-WIRE THREADED, $189.00 
420260155,JACKSON PRATT RESERVOIR, $134.00 
420260156,J-P SUCTION DRAIN, $266.00 
420260214,B.S.S. PLUS IRRIG FOR EYES, $85.00 
420260230,PLATE STANDARD ECT, $944.00 
420260393,PLATE SYNTHES 241, $706.00 
420260402,OXYGEN TRANSDUCER DISP., $385.00 
420260426,STAPLES 35W DISP, $209.00 
420260663,SCREW HEBERT," $2,432.00 "
420260672,CATH CHOLEY TAUT, $189.00 
420279221,SOL D5W 150CC, $80.00 
420279829,SOL RINGERS INJ 1000, $80.00 
420279909,SOL STERILE H2O 1000, $80.00 
420289925,"SUCTION, RECTAL", $70.00 
420289960,REUTER BOBBIN TUBE, $227.00 
420289980,"SIGMOIDOSCOPE, DISPOSABLE", $70.00 
420289985,"MARLEX MESH, SMALL SHEET"," $3,033.00 "
420298000,HEMOCLIP GUN AND CLIPS, $31.00 
420298002,"DRAPE, BILATERAL EXTREMITY", $299.00 
420298004,NEUROSTIMULATOR CABLE CONNECT, $903.00 
420298006,BONE FROZEN SEMI-TENDINOUS," $3,178.00 "
420298008,ARTHREX BIO SCREW," $1,443.00 "
420298010,ARTHREX IMPLANT SUTURE, $162.00 
420298012,INTRODUCER SHEATH, $260.00 
420298014,MESH VETRALEX SMALL," $1,651.00 "
420298016,MESH PROLENE, $852.00 
420298018,TRIAL CATHETER THERACATH, $96.00 
420298020,NEEDLE SUTURE DBL-ARMED LONG, $226.00 
420298022,HANDPIECE SHARPSHOOTER DISP, $705.00 
420299920,SCREW KURASAKA," $2,536.00 "
420299928,ELECTRODE LOOP 90 DEGREE DEEP," $1,120.00 "
420299937,ENDOCATCH," $2,387.00 "
420299950,"EYE LENS,CATARACT"," $1,604.00 "
420299952,"IOL, S-R", $912.00 
420299958,MENISCUS MENDER," $1,612.00 "
420299976,MC GHAN BREAST IMPLANT STYLE 4," $9,676.00 "
420299978,KIT RIGIDFIX FEMORAL," $1,439.00 "
420299980,SCREW INTRAFIX, $902.00 
420299981,BIO-SUTURE TAK SUTURE ANCHOR," $1,196.00 "
420299982,BIOZIP ANCHOR, $885.00 
420299984,BONE ACHILLES," $4,274.00 "
420299986,ARTHREX CANNULA, $452.00 
420299988,SYNTHES PIN TITANIUM, $192.00 
420299990,SYNTHES  PLATE DISTAL RADIUS," $2,024.00 "
420299992,SYNTHES SCREW 2.4MM, $236.00 
420299994,SYNTHES SCREW CORTICAL, $179.00 
420299995,NEUROSTIMULATOR - RECHARGEABLE," $33,054.00 "
420299996,NEUROSTIMULATOR PROGRAMER," $3,385.00 "
420299997,NEUROSTIMULATOR EX RECHARGER," $5,801.00 "
420299998,NEUROSTIMULATOR LEAD," $5,363.00 "
420299999,NEUROSTIMULATOR COIL EXTENSION," $2,637.00 "
420300500,PMC GEL ONE HYALURONATE 30 mg, $621.00 
420303000,EKG TRACING ONLY, $218.00 
420320550,PMC INJ SNGL TENDON SHTH/LIGMT," $2,636.00 "
420320552,PMC TRIGGER PT 1-2 MUSCLES," $2,847.00 "
420320553,PMC TRIGGER PT 3+ MUSCLES," $2,843.00 "
420320605,PMC DRAIN/INJ FNT/BURSA WO US," $2,847.00 "
420320610,PMC DRAIN/INJ JNT BURSA," $2,843.00 "
420327096,PMC INJ SACROILIAC JNT TX," $2,847.00 "
420350100,RECOVERY ROOM (MINUTES), $29.00 
420362320,PMC INJ INTERLAMINAR CRV/THRC," $2,843.00 "
420362321,PMC INJ INTRLMNR CRV/THRC IMAG," $2,843.00 "
420362322,PMC INJ INTERLAMINAR LMBR/SAC," $2,843.00 "
420362323,PMC INJ INTRLMNR LMR/SAC IMAG," $2,843.00 "
420363650,PMC IMPLANT NEUROSTIM EPIDURAL," $14,477.00 "
420364479,PMC INJ TRASFRMNL C/T," $2,847.00 "
420364480,PMC INJ TRASFRMNL C/T EA ADDL, $631.00 
420364483,PMC INJ L/S LVL 1 W/IMG," $2,847.00 "
420364484,PMC INJ L/S EA ADD LVL W/IMG, $189.00 
420364490,PMC INJ FACET C/T 1 LVL W/IMG," $2,847.00 "
420364491,PMC INJ FACET CT 2 LVL W/IMG, $189.00 
420364492,PMC INJ FACET C/T 3+LVL W/IMG, $189.00 
420364493,PMC INJ FACET L/S 1 LVL W/IMG," $2,847.00 "
420364494,PMC INJ FACET L/W 2 LVL W/IMG, $189.00 
420364495,PMC INJ FACET L/S 3+LVL W/IMG, $189.00 
420364520,PMC INJ CERV/THORACIC," $3,162.00 "
420364633,PMC RFA CERV/THOR 1ST JNT," $3,850.00 "
420364634,PMC RFA CERV/THOR EA ADDL JNT, $875.00 
420364635,PMC RFA LUMB/SACRL 1ST JNT," $3,850.00 "
420364636,PMC RFA LUMB/SACRL EA ADDL JNT, $875.00 
420364640,PMC INJ NEURO AGNT PERIPH," $3,162.00 "
420364650,PMC CHEMODENERV ECCRINE GLAND," $2,847.00 "
420364999,PMC UNLISTED SERVICE NRVS SYS," $2,636.00 "
420377002,PMC FLUORO NDL LOCALIZATION, $540.00 
420380180,PMC OMNIPAQUE 180 PER ML, $5.00 
420380240,PMC OMNIPAQUE 240 PER ML, $5.00 
420390784,IV INJECTION, $153.00 
420390785,IV INJECTION ADD'L SEQUENTIAL, $153.00 
420399926,CONSULTATION PHYSICIAN VISIT, $142.00 
420400191,I-STENT INITIAL INSERT," $6,000.00 "
420400376,I-STENT EA ADDL INSERTION," $1,500.00 "
420401312,IOL STANDARD, $561.00 
420401313,IOL RESTOR, $895.00 
420401314,IOL TORIC, $495.00 
420401316,IOL CLEAR MONO ZCB, $623.00 
420401317,IOL SYMFONY MULTIFOCAL, $895.00 
420401318,IOL SYMFONY TORIC, $985.00 
420401319,IOL TECNIS MULTIFOCAL, $895.00 
420401320,IOL ACTIVE FOCUS, $895.00 
420466711,CILIARY ENDOSCOPIC ABLATION," $2,500.00 "
420466850,PHACOEMULSIFICATION W/ ASPIR," $3,600.00 "
420466982,CATARACT STG 1 COMPLX W/ IOL," $3,600.00 "
420466984,CATARACT STG 1 W/ IOL," $3,600.00 "
421040001,ANES-SPINAL," $1,265.00 "
421040002,ANES-REGIONAL NERVE BLOCK, $983.00 
421040003,ANES - LOCAL ANESTHETIC, $904.00 
421040005,ANES-MONITORED ANES CARE, $983.00 
421040030,ANES-GENERAL ANESTHESIA (MINUT, $27.00 
429600460,AUTOLOGOUS PRP 4 ULCERS-TRIAL," $1,010.00 "
429600510,APLIGRAF/ALLOGRAFT PR SQ CM, $87.00 
429600520,APLIGRAF/ALLOGRAFT WASTE PRSQC, $87.00 
429600530,DERMAGRAFT PER SQ CM, $108.00 
429600550,OASIS PER SQ CM, $38.00 
