CDM Number,GENL-DESC,Price-1
544912,SCRW CANC 4.0MM DI HEX PT,52.00
544942,SCRW CANC 6.5MM DI HEX PT 65MM,110.00
544943,ANCHOR/SCREW BN 6.5 CANC%,110.00
544981,SCREW CANC TIT PT 4.0X14MM L,54.00
544982,SCREW CANC TIT PT 4.0X16MM L,54.00
544991,SCREW CANC TIT PT 4.0X40MM L,54.00
544992,SCREW CANC TIT PT 4.0X45MM L,54.00
544993,SCREW CANC TIT PT 4.0X50MM L,59.00
544998,SCRW CAN 7.3MM DIA16MM TRD 105,403.00
545010,SCRW CANN 7.3MM DI 16MM TRD 85,366.00
545012,SCRW CANN 7.3MM DI 16MM TRD 95,366.00
545013,SCRW CAN 7.3MM DI 32MM TRD 100,403.00
545014,SCRW CAN 7.3MM DI 32MM TRD 105,366.00
545016,SCRW CAN 7.3MM DI 32MM TRD 115,403.00
545029,SCRW CANN 7.3MM DI 32MM TRD 95,366.00
545043,SCRW CANN FUL TRD 3.5MM DIA 42,363.00
545061,SCRW CANN PART TRD 3.5MM DI 48,363.00
545074,SCREW CORT 2.7MM DIA HEX 16MM,52.00
545095,SCRW CORT 4.5MM DI LG HEX 24MM,52.00
545096,SCRW CORT 4.5MM DI LG HEX 28MM,52.00
545097,SCRW CORT 4.5MM DI LG HEX 30MM,52.00
545098,SCRW CORT 4.5MM DI LG HEX 32MM,75.00
545099,SCRW CORT 4.5MM DI LG HEX 36MM,52.00
545100,SCRW CORT 4.5MM DI LG HEX 38MM,47.00
545101,SCRW CORT 4.5MM DI LG HEX 40MM,52.00
545102,SCRW CORT 4.5MM DI LG HEX 42MM,52.00
545103,SCRW CORT 4.5MM DI LG HEX 44MM,52.00
545104,SCRW CORT 4.5MM DI LG HEX 46MM,52.00
545106,SCRW CORT 4.5MM DI LG HEX 50MM,47.00
545108,SCRW CORT 4.5MM DI LG HEX 54MM,52.00
545109,SCRW CORT 4.5MM DI LG HEX 56MM,47.00
545113,SCRW CORT 4.5MM DI LG HEX 64MM,52.00
545114,SCRW CORT 4.5MM DI LG HEX 66MM,47.00
545116,SCRW CORT 4.5MM DI LG HEX 70MM,47.00
545118,SCRW CORT 4.5MM DI LG HEX 76MM,82.00
545120,SCRW CORT 4.5MM DI LG HEX 85MM,82.00
545136,SCRW CORT TT 2.0MM DI X-SLT 14,110.00
545143,SCRW CORT TT 2.4MM DI S-TAP 14,170.00
545148,SCRW CORT TT 2.4MM DI S-TAP 32,188.00
545157,SCRW C-TT 3.5MM D HEX SPH 24MM,52.00
545158,SCRW C-TT 3.5MM D HEX SPH 26MM,52.00
545159,SCRW C-TT 3.5MM D HEX SPH 28MM,52.00
545161,SCRW C-TT 3.5MM D HEX SPH 32MM,52.00
545162,SCRW C-TT 3.5MM D HEX SPH 38MM,57.00
545168,SCRW CORT TIT 2.7MM DI HX 14MM,118.00
545169,SCRW CORT TIT 2.7MM DI HX 16MM,118.00
545173,SCRW CORT TIT 2.7MM DI HX 24MM,118.00
545250,WASHR TIT 7.0MM FOR SM TIT SCR,76.00
545286,PLATE TIT ADAPTION,950.00
545287,PLATE RECON LOCK,"1,321.00"
545296,SCREW CANN 4.5MMX26MM,366.00
545297,SCREW CANN 4.5MMX28MM,366.00
545298,SCREW CANN 4.5MMX30MM,403.00
545321,SCREW CANN 4.5MMX32MM,366.00
545322,SCREW CANN 4.5MMX34MM,366.00
545323,SCREW CANN 4.5MMX36MM,403.00
545324,SCREW CANN 4.5MMX38MM,403.00
545334,SCREW CANN 4.5MMX60MM,403.00
545422,TAP CANN FOR 3.5MM CANNUL SCRE,725.00
545426,TAP FOR 2.4 MM DIA SCREW LNG,299.00
545427,TAP FOR2.7MM CORT SCREW 100/33,210.00
545428,TAP 3.5MM CORT SCREW GLD110/50,210.00
545429,TAP 3.5M COR SCREW GLD 180/110,210.00
545430,TAP FOR4.0MM CANC SCREW 110/60,210.00
545432,TAP FOR6.5MM CANC SCREW 196/25,366.00
545615,BLADE LARYN AIRWAY RAD,664.00
545717,"PIN STEINMN STY 6 7/64"" DIA 9""",22.00
545731,STAPLER ENDO TIT MULTI GIA30-2,977.00
545738,KIT GASTROS MIC-KEY SL 14F 1.2,349.00
545739,KIT GASTROS MIC-KEY SL 14F 0.8,349.00
545740,BAG SILO VENTRAL WALL DEFECT 3,529.00
545742,BAG SILO VENTRAL WALL DEFECT10,529.00
545749,PROTACKER ENDO 5MM,"1,120.00"
545750,"MESH SURGIPRO 3"" X 5""",94.00
545804,TRANS VAG.TAPE(TVT) # 810041,"2,494.00"
545818,"FLOW PROBE, DOPPLER DP-SDP001",659.00
545863,MIC GASTROSTOMY TUBE,"1,369.00"
545884,ENDOPATH INTRALUMINAL STAPLER,940.00
545885,FLEX-ENDOSCOPIC ART LINEAR CUT,641.00
545926,SCREW VARIA ANGLE ST 4X13,350.00
545928,AT SLF-TAP SCR VA 4.0 X 15MM T,366.00
545929,AT SLF-TAP SCR VA 4.0 X 16MM T,366.00
545930,AT SLF-TAP SCR VA 4.0 X 17MM T,366.00
545931,AT SLF-TAP SCR VA 4.0 X 18MM T,366.00
545939,ATL SCR FIX ANGLE 4.0 X 14MM T,403.00
545940,ATL SCR FIX ANGLE 4.0 X 15MM T,366.00
545941,ATL SCR FIX ANGLE 4.0 X 16MM T,403.00
545942,ATL SCR FIX ANGLE 4.0 X 17MM T,366.00
545943,ATL SCR FIX ANGLE 4.0 X 18MM T,403.00
545945,ATL SCR FIX ANGLE 4.0 X 20MM T,403.00
545988,ATLAS SINGLE CABLE INTEG CRMP,444.00
545994,ATLTIS CAN SCR VA 4.0 X 15MM T,366.00
545995,ATLTIS CAN SCR VA 4.0 X 16MM T,366.00
545998,ATLTIS CAN SCR VA 4.0 X 19MM T,366.00
546104,DBS LEAD KIT,"4,855.00"
546142,STAINLESS STEEL STRAIGHT CONNE,201.00
546207,UCSS CAN CORT SCR 4.0 X 34MM T,366.00
546208,UCSS CAN CORT SCR 4.0 X 36MM T,403.00
546209,UCSS CAN CORT SCR 4.0 X 38MM T,403.00
546210,UCSS CAN CORT SCR 4.0 X 40MM T,366.00
546340,CAROTID SHUNT,110.00
546436,CLIP APPLIER W/REUSE HANDLE,"2,798.00"
546452,"EEA, 28 STAINLESS STEEL DLU",809.00
546594,MF ENDO TA 60-2.5 15MM STAPLER,716.00
546654,"MULTFIRE ENDO GIA, 60-2.5 STPL",716.00
546704,ORG PDB STERILE BALOON-RND SHA,840.00
546793,PRE PL CEEA 25 INSTR. W/TILT-T,"1,355.00"
546794,PRE PL CEEA 28 INSTR. W/TILT-T,"1,910.00"
546849,"ROTICULATOR, 55-4.8 TI STAPLER","1,205.00"
546936,"SURGIPRO 6"" X 6"" MONOFIL MESH",210.00
546943,"SURGIPRO, 3"" X 5"" MONOFIL MESH",174.00
547091,GORETEX VASCULAR GRAFT,"2,712.00"
547121,URET STNTKIT DBL 4.5F8CM#56045,306.00
547122,URET STNTKIT DBL4.5F10CM#56045,306.00
547123,URET STNTKIT DBL4.5F12CM#56045,306.00
547130,URET STNTKIT DBL 6FR24CM#56060,306.00
547194,CATH NEPHR 12FRX25CM#27-181,265.00
547215,FORC URETEROSCOPIC#505-160,781.00
547222,MAXM PEDI OPEN HEART PK#CVP109,656.00
547324,PROGRAM. NEUROSTIMULATOR 7426,"15,949.00"
547395,ALLIGATOR FORCEPS #210320,928.00
547425,KITGASTR.MIC 16F 2.5#0120-16-2,332.00
547433,DUALMESH PLUS8CMX12CMX1#1DLMCP,"1,552.00"
547434,DUALMESHPLUS10CMX15CMX1#1DLMCP,979.00
547435,DUALMESHPLUS15CMX19CMX1#1DLMCP,"1,816.00"
547436,DUALMESHPLUS18CMX24CMX1#1DLMCP,"2,740.00"
547437,DUALMESHPLUS20CMX30CMX1#1DLMCP,"3,808.00"
547439,DUALMESHPL 7.5CMX10CMX1#1DLMCP,674.00
547460,GRAFT VAS ADV STD 6X40#22612,"1,241.00"
547464,HEMASHIELD GOLD 8X100 #095588,"1,987.00"
547473,GRAFT S/WRINGED 20X30#R2003003,"1,999.00"
547519,"SHEARS, CRV PISTOL HANDLE 15X3",833.00
547520,"SHEARS,CRV PISTOL HANDLE 15X23",833.00
547523,"SHEARS,CRV SCISSOR HANDLE 15X1",833.00
547553,CATH PORT-A-CATH 6FR#21-4083,647.00
547554,PORT INDWELLING IMPL CATH 8FR,"1,052.00"
547593,VG2 RAMP911 HUMAN TISS.0011280,"3,022.00"
547594,VG2 RAMP913 HUMAN TISSUE,"3,022.00"
547595,VG2 RAMP1113 HUMAN TISSUE,"3,022.00"
547624,FLO-COIL SHUNT 1.50MM #0F-1500,332.00
547625,FLOCOIL SHUNT OF2000  2.00,332.00
547689,BIOGLUE SURG.ADHES#BG3010-5-US,"1,622.00"
547690,BIOGLUE STD.APPLIC TIP#BGAT-UD,"1,573.00"
547693,"DURAGEN 2""X 2"" ID2205",384.00
547694,"DURAGEN 4""X5"" ID4501","2,832.00"
547701,CRYOLIFE PULMON VALVE & CONDUI,"17,817.00"
547727,BELZERS SOL BARR LAB #0046-06,670.00
547774,HUTSON RUSSEL WHIPPLE PACK 638,"2,004.00"
547784,700 RESERVOIR 100 ML# 72401477,"2,067.00"
547787,700 ACCESSORY KIT  72401685,"1,062.00"
547798,"WASHER,LOCKING 10MM",72.00
547819,AORTIC VALVE GRAFT # 25CAVG-40,"11,921.00"
547864,FLO-COIL 2.25MM #OF-2250,262.00
547866,SHUNT CV 2.75MM COR SRG REM,243.00
547867,FLO-COIL SHUNT 3.00MM# OF-3000,262.00
547871,FLO-COIL 1.75MM #OF-1750,250.00
547879,BOVINE PERICARD 8X14#PC-0814SN,879.00
547890,BOVINE PERICARD 10X16#PC-1016S,965.00
547895,GORTEX STND 24X40 #SA2404,"2,005.00"
547903,GORT SFT TIS PATCH 20X30X2 #13,"6,405.00"
547906,GORTEX REICARDIAL PATCH #IPCM1,"1,383.00"
547907,GORTEX VASC GRFT THN WALL #VT3,806.00
547927,LIGASURE LAPARASCOPIC LS1000,768.00
547982,SCREW 2.4MM X12MM  401.512,196.00
547993,"SUTURE, DR.FRANCHESCI PACK 638","2,470.00"
548001,"SUTURE,BASIC GENERAL PACK 6607",993.00
548028,HAKIM PROGRAM VALVE #82-3834,"5,381.00"
548029,MICRO FLOW PROBE3MM#HQN3MB,"1,197.00"
548034,PS MEDTRON CHAN SCOPE  2233-00,"2,246.00"
548063,MICROFLOW PROBE 2MM#HQN2MB,"1,197.00"
548064,MICRO FLOW PROBE1.5MM#HQN1.5MB,"1,197.00"
548066,SPETZ.LUMB.PERITSHUNT#NL850-72,936.00
548101,MICROFIBRILLAR COLLAGEN# 1985,196.00
548111,ALLOGRAFT CORTICAL POWDER 40CC,927.00
548113,ALLOGRAFT CANCEL. CUBES 10CC,349.00
548114,ALLOGRAFT CANCEL. CUBES 20CC,349.00
548115,ALLOGRAFT CANCEL. CUBES 40CC,927.00
548122,ALLOGRAFT CANC.MORSELLIZED 40C,927.00
548123,ALLOGRAFT CORTICAL POWDER 20CC,349.00
548131,ALLOGRAFT CORT.CUBES 40CC,"1,020.00"
548143,ALLOGRAFT DURA MATER MEDIUM,"1,832.00"
548148,PULMONARY VALVE ALL SIZES,"21,164.00"
548152,"DISC,LAP LD111","1,125.00"
548156,"MESH,PROLENE SOFT 6 X 6 SPMH",421.00
548157,"MESH,PROLENE 3 X 6  PMII",162.00
548158,"MESH,PROLENE 1.8 X 4  PMSK",189.00
548194,"STENT,BILLIARY 10FR X 5CM 4560",365.00
548201,ALLODERM 151-200 SQCM # 10151,"3,719.00"
548208,ACCUTRAK SCREW AT-1200-S,682.00
548219,VENTRICULAR LEAD 4092-58,"1,920.00"
548250,URET STENT DBL PGT 6X22 560602,223.00
548253,WASHER 2 X 14MM,243.00
548254,ALLODERM 3 X 7 102021,"1,151.00"
548262,SLIMLINE 365 MIC HOLMIUM 840-8,930.00
548269,GRAFT GORE-TEX RGED THIN,"1,136.00"
548300,BILIARY STENT 7FRX X 5CM,332.00
548306,"CATHETER,LUMBOPERITONEAL 44410",930.00
548339,"RIB,WHOLE 1256",604.00
548353,OSTEOSET BVF 8400-0211,"1,604.00"
548355,ET TUBE 7.0MM 82-29307,658.00
548356,ET TUBE 8.0MM 82-29308,603.00
548357,ET TUBE 6.0MM 82-29306,658.00
548380,"BONE,TAMP INFLATE 15/3K02A","2,409.00"
548384,"KIT, KYPHOPAK 15/3 1ST FXKP150","8,752.00"
548385,"KIT,KYPHOPAK 15/3, ADDFX KP150","5,952.00"
548392,MINI QUICK ANCH PLUS0 SUT21213,849.00
548534,"SCREW,2.4MM EMG STR X 6 401.38",136.00
548541,"SCREW,2.4MM CORT.X 6MM 401.506",178.00
548709,"PLATE,2.0MM MINI LK MAL 447.04",332.00
548711,"PLATE,2.0MM MINI LK NARR 447.0",483.00
548714,"PLATE,2.0MM MINI LK TENS 447.0",604.00
548715,"PLATE,2.0MM MINI LK BROAD447.0",373.00
548716,"PLATE,2.0MM MIN LK BR CV 447.0",595.00
548726,"PLATE,2.0MM INT LK 12 HO 447.1",866.00
548728,"PLATE,2.0MM LG LOCK 6HO 447.10",934.00
548813,"PLATE,LOCK RECON COND RT 449.6","2,755.00"
548821,NEPHROURETERAL STENT 8X26 22-1,289.00
548822,NEPHROURETERAL STENT 8X28 22-1,318.00
548848,NEPHROURETERAL STENT 8X2422-13,289.00
548879,"SCREW, 2.0MM X 32401.832",128.00
548882,"SCREW,4.0MMX20 CANC.206.020",55.00
548884,"SCREW,4.0MMX24 CANC.206.024",61.00
548891,"SCREW,4.0MMX40 CANC.206.040",55.00
548892,"SCREW,4.0MMX45 CANC.206.045",55.00
548893,"SCREW,4.0MMX50 CANC.206.050",55.00
548904,"ROD,CARBON 4.0MMX60MM 395.60",109.00
548922,"ROD,CARBON 8.0MMX240MM 395.786",365.00
548929,"ROD,CARBON 3.0MMX75MM 395.111",109.00
548940,"SCREW,CANN 32X140MM 209.940",365.00
548942,"SCREW,CANN 32X150MM 209.950",365.00
548971,"WIRE,KIRSCHNER 1.25X150 292.12",26.00
548972,"WIRE,KIRSCHNER 1.6X150 292.16",207.00
548976,"SCREW,TI CANCELL 4.0X60 406.06",57.00
549041,"CLIP,ANEURYSM07-940-10",617.00
549091,"KIT,LAP NEPHRECTOMY00Z1103","3,210.00"
549102,SEALERLS1100,817.00
549105,"STAPLER,HEMMORH 33MMPPH01",849.00
549106,DURAGEN 2 X 2ID-2201,"1,071.00"
549124,"PERICARDIUM,PERIGUARD PC-0404S",493.00
549128,"KIT,KYPHOPAK 20/3 1ST FXKP2008","8,829.00"
549139,"PROBE,ABLATION102006-02","6,393.00"
549146,STNT BILI DSYS 7FR X 7CM4556,228.00
549147,"STENT,BILIARY 10FR X 7CM4561",332.00
549153,"CLIP,FILSHEAVM-851J",189.00
549161,"STENT, DOUBLE BILIARYZEBD 7-10",365.00
549162,"STENT, DOUBLE BILIARYZEBD 5-4",365.00
549163,"STENT, PANCREATICGEPD 5-3",365.00
549200,"CATHETER, INTRATHECAL8709","1,197.00"
549245,"STENT, BILLIARY 7X104557",231.00
549246,"STENT, BILLIARY 10X124563",332.00
549247,"STENT, BILLIARY 10X104562",332.00
549267,"PLATE, MICRO 1.5X0.625-015-04",332.00
549280,"SET,SPIRAL PERIT DIALY231084",365.00
549298,"PLATE, 8 HOLE223.581",659.00
549299,"PLATE, 9 HOLE223.591",540.00
549300,"PLATE, 10 HOLE 223.601",696.00
549301,"PLATE, 12 HOLE223.621",790.00
549302,"PLATE, 14 HOLE223.641",664.00
549308,"LT-PLATE, 4 HOLE241.941",436.00
549311,"T-PLATE, 3HOLE241.131",332.00
549313,"T-PLATE, 7HOLE241.171",774.00
549315,"T-PLATE, 6HOLE241.161",619.00
549316,"PLATE, 1/3 TUBULAR 5 HO241.351",332.00
549317,"PLATE, 1/3 TUBULAR 6 HO241.361",332.00
549318,"PLATE, 1/3 TUBULAR 7 HO241.371",332.00
549319,"PLATE, 1/3 TUBULAR 8 HO241.381",332.00
549320,"PLATE, 1/3 TUBULAR 10 HO241.40",332.00
549321,"PLATE, 1/3 TUBULAR 12 HO241.42",365.00
549323,"PLATE, RECON 6 HO245.061",744.00
549324,"PLATE, RECON 7 HO245.071",866.00
549325,"PLATE, RECON 8 HO245.081",817.00
549328,K-WIRE  1.25MM292.12,29.00
549329,K-WIRE  1.6MM292.71,52.00
549330,K-WIRE  2.0MM292.20,26.00
549333,"SCREW, LOCKING 14212.103",232.00
549336,"SCREW, LOCKING 20212.106",250.00
549337,"SCREW, LOCKING 22212.107",250.00
549338,"SCREW, LOCKING 24212.108",250.00
549339,"SCREW, LOCKING 26212.109",250.00
549340,"SCREW, LOCKING 28212.110",250.00
549343,"SCREW, LOCKING 34212.113",250.00
549344,"SCREW, LOCKING 36212.115",250.00
549345,"SCREW, LOCKING 38212.116",250.00
549346,"SCREW, LOCKING 40212.117",250.00
549347,"SCREW, LOCKING 45212.119",250.00
549348,"SCREW, LOCKING 50212.121",250.00
549349,"SCREW, LOCKING 55212.123",250.00
549350,"SCREW, LOCKING 60212.124",250.00
549358,"K-WIRE, .062186-03-69",25.00
549359,"K-WIRE, .045186-02-69",25.00
549360,"K-WIRE, .035186-01-69",25.00
549361,"PIN, STEINMAN 1/8187-04-69",35.00
549362,"PIN, STEINMAN 9/64187-05-69",40.00
549363,"PIN, STEINMAN 3/16187-07-69",36.00
549364,"K-WIRE, THREADED .062262-08-04",67.00
549382,"VALVE, STRATA REGULAR42865","8,077.00"
549383,"VALVE, STRATA SMALL42855","8,077.00"
549394,"CLIP, ANEURYSM 201764","1,224.00"
549533,SOFT TISSUE PATCH #1CVX003,349.00
549534,SOFT TISSUE PATCH #1CVX002,349.00
549603,32FR  ATRIAL CANN0506-0032-1AT,"1,343.00"
549629,OUTFLOW GRAFT  CONDUIT1020,"2,301.00"
549633,TTEC PVAD 14086-2550-000,"40,700.00"
549640,VENTRICULAR CANN 14116-2564-00,"6,815.00"
549650,"IMMOBILIZER, LG KNEE0814-2493",106.00
549697,"X-PORT ,6FR W/CHROMOFLEX 06058","1,383.00"
549702,"CATH SET,TENCKNOFF9.5FR 223253",269.00
549720,"SUT, CABG PKV-3687",522.00
549729,"PUTTY, FAST SET 3CC613.03.01S","1,636.00"
549730,"PUTTY, FAST SET 5CC613.05.01S","2,737.00"
549741,"KIT, LAP CHOLE00C9018","1,285.00"
549743,TISSUE EXPANDER350-4301M,"1,100.00"
549758,"KIT, SNARE 25MM GN2500",556.00
549780,VNS TUNNELER 402,632.00
549836,"MESH,PROLENE PRESHAP LG PMLK",289.00
549931,GRAFT VASCULAR 8MM X 110CMSAX0,"4,670.00"
549934,BLADE SUR S 180 DEG #376900,904.00
549953,OSTEOSET FAST CURE8400-0311,"1,808.00"
549957,ALLODERM  102009,289.00
560022,"3/16"" ISOLA MOD CR CON J-HK TI",345.00
560060,"BONE SCREW, 3.50X10MM, TI",251.00
560061,"BONE SCREW, 3.50X12MM, TI",251.00
560082,"BONE SCREW, 3.50X8MM, TI",251.00
560222,SCREW ER 4MM,212.00
560224,SCREW ER 5MM,212.00
560260,"MESH, 10MM ROUND 50MM HGT","4,698.00"
560524,"PEAK 3.00MM ROD, 120MM ROD, TI",384.00
560526,"PEAK 3.00MM ROD, 70MM ROD, TI",365.00
560732,VSP SAC SCR STD 8.50MM X 50MM,"1,182.00"
560822,LP PLAT Z-SHAPE LEFT LONG 0.6M,384.00
560824,"LP PLAT, L-SHAPE, RT, LONG, .6",384.00
560825,"LP PLAT, L-SHAPE, RT, MDM, .6M",384.00
560828,"LP PLAT, STR, 16 HOLE, .6MM",321.00
560840,MESH SML GRID 85MM X 50MM .3MM,"1,597.00"
560841,MESH STRIP 6X2 HOLE RIGID BLUE,384.00
560844,MIC PLAT L-SHAPE 100 LEFT LG 3,378.00
560846,MICR PLAT STRGHT 4 HOLE REGULA,220.00
560847,MICR PLAT STRGHT 6 HOLE REGULA,231.00
560848,MICR PLAT STRGHT 8 HOLE REGULA,307.00
560857,"MICRO BONE PLATE, ST, 4 HOLE",215.00
560863,MICRO PLAT DBL Y-SHAPE REGULAR,384.00
560865,"MICRO PLAT, L-SHAPE, LEFT, LON",378.00
560866,"MICRO PLAT, L-SHAPE, LEFT, MDM",378.00
560869,"MICRO PLAT, ORBITAL, 10 HOLE",344.00
560873,"MICRO PLAT, STRAIGHT, 4 HOLE M",220.00
560877,"MICRO PLAT, Y-SHAPE",378.00
560878,"MICRO PLATE, ST, 2 HOLE LONG",116.00
560890,"MINI PLATE, 4 HOLE LONG",163.00
560891,"MINI PLATE, 4 HOLE REGULAR",179.00
560920,-3D CON 6MM OFFSET 6.35MM RD T,"2,240.00"
560984,VASCULAR GRAFT GRP.,"3,105.00"
560985,SCREW MIDFACE MATRIX 4MM,214.00
560986,SCREW MIDFACE MATRIX 5MM,214.00
560987,SCREW MIDFACE MATRIX 6MM,214.00
560989,SCREW MIDFACE MATRIX 8MM,214.00
560990,SCREW MIDFACE MATRIX 10MM,207.00
561000,SCREW MIDFACE MATRIX 18MM,228.00
561004,1.3MM CRANIAL - SCREW-4MM,431.00
561009,PLT MESH MALLEA TI 1.3X100X100,"3,089.00"
561032,1.5MM RSB BURR H COVER/6 H-STR,384.00
561102,2.0MM SELF-DRILLING SCREW - 4M,349.00
561122,2.4MM TI CORTEX SCR SLF-TAP 34,411.00
561126,2.4MM TI LOCK SCR 10MM,251.00
561127,2.4MM TI LOCK SCR 12MM,251.00
561128,2.4MM TI LOCK SCR 14MM,848.00
561129,2.4MM TI LOCK SCR 16MM,251.00
561137,3.0MM TI LOCK SCR 12MM,"1,080.00"
561138,3.0MM TI LOCK SCR 14MM,"1,080.00"
561142,COUNTERSINK W/CENTERING PINS,696.00
561150,LOCK RECONS PLAT 44X 214MM/RIG,"2,087.00"
561159,TI LOCK RECON PLAT  ANG-3X3 HO,"1,328.00"
561160,TI LOCK RECON PLAT  ANG-4X4 HO,"1,302.00"
561162,TI LOCK RECON PLAT/44MMX214MM-,"2,087.00"
561164,TI LOCK RECONS PLAT/12 HOLE/96,"1,096.00"
561221,1.0MM CERCLAGE WIRE / EYE 280M,166.00
561227,1.25MM TI KIRSCHNER WIRE 150MM,191.00
561233,1.3MM TI T-PLAT/4 HOLE SHFT/32,384.00
561243,1.5MM TI ST PLAT 6 HOLE/29MM,342.00
561249,1.6MM TI KIRSCHNER WIRE 150MM,191.00
561250,1/3 TUB PLAT  COLLAR 3 HOLE/37,123.00
561253,1/3 TUB PLAT  COLLAR 7 HOLE/85,134.00
561255,135 DEG PLAT- 4 HOLE/78MM-,667.00
561258,1-THIRD TUB PLAT COLLAR 10 HOL,176.00
561265,2.0MM TI CORTEX SCR SLF-TAP 12,134.00
561266,2.0MM TI CORTEX SCR SLF-TAP 14,122.00
561267,ANCHOR/SCREW BN SLF TP 2.4X8,122.00
561269,2.0MM TI CORTEX SCR SLF-TAP 8M,134.00
561274,2.0MM TI LC-DCP PLAT 8 HOLE/48,349.00
561289,2.5MM KWIRE W/TROCAR POINT 285,200.00
561308,3.5MM CAN SCREW PARTIAL THR/34,345.00
561309,3.5MM CAN SCREW PARTIAL THR/36,380.00
561310,3.5MM CAN SCREW PARTIAL THR/38,380.00
561312,3.5MM CAN SCREW PARTIAL THR/46,345.00
561315,3.5MM CORTEX SCREW 110MM,62.00
561331,3.5MM CORTEX SCREW 80MM,62.00
561333,3.5MM CURVED RECONS PLAT 10 HO,407.00
561335,3.5MM CURVED RECONS PLAT 6 HOL,824.00
561336,3.5MM CURVED RECONS PLAT 8 HOL,883.00
561337,3.5MM DCP) PLATE 7 HOLES/85MM,285.00
561343,3.5MM PROX TIB PLAT 8 HOLE/LEF,"1,543.00"
561355,3.5MM RECONS PLAT 8 HOLE/94MM,356.00
561356,3.5MM RECONS PLAT 9 HOLE/106MM,364.00
561358,3.5MM TI CORTEX SCREW 12MM,50.00
561359,3.5MM TI CORTEX SCREW 14MM,51.00
561360,3.5MM TI CORTEX SCREW 16MM,51.00
561363,3.5MM TI CORTEX SCREW 22MM,51.00
561364,3.5MM TI CORTEX SCREW 24MM,56.00
561365,3.5MM TI CORTEX SCREW 26MM,56.00
561366,3.5MM TI CORTEX SCREW 28MM,56.00
561367,3.5MM TI CORTEX SCREW 30MM,56.00
561368,3.5MM TI CORTEX SCREW 40MM,51.00
561369,3.5MM TI CORTEX SCREW 45MM,51.00
561370,3.5MM TI CORTEX SCREW 50MM,51.00
561372,3.5MM TI LC-DCP PLAT 7 HOLE/90,312.00
561373,3.5MM TI LC-DCP PLT 8 HOLE/103,319.00
561378,4.0MM B1 SCR PARTIALLY THR/35M,45.00
561380,4.0MM CAN BONE SCR FUL THR/14M,43.00
561387,4.0MM TI B1 SCR PARTIAL THR/45,58.00
561388,4.0MM TI CAN B1 SCR FUL THR/10,58.00
561390,4.0MM TI CAN B1 SCR FUL THR/14,53.00
561391,4.0MM TI CAN B1 SCR FUL THR/16,53.00
561392,4.0MM TI CAN B1 SCR FUL THR/18,53.00
561393,4.0MM TI CAN B1 SCR FUL THR/20,53.00
561400,4.5MM CAN SCREW FULLY THR/28MM,349.00
561403,4.5MM CAN SCREW FULLY THR/42MM,384.00
561404,4.5MM CAN SCREW FULLY THR/44MM,384.00
561407,4.5MM CAN SCREW FULLY THR/50MM,349.00
561411,4.5MM CAN SCREW FULLY THR/60MM,349.00
561417,4.5MM CAN SCREW PARTIAL THR/42,349.00
561418,4.5MM CAN SCREW PARTIAL THR/44,349.00
561419,4.5MM CAN SCREW PARTIAL THR/46,349.00
561420,4.5MM CAN SCREW PARTIAL THR/48,349.00
561421,4.5MM CAN SCREW PARTIAL THR/52,349.00
561422,4.5MM CAN SCREW PARTIAL THR/54,349.00
561423,4.5MM CAN SCREW PARTIAL THR/56,349.00
561424,4.5MM CAN SCREW PARTIAL THR/60,349.00
561425,4.5MM CAN SCREW PARTIAL THR/68,384.00
561426,4.5MM CAN SCREW PARTIAL THR/72,349.00
561429,4.5MM CORTEX SCREW 26MM,37.00
561431,4.5MM CORTEX SCREW 30MM,37.00
561434,4.5MM CORTEX SCREW 36MM,37.00
561436,4.5MM CORTEX SCREW 40MM,37.00
561439,4.5MM CORTEX SCREW 46MM,37.00
561440,4.5MM CORTEX SCREW 48MM,37.00
561441,4.5MM CORTEX SCREW 64MM,37.00
561454,5.0MM SCHANZ SCR 80MM THRD/200,299.00
561455,5.0MM SCHANZ SCR POINT 200MM,200.00
561456,5.0MM SCHANZ SCR POINT 250MM,220.00
561459,6.0MM SCHANZ SCR DIA POINT 100,184.00
561462,7.3MM CAN SCREW 16MM THR/110MM,384.00
561464,ANCHOR/SCREW BN CANN SS THRD%,349.00
561468,7.3MM CAN SCREW 16MM THREAD/75,349.00
561469,7.3MM CAN SCREW 16MM THREAD/80,384.00
561470,7.3MM CAN SCREW 16MM THREAD/90,349.00
561472,7.3MM CAN SCREW 32MM THREAD/80,349.00
561473,7.3MM CAN SCREW 32MM THREAD/90,349.00
561478,90 DEG ADULT OSTE PLAT 70MM/20,762.00
561497,90-D LC-ANG BLD PLAT/8 HOLE/60,"1,182.00"
561498,95 DEG COND PLAT 12 HOLE/70/20,848.00
561503,95 DEG COND PLAT 9 HOLE/70/156,779.00
561509,95 DEG DCS PLAT 8 HOLE/146MM,"1,226.00"
561515,CALCANEAL PLATE 60MM,419.00
561516,CALCANEAL PLATE 70MM,474.00
561517,CALCANEAL Y-PLATE 87MM,474.00
561518,CAN TAP / 4.5MM CAN SCREWS/180,374.00
561532,DHS/DCS LAG SCR 12.7MM THR/90M,349.00
561545,TAP FOR 4.5MM CORTEX/SHAFT SCR,200.00
561552,TI 1/3 TUB PLAT  COL 7 HOLE/85,170.00
561553,TI 1/3 TUB PLAT  COL 8 HOLE/97,176.00
