OUTPATIENT SERVICES,Average Charge for each Outpatient Service
AFB STAIN,$69.50
"CULTURE, GC",$85.25
"CULTURE, UROGENITA",$140.50
"CULTURE, IVD",$140.50
ANA TITER/PATTERN,$132.00
LYME SCREEN,$130.00
"RSV ANTIGEN, EIA",$82.25
FSH,$179.50
LH,$210.50
PROLACTIN,$244.00
CRYPTOCOCCAL ANTIGEN,$84.50
MYOGLOBIN,$86.25
TROPONIN,$241.75
LEGIONELLA URINARY ANTIG,$311.00
"MICROALBUMIN, SEMIQUANT",$19.25
OSMOLALITY SERUM,$85.75
OSMOLALITY URINE,$85.75
FT4,$136.50
"URINALYSIS, NONAUTO W/MIC",$18.00
FETAL HEMAGLOBIN,$245.50
ESTRADIOL,$317.50
PROGESTERONE,$212.50
C-REACTIVE PROTEIN,$59.25
PREALBUMIN,$157.25
"CULTURE, GROUP B",$85.25
VALPROIC ACID,$155.50
ASSAY OF VANCOMYCIN,$206.75
GC PROBE AMP,$155.75
CHLAM PROBE AMP,$148.25
HEPATITIS B SURFACE ANTIBODY,$124.00
HEPATITIS B SURFACE ANTIGEN,$61.75
HEPATITIS C ANTIBODY,$85.75
SYPHILIS IGG,$80.25
BLOOD TYPE ABO,$73.25
BLOOD TYPE RH,$60.00
IRON BINDING,$54.50
BILIRUBIN DIRECT,$84.00
"GLUCOSE, FASTING",$71.75
KOH SMEAR,$52.25
VOLUME MEASUREMENT URINE,$17.00
AMYLASE FLUID,$124.75
CALCIUM URINE,$62.75
COOMBS DIRECT C3D,$75.25
CRYSTAL IDENTIFICATION,$45.75
"CULTURE, EAR",$140.50
"CULTURE, EYE",$140.50
"CULTURE, TISSUE",$140.50
FECAL WBC,$46.50
GLUCOSE FLUID,$58.00
PROTEIN URINE,$58.75
PROTEIN FLUID,$66.75
"PSA TOTAL, (SCREEN)",$116.75
"UREA NITROGEN, URINE",$72.50
"URIC ACID, URINE",$96.75
WET MOUNT-TRICHOMONAS,$52.25
OCC BLOOD FECES UNDER 50,$49.50
"CULTURE, BONE",$140.50
HEPATIC FUNCTION PANEL,$280.00
RENAL FUNCTION PANEL,$219.00
COMP METABOLIC PANEL,$143.25
BASIC METABOLIC PANEL,$135.25
ACUTE HEPATITIS PANEL,$317.75
HEPATITIS A ANTIBODY IGM,$118.75
HEPATITIS B CORE AB-IGM,$109.75
"URINALYSIS, AUTO W/MIC",$58.00
"URINALYSIS, AUTO, W/O MIC",$43.00
RPR TITER,$89.50
CROSSMATCH AHG,$180.00
CROSSMATCH IS,$180.00
FLUID ALBUMIN,$56.75
CULTURE URINE ID,$84.00
CBC W/O AUTO DIFF,$71.00
BETA LACTAMASE3,$61.50
CONCENTRATION-INF. AGENT,$71.75
"HOMOGENIZATION, TISSUE CX",$76.25
CULTURE SCREEN V.R.E,$78.00
CULTURE SCREEN M.R.S.A,$85.25
"GIARDIA ANTIGEN, FECES",$87.75
"CRYPTOSPORIDIUM ANTIGEN,FECES",$69.50
HCG; QUAL,$113.75
ROTAVIRUS-FECES,$98.00
AMMONIA,$131.75
MICROALBUMIN URINE 24 HR,$73.50
MICROALBUMIN URINE RANDOM,$73.50
"BLOOD OCCULT PEROXIDASE,F",$49.50
"D-DIMER,ULTRASENSITIVE",$75.25
NATRIURETIC PEPTIDE,$212.25
INFLUENZA AB,$82.25
HBSAG NEUTRALIZATION,$51.25
PTT MIXING STUDY 1ST DILUTE,$49.75
PTT MIXING STUDY 2ND DIL,$49.75
PTT MIXING STUDY 3RD DIL,$49.75
PTT MIXING STUDY 4TH DIL,$49.75
PTT MIXING STUDY 5TH DIL,$49.75
PTT MIXING STUDY 6TH DIL,$49.75
PTT MIXING STUDY 7TH DIL,$49.75
PTT MIXING STUDY 8TH DIL,$49.75
"RETICULOCYTE, AUTOMATED",$89.25
SMEAR FLUORESCENT,$75.25
GLUCOSE TOLERANCE (GTT) 3 SPCM,$126.75
GTT-ADDED SAMPLES,$146.25
GTT-ADDED SAMPLES,$146.25
HIV 1/2 RAPID TEST,$126.00
FETAL FIBRONECTIN,$597.50
HEPARIN ANTI-XA LMW,$134.00
HEPARIN ANTI-XA UNFRACT,$169.00
INFLUENZA AB 2ND,$82.25
"PT SUBSTIT,PLASMA FRACT. EACH",$37.75
PT/INR REPEAT,$101.50
"C-REACTIVE PROTEIN, HS",$90.00
COL OF CAPILLARY BLOOD SPEC,$22.00
HEPARIN EXTRACTION,$53.50
PROTIME/INR-HEPARIN EXTRACTED,$101.50
PTT-HEPARIN EXTRACTED,$101.50
"STOOL,AEROBIC SCREENING",$143.25
"STOOL, AEROBIC,ADDL PATHOGEN",$104.75
"STOOL,AEROBIC,ADDL PATH, 2ND",$104.75
BLOOD GAS ISTAT ANY 2,$207.75
SODIUM POCT,$45.50
POTASSIUM POCT,$58.00
HEMATOCRIT POCT,$51.00
CALCIUM IONIZED POCT,$116.25
ACTIVATED CLOT TIME POCT,$38.25
SED RATE AUTOMATED,$33.75
BLOOD SMEAR W/ MAN DIFF,$74.75
"HEPARIN PF4 ANTIBODY HIT,SERUM",$325.25
GLUCOSE ISTAT,$71.75
T3 TOTAL,$101.50
T3 FREE,$259.25
PARATHORMONE (PTH),$180.50
AGENT NOS ASSAY W/OPTIC,$62.50
SPECIMEN CONCENTRATION,$71.75
STREP PNEUMONIAE URINE ANTIGEN,$82.75
POCT CREATININE,$45.25
MRSA SCREEN BY PCR,$217.75
"ENTEROVIRUS, CSF PCR",$504.75
BMP(BASIC) WITH IONIZED CA,$347.50
C DIFFICILE PCR,$567.50
INFECTIOUS AGT ANTIGEN BY EIA,$82.75
"C DIFF TOXIN, EIA",$65.50
INF AGT DET BY NUC ACID AMP PR,$110.25
BLOOD PLATELET AGGREGATION,$146.25
BLD PLATELET AGGREGATION-RPT,$146.25
LACTATE,$92.50
PSA FREE,$345.50
TESTOSTERONE TOTAL,$254.00
CA 15-3,$187.50
CA 19-9,$249.50
CA 125,$220.25
RETICULATED (IPF) PLATELET,$100.50
"PH, BLOOD",$175.50
"CULTURE, ANAEROBIC BACTERIA",$150.25
"IDENTIFICATION, ANAEROBE",$326.25
"SUGARS, SINGLE, QUALITATIVE",$34.75
AGENT NOS ASSAY W/OPTIC,$62.50
CROSSMATCH ELECTRONIC,$79.25
"STOOL,AEROBIC,ADDL PATH, 2ND",$104.75
OCC BLOOD FECES 1-3 SPEC,$49.50
VITAMIN D 25 HYDROXY,$205.75
HIV-1 AG W/HIV-1 & HIV-2 AB,$69.25
"THROMBIN TIME, PLASMA",$35.75
ANTITHROMBIN III ACTIVITY,$278.25
SPECIMEN HANDLING PT-LAB,$63.50
DRUG SCREEN NON TLC DEVICES,$646.50
BLOOD FUNGUS CULTURE,$103.50
STREP SCREEN GROUP A,$71.75
STAPH A DNA AMP PROBE,$71.75
ASSAY IGA/IGD/IGG/IGM EACH,$210.25
DRUG TEST PRESUMP NOT OPT,$146.75
RESP VIRUS 3-5 TARGETS,$363.75
OCCULT BLD IA SCRN,$49.50
VANCOMYCIN DNA AMP PROBE,$72.25
DNA/RNA AMPLIFIED PROBE,$48.25
DNA/RNA AMPLIFIED PROBE,$48.25
PROCALCITONIN (PCT),$454.00
LEAD,$135.50
OCCULT BLD FHG QUAL 1-3,$49.50
CANDIDA NA DIRECT PROBE,$47.00
TRICHOMONAS VAGIN DIR PROBE,$47.00
GARDNERELLA DIR NA PROBE,$47.00
RESP VIRUS 6-11 TARGETS,$395.25
CHLAMYDIA P AMPLIF NA PROBE,$65.00
MYCOPLASMA AMPLIF NA PROBE,$65.00
PATHOLOGY LEVEL VI,$743.00
PATHOLOGY LEVEL V,$613.50
CYTOLOGY FLUIDS,$177.00
FROZEN SECTION,$297.00
PATHOLOGY LEVEL III,$212.00
"PATHOLOGY LEVEL 1, GROSS EXAM",$81.75
PATHOLOGY LEVEL II,$217.25
PATHOLOGY LEVEL IV,$267.50
SPECIAL STAIN GROUP I,$156.00
SPECIAL STAIN GROUP II,$133.00
DECALCIFICATION PROC,$112.25
CYTO SMEAR,$88.50
CYTO CONCENTRATION,$138.25
FNA EVALUATION,$114.50
FINE NEEDLE ASPIRATION,$104.50
ADD FROZEN SECTION,$100.75
IMMUNOHISTO ANTIBODY STAIN,$180.50
SLIDE PREP CONSULTS,$182.50
"CYTOPATH SMR PREP,SCREEN,INTER",$79.00
TISSUE IN-SITU HYBRIDIZATION,$217.25
TUMOR MORPHOMETRIC ANALY& IHC,$395.75
CYTO LIQUID BASED SLIDE,$349.50
CYTO CONCENTRATION-RPT,$138.25
CYTO LIQUID BASED SLIDE-RPT,$349.50
CYTO SMEAR-RPT,$88.50
FNA EVALUATION-RPT,$114.50
"PATHOLOGY LEVEL 1,GRS-RPT",$102.75
PATHOLOGY LEVEL II-RPT,$217.25
PATHOLOGY LEVEL III-RPT,$212.00
PATHOLOGY LEVEL IV-RPT,$267.50
PATHOLOGY LEVEL V-RPT,$613.50
PATHOLOGY LEVEL VI-RPT,$743.00
DECALCIFICATION PROC-RPT,$112.25
SPECIAL STAIN GROUP I-RPT,$156.00
SPECIAL STAIN GROUP II-RPT,$133.00
FROZEN SECTION-RPT,$297.00
ADD FROZEN SECTION-RPT,$100.75
IMMUNOHISTO ANTIBODY STAIN,$180.50
TUM MORPHOMETRIC ANA-RPT,$395.75
TISSUE IN-SITU HYBRID-RPT,$217.25
CYTO THIN LAYER-TECH (DX),$106.75
CYTO THIN LAYER-TECH (SCREEN),$99.50
"CYTO EXAM (TOUCH,SQUASH PREP)",$115.25
CYTO EXAM(TOUCH) EACH ADDL,$45.25
CRYSTAL IDENTIFICATION,$45.75
CYTP C/V AUTO THIN LYR ADDL,$28.00
CYTP C/V AUTO THIN LYR ADL-RPT,$28.00
EVAL OF FNA;INT & REP,$195.75
EVAL OF FNA; INT & REP-RPT,$195.75
BRAF GENE,$678.50
EGFR GENE COM VARIANTS,"$3,001.75"
INSITU HYBRIDIZATION AUTO,$281.50
INSITU HYBRIDIZATION AUTO RPT,$281.50
INSITU HYBRIDIZATION MANUAL,$309.75
KRAS GENE,"$1,489.00"
MANUAL IN SITU HYBRID QNT ADDL,$281.50
"MICRODISSECTION, MANUAL",$194.50
MICROSATELLITE INSTABILITY,"$2,246.50"
MOPATH PROCEDURE LEVEL 4,"$1,111.00"
MOPATH PROCEDURE LEVEL 5,"$1,687.75"
TUMOR IMMUNOHISTOCHEM MAN,$306.25
IMMUNOHISTO ANTIBODY SLIDE,$203.50
IMMUNOHISTO ANTIBODY SLIDE,$203.50
"PROSTATE BIOPSY, ANY MTHD",$645.50
"PROSTATE BIOPSY, ANY MTHD MOD",$645.50
IMMUNOFLUOR ANTB ADDL STAIN,$159.50
INSITU HYBRIDIZATION (FISH),$59.25
INSITU HYBRIDIZAT (FISH)-RPT,$59.25
TUMOR IMMUNOHISTOCHEM MAN,$306.25
OBTAINING SCREEN PAP SMEAR,$99.50
TOBRAMYCIN,$252.00
CRYOGLOBULIN,$172.25
"GAMMAGLOBULIN;IGA,IGD,IGG,IGM",$210.25
ALK PHOS ISO,$209.75
TOXOPLASMA ANTIBODY IGG,$161.25
"MICROSOMAL ANTIBODIES, EA",$192.50
OLIGOCLONAL BANDING CSF,$218.00
VITAMIN B1,$265.00
VITAMIN B6,$366.00
CATECHOLAMINE FRACTIONATED,$362.25
VMA URINE,$185.50
CHLAMYDIA CULTURE,$198.75
ZINC SERUM,$120.25
VITAMIN A,$196.75
FLUORESCENT NONINF ANTIB TITER,$323.25
"HYDROXYINDOLACETIC ACID,5-HIAA",$159.75
FLUORESCENT NONINF ANTIB TITER,$320.00
ALDOLASE,$121.50
AMIKACIN,$202.25
C-PEPTIDE,$244.25
CAROTENE,$142.00
"CORTISOL FREE, URINE",$188.75
FACTOR VIII,$280.25
FACTOR IX,$338.00
FECAL FAT QUANT,$238.25
LYME DISEASE-WESTERN BLOT,$212.25
"COMPLEMENT; ANTIGEN, EA COMP",$308.75
"COMPLEMENT; ANTIGEN, EA 2ND",$308.75
CALCULUS;INFARED SPECTROSCOPY,$159.25
CATECHOLAMINE FRACTIONATED,$362.25
DNA NATIVE (DOUBLE STRANDED),$111.50
ALPHA-FETOPROTEIN;SERUM,$204.00
"CHROMO, QUANT, COLUMN, SNG ANT",$335.50
METANEPHRINE,$382.25
ANTIDEP NORTRIPTYLINE,$197.50
INSULIN TOTAL,$135.50
IGE,$116.75
CALCITONIN,$245.00
ALPHA 1 ANTITRYPSIN;TOTAL,$161.75
HLA-B27,$284.25
"RHEUMATOID FACTOR, QUAN",$133.50
EXTRACTABLE NUCLEAR ANTIGEN,$174.00
CMV AB-IGM,$251.00
EPSTEIN BARR VIRUS AB,$325.50
CMV AB-IGG,$251.00
"C-1-ESTERASE, QUANT",$161.25
PLATELET ANTIBODY,$447.75
RENIN,$226.50
ACTH,$405.00
HEPATITIS B-E ANTIBODY,$138.50
17-HYDROXYPROGESTERONE,$224.00
PARATHYROID HORMONE (PTH),$180.50
DHEA-S (SULFATE),$209.75
CA 19-9,$249.50
CA 125,$220.25
CA 15-3,$183.00
THYROGLOBULIN,$213.25
VASOACTIVE INTESTINAL POLYP,$372.75
LEAD - BLOOD,$146.50
MERCURY - BLOOD,$382.25
AMMONIA,$148.00
"CHROMO, QUANT, COLUMN, SN 2ND",$335.50
ANTITHROMBIN III ACTIVITY,$278.25
"CULT, STOOL PROFIL",$143.25
ALPHA-FETOPROTEIN;SERUM,$194.50
ALDOSTERONE,$354.75
CALCIUM IONIZED,$173.25
DELTA AMINOLEVULINIC ACID,$294.50
HAPTOGLOBIN,$175.00
MURAMIDASE/LYSOZYME SERUM,$194.00
PORPHYRIN QUANT &FRACTIONATION,$225.50
VISCOSITY,$156.75
SEROTONIN SERUM,$276.00
ANGIOTENSIN CONVERTING ENZYME,$182.75
ACETYLCHOLINE REC,$269.50
ALDOSTERONE RPT,$354.75
GLUCAGON-PLASMA,$225.75
MYOGLOBIN,$188.50
HEMOSIDERIN URINE,$75.25
GASTRIN SERUM,$183.50
HIV-1 RNA BY PCR,$497.00
"CARDIOLIPIN AB IGG,S",$286.25
HIV-1 WESTERN BLOT,$230.00
ANTIBODY;LEGIONELLA,$313.50
FRUCTOSAMINE,$86.25
GRANULOCYTE AB,$280.25
ACID PHOS PROSTATIC SERUM,$125.50
CERULOPLASMIN,$130.00
AEROBIC BACT REFER FOR ID,$259.00
"FLURES NONINF AGNT, SCREEN EA",$171.50
CYCLOSPORINE,$275.50
DRUG QUANT NES,$187.50
ERYTHROPOIETIN SERUM,$222.50
HELICOBACTER PYLORI,$143.25
"MICROALBUMIN URINE, QUANT",$163.50
MYELIN BASIC PROTEIN,$169.50
TESTOSTERONE TOTAL ONLY,$254.00
IMMUNOHISTOCHEMISTRY EA ANTIB,$264.75
"CHROM ANL; CT 15-20, 2 KAR W/B","$1,501.00"
TESTOSTERONE FREE,$229.00
HOMOCYSTEINE TOTAL URINE,$255.50
BETA-2-MICROGLOBULIN SERUM,$178.50
TOXOPLASMA IGM,$223.25
"VITAMIN D,1,25-DIHYDROXY",$387.00
"VITAMIN D,25-HYDROXY",$348.75
"GAMMAGLOBULIN;IGA,IGD,IGG,IGM",$210.25
ANAEROBIC BACT REFER FOR ID,$326.25
"SENS MIC, ANAEROBE",$352.75
CA 27.29,$187.50
T3 REVERSE,$336.75
OXALATE URINE,$152.50
PROTEIN C ANTIGEN,$307.00
FLUORESCENT NONINF ANTIB TITER,$267.00
FLUORESCENT NONINF ANTIB TITER,$320.00
"ESTRIOL,UNCONJUGATED",$159.50
"HCG,FREE ALPHA-SUBUNIT",$230.50
"HCG,TOTAL",$69.25
"ALUMINUM,SERUM",$239.00
ANTI-SMOOTH MUSCL AB SCRN,$131.75
FLUORESCENT NONINF ANTIB TITER,$320.00
AEROBIC BAC (MIC),$293.50
EXTRACTABLE NUCLEAR ANTIGEN,$174.00
EXTRACTABLE NUCLEAR ANTIGEN,$174.00
EXTRACTABLE NUCLEAR ANTIGEN,$174.00
EXTRACTABLE NUCLEAR ANTIGEN,$174.00
EXTRACTABLE NUCLEAR ANTIGEN,$174.00
CYTOGENETIC & MOLECULAR CYTO,$120.00
TISSUE CULTURE FOR BM,$558.00
"CYTOPLASMIC NEUT. AB,SCRN",$131.75
FLUORESCENT NONINF ANTIB TITER,$320.00
"DNA PLOIDY SOLID TUM FC, BLK",$518.00
PROTEIN TOTAL SERUM,$48.00
PROTEIN ELECTROPHORESIS FRACT,$102.50
HGB ELECTROPHORESIS LEVEL 1,$150.25
"HEP C VIRUS RNA,QN, RT-PCR",$568.25
HOMOCYSTEINE,$283.75
HPV HIGH-RISK TYPES,$233.50
"GAMMAGLOBULIN;IGA,IGD,IGG,IGM",$210.25
"GAMMAGLOBULIN;IGA,IGD,IGG,IGM",$210.25
"GAMMAGLOBULIN;IGA,IGD,IGG,IGM",$210.25
FLOW CYTOMETRIC EA CELL SURF,$436.50
FLOW CYTOMETRIC EA CELL SURF,$105.50
ANATOMIC PATHOLOGY CONSULT,$293.50
METANEPHRINE,$382.25
FLUORESCENT NONINF ANTIB TITER,$320.00
IMMUNOFIXATION,$403.25
"ORGANISM, ID, AEROBIC BACT",$220.50
PSA TOTAL,$116.75
PHOSPHORUS,$62.00
PARASITIC EXAM,$76.50
"STAIN GROUP II, ALL OTHER",$133.00
"CARDIOLIPIN AB IGM,S",$286.25
"CARDIOLIPIN AB IGG,S",$286.25
"RHEUMATOID FACTOR, QUAN",$133.50
SURGICAL PATH CONSULT RL,$293.50
FLOW CYTOMETRIC EA CELL SURF,$105.50
FLOW CYTOMETRIC EA CELL SURF,$105.50
TOTAL CELL COUNT,$176.75
ABSOLUTE CD4/CD8 WITH RATIO,$273.00
THYROXINE TOTAL,$67.00
"T4 (THYROXINE),FREE S",$149.25
TESTOSTERONE TOTAL,$211.50
TESTOSTERONE FREE,$229.00
"URIC ACID, URINE",$96.75
SINGLE ALLERGEN IGE,$136.50
ALLERGY PANEL,$117.25
HCV AMPLIFICATION,$473.75
DRUG SCREENING COCAINE,$257.50
"IMMUNOASSAY, QUANT RAD PHARM",$234.00
IGG SUBCLASSES,$478.00
APOLIPOPROTEIN EACH,$154.50
LYME DISEASE CONFIRMATION,$212.25
THYROPEROXIDASE,$192.50
ORGANIC ACID SCREEN,$291.25
VARICELLA-ZOSTER,$170.50
VARICELLA-ZOSTER,$124.25
METANEPHRINE,$382.25
ACETLCHOL.RBC,$79.25
"ACETONE, SERUM",$190.25
"ADENOVIRUS AB,S",$309.75
"ALBUMIN,SERUM",$51.25
PHOSPHATASE ALKALINE,$86.25
"NEPHELOMETRY EACH AB, NOS",$138.50
"AMYLASE, PANCREATIC",$124.75
APOLIPOPROTEIN EACH,$154.50
"ARSENIC,B",$254.75
"ASCORBIC ACID,BLOOD",$235.25
ELECTROPHORETIC TECH NEC,$250.50
EXTRACTABLE NUCLEAR ANTIGEN,$174.00
"BRUCELLA AB,S",$208.50
"QUANTIFICATION OF DRUG,NEC",$187.50
CADMIUM,$191.50
IMMUNOASSAY ANALYTE QUANT;NEC,$189.00
"CANDIDA AB,S",$145.75
"COMPLEMENT, TOTAL S",$204.75
"ETHOSUXIMIDE, P",$174.25
DRUG QUANT NES,$187.50
DNA PROBE FOR FISH,$161.00
INTERPHASE IN SITU HYBRID,$455.50
CYTOGENETIC & MOLECULAR CYTO,$120.00
BASIC METABOLIC PANEL,$135.25
LIPID PANEL,$112.00
BENZODIAZEPINES1-12,$87.00
"ASSAY, CARBAMAZEPINE, TOTAL",$122.00
"ASSAY, CARBAMAZEPINE, FREE",$81.50
"ASSAY, DIPROPYLACETIC ACID",$155.50
ASSAY OF HALOPERIDOL,$92.50
ASSAY OF PHENOBARBITAL,$107.50
"ASSAY OF PHENYTOIN, TOTAL",$134.50
"ASSAY OF PHENYTOIN, FREE",$113.75
ASSAY OF PRIMIDONE,$94.25
ASSAY OF QUINIDINE,$71.50
ASSAY OF TACROLIMUS,$104.50
ASSAY OF TOPIRAMATE,$158.25
CLINICAL PATH CONSULT;LIMITED,$123.00
URINALYSIS NONAUTO W/O MICRO,$17.00
"ACYLCARNITINES, QUANT",$397.00
ALBUMIN; QUAN,$56.75
DRUG SCREEN QUANTALCOHOLS,$190.25
"ALPHA-1-ANTITRYPSIN,PHENOTYPE",$109.00
"AMINO ACIDS, QUANT, 2-5",$176.25
"AMINO ACIDS, QUAN, 6 OR MORE",$305.50
DRUG SCREEN AMPHETAMINES 1/2,$83.50
ASSAY OF ANDROSTENEDIONE,$235.50
ASSAY OF ANGIOTENSIN II,$116.50
"ATOMIC ABSORPTION, EA ANALYT",$84.50
DRUG SCREENING BARBITURATES,$75.25
"BILE ACIDS, TOTAL",$93.00
"BILIRUBIN, TOTAL",$124.75
"ASSAY OF BIOTINIDASE,EA SPEC",$95.25
"BLOOD OCCULT HEMOGLOBIN,FECES",$72.00
"ASSAY CALCIUM IN URINE,TIMED",$59.75
CARBOHYDRATE DEFICIENT TRANS,$280.75
"CARBON MONOXIDE, QUAN",$65.25
CARCINOEMBRYONIC ANTIGEN.CEA,$178.50
ASSAY OF CARNITINE,$150.50
CHEMILUMINESCENT ASSAY,$212.00
ASSAY OF URINE CHLORIDE,$48.50
"ASSAY, OTHER FLUID CHLORIDES",$77.75
CHLOROHYDROCARBONS SCREEN,$38.00
"CHOLESTEROL, BLD/SERUM TOTAL",$54.75
"ASSAY,SERUM CHOLINESTERASE",$49.25
"CHROMOTOGRAPHY, QUANT, MULT",$335.50
ASSAY OF CHROMIUM,$188.50
ASSAY OF CITRATE,$123.75
COLLAGEN CROSSLINKS,$87.75
ASSAY OF COPPER,$79.75
ASSAY OF CORTICOSTERONE,$139.75
"CORTISOL, TOTAL",$169.50
"COLUMN CHROMO,MULT STAT,QUAN",$335.50
"COLUMN CHROMO,MULT ANALYT,QUAN",$335.50
ASSAY OF CK (CPK),$92.00
"ASSAY OF CPK, ISOENZYMES",$138.25
"ASSAY OF CREATININE,OTHER",$71.75
ASSAY OF CRYOFIBRINOGEN,$56.75
B-12 BINDING CAPACITY,$122.00
DEHYDROEPIANDROSTERONE DHEA,$356.75
DEOXYCORTISOL 11,$194.00
ASSAY OF DIBUCAINE NUMBER,$72.25
ANABOLIC STEROID 1 OR 2,$139.75
"ENZYME  ACT, NONRADIOACTIVE",$206.00
"ENZYME  ACTIVITY, RADIOACTIVE",$436.75
ASSAY OF ESTRADIOL,$317.50
ASSAY OF ESTRONE,$315.25
ASSAY OF ETHYLENE GLYCOL,$138.50
"FATTY ACIDS, NONESTERFIED",$65.50
LONG CHAIN FATTY ACIDS,$328.25
ASSAY OF FERRITIN,$119.25
"ASSAY OF FOLIC ACID, RBC",$77.50
ASSAY OF SEMEN FRUCTOSE,$279.50
HEMOGLOBIN-OXYGEN AFFINITY,$737.75
"GLUCOSE, BLOOD QUANT",$71.75
"ASSAY OF G6PD ENZYME, QUAN",$134.75
ASSAY OF GGT,$111.75
GONADOTROPIN (FSH),$179.50
GONADOTROPIN (LH),$210.50
"ASSAY, GROWTH HORMONE (HGH)",$122.25
"HEAVY METAL, QUAN, EACH",$159.50
HEMOGLOBIN CHROMOTOGRAPHY,$124.50
GLYCATED HEMOGLOBIN TEST,$76.75
"BLOOD METHEMOGLOBIN TEST, QUAN",$46.00
ASSAY OF PLASMA HEMOGLOBIN,$38.00
"BLOOD SULFHEMOGLOBIN , QUAN",$47.50
"B-HEXOSAMINIDASE,EACH ASSAY",$304.25
ASSAY OF HISTAMINE,$159.75
HOMOVANILLIC ACID (HVA),$289.25
"HYDROXYCORTICOSTEROIDS,17",$216.00
"IMMUNOASSAY, NONANTIBODY, MULT",$91.25
"ASSAY OF INSULIN, FREE",$138.50
ASSAY OF IRON,$62.25
ASSAY 17- KETOSTEROIDS,$72.00
ASSAY OF LACTIC ACID,$92.50
LACTATE (LD) (LDH),$60.75
"LDH ISOENZYMES, SEP& QUANT",$87.25
ASSAY OF LIPASE,$77.25
"BLOOD LIPOPROTEINS, SEP & QUAN",$70.25
"BLOOD LIPOPROTEINS, HIGH RESO",$180.25
"LIPOPROTEIN, LDL",$64.75
LUTEINIZING RELEASING FACTOR,$107.25
ASSAY OF MAGNESIUM,$147.75
ASSAY OF MANGANESE,$165.75
MASS SPECTROMETRY QUANT,$136.00
DRUG SCREENING METHADONE,$191.50
ALKALOIDS NOS,$156.00
ASSAY OF NUCLEOTIDASE,$62.25
"ORGANIC ACID,SINGLE,QUANT",$207.75
OPIATES 1 OR MORE,$105.00
ASSAY OF URINE OSMOLALITY,$85.75
ASSAY OF OSTEOCALCIN,$224.00
"BODY FLUID ACIDITY, PH",$66.50
ASSAY FOR PHENCYCLIDINE,$100.75
ASSAY OF BLOOD PKU,$31.25
ASSAY OF URINE PHOSPHORUS,$55.50
"PORPHOBILINOGEN,URINE, QUAL",$27.00
"PORPHOBILINOGEN,QUANT",$167.50
"ASSAY FECES PORPHYRINS, QUAL",$241.25
ASSAY OF URINE POTASSIUM,$64.75
ASSAY OF PREALBUMIN,$82.75
ASSAY OF PREGNENOLONE,$189.25
ASSAY OF 17-HYDROXYPREGNENO,$156.00
ASSAY OF PROGESTERONE,$163.75
ASSAY OF PROLACTIN,$244.00
ASSAY OF PROSTAGLANDIN,$294.75
"PROTEIN, REFRACTOMETRIC",$29.75
WESTERN BLOT TEST,$106.50
"WESTERN BLOT TEST, BAND ID",$197.00
ASSAY OF PROINSULIN,$90.00
ASSAY OF PYRUVATE,$189.25
ASSAY OF VITAMIN B-2,$261.00
ASSAY OF SELENIUM,$174.25
ASSAY OF SEX HORMONE GLOBUL,$156.75
ASSAY OF URINE SODIUM,$58.00
"ASSAY OF  SODIUM, OTHER",$67.75
ASSAY OF SOMATOMEDIN,$148.25
ASSAY OF SOMATOSTATIN,$81.00
SPECTROPHOTOMETRY ANALYTE NEC,$73.75
BODY FLUID SPECIFIC GRAVITY,$15.50
"SUGARS, SINGLE, QUAL, EA SPEC",$34.75
"SUGARS SINGLE QUANT, EA SPEC",$459.50
ASSAY OF URINE SULFATE,$128.75
"ASSAY OF THYROID ACTIVITY, TGB",$205.75
ASSAY OF TSI,$381.25
ASSAY OF VITAMIN E,$107.25
ASSAY OF TRANSCORTIN,$80.25
TRANSFERASE (AST) (SGOT),$60.00
ALANINE AMINO (ALT) (SGPT),$67.25
ASSAY OF TRANSFERRIN,$111.75
TRIGLYCERIDES,$89.25
ASSAY OF THYROID (T3 OR T4),$78.75
ASSAY OF TYROSINE,$59.00
UREA NITROGEN QUANT,$34.25
"UREA NITROGEN, URINE",$72.50
ASSAY OF VASOPRESSIN,$191.00
ASSAY OF NOS VITAMIN,$57.25
ASSAY OF VITAMIN K,$94.00
ASSAY OF VOLATILES,$91.25
UNLISTED CHEMISTRY PX,$54.25
"BLOOD CLOT FACTOR II, PT",$206.25
"BLOOD CLOT FACTOR V, ACG",$106.25
"BLOOD CLOT FACTOR VII, PROCON",$163.50
"BLOOD FACTOR VIII, OTH ANTIGEN",$102.75
"BLOOD CLOT FACTOR VIII, VW",$197.75
"BLOD FACTOR VIII, NONWILEBRAND",$217.75
BLOOD CLOT FACTOR X TEST,$195.50
BLOOD CLOT FACTOR XI TEST,$102.75
BLOOD CLOT FACTOR XII TEST,$160.25
"BLOOD CLOT FACTOR XIII, SCREN",$44.50
"ANTITHROMBIN III, ANTIGEN ASAY",$218.00
PROTEIN C ANTIVITY,$142.25
PROTEIN S TOTAL,$111.25
PROTEIN S FREE,$179.25
APC RESISTANCE ASSAY,$160.00
FACTOR INHIBITOR TEST,$73.50
"FIBRINOGEN, PARACOAGULATION",$47.00
"FIBRIN DEGRADE, D-DIMER, QUAT",$65.00
"FIBRINOGEN, ACTIVITY",$149.00
FIBRINOLYSINS SCREEN,$27.50
FIBRINOLYTIC ANTIPLASMIN,$215.75
