Item #,Item Description,Price
90001772,RETROSCREW FEMORAL 10MMX20MM,931.50
90001773,SCREW CANN TITAN 7.3MX130 16MM,1079.50
90001774,SCREW CANN TITAN 7.3X 55M 32MM,1079.50
90001775,SCREW CANN TITAN 7.3MX125 32MM,1079.50
90001776,SCREW CANN S/S 7.0MX120MM 16MM,1105.50
90001777,SCREW CANN S/S 7.0MX125MM 16MM,1105.50
90001778,SCREW CANN S/S 7.0MX130MM 16MM,1105.50
90001779,SCREW MALLEOLAR S/S 4.5X25MM,181.00
90001780,SCREW MALLEOLAR S/S 4.5X30MM,181.00
90001781,SCREW MALLEOLAR S/S 4.5X40MM,181.00
90001782,SCREW MALLEOLAR S/S 4.5X45MM,181.00
90001783,BONE FIXATION SYSTEM SM 1.14MM,1358.00
90001784,SUTURE ANCHOR BIO- COMPOSITE SUTURETAK,1282.00
90001785,RETROBUTTON,988.00
90001786,RETROBUTTON,988.00
90001787,RETROBUTTON,988.00
90001788,RETROBUTTON,988.00
90001789,RETROBUTTON,988.00
90001790,RETROBUTTON,988.00
90001791,RETROBUTTON LONG 15MM X 15MM LOOP,988.00
90001792,RETROBUTTON LONG 15MM X 20MM LOOP,988.00
90001793,RETROBUTTON LONG 15MM X 25MM LOOP,988.00
90001794,RETROBUTTON LONG 15MM X 30MM LOOP,988.00
90001795,RETROBUTTON LONG 15MM X 35MM LOOP,988.00
90001796,RETROBUTTON LONG 15MM X 40MM LOOP,988.00
90001797,10MM BIOCOMPOSITE RETROSCRW,927.00
90001798,SCREW LOCK S/S 3.5X85MM S/T,628.00
90001799,BIO-COMP INTERF SCRW RD DELTATPR 11X28MM,927.00
90001800,BIO-COMP INTER-FERENCE SCRW,927.00
90001801,BIO-COMP INTER-FERENCE SCRW,927.00
90001802,SCREW LOCK S/S 3.5X90MM S/T,628.00
90001803,SCREW LOCK S/S 3.5X95MM S/T,628.00
90001804,BIO-COMP INTER-FERENCE SCRW,927.00
90001805,SCREW CANN/CONICAL S/S 5.0MX40,788.50
90001806,SCREW CANN/CONICAL S/S 4.0MX45,788.50
90001807,SCREW CANN/CONICAL S/S 4.0MX50,788.50
90001808,SCREW CANN/CONICAL S/S 4.0MX55,788.50
90001809,SCREW CANN/CONICAL S/S 4.0MX60,788.50
90001810,SCREW CANN/CONICAL S/S 4.0MX85,632.50
90001811,PLAT NARROW TITAN 4.5 10 HOLE,964.50
90001812,PLAT NARROW TITAN 4.5 11 HOLE,964.50
90001813,PLAT BROAD TITAN 4.5M 10 HOLE,1306.00
90001814,PLAT BROAD TITAN 4.5M 11 HOLE,1306.00
90001815,PLAT BROAD TITAN 4.5M 12 HOLE,1306.00
90001816,PLAT BROAD TITAN 4.5M 14 HOLE,1306.00
90001817,SCREW SHAFT TITAN 3.5MMX16MM,121.00
90001818,SCREW SHAFT TITAN 3.5MMX20MM,121.00
90001819,SCREW SHAFT TITAN 3.5MMX22MM,121.00
90001820,SCREW SHAFT TITAN 3.5MMX24MM,121.00
90001821,SCREW SHAFT TITAN 3.5MMX26MM,121.00
90001822,SCREW SHAFT TITAN 3.5MMX28MM,121.00
90001823,SCREW SHAFT TITAN 3.5MMX30MM,121.00
90001824,SCREW SHAFT TITAN 3.5MMX32MM,121.00
90001825,SCREW SHAFT TITAN 3.5MMX34MM,121.00
90001826,SCREW CANN S/S 7.0MX95M 32MM,1105.50
90001827,SCREW CANN S/S 7.0M X100M 32MM,1105.50
90001828,SCREW CANN S/S 7.0M X110M 32MM,1105.50
90001829,SCREW CANN S/S 7.0M X115M 32MM,1105.50
90001830,SCREW CANN S/S 7.0M X120M 32MM,1105.50
90001831,SCREW CANN S/S 7.0M X125M 32MM,1105.50
90001832,ST JUDE DURATE DEFIB LEAD DUAL,12360.00
90001833,PLAT CHS 140 DEGREE 4 SLOTS AMBI,1092.50
90001834,PLAT CHS 135 DEGREE 4 SLOTS AMBI,983.00
90001835,PLAT S/S 1/3 TUBULAR 7 HOLE W COLLAR,252.50
90001836,TUBE TRACHEOSOFT CUFF 5.0MM XLT PROX EXT,254.00
90001837,TUBE TRACHEOSOFT CUFF 6.0MM XLT PROX EXT,254.00
90001838,TUBE TRACHEOSOFT CUFF 7.0MM XLT PROX EXT,254.00
90001839,TUBE TRACHEOSOFT CUFF 8.0MM XLT PROX EXT,254.00
90001840,TUBE TRACHEOSOFT CUFF 6.0MM XLT DIST EXT,254.00
90001841,TUBE TRACHEOSOFT CUFF 7.0MM XLT DIST EXT,254.00
90001842,TUBE TRACHEOSOFT CUFF 8.0MM XLT DIST EXT,254.00
90001843,LOCK SALINE,87.50
90001844,PILLOW FOOT,132.50
90001845,PERI BOTTLE,5.00
90001846,CUP PALM PEDI,0.00
90001847,IMMOBILIZER KNEE,124.50
90001848,CUP PALM NEONATE,16.00
90001849,COLLAR CERVICAL EXL,16.00
90001850,COLLAR CERVICAL LARGE,21.50
90001851,COLLAR CERVICAL SMALL,21.50
90001852,COLLAR CERVICAL LARGE,25.50
90001853,COLLAR CERVICAL MEDIUM,25.50
90001854,EVACUATED GLASS 1L 2A8504,24.00
90001855,EVACUATED GLASS 250ML 2A8502,44.50
90001857,SITZ BATH,18.50
90001858,CLAMP CORD,3.00
90001859,LENS GLIDE,21.50
90001860,HAND GRIPS,41.00
90001861,PASTE DERMO,11.50
90001862,KIT MONITOR,42.00
90001863,BAG FEEDING,0.00
90001864,EXIDINE 40Z,0.00
90001865,ROLL LUMBAR,91.00
90001866,METER STRIP,24.00
90001867,HEPARIN LOCK,4.50
90001868,PASTE KARAYA,28.50
90001869,HAND HELPERS,110.00
90001870,HAND HELPERS,64.00
90001871,BOOT CAST SM,57.50
90001872,CEMENT MIXER,555.00
90001873,BELT SANITARY,10.00
90001874,TELEMETRY/DAY,213.00
90001875,TENDON LEADER,117.00
90001876,BELT SANITARY,9.00
90001877,BOOT CAST MED,57.50
90001878,PACK TRANSFER,117.50
90001879,KIT INTUBATING,28.50
90001880,STOCKING JOBST,726.00
90001881,ADAPTER VENTED,14.50
90001882,ELECTRODE TENS,35.50
90001883,TUBE ET HOLDER,27.00
90001884,SHOE ORTHOPEDIC,42.50
90001885,TELEMETRY POUCH,25.00
90001886,ELECTRODE INFANT,2.50
90001887,SPLINT LEG LARGE,310.00
90001888,SUTURE RETRIEVER,106.50
90001889,SUTURE RETRIEVER,106.50
90001890,PILLOW ABDUCTION,318.50
90001891,PACK ICE STAY DRY,0.00
90001892,SPLINT LEG MEDIUM,303.50
90001893,TRANSDUCER SET-UP,12.00
90001894,KIT URETERAL BRUSH,256.50
90001895,TRAY EYE PROCEDURE,76.00
90001896,WALKING HEEL ADULT,23.00
90001897,ASPIRATOR MECONIUM,0.00
90001898,FILM ANTIMICROBIAL,53.00
90001899,ASPIRATOR MECONIUM,47.50
90001900,PACK ICE SECURE ALL,0.00
90001901,MITT FINGER CONTROL,19.50
90001902,ADAPTER DBL MAKE LL,7.50
90001903,CONNCTOR 02 TUBING,1.50
90001904,EXERCISE BALL(SOFT),44.50
90001905,KIT MONITOR PRESSURE,267.50
90001906,URINE TEST MULTISTIK,4.00
90001907,BELT PELVIC TRACTION,77.00
90001908,PAD SENSOR BED-CHECK,142.50
90001909,SUPPORT LUMBO-SACRAL,138.50
90001910,BELT PELVIC TRACTION,76.00
90001911,COLLAR CERVICAL PEDI,27.00
90001912,BANDAGE COMPILAN 6CM,73.50
90001913,BANDAGE COMPILAN 8CM,60.50
90001914,SPLINT CLAVICULAR XL,36.00
90001915,SPLINT FOREARM PADDED,65.50
90001916,I/A PRE-ASSEMBLED KIT,255.00
90001917,SYSTEM GASTRIC LAVAGE,106.00
90001918,BANDAGE COMPILAN 10CM,53.00
90001919,FLANGE OSTOMY SUR FIT,22.50
90001920,SUPPORT ANKLE LT & RT,171.50
90001921,KIT PERICARDIOCENTESIS,492.00
90001922,WALKING HEEL PEDIATRIC,14.50
90001923,TRAP FILTER MEC DEVICE,16.50
90001924,CATH BIPOLAR 5FR PACER,1280.00
90001925,PILLOW SMALL ABDUCTION,272.50
90001926,SUPPORT LUMBAR ALL SZS,144.50
90001927,ELECTRODE EMPI BUFF MED,45.50
90001928,STOCKING ANTI-EMBOLYTIC,40.00
90001929,SPLINT CLAVICULAR CHILD,36.00
90001930,SPLINT CLAVICULAR LARGE,36.00
90001931,SPLINT FOREARM UNPADDED,43.00
90001932,HEAT MOISTURE EXCHANGER,28.00
90001933,WRAP FOOT(PLEXI-PULSE),15.50
90001934,PILLOW ABDUCTION MEDIUM,162.00
90001935,GEL HYDROACTIVE DUODERM,8.00
90001936,SPLINT ACROMIOCLAVICULAR,110.00
90001937,SPLINT CLAVICULAR INFANT,36.00
90001938,SPLINT CLAVICULAR MEDIUM,46.00
90001939,IMMOBILIZER KNEE 19 INCH,81.00
90001940,ELECTRODE EMPI BUFF SMALL,43.00
90001941,ELECTRODE PACING/EXTERNAL,352.00
90001942,TEMPORARY PERVENIOUS LEAD,348.50
90001943,SPLINT TIBIA/FIBULA LARGE,220.50
90001944,SPLINT TIBIA/FIBULA YOUTH,201.00
90001945,ELECTRODE ECG INFANT/PEDI,0.00
90001946,KIT MENISECTOMY ELECTRODE,372.50
90001947,IMMOBILIZER KNEE PEDIATRIC,71.00
90001948,SPLINT TIBIA/FIBULA MEDIUM,220.50
90001949,STRAP ULTRASONIC ABDOMINAL,28.50
90001950,POUCH OSTOMY 2 3/4 SUR JET,13.50
90001951,SPLINT BUCKS TRACTION LARGE,58.50
90001952,SPLINT BUCKS TRACTION SMALL,58.50
90001953,RESTRAINT ENDOTRACHEAL TUBE,12.00
90001954,KIT HICKMAN 10FR INTRODUCER,334.00
90001955,STOMA ADHESIVE SKIN BARRIER,32.00
90001956,POUCH OSTOMY 2 1/4  SUR JET,5.50
90001957,ERASER DISPOSABLE HEMOSTATIC,50.00
90001958,SPLINT BUCKS TRACTION MEDIUM,58.50
90001959,FILTER TRANSFUSION 40 MICRON,38.00
90001960,POUCH ACTIVE LIFE OSTOMY SET,9.00
90001961,BARRIER SKIN DURAHESIVE 45MM,9.50
90001962,POUCH DRNBL W/FILTER 1 3/4IN,7.00
90001963,POUCH DRNBL W/FILTER 3 1/4IN,7.00
90001964,BANDAGE ELASTIC ADHESIVE 3 IN,2.50
90001965,BANDAGE ELASTIC ADHESIVE 4 IN,6.00
90001966,ELECTRODE ADULT DEFIB HP3501A,86.50
90001967,IMMOBILIZER ARM/SHOULDER X-LGE,60.50
90001968,GLUCOSE TEST STRIP 50 ONE-TOUC,192.50
90001969,FOG REDUCTN/ELIMINATION DEVICE,82.00
90001970,UROMETER,0.00
90001971,LAP-DISC,2090.50
90001972,MASK BILI,0.00
90001973,SET BLOOD,13.00
90001974,TUBE L250,77.00
90001975,TUBE L300,77.00
90001976,SCAPEL CAT,95.00
90001977,TUBE CANTOR,176.00
90001978,K SEAL RING,4.50
90001979,PRN ADAPTER,2.50
90001980,TUBE RECTAL,12.50
90001981,WITCH HAZEL,10.00
90001982,T-TUBE 16FR,25.00
90001983,SET BURETROL,27.00
90001984,PAD ECG BACK,23.00
90001985,KIT EYE CARE,30.50
90001986,TUBE T DRAIN,72.50
90001987,CAUTERY HAND,25.00
90001988,TUBING BLOOD,16.00
90001989,PAD DUOTHERM,65.50
90001990,TRAY CUT DOWN,95.50
90001991,PAD GROUNDING,28.00
90001992,CATH MUSHROOM,78.00
90001993,TRAY THORACIC,78.50
90001994,CATH URETERAL,313.50
90001995,SURGIPORT 5MM,224.50
90001996,DRILL BIT 2.0,440.50
90001997,DRESSING TRACH,7.00
90001998,TRAY PROCEDURE,41.00
90001999,TRAY PROCEDURE,92.00
90002000,PACK C-SECTION,331.00
90002001,MULTIFIRE TA30,808.00
90002002,NEEDLE RC MINI,47.00
90002003,PACK BASIC HIP,226.50
90002004,UROVAC UROLOGY,171.00
90002005,MITEK ITEM 1-10,0.00
90002006,TRAY CHEST TUBE,42.50
90002007,HEMOCLIPS SMALL,108.50
90002008,CATH SUBCLAVIAN,38.50
90002009,NEEDLE SURGICAL,14.50
90002010,CATH MALE LARGE,48.00
90002011,UROSHEATH LARGE,58.00
90002012,UROSHEATH SMALL,58.00
90002013,TRAY SUBCLAVIAN,67.00
90002014,TRAY ARTHROGRAM,87.00
90002015,SET MAJOR BASIN,105.50
90002016,DRILL BIT 3.8MM,267.00
90002017,GOWN SPACE SUIT,0.00
90002018,DRILL BIT 1.5MM,258.50
90002019,GRIP SPRING 5MM,33.50
90002020,CATH FOLEY 18FR,59.50
90002021,SPRING GRIP 5MM,35.00
90002022,VENIGUARD ADULT,7.50
90002023,BAG DECANTER II,6.00
90002024,CATH TROCAR 28FR,46.50
90002025,MEDACTA ITEM 6-7,0.00
90002026,NURSER GRADUATED,5.50
90002027,TUBING EXTENSION,3.50
90002028,GIA LOADING UNIT,903.00
90002029,TRAY HAND/FINGER,185.00
90002030,TRAY MISCARRIAGE,74.50
90002031,TRAY THORACOTOMY,73.50
90002032,TRAY TRACHEOTOMY,351.00
90002033,UROSHEATH MEDIUM,58.00
90002034,PACK LAPAROSCOPY,50.50
90002035,BLADE AGGRESSIVE,96.50
90002036,CATH PEZZER 34FR,40.00
90002037,WRAP STAR SLEEVE,463.50
90002038,CATH PEZZER 40FR,39.00
90002039,HARMONIC STAPLER,1588.50
90002040,DRILL AO 4.2X340,795.00
90002041,VALVE CHEST DRAIN,98.50
90002042,TUBE FEEDING 14FR,7.00
90002043,TUBE FEEDING 16FR,9.50
90002044,TUBE FEEDING 18FR,12.00
90002045,TUBE IV EXTENSION,3.50
90002046,TRAY STEINMAN PIN,130.00
90002047,TRAY SUTURE MAJOR,85.50
90002048,TRAY SUTURE MINOR,43.00
90002049,STAPLER TA 55-3.5,689.00
90002050,FIXATION EXTERNAL,345.00
90002051,TRAY LIVER BIOPSY,161.50
90002052,TUBING IMED BLOOD,89.50
90002053,SUTURE ETHIBOND 0,926.50
90002054,SUTURE ETHIBOND 1,559.50
90002055,DRILL TWIST 4.8MM,1000.00
90002056,SLEEVE DISPOSABLE,26.00
90002057,SUTURE ETHIBOND 2,389.00
90002058,CATH MALICOH 26FR,55.50
90002059,VERSAPORT 5MM-8MM,319.50
90002060,DRILL SHORT 4.0MM,431.50
90002061,SUTURE ETHIBOND 2,445.00
90002062,CATH COUNCIL 22FR,94.00
90002063,SET BLOOD INFUSION,8.00
90002064,SPONGE MICRO SPEAR,8.50
90002065,TRAY NASAL PACKING,149.00
90002066,TRAY OB INSTRU,56.50
90002067,TRAY SIGMOIDOSCOPY,88.00
90002068,STAPLE BARBED BONE,12.00
90002069,CATH MALE EXTRA LG,48.00
90002070,SET SUTURE REMOVAL,10.00
90002071,CATH UMBIL ART 8FR,87.00
90002072,TRAY ARTERIAL LINE,88.00
90002073,CATH EPIDURAL 20GA,50.50
90002074,CATH EPISTAT NASAL,255.00
90002075,MASK ANESTHESIA 02,28.00
90002076,TUBING PED PRIMARY,21.00
90002077,NEEDLE LOCK DEVICE,14.00
90002078,DRESSING TELFA 4X8,2.00
90002079,CATH RADIAL ARTERY,114.00
90002080,PACK LAPAROTOMY KC,64.50
90002081,SHEATH 5.5MM SHORT,167.50
90002082,SHEATH 4.0MM SHORT,184.50
90002083,VERA STEP 5MM LONG,497.50
90002084,RADIUS LOOP 15X8MM,56.00
90002085,TIGERTAPE 2MM 30IN,278.50
90002086,WRAP COMBO LT & RT,307.50
90002087,SPONGE EYE SURGICAL,6.50
90002088,IRRIGATION SOLUTION,6.50
90002089,TRAY PUDENDAL BLOCK,95.50
90002090,CATH EXT MALE SMALL,13.50
90002091,TRAY SUTURE PLASTIC,103.00
90002092,SPONGE TONSIL SMALL,8.50
90002093,SET BRACHIAL PLEXUS,55.00
90002094,SKIN BARRIER OSTOMY,23.00
90002095,SUTURE ETHIBOND 2-0,67.00
90002096,BLADE INCISOR 4.5MM,237.50
90002097,SUTURE ETHIBOND 2-0,827.50
90002098,BLADE ACL STOP 10MM,216.50
90002099,PATELLA TENDON HEMI,8798.00
90002100,TVT DEVICE GYNECARE,2221.50
90002101,CATH HEMOGLIDE 19CM,1267.00
90002102,CATH HEMOGLIDE 23CM,1267.00
90002103,FLANGE WAFFER 1 3/4,12.50
90002104,FORCEPS OPEN CURVED,967.00
90002105,LAPSAC TISSUE POUCH,254.00
90002106,DRSG TENDER WET 3X3,22.50
90002107,DRSG PURACOL AG 2X2,44.00
90002108,LMA-UNIQUE STD SZ 3,54.00
90002109,LMA-UNIQUE STD SZ 4,54.00
90002110,LMA UNIQUE STD SZ 5,40.00
90002111,MDLR ITEM 1 > ITEM 2,0.00
90002112,TUBE SALEM SUMP 10FR,14.00
90002113,TUBE SALEM SUMP 18FR,14.00
90002114,TUBE SALEM SUMP 16FR,15.50
90002115,PROTECTOR HEEL/ELBOW,25.00
90002116,VACUUM EXTRACTOR CUP,20.50
90002117,PACK VAGINAL STER,11.00
90002118,CATH EXT MALE MEDIUM,14.00
90002119,MASK NON-REBREATHING,9.00
90002120,TUBE EXTENSION(K50),7.00
90002121,SUTURE MERSILENE 5-0,58.50
90002122,SUTURE ETHIBOND 0 NC,399.50
90002123,TUBE MONOTUBE EXTEND,4152.50
90002124,CANNULA 7MMX7CM LONG,576.50
90002125,ENDO SHEARS 5MM LONG,528.00
90002126,TROCAR BLUNTPORT 5MM,355.50
90002127,TROCAR VERSAPORT 5MM,267.00
90002128,WIRE GUIDE TIP 2.3MM,267.00
90002129,MESH PROLEME 1 X4,1003.00
90002130,RADIUS LOOP 10MMX7MM,56.00
90002131,PIN EXT FIX 6X250X80,466.50
90002132,TESIO CATHETER SZ 20,0.00
90002133,STAPLER POWER LDS-15W,1093.50
90002134,KIT BALECTRODE PACING,440.00
90002135,DRESSING MESALT 4X4,13.00
90002136,DRESSING FLEXAN 4X4,23.00
90002137,TUBE ENTERAL FEED 6FR,96.00
90002138,TUBING STOPCOCK 3-WAY,0.00
90002139,TUBING STOPCOCK 3-WAY,8.50
90002140,PAD DUO-THERM 18X24,0.00
90002141,PAD DUO-THERM 12X17,209.50
90002142,PAD DUO-THERM 24X60,213.00
90002143,SPONGE SURGICAL SPEAR,9.00
90002144,SET LOW-VOL EXTENSION,38.50
90002145,TRAY SINGLE LUMEN CVA,109.00
90002146,CANNULA TIBIAL TUNNEL,99.00
90002147,SUTURE LONG 10X.024,1184.50
90002148,CATH IV 24G INSTYLE-W,10.00
90002149,VESSEL LOOP MINI BLUE,0.00
90002150,SHEARS ENDO SHORT 5MM,1973.00
90002151,BLADE WIDE THICK LONG,107.00
90002152,DIAL FLOW IV DRIP SET,28.00
90002153,SUTURE LASSO 25 DEG L,672.50
90002154,SUTURE LASSO 25 DEG R,672.50
90002155,RADIUS LOOP 25MMX15MM,250.50
90002156,MINIDRIP SOLUTION SET,13.50
90002157,RETAINER VISCERA FISH,87.00
90002158,SET I/A TUBING(PHACO),213.00
90002159,SET MIDSTREAM SPECIMEN,8.50
90002160,DRESSING VIGILON 4X4,33.50
90002161,DRESSING INTRASITE GEL,25.50
90002162,TRAY FECAL CONTAINMENT,75.00
90002163,TUBE ENTERAL FEED 8 FR,100.50
90002164,IRRIGATION STARTER SET,224.00
90002165,PENCIL ELECTROSURGICAL,15.00
90002166,CATH URETHRAL PHILLIPS,93.50
90002167,TUBE STOMACH EVACUATOR,17.00
90002168,TRAY URETHRAL CATHETER,0.00
90002169,CATH SUCTION 05 FRENCH,5.00
90002170,CURETTE UTERINE VACUUM,37.50
90002171,SET INFUSION 19GAX12,9.00
90002172,SUTURE CHROMIC GUT 4-0,27.00
90002173,PREMIUM PLUS CEEA 34MM,1723.00
90002174,VULCAN SCULPTOR 90 3MM,711.50
90002175,TRAP SAFE TOUCH TISSUE,98.00
90002176,CATH LUB CON 22FR 30CC,76.50
90002177,SUTURE ENDO STITCH 2-0,1061.50
90002178,ROD CARBON FIBER 200MM,547.00
90002179,ROD GUIDE 3.0MMX1000MM,549.00
90002180,DRILL LONG PILOT 4.0MM,733.00
90002181,PREMIUM PLUS CEEA 25MM,1723.00
90002182,DRILL IMHS TWIST 3.5MM,226.50
90002183,SUT SILK 3-0 TIE A184H,7.00
90002184,DRESSING VAC SOFT-FOAM,67.50
90002185,FORCEPS MOLLY 5MM/33CM,733.00
90002186,SINUS LUMA DISP SYSTEM,1561.50
90002187,DRESSING AQUOPHOR GAUZE,5.00
90002188,DRESSING TEGASORB 3X4,32.50
90002189,DRESSING TEGASORB 4X5,45.50
90002190,DRESSING TEGASORB 5X7,112.50
90002191,SET BLOOD/FLUID WARMING,112.50
90002192,DRESSING SORBASAN 4X4,31.50
90002193,DRESSING TEGADERM 2 3/8,4.50
90002194,SPECIMEN COLLECTION CUP,27.50
90002195,TRAY UMBILICAL CATHETER,71.50
90002196,TRAY PERICARDIOCENTESIS,184.50
90002197,CATH IV DUAL LUMEN 16GA,39.00
90002198,NEEDLE BLUNT 15GAX1.5,6.00
90002199,SET INTERLINK EXTENSION,0.00
90002200,SET SECONDARY INTERLINK,13.00
90002201,SUT VICRYL 4-0 KS J662H,9.00
90002202,PIN TROCAR 3.5X239.5M,197.50
90002203,LOOP VESSEL MINI YELLOW,12.00
90002204,DRILL GUIDE BOLT TIBIAL,648.00
90002205,SUTURE PASSER WIRE LOOP,133.50
90002206,TUBING HYSTERO PUMP 223,195.00
90002207,TUBING HYSTERO PUMP 901,99.00
90002208,PIN GUIDE 3.2MMX230MM,84.50
90002209,STAPLER ROTICULATOR 3.5,1389.00
90002210,QUICK TRACH 4.0MM CRICO,859.50
90002211,DRESSING HYROGEL 4 INCH,21.00
90002212,STAPLER ABSORBATACK 5MM,2170.00
90002213,CANNULA ESPANULA 8.25MM,205.00
90002214,FORCEP CUTTING 5MM/33CM,1677.00
90002215,DRSG WOUND VAC ABD FOAM,1308.50
90002216,PLEXIPULSE WRAP RT & LT,154.50
90002217,TRAY PERITONEAL DIALYSIS,475.50
90002218,CATH IV PLACE 22GA JELCO,22.00
90002219,CATH IV PLACE 24GA JELCO,22.00
90002220,SYRINGE IRRIGATOR PISTON,3.00
90002221,TRAY INFANT CIRCUMCISION,59.50
90002222,TUBING FILTER .22 MICRON,0.00
90002223,INFUSION SET 19 GAX7/8,9.00
90002224,BLADE ELECTRODE EXTENDED,15.00
90002225,DRESSING HYDROCOL SACRAL,70.00
90002226,TUBE CARBON 15MMX250MM,533.50
90002227,TUBE CARBON 15MMX300MM,533.50
90002228,TUBE CARBON 15MMX150MM,533.50
90002229,CATH FILIFORM SPIRAL TIP,138.00
90002230,CATH FILIFORM SPIRAL TIP,138.00
90002231,CATH FILIFORM SPIRAL TIP,138.00
90002232,CATH FILIFORM SPIRAL TIP,138.00
90002233,CATH POLY WHISTLE TIP 24,62.50
90002234,NEEDLE ELECTRODE CAUTERY,6.50
90002235,ROD CARBON 8.0MMX200MM,494.50
90002236,TROCAR ENDOPATH 5MM/10MM,320.50
90002237,TRAY ANES PUDENDAL BLOCK,41.00
90002238,DRESSING WOUND VAC SMALL,145.00
90002239,SOLUTION 20MEQ/LPOT NACL,7.50
90002240,SENSOR SP02 ADULT MASIMO,67.00
90002241,CATH SHORT TIP 16FR/30CC,44.50
90002242,GIA 60 STAPLER 3.8MM DST,580.00
90002243,HOLMIUM BARE LASER 365UM,981.50
90002244,HOLMIUM BARE LASER FIBER,981.50
90002245,DRSG PURACOL ROPE AG 1X8,56.00
90002246,ABSORBATACK 5MM 15 TACKS,1944.00
90002247,TRAY EXCHANGE TRANSFUSION,60.50
90002248,KIT CATH NASAL HEMOSTATIC,69.50
90002249,GAUZE CARRA STER 4X4,29.00
90002250,NEEDLE SPINAL 22GX1 1/2,7.00
90002251,TUBING CONNCTORS STER,5.00
90002252,TRAY SUPPLEMENTAL PLASTIC,47.00
90002253,SUTURE OPTH/NERVE/SPECIAL,41.00
90002254,CATH EPIDURAL RE-INFORCED,109.50
90002255,MASK POCKET RESUSCITATION,81.00
90002256,NEEDLE APROTTE 24GAX3.5,57.00
90002257,BLADE NOTCH BLASTER 5.5MM,262.00
90002258,SUT STEEL 4-0 BUTTON 539G,422.50
90002259,SUTURE CHROMIC TAPER BP O,739.50
90002260,DRILL TIP GUIDE PIN 2.4MM,160.50
90002261,STOCKINETTE STER 4X5,28.50
90002262,STEM NEUTRAL 14MMX150MM,3264.00
90002263,THERMACHOICE III CATH GYN,2928.50
90002264,BLADE AGGRESSIVE 2108-305,120.00
90002265,POUCH UROSTOMY WAFER 32MM,17.00
90002266,CATH TROCAR 16FR THORACIC,89.00
90002267,CATH TROCAR 24FR THORACIC,89.00
90002268,CATH TROCAR 10FR THORACIC,89.00
90002269,CATH TROCAR 12FR THORACIC,89.00
90002270,WAFER SKIN W/2 3/4 FLANGE,10.50
90002271,FORCEPS CUTTING 10MM/33MM,1574.50
90002272,DRILL QUICK RELEASE 2.8MM,158.00
90002273,CATH URETHERAL OPEN END 7,366.00
90002274,KIT MICRO INTRODUCER 10CM,210.50
90002275,DRESSING WOUND GEL CURASOL,64.50
90002276,TUBING EXTENSION CONNCTOR,8.50
90002277,PROBE GENERAL PURPOSE TEMP,25.00
90002278,TRAY TRACHEOSTOMY CLEANING,30.50
90002279,KIT CATHETER RADIAL ARTERY,77.00
90002280,SENSOR TYPANIC TEMPERATURE,40.00
90002281,TUBING MICROBORE EXTENSION,0.00
90002282,DRSG PURACOL COLLAGEN PLUS,79.50
90002283,SUTURE MULTIFIRE TA*55 3.5,507.00
90002284,TROCAR SURGIPORT 10MM AUTO,320.50
90002285,2B7357 SORBITOL SOL 3000CC,27.50
90002286,CATH MATICOL 4 WIRING 26FR,272.50
90002287,STAPLER ROTICULATOR 55-4.8,1543.50
90002288,CATH IV 24G X.75 NEXIVA BD,28.50
90002289,MESH DUAL PLUS 15CMX19CM,3418.00
90002290,BULB ASPIRATOR COLLECT KIT,44.50
90002291,TUBE TRACHEAL 4.0MM CUFFED,9.00
90002292,DRESSING FLEXAN 4X8 WOUND,44.00
90002293,SUCTION DEVICE 3.5 MECONIUM,51.50
90002294,SUCTION DEVICE 3.0 MECONIUM,51.50
90002295,INTRAVENIOUS PLACEMENT UNIT,15.00
90002296,PROCEDURE WOUND PREPARATION,18.50
90002297,STETHOSCOPE 18FR ESOPHAGEAL,60.50
90002298,SPLASH SHIELD SOFT WITH TIP,61.00
90002299,CATH URETERAL ROUND TIP 5FR,33.00
90002300,SYRINGE 3CC W/BLUNT CANNULA,1.50
90002301,FILTER 1.2 MICRO EXT 2C1103,24.00
90002302,DRESSING FLEXAN 4X8 WOUND,43.00
90002303,DRILL TWIST 4.0MMF/COLE RAD,1000.00
90002304,GORE TENDON SMOOTHER LG 9.5,720.00
90002305,NEEDLE HUBER 90 DEGREE 20X1,17.00
90002306,CATH FILIFORM COUDE TIP 3FR,126.50
90002307,CATH FILIFORM COUDE TIP 4FR,148.50
90002308,CATH FILIFORM COUDE TIP 5FR,131.00
90002309,CATH FILIFORM COUDE TIP 6FR,148.50
90002310,POUCH STOMA SUR FIT 2 1/4IN,9.00
90002311,ELECTRODE CUTTING LOOP 24FR,203.00
90002312,TUBING FLUID WARMER LEVEL 1,426.00
90002313,DRILL TWIST 3.2MMX127.0MM,242.00
90002314,OINTMENT CALMOSEPTINE 2.5OZ,20.00
90002315,SIMPULSE GUN IRRIGATOR PLUS,165.00
90002316,POUCH UROSTOMY SURGIT 1 3/4,10.00
90002317,AMPLATZ SUPER STIFF .035 ST,160.00
90002318,VULCAN SAFFIRE W/SUCTION 90,812.00
90002319,XENDADERM OINTMENT 60G TUBE,266.00
90002320,TRACH PERCUTANEOUS DILATION,992.00
90002321,BALLOON CERVICAL DIL 18.0FR,22.00
90002322,INTAOSSEOUS INFUSION SYSTEM,83.50
90002323,DRSG TENDER WET 5.5CM ROUND,37.00
90002324,BLADE SAG WIDE 24.9X64X73.8,97.00
