Washington Hospital Healthcare System - 106010987,,"Price 1 = Inpatient, Emergency and Surgery patients",,
450000161,HC RECONSTRUCT NAIL BED W GRAFT," 3,947.11 "," 3,947.11 ",
450000171,HC INGROWN NAIL, 275.12 , 275.12 ,
450000181,HC CMPLX LAC 2.6-7.5 CM FACE H F, 923.00 , 923.00 ,
450000182,HC CMPLX LAC 2.6-7.5 CM FACE H F, 726.54 , 726.54 ,
450000191,HC SKIN TISSUE REARRANGEMENT," 1,364.14 "," 1,364.14 ",
450000201,HC REARRANGE SKIN ENEL 10SQCM ORLESS," 2,553.14 "," 2,553.14 ",
450000211,HC DRESS/DEBRD INT TX 1STO 16000, 504.02 , 504.02 ,
450000221,HC HALO TRACTION APPLICAITON, 369.14 , 369.14 ,
450000231,HC CLSD TX TEMPOROMANDIBULAR DSL," 2,641.07 "," 2,641.07 ",
450000241,HC CR FX GREATER HUMERAL W/MANIP, 640.11 , 640.11 ,
450000251,HC CLSD TX SHLD DISL W/MAN W/O AN, 679.85 , 679.85 ,
450000261,HC I&D AXILLA," 2,576.60 "," 2,576.60 ",
450000271,HC CD FX HUM EPICONDYLAR W MANIP," 2,365.01 "," 2,365.01 ",
450000281,HC CD TX RAD SUBLUX W MANIP CHILD, 849.34 , 849.34 ,
450000291,HC CD TX RAD HEAD/NECK W/MANIP," 1,530.52 "," 1,530.52 ",
450000301,HC CLSD TX FX RAD & ULNA W/O MAN, 530.82 , 530.82 ,
450000311,HC CLSD TX FX RADIUS & ULNA W/MAN, 359.51 , 359.51 ,
450000321,HC CLSD TX DISTAL RADIAL FX W/MAN," 2,365.01 "," 2,365.01 ",
450000331,HC REPAIR TENDON FLEXOR HAND," 5,698.33 "," 5,698.33 ",
450000341,HC REPAIR EXT TENDON HAND," 5,466.12 "," 5,466.12 ",
450000351,HC REPAIR EXT TEND FINGER," 4,339.19 "," 4,339.19 ",
450000361,HC REPAIR LIGAMENT MP/IP JOINT," 4,339.19 "," 4,339.19 ",
450000371,HC REPAIR HAND INTRINSIC MUSCLE EA," 6,196.88 "," 6,196.88 ",
450000381,HC CLSD TX METACAR FX W/MAN EA, 530.82 , 530.82 ,
450000391,HC CLSD TX DISTAL TUFT FX W/O MAN, 679.85 , 679.85 ,
450000401,HC CLSD TX DISTAL TUFT FX W/MAN, 869.34 , 869.34 ,
450000411,HC OPEN FX TX FINGER OR THUMB EA," 3,924.57 "," 3,924.57 ",
450000421,HC OPEN TX INTER PHALG DISLOCATION," 8,563.60 "," 8,563.60 ",
450000431,HC AMPUTATION FINGER W FLAP," 2,412.31 "," 2,412.31 ",
450000441,HC CLSD TX BIMALLE ANK FX W/MAN, 679.85 , 679.85 ,
450000451,HC REMOVAL OF FB FOOT SUB, 749.09 , 749.09 ,
450000461,HC CLSD TX TOE FX W/O MANIP, 679.85 , 679.85 ,
450000471,HC CLSD TX IPJ DISLOC W/O ANEST, 370.78 , 370.78 ,
450000481,HC APPLY LONG ARM SPLINT, 360.31 , 360.31 ,
450000491,HC APPLY SHORT ARM SPLINT, 360.31 , 360.31 ,
450000501,HC APPLICATION OF FNGR SPL STATIC, 398.57 , 398.57 ,
450000511,HC APPLY RIB BELT, 360.31 , 360.31 ,
450000521,HC STRAPPING SHOULDER (VELPEAU), 360.31 , 360.31 ,
450000522,HC STRAPPING SHOULDER (VELPEAU), 226.88 , 168.34 ,
450000531,HC APPLY SHORT LEG SPL CALF-FOOT, 578.50 , 578.50 ,
450000541,HC STRAPPING KNEE, 360.31 , 360.31 ,
450000542,HC STRAPPING KNEE, 226.88 , 168.34 ,
450000551,HC STRAPPING ANKLE, 360.31 , 360.31 ,
450000552,HC STRAPPING ANKLE, 226.88 , 168.34 ,
450000561,HC STRAPPING TOES, 360.31 , 360.31 ,
450000562,HC STRAPPING TOES, 226.88 , 168.34 ,
450000571,HC STRAPPING UNNA BOOT, 360.31 , 360.31 ,
450000581,HC REMOV/BIVALV LNG ARM  LEG CAST, 360.31 , 360.31 ,
450000591,HC CASTING/SPLINTING UNSPEC, 578.50 , 578.50 ,
450000601,HC ENDOTRACH INTUBATION," 1,102.33 "," 1,102.33 ",
450000602,HC ENDOTRACH INTUBATION, 803.46 , 803.46 ,
450000611,HC TRACH TUBE CHANGE, 540.92 , 540.92 ,
450000612,HC TRACH TUBE CHANGE, 461.94 , 461.94 ,
450000621,HC LARYNGOSCOPOY DIAGNOSTIC, 272.95 , 272.95 ,
450000631,HC LARYNOGOSCOPY DIRECT DX," 6,772.30 "," 6,772.30 ",
450000641,HC TRACHEOSTOMY," 2,502.83 "," 2,502.83 ",
450000651,HC CRICOTHYROIDOTOMY," 2,502.83 "," 2,502.83 ",
450000661,HC TRACHEAL INDUCT DILATOR/STENT," 2,502.83 "," 2,502.83 ",
450000681,HC INSERT CHEST TUBE," 1,772.36 "," 1,772.36 ",
450000682,HC INSERT CHEST TUBE," 1,277.00 "," 1,277.00 ",
450000691,HC PERICARDIOCENTESIS INITIAL," 2,578.75 "," 2,578.75 ",
450000692,HC PERICARDIOCENTESIS INITIAL," 1,772.36 "," 1,772.36 ",
450000701,HC CENTRAL LINE PLACEMENT <5YR," 3,676.49 "," 3,676.49 ",
450000702,HC CENTRAL LINE PLACEMENT <5YR," 3,447.08 "," 3,447.08 ",
450000711,HC CENTRAL LINE PLACEMENT >5YR," 5,466.95 "," 5,466.95 ",
450000712,HC CENTRAL LINE PLACEMENT >5YR," 3,676.49 "," 3,676.49 ",
450000713,HC CENTRAL LINE PLACEMENT >5YR," 3,447.08 "," 3,447.08 ",
450000721,HC TUNLD CENTRAL LINE PLACEMENT," 7,753.79 "," 7,753.79 ",
450000731,HC PICC LINE INSERTION >5YR," 3,447.08 "," 3,447.08 ",
450000732,HC PICC LINE INSERTION >5YR," 3,283.26 "," 3,283.26 ",
450000733,HC PICC LINE INSERTION >5YR," 1,996.23 "," 1,996.23 ",
450000751,HC ARTERIAL LINE PLACEMENT," 3,107.84 "," 3,107.84 ",
450000752,HC ARTERIAL LINE PLACEMENT," 2,559.15 "," 2,559.15 ",
450000761,HC INTRAOSSEOUS, 475.90 , 475.90 ,
450000771,HC THROMBOLYSIS CEREBRAL IV," 1,917.82 "," 1,917.82 ",
450000772,HC THROMBOLYSIS CEREBRAL IV," 1,031.50 "," 1,031.50 ",
450000781,HC REPAIR LIP FULL THICK VERMILION," 5,295.31 "," 5,295.31 ",
450000791,HC I&D ABSCESS DENTOALVEOLAR, 338.22 , 338.22 ,
450000801,HC I&D PERITONSILLAR, 479.51 , 479.51 ,
450000811,HC GASTRIC LAVAGE, 502.09 , 502.09 ,
450000821,HC CHANGE GASTROSTOMY TUBE," 1,526.94 "," 1,526.94 ",
450000831,HC I&D PERIRECTAL AREA," 3,081.69 "," 3,081.69 ",
450000841,HC I&D PERIANAL AREA," 1,623.23 "," 1,623.23 ",
450000851,HC I&D EXTERNAL HEMORRHOID, 621.22 , 621.22 ,
450000861,HC ANOSCOPY DIAGNOSTIC, 215.74 , 215.74 ,
450000871,HC FB REMOVAL RECTUM," 1,213.71 "," 1,213.71 ",
450000891,HC SUPRAPUBIC CATHERIZATION," 2,662.64 "," 2,662.64 ",
450000931,HC CHANGE CYSTOSTOMY TUBE SIMP," 3,770.13 "," 3,770.13 ",
450000932,HC CHANGE CYSTOSTOMY TUBE SIMP, 621.31 , 621.31 ,
450000951,HC CYSTOURETHROSCOPY," 2,662.64 "," 2,662.64 ",
450000961,HC CORPORA CAVENOSA IRRIGATION, 764.11 , 764.11 ,
450000971,HC I&D ABSCESS SCROTAL WALL," 4,881.93 "," 4,881.93 ",
450000981,HC I&D VULVA OR PERINEAL ABSCESS, 538.00 , 538.00 ,
450000982,HC I&D VULVA OR PERINEAL ABSCESS, 398.87 , 398.87 ,
450000991,HC I&D BARTHOLIN GLAND, 538.00 , 538.00 ,
450000992,HC I&D BARTHOLIN GLAND, 472.79 , 472.79 ,
450001001,HC BX ENDOMETRIAL WWO ENDOC WOCD, 527.25 , 527.25 ,
450001011,HC SUCTION CURETTAGE," 6,573.24 "," 6,573.24 ",
450001021,HC VAGINAL DELIVERY," 6,573.24 "," 6,573.24 ",
450001051,HC NERVE BLOCK TRIGEMINAL, 329.95 , 329.95 ,
450001061,HC INTERCOASTAL NERVE BLCK MULTI," 2,382.96 "," 2,382.96 ",
450001071,HC DIGITAL NERVE BLOCK, 659.90 , 659.90 ,
450001081,HC EXCISION CHALAZION SGL," 1,629.70 "," 1,629.70 ",
450001091,HC I&D EXTERNAL EAR SIMPLE, 516.09 , 516.09 ,
450001101,HC I&D EXTERNAL EAR COMPLX," 6,573.24 "," 6,573.24 ",
450001121,HC TEMP TRANSCUT PACING, 800.44 , 800.44 ,
450001131,HC CARDIOVERSION PROCEDURE," 6,431.87 "," 6,431.87 ",
450001132,HC CARDIOVERSION PROCEDURE," 3,517.46 "," 3,517.46 ",
450001141,HC INTEROGATE PM DEVICE, 253.04 , 253.04 ,
450001151,HC INJECTION INTRA-ARTERIAL, 473.90 , 473.90 ,
450001161,HC LEVEL 1, 496.33 , 496.33 ,
450001171,HC LEVEL 2, 632.68 , 632.68 ,
450001181,HC LEVEL 3," 1,357.41 "," 1,357.41 ",
450001191,HC LEVEL 4," 1,741.53 "," 1,741.53 ",
450001201,HC LEVEL 5," 3,503.80 "," 3,503.80 ",
450001211,HC CRITICAL CARE E&M 1ST 30-74MIN," 4,865.82 "," 4,865.82 ",
450001221,HC CRITICAL CARE E&M ADD 30 MIN," 2,432.90 "," 2,432.90 ",
450001321,HC SIM LAC 2.6-7.5 CM, 436.07 , 436.07 ,
450001331,HC SIM LAC 7.6 - 12.5 CM, 482.00 , 482.00 ,
450001341,HC SIMPLE LAC 12.6 - 20 CM, 495.00 , 495.00 ,
450001351,HC SIM LAC BDY SCLP 20.1-30.0CM, 436.07 , 436.07 ,
450001361,HC SIM LAC RPR >30CM BODY SCALP, 436.07 , 436.07 ,
450001371,HC SIM LAC <2.6 CM FACE CHIN EARS, 436.07 , 436.07 ,
450001381,HC SIM LAC 2.6 - 5.0 CM, 436.07 , 436.07 ,
450001391,HC SIM LAC 5.1-7.5 CM, 436.07 , 436.07 ,
450001401,HC SIM LAC 7.6 - 12.5 CM/1, 436.07 , 436.07 ,
450001411,HC SIM LAC 12.6 - 20.0 CM, 436.07 , 436.07 ,
450001421,HC SIM LAC 20.1-30 CM FA CH, 436.07 , 436.07 ,
450001431,HC SIM LAC >30 CM, 936.00 , 936.00 ,
450001441,HC TX SUP WND DEHIS W PKG 12021, 936.00 , 936.00 ,
450001451,HC INT LAC <2.6 CM BODY SCALP, 936.00 , 936.00 ,
450001461,HC INT LAC 2.6 - 7.5 CM BD SC, 936.00 , 936.00 ,
450001471,HC INT LAC 7.6 - 12.5 CM BD SC, 936.00 , 936.00 ,
450001481,HC INT LAC 12.6 - 20.0 CM BD SC, 936.00 , 936.00 ,
450001491,HC INT LAC 20.1-30 CM BD SC, 936.00 , 936.00 ,
450001501,HC INT LAC >30 CM BODY SC, 936.00 , 936.00 ,
450001511,HC INT LAC <2.6 CM NECK HAND FEET, 436.07 , 436.07 ,
450001521,HC INT LAC 2.6-7.5 CM N H F, 429.00 , 429.00 ,
450001531,HC INT LAC 7.6 - 12.5 CM N H F, 936.00 , 936.00 ,
450001541,HC INT LAC 12.6 - 20.0 CM N H F, 936.00 , 936.00 ,
450001551,HC INT LAC 20.1-30.0 CM N H F, 936.00 , 936.00 ,
450001561,HC INT LAC REPAIR >30.0 CM N H F, 946.00 , 946.00 ,
450001571,HC INT LAC <2.6 CM FACE EARS EYES, 936.00 , 936.00 ,
450001581,HC INT LAC 2.6 - 5.0 CM, 936.00 , 936.00 ,
450001591,HC INT LAC 5.1-7.5 CM, 936.00 , 936.00 ,
450001601,HC INT LAC 7.6 - 12.5 CM, 436.07 , 436.07 ,
450001611,HC INT LAC 12.6 - 20.0 CM, 936.00 , 936.00 ,
450001621,HC INT LAC 20.1-30.0 CM F E E, 936.00 , 936.00 ,
450001631,HC INT LAC RPR>30.0CM F E E, 936.00 , 936.00 ,
450001641,HC CMPLX LAC 1.1 - 2.5 CM TRUNK," 1,428.00 "," 1,428.00 ",
450001651,HC CMPLX LAC 2.6 - 7.5 CM TRUNK," 1,428.00 "," 1,428.00 ",
450001661,HC CMPLX LAC TRK EA AD 5CM/LESS, 936.00 , 936.00 ,
450001671,HC CMPLX LAC1.1-2.5CM SCLP ARM LG, 936.00 , 936.00 ,
450001681,HC CMPLX LAC2.6-7.5CM SCLP ARM LG, 658.00 , 658.00 ,
450001691,HC CMPLX LACSCL A L EA AD 5CM/LS, 278.00 , 278.00 ,
450001701,HC CMPLX LAC1.1-2.5CM F/N/H/FT/AX, 936.00 , 936.00 ,
450001711,HC CMPLX LAC F H F EA AD 5CM/LESS, 936.00 , 936.00 ,
450001721,HC COMPX LAC<1.1 CM N EA EYE LIP," 1,428.00 "," 1,428.00 ",
450001731,HC CMPLX LAC 1.1-2.5 CM N E E L," 1,428.00 "," 1,428.00 ",
450001741,HC CMPLX LAC 2.6-7.5 CM N E E L," 1,428.00 "," 1,428.00 ",
450001751,HC CMPLX LAC N E E L EA AD 5CM/LE, 936.00 , 936.00 ,
450001761,HC PINCH GRAFT UP TO 2CM DIAMETER, 936.00 , 936.00 ,
450001771,HC EXP PENETRAT WND CHEST 20101," 6,123.00 "," 6,123.00 ",
450001781,HC EXP PN WND ABD FLNK BCK 20102," 6,123.00 "," 6,123.00 ",
450001791,HC EXP PENT WND EXTREMITY 20103," 3,237.88 "," 3,237.88 ",
450001801,HC FB REM MUSCLE  SIMPLE," 1,269.00 "," 1,269.00 ",
450001811,HC FB REM MUSCLE  COMPLEX," 6,888.36 "," 6,888.36 ",
450001821,HC INJECT TENDON/LIGAMENT, 643.66 , 643.66 ,
450001831,HC ARTHROCENTESIS ASP INJ SM JT, 399.92 , 399.92 ,
450001841,HC ARTHROCENTESIS ASP INJ INT JT, 399.92 , 399.92 ,
450001851,HC ARTHROCENTESIS ASP INJ MJ JT, 399.92 , 399.92 ,
450001861,HC MONITOR FLU PRESS/COMPART SYN, 408.00 , 408.00 ,
450001871,HC CLSD TX NASAL FX W/O MANIP, 445.61 , 445.61 ,
450001881,HC CLSD TX NASAL FX W/OSTABILIZAT," 4,845.00 "," 4,845.00 ",
450001891,HC CLSD TX NASAL FX W/STABILIZATI," 4,845.00 "," 4,845.00 ",
450001901,HC CLSD TX RIB FX EA UNCOMPLICAT, 530.82 , 530.82 ,
450001911,HC CLSD TX STERNUM FX, 530.82 , 530.82 ,
450001931,HC CLSD TX CLAVICLE FX W/O MANIP, 445.61 , 445.61 ,
450001941,HC CLSD TX CLAVICLE FX W/MANIP," 5,499.00 "," 5,499.00 ",
450001951,HC CLSD TX CLAVICLE DISLOC W/O MA," 1,461.00 "," 1,461.00 ",
450001961,HC CLSD TX AC JOINT DISLOC W/OMAN, 445.61 , 445.61 ,
450001971,HC CLSD TX AC DISLOC W/MANIP," 1,461.00 "," 1,461.00 ",
450001981,HC CLSD TX SCAPULAR FX W/O MAN, 445.61 , 445.61 ,
450001991,HC CLSD TX PROX HUM FX W/O MAN, 445.61 , 445.61 ,
450002001,HC CLSD TX PROX HUM TUB FX W/O MA, 445.61 , 445.61 ,
450002011,HC CLSD TX HUM FX W/O MANIP, 445.61 , 445.61 ,
450002021,HC CLSD TX DISTAL HUM FX W/O MAN, 445.61 , 445.61 ,
450002031,HC CLSD TX ELBOW DISL W/O ANEST, 530.82 , 530.82 ,
450002041,HC CLSD TX RADIAL HEAD FX W/O MAN, 679.85 , 679.85 ,
450002051,HC CLSD TX ULNA FX PROX W/O MAN, 445.61 , 445.61 ,
450002061,HC CLSD TX RADIAL SHAFT FX W/OMAN, 445.61 , 445.61 ,
450002071,HC CLSD TX RADIAL SHAFT FX W/MAN," 1,507.02 "," 1,507.02 ",
450002081,HC CLSD TX ULNAR SHAFT FX W/O MAN, 445.61 , 445.61 ,
450002091,HC CLSD TX ULNAR SHAFT FX W/MAN, 679.85 , 679.85 ,
450002101,HC CLSD TX DISTAL RAD FX W/O MAN, 445.61 , 445.61 ,
450002111,HC CLSD TX NAVICULAR FX W/O MANIP, 445.61 , 445.61 ,
450002121,HC CLSD TX FX CARP BNE W/O MAN/EA, 445.61 , 445.61 ,
450002131,HC CLSD TX ULNAR STYLOID FX, 530.82 , 530.82 ,
450002141,HC CLSD TX RADCARP DSL1 >1 W/MAN, 679.85 , 679.85 ,
450002151,HC CLSD TX DST RADULNAR DSL W/MA, 679.85 , 679.85 ,
450002161,HC I & D FINGER ABSCESS  SIMPLE, 543.60 , 543.60 ,
450002171,HC I & D FINGER ABSCESS  COM.," 3,768.00 "," 3,768.00 ",
450002181,HC EXT TEND REP/SPLINT MALET FING," 4,935.00 "," 4,935.00 ",
450002191,HC CLSD TX METACAR FX W/O MAN EA, 445.61 , 445.61 ,
450002201,HC CLSD TX CARPO-M DSL TH W/MAN, 679.85 , 679.85 ,
450002211,HC CLSD TX CARPO-MC FX DSL TH W/M," 1,461.00 "," 1,461.00 ",
450002221,HC CLSD TX CARPO-MC DSL NO TH W/M, 530.82 , 530.82 ,
450002231,HC CLSD TX MCP DISL W/MAN W/O ANE, 530.82 , 530.82 ,
450002241,HC CLSD TX FINGER FX W/O MAN EACH, 445.61 , 445.61 ,
450002251,HC CLSD TX FINGER FX W/MAN EACH, 679.85 , 679.85 ,
450002261,HC CLSD TX ARTICULAR FX W/O MAN, 445.61 , 445.61 ,
450002271,HC CLSD TX ARTICULAR FX W/MAN, 679.85 , 679.85 ,
450002281,HC CLSD TX DIP OR PIP DISL W/MAN, 679.85 , 679.85 ,
450002291,HC CLSD TX COCCYGEAC FX 27200-54, 530.82 , 530.82 ,
450002301,HC CLSD TX HIP DISL W/O ANEST, 530.82 , 530.82 ,
450002311,HC CLSD TX POST HIP DISLOC," 2,068.92 "," 2,068.92 ",
450002321,HC CLSD TX PATELLAR FX W/O MAN, 445.61 , 445.61 ,
450002331,HC CLSD TX KNEE DISLOC, 530.82 , 530.82 ,
450002341,HC CLSD TX PATELLAR DISL W/O ANES, 530.82 , 530.82 ,
450002351,HC CLSD TX TIB FX W/O MAN, 445.61 , 445.61 ,
450002361,HC CLSD TX TIBIAL FX W/MANIP," 5,499.00 "," 5,499.00 ",
450002371,HC CLSD TX FX MED MALLEO W/O MAN, 445.61 , 445.61 ,
450002381,HC CLSD TX FX MED MALLEO W/MAN," 5,499.00 "," 5,499.00 ",
450002391,HC CLSD TX PROX FIBULA FX W/O MAN, 445.61 , 445.61 ,
450002401,HC CLSD TX DIS FIBULA W/O MANIP, 445.61 , 445.61 ,
450002411,HC CLSD TX DIS FIBULA W/MANIP, 679.85 , 679.85 ,
450002421,HC CLSD TX BIMALLE ANK FX W/O MAN, 445.61 , 445.61 ,
450002431,HC CLSD TX TRIMALLE ANK FX W/MAN, 530.82 , 530.82 ,
450002441,HC CLSD TX ANKLE DISL W/O ANEST, 530.82 , 530.82 ,
450002451,HC REMOVAL OF FB FOOT  DEEP," 3,945.49 "," 3,945.49 ",
450002461,HC REMOVAL OF FB FOOT  COMP," 3,945.49 "," 3,945.49 ",
450002471,HC EXT TENDON REPAIR FOOT," 6,345.00 "," 6,345.00 ",
450002481,HC CLSD TX CALCANEAL FX W/O MAN, 445.61 , 445.61 ,
450002491,HC CLSD TX TALUS FX W/O MANIP, 445.61 , 445.61 ,
450002501,HC TX TARSAL BONE FX W/O MAN EA, 445.61 , 445.61 ,
450002511,HC TX TARSAL BONE FX W/MAN EA, 679.85 , 679.85 ,
450002521,HC CLSD TX METATAR FX W/O MAN EA, 445.61 , 445.61 ,
450002531,HC CLSD TX METATAR FX W/MAN EA, 679.85 , 679.85 ,
450002541,HC CLSD TX BIG TOE FX W/O MANIP, 445.61 , 445.61 ,
450002551,HC CLSD TX BIG TOE FX W/MANIP, 530.82 , 530.82 ,
450002561,HC CLSD TX TOE FX W/MANIP, 530.82 , 530.82 ,
450002571,HC CLSD TX TARSAL BONE DISL, 530.82 , 530.82 ,
450002581,HC CLSD TX TARSAL JT DISLOC, 530.82 , 530.82 ,
450002591,HC CLSD TX T-MT JOINT DISL, 530.82 , 530.82 ,
450002601,HC CLSD TX METATARSOPHAL JT DISL, 530.82 , 530.82 ,
450002611,HC STRAPPING ELBOW OR WRIST, 324.00 , 324.00 ,
450002612,HC STRAPPING ELBOW OR WRIST, 226.88 , 163.20 ,
450002621,HC STRAPPING HAND OR FINGER, 324.00 , 324.00 ,
450002622,HC STRAPPING HAND OR FINGER, 226.88 , 163.20 ,
450002631,HC APPLY LONG LEG SPL THI-ANK/TOE, 324.00 , 324.00 ,
450002641,HC REMOVAL OR BIVALVING CAST, 334.21 , 334.21 ,
450002651,HC WINDOWING OF CAST, 324.00 , 324.00 ,
450002661,HC REMOVAL FB INTRANASAL, 203.52 , 203.52 ,
450002671,HC CONTRL ANT/NASL HEMORR, 575.00 , 575.00 ,
450002681,HC CONTRL ANT/NASL HEM COMPLEX, 575.00 , 575.00 ,
450002691,HC CONTRL POST/NASL HEMORR, 429.00 , 429.00 ,
450002701,HC CONTRL POST/NASL HEMORR SUBSEQ, 429.00 , 429.00 ,
450002711,HC LARYNGOSCOPY W/FB REM, 585.81 , 585.81 ,
450002721,HC LARYNGOSCOPY  FLEX DIAGNOSTIC, 585.81 , 585.81 ,
450002731,HC LARYNGOSCOPY WITH REMOVAL OF FOREIGN BODY(S)," 1,382.73 "," 1,382.73 ",
450002741,HC THORACOTOMY W/CARDIAC MASSAGE," 19,205.68 "," 19,205.68 ",
450002751,HC VENIPUNCTURE <3 FEMORAL JUGUL, 59.00 , 59.00 ,
450002752,HC VENIPUNCTURE <3 FEMORAL JUGUL, 58.80 , 58.80 ,
450002761,HC VENIPUNCTURE <3 SCALP VEIN, 58.80 , 58.80 ,
450002771,HC VENIP <3 OTHER VEIN, 58.80 , 58.80 ,
450002781,HC VENIPUNCTURE >3 BY PHYSICIAN, 58.80 , 58.80 ,
450002791,HC VENIPUNCTURE <1 Y/O CUTDOWN, 585.81 , 585.81 ,
450002801,HC VENIP AGE 1 OR OVER CUTDOWN, 585.81 , 585.81 ,
450002811,HC PICC LINE INSERTION <5YR," 3,447.08 "," 3,447.08 ",
450002812,HC PICC LINE INSERTION <5YR," 3,283.26 "," 3,283.26 ",
450002813,HC PICC LINE INSERTION <5YR," 1,996.23 "," 1,996.23 ",
450002821,HC INSERT ARTERIAL CATH CUTDOWN, 585.81 , 585.81 ,
450002831,HC I&D ABS CYST VEST MOUTH SIM, 408.00 , 408.00 ,
450002841,HC CLSURE LAC VEST 2.5 CM OR LESS, 894.00 , 894.00 ,
450002851,HC CLSURE LAC VEST >2.5 CM," 2,142.00 "," 2,142.00 ",
450002861,HC MOUTH LAC 2.5 CM OR LESS, 320.16 , 320.16 ,
450002871,HC TONGUE LAC >2.5 CM," 2,044.14 "," 2,044.14 ",
450002881,HC REM PHARYNGEAL FOREIGN BODY, 186.00 , 186.00 ,
450002891,HC PROCTOSIGMOIDOSCOPY," 1,723.29 "," 1,723.29 ",
450002901,HC ENUC/EXC THROMB HEMORR," 5,243.25 "," 5,243.25 ",
450002921,HC ASPIRATION BLADDER BY NEEDLE," 2,662.64 "," 2,662.64 ",
450002941,HC SLIT PREPUCE NON-NEWBORN," 6,314.46 "," 6,314.46 ",
450002951,HC INJ CORPORA CAVERNOSA PHARM AG," 1,196.13 "," 1,196.13 ",
450002961,HC COLPOCENTESIS," 1,941.00 "," 1,941.00 ",
450002971,HC PACK VAG BLEED NON-OB 57180, 456.00 , 456.00 ,
450002981,HC REMOVAL IUD, 456.00 , 456.00 ,
450002991,HC DELIVERY OF PLACENTA," 5,925.00 "," 5,925.00 ",
450003001,HC INTERCOSTAL NERVE BLOCK SINGLE, 659.90 , 659.90 ,
450003011,HC SPRFICL CONJUNT FB REM, 303.00 , 303.00 ,
450003021,HC EMBED CONJUNCT FB REM, 303.00 , 303.00 ,
450003031,HC CORNEAL FB REMOVAL, 303.69 , 303.69 ,
450003041,HC CORNEAL FB REM W/SL/LP, 303.69 , 303.69 ,
450003051,HC REPAIR CONJUNCT LAC," 5,640.00 "," 5,640.00 ",
450003061,HC REMOVAL CORNEAL RUST RING," 2,524.32 "," 2,524.32 ",
450003071,HC I & D ABSCESS EYELID, 891.00 , 891.00 ,
450003081,HC FOREIGN BDY REM EYELD 67938-54, 582.00 , 582.00 ,
450003091,HC I & D EXT AUDITORY CANAL, 514.35 , 514.35 ,
450003101,HC REMOVAL FB EAR, 419.00 , 419.00 ,
450003111,HC NASOPHARYNGOSCOPY W/ENDO, 162.00 , 162.00 ,
450003121,HC THROMBOLYSIS CORONARY INF, 663.00 , 663.00 ,
450003131,HC MOD SEDATION <5YO BY MD 30 MIN, 730.30 , 730.30 ,
450003141,HC MOD SEDATION >5YO BY MD INITIAL 15 MIN, 365.15 , 365.15 ,
450003151,HC MOD SEDATION BY MD ADD 15 MIN, 248.59 , 248.59 ,
450003161,HC MOD SEDATION <5YO DIFF MD 30MIN, 730.30 , 730.30 ,
450003171,HC MOD SEDATION >5YO DIFF MD 30MN, 730.30 , 730.30 ,
450003181,HC MOD SEDATION BY DIFF MD ADD 15M, 248.59 , 248.59 ,
450003191,HC DRUG INDUCED EMESIS FOR POISON, 595.00 , 595.00 ,
450003201,HC PHLEBOTOMY, 601.27 , 601.27 ,
450003311,HC FB REMOVAL SUB-Q TISSUE-SIMPLE, 906.65 , 906.65 ,
450003321,HC ARTHOCENTESIS ASPIRATION, 826.38 , 826.38 ,
450003331,HC REDUCTION, 530.82 , 530.82 ,
450003341,HC HIP REDUCTION," 2,068.92 "," 2,068.92 ",
450003351,HC APPLY SPLINT, 360.31 , 360.31 ,
450003361,HC EPISTAXIS CONTROL, 369.14 , 369.14 ,
450003371,HC REMOVAL OF FOREIGN BODY, 214.73 , 214.73 ,
450003381,HC FOREIGN BODY REMOVAL - EYE, 310.30 , 310.30 ,
450003391,HC FOREIGN BODY REMOVAL - EAR, 214.73 , 214.73 ,
450003401,HC PULSE OX CONTINUOUS, 330.44 , 330.44 ,
450003411,HC LACERATION REPAIR, 436.07 , 436.07 ,
450003421,HC TONGUE LACERATION REPAIR," 1,278.41 "," 1,278.41 ",
450003451,HC SQ/IM IMMUNIZATION INITIAL, 125.17 , 125.17 ,
450003452,HC SQ/IM IMMUNIZATION INITIAL, 113.80 , 113.80 ,
450003453,HC SQ/IM IMMUNIZATION INITIAL, 110.32 , 110.32 ,
450003471,HC REMOVAL FB SCUT TISS COMP," 3,945.49 "," 3,945.49 ",
450003481,HC BIOPSY SKIN SINGLE LESION, 718.56 , 718.56 ,
450003491,HC EXC BENIGN LES TAL 2.1-3.0CM DIA," 3,213.63 "," 3,213.63 ",
450003501,HC I&D ARM BURSA," 7,838.19 "," 7,838.19 ",
450003511,HC CLSD TXFX HUM SUPRA WO MANIP, 445.61 , 445.61 ,
450003521,HC CD TX MONTEGGIA FX DISLOCATION," 7,227.81 "," 7,227.81 ",
450003531,HC CLSD TXFX ULNAR OLE/CRND W MANIP," 7,227.81 "," 7,227.81 ",
450003541,HC CLSD TX ULNAR SHAFT FX W/O MAN, 445.61 , 445.61 ,
450003551,HC REPAIR HAND EXT TENDON EA," 5,090.45 "," 5,090.45 ",
450003561,HC CONTRL OROPHARYNG HEMORRHG SIMP, 316.67 , 316.67 ,
450003601,HC TRANSFUSION," 1,114.54 "," 1,114.54 ",
450004001,HC REMOVAL OF TUNNELED CENTRAL VENOUS CATH W/O SUB PORT," 2,152.00 "," 2,152.00 ",
450004011,HC ASA W/ ACUTE MI, 0.01 , 0.01 ,Utilization
450004021,HC ASA W/ ACUTE MI (MEDICAL REASON), 0.01 , 0.01 ,utilization
