BATON ROUGE GENERAL HOSPITAL CHARGES,,
"Federal reporting rules require hospitals to maintain a catalog of thousands of procedure codes, code descriptions and list prices in a complex accounting tool, known as the hospital chargemaster. The prices listed on the chargemaster do not reflect what patients will ultimately pay as insurance companies negotiate discounts on the list prices. In addition, co-pays, co-insurance and deductibles can also bring additional discounts before a final charge is determined.                                                                                                                                                                                               ",,
"To get an accurate estimate of what your out of pocket expenses will be, contact us at (225) 381-6276, Monday through Friday, from 8 a.m. – 4:30 p.m.",,
,,
Chg Code,Description,Chg Amt
31802234,LOCAL ANESTHESIA/QTR,$69.00
31802283,FORCEP HOT BIOPSY,$378.50
31802341,WIRE GUIDE JAGTAIL,$443.50
31802374,VALVE DISP BIOPSY,$56.00
31802424,STENT BILIARY DUODENAL BEND,$691.50
31802432,BASKET STONE RETRIEVAL,"$1,121.00"
31802473,CATH GOLD PROBE,"$1,330.50"
31802507,ENDO PROCED SEDATION RECOV/QTR,$90.00
31802531,NET ROTH RETRIEVAL,$372.00
31802549,INTRODUCER SYSTEM NAVIFLEX,$419.65
31802556,MARKER INK SPOT,$196.80
31802572,DEVICE CLIP FIXING DISP 230CM,$836.00
31802580,AUTOTME .025,"$1,206.50"
31802598,AUTOTOME .035,"$1,206.50"
31802614,DEVICE LOOP LIGATION,$432.90
31802630,CATH ABLATION BARRX,"$6,416.90"
31802648,BALLOON BARRX SIZING,"$1,712.40"
31802655,STENT BILIARY METAL SE,"$5,119.00"
31802663,STENT BILIARY METAL PERMALUME,"$5,948.25"
31802689,STENT BILIARY SOLUS,$620.70
31802697,ANESTHESIA NONE,$0.00
31802705,NEEDLE EUS ASPIRATION KIT,$815.50
31802713,BALLOON CUFF EUS,$206.75
31802721,NEEDLE EUS NEUROLYSIS 20GA,"$1,273.05"
31802739,MISC SUPPLY ENDO,$0.00
31802747,CATH BARRX HALO 90,"$5,047.00"
31802754,SNARE ROTATING,$262.45
31802762,SNARE FLEX,$121.00
31802770,SNARE JUMBO,$232.15
31802788,SPHINCTEROTOME JAGTOME,"$1,446.40"
31802796,SPHINCTEROTOME HYDRATOME,"$1,676.30"
31802804,ECHOTIP BIOPSY DEVICE,"$1,249.45"
31802812,FORCEP BIOPSY LG CAPACITY,$133.90
31802820,NEEDLE EUS 19GA,"$1,270.50"
31802838,BAND LIGATOR,"$1,088.70"
31802846,DILATOR GASTRIC OVERTUBE,$715.30
31802853,SNARE PEDIATRIC,$169.95
31802861,STENT BILIARY WALLFLEX COVERED,"$10,220.00"
31802879,NEEDLE COLON SCLEROTHERAPY,$276.60
31802887,TWISTER POLYP RETRIEVER,$377.70
31802895,TUBE FEEDING TTP JEJUNAL,$691.50
31802903,DUETTE MULTIBAND LIGATOR,"$1,336.50"
31802911,BRUSH CYTOLOGY BC-203D,$324.80
31802929,BIOVAC ACCESS DEVICE,$486.50
31802937,FORCEP RADIAL JAW 4,$102.50
31802945,ELECTROCONVULSIVE THERAPY,"$1,049.30"
31802952,BALLOON FOR EBUS,$198.50
31802960,NEEDLE VIZISHOT ASPIRATION,$362.65
31802978,NEEDLE EBUS ASPIRATION,$535.25
31802986,BIOPSY VALVE ADAPTOR EBUS,$69.90
31802994,BALLOON APPLICATOR EBUS,$299.20
31803000,KNIFE PAPILLOTOME NEEDLE,$882.25
31803018,REPL PEG KIT BOSTON,$393.70
31803026,PROBE FIRE STR & SIDE,$786.90
31803034,NEEDLE SCLEROTHERAPY BOSTON,$387.60
31803042,PROBE SPYGLASS DIRECT VISUAL,$858.40
31803059,FORCEPS SPYBITE BIOPSY,"$1,784.50"
31803067,CATH SPYSCOPE ACCESS DELIVERY,"$2,739.80"
31803075,BALLOON CERVICAL RIPENING,$364.40
31803083,ENDO LEVEL 1 SETUP,"$2,250.00"
31803091,ENDO LEVEL 1 PER 15 MIN,$225.00
31803109,ENDO LEVEL 2 SETUP,"$2,500.00"
31803117,ENDO LEVEL 2 PER 15 MIN,$250.00
31803125,ENDO LEVEL 3 SETUP,"$2,750.00"
31803133,ENDO LEVEL 3 PER 15 MIN,$275.00
31803141,ENDO GEN ANESTH RECOVERY/QTR,$120.00
31803158,PREGNANCY TEST URINE ENDO,$75.28
31803166,NO CHARGE ENDO,$0.00
31803174,ENDOGATOR KIT,$333.10
31803182,BRAVO PH CAPSULE DELIVERY DEVICE,"$1,116.00"
31803190,ADVANCE CAPSULE DELIVERY DEVICE,$834.55
31803208,ENDOSCOPY CARRY ON KIT,$143.70
31803216,PROBE ERBE STRAIGHT,"$1,010.25"
31803224,PROBE ERBE SIDE & CIRC,"$1,037.10"
31803232,SLINTING TUBE FOR SMALL BOWEL,"$1,004.80"
31803240,ANESTHESIA GENERAL,$108.90
31803257,LOCAL ANESTHESIA,$69.00
31803265,FORCEPS RAPTOR GRASPING,$643.80
31803273,FORCEP TALON GRASPING,$662.85
31803281,SNARE CAPTIVATOR STIFF,$133.90
31803299,NEEDLE SLIMLINE EUS 19GA,"$1,568.00"
31803307,SPY DIGITAL ACCESS SCOPE,"$9,553.25"
31803315,NEEDLE 19G FLEX,"$1,522.50"
31803323,NEEDLE SYSTEM SHARK CORE 22G,"$1,254.50"
31803331,NEEDLE SYSTEM SHARK CORE 19G,"$1,982.80"
31803349,NEEDLE SHARK CORE 25G,"$1,254.54"
31803356,NEEDLE VIZISHOT ASPIRATION 19GA,"$1,230.40"
31803364,GUIDEWIRE JAGTOME RX,"$1,126.40"
31803372, PANCREATIC PUSHER 4F/5F,$250.60
31803380,STENT PANCREATIC 5F X 3CM,$422.75
31803398,STENT PANCREATIC 5F X 4 CM,$422.75
31803406,MOD SED SAME PHYS/QHP EA,$36.00
31803414,MOD SED ENDO SAME PHYS/QHP 5/>YRS,$87.65
31803422,SNARE MINI 11MM,$136.10
31803430,FOREIGN BODY HOOD PROTECTOR,$177.70
31803448,PROBE BIL EHL 1.9F 375CM,"$1,546.55"
31803455,CATH STRETTA 8800 RFT3 W/GENRTR FEE,"$5,043.40"
31803463,STENT WALLFLEX BILIARY UNCOVERED 10X60,"$6,079.35"
31803471,STENT WALLFLEX BILIARY FULLY COVRD 10X60,"$9,192.25"
31803489,DILATOR ACHALASIA BALLOON 30MM,"$2,217.10"
31803497,STENT WALLFLEX ESOPHAGEAL 15CMX23CM,"$8,664.25"
31803505,VERAN PATIENT TRACKER,"$1,297.80"
31803513,VERAN CYTOLOGY NEEDLE 21G,"$1,946.70"
31803521,VERAN NITINOL NEEDLE 22G,"$2,920.05"
31803539,VERAN BRUSH,"$1,946.70"
31803547,VERAN FORCEPS SERRATED CUP,"$1,946.70"
31803554,VERAN FORCEPS OVAL CUP,"$1,946.70"
31803562,VERAN SPIN XTEND,"$2,920.05"
31803570,VERAN SPIN PERC KIT,"$1,297.80"
31803588,VERAN SPIN PERC NEEDLE 1CM,"$2,579.00"
32000010,MINOR SPECIAL PROCEDURE,$124.40
32000085,SDS RECOVERY ROUTINE/QTR,$90.00
32010712,SDS RECOVERY INTERMEDIATE/QTR,$120.00
32010803,PRE OP SDS TIME STATISTIC,$0.00
32010894,PREGNANCY TEST URINE SDS,$75.30
32010902,SDS PRE-OP VISIT STAT,$0.00
32010910,SDS POST-OP VISIT STAT,$0.00
32010928,MISC PROC,$0.00
32100026,BLADE PHOTON,"$1,135.60"
32100034,ENDO GIA RELOAD BLUE,$744.70
32100042,TENDON SEMI-TENDONOSISI,"$4,557.00"
32100059,TENDON W/ BONE BLOCK,"$5,502.00"
32100067,AIRSEAL SINGLE LUMEN SET,$154.50
32100075,ENSEAL G2 SUPER JAW,"$2,162.65"
32100083,ENDO RELOAD TRIPSTAPLE,"$1,230.00"
32100091,AIRSEAL DUAL LUMEN SET,$357.65
32100109,GRAFT STRAIGHT WOVEN,"$1,824.00"
32100117,AIRSEAL TRIPLE LUMEN SET,$405.35
32100125,AIRSEAL 5MM ACCESS PORT,$386.30
32100133,CATH SILICONE,$152.20
32100141,AIRSEAL 8MM ACCESS PORT,$391.00
32100158,AIRSEAL 12MM ACCESS PORT,$411.30
32100166,SECURESTRAP FIXATION SYSTEM 5MM,"$1,761.95"
32100174,BUR STRYKER DIAMOND,$259.05
32100182,SUPPORT ARTERIAL W VELCRO,$88.30
32100190,DURAGEN DURAL MATRIX 1X3,"$1,657.60"
32100208,DURAGEN DURAL MATRIX 3X3,"$3,097.85"
32100216,RETRACTOR OCTO NUVO DISP,"$5,948.25"
32100224,PROBE FLEX TIP PACING,"$1,568.35"
32100232,DV ENDOWRIST STAPLER RELOAD,$858.40
32100240,GRAFT IMPRA PATCH,"$1,452.80"
32100257,DV ENDOWRIST SHEATH SEAL,$201.88
32100265,BAG DECANTER,$20.10
32100273,VACUSTATT DISP BULLDOG CLAMP,$343.60
32100281,TUBE PE ACTIVANT SHEEHY,$296.75
32100299,DV SMALL CLIP APPLIER,$100.95
32100307,DV DEBAKEY FORCEPS,$882.25
32100315,CATH FOGARTY ADHERENT CLOT,$995.20
32100323,IRRICEPT DEBRIDEMENT TRAY,$585.10
32100331,CATH THERMODILUTION 7.5FR,$247.85
32100349,PROBE CHANDLER V-PACING,$568.00
32100356,VEIN PICK DISP,$31.90
32100364,DV ENDOWRIST STAPLER,$667.65
32100372,CANNULA MBA ARTERIAL,$398.65
32100380,DV ENDOWRIST MOTOR PACK,$92.70
32100398,STAPLER TP 30,$691.35
32100406,COVER BOW FRAME,$479.50
32100414,CATH URET 10FR DUAL LUMEN,$325.00
32100422,SINUS DILATION TOOL,"$5,948.25"
32100430,BASKET STONE TIPLESS,"$1,030.10"
32100448,PUTTY GRAFTON 5 CC,"$2,440.00"
32100455,ENDO FAN RETRACTOR,$621.10
32100463,BLADE RASP DISP,$361.15
32100471,STRATTICE COLLAGEN MATRIX 16X20,$0.00
32100489,WIPE TROCAR,$195.50
32100497,COVER HANA PERINEAL POST,$71.80
32100505,OASIS WOUND MATRIX 7X10,$0.00
32100513,ELECTRODE LOOP 22FR,$512.75
32100521,STRATTICE COLLAGEN MATRIX 10X16,$0.00
32100539,RETAINER VISCERAL,$333.30
32100547,BLADE RECIP SHORT,$330.50
32100554,DV ENDOWRIST NEEDLE DRIVER,$995.45
32100562,CORD KLEPPINGER DISP,$127.90
32100570,DV CURVED NEEDLE DRIVER,$591.35
32100588,DV FENESTRATED FORCEPS 5MM,"$1,224.00"
32100596,VERITAS COLLAGEN MATRIX 12X12,"$13,082.55"
32100604,ENDO CLIP APPLIER CA500,$405.35
32100612,DV MARYLAND FORCEPS 5MM,"$1,224.00"
32100620,INTRODUCER HICKMAN,$426.25
32100638,DV PATIENT POSITIONING SYSTEM,$329.05
32100646,DV CLEARIFY DEFOGGER,$417.90
32100653,VISIGI CALIBRATION SYSTEM,$755.85
32100661,PUTTY BONE DBX 0.5CC,$426.40
32100679,KNIFE CYSTO USA SERIES,$310.10
32100687,BUR OVAL DIAMOND,$517.55
32100695,PACK VASCULAR,$420.20
32100703,NEEDLE COLORADO DISSECTION,$475.95
32100711,SUMEX BUR REGULAR,$543.10
32100729,SUMEX BUR LONG,$815.35
32100737,SUMEX PERFORATOR,$923.90
32100745,HANDPIECE ABC 9' MALLEABLE,$356.90
32100752,CORRECT CLIP TISSUE MARKER,$393.50
32100760,ADAPTOR PERFUSION,$112.20
32100778,GRAFT BOVINE AG845,"$4,286.35"
32100786,ATOMIZER MAD 500,$209.95
32100794,ATOMIZER REPLACEMENT CLIP,$57.60
32100802,MESH SYMBOTEX ELLIPTICAL 17X10,"$1,795.00"
32100810,STRICKLAND HAND TABLE KIT,$529.35
32100828,MESH SYMBOTEX ELLIPTICAL 25X15,"$4,180.00"
32100836,MESH SYMBOTEX ELLIPTICAL 34X20,"$6,786.00"
32100844,COLLAR PHILADELPHIA CERVICAL,$110.50
32100851,MESH PERMACOL 20X30,"$30,175.00"
32100869,MESH PERMACOL 10X15,"$6,858.00"
32100877,MESH PERMACOL 15X20,"$13,716.00"
32100885,TUBE TRACHEOSTOMY DCT,$375.80
32100893,GRIP DALL MILES CABLE,"$1,981.25"
32100901,MESH ACCUMESH 15CM ROUND,"$2,948.00"
32100919,STERIDRAPE IOBAN 6651,$82.50
32100927,MESH ACCUMESH 20CM ROUND,"$3,954.00"
32100935,MESH ACCUMESH 20X15 ROUND,"$3,430.00"
32100943,CORDKNOT STANDARD KIT,"$2,523.50"
32100950,BUR CUTTING,$278.85
32100968,PROBE PASS FLUSH,$503.55
32100976,CORDKNOT QUICK LOAD UNITS,$403.75
32100984,MESH SYMBOTEX 20X12,"$2,619.15"
32100992,PNEUMONECTOMY DRAINAGE UNIT,$610.15
32101008,ENDO RELOAD TRISTAPLE 45 AXT,"$1,570.55"
32101016,SUTURE CATEGORY 1,$30.25
32101024,SUTURE CATEGORY 2,$46.75
32101032,SUTURE CATEGORY 3,$80.60
32101040,SUTURE CATEGORY 4,$125.00
32101057,SUTURE CATEGORY 5,$175.00
32101065,SUTURE CATEGORY 6,$245.00
32101073,SUTURE CATEGORY 7,$302.00
32101081,ENDO RELOAD TRISTAPLE 60 AXT,"$1,962.00"
32101099,CORDKNOT QUICK LOAD POUCH,"$1,144.55"
32101107,CANNULA IMA 1.3,$80.60
32101115,BLADE PEAK PLASMA,"$1,532.10"
32101123,CABLE DALL MILES,"$1,272.40"
32101131,BIT DRILL,$169.70
32101149,BLADE MYRINGOTOMY,$84.40
32101156,ANESTHESIA GENERAL,$108.90
32101164,ANESTHESIA SPINAL,$36.60
32101172,PK FRONT LOADING LOOP,"$1,791.75"
32101180,PK BUTTON,"$1,688.75"
32101198,STERIDRAPE IOBAN 6640,$61.05
32101206,BONE COLLECTOR,$356.05
32101214,ANESTHESIA LOCAL,$69.00
32101222,CANNULA VITALCOR PERFUSION,$354.80
32101230,CRYO ABLATION PROBE,"$8,652.00"
32101248,DV NEEDLE DRIVER CURVED,$127.70
32101255,COBRA FUSION KIT,"$19,827.50"
32101263,MISONIX PROBE KIT,"$1,442.00"
32101271,SLEEVE DALL MILES CABLE,$915.60
32101289,PLATE DALL MILES,"$2,046.60"
32101297,MISONIX TUBE SET MXC-T,$280.40
32101305,CANNULA DIP PERFUSION,$44.00
32101313,ENDO LIGACLIP,$412.25
32101321,STAPLER ROTICULATING,"$2,055.00"
32101339,PATCH HEMASHIELD 0.8X7.5,$570.55
32101347,TUBE INTESTINAL BAKER,"$1,358.50"
32101354,CATH HICKMAN 9FR,$929.80
32101362,CATH HICKMAN 12FR,$879.90
32101370,WIRE GUIDE URET BOSTON 35,$454.25
32101388,MESH COMPOSITE 15x20 OVAL,"$3,019.00"
32101396,MESH COMPOSITE 15x15 SQUARE,"$1,699.00"
32101404,MESH COMPOSITE 10x15 OVAL,"$1,662.35"
32101412,MESH UMBILICAL PATCH 4CM,"$1,401.35"
32101420,MESH UMBILICAL PATCH 6CM,"$1,533.00"
32101438,MESH UMBILICAL PATCH 8CM,"$1,969.20"
32101446,ENDO CUTTER RELOAD 55MM,$262.30
32101453,ATRICLIP STANDARD HANDLE CLIP,"$7,192.00"
32101461,STRAIGHT LOCAL CYSTO BARKSDALE,"$1,200.00"
32101479,WIRE GUIDE ACUTRAK,$154.50
32101487,CATH BALLOON DILITATION,"$1,301.30"
32101495,WIRE CUTTER,$52.80
32101503,STAPLER TX30V LONG,$763.95
32101511,TRAY CV LEG,"$1,045.85"
32101529,TRAY CV CHEST,$822.25
32101537,BLADE PLANTAR FASCIOTOMY,$581.10
32101545,ADAPTOR OMNI FLEX,$25.85
32101552,DRESSING SOFTSORB 9 X 15,$45.20
32101560,DRESSING NUSTAT 4X8,$401.75
32101578,DRESSING NUSTAT 3X48,$431.00
32101586,TUBING PE 36IN,$207.25
32101594,SET NORMOTHERMIC IV FLUIDS,$212.85
32101602,LIGAMENT HEMI PATELLAR,"$9,822.86"
32101610,DRESSING SOFTSORB 15 X 18,$69.40
32101628,DRESSING SOFTSORB 15 X 24,$108.05
32101636,DV VESSEL SEALER,"$2,145.00"
32101644,NEEDLE SPINAL HAVEL 8 INCH,$103.95
32101651,BONE QUAD HEMI,"$9,534.85"
32101669,VALVE AORTIC STENTED TRIFECTA,"$21,251.50"
32101677,EZ DERM PATCH 3X4,$422.60
32101685,SET NORMOTHERMIC LR600,$387.50
32101693,FORCEPS SEITZINGER,"$1,514.10"
32101701,ENDO ROTIC GIA 45 PURPLE ST,"$1,046.90"
32101719,EZ DERM MESH 1/4 SQ FT ROLL,$720.65
32101727,ENDO ROTIC GIA 60 PURPLE ST,"$1,377.45"
32101735,EZ DERM MESH 1/2 SQ FT ROLL,"$1,121.30"
32101743,WIRE GUIDE,$548.45
32101750,SET ARTHROSCOPY 4 LEAD,$152.05
32101768,EZ DERM MESH 7 X 18,"$1,341.90"
32101776,ENDO ROTIC GIA TAN ST,"$1,008.35"
32101784,EZ DERM MESHED SQ FT ROLL,"$1,368.90"
32101792,ENDO RELOAD TRISTAPLE 45,"$1,404.25"
32101800,ENDO RELOAD TRISTAPLE 60,"$1,654.10"
32101818,CATH BRONCHO LT & RT,$535.45
32101826,CORKNOT MIS KIT,"$2,884.00"
32101834,ENDO THORACOPORT,$444.35
32101842,ENDO LINEAR CUTTER GST60 SERIES,$783.85
32101859,CAPIO SUTURE CAPTURE DEVICE,"$1,766.60"
32101867,CAPIO SUTURE,$366.40
32101875,ADHESIVE DERMABOND PRINEO,$430.05
32101883,SEALANT TACHOSIL 9.5 X 4.8 CM,"$2,275.60"
32101891,ENDOTUBE REINFORCED,$158.40
32101909,SEALANT TACHOSIL 4.8 X 4.8 CM,"$1,334.75"
32101917,SUTURE CARDIOXYL,$268.30
32101925,CANNULA ARTERIAL 20 FR EOPA,$472.40
32101933,IMPLANT ZIPFIX STERNAL,"$1,759.25"
32101941,BLADE SAGITAL LARGE BONE,$263.45
32101958,CATH PERITONEAL DIALYSIS,$572.25
32101966,IMPLANT KIT FOR PD CATH,$715.30
32101974,STAPLER ECHELON VASCULAR,$549.25
32101982,STAPLER RELOAD VASCULAR VASECR,$722.30
32101990,ENDO RELOAD 20 TAN ST,$882.39
32102006,CUTTER VALVE LEATHER,$538.40
32102014,ENDO RELOAD 30 TAN CV,"$1,066.95"
32102022,DRESSING NUSTAT 12X12,$380.95
32102030,SIM ANNULOPLASTY SYSTEM,"$7,029.75"
32102048,SET PRESSURE INFUSOR,$170.50
32102055,CATH HAKIM VENT,$901.30
32102063,ENDO RELOAD 45 GRAY ST,"$1,206.00"
32102071,APPLICATOR ARISTA FLEXTIP XL,$169.95
32102089,CATH INTRASPINAL,$0.00
32102097,GENERATOR NONRECHG NEUROSTIM,$0.00
32102105,HARMONIC SHEAR ACE +7,"$1,714.20"
32102113,BONE FIBULAR SHAFT 6CM,"$2,426.15"
32102121,BONE FIBULAR SHAFT 8CM,"$2,589.95"
32102139,RETRACTOR WAVEGUIDE LIGHTED,"$1,239.90"
32102147,SABER WAVEGUARD W YANK,"$1,239.90"
32102154,GUARD TEETH,$13.20
32102162,TACKER RELTACK 10R,$946.80
32102170,SCOPE WARMING KIT,$232.15
32102188,NEEDLE CYSTOSCOPY INJECTION,$236.05
32102196,CATH PACING TD SWAN GANZ,"$1,120.40"
32102212,SET CHIOU INTRODUCER,$450.95
32102220,ANSELL KIT OR TURNOVER,$66.00
32102238,WIRE PACING TEMP BIPOLAR,$294.25
32102246,RETRACTOR ALEXIS ORTHOPEDIC SM,$810.70
32102253,SOLN HEPARINZED SALINE 1000CC,$92.95
32102261,ENSEAL DEVICE 45CM CURVED JAW LAPARO,"$1,989.20"
32102279,KIT IVAS SYSTEM 8G/15MM,"$4,124.10"
32102287,KIT BONE BIOPSY 8 GAUGE,$384.90
32102295,KIT IVAS SYSTEM 10G/10MM,"$4,124.10"
32102303,SYSTEM AUTOPLAX W BONE CEMENT,"$2,905.60"
32102311,HAND DRILL 10 GAUGE,$289.30
32102329,HAND DRILL 8 GAUGE,$363.40
32102337,CLIP PARELLEL SPRING,$52.80
32102345,CANNULA CEMENT 10G,$241.30
32102352,CANNULA CEMENT 8G,$242.74
32102360,BAND FALLOPLAN RING,$211.50
32102378,KIT BONE BIOPSY 10 GAUGE,$381.50
32102386,MESH MARLEX PLUG,"$1,233.75"
32102394,INFUSION PUMP PROGRAMMABLE,$0.00
32102402,STENT ESOPHAGEAL WALLFLEX,"$8,944.00"
32102410,KIT ACCESSORY HEMAPRO,$641.80
32102428,DRAPE C-ARMOUR,$336.15
32102436,EPIFIX 2CMX3CM,$0.00
32102444,NEEDLE WHITACRE,$77.30
32102451,NEEDLE SPINAL HAVEL 5 1/2 IN,$99.55
32102469,TUBING THORADRAIN DUAL,$95.45
32102477,EPIFIX 4CMX4CM,$0.00
32102485,EPIXL 4CMX10CM,$0.00
32102493,BLADE GATOR,$581.10
32102501,LEAD NEUROSTIM,$0.00
32102519,EPIBURN 7CMX15CM,$0.00
32102527,ENDO LINEAR CUTTER ETS FLEX35 ARTICULATE,"$1,214.20"
32102535,PLASMA SCAPEL CANADY,"$1,460.00"
32102543,ALLOGRAFT AMNIOFIX 2X12,"$4,326.00"
32102550,HARMONIC SYNERGY COMBO HOOK BLADE,"$1,080.20"
32102568,MANIPULATOR UTERINE,$212.85
32102576,MICROCATHETER SUREFIRE INFUSION,"$10,815.00"
32102584,CATH GUIDING SUREFIRE COBRA,"$1,263.76"
32102592,CATHETER PANTHERIS,"$10,797.00"
32102600,CATH BALLOON NANOCROSS PTA 5X150,"$1,369.90"
32102618,LIVER ACCESS AND BIOPSY SET,"$1,528.50"
32102626,PT PROGRAMMER NEUROSTIM,$0.00
32102634,TENDON GRACILIS,"$4,344.00"
32102642,DOUBLE CLAMP MEDIUM,$310.00
32102659,BLADE SAW DISP,$106.45
32102667,SINGLE CLAMP MEDIUM,$353.30
32102675,GENERATOR RECHGABLE NEUROSTIM,$0.00
32102683,COSEAL SEALANT 4ML,"$2,102.10"
32102691,COBAN WRAP 4 INCH,$30.25
32102709,COSEAL SEALANT 8ML,"$3,254.00"
32102717,CORD DISP ACTION,$135.05
32102725,APPLICATOR TIPS COSEAL,$236.40
32102733,STAPLER FASCIA,$632.15
32102741,COBAN WRAP 2 & 3 INCH,$17.05
32102766,ADAPTOR OR EXTENSION NEUROSTIM,$0.00
32102774,SPRAY SET COSEAL,$243.85
32102790,ANESTHESIA GENERAL OFF UNIT,$435.60
32102808,LAPAROSCOPIC TIP 35CM RIGID,$351.30
32102816,INTRODUCER NEUROSTIM,$0.00
32102824,BLADE ZIMMER DERMATONE,$381.55
32102832,CATH C-GRAM BALLOON,$479.60
32102840,LAPAROSCOPIC TIP 45CM FLEXIBLE,$227.10
32102857,MICROMATRIX 500MG,$0.00
32102865,TRIAL LEAD NEUROSTIM,$0.00
32102873,MATRISTEM 3CM X 7CM,$0.00
32102881,KIT JACKSON TABLE PT CARE,$266.50
32102899,MATRISTEM 7CM X 10CM,$0.00
32102907,MATRISTEM 10CM X 15CM,$0.00
32102915,BIPOLAR IRRIGATION SET,$255.10
32102923,MESH BIO-A 7X10 CM,"$1,939.50"
32102931,WOUND MATRIX CYTAL 3 LAYER 7CM X 10CM,$0.00
32102949,WOUND MATRIX CYTAL 3 LAYER 10CM X 15CM,$0.00
32102964,WOUND MATRIX CYTAL 6 LAYER 7CM X 10CM,$0.00
32102972,LIGACLIP LC-100,$30.25
32102980,WOUND MATRIX CYTAL 6 LAYER 10CM X 15CM,$0.00
32102998,BOW TRACTION,$601.15
32103004,GRAFT FLIXENE 6X40,"$4,122.65"
32103012,SUTURE TEV CUSTOM PACK V-1199,$500.00
32103020,BURN MATRIX 5CM X5CM,$0.00
32103038,GRAFT FLIXENE 6X50,"$4,466.35"
32103046,BURN MATRIX 7CM X 10CM,$0.00
32103053,BURN MATRIX 10CM X 15CM,$0.00
32103061,BANDAGE FLEXMASTER 6 IN,$96.80
32103079,STENT URET SOFT-FLEX 4.7,$445.80
32103087,MICROMATRIX 200MG,$0.00
32103095,EXTRACTOR HELICAL W FILIFORM,$866.50
32103103,GRAFT FLIXENE 6X30,"$3,950.90"
32103111,SOLN SORBITOL 3% IRRIGATION,$102.80
32103129,MICROMATRIX 500MG PER MG CHG,$9.73
32103137,STENT URETERAL METAL,"$3,135.10"
32103145,MATRISTEM 3X7 PER SQ CM CHG,$33.15
32103152,MATRISTEM 7X10 PER SQ CM CHG,$17.77
32103160,MATRISTEM 10X15 PER SQ CM CHG,$17.28
32103178,WASHER SYNTHES SPIKED,$691.50
32103186,CYTAL 3 7X10 PER SQ CM CHG,$99.59
32103194,CYTAL 3 10X15 PER SQ CM CHG,$79.67
32103202,CYTAL 6 7X10 PER SQ CM CHG,$132.64
32103210,CYTAL 6 10X15 PER SQ CM CHG,$106.23
32103228,MATRISTEM BURN 5X5 PER SQ CM CHG,$104.11
32103236,MATRISTEM BURN 7X10 PER SQ CM CHG,$54.72
32103244,STYLET INTUBATING SATIN-SLIP,$28.90
32103251,MATRISTEM BURN 10X15 PER SQ CM CHG,$45.96
32103269,MICROMATRIX 200MG PER MG CHG,$11.06
32103277,INTRODUCER ENDOSCOPIC CATH,$236.70
32103301,CATH NEPHROMAX 24FR,"$1,424.00"
32103319,PLATE WURZBURG T-SHAPE,$568.65
32103327,SUTURE ETHIBOND SH 4-0,$41.50
32103343,CLIP STERNAL,$20.35
32103350,GUIDE WIRE Y-WIRE 2,"$1,694.35"
32103368,CONNECTOR BLAKE,$71.50
32103376,NEEDLE TIGER,$847.20
32103384,"SHEATH URETERAL GUIDE 28,35,45",$550.45
32103392,NEEDLE BONE MARROW 11G 15CM,$807.25
32103400,GUIDE GABBAY FRATER,$372.10
32103418,STRATAFIX SPIRAL PDO 14X14,$274.45
32103426,STRATAFIX SYMMETRIC PDS 48MM,$230.55
32103434,STRATAFIX SPIRAL PGA-PCL 16X16,$294.55
32103442,STRATAFIX SYMMETRIC PDS 40MM,$294.55
32103459,STRATAFIX SPIRAL PDO 30 & 36,$294.55
32103467,BLADE QUADCUT,"$1,096.65"
32103475,IDRIVE HANDLE,$858.40
32103483,BLADE RAD 40,"$1,077.15"
32103491,BLADE INFERIOR TURBINATE,"$1,106.50"
32103509,BUR CURVED SINUS,"$1,271.85"
32103517,DV XI MONO CURVED SCISSOR,"$1,153.60"
32103525,DV XI BIPOLAR,$973.35
32103533,STAPLER TR 60 LOAD UNIT,$421.60
32103541,STAPLER TCR 55 LOAD UNIT,$390.25
32103558,DV XI MEGA SUTURECUT,$865.20
32103566,DV XI FORCEP/DRIVER,$793.10
32103574,DV XI LARGE CLIP APPLIER,$100.95
32103582,IDRIVE ADAPTOR,$381.50
32103590,IDRIVE BATTERY,$103.00
32103608,STAPLER T 30 LOAD UNIT,$402.90
32103616,VENT HUMID,$23.40
32103624,DV XI VESSEL SEALER,"$2,145.00"
32103632,DV XI STAPLER 45 RELOAD,$858.40
32103640,MESH DUAL 8X12,"$1,143.30"
32103657,STIMULATOR NERVE,$438.00
32103665,ENT SNARE,$6.90
32103673,MESH PROLENE PHS,"$1,286.70"
32103681,DV XI STAPLER 30 RELOAD,$814.70
32103699,DV XI ARM DRAPE,$248.00
32103707,DRESSING MEPILEX AG 8 X 20,$332.63
32103715,STOCKINETTE IMPERVIOUS 9IN,$52.80
32103723,ENDOTUBE NASAL RAE CUFFED 3.5,$41.20
32103731,AIRWAY NASOPHARYNGEAL,$40.45
32103749,DV XI COLUMN DRAPE,$185.40
32103756,DV XI BLADELESS OBTURATOR,$715.35
32103764,ENDOTUBE NASAL RAE CUFFED 4.0,$41.20
32103772,ENDOTUBE NASAL RAE CUFFED 4.5,$41.20
32103780,ENDOTUBE NASAL RAE CUFFED 5.0,$41.20
32103798,ENDOTUBE NASAL RAE CUFFED 5.5,$41.20
32103806,DV XI UNIVERAL SEAL,$185.40
32103814,PROSTHESIS VALVED GRAFT AORTIC 19MM,"$14,600.25"
