Standard Charge Description,Charge Description Master,Charge as of 1.1.19
"RED BLOOD COUNT, AUTOMATED TEST",41304105,57.50
REMOVAL OF ANTIBODIES FROM SURFACE OF RED BLOOD CELL,41301606,123.45
RENIN (KIDNEY ENZYME) LEVEL,41303155,144.40
RHEUMATOID FACTOR ANALYSIS,41306252,79.20
SCREENING TEST FOR ANTIBODY TO NONINFECTIOUS AGENT,41302111,691.27
SCREENING TEST FOR AUTOIMMUNE DISORDER,41306200,173.00
SCREENING TEST FOR COMPATIBLE BLOOD UNIT,41301521,180.00
SCREENING TEST FOR MONONUCLEOSIS (MONO),41306242,156.40
SCREENING TEST FOR PATHOGENIC ORGANISMS,41306107,84.40
SCREENING TEST FOR PRESENCE OF ANTIBODY,41306221,86.00
SCREENING TEST FOR RED BLOOD CELL ANTIBODIES,41301510,86.75
SEMEN ANALYSIS FOR SPERM PRESENCE,41304915,63.95
"SEMEN EVALUATION VOLUME, SPERM COUNT, MOTILITY AND ANALYSIS",41304911,155.50
SEX HORMONE BINDING GLOBULIN (PROTEIN) LEVEL,41303315,168.65
SKIN TEST FOR TUBERCULOSIS,41321660,88.20
SMEAR FOR PARASITES,41306629,13.33
SODIUM LEVEL,41302477,34.74
SOMATOMEDIN (GROWTH FACTOR) LEVEL,41302905,499.05
SPECIAL STAIN FOR MICROORGANISM,41306054,59.10
SPECIAL STAIN FOR MICROORGANISM,41306603,91.90
SPECIAL STAIN FOR PARASITES,41306631,24.71
SPECIAL STAINED SPECIMEN SLIDES TO EXAMINE TISSUE,41305968,520.00
SPECIAL STAINED SPECIMEN SLIDES TO EXAMINE TISSUE INCLUDING INTERPRETATION AND REPORT,41305985,290.70
SPECIAL STAINED SPECIMEN SLIDES TO IDENTIFY ORGANISMS INCLUDING INTERPRETATION AND REPORT,41305980,145.00
SPECIFIC GRAVITY (LIQUID WEIGHT) MEASUREMENT,41304466,46.00
SPECIMEN ANALYSIS FOR BLOOD,41306602,43.90
SPERM ISOLATION AND SEMEN ANALYSIS FOR FERTILIZATION OR DIAGNOSIS,41304941,155.50
SPLITTING OF BLOOD OR BLOOD PRODUCTS,41301512,120.30
STOOL ANALYSIS FOR BLOOD,41306606,34.90
STOOL CALPROTECTIN (PROTEIN) LEVEL,41303147,455.00
STOOL CULTURE,41306079,102.90
STOOL FAT ANALYSIS,41306613,12.84
STOOL LACTOFERRIN (IMMUNE SYSTEM PROTEIN) ANALYSIS,41306889,57.10
"STREP TEST (STREPTOCOCCUS, GROUP A)",41306266,128.70
SULFHEMOGLOBIN (HEMOGLOBIN) LEVEL,41303357,42.25
SYPHILIS DETECTION TEST,41306275,41.10
SYPHILIS TEST,41306260,76.20
T CELL COUNT AND RATIO,41304825,123.18
TACROLIMUS LEVEL,41302791,170.00
TEST FOR DETECTING GENES ASSOCIATED WITH FETAL DISEASE,41306815,853.13
TESTING FOR PRESENCE OF DRUG,41303336,263.00
TESTOSTERONE (HORMONE) LEVEL,41303173,234.55
TESTOSTERONE (HORMONE) LEVEL,41303170,90.65
THEOPHYLLINE LEVEL,41302040,154.00
THYROGLOBULIN (THYROID PROTEIN) ANTIBODY MEASUREMENT,41303181,69.23
THYROGLOBULIN (THYROID RELATED HORMONE) LEVEL,41303182,41.28
"THYROID HORMONE, T3 MEASUREMENT",41303316,361.25
THYROID STIMULATING IMMUNE GLOBULINS (THYROID RELATED PROTEIN) LEVEL,41303318,81.90
THYROXINE (THYROID CHEMICAL) MEASUREMENT,41302460,127.10
THYROXINE (THYROID CHEMICAL) MEASUREMENT,41302215,106.40
TISSUE CULTURE FOR TUMOR DISORDERS OF BONE MARROW AND BLOOD CELLS,41304820,"1,471.60"
TISSUE CULTURE INOCULATION FOR VIRUS ISOLATION,41306454,237.90
TISSUE CULTURE TO IDENTIFY SKIN DISORDERS,41301542,"1,352.00"
TISSUE CULTURE TO IDENTIFY WHITE BLOOD CELL DISORDERS,41301541,"1,066.00"
TISSUE OR CELL ANALYSIS BY IMMUNOLOGIC TECHNIQUE,41305965,299.05
TOBRAMYCIN (ANTIBIOTIC) LEVEL,41302447,185.95
TOPIRAMATE LEVEL,41303186,160.60
"TOTAL PROTEIN LEVEL, BLOOD",41302385,97.75
"TOTAL PROTEIN LEVEL, BODY FLUID",41302375,97.75
"TOTAL PROTEIN LEVEL, URINE",41302395,97.75
TRANSFERRIN (IRON BINDING PROTEIN) LEVEL,41303190,67.10
TRANSFUSION OF BLOOD OR BLOOD PRODUCTS,41301815,781.30
TRIGLYCERIDES LEVEL,41302455,90.10
TROPONIN (PROTEIN) ANALYSIS,41302173,157.20
TUBERCULOSIS TEST,41306544,146.25
UREA NITROGEN LEVEL TO ASSESS KIDNEY FUNCTION,41302090,76.20
UREA NITROGEN LEVEL TO ASSESS KIDNEY FUNCTION,41302480,118.05
"URIC ACID LEVEL, BLOOD",41302490,105.40
URINE CALCIUM LEVEL,41302105,73.20
URINE CHLORIDE LEVEL,41302150,101.15
URINE MICROALBUMIN (PROTEIN) LEVEL,41303102,116.15
URINE OSMOLALITY (CONCENTRATION) MEASUREMENT,41302330,108.40
URINE PHOSPHATE LEVEL,41302345,69.40
URINE POTASSIUM LEVEL,41302365,99.45
URINE SODIUM LEVEL,41302430,115.45
URINE VANILLYLMANDELIC ACID,41303210,57.20
VALPROIC ACID LEVEL,41302470,153.05
VANCOMYCIN (ANTIBIOTIC) LEVEL,41302507,179.75
VITAMIN A LEVEL,41303327,90.00
VITAMIN B-1 (THIAMINE) LEVEL,41303328,82.55
VITAMIN B-2 (RIBOFLAVIN) LEVEL,41303206,511.65
VITAMIN B-6 LEVEL,41303207,169.30
VITAMIN D-3 LEVEL,41302885,49.40
VITAMIN E LEVEL,41303200,96.00
VITAMIN MEASUREMENT,41303354,308.75
"WET MOUNTS, INCLUDING PREPARATIONS OF VAGINAL, CERVICAL OR SKIN SPECIMENS",41306096,79.10
"WHOLE BLOOD OR RED BLOOD CELLS, LEUKOCYTES REDUCED, CMV-NEGATIVE, EACH UNIT",41301735,210.05
ZINC LEVEL,41303220,76.45
ZONISAMIDE LEVEL,41303216,253.50
