Charge Code Description,"Rev
Code","Proc
 Code","Rate 
Exception",,,,,,,,,
3705106,SHILEY #4.0 PED,SUPP,A,272,,,,,,176,N,N
3706510,NB-UMBILICAL CATH,NSRY,A,360,36510,,,,,322,N,N
3706569,INSERT PICC LINE,IPCS,A,361,36569,,,,,"1,234.00",N,Y
3707777,OUTSIDE SUPPLIES,SUPP,A,271,,,,,,0,N,N
3708221,BONE MARROW BIOPSY& ASPIRATION,CHEM,A,360,38222,,,,,"1,985.00",N,N
3709020,OB-FETAL CONTRACT STRESS TST,OB,A,920,59020,,,,,215,N,N
3709025,OB-EFM WITH OR WITHOUT NST,OB,A,920,59025,,,,,230,N,N
3709200,OB-PREPIDIL/CYTOTEC INSERT,DEL,A,721,59200,,,,,496,N,Y
3709440,NB-RESUSCITATION NEWBORN,DEL,A,720,99465,,,,,773,N,N
3709997,OTHER OUTSIDE SUPPLIES,SUPP,A,271,,,,,,0,N,N
3709998,NO CHARGE,SUPP,A,997,,,,,,0,N,N
37609L,"LIGATION OR BX, TEMPORAL ARTERY-GS",HCGS,A,960,37609,,,,,988,N,Y
3800000,OPER RM-INITIAL HR,SCS,A,360,,,,,,"5,183.00",N,N
3800001,OPER RM-EA ADD'L 1/4 HR,SCS,A,360,,,,,,714,N,N
3800002,OPERATING RM-CANCELLED,SCS,A,360,,,,,,"1,030.00",N,N
3800015,"OPER RM - EXTENSIVE, INITIAL HR",SCS,A,360,,,,,,"6,972.00",N,N
3800016,HIMS CODING,SCS,A,360,,,,,,0,N,N
3800018,INTEG SERVICE HRS OVER 3,SCS,A,360,,,,,,541,N,N
3800019,INTEG TRANSPORT SURCHARGE,SCS,A,360,,,,,,593,N,N
3800075,AMVISC,SCS,A,250,,,,,,264,N,N
3800084,LEEP SMOKE EVAC TUBING 6084,SCS,A,272,,,,,,124.5,N,N
3800085,LEEP RADIUS ELECTRODE,SCS,A,272,,,,,,126.5,N,N
3800086,LEEP BALL ELECTRODE,SCS,A,272,,,,,,126.5,N,N
3800087,LEEP RETURN PADS 6050P1,SCS,A,271,,,,,,54,N,N
3800088,VAG PACKING STRIPS,SCS,A,997,,,,,,0,N,N
3800089,LEEP-FOOT CONTROL HANDLE 6040,SCS,A,272,,,,,,287,N,N
3800092,LEEP PREFILTER 52560,SCS,A,271,,,,,,66,N,N
3800093,FIXATION DEVICE 5 MM,SCS,A,272,,,,,,"3,197.00",N,N
3800099,DISCOVISC,SCS,A,250,,,,,,452.5,N,N
3800115,EYE PROTECTOR OPTI GARD,SCS,A,997,,,,,,0,N,N
3800118,PRIMARY SET (OR),SCS,A,997,,,,,,0,N,N
3800121,BLOOD SET (ANESTHESIA),SCS,A,997,,,,,,0,N,N
3800122,LENS HOYA PRELOAD 250,SCS,A,276,V2632,,,,,700,N,N
3800124,LENS SOFPORT LI61AO,SCS,A,276,V2632,,,,,700,N,N
3800125,VAC CURETTE CURVED 9MM,SCS,A,272,,,,,,25,N,N
3800126,URO DYN INFUSION PUMP TUBING - LABORIE,SCS,A,272,,,,,,71.5,N,N
3800127,URO DYN ELECTRODE PATCHES 7410-003,SCS,A,271,,,,,,4.5,N,N
3800128,LENS ALCON MTA4UO,SCS,A,276,V2630,,,,,425,N,N
3800129,URO-BUGBEE ELECTRODE 58CM,SCS,A,272,,,,,,386,N,N
3800130,ESMARK 6 X 12,SCS,A,997,,,,,,0,N,N
3800131,LENS ACRYSOF AUOOTO PRELOAD,SCS,A,276,V2632,,,,,780,N,N
3800132,ESMARK 4 x 9,SCS,A,997,,,,,,0,N,N
3800141,INTRA-COMPARTMENTAL MONITOR SET,SCS,A,272,,,,,,388,N,N
3800142,"DRESSING, MEPILEX 4X12",SCS,A,997,,,,,,0,N,N
3800143,DRESSING AQUACEL 3.5 X 10 IN,SCS,A,272,,,,,,209,N,N
3800230,"AIRWAY, 11.0CM OROPHARYN GUEDEL",SUPP,A,997,,,,,,0,N,N
3800231,ORAL AIRWAY 100 MM,SCS,A,997,,,,,,0,N,N
3800232,ORAL AIRWAY 90 MM,SCS,A,997,,,,,,0,N,N
3800233,ORAL AIRWAY 80 MM,SCS,A,997,,,,,,0,N,N
3800234,ORAL AIRWAY 70 MM,SCS,A,997,,,,,,0,N,N
3800235,ORAL AIRWAY 60 MM,SCS,A,997,,,,,,0,N,N
3800236,ORAL AIRWAY 55 MM,SCS,A,997,,,,,,0,N,N
3800237,ORAL AIRWAY 50 MM,SCS,A,997,,,,,,0,N,N
3800239,LMA UNIQUE #1.5,SCS,A,997,,,,,,0,N,N
3800241,LMA UNIQUE #2.5,SCS,A,997,,,,,,0,N,N
3800242,LMA UNIQUE #2,SCS,A,997,,,,,,0,N,N
3800243,NASO AIRWAY 34 FR,SCS,A,997,,,,,,0,N,N
3800244,NASO AIRWAY 32 FR,SCS,A,997,,,,,,0,N,N
3800246,NASO AIRWAY 30 FR,SCS,A,997,,,,,,0,N,N
3800247,NASO AIRWAY 28 FR,SCS,A,997,,,,,,0,N,N
3800248,NASO AIRWAY 26 FR,SCS,A,997,,,,,,0,N,N
3800249,NASO AIRWAY 24 FR,SCS,A,997,,,,,,0,N,N
3800250,ORAL AIRWAY 40 MM,SCS,A,997,,,,,,0,N,N
3800251,OVASSAPIAN AIRWAY 85 MM,SCS,A,997,,,,,,0,N,N
3800252,NASO AIRWAY 14 FR,SCS,A,997,,,,,,0,N,N
3800253,NASO AIRWAY 16 FR,SCS,A,997,,,,,,0,N,N
3800254,NASO AIRWAY 18 FR,SCS,A,997,,,,,,0,N,N
3800255,NASO AIRWAY 12 FR,SCS,A,997,,,,,,0,N,N
3800256,NASO AIRWAY 20 FR,SCS,A,997,,,,,,0,N,N
3800259,NASO AIRWAY 22 FR,SCS,A,997,,,,,,0,N,N
3800260,MASK ANES LARGE ADULT,SCS,A,997,,,,,,0,N,N
3800261,MASK ANES SMALL ADULT,SCS,A,997,,,,,,0,N,N
3800262,ARTHROSCOPY 5.5 MM CANNULA,SCS,A,272,,,,,,191,N,N
3800263,MICRODRIP TUBING 60 DROP - 42133E,SCS,A,997,,,,,,0,N,N
3800264,BREATHING CIRCUIT PEDI,SCS,A,997,,,,,,0,N,N
3800265,BREATHING CIRCUIT ADULT,SCS,A,997,,,,,,0,N,N
3800266,LIGHT HANDLE COVER-STERIS,SCS,A,997,,,,,,0,N,N
3800267,HEAT EXCHANGER,SCS,A,997,,,,,,0,N,N
3800268,DIVIDED ADULT CANNULA O2,SCS,A,997,,,,,,0,N,N
3800269,ABLATION - GENESYS,SCS,A,272,,,,,,"6,392.00",N,N
3800270,ET TUBE CUFFED 5.5MM,SCS,A,997,,,,,,0,N,N
3800271,CHLORAPREP,SCS,A,997,,,,,,0,N,N
3800272,ET TUBE CUFFED 5.0MM,SCS,A,997,,,,,,0,N,N
3800273,ET TUBE CUFFED 3.5MM,SCS,A,997,,,,,,0,N,N
3800274,ET TUBE CUFFED 6.0MM,SCS,A,997,,,,,,0,N,N
3800277,ET TUBE CUFFED 6.5MM,SCS,A,997,,,,,,0,N,N
3800278,"MICROBORE EXT SET 72""",SCS,A,997,,,,,,0,N,N
3800280,EPIDUAL TRAY#CE17TK,SCS,A,997,,,,,,0,N,N
3800283,ET TUBE CUFFED 7.0MM,SCS,A,997,,,,,,0,N,N
3800284,ET TUBE CUFFED 7.5MM,SCS,A,997,,,,,,0,N,N
3800285,ESOPHAGEAL STETHOSCOPE,SCS,A,997,,,,,,0,N,N
3800286,SYNEVAC HOSE LG 810,SCS,A,272,,,,,,59,N,N
3800287,ARTLINE CATH  ARTERIAL 20G X 1 3/4,SCS,A,272,C1751,,,,,57.5,N,N
3800288,PORT-V ACCESS CT LOW PROFILE PORT,SCS,A,278,C1788,,,,,"1,250.00",N,N
3800289,ET TUBE CUFFED 8.0MM,SCS,A,997,,,,,,0,N,N
3800290,INTUBAT-STYLET 14 FR,SCS,A,997,,,,,,0,N,N
3800291,ET TUBE CUFFED 8.5MM,SCS,A,997,,,,,,0,N,N
3800292,HEAD POSITIONER 'PRONE,SCS,A,997,,,,,,0,N,N
3800294,CMAC D BLADE 051116-01,ANES,A,272,,,,,,81,N,N
3800295,SAMPLING LINE,SCS,A,997,,,,,,0,N,N
3800297,SPINAL/EPI COMB TRAY 18GA,SCS,A,997,,,,,,0,N,N
3800300,SPINAL TRAY PECAN,SCS,A,997,,,,,,0,N,N
3800305,SPINAL NEEDLE 22GX 1.5,SCS,A,997,,,,,,0,N,N
3800307,SPINAL NEEDLE 22X5 QUINC,SCS,A,997,,,,,,0,N,N
3800308,SPINAL NEEDLE 256X4.7 QUINCKE,SCS,A,272,,,,,,23.5,N,N
3800310,DISP INJECTION NEEDLE (ENDO),SCS,A,997,,,,,,0,N,N
3800311,SPINAL NEEDLE 20G X 6,SCS,A,997,,,,,,0,N,N
3800312,SPINAL NEEDLE 18G X 3.5,SCS,A,997,,,,,,0,N,N
3800315,SPINAL NEEDLE 22G X 3.5 QUINCK,SCS,A,997,,,,,,0,N,N
3800316,SPINAL NEEDLE 22G X 3.5 WHITAC,SCS,A,997,,,,,,0,N,N
3800319,SPINAL NEEDLE 25G X 3.5 QUINCK,SCS,A,997,,,,,,0,N,N
3800320,SPINAL NEEDLE 25G X 3.5 WHITAC,SCS,A,997,,,,,,0,N,N
3800321,SPINAL NEEDLE 25G 5 WHITAC,SCS,A,997,,,,,,0,N,N
3800322,SPINAL NEEDLE 22G X 7 QUINCK,SCS,A,997,,,,,,0,N,N
3800332,ENSEAL X1 LG JAW N5LX120L,SCS,A,272,,,,,,"2,656.00",N,N
3800349,"BLADE - STRY SAG, 6118-127-090",SCS,A,272,,,,,,319.5,N,N
3800353,BLADE-SIDE CUT BUR 1607-002-103,SCS,A,272,,,,,,61.5,N,N
3800354,BLADE-CRESENTIC OFFSET 5400-31-171,SCS,A,272,,,,,,640,N,N
3800355,BLADE-CRESCENTIC SAW Z0-072,SCS,A,272,,,,,,304,N,N
3800356,BLADE- ROUND BURR 2.4 1608-2-9,SCS,A,272,,,,,,280,N,N
3800357,BLADE - EGG BURR 1607-2-35,SCS,A,272,,,,,,316.5,N,N
3800358,BLADE - HELICOIDAL RASP 1608-2-103,SCS,A,272,,,,,,346,N,N
3800359,STIM - EPIMED SC-4210,SCS,A,272,,,,,,268.5,N,N
3800360,STIM - OR CABLE & EXT SC4100A,SCS,A,272,,,,,,"1,000.00",N,N
3800361,STIM - FIXATE FB-101-01,SCS,A,272,,,,,,"2,250.00",N,N
3800365,"PENROSE DRAIN 1/4""",SCS,A,997,,,,,,0,N,N
3800498,PACK-LAVH PACK-LF,SCS,A,997,,,,,,0,N,N
3800499,DRAPE-LAVH DRAPE,SCS,A,997,,,,,,0,N,N
3800500,DRAPE-HALF SHEET,SCS,A,997,,,,,,0,N,N
3800505,DRAPE-C-ARM COVER,SCS,A,997,,,,,,0,N,N
3800507,MARKER STERILE SURG,SCS,A,997,,,,,,0,N,N
3800508,MARKER TWIN TIP,SCS,A,997,,,,,,0,N,N
3800510,DRAPE-CAMERA DRAPE,SCS,A,997,,,,,,0,N,N
3800515,DRAPE-STERILE SLEEVE,SCS,A,997,,,,,,0,N,N
3800520,DRAPE-EXTREMITY DRAPE,SCS,A,997,,,,,,0,N,N
3800521,DRAPE #1010,SCS,A,997,,,,,,0,N,N
3800522,DRAPE - ORTHOMAX HIP DYNJP8211,SCS,A,997,,,,,,0,N,N
3800523,DRAPE-ORTHOPEDIC SPLIT DRAPE-DR RAM,SCS,A,997,,,,,,0,N,N
3800524,LEG PILLOW,SCS,A,271,,,,,,150,N,N
3800534,DRAPE IOBAN 6650 EZ,SCS,A,997,,,,,,0,N,N
3800535,DRAPE IOBAN 6617,SCS,A,997,,,,,,0,N,N
3800540,DRAPE-LAPAROTOMY SHEET,SCS,A,997,,,,,,0,N,N
3800550,DRAPE-MAYO COVER,SCS,A,997,,,,,,0,N,N
3800560,DRAPE-TABLE DRAPE,SCS,A,997,,,,,,0,N,N
3800575,DRAPE-UTILITY DRAPE,SCS,A,997,,,,,,0,N,N
3800578,T4 HOOD,SCS,A,272,,,,,,131.5,N,N
3800579,TRANSDUCER COVER,SCS,A,272,,,,,,36,N,N
3800580,DRAPE-CASSETTE COVER,SCS,A,997,,,,,,0,N,N
3800582,DRAPE-SPLIT DRAPE (PLASTIC POLY U),SCS,A,997,,,,,,0,N,N
3800586,ARTLINE BLOOD SAMPLING,SCS,A,272,,,,,,101,N,N
3800587,ARTLINE KIT - ARROW,SCS,A,272,C1887,,,,,164,N,N
3800588,ARTHROSCOPY4.0 AGGRESSIVE,SCS,A,272,,,,,,253,N,N
3800589,ARTHROCARE TURBOVAC 90,SCS,A,272,,,,,,"1,703.50",N,N
3800590,PACK-ARTHROSCOPY CUSTOM,SCS,A,997,,,,,,0,N,N
3800595,PACK-BASIC PACK,SCS,A,997,,,,,,0,N,N
3800596,DRAPE-SHOULDER SPLIT SHEET,SCS,A,997,,,,,,0,N,N
3800597,PACK-SHOULDER PACK,SCS,A,272,,,,,,359,N,N
3800600,PACK-C-SECTION CUSTOM,SCS,A,997,,,,,,0,N,N
3800604,BLOCK NEEDLE 100MM,SCS,A,997,,,,,,0,N,N
3800605,PACK-CHOLE LAP CUSTOM PACK,SCS,A,997,,,,,,0,N,N
3800606,PNEUMO NEEDLE 150MM,SCS,A,272,,,,,,95.5,N,N
3800607,NEEDLE COUNTER KIT,SCS,A,997,,,,,,0,N,N
3800608,FLUID WARMER INFUSION SET,SCS,A,272,,,,,,66.5,N,N
3800611,PACK-TOTAL KNEE PACK,SCS,A,272,,,,,,479,N,N
3800616,PACK-EXTREMITY PACK,SCS,A,997,,,,,,0,N,N
3800625,PACK-LITHOTOMY PACK,SCS,A,997,,,,,,0,N,N
3800626,PACK-CATARACT PACK,SCS,A,997,,,,,,0,N,N
3800630,GOWN LG,SCS,A,997,,,,,,0,N,N
3800631,GOWN XL,SCS,A,997,,,,,,0,N,N
3800655,DRAPE-STOCKINETTE-OR,SCS,A,997,,,,,,0,N,N
3800667,MESH VENTRALEX ST 8 X 3.2 5950009,SCS,A,278,C1781,,,,,"2,745.00",N,N
3800668,MESH VENTRALEX ST 6.4 X 2.5 5950008,SCS,A,278,C1781,,,,,"2,183.00",N,N
3800669,MESH VENTRALIGHT ST W ECHO 4 X 6,SCS,A,278,C1781,,,,,"3,150.00",N,N
3800670,MESH POLY PLUG SMALL,SCS,A,278,C1781,,,,,983,N,N
3800671,MESH POLY PLUG MED,SCS,A,278,C1781,,,,,995,N,N
3800672,MESH POLY PLUG LG,SCS,A,278,C1781,,,,,980,N,N
3800673,MESH VENTRALIGHT - ECHO PS 7x9,SCS,A,278,C1781,,,,,"6,520.00",N,N
3800676,MESH VENTRALIGHT ECHO PS 6 X 10,SCS,A,278,C1781,,,,,"5,700.00",N,N
3800679,MESH VENTRALIGHT ST ECHO 10 X13,SCS,A,278,C1781,,,,,"9,280.00",N,N
3800680,MESH PROGRIP-RIGHT 12X8,SCS,A,272,C1781,,,,,"1,082.50",N,N
3800681,MESH PROGRIP LEFT 12X8,SCS,A,272,C1781,,,,,"1,082.50",N,N
3800682,LONESTAR BLUNT HOOKS 3350-8G,SCS,A,272,,,,,,53,N,N
3800683,BLADDER SLING OBTRYX M0068505110,SCS,A,272,,,,,,"6,037.00",N,N
3800685,MIC TUBE 18 FR 0100-18,SCS,A,272,,,,,,175,N,N
3800686,MIC TUBE 20 FR 0100-20,SCS,A,272,,,,,,175,N,N
3800785,VENOM RF CANNULA 100MM 20 GA,SCS,A,997,,,,,,0,N,N
3800786,VENOM RF CANNULA 150MM,SCS,A,997,,,,,,0,N,N
3800787,RFA ELECTRODE PATCH,SCS,A,997,,,,,,0,N,N
3800788,VENOM RFA CANNULA 100 MM 18GA,SCS,A,997,,,,,,0,N,N
3800789,SUPRAPUBIC CATHETER 16FR SFS16851,SCS,A,272,,,,,,130,N,N
3800802,COLONOSCOPY 1ST 1/2 HOUR,SCS,A,360,,,,,,"2,280.00",N,N
3800803,COLONOSCOPY EA ADD 1/4 HR,SCS,A,360,,,,,,476,N,N
3800804,EGD 1ST 1/2 HOUR,SCS,A,360,,,,,,"1,833.00",N,N
3800805,EGD EA ADD 1/4 HOUR,SCS,A,360,,,,,,143,N,N
3800808,COLONOSCOPY WITH CONS SED,SCS,A,360,,,,,,"2,267.00",N,N
3800809,EGD WITH CONS SED,SCS,A,360,,,,,,"1,813.00",N,N
3800819,URO DYN SINGLE SENSOR CATH (YELLOW),SCS,A,272,,,,,,223,N,N
3800820,URO DYN ABD SENSOR CATH (BLUE),SCS,A,272,,,,,,190,N,N
3800821,LOCAL CYSTOSCOPY(USE WITH URODYNAMICS),SCS,A,761,52000,,,,,"1,543.00",N,N
3800983,PACK-CYSTOSCOPY PACK,SCS,A,997,,,,,,0,N,N
3801001,"ACE/VELCRO 2"" STERILE",SCS,A,997,,,,,,0,N,N
3801002,"ACE/VELCRO 3"" STERILE",SCS,A,997,,,,,,0,N,N
3801003,"ACE/VELCRO 4"" STERILE",SCS,A,997,,,,,,0,N,N
3801004,"ACE/VELCRO 6"" STERILE",SCS,A,997,,,,,,0,N,N
3801090,LIGASURE ATLAS (LS1037),SCS,A,272,,,,,,"2,488.00",N,N
3801099,ABLATION-NOVASURE,SCS,A,272,,,,,,"4,492.50",N,N
3801123,HARMONIC ACE 36CM,SCS,A,272,,,,,,"3,701.00",N,N
3801124,CURVED SHEAR 9 CM,SCS,A,272,,,,,,"3,379.00",N,N
3801125,RUMI TIP WHITE UMW676,SCS,A,272,,,,,,275,N,N
3801126,RUMI TIP GREEN UMG670,SCS,A,272,,,,,,275,N,N
3801127,RUMI TIP BLUE UMB678,SCS,A,272,,,,,,275,N,N
3801128,RUMI TIP LAVENDAR UML516,SCS,A,272,,,,,,275,N,N
3801129,RUMI CUP 3.0 KC-RUMI-30,SCS,A,272,,,,,,564,N,N
3801130,RUMI CUP 3.5 KC-RUMI-35,SCS,A,272,,,,,,564,N,N
3801131,RUMI CUP 4.0 KC-RUMI-40,SCS,A,272,,,,,,564,N,N
3801268,ANES BOUGIE,SCS,A,997,,,,,,0,N,N
3801281,CMAC 3 BLADE 051113-01,ANES,A,272,,,,,,81,N,N
3801282,CMAC 4 BLADE 051114-01,ANES,A,272,,,,,,81,N,N
3801283,CMAC STYLET 8401DS,ANES,A,272,,,,,,171.5,N,N
3801286,BLADE- DUAL CUT SAG 4125-127-090,SCS,A,272,,,,,,294.5,N,N
3801287,BLADE - SAG 25090119YG1,SCS,A,272,,,,,,267,N,N
3801288,BLADE - RECIP 12076100SRT,SCS,A,272,,,,,,231,N,N
3801290,SHORT SHOT,SCS,A,997,,,,,,0,N,N
3801490,DISP SOCK/SUC ADAPT,SCS,A,997,,,,,,0,N,N
3801494,URO-URETERAL DUAL LUMEN 405100,SCS,A,272,,,,,,394,N,N
3801495,TRANS SPEC CONT,SCS,A,271,,,,,,97,N,N
3801497,URO-UROLOK ADAPTER M00673010401,SCS,A,272,,,,,,91.5,N,N
3801500,BOVIE DISP GROUND PAD,SCS,A,997,,,,,,0,N,N
3801501,ALEXIS LARGE RETRACTOR,SCS,A,272,,,,,,386,N,N
3801503,ALEXIS - MED RETRACTOR,SCS,A,272,,,,,,281,N,N
3801507,BOVIE TIP CLEANER,SCS,A,997,,,,,,0,N,N
3801508,SYNEVAC HOSE SM 600,SCS,A,272,,,,,,46,N,N
3801509,"SYNEVAC CONNECTING HOSE 18"" 20714",SCS,A,272,,,,,,13,N,N
3801519,BOVIE BLADE INSULATED E1455,SCS,A,272,,,,,,39,N,N
3801520,BOVIE HAND CTRL DISP,SCS,A,997,,,,,,0,N,N
3801521,BOVIE - SHORT NEEDLE,SCS,A,997,,,,,,0,N,N
3801523,"BOVIE BLADES LONG 6""",SCS,A,997,,,,,,0,N,N
3801524,CLIPPER HEADS,SCS,A,997,,,,,,0,N,N
3801530,NEEDLE COUNTER  OB,SCS,A,997,,,,,,0,N,N
3801531,ESOPH DIL ALLIANCE II INFLATION SYR 60ML,SCS,A,272,C1726,,,,,167.5,N,N
3801532,LIGHT HANDLE COVER-BLUE,SCS,A,997,,,,,,0,N,N
3801533,ESOPH DIL 12-13.5-15,SCS,A,272,,,,,,946,N,N
3801534,PNEUMONEEDLE 150MM (C2202),SCS,A,272,,,,,,121,N,N
3801536,ESOPH DIL 15-16.5-18,SCS,A,272,,,,,,946,N,N
3801539,ESOPH DIL 10-11-12,SCS,A,272,,,,,,946,N,N
3801540,DEFOGGER,SCS,A,997,,,,,,0,N,N
3801550,PREP TRAY,SCS,A,997,,,,,,0,N,N
3801557,PEANUT SPONGE,SCS,A,997,,,,,,0,N,N
3801560,UTERINE MANIPUJECTOR-DISP,SCS,A,272,,,,,,225,N,N
3801561,CLAMP COVER,SCS,A,997,,,,,,0,N,N
3801562,SNARE SHORT THROW OVAL,SCS,A,997,,,,,,0,N,N
3801564,PRO-MAG BX NEEDLE 10 CM,SCS,A,272,,,,,,78.5,N,N
3801566,ENDO HOT BIOPSY FORCEP,SCS,A,997,,,,,,0,N,N
3801567,BITE BLOCK (BLUE),SCS,A,997,,,,,,0,N,N
3801569,BITE BLOCK (WHITE),SCS,A,997,,,,,,0,N,N
3801570,SNARE MINI OVAL,SCS,A,997,,,,,,0,N,N
3801571,ENDO PEANUT,SCS,A,272,,,,,,102,N,N
3801573,SCORPION NEEDLE,SCS,A,272,,,,,,"1,201.00",N,N
3801574,FIBERWIRE W/TAPER NEED #2,SCS,A,272,,,,,,121,N,N
3801585,ESOPH DIL 18-19-20,SCS,A,272,,,,,,946,N,N
3801586,RESOLUTION CLIP,SCS,A,272,,,,,,925.5,N,N
3801590,URO-NITINOL WIRE HYDRO TIP,SCS,A,272,C1769,,,,,346,N,N
3801591,URO-PTFE GUIDEWIRE .035X150CM,SCS,A,272,C1769,,,,,126,N,N
3801592,URO-CATH URETERAL OPEN END FLEXI TIP 5FR,SCS,A,272,C1758,,,,,80,N,N
3801600,DRAIN J-VAC/BLAKE 7MM,SCS,A,272,C1729,,,,,301.5,N,N
3801601,DRAIN JVAC BLAKE 10MM,SCS,A,272,C1729,,,,,329.5,N,N
3801605,DRAIN HEMOVAC,SCS,A,272,C1729,,,,,62.5,N,N
3801608,DRAIN TLS DRAINAGE SYS,SCS,A,272,C1729,,,,,235.5,N,N
3801612,T-TUBES 12 FR,SCS,A,272,,,,,,45,N,N
3801613,"T-TUBES, 14 FR",SCS,A,272,,,,,,387.5,N,N
3801650,LOOP OSTOMY ROD,SCS,A,272,,,,,,15,N,N
3801651,BLADE-LONG NARROW 2296-3-414,SCS,A,272,,,,,,220,N,N
3801652,BLADE-LONG WIDE 2296-3-104,SCS,A,272,,,,,,220,N,N
3801653,BLADE-ROUND FAST CUT BUR 1608-6-143,SCS,A,272,,,,,,288.5,N,N
3801668,E-TRAP POLYPTRAP,SCS,A,997,,,,,,0,N,N
3801670,DRAPE-SHOULDER TRACTION SLEEVE,SCS,A,997,,,,,,0,N,N
3801688,"SCALPEL - DISP, SAFETY - STERILE",SCS,A,997,,,,,,0,N,N
3801793,"TOURNIQUET CUFF, 34"" (60707010600)",SCS,A,272,,,,,,90,N,N
3801794,"TOURNIQUET CUFF, 30"" (60707010500)",SCS,A,272,,,,,,93,N,N
3801799,URO-UROLOGY SELF SEAL CAP,SCS,A,272,,,,,,67.5,N,N
3801800,URO DYN VOIDING PRESSURE STUDIES,SCS,A,920,51728,,,,,760,N,N
3801801,URO DYN URETHRAL & VOIDING PRESS STUDIES,SCS,A,920,51729,,,,,859,N,N
3801802,URO DYN URETHRAL PRESS  PROFILE STUDIES,SCS,A,920,51727,,,,,859,N,N
3801803,URO DYN PVR MEASUREMENT,SCS,A,920,51798,,,,,157,N,N
3801804,URO DYN VOIDING PRESS STUDIES INTR ABD,SCS,A,920,51797,,,,,333,N,N
3801805,URO DYN COMPLEX UROFLOWMETRY,SCS,A,920,51741,,,,,250,N,N
3801806,URO DYN EMG ANAL AND/OR URETHRAL SPHINC,SCS,A,920,51784,,,,,258,N,N
3801807,URO DYN COMPLEX CMG,SCS,A,920,51726,,,,,821,N,N
3801808,URO - CATH URETERAL TIGERTAIL 70CM X 5F,SCS,A,272,,,,,,100,N,N
3801809,URO-PERCFLEX PL STENT 24CM X 6FR,SCS,A,272,,,,,,614,N,N
3801810,URO-PERCUFLEX PL STENT 30 CM X 6FR,SCS,A,272,,,,,,614,N,N
3801931,PORT-MICROPUNTURE INTRODUCER SET,SCS,A,272,,,,,,154.5,N,N
3802500,STRYKER IRRIG SUC,SCS,A,272,,,,,,271.5,N,N
3802505,TROCAR 12 MM BLUNT H12LP,SCS,A,272,,,,,,409,N,N
3802508,ENDO GIA RELOAD 3.5 6R45B,SCS,A,272,,,,,,612,N,N
3802509,ENDO GIA RELOAD 2.5 TR45W,SCS,A,272,,,,,,677,N,N
3802518,STAPLER CIRCULAR 33MM,SCS,A,272,,,,,,"1,113.50",N,N
3802521,STAPLER CIRCULAR 29MM,SCS,A,272,,,,,,"1,035.50",N,N
3802522,STAPLER LINEAR STAPLER RELOAD 60MM,SCS,A,272,,,,,,253.5,N,N
3802524,TROCAR 11/12 BALL BLUNT COR47,SCS,A,272,,,,,,788.5,N,N
3802526,TROCAR 10/11 D11LT,SCS,A,272,,,,,,495,N,N
3802528,TROCAR 12MM D12XT,SCS,A,272,,,,,,947.5,N,N
3802529,LIGASURE MARYLAND LF1937,SCS,A,272,,,,,,"3,422.00",N,N
3802532,LIGACLIP APPLIERS MED,SCS,A,272,,,,,,235,N,N
3802534,LIGASURE V,SCS,A,272,,,,,,"1,765.00",N,N
3802538,STRAIGHT TISSUE SEALER G2,SCS,A,272,,,,,,"2,773.00",N,N
3802539,LIGASURE ATLAS-1020,SCS,A,272,,,,,,"2,344.00",N,N
3802540,ENDOCLIP 10MM,SCS,A,272,,,,,,"1,505.00",N,N
3802541,ENDOCLIP 5MM,SCS,A,272,,,,,,"1,439.00",N,N
3802542,ENDO SCISSORS (CB030),SCS,A,272,,,,,,209,N,N
3802543,ENDO ENSEAL ARTIC N5LG2C35A,SCS,A,272,,,,,,"2,388.00",N,N
3802544,ENDO - RAD JAW BX FORCEP,SCS,A,997,,,,,,0,N,N
3802545,ENDO CURVED SCISSOR,SCS,A,272,,,,,,296,N,N
3802547,ENDO POUCH,SCS,A,272,,,,,,332,N,N
3802548,ENDO GIA ENDOPATH ATS45,SCS,A,272,,,,,,"1,002.00",N,N
3802549,ENDO POUCH (CD001),SCS,A,272,,,,,,375,N,N
3802552,KUMAR CATHETER,SCS,A,272,,,,,,186,N,N
3802556,ENDO CLINCH II - 174317,SCS,A,272,,,,,,"1,061.00",N,N
3802557,ENDO-GRASPER INSERT - C4120,SCS,A,272,,,,,,330,N,N
3802558,"ENDO, DISP SCOPE WARMER",SCS,A,272,,,,,,29,N,N
3802561,ENDO DISSECT (176645),SCS,A,272,,,,,,923,N,N
3802562,ENDO CYTOLOGY BRUSH 00711499,SCS,A,272,,,,,,181.5,N,N
3802563,THA STRYKER TRITANIUM CUP,SCS,A,278,C1776,,,,,"1,854.00",N,N
3802564,THA STRYKER STANDARD,SCS,A,278,C1776,,,,,"17,773.50",N,N
3802565,THA STRYKER ADVANCED (BUNDLE PACK),SCS,A,278,C1776,,,,,"19,912.00",N,N
3802566,ENDO HEMOLOK CLIP LG 544240,SCS,A,272,,,,,,155.5,N,N
3802567,ENDO HEMOLOK CLIP MD/LG 544230,SCS,A,272,,,,,,155.5,N,N
3802575,INSUFLATION TUBING,SCS,A,272,,,,,,82.5,N,N
3802579,BLOCK NEEDLE 150MM,SCS,A,997,,,,,,0,N,N
3802581,"ENDO, INJ GOLD PROBE M00560150",SCS,A,272,,,,,,"1,127.00",N,N
