Hospital Name: Earl & Lorraine Miller Children's Hospital,,
OSHPD Facility ID#: 106196168,,
,,
OSHPD Year: 06/01/17- 05/31/18,,
,,
Charge Code,Description,Price
HC46500740,CT ASP&INJ BONE CYST-RT,"$1,174.00"
HC46500757,CYSTOGRAM COMPLEX,"$1,160.00"
HC46500765,DECLOTTING VAD W/THROMBOLYTIC,"$1,203.00"
HC46500773,DEST CUTANEOUS VASCULAR LESION,$732.00
HC46500864,EXCHANGE EXISTING DRAIN CATH,"$2,675.00"
HC46500872,FNA UNDER IMAGE GUIDANCE,"$1,668.00"
HC46500880,FNA UNDER IMAGE GUIDANCE-ADD'L SITE *DS,"$1,668.00"
HC46500898,FIX G/COLON TUBE W/ DEVICE W/FLUORO,"$1,975.00"
HC46500906,FNA W/O GUIDE,$693.00
HC46500914,FNA W/O GUIDE-ADD'L SITE *DS,$693.00
HC46500930,"INJ W/FLUOR, EVAL CV ACCESS DEVICE","$1,314.00"
HC46500948,INS PICC LINE W/PORT<5YR,"$5,785.00"
HC46500955,INS PICC LINE W/PORT>5YR,"$5,785.00"
HC46500963,INS TUN VEN ACS DEV 2 SITES,"$6,276.00"
HC46500971,INS TUN VEN ACS DEV W/PORT<5YR,"$7,225.00"
HC46500989,INS TUN CV ACCESS DEV W/PORT 5YRS+,"$7,285.00"
HC46500997,INS TUN VEN ACS DEV W/SQ PUMP,"$5,725.00"
HC46501003,INS TUN VEN CATH W/O PORT<5,"$4,645.00"
HC46501011,INS TUN CV ACS CATH W/O PORT 5YRS+,"$5,428.00"
HC46501029,INS VEN ACS DEV 2SITES W/PORT,"$7,550.00"
HC46501037,INSERT CT(OPEN) W/DRAIN SYSTEM BIL,"$2,830.00"
HC46501045,INSERT CT(OPEN) W/DRAIN SYSTEM LT,"$1,415.00"
HC46501052,INSERT CT(OPEN) W/DRAIN SYSTEM RT,"$1,415.00"
HC46501060,INSERT PERITONEAL CATH TUNNELED FOR DIALYSIS; OPEN,"$7,291.00"
HC46501078,INSERT PERITONEAL CATH TUNNELED W/IMAGING,"$6,758.00"
HC46501086,INSERT PERITONEAL CATH TUNNELED W/PORT,"$7,795.00"
HC46501094,INSERT PICC <5 YR AGE,"$3,405.00"
HC46501102,INSERT PICC >5 YR AGE,"$2,988.00"
HC46501110,INSRT BLADDER CATH-NON INDWELL,$287.00
HC46501128,INSRT BLADDER CATH-TEMP FOLEY,$333.00
HC46501136,INSRT BLADDER CATH-TEMP-COMPLX,$400.00
HC46501169,LUMBAR PUNCTURE DIAGNOSTIC,"$1,934.00"
HC46501177,PUNCTURE SPINAL TX DRAIN CSF,"$1,937.00"
HC46501185,MANOMETRIC STDY VIA NEPHRO BI,"$1,475.00"
HC46501193,MANOMETRIC STDY VIA NEPHRO LT,$775.00
HC46501201,MANOMETRIC STDY VIA NEPHRO RT,$775.00
HC46501219,MECH REMOV PERICATH OBSTR MAT CV,"$4,115.00"
HC46501227,PARACENTESIS ABD W/O IMAGING GUIDE,"$2,273.00"
HC46501235,PERITONEAL LAVAGE W-W/O IMAG GUIDE,"$2,555.00"
HC46501250,PERC PLACEMENT CEC TUBE W/FLUORO,"$3,950.00"
HC46501268,PERC PLACEMENT DU/J TUBE W/FLUORO,"$4,125.00"
HC46501276,PERC PLCMNT GT TUBE W/FLUORO,"$4,145.00"
HC46501284,PLCMNT CENTRAL VEN CATH<5 YR,"$2,885.00"
HC46501292,INS NO TUN CV ACCESS CATH 5YRS+,"$3,148.00"
HC46501334,PUNC SHUNT/RES FOR ASP/INJ,"$2,225.00"
HC46501342,PUNCTURE CISTERN/LAT CERVICAL C1-C2 W/O INJ,"$2,927.00"
HC46501359,PUNCTURE CISTERN/LAT CERVICAL C1-C2 W/INJ,"$3,005.00"
HC46501367,REMOV TUNNELED CV ACS CATH W/O PORT/PUMP,"$3,123.00"
HC46501375,REMOVE PERITONEAL CATH TUNNELED,"$5,535.00"
HC46501383,REMVL INTRALUMIN OBST VEN DEV,"$2,140.00"
HC46501391,REMVL TUN CV ACS DEVICE W/ SQ PORT,"$3,780.00"
HC46501409,REPAIR CV ACCESS CATH,"$2,039.00"
HC46501417,REPAIR CV ACCESS CATH W/PORT,"$3,756.00"
HC46501425,REPLACE PERC DU/J TUBE W/FLUORO,"$2,633.00"
HC46501433,REPLACE PERC G-J TUBE W/FLUORO,"$2,604.00"
HC46501441,REPLACE PERC GT/CEC TUBE W/FLUORO,"$2,490.00"
HC46501458,REPLC CATH ONLY CV ACESS W/PORT,"$5,266.00"
HC46501466,REPLC TUNNELED CV ACS DEVICE W/O PORT/PUMP,"$4,796.00"
HC46501474,REPLC TUNNELED CV ACS DEVICE W/PORT,"$6,416.00"
HC46501482,REPLC TUNNELED CV ACS DEV W/PUMP,"$6,675.00"
HC46501490,REPLC NON-TUN CV ACS CATH W/O PORT/PUMP,"$3,285.00"
HC46501508,REPLC PICC LINE W/O SQ PORT/PUMP,"$3,725.00"
HC46501516,REPLC PICC LINE W/ SQ PORT,"$5,488.00"
HC46501524,REPOSITION CV CATH UNDER FLUORO,"$2,125.00"
HC46501540,THORACENTESIS ASP W/ IMG GUID-BILAT,"$5,733.00"
HC46501557,THORACENTESIS ASP W/ IMG GUID-LT,"$3,017.00"
HC46501565,THORACENTESIS ASP W/ IMG GUID-RT,"$3,017.00"
HC46501573,THORACENTESIS W/TUBE W/ IMAG BI,"$6,002.00"
HC46501581,THORACENTESIS W/TUBE W/ IMAG LT,"$3,157.00"
HC46501599,THORACENTESIS W/TUBE W/ IMAG RT,"$3,157.00"
HC46501615,URO-EMG,$575.00
HC46501623,UROFLOWMETRY COMPLEX,$455.00
HC46501631,UROFLOWMETRY SIMPLE,$325.00
HC46501706,BX/RMVL LYMPH NODE(S)-OPEN BI,"$6,510.00"
HC46501714,BX/RMVL LYMPH NODE(S)-OPEN LT,"$3,425.00"
HC46501722,BX/RMVL LYMPH NODE(S)-OPEN RT,"$3,425.00"
HC46501730,BX NECK/THORAX SOFT TISSUE-SC,"$3,470.00"
HC46501748,BX LYMPH NODE(S)SUPERFICIAL-SC,"$2,466.00"
HC46501755,BX LYMPH NODE(S) DEEP CERVICAL,"$3,425.00"
HC46501763,BIOPSY NEEDLE RENAL,"$3,080.00"
HC46501771,ASP/INJ RENAL CYST/PELVIS,"$2,370.00"
HC46501789,THORACENTESIS ASP W/O IMAG GUIDE,"$2,373.00"
HC46501797,INSERT CT(OPEN) W/DRAIN SYSTEM,"$1,839.00"
HC46501813,BX LYMPH NODE(S)SUPERFICIAL*DS,"$2,466.00"
HC46501821,BX NECK/THORAX SOFT TISSUE*DS,"$3,470.00"
HC46501839,PUNCH BX SKIN SNGL-SC LT,$687.00
HC46501847,PUNCH BX SKIN SNGL-SC RT,$687.00
HC46501854,PUNCH BX SKIN EA ADDL*-LT,$470.00
HC46501862,PUNCH BX SKIN EA ADDL*-RT,$470.00
HC46501870,FNA W/O GUIDE-SC LT,$693.00
HC46501888,FNA W/O GUIDE-SC RT,$693.00
HC46501896,FNA UNDER IMAGE GUIDANCE LT,"$1,668.00"
HC46501904,FNA UNDER IMAGE GUIDEACE RT,"$1,668.00"
HC46501912,BX LYMPH NODE(S) DEEP CERV-*DS,"$3,425.00"
HC46501920,ADJUST GASTRIC BAND VIA PORT,"$2,125.00"
HC46501938,PERC ASP INTERDISCAL DX,"$1,355.00"
HC46501953,PERC CHOLECYSTOSTOMY WCATH/S&I,"$5,904.00"
HC46501961,BONE MARROW DX; ASPIRATION(S) ONLY LT,"$1,878.00"
HC46501979,BONE MARROW DX; ASPIRATION(S) ONLY RT,"$1,878.00"
HC46501987,BONE MARROW DX; BIOPSY(SIES) ONLY,"$1,988.00"
HC46501995,BONE MARROW DX; BIOPSY(SIES) ONLY LT,"$1,988.00"
HC46502001,BONE MARROW DX; BIOPSY(SIES) ONLY RT,"$1,988.00"
HC46502019,BX LUNG/MEDIASTIN NDL,"$2,408.00"
HC46502035,BX SOFT TISS THIGH/KNEE;SUP BI,"$2,378.00"
HC46502043,BX SOFT TISS THIGH/KNEE;SUP LT,"$1,338.00"
HC46502050,BX SOFT TISS THIGH/KNEE;SUP RT,"$1,338.00"
HC46502068,BIOPSY PLEURA NEEDLE,"$1,827.00"
HC46502084,BX PROSTATE STEREO/TEMPLAT W/IMG,"$3,155.00"
HC46502092,PARACENTESIS ABD W/IMAGING GUIDE,"$3,288.00"
HC46502100,DRAIN CYSTS OVA UNI/BIL ABD APPR,"$7,102.00"
HC46502118,ABLAT RENAL TUMOR(S) PERC CRYO,"$13,565.00"
HC46502126,ABLAT RENAL TUMOR(S) PERC CRYO-LT,"$13,565.00"
HC46502134,ABLAT RENAL TUMOR(S) PERC CRYO-RT,"$13,565.00"
HC46502142,PERC BX BREAST W/LOC DEV SG 1ST LESN,"$4,278.00"
HC46502159,PERC BX BREAST W/LOC DEV SG ADDL LESN+,"$2,295.00"
HC46502167,PERC BX BREAST W/LOC DEV US 1ST LESN,"$4,001.00"
HC46502175,PERC BX BREAST W/LOC DEV US ADDL LESN+,"$2,542.00"
HC46502183,PERC BX BREAST W/LOC DEV MR 1ST LESN,"$5,180.00"
HC46502191,PERC BX BREAST W/LOC DEV MR ADDL LESN+,"$3,817.00"
HC46502209,PERC PLC BRST LOC DEV MAMMO 1ST LESN,"$3,094.00"
HC46502217,PERC PLC BRST LOC DEV MAMMO ADDL LESN+,"$2,584.00"
HC46502225,PERC PLC BRST LOC DEV SG 1ST LESN,"$3,355.00"
HC46502233,PERC PLC BRST LOC DEV SG ADDL LESN+,"$2,205.00"
HC46502241,PERC PLC BRST LOC DEV US 1ST LESN,"$2,772.00"
HC46502258,PERC PLC BRST LOC DEV US ADDL LESN+,"$2,205.00"
HC46502266,PERC PLC BRST LOC DEV MR 1ST LESN,"$4,375.00"
HC46502274,PERC PLC BRST LOC DEV MR ADDL LESN+,"$3,272.00"
HC46502282,PERC DRAIN CATH W/IMAG; SOFT TISSUE,"$2,426.00"
HC46502290,PERC DRAIN CATH W/IMAG; VISCERAL,"$4,174.00"
HC46502308,PERC DRAIN CATH W/IMAG; PERITONEAL/RETROPERIT,"$4,374.00"
HC46502316,PERC DRAIN W/IMAG; PERIT/RETROPERIT TRANSVAG/RECTAL,"$3,645.00"
HC46502324,"TENOTOMY SHOULDER AREA, SNGL TENDON","$5,010.00"
HC46502332,"TENOTOMY SHOULDER AREA, MULT TENDNS","$6,030.00"
HC46502340,"TENOTOMY ELBOW, LATERAL OR MEDIAL","$6,225.00"
HC46502357,TENOTOMY THIGH SINGLE TENDON,"$4,290.00"
HC46502365,TENOTOMY THIGH MULTIPLE TENDONS,"$5,862.00"
HC46502373,TENOTOMY ACHILLES TENDON *DS,"$4,738.00"
HC46502381,"FASCIOTOMY, FOOT AND/OR TOE","$5,525.00"
HC46502399,DIVSN PLANTR FASCIA&MUSCLE(STEINDLER STRIP),"$4,735.00"
HC46502407,"PLCMT NEPHROSTOMY CATHETER,(NEPH/URET'GRM,S&I) BI","$7,931.00"
HC46502415,"PLCMT NEPHROSTOMY CATHETER,(NEPH/URET'GRM,S&I) LT","$4,534.00"
HC46502423,"PLCMT NEPHROSTOMY CATHETER,(NEPH/URET'GRM,S&I) RT","$4,534.00"
HC46502431,"PLCMT CATH NEPHURET PERC(NEPH/URET'GRM,S&I)NEW ACC BI","$9,282.00"
HC46502449,"PLCMT CATH NEPHURET PERC(NEPH/URET'GRM,S&I)NEW ACC LT","$5,304.00"
HC46502456,"PLCMT CATH NEPHURET PERC(NEPH/URET'GRM,S&I)NEW ACC RT","$5,304.00"
HC46502464,"CONVERT NEPH CATH -> NEPH'URET PERC(NEPH/URET'GRM,S&I)EXST BI","$8,246.00"
HC46502472,"CONVERT NEPH CATH->NEPH'URET PERC(NEPH/URET'GRM,S&I)EXST LT","$4,340.00"
HC46502480,"CONVERT NEPH CATH->NEPH'URET PERC(NEPH/URET'GRM,S&I)EXST RT","$4,340.00"
HC46502498,"EXCHANGE TUBE NEPHRO(NEPH/URET'GRM,S&I) BI","$6,497.00"
HC46502506,"EXCHANGE TUBE NEPHRO(NEPH/URET'GRM,S&I) LT","$3,766.00"
HC46502514,"EXCHANGE TUBE NEPHRO(NEPH/URET'GRM,S&I) RT","$3,766.00"
HC46502522,LARYNGOSCOPY DIAGNOSTIC,$911.00
HC46502530,"TENOTOMY  PERC, TOE; SINGLE TENDON","$2,600.00"
HC46502548,"TENOTOMY  PERC, TOE; MULTIPLE TENDONS","$3,120.00"
HC46502555,INJECT URETEROGRAGH VIA URETEROS,$975.00
HC46502563,BONE MARROW DX; BIOPSY(IES) & ASPIRATION(S),"$2,775.00"
HC46502571,BONE MARROW DX; BIOPSY(IES) & ASPIRATION(S) RT,"$2,775.00"
HC46502589,BONE MARROW DX; BIOPSY(IES) & ASPIRATION(S) LT,"$2,775.00"
HC46502597,BONE MARROW DX; BIOPSY(IES) & ASPIRATION(S) BILAT,"$4,500.00"
HC46502605,INSERT MIDLINE CATH <5 YR AGE,"$2,555.00"
HC46502613,INSERT MIDLINE CATH >5 YR AGE,"$2,555.00"
HC47200001,BASIC DOSIMETRY CALCULATION,"$1,161.00"
HC47200084,BRACHYTX INSERT HEYMAN CAPSULE,"$3,095.00"
HC47200092,BRACHYTX INSERT UTERINE TANDEM,"$3,775.00"
HC47200100,PERC ABLATION PULM TUMOR,"$8,225.00"
HC47200118,CT RAD THER PLANNING,"$2,279.00"
HC47200126,HANDLING/LOADING RAD SOURCE,"$1,125.00"
HC47200134,HYPERTHERMIA EXTERNAL SUPERFCL,"$2,168.00"
HC47200142,HYPERTHERMIA EXTERNAL DEEP,"$3,059.00"
HC47200159,HYPERTHERMIA PROBE 1-5 APPS,"$4,002.00"
HC47200167,HYPERTHERMIA PROBE 6+ APPS,"$4,588.00"
HC47200175,HYPERTHERMIA INTRACAVITARY,"$2,008.00"
HC47200183,IMRT TX PLAN,"$11,276.00"
HC47200209,INTRACAVITARY TREATMT SIMPLE,"$1,480.00"
HC47200217,INTRACAVITARY TREATMT INTERMED,"$2,463.00"
HC47200225,INTRACAVITARY TREATMT COMPLEX,"$2,955.00"
HC47200258,"INTERSTITIAL RADIATION, COMPLEX","$4,735.00"
HC47200308,PHYSICS CONSULT CONTINUOUS,"$1,176.00"
HC47200316,PHYSICS CONSULT SPECIAL,"$1,389.00"
HC47200324,PLC BRACHY CATH W/PART MAST BIL,"$17,140.00"
HC47200332,PLC BRACHY CATH W/PART MAST LT,"$8,607.00"
HC47200340,PLC BRACHY CATH W/PART MAST RT,"$8,607.00"
HC47200357,PLC MAMMOSITE AFTER DOS BIL,"$16,750.00"
HC47200365,PLC MAMMOSITE AFTER DOS LT,"$9,040.00"
HC47200373,PLC MAMMOSITE AFTER DOS RT,"$9,040.00"
HC47200381,PLC MAMMOSITE ON DOS BIL,"$15,050.00"
HC47200399,PLC MAMMOSITE ON DOS LT,"$7,605.00"
HC47200407,PLC MAMMOSITE ON DOS RT,"$7,605.00"
HC47200415,PLCMNT INTERSTIT DEV PROSTATE,"$2,735.00"
HC47200423,RADIATION TX SUPRFCL OR/ORTH PER DAY,$850.00
HC47200431,RAD TREATMENT 1 AREA 1-5MEV,$733.00
HC47200449,RAD TREATMENT 1 AREA 6-10MEV,$966.00
HC47200456,"RAD TREATMENT DELVR, = 1MEV;SIMPLE","$1,106.00"
HC47200464,RAD TREATMENT 1 AREA 20+MEV,"$1,267.00"
HC47200472,RAD TREATMENT 2 AREAS 1-5MEV,$929.00
HC47200480,RAD TREATMENT 2 AREAS 6-10MEV,"$1,122.00"
HC47200498,"RAD TREATMENT DELVR, = 1MEV;INTRMED","$1,528.00"
HC47200506,RAD TREATMENT 2 AREAS 20+MEV,"$1,818.00"
HC47200514,RAD TREATMENT 3 AREAS 1-5MEV,"$1,275.00"
HC47200522,RAD TREATMENT 3 AREAS 6-10MEV,"$1,625.00"
HC47200530,"RAD TREATMENT DELVR, = 1MEV;CMPLX","$1,708.00"
HC47200548,RAD TREATMENT 3 AREAS 20+MEV,"$2,050.00"
HC47200563,RADIOELEMENT INFUSION,$775.00
HC47200571,SPECIAL DOSIMETRY,$951.00
HC47200589,SPECIAL TELETHERAPY PORT PLAN,"$2,213.00"
HC47200597,"SPECIAL RAD TX;IRRAD,ENDO,CONE","$3,913.00"
HC47200613,APPLY LOW DOSE RADIONUCLIDE SOURCE,$925.00
HC47200621,THERAPEUTIC RAD PORT IMAGES,$696.00
HC47200639,TRANSCATH PLCMNT RAD DEL DEVIC,"$4,885.00"
HC47200647,TREATMENT DEVICES SIMPLE,$987.00
HC47200654,TREATMENT DEVICES INTERMEDIATE,"$1,494.00"
HC47200662,TREATMENT DEVICES COMPLEX,"$2,327.00"
HC47200670,TREATMENT SIMULATION SIMPLE,"$1,601.00"
HC47200688,TREATMENT SIMULATION INTERMED,"$2,175.00"
HC47200696,TREATMENT SIMULATION COMPLEX,"$2,903.00"
HC47200704,RADIOTHERAPY PLAN 3D W/VOL HISTOGRAM,"$10,238.00"
HC47200720,US GUIDE RAD ELEMENT APP,"$2,387.00"
HC47200753,RAD ONC E&M LEVEL I BRIEF,$139.00
HC47200761,RAD ONC E&M LEVEL II LIMITED,$181.00
HC47200779,RAD ONC E&M LEVEL III INTERMED,$339.00
HC47200787,RAD ONC E&M LEVEL IV EXTENDED,$365.00
HC47200795,RAD ONC E&M LEVEL V COMPREHNSV,$461.00
HC47200803,RADIOPHARM' TX; IV ADMIN,"$1,775.00"
HC47200811,"SRS LINR ACCL TX 1 SESSN,CMPLT(CRANIAL)","$22,179.00"
HC47200829,"SRS LINR ACCL FX 1-5 SESSNS,CMPLT","$16,251.00"
HC47200837,"SRS ROBOTIC TX 1 SESSN, CMPLT(CRANIAL)","$22,179.00"
HC47200845,"SRS ROBOTIC FX EA 1-5 SESS,CMPLT","$15,956.00"
HC47200852,CT GUIDANCE SRS LOCALIZATION,"$6,925.00"
HC47200860,PLACE DEVICE/MARKER OTHER SITES(NON-PROST),"$3,301.00"
HC47200886,REMOVAL OF FIXATION DEVICE,$555.00
HC47200894,STEREOTACTIC BODY RAD THER,"$3,025.00"
HC47200902,PLCMNT INTERSTIT DEV THORACIC,"$3,128.00"
HC47200910,PLCMNT INTERSTIT DEV ABD/PELV,"$3,759.00"
HC47200977,TREATMENT DEVICES MLC FOR IMRT,"$3,108.00"
HC47200993,DELIV TX XRAY INTRAOP SNGL SESSION,"$2,515.00"
HC47201009,DELIV TX ELCTRN INTRAOP SNGL SESS,"$2,555.00"
HC47201017,MANAGE RAD TREATMENT INTRAOP,"$1,465.00"
HC47201025,MOTION RESPIRATORY MGNT SIMULATION+,"$2,559.00"
HC47201033,TELETX ISODOSE W/ DOSIMETRY;SIMPLE,"$1,934.00"
HC47201041,TELETX ISODOSE W/DOSIMETRY;COMPLEX,"$2,664.00"
HC47201058,BRACHYTX ISODOSE W/DOSIMETRY; SIMPL,"$2,033.00"
HC47201066,BRACHYTX ISODOSE W/DOSIMETRY;INTRM,"$2,765.00"
HC47201074,BRACHYTX ISODOSE W/DOSIMETRY;CMPLX,"$3,800.00"
HC47201082,"IMRT TX DELIVERY,GUIDE&TRACK SIMPLE","$4,964.00"
HC47201090,"IMRT TX DELIVERY, GUIDE&TRACK CMPLX","$6,246.00"
HC47201108,GUIDANCE RADIAJ TX DLVR (TRACKING),"$2,054.00"
HC47201116,HDR RADIONUCLIDE INTRSTTL/INTRVIT BRACH 1 CHANNEL,"$5,891.00"
HC47201124,HDR RADIONUCLIDE INTRSTTL/INTRVIT BRACH 2-12 CHANN,"$7,931.00"
HC47201132,HDR RADIONUCLIDE INTRSTTL/INTRVIT BRACH 12+ CHANN,"$9,206.00"
HC47201140,HDR ELECTRONIC BRACHYTHERAPY SKIN SURFACE,$786.00
HC47201157,HDR ELECTRONIC BRACHYTHERAPY INTERSTIT/INTRACAV,"$3,125.00"
HC47201165,BRACHYTX INSERT VAG RAD AFTRLOAD DEVICE,"$1,754.00"
HC47201173,TRANSPERINEAL PLCMNT BIODEGRADABLE MATERIAL,"$10,225.00"
HC51080000,KIT HICKMAN/BROVIAC REPAIR,$398.00
HC51080018,KIT TPN/CVP DRESSING,$50.00
HC51080026,IVS TUBING,$5.00
HC51080034,NEEDLE HUBER/PORT-A-CATH,$15.00
HC51080042,MOUTHPIECE PNEUMOTACH PREVENT,$23.00
HC51080059,"SENSOR SPHB, SPMET, SPO2",$25.00
HC51080067,AEROCHAMBER,$20.00
HC51080075,MASK OXYGEN,$6.00
HC51080083,NEBULIZER,$10.00
HC51080091,TUBE TRACH NO CUFF,$110.00
HC51080109,TUBE TRACH PEDS/NEO CUFFED,$356.00
HC51080117,BANDGE ELASTC(ACE/COBAN) PER5ROLLS,$5.00
HC51080125,STRAP CLAVICLE,$20.00
HC51080133,SPLINT FINGER,$5.00
HC51080141,SLING ARM PEDS,$5.00
HC51080158,CASTING SUPPLIES FIBERGLASS,$65.00
HC51080166,CASTING MATERIAL PLASTER,$45.00
HC51080174,SLING ARM,$15.00
HC51080182,ORTHTC WRIST-HAND NONMOLD PREFAB,$188.00
HC51080190,ORTHSS HIPABDCTN CONTROL PAVLIK,$400.00
HC51080208,IMMOBILIZER KNEE,$281.00
HC51080216,SANDAL PLASTAZOTE EACH,$202.00
HC51080224,SET INF PUMP TUBE URO/CAVERNO,$31.00
HC51080232,CATHETER DUAL LUMEN URODYNAMCS,$26.00
HC51080240,CATHETER PRESSURE ABDOMINL URO,$38.00
HC51080257,DOME TRANSDUCR PRESSUR URODYN,$18.00
HC51080265,ELECTRODE WIRED PRE-GELLED URO,$15.00
HC51080273,TUBE FEEDING ENTERAL NG W/O STYLET,$31.00
HC62200001,CATH IV BASIC,$45.00
HC62200019,CAUTERY CORD,$160.00
HC62200027,CAUTERY TIP                       D,$100.00
HC62200035,PAD MAMMOGRAPHY,$7.00
HC62200043,OXYGEN/DAY,$800.00
HC62200050,ABDUCTION PILLOW,$65.00
HC62200068,ABLATION DEVICE,"$7,000.00"
HC62200076,ABLATION DEVICE(CARDIAC TISS),"$13,203.00"
HC62200084,ACAPELLA W/MOUTHPIECE (RESP),$100.00
HC62200092,ADAPTER AIRWAY/RESPIRATORY        E,$126.00
HC62200100,ADAPTER CATH URETERAL/URINARY     C,$70.00
HC62200118,ADAPTER DIALYSIS,$11.00
HC62200126,ADAPTER FEEDING TUBE,$43.00
HC62200134,ADAPTER SUCTION-IRRIGATION,$73.00
HC62200142,ADAPTER/CONNECTOR IV,$40.00
HC62200159,ADAPTOR CATH UROLOGICAL,$30.00
HC62200167,ADAPTOR/CONNECTOR IRRIG TUR,$80.00
HC62200175,AEROCHAMBER,$30.00
HC62200183,AIRWAY SPECIALIZED,$32.00
HC62200191,AMNIHOOK,$20.00
HC62200209,ARTERIAL LINE,$237.00
HC62200217,WAND ARTHRO                       M,$600.00
HC62200225,ASPIRATOR MECONIUM,$70.00
HC62200233,ASPIRATOR ULTRASONIC SURG         E,"$2,000.00"
HC62200241,SET AUTOTRANSFUSE                AK,$700.00
HC62200258,BAG BILE,$55.00
HC62200266,BAG BLOOD COLLECTION APHERESIS,$30.00
HC62200274,BAG COLOSTOMY/ILEOSTOMY/LOOP,$10.00
HC62200282,BAG DECANTER,$35.00
HC62200290,BAG DIALYSIS ACCESSORY,$14.00
HC62200308,BAG/POUCH DRAINAGE,$65.00
HC62200316,BAG ENEMA W/ W/O TUBING,$50.00
HC62200324,BAG FEEDING,$29.00
HC62200332,BAG NEONATAL HYPERIFLATION,$183.00
HC62200340,BAG PRESSURE,$30.00
HC62200357,BAG URINARY DRAINAGE,$55.00
HC62200365,BAG URINARY LEG,$25.00
HC62200373,BAG VENTRICULAR DRAIN,$100.00
HC62200381,BAND LIGATOR,"$1,000.00"
HC62200399,BANDAGE COMPRESSION,$80.00
HC62200407,BANDAGE ELASTIC(ACE AND COBAN),$10.00
HC62200415,BANDAGE ESMARK,$15.00
HC62200423,BANDAGE KLING,$10.00
HC62200431,BANDAGE LEG COMP,$82.00
HC62200449,BANDS RADIAL OCCLUSIVE,$150.00
HC62200456,BASKET RETRIEVAL                 AA,$750.00
HC62200464,BASKET STONE RETRIEVAL            Z,$725.00
HC62200472,BINDER ABDOMINAL BASIC            C,$75.00
HC62200480,BINDER BREAST,$50.00
HC62200498,BIO GLUE W/APPLICATOR,"$2,000.00"
HC62200506,DEVICE BIOPSY,$296.00
HC62200514,BITE BLOCK,$15.00
HC62200522,BLADE INCISIONAL                  E,$250.00
HC62200530,BLADE INCISIONAL                  D,$200.00
HC62200548,BLADE DERMATOME,$150.00
HC62200555,BLADE INCISIONAL                  G,$350.00
HC62200563,BLADE INDIANACTOME,$320.00
HC62200571,BLADE BEAVER                      C,$150.00
HC62200589,BLADE NEURO                       H,$280.00
HC62200597,BLADE OPHTHALM                    Q,$240.00
HC62200605,BLADE SHAVER                      F,$300.00
HC62200613,BLADE TREPHINE                    F,$300.00
HC62200621,BLANKET HYPER/HYPOTHERMIA         C,$75.00
HC62200639,NEEDLE BONE MARROW ADD'L,$78.00
HC62200647,BOARD PATIENT COMMUNICATION,$30.00
HC62200654,BODY ALIGNER,$296.00
HC62200662,BONE MARROW SUPPLY FEE,$79.00
HC62200670,BONE MARROW TRAY,$139.00
HC62200688,TAMP BONE KYPHOPLASTY             J,"$2,750.00"
HC62200696,BONE WAX,$85.00
HC62200704,BOOT BUCKS TRACTION UNIT,$222.00
HC62200712,BOOT WAFFLE DISP,$77.00
HC62200720,BOTTLE DRAIN DBL DUAL LUMEN,$151.00
HC62200738,BOTTLE EVAC ADULT/PEDS,$96.00
HC62200746,BOTTLE FEEDING,$59.00
HC62200753,BOWL CEMENT MIXING,$268.00
HC62200761,BREAST PUMP,$205.00
HC62200779,BREAST SHIELD,$25.00
HC62200787,BRIDGE CARDIAC OUTPUT,$137.00
HC62200795,BRUSH BRONCHIAL,$242.00
HC62200803,BRUSH CYTOLOGY                    G,$250.00
HC62200811,BRUSH ERCP                        M,$595.00
HC62200829,BRUSH MEDULLARY CANAL             E,$135.00
HC62200837,BULB IRRIGATION,$10.00
HC62200845,BURR                              G,$350.00
HC62200852,BURR MIDAS REX/ANSPACH            F,$300.00
HC62200860,BURN PADS,$192.00
HC62200878,BURR                              E,$250.00
HC62200886,BURR ORTHO                        F,$300.00
HC62200894,BURR                              F,$300.00
HC62200902,BUTTON GASTRIC EXTENSION,$475.00
HC62200936,CABLE INTRAUTERINE PRESSURE,$285.00
HC62200944,CABLE PACING DISP                 E,$175.00
HC62200951,CANNISTER SUCTION,$28.00
HC62200969,CANNULA AORTIC ARCH               D,$100.00
HC62200977,CANNULA AORTIC ROOT,$78.00
HC62200985,CANNULA ARTERIAL                  V,"$1,131.00"
HC62200993,CANNULA CORONARY,$555.00
HC62201009,CANNULA ERCP                      I,$355.00
HC62201017,CANNULA INTRAOCULAR               C,$64.00
HC62201025,CANNULA INNER DISPOSABLE,$50.00
HC62201033,CANNULA NASAL,$10.00
HC62201041,TUBING NASAL CPAP,$33.00
HC62201058,CANNULA OXYGEN,$50.00
HC62201066,CANNULA RETROPLEGIA,$275.00
HC62201074,CANNULA TRACH INNER               B,$75.00
HC62201082,CANNULA HOLDER/GRIP SKIN TENDER,$28.00
HC62201090,CANNULA VEIN IRRIGATION,$361.00
HC62201108,CANNULA VENOUS                    F,$160.00
HC62201116,CAP PEG,$29.00
HC62201124,CAP/IV INJECTION,$5.00
HC62201132,CARTRIDGE HIGH FREQ JET,$724.00
HC62201140,CARTRIDGE (DIALYSIS),$958.00
HC62201157,CASTING MATERIAL FIBERGLASS,$30.00
HC62201165,CASTING MATERIAL PLASTER,$110.00
HC62201173,CASTING SUPPLIES SYNTHETIC,$161.00
HC62201181,CATH EP/ABLAT NOT COOL-TIP/3D/V MAP V,"$2,250.00"
