CULLMAN REGIONAL CDM,,
ID,Charge Description, Charge Amount 
1439,CAUTERY EXTENDER LOOP E1561,$100.31 
1440,SCREW #04.005.422S,"$1,048.50 "
1441,DRILL BIT #03.010.060,"$1,053.00 "
1442,SCREW #294.771,$756.00 
1443,LASER,$200.00 
1444,ROD 8MM #395.782,$739.13 
1445,SUTURE SCISSOR 101-220,$135.52 
1446,BLOCK AUGMENT 10MM 623810,"$3,899.70 "
1447,PACK VITRECTOMY  DO NOT USE #8065750157,$507.60 
1448,GLOVE MICRO #9  5711107,$1.13 
1449,CURETTE UTERINE VAC CRVD 8MM 20317,$16.56 
1450,CURRETTE UTERINE VAC CRVD 9MM 1 21552,$16.56 
1451,CURETTE UTERINE VAC CRVD BERKL 21853,$16.54 
1452,SEAL PORT BIOPSY SELF SEALING CS-B612,$18.00 
1453,FILTER ASPIRATION VAC CURETTAGE 54298,$24.35 
1454,BONE PLUG #014477,$80.91 
1455,GUIDEWIRE #WS-0906ST,$63.00 
1456,SYSTEM DELIVERY IOL CARTRID 8065-977759,$13.50 
1457,POLISHER CAPSULE TERRY SQUEE 8065-428220,$17.19 
1458,SOLUTION VISCOAT 0.75ML 8065-183975,$207.27 
1459,KNIFE OPHTHALMIC #8065-990001,$446.63 
1460,LENS #MA60AC,$558.00 
1461,LENS #SN60AT,$670.50 
1462,KIT PENILE INFLATABLE AMS 72401850,"$3,114.00 "
1463,NEEDLE TAPER MAYO 1/2 CIRC 1824-5DC,$17.78 
1464,NEEDLE ARTERIAL WINGED AMC/3 T 195318,$14.49 
1465,CANNULA CLEAR ARTHREX #AR-6530,$112.50 
1466,FILSHIE CLIP #AVM-851,$628.20 
1467,DRAPE TRANSDUCER ULT #EA4015-US,$87.08 
1468,CATHETER HICKMAN DUAL 9.0  LUMEN #600600,$589.50 
1469,CATHETER FOLEY 16FR 2 WAY #0196SI16,$68.54 
1470,SHIELD EYE GARTER 50/BX E5693,$3.83 
1471,KIT ENTRY GREENFIELD #50-350,$428.99 
1472,CATHETER GREENFIELD FILTER #50-300,"$4,037.63 "
1473,BLADE #KM3-412,$39.38 
1474,CATHETER EMBOLECTOMY #120403F,$144.18 
1475,CATHETER EMBOLECTOMY #120404F,$128.16 
1476,CATH URETERAL 5FR OPEN ENDED  021305,$62.42 
1477,CATH URET ANG TIP BRASWELL 023105 IN EA,$155.70 
1478,NOVASURE DEVICE NS2000,"$4,635.80 "
1479,SHOE POST OP FEMALE MD 79-90195,$20.21 
1480,MESH HERNIA LM #0115310,$634.50 
1481,MESH KUGEL  #0010101(DISC) NEW 0115410,"$1,005.89 "
1482,MESH KUGEL #0010105(DISC) NEW 0115411,"$2,328.30 "
1483,MESH COMPOSIX EX #0123810,"$5,953.50 "
1484,MESH KUGEL #0010215,"$3,529.80 "
1485,MESH VENTRIO LG OVAL #5950050 NEW,"$4,837.00 "
1486,SCREW #14022-38,$112.86 
1487,GUIDEWIRE #8092-22-028 BIOMET,$679.73 
1488,SCREW #1217-40-500,$337.50 
1489,SCREW #1217-25-500,$337.50 
1490,HEAD #1365-52-000,"$4,050.00 "
1491,TUBE EAR #145212,$21.96 
1492,BLADE MYRINGOTOMY #1458233 use this,$63.18 
1493,TUBING KLEIN INFILT #ITS-10,$54.00 
1494,BRA COMPRESSION 34 USE,$191.20 
1495,BRA COMPRESSION 36 2009-36,$170.64 
1496,BRA COMPRESSION 42 2009-42 USE,$177.21 
1497,BRA COMPRESSION 44 USE,$189.54 
1498,BRA COMPRESSION 38 USE,$193.99 
1499,PAD KNEE POSITIONING TRIANGLE 193P,$130.50 
1500,INTERCEED SPONGE BARRIER ADHESION  4350,"$1,044.23 "
1501,GUIDEWIRE #1210-64505,$598.95 
1502,HEAD FEMORAL #6942-5-046,"$6,187.50 "
1503,INSERT DURATION MED L11 6642-1-711 NC,"$3,825.00 "
1504,URETERAL CATHETER ADAPTER,$90.00 
1505,KNIFE STRAIGHT COLD #27069K/S,$608.06 
1506,KYPHON CEMENT C01A,$356.31 
1507,KYPHON INFLATION SYRINGE A08A,$404.10 
1508,KYPHON BONE BIOPSY F05A,$404.10 
1509,KYPHON 15/3 ADDL FRACTURE KPT1504,"$10,476.00 "
1510,KYPHON 20/3 ADDL FRACTURE KPX203NB,"$8,902.71 "
1511,KYPHON 15/3 FIRST FRACTURE KPT1502,"$15,403.50 "
1512,KYPHON 20/3 FIRST FRACTURE KPT2002,"$15,538.50 "
1513,KIT REDDICK SCREW E2504-01,$985.50 
1514,SUTURE RETRIEVER SM #9892,$150.57 
1515,DRAPE C-ARM MINI #4003,$33.53 
1516,IMPLANT BREAST 475CC,"$3,258.00 "
1517,TUBE EAR #10-56037,$33.84 
1518,TUBE EAR #10-56032,$56.93 
1519,TUBE EAR #10-56162(SUB IS 10-36162),$40.53 
1520,IMPLANT BREAST #350-1370,"$1,570.50 "
1521,ADAPTER UROLOK #730140,$64.44 
1522,STONE BASKET SEGURA #380-107,"$1,058.08 "
1523,UROMAX ULTRA #225-101,"$1,073.79 "
1524,KIT IRRIG PUMPING SNGL ACTION 720-100,$205.65 
1525,CATHETER URETERAL 225-121,"$2,124.00 "
1526,LOOP CUTTING 880-203 (24FR),$352.66 
1527,KNIFE ACL 10MM 232110,$940.50 
1528,KNIFE ACL 11MM 232111,$940.50 
1529,BONE PUTTY 1CC  #038010 MTF,$661.50 
1530,BONE PUTTY #038050 5CC,"$2,619.00 "
1531,BONE PUTTY 10CC #038100 MTF,"$4,194.00 "
1532,LITHOTRIPSY SERVICE 143,"$9,000.00 "
1533,DRAPE BIG TABLE  10/CS #420-S,$144.00 
1534,BANDAGE CONFORM 1X4 #2230,$3.00 
1535,NEEDLE HYPODERMIC REG WALL 22G 305156,$0.14 
1536,CATHETER FOLEY 16FR 5CC SIL #165816,$13.50 
1537,SHOE POST OP MALE XL 7990188,$17.87 
1538,SPLINT PLASTER 4 X 15 FAST SET  7391,$1.00 
1539,BANDAGE PLASTER FAST-SETTING 2  #7372,$2.98 
1540,NEEDLE 30GX1/2  - 305106,$1.53 
1541,SUTURE ETHILON 2-0 644G,$13.86 
1542,DRESSING HOLDER NASAL 600,$15.21 
1543,SUTURE PERMA 0 #A306H,$4.27 
1544,SUTURE PERMA 0 #A186H,$2.48 
1545,SUTURE PERMA 3-0 #A184H,$5.35 
1546,SUTURE PERMA 2-0 #A185H,$4.81 
1547,DRESSING GUAZE XEROFORM 1/8,$1.49 
1548,TAPE CASTING SCOTCHCAST 2 3INX 72003,$12.29 
1549,GLOVE TRIUMPH 7.5,$2.79 
1550,SUTURE PLAIN GUT #G204(discontinued),$8.73 
1551,CATHETER ANGIOCATH 14GA  #381167,$14.70 
1552,TRACH #8DFEN,$131.67 
1553,CAUTERY ELECTROSURG NEEDLE 138102,$4.75 
1554,SUTURE POLYSORB 3-0 #CL810,$7.35 
1555,CATHETER THORACIC STRT ADLT 36FR #8036,$16.90 
1556,SUTURE BIOSYN 4-0 #SM5637,$17.00 
1557,SUTURE VICRYL 3-0 #J205G,$7.25 
1558,LOOP VESSEL MINI WHITE #LOOP2005,$4.03 
1559,SPONGE LAPOROTOM 18X18IN5/PK,$5.27 
1560,SUTURE PERMA 2-0 #K833H,$4.05 
1561,SUTURE ETHILON 2-0 #664G,$5.31 
1562,SUTURE CHROMIC GUT 3-0 #GG122,$9.40 
1563,SUTURE SURGIGUT #GG123,$8.28 
1564,DRAPE SHEET HALF 40X58IN LF ST 89101,$123.94 
1565,TAPE UMBILICAL 1/8X18 #U10T,$8.78 
1566,SUTURE POLYSORB 3-0 #SL643,$8.60 
1567,SUTURE POLY 3-0 CL862 DELETE FOR SURGERY,$10.49 
1568,SUTURE POLYSORB 2-0 #SL823 S/O OR,$10.40 
1569,ANTI-FOG SOLUTION W/SPONGE #FOG1001,$6.48 
1570,NEEDLE FREE 3/8  #182212DC,$13.13 
1571,SUTURE PROLENE 1 #8425H,$8.78 
1572,GLOVE SURG BIOGEL ORTHOPEDIC 8 31080,$3.87 
1573,SUTURE POLYSORB 3-0 #GLS122,$11.07 
1574,SUTURE VICRYL 3-0 #J416H,$5.45 
1575,CATHETER OLIVE TIP #136904,$27.27 
1576,CATHETER SPIRAL TIP 5FR #137505,$28.71 
1577,SUTURE POLYSORB 2-0 #CL369MG,$27.54 
1578,SUTURE POLYSORB 2-0 #GL66M USE,$49.36 
1579,SUTURE VICRYL 3-0 #J784G,$38.25 
1580,BRIDGE SUTURE RETEN #230000RSB5,$68.89 
1581,SUTURE ETHILON #470G,$10.24 
1582,GLOVE SURG BIOGEL SENSOR THIN 30670,$3.51 
1583,SUTURE ETHILON 5-0 #1666G,$23.40 
1584,SUTURE ETHILON 6-0 #1665G,$36.83 
1585,SUTURE VICRYL 5-0 #J495G,$23.22 
1586,BAG URINARY DRAINAGE #154102,$18.86 
1587,ENDOCLIP II 10MM #176657,$323.46 
1588,SUTURE VICRYL 0 #J701D,$50.72 
1589,SUTURE VICRYL 0 #JJ81G,$56.02 
1590,SUTURE MONOCRYL 5-0 #Y495G,$31.73 
1591,SUTURE VICRYL 4-0 #VR496,$36.23 
1592,SUTURE VICRYL 3-0 #VR497,$36.77 
1593,INDICATOR STERIL BIO #1491,$9.90 
1594,SUTURE PLAIN GUT 6-0 #1916G,$46.49 
1595,SUTURE PLAIN #1915G,$46.49 
1596,SUTURE CHROMIC GUT 4-0 #1654G,$19.76 
1597,DRAPE UNDER BUTTOCK FLUID POUC 89415,$13.54 
1598,SUTURE SILK 2-0 #GS62M,$19.65 
1599,SUTURE PROLENE 3-0 #8522H,$18.27 
1600,ENDOLOOP SUTURE LIGATURE #EJ10,$145.48 
1601,TUBING INSUFFLATION 20/CS #28-0212 NEW,$28.21 
1602,STAPLER PURSESTRING #020242,$864.81 
1603,TRAY UROLOGIST'S #123400,$656.64 
1604,CLIP LIGA #LT300,$14.35 
1605,SUTURE SURGIPRO 6-0 #VP706X,$27.48 
1606,NEEDLE BIOPSY TRU CUT THIN WAL 2N2704X,$65.25 
1607,NEEDLE BIOPSY TRU CUT THIN WAL 2N2704X,$72.45 
1608,SURGINEEDLE 120MM 172015,$65.48 
1609,CATHETER #196SI18,$68.54 
1610,SUTURE ETHILON 3-0 #1663H,$26.01 
1611,STAPLER TA 60 #TA6035S,$405.27 
1612,SUTURE VICRYL 5-0 #J571G,$88.38 
1613,TROCAR VERSASTEP 5MM #VS101005,$235.71 
1614,SUTURE MONOCRYL 4-0 #Y426H,$17.37 
1615,NEEDLE INSUFFLATION ACCESS 14 GA S100000,$86.53 
1616,TROCAR VERSASTEP CANNULA 12MM #S101012P,$280.58 
1617,ENDOCLOSE #173022,$135.00 
1618,TROCAR VERSASTEP 11MM #VS101011P,$280.58 
1619,ENDOSTITCH 10MM #173016,$495.00 
1620,CATHETER 3 WAY COUDE 22 #6003L22 O&M ONL,$113.80 
1621,STAPLER LDS #PLDS15 DELETED,$826.92 
1622,STAPLER TA 45 #(TA4535S old( NewTXB),$336.15 
1623,SURGICEL #1953 2 X 3,$221.04 
1624,SURGICEL #1961- FIBULAR  1 X 2,$401.99 
1625,SPACEMAKER BALLON #OMST10SB,"$1,003.55 "
1626,BALLOON SPACEMAKER #OMSPDBS2,"$1,458.09 "
1627,STAPLER RELOAD ENDO GIA #030455,$747.90 
1628,STAPLER PROTACK 5MM #174006,"$1,330.43 "
1629,SCREW #7207681,$920.57 
1630,SCREW #7207686,$920.57 
1631,SCREW #7209013,$920.57 
1632,SHAVER FULL RADIUS EP-1 #7205307,$166.50 
1633,SHAVER STONECUTTER SPECIAL ORDER,$166.50 
1634,SCREW #7207674,$959.40 
1635,SHAVER FULL RADIUS EP-1 #7205305,$166.50 
1636,SHAVER FULL RADIUS EP-1 #7205306,$166.50 
1637,SHAVER INCISOR PLUS EP-1 #7205345,$166.50 
1638,SHAVER INCISOR PLUS 3500 #7205459,$166.50 
1639,PAD GROUNDING PEDS,$19.48 
1640,BLADE SAW #2108-145-000,$87.12 
1641,GOWN TOGA W/ZIP T4 SYS LG/X 0400-820-000,$199.38 
1642,SCREW #214.034,$73.40 
1643,SCREW #214.038,$73.40 
1644,ZZZSCREW #214.040 DISCONTINUED,$71.40 
1645,SCREW #214.042,$73.40 
1646,ZZZSCREW #214.044 DISCONTINUED,$73.40 
1647,SCREW #214.046,$99.23 
1648,SCREW #204.016,$68.31 
1649,SCREW #204.018,$101.25 
1650,SCREW #204.030,$66.83 
1651,SCREW #201.010,$129.06 
1652,SCREW #206.012,$107.33 
1653,SCREW #206.014,$78.44 
1654,SCREW #206.016,$89.86 
1655,SCREW #206.018,$78.44 
1656,SCREW #206.020,$79.34 
1657,SCREW #206.026,$78.44 
1658,SCREW #206.040,$78.44 
1659,SCREW #207.014,$74.25 
1660,SCREW #207.035,$80.19 
1661,SCREW #207.040,$85.05 
1662,SCREW #207.045,$85.05 
1663,SCREW #207.050,$74.25 
1664,SCREW #204.812,$95.31 
1665,SCREW #204.814,$109.26 
1666,SCREW #204.816,$109.26 
1667,SCREW #204.820,$109.26 
1668,SCREW #204.822,$109.26 
1669,SCREW #214.830,$96.17 
1670,SCREW #214.832,$96.17 
1671,SCREW #214.836,$110.16 
1672,SCREW #214.838,$96.17 
1673,SCREW #214.840,$96.17 
1674,SCREW #214.842,$96.17 
1675,SCREW #214.844,$96.17 
1676,SCREW #214.848,$96.17 
1677,WASHER 7.0MM  #219.98,$113.90 
1678,GUIDEWIRE 1.1mm  #292.623,$126.54 
1679,GUIDEWIRE 1.6 X 150MM #292.72 SYNTHES,$151.87 
1680,SCREW #215.050,$117.16 
1681,SCREW #217.060,$146.79 
1682,SCREW 6.5 X 40MM CANCELLOUS  #218.040,$147.24 
1683,CAP YELLOW 4.0  #394.991,$18.05 
1684,GUIDEWIRE 2.8MM  #292.68,$205.88 
1685,PIN GUIDE DHS #900.723,$217.67 
1686,PLATE #243.04,$374.63 
1687,PLATE #241.36,$324.00 
1688,PLATE #241.37,$308.79 
1689,DRILL BIT #310.11,$376.65 
1690,PLATE #241.38,$320.63 
1691,PLATE #241.40,$329.04 
1692,GUIDEWIRE 2.5  #310.243 SYNTHES,$291.92 
1693,DRILL BIT #310.31,$320.63 
1694,DRILL BIT #310.25,$376.65 
1695,SCREW #294.43,$388.13 
1696,GUIDEWIRE 1.25MM X 150MM   #292.12,$39.83 
1697,GUIDEWIRE 1.6mm x 150mm  #292.16,$39.83 
1698,GUIDEWIRE #292.26,$534.60 
1699,WASHER #219.941,$491.13 
1700,SCREW #212.101,$652.05 
1701,SCREW #212.102,$563.63 
1702,SCREW #212.104,$645.79 
1703,SCREW #212.105,$645.70 
1704,SCREW #212.106,$563.63 
1705,SCREW #212.107,$563.63 
1706,SCREW #212.110,$563.63 
1707,SCREW #212.111,$563.63 
1708,SCREW #212.113,$563.63 
1709,SCREW #212.115,$563.63 
1710,SCREW #212.116,$645.79 
1711,SCREW #212.117,$645.79 
1712,SCREW #212.119,$652.05 
1713,SCREW #212.121,$563.63 
1714,SCREW #212.124,$645.79 
1715,DRILL BIT #310.431,$571.05 
1716,SCREW #212.103,$563.63 
1717,PIN #293.68,$609.30 
1718,SCREW SCHANZ #293.74,$648.00 
1719,ROD REAMING #351.706S,$591.66 
1720,SCREW #212.209,$658.12 
1721,SCREW 5.0 X 32MM LOCKING   #212.210,$658.13 
1722,SCREW #212.212,$754.06 
1723,CAP END #458.10S OBSOLET NO REPLACEMENT,$878.45 
1724,PIN 4.5 THREADED CERCLAGE  #298.803S,$943.56 
1725,SCREW #294.784,$955.80 
1726,GUIDEWIRE #292.71,$74.93 
1727,GUIDEWIRE #900.722 NEW # SYNTHES,$143.96 
1728,BOLT LOCKING #459.60S,"$1,154.25 "
1729,PLATE #241.401,$816.75 
1730,GUIDEWIRE #292.75,$823.50 
1731,PLATE #241.421,$843.75 
1732,DRILL BIT #357.407,$789.75 
1733,SCREW #02.205.070,$884.25 
1734,SCREW 4.5 CANN 72MM #214.572  SYNTHES,"$1,036.35 "
1735,SCREW #222.538,$959.85 
1736,SCREW #222.543,$884.25 
1737,SCREW #222.546,$884.25 
1738,SCREW #207.626,$884.25 
1739,SCREW #207.628,$884.25 
1740,SCREW #207.630,"$1,068.30 "
1741,SCREW #207.632,$884.25 
1742,SCREW 4.0 X 36MM SHORT/THR  #207.636,$884.25 
1743,SCREW #207.638,"$1,077.30 "
1744,SCREW #207.640,"$1,077.30 "
1745,SCREW #207.644,$954.99 
1746,SCREW #207.650,$884.25 
1747,BOLT LOCKING #458.38S,"$1,073.25 "
1748,BOLT LOCKING #458.958s,"$1,154.25 "
1749,SCREW #214.538,$976.86 
1750,SCREW #214.540,"$1,028.70 "
1751,SCREW 4.5 X 44MM  #214.544,$904.50 
1752,SCREW #214.550,$904.50 
1753,SCREW #214.554,$904.50 
1754,SCREW #214.560,$904.50 
1755,SCREW #214.564,$904.50 
1756,SCREW #458.824S,"$1,029.38 "
1757,CAP END #459.012S,"$1,210.95 "
1758,SCREW #458.822S,"$1,178.55 "
1759,SCREW #458.836S,"$1,029.38 "
1760,SCREW #458.844S,$874.80 
1761,SCREW #458.940S,"$1,179.40 "
1762,SCREW #458.948S,"$1,179.40 "
1763,SCREW #458.952S,"$1,179.40 "
1764,CAP END #462.955S,"$1,194.75 "
1765,SCREW #208.890,"$1,161.00 "
1766,SCREW #208.895,"$1,405.00 "
1767,SCREW #208.900,"$1,161.00 "
1768,SCREW #208.905,"$1,253.88 "
1769,SCREW #209.875,"$1,161.00 "
1770,ROD 11 x 250mm #394.84 SYNTHES,"$1,360.80 "
1771,ROD #394.85 350MM,"$1,174.50 "
1772,SCREW #208.880,"$1,330.24 "
1773,ROD #394.87,"$1,289.25 "
1774,SCREW #02.207.070,"$1,312.88 "
1775,PLATE #245.15,"$1,451.52 "
1776,PLATE #223.591,"$1,596.38 "
1777,PLATE #223.621,"$1,815.75 "
1778,DRILL BIT #310.221,"$2,044.85 "
1779,PLATE #245.051,"$1,944.00 "
1780,PLATE #224.581,"$2,160.00 "
1781,CABLE CRIMP #298.801.01S,"$2,529.00 "
1782,ROD #390.003,"$2,045.25 "
1783,PLATE #281.102S,"$3,012.39 "
1784,PLATE #281.150,"$2,839.46 "
1785,PLATE #281.540S,"$2,629.12 "
1786,PLATE #245.35,"$2,740.50 "
1787,DRILL BIT #357.404,"$1,473.12 "
1788,PLATE #245.071,"$2,336.85 "
1789,DRILL BIT #357.403,"$1,674.00 "
1790,CLAMP LG EX-FIX  #390.008,"$2,646.00 "
1791,BLADE #456.303S,"$3,332.03 "
1792,BLADE #456.304S,"$3,333.37 "
1793,BLADE HELICAL #456.309S,"$2,909.25 "
1794,BLADE TI #456.302S,"$3,333.37 "
1795,PLATE 4.5MM 12H   #226.621,"$3,216.38 "
1796,PLATE #241.622,"$3,592.35 "
1797,PLATE #241.623,"$3,349.76 "
1798,CLAMP #390.005,"$3,192.75 "
1799,CLAMP LG  #390.002 SYNTHES,"$3,651.75 "
1800,PLATE DHS  #281.90S,"$5,027.08 "
1801,PLATE #281.980S,"$4,477.50 "
1802,CLAMP #390.051,"$3,776.63 "
1803,PLATE #240.037,"$7,335.67 "
1804,NAIL #456.315S 10mm,"$6,085.13 "
1805,NAIL 11MM X 170MM    #456.318S,"$6,085.13 "
1806,NAIL 12MM X 130  #456.322S,"$6,085.12 "
1807,PLATE #222.659,"$7,060.50 "
1808,PLATE #240.039,"$7,424.64 "
1809,PLATE #241.901,"$6,861.38 "
1810,NAIL #456.415S,"$8,008.88 "
1811,NAIL #456.418S,"$8,008.88 "
1812,NAIL #456.420S RT 400MM,"$8,008.88 "
1813,SUTURE ETHILON 2-0 664H,$5.31 
1814,SUTURE CHROMIC GUT #G214 DISCONTINUED,$9.00 
1815,SUTURE POLYSORB 2-0 #LL113,$10.71 
1816,SUTURE PERMA 0 #678G,$5.40 
1817,SUTURE PERMA 0 #424H,$4.10 
1818,SUTURE ETHILON 6-0 #1665G,$10.31 
1819,SUTURE MONOCRYL 3-0 #Y416H,$6.35 
1820,SUTURE VICRYL 2-0 J259H,$5.44 
1821,SUTURE POLYSORB 4-0 #UL203,$10.94 
1822,SUTURE VICRYL 3-0 #J442H,$7.79 
1823,SUTURE SURGIPRO 1 #CP455,$9.00 
1824,SUTURE VICRYL 3-0  #J316H,$5.45 
1825,SUTURE POLYSORB 3-0 #GLS322,$11.07 
1826,SUTURE PROLENE 1 #8824G,$13.10 
1827,SUTURE VICRYL 3-0 #J864D,$38.84 
1828,SUTURE POLYSORB 2-0 #GL66M,$47.93 
1829,SUTURE ETHIBOND 1 #X425H,$5.49 
1830,SUTURE MAXON #6085-73,$54.81 
1831,SUTURE CHROMIC #G2797,$80.73 
1832,SUTURE ETHIBOND 0 #CX21D,$35.37 
1833,SUTURE ETHIBOND 0 #CX45D,$41.58 
1834,SUTURE TICRON 0 #3379-62,$39.56 
1835,STAPLER RELOAD TA 30 #TA3035L,$156.06 
1836,STAPLER TA 30 #TA3035S,$331.38 
1837,STAPLER RELOAD TA 90 #TA9048L,$222.84 
1838,STAPLER RELOAD TA 45 #TA4535L,$168.08 
1839,STAPLER TA 90 #TA9048S,$512.46 
1840,STAPLER MULTIFIRE GIA #GIA6025L,$260.95 
1841,STAPLER TA 45 #TA4548S,$336.15 
1842,CATHETER 3 WAY L F SILICONE 20FR,$52.25 
1843,CUFF TOURNIQUET DUAL POR SNG 60-7500-003,$558.95 
1844,CUFF TOURNIQUET DIS ATS CYLI 60-7500-004,$625.05 
1845,DERMACARRIER #2195-012-00,$94.42 
1846,INSERT SIZE 1-2 H 11 RIGHT 6276-01-711N,"$7,064.01 "
1847,SCREW #30-0029-S,"$2,137.50 "
1848,K-WIRE .062 #80-0143,$63.00 
1849,KWIRE 0.28 TROCAR POINT,$107.73 
1850,CUP ACETABULAR 56 MM SIZE 24,"$12,379.50 "
1851,LINER ACETABULAR 36MM SIZE 24,"$7,425.00 "
1852,STEM POROUS 11MM X 135 MM BIOMET,"$9,562.50 "
1853,CURETTE FLEXIBLE 8MM,$16.54 
1854,FEMORAL HEAD CERAMIC DEPUY 40MM,"$5,400.00 "
1855,SUTURE POLYSORB 4-0 #GL321,$7.16 
1856,CLAW TROCHANTERIC LONG,"$12,699.90 "
1857,SCREW #458.834S DISCONTINUED,"$1,029.38 "
1858,SURGICLIP APPLIER 11.5 (MCM20),$190.44 
1859,SUTURE NYLON 10-0 #8065-202101,$92.61 
1860,ENDO STITCH #170003,$101.66 
1861,SUTURE RETRIEVER MED #9893,$150.57 
1862,DRAIN WOUND FLAT HUBLESS 0.75 70370,$20.25 
1863,BIOPSY NEEDLE MONOPTY #121816,$185.85 
1864,STAPLER MULTIFIRE PREMIUM RELOAD #059038,$70.38 
1865,SCREW #214.828,$96.17 
1866,ZZZBLADE #1458233 don't use,$57.46 
1867,SEPRAFILM ADHESIVE 2X3X5 SMALL,"$1,246.82 "
1868,DRESSING VASELINE #CUR251180,$1.22 
1869,SEPRAFILM SMALL #5086-02,"$3,202.33 "
1870,SCREW #280.290S,"$1,758.38 "
1871,SCREW #280-990S,$477.54 
1872,OSTEOBEADS #84000611,"$4,140.00 "
1873,CUP BIOMET #11-165222,"$2,925.00 "
1874,TC3 POLY DEPUY 962344,"$12,258.00 "
1875,DISTAL AUG 4MM RT 960861,"$4,419.90 "
1876,TRAY MBT #1294-35-130,"$21,551.40 "
1877,INSERT DEPUY 96-2131,"$5,040.00 "
1878,BIOMET BEARING #189068,"$7,555.50 "
1879,SUTURE VICRYL 8-0 #J401G,$91.35 
1880,DEPUY FEMORAL 2LT 196040200,"$6,300.00 "
1881,SCREW #207.642,"$1,077.00 "
1882,SCREW #30-0031-S,"$2,322.00 "
1883,SHELL ACETABULAR 56MM,"$5,400.00 "
1884,SCREW #1217-20-500,$337.50 
1885,SCREW #1217-30-500,$337.50 
1886,DRILL BIT #2274-35-500,"$1,012.50 "
1887,AXIS JACKSON PATIENT KIT,$326.39 
1888,ROD #395.61,$185.63 
1889,DRILL BIT #310.67,"$2,001.38 "
1890,SCREW #201.012,$129.06 
1891,FEMORAL STEM SIZE 8 157011150,"$11,250.00 "
1892,CORTICAL SCREW 4.5 X 46 MM,$145.13 
1893,CORTICAL SCREW 4.5 X 38 MM,$147.06 
1894,CORTICAL SCREW 4.5 X 8MM,$412.97 
1895,PLATE #245.121,"$2,624.40 "
1896,SLING MINI ARC 720191-01,"$5,602.50 "
1897,BIOMET TIBIA #154721,"$7,875.00 "
1898,PATELLA DOME 32MM,"$2,025.00 "
1899,INSERT DEPUY 962021,"$5,400.00 "
1900,TIBIAL MBT SZ 2,"$5,400.00 "
1901,FEMUR 2.5  DEPUY 940028,"$6,750.00 "
1902,SCREW #COL-3220,$513.00 
1903,PLATE #PL-ELT-1035,"$1,206.00 "
1904,BIOMET BEARING #189104,"$4,050.00 "
1905,BIOMET FEMUR #183072,"$10,912.50 "
1906,BIOMET BEARING #189102,"$4,050.00 "
1907,HEAD DEPUY 1035-43-000,"$2,700.00 "
1908,SCREW #202.020,$135.81 
1909,BIOMET BEARING #159569,"$4,050.00 "
1910,CANNULA PATH WRIGHT 2007-ST20,$562.50 
1911,SCREW #2007-0057,$337.50 
1912,SHELL BIPOLAR DEPUY,"$2,700.00 "
1913,MYOSURE TISSUE REMOVER DEVICE,"$3,825.00 "
1914,STAPLER GIA #GIA6025S,$469.13 
1915,ALCOHOL 4OZ I0020,$1.94 
1916,CUP BIOMET  #11-165234,"$2,925.00 "
1917,DRAPE MINI C-ARM #005207CA300,$23.22 
1918,SCREW #216.040,$146.79 
1919,WIRE 1.0 CERCLAGE COIL(ROLL)  291.05,$347.00 
1920,SCREW #214.552,$904.50 
1921,BIOMET ADAPTER #139248,$450.00 
1922,SUTURE PERMA 0 #680H,$5.40 
1923,MESH PROCEED #PCDG1,"$3,763.53 "
1924,BIOMET STEM #181310,"$9,562.50 "
1925,RETRACTOR ABSORBENT DASH MALLEABLE #3,$131.90 
1926,KYPHON CURETTE A11B,$712.22 
1927,SCREW #208.855,"$1,405.35 "
1928,SCREW #02.205.080,"$1,024.65 "
1929,PUMPING SYSTEM SINGLE ACTION 720-100,$199.53 
1930,BIOMET BEARING #159540,"$4,050.00 "
1931,SCREW #AM-0035-S,"$2,322.00 "
1932,SCREW #200.816,$167.22 
1933,CATHETER HICKMAN 9.6FR #0600560,$441.00 
1934,BONE WAX #DYNJBW25,$20.21 
1935,DERMABOND ADHESIVE XL DPPXL6,$159.84 
1936,CATHETER PIGTAIL #13709802,$787.92 
1937,SUTURE MONOSOF 9-0 #N2546,$48.65 
1938,CAP END T25 0MM  04.001.000S,$901.12 
1939,GUIDE WIRE 2.0MM  03.010.025,$156.92 
1940,SCREW #201.770,$253.13 
1941,SCREW #212.830,$445.50 
1942,BIOMET FEMUR #183064,"$10,912.50 "
1943,IMPLANT BREAST #350-1430,"$3,145.50 "
1944,FIXATOR CORETRAK WRIGHT EFSR-1000,"$7,776.00 "
1945,SUTURE ETHIBOND 1 #X518H,$8.19 
1946,BIOMET FEMUR #183048,"$10,912.50 "
1947,PLATE #246.031,$741.15 
1948,SCREW #200.810,$91.13 
1949,EXPRESSEW II NEEDLE DEPUY 214141 NEW#,"$1,035.00 "
1950,STENT ACMI 7X28 5607028,$270.00 
1951,SUTURE POLYSORB 2-0 #CL56MG,$55.22 
1952,SCREW #AT2-C14-S,"$2,322.00 "
1953,DRILL MICRO ACUMED 80-0100,"$1,233.00 "
1954,SUTURE ETHIBOND 0 X412H,$5.54 
1955,BIOMET BEARING #189106,"$4,050.00 "
1956,BIOMET PATELLA #184768,"$2,025.00 "
1957,SUTURE ETHILON 3-0 #663H,$5.58 
1958,DRILL BIT #310.507,$724.95 
1959,BIOMET FEMUR #183002,"$9,108.00 "
