Procedure Description,CPT(R)/HCPCS Code, Unit Price 
HC STRAPPING TOES,29550, 155.00 
HC STRAPPING TOES (PRO FEE),29550, 133.00 
HC STRAPPING UNNA BOOT,29580, 217.00 
HC STRAPPING UNNA BOOT,29580, 230.00 
HC STRAPPING UNNA BOOT (PRO FEE),29580, 293.00 
HC REPAIR SPICA BODY CAST/JACKET,29720, 560.00 
HC UNLISTED PROCEDURE CASTING/STRAPPING,29799, 301.00 
HC DRAINAGE ABSCESS/HEMATOMA NASAL INT APPROACH,30000, 255.00 
HC DRAINAGE ABSCESS/HEMATOMA NASAL INT APPROACH (PRO FEE),30000, 403.00 
HC DRAINAGE ABSCESS/HEMATOMA NASAL SEPTUM,30020," 1,037.00 "
HC DRAINAGE ABSCESS/HEMATOMA NASAL SEPTUM (PRO FEE),30020," 1,037.00 "
HC EXCISION/SURGICAL PLANING SKIN NOSE RHINOPHYMA,30120," 3,530.00 "
HC REMOVAL FOREIGN BODY INTRANASAL OFFICE PROCEDURE,30300, 111.00 
HC REMOVAL FOREIGN BODY INTRANASAL OFFICE PROCEDURE,30300, 297.00 
HC REMOVAL FOREIGN BODY INTRANASAL OFFICE PROCEDURE (PRO FEE),30300, 192.00 
HC CONTROL NASAL HEMORRHAGE ANTERIOR SIMPLE,30901, 209.00 
HC CONTROL NASAL HEMORRHAGE ANTERIOR SIMPLE (PRO FEE),30901, 214.00 
HC CONTROL NASAL HEMORRHAGE ANTERIOR COMPLEX,30903, 205.00 
HC CONTROL NASAL HEMORRHAGE ANTERIOR COMPLEX,30903, 236.00 
HC CONTROL NASAL HEMORRHAGE ANTERIOR COMPLEX (PRO FEE),30903, 284.00 
HC CTRL NSL HEMRRG PST NASAL PACKS&/CAUTERY 1ST,30905, 255.00 
HC CTRL NSL HEMRRG PST NASAL PACKS&/CAUTERY 1ST (PRO FEE),30905, 791.00 
HC CTRL NSL HEMRRG PST NASAL PACKS&/CAUTERY SUBSQ,30906, 255.00 
HC CTRL NSL HEMRRG PST NASAL PACKS&/CAUTERY SUBSQ (PRO FEE),30906, 495.00 
HC NASAL ENDOSCOPY DIAGNOSTIC UNI/BI SPX,31231, 454.00 
HC INTUBATION ENDOTRACHEAL EMERGENCY PROCEDURE,31500, 709.00 
HC INTUBATION ENDOTRACHEAL EMERGENCY PROCEDURE (PRO FEE),31500, 418.00 
HC TRACH TUBE CHANGE,31502, 408.00 
HC LARYNGOSCOPY INDIRECT DIAGNOSTIC SPX,31505, 454.00 
HC LARYNGOSCOPY INDIRECT W/REMOVAL FOREIGN BODY,31511, 342.00 
HC LARYNGOSCOPY INDIRECT W/REMOVAL FOREIGN BODY (PRO FEE),31511, 342.00 
HC LARYNGOSCOPY W/WO TRACHEOSCOPY ASPIRATION,31515," 6,069.00 "
HC LARYNGOSCOPY W/FOREIGN BODY REMOVAL,31530," 3,670.00 "
HC LARYNGOSCOPY W/FOREIGN BODY REMOVAL (PRO FEE),31530," 1,324.00 "
HC LARYNGOSCOPY FLEXIBLE DIAGNOSTIC,31575, 578.00 
HC LARYNGOSCOPY FLEXIBLE DIAGNOSTIC (PRO FEE),31575, 242.00 
HC LARYNGOSCOPY FLX RMVL FOREIGN BODY(S),31577," 1,115.00 "
HC BRNCHSC INCL FLUOR GDNCE DX W/CELL WASHG SPX,31622," 4,271.00 "
HC BRNCHSC BRUSHING/PROTECTED BRUSHINGS,31623," 4,030.00 "
HC BRNCHSC W/BRNCL ALVEOLAR LAVAGE,31624," 4,030.00 "
HC BRONCHOSCOPY W/TRANSBRONCHIAL LUNG BX 1 LOBE,31628," 4,271.00 "
HC BRONCHOSCOPY NEEDLE BX TRACHEA MAIN STEM&/BRON,31629," 4,030.00 "
HC BRONCHOSCOPY W/REMOVAL FOREIGN BODY,31635," 2,826.00 "
HC BRONCHOSCOPY W/REMOVAL FOREIGN BODY (PRO FEE),31635," 2,974.00 "
HC BIOPSY LUNG/MEDIASTINUM PERCUTANEOUS NEEDLE,32405," 1,478.00 "
HC INSERTION INDWELLING TUNNELED PLEURAL CATHETER,32550," 7,489.00 "
HC TUBE THORACOSTOMY INCLUDES WATER SEAL,32551," 1,265.00 "
HC TUBE THORACOSTOMY INCLUDES WATER SEAL (PRO FEE),32551," 1,351.00 "
HC THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING,32554," 1,351.00 "
HC THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING,32554," 1,351.00 "
HC THORACENTESIS NEEDLE/CATH PLEURA W/IMAGING,32555," 1,431.00 "
HC THORACENTESIS NEEDLE/CATH PLEURA W/IMAGING (PRO FEE),32555, 613.00 
HC THORACENTESIS NEEDLE/CATH PLEURA W/IMAGING,32555," 1,431.00 "
HC PERQ DRAINAGE PLEURA INSERT CATH W/O IMAGING,32556," 1,427.00 "
HC PERQ DRAINAGE PLEURA INSERT CATH W/IMAGING,32557," 1,431.00 "
HC PERICARDIOCENTESIS INITIAL,33010," 1,012.00 "
HC PERICARDIOCENTESIS INITIAL (PRO FEE),33010," 1,012.00 "
HC PERICARDIOCENTESIS SUBSEQUENT,33011, 983.00 
HC INS NEW/RPLCMT PRM PACEMAKR W/TRANS ELTRD ATRIAL,33206," 31,939.00 "
HC INS NEW/RPLC PRM PACEMAKER W/TRANSV ELTRD VENTR,33207," 15,633.00 "
HC INS NEW/RPLCMT PRM PM W/TRANSV ELTRD ATRIAL&VENT,33208," 19,879.00 "
HC INSJ/RPLCMT TEMP TRANSVNS 1CHMBR ELTRD/PM CATH,33210," 10,775.00 "
HC INSJ/RPLCMT TEMP TRANSVNS 2CHMBR PACG ELTRDS SPX,33211," 15,493.00 "
HC INS PM PLS GEN W/EXIST SINGLE LEAD,33212," 12,201.00 "
HC INS PACEMAKER PULSE GEN ONLY W/EXIST DUAL LEADS,33213," 20,595.00 "
HC UPG PACEMAKER SYS CONVERT 1CHMBR SYS 2CHMBR SYS,33214," 19,879.00 "
HC RPSG PREV IMPLTED PM/DFB R ATR/R VENTR ELECTRODE,33215," 6,052.00 "
HC INSJ 1 TRANSVNS ELTRD PERM PACEMAKER/IMPLTBL DFB,33216," 15,493.00 "
HC INSJ 2 TRANSVNS ELTRD PERM PACEMAKER/IMPLTBL DFB,33217," 15,493.00 "
HC RPR 1 TRANSVNS ELTRD PRM PM/PACING IMPLNTBL DFB,33218," 5,898.00 "
HC RPR 2 TRANSVNS ELECTRODES PRM PM/IMPLANTABLE DFB,33220," 14,820.00 "
HC INS PACEMAKER PULSE GEN ONLY W/EXIST MULT LEADS,33221," 25,384.00 "
HC RELOCATION OF SKIN POCKET FOR PACEMAKER,33222," 4,524.00 "
HC RELOCATE SKIN POCKET IMPLANTABLE DEFIBRILLATOR,33223," 4,524.00 "
HC INSJ ELTRD CAR VEN SYS ATTCH PREV PM/DFB PLS GEN,33224," 9,748.00 "
HC INSJ ELTRD CAR VEN SYS ATTCH PREV PM/DFB PLS GEN,33224," 36,872.00 "
HC INSJ ELTRD CAR VEN SYS TM INSJ DFB/PM PLS GEN,33225," 36,872.00 "
HC RPSG PREV IMPLTED CAR VEN SYS L VENTR ELTRD,33226," 4,818.00 "
HC REMVL PERM PM PLSE GEN W/REPL PLSE GEN SNGL LEAD,33227," 11,565.00 "
HC REMVL PERM PM PLS GEN W/REPL PLSE GEN 2 LEAD SYS,33228," 13,917.00 "
HC REMVL PERM PM PLS GEN W/REPL PLSE GEN MULT LEAD,33229," 25,384.00 "
HC INSJ IMPLNTBL DEFIB PULSE GEN W/EXIST DUAL LEADS,33230," 34,474.00 "
HC INSJ IMPLNTBL DEFIB PULSE GEN W/EXIST MULTILEADS,33231," 45,758.00 "
HC REMOVAL PERMANENT PACEMAKER PULSE GENERATOR ONLY,33233," 10,051.00 "
HC RMVL TRANSVNS PM ELTRD 1 LEAD SYS ATR/VENTR,33234," 5,791.00 "
HC RMVL TRANSVNS PM ELTRD DUAL LEAD SYS,33235," 5,791.00 "
HC INSJ IMPLNTBL DEFIB PULSE GEN W/1 EXISTING LD,33240," 47,388.00 "
HC REMOVAL IMPLANTABLE DEFIB PULSE GENERATOR ONLY,33241," 5,791.00 "
HC RMVL1/DUAL CHMBR IMPLTBL DFB ELTRD TRANSVNS XTRJ,33244," 3,896.00 "
HC INSJ/RPLCMT PERM DFB W/TRNSVNS LDS 1/DUAL CHMBR,33249," 57,470.00 "
HC RMVL IMPLTBL DFB PLSE GEN W/REPL PLSE GEN 1 LEAD,33262," 36,544.00 "
HC RMVL IMPLTBL DFB PLSE GEN W/RPLCMT PLSE GEN 2 LD,33263," 37,817.00 "
HC RMVL IMPLTBL DFB PLS GEN W/RPLCMT PLS GEN MLT LD,33264," 45,757.00 "
HC INS/RPLCMNT PERM SUBQ IMPLTBL DFB W/SUBQ ELTRD,33270," 89,135.00 "
HC IMPLANTATION PT-ACTIVATED CARDIAC EVENT RECORDER,33282," 19,043.00 "
HC RMVL IMPLANTABLE PT-ACTIVATED CAR EVENT RECORDER,33284," 2,239.00 "
"HC INSERT, SUBCUTANEOUS CARDIAC RHYTHM MONITOR, INCLUDING PROGRAMMING",33285," 18,510.28 "
"HC REMOVAL, SUBCUTANEOUS CARDIAC RHYTHM MONITOR",33286," 1,448.35 "
HC TCAT REMOVAL PERM LEADLESS PACEMAKER R VENTR,33289," 6,603.80 "
HC TCAT IMPL WRLS P-ART PRS SNR L-T HEMODYN MNTR,33289," 73,351.85 "
HC INSERTION INTRA-AORTIC BALLOON ASSIST DEV PERQ,33967," 3,167.00 "
HC REMOVAL INTRA-AORTIC BALLOON ASSIST DEVICE PRQ,33968," 3,167.00 "
HC INSJ PERQ VAD W/IMAGING ARTERY ACCESS ONLY,33990," 1,121.00 "
HC REMOVAL PERCUTANEOUS VAD DIFFERENT SESSION,33992, 579.00 
HC RPR BLOOD VESSEL DIRECT LOWER EXTREMITY,35226," 1,934.00 "
HC RPR BLOOD VESSEL DIRECT LOWER EXTREMITY (PRO FEE),35226," 3,397.00 "
HC TRANSLUMNL ANGIOPL PERCUT;RENA,35471," 12,814.00 "
"HC TRANSLUML ANGIOPL,PERCUT AORTI",35472," 12,814.00 "
"HC PTA BRACH/TRUNK,BRANCH,EA VESS",35475," 6,904.00 "
HC TRANSLUML BLN ANGIOLPL PERC VE,35476," 8,544.00 "
HC INTRODUCTION NEEDLE/INTRACATHETER VEIN,36000, 284.00 
HC INJECTION PX PRQ TX EXTREMITY PSEUDOANEURYSM,36002, 626.00 
HC NJX PX XTR VNGRPH W/INTRO NDL/INTRACATH,36005, 375.00 
HC INTRO CATHETER SUPERIOR/INFERIOR VENA CAVA,36010, 385.00 
HC SLCTV CATH PLMT VEN SYS 1ST ORDER BRANCH,36011, 446.00 
HC SLCTV CATH PLMT VEN SYS 2ND ORDER/> SLCTV BRANC,36012, 483.00 
HC SLCTV CATHETER PLMT LEFT/RIGHT PULMONARY ARTERY,36014, 385.00 
HC NEEDLE/CATH RETRO BRACH ART,36120, 363.00 
HC INTRO OF NEEDLE OR INTRACATHETER UPR/LXTR ARTERY,36140, 385.00 
HC INTRO NDL/CATH AV SHUNT FOR EV,36147," 2,388.00 "
HC ACCESS AV DIAL GRFT(ADD ON),36148," 2,550.00 "
HC INTRODUCTION CATHETER AORTA,36200," 1,640.00 "
HC SLCTV CATHJ EA 1ST ORD THRC/BRCH/CPHLC BRNCH,36215," 1,358.00 "
HC SLCTV CATHJ 1ST 2ND ORD THRC/BRCH/CPHLC BRNCH,36216," 1,502.00 "
HC SLCTV CATHJ 3RD+ ORD SLCTV THRC/BRCH/CPHLC BRNCH,36217," 1,777.00 "
HC SLCTV CATHJ EA 2ND+ ORD THRC/BRCH/CPHLC BRNCH,36218," 1,187.00 "
HC NONSLCTV CATH THOR AORTA ANGIO INTR/XTRCRANL ART,36221," 7,275.00 "
HC SLCTV CATH CAROTID/INNOM ART ANGIO XTRCRANL ART,36222," 7,208.00 "
HC SLCTV CATH CAROTID/INNOM ART ANGIO INTRCRANL ART,36223," 7,712.00 "
HC SLCTV CATH INTRNL CAROTID ART ANGIO INTRCRNL ART,36224," 12,613.00 "
HC SLCTV CATH SUBCLAVIAN ART ANGIO VERTEBRAL ARTERY,36225," 7,712.00 "
HC SLCTV CATH VERTEBRAL ART ANGIO VERTEBRAL ARTERY,36226," 12,613.00 "
HC SLCTV CATH XTRNL CAROTID ANGIO XTRNL CAROTD CIRC,36227," 7,712.00 "
HC SLCTV CATHJ EA 1ST ORD ABDL PEL/LXTR ART BRNCH,36245," 1,358.00 "
HC SLCTV CATHJ 2ND ORDER ABDL PEL/LXTR ART BRNCH,36246," 1,528.00 "
HC SLCTV CATHJ 3RD+ ORD SLCTV ABDL PEL/LXTR BRNCH,36247," 1,699.00 "
HC SLCTV CATHJ EA 2ND+ ORD ABDL PEL/LXTR ART BRNCH,36248," 1,358.00 "
HC SLCTV CATH 1STORD W/WO ART PUNCT/FLUORO/S&I UN,36251," 7,733.00 "
HC SLCTV CATH 1STORD W/WO ART PUNCT/FLUOR/S&I BIL,36252," 8,612.00 "
HC SUPSLCTV CATH 2ND+ORD RENAL&ACCESSORY ARTERY/S&I,36253," 7,295.00 "
HC SUPSLCTV CATH 2ND+ORD RENAL&ACCESSORY ARTERY/S&I,36254," 8,042.00 "
HC REMOVAL IMPLANTED INTRA-ARTERIAL INFUSION PUMP,36262," 5,703.00 "
"HC VENIPUNCT OVER AGE 3, DIAG OR",36410, 66.00 
HC VNPNXR 3 YEARS/> PHYS/QHP SKILL (PRO FEE),36410, 62.00 
HC VENIPUNCTURE,36415, 11.00 
"HC TRANSFUSION, BLOOD PRODUCTS",36430, 920.00 
"HC INTRAUTERINE TRANSFUSION, W/M",36460, 962.00 
HC INTRAUTERINE TRANSFUSION (MULTIPLES),36460, 962.00 
HC INJECTIONS SCLEROSANT FOR SPIDER VEINS LIM/TRNK,36468, 245.00 
HC INJECTION SCLEROSANT SINGLE INCMPTNT VEIN,36470, 446.00 
HC INJECTION SCLEROSANT MULTIPLE INCMPTNT VEINS,36471, 311.00 
HC ENDOVEN ABLTJ INCMPTNT VEIN XTR RF 1ST VEIN,36475," 10,133.00 "
HC ENDOVEN ABLTJ INCMPTNT VEIN XTR RF 2ND+ VEINS,36476," 6,159.00 "
HC ENDOVEN ABLTJ INCMPTNT VEIN XTR LASER 1ST VEIN,36478," 5,606.00 "
HC ENDOVEN ABLTJ INCMPTNT VEIN XTR LASER 2ND+ VEINS,36479," 5,606.00 "
HC PRQ PORTAL VEIN CATHETERIZATION ANY METHOD,36481," 1,225.00 "
"HC CATH PLCMT-CENTRAL VENOUS,PERCU",36489," 2,838.00 "
"HC CATH PLCMT-CENTRAL VENOUS,PERCU(PRO-FEE)",36489, 632.00 
HC VEN CATHJ SLCTV ORGAN BLD SAMPLING,36500, 780.00 
HC CATHJ UMBILICAL VEIN DX/THER NB,36510, 411.00 
HC CATHJ UMBILICAL VEIN DX/THER NB (PRO FEE),36510, 184.00 
HC THERAPEUTIC APHERESIS; RED BLD,36512," 3,623.00 "
HC THERAPEUTIC APHERESIS PLASMA PHERESIS,36514," 4,663.00 "
HC INSJ NON-TUNNELED CENTRAL VENOUS CATH AGE < 5 Y,36555," 2,564.00 "
HC INSJ NON-TUNNELED CENTRAL VENOUS CATH AGE 5 YR/>,36556," 1,684.00 "
HC INSJ NON-TUNNELED CENTRAL VENOUS CATH AGE 5 YR/> (PRO FEE),36556," 2,423.00 "
HC INSJ TUNNELED CVC W/O SUBQ PORT/PMP AGE 5 YR/>,36558," 4,339.00 "
HC INSJ TUNNELED CTR VAD W/SUBQ PORT AGE 5 YR/>,36561," 7,622.00 "
HC INSJ TUN VAD REQ 2 CATH 2 SITS W/O SUBQ PORT/PMP,36565," 5,073.00 "
HC INSJ TUN VAD REQ 2 CATH 2 SITS W/SUBQ PORT,36566," 17,174.00 "
HC INSJ PRPH CVC W/O SUBQ PORT/PMP AGE 5 YR/>,36569," 1,684.00 "
HC INSJ PRPH CVC W/O SUBQ PORT/PMP AGE 5 YR/> (PRO FEE),36569," 2,763.00 "
HC INSJ PRPH CTR VAD W/SUBQ PORT AGE 5 YR/>,36571," 5,798.00 "
HC INSERTION PICC W/RS&I 5 YR/>,36573," 2,734.10 "
HC RPLCMT COMPL NON-TUN CVC W/O SUBQ PORT/PMP,36580," 2,266.00 "
HC RPLCMT COMPL TUN CVC W/O SUBQ PORT/PMP,36581," 5,798.00 "
HC RPLCMT COMPL TUN CTR VAD W/SUBQ PORT,36582," 5,059.00 "
HC RPLCMT COMPL TUN CTR VAD W/SUBQ PMP,36583," 6,214.00 "
HC RPLCMT COMPL PRPH CVC W/O SUBQ PORT/PMP,36584," 2,462.00 "
HC RPLCMT COMPL PRPH CTR VAD W/SUBQ PORT,36585," 5,798.00 "
HC RMVL TUN CVC W/O SUBQ PORT/PMP,36589," 1,467.00 "
HC RMVL TUN CTR VAD W/SUBQ PORT/PMP CTR/PRPH INSJ,36590," 1,787.00 "
HC COLLECT BLOOD FROM IMPLANT VENOUS ACCESS DEVICE,36591, 164.00 
HC DECLOT BY THROMBOLYTIC AGENT IMPLANT DEVICE/CATH,36593, 722.00 
HC MCHNL RMVL PRICATH OBSTR CV DEV VIA VEN ACCESS,36595," 5,799.00 "
HC MCHNL RMVL INTRAL OBSTR CV DEV THRU DEV LUMEN,36596," 2,544.00 "
HC RPSG PREVIOUSLY PLACED CVC UNDER FLUOR GDNCE,36597," 2,544.00 "
HC CNTRST NJX RAD EVAL CTR VAD FLUOR IMG&REPRT,36598, 799.00 
HC ARTERIAL PUNCTURE WITHDRAWAL BLOOD DX,36600, 171.00 
HC ARTERIAL PUNCTURE WITHDRAWAL BLOOD DX (PRO FEE),36600, 171.00 
HC ARTL CATHJ/CANNULJ MNTR/TRANSFUSION SPX PRQ,36620, 351.00 
HC ARTL CATHJ/CANNULJ MNTR/TRANSFUSION SPX PRQ (PRO FEE),36620, 195.00 
HC PLACEMENT NEEDLE INTRAOSSEOUS INFUSION,36680, 330.00 
HC PLACEMENT NEEDLE INTRAOSSEOUS INFUSION (PRO FEE),36680, 330.00 
"HC PERCUT,THROMBECT AV FISTUAL",36870," 6,892.00 "
HC INTRO CATH DIALYSIS CIRCUIT DX ANGRPH FLUOR S&I,36901," 1,523.00 "
HC INTRO CATH DIALYSIS CIRCUIT W/TRLUML BALO ANGIOP,36902," 10,736.00 "
HC INTRO CATH DIALYSIS CIRCUIT W/TCAT PLMT IV STENT,36903," 21,700.00 "
HC PERQ THRMBC/NFS DIALYSIS CIRCUIT IMG DX ANGRPH,36904," 18,545.00 "
HC PERQ THRMBC/NFS DIAL CIRCUIT TRLUML BALO ANGIOP,36905," 27,060.00 "
HC PERQ THRMBC/NFS DIAL CIRCUIT TCAT PLMT IV STENT,36906," 32,891.00 "
HC TRLUML BALO ANGIOP CTR DIALYSIS SEG W/IMG S&I,36907," 15,809.00 "
HC STENT PLMT CENTRAL DIAYLSIS SEG PFRMD DIAL CIR,36908," 6,363.00 "
HC INSJ TRANSVNS INTRAHEPATC PORTOSYSIC SHUNT,37182," 3,683.00 "
HC REVJ TRANSVNS INTRAHEPATIC PORTOSYSTEMIC SHUNT,37183," 13,262.00 "
HC PRIM PRQ TRLUML MCHNL THRMBC N-COR N-ICRA 1ST,37184," 9,010.00 "
HC PRIM PRQ TRLUML MCHNL THRMBC N-COR N-ICRA SBSQ,37185," 9,415.00 "
HC SEC PRQ TRLUML THRMBC N-CORONARY N-INTRACRANIAL,37186," 9,415.00 "
HC PRQ TRANSLUMINAL MECHANICAL THROMBECTOMY VEIN,37187," 10,372.00 "
HC INS INTRVAS VC FILTR W/WO VAS ACS VSL SELXN RS&I,37191," 10,854.00 "
HC RTRVL INTRVAS VC FILTR W/WO ACS VSL SELXN RS&I,37193," 7,891.00 "
HC THROMBOLYSIS CEREBRAL IV INFUSION,37195, 555.00 
HC PRQ TRANSCATHETER RTRVL INTRVAS FB WITH IMAGING,37197," 7,302.00 "
HC TRANSCATHETER BIOPSY,37200," 6,962.00 "
HC THROMBOLYSIS ARTERIAL INFUSION ICRA RS&I INIT TX,37211," 5,695.00 "
HC THROMBOLYSIS VENOUS INFUSION W/IMAGING INIT TX,37212," 2,576.00 "
HC THROMBOLYSIS ART/VENOUS INFSN W/IMAGE SUBSQ TX,37213," 5,750.00 "
HC CESSATION THROMBOLYTIC THER W/CATHETER REMOVAL,37214," 5,750.00 "
HC TCAT IV STENT CRV CRTD ART EMBOLIC PROTECJ,37215," 4,022.00 "
HC REVASCULARIZATION ILIAC ARTERY ANGIOP 1ST VSL,37220," 13,443.00 "
HC REVSC OPN/PRQ ILIAC ART W/STNT PLMT & ANGIOPLSTY,37221," 17,813.00 "
HC REVASCULARIZATION ILIAC ART ANGIOP EA IPSI VSL,37222," 14,250.00 "
HC REVSC OPN/PRQ ILIAC ART W/STNT & ANGIOP IPSILATL,37223," 15,105.00 "
HC REVSC OPN/PRG FEM/POP W/ANGIOPLASTY UNI,37224," 14,250.00 "
HC REVSC OPN/PRQ FEM/POP W/ATHRC/ANGIOP SM VSL,37225," 15,132.00 "
HC REVSC OPN/PRQ FEM/POP W/STNT/ANGIOP SM VSL,37226," 22,353.00 "
HC REVSC OPN/PRQ FEM/POP W/STNT/ATHRC/ANGIOP SM VSL,37227," 23,613.00 "
HC REVSC OPN/PRQ TIB/PERO W/ANGIOPLASTY UNI,37228," 14,250.00 "
HC REVSC OPN/PRQ TIB/PERO W/ATHRC/ANGIOP SM VSL,37229," 30,255.00 "
HC REVSC OPN/PRQ TIB/PERO W/STNT/ANGIOP SM VSL,37230," 30,255.00 "
HC REVSC OPN/PRQ TIB/PERO W/STNT/ATHR/ANGIOP SM VSL,37231," 28,306.00 "
HC REVSC OPN/PRQ TIB/PERO W/ANGIOPLASTY UNI EA VSL,37232," 14,250.00 "
HC REVSC OPN/PRQ TIB/PERO W/ATHRC/ANGIOP UNI EA VSL,37233," 30,255.00 "
HC REVSC OPN/PRQ TIB/PERO W/STNT/ANGIOP UNI EA VSL,37234," 14,250.00 "
HC REVSC OPN/PRQ TIB/PERO W/STNT/ATHR/ANGIOP EA VSL,37235," 14,250.00 "
HC OPEN/PERQ PLACEMENT INTRAVASCULAR STENT INITIAL,37236," 23,240.00 "
HC OPEN/PERQ PLACEMENT INTRAVASCULAR STENT EA ADDL,37237," 11,239.00 "
HC OPEN/PERQ PLACEMENT INTRAVASCULAR STENT SAME 1ST,37238," 23,240.00 "
HC OPEN/PERQ PLACEMENT INTRAVASC STENT SAME EA ADDL,37239," 11,239.00 "
HC VASCULAR EMBOLIZATION OR OCCLUSION VENOUS RS&I,37241," 22,534.00 "
HC VASCULAR EMBOLIZATION OR OCCLUSION ARTERIAL RS&I,37242," 22,534.00 "
HC VASCULAR EMBOLIZE/OCCLUDE ORGAN TUMOR INFARCT,37243," 22,534.00 "
HC VASCULAR EMBOLIZATION OR OCCLUSION HEMORRHAGE,37244," 22,534.00 "
HC TRLML BALO ANGIOP OPEN/PERQ IMG S&I 1ST ART,37246," 18,545.00 "
HC TRLML BALO ANGIOP OPEN/PERQ IMG S&I EA ADDL ART,37247," 18,545.00 "
HC TRLML BALO ANGIOP OPEN/PERQ W/IMG S&I 1ST VEIN,37248," 10,736.00 "
HC TRLML BALO ANGIOP OPEN/PERQ W/IMG S&I ADDL VEIN,37249," 18,545.00 "
HC INTRAVASCULAR US NONCORONARY RS&I INTIAL VESSEL,37252," 6,755.00 "
HC INTRAVASCULAR US NONCORONARY RS&I ADDL VESSEL,37253," 6,476.00 "
HC LIG/BANDING ANGIOACCESS ARTERIOVENOUS FISTULA,37607," 4,929.00 "
HC BLD-DRV HEMATOP PROGEN CELL HRVG TRNSPLJ AUTOL,38206," 2,574.00 "
HC TRNSPL PREPJ HEMATOP PROGEN CELLS CRYOPRSRV STOR,38207, 831.00 
HC TRNSPL PREP HEMATOP PROGEN THAW PREV HRV PER DNR,38208, 831.00 
HC DIAGNOSTIC BONE MARROW ASPIRATIONS,38220," 1,348.00 "
HC DIAGNOSTIC BONE MARROW BIOPSIES,38221," 1,348.00 "
HC TRNSPLJ AUTOLOGOUS HEMATOPOIETIC CELLS PER DONOR,38241," 2,574.00 "
HC BX/EXC LYMPH NODE OPEN SUPERFICIAL,38500," 6,783.00 "
HC BX/EXC LYMPH NODE NEEDLE SUPERFICIAL,38505," 1,872.00 "
HC OPEN BIOPSY/EXCISION INGUINOFEMORAL NODES,38531," 7,040.00 "
HC INJ RADIOACTIVE TRACER FOR ID OF SENTINEL NODE,38792, 525.00 
HC BIOPSY OF LIP,40490, 496.00 
HC VERMILIONECTOMY LIP SHV W/MUCOSAL ADVMNT,40500," 2,391.00 "
HC EXC LIP V-EXC W/PRIM DIR LINR CLSR,40520," 2,391.00 "
HC RPR LIP FULL THICKNESS VERMILION ONLY,40650," 1,644.00 "
HC RPR LIP FULL THICKNESS VERMILION ONLY (PRO FEE),40650," 1,208.00 "
HC RPR LIP FULL THICKNESS HALF/< VERTICAL HEIGHT,40652," 1,037.00 "
HC RPR LIP FULL THICKNESS HALF/< VERTICAL HEIGHT (PRO FEE),40652," 1,037.00 "
HC RPR LIP FULL THKNS >ONE-HALF VERT HEIGHT/COMPLE,40654," 1,138.00 "
HC RPR LIP FULL THKNS >ONE-HALF VERT HEIGHT/COMPLE (PRO FEE),40654," 1,471.00 "
HC DRG ABSC CST HMTMA VESTIBULE MOUTH SMPL,40800, 573.00 
HC DRG ABSC CST HMTMA VESTIBULE MOUTH SMPL (PRO FEE),40800, 573.00 
HC DRG ABSC CST HMTMA VESTIBULE MOUTH COMP,40801," 1,644.00 "
HC RMVL EMBEDDED FB VESTIBULE MOUTH SMPL,40804, 743.00 
HC RMVL EMBEDDED FB VESTIBULE MOUTH SMPL (PRO FEE),40804, 743.00 
HC RMVL EMBEDDED FB VESTIBULE MOUTH COMP,40805," 1,037.00 "
HC RMVL EMBEDDED FB VESTIBULE MOUTH COMP (PRO FEE),40805," 1,037.00 "
HC BIOPSY VESTIBULE MOUTH,40808, 496.00 
HC DSTRJ LES/SCAR VESTIBULE MOUTH PHYSICAL METHS,40820," 2,391.00 "
HC CLOSURE LACERATION VESTIBULE MOUTH 2.5 CM/<,40830, 788.00 
HC CLOSURE LACERATION VESTIBULE MOUTH 2.5 CM/< (PRO FEE),40830, 675.00 
HC CLOSURE LACERATION VESTIBULE MOUTH > 2.5 CM/CPL,40831," 1,668.00 "
HC CLOSURE LACERATION VESTIBULE MOUTH > 2.5 CM/CPL (PRO FEE),40831, 974.00 
HC INTRAORAL I&D TONGUE/FLOOR LINGUAL,41000," 1,037.00 "
HC INTRAORAL I&D TONGUE/FLOOR LINGUAL (PRO FEE),41000," 1,037.00 "
HC INTRAORAL I&D TONGUE/FLOOR SUBLNGL SUPFC,41005, 415.00 
HC INTRAORAL I&D TONGUE/FLOOR SUBLNGL SUPFC (PRO FEE),41005, 415.00 
HC INTRAORAL I&D TONGUE/FLOOR SUBMENTAL SPACE,41007," 2,433.00 "
HC INTRAORAL I&D TONGUE/FLOOR SUBMENTAL SPACE (PRO FEE),41007," 2,433.00 "
HC INTRAORAL I&D TONGUE/FLOOR SUBMNDBLR SPACE,41008," 5,092.00 "
HC INTRAORAL I&D TONGUE/FLOOR SUBMNDBLR SPACE (PRO FEE),41008," 5,092.00 "
HC INTRAORAL I&D TONGUE/FLOOR MASTICATOR SPACE,41009," 1,037.00 "
HC INTRAORAL I&D TONGUE/FLOOR MASTICATOR SPACE (PRO FEE),41009," 1,037.00 "
HC XTRORAL I&D ABSC CST/HMTMA FLOOR MOUTH SUBMENT,41016," 5,608.00 "
HC BIOPSY TONGUE ANTERIOR TWO-THIRDS,41100," 1,083.00 "
HC EXCISION LINGUAL FRENUM,41115," 2,394.00 "
