Highland Hospital,,,,
Charge Description Master: June 2018,,,,
CDM Code,Description,Price,,
2033909,"SCREW VARIABLE ANGLE, 14MM", $198 ,,
2033910,"PUTTY ALPHAGRAFT DBM, 10CC"," $1,458 ",,
2033911,"SCREW, 4X16MM", $503 ,,
2033912,PLATE ANTERIOR 4 LEVEL," $3,715 ",,
2033913,"PLATE 1 LEVEL, 26MM"," $1,215 ",,
2033914,NEEDLE BONE BIOPSY, $213 ,,
2033915,NEEDLE JAM SHIDI, $323 ,,
2033916,"CAGE XD CATRIDGE, 25X9X8"," $8,724 ",,
2033917,"CAGE EXPANDABLE, 29MM"," $8,724 ",,
2033918,"CAGE EXPANDABLE, 25MM"," $8,724 ",,
2033920,"CAGE EXPANDABLE, 22MM"," $8,724 ",,
2033921,K-WIRE BLUNT NITINOL, $73 ,,
2033922,"IMPLANT CORDITIC ROI-C, 7MM"," $7,740 ",,
2033923,PLATE ANCHORING ROI-C," $5,565 ",,
2033924,PLATE MEDIUM LDR," $5,565 ",,
2033926,PLATE STARTER AWI SMALL, $973 ,,
2033927,"ROI-C CORDOTIC 6MM, 12X14MM"," $4,652 ",,
2033930,"PLATES ANCHORING, SMALL"," $1,903 ",,
2033931,DILATOR EXTRA LARGE, $925 ,,
2033932,KIT AVENUE DISPOSIBLE, $805 ,,
2033933,PIN VERTEBRAL BODY, $175 ,,
2033934,Screw Mini 2.0MM, $201 ,,
2033936,PLATE ANCHORING LARGE," $5,565 ",,
2033940,IMPLANT ROI-C," $4,652 ",,
2033941,"IMPLANT ROI-C, 6X12X14"," $2,786 ",,
2033942,Screw Mini Emer 2.3MM, $46 ,,
2033944,"ROI-C CORDOTIC, 5X14X15.5MM"," $4,652 ",,
2033945,"ROI-C, 12X14X7MM"," $4,652 ",,
2033946,"ROI-C, 12X14X5MM"," $4,652 ",,
2033947,"ROI-C LORDOTIC, 7X14X15MM"," $4,652 ",,
2033948,ROI-C ANCHORING PLATE," $4,652 ",,
2033949,"ROI-C, 6X14X17MM", $608 ,,
2033951,"ROI-C IMPLANT, 14X15.5X6MM"," $4,652 ",,
2033952,"CAGE, 7MM"," $4,652 ",,
2033953,"ROI-A ALIF CAGE, 12X27X36MM"," $9,559 ",,
2033954,PLATE MEDUIM ANCHORING," $1,880 ",,
2033955,"ROI-C IMPLANT, 6MM"," $4,652 ",,
2033956,"ROI-A ALIF CAGE 14o, 30X39X14MM"," $9,559 ",,
2033958,WIRE LEAD WITH CLIP, $925 ,,
2033959,"CAGE LATERAL L, 50X17X8MM"," $9,559 ",,
2033960,PLATE ANCHORING SMALL," $1,737 ",,
2033961,PLATE ANCHORING MEDIUM," $4,652 ",,
2033962,"TUBE REFACTOR, 16MM", $625 ,,
2033963,"ROI-C CAGE, 7X12X14MM"," $4,652 ",,
2033964,"SCREW PEDICLE, 6X55MM"," $1,460 ",,
2033965,"ROD L EASY SPINE, 80MM"," $2,000 ",,
2033966,"ROI-A MEDIAN, 10X27X36MM"," $4,652 ",,
2033967,BRAIN LAB RENTAL," $5,990 ",,
2033968,EMERGENCY RESPONSE DELIVERY, $373 ,,
2033969,TECHNICIAN FEE, $215 ,,
2033970,SPHERE REFLECTIVE TRACKING, $213 ,,
2033971,"FILLER BONE NANOSS BA, 2CC"," $5,513 ",,
2033972,FILLER BONE NANOSS 10CC," $5,040 ",,
2033973,"NANOSS BA, 1CC"," $1,850 ",,
2033974,ILLUMINATOR SURGICAL," $4,652 ",,
2033976,"SCREW, 8MM", $840 ,,
2033977,"FILLER BONE STRIPS, 8X50X25MM", $358 ,,
2033979,FILLER BONE 20CC STRIP," $3,120 ",,
2033980,FILLER BONE 5CC," $5,040 ",,
2033981,NANVOSS STRIP. 20CC, $398 ,,
2033982,SURGICAL ILLUMINATOR," $2,000 ",,
2033983,BONE FILLER NANOSS STRP 10CC," $5,513 ",,
2033984,"NANOSS BA, 2CC"," $5,338 ",,
2033985,"NANOSS LOADED, 10CC"," $8,181 ",,
2033986,CAP ADAPTER, $350 ,,
2033987,SYRINGE BONE GRAFT, $520 ,,
2033988,"NANOSS 3D STRIP, 10CC"," $1,538 ",,
2033989,DTRAX SPINAL SYSTEM," $3,000 ",,
2033990,CAGE CERVICAL PMT TITANIUM," $4,500 ",,
2033991,GRAFT DTRAX," $21,288 ",,
2033992,DTRAX CERVICAL SYSTEM," $3,000 ",,
2033993,DTRAX SPINAL SYSYSTEM KIT, $988 ,,
2033994,SCREW VBR SET SMALL, $198 ,,
2033995,CASSETTE HEAD," $2,385 ",,
2033997,OMNI VBR SCREW SET," $1,250 ",,
2033998,"CASSETTE HEAD, 19MM"," $2,385 ",,
2034000,"CAGE ENDCAP, 24MM"," $4,782 ",,
2034001,SCREW SET CORPECTOMY, $846 ,,
2034002,"VBR SMALL TITANIUM, 24X40MM"," $15,418 ",,
2034003,HEAD CASSETTE DISPOSABLE," $2,385 ",,
2034005,"VBR SMALL, 14MM"," $15,418 ",,
2034006,"OBELISC CENTER PIECE, 20MM"," $3,880 ",,
2034007,OBELISC END CAP 0o," $5,076 ",,
2034008,OBELISC END CAP 5o," $2,782 ",,
2034014,KIT OSTOMY P/O 2PC DR NBL 1 3/4, $38 ,,
2034031,Screw X-Drive Ht Emer 1.8MM, $301 ,,
2034034,"TENDRIL STS, LEAD A"," $1,125 ",,
2034035,A-LEAD," $1,500 ",,
2034044,GRAFT XENMATRIX," $1,413 ",,
2034045,"XENMATRIX, 20XX25CM"," $19,830 ",,
2034049,TIBIA TRAY 4," $10,373 ",,
2034050,FEMUR TC3 4, $358 ,,
2034051,CORAIL KA15," $11,316 ",,
2034052,PLATE END SUPERIOR," $10,106 ",,
2034054,PLATE END INFERIOR MED.," $10,106 ",,
2034059,ICD IMPLANT. DEFIBRILLATOR," $2,000 ",,
2034060,T2 DEVICE RECON," $14,362 ",,
2034064,Screw X-Drive Sd Ht 1.5MM, $316 ,,
2034065,"MATRIX TISSUE, 16X20CM"," $17,324 ",,
2034066,"MATRIX TISSUE, 16X25CM"," $16,406 ",,
2034082,FLEXIVA 200MICRON LASER FIBER," $1,175 ",,
2034159,"SCREW SELF TAP CORTICAL, 3.5X55MM", $69 ,,
2034160,"SCREW SELF TAP CORTICAL, 3.5X60MM", $69 ,,
2034161,"SCREW, 5X55MM", $503 ,,
2034162,"DRILL, 3.5MM", $459 ,,
2034163,PLATE VOLAR UNIVERSAL," $1,806 ",,
2034164,"DRILL AO, 2.3MM", $472 ,,
2034165,POST STRAIGHT, $625 ,,
2034166,"STRUT LONG, 177-277MM"," $3,650 ",,
2034167,COUPLING HINGE," $1,125 ",,
2034168,"WIRE BOLT, MEDIUM", $288 ,,
2034169,"WIRE BOLT, LONG", $288 ,,
2034170,NUT CONNECTING M8, $60 ,,
2034171,Screw Headless Comp 3.0Mx22 Cm," $1,694 ",,
2034172,PIN BOLT APEX, $600 ,,
2034173,"ROD THREADED, 6X60MM", $958 ,,
2034174,"ROD ADAPTER, 44MM", $428 ,,
2034175,"ROD ADAPTER, 88MM", $789 ,,
2034176,NUT CONNECTING M6, $60 ,,
2034177,"WASHER ROD, 7MM", $138 ,,
2034178,"RING FULL, 155MM", $216 ,,
2034179,"WIRE WITH OLIVE, 1.8MM", $300 ,,
2034180,"RING FOOT, 155MM"," $3,600 ",,
2034181,"ARCH FOOT, 155MM"," $4,000 ",,
2034182,"SHOE ROCKER, 140X155MM"," $2,730 ",,
2034183,"PIN APEX, 6X250MM", $366 ,,
2034184,"PIN APEX S/D HALF PIN 10 THR, 3X80MM", $297 ,,
2034185,"ROB COMPACT CARBON CONN, 5X300MM", $313 ,,
2034186,"DRILL GRAY PT, 3.2X200MM", $357 ,,
2034187,"NAIL TIBIA, 9X360MM"," $3,296 ",,
2034188,T2 STD. TIBIAL NAIL 9X390MM," $2,781 ",,
2034189,"NAIL TIBIA, 11X390MM"," $3,096 ",,
2034190,"NAIL TIBIA, 12X345MM"," $3,296 ",,
2034191,"NAIL SCN, 12X400MM"," $3,758 ",,
2034192,"NAIL TIBIA AR, 13X440MM"," $3,200 ",,
2034193,T2 LONG PROXIMAL HUMERAL NAIL RIGHT 240mm," $3,410 ",,
2034194,"T2 RECON NAIL, 9X420MM, RIGHT"," $3,835 ",,
2034195,NAIL RECON. 11X440MM," $3,835 ",,
2034196,NAIL RECON. 13X400MM," $4,270 ",,
2034197,"SCREW LOCKING, 5X45MM", $381 ,,
2034198,"SCREW LOCKING, 5X47.5MM", $373 ,,
2034199,"SCREW RECON LAG, 6.5X100MM", $213 ,,
2034200,"NAIL, 11X380MM"," $3,875 ",,
2034201,COUPLING ROD TO ROD," $1,448 ",,
2034202,"PIN CLAMP, 5 HOLE W 30O POSTS"," $1,681 ",,
2034203,POST ANGLED POST, $383 ,,
2034205,CARTRIDGE LENGTH MEASURING, $7 ,,
2034206,"PIN TRANSFIX, 5X300MM", $366 ,,
2034207,"ROD CARBON, 11x400MM", $925 ,,
2034208,CAPS END, $128 ,,
2034209,"PIN CLAMP, 10 HOLE"," $1,986 ",,
2034210,"POST ANGLED, 30o X 11MM", $265 ,,
2034211,"PIN APEX, 5MM", $349 ,,
2034212,ROD SEMI-CIRCULAR, $175 ,,
2034213,Cross Drive Screw ER/Drill - Any, $179 ,,
2034214,"DRILL, 4.5MM", $202 ,,
2034215,"PIN APEX, 5X180MM", $139 ,,
2034216,"ROD CARBON, 11X300MM", $808 ,,
2034217,"ROD CARBON, 11X450MM"," $2,268 ",,
2034218,"NAIL TIBIA, 10X330MM"," $2,561 ",,
2034219,"SCREW LOCKING, 5X55MM", $430 ,,
2034220,"SCREW LOCKING, 5X60MM", $430 ,,
2034221,"DRILL, 4.2X130MM DRILL", $395 ,,
2034222,"NAIL, 10X360"," $4,608 ",,
2034223,"K-WIRE, 3X285MM"," $1,439 ",,
2034224,"K-WIRE, 0.045X160MM", $54 ,,
2034225,"SCREW BONE, 2.7 X 18MM", $249 ,,
2034226,DRILL AO 2.0MM, $233 ,,
2034228,"SCREW LAG, 10.5X95MM"," $1,357 ",,
2034229,"SCREW LOCKING, 5X42.5MM", $430 ,,
2034230,"K-WIRE, 3.2X450MM", $277 ,,
2034231,"NAIL, 13X400MM"," $3,875 ",,
2034232,"SCREW LOCKING, 5X90MM", $505 ,,
2034233,"SCREW LOCKING, 5X57.5MM", $430 ,,
2034234,"SCREW LOCKING, 9X75MM", $430 ,,
2034235,"NAIL, 13X420MM"," $3,200 ",,
2034237,"SCREW LAG, 10.5X80MM"," $1,062 ",,
2034238,"SCREW LOCKING, 5X32.5MM", $505 ,,
2034239,"DRILL, 4.2 X 300MM", $395 ,,
2034240,NAIL TIBIA 9X34.5 MM," $2,782 ",,
2034242,"ROD CARBON, 11X350MM", $323 ,,
2034243,PLATE ANATOMICAL VOLAR PLATE STANDARD," $5,565 ",,
2034245,"SCREW LOCKING, 2.7X18MM", $310 ,,
2034246,"SCREW BONE, 2.7X16MM", $249 ,,
2034247,Mini Plate Micro Plate Any Size, $285 ,,
2034248,PLATE UNIVERSAL VOLAR," $2,034 ",,
2034249,"SCREW LOCKING, 2.7X14MM", $249 ,,
2034250,"SCREW LOCKING, 2.7X16MM", $310 ,,
2034252,K-WIRE OLIVE STOP, $70 ,,
2034253,SCREW COMPRESSION, $433 ,,
2034255,"SCREW LOCKING, 9X25MM", $381 ,,
2034258,"GUIDEWIRE, 3X800MM", $415 ,,
2034259,PLATE VOLAR," $2,034 ",,
2034260,"SCREW BONE, 2.3X16MM", $249 ,,
2034261,"SCREW BONE, 2.3X18MM", $191 ,,
2034262,Locking Cross Drive Screw - Any, $391 ,,
2034263,"SCREW LOCKING, 2.7X20MM", $310 ,,
2034264,"SCREW TIBIAL, 13X37.5MM", $503 ,,
2034265,"DRILL, 4.2X340MM", $401 ,,
2034266,"NAIL FEMUR, 11X400MM"," $3,307 ",,
2034267,"SCREW LOCKING, 5X52.5MM", $430 ,,
2034268,"NAIL FEMORAL, 11X280MM"," $3,012 ",,
2034269,"SCREW LOCKING, 5X70MM", $373 ,,
2034270,"NAIL RECON, 11X380X125"," $3,835 ",,
2034271,"SCREW LAG, 6.5X85MM", $519 ,,
2034272,"SCREW LAG, 6.5X95MM"," $2,128 ",,
2034274,ROD TO PIN INVERTED," $1,448 ",,
2034275,"PIN APEX, 4X120MM", $229 ,,
2034276,"ROD CARBON, 11X250MM", $789 ,,
2034277,"NAIL TIBIA, 11X345MM"," $2,781 ",,
2034279,"NAIL, 13360X125MM"," $3,200 ",,
2034280,"SCREW LAG, 10.5X90MM", $- ,,
2034281,"NAIL FEMORAL, 11X360MM"," $2,093 ",,
2034282,"NAIL R.5, 10X360MM"," $4,270 ",,
2034283,"NAIL TIBIA, 11X360MM"," $2,781 ",,
2034284,PLATE ANATOMICAL VOLAR," $2,064 ",,
2034285,"SCREW LOCKING, 5X80MM", $505 ,,
2034286,CAP END 10MM, $435 ,,
2034287,"NAIL TIBIA, 10X390MM"," $3,296 ",,
2034288,Drill Guide Long/Short Locking, $446 ,,
2034289,"SCREW LOCKING, 9X40MM", $381 ,,
2034290,"DRILL, 4.2X180MM", $418 ,,
2034291,"NAIL SUPRACONDYLAR, 11X340MM"," $3,185 ",,
2034292,"NAIL CONDYLE, 5X65MM"," $3,013 ",,
2034293,"SCREW NUT CONDYLE, 5MM"," $1,313 ",,
2034294,"DRILL, 5.0X340MM", $688 ,,
2034295,"K-WIRE, 1.8X310MM", $15 ,,
2034296,LP Plate L-T-X-Y-Z Shape Length, $478 ,,
2034297,K-WIRE, $73 ,,
2034298,DRILL 2.6MM, $265 ,,
2034299,DRILL 3.5MM, $250 ,,
2034300,SINK COUNTER, $284 ,,
2034301,ANCHORAGE FIXATION PIN, $285 ,,
2034303,"SCREW BONE, 2.7X12MM", $249 ,,
2034304,Twist Drill - Any Size, $381 ,,
2034305,PINS APEX 5MM, $349 ,,
2034306,PINS APEX 4MM, $348 ,,
2034307,RODS CARBON 11X500MM," $2,000 ",,
2034308,"PINS APEX, 5X200MM"," $1,358 ",,
2034309,"PLATE BOX LARGE, 2X2MM"," $1,067 ",,
2034310,"PLATE STRAIGHT, 16 HOLE", $401 ,,
2034311,PLATE 2 HOLE RIGID, $798 ,,
2034313,"NAIL FEMORAL, 11X380MM"," $3,013 ",,
2034314,"NAIL TIBIA, 9X330MM"," $2,781 ",,
2034315,"NAIL SUPRACONDYLAR, 11X380MM"," $3,758 ",,
2034317,PLATE PROXIMAL TIBIA," $2,758 ",,
2034318,"SCREW LOCKING, 4X70MM", $610 ,,
2034319,"SCREW LOCKING, 4X85MM", $332 ,,
2034320,Micro Plate - Any Shape/Size, $591 ,,
2034321,"SCREW LOCKING, 3.5X75MM", $370 ,,
2034322,"DRILL CALIBRATED, 3.1X285MM", $462 ,,
2034323,"DRILL TIP/K-WIRE, 2.0X285MM", $770 ,,
2034324,"SCREW BONE, 2.3X12MM", $191 ,,
2034325,"SCREW LOCKING, 2.7X22MM", $218 ,,
2034326,"NAIL TIBIA, 10X345MM"," $2,781 ",,
2034327,CAP END 8MM, $435 ,,
2034328,"SCREW, 5X50MM", $430 ,,
2034329,"NAIL TIBIA, 9X300MM"," $2,503 ",,
2034330,"NAIL TIBIA RLS, 10X320MM"," $2,503 ",,
2034331,"SCREW LAG, 10.5X75MM"," $1,357 ",,
2034332,"PLATE MINI CONDENSED HOLE, 5X2MM"," $2,594 ",,
2034333,"SCREW, 2.0X6MM", $150 ,,
2034334,"DRILL TWIST, 1.6X26MM", $298 ,,
2034335,"PIN, 5X150MM", $270 ,,
2034336,"NAIL HUMERAL, 7X240MM"," $4,206 ",,
2034337,"SCREW, 4X38MM", $503 ,,
2034338,Locking Plate - Any Hole Configure," $1,504 ",,
2034339,"SCREW, 4X26MM", $503 ,,
2034340,"SCREW, 4X34MM", $538 ,,
2034341,"DRILL, 3.5X230MM", $698 ,,
2034342,"GUIDEWIRE, 2.2X800MM", $266 ,,
2034343,"DRILL, 3.5X130MM", $472 ,,
2034344,WRAP NERVE COLLAGEN," $3,092 ",,
2034345,"NAIL TIBIA, 10X375MM"," $2,503 ",,
2034346,Titanium Screen Mesh Panel 85mm," $1,914 ",,
2034347,"NAIL, 10X440MM"," $3,875 ",,
2034348,"SCREW LOCKING, 2X6MM", $208 ,,
2034349,"SCREW LOCKING, 2X8MM", $352 ,,
2034350,"SCREW LOCKING,2.3X8MM", $557 ,,
2034351,PLATE FLOOR ORBITAL SMALL," $1,444 ",,
2034352,"NAIL GAMMA, 10X360MM"," $3,443 ",,
2034354,PLATE 8 HOLE FEMORAL DISTAL LATERAL," $2,013 ",,
2034355,"SCREW CORTICAL, 4.5X46MM", $43 ,,
2034356,"SCREW LOCKING, 5X47MM", $505 ,,
2034357,"SCREW LOCKING, 5X35MM", $381 ,,
2034359,"PEG, 2X16MM"," $1,875 ",,
2034360,"PIN APEX, 5X200MM", $283 ,,
2034361,DRILL 4MM, $253 ,,
2034362,"ROD, 11X200MM", $549 ,,
2034364,"SCREW BONE, 3.5X16MM", $188 ,,
2034365,"SCREW BONE, 3.5X18MM", $201 ,,
2034366,"SCREW BONE, 3.5X22MM", $201 ,,
2034367,"SCREW BONE, 3.5X24MM", $183 ,,
2034368,"DRILL AO, 2.6MM", $358 ,,
2034369,"SCREW LOCKING, 2.7X24MM", $387 ,,
2034370,"SCREW, 12X340MM", $195 ,,
2034371,"SCREW LOCKING, 5X95MM", $624 ,,
2034373,"NAIL RI 5, 10X320MM"," $4,270 ",,
2034374,"SCREW LAG, 10.5X85MM"," $1,357 ",,
2034375,"PEG LOCKING, 2X22MM", $191 ,,
2034376,"NAIL GAMMA, 11X360MM"," $4,608 ",,
2034377,"SCREW LAG, 10.5X100MM"," $1,062 ",,
2034378,FAN MEDPOR TITAN - MTE,   ,,
2034379,PLATE SUPERIOR LATERAL," $2,095 ",,
2034380,"SCREW BONE, 2.7X10MM", $249 ,,
2034382,"SCREW BONE, 2.7X14MM", $249 ,,
2034384,"SCREW BONE, 2.7X18MM", $376 ,,
2034385,"SCREW BONE, 2.7X22MM", $163 ,,
2034386,"SCREW LOCKING, 2.7X10MM", $347 ,,
2034387,Sigma Pli/Crvd Gvf Ins Any Sz," $6,937 ",,
2034388,DRILL AO 2.7MM, $365 ,,
2034390,"NAIL FEMORAL, 12X420MM"," $3,013 ",,
2034391,"SCREW LOCKING, 5X85MM", $430 ,,
2034392,"DRILL TWIST, 2X12MM", $344 ,,
2034393,"NAIL RECON,11X360MM"," $3,835 ",,
2034394,"KWIRE, 3.2x400MM", $288 ,,
2034395,Sigma Stab GVF Ins Any Size," $7,539 ",,
2034396,PLATE PROXIMAL LATERAL TIBIA," $2,758 ",,
2034397,"SCREW LOCKING, 4X90MM", $505 ,,
2034398,"NAIL GAMMA, 13X420MM"," $2,816 ",,
2034399,"SCREW LAG, 10.5X105MM"," $1,357 ",,
2034400,PLATE FRAGMENT SPECIFIC," $4,272 ",,
2034401,"SCREW BONE, 2.7X26MM", $191 ,,
2034402,"NAIL RI 5, 10X380X125MM"," $3,758 ",,
2034403,"NAIL TIBIA, 10X300MM"," $3,296 ",,
2034405,"NAIL PROXIMAL HUMERUS, 8X220MM"," $4,270 ",,
2034406,"SCREW LOCKING, 5X30MM", $505 ,,
2034407,"SCREW LOCKING, 4X24MM", $373 ,,
2034408,"SCREW LOCKING, 4X28MM", $610 ,,
2034409,"GUIDE WIRE-BALL TIP, 2.5X800MM", $145 ,,
2034410,"NAIL TIBIAL,10X315MM"," $2,782 ",,
2034411,"SCREW CORTICAL, 4.5X32MM", $43 ,,
2034412,"SCREW CANCELLOUS, 6.5X50MM", $86 ,,
2034413,"SCREW CANCELLOUS, 6.5X55MM", $96 ,,
2034414,"DRILL, 4.5X180MM", $245 ,,
2034415,"KWIRE, 2x150MM", $175 ,,
2034417,"NAIL RECON, 9X400MM", $519 ,,
2034418,"SCREW CORTICAL, 3.5X36MM", $69 ,,
2034419,"DRILL AO, 2.5X230MM", $358 ,,
2034420,"NAIL FEMORAL, 9X340MM"," $3,200 ",,
2034421,PLATE 8 HOLE OLECRANON, $745 ,,
2034422,"SCREW LOCKING, 3.5X18MM", $410 ,,
2034423,"SCREW BONE, 3.5X14MM", $184 ,,
2034424,"SCREW BONE, 3.5X20MM", $201 ,,
2034426,COUPLING PIN TO ROD, $817 ,,
2034427,CLAMP 4 PIN, $810 ,,
2034428,POST 30o, $148 ,,
2034429,"RODS, 5X250MM"," $9,559 ",,
2034430,"PIN, 3X60MM", $175 ,,
2034431,"PIN, 4X90MM", $349 ,,
2034433,HEAD REAMER 10MM," $5,872 ",,
2034434,"NAIL FEMORAL, 12X360MM"," $3,013 ",,
2034435,PLATE OLECRANON," $2,137 ",,
2034436,"SCREW LOCKING, 3.5X14MM", $353 ,,
2034437,"SCREW LOCKING, 3.5X16MM", $353 ,,
2034438,"SCREW LOCKING, 3.5X46MM", $352 ,,
2034439,"SCREW BONE, 3.5X26MM", $737 ,,
2034440,"K-WIRE, 1.25X150MM", $13 ,,
2034441,"K-WIRE, 1.6X150MM", $20 ,,
2034442,PLATE MINI 4 HOLE WITH BAR," $2,415 ",,
2034443,PLATE 4 HOLE, $175 ,,
2034444,"SCREW LOCKING, 3.5X20MM", $410 ,,
2034445,"SCREW LOCKING, 3.5X32MM", $352 ,,
2034446,"SCREW LOCKING, 3.5X36MM", $352 ,,
2034447,"NAIL FEMORAL, 11X340MM"," $3,200 ",,
2034448,"SCREW LOCKING, 5X75MM", $505 ,,
2034449,PLATE 6 HOLE SUPERIOR MIDSHIFT, $705 ,,
2034450,"PIN APEX, 3X120MM", $229 ,,
2034451,PLATE 14 HOLE, $165 ,,
2034452,"SCREW LOCKING, 4X48MM", $503 ,,
2034453,"DRILL, 3.5X180MM", $472 ,,
2034454,"NAIL SUPRACONDYLAR, 11X360MM"," $3,053 ",,
2034455,CAP END, $373 ,,
2034456,PLATE 6 HOLE FEMUR DISTAL LATERAL, $523 ,,
2034457,"DRILL, 4.3X315MM", $253 ,,
2034458,"K-WIRE, 2X315MM", $386 ,,
2034459,"DRILL, 3.2X315MM", $667 ,,
2034461,"NAIL GAMMA, 11X380MM"," $3,579 ",,
2034463,PIN CLAMP 5 HOLE 30o POST," $1,986 ",,
2034464,"SCREW LOCKING, 2.7X26MM", $218 ,,
2034465,PLATE HUMERUS PROXIMAL LAT," $2,272 ",,
2034466,"SCREW LOCKING, 4X42MM", $332 ,,
2034467,"SCREW LOCKING, 4X44MM", $332 ,,
2034468,"SCREW LOCKING, 4X46MM", $503 ,,
2034469,PIN STEINMAN 2.0MM, $448 ,,
2034470,"SCREW CANCELLOUS, 4X40MM", $52 ,,
2034471,"SCREW CANCELLOUS, 4X45MM", $215 ,,
2034472,"TROCAR, 6MM", $432 ,,
2034475,"NAIL R 1.5, 11X340MM"," $4,608 ",,
2034476,PLATE CLAVICLE," $3,000 ",,
2034477,NAIL FEMORAL," $3,013 ",,
2034478,Plate Locking Mandibular Angle," $3,621 ",,
2034479,"SCREW LAG, 6.5X90MM", $557 ,,
2034480,"DRILL CANNULATED, 6.5MM"," $1,989 ",,
2034481,"DRILL, 2.3MM"," $1,063 ",,
2034482,"PLATE 4 HOLE, 1.5MM"," $1,253 ",,
2034483,"REAMER SHAFT, 8X448MM", $698 ,,
2034484,"SCREW, 1.7X5MM", $121 ,,
2034485,"END CAP, 10MM", $596 ,,
2034486,"PIN, 6X180MM", $270 ,,
2034487,"ROD, 11X150MM", $549 ,,
2034488,"SCREW, 2X4MM", $213 ,,
2034489,"NAIL RECON, 13X420MM"," $3,185 ",,
2034490,"SCREW LOCKING, 5X37.5MM", $381 ,,
2034491,"SCREW LOCKING, 24X5MM", $300 ,,
2034492,"SCREW LOCKING, 28X5MM", $208 ,,
2034493,"SCREW LOCKING, 30X5MM", $305 ,,
2034494,"DRILL, 4.3X262MM", $534 ,,
2034495,"DRILL, 3.2X230MM", $516 ,,
2034496,"NAIL R1.5, 10X340MM"," $3,835 ",,
2034498,"PIN, 5X180MM", $270 ,,
2034499,"DRILL, 4.5X200MM", $432 ,,
2034500,"NAIL TROCH, 11X180MM"," $2,660 ",,
2034501,TIBIA PROXIMAL LAT.," $2,499 ",,
2034502,"SCREW CORTICAL, 3.5x38MM", $60 ,,
2034503,"NAIL TIBIAL, 12X330MM",   ,,
2034505,"SCREW, 3.5X50MM", $255 ,,
2034507,"SCREW CORTICAL, 4.5X36MM", $43 ,,
2034508,"SCREW CORTICAL, 4.5X85", $271 ,,
2034510,"GUIDEWIRE, 3X1000MM", $442 ,,
2034511,"SCREW LOCKING, 3.5X55MM", $431 ,,
2034513,"NAIL, 8X260MM"," $4,206 ",,
2034514,PLATE DORSAL WIDE, $310 ,,
2034515,"NAIL, 11X420MM"," $3,295 ",,
2034516,"NAIL TIBIA, 10X360MM"," $2,781 ",,
2034518,"NAIL, 9X340X125MM"," $3,200 ",,
2034519,"SCREW LOG, 6.5X75MM", $352 ,,
2034520,"SCREW LOG, 6.5X70MM", $557 ,,
2034522,"DRILL CROWN, 3MM"," $1,989 ",,
2034523,"DRILL CROWN, 4MM"," $2,006 ",,
2034524,"DRILL CROWN, 5MM"," $2,006 ",,
2034525,"DRILL CROWN, 6.5MM", $812 ,,
2034527,"NAIL, 9X380MM"," $5,513 ",,
2034528,"NAIL RECON, 11X380MM"," $3,835 ",,
2034529,"NAIL RECON, 11X420MM"," $3,835 ",,
2034530,"NAIL TIBIA, 9X270MM"," $2,781 ",,
2034533,"NAIL TIBIA, 11X330MM"," $3,296 ",,
2034538,"NAIL RECON, 9X360MM"," $3,185 ",,
2034539,"NAIL FEMORAL, 10X400MM"," $3,013 ",,
2034540,"NAIL SUPRACODYLAR, 10X380MM"," $3,758 ",,
2034541,"SCREW CORTICAL, 3.5X34MM", $43 ,,
2034543,PLATE TIBIAL PROXIMAL," $3,622 ",,
2034544,"SCREW LOCKING, 4X30MM", $332 ,,
2034545,"SCREW LOCKING, 4X75MM", $610 ,,
2034547,"SCREW CONICAL, 3.5X28MM", $98 ,,
2034548,"SCREW CONICAL, 3.5X30MM", $98 ,,
2034549,"SCREW CONICAL, 3.5X36MM", $98 ,,
2034550,"SCREW CONICAL, 3.5X65MM", $98 ,,
2034551,"SCREW CONICAL, 3.5X70MM", $98 ,,
2034552,"SCREW CONICAL, 3.5X75MM", $498 ,,
2034553,EPIDURAL ELECTRODE PROXIMAL," $1,903 ",,
2034554,EPIDURAL ELECTRODE DISTAL, $725 ,,
2034555,"NAIL RECON, 13X400MM"," $3,185 ",,
2034556,"SCREW LOCKING, 9X65MM", $430 ,,
2034559,"WASHER, 13MM", $80 ,,
2034561,"PLATE NARROW 8 HOLE, 4.5MM"," $1,118 ",,
2034562,PLATE ANGLED BLADE," $6,885 ",,
2034564,"PLATE 5 HOLE, 20MM"," $2,333 ",,
2034565,PLATE CALCANEAL RECON.," $1,960 ",,
2034568,"DRILL CANNULATED, 2.7MM", $788 ,,
2034569,"ROD, 150MM", $583 ,,
2034570,"ROD, 200MM", $742 ,,
2034571,"ROD, 250MM"," $1,010 ",,
2034574,"SCREW CORTEX, 2.3X20MM", $153 ,,
2034575,"SCREW CORTEX, 2.4X22MM", $136 ,,
2034576,"SCREW CORTEX, 2.4X26MM", $136 ,,
2034577,"SCREW CORTEX, 2.4X28MM", $103 ,,
2034578,"SCREW COAX, 2.4", $270 ,,
2034579,"SCREW, 2.4X32MM", $347 ,,
2034581,"SCREW CORTEX, 12X24MM", $100 ,,
2034582,"SCREW CORTEX, 2.4X13MM", $153 ,,
2034583,"SCREW CORTEX, 2.4X18MM", $136 ,,
2034584,"SCREW CORTEX, 2.4X24MM", $136 ,,
2034585,"SCREW, 2X6MM", $155 ,,
2034586,"SCREW, 2X8MM", $245 ,,
2034587,"SCREW, 2X12MM", $115 ,,
