MS_DRG,Description,Category,Median Price
457,Spinal fus exc cerv w spinal curv/malig/infec or ext fus w CC,NEUROSCIENCES,"$239,601 "
458,Spinal fus exc cerv w spinal curv/malig/infec or ext fus w/o CC/MCC,NEUROSCIENCES,"$168,296 "
459,Spinal fusion except cervical w MCC,NEUROSCIENCES,"$237,250 "
460,Spinal fusion except cervical w/o MCC,NEUROSCIENCES,"$138,770 "
462,Bilateral or multiple major joint procs of lower extremity w/o MCC,MUSCULOSKELETAL,"$92,926 "
463,"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w MCC",MUSCULOSKELETAL,"$185,332 "
464,"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w CC",MUSCULOSKELETAL,"$106,236 "
465,"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w/o CC/MCC",MUSCULOSKELETAL,"$83,640 "
466,Revision of hip or knee replacement w MCC,MUSCULOSKELETAL,"$178,420 "
467,Revision of hip or knee replacement w CC,MUSCULOSKELETAL,"$97,374 "
468,Revision of hip or knee replacement w/o CC/MCC,MUSCULOSKELETAL,"$84,487 "
469,Major hip and knee joint replacement or reattachment of lower extremity w MCC or total ankle replacement,MUSCULOSKELETAL,"$113,975 "
470,Major hip and knee joint replacement or reattachment of lower extremity w/o MCC,MUSCULOSKELETAL,"$51,782 "
471,Cervical spinal fusion w MCC,NEUROSCIENCES,"$150,299 "
472,Cervical spinal fusion w CC,NEUROSCIENCES,"$101,667 "
473,Cervical spinal fusion w/o CC/MCC,NEUROSCIENCES,"$83,313 "
474,Amputation for musculoskeletal sys & conn tissue dis w MCC,MUSCULOSKELETAL,"$121,986 "
475,Amputation for musculoskeletal sys & conn tissue dis w CC,MUSCULOSKELETAL,"$73,367 "
476,Amputation for musculoskeletal sys & conn tissue dis w/o CC/MCC,MUSCULOSKELETAL,"$67,046 "
477,Biopsies of musculoskeletal system & connective tissue w MCC,MUSCULOSKELETAL,"$122,812 "
478,Biopsies of musculoskeletal system & connective tissue w CC,MUSCULOSKELETAL,"$101,474 "
479,Biopsies of musculoskeletal system & connective tissue w/o CC/MCC,MUSCULOSKELETAL,"$39,780 "
480,Hip & femur procedures except major joint w MCC,MUSCULOSKELETAL,"$139,182 "
481,Hip & femur procedures except major joint w CC,MUSCULOSKELETAL,"$84,192 "
482,Hip & femur procedures except major joint w/o CC/MCC,MUSCULOSKELETAL,"$59,925 "
483,Major joint/limb reattachment procedure of upper extremities,MUSCULOSKELETAL,"$66,901 "
486,Knee procedures w pdx of infection w CC,MUSCULOSKELETAL,"$107,169 "
487,Knee procedures w pdx of infection w/o CC/MCC,MUSCULOSKELETAL,"$57,860 "
488,Knee procedures w/o pdx of infection w CC/MCC,MUSCULOSKELETAL,"$110,296 "
489,Knee procedures w/o pdx of infection w/o CC/MCC,MUSCULOSKELETAL,"$63,207 "
492,"Lower extrem & humer proc except hip,foot,femur w MCC",MUSCULOSKELETAL,"$108,434 "
493,"Lower extrem & humer proc except hip,foot,femur w CC",MUSCULOSKELETAL,"$91,943 "
494,"Lower extrem & humer proc except hip,foot,femur w/o CC/MCC",MUSCULOSKELETAL,"$61,210 "
495,Local excision & removal int fix devices exc hip & femur w MCC,MUSCULOSKELETAL,"$87,061 "
496,Local excision & removal int fix devices exc hip & femur w CC,MUSCULOSKELETAL,"$78,299 "
497,Local excision & removal int fix devices exc hip & femur w/o CC/MCC,MUSCULOSKELETAL,"$51,744 "
498,Local excision & removal int fix devices of hip & femur w CC/MCC,MUSCULOSKELETAL,"$79,105 "
499,Local excision & removal int fix devices of hip & femur w/o CC/MCC,MUSCULOSKELETAL,"$55,698 "
500,Soft tissue procedures w MCC,MUSCULOSKELETAL,"$132,270 "
501,Soft tissue procedures w CC,MUSCULOSKELETAL,"$67,778 "
502,Soft tissue procedures w/o CC/MCC,MUSCULOSKELETAL,"$43,896 "
503,Foot procedures w MCC,MUSCULOSKELETAL,"$85,020 "
504,Foot procedures w CC,MUSCULOSKELETAL,"$59,584 "
505,Foot procedures w/o CC/MCC,MUSCULOSKELETAL,"$47,297 "
510,"Shoulder,elbow or forearm proc,exc major joint proc w MCC",MUSCULOSKELETAL,"$115,398 "
511,"Shoulder,elbow or forearm proc,exc major joint proc w CC",MUSCULOSKELETAL,"$55,865 "
512,"Shoulder,elbow or forearm proc,exc major joint proc w/o CC/MCC",MUSCULOSKELETAL,"$52,982 "
513,"Hand or wrist proc, except major thumb or joint proc w CC/MCC",MUSCULOSKELETAL,"$79,727 "
514,"Hand or wrist proc, except major thumb or joint proc w/o CC/MCC",MUSCULOSKELETAL,"$33,372 "
515,Other musculoskelet sys & conn tiss O.R. proc w MCC,MUSCULOSKELETAL,"$119,930 "
516,Other musculoskelet sys & conn tiss O.R. proc w CC,MUSCULOSKELETAL,"$98,281 "
517,Other musculoskelet sys & conn tiss O.R. proc w/o CC/MCC,MUSCULOSKELETAL,"$58,789 "
518,Back & neck proc exc spinal fusion w MCC or disc device/neurostim,NEUROSCIENCES,"$115,917 "
519,Back & neck proc exc spinal fusion w CC,NEUROSCIENCES,"$72,143 "
520,Back & neck proc exc spinal fusion w/o CC/MCC,NEUROSCIENCES,"$63,522 "
533,Fractures of femur w MCC,MUSCULOSKELETAL,"$65,984 "
534,Fractures of femur w/o MCC,MUSCULOSKELETAL,"$33,442 "
535,Fractures of hip & pelvis w MCC,MUSCULOSKELETAL,"$40,023 "
536,Fractures of hip & pelvis w/o MCC,MUSCULOSKELETAL,"$26,820 "
539,Osteomyelitis w MCC,MUSCULOSKELETAL,"$144,866 "
540,Osteomyelitis w CC,MUSCULOSKELETAL,"$97,957 "
541,Osteomyelitis w/o CC/MCC,MUSCULOSKELETAL,"$99,115 "
542,Pathological fractures & musculoskelet & conn tiss malig w MCC,ONCOLOGY,"$34,299 "
543,Pathological fractures & musculoskelet & conn tiss malig w CC,ONCOLOGY,"$51,467 "
544,Pathological fractures & musculoskelet & conn tiss malig w/o CC/MCC,ONCOLOGY,"$27,434 "
545,Connective tissue disorders w MCC,MEDICAL SUBSPECIALTIES,"$124,136 "
546,Connective tissue disorders w CC,MEDICAL SUBSPECIALTIES,"$36,241 "
547,Connective tissue disorders w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$53,495 "
548,Septic arthritis w MCC,MEDICAL SUBSPECIALTIES,"$99,322 "
551,Medical back problems w MCC,NEUROSCIENCES,"$70,689 "
552,Medical back problems w/o MCC,NEUROSCIENCES,"$42,155 "
553,Bone diseases & arthropathies w MCC,MEDICAL SUBSPECIALTIES,"$79,944 "
554,Bone diseases & arthropathies w/o MCC,MEDICAL SUBSPECIALTIES,"$36,743 "
555,Signs & symptoms of musculoskeletal system & conn tissue w MCC,MEDICAL SUBSPECIALTIES,"$39,085 "
556,Signs & symptoms of musculoskeletal system & conn tissue w/o MCC,MEDICAL SUBSPECIALTIES,"$81,943 "
557,"Tendonitis, myositis & bursitis w MCC",MUSCULOSKELETAL,"$25,914 "
558,"Tendonitis, myositis & bursitis w/o MCC",MUSCULOSKELETAL,"$68,697 "
560,"Aftercare, musculoskeletal system & connective tissue w CC",MUSCULOSKELETAL,"$92,660 "
561,"Aftercare, musculoskeletal system & connective tissue w/o CC/MCC",MUSCULOSKELETAL,"$45,545 "
562,"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w MCC",MUSCULOSKELETAL,"$62,330 "
563,"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w/o MCC",MUSCULOSKELETAL,"$42,055 "
564,Other musculoskeletal sys & connective tissue diagnoses w MCC,MUSCULOSKELETAL,"$126,619 "
565,Other musculoskeletal sys & connective tissue diagnoses w CC,MUSCULOSKELETAL,"$81,502 "
566,Other musculoskeletal sys & connective tissue diagnoses w/o CC/MCC,MUSCULOSKELETAL,"$31,477 "
570,Skin debridement w MCC,SURGICAL SUBSPECIALTIES,"$155,343 "
571,Skin debridement w CC,SURGICAL SUBSPECIALTIES,"$125,742 "
572,Skin debridement w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$38,384 "
573,Skin graft for skin ulcer or cellulitis w MCC,SURGICAL SUBSPECIALTIES,"$87,259 "
575,Skin graft for skin ulcer or cellulitis w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$48,428 "
576,Skin graft exc for skin ulcer or cellulitis w MCC,SURGICAL SUBSPECIALTIES,"$51,836 "
577,Skin graft exc for skin ulcer or cellulitis w CC,SURGICAL SUBSPECIALTIES,"$102,553 "
578,Skin graft exc for skin ulcer or cellulitis w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$67,685 "
579,"Other skin, subcut tiss & breast proc w MCC",SURGICAL SUBSPECIALTIES,"$154,631 "
580,"Other skin, subcut tiss & breast proc w CC",SURGICAL SUBSPECIALTIES,"$62,710 "
581,"Other skin, subcut tiss & breast proc w/o CC/MCC",SURGICAL SUBSPECIALTIES,"$62,843 "
582,Mastectomy for malignancy w CC/MCC,ONCOLOGY,"$59,770 "
583,Mastectomy for malignancy w/o CC/MCC,ONCOLOGY,"$99,601 "
584,"Breast biopsy, local excision & other breast procedures w CC/MCC",SURGICAL SUBSPECIALTIES,"$159,830 "
585,"Breast biopsy, local excision & other breast procedures w/o CC/MCC",SURGICAL SUBSPECIALTIES,"$123,328 "
592,Skin ulcers w MCC,MEDICAL SUBSPECIALTIES,"$118,762 "
593,Skin ulcers w CC,MEDICAL SUBSPECIALTIES,"$131,783 "
595,Major skin disorders w MCC,MEDICAL SUBSPECIALTIES,"$62,382 "
596,Major skin disorders w/o MCC,MEDICAL SUBSPECIALTIES,"$42,227 "
597,Malignant breast disorders w MCC,ONCOLOGY,"$238,560 "
598,Malignant breast disorders w CC,ONCOLOGY,"$60,175 "
600,Non-malignant breast disorders w CC/MCC,SURGICAL SUBSPECIALTIES,"$17,637 "
601,Non-malignant breast disorders w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$13,491 "
602,Cellulitis w MCC,MEDICAL SUBSPECIALTIES,"$80,353 "
603,Cellulitis w/o MCC,MEDICAL SUBSPECIALTIES,"$28,770 "
605,"Trauma to the skin, subcut tiss & breast w/o MCC",SURGICAL SUBSPECIALTIES,"$53,358 "
607,Minor skin disorders w/o MCC,MEDICAL SUBSPECIALTIES,"$36,607 "
614,Adrenal & pituitary procedures w CC/MCC,NEUROSCIENCES,"$80,281 "
615,Adrenal & pituitary procedures w/o CC/MCC,NEUROSCIENCES,"$61,970 "
616,"Amputat of lower limb for endocrine,nutrit,& metabol dis w MCC",MEDICAL SUBSPECIALTIES,"$171,997 "
617,"Amputat of lower limb for endocrine,nutrit,& metabol dis w CC",MEDICAL SUBSPECIALTIES,"$95,194 "
619,O.R. procedures for obesity w MCC,DIGESTIVE HEALTH,"$249,880 "
620,O.R. procedures for obesity w CC,DIGESTIVE HEALTH,"$54,173 "
621,O.R. procedures for obesity w/o CC/MCC,DIGESTIVE HEALTH,"$39,358 "
622,"Skin grafts & wound debrid for endoc, nutrit & metab dis w MCC",MEDICAL SUBSPECIALTIES,"$131,692 "
623,"Skin grafts & wound debrid for endoc, nutrit & metab dis w CC",MEDICAL SUBSPECIALTIES,"$130,434 "
625,"Thyroid, parathyroid & thyroglossal procedures w MCC",SURGICAL SUBSPECIALTIES,"$234,824 "
626,"Thyroid, parathyroid & thyroglossal procedures w CC",SURGICAL SUBSPECIALTIES,"$71,595 "
627,"Thyroid, parathyroid & thyroglossal procedures w/o CC/MCC",SURGICAL SUBSPECIALTIES,"$62,818 "
628,"Other endocrine, nutrit & metab O.R. proc w MCC",MEDICAL SUBSPECIALTIES,"$159,357 "
629,"Other endocrine, nutrit & metab O.R. proc w CC",MEDICAL SUBSPECIALTIES,"$76,336 "
630,"Other endocrine, nutrit & metab O.R. proc w/o CC/MCC",MEDICAL SUBSPECIALTIES,"$52,586 "
637,Diabetes w MCC,MEDICAL SUBSPECIALTIES,"$73,891 "
638,Diabetes w CC,MEDICAL SUBSPECIALTIES,"$40,176 "
639,Diabetes w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$23,031 "
640,"Misc disorders of nutrition,metabolism,fluids/electrolytes w MCC",MEDICAL SUBSPECIALTIES,"$55,085 "
641,"Misc disorders of nutrition,metabolism,fluids/electrolytes w/o MCC",MEDICAL SUBSPECIALTIES,"$31,481 "
642,Inborn and other disorders of metabolism,MEDICAL SUBSPECIALTIES,"$47,658 "
643,Endocrine disorders w MCC,MEDICAL SUBSPECIALTIES,"$59,437 "
644,Endocrine disorders w CC,MEDICAL SUBSPECIALTIES,"$32,871 "
645,Endocrine disorders w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$18,821 "
652,Kidney transplant,TRANSPLANT,"$240,442 "
653,Major bladder procedures w MCC,SURGICAL SUBSPECIALTIES,"$168,139 "
654,Major bladder procedures w CC,SURGICAL SUBSPECIALTIES,"$153,266 "
655,Major bladder procedures w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$89,328 "
656,Kidney & ureter procedures for neoplasm w MCC,ONCOLOGY,"$188,096 "
657,Kidney & ureter procedures for neoplasm w CC,ONCOLOGY,"$95,539 "
658,Kidney & ureter procedures for neoplasm w/o CC/MCC,ONCOLOGY,"$65,704 "
659,Kidney & ureter procedures for non-neoplasm w MCC,SURGICAL SUBSPECIALTIES,"$99,099 "
660,Kidney & ureter procedures for non-neoplasm w CC,SURGICAL SUBSPECIALTIES,"$74,540 "
661,Kidney & ureter procedures for non-neoplasm w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$53,614 "
663,Minor bladder procedures w CC,SURGICAL SUBSPECIALTIES,"$89,655 "
664,Minor bladder procedures w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$54,398 "
668,Transurethral procedures w MCC,SURGICAL SUBSPECIALTIES,"$71,268 "
669,Transurethral procedures w CC,SURGICAL SUBSPECIALTIES,"$59,210 "
670,Transurethral procedures w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$30,453 "
672,Urethral procedures w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$41,771 "
673,Other kidney & urinary tract procedures w MCC,SURGICAL SUBSPECIALTIES,"$133,606 "
674,Other kidney & urinary tract procedures w CC,SURGICAL SUBSPECIALTIES,"$111,044 "
675,Other kidney & urinary tract procedures w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$34,436 "
682,Renal failure w MCC,MEDICAL SUBSPECIALTIES,"$82,616 "
683,Renal failure w CC,MEDICAL SUBSPECIALTIES,"$36,529 "
684,Renal failure w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$21,892 "
686,Kidney & urinary tract neoplasms w MCC,ONCOLOGY,"$39,867 "
687,Kidney & urinary tract neoplasms w CC,ONCOLOGY,"$66,383 "
688,Kidney & urinary tract neoplasms w/o CC/MCC,ONCOLOGY,"$17,184 "
689,Kidney & urinary tract infections w MCC,MEDICAL SUBSPECIALTIES,"$49,021 "
690,Kidney & urinary tract infections w/o MCC,MEDICAL SUBSPECIALTIES,"$29,852 "
693,Urinary stones w/o esw lithotripsy w MCC,SURGICAL SUBSPECIALTIES,"$43,213 "
694,Urinary stones w/o esw lithotripsy w/o MCC,SURGICAL SUBSPECIALTIES,"$27,655 "
695,Kidney & urinary tract signs & symptoms w MCC,SURGICAL SUBSPECIALTIES,"$136,801 "
696,Kidney & urinary tract signs & symptoms w/o MCC,SURGICAL SUBSPECIALTIES,"$23,940 "
698,Other kidney & urinary tract diagnoses w MCC,SURGICAL SUBSPECIALTIES,"$118,903 "
699,Other kidney & urinary tract diagnoses w CC,SURGICAL SUBSPECIALTIES,"$54,589 "
700,Other kidney & urinary tract diagnoses w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$27,627 "
707,Major male pelvic procedures w CC/MCC,ONCOLOGY,"$86,303 "
708,Major male pelvic procedures w/o CC/MCC,ONCOLOGY,"$74,064 "
713,Transurethral prostatectomy w CC/MCC,SURGICAL SUBSPECIALTIES,"$57,223 "
714,Transurethral prostatectomy w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$21,016 "
717,Other male reproductive system O.R. proc exc malignancy w CC/MCC,SURGICAL SUBSPECIALTIES,"$93,717 "
723,"Malignancy, male reproductive system w CC",ONCOLOGY,"$41,396 "
726,Benign prostatic hypertrophy w/o MCC,SURGICAL SUBSPECIALTIES,"$31,869 "
728,Inflammation of the male reproductive system w/o MCC,SURGICAL SUBSPECIALTIES,"$34,309 "
729,Other male reproductive system diagnoses w CC/MCC,SURGICAL SUBSPECIALTIES,"$19,649 "
730,Other male reproductive system diagnoses w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$16,034 "
734,"Pelvic evisceration, rad hysterectomy & rad vulvectomy w CC/MCC",ONCOLOGY,"$57,840 "
735,"Pelvic evisceration, rad hysterectomy & rad vulvectomy w/o CC/MCC",ONCOLOGY,"$52,825 "
736,Uterine & adnexa proc for ovarian or adnexal malignancy w MCC,ONCOLOGY,"$135,012 "
737,Uterine & adnexa proc for ovarian or adnexal malignancy w CC,ONCOLOGY,"$57,108 "
738,Uterine & adnexa proc for ovarian or adnexal malignancy w/o CC/MCC,ONCOLOGY,"$55,191 "
740,"Uterine,adnexa proc for non-ovarian/adnexal malig w CC",ONCOLOGY,"$82,686 "
741,"Uterine,adnexa proc for non-ovarian/adnexal malig w/o CC/MCC",ONCOLOGY,"$47,847 "
742,Uterine & adnexa proc for non-malignancy w CC/MCC,WOMEN'S,"$64,810 "
743,Uterine & adnexa proc for non-malignancy w/o CC/MCC,WOMEN'S,"$45,057 "
745,"D&C, conization, laparoscopy & tubal interruption w/o CC/MCC",WOMEN'S,"$41,252 "
746,"Vagina, cervix & vulva procedures w CC/MCC",WOMEN'S,"$61,147 "
747,"Vagina, cervix & vulva procedures w/o CC/MCC",WOMEN'S,"$30,800 "
748,Female reproductive system reconstructive procedures,WOMEN'S,"$45,304 "
749,Other female reproductive system O.R. procedures w CC/MCC,WOMEN'S,"$167,896 "
750,Other female reproductive system O.R. procedures w/o CC/MCC,WOMEN'S,"$44,501 "
754,"Malignancy, female reproductive system w MCC",ONCOLOGY,"$32,301 "
755,"Malignancy, female reproductive system w CC",ONCOLOGY,"$39,357 "
756,"Malignancy, female reproductive system w/o CC/MCC",ONCOLOGY,"$25,345 "
759,"Infections, female reproductive system w/o CC/MCC",WOMEN'S,"$26,165 "
760,Menstrual & other female reproductive system disorders w CC/MCC,WOMEN'S,"$107,130 "
761,Menstrual & other female reproductive system disorders w/o CC/MCC,WOMEN'S,"$17,786 "
765,Cesarean section w CC/MCC,WOMEN'S,"$34,768 "
766,Cesarean section w/o CC/MCC,WOMEN'S,"$23,720 "
767,Vaginal delivery w sterilization &/or D&C,WOMEN'S,"$29,160 "
768,Vaginal delivery w O.R. proc except steril &/or D&C,WOMEN'S,"$26,801 "
769,Postpartum & post abortion diagnoses w O.R. procedure,WOMEN'S,"$49,415 "
770,"Abortion w D&C, aspiration curettage or hysterotomy",WOMEN'S,"$19,997 "
774,Vaginal delivery w complicating diagnoses,WOMEN'S,"$25,648 "
775,Vaginal delivery w/o complicating diagnoses,WOMEN'S,"$16,722 "
776,Postpartum & post abortion diagnoses w/o O.R. procedure,WOMEN'S,"$35,285 "
778,Threatened abortion,WOMEN'S,"$13,186 "
780,False labor,WOMEN'S,"$10,206 "
781,Other antepartum diagnoses w medical complications,WOMEN'S,"$22,058 "
782,Other antepartum diagnoses w/o medical complications,WOMEN'S,"$9,241 "
783,Cesarean section w sterilization w MCC,NA,"$41,916 "
784,Cesarean section w sterilization w CC,NA,"$30,989 "
785,Cesarean section w sterilization w/o CC/MCC,NA,"$21,462 "
786,Cesarean section w/o sterilization w MCC,NA,"$33,153 "
787,Cesarean section w/o sterilization w CC,NA,"$34,486 "
788,Cesarean section w/o sterilization w/o CC/MCC,NA,"$23,821 "
789,"Neonates, died or transferred to another acute care facility",NEWBORNS,"$67,239 "
790,"Extreme immaturity or respiratory distress syndrome, neonate",NEWBORNS,"$414,625 "
791,Prematurity w major problems,NEWBORNS,"$110,126 "
792,Prematurity w/o major problems,NEWBORNS,"$55,948 "
793,Full term neonate w major problems,NEWBORNS,"$134,018 "
794,Neonate w other significant problems,NEWBORNS,"$8,995 "
795,Normal newborn,NEWBORNS,"$4,792 "
797,Vaginal delivery w sterilization/D&C w CC,NA,"$18,559 "
798,Vaginal delivery w sterilization/D&C wo CC/MCC,NA,"$20,544 "
801,Splenectomy w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$46,326 "
803,Other O.R. proc of the blood & blood forming organs w CC,SURGICAL SUBSPECIALTIES,"$144,387 "
804,Other O.R. proc of the blood & blood forming organs w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$44,996 "
805,Vaginal delivery w/o sterilization/D&C w MCC,NA,"$23,660 "
806,Vaginal delivery w/o sterilization/D&C w CC,NA,"$18,791 "
807,Vaginal delivery w/o sterilization/D&C w/o CC/MCC,NA,"$14,594 "
808,Major hematol/immun diag exc sickle cell crisis & coagul w MCC,ONCOLOGY,"$133,927 "
809,Major hematol/immun diag exc sickle cell crisis & coagul w CC,ONCOLOGY,"$63,600 "
810,Major hematol/immun diag exc sickle cell crisis & coagul w/o CC/MCC,ONCOLOGY,"$82,347 "
811,Red blood cell disorders w MCC,ONCOLOGY,"$75,297 "
812,Red blood cell disorders w/o MCC,ONCOLOGY,"$38,641 "
813,Coagulation disorders,ONCOLOGY,"$75,169 "
814,Reticuloendothelial & immunity disorders w MCC,ONCOLOGY,"$148,451 "
815,Reticuloendothelial & immunity disorders w CC,ONCOLOGY,"$45,412 "
816,Reticuloendothelial & immunity disorders w/o CC/MCC,ONCOLOGY,"$22,492 "
817,Other antepartum diagnoses w O.R. procedure w MCC,NA,"$143,064 "
818,Other antepartum diagnoses w O.R. procedure w CC,NA,"$58,996 "
820,Lymphoma & leukemia w major O.R. procedure w MCC,ONCOLOGY,"$493,298 "
821,Lymphoma & leukemia w major O.R. procedure w CC,ONCOLOGY,"$125,833 "
822,Lymphoma & leukemia w major O.R. procedure w/o CC/MCC,ONCOLOGY,"$52,077 "
823,Lymphoma & non-acute leukemia w other proc w MCC,ONCOLOGY,"$266,093 "
824,Lymphoma & non-acute leukemia w other proc w CC,ONCOLOGY,"$131,373 "
825,Lymphoma & non-acute leukemia w other proc w/o CC/MCC,ONCOLOGY,"$68,735 "
826,Myeloprolif disord or poorly diff neopl w maj O.R. proc w MCC,ONCOLOGY,"$385,442 "
827,Myeloprolif disord or poorly diff neopl w maj O.R. proc w CC,ONCOLOGY,"$91,690 "
828,Myeloprolif disord or poorly diff neopl w maj O.R. proc w/o CC/MCC,ONCOLOGY,"$83,494 "
829,Myeloproliferative disorders or poorly differentiated neoplasms w other procedure w CC/MCC,ONCOLOGY,"$149,288 "
830,Myeloproliferative disorders or poorly differentiated neoplasms w other  procedure w/o CC/MCC,ONCOLOGY,"$70,267 "
831,Other antepartum diagnoses w/o O.R. procedure w MCC,NA,"$32,821 "
832,Other antepartum diagnoses w/o O.R. Procedure w CC,NA,"$22,333 "
833,Other antepartum diagnoses w/o O.R. procedure w/o CC/MCC,NA,"$14,063 "
834,Acute leukemia w/o major O.R. procedure w MCC,ONCOLOGY,"$364,490 "
835,Acute leukemia w/o major O.R. procedure w CC,ONCOLOGY,"$210,687 "
836,Acute leukemia w/o major O.R. procedure w/o CC/MCC,ONCOLOGY,"$166,134 "
837,Chemo w acute leukemia as sdx or w high dose chemo agent w MCC,ONCOLOGY,"$209,447 "
838,Chemo w acute leukemia as sdx w CC or high dose chemo agent,ONCOLOGY,"$72,157 "
839,Chemo w acute leukemia as sdx w/o CC/MCC,ONCOLOGY,"$22,415 "
840,Lymphoma & non-acute leukemia w MCC,ONCOLOGY,"$241,246 "
841,Lymphoma & non-acute leukemia w CC,ONCOLOGY,"$92,215 "
842,Lymphoma & non-acute leukemia w/o CC/MCC,ONCOLOGY,"$76,472 "
843,Other myeloprolif dis or poorly diff neopl diag w MCC,ONCOLOGY,"$47,149 "
844,Other myeloprolif dis or poorly diff neopl diag w CC,ONCOLOGY,"$44,535 "
846,Chemotherapy w/o acute leukemia as secondary diagnosis w MCC,ONCOLOGY,"$141,940 "
847,Chemotherapy w/o acute leukemia as secondary diagnosis w CC,ONCOLOGY,"$44,132 "
848,Chemotherapy w/o acute leukemia as secondary diagnosis w/o CC/MCC,ONCOLOGY,"$22,128 "
849,Radiotherapy,ONCOLOGY,"$55,345 "
853,Infectious & parasitic diseases w O.R. procedure w MCC,MEDICAL SUBSPECIALTIES,"$232,321 "
854,Infectious & parasitic diseases w O.R. procedure w CC,MEDICAL SUBSPECIALTIES,"$128,252 "
855,Infectious & parasitic diseases w O.R. procedure w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$33,026 "
856,Postoperative or post-traumatic infections w O.R. proc w MCC,SURGICAL SUBSPECIALTIES,"$175,129 "
857,Postoperative or post-traumatic infections w O.R. proc w CC,SURGICAL SUBSPECIALTIES,"$99,693 "
858,Postoperative or post-traumatic infections w O.R. proc w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$66,918 "
862,Postoperative & post-traumatic infections w MCC,SURGICAL SUBSPECIALTIES,"$80,963 "
863,Postoperative & post-traumatic infections w/o MCC,SURGICAL SUBSPECIALTIES,"$53,436 "
864,Fever and inflammatory conditions,MEDICAL SUBSPECIALTIES,"$33,310 "
865,Viral illness w MCC,MEDICAL SUBSPECIALTIES,"$96,197 "
866,Viral illness w/o MCC,MEDICAL SUBSPECIALTIES,"$36,947 "
867,Other infectious & parasitic diseases diagnoses w MCC,MEDICAL SUBSPECIALTIES,"$89,635 "
868,Other infectious & parasitic diseases diagnoses w CC,MEDICAL SUBSPECIALTIES,"$67,442 "
869,Other infectious & parasitic diseases diagnoses w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$38,219 "
870,Septicemia or severe sepsis w MV >96 hours,MEDICAL SUBSPECIALTIES,"$287,895 "
871,Septicemia or severe sepsis w/o MV >96 hours w MCC,MEDICAL SUBSPECIALTIES,"$83,218 "
872,Septicemia or severe sepsis w/o MV >96 hours w/o MCC,MEDICAL SUBSPECIALTIES,"$50,107 "
876,O.R. procedure w principal diagnoses of mental illness,BEHAVIORAL HEALTH,"$66,145 "
880,Acute adjustment reaction & psychosocial dysfunction,BEHAVIORAL HEALTH,"$31,124 "
881,Depressive neuroses,BEHAVIORAL HEALTH,"$19,766 "
882,Neuroses except depressive,BEHAVIORAL HEALTH,"$19,486 "
883,Disorders of personality & impulse control,BEHAVIORAL HEALTH,"$21,091 "
884,Organic disturbances & intellectual disability,BEHAVIORAL HEALTH,"$35,339 "
885,Psychoses,BEHAVIORAL HEALTH,"$34,701 "
894,"Alcohol/drug abuse or dependence, left ama",BEHAVIORAL HEALTH,"$15,271 "
896,Alcohol/drug abuse or dependence w/o rehabilitation therapy w MCC,BEHAVIORAL HEALTH,"$41,884 "
897,Alcohol/drug abuse or dependence w/o rehabilitation therapy w/o MCC,BEHAVIORAL HEALTH,"$20,251 "
902,Wound debridements for injuries w CC,SURGICAL SUBSPECIALTIES,"$75,677 "
903,Wound debridements for injuries w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$60,039 "
904,Skin grafts for injuries w CC/MCC,SURGICAL SUBSPECIALTIES,"$180,728 "
905,Skin grafts for injuries w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$44,507 "
906,Hand procedures for injuries,SURGICAL SUBSPECIALTIES,"$94,219 "
907,Other O.R. procedures for injuries w MCC,SURGICAL SUBSPECIALTIES,"$183,060 "
908,Other O.R. procedures for injuries w CC,SURGICAL SUBSPECIALTIES,"$91,702 "
909,Other O.R. procedures for injuries w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$55,658 "
913,Traumatic injury w MCC,SURGICAL SUBSPECIALTIES,"$47,900 "
