Charge Item,CHARGE,Price
726238,Filter Entry Kit Titanium,351.5
726239,Tubing Warming Fluid,126
726240,Filter F/Smoke Evac,654.5
726241,Tubing Set F/Phaco Machine,298
726242,Filter Femoral Ti.12Fr,4473
726243,Tubing Lap,151
726244,Filter Hme,18
726245,Tubing Infiltration,49
726246,Tubing Hand Held,91.5
726247,Filter Jugular Ti.12Fr,5252
726248,Tubing Aspiration 3/8 X 112,94
726249,Tube-Flex 515/16 Std,117.5
726250,Tube-Flex 515/16,117.5
726251,Filter/Gas Vent Strl.,117.5
726252,Finger Splint,17.5
726253,Finger Splint 6,17.5
726254,Finger Splint Cot 1 Inch,17.5
726255,Tube To Tube Clamp,1367.5
726256,Finger Splint Cot 2 Inch,17.5
726257,Tube Tandum 20 Inches,19.5
726258,Tube Endo 5.5 Nasal W/Cuff,248
726259,Tube Declogger,63
726260,Finger Splint Cot 3 Inch,17.5
726261,T-Tube Silicone Mod,167.5
726262,Finger Splint Cot 3.5,17.5
726263,T-Tube Modified 4.8,138
726264,Finger Splint Crvd 1.5,17.5
726265,T-Tube 8Fr,80.5
726266,T-Tube 20Fr,112.5
726267,Finger Splint Crvd 2.5,17.5
726268,T-Tube 18Fr,80.5
726269,Finger Splint Crvd 4,17.5
726270,T-Tube 16Fr,80.5
726271,Fixation Kit Salute Short F/18Cm Shaft,654.5
726272,T-Tube 14Fr Davol,142.5
726273,T-Tube 12Fr Davol,142.5
726274,Fixation Pin 130/70,627.5
726275,T-Tube 12Fr,80.5
726276,Fixation Pin 180/50,627.5
726277,T-Tube 10Fr Davol,142.5
726278,Truclose Thoracic Tray,594.5
726279,Fixator Ebi Distal Radius,6465.5
726280,Tru Cut Biospy Ndl 6,169
726281,Fixator Pin 70-20,469.5
726282,Tru Cut Biospy Ndl 4,178.5
726283,Fixator Pin 80-35,469.5
726284,Trocar Laproscopic12Mm,544
726285,Fixator Standard,9246
726286,Trocar Lap Chole Kit,409
726287,Trocar Funnel 8Mm,293.5
726288,Flatus Bag,17.5
726289,Trocar Ex-Long 10/12,375
726290,Fleets Enema Adult,10.5
726291,Trocar Endopath Blunt Tip,287.04
726292,Fleets Enema Child,13.5
726293,Trocar Endo Sleeve 18Mm,499.5
726294,Fogarty Biliary Prob 5Fr,418.5
726295,Trocar Endo 10-12Mm,403.5
726296,Fogarty Biliary Prob 6Fr,418.5
726297,Trocar Dilating 11Mm,454.5
726298,Fogarty Embol Cath 3,282.5
726299,Trocar Chest Tube 20-24-28 Fr,76
726300,Trocar Cap Reducer 18Mm,53.5
726301,Fogarty Embol Cath 4,304
726302,Trocar 5Mm S,550
726303,Trocar 5Mm L,571
726304,Fogarty Embol Cath 5,304
726305,Triplelumen Ercp Cannula,433.5
726306,Fogarty Embol Cath 6,304
726307,Fogarty Occlusion Cath,505.5
726308,Triplelumen Balloon 11.5C,721
726309,Foley Cath 2Wy 12Fr 5ml,44
726310,Triple Lumen Sump,185.5
726311,Foley Cath 2Wy 16Fr 30ml,21
726312,Tricortical Wedge,624
726313,Trephine Vacuum 8.0,343
726314,Foley Cath 2Wy 16Fr 5ml,49.5
726315,"Tray, Per-O-Cath",485
726316,Foley Cath 2Wy 18Fr 5ml,49.5
726317,Tray Cath Foley W/Coude16,94
726318,Foley Cath 2Wy 20Fr 5ml,49.5
726319,Foley Cath 2Wy 22Ff 5ml,49.5
726320,Trapezoid Basket 2.5Mm 5Mm Long,1150
726321,Foley Cath 2Wy 24Fr 5ml,49.5
726322,Transvenous Balectrd,721
726323,Transthoracic Pacer,632.5
726324,Foley Cath 3Wy Coude,261.5
726325,Transluminal Dilator,355
726326,Foley Cath Alcock 22Fr 30ml,713.5
726327,Transducer Cover Latex Free,52
726328,Foley Cath Cont 3Way,115
726329,"Foley Cath Coude 12,14Fr",95.5
726330,Foley Cath Coude 14Fr 5ml,28.5
726331,Tract Splint Convol,202.5
726332,Tracheo Flx Ultra 10Mm Cuffed,509
726333,Tracheal Tube Exchanger,66.5
726334,Trach Uncuff Xlong 7.0-8.0 Hyperflex,584
726335,Trach Uncuff Bivona 6.0-7.0,379
726336,Trach Tube9(Shiley10,423
726337,Foley Cath Coude 16Fr 5ml,28.5
726338,Foley Cath Coude 18Fr 5ml,28.5
726339,Trach Tube Shiley Cuffless Size 8,234.5
726340,Foley Cath Coude 22Fr 5ml,28.5
726341,Trach Tube Holder,166.5
726342,Foley Cath Coude Hotter 22Fr,283.5
726343,Foley Cath Council 16Fr,69
726344,"Trach Tube Bivona Xlg 6,7 & 8",742.5
726345,Foley Cath Council 18Fr 5ml,69
726346,Trach Tube 8Fr Perc,339.5
726347,Trach Tube 6Fr Perc,339.5
726348,Foley Cath Council 20Fr 5ml,69
726350,Foley Cath Council 22Fr 5ml,69
726351,Trach Tray,79.5
726352,Foley Cath Foude Hotter 24Fr,283.5
726353,Trach Tb Reinforced Murphy 7.0,148
726354,Trach Tb Fenestrated,363
726355,Foley Cath Latex 30ml,55
726356,Trach Tb #7 Fenestrated,376.5
726357,Foley Cath Latex 5ml,28.5
726358,Foley Cath Latex Cud,85
726359,Trach Tb #10 Imur Cannula Shiley,266.5
726360,Foley Cath Silic 5ml,58.5
726361,Trach Tb #10 Finestrated,403.5
726362,Foley Cath Teflon 10F,76.5
726363,Trach Sponge,7.5
726364,Foley Cath Teflon 12F,44
726365,Trach Speaking Valve,317
726366,Trach Single #8 Shiley,307
726367,Foley Cath Teflon 14F,44
726368,Trach Single #6 Shiley,307
726369,Trach Single #10 Shiley,307
726370,Foley Cath Teflon 8F,73.5
726371,Foley Cath Teflon Cud,94.5
726372,"Trach Laser Tube Et 5,6,7 & 8",948
726373,Foley Cath Tiemann 12Fr 5ml,44
726374,Trach Int Set Ciaglia Perc,899
726375,Foley Cath Tray,88
726376,Trach Cleaning Tray,30.5
726377,Foley Coudehotter24F,283.5
726378,Trach Ballard Suction,109.5
726379,Foley Tray Urinemeter,154.5
726380,T-Plate Sm Hd/S 3H/5H,554
726381,Follower Coude Complete Set Heyman,519.5
726382,T-Plate Sm Hd/S 3H/4H,304
726383,T-Plate 8 Hole,492.5
726384,"Follower Straight 10,12,14,16,18 Woven",347.5
726385,T-Plate 6 Hole,582.5
726386,Towel White Surgical,12.5
726387,Follower Straight Complete Set Heyman,492.5
726388,Towel Surgical,24
726389,Footwear Lrg Terry Tread,22.5
726390,Towel Blue Surgical,21
726391,Forcep Biliary 220Cm,1028
726392,Tourniquet Sterile 8 Inch,203.5
726393,Forceps Alligator Wn 2.3,330.5
726394,Tourniquet Sterile 24 Inch,247
726395,Forceps Biopsy,363.5
726396,Forceps Biopsy Alligator Bronch Disp,342
726397,Tourniquet Sterile 18 Inch,219
726398,Forceps Bronch,451.5
726399,Tourniquet Sterile 12 Inch,223
726400,Forceps Bronch Biopsy Disp,426
726401,Total Knee Joint Set,10337
726402,Forceps Cook Alligator 3Fr,461
726403,Total Hip/Bone Screw,365
726404,Forceps Endo Flex 1Mmx35Cm,1999
726405,Total Hip Bone Prep Kit,749
726406,Forceps Hot Biopsy,1391
726407,Torque Vise,217.5
726408,Forceps Hot Biopsy Disp,319.5
726409,Forceps Jumbo Allig Jaws,423
726410,Toothpaste,7.5
726411,Forceps Lower Gi Biopsy,457.5
726412,Toothettes Sponges,4
726413,Forceps Ugi Biopsy,195
726414,Toothbrush W/Suction,52.5
726415,Forceps W/Needle Pulmonary,508.5
726416,Toothbrush,6.5
726417,Futuro Wrist Brace R,86
726418,Tooth Protection Gardent,22.5
726419,Tonsil Sponges Small,13.5
726420,Gastric Lavage Kit,308.5
726421,Gastrostomy Feed Tb,642
726422,TLSO Fracture Lumbar,5227.5
726423,Tisseel Vh Kit,1486
726424,Gastrostomy Flx Magna 16,326.5
726425,Tisseel & Duploject Valuepak 5Ml,1476.5
726426,Tipthread Guidepin,275
726427,Tip Phaco 30 Feet,374.5
726428,Timesh 6 In X 4 In,780
726429,Timesh 12 In X 12 In,7024.5
726430,Tibial Nail 10Mm Fixation,1329.5
726431,Tibial Flex-Lok Peg,836
726432,Tibia Bolt,150.5
726433,Thoracotomy Tray,79.5
726434,Thoracoport 11.5Mm Trocar,185
726435,Thoracic Catheter 40,55
726436,Gastrostomy Flx Magna 18,326.5
726437,Thoracic Catheter 36,56.5
726438,Thoracic Catheter 32,56.5
726439,Gastrostomy Flx Magna 20,326.5
726440,Thoracic Catheter 28,57.5
726441,Gastrostomy Flx Magna 22,326.5
726442,Thoracic Catheter 24,55.5
726443,Thoracic Catheter 20,55
726444,Gastrostomy Kit Low Profile 14Fr,621
726445,Thoracic Catheter 16,55
726446,Gastrostomy Tube 14Fr,326.5
726447,Thoracic Catheter 12,55
726448,Gastrostomy Tube 16Fr,326.5
726449,Thoracentesis Tray,136.5
726450,Gastrostomy Tube 18Fr,325.5
726451,Thompson Prosthesis,1196.5
726452,Gastrostomy Tube 20Fr,326.5
726453,Thermometer Rectal,11.5
726454,Thermometer Oral,40.5
726455,Gastrostomy Tube 22Fr,326.5
726456,Thermal Dil. Cath 7,566
726457,Gastrostomy Tube 24Fr,326.5
726458,Thermal Dil. Cath 6,534
726459,Gastrostomy Tube 26Fr,243
726460,Theraplast,48
726461,Thera Plus Hand Splint Lg,372
726462,Gauze 4X4 Strl Lf,28.5
726463,Gauze Roll 2X2 Strl Lf,20
726464,Gauze Sponge Tub,11.5
726465,Gauze Vag Packing 2X6,57.5
726466,Temp Probe (Rectal),86
726467,Gauze Vaseline 1/2 X 72,20
726468,Telfa 8X3,7.5
726469,Gauze Vaseline 1X36,14.5
726470,Telfa 4X3,6.5
726471,Tegaderm Dressing 6X8,29
726472,Gauze Vaseline 3X36,17.5
726473,Tegaderm Dressing 4X4,14.5
726474,Gauze Vaseline 3X9,13.5
726475,Teflon Tip Bovie,41.5
726476,Gavage Bag,26.5
726477,Tcb Univent Sz 7Mm-7.5Mm-8Mm-8.5Mm,654.5
726478,Gelcast Kit,423
726479,T-Buttress Plate,446.5
726480,Gelocast,63
726481,Tb Trach Sngle Cannula 10,259
726482,Gelport 120Mm,1995
726483,Tb Trach Single Cannula 9,259
726484,Gemini Basket O Tip,836
726485,Tb Trach Single Cannula 8,196
726486,Tb Trach Single Cannula 7,259
726487,Gia 60 Reloads Titanium,543
726488,Tb Trach Single Cannula 6,259
726489,Gia 60 Stapler Titanium,624
726490,Tb Trach 9Mm Id W/DIC,294
726491,Gia 80 Reloads,571
726492,Tb Trach 8Mm Id W/DIC,294
726493,Tb Trach 7Mm Id W/DIC,294
726494,Gigli Saw Blade,86
726495,Girdle Above Knee,322
726496,Glassman Viscera Retainer,115
726497,Tb Trach 10Mm Id W/Dic,294
726498,Glide Cath 4Fr Sims 1,423
726499,Glide Cath 5Fr Sim 2,423
726500,Tb Trach 6Mm Id W/DIC,294
726501,Glide Cath 5Fr St,423
726502,Glide Surgical Lens,10.5
726503,Gloves Cotton Liners,20
726504,Goott Baleour Blade,198.5
726505,Gown Pack Surgical Small,25
726506,Gown Pack Surgical Xl,37.5
726507,Gown Pack Surgical Xxl,45.5
726508,Gown Pack Surgical Xxxl,53.5
726509,Graft 47Mm X 35Cm,2695.5
726510,Graft 7Mm X 10Cm,654
726511,Graft Bovine Carotid Artigraft,2899
726512,Graft Collagraft Bone 5Gr,2558
726513,Graft Distaflow Bypass 7Mm X 80Mm,4733.5
726514,Graft Flex 7Mmx 8Cm,3637
726515,Graft Repair Perf. 13X15,3008.5
726516,Graft Repair Surgisis 13X22,3999
726517,Graft Repair Surgisis 7X10,1987.5
726518,Graft Repair Surgisis 7X20,2584.5
726519,Graft Skin Carriers 8 Inch,120
726520,Graft Surgisis Perforated 20 X 20,5258.5
726521,Graft Thin Wall Tapp 7Mm X4Mm,2670
726522,Graft Vascular,1625.5
726523,Graft Vascular 20G,2938.5
726524,Graft Vascular 22Fr,1625.5
726525,Graft Vascular 3Mm X 40Cm,3746.5
726526,Graft Vascular 4-7Mm X 45Cm,2176
726527,Graft Vascular 6Mm X 20Cm,1057
726528,Graft Vascular 6Mm X 5Cm,554.5
726529,Graft Vascular 7-4Mm X 30Cm,1632
726530,Graft Vascular 7Mm X 10Cm,722
726531,Graft Vascular 7X10 Flex,818.5
726532,Graft Vascular Big 18Fr,1625.5
726533,Graft Vascular Ptfe 4-7Mm,1782
726534,Graft Vascular Stnd Wall 80Mm,2878
726535,Graft Vascular Strt 18Fr,1872
726536,Graft Vascular Strt 20Fr,2018
726537,Graft Vascular Strt 22Fr,2018
726538,Grasper 3 Prong Non-Retrac,768
726539,Grasper Anvil 10Mm,592.5
726540,Grasper Endo 5Mm Roticular,758.5
726541,Grasper Endo Babcock 10Mm,516.5
727689,Grasping Forceps 2.5Fr,613.5
727690,Grds Pack,1475
727691,Gtr Long Hip Implant,6653
727692,GU Cart,47
727693,Guide Pin,49.5
727694,Guide Rod,370
727695,Guide Rod/Nail 4.0,301.5
727696,Guide Wire Accufex,119.5
727697,Guide Wire Angeled Stiff Shaft,423
727698,Guide Wire Angled,722
727699,Guide Wire Bullet Tip,407.5
727700,Guide Wire For Ercp,542
727701,Guide Wire Pathfinder,601.5
727702,Guide Wire Protector Plus,705.5
727703,Guide Wire Smooth,407.5
727704,Guide Wire Standard,356
727705,Guide Wire Straight,292.5
727706,Tb Gastrostomy Flexiflo,200.5
727707,Tb Collar Button,61
727708,Guide Wire Straight .035X180X15,233.5
727709,Tb Armstrong V Vent,108
727710,Guide Wire Straight 450Cm,721
727711,Guide Wire Tracer Hydrophi,705.5
727712,Ta55-3.5Stapler Titani,577.5
727713,Gun Tacker,1326
727714,Ta55-3.5Reloads Titani,487
727715,Hagie Pin,159
727716,Halo Traction Unit,5477.5
727717,Hand Control E/S,356
727718,Hand Helper,72.5
727719,Handle F/Balloon Dilator,1568.5
727720,Handpiece Abc Triple Option,298
727721,Handpiece Surgilav Plus,260
727722,Handport System/Sleeve,2296
727723,Ta Long 30-V3 Titanium,624
727724,Harmonic Scalpel Dissectiang Hook,758.5
727725,Harmonic Scalpel Generator,178
727726,Syringe 60Cc Single Use Gavage,243
727727,Harmonic Scalpel Handle Long,1371.5
727728,Syringe 100Cc/Angiograms,39
727729,Harmonic Scalpel Handle Short,1207.5
727730,Swivel Handle W/Tubing,55
727731,Harmonic Shear Long,1424.5
727732,Harmonic Shear Long Hand Attachment,1424.5
727733,Sween Cream,55.5
727734,Swan Ganz Tray 7F,1832
727735,Heel Float Gel Foam Small,231
727736,Swan Ganz Cath 7Fr,172.5
727737,Heel  Protector Supply Charge,58.5
727738,Swan Ganz Cath 5Fr,172.5
727739,Helical Basket Gemini Pr,510
727740,Suture V-40 Sss Size 6,103
727741,Suture V-40 Sss Size 5,101.5
727742,Helical Stone Bskt 3Wire 2.4,813.5
727743,Suture Set-Non-Disp,64.5
727744,Helical Stone Ext 2Fr,721
727745,Suture Set Delux Dis,73
727746,Suture Retrievers,182.5
727747,Helical Stone Extractor,422
727748,Helical Stone Extractor 2.5Fr,422
727749,Suture Retriever Disposible S-Lrg,234
727750,Helix Electrode,55.5
727751,Suture Rem Set-Pharm,16.5
727752,Hemashield Patch 3 Inch,721
727753,Suture,261.5
727754,Suspensory/Scrotal Support Med/Lrg,69
727755,Hemashield Vascular 20X10,2971
727756,Suspensory Sm,48
727757,Hemo-Cath Sili. Dbl Lumen,721
727758,Suspensory Med,65
727759,Suspensory Lg,65
727760,Hemoclip Applier,623
727761,Suspensory Ex-Lg,69
727762,Hemoclip Autostat,179.5
727763,Surlok Basket Flatwire 20,537.5
727764,Hemoclip Surgiclip Med,16.87
727765,Surlok Basket 4-Wire 11Mm,537.5
727766,Hemoclip Surgiclip Med/Lrg,23.69
727767,Surgities,131
727768,Hemoclip Surgiclip Small,15.15
727769,"Surgiport, Premium 11.5Mm",513.5
727770,Hemodialysis Access System,6620
727771,Surgiport Converter 5.5Mm,51
727772,Surgiport Converter 3.5Mm,51
727773,Hemorrhoid Kit,1452
727774,Surgiport Converter 10.5Mm,51
727775,Hemovac,172.5
727776,Surgiport 10Mm,550
727777,Hemovac-Hyster Tube,238.5
727778,Surgiport 10.5Mm,493.5
727779,Surgipatch 10.5Mm - 11.5Mm,65.5
727780,Hernia Kit Custom,1933.5
727781,Surgipad,6.5
727782,Hernia Ventraflex Mesh,1808
727783,Surgineedle 120Mm,195
727784,Hickman Cath 12Fr,835.5
727785,Surgicel 2X3,110
727786,Surgicel 2 X 14,278.5
727787,Hickman Cath 40Cm 2/Vita,902.5
727788,Surgicel 1/2 X 2,91
727789,Hickman Cath 9.0Fr,862.5
727790,Surgery Pack Latex-Free,1054
727791,High Efficiency Hood,2486
727792,Surg Cautery Loop Tip,75.5
727793,Hip Abduction Brace,6172.5
727794,Supracondylar Plate,2060.5
727795,Supine Pos. Head Kit,65
727796,Hip Joint Adjustable,2991
727797,Holder Drainage Bulb,59.5
727798,Sugidac,216.5
727799,Holder Trach Universal,28.5
727800,Suction Canister-Or,30.5
727801,Suction Valve,56.5
727802,Hot Snare Colonoscopy,185
727803,Suction Unit,22.5
727804,Hot Snare Gastroscopy,185
727805,Suction Tubing 12Fr Frazier,38.5
727806,Hto Fixation Plate,727
727807,Humidifier Hygroscopic Condenser,19
727808,Suction Tubing 10Fr Frazier,38.5
727809,Hydrajaw Insert Set,171
727810,Suction Tip High Flow,27.5
727811,Hyperthermia Machine,134.5
727812,Suction Tip Femoral Canal,110
727813,Hypothermia Probe,94.5
727814,Suction Coagulator,63
727815,Suction Catheter-18F,8.5
727816,I&D Tray Disposable,56.5
727817,Suction Catheter-14F,8.5
727818,I&D Tray Non-Disp,47
727819,Suction Catheter-10F,11.5
727820,Ice Pack Reusable Cloth,21
727821,Suction Catheter Kit,13.5
727822,Suction Catheter- 8F,8.5
727823,Ice Pack-Disposable,11.5
727824,Suction Cath 14Fr Lf,7
727825,Suction Cath 10Fr Lf,7
727826,Suction Canister,30.5
727827,Immobilizer Sling Swathe Large,102.5
727828,Suction 24Hr 14Fr 12 Inch,64.5
727829,Suct. Irrigator W/Cautery,458
727830,Suct Catheter 5/6 Fr,8.5
727831,Immobilizer Sling Swathe Xlrg,102.5
727832,Suct Cath 24Hr Kit 10Fr,79
727833,"Immoblzr,Slingswathe",102.5
727834,Impad Foot Cover,666
727835,Incision Applicator 7Mm Dual,1976.5
727836,Infant Tracheal Cath,154.5
727837,Infant Warmer Pad,58.5
727838,Inflation Device Breeze Rx.,484.5
727839,Stylet Pedillete,46
727840,Inflator W/Press Gauge Lv,409.5
727841,Stylet Intub Satin Slp 10Fr,27.5
727842,Infuse-Aid Kit,1169
727843,Stylet Intub Satin Slip 14Fr,48
727844,Stopcock-3 Way,8
727845,Infuse-A-Port(Dual Intrd),1697
727846,Infusor Pressure Bag,108.5
727847,Inj Probe 7Fr & Sclero Needle,1131
727848,Stopcock (Enteral),25
727849,Injectate Room Temp,116.5
727850,Stonetome W/Balloon 5Fr,1042
727851,Injection System Continuous,193.5
727852,Stonetome 5Mm Tip 200Cm,1065.5
727853,"Injection System, Rapid Refill",185.5
729689,Stomahesive W/Fl 4X4,42
729690,Inner-Cannula#10Trac,39
729691,Stomadhesive,34.5
729692,Inner-Cannula#6Trach,37
729693,Stomach Tube,11.5
729694,Inner-Cannula#8Trach,48
729695,Stocking Knee Hi Xlg,63
729696,Stocking Jobst,772
729697,Instramag,41.5
729698,Stocking Antiembo Xxl Reg,129
729699,Stocking Antiembo Xxl Long,109.5
729700,Stockinette-Sling,25.5
729701,Stockinette-Impervus,58.5
729702,Stetoscope Esophageal 18Fr,27
729703,Stethoscope Lf,51
729704,Stethoscope Adult,49
729705,Sterile Gloves,6.5
729706,Steri Strip 1X5,20
729707,Steri Strip 1/4X4,17.5
729708,Steri Strip 1/4X3,14.5
729709,Steri Strip 1/2X4,17.5
729710,Steri Drape 60 X 45,41.5
729711,Steri Drape 18 X 12,15
729712,"Stent, Ureteral Set 26Cm",229.5
729713,"Stent, Coil Stent",229.5
729714,Stent Tracheobronchial Graft 60Mm,6845
729715,Stent Tracheobronchial Graft 40Mm,6845
729716,"Instrument Drape, Magnetic",566.5
729717,Stent Tann Biliary Soe 57,505
729718,Instrument Echelon Stapler,707
729719,Stent Tann Biliary Soe 55,505
729720,Insufflation Tubing Kit,145
729721,Insufflator Tube Set,148
729722,Interceed Adhesion Barrier,740.5
729723,Intracath 16X24,72.5
729724,Intracath 16X8,34.5
729725,Intracath 19X12,34.5
729726,Intracath 19X8,45.5
729727,Intracath 22X8,32.5
729728,Intraosseous Module,205
729729,Intrauterine Catheter,269.5
729730,Intro Cholangiography Set,370
729731,Introducer,120
729732,Introducer 5Fr Mini Stick,199.5
729733,Introducer Catheter Disposible Sterile,13.5
729734,Introducer Kit 16Fr,368.5
729735,Introducer Mesh 15Mm Prec Pass Vent,535.5
729736,Introducer Percutaneous,356
729737,Introducer Vascular Set 11Fr,356
729738,Introducer Vascular Sheath,272
729739,Intromit,4589.5
729740,Introsheath 5Fr Pinnacle,191.5
729741,Intubation Module,191
729742,Ippf Casting/Plyont Foot,4763
729743,Irrg Saline (Lavage),73.5
729744,Irrigation Saline 1000ml,73.5
729745,Irrigation Saline 1500ml,73.5
729746,Irrigation Saline 500ml,73.5
729747,Irrigation Tubing Spike 7000,91.5
729748,Irrigation Water 1000 ml,73.5
729749,Irrigation Water 2000ml,73.5
729750,Irrigation Water 500ml,73.5
729751,Irrigation Tray,28.5
729752,Irrijet,55
729753,Isolation (Daily),79.5
729754,Isolation Set-Up,169
729755,Isolation Tray,61.5
729756,Stent Set Pancreatic 5Fr 5Cm,721
729757,Stent Set Intro One Act.6,423
729758,Stent Set Biliary 7-7,685.5
729759,Stent Set Biliary 7-4,685.5
729760,Isotac,358
729761,Stent Set Biliary 10X5 Rapid Echange,687
729762,IUD Merina (Burlex),1345
729763,Stent Rx 7 X 7 Cm,654
729764,IUD Paragard,1132.5
729765,Stent Rx 7 X 10 Cm,654
729766,IUD Tray,81.5
729767,IV Cath Teflon 20G,72.5
729768,Stent Retriever Soehendra 8.5,627.5
729769,Stent Retriever Soehendra 7,627.5
729770,Stent Percuflex Soft 10.3 X 26,730
729771,Stent Percuflex Plus 28,836
729772,Stent Percuflex Plus 26,836
729773,IV Delivery Module,205.5
729774,Stent Pancreatic 5Fr 5Cm,339.5
729775,IV Pump Set,99.5
729776,Stent Pancreatic 5Fr 3Cm,339.5
729777,Stent Pancreatic 5-7,537.5
729778,IV Start Kit,15.5
729779,Stent Pancreatic 5-5,592.5
729780,Ivex-2 0.22 Set,44
729781,Stent Introducer St Lactn,491.5
729782,Jackson Mag. Ruler Set,242.5
729783,Stent Introducer Set 7Fr,456
729784,Jagwire Straight .035,747.5
729785,Stent Guide Le Matre,176.5
729786,Jagwire Straight Tip 0.25,654
729787,Stent Cotton Leung Biliary,654
729788,Jamshidi Tissue Biopsy,156.5
729789,Stent Contour Flex 28,836
729790,Javid Bypass Shunt,211
729791,Stent Contour Flex 26,836
729792,Jejunal Feeding Tube,477.5
729793,Stent Biliary Straight 7/12,592.5
729794,Jejunal Feeding Tube 12Fr,334
729795,Stent Biliary Straight 10/7,592.5
729796,J-J Drain 10Mm Flat Full Flute,234
729797,J-P Drain/Reservoir,164
729798,Jugular Subclavian Filter,3406
729799,Kaltostat Dressing,63
729800,Karaya Blanket 4X4Mm,24
729801,Karaya Blanket 8X8Mm,91.5
729802,Karaya Paste,76.5
729803,Karaya Powder,145
729804,Stent Biliary Straight 10/10,592.5
729805,Keith Needle,196
729806,Stent Biliary Luminex 80X30X10X6,5485.5
729807,Kerlix Roll,15.5
729808,Kerlix Sponge,9
729809,Stent Biliary Luminex 10 X 50,6106
729811,Kit Arthroscopy Knee,533
729812,Kit AV Fistula,547
729813,Kit Basic Set Up,264.5
729814,Kit Dental Restoration,191
729815,Kit Extremity,523.5
729816,Stent Biliary 7 X 7,592.5
729817,Kit For Pain Management System,1382
729818,Stent Biliary 7 X 10,592.5
729819,Steinman Pin Holder,527
729820,Kit General Anesthesia,57
729821,Steinman Pin,91.5
729822,Statak Soft Tissue Device,721
729823,Staples Prosthesis 4.5Mm,468
729824,Kit Grds Non-Taxable,5567
729825,Staples Prosthesis 4.0,468
729826,Staples Endohernia 4'8 Reload,410.5
729827,Staples Endohern Multi 4Mm,838
729828,Staples Endogia Reld30 20,947.5
729829,Staples Endo Gia 30 2.0 Reload,947.5
729830,Stapler Sub Q,316
729831,Stapler Reloader Linear,836
729832,Stapler Reload Vascular,721
729833,Stapler Linear Reload Prx,423
729834,Kit Gyn Laparoscopy,367
729835,Stapler Linear Gun 4.0-4.8,689
729836,Kit Major Laparotomy,654.5
729837,Stapler Gun 4.0-3.5,170.5
729838,Stapler Circular 21Mm,1294.5
729839,Kit Minor Lithotomy,191
729840,Kit Minor Procedure,387.5
729841,Stapler Ceea 31,2273.5
729842,Stapler Ceea 28,2346.5
729843,Kit Radioluscent Wrist Sterile,3404
729844,Kit Shoulder/Hip,564
729845,Kit Super Peg 28Fr,601.5
729846,Staple Ta V3 Auto Suture,721
729847,Kit T&A,206
729848,Staple Removal Auto Suture,55
729849,Kit Total Knee,1224
729850,Staple Prox 57Mm Gun,796.5
729851,Staple 12 Prox Reload,627.5
729852,Spring Load Nut,115
729853,Spring Guide .035X125,63
729854,Spring Guide .025X45,63
729855,Spreader Block 3 Inch,185.5
729856,Spray Set For Tissomat,265
729857,Spoon Plate 5 Hole,558
729858,"Sponge, Neurological",39.5
729859,Sponge Toothette,3.5
729860,Sponge Surgifoam 50,131.5
729861,Sponge Surgifoam 100,194.5
729862,Sponge Gauze 2X2 Lf`,27.5
729863,Sponge Drain 4X4 Strl. Lf,7
729864,Sponge 4X4 Non Sterile,45.5
729865,Sponge 4X4,12.5
729866,Sponge Tonsil Medium,49.5
729867,Splint Night Pf5 Deg.,401
729868,Splint Hand Theraplus,403.5
729869,Splint Hand Functional Positioner L/M R/M,199.5
729870,Splint Hand Func. Pos./R-L Md,198.5
729871,Splint Freedom Elbow,119.5
729872,Splint Foot Adj,367
729873,Splint Elbow Adjustable,148
729874,Splint Ball Small Right Or Left,562.5
729875,Splint Anti-Spasticity Ball,217.5
729876,Splash Shield,87
729877,Spinal/Epidural Tray Combo,230
729878,Spinal Needle Whitacre 25 X 5,53.5
729879,Spinal Needle Sprotte 25G X 4 3/4,139.5
729880,Spinal Needle 26G,22.5
729881,Spinal Needle 25G,22.5
729882,Spinal Needle 24Gx3 1/2 Whitacre,51
729883,Spinal Needle 22G X 5,31.5
729884,Spinal Needle 22G,17.5
729885,Spinal Needle 229 X 5 Blk,26.5
729886,Spinal Needle 20G,17.5
729887,Spinal Needle 18G,17.5
729888,Spinal Anesthesia Tray,77
729889,Spike Adapters,15
729890,Sphineterotome Tapertome,839.5
729891,Sphincterotome Ultra Tape,721
729892,Sphincterotome Rx. 20Mm,839.5
729893,Sphincterotome Dbl Lumen,747.5
729894,Sphincterotome Auto,780
729895,Sphincterotome  Trpl Lumen,836
729896,Specipan,13.5
729897,Specimen Trap,22.5
729898,Specimen Sock,35.5
729899,Speaking Valve White Non Vent,383.5
729900,Kleenex,6
729901,Kling 2 Inch,7.5
729902,Kling 3 Inch,8.5
729903,Kling 4 Inch,9
729904,Kling 6 Inch,17.5
729905,K-Module Unit,13.5
729906,Knee Immobilizer Lge,171
729907,Knee Immobilizer Ranger,387
729908,Knee Immobilizer Sml,136
729909,Knife Corneal 2.85Mm Clear,133.5
729910,Knowles Pin,208
729911,Kronner Manipujector,212.5
729912,K-Sponge Spears Sterile,245.5
729913,K-Wire,43.5
729914,K-Wire .035,52
729915,K-Wire .045,52
729916,K-Wire Drill Tip 24Mm,220
729917,K-Wire Luque,49.5
729918,Kwire Partial Thrd 1.7Mm,152.5
729919,Kwire Partial Thrd 2.5Mm,152.5
729920,Kydex Jacket,3888
