EAP,EAP Description, Avg Chg 
46000048,HC NONINVASIVE EAR/PULSE OXIMETRY SINGLE DETER, 62.00 
46000049,HC NONINVASIVE EAR/PULSE OXIMETRY MULTIPLE DETER, 118.00 
47000001,HC VSTBLR FUNCJ NYSTAG FOVL&PERPH STIMJ OSCIL TRK, 926.00 
47000003,HC SPONTANEOUS NYSTAGMUS TEST, 234.00 
47000004,HC POSITIONAL NYSTAGMUS TEST, 234.00 
47000005,HC CALORIC VESTIBULAR TEST EA IRRIGATION W/RECORD, 300.00 
47000006,HC OPTKINETIC NYSTAG BIDIR/FOVEAL/PERIPH STIM W/REC, 234.00 
47000007,HC OSCILLATING TRACKING TEST W/RECORDING, 234.00 
47000008,HC SINUSOIDAL VERTICAL AXIS ROTATIONAL TESTING, 318.00 
47000009,HC USE VERTICAL ELECTRODES, 222.00 
47000010,HC COMPUTERIZED DYNAMIC POSTUROGRAPY, 234.00 
47000011,HC TYMPANOMETRY AND REFLEX THRESHOLD MEASUREMENTS, 316.00 
47000012,HC SCREENING TEST PURE TONE AIR ONLY, 51.00 
47000013,HC PURE TONE AUDIOMETRY AIR ONLY, 303.00 
47000014,HC PURE TONE AUDIOMETRY AIR & BONE, 235.00 
47000015,HC SPEECH AUDIOMETRY THRESHOLD, 166.00 
47000016,HC SPEECH AUDIOMETRY THRESHOLD SPEECH RECOGNIJ, 121.00 
47000017,HC COMPRE AUDIOMETRY THRESHOLD EVAL SP RECOGNIJ, 615.00 
47000018,HC EVOKED OTOACOUSTIC EMISSIONS SCREEN AUTO ANALYS, 377.00 
47000025,HC STENGER TEST PURE TONE, 93.00 
47000026,HC TYMPANOMETRY, 226.00 
47000027,HC TYMPANOMETRY, 226.00 
47000028,HC ACOUSTIC REFLEX THRESHOLD, 93.00 
47000030,HC ACOUSTIC IMMIT TEST TYMPANOM/ACOUST REFLX/DECAY, 235.00 
47000031,HC ACOUSTIC IMMIT TEST TYMPANOM/ACOUST REFLX/DECAY, 235.00 
47000034,HC SENSORINEURAL ACUITY LEVEL, 171.00 
47000036,HC STENGER TEST SPEECH, 430.00 
47000037,HC VISUAL REINFORCEMENT AUDIOMETRY, 235.00 
47000038,HC CONDITIONING PLAY AUDIOMETRY, 494.00 
47000039,HC SELECT PICTURE AUDIOMETRY, 93.00 
47000040,HC ELECTROCOCHLEOGRAPY, 498.00 
47000041,HC AUDITORY EVOKED POTENTIALS COMPREHENSIVE, 498.00 
47000042,HC AUDITORY EVOKED POTENTIALS LIMITED, 294.00 
47000043,HC DISTORT PRODUCT EVOKED OTOACOUSTIC EMISNS LIMITD, 181.00 
47000044,HC DISTRT PROD EVOKD OTOACOUSTIC EMSNS COMP/DX EVAL, 429.00 
47000045,HC HEARING AID EXAMINATION & SELECTION MONAURAL, 114.00 
47000046,HC HEARING AID EXAMINATION & SELECTION BINAURAL, 144.00 
47000047,HC HEARING AID CHECK MONAURAL, 60.00 
47000048,HC HEARING AID CHECK BINAURAL, 85.00 
47000051,HC EAR PROTECTOR ATTENUATION MEASUREMENTS, 121.00 
47000052,HC EVAL&/FITG VOICE PROSTC DEV SUPLMNT ORAL SPEEC, 1155.00 
47000053,HC ANALYSIS COCHLEAR IMPLT PT <7 YR PRGRMG, 323.00 
47000054,HC ANALYSIS COCHLEAR IMPLT PT <7 YR SBSQ REPRGRMG, 323.00 
47000055,HC ANALYSIS COCHLEAR IMPLT 7 YR/> PRGRMG, 323.00 
47000056,HC ANALYSIS COCHLEAR IMPLT 7 YR/> SBSQ REPRGRMG, 323.00 
47000059,HC EVAL CENTRAL AUDITORY FUNCJ W/REPRT 1ST 60 MIN, 235.00 
47000060,HC EVAL CENTRAL AUDITORY FUNCJ W/REPRT EA 15 MIN, 167.00 
47000062,HC EVALUATION AUDITORY REHAB STATUS 1ST HR, 323.00 
47000063,HC EVALUATION AUDITORY REHAB STATUS EA 15 MIN, 231.00 
47000066,HC ANALYSIS W/PRGRMG AUD BRAINSTEM IMPLANT PR HR, 235.00 
48000173,HC CV STRS TST XERS&/OR RX CONT ECG TRCG ONLY, 554.00 
51000001,HC OPHTH MEDICAL XM&EVAL INTERMEDIATE NEW PT, 85.00 
51000002,HC OPHTH MEDICAL XM&EVAL COMPRE NEW PT 1/> VST, 85.00 
51000003,HC OPHTH MEDICAL XM&EVAL INTERMEDIATE ESTAB PT, 85.00 
51000004,HC OPHTH MEDICAL XM&EVAL COMPRHNSV ESTAB PT 1/>, 85.00 
51000005,HC DETERMINATION REFRACTIVE STATE, 0.00 
51000008,HC GONIOSCOPY SEPARATE PROCEDURE, 184.00 
51000009,HC COMPUTERIZED CORNEAL TOPOGRAPHY UNI/BI, 165.00 
51000010,HC SENSORMOTOR XM W/MLT MEAS OCULAR DEVIJ W/I&R SPX, 507.00 
51000013,HC FIT CONTACT LENS TX OCULAR SURFACE DISEASE, 181.00 
51000014,HC FITTING CONTACT LENS FOR MNGT OF KERATOCONUS, 345.00 
51000015,HC VISUAL FIELD XM UNI/BI W/INTERPRETJ LIMITED EXAM, 159.00 
51000016,HC VISUAL FIELD XM UNI/BI W/INTERP INTERMED EXAM, 179.00 
51000017,HC VISUAL FIELD XM UNI/BI W/INTERP EXTENDED EXAM, 193.00 
51000018,HC SERIAL TONOMETRY SPX W/MLT MEAS INTRAOCULAR PRES, 82.00 
51000021,HC CMPTR OPHTHALMIC DX IMG ANT SEGMT W/I&R UNI/BI, 116.00 
51000022,HC COMPUTERIZED OPHTHALMIC IMAGING OPTIC NERVE, 116.00 
51000023,HC COMPUTERIZED OPHTHALMIC IMAGING RETINA, 116.00 
51000024,HC OPH BMTRY PRTL COHER INTRFRMTRY IO LENS PWR CAL, 179.00 
51000026,HC OPHTHALMOSCPY EXTENDED RETINAL DRAWING I&R 1ST, 119.00 
51000027,HC OPHTHALMOSCPY EXTENDED RETINAL DRAWING I&R SBS, 119.00 
51000028,HC REMOTE IMG DX RETINL DIS W/ALYS & REPORT UNI/B, 35.00 
51000030,HC FLUORESCEIN ANGIOSCOPY INTERPRETATION & REPORT, 219.00 
51000031,HC FLUORESCEIN ANGIOSCOPY INTERPRETATION & REPORT, 418.00 
51000032,HC INDOCYANINE GREEN ANGIOGRAPHY W/INTERP & REPOR, 418.00 
51000033,HC FUNDUS PHOTOGRAPHY W/INTERPRETATION & REPORT, 227.00 
51000036,HC ELECTRO-OCULOGRAPY W/INTERPRETATION & REPORT, 179.00 
51000037,HC ELECTRORETINOGRAPY W/INTERPRETATION & REPORT, 1154.00 
51000038,HC COLOR VISION XM EXTENDED ANOMALOSCOPE/EQUIV, 179.00 
51000039,HC DARK ADAPTATION XM W/INTERPRETATION & REPORT, 381.00 
51000040,HC XTRNL OCULAR PHOTOG W/I&R DOCMT MEDICAL PROGRE, 137.00 
51000041,HC ANT SGM IMAGING W/MICROSCOPY ENDOTHELIAL ANALY, 179.00 
51000042,HC ANT SGM IMAGING W/FLUOROSCEIN ANGIO & I&R, 179.00 
51000044,HC RX&FITG CONTACT CORNEAL LENS APHAKIA 1 EYE, 276.00 
51000045,HC RX&FITG CONTACT CORNEAL LENS APHAKIA BOTH EYES, 424.00 
51000046,HC RX&FITG CORNEOSCLERAL LENS, 1060.00 
51000047,HC RX&FTG CONTACT CORNEAL LENS EYES XCPT APHAKIA, 68.00 
51000049,HC RX CONTACT CORNEAL LENS APHAKIA BOTH EYES, 421.00 
51000051,HC MODIFICAJ CONTACT LENX SPX SUPVJ ADAPTATION, 16.00 
51000052,HC REPLACEMENT CONTACT LENS, 106.00 
51000058,HC FITTING SPECTACLE MOUNTED LW VIS AID 1 ELMNT, 85.00 
51000059,HC FITTING SPECTACLE MOUNTED LW VIS AID TLSCP, 85.00 
51000065,HC MEDICAL GENETICS COUNSELING EACH 30 MINUTES, 318.00 
51000075,HC NEW PT - LOW LEVEL VISIT (99201), 85.00 
51000076,HC NEW PT - LEVEL 2 VISIT, 85.00 
51000077,HC NEW PT - MEDIUM LEVEL VISIT (99203), 85.00 
51000078,HC NEW PT - LEVEL 4 VISIT, 85.00 
51000079,HC NEW PT - HIGH LEVEL VISIT (99205), 85.00 
51000080,HC ESTAB PT- LOW LEVEL VISIT (99211), 85.00 
51000081,HC OFFICE OUTPATIENT EST LEVEL 2, 85.00 
51000082,HC ESTAB PT - MEDIUM LEVEL VISIT (99213), 85.00 
51000083,HC OFFICE OUTPATIENT EST LEVEL 4, 85.00 
51000084,HC ESTAB PT - HIGH LEVEL VISIT (99215), 85.00 
73000001,HC ECG ROUTINE ECG W/LEAST 12 LDS TRCG ONLY W/O I&R, 148.00 
74000004,HC MLT SLEEP LATENCY/MAINT OF WAKEFULNESS TSTG, 1941.00 
74000010,HC POLYSOM ANY AGE SLEEP STAGE 1-3 ADDL PARAM ATTND, 1980.00 
74000012,HC POLYSOM 6/>YRS SLEEP 4/> ADDL PARAM ATTND, 1941.00 
74000014,HC POLYSOM 6/>YRS SLEEP W/CPAP 4/> ADDL PARAM ATTND, 2000.00 
75000314,HC GASTROESOPHAG REFLX TEST W/CATH PH ELTRD PLCMT, 759.00 
76001674,HC BINOCULAR MICROSCOPY SEPARATE DX PROCEDURE, 21.00 
76001675,HC NASOPHARYNGOSCOPY W/ENDOSCOPE SPX, 346.00 
76001677,HC FACIAL NERVE FUNCTION STUDIES, 806.00 
76001678,HC LARYNGEAL FUNCTION STUDIES, 164.00 
76001679,HC PDT XTRNL APPL LIGHT DSTR LES SKN BY ACTIVJ RX, 303.00 
76001692,HC DEBRIDEMENT OPEN WOUND 20 SQ CM/<, 542.00 
76001694,HC RMVL DEVITAL TISS N-SLCTV DBRDMT W/O ANES 1 SESS, 219.00 
92000023,HC DUPLEX SCAN EXTRACRANIAL ART COMPL BI STUDY, 439.00 
92000024,HC DUPLEX SCAN EXTRACRANIAL ART UNI/LMTD STUDY, 443.00 
92000028,HC TRANSCRANIAL DOPPLER INTRACRAN ART EMBOLI DETECT, 306.00 
92000032,HC NON-INVASIVE PHYSIOLOGIC STUDY EXTREMITY 3 LEVLS, 538.00 
92000039,HC DUP-SCAN XTR VEINS COMPLETE BILATERAL STUDY, 443.00 
92000055,HC NEEDLE ELECTROMYOGRAPHY LARYNX, 186.00 
92000057,HC NEEDLE ELECTROMYOGRAPHY CRANIAL NRV MUSCLE UNI, 294.00 
92000058,HC NEEDLE ELECTROMYOGRAPHY CRANIAL NRV MUSCLE BI, 294.00 
92000061,HC NEEDLE EMG W/1 FIBER ELECTRODE QUAN MEAS JITTER, 294.00 
92000062,HC ELECTRICAL STIMULATION GUID W/CHEMODENERVATION, 117.00 
92000063,HC NEEDLE EMG GUID W/CHEMODENERVATION, 115.00 
92000082,HC DYN SURF EMG WALKG/FUNCJAL ACTV 1-12 MUSC, 125.00 
92000094,HC PERCUTANEOUS TESTS W/ALLERGENIC EXTRACTS, 97.00 
92000095,HC INTRACUTANEOUS TESTS W/ALLERGENIC EXTRACTS, 83.00 
92000098,HC PATCH/APPLICATION TEST SPECIFY NUMBER TESTS, 96.00 
96000013,HC INITL INPATIENT CONSULT NEW/ESTAB PT 20 MIN, 69.00 
96000014,HC INITL INPATIENT CONSULT NEW/ESTAB PT 40 MIN, 134.00 
96000015,HC INITL INPATIENT CONSULT NEW/ESTAB PT 55 MIN, 85.00 
96000016,HC INITL INPATIENT CONSULT NEW/ESTAB PT 80 MIN, 85.00 
96000017,HC INITIAL INPATIENT CONSULT NEW/ESTAB PT 110 MIN, 342.00 
98300493,HCPR NASOPHARYNGOSCOPY W/ENDOSCOPE SPX, 477.00 
98300515,HCPR OFFICE OUTPATIENT NEW 10 MINUTES, 117.00 
98300516,HCPR OFFICE OUTPATIENT NEW 20 MINUTES, 207.00 
98300517,HCPR NEW PT - LEVEL 3 VISIT, 308.00 
98300518,HCPR NEW PT - LEVEL 4 VISIT, 446.00 
98300519,HCPR NEW PT - LEVEL 5 VISIT, 530.00 
98300520,HCPR OFFICE OUTPATIENT EST LEVEL 1, 59.00 
98300521,HCPR ESTAB PT- LEVEL 2 VISIT, 122.00 
98300522,HCPR ESTAB PT- LEVEL 3 VISIT, 202.00 
98300523,HCPR ESTAB PT- LEVEL 4 VISIT, 292.00 
98300524,HCPR ESTAB PT- LEVEL 5 VISIT, 387.00 
36000001,HC OPERATING ROOM T1 FIRST 30 MIN, 1868.00 
36000002,HC OPERATING ROOM T2 FIRST 30 MIN, 1967.00 
36000003,HC OPERATING ROOM T3 FIRST 30 MIN, 2065.00 
36000004,HC OPERATING ROOM T4 FIRST 30 MIN, 2163.00 
36000005,HC OPERATING ROOM T5 FIRST 30 MIN, 2262.00 
36000006,HC OPERATING ROOM T6 FIRST 30 MIN, 2360.00 
36000007,HC OPERATING ROOM T7 FIRST 30 MIN, 2458.00 
36000008,HC OPERATING ROOM T8 FIRST 30 MIN, 2557.00 
36000009,HC OPERATING ROOM T9 FIRST 30 MIN, 2655.00 
36000010,HC OPERATING ROOM T10 FIRST 30 MIN, 2753.00 
76200001,HC OBSERVATION PER HOUR, 122.00 
30001386,HC PROMETHEUS 3150 ANSER IFX 84999, 0.00 
30001405,HC IADNA NOS QUANTIFICATION EACH ORGANISM, 486.00 
76001803,HC UNLISTED PROCEDURE LARYNX, 218.00 
76001850,HC CHEMODERVATE FACIAL/TRIGEM/CERV MUSC MIGRAINE, 501.00 
92000123,HC POLYSOM <6 YRS SLEEP STAGE 4/> ADDL PARAM ATTND, 1941.00 
92000124,HC POLYSOM <6 YRS SLEEP W/CPAP/BILVL VENT 4/> PARAM, 2000.00 
92000126,HC IONM 1 ON 1 IN OR W/ATTENDANCE EACH 15 MINUTES, 159.00 
42000060,HC MOBILITY CURRENT STATUS, 0.01 
42000061,HC MOBILITY GOAL STATUS, 0.01 
42000062,HC MOBILITY D/C STATUS, 0.01 
42000063,HC BODY POS CURRENT STATUS, 0.01 
42000064,HC BODY POS GOAL STATUS, 0.01 
42000065,HC BODY POS D/C STATUS, 0.01 
42000069,HC SELF CARE CURRENT STATUS, 0.01 
42000070,HC SELF CARE GOAL STATUS, 0.01 
42000071,HC SELF CARE D/C STATUS, 0.01 
42000072,HC OTHER PT/OT CURRENT STATUS, 0.01 
42000073,HC OTHER PT/OT GOAL STATUS, 0.01 
42000074,HC OTHER PT/OT D/C STATUS, 0.01 
42000075,HC SUB PT/OT CURRENT STATUS, 0.01 
42000076,HC SUB PT/OT GOAL STATUS, 0.01 
43000068,HC SELF CARE CURRENT STATUS, 0.01 
43000069,HC SELF CARE GOAL STATUS, 0.01 
43000070,HC SELF CARE D/C STATUS, 0.01 
43000071,HC OTHER PT/OT CURRENT STATUS, 0.01 
43000072,HC OTHER PT/OT GOAL STATUS, 0.01 
43000073,HC OTHER PT/OT D/C STATUS, 0.01 
44000021,HC SWALLOW CURRENT STATUS, 0.01 
44000022,HC SWALLOW GOAL STATUS, 0.01 
44000023,HC SWALLOW D/C STATUS, 0.01 
44000038,HC VOICE CURRENT STATUS, 0.01 
44000039,HC VOICE GOAL STATUS, 0.01 
44000041,HC SPEECH LANG CURRENT STATUS, 0.01 
44000042,HC SPEECH LANG GOAL STATUS, 0.01 
44000043,HC SPEECH LANG D/C STATUS, 0.01 
44000044,HC MOTOR SPEECH GOAL STATUS, 0.01 
27000559,HC DILATOR TRACHEOESOPHAGEAL PUNCTURE EA T1, 126.00 
63600063,HC AMPICILLIN SODIUM PER 1.5 GM, 8.00 
63600072,HC INJ ABOBOTULINUMTOXINA 5 UN, 25.00 
63600103,HC INJ DEXAMETHASONE SOD PHOS 1MG, 1.00 
63600119,HC GENTAMICIN UP TO 80 MG INJEC, 10.00 
63600144,HC LIDOCAINE HCL 10 MG, 8.00 
63600149,HC VERSED PER 1 MG, 1.00 
63600240,HC METHOTREXATE SODIUM PER 5MG, 7.00 
63600248,HC ONDANSETRON ORAL PER 1 MG, 2.00 
36000026,HC OPERATING ROOM T5 EACH ADDL 15 MIN, 1068.00 
36000027,HC OPERATING ROOM T6 EACH ADDL 15 MIN, 1115.00 
36000028,HC OPERATING ROOM T7 EACH ADDL 15 MIN, 1161.00 
36000029,HC OPERATING ROOM T8 EACH ADDL 15 MIN, 1208.00 
36000030,HC OPERATING ROOM T9 EACH ADDL 15 MIN, 1254.00 
36000031,HC OPERATING ROOM T10 EACH ADDL 15 MIN, 1300.00 
76200002,HC OBSERVATION CARVE OUT - RADIOLOGY, 122.00 
44000053,HC VOICE FUNCTNL LMT DSCHRG STAT, 0.01 
76200003,HC OBSERVATION CARVE OUT - DIGESTIVE, 122.00 
51000146,HC PROLONGED SVC OFFICE O/P DIR CONTACT 1ST HR, 85.00 
76200004,HC OBSERVATION CARVE OUT - CARDIOLOGY, 122.00 
76200005,HC OBSERVATION CARVE OUT - RESPIRATORY, 122.00 
63600364,HC TRIAMCINOLONE ACETONIDE APOTHECON KENALOG-40 40 MG/ML VIAL 1 VIAL  00003029305-1, 7.00 
27000772,HC AUDITORY OSSEOINTGRATED DEVICE T3, 6678.00 
63601031,HC AMINOLEVULINIC ACID HCL TOP, 234.00 
94000035,HC NS UNLISTED ORL SERV OR PROC, 276.00 
51000198,HC NS UNLISTED EVAL/MGMT SERVICE, 85.00 
36000140,HC BLEPHAROPLASTY UPPER EYELID, 3571.00 
36000092,HC LYSIS INTRANASAL SYNECHIA, 416.00 
36000095,HC DRAINAGE ABSCESS PAROTID COMPLICATED, 2960.00 
36000096,HC DILATION SALIVARY DUCT, 1955.00 
36000102,HC EXCISION LESION CORNEA XCP PTERYGIUM, 1921.00 
36000104,HC IRIDOTOMY/IRRIDECTOMY LASER SURG PER SESSION, 696.00 
36000105,HC NS UNLISTED PROCEDURE ANTERIOR SEGMENT EYE, 397.00 
36000106,HC VTRECTOMY MCHNL PARS PLNA ENDOLASER PANRTA PC, 4871.00 
36000107,HC PROPH RTA DTCHMNT W/O DRG 1/> SESS, 689.00 
36000109,HC DESTRUCTION LESION LID MARGIN </ 1 CM, 1655.00 
36000113,HC REPAIR ENTROPION EXTENSIVE, 2999.00 
36000114,HC DEBRIDEMENT MASTOIDECTOMY CAVITY SIMPLE, 135.00 
36000116,HC TYMPANIC MEMB RPR W/WO PREPJ PERFOR PATCH, 2995.00 
30001679,HC DRUG SCRN QUANT OXCARBAZEPIN, 37.00 
30001682,HC IMMUNOHISTO/CYTO CHEM ADD, 375.00 
44000058,HC EVALUATION OF SPEECH FLUENCY, 727.00 
44000059,HC EVALUATE SPEECH PRODUCTION, 727.00 
44000060,HC SPEECH SOUND LANG COMPREHEN, 727.00 
44000061,HC BEHAVRAL QUALIT ANALYS VOICE, 727.00 
76001949,HC CHEMODENERV MUSC NECK DYSTON, 656.00 
76001950,HC CHEMODENERV 1 EXTREMITY 1-4, 571.00 
31000220,HC IMMUNOHISTO/CYTO CHEM PER SPECIMEN 1ST SINGLE OR MULTIPLEX ANTIBODY, 375.00 
31000221,HC IMMUNOHISTO/CYTO CHEM PER SPECIMEN EA ADD SINGLE OR MULTIPLEX ANTIB, 375.00 
61000144,HC MRI ORBIT FACE & NECK W/CON, 1961.00 
61000145,HC MRI SPINAL CANAL THORACIC W/O CONTRAST MATRL (52), 1961.00 
61000146,HC MRI SPINAL CANAL THORACIC W/O & W/CONTR MATRL (52), 2199.00 
61000147,HC MRI SPINAL CANAL LUMBAR W/O & W/CONTR MATRL (52), 1402.00 
76001966,HC CHEMODENERVATION MUSCLE LARYNX UNILAT W/EMG, 571.00 
63601078,HC ONDANSETRON HCL INJECTION, 1.00 
63601080,HC METHYLPREDNISOLONE INJECTION, 9.00 
63601081,HC FENTANYL CITRATE INJECITON, 3.00 
63601093,HC DIPHENHYDRAMINE HCL 50MG, 10.00 
76001973,HC IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE, 258.00 
76001981,HC BIOPSY SOFT TISSUE NECK/THORAX, 1846.00 
30001851,HC ALLERGEN SPECIFIC IGE QUAN/SEMIQUAN EA ALLERGEN, 59.00 
63601106,HC MGH INJ FAMOTIDINE 20 MG, 4.00 
71000005,HC NON-PACU RECOVERY TIME PER 30MIN, 639.00 
36000192,HC OPERATING ROOM T1 EACH ADDL 15 MIN, 883.00 
36000193,HC OPERATING ROOM T2 EACH ADDL 15 MIN, 929.00 
36000194,HC OPERATING ROOM T3 EACH ADDL 15 MIN, 975.00 
36000195,HC OPERATING ROOM T4 EACH ADDL 15 MIN, 1022.00 
27000985,"HC ADHESIVE, LIQUID OR EQUAL, ANYTYPE, PER OZ TIER1", 26.00 
44000080,HC DFCI VOICE D/C STATUS, 0.00 
27001001,HC MATRISTEM MICROMATRIX PER MG T1, 45.00 
37000025,HC ANESTHESIA TECHNICAL CHARGE PER 15 MIN (ENTERPRISE), 318.00 
71000021,HC RECOVERY ROOM CHARGE PER 60 MIN, 2426.00 
76002066,HC CANALITH REPOSITIONING PROCEDURE, 77.00 
30002775,HC CREATININE BLOOD (QW), 16.00 
30002957,HC DRUG SCREEN QUANT DIPROPYLACETIC ACID TOTAL, 147.00 
36000351,HC LASER SURGERY SEVER VITREOUS STRANDS, 449.00 
51000535,HC POST OP VISIT, 0.00 
36000353,HC MGH SCLEROTHERAPY OF RANULA, 3656.00 
98300811,HCPR INITIAL HOSPITAL CARE LOW, 276.00 
98300812,HCPR INITIAL HOSPITAL CARE MOD, 371.00 
98300813,HCPR INITIAL HOSPITAL CARE HIGH, 552.00 
98300814,HCPR SUBSEQUENT HOSPITAL CARE LOW, 117.00 
98300815,HCPR SUBSEQUENT HOSPITAL CARE MOD, 202.00 
98300816,HCPR HOSPITAL DISCHARGE DAY 30 MIN OR LESS, 197.00 
98300817,HCPR SUBSEQUENT HOSPITAL CARE HIGH, 153.00 
98300830,HCPR PERCUTANEOUS TESTS W/ALLERGENIC EXTRACTS, 22.00 
98300839,HCPR DRAINAGE ABSCESS PARTOID SIMPLE, 615.00 
76002116,"HC PROPHYLAXIS RETINA DETACH,CRYO/DIATH", 698.00 
76002117,"HC DEST,CHOROID LESION,PHOTOCOAG", 696.00 
90000119,HC SUBSEQUENT HOSPITAL CARE LOW, 64.00 
90000120,HC SUBSEQUENT HOSPITAL CARE MOD, 104.00 
90000121,HC SUBSEQUENT HOSPITAL CARE HIGH, 151.00 
76002121,"HC DEST,CHOROID LESN,PHOTODYN THER,2ND EYE", 756.00 
27001186,"HC TRACHEOSTOMY TUBE COLLAR/HOLDER, EACH", 17.00 
27001196,"HC EAR IMPRESSION, EACH", 30.00 
27001197,HC REPAIR/MODIFICATION OF A HEARING AID, 255.00 
27001198,HC BODY AID AIR CONDUCTION, 153.00 
27001199,HC BODY AID BONE CONDUCTION, I.C 
27001200,"HC DISPENSING FEE, BINAURAL", I.C 
27001201,"HC DISPENSING FEE, CROS", I.C 
27001202,"HC DISPENSING FEE, BICROS", I.C 
27001203,"HC DISPENSING FEE, MONAURAL", I.C 
27001204,HC EAR MOLD, I.C 
27001205,"HC EAR MOLD, DISPOSABLE", I.C 
27001206,"HC ASST LISTEN DEVICE, TELEPHONE AMPLIFIER", I.C 
27001207,"HC ASSISTIVE LISTENING DEVICE, NOS", I.C 
27001208,"HC PERSONAL FM/DM SYSTEM, MONAURAL", I.C 
27001209,"HC PERSONAL FM/DM SYSTEM, BINAURAL", I.C 
27001210,HC PERSONAL FM/DM NECK LOOP INDUCT RECEIVER, I.C 
27001211,HC PERSONAL FM/DM EAR LEVEL RECEIVER, I.C 
27001212,HC PERSONAL FM/DM DIRCT AUDIO INPT RECEIVER, I.C 
27001213,HC PERSONAL BLUE TOOTH FM/DM RECEIVER, I.C 
27001214,"HC PERSONAL FM/DM RECEIVER, NOS", I.C 
27001215,HC PERSONAL FM/DM TRANSMITTER ASST LIST DEV, I.C 
27001216,HC PERSONAL FM/DM ADAPTER/BOOT COUPLING DEV, I.C 
27001217,"HC TRANSMITTER MICROPHONE, ANY TYPE", I.C 
27001218,"HC HRG AID SERVICE, MISC", I.C 
27001219,"HC CL, SOFT, EXTENDED WEAR", 257.00 
27001220,HC DURA PLUG;TEMP PUNC PLUG 90 DAY; PROLONG, 40.00 
29000001,"HC CL-GP,SPHERICAL", I.C 
29000002,"HC CL, GP, TORIC, PRISM BALLAST", I.C 
29000003,"HC CL, GP, EXTENDED WEAR", I.C 
29000004,"HC CL, SOFT, SPHERICAL", I.C 
29000005,"HC CL, SOFT, TORIC OR PRISM BALLAST", I.C 
29000006,"HC CL, SOFT, BIFOCAL", I.C 
29000007,"HC CL, SCLERAL, GAS IMPERMEABLE", I.C 
29000008,"HC CL, SCLERAL, GAS PERMEABLE", I.C 
29000009,HC DUETTE, 265.00 
29000010,HC SYNERGEYES  A, 371.00 
29000011,"HC SYNERGEYES KC, PS, CLEARCONE, ULTRAHEALT", 583.00 
29000012,HC HEARING AID ITE MONAURAL, I.C 
29000013,HC HEARING AID BTE MONAURAL, I.C 
29000014,HC HEARING AID ITE BINAURAL, I.C 
29000015,HC HEARING AID BTE BINAURAL, I.C 
29000016,"HC HEARING AID CROS, ITE", I.C 
29000017,"HC HEARING AID CROS, ITC", I.C 
29000018,"HC HEARING AID BICROS, ITE", I.C 
29000019,"HC HEARING AID BICROS, ITC", I.C 
29000020,"HC HA ANALOG MONAURAL, CIC", I.C 
29000021,"HC HA ANALOG MONAURAL, ITC", I.C 
29000022,"HC HA DIG PROG ANALOG, MONAURAL CIC", I.C 
29000023,"HC HA DIG PROG ANALOG, MONAURAL ITC", I.C 
29000024,"HC HA DIG PROG ANALOG, MONAURAL ITE", I.C 
29000025,"HC HA DIG PROG ANALOG, MONAURAL BTE", I.C 
29000026,"HC HA ANALOG BINAURAL, CIC", I.C 
29000027,"HC HA ANALOG BINAURAL, ITC", I.C 
29000028,"HC HA DIG PROG ANALOG, BINAURAL CIC", I.C 
29000029,"HC HA DIG PROG ANALOG, BINAURAL ITC", I.C 
29000030,"HC HA DIG PROG ANALOG, BINAURAL ITE", I.C 
29000031,"HC HA DIG PROG ANALOG, BINAURAL BTE", I.C 
29000032,HC HA DIGITAL MONAURAL CIC, I.C 
29000033,HC HA DIGITAL MONAURAL ITC, I.C 
29000034,HC HA DIGITAL MONAURAL ITE, I.C 
29000035,HC HA DIGITAL MONAURAL BTE, I.C 
29000036,HC HA DIGITAL BINAURAL CIC, I.C 
29000037,HC HA DIGITAL BINAURAL ITC, I.C 
29000039,HC HA DIGITAL BINAURAL ITE, I.C 
29000040,HC HA DIGITAL BINAURAL BTE, I.C 
29000041,"HC HEARING AID BATTERIES 4PK, EACH", I.C 
29000044,HC HEARING AID ACCESS, I.C 
29000045,"HC HEARING AID, NOT OTHERWISE CLASSIFIED", I.C 
47900001,HC EVALUATION FEE HEARING AID, 331.00 
47900002,HC HEARING AID CONSULTATION - PREPAID, I.C 
76002124,HC REM CORNEAL EPITHELIUM; CHELATING AGENT, 1927.00 
76002125,HC SUBCUT INJ FILL MATERIAL > 10 CC, 914.00 
76002126,HC FLAP; ISLAND PEDICLE, 3588.00 
76002127,"HC GRAFT FACE NERVE PARALYSIS, FASCIA (UNI)", 4606.00 
76002128,HC REVISION OF NECK MUSCLE, 3588.00 
76002129,"HC LARYNGOSCOPY DIRECT, DILATION, INITIAL", 2939.00 
76002130,"HC LARYNGOSCOPY DIRECT,DILATION, SUBSEQUENT", 3588.00 
76002131,"HC LARYNGOSOCOPY,DIR,OPR,EXC TUMOR,W/SCOPE", 3046.00 
76002132,"HC LARYNGOSCOPY,FLEX FIB-OP;REMOVE LESION", 1971.00 
76002133,"HC TRACHEOSTOMA REV,SIMPLE, W/O FLAP ROTATE", 2939.00 
76002134,HC APPLY TISSUE GLUE TO WOUND CORNEA/SCLERA, 1209.00 
76002135,HC MULTIPLE PUNCTURES OF ANTERIOR CORNEA, 2336.00 
76002136,HC APPLICATION OF PROKEA (EXPLODING CODE), 2143.00 
