CDM NO,DISPENSED DESCRIPTION,PRICE,TYPE,NOTE
52942109,PTBA PERIPH DIALYSIS SEG RT,"20,961.00",0,
52942117,PTBA PERIPH DIALYSIS SEG LT,"20,961.00",0,
52942125,PTBA PERIPH DIALYSIS SEG BIL,"18,826.00",0,
52942133,STENT PERIPH DIALYSIS SEG RT,"42,363.00",0,
52942141,STENT PERIPH DIALYSIS SEG LT,"42,363.00",0,
52942158,STENT PERIPH DIALYSIS SEG BIL,"38,049.00",0,
52942166,PMT/INFUSE DIALYSIS SEG RT,"21,161.00",0,
52942174,PMT/INFUSE DIALYSIS SEG LT,"21,161.00",0,
52942182,PMT/INFUSE DIALYSIS SEG BIL,"18,826.00",0,
52942190,PMT W/PLASTY PERIPH DIALYS RT,"42,363.00",0,
52942208,PMT W/PLASTY PERIPH DIALYS LT,"42,363.00",0,
52942216,PMT W/PLASTY PERIPH DIALYS BIL,"38,050.00",0,
52942224,PMT W/STENT PERIPH DIALYS RT,"64,211.00",0,
52942232,PMT W/STENT PERIPH DIALYS LT,"64,211.00",0,
52942240,PMT W/STENT PERIPH DIALYS BIL,"57,673.00",0,
52942257,PTBA CENTRL DIALYS SEG ADD RT,"12,550.00",0,
52942265,PTBA CENTRL DIALYS SEG ADD LT,"12,550.00",0,
52942273,PTBA CENTRL DIALYS SEG ADD BIL,"18,826.00",0,
52942281,STENT CENTRL DIALYS SEG ADD RT,"12,550.00",0,
52942299,STENT CENTRL DIALYS SEG ADD LT,"12,550.00",0,
52942307,STENT CENTRL DIALYS SEG ADD BI,"18,826.00",0,
52942315,EMBOLIZATION DIALYSIS SEG RT,"12,550.00",0,
52942323,EMBOLIZATION DIALYSIS SEG LT,"12,550.00",0,
52942331,EMBOLIZATION DIALYSIS SEG BIL,"18,826.00",0,
52942349,OPEN OR PERC TBA ARTERY RT,"20,961.00",0,
52942356,OPEN OR PERC TBA ARTERY LT,"20,961.00",0,
52942364,OPEN OR PERC TBA ARTERY BIL,"18,826.00",0,
52942372,OPEN OR PERC TBA ARTERY ADD RT,"12,550.00",0,
52942380,OPEN OR PERC TBA ARTERY ADD LT,"12,550.00",0,
52942398,OPEN OR PERC TBA ARTERY ADD BI,"18,826.00",0,
52942406,OPEN OR PERC TBA VEIN RT,"20,961.00",0,
52942414,OPEN OR PERC TBA VEIN LT,"20,961.00",0,
52942422,OPEN OR PERC TBA VEIN BIL,"18,826.00",0,
52942430,OPEN OR PERC TBA VEIN ADD RT,"12,550.00",0,
52942448,OPEN OR PERC TBA VEIN ADD LT,"12,550.00",0,
52942455,OPEN OR PERC TBA VEIN ADD BIL,"18,826.00",0,
52942497,MODERATE SEDATION <5YRS 15MIN,147.00,0,
52942505,MODERATE SEDATION >5YRS 15MIN,147.00,0,
52942521,PLACE CATH ART ABD 1ST ORD LTD,248.00,0,
52942539,INSERT TUN CVC W/O PORT 5Y+LTD,"7,583.00",0,
52942547,PTCA SINGLE VES/BRCH LM,"28,832.00",0,
52942554,US INTRAVASC COR EA ADD CS RI,"1,229.00",0,
52942562,DES W/ATHREC W/WO PTCA 1ST LM,"70,502.00",0,
52942570,DES W/ATHREC W/WO PTCA 1ST RI,"70,502.00",0,
52942588,REVASC PERC BYPASS AMI 1ST LM,"11,947.00",0,
52942596,INJ TRAN EPI ANES L-S SNGL BIL,"5,557.00",0,
52942604,INJ TRAN EPI ANES L-S SNGL LT,"5,557.00",0,
52942612,INJ TRAN EPI ANES L-S SNGL RT,"5,557.00",0,
52942620,CONVERT TO NEPHROURET CATH,"2,981.00",0,
52942638,PLACE CATH CAROTD W/EXTRAC,"20,415.00",0,
52942646,OPEN OR PERC TBA ARTERY,"25,101.00",0,
52942653,PTBA PERIPH DIALYSIS SEG,"25,101.00",0,
52942661,DX ANGIO DIALYSIS CIRCUIT,"3,559.00",0,
52942679,INJ TRAN EPI ANES L-S SNGL,"5,557.00",0,
52942687,PMT W/STENT PERIPH DIALYS,"76,898.00",0,
52942695,STENT CENTRL DIALYS SEG ADD,"12,554.00",0,
52942703,BONE MARROW BIOPSY NDL/TROC,"6,434.00",0,
52942711,PTBA CENTRL DIALYS SEG ADD,"12,550.00",0,
52942729,OPEN OR PERC TBA VEIN,"25,101.00",0,
52942737,OPEN OR PERC TBA VEIN ADD,"25,101.00",0,
52942745,OPEN OR PERC TBA VEIN ADD 59,"25,101.00",0,
52942752,TRANSCATH THROMBO VEN INIT 59,"12,281.00",0,
52942760,INTRO NDL/INTRACATH VEIN LTD,"2,981.00",0,
52942778,DILATE BAL URETRL STRICT ADDON,"5,889.00",0,
52942786,DES REVASC PERC CHRNC OCC 1 LM,"76,898.00",0,
52942802,INJ SNGL STER/ANES LUMB/SACR,"4,748.00",0,
52942810,TAVR AORTIC VALVE REPLC OPN IP,"19,456.00",0,
52942828,PMT W/PLASTY PERIPH DIALYS,"50,733.00",0,
52942836,INSRT/REPL LEADLESS PM VENTRIC,"76,898.00",0,
52942844,REMOVE LEADLESS PM VENTRIC,"12,281.00",0,
52942851,PROG EVAL INPERSON LEADLESS PM,183.00,0,
52942869,PERIPROC EVAL INPER LEADLES PM,183.00,0,
52942877,INTERGT EVAL INPER LEADLESS PM,183.00,0,
52942885,EMBOLIZATION DIALYSIS SEG,"12,550.00",0,
52942893,NEPHROSTOGRAM EXIST ACCESS,"2,859.00",0,
52942901,UNLISTED VASCULAR INJ PROC-59,"3,664.00",0,
52942919,INJ SUPRAVALV AORTOGRM ADDON59,"3,664.00",0,
52942927,NON-OPHTHALMIC FVA,"3,664.00",0,
52942935,LT HEART CATH COR ANG/GRAFT-52,"19,456.00",0,
52942943,NEPHROSTOGRAM EXIST ACCESS-59,"3,210.00",0,
52942950,PLACE CATH EXT CAROTID ADD-59,"5,755.00",0,
52942968,PLACE CATH INTERNAL CAROTID,"17,047.00",0,
52942976,NEPHROSTOGRAM NEW ACCESS 59,"5,755.00",0,
52942984,STENT PERIPH DIALYSIS SEG,"42,363.00",0,
52942992,VENOGRAM EXTREM BIL S/I-RT,"2,973.00",0,
52943008,RECORD BUNDLE OF HIS-59,"21,747.00",0,
52943016,RECORD INTRA ATRIAL-59,"21,747.00",0,
52943024,PACING INTRA ATRIAL - 59,"21,747.00",0,
52943032,OPEN THROMBECTOMY AV GRAFT,"24,378.00",0,
52943099,PTC THROMBECTOMY ADDON LC CS,"8,463.00",0,
52943107,SELECT CATH L/R PULM ART - LTD,"2,105.00",0,
52943321,OPEN OR PERC TBA VEIN - 59,"23,729.00",0,
52943339,PERQ TRANSCATH CLS MITRAL,"74,758.00",0,
52943362,REMOVE PERM INTRAPERITO CATH,"15,400.00",0,
52943404,THROMBECT VEN MECH REPEAT BIL,"15,400.00",0,
52943412,TAVR TRANSAORTIC APPROACH IP,"16,400.00",0,
52943420,PERQ ACCS/CLS FEMART 12F UNI59,"8,920.00",0,
52943438,REVASC PERC CHRONIC OCCUL 1 RI,"49,050.00",0,
52943461,PLACE CATH VEN 2ND ORDER LTD,"4,500.00",0,
52943479,ATHREC W/WO PTCA 1ST VES LM,"49,050.00",0,
52943495,INSERT NONTUNNEL CVC 5YR+ 59,"4,500.00",0,
53000766,INHALE TX AEROSOL FIRST HR,"1,710.00",0,
53000774,INHALE TX AEROSOL EA ADDL HR,"1,710.00",0,
53000782,IV INFUSION HYDRATE TO 1HR,622.00,0,
53000790,IV INFUSION THER/DX TO 1HR,622.00,0,
53000808,IV INFUSE HYDRATE EA ADDL HR,129.00,0,
53000816,IV INFUSION THER/DX EA ADDL HR,129.00,0,
53000824,IV INFUSE THER/DX SEQ TO 1HR,622.00,0,
53000832,IV INFUSE THER/DX CONCURRENT,622.00,0,
53000873,IV PUSH SAME DRUG EA ADDL,229.00,0,
53000915,CARDIAC REHAB MONITOR PROFEE,1.00,0,
53100103,THORACENTESIS ASPIRATION,255.00,0,
53100202,THORACENTESIS W/CHEST TUBE,"1,309.00",0,
53100608,BX LYMPH NODES SUPERFICIAL,"1,237.00",0,
53100707,BX LIVER NDL PERC,"2,185.00",0,
53101101,DRAIN PERITONEAL ABSCESS PERC,"1,887.00",0,
53101200,DRAIN SUBDIAPHRAG ABSCESS PERC,"3,153.00",0,
53101309,DRAIN RETROPERITO ABSCESS PERC,"3,153.00",0,
53101606,BX ABD/RETROPERITO PERC NDL,"1,230.00",0,
53101804,BX PROSTATE NDL/PUNCH 1+,866.00,0,
53101903,HYSTEROSALPINGOGRAM INJ,"1,051.00",0,
53102000,INJ/ASPIR THYROID CYST,603.00,0,
53102307,GUIDANCE PERC DRAIN W/CATH S/I,359.00,0,
53102406,US HEAD,813.00,0,
53102505,US HEAD/NECK INC THYROID,"1,540.00",0,
53102604,US CHEST,578.00,0,
53102703,US BREAST BIL,"1,174.00",0,
53102802,US ABD COMP,"1,940.00",0,
53102901,US ABD LTD,"1,278.00",0,
53103008,US GALLBLADDER,"1,292.00",0,
53103107,US LIVER / HEPATIC,"1,278.00",0,
53103206,US PANCREAS,"1,217.00",0,
53103305,US PYLORIC,"1,278.00",0,
53103404,US RT UP QUADRANT,"1,292.00",0,
53103503,US SPLEEN,"1,266.00",0,
53103602,US RETROPERITONEAL COMP,976.00,0,
53103701,US RETROPERITONEAL LTD,786.00,0,
53103800,US RENAL LTD,818.00,0,
53104006,US SPINAL CANAL,998.00,0,
53104204,US OB > 14WKS SNGL FETUS,"1,438.00",0,
53104303,US OB > 14WKS EA ADDL FETUS,"1,830.00",0,
53104402,US OB UTERUS LIMITED 1+ FETUS,785.00,0,
53104600,US OB UTERUS F/UP PER FETUS,997.00,0,
53104709,BIOPHYSICAL W/STRESS 1ST FETUS,"1,499.00",0,
53105201,US TRANSVAGINAL,"1,324.00",0,
53105300,SONOHYSTEROGRAM SIS,"1,538.00",0,
53105409,US FREE FLUID STUDY,"1,129.00",0,
53105508,US IUD LOCALIZATION,"1,088.00",0,
53105607,US PELVIS NON OB,"1,549.00",0,
53105706,US URINARY BLADDER         402,"1,535.00",0,
53105805,US PELVIS NON OB LTD,"1,230.00",0,
53105904,US TESTICULAR,"1,222.00",0,
53106001,US PROSTATE,776.00,0,
53106209,US INFANT HIPS DYNAMIC,757.00,0,
53106308,US INFANT HIPS STATIC LTD,829.00,0,
53106704,US GUIDE COMPRESSION AV FIST,"1,757.00",0,
53106803,US GUIDANCE CYST ASPIR S/I,621.00,0,
53107009,US GUIDANCE NDL PLACEMENT S/I,"1,237.00",0,
53107207,US GUIDE AMNIOCENTESIS S/I,"2,103.00",0,
53107306,US GUIDE ASPIRATION OVA S/I,767.00,0,
53107603,US GUIDE INTERSTITIAL RAD TX,"1,482.00",0,
53107702,US FOLLOW UP STUDY,785.00,0,
53108007,US INTRAOPERATIVE,813.00,0,
53108106,US UNLISTED PX,471.00,0,
53108205,FNA  W/O IMAGING GUIDANCE,581.00,0,
53108403,DUPLEX CAROTIDS COMP BIL,"1,399.00",0,
53108502,DUPLEX CAROTIDS LTD BIL,649.00,0,
53108601,DOPPLER TCD ARTERY COMP,"2,470.00",0,
53108809,PHYSIO ART EXT UP BIL SNGL,"2,470.00",0,
53108908,PHYSIO ART EXT LOW BIL SNGL,"2,470.00",0,
53109005,PHYSIO ART EXT UP BIL MULTI,"3,706.00",0,
53109104,PHYSIO ART EXT LOW BIL MULTI,"3,706.00",0,
53109203,DUPLEX ART EXT LOW COMP BIL,"1,669.00",0,
53109302,DUPLEX ART EXT LOW UNI/LTD,707.00,0,
53109401,DUPLEX ART EXT UP BIL,"1,038.00",0,
53109500,DUPLEX ART EXT UP UNI/LTD,504.00,0,
53109708,DUPLEX EXT VEINS COMP BIL,"1,067.00",0,
53109906,DUPLEX ABD/RETR ART/VEN COMP,887.00,0,
53110003,DUPLEX ABD/RETR ART/VEN LTD,"1,620.00",0,
53110102,DUPLEX AORTA IVC BYPASS COMP,848.00,0,
53110409,DUPLEX AORTA/IVC/GRAFTS LTD,404.00,0,
53110508,DUPLEX PENILE VESSELS COMP,930.00,0,
53110706,US HEAD LTD,651.00,0,
53110805,US HEAD/NECK LTD,793.00,0,
53110904,US THYROID LTD,763.00,0,
53111001,US CHEST LTD,436.00,0,
53111100,US BREAST BIL LTD,881.00,0,
53111308,US SPINAL CANAL LTD,962.00,0,
53111506,BIOPHYS PROFILE W/NST ADDL FET,"1,430.00",0,
53111605,US TRANSVAGINAL LTD,896.00,0,
53111803,US TESTICULAR LTD,"1,077.00",0,
53111902,US PROSTATE LTD,746.00,0,
53112801,US INTRAOPERATIVE LTD,860.00,0,
53112900,ASPIR CYST BREAST INITL LT,"1,146.00",0,
53113007,ASPIR CYST BREAST INITL RT,"1,146.00",0,
53113106,ASPIR CYST BREAST EA ADDL LT,736.00,0,
53113205,ASPIR CYST BREAST EA ADDL RT,736.00,0,
53113304,INJ GALACTOGRAM EA LT,574.00,0,
53113403,INJ GALACTOGRAM EA RT,574.00,0,
53113502,BX BREAST NDL CORE LT,641.00,0,
53113601,BX BREAST NDL CORE RT,618.00,0,
53113700,PLACEMENT GW BREAST PREOP LT,902.00,0,
53113809,PLACEMENT GW BREAST PREOP RT,902.00,0,
53113908,PLACEMENT GW BREAST EA ADDL LT,902.00,0,
53114005,PLACEMENT GW BREAST EA ADDL RT,866.00,0,
53114104,BX MUSCLE PERC NDL LT,"2,224.00",0,
53114203,BX MUSCLE PERC NDL RT,"2,224.00",0,
53114302,BX BONE NDL SUPERFICIAL LT,"1,405.00",0,
53114401,BX BONE NDL SUPERFICIAL RT,"1,405.00",0,
53114906,BX LUNG/MED NDL PERC LT,"2,158.00",0,
53115002,BX LUNG/MED NDL PERC RT,"2,158.00",0,
53115101,DRAIN RENAL ABSCESS PERC LT,"1,496.00",0,
53115200,DRAIN RENAL ABSCESS PERC RT,"1,496.00",0,
53115309,BX RENAL PERC NDL LT,"1,187.00",0,
53115408,BX RENAL PERC NDL RT,757.00,0,
53115507,INJ/ASP RENAL CYST PERC NDL LT,"2,072.00",0,
53115606,INJ/ASP RENAL CYST PERC NDL RT,"2,072.00",0,
53116109,US EYE B SCAN LT,618.00,0,
53116208,US EYE B SCAN RT,618.00,0,
53117107,US BREAST LT,632.00,0,
53117206,US BREAST RT,632.00,0,
53117305,US EXT LOW NONVASC LT,"1,244.00",0,
53117404,US EXT UP NONVASC LT,"1,190.00",0,
53117503,US EXT LOW NONVASC RT,"1,190.00",0,
53117602,US EXT UP NONVASC RT,"1,181.00",0,
53117701,DUPLEX CAROTIDS UNI LT,618.00,0,
53117800,DUPLEX CAROTIDS UNI RT,618.00,0,
53117909,DUPLEX ART EXT LOW UNI LT,707.00,0,
53118006,DUPLEX ART EXT LOW UNI RT,707.00,0,
53118105,DUPLEX ART EXT UP UNI LT,524.00,0,
53118204,DUPLEX ART EXT UP UNI RT,524.00,0,
53118303,DUPLEX EXT VEINS UNI/LTD LT,643.00,0,
53118402,DUPLEX EXT VEINS UNI/LTD RT,643.00,0,
53118550,PLACEMENT GW BREAST PREOP BIL,"1,103.00",0,
53171203,US BREAST LT LTD,944.00,0,
53171302,US BREAST RT LTD,480.00,0,
53171401,US EXT LOW NONVASC LT LTD,"1,244.00",0,
53171500,US EXT UP NONVASC LT LTD,834.00,0,
53171609,US EXT LOW NONVASC RT LTD,"1,181.00",0,
53171708,US EXT UP NONVASC RT LTD,932.00,0,
53171807,FNA W/IMAGING GUIDANCE,"6,365.00",0,
53171906,BX BREAST OPEN INCISION LT,"5,075.00",0,
53172003,BX BREAST OPEN INCISION RT,"5,075.00",0,
53172508,BX THYROID PERC NDL LT,513.00,0,
53172607,BX THYROID PERC NDL RT,513.00,0,
53172706,DUPLEX SCAN HEMODIAL ACC LT,"1,117.00",0,
53172805,DUPLEX SCAN HEMODIAL ACC RT,"1,117.00",0,
53172904,MEASURE RESIDUAL URINE,480.00,0,
53173001,BX BREAST NDL CORE BIL,"2,217.00",0,
53173209,BIOPHYSICAL W/O STRESS 1 FETUS,772.00,0,
53173308,BX BREAST NDL W/GUIDE LT,"3,469.00",0,
53173407,BX BREAST NDL W/GUIDE RT,"3,469.00",0,
53173506,BX BREAST NDL W/GUIDE BIL,"2,217.00",0,
53173605,BX BREAST VACUUM W/GUIDE LT,"1,266.00",0,
53173704,BX BREAST VACUUM W/GUIDE RT,"1,266.00",0,
53173803,BX BREAST VACUUM W/GUIDE BIL,"1,206.00",0,
53173969,ASPIR CYST BREAST INITL BIL,"7,070.00",0,
53174009,US TRANSRECTAL,"1,791.00",0,
53174033,US OB < 14WKS SNGL FETUS,"1,791.00",0,
53174041,US OB < 14WKS EA ADDL FETUS,"1,222.00",0,
53174058,US OB DETAILED SNGL FETUS,"2,747.00",0,
53174066,US OB DETAILED EA ADDL FETUS,"2,444.00",0,
53174074,US OB TRANSVAGINAL,"2,444.00",0,
53174108,US GUIDE VASC ACCESS W/RPT +ON,"2,158.00",0,
53174124,DOPPLER COLOR FLOW ADDON,"1,204.00",0,
53174181,BX THYROID PERC NDL BIL,"2,356.00",0,
53174330,INSERT PICVC W/O PORT 5YR+,"4,207.00",0,
53174421,DOPPLER ECHO COMP PRO,1.00,0,
53174447,DOPPLER ECHO LTD ADDON PRO,669.00,0,
53174454,DOPPLER COLOR FLOW PRO,1.00,0,
53174488,BIOPHYSICAL W/O STRESS + FETUS,"1,014.00",0,
53174579,PUNCT/ASPIR ABSCESS HEMAT CYST,862.00,0,
53174587,US KIDNEY TRANSPLNT W/DOPPLER,"2,028.00",0,
53174637,CHOLECYSTOSTOMY PERC,"12,436.00",0,
53174702,TTE W/O DOPPLER COMP PRO,1.00,0,
53174710,TTE FOLLOW UP OR LIMITED,"1,806.00",0,
53174728,ECHO TRANSESOPHAGEAL,"6,330.00",0,
53174736,ECHO TRANSESOPHAGEAL PROFEE,1.00,0,
53174744,TTE STRESS ECHO W/O CONTRAST,"1,756.00",0,
53174819,US AORTA,617.00,0,
53174835,DUPLEX SAPHENOUS VEIN MAP BIL,"1,796.00",0,
53174843,DUPLEX SAPHENOUS VEIN UNI/LAT,"1,639.00",0,
53174918,TTE FOLLOWUP OR LIMITED PROFEE,1.00,0,
53174983,INJ/ASPIR JNT/BURSA MAJOR RT,"1,297.00",0,
53175014,DUPLEX EXT UP VEINS COMP BIL,"1,067.00",0,
53175089,INJ/ASPIR JNT/BURSA MAJOR BIL,"2,595.00",0,
53175097,BX RENAL PERC NDL BIL,"7,074.00",0,
53175113,DUPLEX EXT LOW VEINS COMP BIL,"1,067.00",0,
53175121,DRAIN LIVER ABSC PERC,"9,267.00",0,
53175196,MODERATE SEDATION EA ADD 15MIN,11.00,0,
53175220,US EXAM FOR AAA SCREEN,"1,495.00",0,
53175238,PARACENTESIS ABD W/O IMAGE,"2,929.00",0,
53175246,PARACENTESIS ABD W/IMAGE,"3,531.00",0,
53175253,PERITONEAL LAVAGE W/WO IMAGE,"3,531.00",0,
53175279,US RENAL,976.00,0,
53175345,VESSEL MAPPING FOR HEMO ACCESS,"1,266.00",0,
53175485,BX BREAST NDL W/GUIDE LT EA AD,"6,000.00",0,
53175493,BX BREAST NDL W/GUIDE RT EA AD,"6,000.00",0,
53175725,ULTRASOUND ONLY STAT ORDER,,2,Statistical Charge 
53175790,STRESS TTE COMPLETE,"2,339.00",0,
53175808,TTE CONG ABN COMP W/CONTRST,"3,416.00",0,
53175816,TTE CONG ABN  W/CONTRST LTD,"3,416.00",0,
53175824,TTE W/DOPPLER COMPLETE W/CON,"3,416.00",0,
53175832,LUMASON CONTRAST PER 1ML,100.00,0,
53175840,MODERATE SEDATION <5YRS 15MIN,134.00,0,
53175857,MODERATE SEDATION >5YRS 15MIN,134.00,0,
53175865,TEE PROBE PLACE I/RPT NO CON,"3,479.00",0,
53175873,TEE PROBE PLACE I/RPT W/CON,"3,479.00",0,
53175881,US GUIDE PARENCH TISS ABLATE,"7,094.00",0,
53200150,THORACENTESIS W/CHEST TUBE,"2,329.00",0,
53200309,ESOPHAGOSCOPY W/DILATE <30MM,"1,111.00",0,
53200358,ESOPHAGOSCOPY OTW W/DILATE,"1,111.00",0,
53200408,ERCP DX,697.00,0,
53200457,DILATION ESOPH OTW,782.00,0,
53200507,DILATION ESOPH BAL RETROGRADE,866.00,0,
53200606,INSERT G TUBE PERC W/FLUORO,"1,236.00",0,
53200705,REPOSITION GASTIC FEED TUBE,554.00,0,
53200754,INTRO LONG GI TUBE,149.00,0,
53201059,INJ LOOPOGRAM/ILEAL CONDUIT,229.00,0,
53201109,INJ VCUG/CYSTOGRAM,264.00,0,
53201158,INJ RETRO URETHROCYSTOGRAM,181.00,0,
53201208,INJ HYSTEROSALPINGOGRAM,683.00,0,
53201257,INJ C1-2 FOR DX OR RX,610.00,0,
53201356,INJ DISKOGRAM LUMB EA LEV,"1,285.00",0,
53201406,INJ DISKOGRAM CERV/THOR EA LEV,618.00,0,
53201554,CISTERNOGRAM  S/I,993.00,0,
53201604,XR MANDIBLE LTD < 4V,561.00,0,
53201653,XR MANDIBLE COMP 4V,"1,096.00",0,
53201703,XR MASTOIDS LTD < 3V,449.00,0,
53201752,XR MASTOID COMP 3V,782.00,0,
53201851,XR FACIAL BONES < 3V,867.00,0,
53201901,XR FACIAL BONES COMP 3V,"1,066.00",0,
53201950,XR NOSE NASAL BONES 3V,756.00,0,
53202107,XR ORBITS 4V,"1,022.00",0,
53202156,XR SINUSES < 3V,567.00,0,
53202206,XR SINUSES COMP 3V,984.00,0,
53202255,XR SELLA TURCICA,264.00,0,
53202305,XR SKULL < 4 VIEWS,732.00,0,
53202354,XR SKULL COMP 4V,"1,247.00",0,
53202453,XR TEETH LESS THAN FULL MOUTH,678.00,0,
53202503,XR TEETH FULL MOUTH,915.00,0,
53202552,XR TMJ OPEN AND CLOSED BIL,352.00,0,
53202651,XR PANOREX/ORTHOPANTOGRAM,456.00,0,
53202701,XR SOFT TISSUE NECK,687.00,0,
53202750,XR PHARYNX/LARYNX,395.00,0,
53202800,XR PHARYNX W/ VIDEO CINE,915.00,0,
53202958,XR CHEST 1V,542.00,0,
53203055,XR CHEST 2V,737.00,0,
53203105,XR CHEST PA/LA W/APICAL LOR,768.00,0,
53203154,XR CHEST PA/LA W/OBLIQUES,647.00,0,
53203204,XR CHEST PA/LA W/FLUORO,626.00,0,
53203253,XR CHEST 4V COMP,932.00,0,
53203352,XR CHEST LAT DECUB LT,551.00,0,
53203402,XR CHEST LAT DECUB RT,551.00,0,
53203451,XR CHEST LAT DECUB BIL,534.00,0,
53203659,XR RIBS BIL 3V,"1,366.00",0,
53203709,XR RIBS BIL W/PA CHEST MIN 4V,"1,569.00",0,
53203758,XR STERNUM 2V,683.00,0,
53203808,XR STERNOCLAVIC JT 3V,309.00,0,
53203857,XR SPINE AP/LAT COMP,653.00,0,
53203907,XR C-SPINE 1V,609.00,0,
53203956,XR L-SPINE 1V,569.00,0,
53204004,XR T-SPINE 1V,625.00,0,
53204053,XR C-SPINE 2V,737.00,0,
53204103,XR C-SPINE 3V,741.00,0,
53204152,XR C-SPINE MIN 4V,"1,276.00",0,
53204202,XR C-SPINE COMP,"1,424.00",0,
53204251,XR T-L SPINE SCOLIOSIS STAND,421.00,0,
53204301,XR T-SPINE 2V,925.00,0,
53204350,XR T-SPINE 3V,969.00,0,
53204400,XR T-SPINE MIN 4V,859.00,0,
53204459,XR T-L SPINE 2V,920.00,0,
53204509,XR SCOLIOSIS FLAT/UPRT,698.00,0,
53204558,XR L-S SPINE 2V-3V,825.00,0,
53204608,XR L-S SPINE MIN 4V,"1,293.00",0,
53204657,XR L-S SPINE COMP/BENDING,"1,698.00",0,
53204756,XR PELVIS 1V-2V,638.00,0,
53204806,XR PELVIS MIN 3V,"1,101.00",0,
53204855,XR SI JT < 3V,258.00,0,
53204905,XR SI JT MIN 3V,790.00,0,
53204954,XR COCCYX/SACRUM 2V,732.00,0,
53205001,MYELOGRAPHY CERVICAL S/I,"1,682.00",0,
53205050,MYELOGRAPHY THORACIC S/I,"1,424.00",0,
53205100,MYELOGRAPHY LUMBAR S/I,"1,480.00",0,
53205209,EPIDUROGRAPHY S/I,"2,200.00",0,
53205308,DISKOGRAPHY LUMBAR  S/I,"2,223.00",0,
53205357,XR AC JOINT BIL,687.00,0,
53205407,XR HIPS W/AP PELVIS MIN 2V EA,"1,630.00",0,
53205456,XR PELVIS/HIPS INFANT MIN 2V,887.00,0,
53205506,XR KNEES STANDING AP BIL,746.00,0,
53205555,XR ABD SNGL AP V,576.00,0,
53205605,XR ABD SNGL AP OBLQ/CONE,875.00,0,
53205654,XR ABD DECUB/ERECT 2V,861.00,0,
53205704,XR ABD DECUB/ERECT 3V,854.00,0,
53205753,XR ABD COMP SERIES W/CHEST,"1,027.00",0,
53205803,PERITONEOGRAM S/I,"2,101.00",0,
53205852,XR ESOPHAGUS CERV/PHARYNX,834.00,0,
53205902,XR ESOPHAGUS,799.00,0,
53205951,XR ESOPHAGUS SWALLOW FX,721.00,0,
53206009,REMOVE FB ESOPHAGUS S/I,"1,111.00",0,
53206058,XR UGI W/O KUB,"1,391.00",0,
53206108,XR UGI W/ KUB,"1,836.00",0,
53206157,XR UGI W/ SM BOWEL SERIES,"2,418.00",0,
53206207,XR UGI AIR CON W/O KUB,"1,324.00",0,
53206256,XR UGI AIR CON W/ KUB,"2,080.00",0,
53206306,XR UGI AIR CON W/SM BOWEL,"1,979.00",0,
53206355,XR SM BOWEL SERIES,985.00,0,
53206405,XR SM BOWEL THRU ENTEROCLYSIS,974.00,0,
53206504,XR BARIUM ENEMA W/WO KUB,962.00,0,
53206553,XR BARIUM ENEMA W/ AIR CON,"1,236.00",0,
53206751,CHOLANGIOGRAM INTRAOP INIT S/I,745.00,0,
53206801,CHOLANGIOGRAM INTRAOP ADDL S/I,692.00,0,
53206900,CATH ENDO BIL DUCT S/I,819.00,0,
53206959,CATH ENDO PANC DUCT S/I,819.00,0,
53207007,CATH ENDO BIL/PANC S/I,"1,253.00",0,
53207056,INSERT GI TUBE S/I,"1,283.00",0,
53207205,IVP W/WO KUB OR TOMOGRHY,"1,887.00",0,
53207254,IVP INFUSION,954.00,0,
53207304,IVP W/ NEPHROTOMOGRAM,"2,303.00",0,
53207353,UROGRAPHY RETROGRADE,663.00,0,
53207403,UROGRAPHY ANTEGRADE S/I,947.00,0,
53207452,CYSTOGRAM MIN 3V S/I,867.00,0,
53207551,URETHROCYSTOGRM RETROGRADE S/I,"1,090.00",0,
53207601,URETHROCYSTOGRAM VOID S/I,"1,285.00",0,
53207650,PELVIMETRY,572.00,0,
53207700,HYSTEROSALPINGOGRAM S/I,"1,241.00",0,
53207759,CATH TRANSCERV FALLOP TUBE S/I,"2,198.00",0,
53207858,VENOGRAM EXT BIL S/I,"3,090.00",0,
53207908,FLUORO SEPARATE PX <60MIN,"1,250.00",0,
53208005,FLUORO GUIDE NDL BIOPSY/FNA,947.00,0,
53208054,FLUORO GUIDE FOR SPINE INJECTN,785.00,0,
53208153,XR FB SEARCH ENTIRE BODY CHILD,510.00,0,
53208203,BONE AGE STUDY,539.00,0,
53208252,BONE LENGTH STUDY,899.00,0,
53208302,BONE SURVEY LTD,311.00,0,
53208351,BONE SURVEY COMP,"1,029.00",0,
53208401,BONE SURVEY INFANT,700.00,0,
53208500,DXA STUDY,"1,111.00",0,
53208559,DXA APPENDICULAR,294.00,0,
53208658,DUCTOGRAM MAMMARY MULTI S/I,"1,316.00",0,
53208807,XR 1 PLANE BODY SECTION,741.00,0,
53209052,CONSULT XR DONE ELSEWHERE,68.00,0,
53209300,XR NOSE NASAL BONES LTD,544.00,0,
53209458,XR ORBITS 4V LTD,753.00,0,
53209557,XR TMJ OPEN AND CLOSED BIL LTD,581.00,0,
53209656,XR SOFT TISSUE NECK LTD,515.00,0,
53209953,XR RIBS BIL LTD,622.00,0,
53210050,XR STERNUM 2V LTD,490.00,0,
