ST ROSE HOSPITAL CHARGE MASTER 2019,,,
Charge Code,Charge Description,Hospital name,Charge amount 
0808253,POTASSIUM-24 HR URINE,ST ROSE HOSPITAL,$169.00 
0808279,PREALBUMIN,ST ROSE HOSPITAL,$113.00 
0808303,"PREGNANCY (HCG) SCREEN, URINE",ST ROSE HOSPITAL,$62.00 
0808352,"PREGNANCY (HCG) SCREEN, SERUM",ST ROSE HOSPITAL,$62.00 
0808600,LIPASE,ST ROSE HOSPITAL,$241.00 
0808634,"LDL CHOLESTEROL, DIR MEASURE2",ST ROSE HOSPITAL,$160.00 
0808659,PROTEIN-24 HOUR URINE,ST ROSE HOSPITAL,$134.00 
0808667,"PROSTATE SPECIFIC ANTIGEN,SCRN",ST ROSE HOSPITAL,$113.55 
0808675,"PROTEIN, FLUID, REFRACTOMETRIC",ST ROSE HOSPITAL,$114.00 
0808683,"PROSTATE SPECIFIC AG,MONITOR",ST ROSE HOSPITAL,$298.00 
0808709,PROTEIN TOTAL BLOOD,ST ROSE HOSPITAL,$114.00 
0808733,"PROTEIN-CSF, QUANTITATION",ST ROSE HOSPITAL,$171.00 
0808758,PRO TIME,ST ROSE HOSPITAL,$95.00 
0808774,PROTHROMBIN TIME - SERIES,ST ROSE HOSPITAL,$95.00 
0808790,"PRO TIME, SUBSTITUTE PL FACTOR",ST ROSE HOSPITAL,$216.00 
0808808,"THROMBOPLASTIN TIME, PARTIAL",ST ROSE HOSPITAL,$98.00 
0808824,"THROMBOPLASTIN TIME,PART (PTT)",ST ROSE HOSPITAL,$98.00 
0808832,RHEUM. ARTHRITIS FACTR TITER,ST ROSE HOSPITAL,$136.00 
0808840,PTT MIXING STUDY,ST ROSE HOSPITAL,$216.00 
0808857,"RHEUMATOID FACTOR,QUALITATIVE",ST ROSE HOSPITAL,$136.00 
0808873,Resp. Syncytial Virus Ag (RSV),ST ROSE HOSPITAL,$177.00 
0808907,"BLOOD SMEAR,RED CELL MORPH,MAN",ST ROSE HOSPITAL,$94.00 
0808923,RENAL FUNCTION PANEL,ST ROSE HOSPITAL,$356.00 
0808964,RETIC COUNT MANUAL,ST ROSE HOSPITAL,$171.00 
0809004,RUBELLA ANTIBODY,ST ROSE HOSPITAL,$52.00 
0809053,SALICYLATE,ST ROSE HOSPITAL,$205.00 
0809152,SEDIMENTATION RATE,ST ROSE HOSPITAL,$171.00 
0809202,"SEMEN ANAL,MOTILITY & COUNT",ST ROSE HOSPITAL,$89.00 
0809251,SEMEN ANAL,ST ROSE HOSPITAL,$206.00 
0809327,"SENSITIVITY,ANTIBIOTIC,MIC",ST ROSE HOSPITAL,$191.00 
0809806,COMPREHENSIVE METABOLIC PANEL,ST ROSE HOSPITAL,$422.00 
0809954,AFB (TB) SMEAR,ST ROSE HOSPITAL,$112.00 
0809955,LABCOPR - AFB (TB) SMEAR,ST ROSE HOSPITAL,$112.00 
0810002,GRAM STAIN,ST ROSE HOSPITAL,$79.00 
0810051,SODIUM-SERUM,ST ROSE HOSPITAL,$171.00 
0810077,SODIUM-URINE,ST ROSE HOSPITAL,$171.00 
0810085,SODIUM-24 HOUR URINE,ST ROSE HOSPITAL,$171.00 
0810101,"SPECIFIC GRAVITY, EXCEPT URINE",ST ROSE HOSPITAL,$44.00 
0810150,HANDLING AND/OR CONVEYANCE FEE,ST ROSE HOSPITAL,$73.00 
0810309,STREPTOCOCCUS GRP A SCREEN,ST ROSE HOSPITAL,$115.00 
0810465,T4 - FREE,ST ROSE HOSPITAL,$246.00 
0810473,THYROID STIMULATING HORMO(TSH),ST ROSE HOSPITAL,$111.00 
0810481,"GONADOTROPIN, CHORIONIC;QUANT",ST ROSE HOSPITAL,$182.00 
0810556,THEOPHYLLINE,ST ROSE HOSPITAL,$376.00 
0810606,THROMBIN TIME,ST ROSE HOSPITAL,$82.00 
0810671,TRIGLYCERIDES,ST ROSE HOSPITAL,$181.00 
0810689,"TRIGLYCERIDES, OTHER FLUID",ST ROSE HOSPITAL,$181.00 
0810697,TROPONIN-I,ST ROSE HOSPITAL,$134.00 
0810705,TRANSFERASE;ASP.AMINO(SGOT),ST ROSE HOSPITAL,$205.00 
0810713,TRANSFERRIN,ST ROSE HOSPITAL,$132.00 
0810754,TRANSFERASE;ALA. AMINO(SGPT),ST ROSE HOSPITAL,$205.00 
0810952,"URIC ACID, SERUM",ST ROSE HOSPITAL,$200.00 
0811000,"URINALYSIS, AUTO W/O MICRO",ST ROSE HOSPITAL,$70.00 
0811018,"GLYCOHEMOGLOBIN (HbA,C)",ST ROSE HOSPITAL,$239.00 
0811034,"URINALYSIS, AUTO WITH MICRO",ST ROSE HOSPITAL,$120.00 
0811059,UA/CULTURE PROTOCOL,ST ROSE HOSPITAL,$70.00 
0811083,URINE MICROSCOPIC ONLY,ST ROSE HOSPITAL,$50.00 
0811091,URINE MICROSCOPIC,ST ROSE HOSPITAL,$50.00 
0811109,VANCOMYCIN-TROUGH,ST ROSE HOSPITAL,$391.00 
0811125,VALPROIC ACID,ST ROSE HOSPITAL,$357.00 
0811158,VANCOMYCIN-PEAK,ST ROSE HOSPITAL,$391.00 
0811208,VITAMIN B12 (CYANOCOBALAMIN),ST ROSE HOSPITAL,$102.00 
0811224,CORONARY RISK PANEL,ST ROSE HOSPITAL,$152.00 
0811257,VITAMIN B12/FOLIC ACID,ST ROSE HOSPITAL,$203.21 
0811505,"VOLUME MEASURE, TIMED COLLECTN",ST ROSE HOSPITAL,$38.00 
0811703,WET MOUNT,ST ROSE HOSPITAL,$99.00 
0811752,WBC-STOOL,ST ROSE HOSPITAL,$79.00 
0812008,"LABCORP - ACID PHOS,PROSTATIC (VMH)",ST ROSE HOSPITAL,$10.49 
0812099,"LABCORP - AFB IDENT.,DNA PROBES (FOCUS)",ST ROSE HOSPITAL,$109.75 
0812123,MYCO.TUBERCULOSIS DNA/PCR(FOCUS),ST ROSE HOSPITAL,$321.84 
0812131,LABCORP - ALDOLASE,ST ROSE HOSPITAL,$5.14 
0812149,LABCORP - ALDOSTERONE,ST ROSE HOSPITAL,$21.00 
0812156,LABCORP - ALK PHOS ISOENZYME,ST ROSE HOSPITAL,$10.00 
0812206,LABCORP - ALPHA-FETO PROTEIN TUMOR,ST ROSE HOSPITAL,$9.75 
0812412,"LABCORP - CARCINOEMBRYONIC AG,OTHR(SPEC)",ST ROSE HOSPITAL,$21.86 
0812479,LABCORP - ANGIOTENSIN CONVRT ENZYM,ST ROSE HOSPITAL,$7.00 
0812503,LABCORP - DNA ANTIBODY DBL STRAND,ST ROSE HOSPITAL,$4.00 
0812651,IMMASSAY FOR ANALYTE OTH THAN INF AGENT,ST ROSE HOSPITAL,$12.00 
0812735,LABCORP - BETA-2-MICROGLOBULIN,ST ROSE HOSPITAL,$15.00 
0812776,"Biotinidase, NBS",ST ROSE HOSPITAL,$15.95 
0812842,LABCORP - CERULOPLASMIN,ST ROSE HOSPITAL,$6.00 
0812941,LABCORP - CARBOHYDRATE AG 19-9,ST ROSE HOSPITAL,$6.00 
0812974,LABCORP - C1 ESTERASE INHIBITOR,ST ROSE HOSPITAL,$34.29 
0812982,LABCORP - CA-125,ST ROSE HOSPITAL,$6.00 
0813105,LABCORP - CALCIUM - IONIZED,ST ROSE HOSPITAL,$8.00 
0813121,"LABCORP - CALCIUM, 24-HR URINE",ST ROSE HOSPITAL,$6.00 
0813170,LABCORP - CANCER ANTIGEN 15-3,ST ROSE HOSPITAL,$14.25 
0813303,LABCORP - CATECHOLAMINES PLAS/FRE (MAYO),ST ROSE HOSPITAL,$30.00 
0813402,LABCORP - CARCINOEMBRYONIC AG CEA,ST ROSE HOSPITAL,$3.00 
0813477,LABCORP-CHLAMYDIA/GC GEN PROBE,ST ROSE HOSPITAL,$29.00 
0813662,LABCOCHLAMYDIA TRACHOMATIS AMPLIFIED RNA,ST ROSE HOSPITAL,$14.50 
0813691,CULTURE LEGIONELLA SCREEN,ST ROSE HOSPITAL,$22.50 
0813717,"Cytomegalovirus Ab,IgG (TORCH)",ST ROSE HOSPITAL,$34.80 
0813899,"LABCORP - COCCIDIOIDES AB,CSF",ST ROSE HOSPITAL,$72.00 
0814004,LABCORP - C3 COMPLEMENT,ST ROSE HOSPITAL,$4.00 
0814012,LABCORP-C-PEPTIDE,ST ROSE HOSPITAL,$14.25 
0814053,LABCORP - C4 COMPLEMENT,ST ROSE HOSPITAL,$4.00 
0814129,LABCORP - Cyclic Citrul. Peptide Ab,ST ROSE HOSPITAL,$15.00 
0814137,LABCORP - COMPLEMENT CH50,ST ROSE HOSPITAL,$5.00 
0814178,COXSACKIE A VIRUS AB PNL (FOCUS),ST ROSE HOSPITAL,$95.26 
0814186,COXSACKIE B VIRUS AB PNL (FOCUS),ST ROSE HOSPITAL,$95.26 
0814194,LABCORP - CYCLOSPORINE (CPMC),ST ROSE HOSPITAL,$20.00 
0814202,LABCORP-C-REACTIVE PROTEIN (NON-CARDIAC),ST ROSE HOSPITAL,$4.00 
0814210,CYCLOSPORINE (MAYO),ST ROSE HOSPITAL,$22.50 
0814277,LABCORP - DHEA SULFATE,ST ROSE HOSPITAL,$4.00 
0814400,LABCORP - EPSTEIN-BARR VIRUS PANEL,ST ROSE HOSPITAL,$61.00 
0814459,LABCORP - ERYTHROPOIETIN,ST ROSE HOSPITAL,$12.00 
0814509,"LABCORP - ESTRADIOL, SERUM",ST ROSE HOSPITAL,$21.50 
0814855,"LABCORP - T3, FREE, SERUM",ST ROSE HOSPITAL,$6.00 
0815001,LABCORP - FSH,ST ROSE HOSPITAL,$5.00 
0815035,"LABCORP - FRUCTOSAMINE, SERUM",ST ROSE HOSPITAL,$6.00 
0815043,LABCORP - FUNGUS IDENTIFICATION,ST ROSE HOSPITAL,$33.60 
0815100,LABCORP - GASTRIN,ST ROSE HOSPITAL,$9.00 
0815159,LABCORINFECTIOUS AGENT AG DETECT BY EIA,ST ROSE HOSPITAL,$17.15 
0815282,LABCORP - GLYCOMARK (TM),ST ROSE HOSPITAL,$27.50 
0815308,LABCORP - GLUCOSE 6 PHOSPHATASE,ST ROSE HOSPITAL,$10.72 
0815357,LABCORP - HAPTOGLOBIN,ST ROSE HOSPITAL,$7.75 
0815365,"LABCORP - HEPATITIS A AB, IgM",ST ROSE HOSPITAL,$7.43 
0815498,LABCORP - H.PYLORI BREATH TEST,ST ROSE HOSPITAL,$89.00 
0815530,"LABCORP - HEP B CORE AB, TOTAL",ST ROSE HOSPITAL,$7.00 
0815555,"LABCORP - HEP B CORE AB, IGM",ST ROSE HOSPITAL,$7.15 
0815621,HEPATITIS C PROBE&RVRS TRNSC,ST ROSE HOSPITAL,$175.00 
0815639,HEPATITIS C REVRS TRNSCRP,ST ROSE HOSPITAL,$139.96 
0815647,LABCORP - HEPATITIS BE ANTIBODY,ST ROSE HOSPITAL,$6.00 
0815654,LABCORP-HEPATITIS BE ANTIGEN,ST ROSE HOSPITAL,$21.49 
0815696,LABCORP - HEPATITIS B PANEL,ST ROSE HOSPITAL,$39.68 
0815704,LABCORP - ACUTE HEPATITIS PANEL (MAYO),ST ROSE HOSPITAL,$28.72 
0815894,"HGB FRACTN & TOT, CHROMATOG",ST ROSE HOSPITAL,$15.95 
0815951,"LABCORP - ANTIBODY, HISTOPLASMA",ST ROSE HOSPITAL,$25.33 
0816009,LABCORP - HLA-B27,ST ROSE HOSPITAL,$30.00 
0816090,"LABCORP - HOMOCYSTEINE, PLASMA (STANFORD",ST ROSE HOSPITAL,$18.00 
0816124,"HYDROXYPROGESTERONE, 17d (SMC)",ST ROSE HOSPITAL,$15.95 
0816157,LABCORP - IMMUNOGLOBULIN A,ST ROSE HOSPITAL,$5.00 
0816207,LABCORP - IMMUNOGLOBULIN E,ST ROSE HOSPITAL,$4.35 
0816256,LABCORP - IMMUNOGLOBULIN G,ST ROSE HOSPITAL,$4.00 
0816355,LABCORP - IMMUNOGLOBULIN M,ST ROSE HOSPITAL,$5.00 
0816488,"Immunoreactive Trypsinogen,NBS RIA",ST ROSE HOSPITAL,$15.95 
0816900,"LABCORP - LEAD, BLOOD QUANT",ST ROSE HOSPITAL,$3.15 
0816918,"LABCORP - LEGIONELLA AG,URINE",ST ROSE HOSPITAL,$9.00 
0816959,LABCORP - LUTEINIZING HORMONE (STL),ST ROSE HOSPITAL,$3.00 
0817031,LABCORP - LIPOPROTEIN (A),ST ROSE HOSPITAL,$16.00 
0817080,LABCORP - LITHIUM LEVEL,ST ROSE HOSPITAL,$6.00 
0817205,LABCORP - METANEPHERINES -TOT URIN,ST ROSE HOSPITAL,$21.90 
0817270,"LABCORP - MYCOPLASMA PNEUMONIAE AB, IgG",ST ROSE HOSPITAL,$18.00 
0817288,"LABCORP - MYCOPLASMA PNEUMONIAE AB, IgM",ST ROSE HOSPITAL,$18.00 
0817304,"LABCORP - MYOGLOBIN, SERUM",ST ROSE HOSPITAL,$30.00 
0817338,LABCORP - MYOGLOBIN -URINE,ST ROSE HOSPITAL,$21.00 
0817353,LABCORP - OLIGOCLONAL BANDS -CSF,ST ROSE HOSPITAL,$83.81 
0817460,LABCORP - OVA & PARASITE EXAM,ST ROSE HOSPITAL,$10.00 
0817502,LABCORP - PARATHYROID HORMONE,ST ROSE HOSPITAL,$12.50 
0817726,LABCORP - LYME SEROLOGY BY ELISA,ST ROSE HOSPITAL,$9.00 
0817866,"LABCORP - PROTEIN ELECTRO,SERUM",ST ROSE HOSPITAL,$8.00 
0817908,"LABCORP - PROGESTERONE, SERUM",ST ROSE HOSPITAL,$4.00 
0817924,LABCORP - TACROLIMUS (PROGRAF),ST ROSE HOSPITAL,$32.00 
0817940,TANDEM MASS SPECTROMETRY (SMC),ST ROSE HOSPITAL,$16.00 
0817957,LABCORP - PROLACTIN,ST ROSE HOSPITAL,$5.50 
0818013,GALACTOSE-1-PHOSPHATE URIDYL,ST ROSE HOSPITAL,$15.95 
0818203,LABCORP-RENIN,ST ROSE HOSPITAL,$15.00 
0818252,"LABCORP - RUBEOLA (MEASLES)AB, IGG",ST ROSE HOSPITAL,$3.00 
0818401,"LABCORP - T3, TOTAL",ST ROSE HOSPITAL,$4.00 
0818500,LABCORP - TESTOSTERONE TOT & FREE,ST ROSE HOSPITAL,$10.00 
0818559,"LABCORP-TOXOPLASMA AB, G&M",ST ROSE HOSPITAL,$29.08 
0818583,THYROID STIM HORMONE (TSH)(SMC,ST ROSE HOSPITAL,$15.95 
0818872,VDRL -CSF (LCA),ST ROSE HOSPITAL,$9.33 
0819151,LABCORP - VANILYLMANDELIC ACID,ST ROSE HOSPITAL,$12.00 
0819201,"LABCORP - ZINC LEVEL, serum",ST ROSE HOSPITAL,$5.00 
0850008,ABO GROUP,ST ROSE HOSPITAL,$380.20 
0870238,"PEDI VENIPUNCTURE, < 2 MONTHS",ST ROSE HOSPITAL,$18.90 
0870857,VENIPUNCTURE,ST ROSE HOSPITAL,$13.05 
0870873,"BLOOD DRAW, CHAIN-OF-CUSTODY",ST ROSE HOSPITAL,$28.73 
0870899,COLLECTION OF CAPILLARY BLOOD,ST ROSE HOSPITAL,$6.00 
0870900,STREP A SCREEN,ST ROSE HOSPITAL,$81.60 
0870901,RSV ANTIGEN,ST ROSE HOSPITAL,$81.80 
0870902,INFULENZA A. ANTIGEN,ST ROSE HOSPITAL,$81.80 
0870903,INFUENZA B. ANTIGEN,ST ROSE HOSPITAL,$81.80 
0870915,STOOL ENTERIC PATHOGEN BY PCR,ST ROSE HOSPITAL,"$1,171.08 "
0870917,INFLU B ANTIGEN IF/SOFIA,ST ROSE HOSPITAL,$40.17 
0870918,INFLU A ANTIGEN IF/SOFIA,ST ROSE HOSPITAL,$37.00 
0870920,RSV DETECTION IF/SOFIA,ST ROSE HOSPITAL,$37.00 
0870921,RESP VIRUS 3-11 TARGETS,ST ROSE HOSPITAL,$879.90 
0870922,DRUG TEST PRSMY CHEM ANALYZER,ST ROSE HOSPITAL,$394.05 
0870923,"LABCORP ANTIFUNGAL SUSCEEP, FLUCONAZOLE",ST ROSE HOSPITAL,$125.00 
0870924,RESP VIRUS 12-25 TARGETS,ST ROSE HOSPITAL,"$2,572.75 "
0870925,RICKETTSIALL ABS RMSF IGG,ST ROSE HOSPITAL,$57.47 
0870926,RICKETTSIALL ABS RMSF IGM,ST ROSE HOSPITAL,$60.00 
0880000,"LABCORP - Varicella-Zoster V Ab, IgG",ST ROSE HOSPITAL,$3.00 
0880001,QUANTIFERON GOLD TB (LABCORP),ST ROSE HOSPITAL,$55.00 
0880004,HEPATITIS B SURFACE ANTIBODY (LABOCORP),ST ROSE HOSPITAL,$21.78 
0880005,AFB SMEAR (LABCORP),ST ROSE HOSPITAL,$11.25 
0880012,LABCORP- HIV CONFIRMATION,ST ROSE HOSPITAL,$35.00 
0880013,LABCORP-HIV CONFIRMATION,ST ROSE HOSPITAL,$35.00 
0880014,ID BY NUCLEIC ACID PROBE,ST ROSE HOSPITAL,$109.28 
0880015,ID BY NUCLEIC ACID PROBE ADDL,ST ROSE HOSPITAL,$109.28 
0880016,ACTH,ST ROSE HOSPITAL,$16.00 
0880017,HIV-1 RNA QUAL,ST ROSE HOSPITAL,$227.20 
0880018,"COMP FIXATION, LCA",ST ROSE HOSPITAL,$44.00 
0880019,"IMMUNODIFFUISON, DBLE, LCA",ST ROSE HOSPITAL,$36.00 
0903906,"CYTO CONCENTRATION, CYTOSPIN",ST ROSE HOSPITAL,$243.00 
0911503,BONE MARROW BIOPSY STAIN/INTR,ST ROSE HOSPITAL,$271.30 
0911776,BONE MARROW SMEAR INTERP ONLY,ST ROSE HOSPITAL,"$1,470.70 "
0911800,BONE MARROW ASPIR/STAIN/INTER,ST ROSE HOSPITAL,"$1,470.70 "
0911859,BONE MARROW NEEDLE BIOSPY,ST ROSE HOSPITAL,"$4,131.30 "
0911909,BONE MARROW BIOP INTPRT ONLY,ST ROSE HOSPITAL,$449.06 
0911958,CYTOPATHOLOGY SMEAR/INTERP/FW,ST ROSE HOSPITAL,$243.00 
0912006,"CYTO FLDS,FILTER ONLY W/INTERP",ST ROSE HOSPITAL,$243.00 
0912030,"CYTO FLDS,SMR,FLTR PREP,INTERP",ST ROSE HOSPITAL,$325.36 
0912055,SURG PATH EA/ADD TISSUE FROZ,ST ROSE HOSPITAL,$152.00 
0912071,IMMUNOHISTO ANTIBODY SLIDE,ST ROSE HOSPITAL,$117.16 
0912204,SEX CHROMATIN ID,ST ROSE HOSPITAL,$325.00 
0912253,UNLISTED SURG PATH PROCEDURE,ST ROSE HOSPITAL,$271.30 
0912303,SURG PATH W/FRZN SEC-SGL SPEC,ST ROSE HOSPITAL,$918.10 
0912360,SPECIAL STAIN GRP-1,ST ROSE HOSPITAL,$271.30 
0912386,SPECIAL STAINS GRP-2,ST ROSE HOSPITAL,$271.30 
0912402,GRP I - GROSS ONLY,ST ROSE HOSPITAL,$146.15 
0912451,GRP 2 GROSS & MICRO,ST ROSE HOSPITAL,$138.00 
0912501,GRP-3 SURG/PATH /UNCOMP ABNOR,ST ROSE HOSPITAL,$400.00 
0912550,GRP 4 SING/COMP/MULTI/DISSECT,ST ROSE HOSPITAL,$382.00 
0912600,GRP 5 UNCOMP/WITH DISSECTION,ST ROSE HOSPITAL,$918.10 
0912659,GRP 6 COMPLEX W/WO DISSECTION,ST ROSE HOSPITAL,"$1,470.70 "
0912816,SMEARS (PAP) OTHER SOURCES,ST ROSE HOSPITAL,$147.00 
0912824,"PREPARATION, SCREEN, INTER",ST ROSE HOSPITAL,$147.00 
0912857,CYTO FNA INTERPRETATION & RPT,ST ROSE HOSPITAL,$402.00 
0912907,CYTO EVAL OF SPECIMEN ADEQ,ST ROSE HOSPITAL,$271.30 
0912931,UNLISTED CYTO PROCEDURE,ST ROSE HOSPITAL,$271.30 
0912956,"FINE NEEDLE ASP,SUPFCL TISSUE",ST ROSE HOSPITAL,"$1,415.15 "
0913053,CONSULT OF REFERRED SLIDES,ST ROSE HOSPITAL,$146.15 
0913202,CONSULTATION/DURING SURGERY,ST ROSE HOSPITAL,$96.15 
0914002,GR 1 SUBMITTED SURG,ST ROSE HOSPITAL,$146.15 
0914051,GRP 2 SUBMITTED SURG PATH,ST ROSE HOSPITAL,$146.15 
0914101,GRP 3 SUBMITTED SURG PATH,ST ROSE HOSPITAL,$271.30 
0914150,GRP 4 - SUBMITTED SURG PATH,ST ROSE HOSPITAL,$271.30 
0914168,"GRP 4 - SUB SURG PATH, DERM",ST ROSE HOSPITAL,$271.30 
0914200,GRP 5 - SUBMITTED SURG PATH,ST ROSE HOSPITAL,$918.10 
0914607,"THIN PREP PROCESSING, CALPATH",ST ROSE HOSPITAL,$38.00 
0959106,TRANSFUSION RX WORKUP INTERP,ST ROSE HOSPITAL,$900.18 
1000058,BLOOD GAS MIXED WO 02 SAT,ST ROSE HOSPITAL,$622.00 
1000132,BRONCHOSCOPY WITH BRUSHINGS,ST ROSE HOSPITAL,"$5,273.55 "
1000143,BRONCHOSCOPY CLEAR AIRWAYS,ST ROSE HOSPITAL,"$3,003.09 "
1000154,TRACHEO BRONCHOSCOPY,ST ROSE HOSPITAL,"$3,232.05 "
1000207,PFT - DLCO (DIFF. CAP LUNG CO),ST ROSE HOSPITAL,$700.00 
1000355,PFT - LUNG VOLUMES (HE FRC),ST ROSE HOSPITAL,$806.10 
1000652,PFT - SCREENING SPIROMETRY,ST ROSE HOSPITAL,$407.00 
1000751,PFT - SPIROMETRY/A&P BRONCHO,ST ROSE HOSPITAL,$773.00 
1000819,BRONCH SET UP,ST ROSE HOSPITAL,$270.42 
1000827,BRONCH BIOPSY W/FLURO,ST ROSE HOSPITAL,"$2,821.00 "
1001007,CO-OXIMETRY,ST ROSE HOSPITAL,$151.00 
1001205,CARBOXYHEMOGLOBIN,ST ROSE HOSPITAL,$162.00 
1001924,CORD PH,ST ROSE HOSPITAL,$386.00 
1002401,PFT VITAL CAPACITY ONLY,ST ROSE HOSPITAL,$806.10 
1005206,BRONCH WITH OR W/O WASHING,ST ROSE HOSPITAL,"$5,273.55 "
1005222,BRONCH W/ ALVEOLAR LAVAGE,ST ROSE HOSPITAL,"$3,003.51 "
1005305,BRONCHOSCOPY WITH BRUSH WASH BIOPSY,ST ROSE HOSPITAL,"$5,273.55 "
1005316,ABG BLOOD DRAW,ST ROSE HOSPITAL,$658.45 
1005347,PULSE OX - MULTIPLE,ST ROSE HOSPITAL,$319.00 
1005368,"UNLISTED PROCEDURE, TRACHEA BRONCHI",ST ROSE HOSPITAL,"$7,479.30 "
1005370,OXYGEN UPTAKE TEST,ST ROSE HOSPITAL,$705.00 
1005461,CARBOXYHEMOGLOBIN transq,ST ROSE HOSPITAL,$33.00 
1005511,METHEMOGLOBIN QT TRANCUT,ST ROSE HOSPITAL,$61.00 
1005560,HGB NON INVASIVE,ST ROSE HOSPITAL,$61.00 
1005636,PLETHYSMOGRAPHYAND AIRWAY RESISTANCE,ST ROSE HOSPITAL,$806.10 
1150002,BLOOD TYPING; ABO,ST ROSE HOSPITAL,$380.20 
1150010,"ANTIBODY ID,RBC ANTIBODIES",ST ROSE HOSPITAL,$918.10 
1150028,ABO/RH-CORD BLOOD,ST ROSE HOSPITAL,$380.20 
1150200,COMPAT TEST;ANTIGLOBULIN TECHQ,ST ROSE HOSPITAL,$773.00 
1150226,COMPAT TEST;IMMEDIATE SPIN,ST ROSE HOSPITAL,$382.00 
1150283,"ANTIHUMAN GLOBULN, MONO, IGG",ST ROSE HOSPITAL,$625.35 
1150309,ANTIHUMAN GLOBULIN TEST,ST ROSE HOSPITAL,$625.35 
1150317,ANTIHUMAN GLOB(COOMBS)CORD BLD,ST ROSE HOSPITAL,$625.35 
1150358,"FROZEN PLASMA THAWING, EACH UNIT",ST ROSE HOSPITAL,$541.00 
1150408,ANTIBODY SCREEN,ST ROSE HOSPITAL,$210.00 
1150556,BLOOD TYPING;RH,ST ROSE HOSPITAL,$380.20 
1150655,Rho Immune Globulin 0562-7805-25,ST ROSE HOSPITAL,$400.00 
1150663,RHOGAM-PRENATAL,ST ROSE HOSPITAL,$423.51 
1150705,FETAL SCREEN,ST ROSE HOSPITAL,$290.00 
1150721,"HEMOGLOBIN FETAL,CHEM DIFF LYS",ST ROSE HOSPITAL,$290.00 
1150747,"APT FOR FETAL HGB,FECES/VOMIT",ST ROSE HOSPITAL,$330.00 
1150903,ANTIGEN SCREEN COMPAT BLOOD,ST ROSE HOSPITAL,$380.20 
1150952,"POOLING OF PLATLETS, OTHER BL",ST ROSE HOSPITAL,$625.35 
1151000,TRANSFUSION RXN WORK-UP,ST ROSE HOSPITAL,$918.10 
1151059,TRANSFUSION RXN  EXTENDED,ST ROSE HOSPITAL,$972.40 
1155001,"RED BLOOD CELLS, PACKED",ST ROSE HOSPITAL,$946.85 
1200773,OCCUPATIONAL HEALTH EKG,ST ROSE HOSPITAL,$173.00 
1200906,ECG MONIT/REPRT UP TO 48,ST ROSE HOSPITAL,"$1,057.00 "
1200914,CARDIOLOGY EXERCISE TEST PULM,ST ROSE HOSPITAL,"$2,198.00 "
1200922,CARDIOVASCULAR STRESS TEST,ST ROSE HOSPITAL,"$2,232.00 "
1201003,EKG RHYTHM-STRIP,ST ROSE HOSPITAL,$341.00 
1201052,ROUTINE EKG,ST ROSE HOSPITAL,$659.00 
1201102,ROUTINE EKG ED,ST ROSE HOSPITAL,$659.00 
1204701,COMPLETE DOPPLER,ST ROSE HOSPITAL,$426.90 
1204957,STRESS ECHO W MONITOR & SUPERV,ST ROSE HOSPITAL,"$5,282.00 "
1301605,EEG AWAKE (DROWSY,ST ROSE HOSPITAL,"$1,826.00 "
1301704,EEG SLEEP OR COMA,ST ROSE HOSPITAL,"$2,058.00 "
1400023,XR CHEST 1 V B READ,ST ROSE HOSPITAL,$557.00 
1400100,KUB ABD AP SINGLE,ST ROSE HOSPITAL,$369.00 
1400258,ABDOMEN PORT 1 VIEW,ST ROSE HOSPITAL,$369.00 
1400316,ARTERIO EXTREMITY SURGICAL,ST ROSE HOSPITAL,"$12,797.10 "
1400456,SHOULDER AC JOINTS W WEIGHTS,ST ROSE HOSPITAL,$747.00 
1400514,CAROTID CERVICAL ANGIO S&I,ST ROSE HOSPITAL,"$26,612.60 "
1400589,SKELETAL SURVEY,ST ROSE HOSPITAL,"$1,884.00 "
1401256,PELVIS 1 OR 2 VIEWS,ST ROSE HOSPITAL,$577.00 
1401355,BONE AGE,ST ROSE HOSPITAL,$592.00 
1401454,MAMMO BREAST SURG SPECIMEN,ST ROSE HOSPITAL,"$1,684.50 "
1401504,MAMMOGRAM GALACTOGRAM MULTI,ST ROSE HOSPITAL,"$1,684.50 "
1401512,MAMM GALACTOGRAM SINGLE S&I,ST ROSE HOSPITAL,"$1,684.50 "
1401561,MAMMOGRAPHY SCREENING,ST ROSE HOSPITAL,$277.00 
1401579,MAMMOGRAM BREAST LOCAL,ST ROSE HOSPITAL,"$1,136.00 "
1401587,"MAMMOGRAM, DIAGNOSTIC",ST ROSE HOSPITAL,$467.00 
1401629,ABDOMEN COMP INC PA CHEST/DECU,ST ROSE HOSPITAL,"$1,407.00 "
1401751,XRAY EXAM NECK SPINE 2-3 VW,ST ROSE HOSPITAL,$782.00 
1401801,SPINE CERV 6 OR MORE VIEWS,ST ROSE HOSPITAL,$927.00 
1401959,CHEST PORT. 1 VIEW,ST ROSE HOSPITAL,$557.00 
1402056,CHEST PA 1 VIEW,ST ROSE HOSPITAL,$557.00 
1402130,CHOLANGIO OPER S&I,ST ROSE HOSPITAL,"$1,660.00 "
1402353,BE COLON W & WO KUB,ST ROSE HOSPITAL,"$1,023.00 "
1402403,BE AND AIR CONTRAST,ST ROSE HOSPITAL,"$3,263.00 "
1402502,CYSTOGRAM MIN 3V S&I,ST ROSE HOSPITAL,"$1,092.00 "
