Facility,Service,Price,,
Northwestern Medicine Central DuPage Hospital,IODOFORM GAUZE,$65.00,,
Northwestern Medicine Central DuPage Hospital,BLOOD TUBING,$65.00,,
Northwestern Medicine Central DuPage Hospital,HOT OR COLD PACKS THERAPY,$65.00,,
Northwestern Medicine Central DuPage Hospital,HCPF DRAINAGE OF GLAND ABSCESS,$649.63,,
Northwestern Medicine Central DuPage Hospital,X-RAY EXAM OF SHOULDERS,$648.75,,
Northwestern Medicine Central DuPage Hospital,"DOPPLER VELOCIMETRY, FETAL; MIDDLE CEREBRAL ARTERY",$648.00,,
Northwestern Medicine Central DuPage Hospital,PULMONARY STRESS TEST/SIMPL,$647.50,,
Northwestern Medicine Central DuPage Hospital,EXERCISE TST BRNCSPSM,$647.50,,
Northwestern Medicine Central DuPage Hospital,PULMONARY STRESS TESTING,$647.50,,
Northwestern Medicine Central DuPage Hospital,X-RAY STRENOCLAVIC JT 3/>VWS,$647.25,,
Northwestern Medicine Central DuPage Hospital,US GUIDED ASP/INJ SMALL JOINT,$645.25,,
Northwestern Medicine Central DuPage Hospital,INCISE EXTERNAL HEMORRHOID,$644.88,,
Northwestern Medicine Central DuPage Hospital,OR 275,"$167,219.91",,
Northwestern Medicine Central DuPage Hospital,REMOVE PHARYNX FOREIGN BODY,$642.25,,
Northwestern Medicine Central DuPage Hospital,X-RAY EXAM THORACOLMB 2/> VW,$641.50,,
Northwestern Medicine Central DuPage Hospital,REPEAT CONTROL OF NOSEBLEED,$641.25,,
Northwestern Medicine Central DuPage Hospital,CHEST DRAIN DRY INF/PEDS,$640.75,,
Northwestern Medicine Central DuPage Hospital,CATH IV NXVA 18GX1.25/1PORT,$64.50,,
Northwestern Medicine Central DuPage Hospital,OCCULT BLOOD OTHER SOURCES,$64.50,,
Northwestern Medicine Central DuPage Hospital,ANES HUMIDEVENT,$64.25,,
Northwestern Medicine Central DuPage Hospital,EPIDURAL SPIKE SET COMBO,$64.00,,
Northwestern Medicine Central DuPage Hospital,DIGNISHIELD COLLECTION BAG,$64.00,,
Northwestern Medicine Central DuPage Hospital,PULSATILE LAVAGE HANDSET,$639.75,,
Northwestern Medicine Central DuPage Hospital,NEUROMUSCULAR JUNCTION TEST,$638.25,,
Northwestern Medicine Central DuPage Hospital,OR 274,$164.76,,
Northwestern Medicine Central DuPage Hospital,CRISIS ASSESSMENT LVL 1 ED,$637.00,,
Northwestern Medicine Central DuPage Hospital,HC PSYCH EVALUATION LVL 1 IP,$637.00,,
Northwestern Medicine Central DuPage Hospital,BRA MEDIUM (ZIPPERED),$636.75,,
Northwestern Medicine Central DuPage Hospital,NERVE TEASING PREPARATIONS,$635.38,,
Northwestern Medicine Central DuPage Hospital,HCPF WOUND PREP TRK/ARM/LEG,$635.00,,
Northwestern Medicine Central DuPage Hospital,CUTTER RING COMPLETE,$634.00,,
Northwestern Medicine Central DuPage Hospital,LUMBAR PUNCTURE (LP) FOR CHEMO INJECTION,$634.00,,
Northwestern Medicine Central DuPage Hospital,ELBOW DISLOCATION RADIAL HEAD; WITH MANIPULATION,$634.00,,
Northwestern Medicine Central DuPage Hospital,"HCPF SKIN SUBSTITUTE GRAFT FACE, NECK, HANDS, FEET, 100 SQ CM OR GREATER",$633.75,,
Northwestern Medicine Central DuPage Hospital,HCPF INSERTION OF CHEST TUBE,$631.75,,
Northwestern Medicine Central DuPage Hospital,HB-XRAY EXAM CHEST 2 VIEWS,$631.00,,
Northwestern Medicine Central DuPage Hospital,HCPF EXCHANGE NEPHROSTOMY CATH,$630.50,,
Northwestern Medicine Central DuPage Hospital,SPECIMEN HANDLING PT-LAB,$63.88,,
Northwestern Medicine Central DuPage Hospital,SIGMOIDOSCOPE,$63.75,,
Northwestern Medicine Central DuPage Hospital,SCOTCHCAST TAPE 5,$63.50,,
Northwestern Medicine Central DuPage Hospital,PRONE PLUS COVER X-SMALL,$63.25,,
Northwestern Medicine Central DuPage Hospital,SYMPHONY KIT,$63.00,,
Northwestern Medicine Central DuPage Hospital,WOUND BARRIER CREAM,$63.00,,
Northwestern Medicine Central DuPage Hospital,SPUN MICROHEMATOCRIT,$63.00,,
Northwestern Medicine Central DuPage Hospital,OR 272,"$16,643.55",,
Northwestern Medicine Central DuPage Hospital,OR 278,"$14,623.69",,
Northwestern Medicine Central DuPage Hospital,SCD SLEEVE THIGH SM/WESTRR,$629.50,,
Northwestern Medicine Central DuPage Hospital,SNUGGLE UP CLOTH LRG,$628.25,,
Northwestern Medicine Central DuPage Hospital,"FRACTURE FINGER, DISTAL; WITHOUT MANIPULATION",$628.00,,
Northwestern Medicine Central DuPage Hospital,OR 278,"$137,976.15",,
Northwestern Medicine Central DuPage Hospital,TB TRACH CUF CANN 6 6.4MM,$622.75,,
Northwestern Medicine Central DuPage Hospital,TRACH TB E #6,$622.75,,
Northwestern Medicine Central DuPage Hospital,TRACH TB E #8,$622.75,,
Northwestern Medicine Central DuPage Hospital,INSERT BLADDER CATH COMPLEX,$622.00,,
Northwestern Medicine Central DuPage Hospital,HCPF ANGIO THORACIC AORTA,$622.00,,
Northwestern Medicine Central DuPage Hospital,"SURG BOOT,SHOE EA",$621.75,,
Northwestern Medicine Central DuPage Hospital,SCD SLEEVE THIGH REG/WESTRR,$620.25,,
Northwestern Medicine Central DuPage Hospital,TEMP FOLEY PED 14FR,$620.25,,
Northwestern Medicine Central DuPage Hospital,TRB@ GENE REARRANGE AMPLIFY,$620.00,,
Northwestern Medicine Central DuPage Hospital,XRAY EXAM ABDOMEN 3+ VIEWS,$620.00,,
Northwestern Medicine Central DuPage Hospital,PRONE PLUS COVER LRG,$62.75,,
Northwestern Medicine Central DuPage Hospital,PRONE PLUS COVER MED,$62.75,,
Northwestern Medicine Central DuPage Hospital,INFUSION PMP CKB 3SS DEHP 20 DP,$62.75,,
Northwestern Medicine Central DuPage Hospital,CHLAMYDIA ANTIBODY,$62.50,,
Northwestern Medicine Central DuPage Hospital,ENCEPHALTIS WEST EQNE ANTBDY,$62.50,,
Northwestern Medicine Central DuPage Hospital,SLING ARM SM PED BEARS,$62.25,,
Northwestern Medicine Central DuPage Hospital,CONNECTOR IV TRI PORT MALE,$62.00,,
Northwestern Medicine Central DuPage Hospital,HCPF APPLICATION FINGER SPLINT,$62.00,,
Northwestern Medicine Central DuPage Hospital,HCPF DEBRIDE INFECTED SKIN,$62.00,,
Northwestern Medicine Central DuPage Hospital,HCPF DOPPLER W SPECTRAL DISP-COMPL,$62.00,,
Northwestern Medicine Central DuPage Hospital,OR 275,"$134,072.71",,
Northwestern Medicine Central DuPage Hospital,HCPF TX SHOULDER DISLOCATION,$619.75,,
Northwestern Medicine Central DuPage Hospital,HCPF PRIM ART M-THROMBECT ADD,$618.75,,
Northwestern Medicine Central DuPage Hospital,X-RAY HIP UNILATERAL WITH PELVIS 1 VIEW,$617.75,,
Northwestern Medicine Central DuPage Hospital,INTRODUCER KIT ARROW 9FR,$616.75,,
Northwestern Medicine Central DuPage Hospital,HCPF EXCHANGE BILIARY DRG CATH,$615.25,,
Northwestern Medicine Central DuPage Hospital,MOPATH PROCEDURE LEVEL 3,$612.25,,
Northwestern Medicine Central DuPage Hospital,RPR S/N/A/GEN/TRK20.1-30.0CM,$611.50,,
Northwestern Medicine Central DuPage Hospital,SNUGGLEUP CLOTH MED,$611.25,,
Northwestern Medicine Central DuPage Hospital,HCPF ILIAC REVASC ADD-ON,$610.50,,
Northwestern Medicine Central DuPage Hospital,INJ TENDON ORIGIN/INSERTION,$610.25,,
Northwestern Medicine Central DuPage Hospital,BREAST TOMOSYNTHESIS BILAT SCREENING DIGITAL,$61.75,,
Northwestern Medicine Central DuPage Hospital,SLING ARM NAVY SPECIAL SM,$61.50,,
Northwestern Medicine Central DuPage Hospital,HEMOGLOBIN,$61.50,,
Northwestern Medicine Central DuPage Hospital,CENTRAL LINE DISCONTINUATION KIT,$61.00,,
Northwestern Medicine Central DuPage Hospital,OR 272,"$13,023.72",,
Northwestern Medicine Central DuPage Hospital,HEPATITIS B DNA QUANT,$609.13,,
Northwestern Medicine Central DuPage Hospital,APPLICATION OF LONG ARM CAST,$607.75,,
Northwestern Medicine Central DuPage Hospital,IGH GENE REARRANGE AMP METH,$606.50,,
Northwestern Medicine Central DuPage Hospital,RBC LEUKOCYTES REDUCED,$606.50,,
Northwestern Medicine Central DuPage Hospital,KRAS GENE VARIANTS EXON 2,$605.50,,
Northwestern Medicine Central DuPage Hospital,RPR S/N/AX/GEN/TRK7.6-12.5CM,$605.50,,
Northwestern Medicine Central DuPage Hospital,X-RAY EXAM OF KNEE 1 OR 2,$603.50,,
Northwestern Medicine Central DuPage Hospital,X-RAY EXAM OF KNEES,$603.50,,
Northwestern Medicine Central DuPage Hospital,X-RAY CHEST SINGLE VIEW,$601.00,,
Northwestern Medicine Central DuPage Hospital,SET EXT 90IN YELLOW STRIPED,$60.75,,
Northwestern Medicine Central DuPage Hospital,ADMIN PNEUMOCOCCAL VACCINE,$60.75,,
Northwestern Medicine Central DuPage Hospital,MECONIUM ASPIRATOR,$60.50,,
Northwestern Medicine Central DuPage Hospital,SURFACE ELECTRODES 1M,$60.50,,
Northwestern Medicine Central DuPage Hospital,CONNECTOR 1/4 X 1/4,$60.50,,
Northwestern Medicine Central DuPage Hospital,INFUSION LINE SAFE-T-CARE,$60.50,,
Northwestern Medicine Central DuPage Hospital,OR 278,"$12,825.17",,
Northwestern Medicine Central DuPage Hospital,OR 272,"$12,792.16",,
Northwestern Medicine Central DuPage Hospital,BOWL PLASTIC SOLUTION 35OZ,$6.88,,
Northwestern Medicine Central DuPage Hospital,COBAN 2 1582,$6.88,,
Northwestern Medicine Central DuPage Hospital,COLD PACK,$6.88,,
Northwestern Medicine Central DuPage Hospital,CONNECTOR MAXPLUS SWAB CLEA,$6.88,,
Northwestern Medicine Central DuPage Hospital,DRESSING ADHESIVE TELFA 4X5,$6.88,,
Northwestern Medicine Central DuPage Hospital,ELASTIC BANDAGE  COFLEX 1 IN,$6.88,,
Northwestern Medicine Central DuPage Hospital,ELASTIC BANDAGE  COFLEX 2 IN,$6.88,,
Northwestern Medicine Central DuPage Hospital,ELASTIC BANDAGE 2,$6.88,,
Northwestern Medicine Central DuPage Hospital,ELASTIC BANDAGE 3,$6.88,,
Northwestern Medicine Central DuPage Hospital,ELASTIC BANDAGE 4,$6.88,,
Northwestern Medicine Central DuPage Hospital,ELASTIC BANDAGE 6,$6.88,,
Northwestern Medicine Central DuPage Hospital,EYE SHIELD,$6.88,,
Northwestern Medicine Central DuPage Hospital,GAUZE SPONGES 4X4 TR /10,$6.88,,
Northwestern Medicine Central DuPage Hospital,IV TUBE SECOND/PIGGYBACK,$6.88,,
Northwestern Medicine Central DuPage Hospital,MARKER SKIN/RUL ON CAP,$6.88,,
Northwestern Medicine Central DuPage Hospital,MASK PEDS (NEBULIZER),$6.88,,
Northwestern Medicine Central DuPage Hospital,SPLINT FINGER #11,$6.88,,
Northwestern Medicine Central DuPage Hospital,SPONGE W/BETADINE,$6.88,,
Northwestern Medicine Central DuPage Hospital,"STERI STRIPS 1/2""X4""",$6.88,,
Northwestern Medicine Central DuPage Hospital,TEGADERM (ALL SIZES),$6.88,,
Northwestern Medicine Central DuPage Hospital,"TUBE GAUZE 1""",$6.88,,
Northwestern Medicine Central DuPage Hospital,"TUBE GAUZE 5/8""",$6.88,,
Northwestern Medicine Central DuPage Hospital,TUBING (OXYGEN),$6.88,,
Northwestern Medicine Central DuPage Hospital,TUBING NASAL OXYGEN CANNULA,$6.88,,
Northwestern Medicine Central DuPage Hospital,UNDERPAD SMALL CHUX,$6.88,,
Northwestern Medicine Central DuPage Hospital,VASELINE GAUZE 3X9,$6.88,,
Northwestern Medicine Central DuPage Hospital,WEBRIL (ALL SIZES),$6.88,,
Northwestern Medicine Central DuPage Hospital,XEROFORM 5X9,$6.88,,
Northwestern Medicine Central DuPage Hospital,IRRIGATN 1000CC STERILH20,$6.88,,
Northwestern Medicine Central DuPage Hospital,12ML ENTERNAL SYRINGE,$6.75,,
Northwestern Medicine Central DuPage Hospital,35ML ENTERNAL SYRINGE,$6.75,,
Northwestern Medicine Central DuPage Hospital,6.5FR X 40CM POLY FT,$6.75,,
Northwestern Medicine Central DuPage Hospital,60' MALE/FEMALE ENTERNAL EXT SET,$6.75,,
Northwestern Medicine Central DuPage Hospital,60ML ENTERNAL SYRINGE,$6.75,,
Northwestern Medicine Central DuPage Hospital,6ML ENTERNAL SYRINGE,$6.75,,
Northwestern Medicine Central DuPage Hospital,AIRWAY (ADULT) 100MM,$6.75,,
Northwestern Medicine Central DuPage Hospital,AIRWAY (ADULT) 90MM,$6.75,,
Northwestern Medicine Central DuPage Hospital,AIRWAY (CHILD) 40MM,$6.75,,
Northwestern Medicine Central DuPage Hospital,AIRWAY (CHILD) 60MM,$6.75,,
Northwestern Medicine Central DuPage Hospital,AIRWAY (CHILD) 80MM,$6.75,,
Northwestern Medicine Central DuPage Hospital,ARMBOARD ADULT W/COVER,$6.75,,
Northwestern Medicine Central DuPage Hospital,ARMBOARD CHILD W/COVER,$6.75,,
Northwestern Medicine Central DuPage Hospital,ARMBOARD INFANT W/COVER,$6.75,,
Northwestern Medicine Central DuPage Hospital,ARMBOARD SHORT 9,$6.75,,
Northwestern Medicine Central DuPage Hospital,BARRIER FLATSKIN TO 2 1/4,$6.75,,
Northwestern Medicine Central DuPage Hospital,BREAST PAD,$6.75,,
Northwestern Medicine Central DuPage Hospital,CATH & GLOVE ST 10FR,$6.75,,
Northwestern Medicine Central DuPage Hospital,CATH & GLOVE ST 14FR,$6.75,,
Northwestern Medicine Central DuPage Hospital,CATH EXTERNAL MALE LG,$6.75,,
Northwestern Medicine Central DuPage Hospital,CATH MALE EXTERNAL MEDIUM,$6.75,,
Northwestern Medicine Central DuPage Hospital,CATH SUCT ORAL HYGIENE 8FR,$6.75,,
Northwestern Medicine Central DuPage Hospital,CATH URETHRAL 14FR,$6.75,,
Northwestern Medicine Central DuPage Hospital,CHLORAPREP APPLICATOR 3ML,$6.75,,
Northwestern Medicine Central DuPage Hospital,CHLORHEXIDINE SWAB 1.6 ML,$6.75,,
Northwestern Medicine Central DuPage Hospital,"COHESIV FLX BANDAGE 2""/ROLL",$6.75,,
Northwestern Medicine Central DuPage Hospital,COLOSTRUM COLLECTION STORAG,$6.75,,
Northwestern Medicine Central DuPage Hospital,COMMODE PAN,$6.75,,
Northwestern Medicine Central DuPage Hospital,CONNECTING TB 3/16ID X 10,$6.75,,
Northwestern Medicine Central DuPage Hospital,CONNECTING TUBE 3/16ID X 6,$6.75,,
Northwestern Medicine Central DuPage Hospital,CONNECTOR 6IN1 TUBING,$6.75,,
Northwestern Medicine Central DuPage Hospital,CULTURETTE II DUAL,$6.75,,
Northwestern Medicine Central DuPage Hospital,DIAPER ADULT LARGE,$6.75,,
Northwestern Medicine Central DuPage Hospital,DIAPER ADULT MED 32-44/EACH,$6.75,,
Northwestern Medicine Central DuPage Hospital,DIAPER ADULT X-LARGE,$6.75,,
Northwestern Medicine Central DuPage Hospital,DR BROWN REPL NIPPLE,$6.75,,
Northwestern Medicine Central DuPage Hospital,DRAIN PENROSE STER 1/4 X 12,$6.75,,
Northwestern Medicine Central DuPage Hospital,DRESS WND SOFT CL  3-1/2X4,$6.75,,
Northwestern Medicine Central DuPage Hospital,DRESS WND SOFT CL 3-1/2X6,$6.75,,
Northwestern Medicine Central DuPage Hospital,DRESS WND SOFTCLOTH3-1/2X8,$6.75,,
Northwestern Medicine Central DuPage Hospital,DRESSING NONADHERING 3X8,$6.75,,
Northwestern Medicine Central DuPage Hospital,DRESSING TRANSPARENT,$6.75,,
Northwestern Medicine Central DuPage Hospital,ECONOMY 3IN STOCKINETTE,$6.75,,
Northwestern Medicine Central DuPage Hospital,ELECTRODE LIMB BAND L36-LB,$6.75,,
Northwestern Medicine Central DuPage Hospital,ENDOTRACH TB E 2.0,$6.75,,
Northwestern Medicine Central DuPage Hospital,ENDOTRACH TB E 2.5,$6.75,,
Northwestern Medicine Central DuPage Hospital,ENDOTRACH TB E 3.0,$6.75,,
Northwestern Medicine Central DuPage Hospital,ENDOTRACH TB E 3.5,$6.75,,
Northwestern Medicine Central DuPage Hospital,ENDOTRACH TB E 4.0,$6.75,,
Northwestern Medicine Central DuPage Hospital,FEEDING TB E INFANT 5 FR 15,$6.75,,
Northwestern Medicine Central DuPage Hospital,FEEDING TB E INFANT 8 FR 16,$6.75,,
Northwestern Medicine Central DuPage Hospital,FLUFF RL,$6.75,,
Northwestern Medicine Central DuPage Hospital,FLUFF SPONGE,$6.75,,
Northwestern Medicine Central DuPage Hospital,ICE PG,$6.75,,
Northwestern Medicine Central DuPage Hospital,ICE PG INSTANT 7X9,$6.75,,
Northwestern Medicine Central DuPage Hospital,INCONTINCE WEAR PULLON LG,$6.75,,
Northwestern Medicine Central DuPage Hospital,INCONTINCE WEAR PULLON MD,$6.75,,
Northwestern Medicine Central DuPage Hospital,INCONTINCE WEAR PULLON XL,$6.75,,
Northwestern Medicine Central DuPage Hospital,INFANT HEEL WARMER W/TAPE,$6.75,,
Northwestern Medicine Central DuPage Hospital,INTERLINK CONT-FLO SECOND,$6.75,,
Northwestern Medicine Central DuPage Hospital,IRRIGATION BT LE,$6.75,,
Northwestern Medicine Central DuPage Hospital,IV PREP CARE KIT,$6.75,,
Northwestern Medicine Central DuPage Hospital,KERLIX BANDAGE 6 KLING,$6.75,,
Northwestern Medicine Central DuPage Hospital,MASK AEROSOL ADULT TUBE,$6.75,,
Northwestern Medicine Central DuPage Hospital,MASK OXYGEN NONREBREATH,$6.75,,
Northwestern Medicine Central DuPage Hospital,MASK OXYGEN PEDIATRIC 1262,$6.75,,
Northwestern Medicine Central DuPage Hospital,MASK OXYGEN SIMPLE 1201,$6.75,,
Northwestern Medicine Central DuPage Hospital,MASK TRACHESTOMY 1225,$6.75,,
Northwestern Medicine Central DuPage Hospital,MISTY NEB W/T ADPTER FAN JT,$6.75,,
Northwestern Medicine Central DuPage Hospital,NASAL CN NULA PED 1602,$6.75,,
Northwestern Medicine Central DuPage Hospital,NIPPLE SN DR BROWN,$6.75,,
Northwestern Medicine Central DuPage Hospital,NO STING BARRIER WIPE,$6.75,,
Northwestern Medicine Central DuPage Hospital,OB SPONGE 4X4,$6.75,,
Northwestern Medicine Central DuPage Hospital,OMNI FLEX ISOTHERMAL 3215,$6.75,,
Northwestern Medicine Central DuPage Hospital,PANTY MESH MAT XXL 707M,$6.75,,
Northwestern Medicine Central DuPage Hospital,PERINEAL WIPES,$6.75,,
Northwestern Medicine Central DuPage Hospital,PEROXIDE SM 4OZ,$6.75,,
Northwestern Medicine Central DuPage Hospital,POUCH 2PC DRN 11-11.5IN,$6.75,,
Northwestern Medicine Central DuPage Hospital,POUCH CLAMP,$6.75,,
Northwestern Medicine Central DuPage Hospital,POUCH DRAIN PED POUCHKINS,$6.75,,
Northwestern Medicine Central DuPage Hospital,POUCH UROSTOMY 2PC-9.5IN,$6.75,,
Northwestern Medicine Central DuPage Hospital,SCALPEL #11 DISP,$6.75,,
Northwestern Medicine Central DuPage Hospital,SCALPEL DISP #10,$6.75,,
Northwestern Medicine Central DuPage Hospital,SENSR PULSE OX MASIMO NEONA,$6.75,,
Northwestern Medicine Central DuPage Hospital,SEPTI-SOFT,$6.75,,
Northwestern Medicine Central DuPage Hospital,SHUR CLENS 20 ML POR BTL,$6.75,,
Northwestern Medicine Central DuPage Hospital,SKIN MARKR FINE PNT DUO TIP,$6.75,,
Northwestern Medicine Central DuPage Hospital,SPLINT FINGER #12,$6.75,,
Northwestern Medicine Central DuPage Hospital,SPLINT FINGER #13,$6.75,,
Northwestern Medicine Central DuPage Hospital,SPLINT FINGER #14,$6.75,,
Northwestern Medicine Central DuPage Hospital,SPLINT FINGER #15,$6.75,,
Northwestern Medicine Central DuPage Hospital,SPLINT FINGER #16,$6.75,,
Northwestern Medicine Central DuPage Hospital,STERI STRIP 1/2X4,$6.75,,
Northwestern Medicine Central DuPage Hospital,STERI STRIP 1/4X3,$6.75,,
Northwestern Medicine Central DuPage Hospital,STERI STRIP 1/8X3,$6.75,,
Northwestern Medicine Central DuPage Hospital,STOPCOCK 3-WAY,$6.75,,
Northwestern Medicine Central DuPage Hospital,STRIP SKIN ANTIMIC 1/2X4IN,$6.75,,
Northwestern Medicine Central DuPage Hospital,SUCTCATH 10FR W/OUT CONTROL,$6.75,,
Northwestern Medicine Central DuPage Hospital,SUCTION BOTTLE WALL,$6.75,,
Northwestern Medicine Central DuPage Hospital,SUCTION SLIM TIP ORTHO,$6.75,,
Northwestern Medicine Central DuPage Hospital,SURFACE ELECTRODES 2M,$6.75,,
Northwestern Medicine Central DuPage Hospital,SYRINGE 60CC W/LL TIP,$6.75,,
Northwestern Medicine Central DuPage Hospital,SYRINGE BULB-EAR,$6.75,,
Northwestern Medicine Central DuPage Hospital,TEGADERM 4X4-3/4,$6.75,,
Northwestern Medicine Central DuPage Hospital,TENSOGRIP B,$6.75,,
Northwestern Medicine Central DuPage Hospital,TENSOGRIP C,$6.75,,
Northwestern Medicine Central DuPage Hospital,TOOTSWEET 2ML,$6.75,,
Northwestern Medicine Central DuPage Hospital,T-PG INSTANT WARM PG,$6.75,,
Northwestern Medicine Central DuPage Hospital,TUBE FEEDING 8FR X 42IN,$6.75,,
Northwestern Medicine Central DuPage Hospital,TUBE OCCLUDING CLAMP A-110,$6.75,,
Northwestern Medicine Central DuPage Hospital,VAMP DIRECT DRAW,$6.75,,
Northwestern Medicine Central DuPage Hospital,VAMP NEEDLE*LESS CN NULA,$6.75,,
Northwestern Medicine Central DuPage Hospital,VASELINE TB E,$6.75,,
Northwestern Medicine Central DuPage Hospital,XEROFORM PETROLATUM 1X8,$6.75,,
Northwestern Medicine Central DuPage Hospital,YANKAUER SUC INSTR ENT,$6.75,,
Northwestern Medicine Central DuPage Hospital,CANNULA ADULT 7FT 0556,$6.75,,
Northwestern Medicine Central DuPage Hospital,"LIGHT BANDAID FINGER SLEEVE 55"" LG",$6.75,,
Northwestern Medicine Central DuPage Hospital,MESH MAXI PANTS,$6.75,,
Northwestern Medicine Central DuPage Hospital,ENDOTRACH TB E 4.5,$6.75,,
Northwestern Medicine Central DuPage Hospital,SYRINGE 60CC CATH TIP,$6.75,,
Northwestern Medicine Central DuPage Hospital,BLANKET MEDITHERM F/COOLING,$6.75,,
Northwestern Medicine Central DuPage Hospital,"2 1/4"" POUCH-CLAMP CLOSURE",$6.75,,
Northwestern Medicine Central DuPage Hospital,"2 1/4"" UROSTOMY POUCH",$6.75,,
Northwestern Medicine Central DuPage Hospital,APPLICATOR SWAB PETITE 6MM,$6.75,,
Northwestern Medicine Central DuPage Hospital,APPLICATOR SWAB PETITE 8MM,$6.75,,
Northwestern Medicine Central DuPage Hospital,BREASTMILK CONT STRL 250M,$6.75,,
Northwestern Medicine Central DuPage Hospital,CATH & GLOVE ST 8FR,$6.75,,
Northwestern Medicine Central DuPage Hospital,CATH ADAPTER,$6.75,,
Northwestern Medicine Central DuPage Hospital,CATH GLOVE 5/6 FR LF,$6.75,,
Northwestern Medicine Central DuPage Hospital,CATH RED RUBBER 18F RAD ONC,$6.75,,
Northwestern Medicine Central DuPage Hospital,CATH URETH ROB 16FRX16 RED,$6.75,,
Northwestern Medicine Central DuPage Hospital,CULTURETTE SWAB,$6.75,,
Northwestern Medicine Central DuPage Hospital,EXERCIS HAND TEMPER FM PNK,$6.75,,
Northwestern Medicine Central DuPage Hospital,EXERCIS HAND TEMPER FOAM YL,$6.75,,
Northwestern Medicine Central DuPage Hospital,KERLIX ROLL 4.5X6 STERLE,$6.75,,
Northwestern Medicine Central DuPage Hospital,NEEDLE 16X1-1/2 BLNT MONOJECT,$6.75,,
Northwestern Medicine Central DuPage Hospital,PROBE WRAP PULSE OXIMETER,$6.75,,
Northwestern Medicine Central DuPage Hospital,SCALPEL #15 STERILE,$6.75,,
Northwestern Medicine Central DuPage Hospital,SET SECONDRY MED W/DUO VENT,$6.75,,
Northwestern Medicine Central DuPage Hospital,SLV FINGER LG  2 3/8-2 7/8,$6.75,,
Northwestern Medicine Central DuPage Hospital,SLV FINGER MD  1 7/8-2 5/8,$6.75,,
Northwestern Medicine Central DuPage Hospital,SLV FINGER XL  2 3/4-3 1/4,$6.75,,
Northwestern Medicine Central DuPage Hospital,SPONGE 4X4 STER 8P 10PK6318,$6.75,,
Northwestern Medicine Central DuPage Hospital,STOPCOCK 3 WAY 10012463A,$6.75,,
Northwestern Medicine Central DuPage Hospital,SUCT CATH 14FR W/OUT CONTRL,$6.75,,
Northwestern Medicine Central DuPage Hospital,SYR 60ML LL NSAF,$6.75,,
Northwestern Medicine Central DuPage Hospital,SYR 60ML SLIP TIP DISP,$6.75,,
Northwestern Medicine Central DuPage Hospital,SYRING ONLY 60ML TIP 309654,$6.75,,
Northwestern Medicine Central DuPage Hospital,SYRINGE 60ML LL,$6.75,,
Northwestern Medicine Central DuPage Hospital,SYRINGE ENTERAL 20ML,$6.75,,
Northwestern Medicine Central DuPage Hospital,TUBE NASOGASTRIC 14 FR,$6.75,,
Northwestern Medicine Central DuPage Hospital,TUBE NASOGASTRIC 16 FR,$6.75,,
Northwestern Medicine Central DuPage Hospital,TUBE SALEM SUMP 18 FR 48IN,$6.75,,
Northwestern Medicine Central DuPage Hospital,IV PREP KIT /ENDO,$6.75,,
Northwestern Medicine Central DuPage Hospital,SLV FINGER SM  1 5/8-2 1/8,$6.75,,
Northwestern Medicine Central DuPage Hospital,TEGADERM 4X4 3/4,$6.75,,
Northwestern Medicine Central DuPage Hospital,EYE PAD,$6.63,,
Northwestern Medicine Central DuPage Hospital,SLIPPERS LARGE/MED (BROWN),$6.63,,
Northwestern Medicine Central DuPage Hospital,"STOCKINET TUBE 2""",$6.63,,
Northwestern Medicine Central DuPage Hospital,POUCH PREMIE/PEDS,$6.50,,
Northwestern Medicine Central DuPage Hospital,STRIP PASTE,$6.50,,
Northwestern Medicine Central DuPage Hospital,SLIPPER BARIATRIC YELLW,$6.50,,
Northwestern Medicine Central DuPage Hospital,SLIPPER LARGE YELLOW,$6.50,,
Northwestern Medicine Central DuPage Hospital,SLIPPER MED TERRY OUT DB,$6.50,,
Northwestern Medicine Central DuPage Hospital,SLIPPER PEDS TERRY RED,$6.50,,
Northwestern Medicine Central DuPage Hospital,SLIPPER SMALL PED GREEN,$6.50,,
Northwestern Medicine Central DuPage Hospital,SLIPPER TINY INFANT WHITE,$6.50,,
Northwestern Medicine Central DuPage Hospital,SLIPPER TODDLER,$6.50,,
Northwestern Medicine Central DuPage Hospital,SLIPPER XL TERRY OUT DBL,$6.50,,
Northwestern Medicine Central DuPage Hospital,SLIPPER XLARGE YELLOW,$6.50,,
Northwestern Medicine Central DuPage Hospital,SLIPPERS X LARGE (GREY),$6.50,,
Northwestern Medicine Central DuPage Hospital,SLIPPER ORANGE LARGE,$6.50,,
Northwestern Medicine Central DuPage Hospital,BARRIER TOWEL,$6.50,,
Northwestern Medicine Central DuPage Hospital,CHLORAPREP 1.5ML APPLICATOR,$6.50,,
Northwestern Medicine Central DuPage Hospital,"BARRIER STRIPS,CURVED",$6.50,,
Northwestern Medicine Central DuPage Hospital,POUCH 2P URO/FECAL,$6.50,,
Northwestern Medicine Central DuPage Hospital,DOUBLE TRD SLIPPER 2XL- GREY,$6.50,,
Northwestern Medicine Central DuPage Hospital,ADAPTER LUER LOCK,$6.50,,
Northwestern Medicine Central DuPage Hospital,YELLOW VALVE W/MEMBRANE,$6.25,,
Northwestern Medicine Central DuPage Hospital,PERINEAL COLD PACK INSTANT,$6.25,,
Northwestern Medicine Central DuPage Hospital,REPAIR FINGER TENDON W/O GRAFT,"$6,996.50",,
