MNEMONIC,MNEM DESC,Cur Chg
31462,FILTER PLUME SMOKE EVACUATION,$137.23
04075,CCS\ABDUCTION PILLOW,$259.97
04116,CCS\CATH TRAY W/SYR,$39.85
04136,CCS\BIOLEX SPRAY CLEANSER,$125.23
04137,CCS\BIOLEX WOUND GEL 3OZ,$111.96
04177,CCS\ABDOMINAL BINDER,$151.80
04188,CCS\TUBE GASTROSTOMY REPLACME,$481.97
04220,CCS\FEATHERLITE REACHER REG 2,$132.82
04570,CCS\CATH COUDE 18FR 5CC,$176.47
04571,CCS\TED'S THIGH HIGH STOCKIGS,$100.57
04621,CCS\16FR 5CC FOLEY CATH SIL,$341.55
04643,CCS\D/C TRACH TUBE REG CUFFED,$322.58
04650,CCS\BALLARD SUCTION CATH,$184.06
04687,CCS\BED PAD W/SLEEVE,$115.75
04692,CCS\TALKING TRACH PKG,$641.35
04723,CCS\UNNA BOOT,$49.34
04736,CCS\SUTURE SET,$108.16
04999,CCS\MISC,$0.00
31413,CCS\OXISENSOR ADULT,$98.66
31445,ORTHO KNEE DYNAPRO FLEX SMALL,"$1,072.12"
31450,TRAY CATH FOLEY SURESTEP 16FR,$82.15
31456,WRIST BRACE LEFT MEDIUM,$95.45
31457,WRIST BRACE RIGHT MEDIUM,$95.45
31829,"DRS WND MEPILEX BRDR AG 4""X12""",$97.00
31830,"DRS WND MEPILEX BRDR AG 4""X10""",$82.74
49006,CCS\SACRAL DRESSING,$68.31
49011,CCS\HEEL PROTECTOR,$341.55
49042,CCS\SOCK AID 024314,$55.05
49050,"CCS\TUBE,TRACH FEN CUFFED 7MM",$277.03
49053,CCS\SILVASORB WOUND GEL,$157.49
49056,CCS\PICC PLUS STAT LOCK,$100.57
06013,"LC\CRYSTALS, FLUID",$100.57
06031,LC\CRYSTAL IDENTIFICATION,$100.57
06033,LC\NEWBORN SCREENING COLLECTIO,$8.35
06034,LC\AFP Draw: Sent to State,$51.24
06035,LC\COLLECTION BLOOD/SENDOUTS,$0.00
06036,LC\COLLECT OF CAPILLARY SPEC,$37.96
06037,LC\VENIPUNCTURE,$51.24
06038,LC\INSURANCE/SPEC HAND FEE,$72.10
06044,LC\GLYCOSYLATED A1C HGB,$125.23
06045,LC\GLUCOSE TOLERANCE-1 HR,$294.12
06052,LC\GLUCOSE LEVEL AFTER GLUCOL,$96.78
06079,LC\PSA,$220.11
06081,"LC\PSA,SCREENING",$220.11
06138,LC\JOINT FLUID GROUP,$206.84
06144,LC\HDL,$89.20
08007,LC\COMPAT TEST\UNIT IS,$269.44
08008,LC\COMPAT TEST\UNIT AHG,$404.17
08012,"LC\ALBUMIN,SERUM",$96.78
08017,LC\ALKALINE PHOSPHATASE,$104.37
08024,"LC\AMMONIA,SERUM",$307.40
08027,"LC\AMYLASE,SERUM",$203.04
08034,LC\ARTERIAL BLOOD GASES,$584.43
08036,LC\ANTIBODY SCREEN,$259.97
08052,LC\COMP METABOLIC PANEL,$468.70
08057,LC\HEPATIC FUNCTION PANEL,$301.70
08060,"LC\HCG, QUALITATIVE",$199.24
08063,"LC\HCG, QUANTITATIVE",$322.58
08067,"LC\BILIRUBIN,DIRECT",$111.96
08069,"LC\BILIRUBIN,TOTAL",$74.01
08074,"LC\BLOOD UREA NITROGEN,(BUN",$111.96
08086,"LC\CALCIUM,SERUM",$92.98
08092,"LC\CARBAMAZEPINE,(TEGRETOL)",$246.68
08098,LC\COMPLETE CBC AUTOMATED,$159.38
08100,LC\CBC W/ AUTO DIFFERENTIAL,$155.61
08103,"LC\CELL COUNT & DIFF, CSF",$174.57
08104,"LC\CELL COUNT & DIFF, BODY FLD",$148.00
08110,"LC\CHLORIDE,URINE",$168.88
08112,LC\CHOLESTEROL,$115.75
08119,"LC\CK,(CPK),CREATINE KINASE",$210.63
08121,LC\CK MB FRACTION,$322.58
08139,"LC\CREATININE,SERUM",$106.26
08140,"LC\CREATININE, OTHER SOURCE",$115.75
08141,LC\CREATININE CLEARANCE,$214.43
08175,"LC\VALPROIC ACID, TOTAL",$259.97
08179,LC\DIFFERENTIAL,$79.70
08180,"LC\DIGOXIN, TOTAL",$330.16
08181,"LC\DILANTIN,(PHENYTOIN)",$347.25
08216,LC\FERRITIN,$163.19
08218,LC\FIBRINOGEN,$244.78
08219,"LC\FETAL FIBRONECTIN,SEMIQUANT","$1,149.89"
08220,LC\FERN TEST,$144.21
08226,"LC\GGTP,GAMMMA GLUTAMYL TRANS",$138.53
08229,"LC\GENTAMYCIN,PEAK",$250.47
08230,"LC\GENTAMYCIN,TROUGH",$250.47
08231,"LC\GLUCOSE,SERUM",$111.96
08232,"LC\GLUCOSE,SERUM TOL, EA AD SC",$66.42
08234,"LC\GLUCOSE,CSF OR OTHER FLUIDS",$91.07
08236,"LC\GLUCOSE, RGT STRIP",$43.65
08237,LC\GLUCOSE POST GLUCOLA,$132.82
08257,LC\HEMOGRAM,$159.38
08260,LC\HIV 1/2 AB/AG TEST,$142.32
08262,"LC\MONO TEST, HETEROPHILE",$193.54
08290,LC\LACTIC ACID,$258.05
08292,LC\LAMELLAR BODY DENSITY,$115.75
08293,"LC\LD,LACTIC DEHYDROGENASE",$130.94
08303,"LC\LIPASE,SERUM",$185.96
08306,LC\LITHIUM,$151.80
08310,"LC\MICROALBUMIN, URINE",$89.20
08314,"LC\MAGNESIUM,SERUM",$187.87
08348,"LC\PARTIAL THROMBOPLASTIN,PTT",$193.54
08354,"LC\PHENOBARBITAL,(LUMINAL)",$364.33
08356,"LC\PHOSPHORUS,SERUM",$132.82
08362,"LC\POTASSIUM,SERUM",$132.82
08365,"LC\POTASSIUM,URINE",$132.82
08373,"LC\PROTEIN,CSF & OTHER SOURCES",$134.73
08374,"LC\PROTEIN,SERUM",$134.73
08375,"LC\PROTEIN,URINE",$134.73
08377,LC\PROTIME,$130.94
08385,"LC\PREGNANCY TEST,UCG",$110.06
08386,"LC\HCG TEST, UR POC",$110.06
08389,"LC\RA TEST,QUALITATIVE",$144.21
08392,LC\RETICULOCYTE COUNT,$155.61
08395,LC\RPR-SEROLOGY,$110.06
08396,LC\RUBELLA ANTIBODY,$168.88
08399,"LC\SEDIMENTATION RATE,ESR",$127.15
08401,"LC\SEMEN ANAYLSIS,LIMITED",$96.78
08402,"LC\SGOT,AST,GLUT.-OXALO.TRANS",$92.98
08403,"LC\SGPT,ALT,GLUT.-PYR. TRANS",$113.86
08406,"LC\SODIUM,SERUM",$104.37
08408,"LC\SODIUM,URINE",$104.37
08420,"LC\T4,(THYROXINE)",$132.82
08421,LC\T3 TOTAL,$144.21
08422,LC\FREE T3,$199.24
08424,LC\THEOPHYLLINE,$307.40
08427,LC\THY STIM HORMONE HIGH SENS,$220.11
08434,LC\TRIGYLCERIDES,$119.55
08437,"LC\URIC ACID,SERUM",$144.21
08439,LC\URINALYSIS W/ MICROSCOPIC,$106.26
08440,LC\URINALYSIS (UAS),$74.01
08442,LC\URINE CHEM,$43.65
08443,LC\URINE VOLUME MEASUREMENT,$32.26
08503,LC\BASIC METABOLIC PANEL,$299.80
08505,LC\RENAL FUNCTION PANEL,$178.37
08507,LC\ELECTROLYTE GROUP,$242.88
08517,LC\BODY FLUID GROUP,$206.84
08518,LC\SPINAL FLUID GROUP,$225.80
08526,LC\SPECIMEN HANDLING FEE,$0.00
08701,LC\LIPID PANEL,$366.22
08702,LC\IRON TOTAL,$117.65
08703,LC\TIBC,$148.00
08710,LC\SAMPLE PROBLEM\NO CHARGES,$0.00
08719,LC\CARBOXY HEMOGLOBIN,$106.26
08725,LC\VENOUS PH,$89.20
08730,LC\VANCOMYCIN LEVEL,$250.47
08739,LC\VANCOMYCIN PEAK,$250.47
08740,LC\VANCOMYCIN TROUGH,$250.47
08756,LC\ABO-BLOOD TYPE,$123.33
08757,LC\RH TYPING,$130.94
08759,LC\OSMOLALITY SERUM,$85.40
08760,LC\OSMOLALITY URINE,$104.37
08761,LC\DRUG SCREEN COLLECTION,$66.42
08762,LC\EMPLOYEE SERVICES DAU HANDN,$0.00
08770,LC\SPECIAL HANDLING CHARGES,$0.00
08783,LC\HEP B SURF AG,$106.26
08784,LC\HEP B CORE AB TOTAL,$106.26
08787,"LC\FOLATE, SERUM",$127.15
08788,LC\VITAMIN 12,$127.15
08789,LC\MYOGLOBIN,$235.29
08790,"LC\TROPONIN, QUANT",$277.03
08792,LC\BNP,$347.25
08793,LC\RAPID STREP A,$199.24
08794,LC\RAPID FLU A TEST,$119.55
08795,LC\RAPID FLU B TEST,$119.55
08796,LC\RAPID RSV TEST,$134.73
08798,"LC\D DIMER, ULTRASENS",$222.02
08799,"LC\CRP, HIGH SENS",$165.09
08800,LC\FREE THYROXINE,$199.24
08801,LC\CARDIO CRP (hsCRP),$148.00
08803,LC\PFA: Col/EPI,$210.63
08809,LC\C DIFFICILE ANTIGEN,$106.26
08810,LC\C DIFFICILE TOXIN,$106.26
08811,LC\HEP C AB,$115.75
08812,LC\HEPATITIS A TOTAL,$106.26
08813,LC\HEP B SURF AB-QUAL,$106.26
08869,LC\HEP B SURF AB-QUANT,$106.26
08872,LC\HEPATITIS A IGM,$106.26
08875,LC\PROCALCITONIN,$189.76
08876,LC\FETAL BLEED TEST,$142.32
08922,LC\BETA-HYDROXYBUTERATE(BOHB),$125.23
08930,LC\SPEC TO QUEST LAB,$18.97
10034,LC\DAT COOMBS DIRECT,$70.22
4500000100,DRUG SCRN DIRECT OPT OBS,$174.05
4500100100,DRUGS OF ABUSE URINE,$457.06
7500000001,HIV COMBINATION ASSAY,$142.32
7500000002,OB PNL W/HIV,$548.87
7500000003,LC SALICYLATES SERUM,$299.80
7500000004,LC ACETAMINOPHEN,$383.30
7500000005,"LC ALCOHOL,ETHYL",$301.70
08232A,LC\GLU TOLERANCE EA ADD SPEC,$66.42
08232B,LC\GLU TOLERANCE EA ADD SPEC,$66.42
RL08600,LC\FOCUS\SENDOUT FEE,$49.34
RL09000,LC\Q\SENDOUT HANDLING FEE-CLNT,$49.34
06108,LC\CULTURE GENITAL,$252.38
08031,LC\ANTIBIOTIC SENSITIVITY,$220.11
08148,"LC\CULTURE,ANAEROBIC",$252.38
08149,"LC\CULTURE,BLOOD",$307.40
08150,"LC\CULTURE,GC SCREEN",$113.86
08151,"LC\CULTURE,URINE",$231.50
08155,"LC\CULTURE,STOOL",$237.19
08156,"LC\CULTURE,THROAT",$252.38
08159,"LC\CULTURE,SPUTUM",$252.38
08162,"LC\CULTURE,STREP SCREEN",$113.86
08163,"LC\CULTURE,STREP SCREEN VAG",$113.86
08164,"LC\CULTURE,MRSA SCREEN",$113.86
08165,"LC\CULTURE,ROUTINE",$252.38
08247,LC\GRAM STAIN,$144.21
08301,"LC\LEUKOCYTES,STOOL",$92.98
08342,LC\GASTROCULT,$92.98
08343,LC\FOB IMMUNOASSAY,$115.75
08457,LC\WET MOUNT - TRICHOMONAS,$144.21
08472,LC\ORGANISM ID,$148.00
08482,"LC\CULTURE, SEROTYPING EA AG",$68.31
08483,LC\UR CULT W/ISOLA & PRESUM ID,$115.75
08484,"LC\CULT STOOL,EA ADD PATHOGEN",$108.16
08485,"LC\ORGANISM ID, ANAEROBIC",$104.37
08486,"LC\SENS STUDY, DISK MTD/PLT<12",$178.37
08488,"LC\SENS STUDY,ENZYME DETECTION",$77.81
450287641,MRSA PCR SCREEN,$214.64
450287653,GBS PCR,$153.40
4502000100,DNA/RNA AMPLIFIED PROBE EA,$222.91
08482A,"LC\CULTURE, SERO STAPH LATEX",$68.31
08482B,"LC\CULTURE, SERO PBP2a",$68.31
08152,LC\FOCUS\YEAST CULTURE,$200.60
08901,LC\FOCUS\AEROBIC MIC PANEL,$148.52
08904,LC\FOCUS\ANTIMICROB SUSC EACH,$83.00
4509000000,LC\Q\MITOCHOND M2 AB-IGG,$87.76
4509000004,VITAMIN D/25-HYDROXY,$7.95
4509000006,CHLAMYDIA DNA AMP PROBE,$14.66
4509000007,GC DNA AMP PROBE,$14.66
4509000008,VARICELLA ZOSTER AB IGG,$3.46
4509000009,ANTINUCLEAR AB(ANA) IFA,$2.82
4509000010,"LEAD, BLOOD QUANT",$3.26
4509000011,CYSTIC COMMON VARIANTS,$57.02
4509000012,RUBEOLA AB IGG,$2.85
4509000013,MUMPS AB IGG,$2.44
4509000014,RUBELLA QUALITATIVE IGG,$2.44
4509000016,CALCIUM,$4.48
4509000017,PARATHORMONE (PTH),$4.51
4509000018,FOLLICLE STIMLAT HORMONE-FSH,$4.00
4509000019,HIV I AG HIV I HIV II AB,$6.95
4509000020,CARCINO-EMBRYONIC AG,$3.46
4509000022,"HEP C, RT-PCR QUANT",$66.79
4509000023,LUTEINING HORMONE,$3.26
4509000024,TESTOSTERONE TOTAL,$3.26
4509000025,ANTITHYROID PEROXIDAS TPO AB,$4.89
4509000027,HERPES 1 SPEC AB IGG,$10.00
4509000028,HERPES 2 SPEC AB IGG,$10.00
4509000030,HERPES 1 INDIRECT AB IGM,$24.12
4509000031,HERPES 2 INDIRECT AB IGM,$24.13
4509000032,IMMUNOFIX ELECTRO SERUM,$4.68
4509000033,DNA ANTIBODY DBL STRAND,$5.70
4509000035,TESTOSTERONE FREE,$19.21
4509000036,TESTOSTERONE TOTAL,$19.21
4509000037,COMPLEMENT C3 AG EA,$2.85
4509000038,COMPLEMENT C4 AG EA,$2.85
4509000040,PROTEIN TOTAL,$1.47
4509000041,PROTEIN ELECTRO SERUM,$4.40
4509000042,ESTRADIOL SENSITIVE,$24.44
4509000043,ANTINUCLEAR AB(ANA) IFA,$2.82
4509000044,ALPHA FETO PROTEIN SERUM,$4.07
4509000045,"IODINE, SERUM OR PLASMA",$45.00
4509000046,CA 27-29,$4.00
4509000047,H. PYLORI STOOL AG,$30.00
4509000048,RHEUMATOID FACTOR QUANT,$3.00
4509000049,ANTISCLERODERMA-70 AB,$8.00
4509000050,PROGESTERONE,$3.37
4509000051,ANTIRIBOSOMAL P AB,$19.00
4509000052,SMITH AB,$8.99
4509000053,SMITH/RNP AB,$6.65
4509000054,SJOGREN'S AB-SS-A,$4.77
4509000055,SJOGREN'S AB-SS-B,$5.00
4509000056,"IMMUNOGLOBULIN A, QN, SERUM",$4.00
4509000057,ESTROGENS TOTAL,$5.70
4509000058,HEP C RNA BY PCR QUANT,$66.79
4509000059,ANTIBODY PYLORI QUANT,$5.70
4509000061,O&P SMEAR,$7.32
4509000062,O&P COMPLEX STAIN,$7.32
4509000063,CCP AB IGG/IGA,$10.12
4509000064,TESTOSTERONE TOTAL,$6.65
4509000065,PRE-ALBUMIN,$4.00
4509000066,"IMMUNOGLOBULIN G, QN, SERUM",$4.00
4509000067,"IMMUNOGLOBULIN M, QN, SERUM",$4.00
4509000068,PROLACTIN,$3.26
4509000070,ABN PTT/APTT-THROMBIN TIME,$44.52
4509000071,ABN PTT/APTT-PTT,$44.52
4509000072,ABN PTT/APTT-RUSS VIPER VENOM,$44.52
4509000073,ABN PTT/APTT-RUSS VIPER VENOM,$44.52
4509000074,ABN PTT/APTT-PROTIME,$44.52
4509000075,ABN PTT/APTT-INTREP,$44.56
4509000076,HCV GENOTYPE NON REFLEX,$81.45
4509000077,FACTR V LEIDEN MUTATION,$26.06
4509000078,ANTITHYROGLOBULIN AB,$6.74
4509000079,C-PEPTIDE SERUM,$3.65
4509000080,CARDIOLIPIN AB IGG QNT,$2.82
4509000081,CARDIOLIPIN AB IGM QNT,$2.82
4509000082,CARDIOLIPIN AB IGA QNT,$2.82
4509000083,ANTITHROMBIN ACTIV,$14.50
4509000084,PROTEIN C ACTIVITY,$14.10
4509000085,PROTEIN S ACTIVITY,$12.22
4509000086,DEHYDROEPIANDRST SULFATE,$5.00
4509000088,PHOSPHATIDYLSERINE IGG,$6.52
4509000089,PHOSPHATIDYLSERINE IGM,$6.52
4509000090,PHOSPHATIDYLSERINE IGA,$6.51
4509000091,TACROLIMUS ASSY,$29.38
4509000092,HOMOCYSTEINE QUANT,$12.22
4509000093,CANCER ANTIGEN CA 125,$4.70
4509000094,ZINC PLASMA OR SERUM QNT,$4.28
4509000095,"METHYLMALONIC ACID, SERUM",$11.28
4509000097,FREE K LT CHAINS,$14.00
4509000098,FREE L LT CHAINS,$14.00
4509000100,ALLLERGENS AREA 12-IGE,$3.77
4509000101,ALLLERGENS AREA 12-1,$3.63
4509000102,ALLLERGENS AREA 12-2,$3.63
4509000103,ALLLERGENS AREA 12-3,$3.63
4509000104,ALLLERGENS AREA 12-4,$3.63
4509000105,ALLLERGENS AREA 12-5,$3.63
4509000106,ALLLERGENS AREA 12-6,$3.63
4509000107,ALLLERGENS AREA 12-7,$3.63
4509000108,ALLLERGENS AREA 12-8,$3.63
4509000109,ALLLERGENS AREA 12-9,$3.63
4509000110,ALLLERGENS AREA 12-10,$3.63
4509000111,ALLLERGENS AREA 12-11,$3.63
4509000112,ALLLERGENS AREA 12-12,$3.63
4509000113,ALLLERGENS AREA 12-13,$3.63
4509000114,ALLLERGENS AREA 12-14,$3.63
4509000115,ALLLERGENS AREA 12-15,$3.63
4509000116,ALLLERGENS AREA 12-16,$3.63
4509000117,ALLLERGENS AREA 12-17,$3.63
4509000118,ALLLERGENS AREA 12-18,$3.63
4509000119,ALLLERGENS AREA 12-19,$3.63
4509000120,ALLLERGENS AREA 12-20,$3.63
4509000121,ALLLERGENS AREA 12-21,$3.63
4509000122,ALLLERGENS AREA 12-22,$3.63
4509000124,THIAMINE(VITAMIN B1),$12.14
4509000125,CALCIUM IONIZED,$3.50
4509000126,IMMUNOFIX ELECTRO URINE,$16.18
4509000127,CORTISOL TOTAL,$2.28
4509000128,VITAMINE B6,$7.25
4509000130,ANTIEXTRACTABLE NUC AG,$5.00
4509000131,ANTIEXTRACTABLE NUC AG,$5.00
4509000132,PREGNENOLONE,$26.23
4509000134,ALLERGENS (15) FOODS-1,$3.26
4509000135,ALLERGENS (15) FOODS-2,$3.26
4509000136,ALLERGENS (15) FOODS-3,$3.26
4509000137,ALLERGENS (15) FOODS-4,$3.26
4509000138,ALLERGENS (15) FOODS-5,$3.26
4509000139,ALLERGENS (15) FOODS-6,$3.26
4509000140,ALLERGENS (15) FOODS-7,$3.26
4509000141,ALLERGENS (15) FOODS-8,$3.26
4509000142,ALLERGENS (15) FOODS-9,$3.26
4509000143,ALLERGENS (15) FOODS-10,$3.26
4509000144,ALLERGENS (15) FOODS-11,$3.26
4509000145,ALLERGENS (15) FOODS-12,$3.26
4509000146,ALLERGENS (15) FOODS-13,$3.26
4509000147,ALLERGENS (15) FOODS-14,$3.26
4509000148,ALLERGENS (15) FOODS-15,$3.26
4509000149,VITAMIN A,$9.50
4509000150,DEHYDROEPIANDRSTRONE,$4.89
4509000151,PHOSPHOLP NEUT HEXAGONAL,$21.99
4509000152,LEVETIRACETAM,$10.59
4509000153,CYCLOSPORINE,$13.49
4509000154,HAPTOGLOBIN,$3.67
4509000155,T-TRANSGLUTAMINASE IGA,$8.15
4509000157,CHILDHOOD ALLERGY PRF- IGE,$3.67
4509000158,CHILDHOOD ALLERGY PRF- 1,$3.54
4509000159,CHILDHOOD ALLERGY PRF- 2,$3.54
4509000160,CHILDHOOD ALLERGY PRF- 3,$3.54
4509000161,CHILDHOOD ALLERGY PRF- 4,$3.54
4509000162,CHILDHOOD ALLERGY PRF- 5,$3.54
4509000163,CHILDHOOD ALLERGY PRF- 6,$3.54
4509000164,CHILDHOOD ALLERGY PRF- 7,$3.54
4509000165,CHILDHOOD ALLERGY PRF- 8,$3.54
4509000166,CHILDHOOD ALLERGY PRF- 9,$3.54
4509000167,CHILDHOOD ALLERGY PRF- 10,$3.54
4509000168,CHILDHOOD ALLERGY PRF- 11,$3.54
4509000169,CHILDHOOD ALLERGY PRF- 12,$3.54
4509000170,CHILDHOOD ALLERGY PRF- 13,$3.54
4509000171,CHILDHOOD ALLERGY PRF- 14,$3.54
4509000172,CHILDHOOD ALLERGY PRF- 15,$3.54
4509000173,CHILDHOOD ALLERGY PRF- 16,$3.54
4509000174,ACTH PLASMA,$5.75
4509000175,BETA-2-MICROGLOBLN,$4.00
4509000176,ASCORBIC ACID(VITAMIN C),$11.24
4509000177,REMOVE DUPLICATE AND RENUMBER,$32.58
4509000178,REMOVE DUPLICATE AND RENUMBER,$32.58
4509000179,REMOVE DUPLICATE AND RENUMBER,$32.58
4509000181,HGB FRAC CHROMATOGRAPHY,$2.29
4509000182,HGB FRAC - HCT,$2.29
4509000183,HGB FRAC - HGB,$2.29
4509000184,HGB FRAC - RBC CT,$2.29
4509000185,HGB + HCT + RBC,$6.00
4509000186,HGB + HCT + RBC- HGB,$1.50
4509000187,HGB + HCT + RBC - HCT,$1.50
4509000188,HGB + HCT + RBC - RBC,$3.00
4509000189,AMPHETAMINE CONF GC/MS,$14.70
4509000190,INSULIN TOTAL,$3.37
4509000192,"GLIADIN IGG AB PROF, EIA",$7.68
4509000193,"GLIADIN IGA AB PROF, EIA",$7.69
4509000194,VITAMIN K1,$57.00
4509000195,CERULOPLASMIN,$4.69
4509000197,FOLIC ACID RBC,$4.10
4509000198,FOLIC ACID HCT,$1.00
4509000199,HLA B 27 ASSOC,$18.75
4509000200,VITAMN E(TOCOPHRL ALPHA),$8.65
4509000202,EB NUC AG,$7.97
4509000203,EBVCA IGG,$8.20
4509000204,EBVCA IGM,$8.20
4509000205,C-TELOPEPTIDE SERUM,$56.61
4509000206,CORTISOL TOTAL,$2.28
4509000207,HERPES II AB IGG,$14.01
4509000208,VIT D 1 25-DIHYDROXY,$31.52
4509000209,THYROGLOBULIN-ANTIBODY,$6.74
4509000210,HYDRXYPRGSTRONE 17-OH,$10.00
4509000211,FAT OR LIPID FECES QUAL,$5.00
4509000212,APOLIPOPROTEIN B,$6.72
4509000214,PSA TOTAL,$4.87
4509000215,PSA FREE,$4.90
4509000216,ANTIPARIETAL CELL ANTIBODY,$8.15
4509000218,"SJOGREN'S AB, ANTI-SS-A",$4.89
4509000219,"SJOGREN'S AB, ANTI-SS-B",$4.88
4509000221,LYME WESTERN BLOT IGG WB,$7.90
4509000222,LYME WESTERN BLOT IGM WB,$7.90
4509000223,CRYOGLOBULINS SEMI QNT,$4.70
4509000224,"RNA, REAL TIME PCR",$74.93
4509000225,ANTI-STREPTOLYSN O AB,$3.67
4509000226,IG-E SERUM TOTAL,$4.25
4509000227,THROMBIN TIME PLASMA,$8.00
4509000228,PHOSPHOLP NEUT HEXAGONAL,$21.99
4509000229,FLURO ANTI-CENTROMERE,$5.29
4509000230,GIARDIA LAMBLIA AG,$8.15
4509000231,CMV DNA QUANT,$78.00
4509000232,CA 19-9,$4.00
4509000233,FACTR VIII VW AG CO-FCTR,$57.02
4509000235,CREAT URINE,$3.41
4509000236,PROTEIN URINE,$3.41
4509000237,"PROTEIN ELECTRO, URINE",$3.43
4509000238,EBV DNA QUANT,$138.00
4509000239,COPPER SERUM,$5.00
4509000240,CMV AB IGG TITR,$4.60
4509000241,HGB SOLUBILITY,$3.37
4509000242,"OSMOLALITY, FECAL",$4.89
4509000243,CMV AB IGM,$4.28
4509000244,ALDOSTERONE LCMS,$4.23
4509000246,PHOSPHATASE ALKALINE,$2.50
4509000247,PHOSPHATASE ISO ALK,$2.50
4509000248,ANTIGLOMERULAR BM AB,$7.33
4509000249,CLOT FCTR VIII(AHG),$15.00
4509000250,MERCURY QUANTITATIVE,$15.48
4509000251,ENDOMYSIAL AB IGA,$5.30
4509000252,ERYTHROPOIETIN,$7.33
4509000253,HSV CUL W/ID NON IMMUNO,$11.40
4509000254,T-CELLS T4/T8 W/RATIO,$16.29
4509000255,RENIN ACTIVITY,$5.00
4509000256,RUBEOLA AB,$7.49
4509000257,CALPROTECTIN FECAL,$100.00
4509000258,ALDOLASE,$2.00
4509000259,ANTITRYPSIN ALPHA 1 TOTL,$4.50
4509000260,ARSENIC QUANTITATIVE,$10.00
4509000261,HEPATITIS BE ANTIGEN,$2.35
4509000262,CORTISOL TOTAL,$2.63
4509000263,IGF-1,$6.11
4509000264,TOPIRAMATE LVL,$9.77
4509000265,RIBOFLAVIN(VITAMIN B2),$7.75
4509000267,RETICULIN IGA ANTIBODIES SCREE,$12.12
4509000268,RETICULIN IGA ANTIBODIES TITER,$12.12
4509000269,BCR/ABL1 MAJOR BREAKPNT QUANT,$162.90
4509000270,TRANSFERRIN,$2.44
4509000271,VITAMIN B5,$45.61
4509000272,VASOPRESSIN (ADH),$24.44
4509000273,INTRINSIC FACTOR ANTIBDY,$5.00
4509000274,COMPLEMENT TOTAL CH50,$4.00
4509000275,COCCIDIOIDOMYCOSIS AB,$18.00
4509000276,T-CELLS ABSOLUTE CD4 CNT,$24.44
4509000277,MYCOPHENOLC ACD(CELLCPT),$40.00
4509000278,CALCIUM 24HR URINE QUAN,$2.00
4509000279,HEMOCHROM COMMON VARIANT,$61.09
4509000280,DESOXYRINUCLEASE AB,$14.66
4509000281,MITOCHONDRIAL M2 AB,$5.95
4509000282,COBALT PLASMA,$21.99
4509000283,GROWTH HORMONE(HGH),$7.94
4509000284,ANGIOTENSIN CONV ENZYME,$3.67
4509000286,URINE CREATINIE 24 HR,$3.24
4509000287,URINE PROTEIN 24 HR,$3.24
4509000288,URINE PROTEIN ELECTRO 24HR,$3.25
4509000289,COCCIDIOIDOMYCOSIS AB,$13.06
4509000291,FUNGUS CULTURE,$7.50
4509000292,FUNGUS SMEAR,$7.50
4509000293,ANTI-JO-1,$14.66
4509000294,CHROMIUM RBC,$84.00
4509000295,EVEROLIMUS,$122.00
4509000296,SEX HORMONE BINDING GLOB,$16.29
4509000297,"CALPROTECTIN, FECAL",$100.00
4509000299,HEAVY METALS ARSENIC,$11.41
4509000300,HEAVY METALS LEAD,$11.41
4509000301,HEAVY METALS MERCURY,$11.40
4509000302,HBV REAL TIME PCR QUANT,$73.31
4509000303,MAGNANESE,$33.72
4509000304,SELENIUM,$28.51
4509000305,QUANTIFERON TB GOLD,$40.00
4509000306,LIPOPROTEIN a,$81.45
4509000307,RNA PCR RFLX,$333.13
4509000311,"CARNITINE, TOTAL & FREE",$20.00
4509000312,VITAMIN K,$57.00
4509000313,JAK2 MUTATION ANALYSIS,$107.92
4509000314,ANTI-MULLERIAN HORMONE,$45.61
4509000315,ANDROSTEINE,$10.00
4509000317,"PLATELET ANTIBODIES,SERUM",$10.31
4509000318,"PLATELET ANTIBODIES,SERUM",$10.30
4509000319,"PLATELET ANTIBODIES,SERUM",$10.30
4509000320,"PLATELET ANTIBODIES,SERUM",$10.30
4509000322,"PLATELET AUTOANTIBODIES, WB",$22.54
4509000323,"PLATELET AUTOANTIBODIES, WB",$22.53
4509000324,"PLATELET AUTOANTIBODIES, WB",$22.53
4509000326,LD ISOENZMES,$3.04
4509000327,LDH,$3.03
4509000329,ANTI-DSDNA ANTIBODIES,$3.64
4509000330,ANTICHROMATIN ANTIBODIES,$3.64
4509000331,RNP ANTIBODIES,$3.64
4509000332,SMITH ANTIBODIES,$3.64
4509000333,SJOGREN'S ANTI-SS-A,$3.64
4509000334,SJOGREN'S ANTI-SS-B,$3.64
4509000335,RHEUMATOID FACTOR,$3.64
4509000337,IMMUNOGLOBULIN IGA,$5.30
4509000338,"TTG, IGA",$5.30
4509000339,"ENDOMYSIAL ANTIBODY,IGA",$5.29
4509000341,"CALCIUM, RANDOM URINE",$2.65
4509000343,ANCA IG ABS IFA,$68.34
4509000344,ANCA IGM ABS IFA,$68.33
4509000345,ANCA IGA ABS IFA,$68.33
4509000346,SJOGREN'S ANTI-SS-A,$4.77
4509000347,SJOGREN'S ANTI-SS-B,$5.00
4509000348,HEP B SURFACE AG,$2.35
4509000349,ALDOLASE,$2.00
4509000350,VARICELLA ZOSTER AB IGM,$13.49
4509000351,BK QUANTITATION PCR,$155.00
4509000352,"BK QUANTITATION PCR, URINE",$235.00
