Charge Code,Charge Desc,Charge Amt
4127817,ALOXI INJ 0.25MG/5ML,"$1,312.50 "
4127818,FORTAMET TAB 1000MG,$41.60 
4127820,REVATIO TAB 20MG,$39.20 
4127822,ESOMEPRAZOLE INJ 40MG,$192.65 
4127823,NOREPINEPHRINE 4MG/NS 250ML,$204.30 
4127824,FIDAXOMICIN TAB 200MG,$539.50 
4127825,LIDOCAINE 1% W/EPI 1-100 30ML,$174.40 
4127827,CLINDAMYCIN 900MG IN D5W,$177.50 
4127828,MESALAMINE TAB 1.2GM,$44.45 
4127829,CEFAZOLIN 2GM/D5W 50ML,$177.85 
4127831,POVIDONE-IODINE 5% EYE DROP 30ML,$60.15 
4127832,ZINC SULFATE INJ 5MG/ML 5ML VIAL,$170.85 
4127833,POTASSIUM CHLORIDE INJ 2MEQ/ML,$170.50 
4127834,ROPIVACAINE 7.5% INJ 20ML,$178.30 
4127835,ESMOLOL 2500MG/NS 250ML,"$1,312.30 "
4127836,AMIDACIN INJ 1GM/4ML,$180.60 
4127837,QUETIAPINE SR TAB 200MG,$53.05 
4127840,LIDOCAINE 1% EPI 1-200T 30ML,$173.75 
4127841,PEMETREXED SOLN 100MG,"$3,221.81 "
4127842,ALUMINUM HYDROXIDE 320MG/5ML,$36.25 
4127844,CETUXIMAB INJ 200MG,"$4,614.15 "
4127845,EMEND INJ 150MG,"$1,260.95 "
4127846,DOXORUBICIN INJ 200MG,$207.00 
4127847,SUNITINIB TAB 25MG,"$1,042.60 "
4127848,FLECAINIDE ACETATE TABLET 50MG,$36.55 
4127849,BUTORPHANOL INJ 1MG/0.5ML,$91.90 
4127851,AZELASTINE 0.05% OPHTH DROP 6ML,$81.00 
4127852,HYDROCORTISONE NA SUC PF INJ 10MG,$174.22 
4127854,CHLORPHENIRAMINE ER TABLET 12MG,$36.65 
4127855,FERUMOXYTOL INJ 510MG,"$2,846.45 "
4127856,LIDOCAINE 2% EPI 1-100 20ML,$171.90 
4127857,GUAIFENESIN DM ORAL SYRUP 1MG,$36.80 
4127857,GUAIFENESIN DM ORAL SYRUP 1MG,$36.75 
4127858,MERCUROCHROME TOPICAL LIQ 60ML,$62.85 
4127860,METHOTREXATE INJ 25MG/ML 10ML,$183.75 
4127861,PHENOBARBITAL TAB 65MG,$45.55 
4127863,PROPRANOLOL ORAL SOLN 1MG/ML,$37.25 
4127864,HYCODAN SYRUP (GENERIC) 5ML,$45.30 
4127865,VALPROIC ACID ORAL LIQ 500MG/10ML,$37.70 
4127870,MIDAZOLAM INJ 2MG/0.4ML 0.4ML,$37.35 
4127871,MIDAZOLAM INJ 1MG/ML 1ML,$89.75 
4127872,DARUNAVIR TAB 400MG,$59.25 
4127873,"LIDOCAINE 1% W/EPI 1-100,000 10ML",$172.25 
4127875,"HEPARIN 30,000 UNITS/NS 1000ML",$179.40 
4127876,EXEMESTANE TAB 25MG,$45.05 
4127877,BUPIVACAINE MPF INJ 0.75% 30ML,$170.35 
4127880,METYROSINE CAP 250MG,$68.60 
4127881,CISATRACURIUM INJ 20MG/10ML,$184.70 
4127882,CISATRACURIUM INJ 10MG/5ML,$253.45 
4127883,DENUSOMAB INJ 60MG/1ML,"$4,484.50 "
4127884,MICONAZLE 2% SPRAY 113MG,$64.10 
4127885,TINIDAZOLE TAB 500MG,$40.20 
4127886,CARMOL-40 CREAM 198.6GM,$171.85 
4127887,ESTRADIOL 0.0375MG PATCH,$37.40 
4127888,STARLIX TAB 120MG,$36.70 
4127889,VIROPTIC 1% OPHTH SOLN 7.5ML,$99.00 
4127898,AMILORIDE TAB 5MG,$36.70 
4127903,DIDANOSINE SR CAP 200MG,$40.00 
4127904,DIDANOSINE SR CAP 400MG,$44.35 
4127905,DOBUTAMINE IN D5W 250MG/250ML,$88.40 
4127912,MILRINONE INJ 20MG/20ML,$176.50 
4127977,OCTREOTIDE INJ 0.025MG,$180.60 
4128000,ALBUTEROL SYRUP 0.4MG/ML,$36.75 
4128001,MORPHINE PF INJ 200MG/10ML,$185.85 
4128002,MORPHINE PF INJ 500MG/20ML,$930.65 
4128005,OXYCONTIN SR TAB 10MG,$48.20 
4128006,AMOXICILLIN SUSP  50MG,$36.80 
4128007,OXYCODONE SR TAB 40MG,$55.40 
4128010,AMPICILLIN INJ 1000MG,$172.00 
4128011,AMPICILLIN INJ 2000MG,$171.70 
4128012,HEMOPHILLUS B FLU INJ,$201.50 
4128013,COMPOUND TINCTURE OF BENZOIN 59ML,$64.45 
4128014,ZANTAC SYR 150MG,$39.05 
4128018,ETHANOLAMINE 5% INJ 2ML,"$1,750.60 "
4128030,LITHIUM SR TAB 300MG,$36.55 
4128032,MAGNESIUM CL SR TAB 64MG,$36.30 
4128040,LUPRON DEPOT 3 MO INJ 11.25MG,"$8,257.91 "
4128043,LUPRON INJ 3.75MG,"$5,031.78 "
4128044,OMEPRAZOLE CAP 20MG UD,$35.95 
4128046,SELEGILINE CAP 5MG,$37.50 
4128049,PRILOSEC PED SUSP 2 MG/ML,$36.85 
4128050,SOOTHING LOTION 225ML,$61.25 
4128052,DIMERCAPROL INJ 300MG,$262.50 
4128054,EDETATE CA DISOD INJ 1GM,$211.00 
4128059,PROPOFOL INJ 1GM/100ML,$101.30 
4128060,PROPOFOL INJ 200MG/20ML,$92.00 
4128061,PROPOFOL INJ 500MG/50ML,$106.50 
4128064,FLUCONAZOLE TAB 50MG.,$36.60 
4128065,FLUCONAZOLE TAB 100MG,$37.20 
4128066,FLUCONAZOLE TAB 200MG,$38.25 
4128069,FELODIPINE TAB 5MG,$36.35 
4128070,FOSCARNET INJ 6000MG,$229.40 
4128071,TICLOPIDINE TAB 250MG,$37.75 
4128073,FELODIPINE TAB 2.5 MG,$35.95 
4128080,LOSARTAN TAB 25MG,$35.90 
4128081,LOSARTAN TAB 50MG,$35.90 
4128082,COZAAR TABLET 100 MG,$39.50 
4128088,GEODON INJ 20 MG,$195.95 
4128089,GEODON CAP 20 MG,$36.55 
4128100,ACTIQ LOZENGE 600 MCG,$63.20 
4128107,CEFIXIME LIQ 100MG/5ML,$60.45 
4128111,MOBIC TAB 7.5MG,$36.00 
4128117,SALIVA SUBSTITUTE 120ML,$59.95 
4128127,VALPROIC ACID SYR 500MG,$36.75 
4128128,VALPROIC ACID SYR 250MG,$36.35 
4128132,NIFEDIPINE XL TAB 30MG,$36.80 
4128133,NIFEDIPINE XL TAB 60MG,$36.70 
4128134,PSEUDOEPHEDRINE CAP 120MG,$36.55 
4128138,FERROUS SULFATE SR TAB 142MG,$36.25 
4128140,ATRACURIUM INJ 10ML,$181.50 
4128152,CAPSAICIN 0.025% CREAM 45G,$63.85 
4128153,CAPSAICIN 0.075% CREAM 60G,$64.40 
4128154,IVERMECTIN 0.5% LOTION,$62.15 
4128155,FESOTERODINE ER TAB 4MG,$45.45 
4128157,FESOTERODINE ER TAB 8MG,$45.45 
4128158,  MICONAZOLE 2% POWDER 85GM,$60.15 
4128159,MICONAZOLE 2% CREAM 118ML,$60.25 
4128164,MAXZIDE TAB 25MG,$36.90 
4128166,BUPIVICAINE 0.25% INJ 10ML,$171.70 
4128168,BUPIVICAINE 0.5% INJ 10ML,$171.50 
4128169,BUPIVIC 0.5% W EPI INJ 10ML,$172.20 
4128180,MIACALCIN NASAL SPRAY 3.7 ML,$83.85 
4128201,FAMOTIDINE SUS 20MG,$39.20 
4128202,MESALAMINE ENEMA 4G/60ML,$47.25 
4128204,PYRIDOSTIG SR TAB 180MG,$46.15 
4128210,GUAIFENESIN LA TAB 600MG,$36.55 
4128212,DOFETILDE CAP 125MCG,$40.85 
4128213,DOFETILDE CAP 250MCG,$43.90 
4128214,DOFETILDE CAP 500MCG,$44.05 
4128217,RELAFEN TAB 500MG,$39.55 
4128223,HUMALOG INSULIN 10ML,$221.80 
4128231,KETOROLAC TAB 10MG,$36.95 
4128234,CYCLOPHOSPHAMIDE CAP 25MG,$47.45 
4128235,CYCLOPHOSPHAMIDE TAB 50MG,$49.25 
4128237,DAKINS MOD. 1/4 STR 480ML,$67.65 
4128254,NIFEDIPINE XL TAB 90MG,$36.45 
4128255,VERAPAMIL SR TAB 180MG,$36.80 
4128256,VERAPAMIL SR TAB 120MG,$37.10 
4128257,PROPAFENONE SR CAP 325 MG,$43.90 
4128258,GANCICLOVIR INJ 500 MG,$261.45 
4128259,ATAZANAVIR CAP 200MG,$62.90 
4128262,RYTHMOL CAP 150MG,$36.20 
4128263,RYTHMOL CAP 300MG,$36.15 
4128264,PROPAFENONE TAB 225MG,$36.40 
4128265,PROPAFENONE SR CAP 225 MG,$40.95 
4128281,TIMOLOL 0.25% OPH SOL 5ML,$60.35 
4128282,PREDNISOLONE LIQ 5MG/5ML,$40.20 
4128284,TIMOLOL 0.5% OP DP,$57.85 
4128285,HYDROXYZINE INJ 100MG/2ML,$174.95 
4128286,OCTREOTIDE INJ 0.025MG/1,$172.65 
4128287,PITAVASTATIN TAB 2M,$45.10 
4128288,FILGASTRIM INJ 300MCG,"$1,412.00 "
4128289,FILGASTRIM INJ 480MCG,"$2,147.60 "
4128299,SIMVASTATIN TAB 10MG,$36.00 
4128300,PROTONIX TAB 40MG,$39.05 
4128301,EMLA TOPICAL CREAM 5GM *NF,$79.90 
4128302,BETOPTIC 0.25% OPHTH DPS 2.5ML,$81.30 
4128304,MORPHINE SR TAB 15MG UD,$45.60 
4128305,ONDANSETRON TAB 4MG,$82.40 
4128306,OFLOXACIN TAB 200MG,$43.75 
4128310,OFLOXACIN TAB 400MG,$41.30 
4128311,CYCLOSPORINE INJ 250 MG/5 ML,$201.85 
4128313,CYCLOSPORINE ORAL 100MG,$101.15 
4128315,CYCLOSPORINE ORAL 100MG,$49.65 
4128316,CARBOPROST TROMETH INJ 250MCG,"$10,568.40 "
4128318,DYNACIRC CAP 2.5 MG *NF*,$36.85 
4128320,DYNACIRC CAP 5MG *NF*,$38.85 
4128322,FENTANYL PATCH  25MCG,$46.85 
4128324,FENTANYL PATCH  50MCG,$48.30 
4128325,FENTANYL PATCH  75MCG,$50.55 
4128326,FENTANYL PATCH 100MCG,$55.55 
4128328,OCTREOTIDE INJ 0.025MG/2,$190.00 
4128330,EUCERIN CREAM 120GM,$63.85 
4128333,LUMIGAN 0.03% OPH SOLN 2.5ML,$162.80 
4128335,LODINE CAP 400MG,$39.65 
4128339,DEXTROSE 10% INJ 5ML,$171.75 
4128342,SIMVASTATIN TAB 5MG,$35.95 
4128344,SIMVASTATIN TAB 20MG,$36.00 
4128345,SIMVASTATIN TAB 80 MG,$36.20 
4128346,SIMVASTATIN TAB 40MG,$36.00 
4128347,LEVOFLOXACIN TAB 250MG,$36.15 
4128348,LEVOFLOXACIN TAB 500MG,$36.15 
4128349,LEVOFLOXACIN TAB 750MG,$36.65 
4128350,ARTIFICIAL TEARS OPH DPS 0.3ML,$36.10 
4128351,CYMBALTA CAP 20 MG,$36.80 
4128352,DIVALPROEX NA TAB 125MG,$36.60 
4128353,DIVALPROEX NA CAP 125MG,$37.60 
4128354,SODIUM CHLORIDE 14.6% 30ML,$171.30 
4128355,DIVALPROEX CR TAB 500MG,$38.35 
4128356,CIPRO INJ 200MG,$80.30 
4128357,DIVALPROEX ER TAB 250 MG,$37.15 
4128358,CIPRO INJ 400MG,$173.70 
4128361,DIPYRIDAMOLE INJ 50MG/10ML,$174.60 
4128362,WELCHOL TAB 625 MG,$39.50 
4128368,DANTROLENE ORAL SUSP 5MG/ML,$40.00 
4128382,LORTAB LIQ 10ML,$50.75 
4128386,LOPID CAP 600MG,$36.35 
4128390,PROSCAR TAB 5MG,$40.00 
4128400,PANTOPRAZOLE INJ 40MG,$174.35 
4128401,OLOPATADINE 0.2% OPH DROP 2.5ML,$125.60 
4128402,CALCIUM ACETATE TAB 667MG,$36.80 
4128426,BENAZEPRIL TAB 5MG,$38.90 
4128427,BENAZEPRIL TAB 10MG,$39.00 
4128430,SINEMET CR TAB 50/200,$36.35 
4128444,SODIUM CL 0.9% INJ 2ML,$36.55 
4128450,DOVAZOSIN TAB 1MG,$35.90 
4128451,DOVAZOSIN TAB 2MG,$35.90 
4128452,DOVAZOSIN 4MG,$36.75 
4128453,DOXAZOSIN TAB 8MG,$35.90 
4128454,PREDNISONE LIQ 30MG/30ML,$42.90 
4128455,PREDNISONE LIQ 1ML,$36.10 
4128460,CIPROFLO 0.3% OP SO 2.5ML,$78.65 
4128460,CIPROFLO 0.3% OP SO 2.5ML,$69.25 
4128461,CILOXAN 0.3% OPH OINT 3.5GM,$768.25 
4128475,TPN FILTER-ADD ON 1.2 MICRON,$38.00 
4128476,MICROBORE TUBING,$37.60 
4128479,LEFUNOMIDE TAB 10MG,$44.05 
4128490,INSULIN NOVOLOG 70/30-5 UNIT,$170.65 
4128500,LEVOTHYROXINE TAB 0.075MG,$36.35 
4128502,DEXAMETHASONE INT 1MG/ML,$37.65 
4128506,MUPIROCIN 2% OINT 1GM,$52.80 
4128508,DILTIAZEM INJ 25MG/5ML,$172.05 
4128510,DILTIAZEM INJ 50MG/10ML,$172.60 
4128511,DILTIAZEM INJ 125MG/25ML,$175.50 
4128514,TRACE METALS PED INJ 3ML,$176.40 
4128516,RABIES IMMUNE GLOB INJ,"$1,929.10 "
4128523,DILTIAZEM IJ 125MGD5W 100ML PB,$177.90 
4128530,LEVOTHYROXINE TAB 0.112MG,$36.35 
4128532,NICOTINE PATCH 7MG/24H,$37.60 
4128533,NICOTINE PATCH 14MG/24H,$37.60 
4128534,NICOTINE PATCH 21MG/24H,$37.40 
4128536,FLUMAZENIL INJ 0.5MG/5ML,$173.55 
4128538,FLUMAZENIL INJ 1MG/10ML,$179.10 
4128540,CLARITHROMYCIN TAB 500 MG,$36.85 
4128541,CLARITHROMYCIN TAB 250MG,$37.85 
4128542,NITROGLYCERIN INJ 1000MG,$174.55 
4128545,EPINEPHRINE TOP SOL 5ML,$76.75 
4128546,PRAVACHOL TAB 10MG,$36.30 
4128547,PRAVACHOL TAB 80MG,$38.95 
4128548,PRAVACHOL TAB 20MG,$36.80 
4128549,PRAVASTATIN TAB 40MG,$37.10 
4128551,DILTIAZEM CD CAP 120MG UD,$36.20 
4128552,DILTIAZEM CD CAP 180MG UD,$36.15 
4128553,DILTIAZEM CD CAP 240MG UD,$36.30 
4128554,DILTIAZEM CD CAP 300MG UD,$37.15 
4128555,TORSEMIDE TAB 20MG,$36.20 
4128557,SALAGEN TAB 5MG,$39.85 
4128558,CLARITHROMYCIN SUS 500 MG,$48.40 
4128559,CLARITHROMYCIN SUSP 50MG,$37.90 
4128560,CEFUROXIME SUSP 500MG,$62.35 
4128561,SORBITOL 70% SOLN 30ML,$37.10 
4128562,CEFUROXIME LIQ 250MG/5ML,$50.60 
4128563,TORSEMIDE TAB 10MG,$36.10 
4128585,AUGMENTIN ES SUSP 600 MG/5 ML,$37.40 
4128586,AMOXICILLIN CLAV LIQ 200MG/5ML,$37.20 
4128599,BUPROPION XL TAB 150 MG,$36.70 
4128600,WELLBUTRIN TAB 75MG,$36.35 
4128601,BUPROPION SR TAB 100MG,$36.40 
4128602,WELLBUTRIN TAB 100MG,$36.45 
4128603,WELLBUTRIN SR TAB 150MG,$36.50 
4128604,FLUNISOLIDE INH 0.025%,$98.45 
4128610,BISMUTH SUBGALLATE POWDER 10G,$39.40 
4128613,ROTIGOTINE PATCH 4MG,$94.50 
4128614,MIVACURIUM INJ 2MG,$185.85 
4128616,MIVACURIUM INJ 10MG,$777.90 
4128618,NITROGLYCERIN INJ 0.2MG,$174.55 
4128620,PRECOSE TAB 50MG,$36.55 
4128631,PAMIDRONATE INJ 30MG,$184.00 
4128632,SERTALINE TAB 50MG,$36.00 
4128634,SERTALINE TAB 100MG,$35.95 
4128636,CLOZAPINE TAB 25MG,$38.65 
4128637,CLOZAPINE TAB 100MG,$48.90 
4128638,CALAMINE LOTION 177ML,$61.75 
4128648,FLUORESCEIN STRIP 1MG,$36.00 
4128652,GLUCOSE ORAL PASTE 15G,$39.95 
4128662,MMR-II VACCINE,$201.45 
4128666,RUBEOLA VIRUS VACCINE LIVE,$187.45 
4128668,POLY-VI-FLOR DPSC 50ML,$36.80 
4128674,PENICILLIN G NA INJ 5MU,$212.55 
4128675,LEVOMEFOLATE CALCIUM TAB 7.5MG,$41.00 
4128676,POTASSIUM ACET INJ 2MEQ,$173.65 
4128680,OXYCODONE LIQ 10MG,$47.05 
4128684,SODIUM THIOSUL 10% INJ 10,$176.50 
4128686,THIOGUANINE TAB 40MG,$45.30 
4128692,BETAMETHASONE 0.05% CREAM 15G,$87.25 
4128694,BETAMETHASONE 0.05% CREAM 45G,$116.95 
4128696,BETAMETHASONE 0.05% OINT 15G,$101.65 
4128698,BETAMETHASONE 0.05% OINT 45G,$126.55 
4128700,LIDOCAIN 2% VICOUS SOL 20ML UD,$36.60 
4128701,STAVUDINE CAP 30MG,$39.20 
4128703,ACETIC ACID 3% SOLN 30ML,$61.00 
4128704,LAMIVUDINE TAB 150 MG,$39.70 
4128706,RITONAVIR TAB 100MG,$45.15 
4128706,RITONAVIR TAB 100MG,$45.15 
4128708,ZIDOVUDINE SYRUP 50MG,$37.65 
4128709,RETROVIR INJ 200MG,$200.75 
4128710,SKELAXIN TAB 800 MG,$41.65 
4128711,SKELAXIN TAB 400MG,$37.45 
4128712,ESKALITH CR TAB 450MG *NF,$36.75 
4128713,TOPROL XL TAB 50MG,$37.20 
4128716,ZOLPIDEM TAB 10MG,$44.95 
4128718,FELBATOL TAB 400MG *NF*,$40.60 
4128719,ZOLIPDEM TAB 5MG,$44.95 
4128721,RISPERIDONE TAB 4MG,$36.30 
4128722,RISPERIDONE TAB 1MG,$36.00 
4128723,FELBATOL TAB 600MG,$42.80 
4128725,STAVUDINE CAP 40MG,$39.35 
4128727,GLIMEPIRIDE TAB 2MG,$36.10 
4128728,SULAR SR TAB 30MG,$53.25 
4128729,SULAR SR TAB 20MG,$50.40 
4128730,MESALAMINE CAP 250MG UP,$38.50 
4128732,ZOSYN ING 2.25GM,$181.40 
4128733,ZOSYN INJ 3.37GM,$174.00 
4128735,GLIPIZIDE SR TAB 5MG UP,$36.55 
4128736,GLIPIZIDE SR TAB 10MG UP,$36.50 
4128737,CLARITHROMYCIN SUSP 250MG,$42.60 
4128739,ACETAMINOPHEN DROPS  80MG,$5.20 
4128740,AQUAPHOR OINTMENT 50GM,$63.50 
4128743,LESCOL CAP 20MG *NF*,$39.25 
4128748,TRAMADOL TAB 50MG,$35.90 
4128749,PERMETHRIN 5% CREAM 60GM,$114.95 
4128751,METFORMIN TAB 500MG,$36.25 
4128752,METFORMIN TAB 850MG,$36.30 
4128753,ZIAC TAB 5MG,$36.35 
4128754,ZIAC TAB 2.5MG,$36.25 
4128755,COPPER INJ 0.4MG/ML,$172.85 
4128756,APREPITANT CAP 40MG,$132.50 
4128757,L-CYSTEINE INJ 50MG/ML,$209.85 
4128762,LUVOX TABLET 50MG,$39.25 
4128764,ANALGESIC BALM 30G,$61.65 
4128765,ZIAC TAB 10 MG,$36.40 
4128766,FLUMADINE TABLET 100MG,$38.15 
4128768,SUMATRIPTAN TABLET 50MG,$37.10 
4128769,TRIAMCINOLONE 0.1% CR 453GM,$86.45 
4128770,SODIUM ACETATE INJ 40MEQ,$173.40 
4128771,WHITE PETROLATUM 368GM,$63.20 
4128773,LIDOCAINE 1% INJ 5ML,$171.50 
4128775,LIDOCAINE 1% INJ EPI 5ML,$173.45 
4128783,ELTROMBOPAG TAB 50MG,$792.10 
4128787,ZOLEDRONIC ACID INJ 4MG,$214.65 
4128788,SILVER NITRATE 0.5% SOLN 60ML,$60.70 
4128789,DOVONEX 0.005% CREAM 60GM,$528.55 
4128800,TORSEMIDE TAB 100MG,$36.35 
4128811,CORLOPAM INJ 10MG,"$1,532.60 "
4128820,TEVETEN TAB 400MG,$40.55 
4128821,TEVETEN TAB 600MG,$40.80 
4128850,GLUCOVANE TAB 2.5/500MG,$39.40 
4128851,GLUCOVANCE TAB 5-500MG,$39.05 
4128852,ALREX 0.2% OPH SUS 5ML,$787.60 
4128879,GELCLAIR CONC GEL 15ML,$47.00 
4128887,FOMEPIZOLE INJ 1500MG,"$2,120.30 "
4128888,TENECTEPLASE INJ 50MG,"$20,214.65 "
4128889,ACTONEL TAB 5MG,$41.25 
4128892,INDINAVIR CAP 200 MG.,$37.20 
4128893,ERTAPENEM 1GM IN NS 50ML,$177.55 
4128894,MEROPENEM 500MG IN NS 50ML,$170.50 
4128897,TBO-FILGRASTIM INJ 300MCG,"$1,185.35 "
4128899,TBO-FILGRASTIM INJ 480MCG,"$1,794.85 "
4128901,THYROTROPIN ALPHA INJ 1.1MG,"$11,955.45 "
4128912,LAC-HYDRIN LOTION 225GM,$77.50 
4128934,CYMBALTA CAP 30MG,$36.70 
4128955,VIREAD TAB 300MG,$73.65 
4128977,COSOPT OPHTH SOLN 10ML,$807.75 
4128989,DETROL SR CAP 2MG,$46.80 
4128990,DETROL SR CAP 4MG,$46.80 
4128991,CLOTRIMAZOLE 1% SOLN 10ML,$93.20 
4128992,METROPROLOL SR TAB 100MG,$37.25 
4128993,METOPROLOL SR TAB 25MG,$36.80 
4129001,TERAZOSIN TAB 1MG,$35.95 
4129002,TERAZOSIN TAB 2MG,$35.95 
4129008,PREVACID CAP 15MG,$38.50 
4129009,LANSOPRAZOLE PED SUSP 3 MG/ML,$37.00 
4129010,PREVACID CAP 30MG,$36.95 
4129011,LANSOPRAZOLE DR SUSP 30MG,$39.15 
4129014,FAMVIR TAB 500 MG,$39.70 
4129015,FAMVIT TAB 125 MG,$39.55 
4129016,FOSAMAX TAB 10MG,$36.00 
4129017,DORZOLAMIDE 2% OPH SOL 10 ML,$68.65 
4129021,TRICHLOROACETIC ACID 25%,$55.30 
4129023,HYZAAR TAB 50/12.5,$40.40 
4129107,ALENDRONATE TAB 70MG,$38.05 
4129133,OLANZAPINE TAB 10MG IF,$36.25 
4129134,OLANZAPINE TAB 5MG NF,$36.25 
4129135,OLANZAPINE TAB 2.5MG,$36.50 
4129136,OLANZAPINE (ZYDIS) TAB 5MG,$50.00 
4129140,RIFAMPIN INJ 600MG,$261.85 
4129199,LAMIVUDINE SOLUTION 50MG/5ML,$38.65 
4129202,VIRAMUNE TAB 200MG,$48.70 
4129206,MYCOBUTIN CAP 150MG,$52.50 
4129208,MAVIK TAB 2MG,$39.95 
4129210,ZAFIRLUKAST TAB 20MG,$38.30 
4129212,MIRTAZAPINE TAB 15MG,$36.00 
4129214,MIRTAZAPINE TAB 30MG,$35.95 
4129215,MIRTAZAPINE TAB 45MG,$36.55 
4129218,FLUTICASONE INHALER 44MCG,$672.50 
4129219,FLONASE 0.05% NASAL SPRAY 16GM,$62.85 
4129220,FLUTICASONE INHALER 110MCG,$145.20 
4129222,FLUTICASONE INHALER 220MCG,"$1,333.85 "
4129224,GLIMEPIRIDE TAB 4MG,$36.00 
4129228,EUCERIN LOTION 6 OZ,$65.65 
4129240,LIDOCAINE DENTAL CART,$170.65 
4129241,ROPIVACAINE 0.5% INJ 10ML,$174.65 
4129242,GLYCERIN SOL 30ML,$37.80 
4129243,ROPIVACAINE INJ 0.2% 20ML,$170.65 
4129244,ROPIVACAINE INJ 1% 20ML,$179.30 
4129245,ROPIVACAINE INJ 0.5% 30ML,$176.55 
4129246,ROPIVACAINE 0.2% 100ML,$204.40 
4129247,CETIRIZINE SYRUP 5MG/5ML,$36.85 
4129248,CETIRIZINE TAB 10MG,$36.00 
4129249,CETIRIZINE TAB 10MG/1,$35.95 
4129250,ARICEPT TAB 5MG NF,$36.00 
4129254,INDINAVIR CAP 400MG,$38.25 
4129256,CELEBREX CAP 100MG,$37.25 
4129257,CELEBREX CAP 200MG,$37.65 
4129260,SODIUM CL ORAL 4MEQ/ML,$171.30 
4129262,CORTISPORIN OINTMENT 15GM,$569.10 
4129268,MICRONEFRIN 2.25% 0.5ML,$61.40 
4129272,IRINOTECAN INJ 100MG,$227.50 
4129274,LIPITOR TAB 10MG,$39.20 
4129275,LIPITOR TAB 20MG,$39.20 
4129276,LIPITOR TAB 40MG,$39.35 
4129278,MERREM INJ 500MG,$83.20 
4129280,MERREM INJ 1GM,$180.50 
4129282,NASALCROM SPRAY 13ML,$77.10 
4129288,ARICEPT TAB 10MG,$35.90 
4129290,BUPIVICAINE 0.75% INJ MPF,$174.30 
4129291,POVIDONE IOD SCRUB 4OZ,$62.25 
4129292,AUGMENTIN BID TAB 875MG,$37.65 
4129294,CLIMARA PATCH .05MG *NF*,$43.05 
4129333,GLEEVEC CAP 100MG,$142.65 
4129335,ADVAIR DISKHALER 500/50 28'S,$74.25 
4129336,ADVAIR DISKHALER 250/50 28'S,$68.70 
4129337,ADVAIR DISKHALER 100/50 28'S,$68.70 
4129380,LAMISIL 1% CREAM 12GM,$80.50 
4129702,PATANOL 0.1% OPH SOL 5ML,$112.55 
4129708,DOSTINEX TAB 0.5MG,$50.95 
4129710,DICLOXACILLIN CAP 250MG,$36.30 
4129720,RISPERIDONE TAB 0.25MG,$36.40 
4129722,RISPERIDONE TAB 0.5MG,$36.35 
4129850,FE VIT C VIT B12 FA TAB,$37.35 
4129888,ELIDEL 1% CREAM 30MG,$569.80 
4129930,TRIAMCINOLONE 0.1% CR 80GM,$64.90 
4129993,TRIAMCINOLONE ACET 0.1%OT 80GM,$67.70 
4152965,FILTER TRIMED 0.22 MICRON,$39.35 
4157054,FILTER 0.8 MICRON,$38.40 
4157230,NITROGLYCERIN PUMP SET,$45.25 
4160003,WATER FOR INJ 250ML,$100.40 
4160006,SODIUM CL 0.9% IRRIGATION 3000ML SOLN,$185.90 
4160007,AMINO ACID 4.25%-DEXTROSE 25% SOLP2000ML,$151.45 
4160008,AMINO ACID 5%-DEXTROSE 15% SOLP 2000ML,$159.00 
4160009,AMINO ACID 5%-DEXTROSE 20% SOLP 2000ML,$159.85 
4160010,AMINO ACID 5%-DEXTROSE 25% SOLP 2000ML,$161.40 
4160011,AMINO ACID 4.25%-DEXTROSE 10% SOLP2000ML,$147.95 
4160012,AMINO ACID 4.25%-D5W SOLP 2000ML,$147.10 
4160075,NICARDIPINE 25MG IN NS 100MG SOLN,$182.65 
4160076,TPN PREMIXED (PERIKABIVEN) 1440ML IV,$131.70 
4160077,TPN PREMIXED (PERIKABIVEN) 1920ML IV,$136.95 
4160078,TPN PREMIXED (KABIVEN) 2053ML IV,$147.40 
4160114,SODIUM BICARB 50MEQ/NS 0.45%,$195.60 
4162489,PHYSIOLYTE 1000ML,$171.50 
4162728,AMINO ACID 15% INJ 500ML,$170.45 
4162839,ISOLYTE-S PH 7.4 1000ML,$184.65 
4162844,DEXTROSE 20% WATER 500ML,$182.85 
4163714,LIDOCAINE 1GM/250ML DW5,$181.95 
4165004,HETASTARCH 6% 500 ML,$201.80 
4165005,HEXTEND 6% INJ 500ML,$238.65 
4165090,FAT EMULSION 20% 120GM,$170.50 
4166760,D10 1/4 NS 250ML,$84.95 
4166761,D7.5 1/4NS 250ML,$81.60 
4166762,D7.5W 250ML,$81.45 
4166780,DEXTROSE 70% WATER,$170.30 
4166783,GLYCEROL 10%/NS 500ML,$190.20 
4166842,FAT EMULSION 20% 100ML,$171.30 
4167023,DEXTROSE 10% WATER 500ML,$155.50 
4167024,DEXTROSE 10% WATER 1000ML,$184.65 
4167044,HEP 10000 UNIT/NS 1000ML SOLN,$193.35 
4167067,SOD CHLOR 0.9% IRR 1000ML,$60.95 
4167118,AMINO ACID 10% 120GM,$170.55 
4167123,DEXTRAN 40 10% NS 500ML,$198.60 
4167125,DEXTROSE 10% WATER 250ML,$85.45 
4167130,HEPARIN 1000U IN NS 500ML,$181.40 
4167131,HEPATAMINE 8% INJ 500ML,$179.50 
4167133,MANNITOL 20% INJ 500ML,$159.90 
