 Procedure  Code,Chargemaster Description, Standard Chargemaster Price 
1523111,CHEMO IV INFU 1ST HR,"1,344"
1523114,CHEMO IV PUSH       ,797
1523119,CHEMO NON HORM IM SC,461
1219208,CHERRY SYRUP 5ML    ,3
1314661,CHLAMYDIA AB        ,414
1314662,CHLAMYDIA IGM AB    ,444
1314900,CHLAMYDIA TRACHO AGI,379
1314952,CHLMYD PNEUM DNA AMP,500
1314955,CHLMYD TRACH DNA AMP,806
1217773,CHLORAL HYDRAT 500MG,26
1218789,CHLORAMBUCIL 2MG TAB,53
1217304,CHLORDIAZEPOXIDE 25M,5
1217306,CHLORDIAZEPOXIDE 5MG,19
1212459,CHLORHEXIDI 4% 237ML,32
7211630,CHLORHEXIDIN 4% 15ML,16
1217308,CHLORHEXIN.12% 473ML,37
1314186,CHLORIDE BLOOD      ,160
1315834,CHLORIDE URINE RAN  ,176
1217309,CHLOROPROCAINE 2%SDV,320
7212322,CHLOROTHIAZ 500MG IJ,"1,840"
1217311,CHLORPHENIRAMINE 4MG,4
1212733,CHLORPROCAIN 30MLINJ,171
7212163,CHLORPROCAIN 30MLINJ,124
7212041,CHLORPROM UP TO 50MG,98
1218405,CHLORPROMAZIN 50MGTB,5
1213712,CHLORPROMAZIN 5MG PO,3
1213713,CHLORPROMAZIN 5MG PO,2
1219015,CHLORPROPAM 100MG TB,21
1217313,CHLORPROPAMIDE250MGT,22
1217314,CHLORTHALIDONE 25MGT,21
1314190,CHOLESTEROL TOTAL   ,98
1219212,CHOLESTYR LT POW 4GM,7
1217317,CHOLESTYRAMINE 4GMPK,8
1314192,CHOLINESTERASE RBC  ,285
1314191,CHOLINESTERASE SERUM,291
1612242,CH-PELVIMETRY CR    ,"1,231"
1612135,CH-RIB UNI PA CXR CR,724
1612137,CH-RIBS BI PA CXR CR,"1,231"
1612136,CH-RIBS BILATERAL CR,724
1612134,CH-RIBS UNILAT CR   ,724
1314200,CHROMIUM            ,191
1321072,CHROMOS STDY ADD HIG,"1,208"
1321063,CHROMOSOM ANAL AMNIO,645
1321059,CHROMOSOME ANAL15-20,"2,818"
1321157,CHROMOSOME ANAL20-25,"4,195"
1321058,CHROMOSOME ANALYS  5,842
1321071,CHROMOSOME CT ADDITI,489
1321069,CHROMOSOME KARYOT ST,645
1612138,CH-STERNUM CR       ,724
1612139,CH-STRNOCLAV JNTS CR,724
1210200,CILAS NA IMIP 250MG ,248
7211986,CILAS NA IMIP 250MG ,248
1217318,CILOSTAZOL 100MG TAB,7
7210440,CIMETIDINE 200MG TAB,4
1219218,CIPROFLOXA .3% 5ML  ,697
1210202,CIPROFLOXAC 200MG IV,62
7211988,CIPROFLOXAC 200MG IV,89
1217324,CIPROFLOXACI 500MGTB,3
282846,CIRCUMCISION NEWBORN,"2,069"
1217328,CITALOPRAM 20MG TAB ,3
1314201,CITRATE             ,630
1217331,CLARITHROMY 500MG TB,19
1217337,CLINDAMY 2%VGCR 40GM,243
1217336,CLINDAMY 75/5ML 100M,377
7211637,CLINDAMYC 1% LOT 60 ,361
1219226,CLINDAMYCI 900MG/6ML,124
1217335,CLINDAMYCIN 150MG CP,7
7210193,CLINDAMYCIN 300MG IJ,124
1217338,CLINDAMYCIN600MG/4ML,124
1217334,CLINDI2.5-CHLOR5MGCP,12
1219047,CLOMIPRAMINE 25MG CP,26
1212359,CLONAZEPAM 0.5MG ODT,5
1217339,CLONAZEPAM 0.5MG TAB,3
1218419,CLONAZEPAM 1MG TAB  ,7
1217343,CLONIDINE 0.1MG TAB ,5
1217340,CLONIDINE-TTS-1 .1MG,233
1217341,CLONIDINE-TTS-2 .2MG,154
1217342,CLONIDINE-TTS-3 .3MG,213
1217346,CLOPIDOGREL 75MG TAB,4
1217776,CLORAZEPATE 3.75MGTB,16
1314918,CLOSTRIDIUM DIF TOXN,481
1414450,CLOSURE DEVIC VASC 1,"3,455"
1414451,CLOSURE DEVIC VASC 2,"8,210"
1219677,CLOT1/BETA.05%CR 45G,238
1217348,CLOTRIMAZ 1%CRM 30GM,89
1217350,CLOTRIMAZOLE 10MG TR,7
1316373,CLOTTING FUNCT ACTIV,155
1218678,CLOZAPINE 100MG TAB ,8
1218677,CLOZAPINE 25MG TAB  ,3
1314666,CMV AB              ,506
1314667,"CMV AB, IGM         ",589
1719020,CO2-MEMBANE DIFF CAP,456
1314790,COAG TIME ACTIVATED ,139
1219242,COAL TAR.5%SHAM 255M,22
1217352,COCAINE 4% 4ML SOLN ,316
1314663,COCCIDIOIDES AB     ,371
1217777,CODEINE 30MG TAB    ,22
7210942,COENZYME Q10 50MG CP,5
1852263,COG SKILL DEV-15 MIN,124
1872263,COG SKILL DEV-15 MIN,124
1316553,COL CHRM NODRG EA   ,634
1218385,COLCH/PROBENC .5/500,24
1214122,COLCHICINE 0.6MG CAP,14
1314578,"COLD AGG, TITER     ",284
1219153,COLESEVELAM 625MG TB,9
1218374,COLESTID 1GM TAB    ,5
1314203,COLLAGEN CROSSLINKS ,217
1413107,COLLAGEN URIN /2.5ML,"5,615"
1219249,COLLAGENA 250OIN 30G,313
1218433,COLLODION 120ML     ,139
1213866,COLLODION FLEX 100ML,183
1314110,COMP METAB PANEL    ,370
1314583,"COMP, TOTAL CH50    ",711
1314093,COMPATIB TEST AHG   ,345
1314092,COMPATIB TEST INCUB ,"1,070"
1314091,COMPATIB TEST IS    ,345
1314579,"COMPLEMENT AG, EA   ",419
1913225,COMPREHENSIVE ED VST,"1,703"
1852266,COM-WRK REINT-15 MIN,148
1210390,CON EST/M-PROG.3/1.5,464
1522114,CONCURRENT IV THER  ,274
1913261,CONCURRENT IV THER  ,274
282933,CONCURRENT IV THER  ,274
7182508,CONCURRENT IV THER  ,274
1414475,CONN TISSUE HUMAN 1 ,"7,044"
1414476,CONN TISSUE HUMAN 2 ,"7,582"
1414477,CONN TISSUE HUMAN 3 ,"28,162"
1414478,CONN TISSUE HUMAN 4 ,"42,237"
1414479,CONN TISSUE HUMAN 5 ,"56,318"
1414480,CONN TISSUE HUMAN 6 ,"75,676"
1414481,CONN TISSUE HUMAN 7 ,"87,996"
1852249,CONTRAST BATH-15 MIN,73
1315881,COPPER SERUM        ,282
1314327,CORTICOSTEROIDS     ,566
1314206,CORTISOL FREE       ,378
1314207,CORTISOL TOTAL      ,569
7211939,COSYNTROPN .25MG INJ,791
1314664,COXIELLA BRUN QFEV  ,392
1314527,C-PEPTIDE           ,346
1314214,CPK ISOENZYMES      ,511
1314215,CPK MB FRACTION     ,511
1314213,CPK TOTAL           ,289
1211546,CPM-PTOX-PE-APAPSRTB,21
1913233,CPR                 ,"1,086"
1710953,CPR ASSIST (NON ER) ,"1,086"
1214367,CRAN-C-PROB 250-30TB,2
7211521,CRB37.5-LV150-ENT200,15
1314571,C-REACTIVE PROTEIN  ,181
1314208,CREATINE            ,162
1314217,CREATININE BLOOD    ,227
1314219,CREATININE CLEARANCE,418
1314218,CREATININE UR-OTHER ,181
1913227,CRIT CARE EA 30 MIN ,800
1913226,CRITICAL CARE LT 74M,"3,621"
1212114,CROTALID POLY IM 1GM,"27,518"
1314572,"CRP,HIGHLY SENS     ",573
1221322,CRRT:2K/3CA/35BIC 5L,224
1221321,CRRT:4K/3CA/35BIC 5L,224
1314220,CRYOFIBRINOGEN      ,42
1314221,CRYOGLOBULIN        ,203
1314665,CRYPTOCOCCUS AB     ,486
1314920,"CRYPTOSPOR AG,EIA   ",379
1316364,"CRYSTAL ID,TISSUE,FL",146
1631555,CTA-ABDOMEN         ,"3,288"
1630014,CTA-ABDOMEN PELVIS  ,"6,574"
1630008,CT-ABD PELVIS W     ,"6,574"
1630007,CT-ABD PELVIS WO    ,"4,840"
1630009,CT-ABD PELVIS WWO   ,"7,820"
1631553,CT-ABDOMEN W        ,"3,288"
1631552,CT-ABDOMEN WO       ,"2,421"
1631554,CT-ABDOMEN WWO      ,"3,909"
1631534,CTA-CHEST           ,"3,288"
1631529,CTA-HEAD            ,"3,288"
1631551,CTA-LOWER EXT       ,"3,288"
1631511,CTA-LOWER EXT BI    ,"7,649"
1631530,CTA-NECK            ,"3,288"
1631500,CTA-PELVIS          ,"3,288"
1631547,CTA-UPPER EXT       ,"3,288"
1631507,CTA-UPPER EXT BI    ,"7,649"
1631536,CT-CERV SPINE W     ,"3,288"
1631535,CT-CERV SPINE WO    ,"2,421"
1631532,CT-CHEST W          ,"3,288"
1631531,CT-CHEST WO         ,"2,421"
1631533,CT-CHEST WWO        ,"3,909"
1631518,CT-HEAD W           ,"3,288"
1631517,CT-HEAD WO          ,"2,421"
1631519,CT-HEAD WWO         ,"3,909"
1631516,CT-LIMITED FOLLOW UP,"1,219"
1631549,CT-LOWER EXT W      ,"3,288"
1631509,CT-LOWER EXT W BI   ,"6,573"
1631548,CT-LOWER EXT WO     ,"2,421"
1631508,CT-LOWER EXT WO BI  ,"4,840"
1631550,CT-LOWER EXT WWO    ,"3,909"
1631510,CT-LOWER EXT WWO BI ,"7,820"
1631542,CT-LUMB SPINE W     ,"3,320"
1631541,CT-LUMB SPINE WO    ,"2,421"
1631543,CT-LUMB SPINE WWO   ,"3,909"
1631524,CT-MAXILLOFACIAL W  ,"3,288"
1631523,CT-MAXILLOFACIAL WO ,"2,421"
1631525,CT-MAXILLOFACIAL WWO,"3,909"
1631527,CT-NECK SOFT TIS W  ,"3,288"
1631526,CT-NECK SOFT TIS WO ,"2,421"
1631528,CT-NECK SOFT TIS WWO,"3,909"
1631520,CT-ORBIT EAR WO     ,"2,421"
1631522,CT-ORBIT EAR WWO    ,"3,909"
1631502,CT-PELVIS W         ,"3,288"
1631501,CT-PELVIS WO        ,"2,421"
1631503,CT-PELVIS WWO       ,"3,909"
1631539,CT-THOR SPINE W     ,"3,320"
1631538,CT-THOR SPINE WO    ,"2,421"
1631540,CT-THOR SPINE WWO   ,"3,909"
1631545,CT-UPPER EXT W      ,"3,288"
1631505,CT-UPPER EXT W BI   ,"6,573"
1631544,CT-UPPER EXT WO     ,"2,421"
1631504,CT-UPPER EXT WO BI  ,"4,840"
1631506,CT-UPPER EXT WWO BI ,"7,820"
1314851,CULT AEROBIC IDENTIF,360
1314850,CULT ANAERO IDENT EA,35
1315564,CULT BAC AEROB OT QT,360
1314848,CULT BAC ANAER OT QT,305
1314849,CULT BACT ANA ANY SO,418
1314857,CULT FUNGUS ISOLATIO,372
1314863,CULT MYCOBACTERIA   ,479
1314844,CULT STL BACT W-ISOL,417
1314865,CULT TYPE IMMUNOFLUO,286
1314866,"CULT TYPING,GLC-HPLC",404
1314854,CULT URINE-COLONY CT,260
1314846,CULTURE BACTERIA OTH,301
1314843,CULTURE BLOOD BACTER,459
1314862,CULTURE CHLAMYDIA   ,403
1314852,CULTURE SCREEN ONLY ,257
1314222,CYANIDE             ,439
7210996,CYANOCOB 2500MCGSLTB,3
1218916,CYANOCOBA 1000MCG TB,19
7210736,CYANOCOBAL 250MCG TB,3
1217370,CYCLOBENZAPRINE 10MG,5
1217371,CYCLOPENTO 1%OS 2ML ,32
7210609,CYCLOSPOR .05%OS UD ,31
1314028,CYCLOSPORINE        ,634
1217372,CYPROHEPTADINE 4MGTB,5
1321180,CYTO UR 3-5 PROB CMP,882
1321126,CYTOCELL ENH X CR-VG,760
1321068,CYTOGENETICS 100-300,"1,354"
1321067,CYTOGENETICS 25-99  ,"1,267"
1321064,CYTOGENETICS DNA-PRO,561
1314958,CYTOMEG DNA AMP PROB,761
1314959,CYTOMEG DNA QUANT   ,"1,499"
1321045,"CYTOP EVAL,FNA,REPOR","1,166"
1321038,CYTOP SMR OTH PRE-SC,547
1321037,CYTOP SMR OTHR SOURC,518
1321023,CYTOPATH CONCENT TEC,809
1321044,CYTOPATH EVAL OF FNA,313
1321114,CYTOPATH FLD NOT V-C,665
1221004,D10W 1000ML         ,124
1221010,D5 1/2NS/KCL10MEQ   ,143
1221165,D5-.225% NACL 250ML ,104
1221008,D5.45NS/KCL20 1000ML,124
1221009,D5.45NS/KCL40 1000ML,124
1221011,D5-0.2% NACL 1000ML ,143
1221112,D5-0.2% NACL 500ML  ,102
1221063,D545NS C KCL 30MEQ  ,124
1221000,D5LR UP TO 1000ML   ,143
1221081,D5LR/KCL 20MEQ/1000 ,124
1221001,D5NS+KCL 20MEQ 1000M,124
1221055,D5W 1000ML/KCL 40MEQ,139
1221109,D5W/0.45%NACL 1000ML,145
1221007,D5W/0.45%NACL 500ML ,143
1221091,D5W/0.9%NSS+40MEQ 1L,124
1221003,D5W/KCL 20MEQ 1000ML,124
7211960,D5W/SOD CHL.9% 500ML,68
1212109,DABIGATRAN 150MG TAB,16
1212096,DABIGATRAN 75MG TAB ,12
7210796,DAKINS .25%SOL 473ML,84
7210797,DAKINS .5% SOL 473ML,63
1211396,DAKINS.125%SOL 480ML,29
1217779,DANTROLENE 20MG INJ ,"1,146"
1217377,DANTROLENE 25MG CAP ,5
7211807,DAPTOMYCIN 1 MG INJ ,9
1314797,"D-DIMER, QUANT      ",285
1812333,DEBRIDE EA ADD 20CM ,439
1852333,DEBRIDE EA ADD 20CM ,439
1912333,DEBRIDE EA ADD 20CM ,437
2072333,DEBRIDE EA ADD 20CM ,"1,503"
1812270,DEBRIDE LE 20 SQ CM ,439
1852270,DEBRIDE LE 20 SQ CM ,439
1912270,DEBRIDE LE 20 SQ CM ,345
2070230,DEBRIDE LE 20 SQ CM ,"1,503"
1321081,DECALCIFY TISSUE    ,172
1316704,DEF DRUG NOS MS 1-3 ,634
7211990,DEFEROXAMIN 500MGINJ,95
282811,DELIVERY LEVEL 1    ,"1,537"
282812,DELIVERY LEVEL 2    ,"1,959"
282813,DELIVERY LEVEL 3    ,"2,267"
1217379,DEMECLOCYC 300MG TAB,49
1314229,DEOXYCORTISOL       ,664
1314589,DEOXYRIBONUCLEASE AB,300
7211959,DEPO-ESTR CYPION INJ,57
1210933,DERMAGRAFT SQ CM    ,644
1218673,DESMOPRESS 0.2MG TAB,3
7210998,DESMOPRESS TAB 0.1MG,37
7212027,DESMOPRESSIN 1MCGINJ,31
1218995,DESONIDE .05%CRM 15G,280
1314228,DESOXYCORTICOSTERONE,262
1214126,DESVENLAF 50MG SR TB,13
1315010,"DETECT AGNT NOS,DNAQ","1,099"
1315009,"DETECT AGNTNOS,DNAAM",510
1315012,"DETECT AGT MULT,DNAA","1,165"
1872231,DEVELOP TEST W-RPT  ,703
7212142,DEX 5%/WATER 1000ML ,89
7212064,DEX 5%/WATER 100ML  ,143
1221145,DEX 5%/WATER 250ML  ,104
7212063,DEX 5%/WATER 250ML  ,79
7212062,DEX 5%/WATER 500ML  ,119
7212065,DEX 5%/WATER 50ML   ,145
1612262,DEXA AXIAL          ,"1,212"
1210507,DEXAMETH 0.25MG ORAL,0
1210881,DEXAMETH 0.25MG ORAL,11
1211130,DEXAMETH 0.25MG ORAL,3
1210967,DEXAMETH NA 1MG INJ ,5
7211993,DEXAMETH NA 1MG INJ ,15
1217385,DEXAMETHAS .1%OS 5ML,182
7211299,DEXMETHYLP 10MG SRTB,41
1219260,DEXTROM POLI 30MG/5M,9
7210692,DEXTROSE 10% 5ML    ,151
1221180,DEXTROSE 50% 500ML  ,206
1211199,DEXTROSE 50% 50ML   ,133
1221024,DEXTROSE 70% 500ML  ,187
1217386,DEXTROSE25%-H2O 10ML,139
1314226,DHEA                ,820
1314227,DHEA-S              ,986
1522134,DIAG BONE MARROW BX ,716
1522133,DIAG BONE MARW ASPIR,590
1214114,DIAPER RASH OIN 60GM,20
1852244,DIATHERMY TX-VISIT  ,69
1219092,DIAZEPAM 10MG KIT(R),"1,819"
1213394,DIAZEPAM 5MG INJ    ,86
7212047,DIAZEPAM 5MG INJ    ,29
1217390,DIAZEPAM 5MG TAB    ,5
1219261,DIAZEPAM 5MG/5ML LIQ,8
1218991,DIBUCAINE 1%OIN 30GM,60
1314230,DIBUCAINE NUMBER    ,438
1217391,DICLOFEN .1%OS 2.5ML,500
1210919,DICLOFEN 1% GEL 100G,304
1210518,DICLOFEN NA 25MGDRTB,4
1217396,DICYCLOM10MG/5ML SYR,3
1219754,DICYCLOMINE 10MG CAP,15
7212115,DICYCLOMINE 20MG INJ,363
1217400,DIGOXIN 0.125MG TAB ,4
7212342,DIGOXIN 0.1MG/ML INJ,685
7211994,DIGOXIN 0.5MG INJ   ,102
1316453,DIGOXIN FREE        ,409
7212208,DIGOXIN IMMUNE FAB  ,"9,626"
1316452,DIGOXIN TOTAL       ,409
7212188,DIHYDROERGOT 1MG INJ,196
1314234,DIHYDROXY VITAMIN D ,"1,348"
1218891,DILTIAZE 120MG SR CP,19
1218892,DILTIAZE 180MG SR TB,24
1219266,DILTIAZEM 125MG/25ML,157
1217407,DILTIAZEM 240MG SRCP,5
1219898,DILTIAZEM 25MG/5ML V,98
1217404,DILTIAZEM 30MG TAB  ,6
1219267,DILTIAZEM 50MG/10ML ,140
7211998,DIMETH SULF 50% 50ML,"1,189"
7212269,DIPH/TET/ACPERT .5ML,284
1213233,DIPHE2-ZNACE.1%CR30G,19
1217572,DIPHENH 12.5/5ML 10M,19
7212191,DIPHENHYDRAM 50MG PO,5
7212119,DIPHENHYDRAM 50MGINJ,67
1217573,DIPHENHYDRAMI25MG CP,3
1218345,DIPHENO2.5-ATR.025/5,5
1217575,DIPHENO2.5-ATR.025TB,6
7212326,DIPTH/TETA/PERT PED ,379
7212165,DIPYRIDAMOLE 10MGINJ,22
182502,DIRECT ADMIT TO OBS ,915
1314535,DIRECT COOMBS TEST  ,181
1218668,DIVALPROE 125MG DRTB,7
1217582,DIVALPROEX 125MGDRCP,25
1217581,DIVALPROEX 250MGDRTB,5
7210239,DIVALPROEX 250MGSRTB,6
1219647,DM-GUAIF 20-200/10ML,19
1212233,DM-QUINIDINE 20-10MG,27
1314593,DNA AB SINGLE STRAND,159
1314591,"DNA AB,NATIVE-DOUBL ",480
1316417,DNA-RNA SEQUENCING  ,68
1210207,DOBUTAMINE 250MG INJ,218
7210979,DOCUS NA 10MG/ML 10M,6
1217588,DOCUSATE NA 100MG CP,4
1210946,DOLASETRON 10MG INJ ,257
1212001,DONEPEZIL 23MG TAB  ,32
1217589,DONEPEZIL 5MG TAB   ,19
1211035,DOPAMIN HCL 40MG INJ,20
1211150,DOPAMIN HCL 40MG INJ,11
7212095,DOPAMIN HCL 40MG INJ,15
1217136,DORZ22.3-TIM6.8OS 10,621
7211116,DORZOLAMID 2%OS 10ML,836
1217591,DOXAPRAM20MG/ML 20ML,649
1217592,DOXAZOSIN 1MG TAB   ,8
1217593,DOXAZOSIN 4MG TAB   ,8
1217595,DOXEPIN 10MG CAP    ,21
1217596,DOXEPIN 25MG CAP    ,10
1219019,DOXYCYC HYC 100MG CP,19
1213324,DOXYCYC MON 100MG CP,3
1217600,DOXYCYCLINE 100MG IV,286
1210542,DOXYLAMIN SUC 25MGTB,3
1414500,DRILL BIT/BLADE LVL1,165
1414501,DRILL BIT/BLADE LVL2,439
1414502,DRILL BIT/BLADE LVL3,821
1414503,DRILL BIT/BLADE LVL4,"1,517"
1414504,DRILL BIT/BLADE LVL5,"2,737"
1414505,DRILL BIT/BLADE LVL6,"3,831"
1414506,DRILL BIT/BLADE LVL7,"4,926"
1414507,DRILL BIT/BLADE LVL8,"6,568"
1217786,DRONABINOL 2.5MG CAP,124
1211507,DRONEDRARONE 400MG  ,26
7212008,DROPERIDOL UP TO 5MG,99
1314054,DRUG UNSPEC QUANT   ,479
7210324,DULOXETIN 60MG ENTCP,20
7210323,DULOXETINE 20MG CAP ,71
7210264,DULOXETINE 30MG CAP ,21
1219281,DUTASTERIDE 0.5MG CP,17
1413121,EAR TUBES DRAINAGE 1,246
7212182,EDETATE CA UP TO 1GM,"1,095"
1214147,EDOXABAN TOS 60MG TB,28
1020033,EEG AWAKE ASLEEP    ,"3,019"
1020032,EEG AWAKE DROWSY    ,"1,157"
1020044,EEG EPILEPTIC SPIKE ,"1,157"
1020035,EEG EVAL CEREBR     ,"2,028"
1020031,EEG GT 1 HOUR       ,"1,513"
1020045,EEG MONITOR VIDEOREC,"11,331"
1314677,EHRLICHIA AB        ,131
1913237,EKG 12 LEAD ED STAFF,475
1812247,ELEC STIM-MAN-15 MIN,102
1852247,ELEC STIM-MAN-15 MIN,102
1812303,ELEC STIM-UNATTND-VI,102
1852303,ELEC STIM-UNATTND-VI,102
1314109,ELECTROLYTE PANEL   ,139
1030002,"EMG, 1 EXTREM       ","1,197"
1030003,"EMG, 2 EXTREM       ","1,197"
1030004,"EMG, 3 EXTREM       ","1,522"
1030005,"EMG, 4 EXTREM       ","1,522"
7210044,EMOLLIENT LOT 425ML ,68
1218386,ENALAPRIL 10MG TAB  ,5
1217609,ENALAPRIL 5MG TAB   ,9
1219285,ENALAPRILAT 2.5MG/2M,82
1217610,ENALAPRILAT1.25MG/ML,98
1314672,"ENCEPH, WEST EQUINE ",443
1710946,END-TIDAL CO2       ,311
1210181,ENOXAPARIN 10MG INJ ,23
1210182,ENOXAPARIN 10MG INJ ,23
1210183,ENOXAPARIN 10MG INJ ,23
1210185,ENOXAPARIN 10MG INJ ,23
1210186,ENOXAPARIN 10MG INJ ,23
1210187,ENOXAPARIN 10MG INJ ,23
7211970,ENOXAPARIN 10MG INJ ,23
1217611,ENTACAPONE 200MG TAB,15
1314673,ENTEROVIRUS AB      ,419
1315149,"ENTEROVIRUS,DNA, PRO",510
1314236,ENZYME ACTIVITY NOS ,413
1321086,ENZYME HISTOCHEMISTR,285
1061260,EP-EVAL PREV DEVICE ,"3,656"
1217788,EPHEDRINE 50MG INJ  ,170
1214156,EPIFIX MICR 1MG INJ ,138
1212365,EPIFIX SQ CM        ,"1,464"
7210299,EPLERENONE 25MG TAB ,9
1211047,EPO NESRD 1000 U INJ,167
1211049,EPO NESRD 1000 U INJ,167
1211051,EPO NESRD 1000 U INJ,167
7211933,EPO NESRD 1000 U INJ,167
1314674,"EPSTEIN-BARR AB, EA ",460
1314675,"EPSTEIN-BARR, EBNA  ",340
1314676,"EPSTEIN-BARR, VCA   ",284
1210327,EPTIFABITIDE 5MG IJ ,134
7211833,EPTIFABITIDE 5MG IJ ,134
1217619,ERGOCALCI 50000UN CP,7
7211834,ERTAPENEM SOD/500MG ,484
1217624,ERYTHR OP5MG/GM 1GM ,77
1217623,ERYTHR OP5MG/GM 3.5G,84
1219636,ERYTHRO 200MG/5 100M,"1,035"
1219293,ERYTHROMYC 250MG TAB,7
7212002,ERYTHROMYC 500MG INJ,150
1314240,ERYTHROPOIETIN      ,835
1217630,ESCITALOPRAM 10MG TB,48
7210434,ESCITALOPRAM 20MG TB,15
1214085,ESLICARBAZ 200MG TAB,77
1214623,ESLICARBAZ 600MG TAB,77
1217632,ESMOLOL 10MG/ML 10ML,176
7210577,ESMOLOL 2500MG/250ML,"2,021"
1218564,ESTR1.25/ME-TES2.5TB,31
1218682,ESTRAD.1MG/24HR PT1X,79
1210730,ESTRAD.1MG/24HR PT2X,24
1219298,ESTRADI.1MG/GM C 43G,645
1314241,ESTRADIOL           ,"1,240"
1219108,ESTRADIOL 0.5MG TAB ,15
1314244,ESTRIOL             ,846
7212121,ESTROGEN CNJ 25MGINJ,562
1314243,ESTROGEN TOTAL      ,761
1212449,ESTROGEN VAG CR 30GM,"1,086"
1217640,"ESTROGEN,CONJ.625 TB",19
1219909,ESTROGN VAG CR 42.5G,713
1314245,ESTRONE             ,566
7210317,ESZOPICLONE 2MG TAB ,26
7210306,ESZOPICLONE 3MG TAB ,47
1219044,ETHAMBUTOL 400MG TAB,5
1219761,ETHOSUXIMDE 250MG CP,7
1314033,ETHOSUXIMIDE        ,573
1314247,ETHYLENE GLYCOL     ,222
7211266,ETODOLAC 400MG SR TB,6
1219638,ETOMIDATE 2MG/ML 20M,151
1314792,EUGLOBULIN LYSIS    ,293
1872222,EV SP FLUENCY       ,657
1872223,EV SP PROD          ,657
1872204,EVAL SWALLO W-RADOPQ,680
1413124,EVENT RECRDR CARDIAC,"59,228"
1316534,EVEROLIMUS QT       ,210
1612347,EXAM SURG SPECMN CR ,"1,627"
1218527,EXEMESTANE 25MG TAB ,203
1913224,EXTENDED ED VISIT   ,"1,279"
1217957,EZETIMIBE 10MG TAB  ,17
1317024,F2 GEN ANALY 20210GA,683
1317025,F5 GENE ANALY LEID V,"1,506"
1314764,"FACTOR II,PROTHROMBI",131
1314787,FACTOR INHIBITOR TES,291
1314772,FACTOR IX           ,433
1314765,FACTOR V ASSAY      ,401
1314766,FACTOR VII ASSAY    ,578
1314769,FACTOR VIII RISTOCET,805
1314770,FACTOR VIII VW AG   ,805
1314767,"FACTOR VIII, AHG    ",161
1314773,FACTOR X            ,640
1314777,"FACTOR XIII, SCREEN ",201
1417110,FALLOPIAN BANDS     ,"1,843"
1218500,FAMCICLOVIR 125MG TB,52
7211013,FAMCICLOVIR 250MG TB,16
7210430,FAMOTIDINE 20MG IVPB,134
1217652,FAMOTIDINE 20MG TAB ,5
1217651,FAMOTIDINE 20MG/2ML ,98
1219310,FAT EMULS 20% 500ML ,404
1221181,FAT EMULSION 20% 250,377
1314249,FAT-LIPID FECES QUAL,172
1314250,FAT-LIPID FECES QUAN,203
1314253,FATTY ACIDS LG CHAIN,408
1314793,FDP-FSP AGG SLIDE   ,155
7211757,FE 100-VITC 250MG TB,22
1211812,FE FU/POL-VIT-MIN CP,4
1212840,FE/VIT C/B12/FA TAB ,4
7210830,FE200-C250-B12-FA1CP,26
1314559,FEBRILE AGG EA AG   ,185
1211500,FEBUXOSTAT 40MG TAB ,27
7210241,FENOFIBRAT 145MG TAB,21
7210292,FENOFIBRATE 48MG TAB,4
1217680,FENOFIBRATE 54MG TAB,25
1213342,FENT5MCG-ROP.2% 150M,661
1217687,FENTANY 100MCG/HR PT,861
7210573,FENTANY CIT 0.1MGINJ,146
7212039,FENTANY CIT 0.1MGINJ,99
7210529,FENTANYL 12MCG/HR PT,58
1217684,FENTANYL 25MCG/HR PT,61
1217685,FENTANYL 50MCG/HR PT,111
1316644,FENTANYL MS         ,360
1217689,FERR SULF 300MG/5 UD,4
1213211,FERR SULF 325MG ECTB,3
1219319,FERRIC SUBSULFATE LI,44
1314254,FERRITIN            ,459
7210765,FERROUS FUM 324MG TB,6
1217688,FERROUS GLUC 324MGTB,3
1211870,FESOTERODINE ER 4MG ,15
282844,FETAL CONTRACTION ST,422
1314808,FETAL HGB KLEIH-BETK,260
1314353,"FETAL LUNG,L-S RATIO",769
282845,FETAL NON STRESS TES,422
1217693,FEXOFENADINE 180MGTB,56
1217694,FEXOFENADINE 60MG TB,4
1314001,FFP THAWING         ,574
1314798,FIBRINOGEN ACTIVITY ,286
1212280,FIDAXOMICIN 200MG TA,232
1213701,FILGRASTI G-CSF 1MCG,11
7210387,FINASTERIDE 5MG TAB ,7
1218959,FISH OIL 1000MG CAP ,15
1217795,FLAVOXATE 100MG TAB ,7
1612215,FL-BARIUM ENEMA     ,"1,461"
1612216,FL-BARIUM ENEMA AIR ,"2,313"
1612237,FL-CYSTOGRM 3VPLS CR,"2,535"
1219764,FLECAINIDE 100MG TAB,10
1612203,FL-ESOPHAGUS        ,"1,461"
1612204,FL-ESOPHAGUS W CINE ,"1,461"
1612252,FL-FLUORO 1 HOUR CR ,456
1612342,FL-FLUORO CVAD ANY  ,437
1612354,FL-FLUORO GUIDE SPIN,456
1612207,FL-GI SERIES W KUB  ,"1,461"
1612208,FL-GI W SM BOWEL    ,"2,277"
1612232,FL-IVP CR           ,"2,535"
1321119,"FLOWCYTOMETRY-TC,ADD",248
1321118,"FLOWCYTOMET-TC,1 MRK",486
1612212,FL-SMALL BOWEL CR   ,"1,461"
1212427,FLU VAC (AGRIFLU) IM,53
1210095,FLU VAC NOPRSV ANTIG,56
1213544,FLU VAC QUAD 3YR-ADU,21
