Average Hospital Charges by standard diagnosis groupings (MSDRG) relevant to the CMS guidelines.,,,,
"Hospital Charges (Chargemaster Rates)  include hospital services, pharmaceuticals and supply items necessary to treat patients. ",,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital. Supply prices may vary based on manufacturer's cost to hospital.",,,,
"Hospital charges can help patients understand potential costs for certain health care services, but they don’t provide a full picture of what patients will pay. ",,,,
The patient's financial liability will depend on the full course of treatment and on the type of insurance coverage.  ,,,,
Patients and consumers are encouraged to speak to their providers and health plan to get a full picture of what they will pay.  ,,,,
"For our patients, we offer financial counseling for those experiencing hardship during any point throughout their care.",,,,
,,,,
Facility,MS DRG,Description,Number of Claims, Average Proposed Charge 
COVENANT MEDICAL CENTER,373,Major Gastrointestinal Disorders & Peritoneal Infections W/O Cc/Mcc,14," $65,373 "
COVENANT MEDICAL CENTER,374,Digestive Malignancy W Mcc,26," $174,315 "
COVENANT MEDICAL CENTER,375,Digestive Malignancy W Cc,18," $119,150 "
COVENANT MEDICAL CENTER,376,Digestive Malignancy W/O Cc/Mcc,2," $84,352 "
COVENANT MEDICAL CENTER,377,G.I. Hemorrhage W Mcc,113," $163,176 "
COVENANT MEDICAL CENTER,378,G.I. Hemorrhage W Cc,249," $75,960 "
COVENANT MEDICAL CENTER,379,G.I. Hemorrhage W/O Cc/Mcc,29," $64,317 "
COVENANT MEDICAL CENTER,380,Complicated Peptic Ulcer W Mcc,9," $130,591 "
COVENANT MEDICAL CENTER,381,Complicated Peptic Ulcer W Cc,10," $93,109 "
COVENANT MEDICAL CENTER,382,Complicated Peptic Ulcer W/O Cc/Mcc,2," $69,191 "
COVENANT MEDICAL CENTER,384,Uncomplicated Peptic Ulcer W/O Mcc,9," $72,142 "
COVENANT MEDICAL CENTER,385,Inflammatory Bowel Disease W Mcc,8," $207,898 "
COVENANT MEDICAL CENTER,386,Inflammatory Bowel Disease W Cc,10," $56,908 "
COVENANT MEDICAL CENTER,387,Inflammatory Bowel Disease W/O Cc/Mcc,6," $49,745 "
COVENANT MEDICAL CENTER,388,G.I. Obstruction W Mcc,38," $116,609 "
COVENANT MEDICAL CENTER,389,G.I. Obstruction W Cc,43," $51,899 "
COVENANT MEDICAL CENTER,390,G.I. Obstruction W/O Cc/Mcc,36," $34,271 "
COVENANT MEDICAL CENTER,391,"Esophagitis, Gastroent & Misc Digest Disorders W Mcc",61," $132,904 "
COVENANT MEDICAL CENTER,392,"Esophagitis, Gastroent & Misc Digest Disorders W/O Mcc",147," $65,279 "
COVENANT MEDICAL CENTER,393,Other Digestive System Diagnoses W Mcc,29," $139,943 "
COVENANT MEDICAL CENTER,394,Other Digestive System Diagnoses W Cc,38," $74,385 "
COVENANT MEDICAL CENTER,395,Other Digestive System Diagnoses W/O Cc/Mcc,9," $69,432 "
COVENANT MEDICAL CENTER,405,"Pancreas, Liver & Shunt Procedures W Mcc",13," $469,375 "
COVENANT MEDICAL CENTER,406,"Pancreas, Liver & Shunt Procedures W Cc",8," $216,054 "
COVENANT MEDICAL CENTER,407,"Pancreas, Liver & Shunt Procedures W/O Cc/Mcc",1," $183,029 "
COVENANT MEDICAL CENTER,408,Biliary Tract Proc Except Only Cholecyst W Or W/O C.D.E. W Mcc,3," $149,513 "
COVENANT MEDICAL CENTER,411,Cholecystectomy W C.D.E. W Mcc,1," $185,311 "
COVENANT MEDICAL CENTER,414,Cholecystectomy Except By Laparoscope W/O C.D.E. W Mcc,4," $556,465 "
COVENANT MEDICAL CENTER,415,Cholecystectomy Except By Laparoscope W/O C.D.E. W Cc,10," $144,330 "
COVENANT MEDICAL CENTER,416,Cholecystectomy Except By Laparoscope W/O C.D.E. W/O Cc/Mcc,2," $110,581 "
COVENANT MEDICAL CENTER,417,Laparoscopic Cholecystectomy W/O C.D.E. W Mcc,54," $152,491 "
COVENANT MEDICAL CENTER,418,Laparoscopic Cholecystectomy W/O C.D.E. W Cc,65," $132,892 "
COVENANT MEDICAL CENTER,419,Laparoscopic Cholecystectomy W/O C.D.E. W/O Cc/Mcc,39," $105,980 "
COVENANT MEDICAL CENTER,421,Hepatobiliary Diagnostic Procedures W Cc,1," $164,332 "
COVENANT MEDICAL CENTER,422,Hepatobiliary Diagnostic Procedures W/O Cc/Mcc,2," $132,063 "
COVENANT MEDICAL CENTER,423,Other Hepatobiliary Or Pancreas O.R. Procedures W Mcc,1," $276,938 "
COVENANT MEDICAL CENTER,432,Cirrhosis & Alcoholic Hepatitis W Mcc,76," $171,836 "
COVENANT MEDICAL CENTER,433,Cirrhosis & Alcoholic Hepatitis W Cc,26," $87,832 "
COVENANT MEDICAL CENTER,434,Cirrhosis & Alcoholic Hepatitis W/O Cc/Mcc,1," $40,190 "
COVENANT MEDICAL CENTER,435,Malignancy Of Hepatobiliary System Or Pancreas W Mcc,29," $156,131 "
COVENANT MEDICAL CENTER,436,Malignancy Of Hepatobiliary System Or Pancreas W Cc,17," $95,038 "
COVENANT MEDICAL CENTER,437,Malignancy Of Hepatobiliary System Or Pancreas W/O Cc/Mcc,1," $108,115 "
COVENANT MEDICAL CENTER,438,Disorders Of Pancreas Except Malignancy W Mcc,43," $113,106 "
COVENANT MEDICAL CENTER,439,Disorders Of Pancreas Except Malignancy W Cc,75," $80,409 "
COVENANT MEDICAL CENTER,440,Disorders Of Pancreas Except Malignancy W/O Cc/Mcc,51," $58,256 "
COVENANT MEDICAL CENTER,441,"Disorders Of Liver Except Malig,Cirr,Alc Hepa W Mcc",62," $142,732 "
COVENANT MEDICAL CENTER,442,"Disorders Of Liver Except Malig,Cirr,Alc Hepa W Cc",47," $67,965 "
COVENANT MEDICAL CENTER,443,"Disorders Of Liver Except Malig,Cirr,Alc Hepa W/O Cc/Mcc",4," $40,616 "
COVENANT MEDICAL CENTER,444,Disorders Of The Biliary Tract W Mcc,22," $143,182 "
COVENANT MEDICAL CENTER,445,Disorders Of The Biliary Tract W Cc,33," $91,890 "
COVENANT MEDICAL CENTER,446,Disorders Of The Biliary Tract W/O Cc/Mcc,14," $72,899 "
COVENANT MEDICAL CENTER,453,Combined Anterior/Posterior Spinal Fusion W Mcc,5," $443,467 "
COVENANT MEDICAL CENTER,454,Combined Anterior/Posterior Spinal Fusion W Cc,6," $387,122 "
COVENANT MEDICAL CENTER,455,Combined Anterior/Posterior Spinal Fusion W/O Cc/Mcc,23," $213,663 "
COVENANT MEDICAL CENTER,456,Spinal Fus Exc Cerv W Spinal Curv/Malig/Infec Or Ext Fus W Mcc,2," $553,097 "
COVENANT MEDICAL CENTER,457,Spinal Fus Exc Cerv W Spinal Curv/Malig/Infec Or Ext Fus W Cc,5," $340,849 "
COVENANT MEDICAL CENTER,459,Spinal Fusion Except Cervical W Mcc,11," $406,902 "
COVENANT MEDICAL CENTER,460,Spinal Fusion Except Cervical W/O Mcc,123," $213,310 "
COVENANT MEDICAL CENTER,462,Bilateral Or Multiple Major Joint Procs Of Lower Extremity W/O Mcc,6," $180,012 "
COVENANT MEDICAL CENTER,463,"Wnd Debrid & Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W Mcc",15," $428,415 "
COVENANT MEDICAL CENTER,464,"Wnd Debrid & Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W Cc",23," $187,312 "
COVENANT MEDICAL CENTER,465,"Wnd Debrid & Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W/O Cc/Mcc",3," $78,121 "
COVENANT MEDICAL CENTER,466,Revision Of Hip Or Knee Replacement W Mcc,6," $254,631 "
COVENANT MEDICAL CENTER,467,Revision Of Hip Or Knee Replacement W Cc,29," $182,620 "
COVENANT MEDICAL CENTER,468,Revision Of Hip Or Knee Replacement W/O Cc/Mcc,33," $156,169 "
COVENANT MEDICAL CENTER,469,Major Hip And Knee Joint Replacement Or Reattach. Of Lower Extremity W Mcc Or Tot. Ankle Replacement,43," $194,409 "
COVENANT MEDICAL CENTER,470,Major Hip And Knee Joint Replacement Or Reattach. Of Lower Extremity W/O Mcc,798," $140,200 "
COVENANT MEDICAL CENTER,471,Cervical Spinal Fusion W Mcc,5," $242,180 "
COVENANT MEDICAL CENTER,472,Cervical Spinal Fusion W Cc,20," $200,299 "
COVENANT MEDICAL CENTER,473,Cervical Spinal Fusion W/O Cc/Mcc,14," $150,614 "
COVENANT MEDICAL CENTER,474,Amputation For Musculoskeletal Sys & Conn Tissue Dis W Mcc,6," $300,169 "
COVENANT MEDICAL CENTER,475,Amputation For Musculoskeletal Sys & Conn Tissue Dis W Cc,7," $125,871 "
COVENANT MEDICAL CENTER,477,Biopsies Of Musculoskeletal System & Connective Tissue W Mcc,16," $291,868 "
COVENANT MEDICAL CENTER,478,Biopsies Of Musculoskeletal System & Connective Tissue W Cc,25," $152,224 "
COVENANT MEDICAL CENTER,479,Biopsies Of Musculoskeletal System & Connective Tissue W/O Cc/Mcc,5," $130,339 "
COVENANT MEDICAL CENTER,480,Hip & Femur Procedures Except Major Joint W Mcc,68," $245,196 "
COVENANT MEDICAL CENTER,481,Hip & Femur Procedures Except Major Joint W Cc,150," $158,342 "
COVENANT MEDICAL CENTER,482,Hip & Femur Procedures Except Major Joint W/O Cc/Mcc,28," $128,235 "
COVENANT MEDICAL CENTER,483,Major Joint/Limb Reattachment Procedure Of Upper Extremities,29," $152,040 "
COVENANT MEDICAL CENTER,485,Knee Procedures W Pdx Of Infection W Mcc,5," $329,302 "
COVENANT MEDICAL CENTER,486,Knee Procedures W Pdx Of Infection W Cc,8," $200,469 "
COVENANT MEDICAL CENTER,487,Knee Procedures W Pdx Of Infection W/O Cc/Mcc,1," $107,282 "
COVENANT MEDICAL CENTER,488,Knee Procedures W/O Pdx Of Infection W Cc/Mcc,5," $133,247 "
COVENANT MEDICAL CENTER,489,Knee Procedures W/O Pdx Of Infection W/O Cc/Mcc,7," $97,077 "
COVENANT MEDICAL CENTER,492,"Lower Extrem & Humer Proc Except Hip,Foot,Femur W Mcc",21," $254,539 "
COVENANT MEDICAL CENTER,493,"Lower Extrem & Humer Proc Except Hip,Foot,Femur W Cc",55," $169,420 "
COVENANT MEDICAL CENTER,494,"Lower Extrem & Humer Proc Except Hip,Foot,Femur W/O Cc/Mcc",39," $137,915 "
COVENANT MEDICAL CENTER,495,Local Excision & Removal Int Fix Devices Exc Hip & Femur W Mcc,3," $205,767 "
COVENANT MEDICAL CENTER,496,Local Excision & Removal Int Fix Devices Exc Hip & Femur W Cc,5," $134,489 "
COVENANT MEDICAL CENTER,498,Local Excision & Removal Int Fix Devices Of Hip & Femur W Cc/Mcc,2," $480,950 "
COVENANT MEDICAL CENTER,499,Local Excision & Removal Int Fix Devices Of Hip & Femur W/O Cc/Mcc,4," $138,062 "
COVENANT MEDICAL CENTER,500,Soft Tissue Procedures W Mcc,9," $311,536 "
COVENANT MEDICAL CENTER,501,Soft Tissue Procedures W Cc,15," $151,387 "
COVENANT MEDICAL CENTER,502,Soft Tissue Procedures W/O Cc/Mcc,6," $83,019 "
COVENANT MEDICAL CENTER,504,Foot Procedures W Cc,4," $189,289 "
COVENANT MEDICAL CENTER,505,Foot Procedures W/O Cc/Mcc,3," $186,569 "
COVENANT MEDICAL CENTER,506,Major Thumb Or Joint Procedures,4," $216,204 "
COVENANT MEDICAL CENTER,508,Major Shoulder Or Elbow Joint Procedures W/O Cc/Mcc,1," $101,245 "
COVENANT MEDICAL CENTER,511,"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W Cc",11," $144,177 "
COVENANT MEDICAL CENTER,512,"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W/O Cc/Mcc",7," $116,155 "
COVENANT MEDICAL CENTER,513,"Hand Or Wrist Proc, Except Major Thumb Or Joint Proc W Cc/Mcc",14," $82,259 "
COVENANT MEDICAL CENTER,514,"Hand Or Wrist Proc, Except Major Thumb Or Joint Proc W/O Cc/Mcc",9," $56,552 "
COVENANT MEDICAL CENTER,515,Other Musculoskelet Sys & Conn Tiss O.R. Proc W Mcc,14," $232,509 "
COVENANT MEDICAL CENTER,516,Other Musculoskelet Sys & Conn Tiss O.R. Proc W Cc,11," $150,921 "
COVENANT MEDICAL CENTER,517,Other Musculoskelet Sys & Conn Tiss O.R. Proc W/O Cc/Mcc,19," $115,028 "
COVENANT MEDICAL CENTER,518,Back & Neck Proc Exc Spinal Fusion W Mcc Or Disc Device/Neurostim,11," $168,044 "
COVENANT MEDICAL CENTER,519,Back & Neck Proc Exc Spinal Fusion W Cc,9," $137,253 "
COVENANT MEDICAL CENTER,520,Back & Neck Proc Exc Spinal Fusion W/O Cc/Mcc,15," $111,835 "
COVENANT MEDICAL CENTER,533,Fractures Of Femur W Mcc,2," $58,661 "
COVENANT MEDICAL CENTER,534,Fractures Of Femur W/O Mcc,2," $72,121 "
COVENANT MEDICAL CENTER,535,Fractures Of Hip & Pelvis W Mcc,11," $105,050 "
COVENANT MEDICAL CENTER,536,Fractures Of Hip & Pelvis W/O Mcc,13," $79,818 "
COVENANT MEDICAL CENTER,539,Osteomyelitis W Mcc,5," $269,122 "
COVENANT MEDICAL CENTER,540,Osteomyelitis W Cc,6," $97,804 "
COVENANT MEDICAL CENTER,541,Osteomyelitis W/O Cc/Mcc,3," $48,522 "
COVENANT MEDICAL CENTER,542,Pathological Fractures & Musculoskelet & Conn Tiss Malig W Mcc,8," $217,772 "
COVENANT MEDICAL CENTER,543,Pathological Fractures & Musculoskelet & Conn Tiss Malig W Cc,11," $93,965 "
COVENANT MEDICAL CENTER,544,Pathological Fractures & Musculoskelet & Conn Tiss Malig W/O Cc/Mcc,1," $118,189 "
COVENANT MEDICAL CENTER,545,Connective Tissue Disorders W Mcc,7," $426,547 "
COVENANT MEDICAL CENTER,546,Connective Tissue Disorders W Cc,8," $96,086 "
COVENANT MEDICAL CENTER,547,Connective Tissue Disorders W/O Cc/Mcc,2," $77,452 "
COVENANT MEDICAL CENTER,548,Septic Arthritis W Mcc,3," $134,840 "
COVENANT MEDICAL CENTER,549,Septic Arthritis W Cc,3," $125,907 "
COVENANT MEDICAL CENTER,550,Septic Arthritis W/O Cc/Mcc,2," $88,573 "
COVENANT MEDICAL CENTER,551,Medical Back Problems W Mcc,17," $142,362 "
COVENANT MEDICAL CENTER,552,Medical Back Problems W/O Mcc,44," $96,653 "
COVENANT MEDICAL CENTER,553,Bone Diseases & Arthropathies W Mcc,2," $40,211 "
COVENANT MEDICAL CENTER,554,Bone Diseases & Arthropathies W/O Mcc,7," $75,253 "
COVENANT MEDICAL CENTER,555,Signs & Symptoms Of Musculoskeletal System & Conn Tissue W Mcc,4," $166,402 "
COVENANT MEDICAL CENTER,556,Signs & Symptoms Of Musculoskeletal System & Conn Tissue W/O Mcc,3," $59,463 "
COVENANT MEDICAL CENTER,557,"Tendonitis, Myositis & Bursitis W Mcc",4," $113,090 "
COVENANT MEDICAL CENTER,558,"Tendonitis, Myositis & Bursitis W/O Mcc",14," $54,315 "
COVENANT MEDICAL CENTER,559,"Aftercare, Musculoskeletal System & Connective Tissue W Mcc",6," $215,835 "
COVENANT MEDICAL CENTER,560,"Aftercare, Musculoskeletal System & Connective Tissue W Cc",3," $42,543 "
COVENANT MEDICAL CENTER,561,"Aftercare, Musculoskeletal System & Connective Tissue W/O Cc/Mcc",2," $28,226 "
COVENANT MEDICAL CENTER,562,"Fx, Sprn, Strn & Disl Except Femur, Hip, Pelvis & Thigh W Mcc",4," $90,305 "
COVENANT MEDICAL CENTER,563,"Fx, Sprn, Strn & Disl Except Femur, Hip, Pelvis & Thigh W/O Mcc",19," $67,075 "
COVENANT MEDICAL CENTER,564,Other Musculoskeletal Sys & Connective Tissue Diagnoses W Mcc,5," $104,120 "
COVENANT MEDICAL CENTER,565,Other Musculoskeletal Sys & Connective Tissue Diagnoses W Cc,6," $75,295 "
COVENANT MEDICAL CENTER,566,Other Musculoskeletal Sys & Connective Tissue Diagnoses W/O Cc/Mcc,4," $72,386 "
COVENANT MEDICAL CENTER,571,Skin Debridement W Cc,14," $128,860 "
COVENANT MEDICAL CENTER,572,Skin Debridement W/O Cc/Mcc,1," $89,032 "
COVENANT MEDICAL CENTER,574,Skin Graft For Skin Ulcer Or Cellulitis W Cc,2," $181,095 "
COVENANT MEDICAL CENTER,577,Skin Graft Exc For Skin Ulcer Or Cellulitis W Cc,3," $303,685 "
COVENANT MEDICAL CENTER,578,Skin Graft Exc For Skin Ulcer Or Cellulitis W/O Cc/Mcc,1," $61,645 "
COVENANT MEDICAL CENTER,579,"Other Skin, Subcut Tiss & Breast Proc W Mcc",4," $213,784 "
COVENANT MEDICAL CENTER,580,"Other Skin, Subcut Tiss & Breast Proc W Cc",21," $96,412 "
COVENANT MEDICAL CENTER,581,"Other Skin, Subcut Tiss & Breast Proc W/O Cc/Mcc",14," $82,064 "
COVENANT MEDICAL CENTER,583,Mastectomy For Malignancy W/O Cc/Mcc,1," $132,713 "
COVENANT MEDICAL CENTER,584,"Breast Biopsy, Local Excision & Other Breast Procedures W Cc/Mcc",2," $79,868 "
COVENANT MEDICAL CENTER,585,"Breast Biopsy, Local Excision & Other Breast Procedures W/O Cc/Mcc",1," $157,503 "
COVENANT MEDICAL CENTER,592,Skin Ulcers W Mcc,8," $130,744 "
COVENANT MEDICAL CENTER,595,Major Skin Disorders W Mcc,3," $94,838 "
COVENANT MEDICAL CENTER,597,Malignant Breast Disorders W Mcc,5," $111,509 "
COVENANT MEDICAL CENTER,598,Malignant Breast Disorders W Cc,2," $58,806 "
COVENANT MEDICAL CENTER,600,Non-Malignant Breast Disorders W Cc/Mcc,1," $102,700 "
COVENANT MEDICAL CENTER,601,Non-Malignant Breast Disorders W/O Cc/Mcc,1," $28,544 "
COVENANT MEDICAL CENTER,602,Cellulitis W Mcc,28," $123,056 "
COVENANT MEDICAL CENTER,603,Cellulitis W/O Mcc,115," $74,490 "
COVENANT MEDICAL CENTER,604,"Trauma To The Skin, Subcut Tiss & Breast W Mcc",2," $118,672 "
COVENANT MEDICAL CENTER,605,"Trauma To The Skin, Subcut Tiss & Breast W/O Mcc",11," $67,925 "
COVENANT MEDICAL CENTER,606,Minor Skin Disorders W Mcc,3," $57,119 "
COVENANT MEDICAL CENTER,607,Minor Skin Disorders W/O Mcc,4," $50,957 "
COVENANT MEDICAL CENTER,614,Adrenal & Pituitary Procedures W Cc/Mcc,8," $218,551 "
COVENANT MEDICAL CENTER,615,Adrenal & Pituitary Procedures W/O Cc/Mcc,10," $122,888 "
COVENANT MEDICAL CENTER,616,"Amputat Of Lower Limb For Endocrine,Nutrit,& Metabol Dis W Mcc",4," $443,175 "
COVENANT MEDICAL CENTER,617,"Amputat Of Lower Limb For Endocrine,Nutrit,& Metabol Dis W Cc",17," $177,291 "
COVENANT MEDICAL CENTER,619,O.R. Procedures For Obesity W Mcc,11," $137,572 "
COVENANT MEDICAL CENTER,620,O.R. Procedures For Obesity W Cc,19," $139,259 "
COVENANT MEDICAL CENTER,621,O.R. Procedures For Obesity W/O Cc/Mcc,112," $122,985 "
COVENANT MEDICAL CENTER,622,"Skin Grafts & Wound Debrid For Endoc, Nutrit & Metab Dis W Mcc",3," $336,445 "
COVENANT MEDICAL CENTER,623,"Skin Grafts & Wound Debrid For Endoc, Nutrit & Metab Dis W Cc",7," $186,831 "
COVENANT MEDICAL CENTER,624,"Skin Grafts & Wound Debrid For Endoc, Nutrit & Metab Dis W/O Cc/Mcc",3," $143,289 "
COVENANT MEDICAL CENTER,625,"Thyroid, Parathyroid & Thyroglossal Procedures W Mcc",2," $423,686 "
COVENANT MEDICAL CENTER,627,"Thyroid, Parathyroid & Thyroglossal Procedures W/O Cc/Mcc",4," $57,148 "
COVENANT MEDICAL CENTER,628,"Other Endocrine, Nutrit & Metab O.R. Proc W Mcc",3," $443,720 "
COVENANT MEDICAL CENTER,629,"Other Endocrine, Nutrit & Metab O.R. Proc W Cc",11," $136,403 "
COVENANT MEDICAL CENTER,630,"Other Endocrine, Nutrit & Metab O.R. Proc W/O Cc/Mcc",3," $143,960 "
COVENANT MEDICAL CENTER,637,Diabetes W Mcc,64," $126,927 "
COVENANT MEDICAL CENTER,638,Diabetes W Cc,86," $71,917 "
COVENANT MEDICAL CENTER,639,Diabetes W/O Cc/Mcc,38," $47,724 "
COVENANT MEDICAL CENTER,640,"Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W Mcc",125," $94,961 "
COVENANT MEDICAL CENTER,641,"Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W/O Mcc",61," $65,540 "
COVENANT MEDICAL CENTER,642,Inborn And Other Disorders Of Metabolism,8," $162,679 "
COVENANT MEDICAL CENTER,643,Endocrine Disorders W Mcc,9," $139,359 "
COVENANT MEDICAL CENTER,644,Endocrine Disorders W Cc,9," $90,742 "
COVENANT MEDICAL CENTER,645,Endocrine Disorders W/O Cc/Mcc,8," $35,570 "
COVENANT MEDICAL CENTER,653,Major Bladder Procedures W Mcc,1," $595,506 "
COVENANT MEDICAL CENTER,654,Major Bladder Procedures W Cc,4," $206,379 "
COVENANT MEDICAL CENTER,655,Major Bladder Procedures W/O Cc/Mcc,2," $156,197 "
COVENANT MEDICAL CENTER,656,Kidney & Ureter Procedures For Neoplasm W Mcc,4," $261,698 "
COVENANT MEDICAL CENTER,657,Kidney & Ureter Procedures For Neoplasm W Cc,24," $121,696 "
COVENANT MEDICAL CENTER,658,Kidney & Ureter Procedures For Neoplasm W/O Cc/Mcc,6," $93,241 "
COVENANT MEDICAL CENTER,659,Kidney & Ureter Procedures For Non-Neoplasm W Mcc,5," $326,106 "
COVENANT MEDICAL CENTER,660,Kidney & Ureter Procedures For Non-Neoplasm W Cc,4," $88,531 "
COVENANT MEDICAL CENTER,661,Kidney & Ureter Procedures For Non-Neoplasm W/O Cc/Mcc,4," $125,992 "
COVENANT MEDICAL CENTER,662,Minor Bladder Procedures W Mcc,1," $1,014,417 "
COVENANT MEDICAL CENTER,664,Minor Bladder Procedures W/O Cc/Mcc,1," $65,376 "
COVENANT MEDICAL CENTER,666,Prostatectomy W Cc,3," $129,298 "
COVENANT MEDICAL CENTER,668,Transurethral Procedures W Mcc,3," $245,545 "
COVENANT MEDICAL CENTER,669,Transurethral Procedures W Cc,11," $91,801 "
COVENANT MEDICAL CENTER,673,Other Kidney & Urinary Tract Procedures W Mcc,24," $287,332 "
COVENANT MEDICAL CENTER,674,Other Kidney & Urinary Tract Procedures W Cc,12," $175,382 "
COVENANT MEDICAL CENTER,682,Renal Failure W Mcc,247," $134,541 "
COVENANT MEDICAL CENTER,683,Renal Failure W Cc,185," $88,298 "
COVENANT MEDICAL CENTER,684,Renal Failure W/O Cc/Mcc,23," $48,700 "
COVENANT MEDICAL CENTER,686,Kidney & Urinary Tract Neoplasms W Mcc,3," $88,724 "
COVENANT MEDICAL CENTER,687,Kidney & Urinary Tract Neoplasms W Cc,3," $108,757 "
COVENANT MEDICAL CENTER,689,Kidney & Urinary Tract Infections W Mcc,71," $86,573 "
COVENANT MEDICAL CENTER,690,Kidney & Urinary Tract Infections W/O Mcc,77," $56,873 "
COVENANT MEDICAL CENTER,691,Urinary Stones W Esw Lithotripsy W Cc/Mcc,3," $68,786 "
COVENANT MEDICAL CENTER,693,Urinary Stones W/O Esw Lithotripsy W Mcc,3," $129,480 "
COVENANT MEDICAL CENTER,694,Urinary Stones W/O Esw Lithotripsy W/O Mcc,9," $62,470 "
COVENANT MEDICAL CENTER,696,Kidney & Urinary Tract Signs & Symptoms W/O Mcc,4," $129,612 "
COVENANT MEDICAL CENTER,698,Other Kidney & Urinary Tract Diagnoses W Mcc,86," $129,528 "
COVENANT MEDICAL CENTER,699,Other Kidney & Urinary Tract Diagnoses W Cc,33," $110,862 "
COVENANT MEDICAL CENTER,700,Other Kidney & Urinary Tract Diagnoses W/O Cc/Mcc,3," $58,823 "
COVENANT MEDICAL CENTER,707,Major Male Pelvic Procedures W Cc/Mcc,25," $101,876 "
COVENANT MEDICAL CENTER,708,Major Male Pelvic Procedures W/O Cc/Mcc,62," $140,431 "
COVENANT MEDICAL CENTER,710,Penis Procedures W/O Cc/Mcc,1," $112,784 "
COVENANT MEDICAL CENTER,711,Testes Procedures W Cc/Mcc,1," $63,150 "
COVENANT MEDICAL CENTER,713,Transurethral Prostatectomy W Cc/Mcc,4," $117,116 "
COVENANT MEDICAL CENTER,714,Transurethral Prostatectomy W/O Cc/Mcc,1," $53,254 "
COVENANT MEDICAL CENTER,715,Other Male Reproductive System O.R. Proc For Malignancy W Cc/Mcc,1," $72,660 "
COVENANT MEDICAL CENTER,717,Other Male Reproductive System O.R. Proc Exc Malignancy W Cc/Mcc,6," $211,166 "
COVENANT MEDICAL CENTER,722,"Malignancy, Male Reproductive System W Mcc",1," $196,545 "
COVENANT MEDICAL CENTER,723,"Malignancy, Male Reproductive System W Cc",2," $69,108 "
COVENANT MEDICAL CENTER,725,Benign Prostatic Hypertrophy W Mcc,3," $95,485 "
COVENANT MEDICAL CENTER,726,Benign Prostatic Hypertrophy W/O Mcc,5," $31,665 "
COVENANT MEDICAL CENTER,727,Inflammation Of The Male Reproductive System W Mcc,5," $109,923 "
COVENANT MEDICAL CENTER,728,Inflammation Of The Male Reproductive System W/O Mcc,7," $40,839 "
COVENANT MEDICAL CENTER,729,Other Male Reproductive System Diagnoses W Cc/Mcc,1," $41,847 "
COVENANT MEDICAL CENTER,730,Other Male Reproductive System Diagnoses W/O Cc/Mcc,1," $34,447 "
COVENANT MEDICAL CENTER,734,"Pelvic Evisceration, Rad Hysterectomy & Rad Vulvectomy W Cc/Mcc",1," $107,690 "
COVENANT MEDICAL CENTER,735,"Pelvic Evisceration, Rad Hysterectomy & Rad Vulvectomy W/O Cc/Mcc",1," $115,032 "
COVENANT MEDICAL CENTER,736,Uterine & Adnexa Proc For Ovarian Or Adnexal Malignancy W Mcc,2," $250,979 "
COVENANT MEDICAL CENTER,737,Uterine & Adnexa Proc For Ovarian Or Adnexal Malignancy W Cc,1," $100,727 "
COVENANT MEDICAL CENTER,740,"Uterine,Adnexa Proc For Non-Ovarian/Adnexal Malig W Cc",3," $108,756 "
COVENANT MEDICAL CENTER,741,"Uterine,Adnexa Proc For Non-Ovarian/Adnexal Malig W/O Cc/Mcc",3," $139,684 "
COVENANT MEDICAL CENTER,742,Uterine & Adnexa Proc For Non-Malignancy W Cc/Mcc,31," $112,732 "
COVENANT MEDICAL CENTER,743,Uterine & Adnexa Proc For Non-Malignancy W/O Cc/Mcc,67," $80,912 "
COVENANT MEDICAL CENTER,744,"D&C, Conization, Laparoscopy & Tubal Interruption W Cc/Mcc",3," $106,114 "
COVENANT MEDICAL CENTER,745,"D&C, Conization, Laparoscopy & Tubal Interruption W/O Cc/Mcc",1," $27,377 "
COVENANT MEDICAL CENTER,746,"Vagina, Cervix & Vulva Procedures W Cc/Mcc",1," $108,927 "
COVENANT MEDICAL CENTER,747,"Vagina, Cervix & Vulva Procedures W/O Cc/Mcc",2," $79,176 "
COVENANT MEDICAL CENTER,748,Female Reproductive System Reconstructive Procedures,11," $70,500 "
COVENANT MEDICAL CENTER,749,Other Female Reproductive System O.R. Procedures W Cc/Mcc,1," $162,567 "
COVENANT MEDICAL CENTER,754,"Malignancy, Female Reproductive System W Mcc",3," $113,023 "
COVENANT MEDICAL CENTER,755,"Malignancy, Female Reproductive System W Cc",4," $46,254 "
COVENANT MEDICAL CENTER,757,"Infections, Female Reproductive System W Mcc",1," $39,050 "
COVENANT MEDICAL CENTER,758,"Infections, Female Reproductive System W Cc",4," $43,749 "
COVENANT MEDICAL CENTER,759,"Infections, Female Reproductive System W/O Cc/Mcc",2," $55,243 "
COVENANT MEDICAL CENTER,760,Menstrual & Other Female Reproductive System Disorders W Cc/Mcc,4," $42,093 "
