Sharp HealthCare Fiscal Year 2018 Average DRG Charges,,
,"In accordance with Centers for Medicare and Medicaid Fiscal Year 2019 Inpatient Prospective Payment System Final Rule, 83 Federal Reg. 41144 (Aug. 17, 2018). Sharp HealthCare publishes their standard charges for each diagnosis-related group (DRG) established under section 1886(d)(4) of the Social Security Act.  These charges were calculated from discharge data for Fiscal Year 2018 (October 1st, 2017 through September 30th, 2018).  Each calculation is the average charge for that DRG within the first standard deviation and are in order from highest occurrence to lowest.  Please be aware this is only an average calculation and that every visit is different.  Please note that standard charges are not always reflective of the price you will pay for the services provided. You can obtain a price estimate by calling our centralized price estimate line at 858-499-5901.",
268,Aortic and heart assist procedures except pulsation balloon w MCC," $326,050.79 "
306,Cardiac congenital & valvular disorders w MCC," $55,766.03 "
307,Cardiac congenital & valvular disorders w/o MCC," $36,096.98 "
346,Minor small & large bowel procedures w/o CC/MCC," $60,701.35 "
463,"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w MCC"," $246,793.27 "
504,Foot procedures w CC," $89,642.02 "
511,"Shoulder,elbow or forearm proc,exc major joint proc w CC"," $125,594.36 "
687,Kidney & urinary tract neoplasms w CC," $60,647.61 "
755,"Malignancy, female reproductive system w CC"," $62,632.27 "
52,Spinal disorders & injuries w CC/MCC," $148,480.15 "
94,Bacterial & tuberculous infections of nervous system w MCC," $184,249.48 "
113,Orbital procedures w CC/MCC," $128,123.08 "
260,Cardiac pacemaker revision except device replacement w MCC," $145,510.37 "
348,Anal & stomal procedures w CC," $78,216.29 "
353,Hernia procedures except inguinal & femoral w MCC," $147,475.24 "
382,Complicated peptic ulcer w/o CC/MCC," $43,468.41 "
489,Knee procedures w/o pdx of infection w/o CC/MCC," $76,181.69 "
496,Local excision & removal int fix devices exc hip & femur w CC," $115,087.00 "
555,Signs & symptoms of musculoskeletal system & conn tissue w MCC," $55,299.95 "
700,Other kidney & urinary tract diagnoses w/o CC/MCC," $48,784.11 "
829,Myeloproliferative disorders or poorly differentiated neoplasms w other procedure w CC/MCC," $161,655.43 "
835,Acute leukemia w/o major O.R. procedure w CC," $45,874.83 "
922,"Other injury, poisoning & toxic effect diag w MCC"," $85,436.15 "
76,Viral meningitis w/o CC/MCC," $33,559.94 "
137,Mouth procedures w CC/MCC," $84,176.96 "
157,Dental & Oral Diseases w MCC," $74,255.66 "
197,Interstitial lung disease w CC," $44,414.75 "
249,Perc cardiovasc proc w non-drug-eluting stent w/o MCC," $125,432.99 "
251,Perc cardiovasc proc w/o coronary artery stent w/o MCC," $84,382.37 "
255,Upper limb & toe amputation for circ system disorders w MCC," $108,290.90 "
262,Cardiac pacemaker revision except device replacement w/o CC/MCC," $70,281.55 "
414,Cholecystectomy except by laparoscope w/o c.d.e. w MCC," $141,818.76 "
466,Revision of hip or knee replacement w MCC," $188,751.32 "
477,Biopsies of musculoskeletal system & connective tissue w MCC," $99,552.27 "
547,Connective tissue disorders w/o CC/MCC," $43,206.69 "
559,"Aftercare, musculoskeletal system & connective tissue w MCC"," $63,032.22 "
572,Skin debridement w/o CC/MCC," $58,639.69 "
842,Lymphoma & non-acute leukemia w/o CC/MCC," $49,148.53 "
977,HIV w or w/o other related condition," $48,396.85 "
35,Carotid artery stent procedure w CC," $100,028.70 "
42,Periph/cranial nerve & other nerv syst proc w/o CC/MCC," $104,461.81 "
387,Inflammatory bowel disease w/o CC/MCC," $46,328.54 "
457,Spinal fus exc cerv w spinal curv/malig/infec or ext fus w CC," $300,124.88 "
505,Foot procedures w/o CC/MCC," $128,352.31 "
534,Fractures of femur w/o MCC," $46,892.42 "
549,Septic arthritis w CC," $57,429.31 "
564,Other musculoskeletal sys & connective tissue diagnoses w MCC," $64,870.77 "
584,"Breast biopsy, local excision & other breast procedures w CC/MCC"," $110,090.87 "
606,Minor skin disorders w MCC," $36,957.03 "
622,"Skin grafts & wound debrid for endoc, nutrit & metab dis w MCC"," $138,052.27 "
686,Kidney & urinary tract neoplasms w MCC," $88,340.14 "
693,Urinary stones w/o esw lithotripsy w MCC," $58,963.75 "
717,Other male reproductive system O.R. proc exc malignancy w CC/MCC," $87,200.15 "
727,Inflammation of the male reproductive system w MCC," $59,251.57 "
736,Uterine & adnexa proc for ovarian or adnexal malignancy w MCC," $249,987.84 "
744,"D&C, conization, laparoscopy & tubal interruption w CC/MCC"," $71,391.28 "
843,Other myeloprolif dis or poorly diff neopl diag w MCC," $85,098.90 "
868,Other infectious & parasitic diseases diagnoses w CC," $49,462.39 "
901,Wound debridements for injuries w MCC," $229,412.89 "
11,"Tracheostomy for face,mouth & neck diagnoses w MCC"," $293,066.82 "
36,Carotid artery stent procedure w/o CC/MCC," $70,263.33 "
75,Viral meningitis w CC/MCC," $43,560.45 "
95,Bacterial & tuberculous infections of nervous system w CC," $83,890.88 "
102,Headaches w MCC," $60,049.07 "
134,"Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC"," $92,704.75 "
156,"Other ear, nose, mouth & throat diagnoses w/o CC/MCC"," $40,987.74 "
245,AICD generator procedures," $261,490.05 "
350,Inguinal & femoral hernia procedures w MCC," $132,968.47 "
539,Osteomyelitis w MCC," $62,281.68 "
561,"Aftercare, musculoskeletal system & connective tissue w/o CC/MCC"," $37,810.59 "
600,Non-malignant breast disorders w CC/MCC," $32,371.72 "
654,Major bladder procedures w CC," $133,111.41 "
754,"Malignancy, female reproductive system w MCC"," $101,562.29 "
758,"Infections, female reproductive system w CC"," $49,068.32 "
760,Menstrual & other female reproductive system disorders w CC/MCC," $40,282.23 "
825,Lymphoma & non-acute leukemia w other proc w/o CC/MCC," $66,796.52 "
844,Other myeloprolif dis or poorly diff neopl diag w CC," $52,674.54 "
902,Wound debridements for injuries w CC," $74,497.22 "
906,Hand procedures for injuries," $107,728.49 "
940,O.R. proc w diagnoses of other contact w health services w CC," $127,379.32 "
957,Other O.R. procedures for multiple significant trauma w MCC," $519,064.99 "
975,HIV w major related condition w CC," $50,992.18 "
28,Spinal procedures w MCC," $252,697.09 "
59,Multiple sclerosis & cerebellar ataxia w CC," $60,877.21 "
68,Nonspecific cva & precerebral occlusion w/o infarct w/o MCC," $62,790.67 "
77,Hypertensive encephalopathy w MCC," $84,230.60 "
96,Bacterial & tuberculous infections of nervous system w/o CC/MCC," $170,481.66 "
151,Epistaxis w/o MCC," $21,067.48 "
168,Other resp system O.R. procedures w/o CC/MCC," $69,000.69 "
368,Major esophageal disorders w MCC," $96,510.63 "
407,"Pancreas, liver & shunt procedures w/o CC/MCC"," $194,493.90 "
474,Amputation for musculoskeletal sys & conn tissue dis w MCC," $168,085.88 "
497,Local excision & removal int fix devices exc hip & femur w/o CC/MCC," $95,456.65 "
596,Major skin disorders w/o MCC," $43,103.52 "
625,"Thyroid, parathyroid & thyroglossal procedures w MCC"," $159,979.99 "
627,"Thyroid, parathyroid & thyroglossal procedures w/o CC/MCC"," $69,221.76 "
656,Kidney & ureter procedures for neoplasm w MCC," $123,272.67 "
659,Kidney & ureter procedures for non-neoplasm w MCC," $123,433.72 "
663,Minor bladder procedures w CC," $79,604.69 "
666,Prostatectomy w CC," $96,129.62 "
670,Transurethral procedures w/o CC/MCC," $59,766.40 "
723,"Malignancy, male reproductive system w CC"," $49,599.50 "
741,"Uterine,adnexa proc for non-ovarian/adnexal malig w/o CC/MCC"," $84,489.20 "
803,Other O.R. proc of the blood & blood forming organs w CC," $84,649.53 "
826,Myeloprolif disord or poorly diff neopl w maj O.R. proc w MCC," $202,360.64 "
969,HIV w extensive O.R. procedure w MCC," $192,365.72 "
21,Intracranial vascular procedures w PDX hemorrhage w CC," $351,870.35 "
34,Carotid artery stent procedure w MCC," $134,447.89 "
58,Multiple sclerosis & cerebellar ataxia w MCC," $94,367.10 "
78,Hypertensive encephalopathy w CC," $60,315.63 "
221,Cardiac valve & oth maj cardiothoracic proc w/o card cath w/o CC/MCC," $194,030.33 "
383,Uncomplicated peptic ulcer w MCC," $68,426.82 "
437,Malignancy of hepatobiliary system or pancreas w/o CC/MCC," $53,106.85 "
514,"Hand or wrist proc, except major thumb or joint proc w/o CC/MCC"," $44,475.42 "
601,Non-malignant breast disorders w/o CC/MCC," $29,799.32 "
746,"Vagina, cervix & vulva procedures w CC/MCC"," $68,280.13 "
802,Other O.R. proc of the blood & blood forming organs w MCC," $91,555.27 "
810,Major hematol/immun diag exc sickle cell crisis & coagul w/o CC/MCC," $43,752.10 "
822,Lymphoma & leukemia w major O.R. procedure w/o CC/MCC," $72,744.68 "
827,Myeloprolif disord or poorly diff neopl w maj O.R. proc w CC," $152,857.90 "
858,Postoperative or post-traumatic infections w O.R. proc w/o CC/MCC," $58,871.68 "
12,"Tracheostomy for face,mouth & neck diagnoses w CC"," $262,928.07 "
20,Intracranial vascular procedures w PDX hemorrhage w MCC," $342,504.12 "
124,Other disorders of the eye w MCC," $48,896.65 "
147,"Ear, nose, mouth & throat malignancy w CC"," $73,665.91 "
159,Dental & Oral Diseases w/o CC/MCC," $55,736.78 "
225,Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC," $330,340.70 "
272,Other major cardiovascular procedures w/o CC/MCC," $95,646.11 "
288,Acute & subacute endocarditis w MCC," $132,392.88 "
416,Cholecystectomy except by laparoscope w/o c.d.e. w/o CC/MCC," $82,097.49 "
421,Hepatobiliary diagnostic procedures w CC," $83,863.56 "
458,Spinal fus exc cerv w spinal curv/malig/infec or ext fus w/o CC/MCC," $193,946.17 "
479,Biopsies of musculoskeletal system & connective tissue w/o CC/MCC," $65,676.95 "
486,Knee procedures w pdx of infection w CC," $123,116.98 "
498,Local excision & removal int fix devices of hip & femur w CC/MCC," $109,967.47 "
506,Major thumb or joint procedures," $49,194.89 "
585,"Breast biopsy, local excision & other breast procedures w/o CC/MCC"," $126,270.79 "
597,Malignant breast disorders w MCC," $53,859.23 "
598,Malignant breast disorders w CC," $41,005.53 "
655,Major bladder procedures w/o CC/MCC," $138,483.36 "
710,Penis procedures w/o CC/MCC," $85,131.84 "
722,"Malignancy, male reproductive system w MCC"," $99,257.37 "
745,"D&C, conization, laparoscopy & tubal interruption w/o CC/MCC"," $72,952.03 "
757,"Infections, female reproductive system w MCC"," $71,548.24 "
816,Reticuloendothelial & immunity disorders w/o CC/MCC," $54,088.11 "
821,Lymphoma & leukemia w major O.R. procedure w CC," $181,736.88 "
913,Traumatic injury w MCC," $134,324.86 "
941,O.R. proc w diagnoses of other contact w health services w/o CC/MCC," $77,116.11 "
33,Ventricular shunt procedures w/o CC/MCC," $95,300.48 "
53,Spinal disorders & injuries w/o CC/MCC," $83,707.55 "
63,"Ischemic stroke,precerebral occlusion or transient ischemia w thrombolytic agent w/o CC/MCC"," $141,420.03 "
114,Orbital procedures w/o CC/MCC," $72,756.80 "
121,Acute major eye infections w CC/MCC," $37,408.22 "
138,Mouth procedures w/o CC/MCC," $54,386.59 "
150,Epistaxis w MCC," $47,763.36 "
259,Cardiac pacemaker device replacement w/o MCC," $72,344.59 "
333,Rectal resection w CC," $100,254.78 "
338,Appendectomy w complicated principal diag w MCC," $130,498.97 "
423,Other hepatobiliary or pancreas O.R. procedures w MCC," $180,337.75 "
503,Foot procedures w MCC," $203,219.31 "
616,"Amputat of lower limb for endocrine,nutrit,& metabol dis w MCC"," $161,687.08 "
664,Minor bladder procedures w/o CC/MCC," $57,949.66 "
695,Kidney & urinary tract signs & symptoms w MCC," $53,848.98 "
711,Testes procedures w CC/MCC," $46,065.93 "
734,"Pelvic evisceration, rad hysterectomy & rad vulvectomy w CC/MCC"," $130,614.79 "
747,"Vagina, cervix & vulva procedures w/o CC/MCC"," $38,751.08 "
838,Chemo w acute leukemia as sdx w CC or high dose chemo agent," $65,378.31 "
839,Chemo w acute leukemia as sdx w/o CC/MCC," $35,671.24 "
855,Infectious & parasitic diseases w O.R. procedure w/o CC/MCC," $78,108.49 "
965,Other multiple significant trauma w/o CC/MCC," $78,598.33 "
2,Heart transplant or implant of heart assist system w/o MCC," $816,526.58 "
67,Nonspecific cva & precerebral occlusion w/o infarct w MCC," $65,776.25 "
79,Hypertensive encephalopathy w/o CC/MCC," $51,853.61 "
80,Nontraumatic stupor & coma w MCC," $87,745.72 "
88,Concussion w MCC," $143,853.65 "
99,Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC," $71,900.97 "
182,Respiratory neoplasms w/o CC/MCC," $40,437.30 "
223,Cardiac defib implant w cardiac cath w AMI/HF/shock w/o MCC," $336,414.56 "
284,"Acute myocardial infarction, expired w CC"," $68,333.80 "
294,Deep vein thrombophlebitis w CC/MCC," $42,895.72 "
311,Angina pectoris," $37,745.80 "
341,Appendectomy w/o complicated principal diag w MCC," $116,455.18 "
344,Minor small & large bowel procedures w MCC," $72,944.67 "
347,Anal & stomal procedures w MCC," $133,891.33 "
358,Other digestive system O.R. procedures w/o CC/MCC," $60,227.49 "
376,Digestive malignancy w/o CC/MCC," $47,525.50 "
475,Amputation for musculoskeletal sys & conn tissue dis w CC," $72,245.13 "
507,Major shoulder or elbow joint procedures w CC/MCC," $88,238.98 "
537,"Sprains, strains, & dislocations of hip, pelvis & thigh w CC/MCC"," $56,157.80 "
538,"Sprains, strains, & dislocations of hip, pelvis & thigh w/o CC/MCC"," $29,925.12 "
575,Skin graft for skin ulcer or cellulitis w/o CC/MCC," $55,876.07 "
576,Skin graft exc for skin ulcer or cellulitis w MCC," $142,620.43 "
578,Skin graft exc for skin ulcer or cellulitis w/o CC/MCC," $76,643.77 "
595,Major skin disorders w MCC," $58,073.22 "
630,"Other endocrine, nutrit & metab O.R. proc w/o CC/MCC"," $173,562.34 "
653,Major bladder procedures w MCC," $249,788.49 "
667,Prostatectomy w/o CC/MCC," $50,078.93 "
671,Urethral procedures w CC/MCC," $58,396.67 "
697,Urethral stricture," $50,231.50 "
709,Penis procedures w CC/MCC," $119,599.47 "
718,Other male reproductive system O.R. proc exc malignancy w/o CC/MCC," $57,285.91 "
725,Benign prostatic hypertrophy w MCC," $43,296.05 "
738,Uterine & adnexa proc for ovarian or adnexal malignancy w/o CC/MCC," $91,086.91 "
756,"Malignancy, female reproductive system w/o CC/MCC"," $56,690.83 "
780,False labor," $23,006.20 "
814,Reticuloendothelial & immunity disorders w MCC," $91,303.19 "
828,Myeloprolif disord or poorly diff neopl w maj O.R. proc w/o CC/MCC," $102,412.53 "
845,Other myeloprolif dis or poorly diff neopl diag w/o CC/MCC," $68,607.76 "
869,Other infectious & parasitic diseases diagnoses w/o CC/MCC," $23,926.00 "
882,Neuroses except depressive," $62,558.22 "
883,Disorders of personality & impulse control," $46,937.26 "
935,Non-extensive burns," $30,736.33 "
959,Other O.R. procedures for multiple significant trauma w/o CC/MCC," $182,296.04 "
976,HIV w major related condition w/o CC/MCC," $32,618.92 "
13,"Tracheostomy for face,mouth & neck diagnoses w/o CC/MCC"," $101,989.75 "
90,Concussion w/o CC/MCC," $105,511.70 "
135,Sinus & mastoid procedures w CC/MCC," $74,364.95 "
139,Salivary gland procedures," $68,929.83 "
146,"Ear, nose, mouth & throat malignancy w MCC"," $29,724.40 "
148,"Ear, nose, mouth & throat malignancy w/o CC/MCC"," $30,669.02 "
188,Pleural effusion w/o CC/MCC," $20,475.20 "
241,Amputation for circ sys disorders exc upper limb & toe w/o CC/MCC," $75,630.65 "
258,Cardiac pacemaker device replacement w MCC," $285,982.70 "
289,Acute & subacute endocarditis w CC," $52,334.99 "
334,Rectal resection w/o CC/MCC," $69,777.18 "
370,Major esophageal disorders w/o CC/MCC," $34,058.10 "
408,Biliary tract proc except only cholecyst w or w/o c.d.e. w MCC," $184,026.57 "
422,Hepatobiliary diagnostic procedures w/o CC/MCC," $90,744.09 "
424,Other hepatobiliary or pancreas O.R. procedures w CC," $48,218.70 "
434,Cirrhosis & alcoholic hepatitis w/o CC/MCC," $34,583.25 "
456,Spinal fus exc cerv w spinal curv/malig/infec or ext fus w MCC," $335,554.48 "
485,Knee procedures w pdx of infection w MCC," $167,257.82 "
499,Local excision & removal int fix devices of hip & femur w/o CC/MCC," $67,300.50 "
510,"Shoulder,elbow or forearm proc,exc major joint proc w MCC"," $153,259.55 "
541,Osteomyelitis w/o CC/MCC," $38,241.01 "
662,Minor bladder procedures w MCC," $160,365.70 "
691,Urinary stones w esw lithotripsy w CC/MCC," $74,679.28 "
730,Other male reproductive system diagnoses w/o CC/MCC," $39,676.75 "
735,"Pelvic evisceration, rad hysterectomy & rad vulvectomy w/o CC/MCC"," $96,600.85 "
749,Other female reproductive system O.R. procedures w CC/MCC," $246,888.90 "
761,Menstrual & other female reproductive system disorders w/o CC/MCC," $47,132.10 "
801,Splenectomy w/o CC/MCC," $80,205.02 "
804,Other O.R. proc of the blood & blood forming organs w/o CC/MCC," $164,638.58 "
820,Lymphoma & leukemia w major O.R. procedure w MCC," $251,557.98 "
836,Acute leukemia w/o major O.R. procedure w/o CC/MCC," $22,516.51 "
876,O.R. procedure w principal diagnoses of mental illness," $190,934.82 "
881,Depressive neuroses," $88,218.20 "
939,O.R. proc w diagnoses of other contact w health services w MCC," $124,206.99 "
949,Aftercare w CC/MCC," $125,971.70 "
955,Craniotomy for multiple significant trauma," $404,944.86 "
970,HIV w extensive O.R. procedure w/o MCC," $174,468.10 "
,"In accordance with Centers for Medicare and Medicaid Fiscal Year 2019 Inpatient Prospective Payment System Final Rule, 83 Federal Reg. 41144 (Aug. 17, 2018). Sharp HealthCare publishes their standard charges for each diagnosis-related group (DRG) established under section 1886(d)(4) of the Social Security Act.  These charges were calculated from discharge data for Fiscal Year 2018 (October 1st, 2017 through September 30th, 2018).  Each calculation is the average charge for that DRG within the first standard deviation and are in order from highest occurrence to lowest.  Please be aware this is only an average calculation and that every visit is different.  Please note that standard charges are not always reflective of the price you will pay for the services provided. You can obtain a price estimate by calling our centralized price estimate line at 858-499-5901.",
