Proc Code Description,Modifier,Price
CT UPPER EXTREMITY W/O CONTRAST MATERIAL,TC,"$1,950.00 "
CTA ABDL AORTA&BI ILIOFEM W/CONTRAST&POSTP,TC,"$3,750.00 "
CTA HRT CORNRY ART/BYPASS GRFTS CONTRST 3D POST,TC,"$3,750.00 "
CTR MOTOR EP STD TRANSCRNL MOTOR STIMJ LWR LIMBS,TC,"$7,350.00 "
CTR MOTOR EP STD TRANSCRNL MOTOR STIMJ UPR LIMBS,TC,"$7,350.00 "
CTR MOTR EP STD TRANSCRNL MOTR STIM UPR&LOW LI,TC,"$7,350.00 "
CTRL NSL HEMRRG PST NASAL PACKS&/CAUTERY 1ST,,"$1,021.50 "
CTRL NSL HEMRRG PST NASAL PACKS&/CAUTERY SUBSQ,,"$1,309.50 "
CUL BACT AEROBIC ADDL METHS DEFINITIVE EA ISOL,,$123.00 
CUL BACT ANAEROBIC ADDL METHS DEFINITIVE EA ISOL,,$135.00 
CUL BACT QUAN AEROBIC ISOL XCPT UR BLOOD/STOOL,,$222.00 
CUL BACT QUAN ANAERC ISOL XCPT UR BLOOD/STOOL,,$171.00 
CUL BACT STOOL AEROBIC ADDL PATHOGENS&ID EA,,$186.00 
CUL BACT STOOL AEROBIC ISOL SALMONELLA&SHIGELL,,$136.50 
CUL BACT XCPT URINE BLOOD/STOOL AEROBIC ISOL,,$169.50 
CUL FNGI MOLD/YEAST PRSMPTV ID SKN HAIR/NAIL,,$139.50 
CUL PRSMPTV PTHGNC ORGANISM SCRN W/COLONY ESTIMJ,,$156.00 
CUL PRSMPTV PTHGNC ORGANISMS SCR DNS CHART,,$142.50 
CULTURE BACTERIAL ANY SOURCE ANAEROBIC ISO&ID,,$213.00 
CULTURE BACTERIAL BLOOD AEROBIC W/ID ISOLATES,,$210.00 
CULTURE BACTERIAL QUANTTATIVE COLONY COUNT URINE,,$166.50 
CULTURE BCT ISOL&PRSMPTV ID ISOLATE EA URINE,,$114.00 
CULTURE CHLAMYDIA ANY SOURCE,,$355.50 
CULTURE FNGI MOLD/YEAST ISOL PRSMPTV ISOL BLOOD,,$195.00 
CULTURE FNGI MOLD/YEAST PRSMPTV OTH XCPT BLOOD,,$168.00 
CULTURE FUNGI DEFINITIVE ID EACH ORGANISM MOLD,,$187.50 
CULTURE FUNGI DEFINITIVE ID EACH ORGANISM YEAST,,$244.50 
CULTURE MYCOBACTERIAL DEFINITIVE ID EA ISOL,,$198.00 
CULTURE MYCOPLASMA ANY SOURCE,,$279.00 
CULTURE TUBERCLE/OTH ACID-FAST BACILLI ANY ISOL,,$232.50 
CULTURE TYPING GAS/HIGH PRES LIQ CHROMATOGRAPHY,,$226.50 
CULTURE TYPING IDENTIFJ PULSE FIELD GEL TYPING,,$85.50 
CULTURE TYPING IMMUNOFLUORESCENT EACH ANTISERUM,,$100.50 
CULTURE TYPING IMMUNOLOGIC OTH/THN IMMUNOFLUORES,,$117.00 
CULTURE TYPING NUCLEIC ACID PROBE DIR EA ORGANSM,,$363.00 
CULTURE TYPING OTHER METHODS,,$94.50 
CULTYP NUC ACID AMP PRB CULT/ISOLATE EA ORGNISM,,$636.00 
CULTYP NUCLEIC ACID SEQUENCING METH EA ISOLATE,,"$2,089.50 "
CURETTAGE POSTPARTUM,,"$7,890.00 "
CV STRS TST XERS&/OR RX CONT ECG TRCG ONLY,,"$1,452.00 "
CYANOCOBALAMIN VIT B-12 UNSAT BINDING CAPACITY,,$271.50 
CYANOCOBALAMIN VITAMIN B-12,,$244.50 
CYCLIC CITRULLINATED PEPTIDE ANTIBODY,,$246.00 
CYP2C19 GENE ANALYSIS COMMON VARIANTS,,"$2,640.00 "
CYP2C9 GENE ANALYSIS COMMON VARIANTS,,"$2,112.00 "
CYP2D6 GENE ANALYSIS COMMON VARIANTS,,"$5,449.50 "
CYP3A4 GENE ANALYSIS COMMON VARIANTS,,"$2,097.00 "
CYP3A5 GENE ANALYSIS COMMON VARIANTS,,"$2,097.00 "
CYSTATIN C,,$180.00 
CYSTO BLADDER W/URETERAL CATHETERIZATION,,"$6,222.00 "
CYSTO CALIBRATION DILAT URTL STRIX/STENOSIS,,"$6,222.00 "
CYSTO FRAGMENTATION URETERAL STONE,,"$13,180.50 "
CYSTO INSJ URTRL GD WIRE PRQ NFROS RTRGR,,"$9,619.50 "
CYSTO W/COMPLEX REMOVAL STONE & STENT,,"$6,222.00 "
CYSTO W/DESTRUCTION OF LESIONS,,"$6,222.00 "
CYSTO W/INSERT URETERAL STENT,,"$6,733.50 "
CYSTO W/REMOVAL OF LESIONS SMALL,,"$6,222.00 "
CYSTO W/REMOVAL OF TUMORS SMALL,,"$8,509.50 "
CYSTO W/SIMPLE REMOVAL STONE & STENT,,"$4,356.00 "
CYSTO W/TX URETERAL STRICTURE,,"$9,434.00 "
CYSTO W/URETEROSCOPY W/LITHOTRIPSY,,"$13,180.50 "
CYSTO W/URETEROSCOPY W/RMVL/MANJ STONES,,"$13,180.50 "
CYSTO W/URTROSCOPY W/TX URETERAL STRICTURE,,"$9,619.50 "
CYSTO W/URTROSCOPY&/PYELOSCOPY DX,,"$6,222.00 "
CYSTO/PYELOSCOPY BX&/FULGURATION PELIVC LESION,,"$13,180.50 "
CYSTO/URETERO W/LITHOTRIPSY &INDWELL STENT INSRT,,"$15,661.50 "
CYSTOGRAPHY MINIMUM 3 VIEWS RS&I,TC,"$1,267.50 "
CYSTORRHAPHY SUTR BLDR WND INJ/RPT SIMPLE,,"$14,809.50 "
CYSTOSTOMY CYSTOTOMY W/DRAINAGE,,"$6,222.00 "
CYSTOTOMY SIMPLE EXCISION VESICAL NECK,,"$6,991.50 "
CYSTOURETHROSCOPY,,"$1,455.00 "
CYSTOURETHROSCOPY TX FEMALE URETHRAL SYNDROME,,"$6,222.00 "
CYSTOURETHROSCOPY W/DEST &/RMVL MED BLADDER TUM,,"$9,550.50 "
CYSTOURETHROSCOPY W/DEST &/RMVL TUMOR LARGE,,"$9,226.50 "
CYSTOURETHROSCOPY W/RMVL URETERAL CALCULUS,,"$13,180.50 "
CYSTOURETHROSCOPY WITH BIOPSY,,"$6,222.00 "
CYSTURETHRSCPY W/DIRECT VISION INTRL URETHROTOMY,,"$6,222.00 "
CYTP C/V FLU AUTO THIN MNL SCR&RESCR PHYS,,$250.50 
CYTP CERV/VAG AUTO THIN LAYER PREP MNL SCREEN,,$250.50 
CYTP CONCENTRATION SMEARS & INTERPRETATION,TC,$337.50 
CYTP EVAL FINE NEEDLE ASPIRATE INTERP & REPORT,TC,$766.50 
CYTP FINE NDL ASPIRATE IMMT CYTOHIST STD DX 1ST,TC,"$1,314.00 "
CYTP FINE NDL ASPIRATE IMMT CYTOHIST STD EA EVAL,TC,$223.50 
CYTP FLU WASHGS/BRUSHINGS XCPT C/V SMRS INTERPJ,TC,$373.50 
CYTP SLCTV CELL ENHANCEMENT INTERPJ XCPT C/V,TC,$526.50 
CYTP SLIDES C/V MNL SCR UNDER PHYS,,$130.50 
CYTP SMRS ANY OTH SRC EXTND STD > 5 SLIDES,TC,$433.50 
CYTP SMRS ANY OTH SRC PREPJ SCR&INTERPJ,TC,$376.50 
CYTP SMRS ANY OTH SRC SCR&INTERPJ,TC,$304.50 
DARK ADAPTATION XM W/INTERPRETATION & REPORT,TC,"$1,681.50 "
DARK FIELD EXAM ANY SOURCE W/O SPECIMEN COLLECT,,$186.00 
DARK FIELD EXAM ANY SOURCE W/SPECIMEN COLLECTION,,$177.00 
DBRDMT EXTENSV ECZEMA/INFECT SKN UP 10% BDY SURF,,"$1,926.00 "
DBRDMT EXTNSVE ECZEMA/INFECT SKN EA 10% BDY SURF,,"$1,032.00 "
DBRDMT FX&/DISLC SUBQ T/M/F BONE,,"$9,135.00 "
DBRDMT SUBCUTANEOUS TISSUE EA ADDL 20 SQ CM,,"$1,578.00 "
DBRDMT W/RMVL FM FX&/DISLC SKIN&SUBQ TISSUS,,"$2,292.00 "
DBRDMT W/RMVL FM FX&/DISLC SKN SUBQ T/M/F MUSC,,"$2,292.00 "
DEBRIDEMENT BONE EACH ADDITIONAL 20 SQ CM,,$460.50 
DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<,,"$3,978.00 "
DEBRIDEMENT MUSCLE & FASCIA 20 SQ CM/<,,"$1,833.00 "
DEBRIDEMENT MUSCLE &/FASCIA EA ADDL 20 SQ CM,,"$1,032.00 "
DEBRIDEMENT OPEN WOUND 20 SQ CM/<,,$375.00 
DEBRIDEMENT OPEN WOUND EACH ADDITIONAL 20 SQ CM,,$150.00 
DEBRIDEMENT SUBCUTANEOUS TISSUE 20 SQ CM/<,,$870.00 
DECALCIFICATION PROCEDURE,TC,$184.50 
DECLOT BY THROMBOLYTIC AGENT IMPLANT DEVICE/CATH,,"$1,026.00 "
DEHYDROEPIANDROSTERONE,,$478.50 
DEHYDROEPIANDROSTERONE-SULFATE,,$421.50 
DELIVERY PLACENTA SEPARATE PROCEDURE,,"$8,865.00 "
DELIVERY/BIRTHING ROOM RESUSCITATION,,"$4,603.50 "
DEMO&/EVAL OF PT UTILIZ AERSL GEN/NEB/INHLR/IP,,$375.00 
DEOXYCORTISOL 11-,,$553.50 
DEOXYRIBONUCLEASE ANTIBODY,,$217.50 
DESOXYCORTICOSTERONE 11-,,$586.50 
DESTRUCTION BENIGN LESIONS 15/>,,$456.00 
DESTRUCTION BENIGN LESIONS UP TO 14,,$456.00 
DEVELPMNT TESTING I&R STANDARDIZD INSTRUMNT FORM,,$597.00 
DEXMETHASONE SUPPRESSION PANEL 48 HR,,"$1,186.50 "
DIAGNOSTIC BONE MARROW ASPIRATIONS,,"$5,256.00 "
DIAGNOSTIC BONE MARROW BIOPSIES,,"$4,350.00 "
DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS,,"$6,066.00 "
DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ BI,TC,$918.00 
DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ UNI,TC,$706.50 
DIALYIS CIRCUIT VASC EMBOLI OCCLS EVASC IMG S&I,,"$7,641.00 "
DIALYSIS OTH/THN HEMODIALY REPEAT PHYS/QHP EVALS,,"$2,250.00 "
DIALYSIS OTHER/THAN HEMODIALYSIS 1 PHYS/QHP EVAL,,"$2,250.00 "
DILAT ANAL SPHNCTR SPX UNDER ANES OTH/THN LOCAL,,"$3,730.50 "
DILAT FEMALE URETHRA W/SUPPOSITORY&/INSTLJ INI,,$758.00 
DILAT URETHRAL STRIX FILIFORM & FOLLWR MALE SBSQ,,$918.00 
DILAT URETHRAL STRIX/VESICAL NCK DILAT MALE ANES,,"$6,991.50 "
DILATION & CURETTAGE DX&/THER NONOBSTETRIC,,"$8,865.00 "
DILATION ESOPH UNGUIDED SOUND/BOUGIE 1/MULT PASS,,"$2,974.50 "
DILATION ESOPHAGUS GUIDE WIRE,,"$5,674.50 "
DILATION NEPHROSTOMY/URETER/URETHRA RS&I,TC,"$9,228.00 "
DIR RPR RUPTD ANEURYSM RADIAL/ULNAR ARTERY,,"$14,847.00 "
DIRECT ADMISSION PATIENT HOSPITAL OBSERV CARE,,"$4,432.00 "
DISKOGRAPY CERVICAL/THORACIC RS&I,TC,"$7,177.50 "
DISKOGRAPY LUMBAR RS&I,TC,"$8,772.00 "
DISSECTION DEEP JUGULAR NODE,,"$17,850.00 "
DISTORT PRODUCT EVOKED OTOACOUSTIC EMISNS LIMITD,TC,"$1,350.00 "
DISTRT PROD EVOKD OTOACOUSTIC EMSNS COMP/DX EVAL,TC,"$1,350.00 "
DMD DUPLICATION/DELETION ANALYSIS,,"$1,270.50 "
DNA ANTIBODY NATIVE/DOUBLE STRANDED,,$235.50 
DNA ANTIBODY SINGLE STRANDED,,$199.50 
DOP ECHOCARD COLOR FLOW VELOCITY MAPPING,TC,$183.00 
DOP ECHOCARD PULSE WAVE W/SPECTRAL F-UP/LMTD STD,TC,$144.00 
DOPPLER ECHO FETAL PULS SPECTRAL F/U/REPEAT,TC,$633.00 
DOPPLER ECHO FETAL SPECTRAL DISPLAY COMPLETE,TC,"$1,267.50 "
DOPPLER ECHOCARD PULSE WAVE W/SPECTRAL DISPLAY,TC,$378.00 
DOPPLER VELOCIMETRY FETAL MIDDLE CEREBRAL ART,TC,$517.50 
DOPPLER VELOCIMETRY FETAL UMBILICAL ARTERY,TC,$517.50 
DRAINAGE ABSCESS PAROTID SIMPLE,,"$4,414.50 "
DRAINAGE EXTERNAL EAR ABSCESS/HEMATOMA SIMPLE,,"$2,292.00 "
DRAINAGE FINGER ABSCESS COMPLICATED,,"$5,256.00 "
DRAINAGE FINGER ABSCESS SIMPLE,,"$1,006.50 "
DRAINAGE PERIRENAL/RENAL ABSCESS OPEN,,"$10,807.50 "
DRAINAGE SCROTAL WALL ABSCESS,,"$5,256.00 "
DRAINAGE TENDON SHEATH DIGIT&/PALM EACH,,"$10,365.00 "
DRG ABSC CST HMTMA FROM DENTOALVEOLAR STRUXS,,"$1,083.00 "
DRG ABSC CST HMTMA VESTIBULE MOUTH SMPL,,"$2,292.00 "
DRG LYMPH NODE ABSC/LYMPHADENITIS SMPL,,"$5,256.00 "
DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ LARGE,,"$1,243.50 "
DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ MEDIUM,,$651.00 
DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ SMALL,,$651.00 
DRUG ASSAY CARBAMAZEPINE FREE,,$240.00 
DRUG ASSAY CARBAMAZEPINE TOTAL,,$264.00 
DRUG ASSAY CLOZAPINE,,$228.00 
DRUG ASSAY CYCLOSPORINE,,$229.50 
DRUG ASSAY EVEROLIMUS,,$169.50 
DRUG ASSAY VALPROIC DIPROPYLACETIC ACID TOTAL,,$306.00 
DRUG SCREEN ANALGESICS NON-OPIOID 1 OR 2,,"$1,125.00 "
DRUG SCREEN QUANT AMPHETAMINES 1 OR 2,,"$1,059.00 "
DRUG SCREEN QUANT AMPHETAMINES 5 OR MORE,,"$1,059.00 "
DRUG SCREEN QUANTITATIVE ALCOHOLS,,$975.00 
DRUG SCREEN QUANTITATIVE AMIKACIN,,$273.00 
DRUG SCREEN QUANTITATIVE DIGOXIN TOTAL,,$249.00 
DRUG SCREEN QUANTITATIVE ETHOSUXIMIDE,,$295.50 
DRUG SCREEN QUANTITATIVE GABAPENTIN,,$163.50 
DRUG SCREEN QUANTITATIVE GENTAMICIN,,$297.00 
DRUG SCREEN QUANTITATIVE HALOPRIDOL,,$264.00 
DRUG SCREEN QUANTITATIVE LAMOTRIGINE,,$163.50 
DRUG SCREEN QUANTITATIVE LEVETIRACETAM,,$163.50 
DRUG SCREEN QUANTITATIVE LIDOCAINE,,$265.50 
DRUG SCREEN QUANTITATIVE LITHIUM,,$112.50 
DRUG SCREEN QUANTITATIVE OXCARBAZEPINE,,$163.50 
DRUG SCREEN QUANTITATIVE PHENOBARBITAL,,$207.00 
DRUG SCREEN QUANTITATIVE PHENYTOIN FREE,,$253.50 
DRUG SCREEN QUANTITATIVE PHENYTOIN TOTAL,,$234.00 
DRUG SCREEN QUANTITATIVE PRIMIDONE,,$300.00 
DRUG SCREEN QUANTITATIVE PROCAINAMIDE,,$276.00 
DRUG SCREEN QUANTITATIVE PROCAINAMIDE METABOLITE,,$303.00 
DRUG SCREEN QUANTITATIVE QUINIDINE,,$264.00 
DRUG SCREEN QUANTITATIVE SIROLIMUS,,$249.00 
DRUG SCREEN QUANTITATIVE TACROLIMUS,,$324.00 
DRUG SCREEN QUANTITATIVE THEOPHYLLINE,,$256.50 
DRUG SCREEN QUANTITATIVE TOBRAMYCIN,,$292.50 
DRUG SCREEN QUANTITATIVE TOPIRAMATE,,$216.00 
DRUG SCREEN QUANTITATIVE VANCOMYCIN,,$319.50 
DRUG SCREEN QUANTITATIVE ZONISAMIDE,,$163.50 
DRUG SCREENING BENZODIAZEPINES 1-12,,"$1,059.00 "
DRUG SCREENING CANNABINOIDS NATURAL,,"$1,059.00 "
DRUG SCREENING COCAINE,,"$1,879.50 "
DRUG SCREENING METHADONE,,"$1,879.50 "
DRUG SCREENING OPIATES 1 OR MORE,,"$1,879.50 "
DRUG SCREENING OPIOIDS & OPIATE ANALOGS 5/MORE,,"$1,059.00 "
DRUG TEST DEF 1-7 CLASSES,,$741.00 
DRUG TEST PRSMV READ DIRECT OPTICAL OBS PR DATE,,$234.00 
DRUG TST PRSMV INSTRMNT CHEM ANALYZERS PR DATE,,"$1,110.00 "
DSTRJ LESION ANUS EXTENSIVE,,"$9,214.50 "
DSTRJ LESION ANUS SIMPLE SURG EXCISION,,"$9,214.50 "
DSTRJ LESION PENIS SIMPLE ELECTRODESICCATION,,"$6,069.00 "
DSTRJ LESION PENIS SIMPLE SURG EXCISION,,"$6,069.00 "
DSTRJ NEUROLYTIC AGENT INTERCOSTAL NERVE,,"$2,716.50 "
DSTRJ NEUROLYTIC W/WO RAD MONITOR CELIAC PLEXUS,,"$2,716.50 "
DUODENOGRAPY HYPOTONIC,TC,$639.00 
DUPLEX SCAN EXTRACRANIAL ART COMPL BI STUDY,TC,"$1,543.50 "
DUPLEX SCAN EXTRACRANIAL ART UNI/LMTD STUDY,TC,"$1,054.50 "
DUPLEX SCAN HEMODIALYSIS ACCESS,TC,$597.00 
DUP-SCAN AORTA IVC ILIAC VASCL/BPGS COMPLETE,TC,"$1,479.00 "
DUP-SCAN AORTA IVC ILIAC VASCL/BPGS UNI/LMTD,TC,"$1,054.50 "
DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RPR ORGN COM,TC,"$1,491.00 "
DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RPR ORGN LMT,TC,"$1,243.50 "
DUP-SCAN ARTL INFL&VEN O/F PEN VSL COMPL,TC,"$1,054.50 "
DUP-SCAN ARTL INFL&VEN O/F PEN VSL F-UP/LMTD STD,TC,"$2,112.00 "
DUP-SCAN LXTR ART/ARTL BPGS COMPL BI STUDY,TC,"$1,479.00 "
DUP-SCAN LXTR ART/ARTL BPGS UNI/LMTD STUDY,TC,$865.50 
DUP-SCAN UXTR ART/ARTL BPGS COMPL BI STUDY,TC,"$2,112.00 "
DUP-SCAN UXTR ART/ARTL BPGS UNI/LMTD STUDY,TC,"$1,054.50 "
DUP-SCAN XTR VEINS COMPLETE BILATERAL STUDY,TC,"$1,479.00 "
DUP-SCAN XTR VEINS UNILATERAL/LIMITED STUDY,TC,$903.00 
DVLP CS IMPRV ATTN MEM PROB SOLV PT CTC EA 15 MN,,$197.00 
DXA BONE DENSITY STUDY 1/> SITES AXIAL SKEL,TC,$643.50 
DXA BONE DENSITY STUDY 1/>SITES APPENDICLR SKEL,TC,$336.00 
DYPD GENE ANALYSIS COMMON VARIANTS,,"$2,097.00 "
EAR PROTECTOR ATTENUATION MEASUREMENTS,,$183.00 
ECG ROUTINE ECG W/LEAST 12 LDS TRCG ONLY W/O I&R,,$487.50 
ECG RTN ECG W/12 LEADS TRACING ONLY W/O I&R,,$64.50 
ECHO FETAL CARDIOVASC W/WO M-MODE RECORDING,TC,"$2,523.00 "
ECHO FETAL CARDIOVASC W/WO M-MODE REPEAT STD,TC,"$1,267.50 "
ECHO R-T 2D W/PROBE PLACEMENT ONLY,,"$3,267.00 "
ECHO TRANSESOPHAG CONGEN PROBE PLCMT IMGNG I&R,TC,"$3,267.00 "
ECHO TRANSESOPHAG MONTR CARDIAC PUMP FUNCTJ,TC,"$3,267.00 "
ECHO TRANSESOPHAG R-T 2D IMG ACQUISJ I&R ONLY,TC,"$1,032.00 "
ECHO TRANSESOPHAG R-T 2D W/PRB IMG ACQUISJ I&R,TC,"$1,950.00 "
ECHO TRANSTHORAC R-T 2D W/WO M-MODE REC COMP,TC,"$3,267.00 "
ECHO TRANSTHORC R-T 2D W/WO M-MODE REC F-UP/LMTD,TC,"$1,477.50 "
ECHO TTHRC R-T 2D W/WO M-MODE COMPLETE REST&ST,TC,"$2,734.50 "
ECHO TTHRC R-T 2D W/WO M-MODE REST&STRS CONT ECG,TC,"$3,267.00 "
ECHO TTHRC R-T 2D W/WOM-MODE COMPL SPEC&COLR D,TC,"$1,800.00 "
ECHOENCEPHALOGRAPHY REAL TIME IMAGING,TC,$634.50 
EGD ABLATE TUMOR POLYP/LESION W/DILATION& WIRE,,"$4,035.00 "
EGD BALLOON DILATION ESOPHAGUS <30 MM DIAM,,"$4,035.00 "
EGD BAND LIGATION ESOPHGEAL/GASTRIC VARICES,,"$4,035.00 "
EGD DILATION GASTRIC/DUODENAL STRICTURE,,"$5,050.50 "
EGD ENDOSCOPIC STENT PLACEMENT W/WIRE& DILATION,,"$14,908.50 "
EGD FLEX REMOVAL LESION(S) BY HOT BIOPSY FORCEPS,,"$4,035.00 "
EGD FLEXIBLE FOREIGN BODY REMOVAL,,"$2,647.50 "
EGD INJECTION SCLEROSIS ESOPHGL/GASTRIC VARICES,,"$5,050.50 "
EGD INSERT GUIDE WIRE DILATOR PASSAGE ESOPHAGUS,,"$2,595.00 "
EGD INTRALUMINAL TUBE/CATHETER INSERTION,,"$5,050.50 "
EGD PERCUTANEOUS PLACEMENT GASTROSTOMY TUBE,,"$5,050.50 "
EGD REMOVAL TUMOR POLYP/OTHER LESION SNARE TECH,,"$4,035.00 "
EGD TRANSORAL BIOPSY SINGLE/MULTIPLE,,"$2,647.50 "
EGD TRANSORAL CONTROL BLEEDING ANY METHOD,,"$5,050.50 "
EGD US GUIDED TRANSMURAL INJXN/FIDUCIAL MARKER,,"$6,423.00 "
EGFR GENE ANALYSIS COMMON VARIANTS,,"$2,986.50 "
ELASTASE PANCREATIC FECAL QUAL/SEMI-QUAN,,$219.00 
ELCTROPHORETIC TECHNIQUE NOT ELSEWHERE SPECIFIED,,$651.00 
ELEC ALYS NSTIM PLS GEN BRN/SC/PERPH W/O REPRGRM,,$850.50 
ELEC ALYS NSTIM PLS GEN CPLX SC/PERPH W/PRGRMG,,$928.50 
ELEC ALYS NSTIM PLS GEN SMPL SC/PERPH W/PRGRMG,,$928.50 
ELEC STIM OTHER THAN WOUND,,$127.50 
ELEC STIM UNATTEND FOR PRESS,,$112.50 
ELECT ANALYS IMPLT ITHCL/EDRL PUMP W/REPRGRMG,,"$1,074.00 "
ELECT ANLYS IMPLT ITHCL/EDRL PMP W/O REPRG/REFIL,,"$1,074.00 "
ELECTROCOCHLEOGRAPHY,,$756.00 
ELECTROCONVULSIVE THERAPY,,"$2,203.50 "
ELECTROENCEPHALOGRAM ALL NIGHT RECORDING,TC,"$3,535.50 "
ELECTROENCEPHALOGRAM EXTEND MONITORING 41-60 MIN,TC,"$1,200.00 "
ELECTROENCEPHALOGRAM EXTND MNTR >1 HR,TC,"$1,200.00 "
ELECTROENCEPHALOGRAM REC COMA/SLEEP ONLY,TC,"$1,200.00 "
ELECTROENCEPHALOGRAM W/REC AWAKE&ASLEEP,TC,"$1,200.00 "
ELECTROENCEPHALOGRAM W/REC AWAKE&DROWSY,TC,"$1,200.00 "
ELECTROLYTE PANEL,,$127.50 
ELECTRON MICROSCOPY DIAGNOSTIC,TC,"$4,633.50 "
ELECTRONIC ANALYSIS ANTITACHY PACEMAKER SYSTEM,TC,"$2,254.50 "
ELECTRO-OCULOGRAPY W/INTERPRETATION & REPORT,TC,$637.50 
ELECTROPHYSIOLOGIC FOLLOW-UP W/PAC/REC W/ARRHYT,TC,"$37,881.00 "
EMBLC/THRMBC AX BRACH INNOMINATE SUBCLA ART,,"$16,681.50 "
EMG STDS ANAL/URTL SPHNCTR OTH/THN NDL,TC,$756.00 
ENDOCERVICAL CURETTAGE W/DILATION & CURETTAGE,,"$2,830.50 "
ENDOLUMINAL BX BILIARY TREE PRQ ANY METH 1/MLT,,"$2,199.00 "
ENDOLUMINAL CORONARY IVUS OCT I&R ADDL VESSEL,TC,$474.00 
ENDOLUMINAL CORONARY IVUS OCT I&R INITIAL VESSEL,TC,$988.50 
ENDOMETRIAL ABLTJ THERMAL W/O HYSTEROSCOPIC GUID,,"$16,200.00 "
ENDOMETRIAL BX W/WO ENDOCERVIX BX W/O DILAT SPX,,$505.50 
ENDOMYOCARDIAL BIOPSY,TC,"$8,931.00 "
ENDOSCOPIC CATHJ BILIARY DUCTAL SYSTEM RS&I,TC,$819.00 
ENDOSCOPY UPPER SMALL INTESTINE,,"$5,050.50 "
ENDOSCOPY UPPER SMALL INTESTINE W/BIOPSY,,"$5,050.50 "
ENDOVEN ABLTJ INCMPTNT VEIN MCHNCHEM 1ST VEIN,,"$10,035.00 "
ENDOVEN ABLTJ INCMPTNT VEIN MCHNCHEM SBSQ VEINS,,"$1,150.50 "
ENDOVEN ABLTJ INCMPTNT VEIN XTR RF 1ST VEIN,,"$8,931.00 "
ENDOVEN ABLTJ INCMPTNT VEIN XTR RF 2ND+ VEINS,,"$1,089.00 "
ENTEROSC >2ND PRTN W/ILEUM W/BX SINGLE/MULTIPLE,,"$5,050.50 "
ENTEROSC >2ND PRTN W/ILEUM W/WO COLLJ SPEC SPX,,"$5,050.50 "
ENTEROSCOPY > 2ND PRTN ABLTJ LESION,,"$5,050.50 "
ENTEROSCOPY > 2ND PRTN CONV GSTRST TUBE,,"$5,050.50 "
ENTEROSCOPY > 2ND PRTN ILEUM CONTROL BLEEDING,,"$5,050.50 "
ENTEROSCOPY > 2ND PRTN TNDSC STENT PLMT,,"$14,908.50 "
ENTEROSCOPY > 2ND PRTN W/CONTROL BLEEDING,,"$5,050.50 "
ENTEROSCOPY > 2ND PRTN W/ILEUM W/STENT PLMT,,"$16,750.50 "
ENTEROSCOPY > 2ND PRTN W/PLMT PRQ TUBE,,"$5,050.50 "
ENTEROSCOPY > 2ND PRTN W/RMVL FOREIGN BODY,,"$5,674.50 "
ENTEROSCOPY > 2ND PRTN W/RMVL LESION CAUTERY,,"$5,050.50 "
ENTEROSCOPY > 2ND PRTN W/RMVL LESION SNARE,,"$5,050.50 "
EPHYS EVAL PACG CVDFB LDS W/TSTG OF PULSE GEN,TC,"$2,523.00 "
EPHYS EVAL PACG CVDFB PRGRMG/REPRGRMG PARAMETERS,TC,"$7,369.50 "
EPHYS EVAL W/ABLATION SUPRAVENT ARRHYTHMIA,,"$44,452.50 "
EPHYS EVAL W/ABLATION VENTRICULAR TACHYCARDIA,,"$44,452.50 "
EPHYS EVL TRNSPTL TX ATRIAL FIB ISOLAT PULM VEIN,,"$44,452.50 "
EPISIOTOMY/VAG RPR OTH/THN ATTENDING,,"$8,865.00 "
ERCP BALLOON DILATE BILIARY/PANC DUCT/AMPULLA EA,,"$7,950.00 "
ERCP BILIARY/PANC DUCT STENT EXCHANGE W/DIL&WIRE,,"$14,908.50 "
ERCP DESTRUCTION/LITHOTRIPSY CALCULI ANY METHOD,,"$14,908.50 "
ERCP DX COLLECTION SPECIMEN BRUSHING/WASHING,,"$7,950.00 "
ERCP REMOVE CALCULI/DEBRIS BILIARY/PANCREAS DUCT,,"$7,950.00 "
ERCP REMOVE FOREIGN BODY/STENT BILIARY/PANC DUCT,,"$9,498.00 "
ERCP STENT PLACEMENT BILIARY/PANCREATIC DUCT,,"$14,908.50 "
ERCP TUMOR/POLYP/LESION ABLATION W/DILATION&WIRE,,"$9,498.00 "
ERCP W/BIOPSY SINGLE/MULTIPLE,,"$9,498.00 "
ERCP W/PRESSURE MEASUREMENT SPHINCTER OF ODDI,,"$9,498.00 "
ERCP W/SPHINCTEROTOMY/PAPILLOTOMY,,"$7,950.00 "
ERGONOVINE PROVOCATION TST,TC,"$2,241.00 "
ESCHAROTOMY FIRST INCISION,,"$1,243.50 "
ESOPHAGEAL MOTILITY STUDY W/INTERP&RPT,TC,"$1,768.50 "
