Service Description,CPT/HCPCS Code,Charge
CONSULTATION PATHOLOGY LIMITED,80500,113.00
CONSULTATION PATHOLOGY REFERRED SLIDE,88321,95.00
CONSULTATION PATHOLOGY REFERRED SLIDE WPREP,88323,440.00
CONSULTATION PATHOLOGY SURGERY,88329,286.00
CONSULTATION PATHOLOGY SURGERY CYTOLOGIC EXAMINATION EA ADDL,88334,157.00
CONSULTATION PATHOLOGY SURGERY CYTOLOGIC EXAMINATION INITIAL,88333,349.00
CONTIN INHALATION TREATMENT W/AEROSOL MEDICATION AIRWAY OBSTRUCT ADD HR,94645,186.00
CONTINUING MEDICAL PHYSICS CONSULTATION REPORTED PER WEEK OF THERAPY,77336,765.00
CONTINUOUS INFUS DIAG/THERAP SUBST(S) INTERLAMINAR LUMB/SACRAL W/O IMG,62326,1351.00
CONTINUOUS INHALATION TREATMENT W/MEDICATION AIRWAY OBSTRUCT 1ST HOUR,94644,221.00
CONTINUOUS INTRAOPERATIVE NEUROPHYSIOLOGY MONITOR REMOTE OR>1 CASE/HOUR,95941,114.00
CONTINUOUS INTRAOPERATIVE NEUROPHYSIOLOGY MONITORING EA 15 MIN,G0453,303.00
CONTINUOUS INTRAOPERATIVE NEUROPHYSIOLOGY MONITORING OP ROOM EA 15 MIN,95940,163.00
CONTINUOUS POSITIVE AIRWAY PRESSURE VENTILATION INITIATE/MANAGE DAILY,94660,438.00
CONTRAST INJ FOR ASSESS ABSCESS/CYST VIA PREV PLACED DRAIN CATH/TUBE,49424,556.00
CONTRAST INJECT RADIOLOGIC EVALUATION EXISTING CV ACCESS DEV W/FLUORO,36598,625.00
CONTROL NASAL HEMORRHAGE ANTERIOR COMPLEX,30903,503.00
CONTROL NASAL HEMORRHAGE ANTERIOR SIMPLE,30901,288.00
CONTROL NASAL HEMORRHAGE POSTERIOR INITIAL,30905,900.00
CONTROL NASAL HEMORRHAGE POSTERIOR SUBSEQUENT,30906,432.00
CONTROL OF NASOPHARYNGEAL HEMORRHAGE W/SECOND SURGICAL INTERVENTION,42972,4736.00
CONTROL OROPHARYNGEAL HEMORRHAGE SIMPLE,42960,942.00
CONV NEPHROSTOMY CATH TO NEPHROURETRAL CATH W/IMAGE GUIDANCE S&I,50434,4626.00
CONVERSION EXT BILIARY DRAINAGE CATHETER TO INTERNAL-EXTERNAL PERCUT,47535,6955.00
CONVERSION GASTRSTMY TO GASTRO-JEJUN TUBE PERCUT UNDER FLUORO W/CONTRAST,49446,2436.00
COOMBS DIRECT,86880,92.00
COOMBS INDIRECT QUALITATIVE,86885,44.00
COOMBS INDIRECT TITER,86886,198.00
COPPER,82525,212.00
CORDOCENTESIS ANY METHOD,59012,1482.00
CORE BUILDUP INCLUDING ANY PINS,D2950,504.00
CORNEAL HYSTERESIS DETERMIN BY AIR IMP STIM UNIL/BILAT W/INTERP & REP,92145,89.00
CORNEAL RELAXING INCISION FOR CORRECTION SURGICALLY INDUCED ASTIGMATISM,65772,4435.00
CORPORA CAVERNOSA-SAPHENOUS VEIN SHUNT,54420,6826.00
CORRECT TRICHIASIS EPILATION BY FORCEPS ONLY,67820,352.00
CORRECT TRICHIASIS EPILATION W/O FORCEPS,67825,1101.00
CORRECTION LAGOPHTHALMOS W/IMPLANT UPPER EYELID LOAD,67912,6445.00
CORRECTION OF EVERTED PUNCTUM CAUTERY,68705,1101.00
CORRECTION OF TRICHIASIS INCISION OF LID MARGIN,67830,2924.00
CORTICOSTERONE,82528,186.00
CORTICOTROPIC RELEASING HORMONE (CRH) STIMULATION PANEL,80412,2718.00
CORTISOL PM,82533,326.00
CORTISOL TOTAL,82533,326.00
"CORTISOL, TOTAL, SERUM",82533,326.00
COSTRIDIUM DIFFICLE TOXIN ANTIGEN INFECTIOUS AGENT IMMUNOASSAY TECHNIQUE,87324,250.00
COUNSELING VISIT DISCUSS LUNG CANCER SCREENING USING LOW DOSE CT SCAN,G0296,332.00
COXIELLA BURNETII (Q FEVER) ANTIBODY,86638,151.00
C-REACTIVE PROTEIN,86140,131.00
C-REACTIVE PROTEIN HIGH SENSITIVITY,86141,131.00
CREATINE,82540,39.00
CREATINE ISOFORMS,82554,97.00
CREATINE KINASE (CK) ISOENZYME,82552,206.00
CREATINE KINASE (CK) MB,82553,202.00
CREATINE KINASE (CPK),82550,121.00
CREATININE,82565,104.00
CREATININE CLEARANCE URINE,82575,203.00
CREATININE OTHER SOURCE,82570,103.00
"CREATININE, BODY FLD",82570,103.00
"CREATININE, URINE",82570,103.00
"CREATININE, UR-REF",82570,103.00
CREATION FISTULA ARTERIOVENOUS NONAUTOGENOUS GRAFT,36830,17080.00
CRITICAL CARE EACH ADDL 30 MINUTES,99292,408.00
CRITICAL CARE FIRST 30-74 MINUTE,99291,3415.00
CROSSMATCH ANTIGLOBULIN,86922,122.00
CROSSMATCH IMMEDIATE SPIN,86920,138.00
CROSSMATCH INCUBATION,86921,174.00
CROWN FULL CAST NOBLE METAL,D2792,2356.00
CROWN RESIN NOBLE METAL,D2722,449.00
CROWN RESIN WITH HIGH NOBLE METAL,D2720,527.00
CROWN RESIN-BASED COMPOSITE INDIRECT,D2710,318.00
CRRT DIALYSIS,90945,1936.00
CRYOFIBRINOGEN,82585,110.00
CRYOPRECIPITATE EACH LEVEL 1,P9012,142.00
CRYOPRESERVATION FREEZE & STOR,88240,84.00
CRYOTHERAPY FOR ACNE,17340,281.00
CRYPTOCOCCUS ANTIGEN TITER,86406,87.00
CRYPTOCOCCUS NEOFORM ANTIGEN INFECTIOUS AGENT IMMUNOASSAY TECHNIQUE,87327,244.00
CRYPTOSPORIDIUM ANTIGEN IMMUNOFLUORESCENT,87272,99.00
CRYPTOSPORIDIUM ANTIGEN INFECTIOUS AGENT IMMUNOASSAY TECHNIQUE,87328,129.00
CRYSTAL ID LIGHT MICROSCOPY,89060,95.00
C-SECTION / L&D OR LEVEL 1 EACH ADDITIONAL 15 MINUTES,,331.00
C-SECTION / L&D OR LEVEL 1 FIRST 15 MINUTES,,2379.00
C-SECTION / L&D OR LEVEL 2 EACH ADDITIONAL 15 MINUTES,,2186.00
C-SECTION / L&D OR LEVEL 2 FIRST 15 MINUTES,,7563.00
C-SECTION / L&D OR LEVEL 3 EACH ADDITIONAL 15 MINUTES,,3585.00
C-SECTION / L&D OR LEVEL 3 FIRST 15 MINUTES,,8356.00
C-SECTION / L&D OR LEVEL 4 EACH ADDITIONAL 15 MINUTES,,3585.00
C-SECTION / L&D OR LEVEL 4 FIRST 15 MINUTES,,8356.00
C-SECTION / L&D OR LEVEL 5 EACH ADDITIONAL 15 MINUTES,,3585.00
C-SECTION / L&D OR LEVEL 5 FIRST 15 MINUTES,,8356.00
C-SECTION / L&D OR LEVEL 6 EACH ADDITIONAL 15 MINUTES,,3585.00
C-SECTION / L&D OR LEVEL 6 FIRST 15 MINUTES,,8356.00
C-SECTION / L&D OR LEVEL 7 EACH ADDITIONAL 15 MINUTES,,3585.00
C-SECTION / L&D OR LEVEL 7 FIRST 15 MINUTES,,8356.00
C-SECTION / L&D OR LEVEL 8 EACH ADDITIONAL 15 MINUTES,,3585.00
C-SECTION / L&D OR LEVEL 8 FIRST 15 MINUTES,,8356.00
CSF CULT,87070,211.00
CT ABDOMEN & PELVIS W CONTRAST,74177,2965.00
CT ABDOMEN & PELVIS W&W/O CONTRAST,74178,3044.00
CT ABDOMEN & PELVIS W/O CONTRAST,74176,2928.00
CT ABDOMEN W CONTRAST,74160,3286.00
CT ABDOMEN W&W/O CONTRAST,74170,3831.00
CT ABDOMEN W/O CONTRAST,74150,3264.00
CT CEREBRAL PERFUSION ANALYSIS W/CONTRAST DETERMINE BLOOD FLOW/VOLUME,0042T,3025.00
CT CERVICAL SPINE W CONTRAST,72126,3205.00
CT CERVICAL SPINE W&W/O CONTRAST,72127,3724.00
CT CERVICAL SPINE W/O CONTRAST,72125,2574.00
CT CHEST W CONTRAST,71260,3776.00
CT CHEST W&W/O CONTRAST,71270,4665.00
CT CHEST W/O CONTRAST,71250,2750.00
CT FOLLOWUP OR LIMITED,76380,1308.00
CT FOSSA/SELLA/IAC W CONTRAST,70481,2118.00
CT FOSSA/SELLA/IAC W&W/O CONTRAST,70482,2239.00
CT FOSSA/SELLA/IAC W/O CONTRAST,70480,1996.00
CT GUIDED NEEDLE PLACEMENT S&I,77012,3051.00
CT GUIDED PARENCHYMAL TISSUE ABLATION,77013,1971.00
CT GUIDED RADIATION THERAPY PLACEMENT,77014,380.00
CT GUIDED STEREOTACTIC LOCALIZATION,77011,3051.00
CT HEAD W CONTRAST,70460,2909.00
CT HEAD W&W/O CONTRAST,70470,3202.00
CT HEAD W/O CONTRAST,70450,2431.00
CT HEART W CONTRAST,75572,1857.00
CT HEART W CONTRAST MORPHOLOGY CONGENITAL HEART DISEASE,75573,2205.00
CT HEART W/O CONTRAST,75571,1279.00
CT LOWER EXTREMITY W CONTRAST,73701,2956.00
CT LOWER EXTREMITY W&W/O CONTRAST,73702,3215.00
CT LOWER EXTREMITY W/O CONTRAST,73700,2351.00
CT LUMBAR SPINE W CONTRAST,72132,3742.00
CT LUMBAR SPINE W&W/O CONTRAST,72133,3764.00
CT LUMBAR SPINE W/O CONTRAST,72131,2766.00
CT LUNG LOW DOSE CA SCREENING,G0297,1102.00
CT MAXILLOFACIAL W CONTRAST,70487,1825.00
CT MAXILLOFACIAL W&W/O CONTRAST,70488,3410.00
CT MAXILLOFACIAL W/O CONTRAST,70486,2060.00
CT NECK SOFT TISSUE W CONTRAST,70491,2445.00
CT NECK SOFT TISSUE W&W/O CONTRAST,70492,3536.00
CT NECK SOFT TISSUE W/O CONTRAST,70490,2532.00
CT PELVIS W CONTRAST,72193,3108.00
CT PELVIS W&W/O CONTRAST,72194,3628.00
CT PELVIS W/O CONTRAST,72192,2186.00
CT THORACIC SPINE W CONTRAST,72129,3152.00
CT THORACIC SPINE W&W/O CONTRAST,72130,2256.00
CT THORACIC SPINE W/O CONTRAST,72128,2815.00
CT UPPER EXTREMITY W CONTRAST,73201,2136.00
CT UPPER EXTREMITY W&W/O CONTRAST,73202,3367.00
CT UPPER EXTREMITY W/O CONTRAST,73200,1715.00
CTA ABDOMEN W &/OR W/O CONTRAST,74175,3719.00
CTA ABDOMEN/PELVIS W &/OR W/O CONTRAST,74174,3445.00
CTA ABDOMINAL AORTA W RUNOFF,75635,3944.00
CTA CHEST W &/OR W/O CONTRAST,71275,3342.00
CTA HEAD W &/OR W/O CONTRAST,70496,3499.00
CTA HEART W 3D IMAGING/FUNCTION,75574,3730.00
CTA LOWER EXTREMITY W &/OR W/O CONTRAST,73706,2363.00
CTA NECK W &/OR W/O CONTRAST,70498,2348.00
CTA PELVIS W &/OR W/O CONTRAST,72191,3502.00
CTA RECONSTRUCTION AORTA FOR SURGICAL PLANNING,G0288,1918.00
CTA UPPER EXTREMITY W &/OR W/O CONTRAST,73206,2169.00
CTC VIRTUAL DX WO CONTRAST,74261,1960.00
CTC VIRTUAL SCREEN INCLUDING IMAGE POSTPROCESSING,74263,2837.00
"CULT BACT, EYE",87070,211.00
"CULT BACT, GENITAL",87070,211.00
"CULT BACT, THROAT",87070,211.00
"CULT BACT, TISSUE, AEROBIC",87070,211.00
"CULT BACT, WOUND, AEROBIC",87070,211.00
"CULT, GC SCREEN",87081,186.00
"CULT, STREP GRP B SCREEN",87081,186.00
CULTURE AEROBIC ADD DEF EACH,87077,100.00
CULTURE AFB,87116,230.00
CULTURE AFB DEFINITIVE ID EACH,87118,92.00
CULTURE ANAEROBIC ADD DEF EACH,87076,77.00
CULTURE ANAEROBIC EXCEPT BLOOD,87075,253.00
CULTURE CHLAMYDIA,87110,263.00
CULTURE COLONY COUNT URINE,87086,187.00
CULTURE FUNGUS BLOOD,87103,270.00
CULTURE FUNGUS DEFINITIVE ID MOLD,87107,155.00
CULTURE FUNGUS DEFINITIVE ID YEAST,87106,104.00
CULTURE FUNGUS OTHER,87102,202.00
CULTURE FUNGUS SKIN HAIR NAIL,87101,104.00
CULTURE OF SPECIMEN BY KIT,87084,71.00
CULTURE OTHER SOURCE,87070,211.00
CULTURE QUANTITATIVE AEROBIC OTHER SOURCE,87071,271.00
CULTURE QUANTITATIVE ANAEROBIC OTHER SOURCE,87073,65.00
CULTURE SCREEN SINGLE ORGANISM,87081,186.00
CULTURE STOOL,87045,202.00
CULTURE STOOL AEROBIC ADDL PATHOGENS AND ID EACH,87046,86.00
CULTURE TYPE SERO EA ANTISERUM,87147,35.00
CULTURE TYPING ID PULSE FIELD GEL,87152,43.00
CULTURE TYPING IMMUNOFLUORESCENT EA,87140,313.00
CULTURE TYPING NUCLEIC ACID PROBE,87149,254.00
CULTURE TYPING OTHER METHODS,87158,173.00
CULTURE VIRUS,87252,313.00
CULTURE VIRUS DEFINITIVE ID EA,87253,313.00
CULTURE VIRUS ID NON IMMUNOLOGIC,87255,238.00
CULTURE VIRUS SHELL VIAL,87254,239.00
"CULTURE, URINE EACH ISOLATE",87088,119.00
CURETTAGE POSTPARTUM,59160,2553.00
CYANIDE,82600,142.00
CYCLIC CITRUL PEPTIDE (CCP) ANTIBODY,86200,190.00
CYP2C19 (CYTOCHROME P450 FAMILY 2 SUBFAMILY C POLYPEP) GENE COM VARIANTS,81225,937.00
CYP2C9 (CYTOCHROME P450 FAMILY 2 FAMILY D POLYPEP) GENE COM VARIANTS,81227,215.00
CYP2D6 (CYTOCHROME P450 FAMILY 2 FAMILY D POLYPEP) GENE COMMON VARIANTS,81226,1092.00
CYSTATIN C,82610,191.00
CYSTINE & HOMOCYSTINE QUALITATIVE URINE,82615,67.00
CYSTOSTOMY CYSTOTOMY WITH DRAINAGE,51040,3749.00
CYSTOURETHROSCOPY,52000,2871.00
CYSTOURETHROSCOPY FOR TREATMENT FEMALE URETHRAL SYNDROME,52285,4720.00
CYSTOURETHROSCOPY URETERO AND OR PYELOS W/LITHO,52353,9836.00
CYSTOURETHROSCOPY W/CALIBRATION/DILAT URETHRAL STRICT/STENOSIS MALE/FEM,52281,3461.00
CYSTOURETHROSCOPY W/FOREIGN BODY REMOVAL SIMPLE,52310,1990.00
CYSTOURETHROSCOPY W/INSERT URETERAL GUIDE WIRE PERCUTANEOUS NEPHROSTOMY,52334,5612.00
CYSTOURETHROSCOPY W/URETERAL CATH EXCLUSIVE OF RADIOLOGIC SERVICE,52005,3393.00
CYSTOURETHROSCOPY W/URETEROSCOPY W/TREAT URETERAL STRICTURE,52344,5644.00
CYSTOURETHROSCOPY WITH BIOPSY(S),52204,3731.00
CYSTOURETHROSCOPY WITH INJECTION(S) FOR CHEMODENERVATION OF THE BLADDER,52287,5109.00
CYSTOURETHROSCOPY WITH INSERTION OF INDWELLING URETERAL STENT,52332,3999.00
CYTOGENETICS AND MOLECULAR CYTOGENETICS INTERPRETATION & REPORT,88291,250.00
CYTOGENOMIC CONSTITUTIONAL (GENOME-WIDE) MICROARRAY COPY NO & SNP,81229,5957.00
CYTOLOGY FL BRUSH,88104,167.00
CYTOMEGALOVIRUS (CMV) ANTIBODY,86644,184.00
CYTOMEGALOVIRUS (CMV) ANTIBODY IGM,86645,219.00
CYTOMEGALOVIRUS ANTIGEN INFECTIOUS IMMUNOASSAY TECHNIQUE,87332,99.00
CYTOMEGALOVIRUS DIRECT FLUORESCENT ANTIBODY (DFA),87271,313.00
CYTOMEGALOVIRUS DNA DIRECT PROBE,87495,165.00
CYTOMEGALOVIRUS QUANTITATIVBE NUCLEIC ACID PROBE,87497,617.00
CYTOPATHOLOGY C/V AUTO IN FLUID,88174,120.00
CYTOPATHOLOGY FLUID SIMPLE FILTER,88106,219.00
CYTOPATHOLOGY NON GYN THIN PREP,88112,227.00
CYTOPATHOLOGY SMEAR CONCENTRATION,88108,148.00
CYTOPATHOLOGY SMEAR FLUID,88104,167.00
CYTOPATHOLOGY SMEAR OTHER SOURCE,88160,62.00
CYTOPATHOLOGY THE BETHESDA SYSTEM (TBS) CERVICAL OR VAGINAL RESCREENING,88165,87.00
CYTOPATHOLOGY URINE 3-5 PROBES COMPUTER-ASSISTED TECHNOLOGY,88121,943.00
CYTOTOXIC PRA ANTIBODY SCREENING QUICK METHOD,86808,245.00
CYTOTOXIC PRA ANTIBODY SCREENING STANDARD METHOD,86807,485.00
DARK FIELD EXAMINATION,87164,41.00
DEBRIDE WOUND W/TOP APPL/ASSESS/WHIRLPL/SESSN SURF AREA EA ADD 20 SQ CM,97598,340.00
DEBRIDE WOUND W/TOP APPL/ASSESS/WHIRLPOOL/SESSION SURF AREA <=20 SQ CM,97597,350.00
DEBRIDEMENT BONE EACH ADDITIONAL 20 SQ CM,11047,2319.00
DEBRIDEMENT BONE FIRST 20 SQ CM OR LESS,11044,1603.00
DEBRIDEMENT INFECTED SKIN EACH ADDITIONAL 10% OF BODY SURFACE,11001,120.00
DEBRIDEMENT INFECTED SKIN UP TO 10% OF BODY SURFACE,11000,3432.00
DEBRIDEMENT MASTOIDECTOMY CAVITY SIMPLE,69220,365.00
DEBRIDEMENT MUSCLE AND/OR FASCIA EACH ADDITIONAL 20 SQ CM,11046,1357.00
DEBRIDEMENT MUSCLE AND/OR FASCIA FIRST 20 SQ CM OR LESS,11043,989.00
DEBRIDEMENT OF NAIL(S) ANY METHOD(S) 1 TO 5,11720,188.00
DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S) 6 OR MORE,11721,211.00
DEBRIDEMENT SUBCUTANEOUS TISSUE EACH ADDITIONAL 20 SQ CM,11045,747.00
DEBRIDEMENT SUBCUTANEOUS TISSUE FIRST 20 SQ CM OR LESS,11042,795.00
DEBRIDEMENT WITH FOREIGN BODY REMOVAL SKIN & SUBCUTANEOUS TISSUE,11010,2481.00
DECALCIFICATION,88311,87.00
DECLOT VASCULAR ACCESS DEVICE BY THROMBOLYTIC AGENT,36593,708.00
DELAY OF FLAP OR SECTIONING OF FLAP AT EYELIDS NOSE EARSLIPS,15630,3268.00
DELAYED CREAT EXIT SITE EMBED SUBCUT SEGMENT INTRAPERITONEAL CANNUL/CATH,49436,4718.00
DEOXYCORTISOL-11,82634,305.00
DEOXYRIBONUCLEASE ANTIBODY,86215,213.00
DERMABRASION SUPERFICIAL ANY SITE,15783,1234.00
DERMABRASION TOTAL FACE,15780,5653.00
DERMAL AUTOGRAFT TRUNK ARMS LEGS 1ST 100SQCM OR LESS,15130,4334.00
DESOXYCORTICOSTERONE-11,82633,391.00
DESTRUCT NEUROLYTIC PARVRTBRL FACET JNT NERVE(S)W/IMG LUMB/SACR ADD JNT,64636,3117.00
DESTRUCT NEUROLYTIC PARVRTBRL FACET JOINT NERVE(S) W/IMG CERV/THOR 1 JNT,64633,4338.00
DESTRUCT NEUROLYTIC PARVRTBRL FACET JOINT NERVE(S) W/IMG LUMB/SACR 1 JNT,64635,5267.00
DESTRUCT NEUROLYTIC PARVRTBRL FACET JOINT NERVE(S)W/IMG CERV/THOR AD JNT,64634,943.00
DESTRUCTION BENIGN LESION UP TO 14 LESIONS,17110,263.00
DESTRUCTION BENIGN LESIONS OVER 15 LESIONS,17111,358.00
DESTRUCTION BY NEUROLYTIC AGENT INTERCOSTAL NERVE,64620,3363.00
DESTRUCTION BY NEUROLYTIC AGENT OTHER PERIPHERAL NERVE OR BRANCH,64640,1890.00
DESTRUCTION CUTANEOUS VASCULAR PROLIFERATIVE LESIONS LESS THAN 10 SQ CM,17106,823.00
DESTRUCTION INTERNAL HEMORRHOID(S) BY THERMAL ENERGY,46930,3912.00
DESTRUCTION LESION CHOROID PHOTOCOAGULATION 1 OR MORE SESSONS,67220,1978.00
DESTRUCTION LESION CHOROID PHOTODYNAMIC,67221,1978.00
DESTRUCTION LESION PENIS SIMPLE SURGICAL EXCISION,54060,3404.00
DESTRUCTION LESION RETINAL PHOTOCOAGULATION,67210,1951.00
DESTRUCTION LESION(S) ANUS EXTENSIVE,46924,5566.00
DESTRUCTION LESION(S) ANUS SIMPLE CHEMICAL,46900,823.00
DESTRUCTION LESION(S) ANUS SIMPLE CRYOSURGERY,46916,472.00
DESTRUCTION LESION(S) ANUS SIMPLE SURGICAL EXCISION,46922,4095.00
DESTRUCTION LESION(S) PENIS EXTENSIVE,54065,3601.00
DESTRUCTION LESION(S) PENIS SIMPLE CRYOSURGERY,54056,281.00
DESTRUCTION LESION(S) VULVA SIMPLE,56501,2261.00
DESTRUCTION MALIGNANT LESION FACE EAR EYELID NOSE LIP MUCOUS MEM 0.6-1CM,17281,823.00
DESTRUCTION MALIGNANT LESION FACE EAR EYELID NOSE LIP MUCOUS MEM 1.1-2CM,17282,823.00
DESTRUCTION MALIGNANT LESION FACE EAR EYELID NOSE LIP MUCOUS MEM 2.1-3CM,17283,823.00
DESTRUCTION MALIGNANT LESION FACE EAR EYELID NOSE LIP MUCOUS MEMB <0.5CM,17280,420.00
DESTRUCTION MALIGNANT LESION SCLP NECK HNDS FT GENIT LESION DIA <=0.5CM,17270,420.00
DESTRUCTION MALIGNANT LESION SCLP NECK HNDS FT GENIT LESION DIA > 4.0CM,17276,823.00
DESTRUCTION MALIGNANT LESION SCLP NECK HNDS FT GENIT LESION DIA 0.6-1CM,17271,420.00
DESTRUCTION MALIGNANT LESION SCLP NECK HNDS FT GENIT LESION DIA 1.1-2CM,17272,420.00
DESTRUCTION MALIGNANT LESION SCLP NECK HNDS FT GENIT LESION DIA 2.1-3CM,17273,823.00
DESTRUCTION MALIGNANT LESION SCLP NECK HNDS FT GENIT LESION DIA 3.1-4CM,17274,823.00
DESTRUCTION MALIGNANT LESION TRUNK ARMS LEGS DIAMETER 0.5 CM OR LESS,17260,420.00
DESTRUCTION MALIGNANT LESION TRUNK ARMS LEGS LESION DIAMETER 0.6-1.0 CM,17261,420.00
DESTRUCTION MALIGNANT LESION TRUNK ARMS LEGS LESION DIAMETER 1.1-2.0 CM,17262,420.00
DESTRUCTION MALIGNANT LESION TRUNK ARMS LEGS LESION DIAMETER 2.1-3.0 CM,17263,420.00
DESTRUCTION MALIGNANT LESION TRUNK ARMS LEGS LESION DIAMETER 3.1-4.0 CM,17264,420.00
DESTRUCTION MALIGNANT LESION TRUNK ARMS LEGS LESION DIAMETER OVER 4.0 CM,17266,823.00
DESTRUCTION NEUROLYTIC W/WO RADIOLOGIC MONITOR SUPERIOR HYPOGASTR PLEXUS,64681,3363.00
DESTRUCTION NEUROLYTIC W/WO RADIOLOGIC MONITORING CELIAC PLEXUS,64680,2386.00
DESTRUCTION OF LESION CONJUNCTIVA,68135,2924.00
DESTRUCTION OF LESION DENTOALVEOLAR STRUCTURES,41850,7065.00
DESTRUCTION OF LESION(S) ANUS SIMPLE ELECTRODESICCATION,46910,4086.00
DESTRUCTION PREMALIGNANT LESIONS 15 OR MORE LESIONS,17004,913.00
DESTRUCTION PREMALIGNANT LESIONS FIRST LESION,17000,280.00
DESTRUCTION PREMALIGNANT LESIONS SECOND THROUGH 14 LESIONS EACH,17003,130.00
DESTRUCTION RECTAL TUMOR TRANSANAL APPROACH,45190,4955.00
DESTRUCTION RETINOPATHY EXTENS/PROGRESS CRYO/DIATH,67227,6850.00
DESTRUCTION VAGINAL LESION(S) EXTENSIVE,57065,5342.00
DESTRUCTION VAGINAL LESION(S) SIMPLE,57061,5309.00
DETAILED AND EXTENSIVE ORAL EVALUATION- PROBLEM FOCUSED BY REPORT,D0160,186.00
DETERMINATION OF REFRACTIVE STATE,92015,391.00
DEVELOPMENTAL SCREENING W/SCORING & DOCUMENTATION PER STANDARD INSTR,96110,602.00
DEVELOPMENTAL TESTING WITH INTERPRETATION AND REPORT,96111,445.00
DEXAMETHASONE SUPPRESSION PANEL,80420,594.00
DHEA (DEHYDROEPIANDROSTERONE),82626,295.00
DHEA-S (DEHYDROEPIAND SULFATE),82627,303.00
DIABETES OUTPATIENT SELF-MANAGEMENT TRAINING GROUP/30 MINUTES,G0109,104.00
DIABETES OUTPATIENT SELF-MANAGEMENT TRAINING INDIVIDUAL/30 MINUTES,G0108,101.00
DIAGNOSTIC ANALYSIS COCHLEAR IMPLANT >7 YEARS WITH PROGRAMMING,92603,407.00
DIAGNOSTIC ANALYSIS COCHLEAR IMPLANT PATIENT <7 YEARS WITH PROGRAMMING,92601,530.00
DIAGNOSTIC ANALYSIS COCHLEAR IMPLANT PATIENT<7 YEARS SUBSQ REPROGRAMMING,92602,534.00
DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS,38222,3708.00
DIAGNOSTIC CASTS,D0470,218.00
DIAGNOSTIC MAMMOGRAPHY WITH COMPUTER-AIDED DETECTION BILATERAL,77066,547.00
DIAGNOSTIC MAMMOGRAPHY WITH COMPUTER-AIDED DETECTION UNILATERAL,77065,397.00
DIALYIS CIRCUIT VASCULAR EMBOLIZATION/OCCLUSION EVASC IMAGING,36909,2833.00
DIAPHRAGM OR CERVICAL CAP FITTING WITH INSTRUCTIONS,57170,33.00
DIFFUSING CAPACITY,94729,420.00
DIGITAL ANALYSIS OF ELECTROENCEPHALOGRAM,95957,1236.00
DIGITAL BREAST TOMOSYNTHESIS BILATERAL,77062,37.00
DIGITAL BREAST TOMOSYNTHESIS UNILATERAL,77061,27.00
DIGOXIN FREE THERAPUTIC DRUG ANALYSIS,80163,107.00
DIGOXIN TOTAL THERAPUTIC DRUG ANALYSIS,80162,137.00
DILATION AND CURETTAGE DIAGNOSTIC/THERAPEUTIC NONOBSTETRICAL,58120,3384.00
DILATION ESOPHAGUS BY UNGUIDED SOUND OR BOUGIE SINGLE OR MULTIPLE PASSES,43450,2033.00
DILATION FEMALE URETHRA INCLUDING SUPPOSITORY AND/OR INSTILLATION INIT,53660,363.00
DILATION FEMALE URETHRA INCLUDING SUPPOSITORY AND/OR INSTILLATION SUBSEQ,53661,322.00
DILATION LACRIMAL PUNCTUM WITH OR WITHOUT IRRIGATION,68801,739.00
DILATION OF ANAL SPHINCTER WITH ANESTHESIA,45905,3702.00
DILATION OF CERVICAL CANAL INSTRUMENTAL,57800,2488.00
DILATION OF NEPHROSTOMY URETERS OR URETHRA RAD S&I,74485,3035.00
DILATION OF RECTAL STRICTURE W/ANESTHESIA,45910,4005.00
DILATION SALIVARY DUCT,42650,4505.00
DILATION URETHRAL STRICTURE BY PASSAGE FILIFORM & FOLLOWER MALE INITIAL,53620,3367.00
DILATION URETHRAL STRICTURE BY PASSAGE FILIFORM AND FOLLOWER MALE SUBSEQ,53621,599.00
DILATION URETHRAL STRICTURE BY PASSAGE SOUND/URETHRAL DILATOR MALE SBSEQ,53601,322.00
DILATION URETHRAL STRICTURE SOUND/DILATOR MALE INITIAL,53600,1195.00
DILATION URETHRAL STRICTURE/VES NCK BY PASSAGE SOUND/URETHRL MALE WANSTH,53605,4986.00
DIPHTH TETANUS TOX ACELL PERTUSSIS VACC<7 YR IM,90700,95.00
DIPTHERIA ANTIBODY,86648,94.00
DIRECT NASAL MUCOUS MEMBRANE TEST,95065,128.00
DISCISSION CATARACT 2ND LASER,66821,2396.00
DISCOGRAPHY LUMBAR RADIOLOGICAL S&I,72295,2471.00
DISLOCATION CARPOMETACARPAL CLOSED EACH JOINT WITH MANIPULATION,26675,3147.00
DISPENSING FEE UNSPECIFIED HEARING AID,V5090,415.00
DIVISION PLANTAR FASCIA AND MUSCLE,28250,6175.00
DNA ANTIBODY DOUBLE STRAND,86225,164.00
DOPPLER ECHOCARDIOGRAPHY COLOR FLOW VELOCITY MAPPING,93325,713.00
DOPPLER ECHOCARDIOGRAPHY PULSED/CONT WAVE W/SPECTRAL DISPL LIMITED STUDY,93321,424.00
DOPPLER ECHOCARDIOGRAPHY PULSED/CONT WAVE W/SPECTRAL DISPLAY COMPLETE,93320,961.00
DOPPLER EXTREMITY ART LIMITED,93922,827.00
DOPPLER EXTREMITY ARTERIES COMPLETE,93923,981.00
DOPPLER INTRACRANIAL ART LIMITED,93888,938.00
