IDENTIFIER,DESCRIPTION,CATEGORY OF SERVICE,CHARGE AMOUNT,
6088975,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6089081,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6095852,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6096048,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6096072,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6096078,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6096499,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6096585,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6096712,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6096809,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6096890,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6097208,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6097209,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6097326,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6097327,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6097482,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6097596,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6097597,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6097791,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6098052,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6098053,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6098054,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6098055,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6098170,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6098795,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6099367,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6099369,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6099372,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6099692,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6099933,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6100332,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6100418,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6100447,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6104274,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6104299,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6105148,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6105239,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6106047,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6106326,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6106327,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6106340,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6106621,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6107193,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6107195,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6107233,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6107234,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6107529,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6107782,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6107783,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6108328,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6108329,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6108332,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6108335,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6108578,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6108579,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6108580,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6108719,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6108720,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109010,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109030,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109141,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109142,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109144,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109145,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109146,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109173,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109174,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109175,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109617,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109670,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6109854,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6110160,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6110914,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6110915,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6110966,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111005,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111006,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111007,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111008,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111009,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111043,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111060,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111143,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111347,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111348,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111368,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111673,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6111699,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6112248,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6112433,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6113484,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6113485,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6113486,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6113582,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6113616,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6113909,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6113910,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6113922,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6114036,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6114385,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6114386,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6114387,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6114556,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6114725,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6116456,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6116457,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6117298,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6117672,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6117673,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6117674,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6117675,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6118502,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6119971,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6121139,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6121192,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6124068,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6124686,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6150129,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6150422,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6150606,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6150607,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6151588,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6153076,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,039.00",
6150608,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$10,919.00",
6108974,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6108975,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6108976,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6109032,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6110012,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6110882,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6110883,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6110953,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6110954,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6110955,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6111261,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6111370,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6112767,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6112827,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6112828,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6112829,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6112830,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6112845,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6112846,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6112847,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6112848,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6113109,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6113483,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6113615,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6113617,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6114037,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6114038,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6114377,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6114378,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6114379,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6114380,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6114720,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6114721,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6116510,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6116511,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6116512,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6116513,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6116514,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6116515,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6118464,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6118465,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6118501,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6119108,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6121200,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6124640,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6150451,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$12,017.00",
6109182,AUD OSSEO DEV INT/EXT COMP,Supply/Implant,"$22,191.80",
6999902,AUD OSSEO DEV INT/EXT COMP,Supply/Implant,"$24,977.43",
6110006,AUD OSSEO DEV INT/EXT COMP,Supply/Implant,"$26,108.00",
6098845,BRACHYTHERAPY NEEDLE,Supply/Implant,$178.99,
6081490,BRACHYTHERAPY NEEDLE,Supply/Implant,$927.20,
6105812,BRACHYTHERAPY NEEDLE,Supply/Implant,"$1,586.00",
6082007,BRACHYTHERAPY NEEDLE,Supply/Implant,"$2,135.00",
5020028,BRACHYTX NON-STR HDR IR-192,Supply/Implant,"$1,064.22",
5020038,BRACHYTX NON-STR YTTRIUM-90,Supply/Implant,"$137,979.78",
6113504,BREAST PROSTHES W/O ADHESIVE,Supply/Implant,"$8,540.00",
6098450,CATH EP 19 OR FEW ELECT,Supply/Implant,$756.40,
6021909,CATH EP 19 OR FEW ELECT,Supply/Implant,"$1,098.00",
6057443,CATH EP 19 OR FEW ELECT,Supply/Implant,"$1,342.00",
6103351,CATH EP 19 OR FEW ELECT,Supply/Implant,"$1,964.20",
6021910,CATH EP 19 OR FEW ELECT,Supply/Implant,"$3,416.00",
6050673,CATH EP 19 OR FEW ELECT,Supply/Implant,"$3,638.65",
6096112,CATH EP 19 OR FEW ELECT,Supply/Implant,"$3,660.00",
6084310,CATH EP 19 OR FEW ELECT,Supply/Implant,"$4,855.60",
6021916,CATH EP 19 OR FEW ELECT,Supply/Implant,"$5,368.00",
6021908,CATH EP 20 OR MORE ELEC,Supply/Implant,"$8,540.00",
6076495,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,$198.25,
6107092,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$4,672.60",
6075559,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$12,907.60",
6075562,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$14,884.00",
6075542,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$22,387.00",
6084719,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$22,387.00",
6082199,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$27,962.40",
6022406,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$28,060.00",
6031443,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$28,060.00",
6029527,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$32,940.00",
6080996,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$35,380.00",
6081311,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$35,880.20",
6118795,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$36,600.00",
6105895,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$36,917.20",
6105897,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$36,917.20",
6118413,CATH EP DIAG/ABL 3D/VECT,Supply/Implant,"$39,040.00",
6022073,CATH EP OTHR THAN COOL-TIP,Supply/Implant,"$1,403.00",
6079902,CATH EP OTHR THAN COOL-TIP,Supply/Implant,"$21,947.80",
6102886,CATH HEMODIALYSIS LONG-TERM,Supply/Implant,"$2,427.56",
6104792,CATH HEMODIALYSIS LONG-TERM,Supply/Implant,"$3,313.76",
6103577,CATH HEMODIALYSIS LONG-TERM,Supply/Implant,"$3,599.00",
6021054,CATH HEMODIALYSIS LONG-TERM,Supply/Implant,"$3,721.00",
6087714,CATH HEMODIALYSIS LONG-TERM,Supply/Implant,"$3,721.00",
6041026,CATH HEMODIALYSIS LONG-TERM,Supply/Implant,"$3,965.00",
6041026,CATH HEMODIALYSIS LONG-TERM,Supply/Implant,"$3,965.00",
6121152,CATH HEMODIALYSIS LONG-TERM,Supply/Implant,"$3,965.00",
6106034,CATH HEMODIALYSIS LONG-TERM,Supply/Implant,"$4,148.00",
6024833,CATH HEMODIALYSIS LONG-TERM,Supply/Implant,"$5,441.20",
6021011,CATH HEMODIALYSIS LONG-TERM,Supply/Implant,"$7,015.00",
6062700,CATH HEMODIALYSIS SHORT-TERM,Supply/Implant,"$1,037.00",
6058105,CATH HEMODIALYSIS SHORT-TERM,Supply/Implant,"$2,587.74",
6058105,CATH HEMODIALYSIS SHORT-TERM,Supply/Implant,"$2,587.74",
6105030,CATH INTRA ECHOCARDIOGRAPHY,Supply/Implant,"$8,845.00",
6060899,CATH INTRA ECHOCARDIOGRAPHY,Supply/Implant,"$30,500.00",
6086928,CATH INTRA ECHOCARDIOGRAPHY,Supply/Implant,"$39,040.00",
6107520,CATH INTRAVAS ULTRASOUND,Supply/Implant,"$1,890.39",
6021950,CATH INTRAVAS ULTRASOUND,Supply/Implant,"$3,904.00",
6066081,CATH INTRAVAS ULTRASOUND,Supply/Implant,"$8,845.00",
6099693,CATH INTRAVAS ULTRASOUND,Supply/Implant,"$8,845.00",
6099905,CATH INTRAVAS ULTRASOUND,Supply/Implant,"$9,150.00",
6083208,CATH INTRAVAS ULTRASOUND,Supply/Implant,"$13,115.00",
6096755,CATH SUPRAPUBIC/CYSTOSCOPIC,Supply/Implant,$465.94,
6102634,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$3,233.00",
6084846,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$18,178.00",
6084847,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$18,178.00",
6084849,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$18,178.00",
6084853,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$18,178.00",
6084854,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$18,178.00",
6084855,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$18,178.00",
6084857,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$18,178.00",
6084860,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$18,178.00",
6112853,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$19,520.00",
6112855,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$19,520.00",
6112856,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$19,520.00",
6112857,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$19,520.00",
6084848,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$20,008.00",
6084856,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$20,008.00",
6112864,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$21,350.00",
6112865,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$21,350.00",
6112880,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$23,180.00",
6112881,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$23,180.00",
6114803,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$23,180.00",
6114807,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$23,180.00",
6083849,"CATH, TRANSLUMIN, DRUG-COAT",Supply/Implant,"$29,360.76",
6091302,CATHETER GUIDING,Supply/Implant,$128.10,
6091302,CATHETER GUIDING,Supply/Implant,$128.10,
6075307,CATHETER GUIDING,Supply/Implant,$140.30,
6078206,CATHETER GUIDING,Supply/Implant,$140.30,
6086667,CATHETER GUIDING,Supply/Implant,$158.60,
6102230,CATHETER GUIDING,Supply/Implant,$170.80,
6105358,CATHETER GUIDING,Supply/Implant,$195.20,
6080154,CATHETER GUIDING,Supply/Implant,$231.80,
6120144,CATHETER GUIDING,Supply/Implant,$276.45,
6036126,CATHETER GUIDING,Supply/Implant,$310.73,
6036126,CATHETER GUIDING,Supply/Implant,$310.73,
6100421,CATHETER GUIDING,Supply/Implant,$345.87,
6119095,CATHETER GUIDING,Supply/Implant,$402.60,
6117709,CATHETER GUIDING,Supply/Implant,$433.10,
6106160,CATHETER GUIDING,Supply/Implant,$444.08,
6097179,CATHETER GUIDING,Supply/Implant,$451.40,
6028462,CATHETER GUIDING,Supply/Implant,$472.75,
6100532,CATHETER GUIDING,Supply/Implant,$615.37,
6100535,CATHETER GUIDING,Supply/Implant,$615.37,
6100992,CATHETER GUIDING,Supply/Implant,$615.37,
6103738,CATHETER GUIDING,Supply/Implant,$615.37,
6103978,CATHETER GUIDING,Supply/Implant,$615.37,
6103981,CATHETER GUIDING,Supply/Implant,$615.37,
6117128,CATHETER GUIDING,Supply/Implant,$615.37,
6117132,CATHETER GUIDING,Supply/Implant,$615.37,
6117197,CATHETER GUIDING,Supply/Implant,$615.37,
6119239,CATHETER GUIDING,Supply/Implant,$615.37,
6119240,CATHETER GUIDING,Supply/Implant,$615.37,
6021119,CATHETER GUIDING,Supply/Implant,$617.93,
6061450,CATHETER GUIDING,Supply/Implant,$617.93,
6088986,CATHETER GUIDING,Supply/Implant,$617.93,
6022330,CATHETER GUIDING,Supply/Implant,$622.20,
6022331,CATHETER GUIDING,Supply/Implant,$622.20,
6022335,CATHETER GUIDING,Supply/Implant,$622.20,
6047833,CATHETER GUIDING,Supply/Implant,$622.20,
6047834,CATHETER GUIDING,Supply/Implant,$622.20,
6058432,CATHETER GUIDING,Supply/Implant,$634.40,
6058433,CATHETER GUIDING,Supply/Implant,$634.40,
6058434,CATHETER GUIDING,Supply/Implant,$634.40,
6058615,CATHETER GUIDING,Supply/Implant,$634.40,
6062487,CATHETER GUIDING,Supply/Implant,$634.40,
6062490,CATHETER GUIDING,Supply/Implant,$634.40,
6062494,CATHETER GUIDING,Supply/Implant,$634.40,
6062501,CATHETER GUIDING,Supply/Implant,$634.40,
6066104,CATHETER GUIDING,Supply/Implant,$634.40,
6066105,CATHETER GUIDING,Supply/Implant,$634.40,
6066445,CATHETER GUIDING,Supply/Implant,$634.40,
6070821,CATHETER GUIDING,Supply/Implant,$634.40,
6075045,CATHETER GUIDING,Supply/Implant,$634.40,
6075046,CATHETER GUIDING,Supply/Implant,$634.40,
6077650,CATHETER GUIDING,Supply/Implant,$634.40,
6077651,CATHETER GUIDING,Supply/Implant,$634.40,
6078920,CATHETER GUIDING,Supply/Implant,$634.40,
6081443,CATHETER GUIDING,Supply/Implant,$634.40,
6085088,CATHETER GUIDING,Supply/Implant,$634.40,
6096524,CATHETER GUIDING,Supply/Implant,$634.40,
6097448,CATHETER GUIDING,Supply/Implant,$634.40,
6097449,CATHETER GUIDING,Supply/Implant,$634.40,
6097450,CATHETER GUIDING,Supply/Implant,$634.40,
6103339,CATHETER GUIDING,Supply/Implant,$634.40,
6103341,CATHETER GUIDING,Supply/Implant,$634.40,
6105844,CATHETER GUIDING,Supply/Implant,$634.40,
6113286,CATHETER GUIDING,Supply/Implant,$634.40,
6116864,CATHETER GUIDING,Supply/Implant,$634.40,
6117854,CATHETER GUIDING,Supply/Implant,$634.40,
6021965,CATHETER GUIDING,Supply/Implant,$640.50,
6021967,CATHETER GUIDING,Supply/Implant,$640.50,
6021970,CATHETER GUIDING,Supply/Implant,$640.50,
6021971,CATHETER GUIDING,Supply/Implant,$640.50,
6021972,CATHETER GUIDING,Supply/Implant,$640.50,
6021973,CATHETER GUIDING,Supply/Implant,$640.50,
6025071,CATHETER GUIDING,Supply/Implant,$640.50,
6028445,CATHETER GUIDING,Supply/Implant,$640.50,
6028468,CATHETER GUIDING,Supply/Implant,$640.50,
6028469,CATHETER GUIDING,Supply/Implant,$640.50,
6028471,CATHETER GUIDING,Supply/Implant,$640.50,
6028473,CATHETER GUIDING,Supply/Implant,$640.50,
6028480,CATHETER GUIDING,Supply/Implant,$640.50,
6028484,CATHETER GUIDING,Supply/Implant,$640.50,
6028486,CATHETER GUIDING,Supply/Implant,$640.50,
6028489,CATHETER GUIDING,Supply/Implant,$640.50,
6062608,CATHETER GUIDING,Supply/Implant,$640.50,
6105102,CATHETER GUIDING,Supply/Implant,$646.60,
6106287,CATHETER GUIDING,Supply/Implant,$671.00,
6116535,CATHETER GUIDING,Supply/Implant,$671.00,
6116538,CATHETER GUIDING,Supply/Implant,$671.00,
6047830,CATHETER GUIDING,Supply/Implant,$756.40,
6066018,CATHETER GUIDING,Supply/Implant,$756.40,
6080137,CATHETER GUIDING,Supply/Implant,$780.80,
6071462,CATHETER GUIDING,Supply/Implant,$799.59,
6094828,CATHETER GUIDING,Supply/Implant,$854.00,
6021241,CATHETER GUIDING,Supply/Implant,$885.72,
6021745,CATHETER GUIDING,Supply/Implant,$902.80,
6021776,CATHETER GUIDING,Supply/Implant,"$1,037.00",
6100514,CATHETER GUIDING,Supply/Implant,"$1,525.00",
6021837,CATHETER GUIDING,Supply/Implant,"$1,586.00",
6028435,CATHETER GUIDING,Supply/Implant,"$1,586.00",
6028502,CATHETER GUIDING,Supply/Implant,"$1,586.00",
6028506,CATHETER GUIDING,Supply/Implant,"$1,586.00",
6058435,CATHETER GUIDING,Supply/Implant,"$1,586.00",
6058530,CATHETER GUIDING,Supply/Implant,"$1,586.00",
6062493,CATHETER GUIDING,Supply/Implant,"$1,586.00",
6062502,CATHETER GUIDING,Supply/Implant,"$1,586.00",
6062805,CATHETER GUIDING,Supply/Implant,"$1,586.00",
6070560,CATHETER GUIDING,Supply/Implant,"$1,586.00",
