PROCEDURE,DESCRIPTION,CPT CODE, CHARGE ,REV CODE
CSV003102,CONTAINER-EVAC.-EMPTY 1000ML,,10.5,270
CSV003497,DRESSING-COPA FOAM-HYDROPHILIC,,10.5,270
CSV003991,"TUBE-NG-A4-14FR-48""",,10.5,270
CSV004603,VALUE BIOPSY-DISPOSABLE,,10.5,270
CSV004960,WICK EAR FEN ST LF,,10.7,270
CSV000197,MASK-NON REBREATHABLE W/O SAFE,,11,270
CSV000237,"DRESSING-ADAPTIC 3X18""",,11,270
CSV000368,FORMULA-ENFAMIL WITH IRON,,11,270
CSV001851,SPLASHGUARD-OVAL WITH SPIKE,,11,270
CSV002960,PEN-SURGICAL MARKING-STERILE,,11,270
CSV002994,MASK-TRACHEOSTOMY-ADULT,,11,270
CSV003140,STRAP-DRESSING-MONTGOMERY,,11,270
CSV003888,JEVITY-SUPPLEMENT-DIETARY,,11,270
CSV004432,SPLINT-FINGER-OPEN AIR-SIZE 2,,11,270
CSV004433,SPLINT-FINGER-OPEN AIR-SIZE 4,,11,270
CSV004434,SPLINT-FINGER-OPEN AIR-SIZE 5,,11,270
CSV005297,DRAPE-U-SURGICAL,,11,270
CSV1743,IV CATH-AUTOGUARD-18ga x 1-1/4,,11,270
CLI4420,SUTURE PACK,,11.5,270
CSV000178,TUBE-ENDOTRACH 6.5mm,,11.5,270
CSV000484,WATER FOR IRRIGATION 2000ML,,11.5,270
CSV000485,SODIUM CHLOR. IRRIG 1000ML,,11.5,270
CSV000713,"CAST.PADDING.SYNTHETIC.6""",,11.5,270
CSV001033,SPONGE.3x3.STERILE,,11.5,270
CSV001222,TUBE-SALEM SUMP-16 FR LTX FR,,11.5,270
CSV001360,BOTTLE-BABY,,11.5,270
CSV001500,SPONGE-LAP 18 x 18,,11.5,270
CSV001591,IV-IRRIGATION-3000mlNS0.09%BAG,,11.5,270
CSV001727,IRRIGATION-NORMAL SALINE 250ML,,11.5,270
CSV002324,FILTER-IVEX,,11.5,270
CSV002817,CATHETER-MALE-MED.-EXTERNAL,,11.5,270
CSV002818,CATHETER-MALE-EXTERNAL-LARGE,,11.5,270
CSV002933,WATER-IRRIGATION 500cc,,11.5,270
CSV004597,CANNULA 02-PEDIATRIC 7FT,,11.55,270
CSV000175,CANNULA-25 FOOT (RT),,12,270
CSV000188,HUMIDIFIER-PREFILLED-AQUAPAK,,12,270
CSV000367,FORMULA-GLUCOSE-3oz.5%,,12,270
CSV000490,BLOOD Y SET,,12,270
CSV000949,SIGMOIDOSCOPE,,12,270
CSV000955,SLING-ARM-SMALL,,12,270
CSV001383,IPPB-DISPOSABLE (Unvrsl crcut),,12,270
CSV001794,CANNULA-INFANT SALTER 1601,,12,270
CSV001997,"NEEDLE-SPINAL 13ga X 3""",,12,270
CSV002489,TUBE-LEVIN-PLASTIC-18FR,,12,270
CSV003628,TRAY-TRACHEOSTOMY,,12,270
CSV004058,SCRUB-BETASPT 4 oz,,12,270
PCC4420,FOLEY INSERTION FEMALE CATH,,12.25,270
CSV000182,FILTER-KOKO MO,,12.5,270
CSV000404,GOGGLES PROTECTIVE BARRIER,,12.5,270
CSV001020,"SPLINT-CARDBOARD-PADDED-18""",,12.5,270
CSV001519,TUBING-SUCTION-SIGMOIDOSCOPE,,12.5,270
CSV001963,TUBE-ET-5.0,,12.5,270
CSV002016,PLUG-ADAPTER-CLAVE PORT-MALE,,12.5,270
CSV002957,SUTURE-O SILK CT 1,,12.5,270
CSV003697,FILM-BARRIER-NO STING,,12.5,270
CSV000177,TUBE-ENDOTRACHIAL 4mm,,13,270
CSV000179,TUBE-ENDOTRACH 7.5M,,13,270
CSV000952,SLING-ARM-MEDIUM,,13,270
CSV000957,SLING-ARM-LARGE,,13,270
CSV001291,ENDOTRACHEAL TUBE 8.00 MM,,13,270
CSV001537,NEEDLE-IRRIGATION-INSYTE,,13,270
CSV001992,"NEEDLE-SPINAL 22x2-1/2""",,13,270
CSV002604,"NEEDLE-SPINAL-20GA x 2-1/2""",,13,270
CSV002662,SHAVE-AFTA-PRE ELECTRIC,,13,270
CSV002992,TUBE-ENDOTRACHEAL-2.5MM,,13,270
CSV003143,SPONGE-LAP-PERWASHED-18x18,,13,270
CSV004006,SUTURE-CHROMIC-O-884 GUT,,13.1,270
CSV004007,SUTURE-CHROMIC-2-0 883 GUT,,13.1,270
CSV000686,PADDING-CYLINDRICA-FOAM (OT),,13.5,270
CSV001991,"NEEDLE-SPINAL 22x3-1/2""",,13.5,270
CSV003342,BRUSH-CATERPILLAR 4.5 DIA(SUR),,13.5,270
CSV003386,PUTTY-MED SOFT-RED-4oz,,13.5,270
CSV004426,SUTURE-ETHIBOND-EXCELL-OX412-P,,13.75,270
CSV000926,BLADE-SCAPEL #10-SAFETY,,14,270
CSV001099,SUTURE-VICRYL 2-0 J417H,,14,270
CSV001126,SUTURE-O SILK-SA66G,,14,270
CSV001565,DENTURE-CUSHIONS-UPPER BOXof15,,14,270
CSV003843,RESTRAINT-UNIV,,14,270
CSV004730,SUTURE-VICRYL-BRAID-2-0,,14,270
CSV004440,SUTURE-PDS PLUS 0 CT-1 PDP346,,14.05,270
MED5796,PUMP-BARD-MEDICAL,,14.3,270
CSV001098,SUTURE-CHROMIC 2-0 893-H,,14.5,270
CSV001109,SUTURE-4-0 CHROMIC G181H,,14.5,270
CSV003158,CKANO-COLOSTOMY POUCH,,14.5,270
CSV000373,GLOVES-SURGEON SIZE 8-1/2,,15,270
CSV001021,"SPLINT-CARDBOARD-ARM-24""",,15,270
CSV001090,LEG STRAP  FABRIC,,15,270
CSV001097,SUTURE-CHROMIC 0 894H,,15,270
CSV001100,SUTURE-CHROMIC 3-0 G122H,,15,270
CSV001136,SUTURE-3-0 VICRYL-J416H,,15,270
CSV001999,SUTURE-CHROMIC 2-0 811H,,15,270
CSV002005,SUTURE-CHROMIC GUT 0 G123H,,15,270
CSV002989,TUBE-ENDOTRACHEAL-4.5MM,,15,270
CSV002991,TUBE-ENDOTRACHEAL-3.0MM,,15,270
CSV003426,KIT-GASTROCULT 40 TESTS,,15,270
CSV004443,VENT-HUMIDIFIER-ANESTHESIA-2S,,15,270
CSV004593,DIETARY SUPPLEMENT-JEVITY 50.7,,15,270
CSV005281,DRESSING.3X3.LITE.BORDER.THIN,,15,270
CSV005577,KIT-CATHETER-SUCTION-10FR-PED,,15,270
CSV004425,BLOCK-BITE,,15.15,270
CSV000111,TRAY-CATHETER-URETHERAL(insert,,15.5,270
CSV001106,SUTURE-2-0 CHROMIC L113G,,15.5,270
CSV001110,SUTURE-ETHILON - 3-0 642G,,15.5,270
CSV002008,SUTURE-SILK 4-0 629G,,15.5,270
CSV002011,PREGNANCY TEST-CLEARVIEW HCGII,,15.5,270
CSV002147,SUTURE-CHRONIC-GUT-4-0,,15.5,270
CSV002569,"COBAN WRAP-4""",,15.5,270
CSV002990,TUBE-ENDOTRACHEAL-3.5MM,,15.5,270
CSV003647,WASHCLOTH-ATTENDS (substitute),,15.5,270
CSV004598,TUBING-CANNULA O2-INFANT,,15.5,270
CSV004580,SUTURE-ETHIBOND 2-0x411,,15.54,270
CSV004359,SUTURE BRAID-1.5cirJ214H COAT,,15.8,270
CSV004845,SUTURE-VICRYL-3-0/J285 BRD CTD,,15.95,270
CSV000245,"DRESSING-HYDROGEL 2X3""",,16,270
CSV001034,"SPONGE.PEANUT-3/8""",,16,270
CSV001111,SUTURE-ETHILON 4-0-662G,,16,270
CSV001127,SUTURE-4-0 VICRYL-J204G,,16,270
CSV001220,FEEDING TUBE-INFANT-8FR,,16,270
CSV001245,LEG BAG  MED  UA,,16,270
CSV002150,"DRESSING-MESALT 3/4""-PER YARD",,16,270
CSV002670,"LIFTER-LEG-RIGID 41""",,16,270
CSV004387,WIPE-CLEANSING SKIN-ALOETOUCH,,16,270
CSV004691,PIN-SHORT-STEINMAN-2.4mm,,16.31,270
CLI0680,HYFRECATOR EQUIPMENT,,16.35,270
CSV000935,SHEATHS-ULTRASOUND-STERILE,,16.5,270
CSV001244,LEG BAG  LARGE URINARY,,16.5,270
CSV001246,LEG BAG-SMALL UA,,16.5,270
CSV001270,"COBAN WRAP-SELF ADH-6""",,16.5,270
CSV002074,AIDE-SOCK AND STOCKING-ADULT,,16.5,270
CSV002501,IV SET-BLOOD Y,,16.5,270
CSV002540,"ELECTRODE-RE-PLY REUSE2""sqx4pk",,16.5,270
CSV002835,GLOVE-SURGICAL-SYNTH 7-12,,16.5,270
CSV003539,SLEEVE-STERILE-LATEX FREE,,16.5,270
CSV003414,MASK-ANESTHESIA-ADULT LAR,,16.85,270
CSV003278,SUTURE-5-0 ETHICON,,17,270
CSV004051,SUTURE-VICRYL 2-0 J269H,,17,270
CSV004466,DRESSING-SELF ADHESIVE 4x4,,17,270
CSV004729,SUTURE-VICRYL-UR-6 J603,,17,270
CSV001125,SUTURE-0 SILK-678G,,17.5,270
CSV004679,SUTURE-2-0 VICRYL J417H F-H,,17.5,270
CSV000459,STOCKING-KNEE-TED-EX LG,,17.75,270
CSV001128,SUTURE-4-0 VICRYL-J415H,,18,270
CSV002059,SUTURE-PROLENE-0,,18,270
CSV002148,SUTURE-SILK-3-0 (684G),,18,270
CSV002803,SUTURE-PROLINE 2-0 8833H,,18,270
CSV003252,SLING-ARM-CHILD-DISP.,,18,270
CSV004302,"COBAN WRAP-4"" STERILE",,18,270
CSV005383,ProtectSkin4ozDimethicone,,18,270
CSV000933,KIT-SHAMPOO IN A CAP,,18.5,270
CSV001093,GROUND IT PAD-ADULT/BOVIE,,18.5,270
CSV002007,SUTURE-PROLENE 3-0 8872H,,18.5,270
CSV002925,SUTURE-1 PDS OB,,18.5,270
CSV003972,"IV SET-EXTENSION 32""",,18.5,270
CSV004538,SUTURE-CHROMIC GUT O ct-2 884,,18.5,270
CSV004957,CAP-IRRIGATION WOUND (SHIELD),,18.55,270
CSV000102,TAPE-CASTING-SYNTHETIC-2INCH,,19,270
CSV000172,AQUAPAK,,19,270
CSV000934,NO RINSE SHAMPOO,,19,270
CSV001384,MISTY OX (MULTI FIT NEBLIZER),,19,270
CSV002678,BLOCK-BITE-B&B MEDICAL,,19,270
CSV003253,SLING-ARM-SMALLwSHOULDER PAD,,19,270
CSV003254,SLING-ARM-MED /SHOULDER PAD,,19,270
CSV003255,SLING-ARM/SHOLDER PAD-LARGE,,19,270
CSV003256,SLING-ARM-EXLGwSHOULDER PAD,,19,270
CSV003978,MASK-O2-PEDIATRIC-NON-REBRwSTR,,19,270
CSV004397,SYRINGE-MUCOSAL TIP ADM DEVICE,,19.35,270
CSV000123,CATHETER-ROBINSON-18FR,,19.5,270
CSV000704,"PACKING-PLAIN GAUZE-1/2""",,19.5,270
CSV000954,SLING-ARM-EXTRA SMALL,,19.5,270
CSV002015,T-CONNECTOR-CLAVE-SPIN COLLAR,,19.5,270
CSV002747,BLADE-ASSEMBLY CLIPPER 960,,19.5,270
CSV004323,TUBE-FEEDING-SECUREMENT DEVICE,,19.5,270
CSV005187,MASK=NEONATAL-SOFT-DISP,,19.5,270
CSV005047,SET-EXTENSION-BIFUSE-2 CLAVE,,19.55,270
PCC4450,KIT-SUTURE REMOVAL,,19.9,270
CSV001509,SHIELD-EYE-UNIVERSALfleshCOLOR,,20,270
CSV002075,PANTS-CLIP-SAMMONS PRESTON,,20,270
CSV003251,BIFUSE EXTENSION 2 CALV SET,,20,270
CSV005053,"OSTOMY BAG 1.5""",,20,270
CSV004427,SUTURE-ETHIBON-1 BRAD-EXCELL,,20.4,270
CSV000176,TUBE-ENDOTRACHIAL 7mm,,20.5,270
CSV001394,ET TUBE HOLDER,,20.5,270
CSV001397,TRAP-SPECIMEN-MUCOUS (RT),,20.5,270
CSV00140,KIT-HOLTER MONITOR (RT),,20.5,270
CSV002825,"HY-TAPE 1"" x 5 YARD",,20.5,270
CSV002849,SUTURE-ETHICON 0 PDS Z346H,,20.5,270
CSV002850,SUTURE-ETHICON-1 PDS Z347H,,20.5,270
CSV003343,BAG-LEG-MED-19oz-STERILE,,20.5,270
CSV003887,ENDO CAP- FUGINONSCOPE,,20.85,270
CSV004921,"SUTURE-PROLENE O-30""CT-1 lf",,20.95,270
CSV001101,SUTURE-3-0 PROLENE 8684G,,21,270
CSV001393,SPIROMETER EXERCISER-INCENTIVE,,21,270
CSV001628,SUTURE-PROLENE-FS 24-0,,21,270
CSV003381,TRAY-SUTURE REMOVAL-OUTSIDE DR,,21,270
CSV003540,SUTURE-PDS II Z346,,21,270
CSV004769,SUCTION-TRAP POLYP,,21,270
CSV005107,"BANDAGE.ESMARK.STERILE.6""x12""",,21,270
CSV005301,SUTURE-ETHILON-3-0-PS-2,,21,270
MED3068,PUMP-IV-DAILY CHARGE,,21,270
CSV004271,BLOCK-BITE LP w/STRAP,,21.45,270
CSV000705,"PACKING-GAUZE PLAIN 1/4""",,21.5,270
CSV002222,CATHETER-FOLEY 26fr30ccSilicon,,21.5,270
CSV002988,TUBE-ENDOTRACHEAL-5.5MM,,21.5,270
CSV003372,DRESSING-ANTIMICROBIAL SILVER,,21.5,270
CSV003903,CANISTER-EXE-VAC-3300ml SURG,,21.5,270
CSV003922,STREP TEST-QUICK VUE,,21.5,270
CSV004388,PASTE-CALAZIME REMEDY SKIN 4oz,,21.5,270
CSV000114,CATHETER-FOLEY-10FR X 3CC,,22,270
CSV000246,DRESSING-HYDROGEL-CURAGEL-3X4,,22,270
CSV001154,ALARIS T-CONNECTORS,,22,270
CSV001243,BAGS-DRAINAGE-URINARY,,22,270
CSV002172,SUTURE-SURGIDAC 2-0,,22,270
CSV002739,DRESSING-VIASORB-KENDALL 6x10,,22,270
CSV002765,RESTRAINT-WRIST-STANDARD-FOAM,,22,270
CSV003327,URIMETER-LATEX FREE,,22,270
CSV004358,SET-ANESTHESIA-PROPOFOL,,22.45,270
PCC4400,KIT-IV START(iv ndle/conn/injc,,22.45,270
CSV000071,BLANKET-MYLAR-ER,,22.5,270
CSV001108,SUTURE-CHROMIC 4-0 G121H,,22.5,270
CSV001132,SUTURE-3-0 VICRYL-J442H,,22.5,270
CSV002058,SUTURE-VICRYL-0,,22.5,270
CSV002290,NEEDLE-SAFE-T-INTIMA 20 X 1,,22.5,270
CSV004033,"PADDING-WEBRIL STERILE 6""",,22.5,270
CSV004505,SUTURE-PDS-3333H-2-0 CT-2,,22.95,270
CSV004821,SUTURE-VICRYL-3-0 COATED BRD,,22.95,270
CSV004822,SUTURE-MONOCRYL-4-0-PS-2 MONO,,22.95,270
CSV000206,SPIROMETER-INCENTIVE (RT),,23,270
CSV000256,DRESSING-WET,,23,270
CSV002000,SUTURE-CHROMIC GUT -0- 924H,,23,270
CSV002669,ELECTRODE-REPLY REUSABLE 2X4,,23,270
CSV003549,DRESSING-SORBAVIEW,,23,270
CSV004879,MASK-FACE-ADULT-O2.DELIVERY,,23,270
CSV005370,DRESSING-HONEYCOLLOID.2x2,,23,270
CSV005501,"CAUTERY-ELECTRODE BLADE 6""",,23,270
CSV004878,MASK-OXYGEN-ADULT-LG,,23.4,270
CSV000115,CATHETER-FOLEY-12FR X 5CC,,23.5,270
CSV000515,KIT-DRESSING CHANGE,,23.5,270
CSV001600,SURGICAL VALLY LAB ELECTR,,23.5,270
CSV002202,DRESSING-ALLEVYN ADHESIVE 3x3,,23.5,270
CSV003318,CATHETER-SILICONE-14FR 5CC,,23.5,270
CSV003601,CATH HOLDER-MECICHOICE,,23.5,270
CSV000186,KIT-HOLTER MONITOR,,24,270
CSV000255,DRESSING-VIASORB 7x7 (curasorb,,24,270
CSV000700,"PACKING STRIP-IODOFORM-1/4""",,24,270
CSV001117,SUTURE-3-0 PROLENE 8665G,,24,270
CSV002291,"NEEDLE-SAF-T-INTIMA 22x3/4""",,24,270
CSV002729,DRESSING-DUODERM 4x4,,24,270
CSV002993,TUBE-HOLDER-TRACH,,24,270
CSV003116,HOLDER-FOLEY-CATHETER-DALE,,24,270
CSV004789,CANNULA-ADULT-ANESTHESIA (LF),,24,270
CSV004776,SPONGE-KERLIX-SUPER-6x6.75-MED,,24.08,270
CSV000461,ICE-PACK-LARGE-CLIP CLOSE,,24.5,270
CSV000665,HANDHELPER II (OT),,24.5,270
CSV001406,BIOFREEZE TUBE-4oz (OT),,24.5,270
CSV002292,"NEEDLE-SAF-T-INTIMA 18x1""",,24.5,270
CSV003246,WASHCLOTH-ALOE AND LANOLIN,,24.5,270
CSV004521,WOUND GEL-HYDROGEL-3oz,,24.5,270
CSV000701,"PACKING STRIP-IODOFORM 1/2""",,25,270
CSV001533,ILLUMINIATOR-EXPENDABLEvaginal,,25,270
CSV003504,CIRCUIT-BREATHING-3L LP BAG,,25,270
CSV004366,CATHETER-IRRIGATION-3WAY-22FR,,25,270
CSV004635,MASK-PEDIATRIC-AMBU-w-VALUE,,25,270
CSV004902,TUBE-LAERDAL-HOLDER,,25,270
CSV004953,SUTURE-VIC 6-0 P-3 13mm,,25,270
CSV005108,"BANDAGE.ELASTIC.VELCRO.6""x15""",,25,270
CSV005386,CREAM.REMEDY.ANTIFUNGAL.4oz,,25,270
CSV004026,TRAY-SKIN PREP DRY,,25.06,270
CSV000241,DRESSING-CURASORB-KALTOSTAT,,25.5,270
CSV002570,HAND HELPER-WHITE II,,25.5,270
CSV002987,TUBE-ENDOTRACHEAL-9MM,,25.5,270
CSV003100,"GAUZE-PLAIN-STERILE1""PerBottle",,25.5,270
CSV000128,CATHETER-FOLEY-22FR X 30CC,,26,270
CSV001131,SUTURE-4-0 SILK-1677G,,26,270
CSV001362,CATH PLAIN-14 FRENCH,,26,270
CSV004647,GLUCOMETER OPTIUM Ez,,26,270
CSV004775,GOWN-SURG-STER-MICR COOL,,26,270
CSV004996,JEVITY FORMUAL 1.2CAL-1000ml,,26,270
CSV003997,HOLDER-NEEDLE-SNAG FREE,,26.5,270
CSV004436,SPLINT-FINGER-OPEN AIR-SIZE 6,,26.75,270
CSV000120,CATHETER-FOLEY-22FR X 5CC,,27,270
CSV001859,CUFF-UNIVERSAL-HANDLES-MED-EAT,,27,270
CSV004030,KIT-SKIN PREP-DURAPREP 26 ML,,27,270
CSV005335,CLEANSER-PERINEAL-FOAM-8oz,,27,270
PCC4440,NEBULIZER/PEAK F-SMALL VOLUME,,27.05,270
CSV001035,SPORTSTAPE-PER ROLL,,27.24,270
CSV000122,CATHETER-ROBINSON-12FR,,27.5,270
CSV000124,CATHETER-ROBINSON-10FR,,27.5,270
CSV000205,VENILATOR CIRCUIT ROLL,,27.5,270
CSV001102,SUTURE-5-0 PROLENE 8698G,,27.5,270
CSV001361,CATH PLAIN-08 FRENCH,,27.5,270
CSV002419,LINE SAMPLE 4' (1.2M),,27.5,270
CSV002758,SUTURE-TICRON-O BLUE KV-30,,27.5,270
CSV003317,CATHETER-SILICONE-12FR 5CC,,27.5,270
CSV003319,CATHETER-SILICONE-16FR 5CC,,27.5,270
CSV003320,CATHETER-SILICONE-18FR 5CC,,27.5,270
CSV003321,CATHETER-SILICONE-20FR 5CC,,27.5,270
CSV003322,CATHETER-SILICONE-22FR 5CC,,27.5,270
CSV003323,CATHETER-SILICONE-24FR 5CC,,27.5,270
CSV004576,AIRWAY-NASAL-32 FR,,27.65,270
CSV004577,AIRWAY-NASAL-30 FR,,27.65,270
CSV004578,AIRWAY-NASAL-36 FR,,27.65,270
CSV004579,AIRWAY-NASAL-34 FR,,27.65,270
CSV000116,CATHETER-FOLEY-14FR X 5CC,,28,270
CSV000117,CATHETER-FOLEY-16FR X 5CC,,28,270
CSV000118,CATHETER-FOLEY-18FR X 5CC,,28,270
CSV001572,"NEEDLE-IV-14GA X 4""",,28,270
CSV001590,SET-IRRIGATION-CYSTO,,28,270
CSV003092,TEST-PREGNANCY-CLEARVIEW HCGII,,28,270
CSV003538,"STOCKINETTE-STERILE-9""x36""",,28,270
CSV001112,SUTURE-4-0 ETHILON 699G,,28.5,270
CSV001407,BIOFREEZE-3oz-ROLL ON (OT),,28.5,270
CSV004303,"BANDAGE COBAN 6"" STERILE",,28.5,270
CSV005155,SUTURE-0.VICRYL J270,,28.5,270
CSV005156,SUTURE.2-0.VICRYL.J269,,28.5,270
CSV005157,SUTURE.6-0.PROLENE 8711,,28.5,270
CSV004708,LIGACLIP-CARTRIDGE-MED,,28.56,270
CSV000119,CATHETER-FOLEY-20FR X 5CC,,29,270
CSV000121,CATHETER-FOLEY-24FR X 5CC,,29,270
CSV000240,DRESSING-CURASORB-KALTOSTAT,,29,270
CSV000513,DRESSING-CURASORB ROPE,,29,270
CSV001363,CATH PLAIN-16 FRENCH,,29,270
CSV004530,SUTURE-ETHILON-3 0-MONO PS1,,29,270
CSV004604,"DRAPE-IOBAN 13""x13""",,29,270
CSV001094,PENCIL-CAUTERY-ELECTRO SURG.,,29.5,270
CSV001105,SUTURE-VICRYL-5-0 J593G,,29.5,270
CSV001862,EXERCISER-HAND-DELUXE-INDIVIDU,,29.5,270
CSV003326,TRAY-URETHERAL CATH LATEX FREE,,29.5,270
CSV000106,KIT-CATH-FEMALE,,30,270
CSV001129,SUTURE-4-0 VICRYL-J494G,,30,270
CSV003904,DRESSING-STERI STRIP-LAP-TEAGA,,30,270
CSV004737,STOCKING-THIGH-REG-2XL,,30,270
CSV005282,DRESSING.5X5.SILICON.ADHESIVE,,30,270
CSV6420,KIT-PKU,,30,270
EMD0500,SLIT LAMP PROCEDURE,,30,270
CSV001956,"DRESSING-MESALT RIBBON NS 3/4""",,30.5,270
CSV001998,SUTURE-CHROMIC GUT 3-0 982H,,30.5,270
CSV004511,GOOGLES-EYE PROTECTOR,,30.5,270
CSV000126,CATHETER-FOLEY-18FR X 30CC,,31,270
CSV001066,STOCKINGS-THIGH-LONG-EX LARGE,,31,270
CSV001067,STOCKINGS-CALF-REGULAR-SMALL,,31,270
CSV001068,STOCKINGS-CALF-REGULAR-LARGE,,31,270
CSV001069,STOCKINGS-CALF-REGULAR-MEDIUM,,31,270
CSV001070,STOCKINGS-THIGH-REGULAR-LARGE,,31,270
CSV001071,STOCKINGS-CALF-LONG-MEDIUM,,31,270
CSV001072,STOCKINGS-CALF-LONG-SMALL,,31,270
CSV001073,STOCKINGS-THIGH-REGULAR-MEDIUM,,31,270
CSV001074,STOCKINGS-THIGH-REGULAR-SMALL,,31,270
CSV001075,STOCKING-TED-THIGH HIGH-EX LG,,31,270
CSV001076,STOCKINGS-THIGH-LONG-LARGE,,31,270
CSV001077,STOCKINGS-THIGH-SHORT-LARGE,,31,270
CSV001078,STOCKINGS-THIGH-LONG-MEDIUM,,31,270
CSV001079,STOCKINGS-CALF-LONG-LARGE,,31,270
CSV001080,STOCKINGS-THIGH-SHORT-MEDIUM,,31,270
CSV001081,STOCKINGS-THIGH-LONG-SMALL,,31,270
CSV001082,STOCKINGS-THIGH-SHORT-SMALL,,31,270
CSV001446,STOCKINGS-THIGH-LARGE-REG,,31,270
CSV002563,STOCKING-TED-THIGH MED,,31,270
CSV002757,BANDAGE-ESMARAK 4 X 9,,31,270
CSV004300,"BANDAGE-ELAS 4"" STERILE",,31,270
CSV004465,STOCKING-KNEE-EX LG-REG TED,,31,270
CSV004903,LOCK-LEUR-3WAY-STOPCOCK,,31,270
CSV005154,EYE.PROTECTOR.IGUARD.9-0210-00,,31,270
CSV001107,SUTURE-3-0 CHROMIC L112G,,31.5,270
CSV002258,"BELT-GAIT-TRANSFER-NEUTRAL-27""",,31.5,270
CSV004423,DRAPE-SHEET-SPLIT-77x108,,31.8,270
CSV000030,BLANKET-BAIR HUGGER-FULL,,32,270
CSV000127,CATHETER-FOLEY-20FR X 30CC,,32,270
CSV000157,COLLAR-CERVICAL-UNIVERSAL,,32,270
CSV000277,EGGCRATE PAD,,32,270
CSV000460,HYPERGEL  1/2 OZ TUBE,,32,270
CSV001010,"SPLINT-REINFORCING  4 X 18""",,32,270
CSV001523,COLLAR-CERVICAL-FOAM-SMALL,,32,270
CSV002191,SUTURE-VICRYL-4.0-P3-J507,,32,270
CSV003068,BELT-GAIT LATEX FREE,,32,270
CSV004820,SUTURE.PROLENE.2-0.MONO.BLUE,,32,270
CSV005384,ProtectSkinLiquid0.5gMarathon,,32,270
CSV002167,TRI-PAC INJECTOR (CT),,32.15,270
CSV000060,BELT-GAIT WITH METAL BUCKLE,,32.5,270
CSV000088,ALGERBRUSH BURRS,,32.5,270
CSV000610,TOILET AIDE-LONG (OT),,32.5,270
CSV003823,AIRWAY-NASOPHARYNGEAL 26 FR,,32.5,270
CSV003824,AIRWAY-NASOPHARYNGEAL 24 FR,,32.5,270
CSV003825,AIRWAY-NASOPHARYNGEAL 22 FR,,32.5,270
CSV004690,PIN-LONG-STEINMAN-23cm,,32.62,270
CSV000125,CATHETER-FOLEY-16FR X 30CC,,33,270
CSV000129,CATHETER-FOLEY-24FR X 30CC,,33,270
CSV000960,SLING-ARM-w/COLLAR-CUFF-LARGE,,33,270
CSV001114,SUTURE-ETHILON 6-0 697G,,33,270
CSV003353,SHOE-POST OFF EX LG,,33,270
CSV003431,OPTIFOAM 4x4 (CURAFOAM),,33,270
CSV003477,REACHER-FEATHER,,33,270
CSV003927,SUTURE-ETHILON 5-0-PS-2 NEEDLE,,33,270
CSV005471,DRESSING-HYROCOLLOID 4x4 Ahv,,33,270
CSV001104,SUTURE-5-0 VICRYL J500G,,33.5,270
CSV003740,SHOE-POST OP-LARGE,,33.5,270
CSV004504,DRESSING-EXUDERM 4x4 HYDROCOLL,,33.5,270
CSV004288,CONTINUOUS FLO SLTN SET-3LEUR,,33.6,270
CSV001116,SUTURE-2-0 PROLENE 8523H,,34,270
CSV001708,SUTURE-PROLINE-3-0 PS2,,34,270
CSV002178,SHOE-POST.OP-WOMEN-SM,,34,270
CSV002852,SHOE-POST.OP-WOMEN-SM,,34,270
CSV003127,SHOE-POST.OP-WOMEN-MED,,34,270
CSV004672,"HEADREST-POISTIONER-4""",,34,270
CSV005298,DRAPE-SPLIT-SURGERY,,34,270
CSV000956,ARM SLING MEDIUM W/COLLAR CUFF,,34.5,270
CSV001130,SUTURE-VICRYL - 6-0 J489G,,34.5,270
CSV003290,SHOE-POST-OP-SMALL,,34.5,270
CSV003969,DRESSING-MEPILEX WICK 4x4,,34.5,270
PCC4430,FOLEY INSERTION INDWELLNG,,34.7,270
CSV004018,NEEDLE-FREE CURVE ALLAN 1/2TAP,,34.75,270
CSV004728,SUTURE-PROLENE 6-0-ETHIC P-3,,35,270
CSV005078,DRESSING-GELmedihoney1.5ozTUBE,,35,270
CSV005095,"Tubing.Circuit.Bipap.Disp.6""",,35,270
CSV001120,SUTURE-5-0 PROLINE-8699G,,35.5,270
CSV000130,CATHETER-FOLEY-26FR X 30CC,,36,270
CSV000430,HOLLISTER FLANGE 1 3/4,,36,270
CSV000881,"ELECTRODES-REHAB-2 1/4x2""(PT)",,36,270
CSV001103,SUTURE-5-0 ETHILON 1666G,,36,270
CSV001119,SUTURE-4-0 PROLENE-8699G,,36,270
CSV002109,CATHETER-THORACIC 24 FR,,36,270
CSV003079,PROTECTOR-HEEL/ELBOW-MED-LG,,36,270
CSV003080,PROTECTOR-HEEL/ELBOW-EX LG-gel,,36,270
CSV003348,PROTECTOR-HEEL/ELBOW SMALL-GEL,,36,270
CSV004560,TUBING-NASAL-PEDIATRIC,,36,270
CSV004727,SUTURE-PRO 5-0-MONFIL PC-1,,36,270
CSV000009,ARMBOARD-BENDABLE-DALE-MED,,36.5,270
CSV000999,SPLINT-COLLES-LARGE-RIGHT,,36.5,270
CSV001233,LAVAGE TUBE 36FR,,36.5,270
CSV002650,ELECTRODE  REM POLYHESIVE II,,36.5,270
CSV000132,CATHETER-THORACIC-12FR,,37,270
CSV001088,CLAVICLE STRAP-MED-YOUTH,,37,270
CSV001385,AERO CHAMBER-ADULT,,37,270
