CDMCHRG#,CDMDSC,NEWPRICE,STAT
4015707,US APPENDICITIS,1931,
4015723,US SCROTUM,2098,
4015848,US NEEDLE GUIDANCE PROC,3141,
4016044,US ABSCESS OR DRAINAGE W/CATH PLACE,3948,
4016374,GALLIUM GA-67 DX PER MCI,612,
4016382,IN-111 PENTETAT DX 0.5MCI,6104,
4016390,IN111 OXYQUINOL DX/0.5MCI,10234,
4016424,I-123 NA IO DX 100UCI/CAP,251,
4016499,THALLIUM TL201 DX PER MCI,253,
4016507,XENON XE-133 DX PER 10MCI,159,
4016523,I-131 NA IODID CAP DX/MCII,168,
4017521,CHEST DRAINAGE SET LVL 3,249,
4019881,US DUPLEX ABDOMEN/PELVIS,2348,
4019899,ANGIO INFERIOR VENA CAVA,8066,
4300018,NM ANGIOGRAM RADIONUCLIDE,2525,
4300042,NM PARATHYROID IMAGING,4589,
4300075,NM THYROID THRPY HYPER INIT,1720,
4300109,NM THYROID THRPY CANCER IP,4947,
4300166,NA GLUCEPTATE DX TO 25MCI,1113,
4300190,NM RENAL CORTICAL IMAGING,5371,
4300232,NM THERAPY NON THYROID,856,
4300257,NM ISOTP STRONTIUM 89/MCI,2764,
4300265,SESTAMIBI DX TO 40MCI,503,
4300299,NM LIVER IMAGINGW/VASC FLOW,2483,
4300307,NM THYROID WHOLE BODY(I131),5497,
4300349,NM THYRD THERAPY CANCER OP,1720,
4300356,NM ISO DICOPAC KT COBALT,1031,
4300372,NM RENAL W/PHARM INTERVEN,5318,
4300414,NM LYMPHOSCINTIGRAPHY,6779,
4300430,NM PROSTASCINT STUDY,4707,
4300463,NM THYROID I131 UPTAKE,1430,
4300471,NM ISOTOPE NEOTECT,3621,
4300505,MACROAG ALBUM DX TO 10MCI,195,
4300513,NM RED CELL MASS SINGLE,5106,
4300539,SULFUR COLLOD DX TO 20MCI,195,
4300554,IN111 SATUMOMAB DX TO 6MCS,15637,
4300562,NM PERTECHNETATE PER MCI,195,
4300588,MEBROFENIN DX TO 15MCI,195,
4300596,PENTETATE DX UP TO 25MCI,389,
4300612,LABELED RBC DX TO 30MCIT,11848,
4300646,IN-111 CAPROMAB TO 10MCI,13785,
4300653,NM BRACHYTHPY STRD PALL103 EA,363,
4300661,NM SPLEEN W/VASCULAR FLOW,3423,
4300679,NM PROSTATE NEEDLE EACH,47,
4300687,NM PROSTATE IMPLANT COMPLEX,1729,
4300703,NM PROSTATE UTRASOUND GUIDE,1598,
4300711,NM BRACH SOURCE CESIUM131,398,
4300729,NM LIVER IMAGING,2483,
4300737,NM LIVER IMAG SPECT HEMANGI,3803,
4300828,NM LIVER SPECT W/VASC FLOW,5296,
4300836,NM ND PROSTATE IMPLANT-PALLADIUM,759,
4300851,IN-111 PENTETR DX TO 6MCI,9645,
4300885,NM THYROID THERAPY HYPERTHY,1720,
4300893,NM ISO CERETEC(TECH TC-99M),2627,
4300950,NM BONE MARROW MULT LTD,2028,
4301016,NM MYOCAR SPECT WALL SNGL,5488,
4301024,NM GASTROESOPHAGEAL REFLUX,2987,
4301032,NM BONE 3 PHASE,6592,
4301040,NM MYOCAR SPECT WALL MULT,6612,
4301057,NM GASTRIC EMPTYING,4452,
4301065,NM KIDNEY SPECT,6115,
4301123,NM CARD BLD POOL 1ST PASS,4591,
4301156,NM CARD BLD POOL 1ST MULTI,4721,
4301164,NM HEPATOBILIARY SYSTEM IMAG,7348,
4301172,NM RBC STUDY (GI BLEED),4492,
4301180,NM HEPATOBILIARY SYS W/RX,10065,
4301206,NM BOWEL IMAGING(MECKEL),3026,
4301214,NM PULMON VENTILATION IMAGING,3766,
4301222,NM THYROID UPTAKE MEASUREMENT,584,
4301230,NM PERITONEAL SHUNT(LEVEEN),2986,
4301248,NM PUL VENT PERFUSION IMAGING,6726,
4301255,NM THYROID IMAGING,583,
4301271,NM PUL PERFUSION QUANT DIFF,7734,
4301289,NM THYROID IMAGING W MEASURE,1190,
4301305,NM PUL PERFUSN VENT QUANT DIFF,8894,
4301321,NM BONE SCAN 1 AREA,3414,
4301347,NM GASTRIC EMPTYING SB TRANSIT,934,
4301354,NM BONE SCAN LMT MULTI AREA,4363,
4301362,NM GASTR EMPTY SB&COLON TRANS,1238,
4301370,I-123 NA IOD DX PER MCI,1884,
4301388,NM BONE SCAN WHOLE BODY,4742,
4301396,RA 223 DICHLOR THERA /UCI,141,
4301404,TILMANOC TC99 /50MCG 250MCG KT,1293,
4301487,NM MUSCULOSKELETAL SPECT,4316,
4301537,NM EF WALL MOTION (MUGA),4589,
4301560,NM EF WALL (MUGA)W/EXERCIS,4540,
4301586,NM CARDIAC REST/STRESS SPECT,5488,
4301636,NM MYOCARD INFARCT SPECT,4126,
4301685,NM CARDIAC REST PLANAR,5488,
4301776,NM MYOCARDIAL INFARCT (PYP),2955,
4301800,NM CARDIAC SHUNT DETECTION,1881,
4302048,NM LUNG SCAN PERFUSION ONLY,4776,
4302238,NM BRAIN IMAGING SPECT,1968,
4302253,NM BRAIN W/VASC FLOW COMP,2596,
4302287,NM BRAIN FLOW,1546,
4302311,NM CISTERNOGRAM,3775,
4302345,NM CSF SHUNT EVALUATION,3589,
4302378,NM CSF LEAK DETECTION,2707,
4302527,NM RENAL W FLOW&FUNC TRIPLE,7126,
4302642,NM TESTES IMAGING W/FLOW,1981,
4302766,NM TUMOR LOCALIZATION LIMIT,2356,
4302774,NM TUMOR LOCALIZATION SPECT,5111,
4302790,NM TUMOR LOCALIZATION TOTAL,4368,
4302824,NM WHITE BLOOD CELL LOC LTD,3017,
4302857,NM WHITE BLOOD CELL LOC TOT,5485,
4302972,MEDRONATE DX UP TO 30MCI,195,
4400016,CT ND PELVIS W/CONTRAST RAD TX,5594,
4400040,CT ABDOMEN FOR KIDNEY STONE,6298,
4400073,CT ND CHEST WO CONTRAST RAD TX,3694,
4400081,CT SINUS SCREENING W/O CON,4672,
4400115,CT 3D W SEPARATE WKSTATN,4476,
4400149,CT ORBITS W/O CON,4438,
4400164,CT ANGIO LOW EXTREM W BIL,10863,
4400198,CT UPPER EXTR W/O CONT RT,4465,
4400206,CT ANGIO LOW EXTREM W UNI,7245,
4400222,CT UPPER EXTR W/O CONT LT,4465,
4400255,CT UPPER EXTR W/CONTRAST RT,5446,
4400263,CT ANGIO UPP EXT W LTD BI,7903,
4400289,CT UPPER EXTR W/CONTRAST LT,5446,
4400313,CT LOWER EXTR W/O CONTST RT,5418,
4400321,CT APPENDICITIS,5594,
4400347,CT LOWER EXTR W/O CONTST LT,5418,
4400404,CT LOWER EXTR W/CONTRAST RT,6718,
4400412,CT ANG UP EXT W UNI,5532,
4400438,CT LOWER EXTR W/CONTRAST LT,6718,
4400461,CT ANGIO HEAD,6845,
4400479,CT STEREOTACTIC LOCALIZATN,1722,
4400495,CT ANGIO NECK,6556,
4400503,CT LOW EXTREM WWO UNI,8400,
4400529,CT ANGIO CHEST,7746,
4400537,CT LOW EXTREM W BIL,6718,
4400552,CT ANGIO PELVIS,6765,
4400560,CT LOW EXTREM WWO BIL,8400,
4400586,CT ANGIO ABDOMEN,6306,
4400610,CT LOW EXTREM WO BIL,5418,
4400628,CT ABSCESS OR DRAIN W/CATH,3948,
4400644,CT UPP EXTREM WWO UNI,6965,
4400677,CT UPP EXTREM WWO BILAT,9054,
4400701,CT UPP EXT W CONTRAST BIL,7080,
4400719,HOCM 300-349MG/ML IODINE,3.05,
4400735,CT UPP EXTREM WO BILAT,5803,
4400743,CT LUMBAR SPINE W CON,14114,
4400776,CT CERVICAL SPINE W CON,14982,
4400792,CT THORACIC SPINE W CON,16320,
4400800,LOCM 300-399MG/ML IODINE,1.2,
4400826,LOCM > 400 MG/ML IODINE,1.08,
4400834,CT ANGIO AORTA W RUNOFF,10342,
4400859,CT ABDOMEN PELVIS WO CON,8791,
4400867,CT PELVIS WO&W CON,6322,
4400883,CT ABDOMEN PELVIS W CON,13121,
4400917,CT ABDOMEN PELVIS WWO CON,15350,
4400958,CT ANGIO ABD/PELVIS W CON,8891,
4400982,CT CHEST WO&W CON,8999,
4401014,CT VIRTUAL COLON DIAG WO CON,306,
4401048,PLC INTERSTIT MARK PERC THORAX,4183,
4401071,CT LUNG SCREEN LOW DOSE,236,
4401097,CT HEAD STEALTH WO CON,4279,
4401121,CT HEAD STEALTH W CON,5862,
4403069,CT LIMIT OR LOCAL 21-30 LVL,4531,
4403077,CT LIMITD OR LOCAL 1-10 LVL,2750,
4403085,CT LIMIT OR LOCAL 11-20 LVL,3802,
4403093,CT LIMIT OR LOCAL 31+ LEV,5443,
4404117,CT SAGIT/CORNAL VW/3D RECON,2986,
4404265,CT RAD THERAPY 31+ LEVELS,5790,
4404539,CT BRAIN  W/O CON,4279,
4404562,CT BRAIN W/CON,5862,
4404596,CT HEAD WO&W CON,7019,
4404620,CT PF/IAC/SELLA W/O CON,4438,
4404653,CT PF/IAC/SELLA W/CON,5192,
4404687,CT PF/IAC/SELLA W/WO CON,5725,
4404711,CT FACIAL W/O CON,4672,
4404745,CT FACIAL W/CON,5652,
4404802,CT NECK SOFT TISSUE W/O CON,6093,
4404836,CT NECK SOFT TISSUE W/CON,7342,
4404869,CT NECK SOFT TISSUE W/WO CON,8737,
4404893,CT CHEST W/O CON,3694,
4404927,CT CHEST W/CON,7245,
4404984,CT C SPINE W/O CON,7604,
4405072,CT T SPINE W/O CON,8284,
4405163,CT L SPINE W/O CON,7165,
4405254,CT PELVIS W/O CON,2852,
4405288,CT PELVIS W/CON,5594,
4405528,CT ABDOMEN W/O CON,6298,
4405551,CT ABDOMEN W/CON,9708,
4405585,CT ABDOMEN W/WO CON,11283,
4405619,CT NEEDLE PLCMT BX/ASP/INJ J,5495,
4405676,CT RAD THERAPY 1-10 LEVELS,1571,
4405718,CT RAD THERAPY 11-20 LEVELS,2196,
4405726,CT RAD THERAPY 21-30 LEVELS,3497,
4415980,CT SINUS COMPLT/FACL LTD WO,4672,
4500112,ACETAMINOPHEN SUPP 650 MG,0,1
4500282,HYOSCYAMINE 0.125 MG TAB SL,0,1
4510087,HYDRALAZINE INJ 20 MG/1 ML,0,1
4513099,MEPIVACAINE HCL INJ 1.5% 30ML INJ,0,1
4518130,QUINIDINE GLUCONATE INJ 80 MG/1 ML,0,1
4538864,ONDANSETRON 4MG/5ML ORAL SOL,0,1
4700340,TRIAMCINOLONE AC 40 MG/ML VIAL,0,1
4700357,TRIAMCINOLONE AC 40 MG/ML VIAL,0,1
4700381,TRIAMCINOLONE ACET 10 MG/ML VI,0,1
4700688,CEFTRIAXONE 250 MG VIAL,0,1
4700696,CEFTRIAXONE 500 MG VIAL,0,1
4700704,CEFTRIAXONE INJ  1GM,0,1
4700720,MIDAZOLAM 5 MG/ML VIAL,0,1
4700738,FLUOROURACIL 50 MG/ML VIAL,0,1
4700746,MIDAZOLAM 1 MG/ML  VIAL,0,1
4700761,FLUMAZENIL 0.1 MG/ML VIAL,0,1
4700811,GANCICLOVIR SOD 500 MG VIAL,0,1
4700837,PNEUMOCOCCAL VACC 23-VALENT VI,0,1
4701041,SIMVASTATIN 5 MG TAB,0,1
4701074,SIMVASTATIN 10 MG TAB,0,1
4701108,SIMVASTATIN 20 MG TAB,0,1
4701215,CHLOROTHIAZIDE SOD 500 MG VIAL,0,1
4701223,BENZTROPINE 1MG/ML AMP,0,1
4701249,ENALAPRILAT 1.25 MG/ML VIAL,0,1
4701264,IMIPENEM/CILASTATIN SOD 500 MG,0,1
4701272,DORZOLAMIDE 2% EYE  DROPS,0,1
4701298,FAMOTIDINE 10 MG/ML VIAL,0,1
4701348,ETHACRYNATE SOD 50 MG VIAL,0,1
4701355,DORZOLAMIDE/TIMOLOL EYE DROPS,0,1
4701405,MEASLES MUMPS&RUBELLA VACCINE,0,1
4701470,PHYTONADIONE 1MG/0.5ML,0,1
4701744,PEN G BENZ/PEN G PROCAINE 1.2,0,1
4701843,PHENOBARBITAL SOD 130 MG/ML SY,0,1
4701876,TETANUS TOXOID ADSORBED-ADULT,0,1
4701983,PHENOBARBITAL SOD 60 MG/ML SYR,0,1
4702023,AMIODARONE HCL 50 MG/ML AMP 3M,0,1
4702189,METHYLprednisoLONE40 MG VIAL,0,1
4702197,METHYLprednisoLONE 125 MG VIAL,0,1
4702262,GELFOAM SIZE 100 SPONGE,0,1
4702288,GELFOAM COMPRESSED SPONGE,0,1
4702312,MEDROxyPROGESTERone AC 400 MG/,0,1
4702338,METHYLprednisoLONE 500MG,0,1
4702353,CLINDAMYCIN  INJ  150MG,0,1
4702361,HYDROCORTISONE 100 MG VIAL,0,1
4702395,CLINDAMYCIN  INJ  150MG,0,1
4702411,CLINDAMYCIN  INJ  150MG,0,1
4702437,HYDROCORTISONE 250 MG VIAL,0,1
4702445,HYDROCORTISONE 500 MG VIAL,0,1
4702460,METHYLprednisoLONE AC 40 MG/ML,0,1
4702494,SOLU-MEDROL 1000MG VIAL,0,1
4702528,METHYLprednisoLONEAC 80 MG/ML,0,1
4702585,IBUTILIDE FM0.1MG/ML10ML INJJG,0,1
4702783,LATANOPROST 0.005% EYE  DROPS,0,1
4702817,MEGACE ES 625MG/5ML,0,1
4702932,PACLITAXEL 30 MG VIAL,0,1
4703013,NAFCILLIN 1 GM VIAL,0,1
4703021,NAFCILLIN 2 GM VIAL,0,1
4703062,AMPICILLIN 250MG INJECTION,0,1
4703070,AMPICILLIN 500 MG VIAL,0,1
4703146,LANOLIN/MIN OIL/PETROLAT EYE O,0,1
4703195,PERMETHRIN 5% CRM(GM),0,1
4703658,CIPROFLOXACIN  500 MG TAB,0,1
4703740,CIPROFLOXACIN LACT 10 MG/ML VI,0,1
4703880,TERBUTALINE 1MG/ML AMP,0,1
4704086,AMOXICILLIN/CLAV 400-57/5ML 50ML,0,1
4704441,POVIDINE-IODINE 10% SOL,0,1
4704458,POVIDINE-IODINE DOUCHE SOL,0,1
4704474,POVIDONE-IODINE 10% OINT PKT,0,1
4704482,POVIDONE-IODINE 10% OINT(GM),0,1
4705018,ESTROGENS CONJ 25MG/5ML INJJG,0,1
4705109,ESTROGENS CONJUGATED VAGINAL C,0,1
4705349,FLUCONAZOLE/NS 200MG/100ML IVP,0,1
4705414,SERTRALINE HCL 50 MG TAB,0,1
4705430,SERTRALINE HCL 100 MG TAB,0,1
4705505,ROCURONIUM BR 10 MG/ML VIAL,0,1
4705521,COSYNTROPIN 0.25 MG VIAL,0,1
4705539,METHADONE HCL 10 MG/ML,0,1
4705802,MORPHINE SULF 20 MG/ML SOL,0,1
4706792,OLOPATADINE HCL 0.1%  EYE DROP,0,1
4706800,BRINZOLAMIDE 1% EYE DROPS,0,1
4706867,TOBRAMYCIN 0.3% OINT(GM),0,1
4706875,TOBRAMYCIN 0.3%/DEXAMETH 0.1%,0,1
4706883,TOBRAMYCIN/DEXAMETH EYE OINT(G,0,1
4706891,CIPROFLOXACIN HCL 0.3% EYE  DR,0,1
4706909,CIPROFLOXACIN HCL 0.3% EYE  DR,0,1
4707121,AMLODIPINE 5 MG TAB,0,1
4707295,ATORVASTATIN CA 20 MG TAB,0,1
4707493,GABAPENTIN 300 MG CAP,0,1
4707568,FOSPHENYTOIN SOD  75MG/ML VIAL JG,0,1
4707576,KETAMINE HCL 50 MG/ML VIAL,0,1
4707584,KETAMINE HCL 100 MG/ML VIAL,0,1
4707691,MEPERIDINE HCL 25 MG/ML SYR,0,1
4707709,MEPERIDINE HCL 50 MG/ML SYR,0,1
4707758,MORPHINE SULF 4MG/ML SYR,0,1
4707766,MORPHINE SULF 8MG/ML SYR,0,1
4707790,MORPHINE SULF 10MG/ML SYR,0,1
4707899,VALPROATE SOD 100 MG VIAL,0,1
4707923,MORPHINE SULF 2MG/ML SYR,0,1
4708087,ASCORBATE SOD  INJ,0,1
4708111,LIDOCAINE 0.5%/EPI 1:200 000 V,0,1
4708129,LIDOCAINE 1%/EPI 1:100000 20ML VIAL,0,1
4708137,LIDOCAINE 2%/EPI 1:100 000 VIA,0,1
4708186,ASCORBIC ACID 90MG/ML  DROPS,0,1
4708301,CHLOROPROCAINE HCL 3% VIAL,0,1
4708319,LIDOCAINE 0.5% VIAL,0,1
4708327,LIDOCAINE 1% VIAL,0,1
4708335,LIDOCAINE-MPF 2% VIAL,0,1
4708350,LIDOCAINE 1% VIAL,0,1
4708467,DEXTROSE 50%-WATER PFS 50ML,0,1
4708491,LIDOCAINE HCL 2% ABBOJECT,0,1
4708582,ISOPROTERENOL HCL 0.2 MG/ML SY,0,1
4708590,SOD BICARB 4.2% PFS 10ML,0,1
4708921,ERYTHROMYCIN LACTO 500MG INJJG,0,1
4708939,SOD BICARBONATE 4.2% VIAL 5ML,0,1
4708970,SOD BICARB 8.4% PFS 50ML,0,1
4708988,DEXT 50%/W VIAL,0,1
4709002,POTASSIUM CL,0,1
4709028,NOREPINEPHRINE 1 MG/ML AMP,0,1
4709234,PHYTONADIONE 10 MG/ML AMP,0,1
4709382,DESMOPRESSIN AC  INJ JG,0,1
4709390,DESMOPRESSIN AC  INJ JG,0,1
4709432,DIHYDROERGOTAM1MG/ML 1ML INJJG,0,1
4709457,METHYLERGONOVINE MAL 0.2 MG/ML,0,1
4709671,OCTREOTIDE AC  0.05MG,0,1
4709689,OCTREOTIDE AC 0.1MG,0,1
4709697,OCTREOTIDE AC 0.5MG,0,1
4709788,CALCITONIN 200 UNIT/INH NASAL SPRAY,0,1
4709929,PAMIDRONATE 30 MG VIAL,0,1
4710109,BETAMETHASONE SOLUSPAN 6MG/ML,0,1
4710281,EPTIFIBATIDE 0.75MG/ML-100ML JG,0,1
4710299,EPTIFIBATIDE 2 MG/ML VIAL 10ML JG,0,1
4710752,NITROGLYCERIN 2% OINT 1GM,0,1
4711248,AMOXICILLIN 250 MG /5ML 150ML SUSP,0,1
4711305,SULFA/TMP 200-40MG/5ML,0,1
4711982,HYDROCORTISONE 2.5% 30GM RECTAL CRM,0,1
4711990,NYSTATIN/TRIAMCIN CRM(GM),0,1
4712071,SURGILUBE JELLY,0,1
4712097,SURGILUBE JELLY,0,1
4712279,ZIDOVUDINE 10 MG/ML VIAL,0,1
4712402,DIGOXIN 0.1 MG/ML AMP,0,1
4712444,RANITIDINE HCL 25 MG/ML VIAL,0,1
4712626,ONDANSETRON HCL 2 MG/ML VIAL,0,1
4712667,SUMATRIPTAN 6 MG VIAL,0,1
4712766,FLUTICASONE 44 MCG AER W/ADAP,0,1
4712774,FLUTICASONE 110 MCG AER W/ADAP,0,1
4712782,FLUTICASONE 220 MCG AER W/ADAP,0,1
4712808,CISATRACURIUM BESYL 10 MG/ML V,0,1
4712824,CISATRACURIUM BESYL 2 MG/ML VI,0,1
4713277,ANTIPYRINE/BENZOCAINE/GLYCERIN,0,1
4713988,LIDOCAINE 1%/EPI 1:200 000 VIA,0,1
4714010,LIDOCAINE 2%/EPI 1:200 000 VIA,0,1
4714044,LIDOCAINE-MPF 2% VIAL,0,1
4714051,LIDOCAINE-MPF 2% VIAL,0,1
4714085,LIDOCAINE 1% VIAL,0,1
4714127,LIDOCAINE 2% JELLY,0,1
4714150,MEPIVACAINE HCL 15 MG/ML VIAL,0,1
4714168,FUROSEMIDE 10 MG/ML,0,1
4714184,DOPamine HCL 40 MG/ML PFS 10ML,0,1
4714192,ATROPINE SULF 0.1 MG/ML PFS 10,0,1
4714218,CALCIUM CL 10% PFS 10ML,0,1
4714267,BUPIVACAINE/DEX 0.75% AMP,0,1
4714275,BUPIVACAINE/EPI 0.25%/1:200 00,0,1
4714283,BUPIVACAINE/EPI 0.5%/1:200 000,0,1
4714291,SENSORCAINE 0.25% VIAL,0,1
4714317,BUPIVACAINE 0.25% VIAL,0,1
4714325,SENSORCAINE/EPI 0.25%/.0005,0,1
4714333,BUPIVACAINE 0.5% INJ,0,1
4714358,SENSORCAINE/EPI 0.5%/0.0005,0,1
4714366,BUPIVACAINE 0.5% INJ,0,1
4714374,BUPIVACAINE 0.75% VIAL,0,1
4714382,BUPIVACAINE/EPI 0.75%/1:200 00,0,1
4714424,FUROSEMIDE 10 MG/ML VIAL,0,1
4714457,MVI 12 COMBO,0,1
4714481,NALOXONE HCL 0.4 MG/ML VIAL,0,1
4714564,CALCITONIN INJ 200 U,0,1
4714630,DOBUTamine HCL 12.5 MG/ML VIAL,0,1
4714812,PIPERACILLIN/TAZO 2.25GM PREMIX,0,1
4714820,PIPERACILLIN/TAZO 3.375GM PREMIX,0,1
4714838,PIPERACILLIN/TAZO 4.5GM PREMIX,0,1
4714895,HYDROMORPHONE   INJ 10MG/ML 5ML,0,1
4714903,LORAZEPAM 2 MG/ML VIAL,0,1
4714945,PENICILLIN G POT 5 MILU VIAL,0,1
4714986,VECURONIUM BR  10 MG VIAL,0,1
4715264,SINCALIDE 5 MCG VIAL,0,1
4715280,BENZOCAINE 20% (DERMOPLAST) 60 ML,0,1
4715553,CHLORHEXIDINE 4% LIQ,0,1
4715561,CHLORHEXIDINE 4% LIQ,0,1
4715678,FAT EMULSION 20% 500ML ADDITIVE,0,1
4716338,NEOMY SULF/POLYMYXIN B SULF AM,0,1
4716437,BACITRACIN 50 000 U  VIAL,0,1
4716643,ASCORBIC ACID  INJ,0,1
4716668,PROGESTERONE OIL 50 MG/ML VIAL,0,1
4716726,BETAMETHASONE SOD PHOS 3MG/ML,0,1
4717161,HYDROGEN PEROXIDE 3% SOL,0,1
4717179,HYDROGEN PEROXIDE 3% SOL,0,1
4717401,PHYSOSTIGMINE 1 MG/ML AMP,0,1
4717435,OXYTOCIN 10 U VIAL,0,1
4717443,PYRIDOXINE 100 MG/ML VIAL,0,1
4717484,SCOPOLAMINE 0.4 MG/ML VIAL,0,1
4717492,FUROSEMIDE 10 MG/ML VIAL,0,1
4717534,ADENOSINE 3 MG/ML 30ML VIAL,0,1
4717542,ADENOSINE 3 MG/ML 2ML VIAL,0,1
4717567,GENTAMICIN 80MG/2ML IN,0,1
4717591,CALCIUM CL 100MG/ML VIAL,0,1
4717658,FOLIC ACID 5 MG/ML VIAL,0,1
4717666,SOD PHOS 3 MM/ML VIAL,0,1
4717674,VANCOMYCIN 500MG INJ,0,1
4717690,PROTAMINE SULF 10 MG/ML VIAL,0,1
4717708,PROTAMINE SULF 10 MG/ML VIAL,0,1
4717740,FLUPHENAZINE HCL 2.5 MG/ML VIA,0,1
4717799,MAGNESIUM SULF 50% VIAL,0,1
4718185,CYANOCOBALAMIN 1000 MCG/ML VIA,0,1
4718227,IRON DEXTRAN COMPLEX 50 MG/ML JG,0,1
4718292,VASOPRESSIN 20 U VIAL,0,1
4718300,epiNEPHrine  INJ 1MG,0,1
4718359,POTASSIUM CL,0,1
4718367,POTASSIUM PHOS 3MMOL/ML 15ML ADDIT,0,1
4718391,SOD CL 4 MEQ/ML VIAL,0,1
4718417,AMINOPHYLLINE 25MG/ML VIAL,0,1
4718425,AMINOPHYLLINE 25MG/ML VIAL 20M,0,1
4718433,CALCIUM GLUC INJ,0,1
4718466,MANNITOL 25% VIAL,0,1
4718474,GLYCOPYRROLATE 0.2 MG/ML VIAL,0,1
4718508,DEXAMETHASONE 4 MG/ML,0,1
4718557,VERAPAMIL HCL 2.5 MG/ML VIAL,0,1
4718573,HYDROXyzine HCL 50 MG/ML VIAL,0,1
4719084,LIDOCAINE 2% JELLY,0,1
4719407,WARFARIN 5 MG VIAL,0,1
4719464,CLONIDINE HCL 0.2 MG/24 PATCH,0,1
4719662,DIAZEPAM 5 MG/ML VIAL,0,1
4719712,GENTAMICIN SULF 10MG/ML,0,1
4719720,HEPARIN 5 000 U/ML VIAL,0,1
4719761,PHENOBARBITAL SOD 65 MG/ML VIA,0,1
4719795,PROCHLORPERAZINE 5 MG/ML VIAL,0,1
4719803,PHENYTOIN 50 MG/ML VIAL,0,1
4719811,THIAMINE HCL INJ,0,1
4719829,MORPHINE SULF 0.5MG/ML AMP PF,0,1
4719837,MORPHINE SULF 1MG/ML AMP PF,0,1
4719845,FENTANYL INJ,0,1
4719902,CHLORpromAZINE HCL 25 MG/ML AM,0,1
4719928,DIGOXIN 0.25 MG/ML AMP,0,1
4719944,NALOXONE 0.4MG/ML AMPUL,0,1
4719951,PROMETHAZINE HCL 25 MG/ML AMP,0,1
4720074,HEPARIN 1 000 U/ML 30ML VIAL,0,1
4720090,PHENYTOIN 50 MG/ML VIAL,0,1
4720116,SULFAMETHOX/TMP 80-16/ML 20ML VIAL,0,1
4720249,PANCURONIUM BR  1 MG/ML VIAL,0,1
4720256,DEXAMETHASONE SOD PHOS 10 MG/M,0,1
4720314,ETOPOSIDE 20 MG/ML VIAL,0,1
4720322,TOBRAMYCIN SULF 40 MG/ML VIAL,0,1
4721189,METOPROLOL 1MG/ML AMP,0,1
4721569,CARBAMIDE PEROXIDE 6.5% EAR  D,0,1
4721783,METRONIDAZOLE HCL 500 MG VIAL,0,1
4722096,ESMOLOL HCL 10 MG/ML VIAL 10ML,0,1
4722120,FENTANYL INJ,0,1
4722153,SUFENTANIL CIT 50 MCG/ML AMP,0,1
4722179,NITROPRUSSIDE SOD 25 MG/ML VIA,0,1
4722187,PHENYLEPHRINE 10 MG/ML VIAL,0,1
4722211,EDROPHONIUM/ATROPINE  VIAL,0,1
4722229,ATROPINE SULF 0.4 MG/ML VIAL,0,1
4722427,ALFENTANIL HCL  INJ,0,1
4722435,ALFENTANIL HCL  INJ,0,1
4722948,ERYTHROMYCIN EYE OINT(GM),0,1
4723078,PROPRANOLOL HCL 1 MG/ML VIAL,0,1
4723094,HALOPERIDOL 5 MG/ML VIAL,0,1
4723409,MENINGOCOCCAL VAC A C Y W-135,0,1
4723516,ALBUMIN 5% 12.5GM 250ML INJJG,0,1
4723524,ALBUMIN 5% 25GM 500ML INJJG,0,1
4723540,ALBUMIN 25% 25GM 100ML INJJG,0,1
4723573,NICOTINE 21 MG/24 PATCH,0,1
4723623,RITUXIMAB 10MG/ML 10ML SDVJG,0,1
4723656,ALTEPLASE 100MG INJJG,0,1
4723680,TRASTUZUMAB PER 10MG MDVJG,0,1
4725594,GOLYTELY 4 LITER,0,1
4725693,THROMBIN 5000 U VIAL,0,1
4725743,LUBRIDERM UNSCENTED LOT,0,1
4726063,LEUCOVORIN CA INJ 50MG,0,1
4726121,MITOMYCIN 5MG INJJG,0,1
4726154,ACETAzolaMIDE SOD INJ,0,1
4726188,BUMETANIDE 0.25 MG/ML VIAL,0,1
4726212,ETOMIDATE 2 MG/ML VIAL,0,1
4726220,EPHedrINE SULF  INJ   50MG,0,1
4726238,FILGRASTIM 300 MCG/1ML JG,0,1
4726246,FILGRASTIM 300MCG/ML-1.6ML JG,0,1
4726311,AMOXICILLIN 500 MG CAP,0,1
4726329,AMOXICILLIN 250MG CAPSULE,0,1
4726485,INFLIXIMAB 100MG INJJG,0,1
4726501,HEPATITIS A VAC,551,
4726519,HEPATITIS B  VAC,244,
4726923,EPOETIN 2000U INJ JG,0,1
4726964,EPOETIN 10000U INJ JG,0,1
4726980,EPOETIN 20000U INJ JG,0,1
4727053,ALBUTEROL 90 MCG AER W/ADAP,0,1
4727442,TOBRAMYCIN 0.3%  EYE DROPS,0,1
4727459,DOXORIC LIP 20MG/10ML INJJG,0,1
4727483,AMIKACIN SULF  INJ,0,1
4727517,METOCLOPRAMIDE 5MG/ML VIAL,0,1
4727533,NITROGLYCERIN 5 MG/ML VIAL,0,1
4727541,VINCRISTINE 1 MG/ML VIAL,0,1
4727566,ACYCLOVIR 50MG/ML 10ML INJ,0,1
4727574,ETHYL ALCOHOL 98% AMP,0,1
4727608,CIDOFOVIR 75MG/ML 5ML INJJG,0,1
4727731,CEFAZOLIN  INJ  1GM,0,1
4727806,NALOXONE 1MG/ML 2ML PFS,0,1
4727830,CLOPIDOGREL BISULF 75 MG TAB,0,1
4727913,RID PEDICULICIDE SHAMPOO,0,1
