Description, Price ,HCPCS Code,,,,,,,,,
ANGIOTENSIN CONV ENZYME,$37.12 ,82164,,,,,,,,,
"ARSENIC, SERUM OR PLASMA LC",$40.50 ,82175,,,,,,,,,
BETA 2 MICROGLOBULIN,$124.00 ,82232,,,,,,,,,
NEONATAL BILIRUBIN,$44.87 ,82247,,,,,,,,,
"BILIRUBIN, TOTAL",$44.87 ,82247,,,,,,,,,
BILI-DIRECT,$49.70 ,82248,,,,,,,,,
.BLOOD OCCULT FECES NH,$4.58 ,82270,,,,,,,,,
IMMUNO FECAL OCCULT BLOOD TEST,$26.00 ,82270,,,,,,,,,
OCCULT BLD GASTRIC,$17.00 ,82271,,,,,,,,,
"BLOOD OCCULT, FECES NH",$4.58 ,82272,,,,,,,,,
"BLOOD, OCCULT FECES",$25.80 ,82272,,,,,,,,,
CADMUIM,$40.00 ,82300,,,,,,,,,
.VITAMIN D HYDROXY LC NH,$40.91 ,82306,,,,,,,,,
.VITAMIN D 25 HYDROXY NH,$42.27 ,82306,,,,,,,,,
VITAMIN D HYDROXY LC,$53.57 ,82306,,,,,,,,,
.VITAMIN D 25 HYDROXY,$90.67 ,82306,,,,,,,,,
CALCITONIN SERUM,$135.00 ,82308,,,,,,,,,
.CALCIUM NH,$7.36 ,82310,,,,,,,,,
"CALCIUM SERUM,LC",$35.19 ,82310,,,,,,,,,
CALCIUM,$35.19 ,82310,,,,,,,,,
CALCIUM IONIZED SERUM,$31.02 ,82330,,,,,,,,,
"CALCIUM,24HR,URINE",$14.50 ,82340,,,,,,,,,
"CALCULI, URINARY",$192.50 ,82360,,,,,,,,,
CARBOHYDRATE DEF TRANSFERRIN (CDT),$155.00 ,82373,,,,,,,,,
CARBON DIOXIDE (C02,$36.45 ,82374,,,,,,,,,
CARBON MONOXIDE,$132.00 ,82375,,,,,,,,,
CEA NH,$26.88 ,82378,,,,,,,,,
CEA,$88.00 ,82378,,,,,,,,,
BETA CAROTINE,$158.09 ,82380,,,,,,,,,
"CATECHOLAMINES,FRACT, 24HR URINE",$61.79 ,82382,,,,,,,,,
CATECHOLAMINES SERUM,$162.75 ,82383,,,,,,,,,
CATECHOLAMINES FRACTIONATED PLASMA,$193.43 ,82384,,,,,,,,,
CERULOPLASMIN,$42.75 ,82390,,,,,,,,,
CHLORIDE,$43.67 ,82435,,,,,,,,,
CHLORIDE URINE,$40.75 ,82436,,,,,,,,,
CSF CHLORIDE,$44.00 ,82438,,,,,,,,,
CHOLESTEROL,$50.80 ,82465,,,,,,,,,
THIN LAYER ANALYTE,$54.00 ,82489,,,,,,,,,
COENZYME Q10 TOTAL,$158.00 ,82491,,,,,,,,,
URINE CITRATE,$150.00 ,82507,,,,,,,,,
"COPPER, SERUM OR PLASMA",$98.00 ,82525,,,,,,,,,
"CORTISOL,UR FREE,24 HR.",$76.50 ,82530,,,,,,,,,
CORTISOL TOTAL(SERUM),$18.27 ,82533,,,,,,,,,
.SERUM CREATINE NH,$6.61 ,82540,,,,,,,,,
SERUM CREATINE,$34.75 ,82540,,,,,,,,,
CREATINE /URINE 24HR,$34.75 ,82540,,,,,,,,,
.LEVETIRACETAM NH,$25.79 ,82542,,,,,,,,,
MYCOPHENOLIC ACID METABOLITE LC,$80.00 ,82542,,,,,,,,,
MYCOPHENOLIC ACID GLUCURONIDE,$80.00 ,82542,,,,,,,,,
.LEVETIRACETAM NH,$82.50 ,82542,,,,,,,,,
LEVETIRACETAM,$134.37 ,82542,,,,,,,,,
FLECAINIDE (TAMBOCOR) SERUM,$158.00 ,82542,,,,,,,,,
.DEXAMETHASONE,$160.00 ,82542,,,,,,,,,
THIOPURINE METHYLTRANSFERASE ENZYME ACTI,$300.00 ,82542,,,,,,,,,
CPK TOTAL NH,$9.23 ,82550,,,,,,,,,
CPK TOTAL LABCORP,$59.40 ,82550,,,,,,,,,
CPK TOTAL,$59.40 ,82550,,,,,,,,,
CPK ISOENZYMES,$71.00 ,82552,,,,,,,,,
.CK MB NH,$16.37 ,82553,,,,,,,,,
.CK-MB ISTAT,$103.13 ,82553,,,,,,,,,
CK-MB LABCORP,$103.13 ,82553,,,,,,,,,
CK-MB,$103.13 ,82553,,,,,,,,,
.SERUM CREATININE NH,$6.61 ,82565,,,,,,,,,
SERUM CREATININE,$39.00 ,82565,,,,,,,,,
URINE CREATININE RANDOM,$17.90 ,82570,,,,,,,,,
"CREATININE,24HR URINE",$40.75 ,82570,,,,,,,,,
CREATININE OTHER SOURCE,$40.75 ,82570,,,,,,,,,
CREATININE CLEARANCE,$88.22 ,82575,,,,,,,,,
CRYOGLOBULIN,$42.45 ,82595,,,,,,,,,
.VITAMIN B12 LC NH,$21.52 ,82607,,,,,,,,,
VITAMIN B12 LC,$32.20 ,82607,,,,,,,,,
DHEA DEHYDROEPIADRO,$80.50 ,82626,,,,,,,,,
DHEA-SULFATE,$132.00 ,82627,,,,,,,,,
DIHYDROTESTOSTERONE,$180.00 ,82651,,,,,,,,,
CALCITRIOL,$256.00 ,82652,,,,,,,,,
"PANCREATIC ELASTASE, FECAL",$399.03 ,82656,,,,,,,,,
ERYTHROPOIETIN,$123.50 ,82668,,,,,,,,,
ESTRADIOL,$48.13 ,82670,,,,,,,,,
ESTROGEN,$41.17 ,82672,,,,,,,,,
AFP TETRA-ESTRIOL,$80.03 ,82677,,,,,,,,,
FECAL FAT QUALITATIVE,$110.00 ,82705,,,,,,,,,
.FERRITIN LC NH,$19.46 ,82728,,,,,,,,,
FERRITIN LC,$22.74 ,82728,,,,,,,,,
.FOLATE SERUM LC NH,$17.86 ,82746,,,,,,,,,
FOLATE SERUM LC,$41.76 ,82746,,,,,,,,,
FOLATE RBC,$121.00 ,82747,,,,,,,,,
IGA SERUM QUANTATIVE,$30.25 ,82784,,,,,,,,,
IGM,$30.25 ,82784,,,,,,,,,
IGG,$30.25 ,82784,,,,,,,,,
.IGA TOTAL,$40.00 ,82784,,,,,,,,,
IGE,$40.00 ,82785,,,,,,,,,
IGE TOTAL,$102.70 ,82785,,,,,,,,,
ALLERGEN PROFILE WITH TOTAL IGE AREA 8 L,$371.54 ,82785,,,,,,,,,
IGG SUBCLASS 4 LC,$31.62 ,82787,,,,,,,,,
VENOUS PH,$88.00 ,82800,,,,,,,,,
.ARTERIAL BLOOD GAS NH,$27.42 ,82803,,,,,,,,,
ARTERIAL BLOOD GAS,$135.44 ,82803,,,,,,,,,
GASTRIN,$64.75 ,82941,,,,,,,,,
GLUCOSE CSF,$56.08 ,82945,,,,,,,,,
"GLUCOSE, SERUM",$37.25 ,82947,,,,,,,,,
GTT 1 HOUR,$45.00 ,82950,,,,,,,,,
GTT (3 SPEC),$95.47 ,82951,,,,,,,,,
GTT EACH ADDITIONAL,$24.75 ,82952,,,,,,,,,
G6PD SCREEN,$65.75 ,82960,,,,,,,,,
GLUCOSE GLUCOMETER NH,$3.00 ,82962,,,,,,,,,
GLUCOSE GLUCOMETER,$22.00 ,82962,,,,,,,,,
GGT,$22.33 ,82977,,,,,,,,,
GLYCATED PROTEIN,$24.75 ,82985,,,,,,,,,
FSH,$31.56 ,83001,,,,,,,,,
LH,$24.92 ,83002,,,,,,,,,
"GROWTH HORMONE ,SERUM",$73.50 ,83003,,,,,,,,,
HAPTOGLOBIN,$67.75 ,83010,,,,,,,,,
HELICOBACTER PYLORI BREATH TEST,$140.00 ,83013,,,,,,,,,
HELICOBACTER PYLORI DRUG ADMININSTRATION,$25.00 ,83014,,,,,,,,,
HEAVY METAL SCREEN,$169.50 ,83015,,,,,,,,,
COBALT LEVEL,$70.00 ,83018,,,,,,,,,
"GADOLINIUM, SERUM",$316.00 ,83018,,,,,,,,,
HGB ELECTROPHORESIS,$22.95 ,83020,,,,,,,,,
HGB FRAC (PEDI) BLOOD LC,$22.95 ,83021,,,,,,,,,
.HGB FRACTION,$114.00 ,83021,,,,,,,,,
.HGB A1C NH,$13.87 ,83036,,,,,,,,,
HEMOGLOBIN A 1C LC,$33.16 ,83036,,,,,,,,,
HGB A1C LABCORP,$69.06 ,83036,,,,,,,,,
HGB A1C,$69.06 ,83036,,,,,,,,,
HEMOGLOBIN FREE PLASMA,$69.06 ,83051,,,,,,,,,
HEMOSIDERIN,$38.50 ,83070,,,,,,,,,
HISTAMINE DETERMINATION,$302.00 ,83088,,,,,,,,,
HOMOCYSTINE,$181.00 ,83090,,,,,,,,,
HOMOVANILLIC,$123.25 ,83150,,,,,,,,,
5 HIAA,$37.72 ,83497,,,,,,,,,
5 HYDROXYINDOLEACETIC ACID,$110.00 ,83497,,,,,,,,,
DEAMIDATED GLIADIN IGA,$90.41 ,83516,,,,,,,,,
DEAMIDATED GLIADIN IGG,$90.41 ,83516,,,,,,,,,
TISSUE TRANSGLUTAMINASE(TTG)  IGG,$107.00 ,83516,,,,,,,,,
TISSUE TRANSGLUTAMINASE IGA,$107.00 ,83516,,,,,,,,,
SMOOTH MUSCLE ANTIBODY (ACTIN) (ASMA),$119.00 ,83516,,,,,,,,,
RIBOSOMAL P ANTIBODY,$119.00 ,83516,,,,,,,,,
MITOCHONDRIAL  ANTIBODY,$119.00 ,83516,,,,,,,,,
"GM1,1GG&1GM, ANTIBODIES",$186.75 ,83516,,,,,,,,,
.BNP,$156.00 ,83519,,,,,,,,,
ACETYLCHOLINE RCPTR MODULATING ABDYS,$201.96 ,83519,,,,,,,,,
GLUTAMIC DEHYDROGENASE,$250.00 ,83519,,,,,,,,,
GLUTAMIC ACID DECARBOXYLASE 65 AUTABD,$250.00 ,83519,,,,,,,,,
ACETYLCHORINE RECEPTOR  ABDY  PROFILE,$563.17 ,83519,,,,,,,,,
IGF BP3 FREE,$127.05 ,83520,,,,,,,,,
"NEUROMYELITIS OPTICA,IGG ABDY",$636.25 ,83520,,,,,,,,,
INSULIN TOTAL LC,$26.85 ,83525,,,,,,,,,
FREE INSULIN,$16.88 ,83527,,,,,,,,,
INTRINSIC FACTOR,$78.25 ,83528,,,,,,,,,
.IRON LC NH,$9.25 ,83540,,,,,,,,,
IRON LC,$45.28 ,83540,,,,,,,,,
.TOTAL IRON BINDING LC NH,$12.48 ,83550,,,,,,,,,
TOTAL IRON BINDING LC,$84.75 ,83550,,,,,,,,,
LACTATE (VENOUS),$51.00 ,83605,,,,,,,,,
.LACTIC ACID LC,$84.69 ,83605,,,,,,,,,
LDH,$22.33 ,83615,,,,,,,,,
LDH BODY FLUID,$55.08 ,83615,,,,,,,,,
ISOENZYMES SEPARATION AND QUANTITATION,$66.00 ,83625,,,,,,,,,
ISOENZYMES SEPARATION AND QUANTITATION,$66.00 ,83625,,,,,,,,,
LEAD VENOUS,$57.19 ,83655,,,,,,,,,
LEAD,$57.19 ,83655,,,,,,,,,
24 HR URINE LEAD,$70.00 ,83655,,,,,,,,,
LIPASE,$64.91 ,83690,,,,,,,,,
LIPO PROTEIN A,$94.00 ,83695,,,,,,,,,
PLACR(LP-PLA2),$240.00 ,83698,,,,,,,,,
V.A.P.,$213.00 ,83701,,,,,,,,,
"HDL, ALPHA LIPOPROTEIN PARTICLE",$32.00 ,83704,,,,,,,,,
LIPROPROTEIN PARTICLE NUMBERS QUANTITATI,$129.00 ,83704,,,,,,,,,
NMR LIPOPROFILE LC,$159.00 ,83704,,,,,,,,,
CHOL HDL,$46.25 ,83718,,,,,,,,,
CHOL VLDL,$27.50 ,83719,,,,,,,,,
CHOL LDL,$27.50 ,83721,,,,,,,,,
GONADOTROPIN RELEASING HORMONE LC,$290.00 ,83727,,,,,,,,,
.MAG (SERUM) NH,$9.57 ,83735,,,,,,,,,
MAGNESIUM URINE (24 HOUR),$13.86 ,83735,,,,,,,,,
MAG (URINE),$35.75 ,83735,,,,,,,,,
MAG (SERUM),$35.75 ,83735,,,,,,,,,
MERCURY BLOOD LEVEL,$95.00 ,83825,,,,,,,,,
METANEPHRINES LC,$51.26 ,83835,,,,,,,,,
PLASMA METANEPHRINES,$175.00 ,83835,,,,,,,,,
"MUCIN, SYNOVIAL FLUID",$33.00 ,83872,,,,,,,,,
MYOGLOBIN QUANTITAVE RANDOM URINE,$19.65 ,83874,,,,,,,,,
MYOGLOBIN (SERUM),$110.00 ,83874,,,,,,,,,
.URINE MYOGLOBIN,$132.00 ,83874,,,,,,,,,
NTBNP NH,$48.11 ,83880,,,,,,,,,
.BNP ISTAT,$250.00 ,83880,,,,,,,,,
B TYPE NATRIURETIC PEPTIDE,$250.00 ,83880,,,,,,,,,
NTBNP,$250.00 ,83880,,,,,,,,,
".KAPPA /LAMBDA FREE LIGHT CHAINS,QNT,SER",$60.00 ,83883,,,,,,,,,
FREE KAPPA/LAMBDA  LT CHAIN QNT SERUM,$97.72 ,83883,,,,,,,,,
MOLECULAR DIAGONSTICS ISOLATION OR ECTRA,$49.40 ,83890,,,,,,,,,
ISO/EXTRACT OF HIGHLY PURIFIED NUC ACID,$20.00 ,83891,,,,,,,,,
FACTOR V EXTRACTION OF NUCLEIC ACID,$72.50 ,83891,,,,,,,,,
ENZYMATIC DIGESTION ECH ENZYME TX,$50.00 ,83892,,,,,,,,,
DOT SLOT BLOT PRODUCTION ECH NUC ACID,$25.20 ,83893,,,,,,,,,
SEPERATION BY GEL ELECTROPHORESIS ECH NU,$50.00 ,83894,,,,,,,,,
NUCLEIC ACID PROBE,$35.75 ,83896,,,,,,,,,
AMPLIFICATION TARGET ECH NUCLEIC ACID SE,$20.00 ,83898,,,,,,,,,
AMP FIRST 2 NUC ACID SEQ,$20.00 ,83900,,,,,,,,,
AMPLIFICATION TARGET MULTIPLEX 1ST TWO S,$50.00 ,83900,,,,,,,,,
ID AND SEPERATION NUCLEIC ACID,$50.00 ,83909,,,,,,,,,
INTERPERTATION & REPORT,$50.00 ,83912,,,,,,,,,
METHYLMALONIC ACID,$202.69 ,83921,,,,,,,,,
HYDROCODONE FREE,$196.75 ,83925,,,,,,,,,
OSMOLALITY SERUM,$39.75 ,83930,,,,,,,,,
OSMOLALITY URINE,$12.00 ,83935,,,,,,,,,
.URINE OSMOLALITY,$60.00 ,83935,,,,,,,,,
URINE OXALATE,$88.00 ,83945,,,,,,,,,
PARATHYROID HORMONE( INTACT) LC,$56.54 ,83970,,,,,,,,,
PH STOOL LC,$8.69 ,83986,,,,,,,,,
PH BODY FLUID,$27.50 ,83986,,,,,,,,,
"CALPROTECTIN, FECAL",$200.00 ,83993,,,,,,,,,
ALKALINE PHOSPHATASE,$33.89 ,84075,,,,,,,,,
ALKALINE PHOSPHATASE HEAT STABLE,$93.50 ,84078,,,,,,,,,
.ALKALINE PHOSPHATASE FRACTION,$206.20 ,84078,,,,,,,,,
ALK PHOS ISOENZYMES,$104.00 ,84080,,,,,,,,,
PHOSPHOROUS NH,$5.00 ,84100,,,,,,,,,
PHOSPHOROUS,$31.70 ,84100,,,,,,,,,
URINE PHOSPHOROUS,$41.00 ,84105,,,,,,,,,
PROPHOBILINOGEN,$55.00 ,84106,,,,,,,,,
PORPHYRIN URINE QUAN,$169.50 ,84120,,,,,,,,,
.POTASSIUM (K) NH,$6.56 ,84132,,,,,,,,,
POTASSIUM (K),$45.48 ,84132,,,,,,,,,
POTASSIUM URINE,$40.75 ,84133,,,,,,,,,
.PREALBUMIN NH,$30.02 ,84134,,,,,,,,,
PREALBUMIN,$82.50 ,84134,,,,,,,,,
PROGESTERONE,$31.94 ,84144,,,,,,,,,
PROLACTIN,$18.71 ,84146,,,,,,,,,
PROSTAGLANDIN E2U,$483.00 ,84150,,,,,,,,,
"PSA, FREE:TOTAL RATIO REFLEX LC",$31.94 ,84153,,,,,,,,,
"PSA, FREE:TOTAL  RATIO LC",$39.41 ,84153,,,,,,,,,
PROTEIN TOTAL SERUM,$45.88 ,84155,,,,,,,,,
.PROTEIN URINE RANDOM LC,$5.70 ,84156,,,,,,,,,
"PROTEIN,RANDOM URINE LC",$9.28 ,84156,,,,,,,,,
"PROTEIN ELECTRO,24HR URINE",$29.40 ,84156,,,,,,,,,
PROTEIN TOTAL QUANT 24 HR LC,$52.03 ,84156,,,,,,,,,
.TOTAL PROTEIN 24 HR LC,$52.03 ,84156,,,,,,,,,
.SERUM PROTEIN ELECT,$60.38 ,84165,,,,,,,,,
PROTEIN ELECTRO SERUM LC,$66.00 ,84165,,,,,,,,,
URINE PROTEIN ELECTRO LC,$156.00 ,84166,,,,,,,,,
VITAMIN B6 (PLASMA),$75.12 ,84207,,,,,,,,,
RENIN PLASMA LEVEL,$97.75 ,84244,,,,,,,,,
RENIN ACTIVITY,$99.00 ,84244,,,,,,,,,
"SEROTONIN,SERUM",$99.68 ,84260,,,,,,,,,
.SODIUM (NA) NH,$6.87 ,84295,,,,,,,,,
SODIUM (NA),$35.35 ,84295,,,,,,,,,
"SODIUM, 24HR URINE",$9.90 ,84300,,,,,,,,,
URINE SODIUM,$38.50 ,84300,,,,,,,,,
SODIUM URINE,$40.75 ,84300,,,,,,,,,
SODIUM (STOOL),$101.00 ,84302,,,,,,,,,
IGF 1,$225.00 ,84305,,,,,,,,,
SPECTROPHOTOMETRY,$54.00 ,84311,,,,,,,,,
SPEC GRVTY BODY FL,$16.50 ,84315,,,,,,,,,
FECAL FAT REDUCING SUBSTANCE,$71.00 ,84377,,,,,,,,,
FREE TESTOSTERONE,$60.97 ,84402,,,,,,,,,
TESTOSTERONE TOTAL,$44.90 ,84403,,,,,,,,,
VITAMIN B1 (THIAMINE) WHOLE BLD,$77.00 ,84425,,,,,,,,,
THYROGLOBULIN ABDY LC,$28.50 ,84432,,,,,,,,,
THYROXINE TOTAL LC,$42.87 ,84436,,,,,,,,,
.FREE THYROXINE NH,$12.88 ,84439,,,,,,,,,
THYROXINE (T4) FREE DIRECT LC,$90.75 ,84439,,,,,,,,,
FREE THYROXINE,$90.75 ,84439,,,,,,,,,
THYROXINE BINDING GLOBULIN,$94.00 ,84442,,,,,,,,,
.TSH NH,$23.98 ,84443,,,,,,,,,
TSH LAB CORP,$44.00 ,84443,,,,,,,,,
TSH,$74.75 ,84443,,,,,,,,,
VITAMIN E,$70.00 ,84446,,,,,,,,,
AST,$58.39 ,84450,,,,,,,,,
ALT,$59.88 ,84460,,,,,,,,,
TRANSFERRIN,$70.55 ,84466,,,,,,,,,
TRIGLYCERIDES,$55.62 ,84478,,,,,,,,,
T3 UPTAKE LC,$30.98 ,84479,,,,,,,,,
.TRIIODOTHYRONINE ( TOTAL T3) LC NH,$20.25 ,84480,,,,,,,,,
TRIIODOTHYRONINE ( TOTAL T3) LC,$24.53 ,84480,,,,,,,,,
.TOTAL T3 LC,$67.75 ,84480,,,,,,,,,
FREE T3,$78.13 ,84481,,,,,,,,,
TROPONIN 1 NH,$13.95 ,84484,,,,,,,,,
TROPONIN I ISTAT,$150.00 ,84484,,,,,,,,,
TROPONIN I,$150.00 ,84484,,,,,,,,,
TROPONIN I LABCORP,$195.80 ,84484,,,,,,,,,
.BUN (UREA NITROGEN) NH,$5.63 ,84520,,,,,,,,,
BUN (UREA NITROGEN),$31.00 ,84520,,,,,,,,,
UREA NITROGEN URINE,$40.75 ,84540,,,,,,,,,
.URIC ACID NH,$6.46 ,84550,,,,,,,,,
URIC ACID,$57.63 ,84550,,,,,,,,,
URIC ACID BODY FLUID,$14.85 ,84560,,,,,,,,,
URINE URIC ACID,$31.30 ,84560,,,,,,,,,
VMA URINE,$68.75 ,84585,,,,,,,,,
ADH ANTIDIURETIC HORMONE,$171.00 ,84588,,,,,,,,,
VITAMIN A,$86.00 ,84590,,,,,,,,,
VITAMIN K,$86.00 ,84597,,,,,,,,,
URINE PYRIDINOLINES,$186.00 ,84600,,,,,,,,,
ZINC,$18.36 ,84630,,,,,,,,,
C-PEPTIDE LC,$117.75 ,84681,,,,,,,,,
QUANTATIVE HCG,$66.50 ,84702,,,,,,,,,
AFP TETRA-HCG,$100.00 ,84702,,,,,,,,,
BETA HCG QUANTITATIVE,$108.23 ,84702,,,,,,,,,
BETA HCG QUAL SERUM,$46.37 ,84703,,,,,,,,,
TOTAL BETA HCG QUANTATIVE,$75.00 ,84703,,,,,,,,,
OSMOLALITY FECAL,$53.00 ,84999,,,,,,,,,
.MANUAL DIFF NH,$4.92 ,85007,,,,,,,,,
MANUAL DIFF BLOOD,$33.98 ,85007,,,,,,,,,
MANUAL DIFF,$33.98 ,85007,,,,,,,,,
MICROHEMATOCRIT SPUN,$33.00 ,85013,,,,,,,,,
.HEMATOCRIT (HCT) NH,$3.38 ,85014,,,,,,,,,
HEMATOCRIT (HCT) ISTAT,$25.54 ,85014,,,,,,,,,
HEMATOCRIT (HCT),$25.54 ,85014,,,,,,,,,
.HEMOGLOBIN(HGB) NH,$3.38 ,85018,,,,,,,,,
HEMOGLOBIN(HGB) ISTAT,$25.63 ,85018,,,,,,,,,
HEMOGLOBIN(HGB),$25.63 ,85018,,,,,,,,,
.CBC W/ AUTO DIFF NH,$10.93 ,85025,,,,,,,,,
.CBC WITH DIFF/PLT LC NH,$11.10 ,85025,,,,,,,,,
CBC W/ AUTO DIFF,$70.18 ,85025,,,,,,,,,
CBC WITH DIFF/PLT LC,$70.18 ,85025,,,,,,,,,
CBC W/O AUTO DIFF,$31.68 ,85027,,,,,,,,,
MANUAL CELL COUNT,$38.50 ,85032,,,,,,,,,
RBC COUNT,$27.50 ,85041,,,,,,,,,
.RETICULOCYTE COUNT MANUAL,$49.83 ,85044,,,,,,,,,
.RETICULOCYTE AUTO NH,$5.72 ,85045,,,,,,,,,
RETICULOCYTE AUTO,$22.95 ,85045,,,,,,,,,
WHITE BLOOD COUNT,$27.50 ,85048,,,,,,,,,
PLATELET COUNT AUTO,$56.62 ,85049,,,,,,,,,
BLOOD SMEAR,$33.00 ,85060,,,,,,,,,
HEMOPATH CONSULT,$38.50 ,85060,,,,,,,,,
FACTOR V ACTIVITY,$175.00 ,85220,,,,,,,,,
THROMBOTIC RISK PROFILE,$125.00 ,85300,,,,,,,,,
ANTITHROMBIN III FUNCTIONAL,$233.25 ,85300,,,,,,,,,
ANTITHROMBIN III ANTIGEN,$233.25 ,85301,,,,,,,,,
PROTEIN C ANTIGEN,$116.00 ,85302,,,,,,,,,
PROTEIN C ACTIVITY,$164.50 ,85303,,,,,,,,,
PROTEIN C FUNCTIONAL,$164.50 ,85303,,,,,,,,,
PROTEIN S TOTAL,$91.00 ,85305,,,,,,,,,
PROTEIN S FREE,$91.00 ,85306,,,,,,,,,
PROTEIN S FUNCTIONAL,$212.50 ,85306,,,,,,,,,
ACTIVATED PROTEIN C RESISTANCE ASSAY,$50.00 ,85307,,,,,,,,,
FIBRIN DEGREDATION PRODUCT,$55.00 ,85362,,,,,,,,,
.D DIMER QUALITATIVE,$159.00 ,85378,,,,,,,,,
.D DIMER QUANTITATIVE LC,$110.00 ,85379,,,,,,,,,
D DIMER QUANTITATIVE,$110.00 ,85379,,,,,,,,,
FIBRINOGEN,$88.00 ,85384,,,,,,,,,
PLASMINOGEN EXCEPT ANTIGENIC ASSAY,$50.00 ,85420,,,,,,,,,
LEUKOCYTE ALK PHOS,$170.00 ,85540,,,,,,,,,
HEXAGONAL PHASE PHOSPHOLIPID,$93.50 ,85598,,,,,,,,,
.PROTHROMBIN TIME /INR NH,$5.53 ,85610,,,,,,,,,
PROTIME (PT) LC,$47.50 ,85610,,,,,,,,,
PROTHROMBIN TIME /INR,$47.50 ,85610,,,,,,,,,
LUPUS ANTICOAG COMPREHENSIVE,$511.50 ,85610,,,,,,,,,
RUSSELL VIPER VENOM TIME DILUTED,$50.00 ,85613,,,,,,,,,
DRVVT MIX,$62.58 ,85613,,,,,,,,,
DRVVT CONFIRMATION,$72.75 ,85613,,,,,,,,,
ANTI PHOSPHOLIPID AB PROFILE SEROLOGY,$470.00 ,85613,,,,,,,,,
.WINTROBE SEDIMENTATION RATE NH,$5.07 ,85651,,,,,,,,,
WINTROBE SEDIMENTATION RATE,$25.00 ,85651,,,,,,,,,
HEMOGLOBIN SOLUBILITY,$28.34 ,85660,,,,,,,,,
HGB SOL PLUS REFLEX FRAC,$43.34 ,85660,,,,,,,,,
THROMBIN TIME PLASMA LC,$50.00 ,85670,,,,,,,,,
.LUPUS ANTICOAGULANT W/ REFLEX,$110.00 ,85670,,,,,,,,,
THROMBOPLASTIN INHIBITITON TISSUE,$50.00 ,85705,,,,,,,,,
.PTT-PART THROMBOPLAS NH,$8.30 ,85730,,,,,,,,,
PTT ACTIVATED LC,$19.16 ,85730,,,,,,,,,
PTT-PART THROMBOPLAS,$54.99 ,85730,,,,,,,,,
PTT SUBSTITUTION PLASMA FRACTIONS ECH,$50.00 ,85732,,,,,,,,,
PTT-LA MIX,$60.00 ,85732,,,,,,,,,
PTT-LA INCUBATION MIX,$66.00 ,85732,,,,,,,,,
FEBRILE AGGLUTININ,$80.50 ,86000,,,,,,,,,
MOLD,$11.75 ,86003,,,,,,,,,
D002 IGE D FARINAE MITE,$30.00 ,86003,,,,,,,,,
E001 IGE CAT HAIR/DANDER,$30.00 ,86003,,,,,,,,,
G006 IGE TIMOTHY,$30.00 ,86003,,,,,,,,,
M006-IGE ALTERNARIA TENUIS,$30.00 ,86003,,,,,,,,,
"W001 IGE RAGWEED, SHORT",$30.00 ,86003,,,,,,,,,
F001-IGG EGG WHITE,$30.00 ,86003,,,,,,,,,
MILK,$30.00 ,86003,,,,,,,,,
SOYBEAN,$30.00 ,86003,,,,,,,,,
WHEAT,$30.00 ,86003,,,,,,,,,
LATEX,$32.00 ,86003,,,,,,,,,
PLATELET ANTIBODY,$160.00 ,86022,,,,,,,,,
ANTINUCLEAR ANTIBODIES DIRECT,$15.24 ,86038,,,,,,,,,
.ANA W/REFLEX IF POSITIVE NH,$17.26 ,86038,,,,,,,,,
.ANA W/REFLEX IF POSITIVE NH,$17.26 ,86038,,,,,,,,,
.ANA W/REFLEX IF POSITIVE,$67.67 ,86038,,,,,,,,,
ANA W/REFLEX,$67.67 ,86038,,,,,,,,,
.ANTINUCLEAR ANTIBODIES IFA,$67.67 ,86038,,,,,,,,,
.ANTINUCLEAR ANTIBODIES REFLEX CASCADE,$67.67 ,86038,,,,,,,,,
ASO TITER,$71.50 ,86060,,,,,,,,,
ASO SCREEN,$44.00 ,86063,,,,,,,,,
BB TRANSFUSION REACTION,$170.50 ,86078,,,,,,,,,
.C REACTIVE PROTEIN QUANTITATIVE NH,$6.91 ,86140,,,,,,,,,
C REACTIVE PROTEIN QUANTITATIVE,$44.00 ,86140,,,,,,,,,
C REACTIVE PROTEIN CARDIAC,$44.00 ,86141,,,,,,,,,
BETA 2 GLYCOPROTEIN IGA,$66.00 ,86146,,,,,,,,,
BETA 2 GLYCOPROTEIN IGG ANTIBODY,$66.00 ,86146,,,,,,,,,
BETA 2 GLYCOPROTEIN IGM ANTIBODY,$66.00 ,86146,,,,,,,,,
"ANTICARDIOLIPIN ABD,IGM,QN",$180.50 ,86147,,,,,,,,,
COLD AGGLUTININ SCR,$27.50 ,86156,,,,,,,,,
COLD AGGLUTIN TITER,$104.50 ,86157,,,,,,,,,
COMPLEMENT C1 ESTERASE INHIBITOR,$20.20 ,86160,,,,,,,,,
COMPLEMENT C4 SERUM,$83.00 ,86160,,,,,,,,,
COMPLEMENT C3,$125.00 ,86160,,,,,,,,,
COMPLEMENT C1Q,$137.50 ,86160,,,,,,,,,
COMPLEMENT C1Q,$137.50 ,86160,,,,,,,,,
COMPLEMENT C2,$154.00 ,86160,,,,,,,,,
COMPLEMENT C3 ACTIVATOR,$115.50 ,86161,,,,,,,,,
COMPLEMENT TOTAL  CH50,$45.60 ,86162,,,,,,,,,
"CYCLIC CITROLLINATED PEPTIDE,IGG/IGA ABD",$42.24 ,86200,,,,,,,,,
ANTI DNASE B  (STREP) ABDYS,$66.00 ,86215,,,,,,,,,
ANTI DSDNA,$37.31 ,86225,,,,,,,,,
