83894,$67.00 
CT SOFT TISSUE NECK WO CONTRAST,"$1,142.00 "
CT SOFT TISSUE NECK WO/W CONTRAST,"$2,427.00 "
CT SPINE CERVICAL W/CONTRAST,"$2,226.00 "
CT SPINE CERVICAL WO CONTRAST,"$1,430.00 "
CT SPINE CERVICAL WO/W CONTRAST,"$2,708.00 "
CT SPINE LUMBAR WITH CONTRAST,"$2,226.00 "
CT SPINE LUMBAR WO CONTRAST,"$1,430.00 "
CT SPINE LUMBAR WO/W CONTRAST,"$2,708.00 "
CT SPINE THORACIC W/CONTRAST,"$2,226.00 "
CT SPINE THORACIC W/O CONTRAST,"$1,430.00 "
CT SPINE THORACIC WO/W CONTRAST,"$2,708.00 "
CT THORACENTESIS FOR ASPIRATION,"$1,009.00 "
CT THORAX W/O CONTRAST HI RES,"$1,142.00 "
CT THORAX WITH CONTRAST,"$2,212.00 "
CT THORAX WITH CONTRAST,"$2,212.00 "
CT THORAX WITHOUT CONTRAST,"$1,142.00 "
CT THORAX WO/W CONTRAST,"$2,427.00 "
CT UPPER EXTREMITY BILAT W/CONT,"$3,882.00 "
CT UPPER EXTREMITY BILAT W/O CONT,"$2,285.00 "
CT UPPER EXTREMITY BILAT W/WO CON,"$4,853.00 "
CT UPPER EXTREMITY WITH CONTRAST,"$1,941.00 "
CT UPPER EXTREMITY WO CONTRAST,"$1,142.00 "
CT UPPER EXTREMITY WO/W CONTRAST,"$2,427.00 "
CT VISIPAQUE 320 PER ML,$3.00 
"CT, NG TRICH VAG BY NAA", $-   
CULTURE ID,$160.00 
CULTURE TYPE,$62.00 
CULTURE TYPE,$62.00 
CULTURE TYPING,$30.79 
CULTURE TYPING-ID,$62.00 
CULTURE TYPING-ID,$62.00 
CULTURE(87070),$181.00 
"CULTURE, ABSCESS/WOUND",$181.00 
"CULTURE, AEROBIC BACTERIAL (LAB)",$181.00 
"CULTURE, AFB",$108.00 
"CULTURE, ANAEROBE",$110.00 
"CULTURE, APPENDIX",$181.00 
"CULTURE, BLOOD",$181.00 
"CULTURE, BLOOD LABCORP",$181.00 
"CULTURE, BODY FLUID",$181.00 
"CULTURE, BONE",$181.00 
"CULTURE, BONE MARROW",$181.00 
"CULTURE, CATHETER TIP",$181.00 
"CULTURE, DUODENAL ASPIRATE",$181.00 
"CULTURE, EAR",$181.00 
"CULTURE, FUNGUS (OTHER)",$101.00 
"CULTURE, FUNGUS (SKIN,HAIR,NAILS)",$101.00 
"CULTURE, GALLBLADDER",$181.00 
"CULTURE, GROUP B STREP",$108.00 
"CULTURE, LOWER RESPIRATORY",$181.00 
"CULTURE, QUANTITATIVE RESPIRATORY",$108.00 
"CULTURE, RESPIRATORY",$181.00 
"CULTURE, RESPIRATORY",$181.00 
"CULTURE, SEMI QUANT CATH TIP",$108.00 
"CULTURE, STOOL",$89.00 
"CULTURE, THROAT",$181.00 
"CULTURE, THROAT/STREP SCREEN",$108.00 
"CULTURE, TISSUE",$181.00 
"CULTURE, TRANSFUSION REACTION",$181.00 
"CULTURE, UPPER RESPIRATORY",$181.00 
"CULTURE, UPPER RESPIRATORY(LAB)",$181.00 
"CULTURE, URINE",$101.00 
"CULTURE, URINE SCREEN",$101.00 
"CULTURE,ANAEROBIC (LABCORP)",$110.00 
"CULTURE,EYE",$181.00 
"CULTURE,FUNGUS BLOOD",$91.00 
"CULTURE,GC SCREEN",$108.00 
"CULTURE,GENITAL",$181.00 
"CULTURE,MRSA SCREEN",$108.00 
"CULTURE,OTHER ROUTINE",$181.00 
"CULTURE,URINE COLCT AND ID(LAB)",$101.00 
"CULTURE,URINE COMPREHENSIVE (LAB)", $-   
"CULTURE,VIRAL",$299.00 
CURETTE DERMAL DISP 5MM,$11.11 
CUSHION RING MDI INVALID 16IN,$9.79 
CUSHION WAFFLE BARIATRIC 22X28,$183.54 
CYANIDE ANTIDOTE KIT, $-   
"CYANIDE,BLOOD(MAYO)",$89.00 
CYANOBALAMIN 1000MCG TABLET, $-   
CYANOCOBALAMIN 1000MCG/ML 1ML INJ, $-   
CYANOCOBALAMIN 1000MCG/ML INJ 1ML, $-   
CYANOCOBALAMIN 500MCG TAB, $-   
CYANOCOBALAMIN-VIT C - IRON, $-   
CYANOCOBOLAMIN 100MCG TAB, $-   
CYCLANDELATE 200MG CAP, $-   
"CYCLIC AMP,URINE",$245.00 
CYCLIC CITRULLINATED PEPTIDE,$170.00 
CYCLOBENZAPRINE 10MG TAB, $-   
CYCLOBENZAPRINE HCL 15MG CR CAP, $-   
CYCLOPENTALATE 0.5% OPTH SOLN15ML, $-   
CYCLOPENTALATE 1% OPTH SOLN 2ML, $-   
CYCLOPENTOLATE 1% 5ML DROPS, $-   
CYCLOPENTOLATE 2% OPHTH SOL 5ML, $-   
CYCLOPHOSPHAMIDE 25MG TAB, $-   
CYCLOPHOSPHAMIDE 50MG TAB, $-   
CYCLOPIROX 1% CREAM 15GM, $-   
CYCLOSPORIN,$235.00 
CYCLOSPORIN 0.05% OPTH EMUL 32'S, $-   
CYCLOSPORINE 100MG CAPSULE, $-   
CYCLOSPORINE 25MG CAPSULE, $-   
CYCLOSPORINE 50MG CAP, $-   
CYCLOSPORINE ORAL 100MG/ML 50ML, $-   
CYONACOBOLAMIN/THIAMINE ELIX 30ML, $-   
CYP2C19 GENOTYPE,$850.00 
CYPROHEPTADINE 2MG/5ML 5ML, $-   
CYPROHEPTADINE 2MG/5ML LIQ 30ML, $-   
CYPROHEPTADINE 4MG TAB, $-   
CYSTATIN C,$128.00 
CYSTATIN C,$128.00 
CYSTIC FIBROSIS, $-   
CYSTIC FIBROSIS,$100.00 
CYSTIC FIBROSIS 97 (GENZYME),$460.00 
CYSTIC FIBROSIS PROFILE(LABCORP),$460.00 
"CYSTIC FIBROSIS(CF7 PROFILE,97 MU",$460.00 
CYSTIC FIBROSIS.,$460.00 
"CYSTINE SCREEN, URINE",$110.00 
"CYSTINE, SCREEN,24 HR URINE",$110.00 
CYSTOSPAZ 0.15MG TAB, $-   
CYSTOSTOMY TUBE CHANGE SIMPLE,$742.00 
CYSTOURETHROSCOPY 52000,"$2,096.00 "
CYSTOURETHROSCOPY 52281,"$4,951.00 "
CYSTOURETHROSCOPY W REM FB,"$4,951.00 "
CYSTOURETHROSCOPY W/URETERAL CATH,"$7,419.00 "
CYTOGENETICS (FOR 6446),$300.00 
CYTOGENETICS INT. (88291),$300.00 
CYTOGENOMIC CONSTITUTIONAL,$563.60 
CYTOKERATIN (COCKTAIL),$331.00 
CYTOKERATIN HIGH MOLECULAR WT,$331.00 
"CYTOLOGY,CSF", $-   
CYTOMEGALOVIRUS (ON 6587),$44.00 
CYTOMEGALOVIRUS CULTURE, $-   
"CYTOPATHOLOGY, IN SITU HYBRIDIZAT",$300.00 
D L ISOMER,$75.00 
D10W 1000ML INJ., $-   
D10W 250ML, $-   
D10W/0.2NS 250ML INJ., $-   
D5 1/4NS 500ML + 10MEQ KCL, $-   
D51/2NS + KCL 10MEQ 500ML, $-   
D5-1/4NS WITH 10MEQ KCL 1000ML, $-   
D51/4NS WITH 20MEQ KCL 1000ML, $-   
D5LR-KCL 20MEQ 1000ML INJ., $-   
D5NS 1000ML + 40MEQ KCL, $-   
D5NS 1000ML INJ., $-   
D5W (GLASS BOTTLE) INJ. 250ML, $-   
D5W 100ML INJ., $-   
D5W 25ML INJ., $-   
D5W 50ML INJ., $-   
D5W RINGERS 1000ML INJ, $-   
D5W WITH POTASSIUM 40MEQ 1000ML, $-   
D5W/0.45%NS 1000ML INJ., $-   
D5W1/2NS 250ML INJ, $-   
D5W1/2NS 500ML INJ, $-   
D5W1/4NS 1000ML INJ, $-   
D5W1/4NS 500ML INJ, $-   
D5W-KCL 20MEQ/L 1000ML INJ., $-   
D5WLR 1000ML INJ, $-   
D5WLR 500ML INJ, $-   
D5W-NACL 0.45%-KCL 10MEQ/L 1000ML, $-   
D5W-NACL 0.45%-KCL 20MEQ/L 1000ML, $-   
D5W-NACL 0.45%-KCL 30MEQ/L 1000ML, $-   
D5W-NACL 0.45%-KCL 40MEQ 1000ML, $-   
D5W-NACL 0.9%-KCL 20MEQ/L 1000ML, $-   
DABIGATRAN 110MG CAP, $-   
DABIGATRAN ETEXILATE 150MG CAPSUL, $-   
DABIGATRAN ETEXILATE 75MG CAPSULE, $-   
DACARBAZINE 100MG INJ., $-   
DALBAVANCIN 500MG INJECTION, $-   
DALTEPARIN 2500IU INJ. 0.2ML, $-   
DALTEPARIN 5000UNITS/0.2ML, $-   
DANAZOL 100MG CAP, $-   
DANAZOL 50MG CAPSULE, $-   
DANTROLENE 20MG INJ., $-   
DANTROLENE 25MG CAP, $-   
DANTROLENE 50MG CAPSULE, $-   
DANTROLENE SODIUM 100MG CAPSULE, $-   
DAPAGLIFLOZIN 5MG TAB, $-   
DAPSONE,$194.00 
DAPSONE 25MG TAB, $-   
DAPTOMYCIN 10MG INJ, $-   
DAPTOMYCIN 500MG INJECTION, $-   
DARBEPOETIN ALFA 1 MCG/0.005ML, $-   
DARBEPOETIN ALFA 1 MCG/0.01ML, $-   
DARBEPOETIN ALFA 100MCG/0.5ML, $-   
DARBEPOETIN ALFA 100MCG/ML 1ML, $-   
DARBEPOETIN ALFA 200MCG 0.4ML SYR, $-   
DARBEPOETIN ALFA 200MCG/1ML, $-   
DARBEPOETIN ALFA 25MCG 1ML INJ, $-   
DARBEPOETIN ALFA 300MCG/0.6ML, $-   
DARBEPOETIN ALFA 40MCG 1ML INJ, $-   
DARBEPOETIN ALFA 40MCG/0.4ML, $-   
DARBEPOETIN ALFA 60MEQ 1ML INJ, $-   
DARIFENACIN HYDROBROMID 7.5MG TAB, $-   
DARIFENACIN HYDROBROMIDE 15MG TAB, $-   
DARKFIELD EXAM,$77.00 
DARUNAVIR 600MG TABLET, $-   
DAT PROFILE,$91.00 
D-DIMER,$71.00 
"DEBRID NAIL(S) ANY METHD(S)S,1-",$256.00 
DEBRIDE EXT ECZMA/INFECT SKIN 10%,$770.00 
DEBRIDE NAIL ANY METHOD 6 MORE,$256.00 
DEBRIDE SKIN FULL THICK,$307.00 
DEBRIDE SKIN FULL THICK PF,$169.00 
DEBRIDE SKIN PART THICK,$267.00 
DEBRIDE SKIN PART THICK PF,$104.00 
DEBRIDE SKIN SUBQ,"$1,540.00 "
DEBRIDE SKIN SUBQ PF,$300.00 
DEBRIDE SKIN/SUBQ/MUSCLE,"$1,799.00 "
DEBRIDE W/O ANES SMA PF,$156.00 
DEBRIDEMENT INCL REM FB W/OPEN,"$1,434.00 "
DEBRIDEMENT NON-SELECTIVE WO ANES,$180.00 
DEBRIDEMENT NON-SELECTIVE WO ANES,$180.00 
"DEBRIDEMENT OPEN SKIN,SUBQ TIS","$1,434.00 "
"DEBRIDEMENT SKIN,SUBQ,MUSCLE,B","$2,393.00 "
DEBRIDEMENT WOUND SKIN 20SQ CM,$123.00 
DECADRON PF NICU ORAL SYR 0.2MG/M, $-   
DECALCIFICATION-BIOPSY,$63.00 
DECALCIFICATION-OTHER,$63.00 
DECLOGGER F/PEG TUBE 18-24FR,$26.88 
DECLOMYCIN 150MG TABLET, $-   
DECLOTT IMP VAD/CATH BY THROMBOLY,$881.00 
DECONGESTANT TAB CR, $-   
DEEP FUNGAL SEROLOGY PANEL, $-   
DEGARELIX 80MG INJECTION, $-   
DEHYDROCHOLIC ACID 250MG TAB, $-   
DELESTROGEN 10MG/ML 5ML VIAL, $-   
DELESTROGEN 20MG/ML INJECTION, $-   
DELIVERY OF PLACENTA,"$2,612.00 "
DELIVERY OF PLACENTA PF,$475.00 
DEMECLOCYCLINE 300MG TAB, $-   
DEMEROL HCL 100MG/ML INJ, $-   
DEMEROL HCL 75MG/ML INJ CARTRIDGE, $-   
DENAVIR 1% CREAM 1.5GM TUBE, $-   
DENGUE ANTIBODY,$302.00 
DENGUE FEVER ANTIBODY,$302.00 
DENOSUMAB 60MG 1ML SYRINGE, $-   
DENTAL PROTECTANT PASTE 5GM, $-   
DEOXYCORTICOSTERONE,$90.66 
DEOXYPYRIDINOLINE,$136.00 
DEPAKOTE ER 500MG TABLET, $-   
DERMATOPHAGOIDES FARI(ON6716&6761,$33.00 
DERMATOPHAGOIDES PTER (ON 6761),$33.00 
DESFUROXIME 500MG INJ., $-   
DESIPRAMINE,$169.00 
DESIPRAMINE 10MG TAB, $-   
DESIPRAMINE 25MG TAB, $-   
DESMIN,$331.00 
DESMOGLEIN 1-2 AUTOANTIBODIES,$183.00 
DESMOGLEIN3 & DESM1, $-   
DESMOPRESSIN 0.1MG/ML NAS SPY 5ML, $-   
DESMOPRESSIN 1MCG/0.25ML INJ, $-   
DESMOPRESSIN 4MCG/1ML INJ. 1ML, $-   
DESMOPRESSIN ACETATE 0.1MG TABLET, $-   
DESMOPRESSIN ACETATE 0.2MG TABLET, $-   
DESONIDE 0.05% CR 15GM, $-   
DESONIDE 0.05% CR 15GM, $-   
DESONIDE 0.05% CR 60GM, $-   
DESONIDE 0.05% LOTION 118ML, $-   
DESONIDE OINT 0.05% 15GM, $-   
DESOWEN 0.05% CR 15GM, $-   
DESOXIMETASONE 0.05% GEL 15GM, $-   
DESOXIMETASONE 0.25% CR 15GM, $-   
DESOXIMETASONE 0.25% CREAM 60GM, $-   
DESOXYCORTISOL,$85.66 
DEST 1ST PREMAL LESION,$323.00 
DEST 2-14 PREMAL LESIONS EA,$163.00 
DEST BENIGN LESION 1-14 PF,$154.00 
DEST CUT VASC PROL LESION <10 SQ,"$1,029.00 "
DEST UP TO 14 BEN LESIONS,$323.00 
DESVENLAFAXINE ER 100MG TAB, $-   
DESVENLAFAXINE ER 50MG TABLET, $-   
DETECTOR CO2 EASY CAP II,$45.36 
DETROL 2MG TABLET, $-   
DEVICE INTRO AVA 3XI 8.5FR,$333.00 
DEVICE SECUREMENT FOLEY STATLOCK,$17.82 
DEVICE STOMA MEASURING,$25.82 
DEX 4 TAB, $-   
DEXAMETH 0.05% OPTH OINT 3.5GM, $-   
DEXAMETHASONE,$325.00 
DEXAMETHASONE 0.01% SPRAY 58GM, $-   
DEXAMETHASONE 0.1% CR 15GM, $-   
DEXAMETHASONE 0.1% OPTH SOLN 5ML, $-   
DEXAMETHASONE 0.1% SOLN 5ML, $-   
DEXAMETHASONE 0.5MG TAB, $-   
DEXAMETHASONE 0.5MG/5ML ORAL 30ML, $-   
DEXAMETHASONE 0.75MG TAB, $-   
DEXAMETHASONE 0.75MG TAB, $-   
DEXAMETHASONE 0.75MG TAB, $-   
DEXAMETHASONE 10MG/ML INJ 1ML, $-   
DEXAMETHASONE 1MG TAB, $-   
DEXAMETHASONE 1MG/1ML LIQ 1ML, $-   
DEXAMETHASONE 2MG TABLET, $-   
DEXAMETHASONE 4MG TAB, $-   
DEXAMETHASONE 4MG TAB, $-   
DEXAMETHASONE 4MG/ML INJ 1ML, $-   
DEXAMETHASONE 4MG/ML INJ 30ML, $-   
DEXAMETHASONE 4MG/ML INJ 5ML, $-   
DEXAMETHASONE 8MG/ML REP INJ. 1ML, $-   
DEXAMETHASONE INTENSOL 1MG/ML, $-   
DEXAMETHASONE NASAL SPRAY 30ML, $-   
DEXAMETHASONE PF ORAL SYR 1MG/5ML, $-   
DEXAMETHASONE SOLN 0.5MG/5ML 5ML, $-   
DEXAMETHASONE SUSP 8MG/ML 1ML, $-   
DEXBROMPHENERAMINE-PSEUDOPHED TAB, $-   
DEXCHLORPEHERIMINE CR 6MG TAB, $-   
DEXCHLORPHENIRAMINE 6MG CR TAB, $-   
DEXFENFLURAMINE 15MG CAP, $-   
DEXLANSOPRAZOLE 30MG CAPSULE, $-   
DEXLANSOPRAZOLE 60MG CAPSULE, $-   
DEXMEDETOMIDINE 200MCG/50ML, $-   
DEXPANTHENOL 250MG/1ML INJ. 2ML, $-   
DEXRAZOXANE 250MG INJ., $-   
DEXRAZOXANE 500MG INJ., $-   
DEXTRAN 150MG/ML INJ 20ML, $-   
DEXTRAN 40-0.9%NS INJ 500ML, $-   
DEXTRAN 40-DEXTROSE 5% INJ 500ML, $-   
DEXTRAN 70% IRRIGATING SOLN 100ML, $-   
DEXTROAMPHETAMINE/AMPHETAMINE10MG, $-   
DEXTROMETHORPHAN 15MG/5ML 5ML, $-   
DEXTROMETHORPHAN 30MG/5ML 5ML, $-   
DEXTROMETHORPHAN GELCAP 30MG, $-   
DEXTROMETHORPHAN POLY. LIQ 30ML, $-   
DEXTROMETHORPHAN/GUAIFENESIN 5ML, $-   
DEXTROMETHORPHAN-GUAIFENESIN120ML, $-   
DEXTROMETHORPHAN-QUINIDINE20-10MG, $-   
DEXTROSE 10% HEPARIN 1 TO 1 250ML, $-   
DEXTROSE 10% INJ 250ML IV FLUID, $-   
DEXTROSE 10%-NACL 0.45% INJ, $-   
DEXTROSE 20% INJ 500ML, $-   
"DEXTROSE 25%,10ML SYRINGE", $-   
DEXTROSE 40% ORAL GEL 5ML, $-   
DEXTROSE 5% 1000ML INJ, $-   
DEXTROSE 5% 100ML INJ. MINI-BAG +, $-   
DEXTROSE 5% 250ML INJ., $-   
DEXTROSE 5% 500ML AVIVA BAG, $-   
DEXTROSE 5% 500ML INJ., $-   
DEXTROSE 5% 50ML INJ. MINI BAG +, $-   
DEXTROSE 5% NACL 0.33% 1000ML, $-   
DEXTROSE 5% NACL 0.33% 250ML, $-   
DEXTROSE 5% NACL 0.33% 500ML, $-   
DEXTROSE 5% WATER (AVIVA)250ML, $-   
DEXTROSE 50% 500ML PF BAG, $-   
DEXTROSE 50% INJ 50ML, $-   
DEXTROSE 50% INJ. 50ML, $-   
DEXTROSE 70% 1000ML IV FLUID, $-   
DEXTROSE 70% 500ML SOLN, $-   
DEXTROSE GEL 40% 15GM (NSY), $-   
DEXTROSE(GLASS) 5% INJECTION, $-   
DHEA,$141.12 
DHEA,$162.00 
DHEA-SULFATE,$136.00 
DIABETIC COUNSELING 30 MIN,$69.00 
DIABETIC COUNSELING GROUP 30MIN,$52.00 
DIASTAT PEDIATRIC 5MG RECTAL GEL, $-   
DIATRIZOATE MEG/DIATRIZOATE SOD, $-   
DIATRIZOATE MEGLUMINE USP 30%, $-   
DIAZEPAM,$30.00 
DIAZEPAM 10MG INJ, $-   
DIAZEPAM 10MG TAB, $-   
DIAZEPAM 10MG/2ML INJ. 2ML, $-   
DIAZEPAM 2MG TAB, $-   
DIAZEPAM 5MG TAB, $-   
DIAZEPAM 5MG/5ML ELIXIR 5ML, $-   
DIAZEPAM 5MG/ML 10ML INJ, $-   
DIAZEPAM CR 15MG CAP, $-   
DIAZEPAM EMUL 5MG/1ML INJ 2ML, $-   
DIAZEPAM RECTAL GEL, $-   
DIAZEPAM RECTAL GEL KIT, $-   
DIAZOXIDE 15MG/ML INJ 20ML, $-   
DIBUCAINE 1% OINT 28GM, $-   
DIBUCAINE 1% OINT 30GM, $-   
DIBUCAINE NUMBER,$76.00 
DIBUCAINE NUMBER(PANEL), $-   
DICLOFENAC 0.1% 2.5ML, $-   
DICLOFENAC 18MG, $-   
DICLOFENAC 25MG TAB, $-   
DICLOFENAC 50MG TAB, $-   
DICLOFENAC 75MG EC TAB, $-   
DICLOFENAC EPOLAMINE 1.3% PATCH, $-   
DICLOFENAC SOD OPTH SOLN 0.1% 5ML, $-   
DICLOFENAC SOD TOP GEL 1% 100GM, $-   
DICLOFENAC SODIUM DR 50MG TABLET, $-   
DICLOFENAC-XR 100MG TAB, $-   
DICLOFEN-MISOPROST 50MG-0.2MG TAB, $-   
DICLOFEN-MISOPROSTOL 75-0.2MG TAB, $-   
DICLOXACIL 62.5MG/5ML SUSP 100ML, $-   
DICLOXACILLIN 250MG CAP, $-   
DICLOXACILLIN 250MG CAP, $-   
DICOFENAC SOD ER 100MG TAB, $-   
DICYCLOMINE 10MG CAP, $-   
DICYCLOMINE 10MG/5ML SYRUP 30ML, $-   
DICYCLOMINE 20MG TAB, $-   
DICYCLOMINE 20MG/2ML INJ 2ML, $-   
DIDACTIC GROUP BTL,$236.00 
DIETHYLSTILBESTROL 1MG TAB, $-   
DIFFERENTIAL,$55.00 
DIFLORASONE DIACETATE 0.05% CR30G, $-   
DIFLUCAN 10MG/ML ORAL SYRINGE, $-   
DIFLUCAN W/SALINE 400MG/200ML IN., $-   
DIFLUNISAL 500MG TAB, $-   
DIFLUPREDNATE OPTH GTT 0.05% 5ML, $-   
DIGITOXIN,$194.00 
DIGOXIN 0.05MG/ML ELIXIR 60ML, $-   
DIGOXIN 0.125MG TAB, $-   
DIGOXIN 0.1MG CAP, $-   
DIGOXIN 0.1MG/ML 1ML INJ, $-   
DIGOXIN 0.25MG TAB, $-   
DIGOXIN 0.25MG/ML INJ 2ML, $-   
DIGOXIN 0.2MG CAP, $-   
DIGOXIN 0.2MG CAP, $-   
DIGOXIN 50MCG/ML 5ML, $-   
DIGOXIN IMMUNE FAB 40MG INJ., $-   
DIGOXIN TOTAL,$145.00 
"DIGOXIN, FREE",$145.00 
DIHYDROERGOTAMINE 1MG/1ML INJ 1ML, $-   
DIHYDROERGOTMAINE SPRY 1ML, $-   
DIHYDROTESTOSTERONE(DHT),$83.00 
DILATION URETHRAL STRICT PASSAGE,"$5,660.00 "
DILTIAZEM 120MG TAB, $-   
DILTIAZEM 125MG/125ML IN D5W, $-   
DILTIAZEM 125MG/125ML SOLUTION, $-   
DILTIAZEM 15MG/ML SUSP 120ML, $-   
DILTIAZEM 180MG CP24, $-   
DILTIAZEM 240MG CP24, $-   
DILTIAZEM 30MG TAB, $-   
DILTIAZEM 420MG CPSR, $-   
DILTIAZEM 50MG/10ML INJ., $-   
DILTIAZEM 5MG/1ML INJ. 5ML, $-   
DILTIAZEM 5MG/ML 25ML, $-   
DILTIAZEM 60MG TAB, $-   
DILTIAZEM 90MG TAB, $-   
DILTIAZEM CD 120MG CAP, $-   
DILTIAZEM CD 120MG CAPSULE, $-   
DILTIAZEM CD 180MG CAP, $-   
DILTIAZEM CD 240MG CAP, $-   
DILTIAZEM CD 300MG CAP, $-   
DILTIAZEM CR 180MG CAP, $-   
DILTIAZEM CR 300MG CAP, $-   
DILTIAZEM FOR DRIP 5MG/ML 25ML, $-   
DILTIAZEM HCL 100MG INJECTION, $-   
DILTIAZEM HCL CP12 60MG, $-   
DILTIAZEM SR 120MG CAP, $-   
DILTIAZEM SR 60MG CAP, $-   
DILTIAZEM SR 90MG CAP, $-   
DILTIAZEM XR 120MG CAP, $-   
DILTIAZEM XR 180MG CAP, $-   
DILTIAZEM XR 240MG CAP, $-   
DILUTE RUSSELL VENOM TIME,$41.00 
DIMENHYDRINATE 50MG TAB, $-   
DIMENHYDRINATE 50MG/1ML INJ 1ML, $-   
DIMENHYDRINATE 50MG/ML INJ 10ML, $-   
DIMENHYDRINATE 50MG/ML INJ., $-   
DIMETH/OXYBEN/PADIMATE 4.25GM, $-   
DIMETHI/CAMPH/MENTH/PHENOL UG, $-   
DIMETHICONE 1.5% 118ML, $-   
DIMETHICONE GEL 118ML, $-   
DIMETHYL SULFOXIDE 50% SOLN 50ML, $-   
DINOPROSTONE 10MG VAG INSERT, $-   
DINOPROSTONE E2 VAG SUPP, $-   
DINOPROSTONE VAG GEL 3GM, $-   
DIOCTO 50MG/5ML LIQUID 480ML, $-   
DIOTAME LIQUID, $-   
DIOVAN 160MG TABLET, $-   
DIOVAN HCT 160/12.5MG, $-   
DIPHEN/LIDO/NYSTATIN 180ML, $-   
DIPHENHYDRAM 12.5MG/5ML ELIX 30ML, $-   
DIPHENHYDRAMINE 1% CR 15GM, $-   
DIPHENHYDRAMINE 1% SPRAY 60ML, $-   
DIPHENHYDRAMINE 25MG CAP, $-   
DIPHENHYDRAMINE 25MG TABLET, $-   
DIPHENHYDRAMINE 50MG CAP, $-   
DIPHENHYDRAMINE 50MG CAPSULE, $-   
DIPHENHYDRAMINE 50MG/1ML INJ 1ML, $-   
DIPHENHYDRAMINE CR 1GM, $-   
DIPHENHYDRAMINE HCL 12.5MG/5ML UD, $-   
DIPHENHYDRAMINE LIQ 12.5MG 5ML, $-   
DIPHENHYDRAMINE SOLN 25MG/10ML UD, $-   
DIPHENHYDRAMINE ZN ACETATE CR 28G, $-   
DIPHENHYDRAMINE ZN ACETATE CR28GM, $-   
DIPHENHYDRAMINE(BENADRYL),$317.00 
DIPHENHYDRAMINE-PHENYLEPH-COD 5ML, $-   
DIPHENHYDRAMINE-PSEUDO ELIX 30ML, $-   
DIPHENOXYLATE W/ ATROPINE LIQ 5ML, $-   
DIPHENOXYLATE W/ATROP TAB, $-   
DIPHENOXYLATE-ATROPINE SYRP 5ML, $-   
DIPHTHERIA-ACELL-PERT-TETAN 0.5ML, $-   
DIPHTHERIA-PERTUSSIS-TETANUS, $-   
DIPHTHERIA-TETANUS-PERTUSSIS VACC, $-   
DIPHTHERIA-TETANUS-POLIO HEPB VAC, $-   
DIPHYLLINE ELIXIR 30ML, $-   
DIPHYLLINE-GUAIFENESIN SYR 30ML, $-   
DIPIVEFRIN 0.1% OPTH SOLN 5ML, $-   
DIPIVEFRIN 0.1% OPTH SOLN 5ML, $-   
DIPTHERIA ANTIBODY,$441.00 
DIPTHERIA PERTUSSUS TETANUS 0.5ML, $-   
DIPTHERIA-HAEMOPHILUS B INJ 0.5ML, $-   
DIPYRIDAMOLE 10MG/2ML INJ 2ML, $-   
DIPYRIDAMOLE 25MG TAB, $-   
DIPYRIDAMOLE 50 MG INJ., $-   
DIPYRIDAMOLE 50MG TAB, $-   
DIPYRIDAMOLE 75MG TAB, $-   
DIPYRIDAMOLE INJ. 50 MG/10ML, $-   
DIPYRIDAMOLE-ASPIRIN 12H CR CAP, $-   
DIRECT ADMIT OBSERVATION,$118.00 
DIRECT ANTIGLOBULIN T-CHRG ONLY,$91.00 
DIRECT ANTIGLOBULIN TEST,$91.00 
DIRECT BILIRUBIN,$27.00 
DIRECT COOMBS PROFILE,$91.00 
DIRECT COOMBS TEST.,$91.00 
DIRECT PREP,$57.00 
DIRECT PREP - CHRG ONLY,$57.00 
"DIRECT PREP (SKIN,HAIR,NAILS)",$53.00 
DISLOCATION MP JOINT-CLOSED-HA,$445.00 
DISLOCATION TOE IP JNT T1,$445.00 
DISLOCATION TOE IP JNT T2,$445.00 
DISLOCATION TOE IP JNT T3,$445.00 
DISLOCATION TOE IP JNT T4,$445.00 
DISLOCATION TOE IP JNT T5,$445.00 
DISLOCATION TOE IP JNT T6,$445.00 
DISLOCATION TOE IP JNT T7,$445.00 
DISLOCATION TOE IP JNT T8,$445.00 
DISLOCATION TOE IP JNT T9,$445.00 
DISLOCATION TOE IP JNT W/ANS T1,"$4,381.00 "
DISLOCATION TOE IP JNT W/ANS T2,"$4,381.00 "
DISLOCATION TOE IP JNT W/ANS T3,"$4,381.00 "
DISLOCATION TOE IP JNT W/ANS T4,"$4,381.00 "
DISLOCATION TOE IP JNT W/ANS T5,"$4,381.00 "
DISLOCATION TOE IP JNT W/ANS T6,"$4,381.00 "
DISLOCATION TOE IP JNT W/ANS T7,"$4,381.00 "
DISLOCATION TOE IP JNT W/ANS T8,"$4,381.00 "
DISLOCATION TOE IP JNT W/ANS T9,"$4,381.00 "
DISLOCATION TOE IP JNT W/ANS TA,"$4,381.00 "
DISOPYRAMIDE (NORPACE),$194.00 
DISOPYRAMIDE 100MG CAP, $-   
DISOPYRAMIDE 100MG CR CAP, $-   
DISOPYRAMIDE 150MG CAP, $-   
DISOPYRAMIDE CR 150MG CAP, $-   
DIVALPROEX 125MG TAB, $-   
DIVALPROEX 250MG TAB, $-   
DIVALPROEX 500MG TAB, $-   
DIVALPROEX SODIUM ER 250MG, $-   
DIVALPROEX SPRINKLE 125MG CAP, $-   
D-LACTATE,$126.00 
DNA ANALYSIS (ESOTERIX 402201),$548.00 
DNA ANALYSIS-FRESH TISSUE (ESO),$548.00 
