Wheeling ,,
Item Description,CPT/HCPC ,Price
SHAVE BIOPSY SCALP <.5,11305,$68.00 
SHAVE BIOPSY TRUNK 1.1-2.,11302,$105.00 
SHAVE BIOPSY TRUMK .6-1.0,11301,$96.00 
PREV 5-11 NEW,99383,$88.00 
PREV 5-11 EST,99393,$66.00 
PREV 1-4 NEW,99382,$92.00 
PREV 1-4 EST,99392,$68.00 
PREV 12-17 NEW,99384,$94.00 
PREV 12-17 EST,99394,$72.00 
PREV <1 NEW,99381,$90.00 
PREV <1 EST,99391,$64.00 
POSTPARTUM VISIT,59430,$150.00 
VENIPUNCTURE,36415,$20.00 
AFLURIA ADMIN,Q2035,$25.00 
FLULAVAL ADMIN,Q2036,$25.00 
FLUVIRON ADMIN,Q2037,$25.00 
FLUZONE ADMIN,Q2038,$25.00 
NOSVLU ADMIN,Q2039,$25.00 
POSTPARTUM VISIT,59430,$150.00 
TRANSIT CARE WITHIN 14DAY,99495,$126.00 
TRANSIT CARE WITHIN 7 DAY,99496,$185.00 
LVL 1 NEW PT VISIT,99201,$27.00 
LVL 1 NEW PT VISIT + PROC,99201,$27.00 
LVL 2 NEW PT VISIT,99202,$44.00 
LVL 2 NEW PT VISIT + PROC,99202,$44.00 
LVL 3 NEW PT VISIT,99203,$70.00 
LVL 3 NEW PT VISIT + PROC,99203,$70.00 
LVL 4 NEW PT VISIT,99204,$89.00 
LVL 4 NEW PT VISIT + PROC,99204,$89.00 
LVL 5 NEW PT VISIT,99205,$102.00 
LVL 5 NEW PT VISIT + PROC,99205,$102.00 
PREV VISIT <1 YR NEW,99381,$90.00 
PREV VISIT 1-4 YR NEW,99382,$92.00 
PREV VISIT 5-11,99383,$88.00 
PREV VISIT 12-17 NEW,99384,$94.00 
PREV VISIT 18-39 NEW,99385,$99.00 
PREV VISIT 18-39 NEW+PROC,99385,$99.00 
PREV VISIT 40-64 NEW,99386,$52.00 
PREV VISIT 40-64 NEW+PROC,99386,$52.00 
PREV VISIT 65 + NEW,99387,$59.00 
PREV VISIT 65 + NEW+PROC,99387,$59.00 
PREV VISIT <1 YR EST,99391,$64.00 
PREV VISIT 1-4 YR EST,99392,$68.00 
PREV VISIT 5-11 EST,99393,$66.00 
PREV VISIT 12-17 EST,99394,$72.00 
PREV VISIT 18-39 EST,99395,$76.00 
PREV VISIT 18-39 EST+PROC,99395,$76.00 
PREV VISIT 40-64 EST,99396,$37.00 
PREV VISIT 40-64 EST+PROC,99396,$37.00 
PREV VISIT 65+YR EST,99397,$42.00 
PREV VISIT 65+YR EST+PROC,99397,$42.00 
I&D CYST ABSCESS,10060,$131.00 
I&D SEROMA HEMATOMA,10140,$124.00 
DEBRIDEMENT SKIN,11042,$96.00 
BX SINGLE LESION,11100,$128.00 
BX ADDL SKIN LESION,11101,$61.00 
PELLET IMPLANT,11980,$118.00 
I&D VULV/PERINEAL ABSCESS,56405,$101.00 
I&D BARTH DUCT CYST,56420,$190.00 
DEST VULV LESION ANY METH,56501,$188.00 
EXC VAG CYST,57135,$194.00 
PESSARY FITTING & INSERT,57160,$103.00 
COLP W/BX,57454,$182.00 
EXC BX CERVICAL LESION,57500,$190.00 
ECC,57505,$147.00 
CRYO OF CERVIX,57511,$233.00 
LEEP,57522,$330.00 
ENDO BX,58100,$158.00 
D&C,58120,$331.00 
POSTPARTUM VISIT,59430,$150.00 
UA W/MICRO,81002,$25.00 
UA W/O MICRO,81002,$25.00 
OCCULT BLOOD,82270,$15.00 
IMMUN ADMIN,90471,$40.00 
IMM ADMIN EA ADDL,90472,$25.00 
INJECTION,96372,$40.00 
FOLEY CATH W/BAG,A4344,$32.00 
STRAIGHT CATH,A4351,$8.30 
"PESSARY, RUBBER",A4561,$125.00 
PESSARY NON RUBBER,A4562,$125.00 
FLU VAC ADMIN,G0008,$40.00 
PNEUMOVAX ADMIN,G0009,$40.00 
HEP ADMIN,G0010,$40.00 
HEP B,90746,$95.50 
PNEUMOVAX,90732,$71.00 
PELVIC EXAM,G0101,$36.39 
ROCEPHIN 250MG,J0696,$22.50 
DEPO MEDROL,J1030,$9.25 
TORADOL 15MG,J1885,$8.00 
NUBAIN 10MG,J2300,$2.25 
PHENERGAN UP TO 50MG,J2550,$6.25 
PAP SMEAR,Q0091,$28.75 
AFLURIA,Q2035,$25.00 
FLULAVAL,Q2036,$25.00 
FLUVIRON,Q2037,$25.00 
FLUZONE,Q2038,$25.00 
NOSVLU,Q2039,$25.00 
COLPOSCOPY,57452,$147.00 
NEW PT LVL 1,99201,$25.00 
NEW PT LVL 1 + PROC,99201,$25.00 
NEW PT LVL 2,99202,$35.00 
NEW PT LVL 2 + PROC,99202,$35.00 
NEW PT LVL 3,99203,$49.00 
NEW PT LVL 3 + PROC,99203,$49.00 
NEW PT LVL 4,99204,$59.00 
NEW PT LVL 4 + PROC,99204,$59.00 
NEW PT LVL 5,99205,$76.00 
NEW PT LVL 5 + PROC,99205,$76.00 
PREV VISIT NEW < 1 YR,99381,$90.00 
PREV VISIT NEW 1-4,99382,$92.00 
PREV VISIT NEW 5-11,99383,$88.00 
PREV VISIT NEW 12-17 YR,99384,$94.00 
PREV VISIT NEW 18-39 YR,99385,$99.00 
PREV VISIT NEW 18-39,99385,$99.00 
PREV VISIT NEW 40-64,99386,$52.00 
PREV VISIT NEW 40-64+PROC,99386,$52.00 
PREV VISIT NEW 65+ YR,99387,$59.00 
PREV VISIT NEW 65+ PROC,99387,$59.00 
PEV VISIT EST < 1 YR,99391,$64.00 
PREV VISIT EST 1-4 YRS,99392,$68.00 
PREV VISIT EST 5-11 YRS,99393,$66.00 
PREV VISIT EST 12-17 YRS,99394,$72.00 
PREV VISIT EST 18-39 YRS,99395,$76.00 
PREV VISIT EST 18-39+PROC,99395,$76.00 
PREV VISIT EST 40-64 YRS,99396,$37.00 
PREV VISIT EST 40-64+PROC,99396,$37.00 
PREV VISIT EST 65+ YRS,99397,$42.00 
PREV VISIT EST 65+ PROC,99397,$42.00 
I&D CYST ABSCESS,10060,$131.00 
I&D SEROMA HEMATOMA,10140,$124.00 
DEBRIDEMENT SKIN,11042,$96.00 
BX SINGLE LESION,11100,$128.00 
BX ADDL SKIN LESION,11101,$61.00 
PELLET IMPLANT,11980,$118.00 
I&D VULVA PERINEAL ABSCES,56405,$101.00 
I&D BARTH DUCT CYST,56420,$190.00 
DEST VULVAR LESION,56501,$188.00 
EXC VAG CYST,57135,$194.00 
PESSARY INSERT/FITTING,57160,$103.00 
COLP W/BX,57454,$182.00 
EXC BX CERV LESION,57500,$190.00 
ECC,57505,$147.00 
CRYO OF CERVIX,57511,$233.00 
LEEP,57522,$330.00 
ENDO BX,58100,$158.00 
D&C,58120,$331.00 
POSTPARTUM VISIT,59430,$150.00 
UA W/MICRO,81002,$25.00 
UA W/O MICRO,81002,$25.00 
OCCULT BLOOD,82270,$15.00 
IMMUN ADMIN,90471,$40.00 
IMM EA ADDL,90472,$25.00 
INJECTION,96372,$40.00 
FOLEY CATH W/BAG,A4344,$32.00 
STRAIGHT CATH,A4351,$8.30 
PESSARY RUBBER,A4561,$125.00 
PESSARY NONRUBBER,A4562,$125.00 
FLU ADMIN,G0008,$40.00 
PNEUMO ADMIN,G0009,$40.00 
HEP ADMIN,G0010,$40.00 
HEP B,90746,$95.50 
PNEUMOVAX,90732,$71.00 
PELVIC EXAM,G0101,$37.44 
ROCEPHIN 250MG,J0696,$22.50 
DEPO MEDROL,J1030,$9.25 
TORADOL 15MG,J1885,$8.00 
NUBAIN 10MG,J2300,$2.25 
PHENERGAN UP TO 50MG,J2550,$6.25 
PAP,Q0091,$25.00 
AFLURIA,Q2035,$25.00 
FLULAVAL,Q2036,$25.00 
FLUIRON,Q2037,$25.00 
FLUZONE,Q2038,$25.00 
TRANSIT CARE WITHIN 14DAY,99495,$126.00 
TRANSIT CARE WITHIN 7 DYA,99496,$185.00 
PROLIA 1MG,J0897,$30.00 
LVL 1 NEW PT VISIT,99201,$27.00 
LVL 1 NEW PT VISIT + PROC,99201,$27.00 
LVL 2 NEW PT VISIT,99202,$44.00 
LVL 2 NEW PT VISIT + PROC,99202,$44.00 
LVL 3 NEW PT VISIT,99203,$70.00 
LVL 3 NEW PT VISIT + PROC,99203,$70.00 
LVL 4 NEW PT VISIT,99204,$89.00 
LVL 4 NEW PT VISIT + PROC,99204,$89.00 
LVL 5 NEW PT VISIT,99205,$102.00 
LVL 5 NEW PT VISIT + PROC,99205,$102.00 
PREV VISIT <1 YR NEW,99381,$90.00 
PREV VISIT 1-4 YR NEW,99382,$92.00 
PREV VISIT 5-11 NEW,99383,$88.00 
PREV VISIT 12-17 NEW,99384,$94.00 
PREV VISIT 18-39 NEW,99385,$99.00 
PREV VISIT 18-39 NEW+PROC,99385,$99.00 
PREV VISIT 40-64 NEW,99386,$52.00 
PREV VISIT 40-64 NEW+PROC,99386,$52.00 
PREV VISIT 65 + NEW,99387,$59.00 
PREV VISIT 65 + NEW +PROC,99387,$59.00 
PREV VISIT <1 YR EST,99391,$64.00 
PREV VISIT 1-4 YR EST,99392,$68.00 
PREV VISIT 5-11 EST,99393,$66.00 
PREV VISIT 12-17 EST,99394,$72.00 
PREV VISIT 18-39 EST,99395,$76.00 
PREV VISIT 18-39 EST+PROC,99395,$76.00 
PREV VISIT 40-64 EST,99396,$37.00 
PREV VISIT 40-64 EST+PROC,99396,$37.00 
PREV VISIT 65+YR EST,99397,$42.00 
PREV VISIT 65+YR EST+PROC,99397,$42.00 
I&D CYST ABSCESS,10060,$131.00 
I&D SEROMA HEMATOMA,10140,$124.00 
DEBRIDEMENT SKIN,11042,$96.00 
BX SINGLE LESION,11100,$128.00 
BX ADDL SKIN LESION,11101,$61.00 
PELLET IMPLANT,11980,$118.00 
I&D VULV PERINEAL ABSCESS,56405,$101.00 
DEST VULV LESION ANY METH,56501,$188.00 
EXC VAG CYST,57135,$194.00 
PESSARY FITTING & INSERT,57160,$103.00 
COLP W/O BX,57452,$147.00 
COLP W/BX,57454,$182.00 
EXC BX CERVICAL LESION,57500,$190.00 
ECC,57505,$147.00 
CRYO OF CERVIX,57511,$233.00 
LEEP,57522,$330.00 
ENDO BX,58100,$158.00 
D & C,58120,$331.00 
POSTPARTUM VISIT,59430,$150.00 
UA W/MICRO,81002,$25.00 
UA W/O MICRO,81002,$25.00 
OCCULT BLOOD,82270,$15.00 
IMMUN ADMIN,90471,$40.00 
IMM ADMIN EA ADDL,90472,$25.00 
INJECTION,96372,$40.00 
FOLEY CATH W/BAG,A4344,$32.00 
STRAIGHT CATH,A4351,$8.30 
"PESSARY, RUBBER",A4561,$125.00 
PESSARY NON-RUBBER,A4562,$125.00 
FLU VAC ADMIN,G0008,$40.00 
PNEUMOVAX ADMIN,G0009,$40.00 
HEP ADMIN,G0010,$40.00 
HEP B,90746,$95.50 
PNEUMOVAX,90732,$71.00 
PELVIC EXAM,G0101,$36.48 
ROCEPHIN 250MG,J0696,$22.50 
DEPO MEDROL,J1030,$9.25 
TORADOL 15MG,J1885,$8.00 
NUBAIN 10MG,J2300,$2.25 
PHENERGAN UP TO 50MG,J2550,$6.25 
PAP SMEAR,Q0091,$28.75 
AFLURIA,Q2035,$25.00 
FLULAVAL,Q2036,$25.00 
FLUVIRON,Q2037,$25.00 
FLUZONE,Q2038,$25.00 
NOSVLU,Q2039,$25.00 
TRANSIT CARE WITHIN 7 DAY,99496,$185.00 
LVL 1 NEW PT VISIT,99201,$27.00 
LVL 1 NEW PT VISIT + PROC,99201,$27.00 
LVL 2 NEW PT VISIT,99202,$44.00 
LVL 2 NEW PT VISIT + PROC,99202,$44.00 
LVL 3 NEW PT VISIT,99203,$70.00 
LVL 3 NEW PT VISIT + PROC,99203,$70.00 
LVL 4 NEW PT VISIT,99204,$89.00 
LVL 4 NEW PT VISIT + PROC,99204,$89.00 
LVL 5 NEW PT VISIT,99205,$102.00 
LVL 5 NEW PT VISIT + PROC,99205,$102.00 
PREV VISIT <1 YR NEW,99381,$90.00 
PREV VISIT 1-4 YR NEW,99382,$92.00 
PREV VISIT 5-11 NEW,99383,$88.00 
PREV VISIT 12-17 NEW,99384,$94.00 
PREV VISIT 18-39 NEW,99385,$99.00 
PREV VISIT 18-39 NEW+PROC,99385,$99.00 
PREV VISIT 40-64 NEW,99386,$52.00 
PREV VISIT 40-64 NEW+PROC,99386,$52.00 
PREV VISIT 65+ NEW,99387,$59.00 
PREV VISIT 65+ NEW + PROC,99387,$59.00 
PREV VISIT <1 YR EST,99391,$64.00 
PREV VISIT 1-4YR EST,99392,$68.00 
PREV VISIT 5-11 EST,99393,$66.00 
PREV VISIT 12-17 EST,99394,$72.00 
PREV VISIT 18-39 EST,99395,$76.00 
PREV VISIT 18-39 EST+PROC,99395,$76.00 
PREV VISIT 40-64 EST,99396,$37.00 
PREV VISIT 40-64 EST+PROC,99396,$37.00 
PREV VISIT 65+YR EST,99397,$42.00 
PREV VISIT 65+YR EST+PROC,99397,$42.00 
I&D CYST ABSCESS,10060,$131.00 
I&D SEROMA HEMATOMA,10140,$124.00 
DEBRIDEMENT SKIN,11042,$96.00 
BX SINGLE LESION,11100,$128.00 
BX ADDL SKIN LESION,11101,$61.00 
PELLET IMPLANT,11980,$118.00 
I&D VULV PERINEAL ABSCESS,56405,$101.00 
DEST VULV LESION ANY METH,56501,$188.00 
EXC VAG CYST,57135,$194.00 
PESSARY FITTING & INSERT,57160,$103.00 
EXC BX CERVICAL LESION,57500,$190.00 
ECC,57505,$147.00 
CRYO OF CERVIX,57511,$233.00 
LEEP,57522,$330.00 
ENDO BX,58100,$158.00 
D&C,58120,$331.00 
POST PARTUM VISIT,59430,$150.00 
UA W/MICRO,81002,$25.00 
UA W/O MICRO,81002,$25.00 
OCCULT BLOOD,82270,$15.00 
VENIPUNCTURE,36415,$20.00 
IMMUN ADMIN,90471,$40.00 
IMM ADMIN EA ADDL,90472,$25.00 
INJECTION,96372,$40.00 
FOLEY CATH W/BAG,A4344,$32.00 
STRAIGHT CATH,A4351,$8.30 
PESSARY RUBBER,A4561,$125.00 
PESSARY NON RUBBER,A4562,$125.00 
FLU VAC ADMIN,G0008,$40.00 
PNEUMOVAX ADMIN,G0009,$40.00 
HEP ADMIN,G0010,$40.00 
HEP B,90746,$95.50 
PNEUMOVAX,90732,$71.00 
PELVIC EXAM,G0101,$27.00 
ROCEPHIN 250MG,J0696,$22.50 
DEPO MEDROL,J1030,$9.25 
TORADOL 15MG,J1885,$8.00 
NUBAIN 10MG,J2300,$2.25 
PHENERGAN UP TO 50MG,J2550,$6.25 
PAP SMEAR,Q0091,$25.00 
AFLURIA,Q2035,$25.00 
FLULAVAL,Q2036,$25.00 
FLUVIRON,Q2037,$25.00 
FLUZONE,Q2038,$25.00 
NOSVLU,Q2039,$25.00 
TRANSIT CARE WITHIN 14DAY,99495,$126.00 
TRANSIT CARE WITHIN 7 DAY,99496,$185.00 
NEW PT LVL 1,99201,$25.00 
NEW PT LVL 1 + PROC,99201,$25.00 
NEW PT LVL 2,99202,$35.00 
NEW PT LVL 2 + PROC,99202,$35.00 
NEW PT LVL 3,99203,$49.00 
NEW PT LVL 3 + PROC,99203,$49.00 
NEW PT LVL 4,99204,$59.00 
NEW PT LVL 4 + PROC,99204,$59.00 
NEW PT LVL 5,99205,$76.00 
NEW PT LVL 5 + PROC,99205,$76.00 
PREV VISIT NEW < 1 YR,99381,$90.00 
PREV VISIT NEW 1-4,99382,$92.00 
PREV VISIT NEW 5-11,99383,$88.00 
PREV VISIT NEW 12-17 YR,99384,$94.00 
PREV VISIT NEW 18-39 YR,99385,$99.00 
PREV VISIT NEW 18-39,99385,$99.00 
PREV VISIT NEW 40-64,99386,$52.00 
PREV VISIT NEW 40-64 +PRO,99386,$52.00 
PREV VISIT NEW 65+ YR,99387,$59.00 
PREV VISIT NEW 65+ +PROC,99387,$59.00 
PREV VISIT EST <1 YR,99391,$64.00 
PREV VISIT EST 1-4 YRS,99392,$68.00 
PREV VISIT EST 5-11 YRS,99393,$66.00 
PREV VISIT EST 12-17 YRS,99394,$72.00 
PREV VISIT EST 18-39 YRS,99395,$76.00 
PREV VISIT EST 18-39+PROC,99395,$76.00 
PREV VISIT EST 40-64 YRS,99396,$37.00 
PREV VISIT EST 40-64+ PRO,99396,$37.00 
PREV VISIT EST 65 + YRS,99397,$42.00 
PREV VISIT EST 65 + PROC,99397,$42.00 
I&D CYST ABSCESS,10060,$131.00 
I&D SEROMA HEMATOMA,10140,$124.00 
DEBRIDEMENT SKIN,11042,$96.00 
BX SINGLE LESION,11100,$128.00 
BX ADDL SKIN LESION,11101,$61.00 
PELLET IMPLANT,11980,$118.00 
I&D VULVA PERINEAL ABSCES,56405,$101.00 
I&D BARTH DUCT CYST,56420,$190.00 
DEST VULVAR LESION,56501,$188.00 
EXC VAG CYST,57135,$194.00 
PESSARY INSERT/FITTING,57160,$103.00 
COLP W/BX,57454,$182.00 
EXC BX CERV LESION,57500,$190.00 
ECC,57505,$147.00 
CRYO OF CERVIX,57511,$233.00 
LEEP,57522,$330.00 
ENDO BX,58100,$158.00 
D&C,58120,$331.00 
POSTPARTUM VISIT,59430,$150.00 
UA W/MICRO,81002,$25.00 
UA W/O MICRO,81002,$25.00 
OCCULT BLOOD,82270,$15.00 
IMMUN ADMIN,90471,$40.00 
IMM EA ADDL,90472,$25.00 
INJECTION,96372,$40.00 
FOLEY CATH W/BAG,A4344,$32.00 
STRAIGHT CATH,A4351,$8.30 
PESSARY RUBBER,A4561,$125.00 
PESSARY NONRUBBER,A4562,$125.00 
FLU ADMIN,G0008,$40.00 
PNEUMO ADMIN,G0009,$40.00 
HEP ADMIN,G0010,$40.00 
HEP B,90746,$95.50 
PNEUMOVAX,90732,$71.00 
PELVIC EXAM,G0101,$44.18 
ROCEPHIN 250 MG,J0696,$22.50 
DEPO MEDROL,J1030,$9.25 
TORADOL 15MG,J1885,$8.00 
NUBAIN 10MG,J2300,$2.25 
PHENERGAN UP TO 50MG,J2550,$6.25 
PAP,Q0091,$25.00 
AFLURIA,Q2035,$25.00 
FLULAVAL,Q2036,$25.00 
FLUIRON,Q2037,$25.00 
FLUZONE,Q2038,$25.00 
TRANSIT CARE WITHIN 14 DA,99495,$126.00 
TRANSIT CARE WITHIN 7 DAY,99496,$185.00 
PROLIA 1MG,J0897,$30.00 
EKG,93005,$63.68 
SPECIMEN COLLECTION,36415,$24.60 
MAJOR OR 1.75 HOURS, ,"$2,415.60 "
ENDO MAJOR, ,"$5,299.86 "
1ST 30 MINUTES (15 MIN), ,"$2,758.26 "
1ST 30 MINUTES, ,"$2,758.26 "
MINOR OR 45 MIN, ,"$3,447.65 "
MINOR OR 1 HOUR, ,"$4,481.74 "
MINOR OR 1.25 HOURS, ,"$4,136.86 "
MINOR OR 1.5 HOURS, ,"$4,395.38 "
MINOR OR 1.75 HOURS, ,"$6,549.91 "
MINOR OR 2 HOURS, ,"$3,712.64 "
MINOR OR 2.25 HOURS, ,"$5,251.90 "
MINOR OR 2.5 HR, ,"$4,638.35 "
MINOR OR 2.75 HOURS, ,"$3,712.82 "
MINOR OR 3 HR, ,"$4,442.66 "
MINOR OR 3.25 HOURS, ,"$5,480.68 "
MINOR OR 3.75 HOURS, ,"$5,807.86 "
MINOR OR 4 HOURS, ,"$5,288.84 "
E.S.U., ,$72.50 
INFRARED COAG, ,$62.00 
HYPHERCATOR, ,$62.00 
MONITOR, ,$34.75 
DINAMAP-OR, ,$39.25 
HEATER PROBE, ,$86.00 
OXIMETER, ,$26.25 
OLYMPUS-COLONSCOPE, ,$132.75 
OLYMPUS-ERCP-SCOPE, ,$132.75 
OLYMPUS-GASTROSCOPE, ,$132.75 
OLYMPUS-ENDO-VIDEO UNIT, ,$225.75 
OLYMPUS-ENDO-NO-VIDEO SYS, ,$180.75 
ERBE CAUTERY UNIT, ,$208.25 
OMNI - JUG       5036-00, ,$55.25 
BOS-SCI SCLE NE MOO518311 , ,$133.25 
BOS SCI H 44 20 MOO583040,C1769,"$1,452.00 "
BOS SCI H 49 20 M00583000,C1769,"$1,452.00 "
BOS SC TRAP SM M00510880, ,$962.50 
OLY EZDILATE BD400PI580, ,$465.50 
OLYP EZ 16-17-18 BD400PI880, ,$465.50 
BOS-SCI DILCRE18-19-20-58, ,$623.75 
B SC D W 121315 M00558480, ,$779.75 
OLY EZDILATE BD41OXO855, ,$570.50 
OL EZ 8.5-9.5-10 BD 410X1055, ,$570.50 
OLY EZ 11-12 -13 BD410X1355, ,$570.50 
BOS SCI DIL W151618 5849, ,$779.15 
COOK CATH BIL D 7F G21573,C1726,$223.25 
COOK CATH BI D 10F G21729,C1726,$223.25 
COOK STE CO BI 7-7 G21952, ,$455.00 
BOS-SCI CRE-W 181920 5850, ,$779.80 
COOK CATH P ST 5F G21771, ,$154.00 
ENDO DEVICE RES-R DGN5385, ,$297.50 
BOS-S SYR-ALLI M00550601, ,$114.75 
HALY TUBE G-J FEE 0250-18, ,$790.75 
COOK COL DEC S CDSG14 175, ,$591.50 
BOS-SC SUPERVIEW-LIG4225, ,"$1,025.75 "
HAL TUB-GAS-FE 24 0100-24, ,$129.25 
HAL MIC-KEY GAS-FEED-TUBE, ,$358.50 
KIM CL GAST MIC 20F 10020, ,$109.75 
OLYMPUS PROB HE LG CD110U, ,$172.50 
OLYMPUS PROB HE SM CD120U, ,$344.50 
BOS-SCI HYDRATOME 8303, ,"$1,466.50 "
BOS-SCI LOCKING DEVIC4526, ,$31.25 
BOS-SCI TRAP LG OO510890, ,$962.50 
BOS-SC JAC-RX44 M00573070, ,"$1,137.50 "
ABBOT CONNECT Y-PORT 836, ,$18.25 
BOS DEVICE I 26 MOO566670, ,$255.50 
BOS NEED KNIF-T M00545840, ,$693.00 
BOS SCI DREAMWI M00556141,C1769,$658.50 
BOS SCI JAGWIRE M00556001, ,"$1,316.75 "
BOS SCI G W NAV MOO556221, ,$405.50 
HALY KIT-A-PEG-FEE 013620, ,$30.00 
MEDIV VALVE KIT DI 100305, ,$21.00 
US END SUCT DEVICE 1513, ,$437.50 
Olymp Endoc Vis LG ARV120, ,$105.00 
Olymp Endoc Vis Sm ARV130, ,$105.00 
ERBE TUB CAP SET 20325239, ,$18.25 
BARD BUTTON 18X34  000284, ,$520.75 
BOS-SCI SNARE SM   6269, ,$34.75 
BARD BUTTON 18X1.7 000282, ,$520.75 
BOS-SCI SNARE MED 626740, ,$34.75 
HALY TUBE G-J FEE 0250-22, ,$790.75 
OLY SNARMAST 10M SD210U10, ,$28.50 
OLY BX FORCEP LRG FB225U, ,$21.50 
OLY BX FORCEP JUMB FB224U, ,$24.50 
OLY BX FORCEP  STD FB 220U, ,$21.50 
OLY BX FORCEP HOT FB210U, ,$56.00 
US END GRA D R 00711177, ,$455.00 
US END GRA OVE G 00711148, ,$699.50 
US END GRA OVE E 00711146, ,$603.25 
US END GRA D 4 P 00711175, ,$500.50 
BARD CYTOLOGY-BRUS 000110, ,$31.50 
HALY PEA PULL 20FR 716020, ,$252.50 
BOS SCI SNA R M M00561831, ,$82.25 
BOS SCI PED SNA M00562571,A4649,$91.00 
OLY BASK RETRIEV FGV21PR, ,$700.00 
BOS CAP-S-W-P-S M00561222, ,$56.00 
BOS SNA-C M00562341, ,$56.00 
OLY CLIP REPOSI HX202UR.A, ,$528.50 
BOS SNA-CAP-H-S M00562451, ,$56.00 
BOST BRU WIR ER M00545000, ,$374.50 
HALY PULL-PEG 24F 7160-24, ,$252.50 
BOS S ULTRATOME M00530820, ,$351.75 
US END SNAR IN C 00711084, ,$399.00 
US END ROTH PL 230 715050, ,$367.50 
GI SUPPLY SPOT   GI45, ,$126.00 
OLYM POLY TRAP ET2213, ,$17.50 
W.C. CHBS 10-5 CHBS105, ,$455.00 
WC CHBS 10-7 CHBS107, ,$455.00 
W.C. CHBS 10-9 CHBS109, ,$483.00 
W.C. CHBS 10-12 G21999, ,$455.00 
COOK STE C B 10-15 C22000, ,$455.00 
W.C. CHBS 11.5-5 G21541, ,$455.00 
W.C. CHBS 11.5-7 G21542, ,$416.50 
COOK STE C B11 5-9 G21545, ,$416.50 
COOK STENT PBI 6 4 G22191,C2625,$416.50 
COOK STENT PB 6 7 G22194,C2625,$416.50 
COOK STENT PB 6 10G21795,C2625,$416.50 
COOK STENT P B 7-4 G21393, ,$416.50 
COOK STENT P BI 7F G21396, ,$455.00 
W.C. ZEBD 7-10 ZEBD710, ,$455.00 
BOS S C H B 4X4 MOO545900,C1726,$801.50 
BOS S C H B 6X4 MOO545920,C1726,$896.00 
W.C. CLBS 7-7 CLBS77, ,$425.50 
BOS S C H B 8X4 MOO545940,C1726,$896.00 
BO S C H B 10X4 MOO545960,C1726,$896.00 
BO SCI GO P 7F M00560150,C1733,$819.25 
WC 250 5-7 25057, ,$194.75 
COOK STENT P BI 4C G22137,C2625,$416.50 
COOK CA ERCP GI TA G21965,C1887,$213.50 
COOK STENT P BI 7CG22140,C2625,$455.00 
COOK ERCP G DOU LU G24694,C1887,$265.25 
COOK STENT PIG-BIL G22122,C2625,$490.00 
BOS SCI BA 9 12 MOO547000,C1726,$537.25 
OLY EXT BA 8.5-15 BV243QA ,C1726,$484.50 
BOS SCI JAG.025 M00556561, ,$450.50 
OLY Bal EX 8.5-15 BV233PA, ,$346.50 
OLY BAL EXT 15-20 BV433PA, ,$388.50 
WC COTT LEU B S7-9 G21954, ,$455.00 
BARD BUTTON 24X3.4 000287, ,$520.75 
BARD BUTTON 24X1.2 000293, ,$520.75 
BARD BUTTON 28X3 4 000263, ,$871.50 
BARD BUTTON 28X1.5 000261, ,"$1,092.00 "
BARD BUTTON 18X12 000292, ,$520.75 
BARD BUTTON 18X2.4 000283, ,$520.75 
BARD BUTTON 28X2.4 000262, ,$917.00 
BARD BUTTON 24X1.7 000285, ,$520.75 
BARD BUTTON 24X2.4 000286, ,$520.75 
BARD BUTTON 24X4.4 000296, ,$520.75 
BOS S ST PR 7X9 MOO534210,C2625,$497.00 
BOS S ST PR 7X9 M00534220,C2625,$497.00 
BOS S S PR 10X7 M00534330,C2625,$489.75 
BOS S ST P 10X9 MOO53340,C2625,$497.00 
BOS S ST 10X12 MOO534350,C2625,$497.00 
COOK STE GE P 5F-3 G49668, ,$232.75 
US END SUC DEV BIOVA 1513, ,$437.50 
ENDO UNDER $5.00, , 
ENDO UNDER 5, , 
RENAL LITHOTRIPSY-UNILAT, ,"$7,820.88 "
RENAL LITHOTRIPSY-BILAT, ,"$15,641.76 "
SURGI-CENTER PAIN BLOCK, ,$841.49 
EHL PROCED-UNIT- PROBE, ,"$3,669.10 "
EHL-LASER UNIT-PR LAS-FIB, ,"$3,669.10 "
LASER LITHOTRIPSY-U-FIB-1, ,"$3,669.10 "
INSERTION STRAIGHT CATH,51701,$114.00 
EKG,93005,$68.62 
SPECIMEN COLLECTION,36415,$24.60 
SURGI-CENTER PROCED-EXAM, ,$298.58 
LOC-IV-SED-MONIT-SYS1-POL, ,$100.25 
MAJOR OR 8.25 HR, ,"$14,175.83 "
MAJOR OR 8.50 HR, ,"$14,612.10 "
MAJOR OR 8.75 HR, ,"$15,048.34 "
MAJOR OR 9.0 HR, ,"$15,702.24 "
MAJOR OR 9.25 HR, ,"$16,138.48 "
MAJOR OR 9.5 HR, ,"$14,288.57 "
MAJOR OR 9.75 HR, ,"$14,664.66 "
MAJOR OR 10.0 HR, ,"$13,010.79 "
MAJOR OR 10.25 HR, ,"$13,395.42 "
MAJOR OR 10.50 HR, ,"$15,985.31 "
MAJOR OR 10.75 HR, ,"$12,211.59 "
MAJOR OR 11.0 HR, ,"$16,878.48 "
MAJOR OR 11.25 HR, ,"$12,875.36 "
MAJOR OR 11.50 HR, ,"$13,206.95 "
MAJOR OR 11.75 HR, ,"$21,132.68 "
