Hospital Name:  AHMC WHITTIER HOSPITAL MEDICAL CENTER,,,
OSHPD Facility No: 106190883,,,
"Effective Date of Charges: June 1, 2018",,,
2420024,NM CISTERNOGRAPHY FLUID FLOW W/IMAGING,$2776.00,
2420029,NM CARD EJECTION FRACTION,$1299.00,
2420031,NM GALLIUM COMPLETE,$4603.00,
2420034,NM CYSTOGRAM VOIDING,$1824.00,
2420036,NM CISTERNOGRAPHY INJECTION:SP,$2546.00,
2420046,NM ACUTE GI BLOOD LOSS IMAGING,$3453.00,
2420047,NM TUMOR LOCALIZATION LIMITED,$3310.00,
2420048,NM INTESTINE IMAGING,$1810.00,
2420049,NM RADIOPHARM LOC ABSCESS,$2394.00,
2420051,NM MYOCARDIAL PLANAR IMAG QUAL/QUAN,$2132.00,
2420052,NM LUNG PERFUSION ONLY,$2121.00,
2420056,NM LIVER SPLEEN IMAGING W/VASCULAR FLOW,$1495.00,
2420058,NM LIVER SPLEEN IMAGING STATIC ONLY,$1583.00,
2420060,NM BRAIN IMAGING TOMOGRAPHIC (SPECT),$2153.00,
2420063,NM BONE/JOINT TOMOGRAPHIC SPECT,$2804.00,
2420068,NM RENAL IMAGING TOMOGRAPHIC SPECT,$2153.00,
2420074,NM PARATHYROID PLANAR IMAGING,$1726.00,
2420111,NM RENAL CORTICAL,$2754.00,
2420113,NM INFLAMITORY PROCESS TOMOGRAPHIC SPECT,$2677.00,
2420115,NM INFLAMITORY PROCESS LIMITED,$1774.00,
2420120,NM SPLEEN IMAGING,$1952.00,
2420121,NM KIDNEY VASCULAR FLOW ONLY,$1824.00,
2420124,NM SCHILLING  EXAM W/O INTRINSIC FACTOR,$1313.00,
2420129,NM KIDNEY IMAG VASCLR/FUNCT W/WO PHARM,$2656.00,
2420134,NM THALLIUM PLANAR SINGL REST/STRESS,$2132.00,
2420136,NM TESTICULAR IMAGING W/VASCULAR FLOW,$2004.00,
2420141,NM THYROID UPTAKE MULTIPLE,$1017.00,
2420142,NM THYROID ABLATION I-131,$1507.00,
2420145,NM THYROID IMAGING W/VASC FLOW,$1160.00,
2420147,NM THYROID UPTAKE W/VASC FLOW SNGL/MULT,$1839.00,
2420149,NM THYROID UPTAKE SINGLE,$584.00,
2420151,NM THYROID THERAPY HYPR,$1506.00,
2420152,NM VENOUS THROMBOSIS IMAGING UNILATERAL,$1952.00,
2420154,NM VENOUS THROMBOSIS IMAGING BILATERAL,$2512.00,
2420155,NM CISTERNOGRAM,$2722.00,
2420158,NM CARD WALL MOT SINGLE S,$2550.00,
2420159,NM TUMOR IMAGING 3D TOMOGRAPHIC SPECT,$2804.00,
2420161,NM BONE/JOINT IMAGING 3-PHASE STUDY,$3696.00,
2420162,NM CARD INFACT IMAGE E/F 1ST PASS,$1824.00,
2420183,NM PERFUSION FLOW IMAGING NON CARDIAC,$1494.00,
2420192,NM LYMPHATICS AND LYMPH NODES IMAGING,$3310.00,
2420194,NM CARDIAC SPEC R OR S SI,$2247.00,
2420196,NM CARDIAC REST SPECT SIN,$2132.00,
2420243,NM MYOCARD PERF W/EJECT FRACTION,$1299.00,
2420268,NM MYOCARD PERF W/WALL MOTION,$1299.00,
2422026,NM THYROID CA IMAGING WHOLE BODY,$1506.00,
2422035,NM SCHILLING PHSE II,$1409.00,
2422037,NM SCHILLING PHSE I,$1313.00,
2422045,NM CARDIAC REST PLANAR SI,$1706.00,
2422047,NM CARDIAC PLANAR R AND/O,$2486.00,
2428000,"NM HEPATOBILIARY SYST IMAG,INCL GALLBLDR",$1232.00,
2428001,"NM HEPATOBILRY SYS IMG,INC GALLBL W/PHAR",$1232.00,
2428002,"NM PULMUNARY VENTIL IMG (AERO,GAS) ONLY",$2672.00,
2428003,NM PULMONARY VENTILATION&PERFUSION IMAGE,$3144.00,
2428004,"NM QUANTITATIVE DIFF PULM PERF, INC IMG",$851.00,
2428005,NM QUANTITATV DIF PULM PERF VENT W/IMG,$1329.00,
2500001,=>MRI<=,$0.00,
2520002,RECONSTRUCTION 3 DIM MRA,$278.00,
2520003,RECONSTUCTION 3 VITREA MRA,$420.00,
2520004,MRA UPR EXT NONJNT W/WO CONTRAST,$8980.00,
2520006,MRI SPECTROSCOPY,$8889.00,
2520007,MRI ABDOMEN W CONTRAST,$2260.00,
2520009,MRI ABDOMEN WO CONTRAST,$5087.00,
2520011,MRI CERVICAL SPINE WO CONTRAST,$8911.00,
2520017,MRI BRAIN W/CONTRAST,$8691.00,
2520019,MRI BRAIN WO CONTRAST,$7245.00,
2520025,MRI CHEST WO CONTRAST,$6752.00,
2520029,MRI CERVICAL SPINE W CONTRAST,$8039.00,
2520031,MRI UPR EXT NONJNT W/WO CONTRAST,$6313.00,
2520032,MRI LWR EXT NONJNT W/WO CONTRAST,$2468.00,
2520033,MRI LWR EXT JNT WO CONTRAST,$5490.00,
2520040,MRI HEAD 1 SEQUENCE,$6587.00,
2520046,MRI ORBITS/FACE/NECK WO CONTRAST,$2062.00,
2520047,MRI UPR EXT JNT WO CONTRAST,$6313.00,
2520048,MRI HEAD 2 SEQUENCES,$6587.00,
2520050,MRI LUMBAR SPINE W CONTRAST,$8691.00,
2520052,MRI LUMBAR SPINE WO CONTRAST,$5883.00,
2520053,MRI MISC PROCEDURE,$6069.00,
2520054,MRI KNEE W/O CONTRAST,$2846.00,
2520056,MRI HEAD 3 SEQUENCES,$5269.00,
2520064,MRI PELVIS W/WO CONTRAST,$6702.00,
2520066,MRI CERVICAL SPINE W/WO CONTRAST,$8615.00,
2520067,MRI PELVIS W CONTRAST,$6702.00,
2520071,MRI TMJ WO CONTRAST,$6313.00,
2520075,MRI PITUITARY,$6587.00,
2520076,MRI THORACIC SPINE W CONTRAST,$2260.00,
2520078,MRI THORACIC SPINE WO CONTRAST,$6702.00,
2520120,MRI LUMBAR SPINE W/WO CONTRAST,$2885.00,
2520122,MRI THORACIC SPINE W/WO CONTRAST,$2885.00,
2520128,MRI BRAIN W/WO CONTRAST,$8691.00,
2520255,MRA ABDOMEN W/O CONTRAST,$2260.00,
2520261,MRA ABDOMEN W/WO CONTRAST,$2885.00,
2520264,MRA SPINE CANAL,$8980.00,
2520270,MRA LWR EXT WO CONTRAST,$2260.00,
2520276,MRA LWR EXT W/WO CONTRAST,$2468.00,
2520278,MRA LWR EXT W CONTRAST,$2260.00,
2520279,MRA PELVIS W/WO CONTRAST,$2885.00,
2520951,MRA UPR EXT JNT WO CONTRAST,$8980.00,
2521355,MRI CARD MORPH W/O CONTRAST,$8889.00,
2521363,MRI CARD FUNCT W FLOW/VEL QUANT,$8163.00,
2521371,MRI CARD FUNCT W/ STRESS IMAG,$8967.00,
2521397,MRI GUIDE NEEDLE PLCMNT,$4508.00,
2522030,MRI BRAIN W CONTRAST,$8691.00,
2522032,MRI UPR EXT JNT W/WO CONTRAST,$2885.00,
2522036,MRI TMJ W/WO CONTRAST,$1967.00,
2522037,MRI ORBITS/FACE/NECK W/WO CONTRAST,$2885.00,
2522039,MRI ORBITS/FACE/NECK W CONTRAST,$2260.00,
2522040,MRI CHEST W/WO CONTRAST,$2885.00,
2522041,MRA HEAD W/WO CONTRAST,$2060.00,
2522042,MRI CHEST W CONTRAST,$2260.00,
2522043,MRA HEAD W CONTRAST,$2060.00,
2522044,MRA NECK W/WO CONTRAST,$2060.00,
2522045,MRA HEAD WO CONTRAST,$2060.00,
2522046,MRI UPR EXT NONJNT WO CONTRAST,$2062.00,
2522047,MRA NECK W CONTRAST,$2060.00,
2522048,MRI PELVIS WO CONTRAST,$2062.00,
2522049,MRA NECK WO CONTRAST,$2060.00,
2522050,MRI LWR EXT NONJNT WO CONTRAST,$2062.00,
2522051,MRI ABDOMEN W/WO CONTRAST,$2885.00,
2522052,MRI UPR EXT JNT W CONTRAST,$2260.00,
2522053,MRI LWR EXT JNT W/WO CONTRAST,$2468.00,
2522054,MRI UPR EXT NONJNT W CONTRAST,$2260.00,
2522056,MRI LWR EXT JNT W CONTRAST,$2260.00,
2522058,MRI LWR EXT NONJNT W CONTRAST,$2260.00,
2522593,MRA ABDOMEN W CONT,$5.00,
2522635,MRI BREAST UNILAT W/WO CONTRAST,$8889.00,
2522668,MRI BREAST BILAT W/WO CONTRAST,$8889.00,
2522692,MRA CHEST W/WO CONTRAST,$8980.00,
2600001,=>US<=,$0.00,
2620000,US BREAST UNILATERAL,$709.00,
2620001,US BREAST COMPLETE: UNILATERAL,$1245.00,
2620002,US BREAST LIMITED: UNILATERAL,$709.00,
2620004,US BREAST,$1245.00,
2620005,US AMNIOCENT GUIDE,$1877.00,
2620007,US ABDOMINAL LIMITED,$1796.00,
2620008,US GUIDANCE FOR NEEDLE PLACEMENT,$1747.00,
2620011,US OB FOLLOW UP PER FETUS,$821.00,
2620015,US EXTREMITY NON VASCULAR,$1256.00,
2620016,US EXT NON VASC REAL TIME W/IMG COMPLETE,$1306.00,
2620017,US EXT NON VASC REAL TIME W/IMG LIMITED,$1306.00,
2620018,US CEREBRAL,$1256.00,
2620025,US OB LIMITED 1 OR MORE FETUSES,$990.00,
2620028,US ASP/INJ CYST ADDL:SP,$1747.00,
2620030,US SOFT TISSUE HEAD/NECK,$2036.00,
2620031,US ASP/INJ THYROID:SP,$1426.00,
2620040,ECHOGRAPHY INTRAOPERATIVE,$2094.00,
2620041,US PELVIC LIMITED NON OB,$1025.00,
2620045,US PELVIC COMPLETE NON OB,$1840.00,
2620051,US TESTICULAR/SCROT,$1936.00,
2620054,US GUIDE PERC DRAIN ABSCESS,$1877.00,
2620055,US NON OB TRANSVAGINAL,$364.00,
2620058,US RETROPERITONEAL COMPLETE,$1747.00,
2620065,US ASP/INJ BREAST:SP,$1747.00,
2620066,US NEEDLE LOCALIZATION,$1747.00,
2620072,US ABDOMINAL COMPLETE,$1922.00,
2620073,US CHEST,$1109.00,
2620074,US OB COMPLETE > 14WKS ADDTNL GEST,$1147.00,
2620075,US OB COMPLETE >14WKS SINGLE GEST,$1485.00,
2620076,US THORACENTESIS:SP,$1165.00,
2620099,US BIOPSY NEEDLE:SP,$1747.00,
2620101,US ASP/INJ THORACENTESIS:SP,$1165.00,
2620102,US DUPLEX SCAN LWR EXT ARTERY UNI LTD,$1772.00,
2620104,US ASP/INJ PARACENTESIS:SP,$1877.00,
2620105,US ASP/INJ RENAL CYST :SP,$1747.00,
2620117,US PLACE BREAST CLIP PERC:SP,$441.00,
2620119,US BX BREAST PERC W/DEVICE:SP,$2180.00,
2620120,US OB TRANSVAGINAL,$1147.00,
2620124,US OB COMPLETE W/FETAL ANTMY SINGLE GEST,$1485.00,
2620127,US OB COMPLETE <14WKS SINGLE GEST,$1485.00,
2620128,US OB COMPLETE <14WKS ADDTNL GEST,$1147.00,
2620200,US HYSTEROSONOGRAPHY INJ:SP,$527.00,
2620201,US BIOPSY LIVER:SP,$1747.00,
2620202,US BIOPSY THYROID:SP,$1747.00,
2620203,US BIOPSY KIDNEY:SP,$1747.00,
2620204,US BIOPSY ABDOMEN:SP,$1747.00,
2620206,US PREOP NDL LOCALZTN WIRE:SP,$587.00,
2620209,US BIOPSY LUNG:SP,$1747.00,
2620212,US SINGLE ORGAN,$501.00,
2620218,US FINE NEEDLE ASPIRATION W/GUIDANCE:SP,$1747.00,
2620219,US GUIDE VASCULAR ACCESS,$1256.00,
2620546,US SPECIMEN,$367.00,
2621155,US FETAL BIOPHYSICAL PROFILE W/O NST,$658.00,
2621221,US INFANT HIPS DYNAMIC,$1306.00,
2621239,US INFANT HIPS STATIC,$1306.00,
2622002,US RENAL/AORTA/RETRO LIMITED,$1922.00,
2622005,US AMNIOCENTESIS:SP,$1877.00,
2622012,US DUPLEX ARTRIAL/VENOUS ABDOMEN COMPLET,$1772.00,
2622020,US ASP/INJ PERITONEAL/PARACENTESIS:SP,$1877.00,
2622021,US BIOPSY BREAST INCLUDING US GUIDANCE,$3494.00,
2622034,US HYSTEROSONOGRAPHY,$1840.00,
2622162,US ABD PARACENTESIS INCLUDING IMAGING:SP,$3624.00,
2630101,"US EXT NON-VASC REAL-TIME W/IMG,COMP**",$1306.00,
2630102,"US EXT NON-VASC REAL-TIME W/IMG,LTD**",$1306.00,
2700001,=>CT<=,$0.00,
2703461,CT ABDOMEN & PELVIS W/O CONTR**,$4846.00,
2703462,CT ABDOMEN & PELVIS W/ CONTR**,$4967.00,
2703463,CT ABDOMN &PELVS W/WO CONT**,$4973.00,
2720001,CT CHEST TUBE INSERT:SP,$1951.00,
2720002,RECONSTRUCTION 3 DIM CT,$278.00,
2720003,RECONSTRUCTION 3 VITREA CT,$420.00,
2720004,CT ABDOMEN  W/WO CONTRAST,$5298.00,
2720007,CT GUIDANCE FOR PERC DRAIN ABSCESS,$3681.00,
2720010,CT ORBIT/EAR/FOSSA W/WO CONTRAST,$4073.00,
2720012,CT ORBIT/EAR/FOSSA W CONTRAST,$3704.00,
2720015,CT GUIDE NDL BIOPSY,$4508.00,
2720016,CT AUDIT CANAL NO CO,$4819.00,
2720020,CT THORAX W/CONTRAST,$5298.00,
2720022,CT CHEST W/O CONTRAST,$3715.00,
2720028,CT CHEST W/WO CONTRAST,$4638.00,
2720047,CT THORACENTESIS:SP,$3087.00,
2720050,CT LOWER EXTREMITY W/CONTRAST,$2998.00,
2720051,CT UPPER EXTREMITY W/WO CONTRAST,$3583.00,
2720052,CT LOWER EXTREMITY W/O CONTRAST,$3704.00,
2720054,CT UPPER  EXTREMITY W/CONTRAST,$2386.00,
2720055,CT FACIAL BONES W/WO CONTRAST,$3936.00,
2720056,CT UPPER EXTREMITY W/O CONTRAST,$3365.00,
2720057,CT FACIAL BONES W/CONTRAST,$3215.00,
2720058,CT LOWER EXTREMITY W/WO CONTRAST,$3583.00,
2720059,CT FACIAL BONES W/O CONTAST,$3701.00,
2720065,CT HEAD W/O CONTRAST,$5420.00,
2720066,CT HEAD W/WO CONTRAST,$5001.00,
2720067,CT BIOPSY ABDOMEN/RETROPERITONEAL:SP,$1747.00,
2720071,CT NECK W/CONTRAST,$3904.00,
2720073,CT NECK W/O CONTRAST,$3347.00,
2720074,CT ABDOMEN/PELVIS W/O CONTRAST,$9375.00,
2720075,CT ABDOMEN/PELVIS W/CONTRAST,$9271.00,
2720076,CT ABDOMEN/PELVIS W/WO CONTRAST,$10078.00,
2720081,CT PELVIS W/O CONTRAST,$5288.00,
2720082,CT DRAINAGE RENAL ABSCESS:SP,$3704.00,
2720083,CT ORBITS W/WO CONTRAST,$4073.00,
2720084,CT POST FOSSA W/O CONTRAST,$4819.00,
2720085,CT ORBIT/SELLA/FOSSA/EAR  W/CONTRAST,$3704.00,
2720086,CT PELVIS W/WO CONTRAST,$4781.00,
2720087,CT ORBIT/SELLA/FOSSA/EAR  W/O CONTRAST,$4819.00,
2720088,CT PELVIS W/CONTRAST,$4543.00,
2720089,CT NECK W/WO CONTRAST,$4073.00,
2720090,CT SELLA TURC W/CONTRAST,$3704.00,
2720091,CT SINUS W/CONTRAST,$3258.00,
2720092,CT PANCREAS ASPIRATION/DR:SP,$4819.00,
2720093,CT SINUS NO CONTRAST,$3365.00,
2720096,CT POSTFOSSA W/CONTRAST,$5806.00,
2720097,CT SELLA TURC W/WO C,$4073.00,
2720099,CT SINUS WO/W CONTRAST,$3365.00,
2720101,CT C SPINE W/CONTRAST,$3452.00,
2720102,CT LUMBAR SPINE W/CONTRAS,$3452.00,
2720103,CT C SPINE W/O CONT,$4230.00,
2720104,CT LUMBAR SPINE W/O CONTR,$5180.00,
2720107,CT SPINE C LIMITED,$4230.00,
2720108,CT SPINE L LIMITED W/O CO,$5698.00,
2720109,CT CERVICAL SPINE WO/W C,$4142.00,
2720112,CT T SPINE W/CONTRAST,$3452.00,
2720113,CT SPINE T LIMITED,$4650.00,
2720114,CT T SPINE W/O CONT,$4650.00,
2720121,CT BIOPSY PANCREAS:SP,$1747.00,
2720122,CT BIOPSY KIDNEY:SP,$1747.00,
2720123,CT BIOPSY LUNG:SP,$1747.00,
2720129,CT BIOPSY LIVER:SP,$1747.00,
2720137,CT LIMITED OR F/U STUDY,$2245.00,
2720153,CT HEPATOTMY PERC DRN ABSCES:SP,$3681.00,
2720161,CT PERC DRN PANC PSEUDOCYST:SP,$3681.00,
2720169,CT BX BONE MARROW:SP,$1747.00,
2720189,CT BODY FULL COMPLETE,$2097.00,
2720708,CTA HEAD W/WO,$3899.00,
2720716,CTA NECK W/WO,$3342.00,
2720724,CTA CHEST W/WO,$4975.00,
2720732,CTA PELVIS W/WO,$4317.00,
2720740,CTA UPPER EXT W/WO,$3481.00,
2720757,CTA LOWER EXT W/WO,$3481.00,
2720765,CTA ABDOMEN W/WO CONTRAST,$4603.00,
2720773,CTA ABD AORTA/ILIOFEM RUNOFF W/WO,$4168.00,
2722001,CT ABDOMEN WITH CONTRAST,$4732.00,
2722003,CT ABDOMEN WITHOUT CONTRAST,$4087.00,
2722006,CT BIOPSY SOFT TISSUE:SP,$4349.00,
2722012,CT CHEST W/CONT,$5298.00,
2722015,CT HEAD OR BRAIN WITH CO,$2862.00,
2722021,CT HEAD OR BRAIN WO/W CO,$5500.00,
2722023,CT HEAD OR BRAIN WITHOUT,$5420.00,
2722061,CT DRAIN PERITONEAL ABSCESS:SP,$3681.00,
2722065,CT DRAIN RETROPERITONEAL ABSCESS:SP,$3681.00,
2722066,CT HEART WO CONT CALCUIM SCORING,$5298.00,
2722067,CT HEART STRUCT/MORPH W/WO CONT,$5298.00,
2722068,CT HRT W/CORO ART WO CAL SCORING W/WO,$5298.00,
2722069,CT HRT W/CORO ART W/CAL SCORING W/WO,$5298.00,
2722070,CT HRT W/CORO ART STRUCT/MORPH W/WO,$5298.00,
2722071,CT HRT W/CORO ART STRCT/MRPH/CALSCR W/WO,$5298.00,
2722072,CT HRT STRCT/MRPH CONG HRT DISEASE W/WO,$5298.00,
2722073,CT HEART FUNCTION EVAL ADDON,$5298.00,
2820001,5FU(FLUOROURACIL) SDV:500MG/10ML,$376.00,
2820003,A&D OINTMENT:  2 OZ,$89.00,
2820005,AMBISOME (AMPHO B LIP COM) SDV: 50MG,$1550.00,
2820007,ABILIFY (ARIPIPRAZOLE) TAB: 10MG,$77.00,
2820008,"ABBOKINASE(UROKINASE)INJ:5,000UNITS/ML",$284.00,
2820009,ACCOLATE (ZAFIRLUKAST) TAB:20 MG,$24.00,
2820010,ACCUPRIL (QUINAPRIL) TAB  10MG,$19.00,
2820011,ACCUPRIL (QUINAPRIL)TAB: 5MG,$19.00,
2820012,ACCUPRIL (QUINAPRIL)TAB: 20MG,$19.00,
2820013,ACCUPRIL (QUINAPRIL)TAB : 40MG,$19.00,
2820014,ADVIL 200 MG TABLET,$19.00,
2820015,ACCUZYME (PAPAIN/UREA) OINT: 30GM,$67.00,
2820018,ACETIC ACID 0.25% IRR 1000ML,$208.00,
2820019,ACETIC ACID 5% IRR 1000ML,$208.00,
2820022,ACLOVATE(ALCLOMETASONE) OINT:0.05%,$166.00,
2820025,ACTH(CORTICOTROPIN) SDV:40UNITS/ML,$303.00,
2820026,ACTIFED (TRIPROL/PSEUDOPHED) TAB:2.5/60,$24.00,
2820028,ACTIFED-C(TRIPROL/PSEUDOEPHED/CODEINE)SY,$24.00,
2820029,ACTIGALL (URSODIOL) CAP: 300MG,$38.00,
2820031,ACTIVASE CATHFLO (ALTEPLASE) SDV 2MG,$504.00,
2820032,ACTIVASE PER MG,$255.00,
2820035,ACTONEL (RISEDRONATE SOD) TAB:5MG,$26.00,
2820036,ACTONEL (RISEDRONATE SOD) TAB:35MG,$538.00,
2820037,ACTOS (PIOGLITAZONE) TAB: 15MG,$49.00,
2820038,ACTOS (PIOGLITAZONE) TAB: 30MG,$68.00,
2820039,ACU-DYNE (POVIDONE-IODINE) : 8 oz,$197.00,
2820040,ACULAR (KETOROLAC TROMETH) OS 0.5%: 3ML,$242.00,
2820041,ADALAT CC (NIFEdipine) CAP: 30 MG,$29.00,
2820043,ADENOCARD (ADENOSINE) SDV: 6MG/2ML,$410.00,
2820048,ADRENALIN(EPINEPHERINE) TOP:1MG/ML 30ML,$93.00,
2820049,ADRENALINE (EPINEPHERINE) SYRN:1MG/10ML,$122.00,
2820050,ADRENALIN (EPINEPHrine) AMP: 1MG/ML,$120.00,
2820051,ADRENALIN (EPINEPHrine) 0.1% SOLN: 30ML,$291.00,
2820054,ADRIAMYCIN (DOXOrubicin) IVP: 10MG/5ML,$634.00,
2820056,ADVAIR(FLUTICASONE/SALMETEROL)DSK 100-50,$623.00,
2820057,ADVAIR(FLUTICASONE/SALMETEROL)DSK 250-50,$769.00,
2820058,ADVAIR(FLUTICASONE/SALMETEROL)DSK 500-50,$1081.00,
2820059,MOTRIN (IBUPROFEN) TAB: 200MG,$20.00,
2820064,AFRIN (OXYMETAZOLINE)0.05% NASAL SPRAY,$120.00,
2820069,AGGRENOX (DIPYRIDAMOLE/ASA) CAP:25/200MG,$19.00,
2820070,AGORAL(LAXATIVE)UD:30ML,$24.00,
2820074,ALBOLENE CRM   12 OZ,$153.00,
2820075,ALBUMIN 25% 12.5GRAM/50ML,$1194.00,
2820076,ALBUMIN 25%  25GRAM/100ML,$2160.00,
2820077,ALBUMIN 5%  12.5GRAM/250ML,$1034.00,
2820082,ALCOHOL (ISOPROPYL):  16 OZ / 1 EA,$30.00,
2820084,ALCOHOL(DEHYDRATED ETHYL)1ML AMP,$99.00,
2820085,ALDACTAZIDE(SPIRONOLAC/HCTZ) TAB:25/25,$24.00,
2820087,ALDACTONE (SPIRONOLACTONE) TAB:100MG,$26.00,
2820088,ALDACTONE (SPIRONOLACTONE) TAB:25MG,$26.00,
2820089,ALDACTONE (SPIRONOLACTONE) TAB:50MG,$26.00,
2820090,ALDACTONE (SPIRONOLACTONE) SUSP:1MG/1ML,$26.00,
2820093,ALDOMET (METHYLDOPA) TAB 250MG,$19.00,
2820094,ALDOMET(METHYLDOPA) TAB:500MG,$11.00,
2820096,ALDOMET (METHYLDOPATE) INJ: 500MG/10ML,$377.00,
2820099,ALFENTA (ALFENTANIL) INJ : 2500MCG/5ML,$161.00,
2820100,ALFENTA (ALFENTANIL) INJ : 5000MCG/10ML,$311.00,
2820102,ALKA SELTZER(ASA/SOD.BICB/CITRC)GOLDPKT,$19.00,
2820106,ALLBEE W/C (VITAMIN B COMP/C): 1 CAP,$19.00,
2820107,ALLEGRA (FEXOFENADINE) TAB : 60MG,$19.00,
2820108,ALPHAGAN (BRIMONIDINE) 0.15% DROP: 5ML,$224.00,
2820109,ALPHAGAN (BRIMONIDINE TAR) DROP 0.2% 5ML,$30.00,
2820110,ALTACE (RAMIPRIL) CAP : 1.25MG,$24.00,
2820111,ALTACE (RAMIPRIL) CAP: 2.5MG,$24.00,
2820112,ALTACE (RAMIPRIL) CAP : 5MG,$24.00,
2820113,ALTACE (RAMIPRIL) CAP: 10MG,$24.00,
2820116,ALUM 1% IRRIGATION : 1000ML,$391.00,
2820117,ALUPENT(METAPROTERENOL) SYRP:10MG/5ML,$24.00,
2820118,ALUPENT(METAPROTERENOL) TAB:10MG,$24.00,
2820119,ALUPENT(METAPROTERENOL) TAB:20MG,$24.00,
2820121,ALUPENT(METAPROTERENOL) INH SOLN:5%,$275.00,
2820122,AMARYL (GLIMEPIRIDE) TAB:1MG,$14.00,
2820123,AMBENYL(BROMODIPHENHYDRA/COD)SYR:5ML,$24.00,
2820124,AMBIEN (ZOLPIDEM) TAB: 5MG,$24.00,
2820125,AMBIEN (ZOLPIDEM) TAB:10MG,$24.00,
2820126,AMICAR(AMINOCAP ACID) ORAL SOLN:1GM/4ML,$39.00,
2820127,AMICAR(AMINOCAPROIC ACID) VIAL:500MG/2ML,$496.00,
2820128,AMICAR (AMINOCAPROIC ACID):VIAL 5GM/20ML,$886.00,
2820130,AMIDATE (ETOMIDATE): 40MG/20ML,$349.00,
2820132,AMIKIN (AMIKACIN) INJ : 100MG/0.4ML,$455.00,
2820133,AMIKACIN PER PHARMACY,$0.00,
2820136,AMIKIN (AMIKACIN): SDV 500MG/2ML,$818.00,
2820138,AMINOGLYCOSIDE PER PHARMACY,$0.00,
2820139,AMINOGLYCOSIDE START 1 EA,$139.00,
2820140,AMINOPHLLINE START 1 EACH,$95.00,
2820141,AMINOPHYLLINE MONITORING: 1 EA,$62.00,
2820144,AMINOPHYLLINE 1GM/D5W250ML DRIP,$89.00,
2820146,AMINOPHYLLIN SDV : 500MG/20ML,$101.00,
2820153,AMMONIA  AROMATIC 0.33ML,$18.00,
2820155,AMMONIUM CHLOR INJ VIAL:150MEQ/30ML,$504.00,
2820157,AMOXICILLIN (MOXATAG) CAP : 250MG,$19.00,
2820158,AMOXICILLIN (MOXATAG) CAP : 500MG,$19.00,
2820159,AMOXICILLIN (MOXATAG) SUSP : 125MG/5ML,$19.00,
2820160,AMOXICILLIN (MOXATAG) SP 250/5ML : 150ML,$24.00,
2820161,AMPHOJEL (ALUMINUM HYDROXIDE) SUSP: 30ML,$24.00,
2820162,FUNGZONE (APHOTERICIN B) INJ: 50MG,$1300.00,
2820165,AMPHOTERICIN B SD: 50MG,$0.00,
2820168,AMPICILLIN (AMPICILLIN) CAP 500MG,$19.00,
2820169,AMPICILLIN (AMPICILLIN) CAP 250MG,$19.00,
2820170,AMPICILLIN (AMPICILLIN) VIAL  125MG,$111.00,
2820171,AMPICILLIN (AMPICILLIN) SDV : 1GM IV,$153.00,
2820172,AMPICILLIN (AMPICILLIN) VIAL  250MG,$89.00,
2820173,AMPICILLIN (AMPICILLIN) VIAL  2GM,$212.00,
2820174,AMPICILLIN (AMPICILLIN) VIAL  500MG,$89.00,
2820175,AMPICILLIN (AMPICILLIN) LIQ : 250MG/5ML,$19.00,
2820176,AMPICILLIN (AMPICILLIN) LIQ 125MG/5ML,$19.00,
2820177,AMPICILLIN NURSERY,$134.00,
2820179,AMYTAL (AMOBARBITAL) INJ:125MG,$120.00,
2820180,AMYTAL (AMOBARBITAL) INJ:250MG,$120.00,
2820181,AMYTAL (AMOBARBITAL) INJ:500MG,$120.00,
2820182,ANAFRANIL (clomiPRAMINE) CAP : 25MG,$35.00,
2820184,ANAPROX (NAPROXEN) DS TAB : 550MG,$24.00,
2820186,ANCEF (CEFAZOLIN) SDV : 500MG,$196.00,
2820187,ANCEF (CEFAZOLIN) SDV 1GM IV,$227.00,
2820188,ANCOBON (FLUCYTOCINE) CAP : 500MG,$24.00,
2820191,ANA-KIT 1BOX,$219.00,
2820194,ANECTINE (SUCCINYLCHOLINE)INJ 200MG/10ML,$132.00,
2820195,ANECTINE(SUCCINYLCHOLINE) FLO-PACK:500MG,$177.00,
2820198,ANSAID (FLURBIPROFEN) TAB : 100MG,$24.00,
2820199,ANSAID (FLURBIPROFEN) TAB : 50MG,$24.00,
2820201,ANTICOAGULANT MONITORING: 1 EA,$67.00,
2820202,ANTICOAGULANT START: 1 EA,$133.00,
2820203,ANTILIRIUM(PHYSOSTIGMINE) IM:1MG/ML,$111.00,
2820204,ANTIMINTH(PYRANTEL PAMOATE)LIQ:250MG 5ML,$24.00,
2820205,ANTIVEIN SNAKE 10ML VIAL,$1833.00,
2820208,ANTIVERT (MECLIZINE) TAB : 12.5MG,$26.00,
2820209,ANTIVERT (MECLIZINE) TAB : 25MG,$26.00,
2820210,ANTIVERT (MECLIZINE) TAB : 50MG,$26.00,
2820213,ANUSOL HC(HYDROCORTISONE)CREAM 2.5% 30GM,$121.00,
2820214,ANUSOL HC (HYDROCORTISONE) SUPP : 25MG,$38.00,
2820215,ANUSOL (HEMORRHOIDAL) SUPPOSITORY,$34.00,
2820216,ANUSOL (HYDROCORTISONE) OINTMENT: 0.7 OZ,$121.00,
2820217,ANUSOL(PRAM HC/BALSA/ZNOX/BENL)OINT:30GM,$153.00,
2820218,ANZEMET(DOLASETRON) INJ:10MG/0.5ML,$141.00,
