Hospital Name:  St Joseph's Medical Center Stockton,,,,,
OSHPD Facility No: 106391042,,,,,
"Effective Date of Charges: July 1, 2018",,,,,
,,,,,
"CDM
Number",Billing Description (25 char),999 Price  (Default),Zero Price Indicator,,
3201110,ANGIO BLN TRANSL VEIN INI," 20,459.00 ",,,
3201111,ANGIO BLN TRAN VEIN EAADD," 20,370.00 ",,,
3201112,REM PERM PERITONEAL CATH ," 16,850.00 ",,,
3201130,GUIDEWIRE 51X-67         , 266.00 ,,,
3201132,CATH INFUSION 150X-195   , 692.00 ,,,
3201133,CATH THROM EMB 67X-88    , 351.00 ,,,
3201134,CATH GUIDING 88X-115     , 459.00 ,,,
3201135,INTRO SHTH OTH 23X-30    , 122.00 ,,,
3201136,CATH PTA NLASR 195X-254  , 900.00 ,,,
3201137,CATH PTA NLASR 1605X-2087," 6,461.00 ",,,
3201138,VASCULAR IMP 150X-195    , 692.00 ,,,
3201141,STENT NCOV W 730X-949    ," 2,940.00 ",,,
3201142,PORT INDWELL 254X-331    ," 1,172.00 ",,,
3201143,TISSUE MARKER 39X-51     , 203.00 ,,,
3201144,GASTRO IMP 88X-115       , 459.00 ,,,
3201145,KIT/PACK DISP 195X-254   , 732.00 ,,,
3201146,KIT/PACK DISP 254X-331   , 806.00 ,,,
3201147,KIT/PACK DISP 561X-730   ," 1,615.00 ",,,
3201148,INST/SUPP NONST 39X-51   , 169.00 ,,,
3201150,XR TOMO CMPLX MOTION BIL ," 5,068.00 ",,,
3201151,XR TOMO CMPLX MOTION RT  ," 2,983.00 ",,,
3201152,XR TOMO CMPLX MOTION LT  ," 2,983.00 ",,,
3201153,XR TOMOGRAM SINGLE PLANE ," 2,153.00 ",,,
3201154,XR BONE DENSITY(DXA)APEND," 1,985.00 ",,,
3201155,XR JNT SURVEY 1 VW 2+ JTS, 612.00 ,,,
3201156,XR UROGRM DRP/BOLUS W/TOM," 3,361.00 ",,,
3201157,XR CHOLECYSTOGRM ORAL CON," 1,643.00 ",,,
3201158,XR DUODENOGR HYPOTONIC   ," 9,063.00 ",,,
3201159,XR UGI W AIR CON WO KUB  ," 3,809.00 ",,,
3201160,XR UGI WO KUB            ," 4,011.00 ",,,
3201161,XR SALIVARY GLAND CALCULU, 810.00 ,,,
3201162,XR SELLA TURCICA         , 971.00 ,,,
3201163,XR OPTIC FORAMINA        ," 1,190.00 ",,,
3201164,XR FOREARM 1 VIEW LT     , 832.00 ,,,
3201165,XR FOREARM 1 VIEW RT     , 832.00 ,,,
3201166,XR FOREARM 1 VIEW BIL    , 832.00 ,,,
3201167,XR HAND 1 VIEW LT        , 878.00 ,,,
3201168,XR HAND 1 VIEW RT        , 878.00 ,,,
3201169,XR HAND 1 VIEW BIL       , 878.00 ,,,
3201170,XR MEASURE PELVIS        , 503.00 ,,,
3201171,SACROIL JT TX W/WO ARTHRO," 2,815.00 ",,,
3201172,INS TUN CVAD 2CATH W PORT," 16,996.00 ",,,
3201173,INS TUN CVAD 2CATH WO PRT," 10,614.00 ",,,
3201174,URETEROGM INJ THRU OSTOM ," 1,445.00 ",,,
3201175,TRANSVAG/REC PELV DRN    ," 4,988.00 ",,,
3201176,SPLENOPORTOGRAM INJ      ," 4,401.00 ",,,
3201177,SIALOGRAM INJ            ," 2,703.00 ",,,
3201178,SHUNT TUBE/RESVR ASP/INJ ," 2,471.00 ",,,
3201179,PELV ABSCS DRAIN TRANSREC," 12,455.00 ",,,
3201180,IR VENOGRAM SUP SAGITTAL ," 6,458.00 ",,,
3201181,IR VENOGRAM RENAL RT     ," 4,796.00 ",,,
3201182,IR VENOGRAM ORBITAL      ," 5,504.00 ",,,
3201183,IR VENOGRM HEPAT WO HEMOD," 4,796.00 ",,,
3201184,IR VENOGRM HEPAT W HEMODY," 4,796.00 ",,,
3201185,LYMPHANGIOGRAM INJ       ," 2,480.00 ",,,
3201186,IR VENOGRAM EPIDURAL     ," 6,458.00 ",,,
3201187,JEJUN TUBE/NDL INTRAOP   ," 6,321.00 ",,,
3201188,INTRO NDL/INTRACATH VEIN , 405.00 ,,,
3201189,IR VENOGRAM ADRENAL RT   ," 8,023.00 ",,,
3201190,IR VENOGRAM ADRENAL LT   ," 8,023.00 ",,,
3201191,ILEAL CONDUIT/URETPYL INJ," 2,011.00 ",,,
3201192,IR VENACAVAGRAM INFERIOR ," 4,610.00 ",,,
3201193,GI TUBE LONG INTRO       ," 1,063.00 ",,,
3201194,FALLOP TUBE CTH PATNCY/DX," 12,434.00 ",,,
3201195,IR SPLENOPORTOGRAM       ," 4,164.00 ",,,
3201197,ERCP DIAGNOSTIC          ," 12,309.00 ",,,
3201198,IR PORTOGRAM WO HEMODYNAM," 4,881.00 ",,,
3201199,IR PORTOGRAM W HEMODYNAMC," 4,744.00 ",,,
3201200,CYSTO W STENT URETERL INS," 4,232.00 ",,,
3201201,INSERT NONTUN CV CATH <5 ," 5,399.00 ",,,
3201202,IR FLUORO < 1 HR         ," 1,893.00 ",,,
3201203,IR CHOLAN INTRAOP ADD SET," 1,494.00 ",,,
3201204,BX/EXC LYMPH NODE SUPERFI," 2,480.00 ",,,
3201205,IR CHOLANGIO/PANC INTRAOP," 2,491.00 ",,,
3201206,TRANSCATHETER BIOPSY     ," 7,796.00 ",,,
3201207,BX SALIVARY GLAND NDL    ," 1,674.00 ",,,
3201208,IR BIOPSY TRANSCATH      ," 2,685.00 ",,,
3201209,BIOPSY PELVIS/HIP SUPERFL," 1,106.00 ",,,
3201210,BIOPSY PELVIS/HIP DEEP   ," 1,106.00 ",,,
3201211,IR ARTHROGRAM ELBOW RT   ," 1,569.00 ",,,
3201212,IR ARTHROGRAM ELBOW LT   ," 1,569.00 ",,,
3201213,ARTHROGRAM HIP W ANES INJ," 1,106.00 ",,,
3201214,IR AORTOGRM ABD W ILIOFEM," 7,518.00 ",,,
3201215,ARTHROGRAM ELBOW INJ     ," 2,953.00 ",,,
3201216,ARTERIAL CATH/CANN PERC  , 375.00 ,,,
3201217,ANES/STE EPI C/T SNGL INJ," 4,843.00 ",,,
3201218,ANES/STE EPI C/T ADDL LVL," 2,970.00 ",,,
3201219,ANES/STE EPI L/S SNGL INJ," 4,681.00 ",,,
3201220,ANES/STE EPI L/S ADDL LVL," 2,153.00 ",,,
3201221,ABSCES/CYST EXIST CTH INJ," 1,135.00 ",,,
3201222,ABS/CYST DRN CATH EXCHNGE," 2,982.00 ",,,
3201223,IR ANGIO PELVIC          ," 6,265.00 ",,,
3201224,IR ANGIO INTERNAL MAMMARY," 5,803.00 ",,,
3201225,IR ANGIO EXTREMITY LT    ," 5,531.00 ",,,
3201227,IR ANGIO ADRENAL RT      ," 5,510.00 ",,,
3201228,IR ANGIO ADRENAL LT      ," 5,510.00 ",,,
3201229,IR ANGIO ADRENAL BIL     ," 8,023.00 ",,,
3201230,CATH/NDL PLC CARO/VER ART," 4,800.00 ",,,
3201231,CYSTO TUBE CHANGE COMPLEX," 2,758.00 ",,,
3201232,PERITN-VEN SHUNT EVAL INJ," 1,325.00 ",,,
3201233,INS CVAD PERIPH WPORT<5YR," 15,472.00 ",,,
3201234,INS TUN CV CATH WO PORT<5," 9,768.00 ",,,
3201235,INS TUNNEL CVAD W PUMP   ," 16,952.00 ",,,
3201236,REPL TUN CVAD W PUMP CV  ," 10,508.00 ",,,
3201237,REPLACE CATH ONLY CVAD W ," 6,413.00 ",,,
3201238,I&D ABSCESS SIMPLE       ," 4,135.00 ",,,
3201239,I&D ABSCESS COMPLEX      ," 7,059.00 ",,,
3201240,ARTHROGRAM WRIST INJ     ," 3,219.00 ",,,
3201241,INS A/V CANULA DIAL/EXT  ," 6,463.00 ",,,
3201242,INS A/V CAN REV/CLOSE EXT," 4,621.00 ",,,
3201243,PET BRAIN METABOLIC EVAL ," 5,150.00 ",,,
3201244,PET MYOCARD METABOL EVAL ," 3,780.00 ",,,
3201245,XR COLON BE W WO KUB LTD ," 5,939.00 ",,,
3201246,XR UROGRM (IVP) LTD      ," 6,371.00 ",,,
3201247,XR FOOT 1 VIEW RT        , 810.00 ,,,
3201248,XR FOOT 1 VIEW LT        , 810.00 ,,,
3201249,XR FOOT 1 VIEW BIL       , 810.00 ,,,
3201250,XR FINGER(S) 1 VW RT     ," 1,299.00 ",,,
3201251,XR FINGER(S) 1 VW LT     ," 1,299.00 ",,,
3201252,XR CALCANEUS 1 VW RT     ," 1,010.00 ",,,
3201253,XR CALCANEUS 1 VW LT     ," 1,010.00 ",,,
3201254,XR CALCANEUS 1 VW BIL    ," 1,010.00 ",,,
3201255,IR SIALOGRAM RT          ," 3,976.00 ",,,
3201256,IR SIALOGRAM LT          ," 3,976.00 ",,,
3201257,INS TUNNEL CVAD W PORT<5 ," 10,933.00 ",,,
3201258,SINUS TRACT INJ THERAP   ," 3,692.00 ",,,
3201259,XR ELBOW 1 VIEW LT       ," 1,019.00 ",,,
3201260,XR ELBOW 1 VIEW RT       ," 1,019.00 ",,,
3201261,XR ELBOW 1 VIEW BIL      ," 1,019.00 ",,,
3201262,XR WRIST 1 VIEW BIL      ," 1,163.00 ",,,
3201263,XR ANKLE 1 VIEW LT       ," 1,031.00 ",,,
3201264,XR ANKLE 1 VIEW RT       ," 1,031.00 ",,,
3201265,XR ANKLE 1 VIEW BIL      ," 1,031.00 ",,,
3201266,BONE TUMOR ABLAT RADIO W ," 13,134.00 ",,,
3201267,MANOMETRIC UTEROSTOMY/CTH," 3,366.00 ",,,
3201268,CYSTO URETERAL STONE REMV," 7,239.00 ",,,
3201269,EGD G TUBE PLACE PERC    ," 10,574.00 ",,,
3201270,XR LYMPHANG EXTREMITY BIL," 2,032.00 ",,,
3201271,ENDOVAS TEMP OCCL VES BAL," 16,189.00 ",,,
3201272,XR LYMPHANG EXTREMITY LT ," 1,152.00 ",,,
3201273,XR LYMPHANG EXTREMITY RT ," 1,152.00 ",,,
3201275,XR FALLOPIAN TUBE CATH   ," 2,473.00 ",,,
3201276,IR BONE LENGTH STUDIES   ," 1,160.00 ",,,
3201277,IR BONE AGE STUDIES      , 532.00 ,,,
3201278,XR SHUNTOGRAM NONVASCULAR," 2,450.00 ",,,
3201279,XR LYMPHANG PELVC/ABD BIL," 4,209.00 ",,,
3201280,XR ANGIO EA ADD VESSEL   ," 4,061.00 ",,,
3201281,XR AORTOGRAM THOR WO SER ," 8,976.00 ",,,
3201282,IR CYSTOURETHROGRAM VOID ," 3,379.00 ",,,
3201283,IR CYSTOURETHROGR RETRO  , 676.00 ,,,
3201284,IR CYSTOGRAM 3+ VIEWS    ," 1,213.00 ",,,
3201285,IR UROGRAM RETROGRADE    ," 3,187.00 ",,,
3201286,IR UROGRM (IVP) WWO TOMO ," 6,371.00 ",,,
3201287,XR INTRALUMINL STRICT DIL," 5,912.00 ",,,
3201288,XR GI TUBE LONG INTRO    ," 1,184.00 ",,,
3201292,XR ARTHROGRAM WRIST LT   ," 4,131.00 ",,,
3201293,XR ARTHROGRAM WRIST RT   ," 4,131.00 ",,,
3201294,XR DISKOGRM LUMBAR SPINE ," 6,148.00 ",,,
3201295,XR DISKOGRAM C/T SPINE   ," 6,148.00 ",,,
3201296,XR EPIDUROGRAM           ," 3,944.00 ",,,
3201297,IR CERVICAL SPINE 2-3 VW ," 1,216.00 ",,,
3201298,XR CISTERNOGRAM          ," 4,390.00 ",,,
3201299,EXTRM VEIN ABLAT RF 1ST  ," 10,863.00 ",,,
3201300,EXTR VEIN ABLA RF SUBSEQ ," 5,307.00 ",,,
3201301,EXTRM VEN ABLAT LASER 1ST," 10,713.00 ",,,
3201302,EXTR VN ABLA LASER SUBSEQ," 5,287.00 ",,,
3201303,AV FISTUL NON AUTOGN GRFT," 20,430.00 ",,,
3201304,THROMBEC OPN AV GRFT DIAL," 14,208.00 ",,,
3201305,ILIAC VEIN COMMON LIGATE ," 39,060.00 ",,,
3201306,SIALOGRAM CATH & DILATION," 2,390.00 ",,,
3201307,ESOPHAGOSCOPY FB REMOVAL ," 6,520.00 ",,,
3201308,BILIARY ENDO DX PERC     ," 9,209.00 ",,,
3201309,BILIARY ENDO BX PERC     ," 9,260.00 ",,,
3201310,CYSTOURETHROS W DUCT CATH," 4,850.00 ",,,
3201311,VASOGRAM EPIDIYMOGRAM    ," 5,486.00 ",,,
3201312,IR VASO/VESICULO/EPIDI GM," 1,993.00 ",,,
3201313,ENTEROLYSIS              ," 32,519.00 ",,,
3201314,XR SURGICAL SPECIMEN EA  , 711.00 ,,,
3201315,PET MELANOMA NON-COVERED ," 6,439.00 ",,,
3201316,PET BREAST CA DX/STAGING ," 6,337.00 ",,,
3201317,MR CINE/VIDEO            ," 1,569.00 ",,,
3201318,IR UROGRAM ANTEGRADE LT  ," 3,187.00 ",,,
3201319,IR UROGRAM ANTEGRADE RT  ," 3,187.00 ",,,
3201320,PET 3D WO SEPARATE WKSTAT," 2,356.00 ",,,
3201321,ART MECH THROM 2NDARY ADD," 7,637.00 ",,,
3201322,VEN MECH THROMBECT EA ADD," 8,742.00 ",,,
3201323,URETERAL STENT REM&REPL  ," 8,055.00 ",,,
3201324,URETERAL STENT REMOVE    ," 7,298.00 ",,,
3201325,REM&REP NEPHROURE CTH EXT," 2,909.00 ",,,
3201326,RENAL TUMOR(S ABLAT RADIO," 10,544.00 ",,,
3201327,F-18 FDG DX UP TO 45MCI  , 637.00 ,,,
3201328,XR MASTOIDS 3+ VW/SIDE LT," 2,212.00 ",,,
3201329,XR MASTOIDS 3+ VW/SIDE RT," 2,212.00 ",,,
3201330,PULM TUMOR ABLAT RADIO   ," 11,650.00 ",,,
3201331,IR VENOGRAPHY COLLAT VEIN," 13,246.00 ",,,
3201335,RENAL TUMOR(S) ABLAT CRYO," 14,139.00 ",,,
3201336,PLEURODESIS INSTIL AGENT ," 2,370.00 ",,,
3201337,DUOD/JEJ TUBE PERC PLACE ," 7,567.00 ",,,
3201338,GTUBE CHANGE TO GJ PERC  ," 4,820.00 ",,,
3201339,JEJUNOSTMY TUBE REPL PERC," 4,172.00 ",,,
3201341,IR REP THORAC AOR LT SUBC," 3,513.00 ",,,
3201342,IR REP THOR AOR NOT SUBCL," 10,744.00 ",,,
3201343,IR PLC PROS EXT THOR AORT," 4,871.00 ",,,
3201346,IR FLUORO 1-2 HOURS NC   ,0,1,,
3201347,IR FLUORO 2-3 HOURS NC   ,0,1,,
3201348,IR FLUORO 3-4 HOURS NC   ,0,1,,
3201349,IR FLUORO 4-5 HOURS NC   ,0,1,,
3201350,IR FLUORO 5-6 HOURS NC   ,0,1,,
3201351,IR FLUORO 6-7 HOURS NC   ,0,1,,
3201352,IR FLUORO 7-8 HOURS NC   ,0,1,,
3201353,IR FLUORO 8-9 HOURS NC   ,0,1,,
3201354,IR FLUORO 9-10 HOURS NC  ,0,1,,
3201355,IR FLUORO <1 HOUR NC     ,0,1,,
3201356,TRANSLUM ATHER ABD AORTA ," 17,618.00 ",,,
3201357,TRANSLUM ATHEREC BRACH EA," 14,914.00 ",,,
3201358,TRANSLUM ATHEREC ILIAC EA," 24,208.00 ",,,
3201359,REVAS FEM POP STENT ATHER," 22,910.00 ",,,
3201360,REVAS TIBIAL PERN ANG INI," 17,205.00 ",,,
3201361,REVAS TIB PERON STENT INI," 22,838.00 ",,,
3201362,REVAS TIB PR STNT ATH INI," 23,288.00 ",,,
3201363,REVAS TIB PERON ATHER ADD," 10,226.00 ",,,
3201364,REVAS TIB PERON STENT ADD," 8,523.00 ",,,
3201365,REVAS TIB PR STNT ATH ADD," 12,098.00 ",,,
3201366,INS INTRAPERIT CATH PERM ," 3,729.00 ",,,
3201367,CTH PLC RENAL ART SEL UNI," 4,250.00 ",,,
3201368,CTH PLC RENAL SUPRSEL UNI," 4,250.00 ",,,
3201369,THORACENTESIS W IMAGING  ," 2,250.00 ",,,
3201370,BX BRST US PERC EA ADD   ," 1,699.00 ",,,
3201371,BX BREAST MRI PERC EA ADD," 5,208.00 ",,,
3201372,PLC BRST LOC DEV STER ADD, 674.00 ,,,
3201373,PLC BRST LOC DEV US ADD  ," 1,040.00 ",,,
3201374,PLC BRST LOC DEV MRI ADD ," 3,209.00 ",,,
3201375,BX BREAST US PERC 1ST RT ," 3,616.00 ",,,
3201376,BX BREAST MRI PERC 1ST RT," 5,208.00 ",,,
3201377,PLC BRST LOC STER 1ST RT , 797.00 ,,,
3201378,PLC BRST LOC US 1ST RT   ," 1,890.00 ",,,
3201379,PLC BRST LOC MRI 1ST RT  ," 3,209.00 ",,,
3201380,BX BREAST US PERC 1ST LT ," 3,616.00 ",,,
3201381,BX BREAST MRI PERC 1ST LT," 5,208.00 ",,,
3201382,PLC BRST LOC STER 1ST LT , 797.00 ,,,
3201383,PLC BRST LOC US 1ST LT   ," 1,890.00 ",,,
3201384,PLC BRST LOC MRI 1ST LT  ," 3,209.00 ",,,
3201385,VERTEBROPL INJ ADD W IMAG," 6,692.00 ",,,
3201386,XR DXA VERTEBRA FX ASSESS," 1,021.00 ",,,
3201387,TILT TABLE EVALUATION    ," 2,012.00 ",,,
3201388,XR SPINE ENTIRE 4-5 VIEWS," 1,040.00 ",,,
3201389,XR SPINE ENTIRE 6+ VIEWS , 970.00 ,,,
3201390,US V DPLX VENOUS EXT BIL ," 8,015.00 ",,,
3201391,INJ EPI/SUBAR C/T WO IMAG," 4,541.00 ",,,
3201392,INJ EPI/SUBAR L/S WO IMAG," 2,123.00 ",,,
3201393,INJ EPI CONT W CTH C/T WO," 4,221.00 ",,,
3201394,INJ EPI CONT W CTH L/S WO," 4,026.00 ",,,
3201395,MA MAM DX POST SCR CAD RT," 2,224.00 ",,,
3201396,MA MAM DX POST SCR CAD LT," 2,224.00 ",,,
3201399,MA MAM DX POST SCR CAD BI," 2,694.00 ",,,
3201400,XR ARTHROGRAM ANKLE LT   , 646.00 ,,,
3201401,XR ARTHROGRAM ANKLE RT   , 646.00 ,,,
3201402,XR AORTOGRM ABD W ILIOFEM," 7,518.00 ",,,
3201404,XR ARTHROGRAM ANKLE BIL  , 646.00 ,,,
3201405,XR ARTHROGRAM WRIST BIL  ," 4,131.00 ",,,
3201406,XR FINGER(S) 1 VW BIL    ," 1,299.00 ",,,
3201407,GASTRO IMP 30X-39        , 158.00 ,,,
3201408,INTRO SHTH OTH 115X-150  , 532.00 ,,,
3201409,KIT/PACK DISP 730X-949   ," 2,100.00 ",,,
3201410,INST/SUPP STERL 10-13    , 45.00 ,,,
3201411,I&R FB SUBQ SIMPLE       , 904.00 ,,,
3201412,REMOVAL NON-TUNNELED CVAD, 230.00 ,,,
3201413,EMP CHEST 1 VIEW         ,0,2,,
3201414,EMP CHEST 2 VIEWS        ,0,2,,
3201415,RPR ILIAC ENV ILIO TB OTH," 11,999.00 ",,,
3201416,RPR ILIAC ENV ILIO TB RUP," 3,759.00 ",,,
3201417,IR ABDOMEN 1 VIEW        , 930.00 ,,,
3201418,IR CHEST >= 4 VIEWS      ," 1,761.00 ",,,
3201419,XR ABDOMEN 1 VIEW        , 930.00 ,,,
3201420,XR ABDOMEN 2 VIEWS       ," 1,509.00 ",,,
3201421,XR ABDOMEN >=3 VIEWS     ," 2,163.00 ",,,
3201422,XR CHEST 1 VIEW          , 884.00 ,,,
3201423,XR CHEST 2 VIEWS         ," 1,150.00 ",,,
3201424,XR CHEST >= 4 VIEWS      ," 1,424.00 ",,,
3201425,XR CHEST 3 VIEWS         ," 1,158.00 ",,,
3201426,RPR AOR ENV UNI ILIAC RUP," 8,003.00 ",,,
3201427,RPR AOR ENVS BI ILIAC OTH," 11,999.00 ",,,
3201428,RPR AOR ENVS BI ILIAC RUP," 11,999.00 ",,,
3201429,RPR AOR ENVS AORTC TB OTH," 11,999.00 ",,,
3201430,RPR AOR ENVS AORTC TB RUP," 3,759.00 ",,,
3201431,RPR AOR ENV UNI ILIAC OTH," 11,999.00 ",,,
3201434,PLC PROS ENV RPR PER VES ," 8,003.00 ",,,
3201435,DEL PLC PROS ENV RPR INIT," 8,003.00 ",,,
3201436,DEL PLC PROS ENV RPR ADD ," 3,759.00 ",,,
3201437,ENVAS RP ILAC BIF S&I UNI," 7,928.00 ",,,
3201438,XR BONE DENS(DXA)AXAL FY ," 3,480.00 ",,,
3201439,XR BONE SURVEY INFANT FY ," 2,979.00 ",,,
3201440,XR BONE SURVEY COMPLET FY," 2,948.00 ",,,
3201441,XR BONE SURVEY LIMITED FY," 1,975.00 ",,,
3201442,XR BONE LENGTH STUDIES FY," 1,160.00 ",,,
3201443,XR BONE AGE STUDIES FY   , 532.00 ,,,
3201444,XR FB LOCAL NOSE RECTM FY, 855.00 ,,,
3201445,XR FLUORO < 1 HR FY      ," 1,893.00 ",,,
3201446,XR CYSTOURETHROGR VOID FY," 3,379.00 ",,,
3201447,XR CYSTOURETHROG RETRO FY, 676.00 ,,,
3201448,XR CYSTOGRAM 3+ VIEWS FY ," 1,213.00 ",,,
3201449,XR UROGRAM RETROGRADE FY ," 3,187.00 ",,,
3201450,XR UROGR INF DRP/BOLUS FY," 3,149.00 ",,,
3201451,XR UROGR (IVP) WWO TOM FY," 6,371.00 ",,,
3201452,XR CHOL INTRAOP ADDSET FY," 1,494.00 ",,,
3201453,XR CHOLANG/PAN INTRAOP FY," 2,491.00 ",,,
3201454,XR COLON EN THER OBSTR FY," 5,087.00 ",,,
3201455,XR COLON BE W AIR CON FY ," 8,314.00 ",,,
3201456,XR COLON BE W WO KUB FY  ," 5,939.00 ",,,
3201457,XR SM BOWEL ENTEROCLYS FY," 3,468.00 ",,,
3201458,XR SMALL BOWEL FY        ," 3,305.00 ",,,
3201459,XR UGI AIR CON+SM BOW FY ," 5,670.00 ",,,
3201460,XR UGI W AIR CON W KUB FY," 4,232.00 ",,,
3201461,XR UGI W SM INTESTINE FY ," 6,267.00 ",,,
3201462,XR UGI W KUB FY          ," 4,177.00 ",,,
3201463,XR SWALL FUNC CIN/VID FY ," 3,157.00 ",,,
3201464,XR ESOPHAGUS FY          ," 2,636.00 ",,,
3201465,XR PHARYX/CERV ESOPH FY  ," 2,935.00 ",,,
3201466,XR AB AP DECU UP+CHEST FY," 1,862.00 ",,,
3201467,XR TOE(S) 2+ VIEWS BIL FY," 1,160.00 ",,,
3201468,XR TOE(S) 2+ VIEWS LT FY ," 1,160.00 ",,,
3201469,XR TOE(S) 2+ VIEWS RT FY ," 1,160.00 ",,,
3201470,XR CALCANEUS 2+VWS BI FY ," 1,010.00 ",,,
3201471,XR CALCANEUS 2+VWS LT FY ," 1,010.00 ",,,
3201472,XR CALCANEUS 2+VWS RT FY ," 1,010.00 ",,,
3201473,XR FOOT 3+ VIEWS LT FY   , 930.00 ,,,
3201474,XR FOOT 3+ VIEWS RT FY   , 930.00 ,,,
3201475,XR FOOT 3+ VIEWS BIL FY  , 930.00 ,,,
3201476,XR FOOT 2 VIEWS BIL FY   , 810.00 ,,,
3201477,XR FOOT 2 VIEWS LT FY    , 810.00 ,,,
3201478,XR FOOT 2 VIEWS RT FY    , 810.00 ,,,
3201479,XR ANKLE 3+ VIEWS LT FY  ," 1,213.00 ",,,
3201480,XR ANKLE 3+ VIEWS RT FY  ," 1,213.00 ",,,
3201481,XR ANKLE 3+ VIEWS BIL FY ," 1,213.00 ",,,
3201482,XR ANKLE 2 VIEWS BIL FY  ," 1,031.00 ",,,
3201483,XR ANKLE 2 VIEWS LT FY   ," 1,031.00 ",,,
3201484,XR ANKLE 2 VIEWS RT FY   ," 1,031.00 ",,,
3201485,XR LW EXTR INFANT 2+BI FY," 1,410.00 ",,,
3201486,XR LW EXTR INFANT2+ LT FY," 1,410.00 ",,,
3201487,XR LW EXTR INFANT 2+RT FY," 1,410.00 ",,,
3201488,XR TIBIA & FIB 2VW BI FY , 930.00 ,,,
3201489,XR TIBIA & FIB 1VW BI FY , 930.00 ,,,
3201490,XR TIBIA&FIBULA 1VW LT FY, 930.00 ,,,
3201491,XR TIBIA&FIBULA 1VW RT FY, 930.00 ,,,
3201492,XR TIBIA&FIBULA 2VW LT FY, 930.00 ,,,
3201493,XR TIBIA & FIB 2 VW RT FY, 930.00 ,,,
3201494,XR KNEE AP STANDING BI FY," 1,280.00 ",,,
3201495,XR KNEE 4+ VIEWS LT FY   ," 1,561.00 ",,,
3201496,XR KNEE 4+ VIEWS RT FY   ," 1,561.00 ",,,
3201497,XR KNEE 4+ VIEWS BIL FY  ," 1,561.00 ",,,
3201498,XR KNEE 3 VIEWS LT FY    ," 1,346.00 ",,,
3201499,XR KNEE 3 VIEWS RT FY    ," 1,346.00 ",,,
3201500,XR KNEE 3 VIEWS BIL FY   ," 1,346.00 ",,,
3201501,XR KNEE 1 OR 2VWS BIL FY ," 1,105.00 ",,,
3201502,XR KNEE 1 OR 2 VWS LT FY ," 1,105.00 ",,,
3201503,XR KNEE 1 OR 2 VWS RT FY ," 1,105.00 ",,,
3201504,XR FEMUR 2+ VIEWS BIL FY ," 1,861.00 ",,,
3201505,XR FEMUR 1 VIEW LT FY    , 930.00 ,,,
3201506,XR FEMUR 1 VIEW RT FY    , 930.00 ,,,
3201507,XR HIP W PELV 4+VWS LT FY," 1,452.00 ",,,
3201508,XR FEMUR 2+ VIEWS LT FY  , 930.00 ,,,
3201509,XR FEMUR 2+ VIEWS RT FY  , 930.00 ,,,
3201510,XR HIP W PELV 4+VWS RT FY," 1,452.00 ",,,
3201511,XR HIP W PEL 3-4VWS BI FY," 2,898.00 ",,,
3201512,XR HIP W PELV 2VWS BIL FY," 2,898.00 ",,,
3201513,XR HIP W PEL 2-3VWS LT FY," 1,368.00 ",,,
3201514,XR HIP W PEL 2-3VWS RT FY," 1,368.00 ",,,
3201515,XR HIP W PELVIS 1VW LT FY, 945.00 ,,,
3201516,XR HIP W PELVIS 1VW RT FY, 945.00 ,,,
3201517,XR FINGER(S) 2+VWS BI FY ," 1,299.00 ",,,
3201518,XR FINGER(S) 2+VWS LT FY ," 1,299.00 ",,,
3201519,XR FINGER(S) 2+VWS RT FY ," 1,299.00 ",,,
3201520,XR HAND 3+ VIEWS LT FY   ," 1,044.00 ",,,
3201521,XR HAND 3+ VIEWS RT FY   ," 1,044.00 ",,,
3201522,XR HAND 3+ VIEWS BIL FY  ," 1,044.00 ",,,
3201523,XR HAND 2 VIEWS RT FY    , 878.00 ,,,
3201524,XR HAND 2 VIEWS LT FY    , 878.00 ,,,
3201525,XR HAND 2 VIEWS BIL FY   , 878.00 ,,,
3201526,XR WRIST 3+ VIEWS LT FY  ," 1,403.00 ",,,
3201527,XR WRIST 3+ VIEWS RT FY  ," 1,403.00 ",,,
3201528,XR WRIST 3+ VIEWS BIL FY ," 1,403.00 ",,,
3201529,XR WRIST 2 VIEWS BIL FY  ," 1,163.00 ",,,
3201530,XR WRIST 2 VIEWS LT FY   ," 1,163.00 ",,,
3201531,XR WRIST 2 VIEWS RT FY   ," 1,163.00 ",,,
3201532,XR UP EXTR INFANT 2+BI FY, 957.00 ,,,
3201533,XR UP EXTR INFANT2+ LT FY, 957.00 ,,,
3201534,XR UP EXTR INFANT 2+RT FY, 957.00 ,,,
3201535,XR FOREARM 2 VIEWS BIL FY, 832.00 ,,,
3201536,XR FOREARM 2 VIEWS LT FY , 832.00 ,,,
3201537,XR FOREARM 2 VIEWS RT FY , 832.00 ,,,
3201538,XR ELBOW 3+ VIEWS LT FY  ," 1,213.00 ",,,
3201539,XR ELBOW 3+ VIEWS RT FY  ," 1,213.00 ",,,
3201540,XR ELBOW 3+ VIEWS BIL FY ," 1,213.00 ",,,
3201541,XR ELBOW 2 VIEWS LT FY   ," 1,019.00 ",,,
3201542,XR ELBOW 2 VIEWS RT FY   ," 1,019.00 ",,,
3201543,XR HUMERUS 2+ VIEWS BI FY, 885.00 ,,,
3201544,XR HUMERUS 2+ VIEWS LT FY, 885.00 ,,,
