Description,Unit Charge,,,,,,,,
BOLT RAIL CONN 6X28MM," $1,088.38 ",,,,,,,,
BOLT ROTATIONAL MAC XS, $645.34 ,,,,,,,,
BOLT SBF ILIZAROV 10MM," $1,289.85 ",,,,,,,,
BOLT SBF ILIZAROV 16MM," $1,289.85 ",,,,,,,,
BOLT SBF ILIZAROV FIX SLOTTED," $1,778.42 ",,,,,,,,
BOLT SHORT POST TI 5.5X40MM," $2,036.55 ",,,,,,,,
BOLT SHOULDER SPATIAL FRAME, $376.73 ,,,,,,,,
BOLT SHOULDER TSF, $370.06 ,,,,,,,,
BOLT SKULL ANCHOR," $1,550.70 ",,,,,,,,
BOLT SPINAL FIXATION 14MM," $1,849.70 ",,,,,,,,
BOLT TRUELOCK SS 12MM, $295.97 ,,,,,,,,
BOLT TRUELOCK SS 16MM, $295.97 ,,,,,,,,
BOLT TRUELOK 20MM, $18.44 ,,,,,,,,
BOLT UNIV LOCKING 4.9X100MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X26MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X28MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X30MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X32MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X34MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X36MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X38MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X40MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X42MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X44MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X46MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X48MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X50MM," $1,107.92 ",,,,,,,,
BOLT UNIV LOCKING 4.9X52MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X54MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X56MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X60MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X64MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X68MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X72MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X76MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X80MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X85MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X90MM," $1,277.13 ",,,,,,,,
BOLT UNIV LOCKING 4.9X95MM," $1,277.13 ",,,,,,,,
BOLT WIRE FIX CANN N SLOT, $441.66 ,,,,,,,,
BOLTS ILIAC 7.5 X 80MM," $5,368.11 ",,,,,,,,
BONE 3DEMIN CORTICAL FIBE 2.5C," $1,304.14 ",,,,,,,,
BONE AGE, $323.00 ,,,,,,,,
BONE ALLOGRAFT OPTE 3X30 2.1CC," $2,685.56 ",,,,,,,,
BONE ALLOGRAFT OPTE 5X45 8CC," $6,935.31 ",,,,,,,,
BONE ALLOGRAFT ST ILLIUM RG 40," $2,337.84 ",,,,,,,,
BONE CANC 1-4MM 30CC," $1,474.65 ",,,,,,,,
BONE CANC 1-4MM 90CC," $3,029.47 ",,,,,,,,
BONE CHIP CANC 1-4MM 15CC," $1,166.63 ",,,,,,,,
BONE CHIP CANC 1-4MM 30CC," $1,661.37 ",,,,,,,,
BONE CHIP CANC 1-4MM 60CC," $2,518.66 ",,,,,,,,
BONE CHIP CANC 1-4MM 90CC," $3,501.61 ",,,,,,,,
BONE CHIP CANC 4-10MM 15CC," $1,072.90 ",,,,,,,,
BONE CHIP CANC 4-10MM 30CC," $1,504.21 ",,,,,,,,
BONE CHIP CANC 4-10MM 60CC," $2,295.41 ",,,,,,,,
BONE CHIP CANC 4-10MM 90CC," $3,108.05 ",,,,,,,,
BONE LENGTH STUDIES, $485.50 ,,,,,,,,
BONE LORDATIC SPACER ACF 11MM," $4,377.53 ",,,,,,,,
BONE LORDATIC SPACER ACF 9MM," $4,377.53 ",,,,,,,,
BONE POWDER ALLOGRAFT CORT 20," $1,726.66 ",,,,,,,,
BONE STRIP 3DEMIN 100X10MM," $4,650.58 ",,,,,,,,
BONE STRIP 3DEMIN 50X100MM," $2,658.83 ",,,,,,,,
BONE TENDON TIB FROZEN 230MM," $5,063.33 ",,,,,,,,
BONE TISS FASCIA LG 80X200MM," $4,086.83 ",,,,,,,,
BONE TISS FASCIA MED 80X200MM," $3,052.88 ",,,,,,,,
BONE WEDGE CREST ILIAC 10MM," $2,145.39 ",,,,,,,,
BONE WEDGE ILIUM PARALLEL 15MM," $2,425.78 ",,,,,,,,
BONE WEDGE ILIUM PARALLEL 18MM," $2,568.66 ",,,,,,,,
BONE WEDGE ILIUM PARALLEL 20MM," $2,715.12 ",,,,,,,,
BOOT SHORT TERM MED, $722.64 ,,,,,,,,
BRACE FX ULNAR LT, $689.20 ,,,,,,,,
BRACE HIP PHILIPPON REG LT," $2,209.65 ",,,,,,,,
BRACE HIP PHILIPPON REG RT," $2,209.65 ",,,,,,,,
BRACE HIP PHILIPPON SHORT LT," $2,209.65 ",,,,,,,,
BRACE HIP PHILIPPON SHORT RT," $2,209.65 ",,,,,,,,
BRACE KNEE SHORT BLK," $1,162.10 ",,,,,,,,
BRACE REVELOTION FRONT 22IN," $1,141.66 ",,,,,,,,
BRACE REVOLUTION REAR 19IN," $1,141.66 ",,,,,,,,
BRACE REVOLUTION REAR 22IN," $1,100.78 ",,,,,,,,
BRACE REVOLUTION SHORT," $1,100.78 ",,,,,,,,
BRIDGE CROSSLINK NATURAL 21MM," $4,738.10 ",,,,,,,,
BRIDGE NATURAL 27MM," $4,122.72 ",,,,,,,,
BRUSH CYTO COMBO CATH 3X150CM, $174.16 ,,,,,,,,
BUCKLE FIXATION WIRE DETACHED," $1,499.67 ",,,,,,,,
BUCKLE SBF ILIZAROV WIRE SS," $2,421.60 ",,,,,,,,
BUR 5.5 FLAT TOP HI VIS SHEATH," $1,413.10 ",,,,,,,,
BUR 703 51MM LENGTH, $137.29 ,,,,,,,,
BUR ABRADER 4.0X18MM," $3,403.49 ",,,,,,,,
BUR ABRADER SHEATH 5.5MM," $1,362.31 ",,,,,,,,
BUR AGGRESSIVE EGG MED 4MM," $1,443.15 ",,,,,,,,
BUR BALL DIAMND LNG FINE 1.0MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMND LNG FINE 1.5MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMND LNG FINE 2.0MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMND LNG FINE 2.5MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMND LNG FINE 3.0MM," $1,275.34 ",,,,,,,,
BUR BALL DIAMOND 1.5MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMOND 1MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMOND 2.0MM," $1,275.34 ",,,,,,,,
BUR BALL DIAMOND 2.5MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMOND 3.0MM," $1,383.67 ",,,,,,,,
BUR BALL DIAMOND 3.5MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMOND 4.0MM," $1,420.26 ",,,,,,,,
BUR BALL DIAMOND 5.0MM," $1,420.26 ",,,,,,,,
BUR BALL DIAMOND 6.0MM," $1,372.33 ",,,,,,,,
BUR BALL DIAMOND 8.0MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMOND COARSE 1.0MM," $1,344.94 ",,,,,,,,
BUR BALL DIAMOND COARSE 1.5MM," $1,344.94 ",,,,,,,,
BUR BALL DIAMOND COARSE 2.0MM," $1,344.94 ",,,,,,,,
BUR BALL DIAMOND COARSE 2.5MM," $1,344.94 ",,,,,,,,
BUR BALL DIAMOND COARSE 3.0MM," $1,289.85 ",,,,,,,,
BUR BALL DIAMOND COARSE 4.0MM," $1,344.94 ",,,,,,,,
BUR BALL DIAMOND COARSE 5.0MM," $1,289.85 ",,,,,,,,
BUR BALL DIAMOND COARSE 6.0MM," $1,344.94 ",,,,,,,,
BUR BALL DIAMOND CVD 7.5X3.5MM," $1,344.94 ",,,,,,,,
BUR BALL DIAMOND CVD 7.5X3MM," $1,344.94 ",,,,,,,,
BUR BALL DIAMOND FINE 2.0MM," $1,372.33 ",,,,,,,,
BUR BALL DIAMOND FINE 3.0MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMOND FINE 4.0MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMOND FINE 5.0MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMOND LNG 0.6MM," $1,372.33 ",,,,,,,,
BUR BALL DIAMOND LNG 0.8MM," $1,420.26 ",,,,,,,,
BUR BALL DIAMOND LNG 1.2MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMOND LNG 1.5MM," $1,420.26 ",,,,,,,,
BUR BALL DIAMOND LNG 1MM," $1,420.26 ",,,,,,,,
BUR BALL DIAMOND LNG 2.0MM," $1,383.67 ",,,,,,,,
BUR BALL DIAMOND LNG 2.5MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMOND LNG 3.0MM," $1,324.39 ",,,,,,,,
BUR BALL DIAMOND LNG 3.5MM," $1,275.34 ",,,,,,,,
BUR BALL DIAMOND LNG 4.0MM," $1,680.46 ",,,,,,,,
BUR BALL DIAMOND X 7.5X4MM," $1,392.87 ",,,,,,,,
BUR BALL DIAMOND X 7.5X5MM," $1,344.94 ",,,,,,,,
BUR BALL DIAMOND X 7.5X6MM," $1,344.94 ",,,,,,,,
BUR BALL FLUTED 7.5X2.5MM," $1,242.22 ",,,,,,,,
BUR BALL FLUTED 7.5X2MM," $1,242.22 ",,,,,,,,
BUR BALL FLUTED 7.5X3.5MM," $1,242.22 ",,,,,,,,
BUR BALL FLUTED 7.5X3MM," $1,242.22 ",,,,,,,,
BUR BALL FLUTED 7.5X4MM," $1,242.22 ",,,,,,,,
BUR BALL FLUTED 7.5X5MM," $1,324.39 ",,,,,,,,
BUR BALL FLUTED 7.5X6MM," $1,242.22 ",,,,,,,,
BUR BALL FLUTED 9CMX5MM," $1,542.69 ",,,,,,,,
BUR BALL FLUTED LNG 7.5X2.5MM," $1,242.22 ",,,,,,,,
BUR BALL FLUTED LNG 7.5X2MM," $1,242.22 ",,,,,,,,
BUR BALL FLUTED LNG 7.5X3.5MM," $1,242.22 ",,,,,,,,
BUR BALL LNG 7.5X0.5MM," $1,324.39 ",,,,,,,,
BUR BALL LNG 7.5X2.5MM," $1,242.22 ",,,,,,,,
BUR BALL LNG 7.5X2MM," $1,290.67 ",,,,,,,,
BUR BALL LNG 7.5X3.5MM," $1,324.39 ",,,,,,,,
BUR BALL LNG 7.5X4MM," $1,255.92 ",,,,,,,,
BUR BALL SHAPE 15MM," $1,324.39 ",,,,,,,,
BUR BALL SHAPE 3MM," $1,290.67 ",,,,,,,,
BUR BALL SHAPE 6MM," $1,324.39 ",,,,,,,,
BUR BALL SHAPE LONG 1MM," $1,324.39 ",,,,,,,,
BUR BALL SHAPE LONG 2MM," $1,195.52 ",,,,,,,,
BUR BALL SHAPE LONG 3MM," $1,195.52 ",,,,,,,,
BUR BALL STD 7.5X0.5MM," $1,283.31 ",,,,,,,,
BUR BALL STD 7.5X1.5MM," $1,242.22 ",,,,,,,,
BUR BALL STD 7.5X1MM," $1,283.31 ",,,,,,,,
BUR BALL STD 7.5X2.5MM," $1,242.22 ",,,,,,,,
BUR BALL STD 7.5X2MM," $1,195.52 ",,,,,,,,
BUR BALL STD 7.5X3.5MM," $1,242.22 ",,,,,,,,
BUR BALL STD 7.5X3MM," $1,324.39 ",,,,,,,,
BUR BALL STD 7.5X4MM," $1,290.67 ",,,,,,,,
BUR BALL STD 7.5X5MM," $1,290.67 ",,,,,,,,
BUR BALL STD 7.5X7MM," $1,242.22 ",,,,,,,,
BUR BALL STD 7.5X8MM," $1,242.22 ",,,,,,,,
BUR BARREL 14 FLUTE 6.1X54MM, $839.45 ,,,,,,,,
BUR CARB RND FLUTED SHORT 2.5," $1,055.30 ",,,,,,,,
BUR CARBIDE  HP17032.1MM, $97.28 ,,,,,,,,
BUR CARBIDE 10 FLUTES 6.5X30MM," $1,044.57 ",,,,,,,,
BUR CARBIDE 5 FLUTE JNOTCH 3MM, $733.37 ,,,,,,,,
BUR CARBIDE 6 FLUTES 2MM, $192.05 ,,,,,,,,
BUR CARBIDE 7032.1 MM HEAD, $73.74 ,,,,,,,,
BUR CARBIDE ANG RA 2, $276.93 ,,,,,,,,
BUR CARBIDE ANG RA 4, $276.93 ,,,,,,,,
BUR CARBIDE CRSS CUT 1.2X58MM, $109.83 ,,,,,,,,
BUR CARBIDE CRSS CUT 1.6X58MM, $137.29 ,,,,,,,,
BUR CARBIDE CRSS CUT 2X58MM, $137.29 ,,,,,,,,
BUR CARBIDE FAST CUT 5X18.6MM, $733.37 ,,,,,,,,
BUR CARBIDE FG 9903, $983.15 ,,,,,,,,
BUR CARBIDE FLUTED 3.7MM, $135.72 ,,,,,,,,
BUR CARBIDE FRICTION SS WHITE, $40.48 ,,,,,,,,
BUR CARBIDE HP SURG 702L HALL2, $399.25 ,,,,,,,,
BUR CARBIDE HP82.3MM, $73.74 ,,,,,,,,
BUR CARBIDE LINDEMAN 2.1MM, $436.34 ,,,,,,,,
BUR CARBIDE MICRO RND 2.4MM," $1,029.24 ",,,,,,,,
BUR CARBIDE OSTEON LONG 2.0MM," $1,162.10 ",,,,,,,,
BUR CARBIDE OSTEON LONG 4.0MM, $997.35 ,,,,,,,,
BUR CARBIDE OSTEON MED 3.0MM," $1,162.10 ",,,,,,,,
BUR CARBIDE OSTEON MED 4.0MM," $1,162.10 ",,,,,,,,
BUR CARBIDE OSTEON MED 5.0MM," $1,162.10 ",,,,,,,,
BUR CARBIDE OSTEON SHRT 4.0MM," $1,162.10 ",,,,,,,,
BUR CARBIDE PEAR NSTRL SZ 330, $26.52 ,,,,,,,,
BUR CARBIDE RA 1, $276.93 ,,,,,,,,
BUR CARBIDE RA 3, $276.93 ,,,,,,,,
BUR CARBIDE RA 4, $156.90 ,,,,,,,,
BUR CARBIDE RA 5, $132.74 ,,,,,,,,
BUR CARBIDE RND CUT 1.5MM, $192.05 ,,,,,,,,
BUR CARBIDE RND CUT 1.8MM, $733.37 ,,,,,,,,
BUR CARBIDE RND CUT 4.0 MM, $839.45 ,,,,,,,,
BUR CARBIDE RND CUT LNG 1.8MM, $321.65 ,,,,,,,,
BUR CARBIDE RND CUT LNG 2X95MM, $293.40 ,,,,,,,,
BUR CARBIDE RND XLNG 3MM, $456.42 ,,,,,,,,
BUR CARBIDE ROUND CUT 2.0MM M, $122.38 ,,,,,,,,
BUR CARBIDE ROUND CUT 3.0MM L, $215.74 ,,,,,,,,
BUR CARBIDE ROUND CUT 3.0MM M, $177.30 ,,,,,,,,
BUR CARBIDE ROUND CUT 4.0MM L, $153.76 ,,,,,,,,
BUR CARBIDE ROUND CUT 4.0MM M, $177.30 ,,,,,,,,
BUR CARBIDE ROUND CUT 5.0MM L, $153.76 ,,,,,,,,
BUR CARBIDE ROUND CUT 5.0MM M, $164.90 ,,,,,,,,
BUR CARBIDE ROUND CUT 5.0MM XL, $284.77 ,,,,,,,,
BUR CARBIDE ROUND CUT 6.5MM L, $153.76 ,,,,,,,,
BUR CARBIDE ROUND CUT 6.5MM M, $177.30 ,,,,,,,,
BUR CARBIDE ROUND CUT STRL 2MM, $161.61 ,,,,,,,,
BUR CARBIDE SIDECUT 2.0MM, $133.84 ,,,,,,,,
BUR CARBIDE SIDECUT 2MM, $192.05 ,,,,,,,,
BUR CARBIDE SIDECUT SILV 3.2MM," $1,305.18 ",,,,,,,,
BUR CARBIDE STR CUT 3MM," $2,084.76 ",,,,,,,,
BUR CARBIDE SUPER FG 699, $220.92 ,,,,,,,,
BUR CARBIDE TAPD SIDECUT 1.5MM, $76.41 ,,,,,,,,
BUR CARBIDE TPRD SIDECUT 1.5MM, $76.41 ,,,,,,,,
BUR CARBIDE TPRD SIDECUT 1.7MM, $111.87 ,,,,,,,,
BUR CARBIDE TPRD SIDECUT 2.0MM, $89.59 ,,,,,,,,
BUR CARBIDE1702 L1.6MM, $97.28 ,,,,,,,,
BUR CARBIDE7011.2MM, $97.28 ,,,,,,,,
BUR CRS CUT FISSURE 1.2MM, $137.29 ,,,,,,,,
BUR CUT DIAMOND HI SPEED 17MM," $1,836.62 ",,,,,,,,
BUR CUT LINDEMAN SS 1.6MM, $172.59 ,,,,,,,,
BUR CUT ULTRA SS 5MM," $3,599.07 ",,,,,,,,
BUR CUT ULTRA STD SS 3MM, $648.27 ,,,,,,,,
BUR CUTTING 4.0M," $1,437.12 ",,,,,,,,
BUR CUTTING 5.0MM, $466.01 ,,,,,,,,
BUR CUTTING 5.5MM, $733.37 ,,,,,,,,
BUR CVD 11CM BALL 1MM," $3,030.44 ",,,,,,,,
BUR CVD 11CM BALL 2MM," $3,030.44 ",,,,,,,,
BUR CVD 11CM BALL DIA 1MM," $3,030.44 ",,,,,,,,
BUR CVD 11CM BALL DIA 2MM," $3,030.44 ",,,,,,,,
BUR CVD CUT VISAO 1.5X98MM," $2,575.32 ",,,,,,,,
BUR CVD HI SPD VISAO 1.5X98MM," $2,673.60 ",,,,,,,,
BUR CVD HI SPD VISAO 1X98MM," $2,575.32 ",,,,,,,,
BUR DCR CRV 15DEG 4MMX11CM," $2,503.25 ",,,,,,,,
BUR DENTAL 260 10T," $1,961.10 ",,,,,,,,
BUR DERMABRADER STR 12X50MM, $981.41 ,,,,,,,,
BUR DERMABRADER STR 7X50MM, $981.41 ,,,,,,,,
BUR DIAMOND AESCULAP 2.5X95MM," $2,336.17 ",,,,,,,,
BUR DIAMOND AESCULAP 2X70MM," $2,141.28 ",,,,,,,,
BUR DIAMOND AESCULAP 4X70MM," $2,141.28 ",,,,,,,,
BUR DIAMOND AESCULAP 5X70MM," $2,141.28 ",,,,,,,,
BUR DIAMOND AESCULAP 5X95MM," $2,336.17 ",,,,,,,,
BUR DIAMOND AESCULAP 6X70MM," $2,141.28 ",,,,,,,,
BUR DIAMOND AESCULAP 7X70MM," $2,141.28 ",,,,,,,,
BUR DIAMOND COARSE ALPEN, $141.68 ,,,,,,,,
BUR DIAMOND COARSE LNG 1.0MM," $1,344.94 ",,,,,,,,
BUR DIAMOND COARSE LNG 1.5MM," $1,344.94 ",,,,,,,,
BUR DIAMOND COARSE LNG 2.0MM," $1,344.94 ",,,,,,,,
BUR DIAMOND CUT VISAO 2X90MM," $2,673.60 ",,,,,,,,
BUR DIAMOND CVD VISAO .5X90MM," $2,575.32 ",,,,,,,,
BUR DIAMOND DERMABRADER 12MM, $591.99 ,,,,,,,,
BUR DIAMOND DERMABRADER 4MM, $479.44 ,,,,,,,,
BUR DIAMOND DERMABRADER 7MM, $479.44 ,,,,,,,,
BUR DIAMOND FINE LNG 2MM," $1,376.72 ",,,,,,,,
BUR DIAMOND FINE RND CUT 2X75," $1,397.16 ",,,,,,,,
BUR DIAMOND HI SPD VISAO 2X90," $2,575.32 ",,,,,,,,
BUR DIAMOND MEDIUM, $520.37 ,,,,,,,,
BUR DIAMOND OSTEON 1.5X48MM," $1,011.97 ",,,,,,,,
BUR DIAMOND OSTEON 1X48MM," $1,011.97 ",,,,,,,,
BUR DIAMOND OSTEON 2X48MM," $1,011.97 ",,,,,,,,
BUR DIAMOND OSTEON 5X38MM," $1,305.18 ",,,,,,,,
BUR DIAMOND OSTEON 5X48MM, $994.80 ,,,,,,,,
BUR DIAMOND OSTEON LONG 0.7MM," $1,117.64 ",,,,,,,,
BUR DIAMOND OSTEON LONG 1.0MM, $915.49 ,,,,,,,,
BUR DIAMOND OSTEON LONG 1.5MM," $1,162.10 ",,,,,,,,
BUR DIAMOND OSTEON LONG 2.0MM," $1,162.10 ",,,,,,,,
BUR DIAMOND OSTEON LONG 3.0MM," $1,162.10 ",,,,,,,,
BUR DIAMOND OSTEON LONG 4.0MM, $988.67 ,,,,,,,,
BUR DIAMOND OSTEON LONG 5.0MM," $1,117.64 ",,,,,,,,
BUR DIAMOND OSTEON MED 5.0MM," $1,063.58 ",,,,,,,,
BUR DIAMOND RND 4.5X95MM, $441.58 ,,,,,,,,
BUR DIAMOND RND CUT 3.0MM," $1,120.61 ",,,,,,,,
BUR DIAMOND RND CUT 5.0MM," $1,120.61 ",,,,,,,,
BUR DIAMOND RND CUT AM 4MM," $1,350.97 ",,,,,,,,
BUR DIAMOND RND CUT FINE 2X64," $1,376.72 ",,,,,,,,
BUR DIAMOND RND CUT NS 5.0MM, $537.00 ,,,,,,,,
BUR DIAMOND RND CUT SS 4.0MM," $1,120.61 ",,,,,,,,
BUR DIAMOND RND CUT XLNG 3MM, $395.03 ,,,,,,,,
BUR DIAMOND RND FINE 1X51MM," $1,376.72 ",,,,,,,,
BUR DIAMOND RND FINE 1X64MM," $1,376.72 ",,,,,,,,
BUR DIAMOND RND FINE 3X75MM," $1,376.72 ",,,,,,,,
BUR DIAMOND RND FINE 5X75MM," $1,376.72 ",,,,,,,,
BUR DIAMOND RND LNG 3MM, $466.01 ,,,,,,,,
BUR DIAMOND RND STRL 2.0MM," $1,120.61 ",,,,,,,,
BUR DIAMOND RND TAPRD 2.0MM," $1,504.47 ",,,,,,,,
BUR DIAMOND ROUND 4X64MM," $1,376.72 ",,,,,,,,
BUR DIAMOND ROUND CUT 2.0MM, $248.22 ,,,,,,,,
BUR DIAMOND ROUND CUT 3.0MM, $335.77 ,,,,,,,,
BUR DIAMOND ROUND CUT 4.0MM, $332.16 ,,,,,,,,
BUR DIAMOND ROUND CUT 5.0MM, $438.51 ,,,,,,,,
BUR DIAMOND ROUND CUT 6.0MM, $335.77 ,,,,,,,,
BUR DIAMOND ROUND CUT BALL 2MM, $335.77 ,,,,,,,,
BUR DIAMOND ROUND CUT BALL 4MM, $335.77 ,,,,,,,,
BUR DIAMOND ROUND CUT BALL 6MM, $335.77 ,,,,,,,,
BUR DIAMOND ROUND CUT XLNG 2MM, $312.39 ,,,,,,,,
BUR DIAMOND SPRING 260," $1,037.52 ",,,,,,,,
BUR DIAMOND STR 3.0MM," $1,376.72 ",,,,,,,,
BUR DISS ACORN LEGND 9CMX6MM," $1,480.15 ",,,,,,,,
BUR DISS BALL LEGND 9CMX6MM," $1,502.43 ",,,,,,,,
BUR DISS TAPR LGD B1 8CMX2.3MM," $1,278.61 ",,,,,,,,
BUR DISS TAPRD LEGND 8CMX1.5MM," $1,278.61 ",,,,,,,,
BUR DISS TAPRD LEGND 9CMX3MM," $1,403.70 ",,,,,,,,
BUR DISSCT LEGEND ACRN 9CMX9MM," $1,438.45 ",,,,,,,,
BUR DISSECT BALL FLUTED 10X5MM," $1,480.15 ",,,,,,,,
BUR DISSECT FLUTED 10CMX3MM," $1,389.80 ",,,,,,,,
BUR DRILL BARREL 5X95MM," $1,861.56 ",,,,,,,,
BUR EGG 51MM, $82.37 ,,,,,,,,
BUR EGG AESCULAP 6.0X70MM," $1,674.94 ",,,,,,,,
BUR EGG MEDIUM 5.0MM," $1,026.69 ",,,,,,,,
BUR EGG OVAL SS 6.0X44.5MM, $725.71 ,,,,,,,,
BUR EGG SHORT 5.0 MM," $1,129.91 ",,,,,,,,
BUR FAST CUT BARREL 8.0X70MM, $492.87 ,,,,,,,,
BUR FAST CUT BARREL DISP 5X95," $2,029.37 ",,,,,,,,
BUR FAST DRILL BARREL 3.5X95MM," $2,336.17 ",,,,,,,,
BUR FAST DRILL BARREL 5X70MM," $1,719.19 ",,,,,,,,
BUR FAST DRILL BARREL 6.0X70MM, $452.58 ,,,,,,,,
BUR FINE DIAMOND LNG 1X72MM," $1,581.12 ",,,,,,,,
BUR FINE DIAMOND LNG 2X72MM," $1,632.22 ",,,,,,,,
BUR FINE DIAMOND LNG 3X72MM," $1,632.22 ",,,,,,,,
BUR FINE DIAMOND LNG 4X72MM," $1,632.22 ",,,,,,,,
BUR FINE DIAMOND LNG 5X72MM," $1,581.12 ",,,,,,,,
BUR FISSURE MED TPRD 2.1X4.9MM, $112.97 ,,,,,,,,
BUR FISSURE MICRO TPRD 1.2 701, $219.66 ,,,,,,,,
BUR FISSURE MICRO TPRD 1.2 702, $219.66 ,,,,,,,,
BUR FLAT END COARSE TAPER, $76.88 ,,,,,,,,
BUR FLUTD DIAMOND SILV 25.4," $1,836.62 ",,,,,,,,
BUR FLUTED HI SPD VISAO 2X90," $2,673.60 ",,,,,,,,
BUR FRONTAL FINESSE 3MM," $5,831.66 ",,,,,,,,
BUR HELIOCOIDAL RASP 3.2MM," $1,269.72 ",,,,,,,,
BUR HI SPEED RND CUT 3.2MM," $1,444.17 ",,,,,,,,
BUR HL COVER 1.5MM 6 HL 12MM," $1,386.12 ",,,,,,,,
BUR HL COVER 1.5MM 6 HL 18MM," $1,484.85 ",,,,,,,,
BUR LINDEMANN 1.5X14X70MM, $342.51 ,,,,,,,,
BUR LINDEMANN 1.5X24X70MM," $1,749.44 ",,,,,,,,
BUR LONG 4MM, $293.40 ,,,,,,,,
BUR MATCH HD DIAMND 9CMX3MM," $1,660.84 ",,,,,,,,
BUR MATCH HD LEGND M8 9CMX3MM," $1,501.00 ",,,,,,,,
BUR MATCHSTICK FLUTED 3MM, $927.04 ,,,,,,,,
BUR MICRO EGG OVAL SS 4X54MM, $839.45 ,,,,,,,,
BUR NEURO DIAMOND LNG 3X38MM," $1,114.07 ",,,,,,,,
BUR NEURO DIAMOND MED 3X38MM, $456.42 ,,,,,,,,
BUR NEURO DRILL LESS AGRSV 3MM," $1,743.21 ",,,,,,,,
BUR ORAL CARBRIDE HP HALL 2, $44.09 ,,,,,,,,
BUR OSTEO ROUND 2.3X55MM, $733.37 ,,,,,,,,
BUR OSTEON 10 FLUTE 5X38MM," $1,090.56 ",,,,,,,,
BUR OSTEON 10 FLUTE 5X48MM," $1,103.54 ",,,,,,,,
BUR OSTEON 10 FLUTE 6.5X38MM," $1,103.54 ",,,,,,,,
BUR OSTEON 150 GRIT 3X48MM," $1,305.18 ",,,,,,,,
BUR OSTEON 160 GRIT 6X38MM," $1,305.18 ",,,,,,,,
BUR OSTEON 6 FLUTE 2X48MM, $896.18 ,,,,,,,,
BUR OSTEON 60 GRIT 4X38MM," $1,305.18 ",,,,,,,,
BUR OSTEON 8 FLUTE 2.5X48MM," $1,103.54 ",,,,,,,,
BUR OSTEON 8 FLUTE 3X48MM," $1,103.54 ",,,,,,,,
BUR OSTEON 8 FLUTE 4X48MM," $1,103.54 ",,,,,,,,
BUR OSTEON CARBIDE LNG 1.5MM," $1,117.64 ",,,,,,,,
BUR OSTEON CARBIDE LNG 3MM," $1,162.10 ",,,,,,,,
BUR OSTEON CARBIDE LONG 5MM, $997.35 ,,,,,,,,
BUR OSTEON CARBIDE MED 4MM," $1,162.10 ",,,,,,,,
BUR OSTEON CARBIDE MED 6.5MM," $1,117.64 ",,,,,,,,
BUR OSTEON DERMABRADER 10MM, $924.49 ,,,,,,,,
BUR OSTEON RND 4 FLUTE 0.7X48," $1,053.97 ",,,,,,,,
BUR OSTEON RND STRL 0.5X48MM," $1,166.19 ",,,,,,,,
BUR OSTEON ROUND 5MM, $520.37 ,,,,,,,,
BUR OSTEON SHORT 5MM, $997.35 ,,,,,,,,
BUR OSTEON SST LONG 0.5MM," $1,232.31 ",,,,,,,,
BUR OSTEON SST LONG 1MM," $1,117.64 ",,,,,,,,
