Hospital Service Code,Service Description,Hospital Charge
09085515,GUIDEWIRE STRY ASNIS 3.2X300 S,188.00
09085531,SCRW STRY CORT 4.5X75MM,80.00
09085549,SCRW STRY CORT 3.5X70MM,80.00
09085564,PLT STRY PELVIC 3H 42.5MM,1027.00
09085580,SCRW STRY CORTX 3.5X65MM,80.00
09085606,SCRW STRY CORT 3.5X32MM,80.00
09085614,NL STRY TIBIAL T2 011X345 STD,5829.00
09085622,SCRW SYN IM LOCK 5.0X48MM,774.00
09085630,SCRW SYN IM LOCK 5.0X44MM,774.00
09085648,CAP SYN END TI T40 0MM FEM NL,724.00
09085655,NL SYN FEM CANN TI 10X380 STR,7447.00
09085663,CUTTER ANS DIA BALL 4MM MED,341.00
09085671,SCRW STRY RECON LAG 06.5X85,930.00
09085689,SCRW STRY RECON LAG 06.5X90,930.00
09085697,NL STRY RECON T2 011X360X125 R,7339.00
09085705,K-WIRE STRY RECON T2 03.2X400,1297.00
09085739,STENT COOK DBL PIGTAIL 7X24CM,509.00
09085747,DRL BT SYN 1.3X55MM MINI QC,260.00
09085754,SCRW SYN CORTX 1.5X6MM ST,220.00
09085770,PLT SYN LCP 1/3 12H 141MM,504.00
09085788,DRL BT STRY 2.5X87MM,566.00
09085796,SCRW STRY PROFYLE 1.2X4MM,261.00
09085812,SCRW STRY PROFYLE 1.4X3MM,282.00
09085820,SCRW STRY PROFYLE 2.3X32MM,261.00
09085846,ANCHOR ARTHX PUSHLOCK,1833.00
09085861,SCRW STRY HYBRID 4.5X14 FA ST,1285.00
09085887,GRFT STRY CERV SPACER 9MM,5613.00
09085903,DRL BT SYN UNIV/HALL 2.4X125,598.00
09085929,STENT COOK DBL PIGTAIL 8X24CM,509.00
09085937,STENT COOK DBL PIGTAIL 7X28CM,509.00
09085978,EXTRACTOR STONE NIT 3F 115CM,863.00
09085986,PLT SYN VOLAR DISTAL 4H LT LNG,3658.00
09085994,SCRW SYN LOCK 2.7X36MM ST,488.00
09086000,PLT SYN DHS 135D 46MM 2H SHRT,2075.00
09086034,SCRW SYN CORTX 2.4X30 SDR ST,245.00
09086067,PLT SYN LOCK LG 6H,2433.00
09086075,SCRW SYN LOCK 2.0X16 ST PDR,447.00
09086125,SCRW SYN CORTX 2.7X12 SDR ST,141.00
09086133,SCRW SYN LOCK 5.0X44MM ST,610.00
09086141,GRFT MTF DBX MIX 10CC,6448.00
09086174,PLT SYN LCP MED DIST 3.5 10H,6744.00
09086182,PLT SYN LCP 3.5 6H 85MM,1331.00
09086208,DRL BT SYN UNIV/HALL 1.8X125,598.00
09086224,MAMMARI IMP STY 68LP 350-370,2969.00
09086232,DRL BT  STRY 2.2X150MM,534.00
09086240,SCRW SYN LOCK 2.4X26MM ST,531.00
09086331,SCRW STRY PROFYLE 2.3X12MM,261.00
09086349,DRL BT STRY 1.0MM,541.00
09086356,PLT STRY COMPRESS 2.3 90D 10H,843.00
09086364,SCRW STRY GAMMA LAG 010.5X75,1812.00
09086372,SCRW STRY GAMMA LAG 010.5X80,1812.00
09086398,KNEE DPY INSERT CV SZ 2.5,8180.00
09086406,KNEE DPY TIBIAL MOD SZ 2.5,15304.00
09086414,KNEE DPY TIBIAL MOD SZ 2,15304.00
09086422,KNEE DPY INSERT CV SZ 2,8180.00
09086455,SCRW STRY LOCK 4X35MM,735.00
09086562,BLD ZM FULL 54MM,3147.00
09086570,BLD ZM TRUNCATED 54MM,3147.00
09086604,SCRW SYN CANN 6.5X160 32THD,1112.00
09086612,SCRW SYN LOCK 5.0X48MM ST,610.00
09086638,PLT SS VBR SM 14X16 -25MM 6D,43495.00
09086653,GRFT AS CERV SPACER 7X14X12MM,4533.00
09086752,STAPLER ROTICULATOR 30-4.8,2571.00
09086760,SCRW SYN CANN /LOCK 5.0X90MM,840.00
09086778,PLT SYN CONDYLR 4.5 16H 350MM,516.00
09086828,SU MTK SUPER QUICK ANCHOR +DS,1613.00
09086869,PLT SYN OLECRANON 4H LT,4257.00
09086877,PLT SYN OLECRANON 4H RT,4257.00
09086927,NL STRY TIBIAL T2 09X315 STD,5829.00
09086935,KNEE DPY INSERT CV SZ 2.5 8MM,8180.00
09086943,KNEE DPY TIBIAL MOD SZ 3,15304.00
09086950,KNEE DPY INSERT CV SZ 3 10MM,8180.00
09087032,ILIZAROV STRUT FAST FX X-SHT,2657.00
09087057,HIP STRY UNIV DIST SPACER 11MM,799.00
09087107,GRFT EBI DBM PUTTY 5CC,3375.00
09087115,KIT EXTERNAL NAVIGUS STEALTH,3273.00
09087123,SCRW STRY PROFYLE 1.9X5MM,119.00
09087149,SCRW STRY PROFYLE 1.2X5MM,261.00
09087164,SCRW STRY LOCK 5X25MM,735.00
09087172,SCRW STRY ASNIS CANN 8.0X95MM,972.00
09087180,SCRW STRY ASNIS CANN 6.5X75MM,930.00
09087206,"GELFILM 12.5CMX2""",452.00
09087214,"GELFILM 12.5CMX10""",1380.00
09087222,PLT STRY ST 16H,1037.00
09087230,DRL BT STRY CANN 05.6MM,2212.00
09087255,SCRW ZM CORT 2.7X56 SM HEX ST,76.00
09087263,SCRW ZM CORT 2.7X65 SM HEX ST,76.00
09087297,SCRW ZM LOCK 3.5X52MM,516.00
09087305,SCRW ZM LOCK 3.5X54MM,516.00
09087313,SCRW ZM LOCK 3.5X48MM,516.00
09087321,SCRW ZM LOCK 3.5X44MM,516.00
09087339,DRL ZM CANN STD 2.7MM,972.00
09087347,GUIDEWIRE ZM STD 1.6MM,341.00
09087362,DRL ZM STANDARD 2.7MM,1168.00
09087396,PIN STRY APEX SD 3X110X10MM,326.00
09087412,SCRW LB MIDFACE ER 1.9X5MM,245.00
09087420,SCRW LB MIDFACE 1.7X6MM ST,234.00
09087438,PLT LB UPPER ST 1.2 8H STD,1009.00
09087446,SCRW LB UPPERFACE ER 1.4X5MM,286.00
09087453,SCRW LB UPPERFACE 1.2X6MM ST,272.00
09087461,SCRW LB UPPERFACE 1.2X4MM ST,272.00
09087479,NL STRY GAMMA LNG 011X400X125,7426.00
09087537,PLT RICH LAT DIST FEM 4.5 16H,6806.00
09087552,NDL OV BONE MARROW 11GAX15CM,424.00
09087586,PLT STRY COMPRESS 6H LT,647.00
09087594,PLT STRY COMPRESS ST 4H BAR,516.00
09087610,SCRW ACU LOCK 3.5X60MM,540.00
09087669,SCRW ACU CORT 3.5X28MM,326.00
09087685,SCRW SYN COMPRESS DHS/DCS 36MM,176.00
09087693,PLT SYN DHS 130D 46MM 2H,2075.00
09087701,PLT SYN DHS 130D 78MM 4H,2075.00
09087727,PLT SYN CONDYLR 4.5 12H 278 LT,6988.00
09087735,PLT SYN DIST RADIUS L +90D 2X4,1993.00
09087743,PLT SYN DIST RADIUS L +90D 2H,1896.00
09087750,PLT SYN LCP MED DIST 3.5 8H RT,6672.00
09087776,NL STRY FEM T2 012X400MM,6130.00
09087784,COUPLING STRY ROD TO ROD MRI,1342.00
09087792,CLMP STRY 4H MRI,1621.00
09087800,POST STRY 30D MRI,303.00
09087818,ROD STRY CARBON 5X200MM MRI,435.00
09087826,ROD STRY CARBON 8X250MM MRI,647.00
09087834,CLMP STRY PIN TO ROD MRI 4/5 8,2635.00
09087842,COUPLING STRY ROD TO ROD MRI 8,2635.00
09088048,EAR XMD MORETZ MALLEUS 4.75,2008.00
09088071,GRFT ARTHX OSTEOCHONDRAL 6MM,2808.00
09088105,PLT SYN DHS 135D 4H STD,2075.00
09088139,SCRW SYN CANN 4.5X34MM TI,869.00
09088162,SCRW SYN CORTX 2.4X12 SDR ST,245.00
09088188,HIP DPY FEM STEM STD SZ 7 OFF,14986.00
09088196,HIP DPY FEM STEM STD SZ 6 OFF,29469.00
09088220,HIP DPY FEM HEAD 32 +5,5045.00
09088352,PIGMENT COLOR FLESH 10,178.00
09088410,"TOURNIQUET ZM DPSB 30"""" STR""",126.00
09088428,CONNECTOR MED STRAIGHT,270.00
09088436,NL STRY TIBIAL T2 08X360 STD,5829.00
09088444,SOFTFOAM VAC 10X15CM,49.00
09088469,DRL BT SYN 1.5 6X44.5MM,598.00
09088485,PLT SYN CERV LOCK TI 1X23X14,6143.00
09088519,"GUIDEWIRE DNK UCSS THD 24""""""",658.00
09088535,ERASER HEMOSTATIC WETFLD 25G,213.00
09088550,BLD SCALPEL HEMOSTATIX #12,165.00
09088568,SCRW SYN LOCK 5.0X14MM ST,564.00
09088584,KNIFE EYE SLIT ANG 2.85MM,109.00
09088592,NDL OV BONE MARROW 8GAX15CM,598.00
09088600,GRFT OV VITOSS FOAM 10CC,8096.00
09088618,DRL BT SYN 8.0MM/TRIPLE REAMER,2345.00
09088774,NDL TRANSURETHRAL IMPLANT,128.00
09088782,PLT SYN CERV LOCK TI 2X43X34,6614.00
09088790,GRFT MTF DBX MIX 5CC,4819.00
09088808,GRFT MTF DBX PUTTY 5CC,3940.00
09088816,GRFT MTF DBX PUTTY 1CC,972.00
09088857,SCRW ZM CANN 6.5X70 16THD,930.00
09088899,SCRW LB BONE 2.3X8MM ST,270.00
09088907,SCRW LB BONE 2.3X10MM ST,270.00
09088915,SCRW LB BONE 2.3X12MM ST,270.00
09088923,SCRW LB BONE 2.3X14MM ST,270.00
09088956,LENS POSTERIOR SA60AT 11.5D,876.00
09088964,CUTTER ANS SIL 7.5MM FL ACORN,417.00
09088972,SCRW STRY LOCK 5X42.5MM,735.00
09088980,SCRW STRY LOCK 5X37.5CM,735.00
09089004,SCRW STRY LOCK 5X52.5MM,735.00
09089012,SCRW SYN LOCK STARDRIVE 5.0X66,790.00
09089061,"MESH COMPOSITE PARIETEX 12X8""",8636.00
09089087,SCRW STRY LOCK 5X80MM,735.00
09089095,NL STRY RECON T2 013X440 125 L,7339.00
09089129,SYRINGE IMP BARD COLLAGEN,1207.00
09089152,SCRW LB UPPERFACE 1.2X3MM SD,304.00
09089269,KNEE DPY INSERT CV SZ 2 8MM,8180.00
09089277,SCRW STRY LOCK 5X57.5MM,784.00
09089285,SCRW STRY LOCK 5X47.5CM,784.00
09089293,NL STRY TIBIAL T2 012X340 STD,3982.00
09089350,PIN STRY APEX 4X180 40THD,477.00
09089368,ELECTRODE BIPOLAR LOOP 24FR,2135.00
09089376,GRFT CORTICAL STRUT 2X20CM FRO,4455.00
09089384,FRCP COOK CUP BX 3FX115CM,1484.00
09089418,SCRW STRY LOCK 5X32.5CM,360.00
09089434,LENS POSTERIOR MA60AC 27.0OD,404.00
09089442,CATH NAVICATH 15GA,1081.00
09089459,"NDL SPINAL 22GX6"""" 150MM W/ I",700.00
09089467,GRFT BOVINE PERICARD 4X4,919.00
09089475,HANDSET ARGON PLUS,315.00
09089483,BLD ARGON GSU RETRACT 28CM,213.00
09089574,ROD STRY CARBON 8X350MM MRI,893.00
09089582,ROD STRY CARBON 8X400MM MRI,920.00
09089590,ROD STRY CARBON 8X200MM MRI,870.00
09089608,POST STRY 30D ANGLED MRI,469.00
09089616,ROD STRY CARBON 8X500MM MRI,969.00
09089624,ROD STRY CARBON 8X450MM MRI,969.00
09089632,CLMP STRY 10H MRI,3784.00
09089640,PIN STRY TRANSFIX 5X300MM,540.00
09089657,PLT SYN 1/4 TUBLR 8H 63MM,366.00
09089673,CLIP SUGITA TEMP SLIM ST 6MM,1484.00
09089681,"MESH PROLENE SOFT 6X6""""""",1727.00
09089715,DRL BT SYN 3FLUTED 4.2X100MM,960.00
09089723,SCRW SYN LOCK STARDRIVE 5.0X42,790.00
09089731,CAP SYN END TI T40 12MM FEM NL,870.00
09089749,NL SYN FEM CANN TI 10X360 STR,7447.00
09089764,HIP ZM VERSYS FEM 14X135 STD,8744.00
09089822,SCRW ZM PERIART CORT 3.5X100,133.00
09089830,SCRW ZM PERIART CORT 4.0X50,133.00
09089855,NL SYN HUMERAL CANN 9X150MM,8085.00
09089871,BLD SYN SPIRAL HUM NL 50MM,2587.00
09089889,DRL BT SYN 3FLUTED 3.2X100MM,960.00
09089913,NL STRY FEM T2 010X380MM,6692.00
09089954,SCRW STRY CORT 4.5X95MM,86.00
09089962,SCRW STRY CORT 4.5X70MM,86.00
09089970,SCRW STRY CORT 4.5X65MM,86.00
09089996,SCREW STRY CORT 4.5X20MM,60.00
09090028,TIP ACE SOLID LOK 3.5MM,247.00
09090085,SCRW SYN CANN 6.5X90 FLL THD,1112.00
09090093,SCRW SYN CANN 6.5X150 FLL THD,1112.00
09090119,ROD STRY ALUMINUM CV,570.00
09090143,GRFT EBI DBM PUTTY 1CC,919.00
09090192,PLT SYN MINI LOCK 2.0 4H,1251.00
09090218,PLT SYN MINI LOCK 2.0 4H MALL,1251.00
09090226,INSERT PRONEVIEW CUSHION LARGE,85.00
09090234,PACK AMO VITRECTOMY SOVEREIGN,946.00
09090242,TIP AMO PHACO 30D 20GA,403.00
09090259,TIP AMO PHACO 30D 19GA,403.00
09090267,TUBING AMO PHACO SOVEREIGN,188.00
09090275,SCRW STRY LOCK 4X25MM,784.00
09090283,SCRW STRY LOCK 4X24MM,784.00
09090291,NL STRY HUMERAL T2 LNG LT,8033.00
09090325,DRL BT STRY 2.0X5MM AO,620.00
09090341,NL STRY TIBIAL T2 010X315 STD,6371.00
09090382,PLT ZM RECON CV 3.5 16H,2223.00
09090432,HOOK NEURO SCALP,117.00
09090440,SU ENDOBUTTON CONT LOOP 20MM,1498.00
09090457,SU ENDOBUTTON CONT LOOP 25MM,1498.00
09090465,SCRW STRY PROFYLE 1.7X15MM,249.00
09090473,SCRW STRY PROFYLE 1.7X13MM,249.00
09090481,SCRW STRY PROFYLE ER 1.9X8 ST,249.00
09090564,SCRW STRY PROFYLE ER 2.5X8MM,272.00
09090572,SCRW STRY PROFYLE ER 2.5X6MM,272.00
09090580,PLT SYN CLAVICLE HOOK 8H 18MM,3147.00
09090598,SCRW SYN CORTX 2.7X10 SDR ST,141.00
09090606,SCRW SYN LOCK 2.4X8MM ST,531.00
09090622,NL STRY FEM T2 011X380MM,6692.00
09090630,REAMER STRY BIXCUT 10.0MM,1761.00
09090663,NL ACE VERSANAIL TROCH 11X44CM,11255.00
09090671,SCRW SYN LOCK 2.4X30MM ST,531.00
09090689,GRFT COSTAL RIB CARTILAGE 5CM,4725.00
09090739,SCRW STRY COMPRESS T2 FEMUR,784.00
09090770,KNEE DPY INSERT CV SZ 3.8MM,7654.00
09090804,SCREW SYN CORTEX 3.5X85MM,96.00
09090812,BLADE STRY ARTH ROUND 3.5MM,358.00
09090820,HIP JJ FEM STEM STD 18X160,19026.00
09090853,SCRW SYN CORTX 3.5X150MM ST,179.00
09090879,CAP STRY END 011.5X15MM,983.00
09090887,CAP STRY END T2 +5,840.00
09090895,NL STRY TIBIAL T2 011X375MM,6371.00
09090929,KNEE STRY TIB BASEPLT #3,10776.00
09090945,GRAFT DURAGEN 2X2 SUTURE,2156.00
09090986,KNEE STRY PATELLA A32 10MM,6047.00
09090994,KNEE STRY TIB INSERT #6 9MM,7345.00
09091000,IMPLANT EYE SHEET 38X50X.85MM,1406.00
09091018,SCRW SYN CORTX 3.5X70MM ST,96.00
09091034,SCRW SYN COORTX 2.0X6MM ST,261.00
09091042,SCRW SYN CORTX 2.0X8MM ST,261.00
09091059,SCRW SYN CORTX 2.0X10MM COARSE,261.00
09091067,SCRW SYN CORTX 2.0X12MM COARSE,261.00
09091075,SCRW SYN CORTX 2.0X14MM COARSE,261.00
09091083,PLT SYN MINI LOCK 2.0 4H TENSI,1696.00
09091091,PLT SYN MINI LOCK 2.0 12H ADAP,2430.00
09091125,SCRW SYN LOCK 2.0X8MM ST,485.00
09091141,SCRW SYN LOCK 2.0X14MM ST,485.00
09091158,BRUSH COOK URET BX 5X67CM,234.00
09091190,SCRW STRY NAIL HOLDING,1367.00
09091208,DRL BIT ACU MICRO,585.00
09091216,GUIDEWIRE ACU .035MM,49.00
09091240,SCRW ACU ACUTRAK 2X14MM,1892.00
09091323,PLT SYN T LCP RT ANG 3X3H,1326.00
09091349,KNEE DPY STAB INSERT SZ 2 10MM,9149.00
09091364,KNEE DPY INSERT CV SZ 4 12.5MM,8422.00
09091372,GUIDEWIRE AMPLATZ STIFF .038X1,135.00
09091380,GUIDEWIRE AMPLATZ CV .035X145,71.00
09091398,GUIDEWIRE CV SAFE T-J .035X145,86.00
09091406,GUIDEWIRE AMPLATZ ULTRA .035X1,237.00
09091430,SCRW STRY CORT 4.5X90MM,86.00
09091448,PLT STRY SYMPHYSIS 6H,2885.00
09091463,SCRW STRY CORT 4.5X30MM,84.00
09091471,SCRW STRY CORT 4.5X32MM,86.00
09091489,SCRW STRY CORT 4.5X14MM,86.00
09091596,SCRW STRY RECON LAG 06.5X80,1058.00
09091620,CLMP STRY ROD TO ROD 5/3,1760.00
09091638,"SU ARTHX FIBERLOOP 2 15""""""",244.00
09091653,SCRW SYN TI LOCK 2.0 KWM,171.00
09091661,LENS POSTERIOR MA60AC 17.5D,876.00
09091695,CATH BACTISEAL ANTIMICROBIAL,2843.00
09091703,GRFT BOVINE PERICARD 6X8CM,1430.00
09091711,SU ARTHX FIBERWIRE 2-0 MENISCU,352.00
09091729,SU ARTHX PROTECTOR MENISCUS,513.00
09091737,LENS POSTERIOR SN60WF 22.0D,876.00
09091745,HIP RICH UNIPOLAR SLEEVE +0,534.00
09091760,HIP RICH UNIPOLAR HEAD 47MM,1682.00
09091786,STAPLER ENDOSTITCH,1181.00
09091794,"SU ENDOSTITCH SILK 0 48""",215.00
09091836,HIP DPY FEM HEAD 32 +1,10455.00
09091844,HIP JJ PROX SLEEVE 14B,3262.00
09091885,NL SYN HUMERAL CANN 7X260MM,8085.00
09091893,NL SYN TROCHANTERIC TI 10X170M,5847.00
09091901,DRL BT SYN 3FLUTED 4.0X65MM,811.00
09091927,KNEE STRY TIB #2 9MM,10081.00
09091935,KNEE STRY TIB BASEPLT #2,10776.00
09091943,DRL BT SYN PERC 3.2X300MM,782.00
09091950,KNEE STRY FEM COMP #2 LT,5390.00
09091968,SCRW SYN CANN LOCK 5.0X30MM,840.00
09091976,SCRW SYN CANN LOCK 5.0X25MM,840.00
09091984,SCRW SYN CANN LOCK 5.0X75MM,840.00
09092024,HIP RICH DIST CENTRAL SZ 12MM,457.00
09092073,LENS POSTERIOR SN60WF 25.0D,876.00
09092081,LENS POSTERIOR SN60WF 23.0D,876.00
09092107,CATH BLADDER/URET DUAL 7FR,127.00
09092156,HIP ZM FEM STEM MTL 12.5MM,9240.00
09092172,HIP ZM VERSYS FEM HEAD -3.5X36,4004.00
09092180,NL STRY GAMMA LNG 013X380X125,8695.00
09092198,NL STRY TIBIAL T2 011X310 STD,6371.00
09092206,LENS POSTERIOR SN60WF 22.5D,876.00
09092214,SCRW SYN CANN 6.5X65 FLL THD,1206.00
09092222,SCRW SYN CANN 6.5X75 FLL THD,1206.00
09092230,SCRW SYN CANN 7.3X100 FLL THD,1206.00
09092271,SCRW STRY PROFYLE 2.3X6MM,272.00
09092289,SCRW STRY PROFYLE 2.3X7MM,272.00
09092297,SCRW STRY PROFYLE 2.3X11MM,272.00
09092305,SCRW STRY PROFYLE 2.3X13MM,272.00
09092412,HIP DPY SCRW CANC 6.5X25MM,911.00
09092420,HIP DPY ACETBLR LINER 28X50,7832.00
09092438,HIP DPY ACETBLR CUP 50MM,12161.00
09092446,LENS POSTERIOR SN60WF 12.0D,876.00
09092453,LENS POSTERIOR SN60WF 21.5D,876.00
09092461,SCRW SYN CANN LOCK 7.3X75MM,1342.00
09092479,PLT SYN CONDYLR 4.5 10H 242 LT,7399.00
09092487,"FLEXLIGHT 5""""""",146.00
09092495,BASKET WIRE 3.2FR 115CM 5CM,569.00
09092503,DRL BT SYN 1.5X8MM STRY,598.00
09092511,PLATE STRY DORSAL NRRW SHORTLT,3450.00
09092545,SCREW SYN.LOCK 2.7X34MM ST,531.00
09092552,SCREW SYN.CORTEX 3.5X90MM ST,107.00
09092560,SCREW SYN.CORTEX 2.7X28 SDR ST,163.00
09092578,LENS POSTERIOR SN60WF 15.0D,876.00
09092586,LENS POSTERIOR SN60WF 12.0D,876.00
09092594,NL STR. RECON.T2 13X420X125 LT,8370.00
09092610,HIP DPY ACETBLR LNR 32X56 OD,7943.00
09092677,PLATE SYN BAND TENSION 4H RT,1588.00
09092685,PLATE SYN BAND TENSION 4H LT,1588.00
09092693,ROD STRY CARBON 8X300MM MRI,893.00
09092701,LENS POSTERIOR SN60WF 12.5D,876.00
09092818,LENS ANTERIOR MTA 4U0 16.5D,251.00
09092834,BLD ARTHRO AGGRS MENISC 5.0,347.00
09092909,COLLAR ASPEN ADJULT X-TALL SET,176.00
09092917,GUIDE PIN ACE 1/8,137.00
09092925,DRILL BIT SYN 1.5X110MM STRY,639.00
09092933,ACTICOAT 4X5,63.00
09092941,RADIAL ACU HEAD 24.0MM,10794.00
09092958,RADIAL ACU STEM 8.0X2.0MM,6747.00
09093014,SCRW.SYN. CLICKX DUAL 6.2X50MM,6692.00
09093063,PLT SYN DHS 135D 62MM 3H,2267.00
09093071,PLATE SYN DHS 135D 3H STD,2267.00
09093089,PLT.SYN LCP DIST TIBIA 15H LT,7248.00
09093097,GRAFT ALLODERM 12CM X 12CM,24873.00
09093121,LENS POSTERIOR SN60WF 20.5D,876.00
09093147,SCLERAL EYE BAND 2.5MM,60.00
09093154,LENS POSTERIOR SN60WF 13.0D,876.00
09093170,DRL BT STRY 2.5X230MM CALIB.,796.00
09093246,GRFT.STRY NEUROFLEX 2.0X2.5CM,6249.00
09093253,GRFT.STRY NEUROMATRIX 2.5X2.5C,5136.00
09093287,LENS POSTERIOR SN60WF 18.5D,876.00
09093295,LENS POSTERIOR SN60WF 26.0D,876.00
09093303,SU ARTHX LASSO SD 45D CV RT,757.00
09093311,SCREW SYN CANN TI 7.3X80MM,1206.00
09093337,HIP ZM FEMS STEM MTL SZ 10,19987.00
09093378,SCREW DISTRACTOR 12MM,260.00
09093386,SCREW SYN CANN 6.5X105 FL THD,1206.00
09093469,PLT.SYN MINI LOCK 2.0 4H BRD,1981.00
09093477,PLT.SYN MAND LOCK 2.0 6H,2297.00
09093493,SCRW.STRY ASNIS CANN 6.5X100PT,1024.00
09093527,ROD STRY CARBON 3X60MM,303.00
09093550,PLT.SYN LCP MED DIST 3.5 12HLT,7124.00
09093568,DRL GUIDE SYN THD 2.8MM,504.00
09093576,SCRW.SYN CANN LOCK 7.3X90MM,1342.00
09093675,NL STRY TIBIAL T2 010X390 STD,6371.00
09093691,NL STRY TIBIAL T2 011X420STD,6371.00
09093741,SCRW.SYN CORTX 2.0X34MM ST,107.00
09093758,SCRW.SYN CORTX 2.0X24MM ST,107.00
09093782,PLT. SYN CRESCENT 2.0 5H,1748.00
09093816,PLT. SYN MINI LOCK 2.0 BRD,1746.00
09093840,SCRW ZM LOCK 3.5X50MM,516.00
09093857,COUPLING STRY PIN TO ROD MRI,1732.00
09093865,K-WIRE STRY 1.2MM,239.00
09093915,NL STRY RECON T2 09X360X125 LT,8370.00
09093923,SCRW STRY LOCK 4X40MM,784.00
09094004,SKIN MTF CRYOPRESERVE 5CM,2156.00
09094111,BLD DB PROTECTED SURG #20,2.00
09094160,DRL BT STRY 8.0MM,2025.00
09094178,KNEE DPY INSERT CV SZ 3 12.5MM,8422.00
09094228,SCRW STRY LOCK 4.0X22MM,352.00
09094244,K-WIRE STRY 2.0X150MM,272.00
09094251,DRL BT STRY 3.1X204MM,504.00
09094319,PLT SYN PROX TIBIA 3.5 8H LT,6595.00
09094335,GRFT MTF FEM CORT STRUT 25CM,3002.00
09094343,LENS POSTERIOR MA60MA 3.0D,876.00
09094368,LENS POSTERIOR MA60MA 2.0D,876.00
09094392,SCRW SYN MATRIX NEURO 4MM,375.00
09094400,PLT SYN MATRIX NEURO ST 2H 9MM,282.00
09094418,PLT SYN MATRIX BOX 16X16MM,1098.00
09094459,SCRW SYN LOCK STARDRIVE 5.0X30,84.00
09094467,LENS POSTERIOR SN60WF 20.0D,876.00
09094491,SCRW STRY LOCK 5X85MM,784.00
09094509,PLT STRY COMP T LT OBQ 6H,935.00
09094525,LENS POSTERIOR SN60WF 18.0D,876.00
09094533,PLT STRY COMPRESS 90D REG 10H,918.00
09094541,PLT STRY T NRRW LT 6H,780.00
09094616,SCRW SYN CANN 6.5X130 FLL THD,1206.00
09094624,SCRW SYN CANN 6.5X125 FLL THD,1206.00
09094632,SCRW ZM CORT 3.5X80 SMM HEX ST,84.00
09094657,SCRW ZM CORT 3.5X100 SM HEX ST,84.00
09094681,SCRW SYN CANN LOCK 7.3X65MM,1342.00
09094699,SCRW SYN CANN LOCK 5.0X65MM,907.00
09094848,LENS POSTERIOR SN60WF 25.5D,876.00
09094855,LENS POSTERIOR SN60WF 23.5D,876.00
09094871,TUBE TRACH XLT PROX CUFF SZ 6,334.00
09094889,TUBE TRACH XLT DIST CUFF SZ 6,201.00
09094905,TUBE TRACH XLT DIST CUFF SZ 8,334.00
09094947,CLIP ANS IRRIGATION MEDIUM,403.00
09094954,CUTTER ANS DIA BALL 5MM MED,352.00
09094962,CUTTER ANS CUTT BALL 1MM MED,352.00
09094970,CUTTER ANS CUTT BALL 2MM MED,352.00
09094988,CUTTER ANS FLUTED MATCHSTICK 3,482.00
09094996,BLD STRY CRESENTIC 0.73X18.5,649.00
09095019,RADIAL ACU HEAD 24.0MM RT,10794.00
09095027,RADIAL ACU STEM 9.0X0.0MM,4063.00
09095050,LENS POSTERIOR SN60WF 19.0D,876.00
09095084,SCRW ZM CORT 4.5X90 LG HEX ST,137.00
09095092,HIP ZM VERSYS FEM STEM 12X125,12785.00
09095134,SCRW SYN CORTX 2.0X18MM COARSE,261.00
09095142,SCRW SYN CORTX 2.0X16MM COARSE,261.00
09095159,SCRW SYN LOCK 2.0X18 ST PDR,485.00
09095167,SCRW SYN LOCK 2.0X6 ST PDR,485.00
09095183,K-WIRE STRY 2.0X230MM,84.00
09095316,SET ARTHX OSTEOTOMY OPEN WEDGE,1348.00
09095357,PIN STEINMAN ZM 4.0X60CM,610.00
09095365,NL STRY TIBIAL T2 012X360 STD,6371.00
09095373,SCRW SYN LOCK 2.7X48MM ST,530.00
09095423,MAMMARY IMP STY 68HP 600-640CC,2969.00
09095449,SU ENDOBUTTON CONT LOOP 15MM,1573.00
09095472,HIP ZM ACETBLR SHELL 52MM,5255.00
09095480,HIP ZM VERSYS CENTRAL 9MM,333.00
09095506,GRFT SYN CRS FAST PUTTY 10CC,13657.00
09095514,SCRW SYN CORTX 2.7X30MM ST,107.00
09095530,SCRW SYN CANN 4.0X32 LNG THD,923.00
09095563,HUMERAL ZM HUM HEAD 23X52MM,8339.00
09095605,HIP ZM ACETBLR LNR 0D 50X36,7985.00
09095613,PLT STRY VOLAR NRRW LNG RT,4307.00
09095621,GRFT STRY NEUROMATRIX 4.0X2.5,6047.00
09095639,BATTERY SYN POWERED DRIVER STR,843.00
09095647,BUR OSTEO #10 2.7MM RND,71.00
09095654,PLT STRY VOLAR STD LT,1753.00
09095738,KNEE DPY TIBIAL MOD COCR SZ 6,15304.00
09095753,SCRW SYN LOCK STARDRIVE 5.0X54,843.00
09095761,ROD SYN REAMING 3.0X950MM BALL,708.00
09095787,SCRW SYN CORTX 3.5X50 SS,133.00
09095795,TUBE SYN REAMER SPARE 309.480,1211.00
09095803,PLT SYN METAPHYSEAL 3.5 6H,3883.00
09095811,RADIAL ACU HEAD 22.0MM LT,10794.00
09095829,PLT SYN DIST TIBIA 11H RT,7077.00
09095837,SCRW SYN CANN 6.5X60 16THD,1112.00
09095878,PLT SYN L 2.7MM 3H 34MM LT,242.00
09095894,TPLT SYN BEND LP RECON 20H,417.00
09095910,SCRW SYN CORTX 3.5X45 ST,133.00
09095993,TAP SYN 4.5MM OCCIPITAL,1754.00
09096009,DRL BIT SYN 3.2MMX245MM QC,877.00
