Ventura County Medical Center (106560481),,
Charge Description Master,,
,,
Description,FY -17 Facility Rate,FY-17 Professional Rate
"35226 Repair blood vessel, direct; lower extremity",,5277
35231 Repair blood vessel w/vein graft; neck,,7623
35236 Repair blood vessel w/vein graft; upper extremity,,6212
35241 Repair blood vessel w/vein graft; intrathoracic w/bypass,,8952
35246 Repair blood vessel w/vein graft: intrathoracic w/o bypass,,8917
35251 Repair blood vessel w/vein graft; intra-abdominal,,10575
35256 Repair blood vessel w/vein graft; lower extremity,,6417
35261 Repair blood vessel with graft other than vein; neck,,4624
35266 Repair blood vessel with graft other than vein; upper extremity,,3831
35281 Repair blood vessel w/ graft other than vein; intra-abdominal,,10207
"35301 Thromboendarterectomy, incl patch graft; carotid/vetebral/subclavian, by neck incision",,6614
"35341 Thromboendarterectomy, mesenteric/celiac/renal",,8940
"35566 Bypass graft, w/ vein;femoral-arterior tib/posterior tib/peroneal art/other distal vessel",,10504
"35571 Bypass graft, with vein; popliteal-tibial, peroneal artery or other distal vessels",,7032
"35612 Bypass graft, with other than vein; subclavian-subclavian",,5871
"35656 Bypass graft,w/ other than vein; fem-pop",,6841
"35665 Bypass graft,w/ other than vein; iliofemoral",,7413
35761 Exploration (not followed by surgical repair) w/wo lysis of artery; other vessels,,1705
"35800 Exploration for postoperative hemorrhage, thrombosis, or infection; neck",,4565
"35820 Exploration for postoperative hemorrhage, thrombosis or infection; chest",,12386
"35840 Exploration for postoperative hemorrhage, thrombosis or infection; abdomen",,7412
"35860 Exploration for postoperative hemorrhage, thrombosis or infection; extremity",,5321
"36000 Introduction of needle or intracatheter, vein",,59
36002 Injection procedures for percutaneous treatment of extremity pseudoaneurysm,,670
"36100 Introduction of needle/intracath, carotid/vertebral artery",,981
"36200 Introduction of catheter, aorta",,932
"36215 Selective catheter placement, arterial system; each first order thoracic or brachiocephalic br",,1350
"36216 Selective catheter placement, arterial system; initial second order thoracic or brachiocphalic",,1541
"36246 Selective cath plmt,art system;initial 2nd order abd/pelvic/lower xtr art branch,w/in vasc fam",,1645
36456 Partial exchange transfusion/blood/plasma/crystalloid necessitating skill of physician; newbor,,508
36468 Injections of sclerosing solutions single/multiple spider veins,,408
36470 Injection of sclerosing solution; single vein,,567
"36471 Injection of sclerosing solution; multiple veins, same leg",,644
"36473 Endovenous ablation therapy of incompetent vein, extremity incl all imaging guidance & monitor",,809
"36474 Endovenous ablation therapy of incompetent vein, extremity incl all imaging guidance & monitor",,405
36555 Insertion non-tunneled CV Cath <5 Yrs,,1246
36556 Insert Nontunnel Cv Cath,,746
36557 Insertion tunneled centrally inserted CVC w/o subq pump/port; < 5 yrs of age,,1912
36558 Insert Tunneled Cv Cath>5 Yrs,,1770
36560 Insertion tunneled centrally inserted CVAD w/o subq port/pump; < 5 yrs of age,,2368
36561 Insert Tunnled Cv/Port >4 Yrs,,2253
36571 Insertion of central venous access w/subq port; 5  yrs/older,,2044
36582 Replacement complete of a tunneled centrally inserted central venous access device with subcut,,1482
"36584 Replacement, complete, PICC w/o subcutaneous port/pump, through same venous access",,420
36589 Removal Tunneled Cv Catheter,,1290
36590 Remove Tunneled Cv Cath W/Port,,1621
36597 Repositioning of previously placed CVC,,479
36620 Arterial catheterization/cannulation; percutaneuos,,582
36800 Insertion of cannula for hemodialysis,,1515
36821 Av Fusion Direct Any Site,,5587
36825 Artery-Vein Autograft,,7428
"36832 Av Fistula Revision, Open",,5925
36901 Introduction of needle(s) and/or catheter(s) w/diagnostic angiography incl all direct puncture,,682
36902 Introduction of needle(s) and/or catheter(s) w/diagnostic angiography incl all direct puncture,,1015
36903 Introduction of needle(s) and/or catheter(s)/dialysis circuit with transcatheter placement of,,1388
"36904 Percutaneus transluminal mechanical thrombectomy and/or infusion for thrombolysis, dialysis ci",,1597
36905 Percutaneous transluminal mechanical thrombectomy and/or infusion for thrombolysis/dialysis ci,,2005
36906 Percutaneous transluminal mechanical thrombectomy and/or infusion for thrombolysis any method,,2339
"36907 Transluminal balloon angioplasty/central dialysis segment, performed through dialysis circuit",,582
"36908 Transcatheter placement of intravascular stent(s), central dialysis segment, performed through",,873
36909 Dialysis circuit permanent vascular embolization/occlusion endovascular incl all imaging & rad,,832
37218 Transcatheter placement of intravascular stent(s) intrathoracic common carotid artery or innom,,4641
"37225 Revascularization,endovasc,open/perq,fem/pop artery(s),unilat;w/atherectomy,incl angioplasty w",,3808
37236 Transcatheter placement of intravascular stent(s) open/percutaneous incl radiological  supervi,,2950
37237 Transcatheter placement intravascular stent(s) open/percutaneous each additional artery,,1372
37238 Transcatheter placement of intravascular stent(s) open/percutaneous incl radiological supervis,,2068
37239 Transcatheter placement of intravascular stent(s) open/percutaneous incl radiological supervis,,959
37241 Vascular embolization/occlusion incl R&I and image guidance; venous other than hemorrhage,,2879
37242 Vascular embolization/occlusion incl R&I and image guidance necessary to complete; arterial ot,,3214
"37243 Vascular embolization/occlusion incl R&I and image guidance necessary to complete; for tumors,",,3830
37244 Vascular emoblization/occlusion incl R&I and image guidance necessary; for arterial or venous,,4466
"37246 Transluminal balloon angioplasty, open or percutaneous incl all imaging & radiological S&I nec",,1662
"37247 Transluminal balloon angioplasty, open/percutaneous incl all imaging & radiological S&I necess",,822
37248 Transluminal balloon angioplasty open or percutaneous incl all imaging & radiological S&I nece,,1429
37249 Transluminal balloon angioplasty open/percutaneous incl all imaging & radiological S&I within,,701
"37565 Ligation, internal jugular vein",,4893
"37609 Ligation or biopsy, temporal artery",,1359
"37615 Ligation, major artery (eg, post-traumatic, rupture); neck",,3317
"37616 Ligation, major artery (eg post-traumatic, rupture); chest",,5302
"37617 Ligation, major artery; abdomen",,8350
"37618 Ligation, major artery (eg, post-traumatic, rupture; extremity",,2200
"38100 Removal Of Spleen, Total",,6192
38101 Splenectomy; partial,,7176
"38102 Splenectomy; total en bloc for extensive disease, in conjunction with other procedure",,1583
38115 Repair of ruptured spleen (Splenorrhaphy) w/wo partial splenectomy,,7844
38120 Laparoscopy splenectomy,,4469
38200 Injection procedure for splenoportography,,864
38220 Diagnostic bone marrow; aspiration(s),,596
38221 Diagnostic bone marrow; biopsy(ies),,652
38222 Diagnostic bone marrow; biopsy(ies) and aspiration(s),,340
"38500 Open, superficial biopsy of lymph nodes",,2297
"38505 Open, superficial by needle biopsy of lymph nodes (eg. cervical, inguinal, axillary)",,462
"38510 Biopsy/excision of lymph node(s); open, deep cervical node(s)",,2663
"38525 Biopsy/excision of lymph node; open,deep axillary node(s)",,2772
"38542 Dissection, deep jugular node(s)",,3331
"38555 Excision of cystic hygroma, axillary/cervical; w/deep neurovascular dissection",,5903
38562 Limited lymphadenectomy for staging; pelvic and para-aortic,,4415
38564 Limited lymphadenectomy for staging; retroperitoneal,,4369
"38570 Laparoscopy;w/retroperitoneal lymph node sampling (bx),single/multiple",,3306
"38571 Laparoscopy lymphadenectomy, bilateral",,7101
38572 Laparoscopy w/bilateral total pelvic lymphadenectomy,,7633
38700 Suprahyoid lymphadenectomy,,5202
38720 Cervical lymphadenectomy (complete),,8580
38724 Cervical lymphadenectomy (modified radical neck dissection),,10187
38740 Remove Armpit Lymph Nodes,,2921
38745 Axillary lymphadenectomy; complete,,5478
38746 Remove Thoracic Lymph Nodes,,1351
"38747 Abdominal lymphadenectomy regional incl celiac, gatric portal w/wo para-aortic and vena cava n",,1389
38760 Remove Groin Lymph Nodes,,5135
38765 Inguinofemoral lymphadenectomy superficial in continuity w/pelvic lymphadenectomy,,7960
38770 Pelvic lymphadenectomy incl external iliac/hypogastric and obturator nodes,,4994
"38780 Retroperitoneal transabdominal lymphadenectomy extensive incl pelvic,arotic & renal nodes",,6383
38790 Injection procedure; lymphangiography,,527
38792 Identify Sentinel Node,,266
"38794 Cannulation, thoracic duct",,1904
38900 Intraoperative identification of sentinel lymph node in addition to primary,,832
"39000 Mediastinotomy with exploration, drainage, removal of foreign body/biopsy; cervical approach",,3190
"39010 Mediastinotomy with exploration, drainage, removal of foreign body/biopsy; transthoracic appro",,4946
39200 Resection of mediastinal cyst,,5421
39220 Resection of mediastinal tumor,,7099
"39401 Mediastinoscopy; includes biopsy(ies) of mediastinal mass (eg, lymphoma), when performed",,1642
"39402 Mediastinoscopy; with lymph node biopsy(ies) (eg, lung cancer staging)",,2136
"39501 Repair, laceration of diaphragm, any approach",,5302
"39540 Repair, diaphragmatic hernia, traumatic; acute",,5376
"39541 Repair diaphragmatic hernia, traumatic; chronic",,5834
"39560 Resection, diaphragm; w/ simple repair",,4924
40490 Biopsy of lip,,469
40500 Vermilionectomy (lip shave) with mucosal advancement,,2455
40510 Excision Of Lip; transverse wedge excision,,2356
40520 Excision of lip; V-excision w/ primary direct linear closure,,2385
"40525 Excision of lip;full thickness,reconstruction w/ local flap",,3644
"40527 Excision of lip;full thickness,reconstruction w/ cross lip flap",,4058
40654 Repair lip full thickness; over one-half vertical height or complex,,2136
"40700 Repair Cleft Lip/Nasal deformity; primary, partial/complete, unilateral",,6471
"40701 Plastic repair of cleft lip/nasal deformity; primary bilateral, 1-stage procedure",,6974
40702 Plastic repair of cleft lip/nasal deformity; primary bilateral 1 of 2 stages,,5158
40720 Plastic repair of cleft/nasal deformity; secondary by recreation of defect & reclosure,,6716
40800 Drainage of abscess/cyst/hematoma vestibule of mouth; simple,,923
40801 Drainage of abscess/cyst/hematoma of vestibule of mouth; complicate,,1507
"40804 Removal of embedded foreign body, vestibule of mouth; simple",,933
"40805 Removal of embedded foreign body, vestibule of mouth; complicated",,1636
40806 Incision of labial frenum (frenotomy),,218
40808 Biopsy Of Mouth Lesion,,670
40810 Excision of lesion of mucosa and submucosa vestibule of mouth; w/o repair,,887
40812 Excise/Repair Mouth Lesion,,1339
40814 Excision of lesion of mucosa and submucosa vestibule of mouth; w/complex repair,,2083
40816 Excision of lesion mucosa and submucosa vestibule of mouth; complex w/excision of underlying m,,2163
40818 Excision of mucosa of vestibule of mouth as donor graft,,1852
40819 Excise Lip Or Cheek Fold,,1626
40820 Destruction of lesion/scar of vestibule of mouth by laser/thermal/cryo/chemical,,1242
40830 Closure of laceration vestibule of mouth; 2.5 cm or less,,1152
40831 Closure of laceration vestibule of mouth; over 2.5 cm or complex,,1541
40840 Vestibuloplasty; anterior,,4121
"40842 Vestibuloplasty; posterior, unilateral",,4225
"40843 Vestibuloplasty; posterior, bilateral",,5619
40844 Vestibuloplasty; entire arch,,7007
"40845 Vestibuloplasty; complex (including ridge extension, muscle repositioning)",,7949
41000 Intraoral I&D abscess/cyst/hematoma tongue/floor of mouth; lingual,,761
41005 Intraoral I&D abscess/cyst/hematoma tongue/floor of mouth; sublingual,,883
"41006 Intraoral I&D abscess/cyst/hematoma tongue/floor of mouth; sublingual, deep",,1779
41007 Intraoral I&D abscess/cyst/hematoma of tongue/floor of mouth; submental spa,,1658
41008 Intraoral I&D abscess/cyst/hematoma tongue/floor of mouth; submandibular space,,1800
41009 Intraoral I&D abscess/cyst/hematoma tongue/floor of mouth; masticator space,,1964
41010 Incision of lingual frenum (frenotomy),,765
41015 Extraoral I&D abscess/cyst/hematoma floor of mouth; sublingual,,2352
41016 Extraoral I&D of abscess/cyst/hematoma of floor of mouth; submental,,2390
41017 Extraoral I&D of abscess/cyst/hematoma floor of mouth; submandibular,,2384
41018 Extraoral I&D of abscess/cyst/hematoma of floor of mouth; masticator space,,2787
41100 Biopsy of tongue; anterior two-thirds,,726
41105 Biopsy of tongue; posterior one-third,,564
41108 Biopsy of floor of mouth,,617
41110 Excision Of Tongue Lesion,,909
41112 Excision of lesion tongue with closure; anterior two-thirds,,1742
41113 Excision of lesion of tongue with closure; posterior one-third,,1433
41114 Excision of lesion of tongue with closure; with local tongue flap,,3188
41115 Excision Of Tongue Fold,,1001
"41116 Excision, lesion of floor of mouth",,991
41120 Glossectomy; less than one-half tongue,,6023
41145 Glossectomy Complete,,18299
"41155 Glossectomy; composite procedure w/resection floor of mouth, mandibular resection, and radical",,19562
41250 Repair Tongue Laceration,,1054
41251 Repair of laceration 2.5 cm or less; posterior one-third of tongue,,1246
"41252 Repair laceration of tongue, floor of mouth, over 2.6 cm/complex",,1395
"41512 Tongue base suspension, permanent suture technique",,4347
"41520 Frenoplasty (surgical revision of frenum, eg with Z-plasty)",,1460
"41530 Submucosal ablation of the tongue base, radiofrequency, 1 or more sites, per session",,2828
"41800 Drainage of abscess, cyst, hematoma from dentoalveolar",,715
41805 Removal of embedded FB from dentoalveolar structures; soft tiss,,1212
41806 Removal of embedded FB from dentoalveolar structure; bone,,1805
41825 Excision Of Gum Lesion,,835
41826 Excision of lesion/tumor dentoalveolar structures; with simple repair,,967
41827 Excision of lesion/tumor dentoalveolar structures; with complex repair,,1381
"42000 Drainage of abscess of palate, uvula",,791
"42100 Biopsy of palate, uvula",,746
"42104 Excision Lesion, Mouth Roof",,954
"42106 Excision lesion of palate, uvula; w/simple primary closure",,1212
"42107 Excision lesion of palate, uvula; w/local flap closure",,2332
42120 Resection of palate/extensive resection of lesion,,6771
42140 Excision Of Uvula,,1085
"42145 Repair Palate, Pharynx/Uvula",,4717
"42160 Destruction of lesion, palate/uvula (thermal/cryo/chemical)",,1001
"42180 Repair, laceration of palate; up to 2 cm",,1233
42182 Repair laceration of palate; over 2 cm or complex,,1689
42200 Palatoplasty for cleft palate soft and/or hard palate only,,6965
"42205 Palatoplasty for cleft palate, with closure of alveolar ridge; soft tissue only",,5822
42210 Palatoplasty for cleft palate w/closure of alveolar ridge; w/bone graft to alveolar ridge,,6620
42215 Palatoplasty for cleft palate; major revision,,4830
42220 Palatoplasty for cleft palate; secondary lengthening procedure,,3520
42225 Palatoplasty for cleft palate; attachment pharyngeal flap,,6046
42226 Lengthening Of Palate,,6712
"42227 Lengthening of palate, with island flap",,5721
"42235 Repair of anterior palate, including vomer flap",,5069
42260 Repair of nasolabial fistula,,4635
"42300 Drainage of abscess; parotid, simple",,1033
"42305 Drainage of abscess; parotid, complicated",,2827
42310 Drainage of abscess; submaxillary/sublingual intraoral,,857
42320 Drainage of abscess; submaxillary external,,1183
42330 Sialolithotomy; submandibular/sublingual/parotid uncomplicated intraoral,,1106
"42335 Sialolithotomy; submandibular complicated, intraoral",,1739
42340 Sialolithotomy; parotid extraoral or complicated intraoral,,2246
42400 Biopsy Of Salivary Gland,,648
42405 Biopsy of salivary gland; incisional,,1488
42408 Excision of subulingual salivary cyst,,2176
42409 Marsupialization of sublingual salivary cyst,,1507
"42410 Excison of parotid tumor/parotid gland; lateral lobe, w/o nerve dissection",,4056
42415 Excision of parotid tumor/parotid gland; lateral lobe wi/dissection and preservation of facial,,6831
42420 Excision of parotid tumor/parotid gland; total w/dissection and preservation of facial nerve,,7646
42425 Excision of parotid tumor/parotid gland; total en bloc removal w/sacrifice of facial nerve,,5421
42426 Excision of parotid tumor/parotid gland; total w/unilateral radical neck dissection,,8663
42440 Excise Submaxillary Gland,,2714
42450 Excision of sublingual gland,,2420
"42510 Parotid duct diversion, bilateral; w/ligation of both submandibular  ducts",,4237
42550 Injection procedure for sialography,,387
42600 Closure salivary fistula,,2323
42650 Dilation salivary duct,,399
"42660 Dilation and catheterization of salivary duct, w/wo injection",,557
"42665 Ligation salivary duct, intraoral",,1410
42700 Incision and Drainage Of Peritonsillar  Abscess,,972
42720 Drainage Of Retrophrngl/Phryngl Abscess,,3123
"42725 I&D retropharyngeal or parapharyngeal, external approach",,5309
42800 Biopsy; oopharynx,,762
"42804 Biopsy,Nasopharynx,Lesion,Simple",,1139
"42806 Biopsy; nasopharynx, visible lesion, simple",,902
42808 Excise Pharynx Lesion,,1078
42809 Remove Pharynx Foreign Body,,1033
"42810 Excision branchial cleft cyst/vestige, confined to skin & subq tiss",,1995
"42815 Excision branchial cyst/vestige/fistula, extending beneath subq tiss",,3768
42820 Tonsillectomy & adnoidectomy < age 12,,1924
42821 Tonsillectomy & adnoidectomy age 12 or >,,2001
42825 Tonsillectomy primary/secondary < age 12,,1764
42826 Tonsillectomy primary/secondary age 12 or >,,1684
42830 Adenoidectomy primary younger than age 12,,1596
42831 Adenoidectomy primary age 12 or >,,1521
42835 Adenoidectomy secondary younger than age 12,,1315
42836 Adenoidectomy secondary age 12 or >,,1618
"42842 Radical resection of tonsil/tonsillar pillars, and/or retromolar trigone; w/o closure",,6755
42844 Radical resection of tonsil/tonsillar pillars and/or retromolar trigone; closure with local fl,,9193
42845 Radical resection of tonsil/tonsillar pilars and/or retromolar trigone; closure with other fla,,14605
42860 Excision of tonsil tags,,1289
42870 Excision Of Lingual Tonsil,,4066
42890 Limited pharyngectomy,,8701
"42892 Resection of lateral pharyngeal wall/pyriform sinus, direct closure by advancement of lateral",,12473
42894 Resection of pharyngeal wall req closure w/myocutaneous/fasciocutaneous flap/free muscle/skin/,,15644
42900 Suture pharynx for wound or injury,,2217
42950 Pharyngoplasty,,5490
42953 Pharyngoesophageal repair,,6595
"42955 Pharyngostomy (fistulization of pharynx, external for feeding)",,5212
"42960 Control oropharynx bleeding, simple",,1624
"42961 Control orpharyngeal hemorrhage, primary/secondary; complicated req hospitalization",,2836
"42962 Control oropharyngeal hemorrhage, primary/secondary; w/secondary surgical intervention",,3446
"42970 Control of nasopharyngeal hemorrhage, primary or secondary; simple w/posterior nasal packs w/w",,2717
"42971 Control of nasopharyngeal hemorrhage, primary or secondary; complicated req hospitalization",,3038
"42972 Control of nasopharyngeal hemorrhage, primary or secondary; w/secondary surgical intervention",,3385
"43020 Esophagotomy, cervical approach, with removal of foreign body",,3451
43030 Cricopharyngeal myotomy,,3387
"43045 Esophagotomy, thoracic approach, with removal of foreign body",,8114
"43100 Excision of lesion, esophagus, with primary repair; cervical approach",,3621
"43101 Excision of lesion, esophagus, with primary repair; thoracic or abdominal approach",,5592
"43107 Total or near total esophagectomy, without thoracotomy; with pharyngogastrostomy or cervical e",,14051
"43108 Total or near total esophagectomy, without thoracotomy; w/colon interposition or small intesti",,25619
"43112 Total or near total esophagectomy, with thoracotomy; w/pharyngogastrostomy or cervical esophag",,14818
"43113 Total or near total esophagectomy, with thoracotomy; w/colon interposition or small intestine",,25087
"43116 Partial esophagectomy, cervical, with free intestinal graft, incl microvascular anastomosis, o",,29668
"43117 Partial esophagectomy, distal two-thirds, with thoracotomy and separate abdominal incision, w/",,13596
"43118 Partial esophagectomy, distal two-thirds, with thoracotomy and separate abdominal incision, w/",,19803
"43121 Partial esophagectomy,distal two-thirds w/thoracotomy only, w/wo proximal gastrectomy, w/throa",,15778
"43122 Partial esophagectomy, thoracoabdominal or abdominal approach, w/wo proximal gastrectomy; with",,14147
"43123 Partial esophagectomy, thoracoabdominal or abdominal approach, w/wo proximal gastrectomy; w/co",,25997
"43124 Total or partial esophagectomy, without reconstruction (any approach) with cervical esophagost",,21006
43130 Diverticulectomy of hypopharynx or esophagus w/wo myotomy; cervical approach,,4506
43135 Diverticulectomy of hypopharynx or esophagus w/wo myotomy; thoracic approach,,8263
"43180 Esophagoscopy,rigid,transoral with diverticulectomy of hypopharynx or cervical esophagus with",,3185
"43191 Esophagoscopy rigid, transoral; diagnostic incl collection of specimen(s) by brushing/washing",,835
"43192 Esophagoscopy rigid, transoral; w/directed submucosal injection(s), any substance",,993
"43193 Esophagoscopy rigid, transoral; with biopsy, single/multiple",,1180
"43194 Esophagoscopy rigid, transoral; with removal of foreign body",,1057
"43195 Esophagoscopy rigid, transoral; with balloon dilation (less than 30 mm diameter)",,1183
"43196 Esophagoscopy rigid, transoral; w/insertion of guide wire followed by dilation over guide wire",,1289
"43197 Esophagoscopy flexible, transnasal; diagnostic incl collection of specimen(s) by brushing/wash",,521
"43198 Esophagoscopy flexible, transnasal; with biopsy, single/multiple",,622
"43200 Esophagoscopy flexible, transoral; diagnostic inc collection of specimen(s) by brushing/washin",,1068
"43201 Esophagoscopy flexible,transoral; w/directed submucosal injection",,821
"43202 Esophagoscopy flexible, transoral; w/biopsy, single/multiple",,745
"43204 Esophagoscopy flexible, transoral; w/inj sclerosis of esophageal varices",,1432
"43205 Esophagoscopy flexible, transoral; w/band ligation of esophageal varices",,1427
"43206 Esophagoscopy flexible,transoral; w/optical endomicroscopy",,745
"43210 Esophagogastroduodenoscopy with esophagogastric fundoplasty partial or complete, includes duod",,2281
"43211 Esophagoscopy flexible, transoral; with endoscopic mucosal resection",,1594
43212 Esophagoscopy flexible transoral; w/placement of endoscopic stent (incl pre & post-dilation &,,1244
"43213 Esophagoscopy flexible, transoral; w/dilation of esophagus by balloon/dilator, retrograde (inc",,1766
"43214 Esophagoscopy flexible, transoral; w/dilation of esophagus w/balloon (30 mm diameter/larger) (",,1279
"43215 Esophagoscopy flexible,transoral; w/removal of foreign body",,982
"43216 Esophagoscopy flexible,transoral; w/removal of tumor(s)/polyp(s) or lesion(s) by hot biopsy fo",,957
"43217 Esophagoscopy flexible,transoral; w/removal of tumor(s), polyp(s) by snare technique",,1096
"43220 Esophagoscopy flexible,transoral; w/transendoscopic balloon dilation (less than 30 mm diameter",,814
43226 Esophagoscopy flexible transoral; w/insertion of guide wire followed by dilation,,900
"43227 Esophagoscopy, rigid/flexible; with control of bleeding",,1353
"43229 Esophagoscopy,flexible,transoral;w/ablation of tumor(s),polyp(s),or other lesion(s)",,1350
"43231 Esophagoscopy flexible,transoral; w/endoscopic ultrasound examination",,1212
"43232 Esophagoscopy flexible,transoral; w/transendoscopic ultrasound guided intramural FNA",,1649
"43233 Esophagastroduodenoscopy flexible, transoral; w/dilation of esophagus w/balloon (30 mm diamete",,1319
"43235 Uppr GI Endoscopy, diagnostic w/wo collection of specimen",,931
43236 Upper GI endoscopy w/ submucosal injection(s) any substance,,1122
43237 Upper GI endoscopy w/ endoscopic US of esophagus,,1486
"43238 Esophagoscopy, rigid/flexible; w/transendoscopic ultrasound guided intramural/transmural FNA",,1844
"43239 Upper GI Endoscopy with biopsy, single/multiple",,1099
43240 Upper GI endoscopy w/transmural drainage of pseudocyst,,2508
43241 Upper GI endoscopy w/ transendoscopic intraluminal tube or cath placement,,999
43242 Upper GI endoscopy w/ transendoscopic US guided intramural/transmural aspiration/Bx.,,2679
43243 Upper GI endoscopy w/ Inj. Sclerosis of esophageal and/or gastric varices,,1697
43244 Upper GI Endoscopy with band ligation of esophageal and/or gastric varices,,1872
43245 Upper GI endoscopy w/ dilation of gastric outlet for obstruction,,1196
43246 Upper GI endoscopy; w/gastrostomy tube placement,,2597
43247 Upper GI Endoscopy w/removal of foreign body,,2032
43248 Uppr GI Endoscopy with insertion of guide wire,,1201
43249 Esophagoscopy; w/balloon dilation,,1858
"43250 Upper GI endoscopy w/removal of tumor(s), polyp(s)/oth lesion(s) via hot Bx/bipolar cautery",,1201
"43251 Esophagoscopy, rigid/flexible; w/removal of tumor(s)/polyp(s)/other lesion(s) by snare techniq",,1389
43252 Upper GI endoscopy w/ optical endomicroscopy,,1201
"43253 Esophagogastroduodenoscopy flexible, transoral; w/transendoscopic US-guided transmural inj of",,1759
"43254 Esophagogastroduodenoscopy flexible, transoral; with endoscopic mucosal resection",,1826
"43255 Esophagoscopy, rigid/flexible; w/control of bleeding, any method",,1791
"43257 Esophagoscopy, rigid/flexible; w/delivery thermal energy to the muscle of lower esophageal sph",,2058
"43259 Esophagoscopy, rigid/flexible; with endoscopic US examination incl esophagus/stomach/duodenum/",,1926
43260 Endoscopic retrograde cholangiopancreatography (ERCP) diagnostic,,3693
43261 Endoscopic retrograde cholangiopancreatography (ERCP); w/single/multiple Bx.,,2303
43262 ERCP with sphincterotomy/papillotomy,,2703
43263 Endoscopic retrograde cholangiopancreatography (ERCP); w/pressure measurement of sphincter of,,2674
"43264 Esophagoscopy, rigid/flexible; w/endoscopic retrograde removal calculus/caculi from biliary &/",,3237
"43265 Endoscopic retrograde cholangiopancreatography (ERCP); w/ Endoscopic retrograde destruction, o",,3631
"43266 Esophagogastroduodenoscopy flexible, transoral; w/placement of endoscopic stent (incl pre and",,1509
43267 ERCP; with endoscopic retrograde removal of FB and/or change of tube/stent,,2679
"43269 Esophagoscopy, rigid/flexible; w/endoscopic retrograde removal foreign body &/change tube/sten",,2991
"43270 Esophagogastroduodenoscopy flexible, transoral; w/ablation of tumor(s),polyp(s),or other lesio",,1590
43273 Endoscopic cannulation of papilla with direct visualization of common bile duct(s) and/or panc,,794
"43274 ERCP; w/placement of endoscopic stent into biliary/pancreatic duct, incl per- and post-dilatio",,3124
43275 ERCP; w/removal of foreign body(s)/stent(s) from biliary/pancreatic duct(s),,2578
"43276 ERCP; w/removal and exchange of stent(s), biliary/pancreatic duct, incl per- and post-dilation",,3249
43277 ERCP; with trans-endoscopic balloon dilation of biliary/pancreatic duct(s) or of ampulla (sphi,,2593
"43278 ERCP; with ablation of tumor(s), polyps(s), or other lesion(s), incl pre- and post-dilation &",,2947
"43279 Laparoscopy, surgical,esophagomyotomy with fundoplasty, when performed",,7950
"43280 Laparoscopy, surgical, esophagogastric fundoplasty",,6692
43281 Laparoscopy paraesophageal hernia repair,,10035
"43282 Laparoscopy, surgical, repair of paraesophageal hernia, incl fundoplasty, when performed; w/im",,10652
"43283 Laparoscopy, surgical, esophageal lengthening procedure in addition to code for primary proced",,952
"43284 Laparoscopy surgical esophageal sphincter augmentation procedure, placement of sphincter augme",,3083
43285 Removal of esophageal sphincter augmentation device,,3111
43286 Esophagectomy total/near total w/laparoscopic mobilization of abdominal & mediastinal esophagu,,13436
43287 Esophagectomy distal two-thirds w/laparoscopic mobilization of abdominal & lower mediastinal e,,15300
"43288 Esophagectomy total/near total w/thoracoscopic mobilization of upper, middle, & lower mediasti",,15996
43327 Esophagogastric fundoplasty partial or complete;laparotomy,,5070
"43332 Rpr,paraesophageal hiatal hernia,via laparotomy;w/o implantation of mesh/prosthesis",,7180
"43333 Rpr,paraesophageal hiatal hernia,via laparotomy;w/implantation of mesh/prosthesis",,7801
"43400 Ligation, direct, esophageal varices",,9922
"43401 Transection of esophagus with repair, for esophageal varices",,9671
43405 Ligation/stapling at gastroesophageal junction for pre-existing esophageal perforation,,9000
43410 Suture esophageal wound/injury; cervical approach,,6910
43415 Suture esophageal wound/injury; transthoracic/transabd approach,,15871
43420 Closure of esophagostomy or fistula; cervical approach,,6571
43425 Closure of esophagostomy or fistula; transthoracic/transabdominal approach,,8881
"43450 Dilation of esophagus, by unguided sound or bougie",,578
"43453 Dilation of esophagus, over guidewire",,622
43500 Gastrotomy;w/ exploration or foreign body removal,,4895
43501 Gastrotomy; with suture repair of bleeding ulcer,,8315
"43502 Gastrotomy; with suture repair of pre-existing esophagastric laceration (eg, Mallory-Weiss)",,9390
"43510 Gastrotomy; w/esophageal dilation & insertion of permanent intraluminal tube (eg, Celestin/Mou",,5773
"43520 Pyloromyotomy, cutting of pyloric muscle (Fredet-Ramstedt type operation)",,4267
"43605 Biopsy of stomach, by laparotomy",,5194
"43610 Excision, local;ulcer or benign tumor of stomach",,6067
"43611 Excision, local; malignant tumor of stomach",,7552
"43620 Gastrectomy, total;w/ esophagoenterostomy",,12001
"43621 Gastrectomy, total; with Roux-en-Y reconstruction",,13842
"43622 Gastrectomy, total;w/ formation of intestinal pouch, any type",,14035
"43631 Gastrectomy, partial,distal;w/ gastroduodenostomy",,8945
"43632 Gastrectomy, partial,distal;w/ gastrojejunostomy",,12438
"43633 Gastrectomy, partial, distal; with Roux-en-Y reconstruction",,11782
"43634 Gastrectomy, partial, distal; with formation of intestinal pouch",,13017
43635 Vagotomy when performed with partial distal gastrectomy (List separately in addition to code(s,,802
"43640 Vagotomy incl pyloroplasty, w/wo gastrostomy; truncal or selective",,7303
43644 Laparoscopic Roux-en-Y gastric bypass,,10669
43645 Laparoscopy gastric restrictive procedure; w/gastric bypass & small intestine reconstruction,,11359
43653 Laparoscopy gastrostomy w/o gastric tube constr,,2088
