Hospital,Description,Std Price
UPMC McKeesport,EBV EARLY ANTIGEN (EA),117.00
UPMC McKeesport,EBV IGG VCA,151.00
UPMC McKeesport,EBV IGM VCA,151.00
UPMC McKeesport,EBV NUCLEAR AG (EBNA) PL1380,151.00
UPMC McKeesport,EBV NUCLEAR ANTIGEN,151.00
UPMC McKeesport,EBV NUCLEAR ANTIGEN (EBNA),151.00
UPMC McKeesport,EBV VIRAL CAPSID AG IGG,151.00
UPMC McKeesport,EBV VIRAL CAPSID AG IGM,151.00
UPMC McKeesport,ECHO OPHTHALMIC CONTACT B SC,610.00
UPMC McKeesport,ECHO PROSTATE VOL/BRAC TRT PL,827.00
UPMC McKeesport,ECMO/ECLS INIT VENO-ARTERIAL,1346.00
UPMC McKeesport,ECMO/ECLS PRPH CAN PERC AGE 6+,1700.00
UPMC McKeesport,ECONAZOLE 1% CR 15GM TOP,22.75
UPMC McKeesport,ECTOPARASITE EXAM,54.50
UPMC McKeesport,ECULIZUMAB 10MG INJ,3301.00
UPMC McKeesport,EDURANT 25MG TAB,82.50
UPMC McKeesport,EEG AMBULATORY MONITORING,2137.00
UPMC McKeesport,EEG AWAKE & ASLEEP,1235.00
UPMC McKeesport,EEG AWAKE & DROWSY,1235.00
UPMC McKeesport,EEG BRAIN DEATH,774.00
UPMC McKeesport,EEG PERFORMED DURING EXTRACRAN,779.00
UPMC McKeesport,EGD BALLOON DIL ESOPH30 MM/>,959.00
UPMC McKeesport,EGD W/ABLATION,4368.00
UPMC McKeesport,EGD W/BALLOON DILATION,3564.00
UPMC McKeesport,EGD W/BAND LIGATION,2859.00
UPMC McKeesport,EGD W/BIOPSY SINGLE/MULT,3564.00
UPMC McKeesport,EGD W/CONTROL OF BLEED,3564.00
UPMC McKeesport,EGD W/DILATION GASTRIC OUTLET,3517.00
UPMC McKeesport,EGD W/DILATION OVER WIRE,3809.00
UPMC McKeesport,EGD W/ESOPHAGEAL STENT PLCEMNT,4680.00
UPMC McKeesport,EGD W/FOREIGN BODY REMOVAL,3284.00
UPMC McKeesport,EGD W/HOT BIOPSY,7330.00
UPMC McKeesport,EGD W/REMOVAL BY SNARE,3564.00
UPMC McKeesport,EGD W/SUBMUCOSAL INJ ANY SUB,3972.00
UPMC McKeesport,EGD W/TUBE OR CATH PLACEMENT,3628.00
UPMC McKeesport,EGD W/WO BRUSHINGS,2657.00
UPMC McKeesport,EGFR GENE COM VARIANTS (NGS),167.00
UPMC McKeesport,EGFR MUTATION AN V2 ASSAY,8068.00
UPMC McKeesport,EGG WHITE ALLERGEN,73.75
UPMC McKeesport,EGG WHITE ALLERGEN PNL 5416,73.75
UPMC McKeesport,EGG YOLK ALLERGEN PNL 5416,73.75
UPMC McKeesport,EGIA 30 ARTIC VASC MED USSURG,668.00
UPMC McKeesport,EHLERS-DANLOS SYN TYPE VI SCR,287.00
UPMC McKeesport,EKG RHYTHM TRACING WO INT&RPT,110.00
UPMC McKeesport,EKG SIGNAL AVERAGING,383.00
UPMC McKeesport,EKG TRACING ONLY WO INT/RPT,563.00
UPMC McKeesport,EKG TRACING WO INTERP & RPT,563.00
UPMC McKeesport,ELBOW 2 VIEWS,497.00
UPMC McKeesport,ELBOW DISLOC CLOSED TRTMT,2985.00
UPMC McKeesport,ELBOW MIN 3 VIEWS,497.00
UPMC McKeesport,ELEC ANALY PROG IMP PUMP W/REP,2507.00
UPMC McKeesport,ELEC STIMULATION MANUAL P/15M,331.00
UPMC McKeesport,ELEC STIMULATION UNATTENDED,156.00
UPMC McKeesport,ELECTRODE BAND RESEC OLYMPA,1691.00
UPMC McKeesport,ELECTRODE ELCTROSRGCL SNOWDPE,1956.00
UPMC McKeesport,ELECTRODE ELECSURG LIGSR COV,2348.00
UPMC McKeesport,ELECTRODE ELECTROSURG WAND ART,588.00
UPMC McKeesport,ELECTRODE EPILEPSY GOLD ADTEC,4554.00
UPMC McKeesport,ELECTRODE EPILEPSY PLAT ADTEC,1787.00
UPMC McKeesport,ELECTRODE FRCP GYRMED,1373.00
UPMC McKeesport,ELECTRODE HOOK MITSURPROD,783.00
UPMC McKeesport,ELECTRODE LIGASURE US SURG VAR,709.00
UPMC McKeesport,ELECTRODE LP RESECT 12DEG OLYM,1505.00
UPMC McKeesport,ELECTRODE PROBE LOW PROF DEPUY,737.00
UPMC McKeesport,ELECTRODE ROLLER BALL CIRCON,530.00
UPMC McKeesport,ELECTRODE TITANIUM,331.00
UPMC McKeesport,ELECTRODE V LIGASURE MAX COV,842.00
UPMC McKeesport,ELECTRODES TELETRACE MEDTR,529.00
UPMC McKeesport,ELECTROLYTE PANEL,141.00
UPMC McKeesport,ELECTROLYTE POWDER 4000ML SOLN,74.50
UPMC McKeesport,ELECTRON MICRO SECTION & PHOTO,940.00
UPMC McKeesport,ELECTRON MICROSCOPY PROCESSING,940.00
UPMC McKeesport,ELECTRON MICROSCOPY THICKS,940.00
UPMC McKeesport,ELECTROPHORESIS PROTEIN SERUM,100.00
UPMC McKeesport,ELECTROPHORESIS PROTEIN URINE,164.00
UPMC McKeesport,ELEVATOR 30DEG ARTHREX,1355.00
UPMC McKeesport,ELEVIEW SUBMUCOSAL 10ML OLYMP,258.00
UPMC McKeesport,ELM (WHITE) PNL 5340,73.75
UPMC McKeesport,ELMIRON 100MG CAP,19.00
UPMC McKeesport,ELOTUZUMAB 1MG INJ,21.25
UPMC McKeesport,ELOTUZUMAB 1MG SDV,21.50
UPMC McKeesport,ELTROMBOPAG 25MG,413.00
UPMC McKeesport,ELTROMBOPAG 50MG TAB,723.00
UPMC McKeesport,ELUTION GAMMA RAPID,100.00
UPMC McKeesport,EM LEVEL 4 SURG PATH EXAM,401.00
UPMC McKeesport,EMBOSHIELD,19087.00
UPMC McKeesport,EMBOSPHERE,1197.00
UPMC McKeesport,EMG CRANIAL NERVE (BILATERAL),712.00
UPMC McKeesport,EMLA CREAM W/O TEGADERM 5GM,29.25
UPMC McKeesport,EMLA W/2 TEGADERM CR 5GM CRM,25.50
UPMC McKeesport,EMPAGLIFLOZIN 10MG TAB,40.25
UPMC McKeesport,EMPAGLIFLOZIN 25MG TAB,40.25
UPMC McKeesport,EMTRIC 200MG-TENO ALAF 25MG,167.00
UPMC McKeesport,EMTRICITAB 120MG/12ML ORAL SLN,27.50
UPMC McKeesport,EMTRICITAB 60 MG/6ML ORAL SLN,13.75
UPMC McKeesport,EMTRICITAB 80MG/8ML ORAL SLN,18.25
UPMC McKeesport,ENALAPRIL MAL 1.25MG/ML 2M INJ,66.00
UPMC McKeesport,ENALAPRIL MALEATE 10MG TAB,12.00
UPMC McKeesport,ENALAPRIL MALEATE 2.5MG TAB,9.50
UPMC McKeesport,ENALAPRIL MALEATE 20MG TAB,1.00
UPMC McKeesport,ENALAPRIL MALEATE 5MG TAB,1.50
UPMC McKeesport,ENALAPRILAT 1.25MG INJ,34.00
UPMC McKeesport,ENCEPHALITIS CALIFORNIA P0786,151.00
UPMC McKeesport,ENCEPHALITIS EAST EQUINE P0786,151.00
UPMC McKeesport,ENCEPHALITIS ST LOUIS P0786,151.00
UPMC McKeesport,ENCEPHALITIS WEST EQUINE P0786,151.00
UPMC McKeesport,END TIDAL CO2 (INFRARED),134.00
UPMC McKeesport,ENDCAP FEM STRDRV SYNTH VAR,526.00
UPMC McKeesport,ENDEP 100MG TAB,4.50
UPMC McKeesport,ENDO BILE PANCREAT DUCT,872.00
UPMC McKeesport,ENDO BILIARY DUCT,996.00
UPMC McKeesport,ENDO RETRACT II 10MM,584.00
UPMC McKeesport,ENDOCATH II SPEC POUCH 15MM,637.00
UPMC McKeesport,ENDOCLIP 5MM #176620,664.00
UPMC McKeesport,ENDOMYSIAL AB TITER,70.00
UPMC McKeesport,ENDOMYSIAL ANTIBODY (IGA),70.00
UPMC McKeesport,ENDOMYSIUM AB SCR (IGA) W/RFX,109.00
UPMC McKeesport,ENDOSCOPY CAPSULE,1755.00
UPMC McKeesport,ENDOSCOPY PROC,6673.00
UPMC McKeesport,ENDOSCP DISP CAPSULE DLVRY DVC,938.00
UPMC McKeesport,ENDOSTAT FIBR 0.4MM X 12FT LAS,850.00
UPMC McKeesport,ENDOTRACH INTUBATION EMERGENT,2582.00
UPMC McKeesport,ENDOVASCULAR,14201.00
UPMC McKeesport,ENDOVS ABLAT CATH/NON CORONARY,9733.00
UPMC McKeesport,ENEMA BARIUM,952.00
UPMC McKeesport,ENEMA BARIUM W AIR & BA CON,1576.00
UPMC McKeesport,ENEMA CONT OR AIR THERAPEUTIC,1256.00
UPMC McKeesport,ENGLISH PLANTAIN ALLERGEN 5340,73.75
UPMC McKeesport,ENGLISH PLANTN ALLERGEN P2515,73.75
UPMC McKeesport,ENOXAPARIN 100MG INJ,742.00
UPMC McKeesport,ENOXAPARIN 120MG/.8ML SYRINGE,891.00
UPMC McKeesport,ENOXAPARIN 150 MG/1 ML SYRINGE,1113.00
UPMC McKeesport,ENOXAPARIN 30MG/0.3ML SYR INJ,223.00
UPMC McKeesport,ENOXAPARIN 40MG/0.4ML INJ,297.00
UPMC McKeesport,ENOXAPARIN 60MG/0.6ML INJ,445.00
UPMC McKeesport,ENOXAPARIN 80MG/0.8ML INJ,595.00
UPMC McKeesport,ENSEAL RND TIP 5MM SURGRX VARS,1964.00
UPMC McKeesport,ENSEAL ROUND TIP 5MM DIA SURGR,2251.00
UPMC McKeesport,ENSEAL TRIO 3MM CRVD TIP SURGR,2277.00
UPMC McKeesport,ENTACAPONE 200MG TAB,21.50
UPMC McKeesport,ENTEREG 12MG,302.00
UPMC McKeesport,ENTEROSCOPY CONVRT G TO J TUBE,3829.00
UPMC McKeesport,ENTEROSCOPY DIAG W/WO BRUSHING,3517.00
UPMC McKeesport,ENTEROSCOPY W/ABLATION,3831.00
UPMC McKeesport,ENTEROSCOPY W/BX SINGLE/MULT,2775.00
UPMC McKeesport,ENTEROSCOPY W/CONTROL OF BLEED,3720.00
UPMC McKeesport,ENTEROSCOPY W/PERC JESTMY TUBE,4094.00
UPMC McKeesport,ENTEROSCOPY W/TRANS STENT PL,12739.00
UPMC McKeesport,ENTEROVIRUS CULTURE,264.00
UPMC McKeesport,ENTEROVIRUS P0786,109.00
UPMC McKeesport,ENTEROVIRUS RNA QL RT-PCR,766.00
UPMC McKeesport,ENVELOPE ANTBACT TYREX MED VAR,3017.00
UPMC McKeesport,EOSINOPHIL COUNT NASAL,61.50
UPMC McKeesport,EOSINOPHIL URINE,65.25
UPMC McKeesport,EOVIST MR CONTRAST PER ML,73.25
UPMC McKeesport,EPHEDRINE 10MG/ML 5ML PFS INJ,174.00
UPMC McKeesport,EPHEDRINE 5MG/ML 10ML SYR INJ,24.00
UPMC McKeesport,EPIFIX 18MM,2309.00
UPMC McKeesport,EPIFIX MESH 3.5X3.5 SQ CM,4267.00
UPMC McKeesport,EPINASTINE .05% EYE DROPS 5ML,254.00
UPMC McKeesport,EPINEPHRINE 0.1MG INJ,1.50
UPMC McKeesport,EPINEPHRINE 10ML SYRINGE INJ,83.75
UPMC McKeesport,EPINEPHRINE 16MG INJ,107.00
UPMC McKeesport,EPINEPHRINE 1MG/1ML AMP INJ,13.75
UPMC McKeesport,EPINEPHRINE 1MG/ML         INJ,10.00
UPMC McKeesport,EPINEPHRINE PLASMA,147.00
UPMC McKeesport,EPIPHYSIS HUMERAL CEM DEPY VAR,10864.00
UPMC McKeesport,EPLERENONE 25MG TABLET,20.50
UPMC McKeesport,EPOETIN ALFA 1000U NON-ESRD,106.00
UPMC McKeesport,EPOPROSTENOL 1.5MG 17ML    INJ,766.00
UPMC McKeesport,EPSTEIN-BARR BY PCR,1091.00
UPMC McKeesport,EPTIFIBATIDE 20MG INJ,664.00
UPMC McKeesport,EPTIFIBATIDE 75MG INJ,1099.00
UPMC McKeesport,ERAVACYCLINE 50MG SDV INJ,142.00
UPMC McKeesport,ERCP BILIARY STENT PLACEMENT,3564.00
UPMC McKeesport,ERCP DIAG W/WO BRUSHING,3564.00
UPMC McKeesport,ERCP W/BALLOON DILATION,3924.00
UPMC McKeesport,ERCP W/BX SINGLE/MULT,3804.00
UPMC McKeesport,ERCP W/ENDO LITHOTRIPSY,3924.00
UPMC McKeesport,ERCP W/FOREIGN BODY REMOVAL,7849.00
UPMC McKeesport,ERCP W/PAPILLOTOMY,3564.00
UPMC McKeesport,ERCP W/STENT PLACEMENT,3564.00
UPMC McKeesport,ERCP W/STONE EXTRACTION,3634.00
UPMC McKeesport,ERCP W/STONE RETRIEVAL,3564.00
UPMC McKeesport,ERGOCALCIFEROL 50000 UNITS CAP,4.50
UPMC McKeesport,ERIBULIN 1MG/2ML SDV,3864.00
UPMC McKeesport,ERIBULIN MESYLATE .1MG INJ,408.00
UPMC McKeesport,ERLOTINIB 150MG TAB,429.00
UPMC McKeesport,ERTAPENEM 500 MG INJ,250.00
UPMC McKeesport,ERTAPENEM SODIUM 1 GRAM VIAL,500.00
UPMC McKeesport,ERTHROMYCIN 2% GEL 30GM    UNG,59.25
UPMC McKeesport,ERYTHROCYTE PROTOPORPHYRIN,170.00
UPMC McKeesport,ERYTHROM OPHTHAL OINT 1GM,1.50
UPMC McKeesport,ERYTHROMYCIN 250MG TAB,15.25
UPMC McKeesport,ERYTHROMYCIN 500MG INJ,40.50
UPMC McKeesport,ERYTHROPOEITIN 10000U/ML 1ML I,1060.00
UPMC McKeesport,ERYTHROPOEITIN 1000U/ML 1ML I,106.00
UPMC McKeesport,ERYTHROPOEITIN 20000 U/ML 1ML,2121.00
UPMC McKeesport,ERYTHROPOEITIN 2000U/ML 1M INJ,213.00
UPMC McKeesport,ERYTHROPOEITIN 3000U/ML 1ML IN,318.00
UPMC McKeesport,ERYTHROPOEITIN 4000U/ML 1ML IN,424.00
UPMC McKeesport,ERYTHROPOETIN 1000U PCI,94.25
UPMC McKeesport,ERYTHROPOIETIN,331.00
UPMC McKeesport,ESCITALOPRAM 10MG TAB,27.75
UPMC McKeesport,ESCITALOPRAM 20MG TAB,28.25
UPMC McKeesport,ESCITALOPRAM 5MG TABLET,12.00
UPMC McKeesport,ESMOLOL 2500MG/NS 250ML PREMIX,750.00
UPMC McKeesport,ESOPH DIAG W/WO BRUSHING,2779.00
UPMC McKeesport,ESOPH W BX SINGLE MULT,3081.00
UPMC McKeesport,ESOPH W/DIL OVER WIRE,5036.00
UPMC McKeesport,ESOPH W/INSERT TUBE/STENT,2980.00
UPMC McKeesport,ESOPHAGEAL MOTILITY,907.00
UPMC McKeesport,ESOPHAGEAL MOTILITY W MANOMETR,1741.00
UPMC McKeesport,ESOPHAGEAL REFLUX W PH PROBE,1202.00
UPMC McKeesport,ESOPHAGOSCOPY W FB REM,2844.00
UPMC McKeesport,ESOPHAGUS,952.00
UPMC McKeesport,ESTRADIOL (E2),382.00
UPMC McKeesport,ESTRADIOL 0.1% 42.5GM CRM VAG,103.00
UPMC McKeesport,ESTRADIOL 1MG TAB,7.25
UPMC McKeesport,ESTRADIOL EXTRACTION,382.00
UPMC McKeesport,ESTRADIOL/FREE/SERUM,382.00
UPMC McKeesport,ESTRIOL FREE - BLOOD E3,236.00
UPMC McKeesport,ESTRIOL P0493,236.00
UPMC McKeesport,ESTRIOL PNL 1761,236.00
UPMC McKeesport,ESTROGEN,222.00
UPMC McKeesport,ESTROGENS FRACTIONATED SERUM,379.00
UPMC McKeesport,ESTRONE SULFATE,210.00
UPMC McKeesport,ETHACRYNIC ACID 25MG TAB,44.25
UPMC McKeesport,ETHAMBUTOL 400MG TAB,6.00
UPMC McKeesport,ETHANOL,361.00
UPMC McKeesport,ETHANOL OPTICAL,361.00
UPMC McKeesport,ETHOSUXIMIDE (ZARONTIN) QUANT,147.00
UPMC McKeesport,ETHYL ALCOHOL ABSOLUT 5ML INJ,128.00
UPMC McKeesport,ETHYLENE GLYCOL,186.00
UPMC McKeesport,ETHYLENE GLYCOL SERUM P5428,186.00
UPMC McKeesport,ETODOLAC 200 MG CAP CAP,15.75
UPMC McKeesport,ETODOLAC 300 MG CAP,4.50
UPMC McKeesport,ETODOLAC 500MG TABLET,1.00
UPMC McKeesport,ETOLDOLAC 400MG TABLET,1.00
UPMC McKeesport,ETOMIDATE 20MG/10ML INJ,76.50
UPMC McKeesport,ETOMIDATE 40MG/20ML INJ,182.00
UPMC McKeesport,ETOPOSIDE 100MG/5ML INJ,710.00
UPMC McKeesport,ETOPOSIDE 10MG INJ,71.00
UPMC McKeesport,ETOPOSIDE 10MG/0.5ML PCI INJ,71.00
UPMC McKeesport,EUCERIN CREAM 60GM TOP,11.50
UPMC McKeesport,EUGLOBULIN LYSIS,106.00
UPMC McKeesport,EVAL FOR VOICE PROSTHETIC,584.00
UPMC McKeesport,EVAL SP SND PROD W/CMP EXP,264.00
UPMC McKeesport,EVAL SPEECH SOUND PROD,264.00
UPMC McKeesport,EVALUATION OF SWALLOWING,513.00
UPMC McKeesport,EVENT MONITOR RECORD,594.00
UPMC McKeesport,EVEROLIMUS LC-MSMS,181.00
UPMC McKeesport,EXC BEN LES 0.6 - 1.0CM,3155.00
UPMC McKeesport,EXC EXT THROMBOTIC HEMORRHOID,3155.00
UPMC McKeesport,EXC LES MENISCUS/CAPSULE KNEE,6324.00
UPMC McKeesport,EXCELSIOR RUSH BOSTON,3529.00
UPMC McKeesport,EXCHANGE NEPHROSTOMY CATH,3749.00
UPMC McKeesport,EXCHG PREV DRN CATH W/RAD GUID,5329.00
UPMC McKeesport,EXCISION LES B T A L 1.1-2.0CM,2852.00
UPMC McKeesport,EXCISION LESB S N H <= 0.5 CM,2993.00
UPMC McKeesport,EXCISION NAIL COMP/PART,1692.00
UPMC McKeesport,EXEMESTANE 25MG TAB,99.50
UPMC McKeesport,EXPANDER TISS CRESC SPECSURPO,3905.00
UPMC McKeesport,EXPLOR PENETR WOUND EXTREM,4900.00
UPMC McKeesport,EXPORT ASPIRATION CATHETER,3911.00
UPMC McKeesport,EXT FIX KIT W/SCNZ SC SYN VARS,11774.00
UPMC McKeesport,EXT REC BASE NON-TELEMETRY,766.00
UPMC McKeesport,EXT REC BASE TELEMETRY,766.00
UPMC McKeesport,EXT REC HRLY NON-TELEMETRY,105.00
UPMC McKeesport,EXT REC HRLY TELEMETRY,105.00
UPMC McKeesport,EXTENDED PLASMA EXCHANGE,6697.00
UPMC McKeesport,EXTENDER TIP BIOMET,1469.00
UPMC McKeesport,EXTENS DEBRID ECZE SKIN,485.00
UPMC McKeesport,EXTENSION LEADWIRE SPNL STJM,4554.00
UPMC McKeesport,EXTENSION PIECE 220MM STRYKER,23690.00
UPMC McKeesport,EXTENSION PIECE ZENITH COOK,10158.00
UPMC McKeesport,EXTENSION STEM FEM SMIN VARS,3034.00
UPMC McKeesport,EXTENSION STEM FEMORAL SMINE,3034.00
UPMC McKeesport,EXTENSION STEM ZIMMER VARS,4136.00
UPMC McKeesport,EXTRACTABLE NUC ANTIGEN P3597,134.00
UPMC McKeesport,EXTRACTABLE NUC ANTIGEN P4765,134.00
UPMC McKeesport,EXTRACTABLE NUC ANTIGEN P8130,134.00
UPMC McKeesport,EXTRACTABLE NUCL ANTI/AB P0612,134.00
UPMC McKeesport,EXTRACTION NUC ANTIGEN P4718,134.00
UPMC McKeesport,EXTRACTOR BALLOON RETR BOST,914.00
UPMC McKeesport,EXTRACTOR RX BALLOON MICR VARS,916.00
UPMC McKeesport,EXTRACTOR STONE 3 COOKUROLOG,1073.00
UPMC McKeesport,EXTRACTOR STONE 4 COOKUROLOG,560.00
UPMC McKeesport,EXTRACTOR STONE NITINOL COOK,629.00
UPMC McKeesport,EXTRAOCULAR,5560.00
UPMC McKeesport,EXTRCT AG NUCL P3355,134.00
UPMC McKeesport,EXTREMITY MAJOR,3851.00
UPMC McKeesport,EXTREMITY MINOR,3851.00
UPMC McKeesport,EYE FOREIGN BODY,497.00
UPMC McKeesport,EYEBOLT T CONNECT SOFDANGROU,953.00
UPMC McKeesport,EYELID GOLD IMPLANT MEDDEV,853.00
UPMC McKeesport,E-Z PAP INITIAL/EVAL,111.00
UPMC McKeesport,E-Z PAP SUBSEQUENT,111.00
UPMC McKeesport,EZETIMIBE 10MG TABLET,31.50
UPMC McKeesport,F/M ACET SHELL MUL VARSZ,7090.00
UPMC McKeesport,F18-FDG P/ DOSE (<= 45MCI),2206.00
UPMC McKeesport,F5 GENE,1288.00
UPMC McKeesport,FACIAL BONES <3 VIEWS,497.00
UPMC McKeesport,FACIAL BONES COMP MIN 3 VWS,497.00
UPMC McKeesport,FACIAL NERVE BLOCK,1007.00
UPMC McKeesport,FACTOR I COMPLEMENT,109.00
UPMC McKeesport,FACTOR II,510.00
UPMC McKeesport,FACTOR IX ACTIVITY,320.00
UPMC McKeesport,FACTOR V ACTIVITY,518.00
UPMC McKeesport,FACTOR V LEIDEN MUTAT,1401.00
UPMC McKeesport,FACTOR V LEIDEN MUTAT F5 GENE,1401.00
UPMC McKeesport,FACTOR V MUTATION,1401.00
UPMC McKeesport,FACTOR VII ACTIVITY,518.00
UPMC McKeesport,FACTOR VIII ACTIVITY,163.00
UPMC McKeesport,FACTOR VIII C,320.00
UPMC McKeesport,FACTOR X ACTIVITY,277.00
UPMC McKeesport,FACTOR X CHROMOGENIC,277.00
UPMC McKeesport,FACTOR XA,90.75
UPMC McKeesport,FACTOR XI ACTIVITY,320.00
UPMC McKeesport,FACTOR XII (HAGEMAN),288.00
UPMC McKeesport,FACTOR XII ACTIVITY,288.00
UPMC McKeesport,FACTOR XIII IMMUNO,88.25
UPMC McKeesport,FACTOR XIII SCREEN,88.25
UPMC McKeesport,FAMCICLOVIR 500MG TAB,90.75
UPMC McKeesport,FAMOTIDINE 20MG TAB,19.00
UPMC McKeesport,FAMOTIDINE 20MG/2ML INJ,31.00
UPMC McKeesport,FAMOTIDINE 20MG/50ML PREMX INJ,31.00
UPMC McKeesport,FAT FECAL RANDOM C,54.50
UPMC McKeesport,FAT URINE,54.50
UPMC McKeesport,FDP,236.00
UPMC McKeesport,FDP PLASMA,236.00
UPMC McKeesport,FE,298.00
UPMC McKeesport,FEBUXOSTAT 40MG TABLET,22.00
UPMC McKeesport,FECAL FAT QL,54.50
UPMC McKeesport,FECAL FAT QUANTITATIVE,331.00
UPMC McKeesport,FECAL GLOBIN IMMUNOCHEMISTRY,38.25
UPMC McKeesport,FELBAMATE,147.00
UPMC McKeesport,FELODIPINE 10MG TAB,21.50
UPMC McKeesport,FELODIPINE TAB,4.50
UPMC McKeesport,FEM COMP CONSTRAIN SMINE,7329.00
UPMC McKeesport,FEM COMP NON AUGMENTED SMINE,7329.00
UPMC McKeesport,FEMORAL BLOCK SINGLE,1357.00
UPMC McKeesport,FEMORAL CATH SET COOK,158.00
UPMC McKeesport,FEMORAL CMPNT POST SMINEPORTH,12772.00
UPMC McKeesport,FEMORAL COMOPNENT DEPUYORTHO,17366.00
UPMC McKeesport,FEMORAL COMP BIOMET VARSZ,7007.00
UPMC McKeesport,FEMORAL COMP CONDYLAR EXACTECH,29007.00
UPMC McKeesport,FEMORAL COMP CRUC DEPY VARS,15641.00
UPMC McKeesport,FEMORAL COMP POST SMINEPORTH,12772.00
UPMC McKeesport,FEMORAL COMP STRYKER,11896.00
UPMC McKeesport,FEMORAL COMP STRYKER VARSZ,12023.00
UPMC McKeesport,FEMORAL COMP ZIMMER VARS,15146.00
UPMC McKeesport,FEMORAL COMPONENT POST ZIMMR,17808.00
UPMC McKeesport,FEMORAL COMPONENT SZF RT ZIMMR,16154.00
UPMC McKeesport,FEMORAL HEAD STRYKER,8362.00
UPMC McKeesport,FEMORAL HEAD STRYKER VARSZ,2195.00
UPMC McKeesport,FEMORAL LFIT ANTOM HEAD STRY,7638.00
UPMC McKeesport,FEMORAL LPS FLEX POSTERIOR ZMR,15240.00
UPMC McKeesport,FEMORAL LPS ZIMMER VARSZ,22950.00
UPMC McKeesport,FEMORAL NPC/S DEPUY VARSZ,8369.00
UPMC McKeesport,FEMORAL SEGMENT 200MM ZIMR,20112.00
UPMC McKeesport,FEMORAL SEGMENT 30MM ZIMR,6842.00
UPMC McKeesport,FEMORAL SEGMENT ZIMMER,12152.00
UPMC McKeesport,FEMORAL SMINE VARSZ,5054.00
UPMC McKeesport,FEMORAL STEM ZIMMER VARS,12541.00
UPMC McKeesport,FEMOROAL COMP BIOMET,2939.00
UPMC McKeesport,FEMUR 18-HOLE SYNTHES,9459.00
UPMC McKeesport,FEMUR BI-METRIC BIOMET,10647.00
UPMC McKeesport,FEMUR CONQ SMINEPORTH VARSZ,3916.00
UPMC McKeesport,FEMUR CR STRYKORTHO VARSZ,14687.00
UPMC McKeesport,FEMUR GII NON SMINEPORTH VARSZ,5067.00
UPMC McKeesport,FEMUR GII PS VARSZ,5054.00
UPMC McKeesport,FEMUR GNS LOW SMINEPORTH VARSZ,5053.00
UPMC McKeesport,FEMUR HEAD 28MM SMINEPORTH,371.00
UPMC McKeesport,FEMUR HIP FRACT BIOMET,2939.00
UPMC McKeesport,FEMUR LPS DIST DEPUY,27253.00
UPMC McKeesport,FEMUR NONPS SMINEPORTH VARSZ,5053.00
UPMC McKeesport,FEMUR POROUS REVISION BIOMET,29268.00
UPMC McKeesport,FEMUR TAPERAL BIOMET,10522.00
UPMC McKeesport,FEMUR TAPERLOC BIOMET VARSZ,7015.00
UPMC McKeesport,FEMUR VANGUARD BIOMET VARSZ,16079.00
UPMC McKeesport,FENOFIBRATE 145MG TABLET,40.75
UPMC McKeesport,FENOFIBRATE 48MG TABLET,15.25
UPMC McKeesport,FENTANYL 12MCG/HR PATCH TOP,144.00
UPMC McKeesport,FENTANYL 2500MCG/NS 100ML PREM,452.00
UPMC McKeesport,FENTANYL 25MCG/HOUR PATCH PAT,72.00
UPMC McKeesport,FENTANYL 50MCG/ML 30ML PCA INJ,202.00
UPMC McKeesport,FENTANYL CIT 100MCG/2ML INJ,18.00
UPMC McKeesport,FENTANYL CITRATE 250MCG/5MLINJ,54.25
UPMC McKeesport,FENTANYL PATCH 100MCG/HR PAT,525.00
UPMC McKeesport,FENTANYL PATCH 50MCG/HR TOP,182.00
UPMC McKeesport,FENTANYL PATCH 75MCG/HR PAT,198.00
UPMC McKeesport,FENTNYL 2500MCG/NS 100MLPMX,428.00
UPMC McKeesport,FERREX-150 PLUS,7.75
UPMC McKeesport,FERRIC CARBOXY 1MG/ML INJ,62.50
UPMC McKeesport,FERRIC CARBOXY 50MG/ML INJ,3149.00
UPMC McKeesport,FERRIC CARBOXYMALTOSE 1MG INJ,4.50
UPMC McKeesport,FERRIC CITRATE 210MG TAB,16.25
UPMC McKeesport,FERRITIN,121.00
UPMC McKeesport,FERRLECIT 12.5MG INJ,63.25
UPMC McKeesport,FERRLECIT 12.5MG/ML PCI CHG,63.25
UPMC McKeesport,FERRLECIT 62.5MG/5ML AMP INJ,316.00
UPMC McKeesport,FERROUS GLUCONATE 324MG,1.00
UPMC McKeesport,FERROUS SULFATE 325MG EC TAB,1.00
UPMC McKeesport,FESOTERODINE 8MG ER TAB,21.75
UPMC McKeesport,FESOTERODINE FUMAR 4MG ER,18.25
UPMC McKeesport,FETAL HEMOGLOBIN QUALITATIVE,243.00
UPMC McKeesport,FIBER DISP ENDOSTAT 0.6MM LASR,855.00
UPMC McKeesport,FIBER GREEN LIGHT PV LASERSCOP,5173.00
UPMC McKeesport,FIBER LASER 365 LASERPERIP,505.00
UPMC McKeesport,FIBER LASER 550 LASERPERIP,847.00
UPMC McKeesport,FIBER LASER HOL LASERPER,1787.00
UPMC McKeesport,FIBER LASER HOLMIUM GYRUS,3912.00
UPMC McKeesport,FIBER LASER MH DISPOS OLYMPA,444.00
UPMC McKeesport,FIBER LASER OPT 2.5 FIBERS DIR,3518.00
UPMC McKeesport,FIBER LASER OPT 5CM FIBERS DIR,3773.00
