Standard Hospital Charge, Unit Price 
COS PT PAY-RESTYLANE SILK 1.0 CC, $375.00 
COS PT PAY-RESTYLANE W/LIDOCAINE 0.5CC, $205.00 
COS PT PAY-RESTYLANE W/LIDOCAINE 1.0CC, $302.00 
COS PT PAY-SCULPTRA 367.5 MG=10CC VIAL, $500.00 
COS PT PAY-SHAVE SINGLE LESION, $45.00 
COS PT PAY-SUBSCISION SCAR, $44.00 
COS PT PAY-XEOMIN INCOBCTULINUMTOXIN A, $6.00 
"COSMETIC HOSIERY, EACH", $38.00 
CPAP/BIPAP MANAGEMENT, $770.00 
CPAP/BIPAP PTS OWN DEVICE, $385.00 
"CREATE EARDRUM OPENING,LOCAL ANESTHESIA"," $1,195.00 "
CREATE T-E FISTULA+SPEECH PROSTHESIS," $2,705.00 "
CRITICAL CARE 30-74 MINUTES," $3,468.00 "
CRITICAL CARE EA ADDTL 30MI, $508.00 
CRRT INITIATION SUPPLIES - LARGE FILTER," $1,824.00 "
CRRT INITIATION SUPPLIES - SMALL FILTER," $1,309.00 "
CRRT PRIME & INITIATE, $807.00 
CRRT-ADULT EMERGENT INIT-OT," $2,859.00 "
CRRT-ADULT INITIATION," $2,202.00 "
CRRT-DAILY CHECK, $911.00 
CRRT-PRIME ONLY," $1,650.00 "
CRT-D MRI SAFE," $55,415.00 "
CRUTCHES ALUMINUM, $49.00 
CRYO ABLATION NEEDLE," $2,717.00 "
CRYO PRESERVE/STORAGE STEM CELL, $706.00 
CRYO-ABLATION OF A LYMPHATIC MALFORMATION," $2,227.00 "
CRYOABLATION OF ARTERIOVENOUS MALFORMATION," $2,805.00 "
CRYOABLATION OF RETROPERITONEAL MASS/NODULE," $3,753.00 "
CRYOABLATION PERINEURAL CYST," $3,512.00 "
CRYOCAUTERY OF CERVIX, $321.00 
CRYOPRECIPITATE AHG  EACH UNIT, $274.00 
CRYOPRESERVATION  SPERM, $478.00 
"CRYOSURGERY, ANAL LESION(S)", $275.00 
CRYOTHERAPY SUPPLY L, $662.00 
CRYOTHERAPY SUPPLY M," $4,288.00 "
"C-SEC ONLY,PREVIOUS C-SECTION"," $4,112.00 "
CSF LEAKAGE DETECTION & LOCALIZATION," $1,865.00 "
CSF SCAN SPECT," $1,942.00 "
CSF SHUNT EVALUATION," $1,411.00 "
CSTM COVER ABOVE KNEE L5705," $1,811.00 "
CSTM COVER BELOW KNEE L5704, $965.00 
CT ANGIO ABDOMEN & PELVIS CONTRAST MATERIAL W/WO CONTRAST IMAGES," $5,549.00 "
"CT ANGIO AORTOBIFEMORAL, COMBO"," $3,112.00 "
"CT ANGIO AORTOBIFEMORAL, COMBO"," $3,003.00 "
CT ANGIO HEART CORONARY ART/BYPASS GRAFTS CONTRAST 3D POST," $1,506.00 "
"CT ANGIO, ABDOMEN, COMBO,INCLUDES IMAGE POSTPROCESSING"," $2,604.00 "
"CT ANGIO, CHEST (NON-CORON), COMBO, INCL IMG PROC"," $2,847.00 "
"CT ANGIO, PELVIS, COMBO, INCLUDE IMAGE PROC"," $2,864.00 "
"CT ANGIO,HEAD COMBO,INCL IMAGE PROCESS"," $2,869.00 "
"CT ANGIO,LOWER EXTREM,COMBO,IMAGE POSTPROCESSING"," $2,402.00 "
"CT ANGIO,NECK COMBO,INCL IMAGE PROCESS"," $2,696.00 "
"CT ANGIO,UPPER EXTREM,COMBO"," $2,904.00 "
CT GUIDANCE NEEDLE PLACEMENT," $1,421.00 "
CT GUIDANCE TISSUE ABLATION," $1,502.00 "
CT HEART CONTRAST EVAL CARDIAC STRUCTURE/MORPH," $1,128.00 "
CT HEART W/O CONTRAST QUANT EVAL CORONARY CALCIUM, $869.00 
CT NECK TISSUE COMBO," $2,225.00 "
CT NECK TISSUE CONTRAST," $2,182.00 "
CT REFORMATS; NOT ON INDEPENDENT WORK STATION, $357.00 
CT SCAN CERVICAL SPINE COMBO," $2,320.00 "
CT SCAN CERVICAL SPINE CONTRAST," $2,157.00 "
CT SCAN DORSAL SPINE COMBO," $2,537.00 "
CT SCAN DORSAL SPINE CONTRAST," $2,185.00 "
CT SCAN HEAD COMBO," $2,549.00 "
CT SCAN HEAD CONTRAST," $2,183.00 "
CT SCAN LUMBAR SPINE COMBO," $2,613.00 "
CT SCAN LUMBAR SPINE CONTRAST," $2,185.00 "
CT SCAN OF ABDOMEN COMBO," $2,528.00 "
CT SCAN OF ABDOMEN CONTRAST," $2,097.00 "
CT SCAN OF ARM COMBO," $2,303.00 "
CT SCAN OF ARM CONTRAST," $2,033.00 "
CT SCAN OF CHEST COMBO," $2,511.00 "
CT SCAN OF CHEST CONTRAST," $1,991.00 "
CT SCAN OF LEG COMBO," $2,289.00 "
CT SCAN OF LEG CONTRAST," $1,885.00 "
CT SCAN OF PELVIS COMBO," $2,344.00 "
CT SCAN OF PELVIS CONTRAST," $2,020.00 "
CT SCAN SKULL COMBO," $2,228.00 "
CT SCAN SKULL CONTRAST," $2,042.00 "
"CT SCAN, FACE/JAW CONTRAST"," $2,014.00 "
"CT SCAN, LIMITED/LOCALIZED F/U STUDY", $967.00 
"CT SCAN,ABDOMEN AND PELVIS,COMBO"," $4,873.00 "
"CT SCAN,ABDOMEN AND PELVIS,W CONTRAST"," $4,215.00 "
"CT SCAN,ABDOMEN AND PELVIS,W/O CONTRAST"," $3,784.00 "
"CT SCAN,ABDOMEN,W/O CONTRAST"," $1,826.00 "
"CT SCAN,CERVICAL SPINE,W/O CONTRAST"," $1,919.00 "
"CT SCAN,HEAD/BRAIN,W/O CONTRAST MATERIAL"," $1,751.00 "
"CT SCAN,LOWER EXTREMITY,W/O CONTRAST"," $1,745.00 "
"CT SCAN,LUMBAR SPINE,W/O CONTRAST"," $1,919.00 "
"CT SCAN,MAXILLOFACIAL AREA,W/O CONTRAST"," $1,787.00 "
"CT SCAN,ORBIT/SELLA/POST FOSSA/EAR,W/O DYE"," $1,731.00 "
"CT SCAN,PELVIS,W/O CONTRAST"," $1,892.00 "
"CT SCAN,SOFT TISSUE NECK,W/O CONTRAST"," $1,701.00 "
"CT SCAN,THORACIC SPINE,W/O CONTRAST"," $1,961.00 "
"CT SCAN,THORAX,W/O CONTRAST"," $1,753.00 "
"CT SCAN,UPPER EXTREMITY,W/O CONTRAST"," $1,817.00 "
CT SCANS FACE/JAW COMBO," $2,308.00 "
CT-3D REFORMATS; ON INDEPENDENT WORK STATION, $720.00 
CTLSO APL CNTRL PT MOLD L0700," $3,169.00 "
CTS FROZEN HOMOGRAFT TISS PER INCH, $44.00 
CUFF AND COLLAR SLING, $66.00 
CURETTE/TREAT CORNEA, $971.00 
"CURETTE/TREAT CORNEA,APPLY CHELATE"," $2,023.00 "
CUST MOLD FT MLT DENS INS D, $277.00 
CUSTOM BRACHY APPLICATOR," $5,825.00 "
CUSTOM EAR SPLINT, $121.00 
CUSTOM KITS SUPPLY L, $92.00 
CUSTOM KITS SUPPLY M," $1,677.00 "
CUSTOM MOLD FTPLATE FOR PLSTC/CRBN AFO INTGRL PRT OF AFO SIMLR, $293.00 
CUSTOM OPPOSITION POST," $2,237.00 "
CUSTOMIZED FIELD BLOCK DESIGN," $1,792.00 "
CVVH CHECK, $766.00 
CVVH MACHINE RENTAL, $74.00 
CW ECMO DAILY," $7,986.00 "
CYCLER AND CAPD- SET-TRANSFER MINICAP EXTENDED LIFE #2898-5C4482, $91.00 
"CYCLER AND CAPD-STAY SAFE 4"" LUER LOCK ADAPTOR #41922", $39.00 
"CYCLER SET UP OR TAKE DOWN, EACH 15 MINUTES - FOR NON 6B1 INTERNAL MEDICINE INPATIENT", $75.00 
CYSTIC FIBROSIS GENE ANALYSIS," $1,426.00 "
CYSTO W/URETERSOCPY WITH REMOVAL OF CALCULUS," $7,724.00 "
CYSTOSCOPY W/FULGURATION," $2,508.00 "
"CYSTOSCOPY,DILATE URETHRAL STRICTURE"," $3,307.00 "
"CYSTOSCOPY,INSERT URETERAL STENT"," $4,593.00 "
"CYSTOSCOPY,REMOVE CALCULUS,COMPLICATED"," $3,186.00 "
"CYSTOSCOPY,REMOVE CALCULUS,SIMPLE"," $2,896.00 "
CYSTOURETERO W/LITHOTRIPSY," $8,026.00 "
CYSTOURETHROSCOPY," $1,655.00 "
CYSTOURETHROSCOPY INJ CHEMODENERVATION BLADDER," $2,331.00 "
"CYSTOURETHROSCOPY,BIOPSIES"," $3,333.00 "
"CYSTOURETHROSCOPY,FULGURATION"," $3,926.00 "
"CYSTOURETHROSCOPY,URETER CATHETER"," $3,665.00 "
CYSTO-URETOSCOPY AND/OR PYELOSCOPY DIAGNOSTIC," $6,365.00 "
CYTOLOGY BRUSH, $513.00 
DAILY ADULT PRIMARY CARE FOR ECMO PATIENT," $7,659.00 "
DAILY PER DIEM CHARGE IOP (ALL)," $1,112.00 "
DAILY PER DIEM CHARGE IOP INC SCHOOL," $1,348.00 "
DAILY PER DIEM CHARGE PHP- ADOLESCENT," $2,582.00 "
DAILY PER DIEM CHARGE PHP- ADULT," $2,214.00 "
DAILY RENTAL FEE FOR RF ABLATION SYSTEM," $4,755.00 "
DAMAGE RBC SPECT, $384.00 
DARK ADAPTATION EYE EXAM, $361.00 
DBL LAYER DISTAL END PAD(SI, $72.00 
"DEBRIDE MASTOID CAVITY,COMPLEX"," $1,490.00 "
"DEBRIDE MASTOID CAVITY,SIMPLE", $212.00 
DEBRIDE OPEN WND ADD 20SQCM, $316.00 
DEBRIDE OPEN WOUND>=20SQCM, $308.00 
"DEBRIDEMENT NECROTIC SKIN/TISSUE, ABDOMINAL WALL", $733.00 
"DEBRIDEMENT OF NAIL(S), 1-5", $152.00 
"DEBRIDEMENT OF NAILS, 6 OR MORE", $171.00 
"DEBRIDEMENT, INFECTED SKIN, UP TO 10% BSA", $608.00 
"DEBRIDEMENT, SKIN, SUB-Q TISSUE FIRST 20 SQ CM OR LESS", $776.00 
"DEBRIDEMENT, SKIN, SUB-Q TISSUE,EACH ADD 20 SQ CM", $769.00 
"DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE FIRST 20 SQ CM OR LESS", $874.00 
"DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,BONE"," $1,639.00 "
"DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,BONE,EACH ADD 20 SQ CM"," $1,376.00 "
"DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,EACH ADD 20 SQ CM", $948.00 
DECLOT BY THROMBOLYTIC AGENT IMPLANT DEVICE/CATH, $687.00 
DEEP MUSCLE BIOPSY," $3,451.00 "
DEFIBRILLATOR BI-VENTRICULA," $78,138.00 "
DEFIBRILLATOR SINGLE," $72,800.00 "
DEFIBRILLATOR SINGLE CHAMBER H," $32,424.00 "
DEFIBRILLATOR-ACCESSORIES SUPPLY M," $2,730.00 "
DEFIBRILLATORS & LEADS SUPPLY M," $10,763.00 "
"DELAY/SECTION FLAP LID,NOSE,EAR,LIP"," $2,764.00 "
DELIVER PLACENTA," $2,273.00 "
DELIVERY MECHANISM SUPPLY H," $19,500.00 "
DELIVERY MECHANISM SUPPLY L, $581.00 
DELIVERY MECHANISM SUPPLY M," $3,528.00 "
DELIVERY SYSTEM  6F 180/80-," $2,036.00 "
DELIVERY SYSTEM  9F-AGA," $2,036.00 "
DELIVERY SYSTEM  AMPLAT 8F," $1,997.00 "
DELIVERY SYSTEM FX 6F45/60 TORQVUE," $2,697.00 "
DELIVERY SYSTEM FX 8F45/80 TORQVUE," $2,833.00 "
DELIVERY SYSTEM-AMPLATZER," $1,512.00 "
DELIVERY: INDUCED ABORTION BY SUPPOSITIOIES," $3,546.00 "
DELIVERY: INDUCED ABORTION/INTRA-AMNINIOTIC INJ," $3,574.00 "
DEMO/EVAL/EDUCATE PULM THERAPY, $197.00 
DENTAL EXTRACTION, $237.00 
DENTAL MODELS, $201.00 
DERMABOND SKIN GLUE, $163.00 
DERMABRASION SINGLE LESION, $334.00 
DERMABRASION TREATMENT SKIN SEGMENT FACE, $741.00 
DERMA-FAT-FASCIA GRAFT," $2,711.00 "
DERMAL FILLER INJ FOR TX OF LDS," $1,562.00 "
"DESTROY CORNEAL LESION,CRYOTHERAPY,PHOTOCOAG,THERMO", $673.00 
DESTROY CUTANEOUS VACULAR PROLIFERATIVE LESIONS(LASER); <10SQCM, $491.00 
DESTROY CUTANEOUS VACULAR PROLIFERATIVE LESIONS(LASER); >50.0SQCM," $1,778.00 "
DESTROY CUTANEOUS VACULR PROLIFERATIVE LESIONS(LASER);10.0-50.0SQCM, $657.00 
DESTROY PARAVERT FACET JOINT NERVE CERVICAL OR THORACIC EACH ADD," $2,366.00 "
DESTROY PARAVERT FACET JOINT NERVE W/IMAGING GUIDANCE," $4,124.00 "
DESTROY PARAVERT NERVE LUMBAR OR SACRAL SINGLE FACET JOINT," $3,528.00 "
DESTROY PARAVERT NERVE LUMBAR OR SACRAL SINGLE FACET JOINT EACH ADD," $2,858.00 "
"DESTRUCT BY NEUROLYTIC AGENT,OTHER PERIPHERAL NERVE"," $1,487.00 "
"DESTRUCT PREMALIGNANT,EACH,2ND THRU 14 LESIONS", $73.00 
DESTRUCTION BENIGN LESIONS 15 OR MORE, $335.00 
DESTRUCTION BENIGN LESIONS UP TO 14, $182.00 
"DESTRUCTION BY NEUROLYTIC AGENT ,INTERCOSTAL"," $1,450.00 "
"DESTRUCTION BY NEUROLYTIC AGENT, CELIAC PLEXUS NERVE"," $1,538.00 "
DESTRUCTION BY NEUROLYTIC AGENT; PLANTAR DIGITAL NERVE, $267.00 
DESTRUCTION BY NEUROLYTIC AGENT; PUDENDAL," $1,123.00 "
DESTRUCTION CONJUNCTIVA LESION," $1,695.00 "
"DESTRUCTION EYELID LESION, <1 CM", $954.00 
"DESTRUCTION MALIGNANT LESION FACE,NOSE,LIP 0.6-1 CM", $311.00 
"DESTRUCTION MALIGNANT LESION FACE,NOSE,LIP 1.1-2 CM", $311.00 
"DESTRUCTION MALIGNANT LESION SCALP,NECK,HAND <0.6 CM", $239.00 
"DESTRUCTION MALIGNANT LESION SCALP,NECK,HAND 0.6-1 CM", $189.00 
"DESTRUCTION MALIGNANT LESION SCALP,NECK,HAND 1.1-2 CM", $219.00 
"DESTRUCTION MALIGNANT LESION SCALP,NECK,HAND 2.1-3 CM", $311.00 
"DESTRUCTION MALIGNANT LESION TRUNK,EXTREM <0.6 CM", $190.00 
"DESTRUCTION MALIGNANT LESION TRUNK,EXTREM 0.6-1 CM", $280.00 
"DESTRUCTION MALIGNANT LESION TRUNK,EXTREM 1.1-2 CM", $209.00 
"DESTRUCTION MALIGNANT LESION TRUNK,EXTREM 2.1-3 CM", $217.00 
"DESTRUCTION MALIGNANT LESION TRUNK,EXTREM 3.1-4 CM", $311.00 
"DESTRUCTION PENIS LESION,EXTENSIVE"," $2,242.00 "
"DESTRUCTION PENIS LESION,SIMPLE,CHEMICAL", $325.00 
"DESTRUCTION PENIS LESION,SIMPLE,CRYOSURGERY", $261.00 
"DESTRUCTION PENIS LESION,SIMPLE,SURGICAL EXCISION"," $2,177.00 "
"DESTRUCTION PREMALIGNANT, FIRST LESION", $196.00 
"DESTRUCTION PREMALIGNANT,15+ LESIONS", $493.00 
"DESTRUCTION RETINAL LESN,PHOTOCOAGULATION"," $1,524.00 "
"DESTRUCTION,ANAL LESION(S),SIMPLE,CHEMICAL", $475.00 
"DESTRUCTION,CHOROID LESION,PHOTOCOAGULATION"," $1,088.00 "
"DESTRUCTION,CHOROID LESION,PHOTODYNAMIC THERAPY"," $1,020.00 "
"DESTRUCTION,CILIARY BODY,CYCLOPHOTOCOAG"," $2,443.00 "
"DESTRUCTION,LESION(S),VULVA,SIMPLE"," $2,474.00 "
"DESTRUCTION,LESION(S),VULVA;EXTENSIVE"," $3,252.00 "
"DESTRUCTION,VAGINAL LESION(S),SIMPLE"," $2,859.00 "
DEVELOPMENTAL TESTING EXTEN, $140.00 
"DEXA,BONE DENSITY,AXIAL SKELETON", $600.00 
DEXA-APPENDICULAR SKELETON (PERIPHERAL), $313.00 
"DH PRESSURE RELIEF SHOE, EACH (INPATIENT ONLY)", $157.00 
"DIAB FTWR, ADDTL CHRG SPLIT SZ(NOT SHOW) EA", $65.00 
DIABETES ED GROUP PER .5HR, $51.00 
DIABETIC ED SESSION IND .5H, $110.00 
DIABETIC FIT.CUSTOM DEPTH S, $154.00 
DIABETIC ONLY MULT DENS INSERT SCAN PT CUSTOM, $297.00 
"DIABETIC SHOE W/METATARSAL BAR CUSTOM, PER SHOE", $53.00 
DIABETIC SHOE W/OFF-SET HEE, $54.00 
DIABETIC;DEPTH INLAY W/WEDG, $64.00 
DIABETIC;INLAY CUSTM MOLD S, $83.00 
DIABETICS  FIT.CUSTM MOLD.S, $781.00 
DIABETICS ONLY REP-LABOR/15, $51.00 
DIABETICS ONLY-RESOLE SHOE, $41.00 
DIAGNOSTIC ANOSCOPY, $201.00 
DIAGNOSTIC BONE MARROW;ASPIRATION(S)," $1,349.00 "
DIAGNOSTIC BONE MARROW;BIOPSY(IES)," $1,349.00 "
DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ BI, $720.00 
DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ UNI, $586.00 
DIAGNOSTIC MEDICAL EQUIPMENT SUPPLY H," $14,875.00 "
DIALYSIS TUBING-EXTENSION L, $23.00 
DIGEORGE PANEL: TIER 1 RQPCR, $721.00 
DIGEORGE PANEL: TIER 2 SNPM1," $2,293.00 "
"DIGIT SPACER MODIFICATION FOR TRIBUTE, UE", $187.00 
DIGITAL BREAST TOMOSYNTHESIS; BILATERAL DX, $297.00 
DIGITAL BREAST TOMOSYNTHESIS; UNILATERAL DX, $250.00 
DILATE BILIARY DUCT/AMPULLA INCL IMAGE GUIDANCE," $1,796.00 "
DILATE ESOPHAGUS," $1,257.00 "
DILATION NASOLACRIMAL DUCT, $370.00 
DILATION OF CERVICAL CANAL," $2,721.00 "
DILATION OF SALIVARY DUCT," $1,139.00 "
"DILATION URETHRA STRICURE,MALE,INITIAL", $677.00 
"DILATION URETHRA,FEMALE,INITIAL", $323.00 
DILATOR  VESSEL 14-18 FR, $20.00 
DILATOR MEDOVATION LVL2 TAK," $1,017.00 "
DILATOR MEDOVATION LVL3 TAK," $1,158.00 "
DILATOR SUPPLY L, $116.00 
DILATORS, $64.00 
DILATORS, $66.00 
"DISCISSION,2ND CATARACT,LASER"," $1,295.00 "
DISPOSABLE BIOPSY NEEDLES, $136.00 
DLI ALLOGENEIC LYMPHOCYTE INFUSION," $1,222.00 "
DLYD PLMT XTN PROSTH 1ST VSL," $4,265.00 "
DLYD PLMT XTN PROSTH EA ADDL," $4,265.00 "
DOBHOFF TUBE 8/10 FR, $85.00 
DOPPLER ABD/PLVS/RETRO-COMP," $1,164.00 "
DOPPLER W/SPECTRAL, $505.00 
DOPPLER W/SPECTRAL LTD-F/UP, $450.00 
DORSAL ROOT GANGLION STIMULATOR SUPPLY," $14,951.00 "
DOUBLE LUNG ACQ - CADAVER," $114,000.00 "
DPLX SCAN EXTRACRAN ART UNI, $638.00 
DRAIN BLOOD FROM UNDER NAIL, $191.00 
DRAIN EXTERNAL AUDITORY CANAL ABSCESS, $741.00 
"DRAIN EXTERNAL EAR ABSCESS/BLOOD,COMPLICATED"," $2,448.00 "
"DRAIN EXTERNAL EAR ABSCESS/BLOOD,SIMPLE", $573.00 
"DRAIN FINGER ABSCESS,COMPLICATED"," $1,610.00 "
"DRAIN FINGER ABSCESS,SIMPLE", $267.00 
"DRAIN OVARIAN CYST(S),VAGINAL APPROACH"," $2,273.00 "
DRAIN PILONIDAL CYST COMPLICATED," $1,610.00 "
DRAIN PILONIDAL CYST SIMPLE, $698.00 
DRAIN SKIN ABSCESS COMPLICATED, $311.00 
DRAIN SKIN ABSCESS SIMPLE, $286.00 
DRAINAGE ABSCESS PALATE/UVULA, $407.00 
DRAINAGE ANTERIOR CHAMBER OF EYE," $1,922.00 "
DRAINAGE CATHETER EXCHANGE," $1,966.00 "
DRAINAGE OF EYELID ABSCESS, $461.00 
DRAINAGE OF GUM LESION, $397.00 
DRAINAGE OF HEART SAC," $1,525.00 "
DRAINAGE OF HEMATOMA/FLUID," $1,870.00 "
DRAINAGE SUPPLY L, $227.00 
DRAINAGE SUPPLY M," $1,181.00 "
DRAPES-SHEETS-COVERS SUPPLY L, $72.00 
"DRESS/DEBRIDE,P-THICKNESS BURNS, INITIAL OR SUBSQ; LARGE (>10% TBSA)", $444.00 
"DRESS/DEBRIDE,P-THICKNESS BURNS, INITIAL OR SUBSQ; MEDIUM (5-10% TBSA)", $275.00 
"DRESS/DEBRIDE,P-THICKNESS BURNS, INITIAL OR SUBSQ; SMALL (< 5% TBSA)", $230.00 
DRESSING ASSIST SILVER 4X48IN, $212.00 
DRESSING CHANGE, $159.00 
DRESSING NASOPORE 4CM, $770.00 
DRESSING SILVERCEL NON-ADHER 4 1/4X4 1/4IN, $30.00 
"DRESSING, HYDROCOLLOID RESTORE 4X4 IN", $37.00 
"DRESSING, PETROLATUM 3X9IN", $57.00 
"DRESSING, PETROLATUM XEROFORM 1X8IN", $3.00 
"DRESSING, SILVER LAYER RESTORE 4X5IN", $304.00 
DRUG COATED BALLOON PTA CATHETER," $5,663.00 "
DUETTE KIT FOR EMR," $1,075.00 "
DUP SC EXT VEINS UNIL-UE OR, $850.00 
DUP SC-AAA GF IVC IJ ILLC-C, $711.00 
DUP SCAN ABDM PELV RETRPER, $776.00 
DUP SCAN MESSEN/ABD/RENAL-C," $1,312.00 "
DUPLX SC UE ART/BY-COMP UNI, $642.00 
DVT SCAN-LTD LOW EXT/RESEAR, $313.00 
DYNAMIC CAVERNOSOMETRY," $2,205.00 "
DYNAMIC FLEX COVER ILIMB," $2,918.00 "
E0100 ALUMINUM CANE ADJUSTABLE, $51.00 
E0114 ALUMI ADJUSTABLE CRUTCHES, $78.00 
EAR CARTILAGE GRAFT TO FACE," $5,542.00 "
EAR MICROSCOPY EXAM (BINOCULAR), $28.00 
ECHO TRANSESOP PLCMT IMAGE," $1,729.00 "
ECHO TRNSTHORAC REAL TIME I," $2,051.00 "
ECHOCARDIOGRAPHY FETAL HEART," $1,188.00 "
ECHOCARDIOGRAPHY FETAL HEART DOPPLER, $691.00 
ECHOCARDIOGRAPHY FETAL HEART DOPPLER F/U, $548.00 
ECHOCARDIOGRAPHY FETAL HEART F/U, $823.00 
"ECHOGRAPHY,TRANSVAGINAL", $746.00 
ECMO EQUIP SURVIVAL FW," $3,512.00 "
ECMO EQUIP SURVIVAL RW," $3,834.00 "
ECMO SERVICE DURING OPERATION-PER MIN, $15.00 
ECMO SERVICE DURING SURVIVAL FLIGHT-PER MIN, $15.00 
ECMO-ADULT DAILY-ADULT," $2,815.00 "
ECMO-ADULT DAILY-PEDS," $7,955.00 "
ECMO-CENTRIFUGAL SET-UP 1/4-PEDS," $53,796.00 "
ECMO-CENTRIFUGAL SETUP 3/8-ADULT," $51,649.00 "
ECMO-CENTRIFUGAL SET-UP 3/8-PEDS," $51,719.00 "
ECMO-DLC NEONATAL-PEDS," $1,823.00 "
ECMO-DOUBLE-LUMEN NON-NEONATAL-PEDS OR ADULT," $7,355.00 "
ECMO-EXTRA ATTENTION/PER MINUTE-ADULT, $12.00 
ECMO-EXTRA ATTENTION/PER MINUTE-PED, $8.00 
ECMO-EXTRA CANNULA-PEDS OR ADULT," $2,371.00 "
ECMO-INFANT DAILY-PEDS," $8,135.00 "
ECMO-OXIMETRY CATHETER FOR SVO2 4FR X 25CM, $618.00 
ECMO-OXYGENATOR CHNG-PEDS," $11,621.00 "
ECMO-OXYGENTR CHANGE-ADULT," $6,371.00 "
ECMO-PEDIATRIC DAILY-PEDS," $8,155.00 "
ECMO-TRANSPORT SET-UP 1/4-PEDS," $52,048.00 "
ECMO-TRANSPORT SET-UP 3/8'-PED OR ADULT," $50,053.00 "
ECMO-V-A CANNULATION-PEDS OR ADULT," $3,081.00 "
ECT SUPPLIES, $476.00 
EDM TRANSESOPHAGEAL CATHETE, $577.00 
EDM TRANSESOPHAGEAL MONITOR," $1,513.00 "
EEG AMB MONITOR WO/VIDEO UNATND EA 24 HRS," $1,883.00 "
EEG EXT MONITOR 41-60 MINS, $592.00 
EEG EXT MONITOR MORE THAN 1, $796.00 
EEG INC RECORD AWAKE & ASLE, $867.00 
EEG PORTABLE/STAT, $852.00 
EEG:RECORD COMA OR SLEEP ON, $863.00 
EEG;INC RECORD AWAKE/DROWSY, $852.00 
EFFLUENT SAMPLE BAGS #28017-5C4476, $11.00 
EGD W/ ABLATION TUMOR/POLYP," $3,377.00 "
EGD W/ EMR," $2,739.00 "
EGD W/ ESOPH DIL W/ BALLOON MORE 30MM," $2,730.00 "
EGD W/ EUS W/ FIDUCIAL MARKER PLACEMENT," $2,919.00 "
EGD W/ STENT PLACEMENT," $5,043.00 "
EGD W/TRANSORAL OUTLET REDUCTION (TORE)," $2,734.00 "
EGFR MUTATION NGS, $721.00 
EKG, $153.00 
EKG STRESS TEST, $934.00 
ELEC ANALYSIS DUAL PMKR SYTM TE, $198.00 
ELEC ANALYSIS OF ILR SYSTEM, $337.00 
ELEC HOOK SWITCH/MYOELEC AD," $5,813.00 "
ELECT STIM GUIDE W/CHEMODEN, $108.00 
ELECTRDS PR ESI NAVIC PATCH," $3,681.00 "
ELECTRIC HAND SWITCH ART DI," $44,795.00 "
"ELECTRO HEARING AID TEST, BOTH", $159.00 
"ELECTRO HEARING AID TEST, ONE", $134.00 
ELECTROCOCHLEOGRAPHY, $760.00 
"ELECTROCONVULSIVE THERAPY,1 SEIZURE", $773.00 
ELECTROCORTIGRAM AT SURGERY, $875.00 
ELECTRODE KIT ENSITE NAV-X," $4,789.00 "
ELECTRODES SUPPLY L, $311.00 
"ELECTRODESSICATN,ANAL LESION(S)"," $2,191.00 "
ELECTROEJACULATION, $576.00 
"ELECTROGASTROGRAPHY, DIAGNOSTIC, TRANSCUTANEOUS", $232.00 
ELECTROLARYNX," $1,880.00 "
ELECTRO-OCULOGRAPHY, $403.00 
ELECTROPHYS EVAL TRANSEPTAL TX ATRIAL FIB ISOLATION PULM VEIN," $32,140.00 "
ELECTROPHYSIO EVAL SUBQ IMPLANT DEFIBRILLATOR," $2,700.00 "
ELECTRORETINOGRAPHY, $564.00 
"ELECTRO-UROFLOWMETRY, FIRST", $324.00 
ELEMANO BP MONITOR, $598.00 
ELEVIEW PER 10ML, $301.00 
EMBOLIC PARTICLE, $990.00 
EMBOLIC PROTECTION DEVICE," $5,470.00 "
EMBOLIC PROTECTION DEVICE SUPPLY M," $8,109.00 "
EMBOLIZATION COIL, $324.00 
EMBOLIZATION PROTECT SYST M," $5,491.00 "
EMBOLIZATION SUPPLIES, $309.00 
EMBOLIZATION SUPPLIES, $300.00 
EMBOLIZATION SUPPLY L, $490.00 
EMBOLIZATION SUPPLY M," $4,237.00 "
EMBRYO ANNUAL STORAGE FEE - BILLING QUESTIONS 734-763-9541, $908.00 
EMG 4 EXT W/WO PARASPIN ARE, $518.00 
EMG CRANIAL NERVE MUSC  BIL, $489.00 
EMG-1 EXTREMITY W/WO PARASP, $393.00 
EMG-2 EXTREMITIES W/WO PARA, $439.00 
EMG-CRANIAL NERVE/MUSCLE UN, $392.00 
EMG-LARYNX, $356.00 
EMG-LIMITED MUSC 1 EXT/NONL, $219.00 
EMG-THOR PARSPN MSC W/O T1, $291.00 
ENA PNL COMPONENT CENTROMER, $51.00 
ENA PNL COMPONENT CHROMATIN, $53.00 
ENA PNL COMPONENT JO1, $50.00 
ENA PNL COMPONENT LA (SSB), $47.00 
ENA PNL COMPONENT RIBOSOMAL, $53.00 
ENA PNL COMPONENT RNP, $47.00 
ENA PNL COMPONENT RO (SSA), $43.00 
